[00:00:00.169 --> 00:00:01.671]  Serious tax problem.
[00:23:19.964 --> 00:23:23.185]  They're setting up on rooftops.
[00:23:23.185 --> 00:23:24.525]  They're flying into Baghdad.
[00:23:24.525 --> 00:23:26.806]  They're flying into Basra.
[00:23:26.806 --> 00:23:32.948]  They're close to where some of the serious warfare may take place on the Gulf.
[00:23:34.592 --> 00:23:38.414]  And another mega-carrier is on its way.
[00:23:38.414 --> 00:23:40.854]  The French are sending their only aircraft carrier.
[00:23:40.854 --> 00:23:43.615]  The British have massed around half their fleets there.
[00:23:43.615 --> 00:23:46.757]  This has been called a huge armada.
[00:23:46.757 --> 00:23:56.640]  Now, every time the private banks that own this country, in modern history, because it's not America doing this, let's be clear about that.
[00:23:56.640 --> 00:23:59.701]  Every time they've massed this type of firepower, they have used it, okay?
[00:23:59.701 --> 00:24:01.422]  Now, they'll send a carrier and threaten people.
[00:24:02.125 --> 00:24:04.547]  And once or twice they've sent two carriers.
[00:24:04.547 --> 00:24:09.551]  They've never had three lined up and with other support armadas to do this.
[00:24:09.551 --> 00:24:18.279]  The United States will be ready to launch a missile attack on Iran's nuclear facilities as soon as early this month, perhaps from 4 a.m.
[00:24:18.279 --> 00:24:19.300]  until 4 p.m.
[00:24:19.300 --> 00:24:22.943]  on the 6th, according to reports in the Russian media on Saturday.
[00:24:22.943 --> 00:24:26.606]  And again, the Jerusalem Post and others are just getting around to reporting what we did a week and a half ago.
[00:24:27.483 --> 00:24:28.323]  I'm not tootin' our horn.
[00:24:28.323 --> 00:24:29.363]  I don't know what's wrong with these people.
[00:24:29.363 --> 00:24:32.244]  They can just never get anything before we do.
[00:24:32.244 --> 00:24:36.345]  According to Russian intelligence services, the report said the U.S.
[00:24:36.345 --> 00:24:45.867]  had devised a plan to attack several targets in Iran and as an assault could be carried out by launching missiles from fighter jets and warship stations in the Persian Gulf.
[00:24:45.867 --> 00:24:49.107]  And it goes on to say it was reported by Novosti.
[00:24:49.107 --> 00:24:50.528]  Okay.
[00:24:50.528 --> 00:24:51.268]  That's one report.
[00:24:51.268 --> 00:24:51.888]  Here's another one.
[00:24:52.532 --> 00:24:54.412]  This is out of the London Evening Standard.
[00:24:54.412 --> 00:24:55.713]  Russian officials say U.S.
[00:24:55.713 --> 00:24:58.153]  will be ready to strike Iran in April.
[00:24:58.153 --> 00:24:59.094]  This came out yesterday.
[00:24:59.094 --> 00:25:05.775]  A report filed today by the Russian news agency, RAI, indicates that the Russian intelligence has information that U.S.
[00:25:05.775 --> 00:25:14.677]  armed forces have nearly completed preparations for a possible military operation against Iran, and said they will be ready to strike in early April.
[00:25:14.677 --> 00:25:17.578]  Gee, do you think that's really the case?
[00:25:19.335 --> 00:25:19.956]  The U.S.
[00:25:19.956 --> 00:25:22.118]  carrier deploys amid Iran tensions.
[00:25:22.118 --> 00:25:30.606]  French news agency, nuclear-powered aircraft carrier, the USS Nimitz, he's from Fredericksburg, Texas, will sail Monday to support U.S.
[00:25:30.606 --> 00:25:33.409]  operations in Iraq and Afghanistan.
[00:25:33.409 --> 00:25:33.950]  The U.S.
[00:25:33.950 --> 00:25:40.136]  Navy said amid a spike in tensions over Iran's seizures of 15 British Marines and sailors.
[00:25:40.794 --> 00:25:48.020]  The Nimitz and its battle group of destroyers and guided missile cruisers will relieve the USS Dwight D. Eisenhower.
[00:25:48.020 --> 00:25:48.800]  Do you believe that?
[00:25:48.800 --> 00:25:52.163]  That's also with the USS John S. Stennis.
[00:25:52.163 --> 00:25:54.805]  Okay, here's where we get into the serious news.
[00:25:54.805 --> 00:25:56.887]  Debka file.
[00:25:56.887 --> 00:25:57.207]  U.S.
[00:25:57.207 --> 00:26:04.593]  financial sources in Bahrain report American investors in Bahrain advise to pack up business operations and leave.
[00:26:04.593 --> 00:26:07.415]  The advice came from officers with the U.S.
[00:26:07.415 --> 00:26:09.417]  Central Command at the 5th Fleet HQ
[00:26:11.511 --> 00:26:16.972]  We spoke of security tension, and hint at an approaching war with Iran.
[00:26:16.972 --> 00:26:23.334]  Arab sources report the positioning of a Patriot anti-missile battery in Bahrain this week.
[00:26:23.334 --> 00:26:29.495]  They say occupancy at Emirate hotels has soared past 90 percent, due mostly to an influx of U.S.
[00:26:29.495 --> 00:26:30.775]  military personnel.
[00:26:30.775 --> 00:26:37.237]  They also report Western media crews normally employed in military coverage are arriving in packs.
[00:26:38.201 --> 00:26:53.564]  And, uh, it goes on to say that General Khalid al-Abbasi, Bahrain's Chief of Air Defense Operations, disclosed the new alarm networks have been installed and the air defense systems upgraded to handle chemical, biological, and radiological attacks.
[00:26:53.564 --> 00:26:57.984]  British and other allied embassies are preparing for evacuation.
[00:26:57.984 --> 00:27:01.185]  That was in the Associated Press last week out of Tehran.
[00:27:01.185 --> 00:27:05.526]  That's the capital of Iran, ladies and gentlemen.
[00:27:05.526 --> 00:27:07.286]  Okay, with all that going on, and I'm gonna
[00:27:08.127 --> 00:27:11.388]  Get into why this is all happening and what's really behind it.
[00:27:11.388 --> 00:27:13.748]  First, I thought we'd cover this in more detail.
[00:27:13.748 --> 00:27:15.029]  This is out of the UK Daily Mail.
[00:27:15.029 --> 00:27:17.729]  Now, they're a predominantly conservative publication.
[00:27:17.729 --> 00:27:19.069]  Let's be clear on that.
[00:27:19.069 --> 00:27:23.350]  But I also just so happen to have interviewed this gentleman twice.
[00:27:23.350 --> 00:27:25.931]  He ran the British Maritime Administration.
[00:27:25.931 --> 00:27:27.271]  That is very important in England.
[00:27:27.271 --> 00:27:30.192]  In fact, that's the most important position they have.
[00:27:32.033 --> 00:27:36.436]  Liaisoning between the civilian government, the military, and then also in their trade.
[00:27:36.436 --> 00:27:38.357]  It's a very important position in England.
[00:27:38.357 --> 00:27:39.537]  It's an important position everywhere.
[00:27:39.537 --> 00:27:45.441]  There's a Maritime Administration here, but in England, obviously, you know about the Britannia and their fleets.
[00:27:45.441 --> 00:27:47.782]  That's what they're all about.
[00:27:47.782 --> 00:27:51.104]  So when we get back, I will get... well, I'll just cover it now.
[00:27:51.104 --> 00:27:55.867]  It says, How I Know Blair Faked Iran Map.
[00:27:55.867 --> 00:28:00.210]  Former Ambassador to Uzbekistan and the head of the Foreign Office Maritime Section.
[00:28:01.269 --> 00:28:08.975]  And it goes on to say, like most senior Royal Navy officers, Commander Nick Lambert has great reserves of personal expertise and common sense.
[00:28:08.975 --> 00:28:19.044]  The Coalition Task Force commander was aboard the HMS Cornwall when 15 Royal Navy personnel serving on the frigate were seized at gunpoint by Iranian forces March 31st, 23rd.
[00:28:19.044 --> 00:28:24.388]  And then it goes into how he reported the truth, and then it was twisted.
[00:28:24.388 --> 00:28:28.992]  The Navy stated that 14 men and one woman were on a routine patrol in rigid, inflatable
[00:28:29.835 --> 00:28:30.697]  We're good to go.
[00:28:42.712 --> 00:28:48.037]  Lambert said, there is absolutely no doubt in my mind that they were in Iraqi territorial waters.
[00:28:48.037 --> 00:28:53.241]  Equally, the Iranians may well claim that they were in their waters.
[00:28:53.241 --> 00:29:04.269]  Then Blair and others spin it, because when you read deeper, you learn the official maps were changed by Britain a few months ago, just magically claiming now that that was Iraqi waters.
[00:29:04.269 --> 00:29:05.130]  It wasn't.
[00:29:05.130 --> 00:29:06.111]  It was Iranian.
[00:29:07.626 --> 00:29:15.755]  And before neocons out there, who love open borders and gun control, have heart attacks, stay there and I'll come back and break this down.
[00:29:15.755 --> 00:29:18.238]  Not siding with the moodless.
[00:29:18.238 --> 00:29:19.239]  The facts of the facts.
[00:29:19.239 --> 00:29:19.820]  We'll be right back.
[00:29:33.567 --> 00:29:38.713]  Black Berkey purification elements are more powerful than any gravity filter element on the market.
[00:29:38.713 --> 00:29:46.162]  These awesome elements are used in Berkey purification systems and they can also be used to upgrade most other gravity filtration systems.
[00:29:46.162 --> 00:29:50.107]  They can purify raw, untreated water by removing pathogenic bacteria.
[00:29:50.307 --> 00:29:50.867]  We're good to go.
[00:30:07.014 --> 00:30:10.196]  Yeah, they leave in the nutritional minerals that your body needs.
[00:30:10.196 --> 00:30:20.083]  Moreover, because they are recleanable, black Berkey elements are more economical than the standard disposable elements, providing fresh, pure water for less than 2 cents per gallon.
[00:30:20.083 --> 00:30:23.505]  Get a 2-pack for only $99 or a 4-pack for only $188 by calling New Millennium at 888-803-4438.
[00:30:23.505 --> 00:30:24.666]  That's 888-803-4438 or order on the web at berkeywater.com.
[00:30:33.948 --> 00:30:38.231]  People who use Cardivite know about the pollutants in our body and want them out.
[00:30:38.231 --> 00:30:41.814]  For over five years, Cardivite has proven itself time-tested.
[00:30:41.814 --> 00:30:45.557]  Here's Dr. Mattson, a naturopathic doctor's thoughts on Cardivite.
[00:30:45.557 --> 00:30:48.780]  In our mind, there isn't such a great big mystery to disease anymore.
[00:30:48.780 --> 00:30:54.324]  This basic tenet of yeast in the gut and metals in the liver covers at least 70-80% of the diseases that we see.
[00:30:54.324 --> 00:31:01.430]  When we do our program, you know, in herbal formulas like Cardivite, and you see someone who can barely walk up a hill now going for regular jobs,
[00:31:01.510 --> 00:31:01.910]  I think so.
[00:31:17.415 --> 00:31:27.802]  For more information, call 1-877-928-8822, or visit our website at www.heartthrob.com.
[00:31:27.802 --> 00:31:29.003]  That toll-free number again?
[00:31:29.003 --> 00:31:31.425]  1-877-928-8822.
[00:31:31.425 --> 00:31:40.230]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism.
[00:31:40.230 --> 00:31:43.633]  Globalists are concerned with what's good for big business and the American empire.
[00:31:44.073 --> 00:31:44.473]  We're good to go.
[00:32:10.650 --> 00:32:14.173]  Craig Walcott, chartered financial consultant and host of the Dead Doctors Don't Lie radio program,
[00:32:37.532 --> 00:32:37.872]  I don't know.
[00:32:54.403 --> 00:32:57.045]  That's where MLM Incorporated steps in.
[00:32:57.045 --> 00:33:04.152]  No matter what network marketing venture you're involved in, MLM Incorporated can provide you the successful tools you need to truly succeed.
[00:33:04.152 --> 00:33:13.920]  A subscription to MLM Incorporated will provide you access to the three-hour industrial revolution of Network Marketing Seminar, where you will learn to perform at a level you never thought possible.
[00:33:13.920 --> 00:33:17.303]  Radio, TV, Internet, direct mail will all be at your fingertips.
[00:33:17.463 --> 00:33:18.344]  Thank you for listening to GCN.
[00:33:18.344 --> 00:33:18.864]  Visit GCNlive.com today.
[00:33:45.012 --> 00:33:47.273]  Raging for the truth.
[00:33:47.273 --> 00:33:49.234]  Exposing corruption.
[00:33:49.234 --> 00:33:53.196]  Dismantling the false left-right paradigm.
[00:33:53.196 --> 00:33:56.317]  He's Alex Jones.
[00:33:56.317 --> 00:33:57.598]  It is April 1st, 2007.
[00:33:57.598 --> 00:34:08.562]  We're going to be going to your calls in this segment, but continuing with the situation in the Middle East, now with three carrier task force groups.
[00:34:08.562 --> 00:34:12.044]  One steaming that way, two already there with a huge flotilla.
[00:34:12.782 --> 00:34:17.686]  An open discussion of some type of strike in April.
[00:34:17.686 --> 00:34:19.848]  I doubt there'll be a strike on April 6th.
[00:34:19.848 --> 00:34:25.633]  If you ask me from past behavior of the New World Order, this is how the psychology works.
[00:34:28.078 --> 00:34:32.042]  They will claim that Iraq is going to be invaded in 2002 in March.
[00:34:32.042 --> 00:34:32.442]  Remember?
[00:34:32.442 --> 00:34:33.964]  And it was in the Washington Post.
[00:34:33.964 --> 00:34:36.266]  It's going to happen for sure.
[00:34:36.266 --> 00:34:38.468]  It's an absolute guarantee.
[00:34:38.468 --> 00:34:47.897]  And then, of course, I knew that Mr. Graham, the owner of the Washington Post, and his editor had been at the Bilderberg Group meeting that year.
[00:34:47.897 --> 00:34:49.239]  I believe it was in France.
[00:34:49.239 --> 00:34:52.161]  And that it had been decided upon to launch the attack in March of 2003.
[00:34:53.234 --> 00:34:57.838]  So I was able to go on the air, thanks to Jim Tucker, who covered the event, and say, no, it'll be in March of 2003.
[00:34:57.838 --> 00:34:59.560]  And, of course, I was told I was an idiot.
[00:34:59.560 --> 00:35:01.441]  We wrote articles about it and it turned out to be the case.
[00:35:01.441 --> 00:35:11.130]  Because we watch the people that run the planet, not the puppet Hillary or George Bush or Karl Rove, these nothings who get to act like they run things for the big banks.
[00:35:11.130 --> 00:35:19.257]  But in truth, they're nothing but complete and total figureheads to absorb all of your anger and ensure that the real elite never gets in any trouble.
[00:35:21.074 --> 00:35:23.336]  But I do think they're going to hit Iran.
[00:35:23.336 --> 00:35:30.862]  It could happen as late as the fall of next year.
[00:35:30.862 --> 00:35:33.004]  It could even happen in the winter.
[00:35:33.004 --> 00:35:38.208]  It could happen as late as next September.
[00:35:38.208 --> 00:35:40.030]  It could happen this week.
[00:35:40.030 --> 00:35:50.018]  But if we really get the word out, and if we really warn the people, and if we really beat the drums, and expose how this is a fraud, it will
[00:35:52.959 --> 00:35:53.960]  It may not happen.
[00:35:53.960 --> 00:36:01.102]  I mean, they would have already been in Iran, but for the public exposed, there were no WMDs and the White House memo and that fraud.
[00:36:01.102 --> 00:36:09.105]  But let me just be clear, before I get back into the 15 captured Brits.
[00:36:09.105 --> 00:36:11.766]  Saying that the world is black and black, not black and white.
[00:36:11.766 --> 00:36:14.207]  People say, well, there's good and there's evil.
[00:36:14.207 --> 00:36:16.848]  Or there's black and white, but most is gray.
[00:36:17.879 --> 00:36:28.790]  Maybe in your own personal life a lot of things are gray, but when it comes to governments, the Founding Fathers told us this, Plato told us this, it's common sense, it's history.
[00:36:28.790 --> 00:36:36.257]  99% of the time, governments are tyrannical and abusive and serve at the behest of a tiny oligarchy or elite.
[00:36:36.257 --> 00:36:39.120]  In the old times it was royalty, now it's the big business titans.
[00:36:40.297 --> 00:36:43.158]  And they engage in predatory activities.
[00:36:43.158 --> 00:36:55.761]  Iran is run by a bunch of degenerate, corrupt, opulently rich moolahs, who give most of the big business contracts to their family members, and they live in giant palaces.
[00:36:55.761 --> 00:37:08.845]  And the United States has been bought and paid for, since 1913 completely, by foreign, predominantly European banks, and they've done everything they can to butcher the Bill of Rights and Constitution, and blow out our economy and get us all in debt.
[00:37:09.668 --> 00:37:19.495]  And this is a global empire basically picking on a rogue nation that isn't under their control.
[00:37:19.495 --> 00:37:20.175]  It's real simple.
[00:37:20.175 --> 00:37:28.961]  I mean, if you ask me, who were the good guys, you know, 2,400 years ago with the popularization of the movie 300, which is totally unhistorical.
[00:37:28.961 --> 00:37:32.523]  I mean, I've actually read history books on the subject and find it quite interesting.
[00:37:32.523 --> 00:37:36.066]  With the phalanx and the, you know, in that movie 300,
[00:37:38.468 --> 00:37:44.811]  They, you know, the Persians are all gay, and the Spartans aren't, and they're wonderful people who are good.
[00:37:44.811 --> 00:38:04.898]  Now, in the real world, the Spartans kept the Hellens, the Hellets, as slaves, and when a boy became 13 and was a Spartan and lived out in the woods, he would then have a human sacrifice, this is an encyclopedia, of a Hellion, or a Hellet, whatever term you want to use, and that they kept as their slaves.
[00:38:04.898 --> 00:38:06.139]  They did human sacrifice.
[00:38:07.069 --> 00:38:11.572]  And it was a pedophile society, and totally degenerate.
[00:38:11.572 --> 00:38:15.254]  And it's held out as the model of democracy, when that was actually the Athenians.
[00:38:15.254 --> 00:38:17.416]  The different branches of the Greeks.
[00:38:17.416 --> 00:38:19.217]  The worst, the Nazis.
[00:38:19.217 --> 00:38:24.720]  There was some laudable things about ancient Greece, but it certainly wasn't the Spartans.
[00:38:24.720 --> 00:38:26.101]  Okay?
[00:38:26.101 --> 00:38:30.584]  And so, but the Spartans were corrupt and brutal, and so were the Babylonians.
[00:38:30.584 --> 00:38:33.506]  See, you can't say one's good and one's bad.
[00:38:34.500 --> 00:38:38.202]  Or, I shouldn't say Babylonians, the Persians.
[00:38:38.202 --> 00:38:41.465]  Babylon is Iraq.
[00:38:41.465 --> 00:38:45.987]  So just go research the history for yourself.
[00:38:45.987 --> 00:38:46.848]  It's the same thing here.
[00:38:48.005 --> 00:38:58.392]  You've got elites that totally own and run this country, doing everything they can to dismantle the family, everything they can to build more prisons and get you in the system by hook or by crook.
[00:38:58.392 --> 00:39:01.014]  Trillions are missing from the Pentagon.
[00:39:01.014 --> 00:39:03.295]  Corruption is just rampant.
[00:39:03.295 --> 00:39:04.556]  The country is dying.
[00:39:04.556 --> 00:39:07.978]  I mean, we've been in the North American Union for two years.
[00:39:07.978 --> 00:39:08.659]  Over two years.
[00:39:08.659 --> 00:39:11.140]  Bush signed it back in March of 2005.
[00:39:11.140 --> 00:39:13.022]  We got four-year documents out last year.
[00:39:13.743 --> 00:39:14.804]  Okay, I mean, these guys run things.
[00:39:29.574 --> 00:39:40.243]  And it came out with the minutes that got released that it was the big banks there, literally, with the heads of the State Department and the Canada State Department and the Mexico State Department, the Foreign Office, telling them what to do.
[00:39:40.243 --> 00:39:41.004]  This is how it works.
[00:39:41.004 --> 00:39:50.852]  They sit around in big councils and the big corporations that own the majority of the government, because the government for 50 years plus has been investing 70 plus percent of the tax money in that.
[00:39:50.852 --> 00:39:52.073]  You're not even told about that.
[00:39:52.073 --> 00:39:52.954]  It's off budget.
[00:39:52.954 --> 00:39:54.555]  And they just sit there telling the government what to do.
[00:39:56.034 --> 00:40:04.002]  And, uh, the big corporations are passing laws and getting Supreme Court rulings where they can take your private property without just compensation when they want.
[00:40:04.002 --> 00:40:06.044]  It's called fascism, ladies and gentlemen.
[00:40:06.044 --> 00:40:08.286]  It's called command and control.
[00:40:08.286 --> 00:40:17.195]  And so the very people telling you, pro-America, support the troops, this is what America does, America's gonna fight them Iraners and them Iraqers.
[00:40:18.092 --> 00:40:24.853]  You're being manipulated by Madison Avenue propaganda, by slick Wall Street propaganda you're being laughed at.
[00:40:24.853 --> 00:40:30.814]  The people that want to attack Iran are the very people killing America.
[00:40:30.814 --> 00:40:32.975]  Hillary Clinton wants it.
[00:40:32.975 --> 00:40:34.215]  Chuckie Schumer wants it.
[00:40:34.215 --> 00:40:35.875]  George Bush wants it.
[00:40:35.875 --> 00:40:37.855]  Bill Clinton vacations with the Bushes.
[00:40:37.855 --> 00:40:40.696]  It's all staged.
[00:40:40.696 --> 00:40:46.437]  It's like Delano Roosevelt said that something happens in politics, you can bet it was planned that way.
[00:40:46.437 --> 00:40:47.237]  That's a paraphrase.
[00:40:47.967 --> 00:40:51.108]  I mean, this is big money, folks.
[00:40:51.108 --> 00:40:56.049]  There's almost $4 trillion, the Associated Press has reported, missing from the Pentagon.
[00:40:56.049 --> 00:40:57.570]  They've taken the pension funds, everything.
[00:40:57.570 --> 00:40:58.230]  It's gone.
[00:40:58.230 --> 00:41:00.771]  They have congressional hearings about it, and Rumsfeld would say, I'm not going to talk about it.
[00:41:00.771 --> 00:41:02.951]  I'm not going to tell you where it went.
[00:41:02.951 --> 00:41:08.133]  Just like it comes out in the Chicago Tribune about Dyncor and Halliburton running giant child kidnapping rings.
[00:41:08.133 --> 00:41:17.255]  I mean, it comes out in the paper, and it was in the paper that they actually have lobbyists in Congress for the slave rings, and that Congress orders the Pentagon not to act on it.
[00:41:18.326 --> 00:41:20.606]  I mean, you can't make stuff up, okay?
[00:41:20.606 --> 00:41:33.049]  This makes any charnel house, any nightmare, The Saw, or, you know, Terror Planet, or whatever, Quentin Tarantino, that stuff is like milk toast, okay?
[00:41:33.049 --> 00:41:34.789]  That's like pap, okay?
[00:41:34.789 --> 00:41:36.309]  The real world is brutal.
[00:41:36.309 --> 00:41:37.930]  There's six and a half billion people.
[00:41:37.930 --> 00:41:40.430]  The elites say there's nothing cheaper than human life.
[00:41:40.430 --> 00:41:44.651]  They see you as absolute dog meat.
[00:41:44.651 --> 00:41:44.951]  Alright?
[00:41:46.167 --> 00:41:53.312]  By design, they made the decision six years ago to incrementally plunge the dollar.
[00:41:53.312 --> 00:41:56.413]  That's when Treasury Secretary O'Neill quit.
[00:41:56.413 --> 00:41:57.714]  And Snow came in.
[00:41:57.714 --> 00:41:59.796]  The decision was made.
[00:41:59.796 --> 00:42:02.117]  It was in the Financial Times of London.
[00:42:02.117 --> 00:42:03.978]  It was in CFR releases.
[00:42:03.978 --> 00:42:07.600]  It was in IMF press releases.
[00:42:07.600 --> 00:42:10.462]  They made the decision last Monday to drop it even more.
[00:42:10.462 --> 00:42:11.763]  The IMF put out the order.
[00:42:11.763 --> 00:42:13.684]  We covered it last Sunday.
[00:42:13.684 --> 00:42:15.065]  And the dollar dropped again.
[00:42:17.799 --> 00:42:31.697]  Okay, so you're all into, I mean you watch these fake people up here, the private banks own the defense contractors who own the media, the MSNBCs, the Fox, the CNNs, and they sit up there
[00:42:32.834 --> 00:42:41.818]  Trying to one-up each other, going, we love the troops, and anybody that criticizes whatever the government wants to do hates the troops and hates America.
[00:42:41.818 --> 00:42:45.100]  And if you love America, you'll do whatever the government says.
[00:42:45.100 --> 00:42:47.801]  And anybody that disagrees with the government should be arrested.
[00:42:47.801 --> 00:42:52.143]  That is 180 degrees from what our system is.
[00:42:52.143 --> 00:42:54.224]  And I've had enough of it.
[00:42:54.224 --> 00:42:56.805]  These people don't care about the troops.
[00:42:56.805 --> 00:42:58.466]  They pump you all up.
[00:42:58.466 --> 00:42:59.586]  You march off to die.
[00:42:59.586 --> 00:43:01.427]  They give you experimental, deadly vaccines.
[00:43:02.461 --> 00:43:04.943]  You breathe depleted uranium?
[00:43:04.943 --> 00:43:07.286]  And they just sit up there.
[00:43:07.286 --> 00:43:10.328]  The country is dying right now.
[00:43:10.328 --> 00:43:12.771]  The Republic is dying right now.
[00:43:12.771 --> 00:43:15.953]  And they've got you looking off at Iran.
[00:43:15.953 --> 00:43:18.856]  Yeah, run by a bunch of crooks as well.
[00:43:18.856 --> 00:43:21.499]  But no threat to us.
[00:43:21.499 --> 00:43:24.001]  I promise we'll go right to your calls on the other side.
[00:43:24.001 --> 00:43:25.783]  Got a caller who disagrees with me as well.
[00:43:25.783 --> 00:43:26.123]  Stay with us.
[00:43:34.045 --> 00:43:35.045]  How are you feeling today?
[00:43:35.045 --> 00:43:42.227]  Well, I ask because if you have health challenges, then reading our free e-booklet about the most amazing discovery of our time is crucial.
[00:43:42.227 --> 00:43:46.988]  The booklet is about an amazing fruit from Southeast Asia they call Mangosteen.
[00:43:46.988 --> 00:43:52.650]  It's a centuries-old medicinal fruit whose time has come, and it has amassed 40 years of published research.
[00:43:52.950 --> 00:43:58.274]  We have information and testimonials from all over the world about the health potential of this amazing fruit.
[00:43:58.274 --> 00:44:05.119]  The powerful botanical has contributed to the well-being of millions of people the world over with health concerns just like yours.
[00:44:05.119 --> 00:44:08.482]  You can have this 22-page e-booklet absolutely free.
[00:44:08.482 --> 00:44:12.625]  We're also offering a website with links to actual testimonials and product information.
[00:44:12.865 --> 00:44:15.326]  Could this fruit help you in your quest for total health?
[00:44:15.326 --> 00:44:23.468]  Find out why mangosteen is known as the queen of all fruits and why it's fast becoming the best-selling wellness product ever brought to the market.
[00:44:23.468 --> 00:44:25.228]  Your health is in your hands.
[00:44:25.228 --> 00:44:26.748]  Do something about it today.
[00:44:26.748 --> 00:44:26.988]  Call 800-658-0597.
[00:44:26.988 --> 00:44:27.409]  Again, that's 800-658-0597.
[00:44:38.303 --> 00:44:40.624]  Hi, Steve Shank, Fearless Task Force.
[00:44:40.624 --> 00:44:42.705]  Sure, you've got a mortgage and credit cards.
[00:44:42.705 --> 00:44:46.286]  Your debt creation is probably the smartest thing you've ever done.
[00:44:46.286 --> 00:44:47.807]  How would it be to find $75,000, $150,000, $200,000 or more you never knew you had?
[00:44:51.275 --> 00:44:56.258]  Now the task force has strategies to make these debts into virtual savings accounts.
[00:44:56.258 --> 00:44:59.220]  Ben Franklin said, a penny saved is a penny earned.
[00:44:59.220 --> 00:45:08.206]  By doing nothing more than you're doing right now, because you've used your credit, the right strategies can make the debt part of your financial life the smartest thing you've ever done.
[00:45:08.206 --> 00:45:11.569]  Oh, by the way, your strategies cost you nothing out of pocket.
[00:45:11.569 --> 00:45:14.871]  Go ahead and check out the debt elimination scams if you'd like to.
[00:45:14.871 --> 00:45:19.354]  You wouldn't take money from a loan shark, so you may not want to give your money to a debt shark.
[00:45:20.069 --> 00:45:23.612]  For an understanding of what a financial genius you truly are, call 800-409-5633.
[00:45:23.612 --> 00:45:24.473]  On the web, MyDebtFreePath.com.
[00:45:24.473 --> 00:45:24.513]  800-409-5633.
[00:45:33.846 --> 00:45:39.327]  Hello folks, this is Alex Jones introducing you to the incredible Berkey Solar Charger.
[00:45:39.327 --> 00:45:41.648]  Your source for free solar electricity.
[00:45:41.648 --> 00:45:48.889]  This portable system is the size of a book when folded and small enough to fit into a briefcase, handbag, or glove compartment.
[00:45:48.889 --> 00:46:00.412]  The Berkey Solar Charger has been designed to power the Berkey lights, LED lamps, as well as other applications such as mobile phones, radios, digital cameras, and PDAs when electricity is not available.
[00:46:00.812 --> 00:46:08.457]  It's multi-voltage capabilities, multiple adapters, and rechargeable batteries provide for flexible source of auxiliary backup power.
[00:46:08.457 --> 00:46:13.581]  Simply place the Berkey Solar Charger in the sun, plug in your application, and you have power.
[00:46:13.581 --> 00:46:18.884]  Disconnect your application, the system automatically begins charging its own rechargeable batteries.
[00:46:18.884 --> 00:46:24.188]  Get the incredible Berkey Solar Charger for only $75 by calling New Millennium at 888-803-4438.
[00:46:27.471 --> 00:46:29.298]  And tell them Alex Jones sent you.
[00:46:29.298 --> 00:46:30.301]  That's toll free, 888-803-4438.
[00:46:34.389 --> 00:46:38.491]  Did you know that the water you drink every day can be even more beneficial to your health?
[00:46:38.491 --> 00:46:42.734]  I'm not talking so-called enriched water, but I'm talking about electrolyzed water.
[00:46:42.734 --> 00:46:48.017]  RPA Biotech is an amazing American company that provides unique technology to transform water.
[00:46:48.017 --> 00:46:59.203]  Electrolyzed plus water will alkalize your water more powerfully than any other single nutraceutical because a body in an alkaline state can't grow pathogens, become allergic, or develop autoimmune disease or vascular degenerative illness.
[00:46:59.543 --> 00:47:04.145]  Electrolyzed water is non-toxic, non-corrosive, and environmentally safe for humans and animals.
[00:47:04.145 --> 00:47:13.628]  Alkaline water is available as a concentrate to be mixed with good, filtered, purified, RO water but not tap water, micro-structured, alkaline, antioxidant water for consumption.
[00:47:13.628 --> 00:47:23.251]  Call for your Electrolyzed Plus Alkalinizing Nourical Rejuvenating Water Concentrate or other remarkable RPA Biotech products like Ultimate Fuel Sport Performance Drink at 888-212-8871
[00:47:25.792 --> 00:47:29.994]  That's 888-212-8871 or go to NutraMedical.com.
[00:47:29.994 --> 00:47:34.535]  That's N-U-T-R-I with an I. Medical.com.
[00:47:34.535 --> 00:47:39.117]  News, politics, sports, cars, home improvement, health, and everything in between.
[00:47:39.117 --> 00:47:40.097]  We've got you covered.
[00:47:40.097 --> 00:47:44.719]  You're listening to the GCN Radio Network.
[00:47:44.719 --> 00:47:48.580]  Corruption never had a worse enemy.
[00:47:48.580 --> 00:47:50.741]  You're locked into the Alex Jones Show.
[00:47:53.866 --> 00:47:55.589]  Well, I got some bad news for you.
[00:47:55.589 --> 00:48:03.140]  Hillary Clinton, as you probably already know, is at the forefront of the pack of Democratic New World Order puppets.
[00:48:03.140 --> 00:48:06.506]  Literally, I don't know who I hate more, George Bush or Hillary Clinton.
[00:48:06.506 --> 00:48:08.008]  I mean, they're just total New World Order trash.
[00:48:09.079 --> 00:48:13.523]  Hillary will fool those liberals all day and George Bush will fool Republicans all night.
[00:48:13.523 --> 00:48:16.867]  And together in the twain they meet in total domination.
[00:48:16.867 --> 00:48:25.395]  The enslavement continues while we're busy worrying about Iran and it's been confirmed by the former head of the British Maritime Administration that the British changed the map.
[00:48:26.067 --> 00:48:34.871]  That is Iranian territorial waters, but that's mainstream British papers, conservative papers even reporting it, but you'll never hear that here in the United States.
[00:48:34.871 --> 00:48:36.932]  It's just, you support them Iranians.
