[00:00.000 --> 00:13.000]  In the councils of government, we must guard against the acquisition of unwarranted influence,
[01:02:00.760 --> 01:02:01.760]  There you go.
[01:02:01.760 --> 01:02:08.760]  I mean, if you look at photos of her and watch how she speaks,
[01:02:08.760 --> 01:02:12.760]  I mean, she literally, because I don't go off how people look.
[01:02:12.760 --> 01:02:15.760]  But if somebody's completely crazed-eyed and looks like the stalker,
[01:02:15.760 --> 01:02:21.760]  her eyes look like Ramirez, the night stalker's eyes.
[01:02:21.760 --> 01:02:22.760]  Who, by the way, she protected.
[01:02:22.760 --> 01:02:26.760]  Do we have that clip from the local news?
[01:02:26.760 --> 01:02:32.760]  This is dealing with her helping to, well, blow their case.
[01:02:32.760 --> 01:02:35.760]  She just came out and announced all the evidence when he was still killing people
[01:02:35.760 --> 01:02:37.760]  so he could continue killing them.
[01:02:37.760 --> 01:02:40.760]  And people said she was told not to do it, but she did.
[01:02:40.760 --> 01:02:42.760]  Well, friends got to help friends.
[01:02:42.760 --> 01:02:45.760]  I mean, at least at a spiritual level, kindred spirits.
[01:02:45.760 --> 01:02:48.760]  So let's go ahead and go to the night stalker clip.
[01:02:48.760 --> 01:02:49.760]  Here it is.
[01:02:49.760 --> 01:02:52.760]  When their best evidence on the night stalker case is made public
[01:02:52.760 --> 01:02:57.760]  by the mayor of San Francisco, detectives in Los Angeles are devastated.
[01:02:57.760 --> 01:03:00.760]  It was really upsetting that somebody in that higher position
[01:03:00.760 --> 01:03:03.760]  could allow that kind of information to be released.
[01:03:03.760 --> 01:03:08.760]  They had no idea how traumatized we were in living this 16 hours a day
[01:03:08.760 --> 01:03:10.760]  and then have it all thrown off the window.
[01:03:10.760 --> 01:03:12.760]  I was not a happy camper.
[01:03:12.760 --> 01:03:15.760]  L.A. Sheriff Sherman Block responds immediately
[01:03:15.760 --> 01:03:17.760]  by holding a late-night press conference of his own.
[01:03:17.760 --> 01:03:23.760]  Some of these agencies have released some very critical, sensitive information.
[01:03:23.760 --> 01:03:28.760]  That information has not only jeopardized the conduct of our investigation,
[01:03:28.760 --> 01:03:34.760]  but in reality it places this community in jeopardy because it impedes
[01:03:34.760 --> 01:03:39.760]  our ability to go forward fully with the investigation.
[01:03:39.760 --> 01:03:41.760]  There you go.
[01:03:41.760 --> 01:03:43.760]  And Diane Feinstein.
[01:03:43.760 --> 01:03:49.760]  Diane Feinstein is a gangster and a mobster and an un-American piece of filth
[01:03:49.760 --> 01:03:51.760]  who should be tried for treason.
[01:03:51.760 --> 01:03:53.760]  By the way, that's what the founders said.
[01:03:53.760 --> 01:03:55.760]  They said if somebody tries to overthrow any of the Bill of Rights,
[01:03:55.760 --> 01:03:56.760]  they should be tried for treason.
[01:03:56.760 --> 01:04:02.760]  She led the move to put warrantless wiretapping ten years later,
[01:04:02.760 --> 01:04:09.760]  Pfizer back in place and even expanded secret spying on the American people.
[01:04:09.760 --> 01:04:12.760]  But she gave lip service years ago against it,
[01:04:12.760 --> 01:04:15.760]  but then spearheaded getting it back through, kind of like Obama.
[01:04:15.760 --> 01:04:17.760]  Yeah, I'm against the NDAA.
[01:04:17.760 --> 01:04:18.760]  It's wrong.
[01:04:18.760 --> 01:04:19.760]  Turned out his lawyers wrote it.
[01:04:19.760 --> 01:04:20.760]  Well, don't worry about it passing.
[01:04:20.760 --> 01:04:22.760]  I'm going to veto it so it wouldn't get opposition.
[01:04:22.760 --> 01:04:23.760]  Oh, don't worry.
[01:04:23.760 --> 01:04:24.760]  He's going to veto it.
[01:04:24.760 --> 01:04:26.760]  But then it passes.
[01:04:26.760 --> 01:04:27.760]  He goes, well, I'll veto it.
[01:04:27.760 --> 01:04:29.760]  And I said, folks, he won't veto it.
[01:04:29.760 --> 01:04:30.760]  He wrote it.
[01:04:30.760 --> 01:04:32.760]  And who was right?
[01:04:32.760 --> 01:04:33.760]  I'm not smart, folks.
[01:04:33.760 --> 01:04:35.760]  I know known liars.
[01:04:35.760 --> 01:04:40.760]  We've all had, quote, friends in high school or college that turn out not to be our friends.
[01:04:40.760 --> 01:04:42.760]  And after you catch him lying to you about 10 times,
[01:04:42.760 --> 01:04:44.760]  you just don't associate with him anymore.
[01:04:44.760 --> 01:04:45.760]  Well, here's the deal.
[01:04:45.760 --> 01:04:47.760]  I can't quit associate with Diane Feinstein.
[01:04:47.760 --> 01:04:51.760]  She sits up there on Capitol Hill defecating all over us.
[01:04:51.760 --> 01:04:53.760]  And I quite frankly am tired of her.
[01:04:53.760 --> 01:04:57.760]  I want her out of my life, out of my country, and off my back.
[01:04:57.760 --> 01:04:58.760]  You stinking witch.
[01:04:58.760 --> 01:05:24.760]  This man wants your guns.
[01:05:24.760 --> 01:05:28.760]  This is the perfect tool.
[01:05:28.760 --> 01:05:35.760]  12 of these delivered to the door of the institution's groups and individuals that you want to influence and wake up.
[01:05:35.760 --> 01:05:38.760]  Sign up for the free digital eversion at infowars.com.
[01:05:38.760 --> 01:06:05.760]  Now that we have moved into the winter season, there is an increased need to support our immunity.
[01:06:05.760 --> 01:06:09.760]  There is an increased need to support our immunity and health.
[01:06:09.760 --> 01:06:16.760]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[01:06:16.760 --> 01:06:21.760]  Our most popular silver-based products are the 32-ounce nano-silver solutions,
[01:06:21.760 --> 01:06:27.760]  our 2-ounce nano-silver nasal applicators, as well as our all-natural silver soaps.
[01:06:27.760 --> 01:06:31.760]  Just released is our 100% natural silver gel.
[01:06:31.760 --> 01:06:38.760]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[01:06:38.760 --> 01:06:44.760]  But rather, we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera
[01:06:44.760 --> 01:06:49.760]  to quickly penetrate and nourish the skin while delivering the silver more effectively.
[01:06:49.760 --> 01:06:58.760]  Visit www.silverlungs.com and click on our store page to find what silver-based products are best for you.
[01:06:58.760 --> 01:07:01.760]  That's www.silverlungs.com.
[01:07:28.760 --> 01:07:31.760]  So even if the grid goes down, you're protected.
[01:07:31.760 --> 01:07:38.760]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit, or shed.
[01:07:38.760 --> 01:07:46.760]  SimplySafe is also ridiculously easy to install yourself in under 20 minutes, so there's no need to let a stranger into your home.
[01:07:46.760 --> 01:07:50.760]  If you move or need to relocate, you can take the system with you wherever you go.
[01:07:50.760 --> 01:07:56.760]  SimplySafe will stand guard protecting your property 24 hours a day, 7 days a week.
[01:07:56.760 --> 01:08:01.760]  Go to GetSimplySafe.com. That's GetSimplySafe.com.
[01:08:26.760 --> 01:08:31.760]  It is Monday, the 31st day of December 2012.
[01:08:31.760 --> 01:08:38.760]  This year has gone by the fastest of any in my life. Just light speed.
[01:08:38.760 --> 01:08:46.760]  Tomorrow, I'm going to be here live on the first day of January 2013.
[01:08:46.760 --> 01:08:53.760]  A lot of people ask me, because I'm not bragging about it, why were you here during the Christmas week?
[01:08:53.760 --> 01:09:01.760]  A lot of the week. Why were you shooting videos for infowars.com on Christmas Day?
[01:09:01.760 --> 01:09:06.760]  Why are you uploading videos at 1 a.m.? People can see them go live on YouTube.
[01:09:06.760 --> 01:09:14.760]  Why are you going to be here on the last day of the year? Why are you going to be here tomorrow?
[01:09:14.760 --> 01:09:23.760]  That'd be like asking on Christmas Day if I saw somebody robbing my car out in the driveway, why I'd go out and tell them to put their hands up and call the police.
[01:09:23.760 --> 01:09:39.760]  I mean, we're under attack, ladies and gentlemen. It's not some extraordinary thing that I'm here fighting as much as I can.
[01:09:39.760 --> 01:09:47.760]  What's valuable in my life is standing up to these tyrants and having an effect. We're having an effect against them.
[01:09:47.760 --> 01:09:55.760]  Our reports about foreign governments, Russia and China calling for the UN Treaty to disarm us and saying they want to help Obama.
[01:09:55.760 --> 01:10:02.760]  Bizarre. Off the chart stuff. Dianne Feinstein owning guns but saying you shouldn't be able to own guns.
[01:10:02.760 --> 01:10:10.760]  Off the chart stuff. I mean, I would have been at home anyways today researching. This morning I found the clip.
[01:10:10.760 --> 01:10:18.760]  Had 100 views from 60 minutes, 101 views, been up for a while.
[01:10:18.760 --> 01:10:28.760]  Of Dianne Feinstein on 60 minutes saying, Mr. and Mrs. America, I want to take your guns.
[01:10:28.760 --> 01:10:36.760]  I'm going to take your guns. I'm going to play the clip here in a moment. That is sensational because people don't read bills.
[01:10:36.760 --> 01:10:42.760]  Her bill says they can take any guns they want and actually confiscate them.
[01:10:42.760 --> 01:10:48.760]  But it's written where it says, well, you'll have to register guns you already own that are already registered to the next.
[01:10:48.760 --> 01:10:54.760]  You'll come in and we can either approve you keeping them or we may just order you to turn them in and we'll pay you for them.
[01:10:54.760 --> 01:11:07.760]  I mean, that is sensational. That makes me walk around and start hyperventilating. I mean, I'm going to be honest with you.
[01:11:07.760 --> 01:11:13.760]  I can have some tough guy try to start a fight with me on the street and I don't start hyperventilating.
[01:11:13.760 --> 01:11:21.760]  But I've been walking around my house and things basically having the beginnings of anxiety attacks and hyperventilating.
[01:11:21.760 --> 01:11:30.760]  Okay, because I know what it means that they're coming for our guns.
[01:11:30.760 --> 01:11:37.760]  I realize how big of a threat this is. I mean, I'm not even getting chills anymore over this.
[01:11:37.760 --> 01:11:45.760]  I am just literally trying to control myself because I've got the energy that wild horses couldn't drag me away from this microphone.
[01:11:45.760 --> 01:11:51.760]  And then I get on the air and I'm so wound up, I can't even hardly talk now.
[01:11:51.760 --> 01:12:02.760]  Do you know what it signifies that this mafia that runs the Senate, a bunch of insider trading crooks on record?
[01:12:02.760 --> 01:12:10.760]  Do you know what it means when they have this wild look in their eye and the arrogance their minions are displaying and all the activities they're engaged in?
[01:12:10.760 --> 01:12:17.760]  You know what it tells me? It tells me they're going after our guns no matter what.
[01:12:17.760 --> 01:12:21.760]  And then a lot of you are like, well, I'll just turn them in.
[01:12:21.760 --> 01:12:25.760]  Yeah, you know what comes after you turn those guns in?
[01:12:25.760 --> 01:12:36.760]  You see, this isn't just going to be like Australia or New Zealand where they got rid of the guns and flooded the country with foreigners who go around beating up the Australians in mass and then the police protect the foreigners.
[01:12:36.760 --> 01:12:45.760]  It won't just be good old socialist Balkanization. The globalists have said they're going to go after the veterans.
[01:12:45.760 --> 01:12:55.760]  We have the biggest prison population in the world. We have 7 million people a year in the criminal justice system, 4.5 million pushing 5 million in prison.
[01:12:55.760 --> 01:13:13.760]  They have school programs from Virginia to Arizona, from California to Michigan, where the correction core, the big private prison industry, runs security in the schools and are basically training the kids how to be prisons.
[01:13:13.760 --> 01:13:38.760]  And they have contracts on how they guarantee the prisons will be 90% filled with people in the area and the police go out on quota to arrest people and trump up charges of need be to put you in jail, just like Tulia, Texas, where the locals owned part of the private prison and put the entire male black population of the town in jail in the prison.
[01:13:38.760 --> 01:13:42.760]  Slavery is back, ladies and gentlemen.
[01:13:42.760 --> 01:13:47.760]  And now they want to fill the prisons with veterans and gun owners.
[01:13:47.760 --> 01:13:50.760]  We are a prison society now.
[01:13:50.760 --> 01:13:54.760]  Prisons are colleges of corruption.
[01:13:54.760 --> 01:14:11.760]  They send you to the jails, to the juvenile halls, to the prisons where you are immediately gang raped, you are immediately beaten until you submit and join the gang.
[01:14:11.760 --> 01:14:19.760]  And if you are white, you join the white supremacist, the Aryans.
[01:14:19.760 --> 01:14:22.760]  If you're black, you join the black supremacist.
[01:14:22.760 --> 01:14:25.760]  If you're Hispanic, you join the Hispanic supremacist.
[01:14:25.760 --> 01:14:31.760]  If you are Asian, you join the Asian supremacist racial triads.
[01:14:31.760 --> 01:14:40.760]  The prisons are set up and they put each head of the gang over their wing and the gangs run security.
[01:14:40.760 --> 01:14:49.760]  That way, the private prisons can have a minimal guard force and sit back and ship the drugs in to be sold to the prisoners.
[01:14:49.760 --> 01:14:51.760]  And you ask, how do they sell them drugs?
[01:14:51.760 --> 01:15:05.760]  They sell their bodies, they sell their blood and they sell their labor in the private prison industries, working for 25 cents an hour on average, to then displace our jobs on the outside.
[01:15:05.760 --> 01:15:08.760]  This government is light years into evil.
[01:15:08.760 --> 01:15:12.760]  This government engages in things openly that no other government's ever done.
[01:15:12.760 --> 01:15:18.760]  Open torture, open child sex slave trafficking, mainstream news, nobody gets in trouble.
[01:15:18.760 --> 01:15:34.760]  The government is now an army of murderers, criminals, pedophiles, insider trader types, high frequency trading, total fraud.
[01:15:34.760 --> 01:15:42.760]  We have a giant criminal network in control and now they're ready to dissolve the rest of the country.
[01:15:42.760 --> 01:15:49.760]  Because in the past, it was only poor people targeted by this. In the past, it was the weak targeted.
[01:15:49.760 --> 01:15:54.760]  In the past, this system operated like roaches right behind the wall in the crawl spaces.
[01:15:54.760 --> 01:16:00.760]  Now they're blowing their trumpet and announcing they're going to charge the general population.
[01:16:00.760 --> 01:16:05.760]  They're coming for us.
[01:16:05.760 --> 01:16:12.760]  What I tell you a month ago on here, and since then every week, drums, drums, drums in the deep, they are coming.
[01:16:12.760 --> 01:16:19.760]  My instincts, not just my intellect, are 10 times any concern I've ever had.
[01:16:19.760 --> 01:16:25.760]  If it was a Richter scale, the needle is slamming and pegging.
[01:16:25.760 --> 01:16:29.760]  Okay?
[01:16:29.760 --> 01:16:35.760]  They're probably getting ready to blow up a bunch of federal buildings and blame it on us. Mass murders, stuff that'll make fast and furious.
[01:16:35.760 --> 01:16:44.760]  As Larry Pratt said, if they stage fast and furious consciously that killed thousands, including hundreds of children, at least five U.S. police officers, they will stage anything.
[01:16:44.760 --> 01:16:52.760]  They are staging it all. The timing, the M.O., the whole story, all of it. They're doing it.
[01:16:52.760 --> 01:17:00.760]  My gut knows, but even if you don't go with your gut, look at what they're doing. Look at how they're operating.
[01:17:00.760 --> 01:17:15.760]  And you know, one reason my gut is so twisted right now is that I know I've crossed a threshold into a zone where there's a very good chance they're going to kill me.
[01:17:15.760 --> 01:17:17.760]  You know what? I don't care.
[01:17:17.760 --> 01:17:25.760]  In fact, it's more than not caring. I'm committed to this, to a level of I'm not glad about that danger, but I accept it.
[01:17:25.760 --> 01:17:38.760]  And it lets me know I'm living a true life of value and an example to others despite all my problems and that I am truly defending humanity and truly living.
[01:17:38.760 --> 01:18:02.760]  And I'm so alive that beauty in the world, both physical and emotional and spiritual, is opening up to me to levels that I've never even known because I'm now stepping in to the true ultimate goal of humanity is to be able to lay down your life for your others,
[01:18:02.760 --> 01:18:05.760]  to lay down your life for the innocent.
[01:18:05.760 --> 01:18:15.760]  And again, I'm not saying this is going to happen. You're praying for me. You're out there, but I just want to tell you something. The danger zone is here.
[01:18:15.760 --> 01:18:23.760]  We are on that highway to the danger zone. It's a cheesy song, but it says it all. Can we find that and play that? Thank you.
[01:18:23.760 --> 01:18:26.760]  It's on YouTube. I think we even have it saved.
[01:18:26.760 --> 01:18:32.760]  Maybe we should come back with that and then go to phone calls because you're all on that highway to danger zone.
[01:18:32.760 --> 01:18:41.760]  So many people consciously think that they're going to go along with this and you'll be safe. No, the only way you're safe is by facing it.
[01:18:41.760 --> 01:18:49.760]  So I ask you all to pray for us because we have people that want the guns of Mr. and Mrs. America. They want the average person disarmed.
[01:18:49.760 --> 01:18:59.760]  They hate you because they know you're good. They're evil. They want you helpless. Let's go to Diane Feinstein saying, Mr. and Mrs. America, get ready to turn in your guns.
[01:18:59.760 --> 01:19:05.760]  This is her wish if she had the votes. She didn't have it 15 years ago. She's got them now. Here it is.
[01:19:05.760 --> 01:19:14.760]  California Senator Diane Feinstein worked for more than a year to get the assault weapons bill passed in the face of ferocious opposition from the National Rifle Association.
[01:19:14.760 --> 01:19:17.760]  She says she got the best she could.
[01:19:17.760 --> 01:19:30.760]  If I could have gotten 51 votes in the Senate of the United States for an outright ban picking up every one of them, Mr. and Mrs. America, turn them all in.
[01:19:30.760 --> 01:19:36.760]  I would have done it. I could not do that. The votes weren't here.
[01:19:36.760 --> 01:19:47.760]  And see, the reason she said that, I've noticed these witches always do it with other witches. She was on with one of the witches from 60 Minutes.
[01:19:47.760 --> 01:19:57.760]  When these witches, these anti-man, anti-family, anti-children, eugenics, abortion-loving, just whores of death, these angels of death.
[01:19:57.760 --> 01:20:02.760]  One of the new angels of death, of course, is Brad Pitt's wife.
[01:20:02.760 --> 01:20:09.760]  We have witnessed two terrible storms in the east, but we are still in the eye of the perfect storm.
[01:20:09.760 --> 01:20:12.760]  The most devastating economic conditions since the Great Depression.
[01:20:12.760 --> 01:20:18.760]  America's worst drought in agricultural history, and now the economic results of the presidential election.
[01:20:18.760 --> 01:20:21.760]  This perfect storm is a huge threat to everyone's food supply.
[01:20:21.760 --> 01:20:26.760]  I just doubled down and got even more supplies from EatFoodsDirect, and I recommend you do the same.
[01:20:26.760 --> 01:20:29.760]  It's time to get your own supply from EatFoodsDirect.
[01:20:29.760 --> 01:20:32.760]  I know I won't be standing in a bread line trading my freedom for food.
[01:20:32.760 --> 01:20:36.760]  I'm taking control of my future, and you're nuts if you don't do the same.
[01:20:36.760 --> 01:20:44.760]  Go to EatFoodsDirect.com forward slash Alex to find the specials, and you can start with a holiday gift pack that's normally $80, now under $50.
[01:20:44.760 --> 01:20:47.760]  Remember, I can warn you, but I can't feed you.
[01:20:47.760 --> 01:20:52.760]  Call 800-409-5633 or EatFoodsDirect.com forward slash Alex.
[01:20:52.760 --> 01:20:55.760]  Would you rather prepare six months too early, or one day too late?
[01:20:55.760 --> 01:21:00.760]  009-5633 or EatFoodsDirect.com forward slash Alex.
[01:21:26.760 --> 01:21:30.760]  Rather than decomposition, the bokashi system uses fermentation to break down waste,
[01:21:30.760 --> 01:21:36.760]  so it takes less time to create nutrient-dense humus for crops or gardens with no turning and no obnoxious odors.
[01:21:36.760 --> 01:21:41.760]  To learn more and order your bokashi online, visit tarragonix.com and click on the orange button.
[01:21:41.760 --> 01:21:50.760]  That's tarragonix.com, spelled T-E-R-A-G-A-N-I-X.com, or call 866-369-3678.
[01:21:50.760 --> 01:21:53.760]  That's 866-369-3678.
[01:21:53.760 --> 01:21:59.760]  Recycle all your food wastes in about six weeks with the bokashi food waste recycling system from tarragonix.com.
[01:21:59.760 --> 01:22:02.760]  Tarragonix, life's getting better.
[01:22:02.760 --> 01:22:05.760]  Hey there, Frank Bates here.
[01:22:05.760 --> 01:22:10.760]  Have you heard about the weird device that could wipe out 280 million Americans?
[01:22:10.760 --> 01:22:12.760]  This is really scary stuff.
[01:22:12.760 --> 01:22:17.760]  Defense experts warn that this odd device poses the greatest threat we've ever known.
[01:22:17.760 --> 01:22:25.760]  In fact, just a few weeks ago, former Speaker of the House, Newt Gingrich, wrote an op-ed piece for the Washington Post warning about this deadly threat.
[01:22:25.760 --> 01:22:28.760]  I can't believe that more people aren't talking about this.
[01:22:28.760 --> 01:22:32.760]  It may be because the liberals and the government are trying to cover it up.
[01:22:32.760 --> 01:22:40.760]  That's why my friend just created a free video at WeirdDevice.com that exposes this threat and blows the doors off of conspiracy.
[01:22:40.760 --> 01:22:51.760]  Go watch the shocking video at WeirdDevice.com right now to discover exactly what it is, plus discover the number one way you and your family can survive this deadly attack.
[01:22:51.760 --> 01:22:56.760]  I'm not sure how long this video will be online, so go to WeirdDevice.com before it's gone forever.
[01:22:56.760 --> 01:23:11.760]  Again, that's WeirdDevice.com.
[01:23:26.760 --> 01:23:33.760]  The answer to protecting your assets is simple.
[01:23:33.760 --> 01:23:41.760]  Call John Ballman today at 1-800-686-2237 extension 169.
[01:23:41.760 --> 01:23:44.760]  Get all your questions answered before your money is worth a zero.
[01:23:44.760 --> 01:23:50.760]  Call 1-800-686-2237 extension 169.
[01:23:50.760 --> 01:23:53.760]  Take action today while we still accept paper dollars for gold.
[01:23:53.760 --> 01:24:02.760]  That's 1-800-686-2237 extension 169.
[01:24:02.760 --> 01:24:28.760]  When good people stand down and just decide the government's their friend, everything goes to Hades and a handbasket.
[01:24:28.760 --> 01:24:37.760]  If you know it out in my mind, they killed Andrew Breitbart. The more I've investigated it, he was coming out with big investigations on Dianne Feinstein and insider trading.
[01:24:37.760 --> 01:24:43.760]  He's been doing some research on Feinstein. People that go after her don't end up too well.
[01:24:43.760 --> 01:24:49.760]  She's a monstrous person who wants Mr. and Mrs. America disarmed.
[01:24:49.760 --> 01:24:56.760]  If she had the vote, she'd say, Mr. and Mrs. America, turn your guns in to me.
[01:24:56.760 --> 01:25:01.760]  And now the president's going to follow her recommendations and she controls what bills are introduced.
[01:25:01.760 --> 01:25:08.760]  And the bill openly states at the discretion of the ATF, all guns can be ordered turned in.
[01:25:08.760 --> 01:25:11.760]  I've read it. It's open-ended.
[01:25:11.760 --> 01:25:16.760]  Assault weapons and other firearms.
[01:25:16.760 --> 01:25:25.760]  It's all written open-ended. And because it's so over the top, people like, oh, it can't mean that.
[01:25:25.760 --> 01:25:29.760]  He comes out and says, oh, yes, it does. Yes, it does.
[01:25:29.760 --> 01:25:33.760]  Do I get an apology from anybody out there?
[01:25:33.760 --> 01:25:37.760]  I mean, have you noticed that everything we've talked about is starting to come true?
[01:25:37.760 --> 01:25:40.760]  Do you want the other stuff to come true?
[01:25:40.760 --> 01:25:46.760]  Because a lot of people say, Alex, they leave you on the radio because they think you're just scaring people.
[01:25:46.760 --> 01:25:52.760]  And so I went and did some investigation into that and did find I've talked to a lot of people.
[01:25:52.760 --> 01:26:00.760]  I've talked to professional athletes off record, UFC people, baseball players, you name it, basketball players, boxers.
[01:26:00.760 --> 01:26:05.760]  I mean, these are like tough guys.
[01:26:05.760 --> 01:26:11.760]  In fact, when I've been with Joe Rogan many times behind the scenes with top UFC people,
[01:26:11.760 --> 01:26:18.760]  they'll say, hey, man, I listen to your show all the time, but I have to turn it off because it's so scary, it freaks me out.
[01:26:18.760 --> 01:26:22.760]  But you know, that's why they're tough guys because they're in the real world.
[01:26:22.760 --> 01:26:27.760]  Somebody who really is a fighter, somebody who's been on the streets, a lot of those guys are like, you know, out of prison and stuff.
[01:26:27.760 --> 01:26:35.760]  They know when they hear stuff, it's dangerous. See, it's manly to actually know that there's a danger and want to deal with it.
[01:26:35.760 --> 01:26:46.760]  Cowards are so cowardly that they lie to themselves and say things aren't happening.
[01:26:46.760 --> 01:26:51.760]  You know what I'm talking about? You've ever been around people that are, you know, really tough but don't brag about it,
[01:26:51.760 --> 01:26:55.760]  but also smart in business, whatever it is, and they have those wily eyes.
[01:26:55.760 --> 01:26:59.760]  You can see the intelligence in people's eyes. It's amazing.
[01:26:59.760 --> 01:27:03.760]  And anybody that has intelligence in their eyes knows we're in deep trouble,
[01:27:03.760 --> 01:27:08.760]  but then you get these other people who just smile at you and giggle like everything's funny.
[01:27:08.760 --> 01:27:15.760]  This is a short segment. I'm going to go to Brayton, come back and talk to Judy, Frankie, Frank, David, Ken and many others.
[01:27:15.760 --> 01:27:28.760]  I'm basically like somebody on the coast of a town when a 200-mile-an-hour hurricane's coming in with 30-foot swells,
[01:27:28.760 --> 01:27:33.760]  and I'm saying, folks, brace for impact. You understand?
[01:27:33.760 --> 01:27:42.760]  People out there tend to think that when you talk about something, it makes it happen.
[01:27:42.760 --> 01:27:48.760]  That by merely discussing all this evil and bringing it into people's attention,
[01:27:48.760 --> 01:27:56.760]  that somehow now I'm ruining their day, that I'm somehow making it a reality because they didn't previously know about it.
[01:27:56.760 --> 01:28:02.760]  Folks, the evil was already there whether you knew about it or not.
[01:28:02.760 --> 01:28:11.760]  You ever walked out to a picnic table and you're sitting there eating at the picnic table for about an hour and you're cooking hamburgers?
[01:28:11.760 --> 01:28:15.760]  This happened to me once at Enchanted Rock in college.
[01:28:15.760 --> 01:28:22.760]  I'm sitting there cooking hamburgers, big bathaliff rock cropping outside Austin,
[01:28:22.760 --> 01:28:30.760]  and there's some ladies out there and some friends and we're drinking Bloody Marys.
[01:28:30.760 --> 01:28:38.760]  I'm sitting there and I look underneath the bench and there's a rattlesnake coiled up right there.
[01:28:38.760 --> 01:28:41.760]  It was cold outside, I think it was in the spring.
[01:28:41.760 --> 01:28:47.760]  He'd come out and try to get some sun up under the edge where the sun was shooting underneath it,
[01:28:47.760 --> 01:28:50.760]  and there was a big old rattlesnake right there.
[01:28:50.760 --> 01:28:55.760]  Now, I guess as a modern trendy, I would just say, there's nothing there, I'm positive.
[01:28:55.760 --> 01:28:58.760]  I was like, whoa, everybody, real calm.
[01:28:58.760 --> 01:29:05.760]  Let's get up, let's back out of here and we threw rocks at it until the rattlesnake got woke up because he was cold.
[01:29:05.760 --> 01:29:14.760]  Not very dangerous then because they can't strike very good and slithered off to a hole.
[01:29:14.760 --> 01:29:18.760]  Same thing, one time I was in a deer blind.
[01:29:18.760 --> 01:29:24.760]  Started deer season and I'd gotten in there at dark and I'm sitting in the deer blind on the ground
[01:29:24.760 --> 01:29:28.760]  and when I got up, I was in there smoking cigarettes back then, still smoked,
[01:29:28.760 --> 01:29:34.760]  I got up and I went out and urinated and I came back and I looked and there was a copperhead coiled up.
[01:29:34.760 --> 01:29:40.760]  But it's the same deal, it's not like seeing the snake made the snake be there and now I was in danger.
[01:29:40.760 --> 01:29:44.760]  Thank God now I've seen the snake, now I know it's there.
[01:29:44.760 --> 01:29:51.760]  You see what I'm saying? You understand? The snake's there whether you admit it or not.
[01:29:51.760 --> 01:29:55.760]  We're on the march, the Empire's on the run.
[01:29:55.760 --> 01:30:22.760]  Alex Jones and the GCN Radio Network.
[01:30:25.760 --> 01:30:28.760]  They did research on that I personally use.
[01:30:28.760 --> 01:30:33.760]  We've got the Lifestraw so you can turn fetted water into safe water anywhere you go.
[01:30:33.760 --> 01:30:38.760]  The K-Tour Hand Crank Generator to charge up key equipment during power outages or out in the field.
[01:30:38.760 --> 01:30:41.760]  Strategic Relocation Third Edition by Joel Scousum.
[01:30:41.760 --> 01:30:44.760]  When Disaster Strikes by Matthew Stein.
[01:30:44.760 --> 01:30:49.760]  TheraSafe used by Homeland Security to protect yourself during any radiological event.
[01:30:49.760 --> 01:30:51.760]  Hand Crank Shortwave AMFM Radios.
[01:30:51.760 --> 01:30:56.760]  Everything that we've researched and found to be the best is available at infowarshop.com
[01:30:56.760 --> 01:30:59.760]  and your purchase makes our info war possible.
[01:30:59.760 --> 01:31:03.760]  We're getting prepared. Are you infowarshop.com?
[01:31:03.760 --> 01:31:07.760]  Millions of people are going to get sick this winter from colds, flu and other illnesses.
[01:31:07.760 --> 01:31:11.760]  Don't be one of them. Protect yourself with supernatural silver.
[01:31:11.760 --> 01:31:14.760]  A revolutionary new broad spectrum antibacterial solution.
[01:31:14.760 --> 01:31:20.760]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria.
[01:31:20.760 --> 01:31:24.760]  Viruses mold and food poisoning and help improve wound healing.
[01:31:24.760 --> 01:31:27.760]  Supernatural silver is safe enough to consume every day,
[01:31:27.760 --> 01:31:31.760]  while powerful enough to destroy the causes of many serious diseases such as strep,
[01:31:31.760 --> 01:31:35.760]  staph, pneumonia, colds, flus and other harmful pathogens.
[01:31:35.760 --> 01:31:39.760]  This new technology has the ability to terminate entire colonies of harmful bacteria
[01:31:39.760 --> 01:31:44.760]  at several hundred times the effectiveness of colloidal or ionic silver solutions.
[01:31:44.760 --> 01:31:48.760]  The Science Digest Journal says silver is our mightiest germ fighter.
[01:31:48.760 --> 01:31:52.760]  It is naturally non-toxic and is emerging as a wonder of modern medicine.
[01:31:52.760 --> 01:31:58.760]  Go to supernaturalsilver.com today and use the promo code silver2012 for 20% off.
[01:31:58.760 --> 01:32:02.760]  That's supernaturalsilver.com and like us on Facebook.
[01:32:04.760 --> 01:32:09.760]  We have witnessed two terrible storms in the east, but we are still in the eye of the perfect storm.
[01:32:09.760 --> 01:32:13.760]  The most devastating economic conditions since the Great Depression.
[01:32:13.760 --> 01:32:16.760]  America's worst drought in agricultural history.
[01:32:16.760 --> 01:32:18.760]  Economic results of the presidential election.
