[00:00.000 --> 00:06.000]  Waging War on Corruption.
[33:57.000 --> 33:59.000]  I apologize.
[33:59.000 --> 34:07.000]  We are a working live international news center here in Austin, Texas called Infowars Dreaded by the Globalist.
[34:07.000 --> 34:10.000]  During the break, he called us back.
[34:10.000 --> 34:14.000]  That's right, he's coming up next segment or maybe the start of the next hour.
[34:14.000 --> 34:20.000]  In the next 30 minutes, the clip you just heard us play earlier, that's one of the top stories in the United States.
[34:20.000 --> 34:22.000]  I mean, it's everywhere.
[34:22.000 --> 34:29.000]  The gentleman is going to be on the show with us, who was in Atlanta, Georgia, and went into the vape shop.
[34:29.000 --> 34:36.000]  Unhinged leftist has meltdown, mental meltdown, refuses service to Trump supporter, physically attacks him.
[34:36.000 --> 34:38.000]  That gentleman was fired.
[34:38.000 --> 34:46.000]  Well, it turns out, of course, our Trump supporter is busy on Sunday night working repairing shell towers.
[34:46.000 --> 34:48.000]  He's on top a shell tower right now.
[34:48.000 --> 34:52.000]  He already tweeted today and put on his Facebook. We'll show it later.
[34:52.000 --> 34:58.000]  Ian Ferguson, that he's up on a cell tower fixing it in Atlanta, Georgia.
[34:58.000 --> 35:02.000]  So he's going to be joining us during his next break.
[35:02.000 --> 35:06.000]  He's got a 15-minute break and he'll be able to join us to just get into this.
[35:06.000 --> 35:13.000]  And listen, the leftist is crazy. I was at Whole Foods yesterday.
[35:13.000 --> 35:22.000]  My wife went to me to shop at Mother. I don't tell her where to shop. She shops all over. She tries not to buy from Amazon or, you know, from other global scripts that base those zones at Whole Foods.
[35:22.000 --> 35:28.000]  But she wanted some particular food there. And so we go there. It's right by our house, too.
[35:28.000 --> 35:38.000]  And like twice, dudes would walk over while I'm pushing the cart and swing their face in like an inch and say, like, you're a danger to America.
[35:38.000 --> 35:40.000]  I'm going left.
[35:40.000 --> 35:47.000]  One guy said, you're a danger to America. I'm going left and then stomped away with his wife or his girlfriend.
[35:47.000 --> 35:50.000]  I'm like, okay, whatever that means.
[35:50.000 --> 35:59.000]  And then another guy, while I'm literally buying my daughter a stuffed animal, except at the front, they had some stuffed animals.
[35:59.000 --> 36:05.000]  He walks over and he goes, hope you're proud of what you've done. Hope you're proud.
[36:05.000 --> 36:10.000]  But we're ashamed of you. Like that. I mean, okay, well, you're a mental patient.
[36:10.000 --> 36:15.000]  But they didn't dump coffee on my head. They didn't scream at me. They were to take me outside and check my butt.
[36:15.000 --> 36:20.000]  So it's like, okay, great. Didn't say a word. Like, okay, great.
[36:20.000 --> 36:24.000]  But I should know better to go into Whole Foods.
[36:24.000 --> 36:29.000]  And by the way, once I got in the Whole Foods, the first guy in front of me, I'm like, I'm in a blue city, Austin.
[36:29.000 --> 36:32.000]  I'm in a Whole Foods. The blue is the blue.
[36:32.000 --> 36:36.000]  Don't I expect this? And I kind of do, but it's not like I'm feeling bad.
[36:36.000 --> 36:43.000]  Oh, these people are in my face. These are un-American authoritarian dirtbags who worship Jeff Bezos,
[36:43.000 --> 36:51.000]  who pays no taxes, totally ruthless, screws in his employees over, and lobbies for taxes to be raised in the middle class.
[36:51.000 --> 36:55.000]  I mean, these people are schmucks. They're chumps.
[36:55.000 --> 37:02.000]  I'm a classical liberal. I believe in lower taxes, more personal freedom, the right to defense.
[37:02.000 --> 37:07.000]  I was a libertarian 24 years ago when I got on air.
[37:07.000 --> 37:12.000]  I wasn't virtue signaling to gay people that I didn't hate them when I said I don't hate you.
[37:12.000 --> 37:18.000]  I wasn't virtue signaling, you know, when I said that people can live their own lives.
[37:18.000 --> 37:24.000]  But it's the left that won't let me live my life. And I'm sick of it. I'm tired of it.
[37:24.000 --> 37:30.000]  And you know what? I've gone through the fire. I'm not worried anymore.
[37:30.000 --> 37:38.000]  You know, I'm on a level of things, which I'm not bragging about, by the way, it's actually sickening,
[37:38.000 --> 37:42.000]  where there's very few men that'll stand up for what's right.
[37:42.000 --> 37:50.000]  So if you do that, you're immediately elevated up to contending with the globalist.
[37:50.000 --> 37:58.000]  And the average man just completely sells out of the system and they'll just do whatever.
[37:58.000 --> 38:02.000]  They'll just virtue signal to whatever the corporate America wants.
[38:02.000 --> 38:07.000]  Well, then corporate America is run by a bunch of extremists. They want submission.
[38:07.000 --> 38:15.000]  They're going to give you a request that you're not going to be able to submit to at a certain point.
[38:15.000 --> 38:20.000]  And that's what's frustrating. The globalists don't want to compromise with anybody.
[38:20.000 --> 38:24.000]  They want total power.
[38:24.000 --> 38:32.000]  Google, Facebook, Twitter, General Electric, all the Fortune 100 pay almost zero taxes,
[38:32.000 --> 38:38.000]  write the laws to pay zero taxes, fund Black Lives Matter and cop killer organizations
[38:38.000 --> 38:45.000]  and Metro La Raja as a virtue signal while Americans all fight and kill each other, their lobbying for higher taxes
[38:45.000 --> 38:56.000]  on the middle class, which they extract in government contracts, laughing all the way to the bank on us.
[38:56.000 --> 39:02.000]  And then I've got to routinely have some college educated wimp, some beta mail.
[39:02.000 --> 39:08.000]  You know, I told the story about them three weeks ago and I wish I'd have controlled myself better because I usually do.
[39:08.000 --> 39:15.000]  But I was coming up here to a Saturday show. I bought the crew breakfast tacos at a taco deli.
[39:15.000 --> 39:19.000]  And this lady walks over and she gets in my face, starts calling me all these names.
[39:19.000 --> 39:22.000]  And I just ignore it. I go, okay, lady, thanks a lot.
[39:22.000 --> 39:29.000]  And her husband leans over while I'm sitting there and bumps me with his chest and stomach into my head and goes, shut the hell up.
[39:29.000 --> 39:36.000]  And then I got up. I didn't touch him. And I started talking to him.
[39:36.000 --> 39:43.000]  They begin to panic and go, how dare you say this to us? Get away from us in front of everyone.
[39:43.000 --> 39:49.000]  They just come over and assaulted me. I mean, they got rammed into me and said, shut the F up.
[39:49.000 --> 39:53.000]  I get up, start talking. They start panicking. Oh my God, it's not, it's not like television.
[39:53.000 --> 40:02.000]  It's not a video game. He's really here. And all of a sudden, three other men and four other women who are sitting right outside the window.
[40:02.000 --> 40:07.000]  I'm sitting up against the window, run in and start going, F you racist, F you fascist.
[40:07.000 --> 40:12.000]  I'm trying to get my phone going and it's so overfilled with data. It's not videotaping and I'm sitting there.
[40:12.000 --> 40:18.000]  I got part of it on tape and they start, one guy was like, probably six, five. He goes, you got a problem?
[40:18.000 --> 40:24.000]  And I said, you know what I do? Go ahead. Let's go. Let's go. And the other guys are like, I'm a veteran.
[40:24.000 --> 40:30.000]  I was like, all of you, let's go. And I didn't start to fight. But man, I mean, give me a break.
[40:30.000 --> 40:37.000]  You guys, the mere fact there was for you against me, it had been total governors off.
[40:37.000 --> 40:41.000]  It had been not a pretty situation. And I'm not sitting here as a tough guy.
[40:41.000 --> 40:48.000]  I can't order tacos without your wife cussing at me and you cussing at me and bumping me.
[40:48.000 --> 40:53.000]  And then the minute I get up and start talking back.
[40:53.000 --> 40:59.000]  And by the way, a very quiet voice. I lean forward and I said, why are you in my face?
[40:59.000 --> 41:06.000]  This is America. Why did you just bump me and why are you cussing? And they went, oh, oh, help on.
[41:06.000 --> 41:12.000]  He's me. They went, oh, I hope you're proud of yourself. I remember they were like, Alex Jones, everyone.
[41:12.000 --> 41:21.000]  These people, it's like it was symbolic that they were going to bump me and they were going to tell me to.
[41:21.000 --> 41:29.000]  The little wimpy dude was going to tell me to f off. And then the rest of his family, big and small, came to tell me to shut up.
[41:29.000 --> 41:33.000]  And I'll be honest. It felt good to just go.
[41:33.000 --> 41:45.000]  And of course, none of them are willing to sign that check that they've been talking about.
[41:45.000 --> 41:54.000]  None of them. It's not that I'm tough. It's that you are a bunch of cowards wanted to have an expletive there, but I'm not going to do it.
[41:54.000 --> 41:59.000]  I said, no more table words, name and vein. Even though I don't take it as that, I will respect the audience and I'll do it.
[41:59.000 --> 42:10.000]  When I watch this next video of some six foot for huge dude with a pink shirt going, I'm a woman. If you come outside, I'll beat your ass.
[42:10.000 --> 42:17.000]  And it's some little liberal shopkeeper, probably five, five, like, dude, I don't mean the offense. Oh, you mean no offense.
[42:17.000 --> 42:28.000]  Even after the guy says I mean no offense. This linebacker with breast wants to piss in his face and make him submit.
[42:28.000 --> 42:33.000]  And I love even the daily color transgender woman. It's not a woman. It's a man.
[42:33.000 --> 42:41.000]  Transgender woman threatens to take it outside when GameStop employee uses the word sir.
[42:41.000 --> 42:51.000]  You got some big square jawed guy looks like Frankenstein with a wig on, bellies up to your bar and you're like Roger Stallback, what can I do for it?
[42:51.000 --> 42:59.000]  How dare you say I'm a man. You walk outside, I'm going to plaster your face on the concrete.
[42:59.000 --> 43:08.000]  The globalists know that if they suppress the good halogen and pump the environment full of the bad halogens, fluoride, chlorine, bromide, you name it, that it lowers IQ.
[43:08.000 --> 43:17.000]  It literally dumps the population down. And on our quest to bring our listeners and viewers the best iodine in the world, we've gone through two permutations.
[43:17.000 --> 43:24.000]  First seaweed based iodine that was pretty good but hard to source and the globalists tried to block us getting a supply of it.
[43:24.000 --> 43:30.000]  So we discovered deep earth crystals of pure nascent iodine and brought you X2. That's been incredible.
[43:30.000 --> 43:37.000]  Now, due to the establishment trying to block that, we did more research and secured more of the deep earth crystals of nascent iodine.
[43:37.000 --> 43:51.000]  But chemists, scientists and others showed us the research that by combining it with three other compounds, two forms of iodine and vitamin C, it supercharges it and makes it even more bioavailable.
[43:51.000 --> 43:55.000]  Ladies and gentlemen, you want to research it, you want to see it, it's an incredible discovery.
[43:55.000 --> 44:09.000]  X3, now available at enforcelife.com.
[44:26.000 --> 44:37.000]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive and brain health while providing DHA, which has been shown to be essential for your child's brain growth spurts.
[44:37.000 --> 44:47.000]  Built on powerful ingredients with 580 milligrams of high DHA omega-3, this formula is highly refined to eliminate nearly all heavy metals.
[44:47.000 --> 44:51.000]  If you're looking for a formula to help your child grow, look no further.
[44:51.000 --> 44:59.000]  Try Honor Roll from InfowarsLife at InfowarsStore.com.
[45:22.000 --> 45:29.000]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee bean.
[45:29.000 --> 45:34.000]  Carefully harvested and free of toxic chemicals used in big agricultural productions,
[45:34.000 --> 45:41.000]  Patriot blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[45:41.000 --> 45:49.000]  You can even choose to start your morning healthier with the immune support blend, infused with a powerful blend to support your immune response and stamina.
[45:49.000 --> 45:51.000]  It's time to take care of your morning routine.
[45:51.000 --> 46:20.000]  Get a bag of Patriot blend coffee to support the show while enhancing your morning routine at InfowarsStore.com.
[46:22.000 --> 46:26.000]  And your own best shot of having an early warning system in America to stand against these individuals.
[46:26.000 --> 46:32.000]  When you order products at InfowarsStore.com, you fund not just an American revolution, but a global revolution against tyranny.
[46:32.000 --> 46:38.000]  And we have the biggest specials ever running throughout to the end of the year as part of a total store clearance.
[46:38.000 --> 46:40.000]  Every order gets a free t-shirt.
[46:40.000 --> 46:42.000]  Every order gets free shipping.
[46:42.000 --> 46:45.000]  Every order gets 50% to 75% off in total clearance.
[46:45.000 --> 46:54.000]  And that funding allows us to go into the new year on sure footing to fund ourselves throughout the first part of the year to not just fight, but to expand.
[46:54.000 --> 46:56.000]  We're on the march, the empire's on the run.
[46:56.000 --> 46:57.000]  I salute you all.
[46:57.000 --> 47:24.000]  Now please take action at InfowarsStore.com.
[47:24.000 --> 47:32.000]  InfowarsStore.com is a dangerous place, not because of evil, but because of those who look on and do nothing.
[47:32.000 --> 47:36.000]  If you are receiving this transmission, you are the resistance.
[47:36.000 --> 47:40.000]  We now take you live to the Central Texas Command Center.
[47:40.000 --> 47:43.000]  It's Alex Jones.
[47:43.000 --> 47:45.000]  Well, I was just in there during the break.
[47:45.000 --> 47:50.000]  Epic live video from on top of Cell Tower, 100 feet over the ground.
[47:50.000 --> 47:58.000]  Ian Ferguson, who shot the number one video on the internet this weekend, this vape store clerk flipping out.
[47:58.000 --> 47:59.000]  He's wearing a Trump hat.
[47:59.000 --> 48:03.000]  That's coming up right now live on this Sunday edition.
[48:03.000 --> 48:07.000]  And again, you wear a Trump hat, you figure what it's like to be at Alex Jones or Donald Trump.
[48:07.000 --> 48:09.000]  I go out in public in many areas.
[48:09.000 --> 48:13.000]  People either buy my dinner and pat me on the back, or they try to physically attack me.
[48:13.000 --> 48:16.000]  But since I've mentioned it, here's dailycaller.com.
[48:16.000 --> 48:20.000]  A transgender woman threatens to take it outside.
[48:20.000 --> 48:23.000]  It's not a woman, it's a big dude with giant shoulders.
[48:23.000 --> 48:35.000]  When GameStop employee uses the word sir, again, this is a big dude, looks like a big dude, big square job, looks like, again, Frankenstein.
[48:35.000 --> 48:37.000]  And then starts getting really threatening.
[48:37.000 --> 48:39.000]  He's not just acting like a dude, he's acting like a jerk.
[48:39.000 --> 48:41.000]  Here it is.
[48:41.000 --> 48:45.000]  Excuse me, sir, there's a young man in here.
[48:45.000 --> 48:47.000]  Excuse me, it's ma'am.
[48:47.000 --> 48:48.000]  It is ma'am.
[48:48.000 --> 48:50.000]  I can call the police if you'd like me to.
[48:50.000 --> 48:51.000]  You need to settle down.
[48:51.000 --> 48:53.000]  You need to settle down and mind your business.
[48:53.000 --> 48:56.000]  Ma'am, once again, ma'am.
[48:56.000 --> 48:57.000]  I said both of you.
[48:57.000 --> 48:58.000]  No, you said sir.
[48:58.000 --> 49:00.000]  Once again, it's ma'am.
[49:00.000 --> 49:01.000]  I actually said both of you guys.
[49:01.000 --> 49:04.000]  Right beforehand, you f***ing said sir.
[49:04.000 --> 49:05.000]  Sir?
[49:05.000 --> 49:07.000]  F***ing take it outside.
[49:07.000 --> 49:10.000]  If you want to call me sir again, I will show you a f***ing sir.
[49:10.000 --> 49:11.000]  I followed you.
[49:11.000 --> 49:12.000]  I followed you.
[49:12.000 --> 49:21.000]  I need your corporate number because I'm going to call them and talk about how it's misgendered
[49:21.000 --> 49:22.000]  several times in the store.
[49:22.000 --> 49:24.000]  Misgendered, which is a law in California.
[49:24.000 --> 49:25.000]  I need your corporate number now.
[49:25.000 --> 49:27.000]  It starts kicking stuff over.
[49:27.000 --> 49:28.000]  It just goes on and on.
[49:28.000 --> 49:31.000]  But I want to get to our special guest, Big Exclusive here.
[49:31.000 --> 49:33.000]  Let's play a minute or two.
[49:33.000 --> 49:34.000]  It's like a four minute video.
[49:34.000 --> 49:35.000]  It's up on infowars.com.
[49:35.000 --> 49:37.000]  Tens of millions of views online.
[49:37.000 --> 49:39.000]  It's from dredgereport.com, linking to it.
[49:39.000 --> 49:44.000]  Unhinged leftist has mental breakdown and refuses service for Trump supporter.
[49:44.000 --> 49:45.000]  Invade shop.
[49:45.000 --> 49:49.000]  We're going to find out what happened before, what happened after, but here is part of that
[49:49.000 --> 49:50.000]  video.
[49:50.000 --> 49:55.000]  So here we are, ex-Hale of vapor city in Tuck, Georgia, and I have just been asked to leave
[49:55.000 --> 49:56.000]  the store.
[49:56.000 --> 49:58.000]  He greeted me.
[49:58.000 --> 49:59.000]  That was nice.
[49:59.000 --> 50:03.000]  I did find the item that I wanted and the next thing he said was that he'd like me to leave.
[50:03.000 --> 50:07.000]  If you do not stop recording in my store, I'm going to call the police and ask you to leave
[50:07.000 --> 50:08.000]  now.
[50:08.000 --> 50:09.000]  That would be awesome.
[50:09.000 --> 50:10.000]  That would be awesome.
[50:10.000 --> 50:13.000]  We can call Fox five and all sorts of stuff.
[50:13.000 --> 50:16.000]  He's got to protect himself from this limb bag.
[50:16.000 --> 50:19.000]  Please do call your boss because I will be calling corporate.
[50:19.000 --> 50:20.000]  Go for it.
[50:20.000 --> 50:25.000]  I am looking forward to releasing this video because I just want to purchase something f***
[50:25.000 --> 50:26.000]  up.
[50:26.000 --> 50:28.000]  Get the f*** up in here.
[50:28.000 --> 50:29.000]  Get the f*** up, man.
[50:29.000 --> 50:30.000]  Get the f*** up.
[50:30.000 --> 50:31.000]  Get the f*** up, man.
[50:31.000 --> 50:32.000]  Get the f*** up, man.
[50:32.000 --> 50:33.000]  Get the f*** up, man.
[50:33.000 --> 50:34.000]  Get the f*** up, man.
[50:34.000 --> 50:35.000]  Get the f*** up, man.
[50:35.000 --> 50:36.000]  Get the f*** up, man.
[50:36.000 --> 50:37.000]  Get the f*** up, man.
[50:37.000 --> 50:38.000]  Get the f*** up, man.
[50:38.000 --> 50:39.000]  You don't even do anything.
[50:39.000 --> 50:40.000]  You very much got to get this f*** up.
[50:40.000 --> 50:41.000]  Just look at that.
[50:41.000 --> 50:42.000]  That was an idiot, a racist white guy, obsessed with racing and transportation.
[50:42.000 --> 50:43.000]  Let's stop there.
[50:43.000 --> 50:44.000]  We'll play more of the video and get into the next hour.
[50:44.000 --> 50:49.100]  But he's on top, on his break, on top of a cell tower.
[50:49.100 --> 50:50.100]  Working on it.
[50:50.100 --> 50:51.100]  He's Ian Ferguson.
[50:51.100 --> 50:55.900]  I left out on a Sunday night, the second last day of the year, this guy is working for
[50:55.900 --> 50:58.160]  his family.
[50:58.160 --> 51:00.000]  And we've got the exclusive with him right now.
[51:00.000 --> 51:02.780]  I want to get into what happened, what happened before you started taping.
[51:02.780 --> 51:04.880]  Smart for you to do that half the time.
[51:04.880 --> 51:06.940]  I forget when this happens.
[51:06.940 --> 51:09.540]  Thank you for joining us Ian Ferguson.
[51:09.540 --> 51:12.140]  Hey, not just Sunday, it's my birthday.
[51:12.140 --> 51:13.420]  How are you doing, Alex?
[51:13.420 --> 51:16.020]  Good, brother, are you familiar with the show?
[51:16.020 --> 51:17.540]  Man, I've been watching you forever.
[51:17.540 --> 51:19.380]  I'm sorry what they did to you on YouTube, man.
[51:19.380 --> 51:20.620]  That's some bullshit.
[51:20.620 --> 51:21.900]  It's all right, we're gonna delay that,
[51:21.900 --> 51:25.500]  but we're on a lot of radio and TV stations.
[51:25.500 --> 51:26.660]  Wherever you wanna start, my friend,
[51:26.660 --> 51:28.540]  we appreciate you while you're up there working on top.
[51:28.540 --> 51:30.620]  I can see the cell tower right there you're hanging on.
[51:30.620 --> 51:32.340]  I mean, describe what happened.
[51:32.340 --> 51:33.500]  Climb down, I'm on the ground now.
[51:33.500 --> 51:35.060]  Oh, you finally came, earlier you're up there.
[51:35.060 --> 51:37.820]  We should have had you all when you were up there, sorry.
[51:37.820 --> 51:40.100]  That's what we were aiming for, it didn't work out.
[51:40.100 --> 51:41.300]  It's all right, go ahead.
[51:42.260 --> 51:44.540]  All right, so what can I tell you, man?
[51:44.540 --> 51:46.220]  I wanna talk all about it, what's up?
[51:46.220 --> 51:48.020]  Well, no, I mean describe going in,
[51:48.020 --> 51:50.420]  you're trying to get your wife some strawberry vape.
[51:50.420 --> 51:52.260]  I mean, what unfolded?
[51:52.260 --> 51:55.100]  Well, look, so I've been going there for years
[51:55.100 --> 51:57.020]  and I've actually got a story about this place,
[51:57.020 --> 51:58.740]  it's pretty cool, but I don't know,
[51:58.740 --> 52:00.220]  I was just standing there for a couple of minutes
[52:00.220 --> 52:02.460]  waiting on him to get done with the customer
[52:02.460 --> 52:05.300]  and they come up from the back of the store
[52:05.300 --> 52:07.420]  and he greeted me a second time
[52:07.420 --> 52:10.060]  and then as soon as he's like got a real good look at me,
[52:10.060 --> 52:11.820]  he said, no, you can go ahead and leave the store
[52:11.820 --> 52:13.420]  and I knew it was on, I grabbed the phone,
[52:13.420 --> 52:15.260]  turned on the video and it just ran.
[52:17.220 --> 52:19.020]  Well, again, if someone doesn't put on
[52:19.020 --> 52:22.380]  infowars.com shirt or a Trump shirt,
[52:22.380 --> 52:24.220]  they don't know how bad it is,
[52:24.220 --> 52:26.460]  but you put the uniform on,
[52:26.460 --> 52:29.900]  were you thinking that when you went in, what unfolded?
[52:29.900 --> 52:34.900]  You know, honestly, I had that thought
[52:35.100 --> 52:36.380]  as I was getting out of the truck
[52:36.380 --> 52:39.020]  that something felt different about it this time.
[52:39.020 --> 52:41.700]  You know, I've been in and out of that store for years now,
[52:41.700 --> 52:45.540]  but yes, I definitely had a, I don't know,
[52:45.540 --> 52:49.300]  premonition, hair, goose, pimples,
[52:49.300 --> 52:50.220]  whatever you want to call it.
[52:50.220 --> 52:52.300]  Yeah, something felt different.
[52:52.300 --> 52:53.780]  Well, it's definitely the number one video
[52:53.780 --> 52:54.860]  right now on YouTube.
[52:54.860 --> 52:58.340]  So, I mean, obviously the video picks part of it,
[52:58.340 --> 53:00.580]  this guy like slapping, he's hitting you,
[53:00.580 --> 53:02.780]  he's attacking you, you're being very calm.
[53:02.780 --> 53:04.220]  I mean, what was that like?
[53:05.780 --> 53:08.220]  Honestly, it was more exhilarating than anything.
[53:08.220 --> 53:10.060]  I mean, the guy's not a credible threat.
[53:11.420 --> 53:14.220]  I've been in trouble, I've been in danger
[53:14.220 --> 53:16.460]  and he was more laughable than anything.
[53:16.460 --> 53:18.180]  I feel bad for the guy.
[53:18.180 --> 53:20.580]  He don't ruin his life, he's home somewhere,
[53:20.580 --> 53:22.780]  not working right now, you know?
[53:22.780 --> 53:25.900]  He did get fired, but I mean, specifically,
[53:25.900 --> 53:28.500]  you live in Atlanta, how often do you go out
[53:28.500 --> 53:30.100]  and wear a Trump paraphernalia?
[53:31.100 --> 53:32.860]  All the time, all the time.
[53:34.300 --> 53:36.300]  As soon as I found out that it could potentially
[53:36.300 --> 53:39.340]  trigger somebody, I knew I wanted to be part of that.
[53:40.700 --> 53:43.180]  Just something about the strength of the message,
[53:43.180 --> 53:45.220]  make America great again, we're united.
[53:45.220 --> 53:47.660]  It's a, there's a network of us out there,
[53:47.660 --> 53:49.020]  they say we're the silent majority
[53:49.020 --> 53:50.820]  and that is so far from the truth.
[53:52.180 --> 53:54.380]  Well, I'm asking my questions Ian Ferguson,
[53:54.380 --> 53:56.060]  but I want you to specifically, obviously,
[53:56.060 --> 53:57.780]  you know it's been the top story for two days
[53:57.780 --> 53:59.820]  on the Rudge Report, it's been seen millions of times
[53:59.820 --> 54:01.620]  on a bunch of different platforms
[54:01.620 --> 54:03.180]  and this is happening everywhere
[54:03.180 --> 54:04.940]  to Trump supporters where they're physically attacked.
[54:04.940 --> 54:06.700]  I'm glad you showed this.
[54:06.700 --> 54:08.700]  What do you think's gonna come out of this?
[54:12.660 --> 54:17.060]  I couldn't really tell you that I'm not prescient,
[54:17.060 --> 54:18.620]  I don't see the future.
[54:18.620 --> 54:21.060]  I didn't see this phone call happening yesterday.
[54:21.060 --> 54:24.980]  I'd like to see a little bit more tolerance.
[54:24.980 --> 54:29.020]  I'd really like to see some of the Trump supporters
[54:29.020 --> 54:30.300]  out there grow some backbones
[54:30.300 --> 54:32.140]  and start standing up for themselves.
[54:32.140 --> 54:34.900]  The days of feelings running the world are over
[54:34.900 --> 54:37.100]  and it's about time for people to wake up
[54:37.100 --> 54:39.340]  and realize that logic runs the train now.
[54:40.860 --> 54:43.780]  What happened, the video's like three and a half minutes long.
[54:43.780 --> 54:47.180]  What happened once the clip went dark?
[54:49.500 --> 54:50.940]  You know, I haven't really watched it that much,
[54:50.940 --> 54:52.380]  but I remember what happened.
[54:52.380 --> 54:56.460]  Right around that time, let's see, what was at the end of it?
[54:56.460 --> 54:59.060]  At the end of it, the other customer,
[54:59.060 --> 55:02.220]  he was telling the guy behind the counter,
[55:02.220 --> 55:04.300]  man, it's about money, it's about skin color,
[55:04.300 --> 55:05.580]  what color is your cash?
[55:05.580 --> 55:08.780]  And he just wasn't going for it and it was getting worse.
[55:08.780 --> 55:10.180]  It was time for me to go on out of there
[55:10.180 --> 55:11.380]  before I got in trouble.
[55:17.340 --> 55:19.100]  Yeah, no, very end.
[55:19.100 --> 55:22.460]  Let's see, I told him, go fuck yourself, Trump's the president.
[55:22.460 --> 55:25.100]  The other customer he was just talking about,
[55:25.100 --> 55:28.660]  man, my cash is green, his cash is green.
[55:30.020 --> 55:30.980]  Let me bring this up.
[55:30.980 --> 55:33.940]  I mean, look, if I was a small-cake company owner
[55:33.940 --> 55:35.500]  and people just wanted me to put two dudes on the cake,
[55:35.500 --> 55:38.100]  I'd do it, but I get small companies have a right to say no,
[55:38.100 --> 55:39.740]  but big companies especially shouldn't.
[55:39.740 --> 55:42.500]  You're wearing a hat, why would he refuse your service?
[55:42.500 --> 55:44.780]  Why would he go so hysterical?
[55:44.780 --> 55:47.100]  I mean, obviously he's been fired now.
[55:47.100 --> 55:48.620]  This is blown up with our face.
[55:48.620 --> 55:50.700]  A lot of places the left would actually celebrate
[55:50.700 --> 55:51.540]  what happened to you.
[55:51.540 --> 55:54.140]  I mean, they are nationwide saying that guy's a hero,
[55:54.140 --> 55:54.980]  the left is.
[55:56.700 --> 55:58.220]  That's hilarious.
[56:00.260 --> 56:02.100]  I mean, he stood up for what he believed
[56:02.100 --> 56:04.020]  in the same way I did.
[56:04.020 --> 56:05.860]  His was just a little bit more laughable.
[56:05.860 --> 56:08.020]  Let me ask you this, at a certain point you get mad
[56:08.020 --> 56:10.660]  after he slaps you for, it looks like for a second time,
[56:10.660 --> 56:12.100]  correct me if I'm wrong, then you say,
[56:12.100 --> 56:14.260]  come on, punk, do it again.
[56:14.260 --> 56:15.740]  So you did get a little hot there.
[56:15.740 --> 56:19.160]  What got you hot at that moment?
[56:19.160 --> 56:22.220]  Um, you know, I really can't put my finger,
[56:22.220 --> 56:24.420]  seven times through anger management, Alex.
[56:24.420 --> 56:26.900]  I'm a reformed criminal.
[56:28.580 --> 56:30.140]  As soon as he took a second swipe,
[56:30.140 --> 56:32.820]  I really just wanted to put my hands on him.
[56:32.820 --> 56:34.660]  And that was the end of it.
[56:34.660 --> 56:36.700]  Look at the video, he kind of looks like a beta male.
[56:36.700 --> 56:38.900]  You don't look like a wimp.
[56:38.900 --> 56:39.740]  I know the look.
[56:39.740 --> 56:40.980]  I mean, you don't look like a wimp.
[56:40.980 --> 56:41.980]  What was he thinking?
[56:42.980 --> 56:44.420]  I couldn't tell you what he was thinking.
[56:44.420 --> 56:47.300]  I don't believe that I give off the impression
[56:47.300 --> 56:49.500]  that I'm somebody to play around with.
[56:51.220 --> 56:55.020]  But hey, he wanted to play games, so there it is.
[56:55.020 --> 56:56.580]  But what about the poor black guy
[56:56.580 --> 56:57.820]  that he keeps virtue signaling?
[56:57.820 --> 57:00.020]  I know he called you the N word, the white guy did.
[57:00.020 --> 57:02.180]  He's hopping around the black guys like waving his hands
[57:02.180 --> 57:03.740]  around like, this is ridiculous.
[57:04.620 --> 57:07.500]  Man, he would, wait, I could see the look of pain
[57:07.500 --> 57:09.720]  on his face that he just didn't want to be involved
[57:09.720 --> 57:10.660]  in any of it.
[57:10.660 --> 57:12.460]  Like it had nothing to do with him.
[57:12.460 --> 57:16.300]  He just wanted to buy whatever it was he was trying to buy.
[57:16.300 --> 57:18.420]  And he even got into the argument at the end
[57:18.420 --> 57:20.180]  just talking about, man, my cash is green.
[57:20.180 --> 57:21.020]  So is his.
[57:21.020 --> 57:22.500]  Let's just do this thing.
[57:22.500 --> 57:23.340]  Hey, he was just-
[57:23.340 --> 57:25.420]  Oh, so tell us about that when we come back in two minutes.
[57:25.420 --> 57:27.220]  So at the end of the day, the black guy was like,
[57:27.220 --> 57:29.740]  yeah, dude, sell him his stuff.
[57:29.740 --> 57:32.300]  Yeah, no, he knew what was up.
[57:33.540 --> 57:34.980]  Kid was just going nuts.
[57:35.940 --> 57:38.060]  And again, it was black people doing all this, I'd say,
[57:38.060 --> 57:40.860]  but it's not, it's a bunch of weird white wimps
[57:40.860 --> 57:42.580]  that are looking for a fight.
[57:42.580 --> 57:43.780]  And then once the fight starts,
[57:43.780 --> 57:46.540]  they crap their bitch britches and run to mommy.
[57:46.540 --> 57:49.180]  We'll be back with Ian Ferguson.
[57:49.180 --> 57:52.020]  For those of us that are the tip of the spear,
[57:52.020 --> 57:54.380]  we're being targeted to take out the leadership.
[57:54.380 --> 57:56.300]  That's the globalist only hope.
[57:56.300 --> 57:57.940]  So when you support info wars,
