[00:00.000 --> 00:00.100]  There are
[46:55.700 --> 47:13.460]  available now at info wars store dot com you're listening to the Alex Jones show
[47:13.460 --> 47:35.940]  so I talked about this I never got to it back on Tuesday but here it is just some of Khalib
[47:35.940 --> 47:40.100]  israel needs to give her free stuff america needs to give her free stuff hey can I show
[47:40.100 --> 47:45.420]  up in Saudi Arabia and get free stuff or Somalia or even nicer Middle Eastern countries like
[47:45.420 --> 47:50.780]  Jordan no they laugh at you but we're all supposed to give free stuff and you know the
[47:50.780 --> 47:56.180]  Christians the whole Middle East used to be Christian till Mohammed showed up and then
[47:56.180 --> 48:00.020]  now you killed all the Christians and ran them out and I'm supposed to kiss your butt
[48:00.020 --> 48:06.380]  lady I'm not doing it it's you that ought to pay reparations you want to say that if
[48:06.380 --> 48:14.260]  any white people ever owned slaves the Muslims still run slave trade you wicked whore that's
[48:14.260 --> 48:19.660]  insulting whores I apologize the prostitutes let's let's let's play this maggot this this
[48:19.660 --> 48:24.740]  engorged maggot bitching and complaining a psychopath a sociopath bare minimum trying
[48:24.740 --> 48:30.140]  to punch our buttons because we have emotions you big fat demon here she is a young girl
[48:30.140 --> 48:34.980]  visiting Palestine to see my grandparents and extended family I watched as my mother
[48:34.980 --> 48:46.020]  had to go to do humanizing checkpoints how about dehumanizing suicide bombs the United
[48:46.020 --> 48:53.580]  States citizen and proud American I was there when my city was in a terrible car accident
[48:53.580 --> 48:59.020]  and my cousins and I cried so she could have access to the best hospitals which were in
[48:59.020 --> 49:05.500]  Jerusalem I remember shaking with fear when checkpoints appeared in the small village
[49:05.500 --> 49:10.700]  of bed over the focus oh it passed for a minute because they got a raw feed when I was watching
[49:10.700 --> 49:14.700]  on Fox it showed all the lunatic women up there all these crazy leftist women that look
[49:14.700 --> 49:21.900]  like starving chicken neck birds or like something out of a Dr. Seuss children's book and they're
[49:21.900 --> 49:26.740]  all crying and putting on this big act what happens when you boycott a country they boycott
[49:26.740 --> 49:31.460]  you you say Israel should be overthrown but your whole life you're trying to get in there
[49:31.460 --> 49:37.320]  and get some free stuff oh and I know I know it belongs to the Arabs because you took it
[49:37.320 --> 49:43.180]  away from the Jews I get how that works but see Islam just keeps expanding and so if one
[49:43.180 --> 49:48.220]  little spot goes back to anybody who ever had a claim to it it's the end of the world
[49:48.220 --> 49:53.420]  there's no media coverage of people whining about Saudi Arabia chopping gays heads off
[49:53.420 --> 50:00.620]  or how the West Bank that you support kills gays you love it which you're a hypocrite
[50:00.620 --> 50:05.100]  you're a pig I'm sorry I got all this stuff to get to I just when you see this stuff in
[50:05.100 --> 50:10.500]  the whining and is Israel perfect absolutely not but the just the way it's all oh black
[50:10.500 --> 50:16.180]  and white and oh the Muslims they never heard nobody and I saw articles out yesterday fact
[50:16.180 --> 50:20.420]  checkers are gonna stop people claiming Islam is behind terror because remember Obama said
[50:20.420 --> 50:25.020]  that's not Islam how the hell did it expand then in fourteen hundred years to take over
[50:25.020 --> 50:30.300]  half the planning playing playing tiddly wings they could overran all those other empires
[50:30.300 --> 50:36.540]  and things as it was friendly do I want to go over there and bomb the Middle East absolutely
[50:36.540 --> 50:39.260]  not the globalist did that to destabilize the Middle East and take out regimes that
[50:39.260 --> 50:44.820]  were not globalist or expansionist to put in ISIS and Al Qaeda to then break the borders
[50:44.820 --> 50:50.700]  of Europe they're gestating it is a big weapon system I'm gonna give the number out to take
[50:50.700 --> 50:54.740]  calls next hour on any subject you wish you discussed we're only taking ten of them ahead
[50:54.740 --> 50:59.500]  of our guests joining us but Trump the chosen one statement all of this what do you want
[50:59.500 --> 51:03.540]  to get to what do you want to cover open phones eight seven seven seven eight nine Alex eight
[51:03.540 --> 51:08.820]  seven seven seven eight nine two five three nine is the number to join us eight seven
[51:08.820 --> 51:14.860]  seven seven eight nine two five three nine will take your calls it's hard to watch I
[51:14.860 --> 51:18.020]  don't mean to call her names but you know she calls us murderers and says that kids
[51:18.020 --> 51:21.980]  are drinking out of toilets and we got concentration camps where we're that means you're killing
[51:21.980 --> 51:28.380]  people working under death and killing him as a concentration camp the British inventive
[51:28.380 --> 51:33.980]  not the Nazis and Andrew Jackson's mother and brother died in one when he was in the
[51:33.980 --> 51:39.500]  Revolutionary War read a few history books you know they know that's where they starve
[51:39.500 --> 51:45.140]  you to death nobody starved to death these are emergency centers people are pouring
[51:45.140 --> 51:51.620]  in most of them don't even have IDs and we're checking who they are and then releasing them
[51:51.620 --> 51:55.940]  and you know that you pig like liar and now you're saying we're running concentration
[51:55.940 --> 52:02.860]  camps just like you say Israel is it's the same branding the same crap by a whiny parasite
[52:02.860 --> 52:10.500]  and I'm done bowing to you and the Democratic Party let's go back to her I remember visiting
[52:10.500 --> 52:16.620]  East Jerusalem with my then husband and him escorting escorted off the bus although he
[52:16.620 --> 52:22.780]  was a United States citizen just so security forces could harass him here let's stop again
[52:22.780 --> 52:29.740]  oh you want to overthrow Israel you stage all these events and then you can't believe that
[52:29.740 --> 52:36.020]  when you drive in from the West Bank that were suicide bombers attack routinely and
[52:36.020 --> 52:40.140]  people are stabbed to death on a weekly basis and shot you can't believe anybody at their
[52:40.140 --> 52:46.380]  borders checking you meanwhile as a U.S. citizen I have to have my balls grabbed because they
[52:46.380 --> 52:51.060]  won't profile Islamists when I go to the stupid airport because the Muslims have been hijacking
[52:51.060 --> 52:59.540]  an aircraft for 60 damn years which I get to live in a police state because the globalist
[52:59.540 --> 53:04.460]  have let you run wild on purpose and Trump is trying to do something about it and end
[53:04.460 --> 53:13.180]  all these wars and stop stirring you up let's go back to her as my city's granddaughter
[53:13.180 --> 53:17.100]  as the as the great daughter of the political president of my territory is to elevate her
[53:17.100 --> 53:23.420]  voice by exposing the truth the only way I know how as my Detroit public schools teachers
[53:23.420 --> 53:29.940]  taught me sure round out the ground in the pain of oppression our delegation oh my gosh
[53:29.940 --> 53:34.700]  it's so oppressive let me into Israel oh my gosh it's so oppressive let me into America
[53:34.700 --> 53:44.820]  go to Somalia go fix your own problems with peanut head over there Ilhan Omar God Almighty
[53:44.820 --> 53:53.580]  her family is a rich powerful slaver family I looked it up Obama's Muslim family in Kenya
[53:53.580 --> 54:01.180]  are slavers did you their slavers of blacks you know how much people in Kenya and surrounding
[54:01.180 --> 54:06.940]  areas hate those Islamists they've been getting killed by him and grabbed by him for a thousand
[54:06.940 --> 54:17.020]  years this woman is an abomination let's continue to participate in military occupation they
[54:17.020 --> 54:23.220]  also desperately want peace and self-determination for their Palestinian neighbors they could
[54:23.220 --> 54:28.460]  have shed light into injustice you know all the Muslims do is blow each other up let's
[54:28.460 --> 54:35.700]  continue child detention the delegation would have seen firsthand why walls are destructive
[54:35.700 --> 54:41.740]  not productive they could have asked the people in Bethlehem how walls cut people off away
[54:41.740 --> 54:47.660]  from economic opportunities from a way to live and let's stop right there I can't listen
[54:47.660 --> 54:52.340]  to much more of this now now let's hear talk about her grandmother and the bird cage this
[54:52.340 --> 54:58.040]  is this is really really really cute again ladies and gentlemen this is all to manipulate
[54:58.040 --> 55:04.580]  your heartstrings and again she doesn't say a word about all the stuff that's going on
[55:04.580 --> 55:09.300]  our Christians in the last few holdouts the Middle East being blown up and killed hundreds
[55:09.300 --> 55:14.740]  of Christian churches blown up in Egypt and our own government under Obama backing it
[55:14.740 --> 55:19.140]  there's no press conferences for them she won't say a word in fact I haven't gotten
[55:19.140 --> 55:25.660]  to the show that's why I was playing this I I need to play the young Turks host I should
[55:25.660 --> 55:28.220]  have led the show with us this is what got me thinking about all this and then I'm kind
[55:28.220 --> 55:36.980]  of as always you get into the first part last where he says we deserve 9-11 and that veterans
[55:36.980 --> 55:40.420]  deserve to be killed we're gonna play that coming up but let's play her talking about
[55:40.420 --> 55:46.220]  the bird here it is to my family and I think my grandmother said it beautifully when she
[55:46.220 --> 55:53.820]  said I'm her ass food ass food in Arabic means her bird and she said I'm her dream manifested
[55:53.820 --> 56:00.420]  I am her free bird so why would I come back and be caged and bow down when my election
[56:00.420 --> 56:04.780]  exactly you came here to crap on us to turn her off I can't hear anymore about it ladies
[56:04.780 --> 56:08.860]  and gentlemen it's just it's the same playbook being used against Israel's being used against
[56:08.860 --> 56:12.820]  cost does that mean the US is perfect notice that mean Israel's perfect no but making the
[56:12.820 --> 56:18.620]  US the bad guy constantly it's all the same crap why is everybody trying to get in here
[56:18.620 --> 56:23.020]  if we're so bad same thing with Israel and I'm just I'm tired of it and the left's making
[56:23.020 --> 56:27.980]  their big move right now for racial and cultural division if the muslims want to live in peace
[56:27.980 --> 56:32.900]  and want to change their ways to have a referendum have a like I guess Martin Luther you know
[56:32.900 --> 56:40.660]  had a renaissance that's great but it's not gonna happen until the expansionist operations
[56:40.660 --> 56:45.740]  of Islam stop and it needs to happen now and I agree with Trump let's get our troops out
[56:45.740 --> 56:49.820]  of there and not stir it up either I was against all those wars I was against 500,000 dead
[56:49.820 --> 56:53.540]  Iraqi children that Madeleine Albright said was a good price to pay with Clinton quadrupled
[56:53.540 --> 56:58.180]  the sanctions on them I actually care about the people and I know what a hypocrite that
[56:58.180 --> 57:06.100]  woman is and how the greatest victims of Islam are the muslims Christians are second and
[57:06.100 --> 57:09.620]  you never hear the media talk about that because there's a real Christian loathing hate as
[57:09.620 --> 57:14.100]  well now I have it plugged this segment I want to ask all listeners to take action today
[57:14.100 --> 57:17.900]  and realize we're only running this big special we've been having that sold out of so many
[57:17.900 --> 57:22.340]  products through the weekend and we need your support so take action get great turmeric
[57:22.340 --> 57:26.620]  get great fish oil krill oils back in get great brain force plus the new tropic turbo
[57:26.620 --> 57:31.220]  force lots of other great deals waiting an info war store dot com the world awakens mega
[57:31.220 --> 57:37.260]  sale fifty to sixty percent off and the new film you can't watch this with myself gab
[57:37.260 --> 57:41.700]  McGinnis and so many others Laura Loomer Paul Joseph Watson Tommy Robinson is available
[57:41.700 --> 57:54.260]  exclusively at infowarstore.com please take action it's just heavy heavy heavy make no
[57:54.260 --> 58:02.820]  mistake it's we're not in Kansas anymore we're not in Kansas anymore if you have a corrupt
[58:02.820 --> 58:08.820]  media you don't have a democracy I don't think we've seen division like this in America
[58:08.820 --> 58:14.620]  since Vietnam it's a form of fascism the high court will examine free speech rights and
[58:14.620 --> 58:20.940]  social media multiple online platforms have now taken down content associated with Alex
[58:20.940 --> 58:38.700]  Jones and info wars first they come for Alex Jones everyone else like Davos before we're
[58:38.700 --> 58:47.220]  not in Kansas anymore you can't watch this the movie available now at infowarstore.com
[58:47.220 --> 58:53.140]  it's time to show them what a real alpha male looks like with one of our most powerful
[58:53.140 --> 58:59.100]  products ever made alpha power as you age your body can lose testosterone over time
[58:59.100 --> 59:03.500]  with the incredible ingredients in this formula we can help you beat the test of time and
[59:03.500 --> 59:09.180]  assist in restoring that lost energy and move that comes with time and age alpha powers incredible
[59:09.180 --> 59:13.580]  ingredients can help you boost your sport performance or enhance your day to day life
[59:13.580 --> 59:20.060]  with ease while encouraging hormonal balance perfect by itself or with super male vitality
[59:20.060 --> 59:25.460]  in the true alpha male path alpha power can help boost performance help maintain normal
[59:25.460 --> 59:31.100]  testosterone levels support healthy cholesterol and more let alpha power help bring you to
[59:31.100 --> 59:36.100]  the peak of your optimal health don't fall short on energy in the fight against tyranny
[59:36.100 --> 59:42.220]  show the world what a true alpha male looks like today with alpha power head to infowarstore.com
[59:42.220 --> 1:00:06.020]  today you're listening to the Alex Jones show he aligns himself with the truth and it's
[1:00:06.020 --> 1:00:12.860]  time for you to choose a side you're listening to Alex Jones all right your phone calls
[1:00:12.860 --> 1:00:16.900]  are starting right now and then we have the amazing really smart guy really interesting
[1:00:16.900 --> 1:00:23.540]  Google whistleblower joining us coming up at the bottom of the shower and we'll have
[1:00:23.540 --> 1:00:28.620]  open phones then as well I haven't even scratched the surface of the news but when we start
[1:00:28.620 --> 1:00:33.500]  the next segment to play that clip of the young Turks host also the nephew of the head
[1:00:33.500 --> 1:00:38.660]  of the young Turks the young Turks is the name of a anti-Christian genocide movement
[1:00:38.660 --> 1:00:44.980]  of brown shirts that Hitler actually modeled the brown shirts off of you you can't make
[1:00:44.980 --> 1:00:51.740]  this up Hitler along with a lot of his top people are actually anti-Christian and that's
[1:00:51.740 --> 1:00:57.620]  a fact I've read the books they wrote okay and Ludendorff look at Ludendorff Hitler's
[1:00:57.620 --> 1:01:04.700]  number two for a long time literally ran a cult that was anti-Christian but I'm digressing
[1:01:04.700 --> 1:01:10.900]  I'm gonna play this clip it is it is just monstrously sickening and the venom that just it brings
[1:01:10.900 --> 1:01:18.700]  my venom out and so the young Turks think we're all stupid when the demonic toad sinker
[1:01:18.700 --> 1:01:24.820]  poopie or whatever his name is struts around hops around all propped up by Google such
[1:01:24.820 --> 1:01:30.980]  an honor to be blacklisted by that scum such an honor to be lied about by such a filth
[1:01:30.980 --> 1:01:35.420]  sinks called me the worst person in the world sorry I'm already getting to it now I am so
[1:01:35.420 --> 1:01:41.300]  good to have the scum of the earth say that I'm the worst person in the world what I am
[1:01:41.300 --> 1:01:46.940]  is your worst nightmare filth because I see you and I will not back down and you know
[1:01:46.940 --> 1:01:56.260]  we're winning don't you we're awake now just like Grendel tore the arm you're gonna find
[1:01:56.260 --> 1:02:03.020]  a not physical spiritual just like Beowulf got hold of that arm no matter what Grendel
[1:02:03.020 --> 1:02:07.420]  did it got torn out of the socket you can feel it just coming out you're gonna go creep
[1:02:07.420 --> 1:02:17.580]  back to mommy we're gonna follow you right back to mommy you get your milk funded by
[1:02:17.580 --> 1:02:28.420]  Gulf War and Gulf State dictators what a nice man with a knife and he sees America is this
[1:02:28.420 --> 1:02:35.740]  big fat juicy pig he can just sink his teeth into a big juicy meal he knows we're asleep
[1:02:35.740 --> 1:02:40.780]  but he can have his way with us oh it's oh we have morals and we have we have compassion
[1:02:40.780 --> 1:02:46.980]  and we have buttons he can push little predator gleaming eyes he's with the establishment he's
[1:02:46.980 --> 1:02:52.980]  better than us he'll show us well me all right I said I go to your calls we go to Josh and
[1:02:52.980 --> 1:02:59.460]  Doug next segment spoke to Brandon first in Texas Brandon thanks for holding it on the
[1:02:59.460 --> 1:03:04.460]  air thank you so much Alex and I pray to God for you every night thank you I need our out
[1:03:04.460 --> 1:03:10.580]  here absolutely listen my biggest takeaway from this Dr. Robert Epstein and the wonderful
[1:03:10.580 --> 1:03:19.220]  Zach Voorhees okay is that while it's wonderful that we have the vehicle towards prosecution
[1:03:19.220 --> 1:03:25.540]  that is the election meddling element of the whole Google expose the biggest takeaway is
[1:03:25.540 --> 1:03:31.500]  the question of are you brainwashed we now have indisputable evidence that if you follow
[1:03:31.500 --> 1:03:37.420]  the left and you follow the narrative of whites are inherently bad or America sucks then guess
[1:03:37.420 --> 1:03:45.400]  what it's your brainwash literally I mean that's it and and you know even on Bill
[1:03:45.400 --> 1:03:50.260]  Mars show even the Democrats are having to admit wow the anti-white thing we've done
[1:03:50.260 --> 1:03:56.260]  in the U.S. has been so potent it's now spread to everyone hating Israel because they're
[1:03:56.260 --> 1:04:02.620]  white err and it's just it's insane whites are only 9% of the world's population and
[1:04:02.620 --> 1:04:06.660]  let's just say it everybody's trying to get in our countries and there's a simple reason
[1:04:06.660 --> 1:04:12.340]  we got Christianity we were living you know in the trees and in the caves like the you
[1:04:12.340 --> 1:04:16.780]  know new black Israelites like the joke and it's true I mean had high IQ smart people
[1:04:16.780 --> 1:04:22.820]  but we were living like savages like in Africa because we were not Christian the minute we
[1:04:22.820 --> 1:04:27.940]  got it we went straight to the moon and you know what's what we need is like got milk
[1:04:27.940 --> 1:04:33.060]  got Jesus that's what produces success and that's what's going to unify the planet together
[1:04:33.060 --> 1:04:37.380]  under Christ it's the only way we're not going to destroy ourselves doesn't mean we're going
[1:04:37.380 --> 1:04:41.980]  to force you to serve Christ Christ doesn't do that the door is always open the way is
[1:04:41.980 --> 1:04:47.740]  Jesus of Nazareth that is the global unification the anti-Christ will have his counterfeit first
[1:04:47.740 --> 1:04:52.540]  then we will have the true global unification world order under Jesus Christ stay with us
[1:04:52.540 --> 1:04:53.540]  for the right back.
[1:04:53.540 --> 1:04:54.540]  Yes.
[1:04:54.540 --> 1:05:03.020]  I got a plug for the Patriot points I get $180 so far this year and I feel like I'm stealing
[1:05:03.020 --> 1:05:04.020]  from you.
[1:05:04.020 --> 1:05:07.100]  I buy so much in the store because I mean I don't want to give that money to Walmart
[1:05:07.100 --> 1:05:10.060]  I don't want to give that money to people are going to donate it to causes I don't believe
[1:05:10.060 --> 1:05:13.380]  in so I rather give that money to you and they're getting quality products the products
[1:05:13.380 --> 1:05:18.180]  that I do receive have changed my life I mean the X2 has really done a lot for me I've lost
[1:05:18.180 --> 1:05:22.460]  weight my brain works a whole lot better I think my kids they use the toothpaste my son
[1:05:22.460 --> 1:05:26.500]  used to get these little sore throat and he puts X2 in water and drinks it and it gets
[1:05:26.500 --> 1:05:27.500]  rid of his sore throat.
[1:05:27.500 --> 1:05:31.980]  Let me break this down for you I want high quality stuff in there I want a good price
[1:05:31.980 --> 1:05:36.460]  but I've kind of obituated everybody to where everybody buys when it's 50% off I'm making
[1:05:36.460 --> 1:05:40.980]  $2 on my toothpaste 50% off and so it's the same thing like the fish oil or the turmeric
[1:05:40.980 --> 1:05:44.900]  or the bone broth thank you so much for the plugs but listen when people get the Patriot
[1:05:44.900 --> 1:05:49.100]  points a lot of times it makes things a loss later because if you're already getting 10%
[1:05:49.100 --> 1:05:52.660]  off because you're on auto ship then we'll do a 50% off and then you do something like
[1:05:52.660 --> 1:06:19.980]  that we have Patriot points we lose money but that's okay thanks for the support.
[1:06:19.980 --> 1:06:31.980]  If you are receiving this transmission you are the resistance live from Austin Texas
[1:06:31.980 --> 1:06:41.660]  Broadcasting Worldwide it's Alex Jones his name is Hassan he's funded by ghost dictators
[1:06:41.660 --> 1:06:49.380]  hundreds of millions George Soros and Google he wears jackets to say fascist and has a
[1:06:49.380 --> 1:06:56.740]  club in his hand he's a young Turk they tasted the blood of 1.5 million Christians Armenians
[1:06:56.740 --> 1:07:04.140]  and they'll taste man flush again if they have their way bow submit turn your weapons
[1:07:04.140 --> 1:07:16.700]  in to the nephew of turd breath sink turd breath Hassan pecker can't make up that name that's
[1:07:16.700 --> 1:07:24.700]  his name Hassan pecker and if you're a radio listener you can't see it he's got his red
[1:07:24.700 --> 1:07:33.100]  stars his Antifa flags his communist flags and he's got his baseball bat and he's gonna
[1:07:33.100 --> 1:07:37.820]  call you a fascist even though he's funded by the Nazi collaborators or soros and he's
[1:07:37.820 --> 1:07:46.220]  gonna attack your daughter like they did out in Oregon he's gonna chase women down that
[1:07:46.220 --> 1:07:54.580]  place pushing and uninterrupted for the young Turks members and this is the sexy death porn
[1:07:54.580 --> 1:08:00.620]  the sexy terror porn and their desperation is America's pulse comes back and as we stand
[1:08:00.620 --> 1:08:09.460]  up against the chai comms and defend the second amendment and rediscover God and family Hassan
[1:08:09.460 --> 1:08:16.540]  pecker of the young Turks declares that America deserved on 11 close globe praises brave soldiers
[1:08:16.540 --> 1:08:27.720]  who took representative Crenshaw's eye isn't that just darling oh when you go to a young
[1:08:27.720 --> 1:08:32.260]  turds event they always go there's a big crowd as I don't have any viewers but it's the Google
[1:08:32.260 --> 1:08:44.260]  set it'll be the Google event so let's hear from Mr. Picker here he is this is so insane
[1:08:44.260 --> 1:08:52.500]  oh it was back it up I forgot he's real jealous that Joe Rogan who by the way is a super libertarian
[1:08:52.500 --> 1:08:57.260]  right winger he just knows how to you know survive in LA I guess really smart guys might
[1:08:57.260 --> 1:09:01.020]  get mad at Joe because he's as smart as I am a smarter he knows all this stuff obsessed
[1:09:01.020 --> 1:09:04.900]  with it he knows more than I do in some cases and he plays dumb and I told him his face
[1:09:04.900 --> 1:09:14.340]  anyways he has the congressman on and pecker is mad that he has this tiny audience so he
[1:09:14.340 --> 1:09:18.980]  thinks well I'll attack him and say something really scandalous and then all the methods
[1:09:18.980 --> 1:09:23.220]  and child molesters that watch my show literally they'll think I'm powerful all you're such
[1:09:23.220 --> 1:09:35.500]  a big man Hassan I mean look at Hassan's flabby arms I bet he's got some big old giant bitch
[1:09:35.500 --> 1:09:46.940]  tits I'm sorry it's family show just just just go ahead and roll this this is so insane
[1:09:46.940 --> 1:09:52.180]  America deserved 9-11 dude I'm saying it we're there to partner with them we're not there
[1:09:52.180 --> 1:09:55.700]  doing our own thing where they're partnering and training a video game and enhancing their
[1:09:55.700 --> 1:09:59.420]  capabilities so that that's part of what we're doing the other part is just knowledge we
[1:09:59.420 --> 1:10:05.100]  want to know what's happening we don't totally brought it on ourselves dude holy shit we did
[1:10:05.100 --> 1:10:10.900]  we did in a video game whatever hypothetically politically they pause again man back it up
[1:10:10.900 --> 1:10:15.580]  10 seconds oh like the Armenians deserved because they were there before the Muslims took over
[1:10:15.580 --> 1:10:19.300]  Constantinople and you drove them into the mountains but because they were Christian they
[1:10:19.300 --> 1:10:25.940]  became still super wealthy because they were such good people and so you're named after
[1:10:25.940 --> 1:10:31.740]  the group that murdered them and you've got a club and you say you're coming for us but
[1:10:31.740 --> 1:10:43.460]  let's continue with this psychopathic worm here he is we did man we did holy holy he's
[1:10:43.460 --> 1:10:50.180]  so intellectual look at the way that this dip is running his mouth justifying genocide
[1:10:50.180 --> 1:10:57.020]  right now like how is this how is anything I'm saying controversial like we fund the
[1:10:57.020 --> 1:11:02.580]  people who did 9-11 still to this day Donald Trump literally went on national television
[1:11:02.580 --> 1:11:06.860]  and said they buy ten million dollars were ten billion dollars were the weapons so if
[1:11:06.860 --> 1:11:15.740]  they chop chop chop an American law legal permanent resident it's okay soft power is
[1:11:15.740 --> 1:11:23.380]  the exact same as hard power soft power embassies diplomacy exact same thing as military bases
[1:11:23.380 --> 1:11:29.540]  I can't do it again see he doesn't want the U.S. to have anything to not export our way
[1:11:29.540 --> 1:11:34.820]  of life not the globalist system that hijacked us for 50 years but we're back baby and everybody's
[1:11:34.820 --> 1:11:41.820]  waving American flies one yeah yeah we want that we're back slime bag and you don't we're
[1:11:41.820 --> 1:11:47.060]  pulling out of these countries dirt bag you're the one that gets money from Gulf states they
[1:11:47.060 --> 1:11:55.200]  get money from Saudi Arabia and Qatar on record and then they sit there and then say that
[1:11:55.200 --> 1:12:02.340]  Crenshaw ish let's continue same thing as military bases I'm I can't do this I can't
[1:12:02.340 --> 1:12:07.780]  do this guy has the understanding of foreign policy of like a 12 year old but the foreign
[1:12:07.780 --> 1:12:12.180]  policy what the fuck is wrong with this dude didn't you go to war and like literally lose
[1:12:12.180 --> 1:12:18.340]  his eye because some Mujahideen a brave soldier his eye hole with their dick isn't that how
[1:12:18.340 --> 1:12:26.820]  he lost his dumbass eye because he got his eye hole this is a deranged pervert I apologize
[1:12:26.820 --> 1:12:34.180]  having to play that for everybody but that's why I was so angry this morning I mean this
[1:12:34.180 --> 1:12:40.220]  is this is this is all completely out of control all right I said I'd go to your phone calls
[1:12:40.220 --> 1:12:45.740]  we're going to your phone calls Doug wants to make a good point because I see Beto said
[1:12:45.740 --> 1:12:49.780]  he was the anointed one the chosen one out in the desert seemed like he was Jesus Trump
[1:12:49.780 --> 1:12:54.420]  just said I was elected by the people and you know chosen he looks up to God like a preacher
[1:12:54.420 --> 1:12:59.100]  says I was I was chosen I was anointed you know God commissioned my heart to go into
[1:12:59.100 --> 1:13:04.860]  the seminary and that's a totally normal statement and Trump's kidding he's always been Christian
[1:13:04.860 --> 1:13:09.980]  as a traditionalist but not really you know me tell you Trump has had conversations with
[1:13:09.980 --> 1:13:15.740]  me about the energy at churches and black churches particularly we talk about energy
[1:13:15.740 --> 1:13:20.140]  at crowds and that's the kind of me and that's how me and Trump hook up you know what I mean
[1:13:20.140 --> 1:13:24.500]  and yeah I'm the same wavelength and it's all about energy you see and and Trump's into
[1:13:24.500 --> 1:13:29.260]  it and Trump loves Jesus here let's go ahead and pull up I'll go to your call Doug thanks
[1:13:29.260 --> 1:13:33.500]  for holding go ahead from Connecticut afternoon Alex I don't brother good what do you want
[1:13:33.500 --> 1:13:38.140]  to chime in on about Beto and message to Trump chosen one comment well it's not with Trump
[1:13:38.140 --> 1:13:44.060]  that I haven't seen Trump yet make a comment that is stupid I guess would be the word
[1:13:44.060 --> 1:13:47.660]  because he puts the comments out and then the left rolls with it and they make you know
[1:13:47.660 --> 1:13:55.180]  fools in himself so if if you can't see that Trump is doing Christ like things for this
[1:13:55.180 --> 1:13:59.500]  country in the world if you can't see the opposite side of evil out there you're not
[1:13:59.500 --> 1:14:04.620]  looking in the right place you know what I mean you know a man by his enemies and evil
[1:14:04.620 --> 1:14:09.380]  is having a you know what fit they are pulling their hair out oh yeah I've never seen any
[1:14:09.380 --> 1:14:15.500]  it's very spiritual it's the spiritual war that's what it is you know anyways with Beto
[1:14:15.500 --> 1:14:20.900]  I call him I call him Peter the dork and I found out who I think they cloned him from
[1:14:20.900 --> 1:14:24.620]  you know you know what the car dealerships they have the wood is that flailing arm two
[1:14:24.620 --> 1:14:30.460]  men there he has a rhythm cadence of one of those things and I was watching something
[1:14:30.460 --> 1:14:36.460]  on the Nazis last night and Joseph Goebbels had the same distorted rhythm that Beto has
[1:14:36.460 --> 1:14:44.700]  unbelievable I mean Beto radiates con artist he radiates the fraud he radiates dis disingenuous
[1:14:44.700 --> 1:14:49.660]  justice I mean just I can't look at it he just radiates fraud you look at Trump he just
[1:14:49.660 --> 1:14:55.340]  radiates reality I mean I'm sorry my spirit goes that's the truth that guys for real and
[1:14:55.340 --> 1:14:59.700]  my guts never wrong I look at Beto or Bill Clinton they call him a good speaker I mean
[1:14:59.700 --> 1:15:04.220]  I couldn't stand Bill Clinton the Hillary Clinton looks like a jack-o-lantern demon and then
[1:15:04.220 --> 1:15:09.100]  Beto or you know yeah pull back on my name is for TV viewers he's got his hands in his
[1:15:09.100 --> 1:15:15.540]  pockets you know or behind his back like Ronald Reagan would do it's all phony it's he did
[1:15:15.540 --> 1:15:20.380]  he sucked and notice he was their messiah from the desert he was their Jesus of Nazareth
[1:15:20.380 --> 1:15:26.020]  where is he now where did his campaigning in Mexico get him where did his blaming America
[1:15:26.020 --> 1:15:32.460]  for the anti-fugue I oh yeah that's what it was down there in El Paso it got him nowhere
[1:15:32.460 --> 1:15:39.220]  nowhere Doug another thing I just want to know like we got Beto the thork here I'm wondering
[1:15:39.220 --> 1:15:42.020]  where these people get their names right we got Epstein's girl there stay there I want
[1:15:42.020 --> 1:15:47.420]  to hear about this when we come back yeah finish up Doug then Josh Charles Chris Jacob
[1:15:47.420 --> 1:15:53.100]  Ryan and Ronnie and then the big Google whistleblower in studio for round two Google is gonna have
[1:15:53.100 --> 1:16:01.340]  a heart attack when you have a pain in the neck a real pain in the neck back shoulder
[1:16:01.340 --> 1:16:06.700]  or legs you now have two convenient choices to get fast relief without taking another
[1:16:06.700 --> 1:16:13.100]  pill because now Sunny Bay heating wraps and pillows are available at both Amazon and Walmart
[1:16:13.100 --> 1:16:18.620]  yes see Sunny Bay's four and a half to five star customer reviews on Amazon dot com or
[1:16:18.620 --> 1:16:23.940]  Walmart dot com our microwavable heat wraps heatable neck pillows and extra large body
[1:16:23.940 --> 1:16:29.500]  wraps are designed better for perfect support where and when you need it even while driving
[1:16:29.500 --> 1:16:35.100]  Sunny Bay wraps will not burn and stay balanced to provide soothing hot or cold therapy to
[1:16:35.100 --> 1:16:40.460]  help treat temporary or chronic pain and the best part Sunny Bay quality products started
[1:16:40.460 --> 1:16:45.580]  under twenty dollars join thousands of happy customers and see why Sunny Bay products have
[1:16:45.580 --> 1:16:52.220]  a lifetime 100 positive rating on both Amazon and Etsy it's easy click Amazon or Walmart
[1:16:52.220 --> 1:16:58.900]  and search today for Sunny Bay heart disease is on the rise clogged arteries high blood
[1:16:58.900 --> 1:17:03.660]  pressure and high cholesterol levels may not be fully detected by you but the symptoms
