[00:00.000 --> 00:14.280]  We are on the march the empire is on the run Alex Jones and the GCN radio network
[28:29.980 --> 28:37.260]  Rediscover your life force rediscover your will rediscover the the the desire to have a quest and to have a vision
[28:37.460 --> 28:43.880]  In your life and to be seeking your destiny and you will find others that are seeking a greater human destiny as well
[28:44.380 --> 28:48.780]  That's what it comes down to so I'm gonna hand the baton to David night in Austin, Texas
[28:48.780 --> 28:55.340]  And I'll be back tomorrow 11 a.m. Central Standard Time with a full broadcast with David night coasting with me as well
[28:55.660 --> 28:59.620]  infowars.com the system's doing everything they can to block it. Hey everyone
[28:59.740 --> 29:03.060]  Pharmacist Ben Fuchs here host of the Bright Side and as many of you know
[29:03.060 --> 29:05.860]  I'm on a mission to help Americans get and stay healthy
[29:05.860 --> 29:10.420]  You've all heard the shocking statistics despite spending trillions of dollars in health care nearly
[29:11.060 --> 29:13.500]  $10,000 per man woman and child in this country
[29:13.500 --> 29:20.780]  Obesity diabetes cancer heart disease and autoimmune illnesses are rampant one out of three or four people is dealing with some kind of health
[29:20.780 --> 29:27.020]  challenge and everyone knows at least one person with a degenerative disease if you're dealing with a health challenge or if you're healthy
[29:27.020 --> 29:33.860]  You want to maintain your vigor and longevity and you're looking for a convenient easy way to incorporate nutritional raw materials into your day-to-day lives
[29:34.180 --> 29:40.380]  To guarantee that your body is getting the fundamental nutrients the 90 essential vitamins minerals fats and amino acids
[29:40.380 --> 29:45.100]  It needs to do its healing work. You need to check out info wars team calm
[29:45.340 --> 29:49.700]  Give your body the gift of good nutrition head over to info wars team calm
[29:49.700 --> 29:57.020]  Your body will be very grateful on the web at info wars team calm. That's info wars team calm
[29:59.820 --> 30:03.060]  Clean pure drinking water you can't survive without it
[30:03.060 --> 30:09.180]  But where do you get it Alexa pure pro is a brand new groundbreaking gravity-fed water filtration system
[30:09.180 --> 30:16.820]  That is like no other the Alexa pure pro transforms water from firstly any fresh source into clean healthy drinking water pairing the
[30:17.140 --> 30:22.220]  Unprecedented super filtration power of an all-new gravity block core with a hybrid chromatic shell
[30:22.220 --> 30:29.300]  It removes up to nine nine point nine nine nine percent of impurities including bacteria viruses fluoride
[30:29.300 --> 30:35.700]  This infectance volatile organic contaminants and hormones filter capacity up to five thousand gallons
[30:35.700 --> 30:39.140]  Stainless fuel construction easy assembly low maintenance
[30:39.500 --> 30:45.100]  Replacement filters are simple to install and now as part of an exclusive limited-time introductory offer
[30:45.100 --> 30:48.660]  You can save twenty dollars off the retail price and get free shipping
[30:48.660 --> 30:55.340]  This is a limited-time offer so order your unit today and receive free shipping and twenty dollars off go to info wars store
[30:55.340 --> 30:59.380]  Dot-com recall triple eight two five three three one three nine
[30:59.580 --> 31:04.020]  Not a group you develop living defense for us. It took you over a year to do it. Why is this so good?
[31:04.020 --> 31:09.460]  Because people are actually waking up to the problem that pretty much scares me the most
[31:09.460 --> 31:14.900]  I mean I try to make sure that I don't put toxins from food and water and beverages in my system
[31:14.900 --> 31:17.700]  But right now we're dealing with massive
[31:18.140 --> 31:24.500]  Parasites, which is anything that's harmful to your body that lives off a host mechanism right now with all the refugees
[31:25.420 --> 31:30.740]  Spreading disease around we have biological warfare going on everywhere. These are all parasites
[31:30.740 --> 31:34.500]  Tell us about all the stuff that says there's so many things that are in it. You have the neem in there
[31:34.500 --> 31:41.060]  You have the organic clove bud the organic wormwood. I recommend doing a parasite cleanse at least twice a year
[31:41.060 --> 31:41.340]  All right
[31:41.340 --> 31:43.860]  Well, I'm glad we've got some back in because I'm going back on it today
[31:43.860 --> 31:48.900]  It just came back in yesterday living defense info wars live comm and folks you can't lose full of stuff
[31:48.900 --> 31:56.020]  It's great for your body period and you support the broadcast info wars live comm. Thank you doctor group from the Global Healing Center
[31:56.100 --> 31:58.380]  Thank you so much for all your work sir on this great product
[31:58.380 --> 32:05.500]  Super male vitality is info wars life comms number one selling product for a good reason
[32:05.500 --> 32:10.660]  It works go to info wars life comms today and read the testimonials for yourself
[32:10.660 --> 32:16.300]  There are thousands of them with an average voting score at an unprecedented
[32:17.060 --> 32:24.220]  4.8 it is concentrated herbs and natural organic compounds known to energize the body's
[32:24.220 --> 32:29.460]  Natural processes that are blocked by estrogen mimicers and other toxic elements in the food chain
[32:29.860 --> 32:36.140]  Super male vitality from info wars life comm has sold out multiple times in the last three months to fix that problem
[32:36.140 --> 32:42.580]  We have now produced the biggest and most concentrated high quality batch of super male vitality in the products history
[32:42.580 --> 32:45.340]  Our new ultra strength formula is even stronger
[32:45.340 --> 32:50.220]  Check out the third-party reviews and informational videos at info wars life comm now
[32:50.220 --> 32:56.820]  It's time to get your body in balance and fight back. I'm Alex Jones for super male vitality and info wars life comm
[32:56.820 --> 32:59.060]  And I salute you our supporters
[33:02.860 --> 33:05.740]  You're listening to the Alex Jones show
[33:05.740 --> 33:20.740]  Resistance to tyrants his obedience to God it's Alex Jones
[33:26.620 --> 33:32.180]  Welcome back to the Alex Jones show I'm David Knight and you just heard Alex Jones talking about I think one of the key issues
[33:32.180 --> 33:35.820]  We force right now, and that is this declaration of NATO
[33:36.540 --> 33:43.780]  Saying that any kind of a cyber attack that they deem to be serious that they deem to be coming from Russia
[33:44.220 --> 33:46.620]  Would be the basis for starting World War three. I
[33:47.700 --> 33:52.500]  Find that incredibly chilling and of course, what are we talking about? We're talking about shooting in Orlando
[33:52.500 --> 33:57.220]  We're talking about the shooting in Britain, and that is very important
[33:57.220 --> 34:00.660]  Both of these are very key because the way they're being used and we're going to be joined by
[34:00.660 --> 34:06.020]  Dr. Paul Craig Roberts is going to be joining us in the second hour to talk about
[34:06.540 --> 34:13.140]  He says he smells a rat in Orlando, and certainly there is a lot of suspicious stuff coming out of that the background
[34:13.300 --> 34:20.500]  Checks and and we're told that we have to surrender our freedoms or we have to surrender the 6th amendment to these watch lists
[34:20.500 --> 34:26.260]  Right. Yeah, 6th amendment says that you're going to have you're going to be confronted with the charges against you publicly
[34:26.260 --> 34:30.620]  You're going to be able to answer them. You're going to be able to compel witnesses in your favor
[34:30.620 --> 34:34.060]  You're going to be able to confront the people who are accusing you of something you're going to do this all
[34:34.380 --> 34:37.660]  speedily and in public and if you don't have the means to
[34:38.380 --> 34:40.380]  represent yourself you'll be given a
[34:41.380 --> 34:44.460]  Lawyer to help you with that process. Why did they have that?
[34:45.060 --> 34:49.700]  If we forget about the star chamber the things that were done
[34:50.500 --> 34:54.660]  throughout tyrannical governments in the past that led to the creation of
[34:54.660 --> 34:59.700]  What happened at runny mead the Magna Carta as well as our bill of rights?
[34:59.700 --> 35:03.140]  They knew what happens when you do precisely what we're doing right now
[35:03.540 --> 35:06.620]  It is a hallmark of tyranny. We've seen it in our lifetime
[35:07.340 --> 35:12.900]  Throughout the communist totalitarian blocks. We had writers like Kafka warn us about that a
[35:13.620 --> 35:18.380]  bureaucracy that accuses you of something what you don't know you're just going to get the punishment
[35:18.380 --> 35:23.140]  You don't know why you're being punished. You don't know what you're accused of you just know that they're doing something to you
[35:23.140 --> 35:25.140]  And in their secret proceedings
[35:25.940 --> 35:30.220]  They've worked it all out and they're satisfied that they can do whatever they want to to you now
[35:30.220 --> 35:34.860]  I watch Loretta Lynch Obama's newest attorney general
[35:36.060 --> 35:42.420]  Talking about how well we're not even going to give you a time limit on what we're going to do in terms of stopping people from being
[35:42.420 --> 35:45.540]  able to buy guns, you know the we've got the NRA
[35:46.020 --> 35:50.460]  Desperately trying to cling to some little remnant of the Second Amendment so pathetic
[35:50.460 --> 35:54.260]  So pathetic to see what they're doing along with Donald Trump saying no
[35:54.940 --> 35:58.060]  We won't let people on this mysterious list buy guns
[35:58.060 --> 35:59.940]  But but let's put a limit on it
[35:59.940 --> 36:04.900]  You can look at them for 72 hours and and then they'll be able to buy guns if they're not really
[36:05.980 --> 36:10.420]  Not really a terrorist. She says no no no no no we don't want to tie our hands that way
[36:11.380 --> 36:14.900]  See the Constitution was meant to tie your hands Loretta Lynch
[36:14.900 --> 36:22.620]  You swore an oath to the Constitution. It was meant to tie your hands. It was not meant to expedite
[36:23.260 --> 36:25.260]  Whatever you wanted to do as a government
[36:26.020 --> 36:31.740]  And so that's very concerning when we look at that. It's very concerning when we look at these the shooting that happened in
[36:32.300 --> 36:37.700]  Britain. Yes, it was a horrific thing a young mother young wife was murdered
[36:38.580 --> 36:43.300]  Do you find any of those circumstances suspicious? I certainly do I
[36:43.300 --> 36:47.220]  Certainly do we talked about it on Friday. We'll talk about a little bit more here
[36:47.220 --> 36:51.540]  What has happened with this and of course it has turned this around precisely one week
[36:52.300 --> 36:58.820]  Before the shooting and then this happens remember that this is nothing new when we look at what's happening with this cyber
[36:59.540 --> 37:01.780]  near declaration of war by NATO
[37:03.060 --> 37:08.340]  That should really cause you to be concerned. I remember when I was a small child. I remember the Cuban Missile Crisis
[37:08.340 --> 37:15.700]  I remember having the threat of a rapid nuclear war because I lived in Florida. This is all happening in Cuba
[37:15.700 --> 37:18.020]  I remember as a kid in elementary school
[37:18.020 --> 37:21.220]  It's like you're gonna have to bring your clothes to work because you may not be able to get home to your parents
[37:21.220 --> 37:23.220]  We just live down the block
[37:24.340 --> 37:26.340]  Everybody in the 50s had the sword of
[37:27.060 --> 37:30.500]  Damocles hanging over their head these nuclear weapons and now we've got NATO
[37:30.980 --> 37:34.940]  Putting that there again, and it's not a sword hanging by a thread over our heads
[37:34.940 --> 37:39.820]  It's a nuclear war that is hanging by a thread over our heads
[37:40.700 --> 37:46.660]  Understand how easy it is for the government to create a false flag cyber event
[37:47.060 --> 37:51.140]  That they then turn into a full-blown war. We see these types of things being done all the time
[37:51.180 --> 37:54.260]  They make these decorations like they did in the NDA. They say
[37:54.740 --> 37:58.900]  We're gonna have indefinite detention by the military without due process
[37:58.900 --> 38:03.980]  We're gonna take you wherever we want do whatever we want to you hold you as long as we wish and we're gonna call that an act of
[38:03.980 --> 38:07.540]  That's part of what we do during war now, but then in the NDA
[38:08.820 --> 38:10.420]  Not in the Constitution
[38:10.420 --> 38:16.300]  They then come out and say well if we have a cyber attack that we deem secretly to be an attack
[38:16.300 --> 38:22.940]  Then we'll we feel justified in starting a nuclear war. Let me talk about NATO and its false flags for just a moment here
[38:24.060 --> 38:26.060]  We go back to the Cuban Missile Crisis
[38:26.700 --> 38:31.700]  Go back to JFK and it's now been declassified. Look it up yourself
[38:31.700 --> 38:38.740]  please do please educate yourself unlike this idiot Gretchen Carlson who will get to in just a moment from Fox News who says that
[38:39.820 --> 38:44.500]  The second amendment was written when before guns were invented. Okay, that's what she tweets out
[38:44.500 --> 38:49.300]  She doubles down. She wants a gun ban for whatever she thinks assault rifles are and of course
[38:49.460 --> 38:53.420]  You know assault rifles as she defines them whatever it is in her mind
[38:53.740 --> 39:00.420]  They should be taken because guns were not invented when the second amendment was written. That's the blithering sellout idiot
[39:00.420 --> 39:05.340]  That is telling you I think her program is called real story or something like that on Fox News
[39:05.340 --> 39:10.260]  I mean, this is this is what Fox News gives you, you know, you can you can put lipstick on a pig
[39:10.260 --> 39:12.300]  You can even put a mini skirt on a pig
[39:12.300 --> 39:18.500]  But they're still a pig if they're that ignorant or if they're lying to you like that. Okay, come on
[39:18.500 --> 39:24.260]  She can't possibly be that stupid. She's simply lying to people, but let's go back to the Cuban Missile Crisis
[39:25.620 --> 39:29.420]  They desperately wanted to invade Cuba. They wanted to go to war with Cuba
[39:29.420 --> 39:38.980]  We had Admiral Limnitser who proposed Operation Northwoods, something very similar to 9-11. He said let's get some passenger
[39:39.420 --> 39:45.460]  Airliners. Let's fly them into buildings. Let's have terrorists blow up malls and let's
[39:46.100 --> 39:50.380]  Fingre Cuba. Let's say that it's all Cuba's fault. That'll give us a pretense to go to war with them
[39:51.700 --> 39:56.580]  President Kennedy's reaction to that was to fire him from being the chief for the Joint Chiefs of Staff and
[39:56.580 --> 40:00.020]  Then that was shortly before he was executed
[40:00.620 --> 40:07.300]  Sacinated now Limnitser shows up in a few years as commander of NATO forces. It wasn't a career ender for him to
[40:07.900 --> 40:09.620]  propose a
[40:09.620 --> 40:14.900]  9-11 type false flag Operation Northwoods so that they could have an excuse to go to war against Cuba
[40:15.220 --> 40:17.220]  You know history rhymes, doesn't it?
[40:18.220 --> 40:19.820]  he goes to
[40:19.820 --> 40:21.820]  NATO becomes NATO commander and
[40:21.820 --> 40:27.620]  And after the Second World War they decided that they wanted to be able to equip people
[40:27.940 --> 40:31.620]  To fight a guerrilla war in case they were overrun by the Soviet Union
[40:32.180 --> 40:35.580]  They wanted their underground to have that equipment in place right away
[40:35.580 --> 40:39.180]  So they had pre-positioned a lot of stocks of weapons throughout Europe
[40:39.860 --> 40:41.860]  at in the 70s
[40:42.940 --> 40:50.660]  We had a lot of communists were really gaining ground in Italy very popular people were voting for communism and
[40:50.660 --> 40:57.780]  And the right and people like Admiral Limnitser were very concerned about that and they came up with a process
[40:57.980 --> 41:03.660]  That's called Operation Gladio with Operation Gladio what they did was I had these people who were loyal to NATO
[41:04.620 --> 41:12.260]  Created terrorist attacks attributed to them to the Red Brigade kidnapping the Prime Minister of Italy and other things and then
[41:13.220 --> 41:15.220]  Blaming it on the communists and
[41:15.220 --> 41:21.180]  And eventually this was all unraveled because they went after the Prime Minister all the moral and it was shown in Italian
[41:21.180 --> 41:22.940]  Corp, but they don't talk about it here in the United States
[41:22.940 --> 41:26.060]  So you can look that up as well. Please do please check me on that
[41:26.460 --> 41:32.020]  Please check me on that check me on that check me on Operation Gladio check me on Operation Northwoods and ask yourself
[41:32.500 --> 41:41.620]  Would our government do yet another false flag attack to try to start a war with Russia or with Cuba or to invade a country of their choice?
[41:41.620 --> 41:45.260]  There's Operation Gladio on Wikipedia is all over the place so you can look it up
[41:45.380 --> 41:53.140]  So that's a very concerning thing, but let's go now to what they're trying to do in terms of taking our guns because again
[41:53.140 --> 41:58.740]  It's not Islam. It's not this guy who was a homosexual had a lot of guilt
[41:59.340 --> 42:05.620]  Nothing to do with his guilt. There's no cross in Islam to put your sin. He's got to earn his way
[42:05.620 --> 42:11.900]  So he has to kill these people that he can't control his urges that he's been given this conflicted guilt about
[42:12.380 --> 42:17.500]  So he does this and we're gonna talk to Paul Craig Roberts. He doesn't think that even happened
[42:17.500 --> 42:19.500]  But let's go to the official story now
[42:20.060 --> 42:22.940]  He shoots people, but it's not his fault. It's not Islam's fault
[42:22.940 --> 42:28.860]  It's your fault if you're a gun owner and you need to have your rights turned into privileges and perhaps curtailed
[42:28.860 --> 42:30.420]  And so we've got people like
[42:30.420 --> 42:37.500]  Fox News's Gretchen Carlson and she says yes, I'm all for the assault weapon ban and she says things on Twitter when people start to
[42:37.620 --> 42:43.860]  Criticize her for this. She says well, you know same things that our new libertarian candidates say well the second amendment was
[42:44.540 --> 42:50.180]  Only about deer hunting, you know, it only protected hunting rifles things like that, but then she gets really crazy
[42:50.180 --> 42:53.300]  She says that guns were invented
[42:54.140 --> 42:57.980]  After the Constitution was written. We'll talk about that when we come back stay with us
[42:57.980 --> 43:02.700]  Shower filters, we're introducing the best yet the brand-new
[43:03.020 --> 43:10.540]  Pro Pure Pro Max high-performance shower filter it removes and reduces over 200 contaminants while preserving a strong powerful flow
[43:10.540 --> 43:16.780]  This new four-stage filtration process helps protect the largest organ in your body your skin from the unhealthy
[43:16.860 --> 43:21.940]  Contaminants in the water you can find more details on this amazing new filter and free shipping an info or store.com
[43:21.940 --> 43:30.220]  Or call 888-533-139 to order your pro max shower filter from Pro Pure today when cells become toxic
[43:30.220 --> 43:37.820]  They die early and aging sets in no one has put together a formula that focuses directly on brain health nerve growth factors and
[43:38.140 --> 43:45.780]  Optimizing your cellular energy at the same time just one of the key compounds biopq cube is backed by major clinical studies
[43:45.820 --> 43:48.460]  You want the best that's out there at the lowest price anywhere?
[43:48.460 --> 43:57.300]  We now have the synergistic solution secure your DNA force today at infowarslife.com or call toll-free 888-253-3139
[43:58.580 --> 44:00.620]  Over the years there have been a lot of powerful
[44:01.100 --> 44:07.980]  Advancements in the field of science and nutraceuticals young Jevity integrates years of scientific research into creating fantastic
[44:08.540 --> 44:16.540]  Products like beyond Tangy tangerine plant derived minerals and much more young Jevity also offers you an ingenious way to augment your income
[44:16.540 --> 44:20.020]  And the best part you'll be helping your friends and family along the way
[44:20.260 --> 44:27.300]  Visit info wars team comm today become a member it discounts on the amazing products and free shipping when you sign up for
[44:27.380 --> 44:34.500]  Autoship and you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time
[44:34.580 --> 44:41.260]  Another win-win. That's why I'm a member of the young Jevity team at info wars team comm and you can be too. It's simple
[44:41.260 --> 44:48.500]  Just go to info wars team comm today complete a short sign up and you're part of the team. That's info wars team comm or info
[44:48.500 --> 44:55.260]  Wars health comm so many people call into my radio show and tell me how young Jevity and the products at info wars team comm have changed
[44:55.260 --> 44:57.260]  Their lives check it out for yourself today
[44:59.940 --> 45:05.500]  Rainforest it's completely different try a bottle of it Rob do joins us you worked
[45:05.500 --> 45:12.220]  I guess like 20 plus hours tell us what brain force get I've been working all day. I took a couple hours off coaching basketball
[45:12.220 --> 45:15.300]  I get in here at 830. I was kind of run down
[45:15.340 --> 45:19.500]  You know, I just didn't feel like I was gonna make it and I really wanted to do a good job on the interview
[45:19.500 --> 45:23.700]  I got my bottle of brain force right there and pop two of them and about 20 minutes later
[45:23.700 --> 45:30.060]  It's like being everything just kind of clears up got four and a half stars people really love it read about it
[45:30.060 --> 45:37.220]  Find out why third-party? Nutraceutical sites give it such high praise because it really does have the best organic based systems
[45:37.220 --> 45:40.860]  That will blow your socks off. I haven't pulled an all-nighter like that in a while
[45:40.860 --> 45:45.300]  But I probably could not have done it without brain force. I went home about 645 this morning
[45:45.540 --> 45:51.980]  Took three hours of sleep got up took two more brain force and came in you will find a brain force and other game-changing
[45:52.380 --> 45:58.260]  products at info wars life comm or call 888 253 313 9
[45:58.260 --> 46:04.940]  Please listen carefully because I'm about to point out three things that will save you a lot of money
[46:04.940 --> 46:12.020]  Well, you get high quality products and fund the info war a 360 win number one when you choose auto ship before checkout
[46:12.020 --> 46:16.460]  We give you 10% off on your order at info or short comm number two
[46:16.460 --> 46:23.500]  You're also able to get items that are out of stock when you sign up for auto ship because we hold back a surplus for auto ship customers
[46:23.500 --> 46:28.740]  Number three, we're giving you free shipping on all orders above $50
[46:28.860 --> 46:34.860]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month
[46:34.860 --> 46:42.500]  Just go to info or store comm select your favorite product or products click on auto ship and choose how often you want us to send you another order
[46:42.500 --> 46:47.900]  As you know I coined the term 360 win and with the new auto ship feature in informers life comm
[46:47.900 --> 46:55.020]  This is a sure win 10% off on auto ship win win win at info wars life comm free shipping on orders above 50 bucks
[46:55.020 --> 46:59.300]  And all out of stock items are never out of stock when you sign up for auto ship
[46:59.300 --> 47:14.300]  You're listening to the alex jones show
[47:14.300 --> 47:38.220]  Welcome back to the alex jones show on this sunday june 19th 2016. I want to talk about fox news is
[47:38.220 --> 47:47.220]  Gretchen Carlson now she's made an amazing number of statements here about the second amendment going back and forth with people on Twitter
[47:47.220 --> 47:54.220]  And she's come out in in favor of banning all assault weapons and we're seeing this a lot from people on the right now
[47:54.220 --> 48:04.220]  We're seeing everybody embrace this tear watch list whether it is Donald Trump or Barack Obama or you name it
[48:04.220 --> 48:10.220]  People on the left and the right the NRA coming in and embracing the tear watch list the tear watch list
[48:10.220 --> 48:17.220]  Understand destroyed the sixth amendment it contradicts every aspect of the sixth amendment it takes away all your protections
[48:17.220 --> 48:24.220]  All the steps that they're supposed to go through that we just lump together and call it due process I hate to just minimize it to that
[48:24.220 --> 48:29.220]  Because people don't even think about all the steps of due process being able to know what the charges are you are against you
[48:29.220 --> 48:37.220]  Being able to answer them in a speedy trial in public to question the witnesses against you to question to have witnesses in your favor that you bring in
[48:37.220 --> 48:45.220]  To have a defense attorney all of those things and then being found guilty before you are punished not having some kind of a pre crime punishment
[48:45.220 --> 48:52.220]  Given to you before any of those steps happen and yet we see people on the left and right now all coming together
[48:52.220 --> 48:59.220]  From the NRA to Fox News to Barack Obama and his so-called Attorney General
[48:59.220 --> 49:05.220]  And then we've got Gretchen Carlson and she came out and said she supports the assault weapon ban
[49:05.220 --> 49:17.220]  She actually put up a poll on her show at a December 2015 poll that showed a majority of people supported assault weapon ban in that particular poll
[49:17.220 --> 49:25.220]  You know what Gretchen I don't really care one poll does not amend the Constitution so change it change it or obey it
[49:25.220 --> 49:31.220]  She says I'm with the majority today and I'm going to take a stand well you know you can get a poll to say anything you want to Gretchen
[49:31.220 --> 49:37.220]  And you can cherry pick the polls as much as you want and one poll doesn't change the Constitution we have a process for that
[49:37.220 --> 49:44.220]  And you want to ignore that process you want to ignore what the Second Amendment says and you want to not only ignore that but you want to ignore
[49:44.220 --> 49:49.220]  What the Sixth Amendment says and we've got a lot of people who are liberals we've got the LA Times
[49:49.220 --> 49:55.220]  We've got the Intercept we've got a lot of people talking about wait a minute these watch lists are really dangerous
[49:55.220 --> 50:06.220]  Anybody that cares about the Constitution that cares about individual liberty and due process doesn't want to turn this into some kind of a kangaroo court tyrannical government
[50:06.220 --> 50:11.220]  Anybody that cares about any of that stuff that understands anything about that is really afraid of the watch list
[50:11.220 --> 50:18.220]  You should be very afraid of the watch list as well and once they start applying punishments to that watch list
[50:18.220 --> 50:23.220]  The watch list is bad enough already has some punishments applied to it and they're just going to keep expanding this
[50:23.220 --> 50:26.220]  It'll be guns first but that's not where it's going to stop
[50:26.220 --> 50:30.220]  So she says she's with the majority of people when they confronted her on Twitter
[50:30.220 --> 50:36.220]  She said this she said the fact that you're even using the Second Amendment as an argument against banning assault weapons
[50:36.220 --> 50:44.220]  Shows me your ignorance says Greta Carlson don't you know she said that the Second Amendment was written before guns were even invented
[50:44.220 --> 50:53.220]  See this is a woman who is either profoundly ignorant about guns about history about politics about the Constitution
[50:53.220 --> 50:59.220]  And about individual liberty and the principles about it she's profoundly ignorant of all of those things
[50:59.220 --> 51:03.220]  To the extent this is about somebody in elementary school
[51:03.220 --> 51:07.220]  Or she's lying to people thinking she can get away with us to control the narrative
[51:07.220 --> 51:12.220]  She says when she's talking to Breitbart News she says at one point I even asked myself
[51:12.220 --> 51:20.220]  What was the use of trying to prove why assault rifles are bad to these people who think that the Second Amendment was written when they actually had guns
[51:20.220 --> 51:26.220]  When they actually used them against their government when all the muskets were state of the art military weapons
[51:26.220 --> 51:37.220]  Okay you say oh these are black powder rifles yeah there's more people dead in cemeteries all over North America killed by black powder rifle than by anything else folks
[51:37.220 --> 51:42.220]  And they're very deadly they should have big bullets and they can kill people left and right
[51:42.220 --> 51:49.220]  But she says I don't even know why I should be arguing with these people who don't possess the most fundamental knowledge of history
[51:49.220 --> 51:54.220]  I felt like I was trying to teach nuclear physics to someone who's illiterate
[51:54.220 --> 51:59.220]  I would love to have a discussion with Gretchen Carlson on nuclear physics
[51:59.220 --> 52:05.220]  That would really be a hoot that would really be a hoot I'm sure she knows a great deal about that
[52:05.220 --> 52:08.220]  Just like she knows a great deal about history in the Second Amendment
[52:08.220 --> 52:13.220]  She said it seemed like every single person replied to my tweet was under the impression that they were right and I was wrong
[52:13.220 --> 52:21.220]  You mean because you think that the Second Amendment was written before people had guns before guns were invented
[52:21.220 --> 52:26.220]  And you don't understand their military weapons look you need to understand go back and look at your history Gretchen
[52:26.220 --> 52:29.220]  As a matter of fact when they first started instituting the first elements of gun control
[52:29.220 --> 52:37.220]  And I guess and that's not counting things like the Jim Crow laws where they took them away from the blacks because they're afraid of them
[52:37.220 --> 52:42.220]  But when we talked about the Supreme Court coming in with its first decision saying oh you can't have a sawed off shotgun
[52:42.220 --> 52:48.220]  What was their rationale? Their rationale was a sawed off shotgun is not a military weapon therefore it's not protected by the Second Amendment
[52:48.220 --> 52:53.220]  We flip that around now now you can only have weapons that aren't military weapons
[52:53.220 --> 52:56.220]  And even that was a lie and they knew that in the 1930s
[52:56.220 --> 53:05.220]  In the Civil War you had several different cavalry units that instead of using a sword used sawed off shotguns and their cavalry charges
[53:05.220 --> 53:10.220]  Okay, that's like I said there's a lot of people dead from black powder and pretty primitive arms
[53:10.220 --> 53:16.220]  But it was about a state of the art military weapons that's what the militia was about
[53:16.220 --> 53:21.220]  We were never meant to be protected by a permanent standing army
[53:21.220 --> 53:26.220]  We never had a permanent standing army until after World War II
[53:26.220 --> 53:31.220]  We had a permanent officer corps but we had a militia that was there to protect us
[53:31.220 --> 53:38.220]  And if it was a real justified war and people believed that you didn't need to draft them
[53:38.220 --> 53:44.220]  You didn't need to hold a gun to their head to get them to sign up to defend their home to defend the Constitution
[53:44.220 --> 53:49.220]  And then she goes on to say Gretchen Carlson says to Breitbart
[53:49.220 --> 53:55.220]  I mean I know the education our country isn't the best in the world but you think she's exhibit A isn't she?
[53:55.220 --> 54:00.220]  I'm wondering if Gretchen Carlson is the mother of Miss South Carolina
[54:00.220 --> 54:05.220]  I've never seen a more empty-headed blonde in my life than Gretchen Carlson
[54:05.220 --> 54:09.220]  Saying that the Second Amendment was written before guns were even invented
[54:09.220 --> 54:13.220]  I don't even know how to respond to somebody like that but of course she thinks that you're an idiot
[54:13.220 --> 54:17.220]  If you know anything at all because it doesn't, your knowledge doesn't match yours
[54:17.220 --> 54:22.220]  So therefore you must be wrong because she's a highly paid Fox News anchor
[54:22.220 --> 54:28.220]  So bow down and worship Gretchen Carlson and let them take away your Second Amendment
[54:28.220 --> 54:31.220]  Just like they've taken away your Sixth Amendment
[54:31.220 --> 54:38.220]  Let's play a clip today. We had on Fox News, we had Jeff Sessions, Senator Sessions on Fox News Sunday
[54:38.220 --> 54:43.220]  And he came on to talk about the gun ban and I want you to hear what he has to say
[54:43.220 --> 54:49.220]  How leaders react after a tragedy like the Orlando massacre
[54:49.220 --> 54:50.220]  This is Chris Wallace
[54:50.220 --> 54:54.220]  Gives people an insight into what kind of a leader or what kind of a potential president they would be
[54:54.220 --> 54:59.220]  And I want to ask you about some of the things that Donald Trump has done in the last week, Senator
[54:59.220 --> 55:07.220]  First, his comments the day after the tragedy that seem to imply that President Obama is somehow sympathetic to the terrorists
[55:07.220 --> 55:09.220]  Here he is
[55:09.220 --> 55:12.220]  He doesn't get it or he gets it better than anybody understands
[55:12.220 --> 55:15.220]  It's one or the other and either one is unacceptable
[55:15.220 --> 55:24.220]  We're led by a man that either is not tough, not smart or he's got something else in mind
[55:24.220 --> 55:31.220]  Question, do you know what that something else Trump refers to that he thinks that President Obama has in mind?
[55:31.220 --> 55:33.220]  No, I don't. I don't know what he's referring to there
[55:33.220 --> 55:39.220]  But I do believe he is correct to raise the question that the policies of this administration
[55:39.220 --> 55:47.220]  From going back to 2011 when we were through all our troops from Iraq and allowed ISIS to form and become an entity
[55:47.220 --> 55:50.220]  Probably would never have happened otherwise
[55:50.220 --> 55:52.220]  It's certainly not spread as much as it has
[55:52.220 --> 55:56.220]  Forgive me, I just want to go to what Trump said
[55:56.220 --> 56:01.220]  He said either he doesn't get it or he gets it better than anyone understands
[56:01.220 --> 56:03.220]  He's got something else in mind
[56:03.220 --> 56:09.220]  I mean, that certainly seems to imply that somehow he is sympathetic to radical Islam
[56:09.220 --> 56:17.220]  No, I don't think he means that, but I think he's a criticising him, President Obama, for going too far
[56:17.220 --> 56:19.220]  To not understanding the threat
[56:19.220 --> 56:28.220]  The President and Hillary Clinton now says she wants to go from 10,000 Syrian refugees to 65,000 Syrian refugees
[56:28.220 --> 56:32.220]  When Mr. Brennan, CIA director says we can't do vetting on that
[56:32.220 --> 56:34.220]  We're talking about that when we come back
[56:34.220 --> 56:37.220]  You know what? It is not an issue of gun control
[56:37.220 --> 56:39.220]  This is an issue of border patrol
[56:39.220 --> 56:41.220]  And if you're not going to be able to control your borders
[56:41.220 --> 56:43.220]  If you have absolutely no interest in controlling your borders
