[00:00:03.715 --> 00:00:04.816]  Thursday!
[00:36:29.418 --> 00:36:33.140]  So, we just got the video up on that today shortly after I get off the air.
[00:36:33.140 --> 00:36:34.940]  So again, another example of the harassment.
[00:36:34.940 --> 00:36:49.386]  And then after that I was saying they had an armoured personnel carrier driving up the road towards the Interalpen Hotel to deal with what was literally less than ten bloggers and journalists at the entrance to the hotel.
[00:36:49.386 --> 00:36:53.668]  There were about three protesters at the checkpoint at the bottom of the hill.
[00:36:54.372 --> 00:37:02.976]  From what I saw from the images, because we were as close to the hotel as we could get, because they give us that permission because we're staying in the lodge nearby.
[00:37:02.976 --> 00:37:09.499]  But at the bottom checkpoint, the first checkpoint, I saw no more than three or four protesters.
[00:37:09.499 --> 00:37:10.740]  One of those was arrested.
[00:37:10.740 --> 00:37:20.884]  So again, that's testament to the fact they've got 2,000 police out here to deal with probably a total of two dozen journalists, bloggers and protesters.
[00:37:20.884 --> 00:37:21.224]  2,000 police.
[00:37:24.073 --> 00:37:28.316]  Well, you know what Proverbs says, the wicked flee when none pursue.
[00:37:28.316 --> 00:37:33.619]  That's Proverbs 28.1.
[00:37:33.619 --> 00:37:35.581]  Obviously, the police aren't idiots.
[00:37:35.581 --> 00:37:38.523]  Obviously, the Bilderberg Group are not idiots.
[00:37:38.523 --> 00:37:41.325]  Why are they doing this when it villainizes them?
[00:37:41.325 --> 00:37:44.367]  Is it just because they're so disconnected and so arrogant they don't care, Paul?
[00:37:46.112 --> 00:37:48.994]  I don't know whether they're acting on direct orders from Bilderberg.
[00:37:48.994 --> 00:37:53.736]  They obviously were in relation to what was going on right at the entrance to the hotel.
[00:37:53.736 --> 00:38:04.241]  Because there was a security screw-up, not the first one, when one of the Bilderberg members arrived in a car and they couldn't confirm his papers or whatever.
[00:38:04.241 --> 00:38:06.602]  So he was literally sat there in the car.
[00:38:06.602 --> 00:38:08.423]  We were like two yards away.
[00:38:08.423 --> 00:38:11.065]  He was sat there for about 10-15 minutes.
[00:38:11.065 --> 00:38:13.446]  Then another Bilderberg member arrived behind him.
[00:38:13.906 --> 00:38:14.227]  I don't know.
[00:38:36.149 --> 00:38:43.283]  We did get as close as physically possible at the only entrance to the hotel right as they were driving in.
[00:38:43.283 --> 00:38:46.769]  We were literally two yards away from all the cars and all those photos are on Twitter.
[00:38:47.612 --> 00:39:01.756]  And we're showing some of those Twitter tweet photos right now at InfoWars.com and PrisonPlanet.com and directly from real Alex Jones on Twitter and also your Twitter account, Paul Joseph Watson.
[00:39:01.756 --> 00:39:02.936]  But that was my next question.
[00:39:02.936 --> 00:39:04.516]  You just got to it.
[00:39:04.516 --> 00:39:06.297]  A lot of them have started to arrive.
[00:39:06.297 --> 00:39:11.978]  We see photos of the bright green armored personnel carrier.
[00:39:11.978 --> 00:39:13.178]  That is a military type.
[00:39:13.178 --> 00:39:15.199]  That is a heavy armored vehicle.
[00:39:16.323 --> 00:39:17.444]  Simply insane.
[00:39:17.444 --> 00:39:26.367]  I see Charlie Skelton out there surrounded by, you know, the police vans and the police watching and the armored vehicle.
[00:39:26.367 --> 00:39:27.808]  Just simply ridiculous.
[00:39:29.475 --> 00:39:33.539]  No, there were busloads of police going up and down all day.
[00:39:33.539 --> 00:39:38.463]  They were just sending more and more buses of police when literally nobody had turned up.
[00:39:38.463 --> 00:39:46.310]  I mean, to compare it to Switzerland, there were at least, you know, 50 to 75 protesters who weren't just bloggers and journalists.
[00:39:46.830 --> 00:39:50.192]  Now, right next to the hotel, it was a smattering.
[00:39:50.192 --> 00:39:54.194]  There were a few people from Italy, a few Americans there, and us.
[00:39:54.194 --> 00:39:55.675]  And that was basically it.
[00:39:55.675 --> 00:40:01.758]  It was less than 10 people at the peak time when all the Bilderberg members were arriving.
[00:40:01.758 --> 00:40:04.399]  And Rob Dew was also able to hike up
[00:40:04.999 --> 00:40:10.000]  Into the mountains and get some really good shots directly onto the Bilderberg Hotel.
[00:40:10.000 --> 00:40:12.421]  Really clear shots of the balconies.
[00:40:12.421 --> 00:40:17.522]  Well, you couldn't get the Bilderberg men but you did get the female police and that you get a gold star for.
[00:40:17.522 --> 00:40:25.704]  There are a lot of female police around and in fact the one that they encountered in the police station was at the checkpoint today at the bottom.
[00:40:25.704 --> 00:40:26.424]  We saw her again.
[00:40:27.807 --> 00:40:29.488]  Oh my goodness.
[00:40:29.488 --> 00:40:34.332]  Looks like the Swedish Kikini team in dark blue uniforms.
[00:40:34.332 --> 00:40:35.553]  It's not bad on the eyes.
[00:40:35.553 --> 00:40:38.676]  Anyways, excuse me folks, I am a man.
[00:40:38.676 --> 00:40:40.718]  Expanding on all this though, Paul.
[00:40:43.417 --> 00:40:50.563]  The police didn't get hysterical in England, they didn't get hysterical in the US, they didn't get hysterical in Turkey, they didn't get hysterical anywhere.
[00:40:50.563 --> 00:40:53.725]  They did a little bit in Greece, but what is up with the Austrians?
[00:40:53.725 --> 00:40:58.068]  I mean, they're really following the Germanic stereotype of flipping out.
[00:40:58.068 --> 00:41:00.730]  Talking to Estill and others, he said Germany's even worse.
[00:41:02.172 --> 00:41:08.762]  It's just the hysteria of like 10 reporters and hundreds of police and armored vehicles.
[00:41:08.762 --> 00:41:10.024]  It's a joke.
[00:41:10.024 --> 00:41:15.552]  It'd be like armored vehicles showing up at a park where families are having picnics or something.
[00:41:15.552 --> 00:41:17.055]  I mean, what is the issue here?
[00:41:18.914 --> 00:41:22.795]  I mean, they must realise how ridiculous it is seeing it today.
[00:41:22.795 --> 00:41:28.356]  And the other point is, again, there are no mainstream journalists there whatsoever.
[00:41:28.356 --> 00:41:40.338]  There was one RT cameraman who was staying in the same hotel as us, who we talked to, and he compared it, he was talking about Botswana and all these other places where he'd been, you know, thrown in jail for filming.
[00:41:40.338 --> 00:41:42.739]  He said it was somewhat approaching that.
[00:41:42.739 --> 00:41:43.099]  But again,
[00:41:45.485 --> 00:41:55.275]  Alright, we've got to have him pause.
[00:41:55.275 --> 00:41:56.256]  Fade him down for a moment.
[00:41:56.256 --> 00:41:58.118]  He's going to have to reset.
[00:41:58.118 --> 00:42:03.904]  We're going to come back in the next break, finish up with him, then talk to the other reporters, then get Charlie Skelton on.
[00:42:03.904 --> 00:42:07.007]  But really important information coming across from Paul Joseph Watson.
[00:42:07.968 --> 00:42:17.630]  I think we should go ahead and call Rob Dew on a cell phone so when we come back he can be on video but with the cell phone audio or give Watson Dew's cell phone or vice versa.
[00:42:17.630 --> 00:42:18.590]  Let's do that.
[00:42:18.590 --> 00:42:29.832]  We're going to go to break and come back here in a moment and get some more of this intel but looking at the Twitter photos that we're going to put into an article for InfoWars.com of the armored vehicle.
[00:42:29.832 --> 00:42:37.274]  Armored vehicle joins Stingray snooping towers and jammers at Bilderberg.
[00:42:38.721 --> 00:42:54.169]  But the big headline is London Guardian accredited reporter covering Bilderberg for nine years, no criminal record, media critic as well, well known, has TV shows in the UK, a part of TV shows.
[00:42:54.169 --> 00:42:58.991]  I mean the cops know who everybody is, they have dossiers, they know that Skelton's harmless.
[00:42:58.991 --> 00:43:05.835]  And they raided him last night at his hotel and came into it at 1am.
[00:43:05.835 --> 00:43:08.036]  This is pure intimidation and is shameful.
[00:43:09.400 --> 00:43:12.722]  But, again, what do you expect in Botswana?
[00:43:12.722 --> 00:43:14.603]  Or Somalia?
[00:43:14.603 --> 00:43:16.724]  Or Austria?
[00:43:16.724 --> 00:43:23.988]  And it is this love of authoritarianism that gave the world Adolf Hitler.
[00:43:23.988 --> 00:43:25.829]  And hot blonde police women.
[00:43:25.829 --> 00:43:30.391]  But, excuse me, I'm just joking around, folks.
[00:43:30.391 --> 00:43:31.532]  This is just ridiculous.
[00:43:34.734 --> 00:43:37.355]  I just want to believe in people.
[00:43:37.355 --> 00:43:39.676]  I want to think of the good in people.
[00:43:39.676 --> 00:43:43.677]  But man, government is just out of control and they're run by a bunch of crooks.
[00:43:43.677 --> 00:43:45.578]  But we do have the first video of the hotel.
[00:43:45.578 --> 00:43:48.199]  They've kept people back so far, our guys got it finally.
[00:43:49.491 --> 00:43:53.594]  That's up on Infowars.com, PrisonPlanet.com right now.
[00:43:53.594 --> 00:43:56.396]  Paul Watson, he probably doesn't have more to add.
[00:43:56.396 --> 00:44:00.079]  Let's just get due in here because I want to go ahead and get the Charlie Skelton article up first.
[00:44:00.079 --> 00:44:02.341]  I want to break that right now with Paul Watson's video.
[00:44:02.341 --> 00:44:05.183]  Now I have a stinging suspicion this is going to go viral.
[00:44:05.183 --> 00:44:06.244]  Where is the press though?
[00:44:06.244 --> 00:44:12.129]  Will you stand up for each other and free speech worldwide or will you all aid the globalists in destroying freedom?
[00:44:13.240 --> 00:44:17.643]  Now before I go any further, briefly, I told you we were running out of Survival Shield X2.
[00:44:17.643 --> 00:44:19.224]  We ran out for a couple days.
[00:44:19.224 --> 00:44:21.766]  We had a limited amount that got finished.
[00:44:21.766 --> 00:44:25.069]  It is a very small amount compared to what we had last time.
[00:44:25.069 --> 00:44:30.072]  And the group is working on then getting more of the Deep Earth Crystals and manufacturing more.
[00:44:30.072 --> 00:44:31.333]  But that could take months.
[00:44:31.333 --> 00:44:34.695]  So if you want to get Survival Shield Nascent Iodine X2, you've heard the right reviews.
[00:44:34.695 --> 00:44:36.577]  A lot of folks have deficiencies.
[00:44:36.577 --> 00:44:41.380]  If you're going to talk to your physician and take iodine, I would suggest this because it's so pure.
[00:44:41.380 --> 00:44:41.941]  It's what I take.
[00:44:42.561 --> 00:44:44.581]  Infowarslife.com.
[00:44:44.581 --> 00:44:54.784]  It helps fund the operation You Can't Lose.
[00:44:54.784 --> 00:44:56.164]  Bilderberg 2015.
[00:44:56.164 --> 00:45:02.805]  You'll never find a more wretched hive of scum and villainy.
[00:45:02.805 --> 00:45:04.826]  We must be cautious in Austria.
[00:45:14.019 --> 00:45:21.143]  And we are back live talking to Rob Dew, Paul Watson, and Josh Owens from their hotel outside Bilderberg 2015.
[00:45:21.143 --> 00:45:35.531]  What the elite don't want you to see, they don't want you aware of this, they want you to know all about Jenner, and all about Kardashian, and all about LeBron James, and all the stuff that doesn't matter.
[00:45:37.383 --> 00:45:45.286]  We're in an epic battle against a scientific takeover that has decided to reduce world population by at least 90%.
[00:45:45.286 --> 00:45:48.387]  Publicly, they say 80.
[00:45:48.387 --> 00:45:49.187]  And you know what?
[00:45:49.187 --> 00:46:00.752]  You can look at their arguments and see how we're hurting the Earth and seeing lazy people in overpopulated Western countries, in some areas that are overpopulated, and argue, yeah, we should reduce human population.
[00:46:02.176 --> 00:46:05.197]  But they're doing it through soft kill in the food and water.
[00:46:05.197 --> 00:46:08.538]  They're even targeting smart, hard-working people.
[00:46:08.538 --> 00:46:10.479]  You can't do that and not become evil.
[00:46:10.479 --> 00:46:17.041]  And it turns out they're the worst people for the earth with GMO, genetic engineering, with all of it.
[00:46:17.041 --> 00:46:19.342]  So they're not even doing what they say they're doing.
[00:46:21.254 --> 00:46:26.356]  They're using that excuse to be totally Machiavellian and kill whoever they want.
[00:46:26.356 --> 00:46:28.516]  And I'm not endorsing eugenics.
[00:46:28.516 --> 00:46:30.957]  I'm saying I see their perspective.
[00:46:30.957 --> 00:46:32.417]  I understand their perspective.
[00:46:32.417 --> 00:46:34.358]  I don't agree with it.
[00:46:34.358 --> 00:46:37.639]  But they don't even follow what they claim they're doing it for.
[00:46:37.639 --> 00:46:41.000]  They really just like to hurt people.
[00:46:41.000 --> 00:46:43.681]  And humans will be weak and decadent by themselves.
[00:46:43.681 --> 00:46:47.402]  When it's encouraged and the skids are greased, we're in trouble.
[00:46:48.590 --> 00:46:52.596]  Again, it's very expensive for us to send our crew to Austria.
[00:46:52.596 --> 00:46:55.360]  We're able to do it because you do support InfoWars.com.
[00:46:55.360 --> 00:47:00.668]  We're running a 20% off special on ProPure G2 water pitchers, the best deal we've ever offered.
[00:47:01.861 --> 00:47:07.465]  We also are offering again the Survival Shield X2 Nacin Iodine is back in.
[00:47:07.465 --> 00:47:11.688]  Hopefully not for a limited time, but it looks like it'll be this last little run for a while.
[00:47:11.688 --> 00:47:14.750]  That truck is coming in to the Fulfillment Center today.
[00:47:14.750 --> 00:47:17.632]  In fact, it's arriving any minute from the laboratory.
[00:47:17.632 --> 00:47:20.434]  So, InfoWarsLife.com.
[00:47:20.434 --> 00:47:22.115]  When it's sold out, it's sold out.
[00:47:22.115 --> 00:47:27.118]  Books, videos, t-shirts, it's all available there at the InfoWarsStore.com.
[00:47:28.460 --> 00:47:32.376]  Shopping Center, and that's how we fund this operation, so thank you all for your support.
[00:47:34.360 --> 00:47:41.602]  But if you want your Survival Show Nation I9X2, and you want to stockpile it, or hold some back, or share it with friends and family, now's the time to act.
[00:47:41.602 --> 00:47:45.142]  We're also about to sell out of Prostagard, it'll take a month or two to refill.
[00:47:45.142 --> 00:47:48.343]  And we're also about to sell out of oil of oregano, or organic type.
[00:47:48.343 --> 00:47:54.804]  Alright, shifting gears, only a few minutes in this segment, Rob Dew, give us your take on what you've seen in the last 21 hours.
[00:47:54.804 --> 00:48:01.566]  Things have escalated, armored vehicles, 1am raids of London Guardian Reporter, this is getting crazy.
[00:48:03.160 --> 00:48:04.301]  Yeah, it definitely is.
[00:48:04.301 --> 00:48:08.544]  And right now, actually, outside our window, I've got Josh on standby with a camera.
[00:48:08.544 --> 00:48:11.807]  Um, we saw, I saw two helicopters zip by real quickly.
[00:48:11.807 --> 00:48:13.228]  There's a big rainstorm coming in.
[00:48:13.228 --> 00:48:15.290]  We can see lightning over the mountains right now.
[00:48:15.290 --> 00:48:17.772]  Um, and then another helicopter followed.
[00:48:17.772 --> 00:48:18.953]  I got the third helicopter.
[00:48:18.953 --> 00:48:23.877]  So there's a lot of helicopter activity right now outside, which is in contrast to what we saw.
[00:48:23.877 --> 00:48:25.978]  We didn't see any helicopter activity all day.
[00:48:25.978 --> 00:48:29.621]  Well, they deliver a lot of people by helicopter.
[00:48:29.621 --> 00:48:31.483]  Sure, they deliver a lot of the scum by helicopter.
[00:48:33.001 --> 00:48:33.882]  Totally.
[00:48:33.882 --> 00:48:41.230]  And so, today, when we were at the entrance, I was talking to a German who spoke really good English, and he said, you know, earlier today, I was up on the mountain.
[00:48:41.230 --> 00:48:42.671]  I saw a great vantage point.
[00:48:42.671 --> 00:48:43.832]  I said, let's go.
[00:48:43.832 --> 00:48:48.938]  You know, we already had the other guys there getting video, and we hiked up this mountain trail.
[00:48:49.778 --> 00:48:55.140]  Beautiful hike and we get about halfway up the mountain and there's just this amazing shot of the hotel.
[00:48:55.140 --> 00:48:57.982]  So I've tweeted those out, sent them to the guys.
[00:48:57.982 --> 00:49:00.983]  Hopefully they've, I think they're turning them into backgrounds for you right now as well.
[00:49:00.983 --> 00:49:04.484]  We're trying to get this stuff out there as quick as we can.
[00:49:04.484 --> 00:49:13.848]  And on top of that this morning, early this morning, we went to the golf course where the most likely the Builder Burgers will be there on Saturday from the intel we've received.
[00:49:13.848 --> 00:49:15.749]  And so we wanted to go scope out the place.
[00:49:15.749 --> 00:49:17.250]  We got probably within
[00:49:18.510 --> 00:49:23.633]  Stay there.
[00:49:23.633 --> 00:49:25.654]  I want to talk about these surveillance trucks.
[00:49:25.654 --> 00:49:26.195]  Stay there.
[00:49:26.195 --> 00:49:28.176]  There's a delay in audio, folks.
[00:49:28.176 --> 00:49:32.038]  That's why we're talking over each other.
[00:49:41.092 --> 00:49:45.915]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:49:45.915 --> 00:49:47.516]  You want answers?
[00:49:47.516 --> 00:49:49.057]  Well, so does he.
[00:49:49.057 --> 00:49:53.260]  He's Alex Jones on the GCN Radio Network.
[00:49:53.260 --> 00:49:57.843]  And now, live from Austin, Texas, Alex Jones.
[00:49:57.843 --> 00:50:08.871]  If you're a radio listener, you're missing dramatic photos and video that are playing behind me of up close at the Giant Hotel, the armored limousines coming in, helicopters, you name it.
[00:50:09.812 --> 00:50:14.279]  It looks like something out of a science fiction movie, but it's real.
[00:50:16.682 --> 00:50:24.204]  These meetings shrouded in secret, merging what was left of the Nazi elite with the Anglo-American Empire at the end of World War II.
[00:50:24.204 --> 00:50:33.707]  The meetings began in 1945, but didn't officially kick off until 1954 in Oosterbeek, Holland, when the group was given the name the Bilderberg Group.
[00:50:33.707 --> 00:50:42.810]  Henry Kissinger and David Rockefeller both attended the 1954 meeting with the father of Queen Beatrice of the Netherlands, Prince Bernhard, the SS officer.
[00:50:43.490 --> 00:50:45.872]  And they're back in their home, Austria.
[00:50:45.872 --> 00:50:53.018]  Beautiful country, amazing culture, really great people, except they love black uniforms and tyranny for some reason.
[00:50:53.018 --> 00:50:53.859]  Some of them do.
[00:50:53.859 --> 00:50:56.621]  That's just kind of the flavor.
[00:50:56.621 --> 00:50:58.182]  They think Darth Vader is cool, I'm sure.
[00:50:58.182 --> 00:51:02.626]  I guess Vader is a Germanic name for father.
[00:51:02.626 --> 00:51:06.189]  But let's just continue here now with Rob Doo.
[00:51:06.189 --> 00:51:07.510]  Rob Doo, please continue.
[00:51:08.948 --> 00:51:10.470]  Okay.
[00:51:10.470 --> 00:51:14.313]  While we were there, we got some up-close shots of the other antenna arrays.
[00:51:14.313 --> 00:51:17.917]  Not the actual truck, but the other one that was up closer.
[00:51:18.719 --> 00:51:20.680]  And we also found a map.
[00:51:20.680 --> 00:51:28.204]  They had maps in the police lines strung up everywhere where the actual line is set now, where if you go over this line, you're done.
[00:51:28.204 --> 00:51:30.345]  You're getting a $500 fine, two weeks in jail.
[00:51:30.345 --> 00:51:36.067]  And then we went back and went up back to the entrance of the hotel, shot some footage there, interviewed Charlie Skelton.
[00:51:36.067 --> 00:51:39.649]  I actually just put up an interview I did with an Italian parliament representative
[00:51:40.129 --> 00:51:44.131]  His name was Apollo Barini, I think is the right way to pronounce his name.
[00:51:44.131 --> 00:51:46.112]  He was actually up there, he's concerned.
[00:51:46.112 --> 00:52:00.758]  Mario Monti is coming to this Bilderberg this year, and also Lily Gruber, a news executive and anchor, who's sort of like, she does a lot of political interviews, so of course they're inviting her up, so she could help dish out the agenda in a nice
[00:52:02.019 --> 00:52:09.545]  Well, it's also there so that other reporters can dream someday if they keep their mouth shut, too.
[00:52:09.545 --> 00:52:14.529]  They might get invited as well and get to, like, worship Henry Kissinger.
[00:52:14.529 --> 00:52:15.790]  Rub his feet or something.
[00:52:15.790 --> 00:52:16.771]  Totally disgusting.
[00:52:19.512 --> 00:52:25.458]  We have two different vantage points in which we could perform some reconnaissance tomorrow during the event.
[00:52:25.458 --> 00:52:29.181]  Hopefully we'll get some of them out on their balconies.
[00:52:29.181 --> 00:52:30.402]  I know exactly where to go.
[00:52:30.402 --> 00:52:34.206]  It's about an hour hike from the bottom, but we can get up there.
[00:52:34.206 --> 00:52:39.751]  I was told even that there is a radar station up higher up the mountain.
[00:52:39.751 --> 00:52:44.075]  There's a cabin up the mountain that this guy goes up there and he sells beer to hikers.
[00:52:44.722 --> 00:52:50.132]  And, uh, there's a radar station nearby and this guy's really pissed off about it, so... So now we know why you want to hide to the top.
[00:52:50.132 --> 00:52:50.973]  It's not a good video.
[00:52:52.466 --> 00:52:53.167]  Oh, of course.
[00:52:53.167 --> 00:52:53.487]  No.
[00:52:53.487 --> 00:52:55.768]  I mean, I can bring my own beer with me if I want to.
[00:52:55.768 --> 00:52:56.208]  I'm joking!
[00:52:56.208 --> 00:53:04.734]  Everybody's just talking about this guy that sells beer on top of the mountain, but sounds like a real hermit-type person who is pissed off about the Bilderbergers.
[00:53:04.734 --> 00:53:10.337]  So I'd like to find an old person that's pissed off, because I have yet to find an old person that's really pissed off about this.
[00:53:10.337 --> 00:53:12.879]  The only people I've found are young people that are concerned about this.
[00:53:12.879 --> 00:53:14.239]  The old people have given up.
[00:53:14.239 --> 00:53:14.940]  They've submitted.
[00:53:15.572 --> 00:53:22.218]  Okay, it's like that sculpture we shot a couple days ago of the globalist, giant globalist stepping on the peon.
[00:53:22.218 --> 00:53:25.041]  I mean, these people have just submitted and it makes me sick.
[00:53:25.041 --> 00:53:28.684]  So to find an old person that's really fed up with that, I can't wait to meet it.
[00:53:28.684 --> 00:53:30.986]  What kind of beer does he sell?
[00:53:32.245 --> 00:53:32.686]  I don't know.
[00:53:32.686 --> 00:53:33.587]  I'll find out tomorrow.
[00:53:46.770 --> 00:53:51.072]  Uh, he can get tweets out, but I mean, we're really having a hard time getting stuff out.
[00:53:51.072 --> 00:53:52.592]  We actually have to come back to our hotel.
[00:53:52.592 --> 00:53:55.834]  Well, they admittedly, they admittedly have jamming equipment.
[00:53:55.834 --> 00:54:00.175]  I mean, that is jamming equipment, but it's also really stingray to grab all the cell phone data.
[00:54:00.175 --> 00:54:01.856]  Sounds like they're jamming you right now, Alex.
[00:54:01.856 --> 00:54:04.417]  I didn't make that out.
[00:54:04.417 --> 00:54:07.018]  I was just saying that that's also a stingray type system.
[00:54:07.018 --> 00:54:07.658]  Here's what I'm gonna do.
[00:54:07.658 --> 00:54:09.039]  I'm gonna get Charlie Skelton on.
[00:54:10.764 --> 00:54:30.961]  If at the bottom of the hour, Paul Watson, you or Josh want to add more, please come back, but I want you to coordinate with the writers and folks right now, with Steve Watson, Don Salazar, Kit Daniels and others, to get all your photos and videos out to the world as we engage in real journalism, because the corporate whore media won't do their job.
[00:54:30.961 --> 00:54:34.444]  Now, London Guardian is doing their job, so their guy got raided.
[00:54:36.690 --> 00:54:39.475]  He's the T-Rex of political talk.
[00:54:39.475 --> 00:54:42.280]  Alex Jones on the GCN Radio Network.
[00:54:53.642 --> 00:54:57.086]  Infowars.com is barely up right now.
[00:54:57.086 --> 00:54:59.449]  We're getting massive traffic.
[00:54:59.449 --> 00:55:02.092]  We normally get over a million individual visitors a day.
[00:55:02.092 --> 00:55:05.516]  We're getting a million every few hours right now.
[00:55:05.516 --> 00:55:07.759]  And the site's very interactive.
[00:55:07.759 --> 00:55:09.340]  We have free video feeds and more.
[00:55:09.921 --> 00:55:14.364]  Bilderberg deploys giant Stingray to grab all digital communications.
[00:55:14.364 --> 00:55:19.188]  Surveillance truck parked outside Bilderberg is a giant Stingray type system.
[00:55:19.188 --> 00:55:22.931]  I would just add type system on steroids.
[00:55:22.931 --> 00:55:28.155]  And you can see in the videos, we'll get some screen grabs of that as well, that
[00:55:29.434 --> 00:55:33.879]  There are other towers that have been put up from trucks or trailers.
[00:55:33.879 --> 00:55:36.101]  We just can't see because trees are in the way.
[00:55:36.101 --> 00:55:37.903]  We can see even bigger masts.
[00:55:37.903 --> 00:55:41.567]  And we talked to locals that, let's just say, have access to the hotel.
[00:55:41.567 --> 00:55:43.369]  They say none of their cell phones work.
[00:55:43.369 --> 00:55:44.109]  It is a jammer.
[00:55:45.400 --> 00:55:57.853]  So, very serious situation, violating all sorts of EU laws to have these systems, because I've seen the EU laws and the UK laws as well that are similar.
[00:55:57.853 --> 00:56:02.518]  We have laws here as well on the illegal stingrays, and when I say stingray, it's like saying taser.
[00:56:03.881 --> 00:56:11.825]  People think of all electrical devices for defense or whatever as a taser, though there's dozens of companies.
[00:56:11.825 --> 00:56:20.609]  We don't know exactly what companies, machineries involved, it's just commonly known as a stingray type device.
[00:56:21.587 --> 00:56:29.490]  Now we've had our reporters harassed at their hotel, the police have come there, they've stopped them, searched them at the checkpoints, knowing them by name.
[00:56:29.490 --> 00:56:41.315]  We then put out the State Police Department's name, and they call it State Police, it's Federal Police, but they're sub-district over that state.
[00:56:41.315 --> 00:56:49.298]  In Austria, you called, they backed off, stopped harassing them, but Charlie Skelton, award-winning journalist for the London Guardian,
[00:56:50.672 --> 00:57:14.346]  wrote this story yesterday at the G7 we journalists were pampered at Bilderberg were harassed by police and last night they got raided they came into their lodge hotel room rousted everyone this is unprecedented they know exactly who Skelton is they escorted him off the mountaintop when he first arrived two days ago
[00:57:15.540 --> 00:57:21.185]  With a police escort in front and back of his car, even though he had a reservation up the mountain.
[00:57:21.185 --> 00:57:24.508]  He got back up to his reservation.
[00:57:24.508 --> 00:57:26.029]  Again, TheGuardian.com.
[00:57:26.029 --> 00:57:32.095]  Charlie Skelton joins us to talk about this situation.
[00:57:32.095 --> 00:57:37.700]  We now have a bright green armored vehicle showing up to menace 10 journalists.
[00:57:37.700 --> 00:57:38.561]  We have just
[00:57:39.577 --> 00:57:44.360]  Squadrons of police stomping around and getting in everyone's face.
[00:57:44.360 --> 00:57:47.622]  Charlie has been detained in other countries.
[00:57:47.622 --> 00:57:51.404]  He's been stalked, harassed, like the late great Jim Tucker has been.
[00:57:51.404 --> 00:57:59.590]  They tend to really target Skelton, because The Guardian is undoubtedly the number one paper in the UK, and from talking to family that lives in Germany,
[00:58:00.680 --> 00:58:02.521]  And talking to folks that go to Europe a lot.
[00:58:02.521 --> 00:58:05.662]  I've been to Europe, but not that much.
[00:58:05.662 --> 00:58:12.185]  The Guardian is the English-speaking paper, and people all speak English in Europe, or try to, to communicate.
[00:58:12.185 --> 00:58:13.706]  And so it's kind of the international language.
[00:58:13.706 --> 00:58:16.387]  So it's the biggest paper probably in Europe itself.
[00:58:16.387 --> 00:58:21.109]  And so this is like them going after a New York Times reporter in New York City.
[00:58:21.109 --> 00:58:22.170]  It's very bold.
[00:58:22.970 --> 00:58:30.544]  It's very aggressive, it's very dangerous, because if they can go after Charlie Skelton, folks, they can go after anybody.
[00:58:32.398 --> 00:58:34.459]  And so we either hang together or hang separate.
[00:58:34.459 --> 00:58:36.781]  He's a mild-mannered fellow as well.
[00:58:36.781 --> 00:58:41.444]  He's a comedy writer, journalist, and actor from Suffolk, England.
[00:58:41.444 --> 00:58:42.764]  An Oxford University graduate.
[00:58:42.764 --> 00:58:46.807]  He started as a journalist writing features for the Evening Standard and The Guardian.
[00:58:46.807 --> 00:58:51.890]  He began reporting on the Bilderberg Group many years ago, and at first kind of thought it was a joke.
[00:58:51.890 --> 00:58:54.071]  Very soon didn't think it was.
[00:58:54.071 --> 00:58:55.552]  And so he joins us now.
[00:58:55.552 --> 00:59:00.235]  He works with his wife as well, getting out some of the hardest reporting out there.
[00:59:00.235 --> 00:59:01.716]  So thank you so much for coming on, sir.
[00:59:02.967 --> 00:59:03.267]  Thank you.
[00:59:03.267 --> 00:59:05.409]  And can I just compliment you on your amazing looking studio?
[00:59:05.409 --> 00:59:06.989]  Well, thank you.
[00:59:06.989 --> 00:59:12.393]  You know, so the Guardian coverage has gone to the front of the paper website.
[00:59:12.393 --> 00:59:13.874]  It's in the physical paper.
[00:59:13.874 --> 00:59:16.375]  This has got to really upset the Bilderberg Group.
[00:59:16.375 --> 00:59:19.077]  Tell us what happened to you and why you think they're so bold.
[00:59:21.536 --> 00:59:31.161]  Well, I think it's possibly because the juxtaposition of the G7 and Bilderberg this year has meant that the policing here is on an extremely heavy scale.
[00:59:31.161 --> 00:59:32.681]  I mean, there's a lot of it.
[00:59:32.681 --> 00:59:37.143]  It feels, to me, as heavy as it was back in 2009 in Greece.
[00:59:37.143 --> 00:59:40.185]  And, you know, it's not as bad as that.
[00:59:40.185 --> 00:59:42.826]  But there's still a big police presence.
[00:59:42.826 --> 00:59:47.989]  And, yeah, I think it has something to do with the gigantic security operation that was the G7.
[00:59:49.873 --> 00:59:54.938]  And for folks that don't know, the G7 just ended and this is basically a continuation of that.
[00:59:54.938 --> 01:00:02.245]  Yeah, it was only, it finished like a couple of days before and about 20 miles away, just across the border in Germany.
[01:00:02.245 --> 01:00:08.250]  But, you know, the experience of being a journalist in the two places could not be more extreme.
[01:00:08.250 --> 01:00:15.417]  I mean, there we were pampered and primped and helped out in every way imaginable by the government.
[01:00:16.307 --> 01:00:21.831]  And here, you know, we're impeded and hindered and harassed by the government.
[01:00:21.831 --> 01:00:24.233]  And it's very strange to have gone one from the other.
[01:00:24.233 --> 01:00:28.356]  It's like getting out of a hot bath and jumping into an ice bath.
