[00:00.000 --> 00:00.580]  Action.
[44:35.980 --> 44:50.980]  I believe they can come rescue humanity with their new systems that we will willingly beg for them to implement against us. This is the forced seduction of the Luciferian world government model. This is the post-human error.
[44:50.980 --> 44:57.980]  This is the ultimate tyranny visited upon the planet. This is the crossroads. Resist or be destroyed for eternity.
[44:57.980 --> 45:14.980]  You want to break some globalist ribs. You want to crush some skulls politically. You want to drive ice picks through their eyeballs spiritually. There's nowhere you can spend money. There's nowhere you can place your bet in a fight where it's going to have more power per dollar.
[45:14.980 --> 45:32.980]  Your bang for your buck, fear, gets you great products at great prices that literally fund the system where the spirit of resistance lives to drive it home to the enemy. And so it's very simple. If you don't want to be slaves and you want to see the fight taken to the enemy, which God wants to see,
[45:32.980 --> 45:48.980]  you see, we have to make the effort. 110% God will finish the move. And I know I need to stay in the fight in the attack, attack, attack. I want to attack. I want to go after the globalists. And just believe me, ladies and gentlemen, that if you want somebody to commit to you and your family to fight for all of our futures together,
[45:48.980 --> 45:58.980]  you've got to guarantee you keep me in the game. I'm going to bust my ass with everything I got for us, for myself and my family, for your family, because we're in this together. InfowarsStore.com.
[45:58.980 --> 46:17.980]  At current sales rates, we're going to sell out of Real Red Pill and Real Red Pill Plus by the end of the year. But despite that, I'm still offering it at 65% off for those of you that have never experienced what is in the Real Red Pill and in the Real Red Pill Plus.
[46:17.980 --> 46:31.980]  There is no one formula that you're going to find out there that is more game-changing. It's 65% off right now. That's very close to cost with a free bottle of our best-selling Biotru Selenium for the mustard seed.
[46:31.980 --> 46:50.980]  These two formulas go together and will supercharge your energy, your focus, your entire body. The globalists know about this, but have been suppressing it. Take advantage of it now, the Real Red Pill and Real Red Pill Plus combo with Biotru Selenium at InfowarsStore.com and help yourself, your family and the Infowar.
[46:50.980 --> 47:00.980]  Again, do your Christmas shopping for yourself and your family. You need to try the Real Red Pill, Real Red Pill Plus, and Biotru Selenium for yourselves.
[47:00.980 --> 47:09.980]  You're listening to the Alex Jones Show.
[47:09.980 --> 47:26.980]  If you are receiving this transmission, you are the Resistance. You're listening to Alex Jones.
[47:26.980 --> 47:31.980]  We're going to stay on the air. We're going to continue the transmission out.
[47:31.980 --> 47:42.980]  Too critical. As the total censorship increases, multimedia institutions that are left standing will be beyond critical.
[47:42.980 --> 47:49.980]  Unfortunately, the NRA has shut down their multimedia operation crippled by infiltrators.
[47:49.980 --> 48:00.980]  I can't tell you all of it because I was told in confidence, but it's bad. They're storming everything. You imagine being the president totally surrounded by criminals.
[48:00.980 --> 48:11.980]  We have some good members of Congress and that's it. Some good people in the military. But the lawyer governing class are the scum of the earth and true cowards.
[48:11.980 --> 48:20.980]  It is their dishonor itself that empowers them because they love being pieces of crap and backstabbing weasels and have no honor in them.
[48:20.980 --> 48:27.980]  So they attack those that do have honor because they understand it's an existential threat to their system.
[48:27.980 --> 48:33.980]  Trump surges in battleground states as Dems push impeachment. And it's true, even in the fake polls he's way up.
[48:33.980 --> 48:46.980]  But we're 328 days out and they're planning false flag events to blend the president. It'll be white supremacists attacking Jewish centers, black community areas.
[48:46.980 --> 48:52.980]  You know, they're gearing it all up. They've done it before. They'll do it again.
[48:52.980 --> 49:01.980]  They're preparing all sorts of economic collapse, all sorts of military crises, but they're going to bring forward women that say Trump raped them.
[49:01.980 --> 49:04.980]  They're going to replay every card they've done that's failed. They don't care.
[49:04.980 --> 49:13.980]  They're going to pile on during the Senate trial with all these giant scandals to have senators go, well, these are the articles we have.
[49:13.980 --> 49:18.980]  And I'm going to go ahead and vote for it because we just got to get him out of here.
[49:18.980 --> 49:26.980]  It's too big a crisis with the civil unrest that will then be triggered by the stay behind networks in the State Department and the CIA run by Soros and the Clintons.
[49:26.980 --> 49:39.980]  And I told you Hillary's waiting in the wings like a mentally retarded vampire bat and will swoop in with this weak field she put in to take over at the last minute.
[49:39.980 --> 49:45.980]  You notice she's number one in the polls now. Biden was never meant to be there. He's a placeholder.
[49:45.980 --> 49:51.980]  All the other candidates are stepping back for her when the big goblin comes into the room. They're like, oh, your lordship.
[49:51.980 --> 49:58.980]  And then she's waiting for them to wound Trump enough and then they'll have some placeholder Republicans she runs against.
[49:58.980 --> 50:01.980]  That's her dream. Doesn't mean it's going to happen.
[50:01.980 --> 50:06.980]  But if we aren't aware of their plans, they're going to win.
[50:06.980 --> 50:11.980]  And I'm not going to stand here and watch it.
[50:11.980 --> 50:18.980]  So we have to turn our will against the enemy.
[50:18.980 --> 50:27.980]  And if you'll simply stop believing delusions and tune into reality and ask God to give you guidance, believe me, you will be given it.
[50:27.980 --> 50:31.980]  I was driving to work this morning and my sight is so clear now.
[50:31.980 --> 50:37.980]  My consciousness is so on that it was just spectacularly beautiful in the rain.
[50:37.980 --> 50:39.980]  And we've all had those experiences in life.
[50:39.980 --> 50:46.980]  But I'm like that all the time now, ladies and gentlemen, because I'm challenging evil and I'm asking God to come into me even stronger.
[50:46.980 --> 50:50.980]  And it's incredible the empowerment and all the statistics show it.
[50:50.980 --> 50:57.980]  Christians are richer, stronger, better looking, live longer, are more empowered because Jesus is real.
[50:57.980 --> 51:01.980]  Our God is real. The life force is real.
[51:01.980 --> 51:05.980]  We want to empower children, not deform them and rape them.
[51:05.980 --> 51:08.980]  I said, I take your calls, I will.
[51:08.980 --> 51:14.980]  But God's spirit is coming into the world really strong right now because the enemy is coming into the world.
[51:14.980 --> 51:18.980]  And God always matches that.
[51:18.980 --> 51:25.980]  And when the devil starts cheating and really playing dirty tricks, God's going to remove the controls on his people.
[51:25.980 --> 51:32.980]  And we are going to have incredible power that has not been seen in thousands of years.
[51:32.980 --> 51:36.980]  It's going to be on, ladies and gentlemen.
[51:36.980 --> 51:41.980]  I don't know about you, but I just want to keep following the path I'm on with a relationship with God.
[51:41.980 --> 51:46.980]  It's unbelievable.
[51:46.980 --> 51:50.980]  Thank God I'm not a Satanist. Thank God I didn't get tricked into that crap.
[51:50.980 --> 51:55.980]  Thank you, Jesus. Thank you, Jesus.
[51:55.980 --> 52:05.980]  I just pray to God to not give me strength and power that I can't handle because let me tell you, it's unbelievable to stare into the universe and begin to have discernment at this level.
[52:05.980 --> 52:11.980]  And that's why the enemy hates Christians and wants us wiped off the face of Europe because they can't carry out their plan till we're gone.
[52:11.980 --> 52:24.980]  They have to sabotage our genetics, sabotage our spirit, sabotage our code because you can't fix something that isn't broken.
[52:24.980 --> 52:27.980]  The only thing that's fallen is that we're able to interface with evil.
[52:27.980 --> 52:37.980]  It didn't mean that Adam and the archetype didn't know what evil was. It was that it wasn't infected with it.
[52:37.980 --> 52:44.980]  We were immune to it. We were that straight and strong. But once evil systems start, they train you to depend on it.
[52:44.980 --> 52:49.980]  And you become weaker and weaker and weaker and weaker. That's how evil works as a binary spiritual weapon.
[52:49.980 --> 52:54.980]  I'm going to stop now. I'm going to go to your calls.
[52:54.980 --> 53:01.980]  The innocents cry out to God as they're being tortured. Can you not hear them?
[53:01.980 --> 53:05.980]  How are they going to try to take Trump out because they're making their move? This is all a deep state coup. It's all admitted now.
[53:05.980 --> 53:10.980]  It's all out of the open, you see. What are you going to do? What are they going to do?
[53:10.980 --> 53:16.980]  Joe in Louisiana, thanks for holding. Thanks for calling. I really appreciate you. What do you think is coming next?
[53:16.980 --> 53:36.980]  I wouldn't be surprised if a false flag would be executed to distract and just like a circus magician, redirect your attention to this hand over here while something else is going on on the other.
[53:36.980 --> 53:42.980]  I totally agree with you. In fact, you were on the board before I brought up false flags. That's what you wanted to get into.
[53:42.980 --> 53:50.980]  We're entering the season of false flags to prop up the House of Cards.
[53:50.980 --> 54:00.980]  That's all they got. How many lives can you commit before it just blows up in your face?
[54:00.980 --> 54:06.980]  They've got to have something extraordinary for people to look at and say, oh my, let's do something. Let's do something.
[54:06.980 --> 54:14.980]  And the government be the savior of the world. How do we counter that? You're not supposed to question public events, but so many of them are states.
[54:14.980 --> 54:22.980]  Some of them are fake and they get caught constantly. How do we get out ahead of that?
[54:22.980 --> 54:36.980]  Well, it's called wisdom and wisdom comes from above. The wisdom of this world is foolishness. The only wisdom that is eternal comes from God.
[54:36.980 --> 54:44.980]  And I don't see that happening with them. Those that are wanting to take over this world with the prince of this world.
[54:44.980 --> 54:55.980]  I was about to say they've been given all the money and all the power and all the mechanisms, but notice how they're getting uglier and stupider and dumber and making more mistakes and just flopping around like fish out of water.
[54:55.980 --> 54:59.980]  Look at the wages of their master. Look at what they're turning into.
[54:59.980 --> 55:06.980]  Exactly. Tell my wife the other day, I read the last chapter of the book.
[55:06.980 --> 55:13.980]  Those that have their trust in the Lord, they know how the outcome is going to end up.
[55:13.980 --> 55:18.980]  And they're the ones that's scratching for every bit of ground that they can possibly get.
[55:18.980 --> 55:23.980]  And they're being deceived thinking that they're going to win.
[55:23.980 --> 55:30.980]  I agree. And the final part of the equation is we have to spread the word because the beast will make war against the saints and overcome us.
[55:30.980 --> 55:36.980]  But only in the first half, in the second half, we win and people have to be ready.
[55:36.980 --> 55:41.980]  The churches that tell folks, oh, it's going to be great. You'll get beamed out of here like Star Trek before all happens.
[55:41.980 --> 55:45.980]  That's not in the Bible. It's not going to happen. Don't be deceived. That's what Christ said.
[55:45.980 --> 55:53.980]  You know, be very careful and read the Bible and have discernment because even the elect, if it was possible, would be deceived.
[55:53.980 --> 55:58.980]  And, you know, you really can't get deceived on the big issues if you've got God in you. It's an absolute fact.
[55:58.980 --> 56:00.980]  God bless you, sir. I appreciate the call, Joe.
[56:00.980 --> 56:04.980]  Lauren in Massachusetts, you're on the air. Lauren, thanks for calling today.
[56:04.980 --> 56:08.980]  Oh, Alex, my captain, my captain. So good to hear from you finally.
[56:08.980 --> 56:12.980]  Thank you for calling. Thank you for having me.
[56:12.980 --> 56:17.980]  So, listen, the pendulum always swings back. They are exposed now.
[56:17.980 --> 56:23.980]  We see their Luciferian system for what it is, Natala, Pelosi, all these people.
[56:23.980 --> 56:26.980]  We know their names. We know they're the scum of the earth.
[56:26.980 --> 56:33.980]  And I know good names like Trey Gowdy and Jim Jordan and the good people that are trying to help us.
[56:33.980 --> 56:40.980]  So who cares what they have planned? Who cares what they, their big, globalist operation to get us? Who cares?
[56:40.980 --> 56:48.980]  They're exposed to the light and sunlight is the best disinfectant. We have them, sir. We have them.
[56:48.980 --> 56:51.980]  Lauren, but why doesn't Communist China ever get out from under it?
[56:51.980 --> 56:56.980]  I agree that we've had providence and the West has had providence because of Christianity.
[56:56.980 --> 57:03.980]  The West was not doing anything, but literally mainly living in caves and stuff until we got Christ. Then we took off.
[57:03.980 --> 57:09.980]  IQ and all of it didn't do it. It took that final equation of Christianity and of God.
[57:09.980 --> 57:14.980]  But so, yes, yes, everything they do to up, but only because we still have Christians in this nation.
[57:14.980 --> 57:18.980]  That's why they're trying to eradicate it and lower that hedge of protection.
[57:18.980 --> 57:24.980]  You can't have communism without Satanism. It's an ism. It's an evil practice that will not prevail.
[57:24.980 --> 57:29.980]  And the only reason it survives in China is because China was an imperial nation.
[57:29.980 --> 57:32.980]  And I think imperialism got mixed up with China.
[57:32.980 --> 57:36.980]  Stay there, Lauren. Listen how smart our listeners are. I'm going to come right back and get more of your wisdom.
[57:36.980 --> 57:40.980]  And then we're going to everybody else. I'm taking a ton of calls next hour. I'm wound up and ready.
[57:40.980 --> 57:55.980]  And we've got a bunch of guests as well. But first, I'm going right back to your calls.
[57:55.980 --> 58:10.980]  Go to infowarshore.com and research the preglonone alone that is in each of these products and then research all the other things that are in Real Red Pill and Real Red Pill Plus and what they will do for you and your family.
[58:10.980 --> 58:24.980]  This Christmas, for those of you on the fence who've never tried these products, I am selling both of the formulas at 65% off the lowest price ever with a free bottle of Biotru Selenium with it from the mustard seed.
[58:24.980 --> 58:30.980]  Ladies and gentlemen, research what this does in your body, then experience it for yourself.
[58:30.980 --> 58:34.980]  If you want to go to the next level, I'd say it funds the info war before losing money on this.
[58:34.980 --> 58:40.980]  This is my gift to you this Christmas. So you experience it for yourself like the other products.
[58:40.980 --> 58:48.980]  infowarshore.com. That's infowarshore.com. Please take action.
[58:48.980 --> 58:56.980]  The 12 days of Christmas Super Sale has come to info wars with free shipping store wide and double patriot points.
[58:56.980 --> 59:00.980]  Finish your Christmas shopping with one click and support the info war.
[59:00.980 --> 59:13.980]  For the 12 days of Christmas, we're adding a new special every day plus free shipping double patriot points and extra stickers in every package to be good little elves and spread the info war triggering libtards.
[59:13.980 --> 59:25.980]  Check in every day to find the new deals. Secure a bottle of the good halogen X3 at cost at $29.95 and get a free bottle of Biotru Selenium.
[59:25.980 --> 59:33.980]  Buy real red pill plus and real red pill at 65% off and get a free bottle of Selenium as well. Silver bullet is only $9.95.
[59:33.980 --> 59:48.980]  Ultimate female force and super female vitality combo are at cost at $29.95. 8 pack power stack is also at cost at $29.95 with free shipping and over 100 others at infowarshore.com and support the info war.
[1:00:03.980 --> 1:00:10.980]  The Alex Jones show because there is a war on for your mind.
[1:00:10.980 --> 1:00:16.980]  Oh, there's definitely a war on for your mind, your body, your soul. We're talking to Lauren and Mass.
[1:00:16.980 --> 1:00:22.980]  I agree that this isn't going well for them in the house. They're going to pass it. It's going to go in the Senate.
[1:00:22.980 --> 1:00:25.980]  But the dirty tricks they're going to pull, we need to be aware of those.
[1:00:25.980 --> 1:00:30.980]  I mean, what are we going to do if say a black college gets attacked and 300 poor black people get killed?
[1:00:30.980 --> 1:00:35.980]  And it's some guy running around saying, I love Trump. I love Trump. I mean, you know, they've got that wound up.
[1:00:35.980 --> 1:00:40.980]  You know, the deep state's trying to pull that. So they've got some serious wall cards up their sleeves.
[1:00:40.980 --> 1:00:45.980]  I think that you are unaware that something is happening in the nation.
[1:00:45.980 --> 1:00:54.980]  I live in Riviera, Massachusetts, one of the most mixed places in the country, Muslims, Latinos, Chinese, very mixed.
[1:00:54.980 --> 1:01:00.980]  I mean, I walk around with my influence, Trump, Pence shirt. I don't care. I am who I am.
[1:01:00.980 --> 1:01:10.980]  And people know what's up, sir. People understand what's happening that they have pay indicted him on the most ridiculous.
[1:01:10.980 --> 1:01:17.980]  What was that? He didn't do what we told him to do. Are you kidding me? He's the president with unlimited power.
[1:01:17.980 --> 1:01:21.980]  Well, unlimited separation of powers unless he commits a crime against the people.
[1:01:21.980 --> 1:01:28.980]  And then they'd have a real reason. Exactly. But executing his office faithfully, he is allowed to keep whatever he wants away from Congress.
[1:01:28.980 --> 1:01:32.980]  And the idea that he doesn't submit to them is totally true. God bless you. And I appreciate your call.
[1:01:32.980 --> 1:01:37.980]  Yeah, I went down to the Christmas tree to shoot some videos. It was mainly Hispanic Americans, but a lot of folks didn't speak English.
[1:01:37.980 --> 1:01:40.980]  It looked like they weren't from here. They were all the ones going, Merry Christmas.
[1:01:40.980 --> 1:01:45.980]  And yeah, you're right. And broken English saying, yes, war on Christmas. We know about it. War on the family.
[1:01:45.980 --> 1:01:51.980]  So yeah, the globalists are losing, trying to turn all the minorities into racist idiots. It's not working. It's why they're panicking.
[1:01:51.980 --> 1:01:57.980]  Let's take another call here. Let's go ahead. Who's been holding the longest here?
[1:01:57.980 --> 1:02:03.980]  Let's take a call from Andre in New York. You're on the air. Andre, thanks for calling.
[1:02:03.980 --> 1:02:08.980]  Hi, Alex. Hi, welcome. Hi. Hi, Andrea.
[1:02:08.980 --> 1:02:11.980]  Andrea, I'm sorry. I read your name wrong. I'm a dummy.
[1:02:11.980 --> 1:02:12.980]  That's okay.
[1:02:12.980 --> 1:02:17.980]  That's a very pretty name. Sorry. Thanks. That's okay. First of all, I want to thank you for what you're doing.
[1:02:17.980 --> 1:02:23.980]  And I commend Owen Troyer for yesterday. I thought that he was very brave in what he did.
[1:02:23.980 --> 1:02:33.980]  I'm calling from New York. Okay. I live in a suburb outside of New York. I'm a woman. I'm a suburban woman.
[1:02:33.980 --> 1:02:40.980]  And I want to tell you that what you are promoting around the country is great, but there's a problem in New York.
[1:02:40.980 --> 1:02:46.980]  Now, we all grew up with Trump. We all know Trump's background before he became president.
[1:02:46.980 --> 1:02:54.980]  There are a lot of people that love him, including Jerry Nadler, that loved him before he became president, was asking him for money.
[1:02:54.980 --> 1:03:03.980]  We know the backstory of his life. However, my problem is, is I want to get involved in what you are telling the guests to do.
[1:03:03.980 --> 1:03:12.980]  But I have a problem. I work in New York City. There was one incident where I was walking to a client. I was in a building.
[1:03:12.980 --> 1:03:19.980]  There was this crazy lady screaming and yelling and carrying on about something that happened with the abortion or whatever.
[1:03:19.980 --> 1:03:29.980]  And she turned to me and she said to me, and what do you think? And I learned that I have to keep my mouth shut because if I don't, it will attack us.
[1:03:29.980 --> 1:03:36.980]  I know a bunch of people that have been attacked. No, no, you're right. The left, the governor, instead of Christians and conservatives and gun owners and pro-liberists should get out of the state.
[1:03:36.980 --> 1:03:45.980]  So you're saying if you speak out, you'll be fired, you'll be physically attacked. You're living in a Soviet nightmare and you're letting other Americans know that New York's not free right now?
[1:03:45.980 --> 1:03:55.980]  No, New York is not free. So I didn't say nothing. I couldn't. I didn't have any garbond or anything which I would love to wear.
[1:03:55.980 --> 1:04:00.980]  I love to wear your t-shirt. I love to wear everything with Trump by keychain, but that's about it.
[1:04:00.980 --> 1:04:10.980]  But you're living under such a Soviet tyranny that you can't do it. I mean, listen, I know in blue areas like of Austin, they will physically attack you if you're wearing a Trump shirt or an M4 shirt.
[1:04:10.980 --> 1:04:19.980]  And I understand and I go out as a man and do it as an exercise of free speech and as a stunt. And it shows us how far we've gotten, how far we've gone down.
[1:04:19.980 --> 1:04:28.980]  Right. And what I'm trying to say is that I wanted to finish the story. So she's yelling at me and I said, I'm sorry, ma'am. I don't know what you're talking about.
[1:04:28.980 --> 1:04:38.980]  I proceed to go in the elevator. It was totally packed. She turns around to me and she says to me, you're one of those. You listen to the guy with the tin hat.
[1:04:38.980 --> 1:04:45.980]  I swear. She said that. I said, I don't know what you're talking about. Screaming, yelling, trying. I said, get away from me.
[1:04:45.980 --> 1:04:51.980]  Hold on. Listen, Gerald Salante's popping in and we'll go back to calls, but don't hang up, Andrea. I want to hear this story.
[1:04:51.980 --> 1:04:56.980]  Oh, yeah. I'm the archetype of the devil now, these people with all these shows, homeland.
[1:04:56.980 --> 1:05:09.980]  I don't have to tell you that America is in a war for its actual survival and we're war against a group that's trying to conquer our very spirit, our very essence that's trying to break our will, trying to destroy our families,
[1:05:09.980 --> 1:05:14.980]  trying to literally poison us physically and psychically at a spiritual level.
[1:05:14.980 --> 1:05:25.980]  Well, info wars is fighting back, but it takes money to stand against the globalist onslaught and to be able to put the reporters on the ground and build the infrastructure to tell the truth in the face of their lies.
[1:05:25.980 --> 1:05:32.980]  That's why we're running giant cyber week specials, the biggest of the year, the biggest of our history.
[1:05:32.980 --> 1:05:38.980]  Don't do your shopping with the big globalist box stores that hate your guts and are financing gun control and all the rest of it.
[1:05:38.980 --> 1:05:47.980]  Don't do your shopping with the new world order. Amazon, do it with info war store, get high quality supplements, get high quality air filtration, water filtration,
[1:05:47.980 --> 1:05:52.980]  Patriot apparel and so much more in every order. It's a whole bunch of free info wars.
[1:05:52.980 --> 1:05:55.980]  Bumper stickers to spread the word. Take action, folks.
[1:05:55.980 --> 1:06:15.980]  He aligns himself with the truth and it's time for you to choose a side. You're listening to Alex Jones.
[1:06:15.980 --> 1:06:25.980]  Jim's charts trump with abuse of power obstruction of Congress not submitting to them.
[1:06:25.980 --> 1:06:31.980]  Gerald Salente trends forecasters got his list of trends for 2020 coming out today. We'll be talking to him in a moment.
[1:06:31.980 --> 1:06:43.980]  We'll continue on with phone calls. Dave, Tyler, Bobby, Dennis, Danny, Bart, Ryan, Tyler, Gordon calls from Hawaii to Washington from Arizona to Virginia from Oregon to Pennsylvania.
[1:06:43.980 --> 1:06:49.980]  I'll be taking your calls. I want to finish up with Andrea in New York.
[1:06:49.980 --> 1:06:54.980]  If you just joined us, she was talking about in New York, you get fired from your job.
[1:06:54.980 --> 1:07:02.980]  If you support Trump or Americana or the trade war against China that Pelosi's been trying to help China block Trump on.
[1:07:02.980 --> 1:07:08.980]  And she said that this woman was yelling and screaming about people that weren't for abortion.
[1:07:08.980 --> 1:07:15.980]  And then she wouldn't say anything to the woman. The woman got on the elevator with her and said, oh, you listen to that tinfoil hat guy on the Internet.
[1:07:15.980 --> 1:07:24.980]  That's what I'm called by these people. So she was finishing up the story about they're so looking for enemies now that they will target you.
[1:07:24.980 --> 1:07:31.980]  Devin Nunes was on Fox this morning. He talked about he was in New York yesterday before he flew back to DC to be on Fox News.
[1:07:31.980 --> 1:07:37.980]  He said in his hotel, a man with what looked like grandchildren came up and said, we're going to get you Russian agent.
[1:07:37.980 --> 1:07:41.980]  And that's what happens to me. They go, we're going to kill you. We're going to put you in prison.
[1:07:41.980 --> 1:07:47.980]  You're a Russian agent. You're a white supremacist. They do this. So finish up your story, ma'am, please.
[1:07:47.980 --> 1:07:56.980]  Yeah. So anyway, so I kept my mouth shut and she was trying to get in my face and it was very crowded and the people looked very nervous.
[1:07:56.980 --> 1:08:01.980]  Nobody was sticking up for me or even going with her.
[1:08:01.980 --> 1:08:10.980]  So I said, get out of my face. I said, I'm not going to get into an encounter with you. And she says, and she starts telling me, what are you doing?
[1:08:10.980 --> 1:08:16.980]  You're a body and, and, and, and you know what he is and all, you know, talking about you and talking about President Trump.
[1:08:16.980 --> 1:08:24.980]  So as she gets out of the elevator and the doors halfway closed, I turned to her and I said, you're lucky I didn't take your hair and knock you out.
[1:08:24.980 --> 1:08:37.980]  But that's all I can do. I, I hear or I get from President Trump and, and Melania Trump and all through the mail asking me to represent my district.
[1:08:37.980 --> 1:08:43.980]  I'm afraid to do that. I'm afraid to speak up. So I feel like I'm living in.
[1:08:43.980 --> 1:08:55.980]  So I understand and Jonathan Turley, the liberal constitutional lawyer who voted for Obama and, and, and who voted for Hillary, he's now getting death threats and so is his dog.
[1:08:55.980 --> 1:09:04.980]  And then the national news station reset it, took the video offline. And I've got that article on info wars.com, but only the text because the video has been taken down.
[1:09:04.980 --> 1:09:11.980]  Jonathan Turley, then they threatened my dog for defending Trump and impeachment hearings when all he was doing was defending the rule of law.
[1:09:11.980 --> 1:09:20.980]  So God bless you, Andrea. You're calling into radio. You're speaking out. You can do things online. You can covertly put up info or stickers that are free in every order.
[1:09:20.980 --> 1:09:28.980]  But yes, I understand that's why I wanted to have you on and hold you over. So Gerald Salente, before he gets to these trends, he's just popping in briefly.
[1:09:28.980 --> 1:09:33.980]  I really appreciate him being on with us today, just giving us a boil down of what's coming out in his new trends journal for the year.
[1:09:33.980 --> 1:09:42.980]  His big one. And boy, he's even accurate. So we really appreciate him being with us. He's in Kingston, New York. And I wonder how popular populism is there.
[1:09:42.980 --> 1:09:51.980]  But yes, in many blue cities, being pro-gun, being pro-Trump, being pro-America, now the Democrats love war. They're against Trump trying to end these wars.
[1:09:51.980 --> 1:09:58.980]  How do you respond to that? How do you respond to the governor of New York saying, if you're pro-second amendment, get out of the state?
[1:09:58.980 --> 1:10:14.980]  I mean, this is real bullying, Gerald. Yeah, it is. It's only going to get worse as we see it. And I've never seen the country so divided and so sad because you mentioned about, you know, the Russian agent's stupidity.
[1:10:14.980 --> 1:10:25.980]  The whole thing went out one shred of evidence and they keep going back. How come Hillary Clinton lost because of the Russians? No, Hillary Clinton lost because people couldn't stand her.
[1:10:25.980 --> 1:10:35.980]  I mean, you know, both our end Trump, by the way, had very high negative poll ratings in terms of personality. It was like 63 percent of the people didn't care for her.
[1:10:35.980 --> 1:10:43.980]  But look at how we have been taught to hate the Russians. Look how we're being taught now to hate the Chinese and the Iranians and on and on.
[1:10:43.980 --> 1:10:57.980]  And the people pick up soundbites. Same thing with Trump. So now we're going to go into an election like I've never seen with such a split in the nation like the one going on now.
[1:10:57.980 --> 1:11:08.980]  So you're going to have, as we see it, the majority. And we're talking about New Yorkers. New York is California. That's a whole different world compared to the rest of the nation, the East Coast and West Coast.
[1:11:08.980 --> 1:11:21.980]  So you're going to have the popular voters. We see it go against Trump. But as I mentioned, one of our top trends is Trump 2020 by default.
[1:11:21.980 --> 1:11:32.980]  And it's default of the Democrats. They don't have anybody to run up against them. He's going to win the swing states with the candidates set up as they are now.
[1:11:32.980 --> 1:11:40.980]  I agree. But the Democrats are trying to set up civil unrest ahead of them. What are the wildcards that Trump should look out for in your view?
[1:11:40.980 --> 1:11:52.980]  Well, as far as them setting up civil unrest, the people that support Trump will get out stronger than those against him, depending on who's running against him.
[1:11:52.980 --> 1:12:03.980]  So if you've got a Joe Biden, you're not going to get young people. Young people are not going to go nuts over that Bernie Sanders had his day and Elizabeth Warren doesn't have it.
[1:12:03.980 --> 1:12:05.980]  So the wildcard.
[1:12:05.980 --> 1:12:09.980]  The Tulsi Gabbard to the establishment didn't try to block her beat Trump.
[1:12:09.980 --> 1:12:22.980]  I think Tulsi Gabbard to me is the best wildcard because, and again, that might be a sentiment that I try not to be put my heart into these things, but she is anti war.
[1:12:22.980 --> 1:12:38.980]  And as being a veteran and worked in the medical section of that, she saw the suffering, you know, of the soldiers coming in and being willing to talk about one of the roughest places is in the medical corps.
[1:12:38.980 --> 1:12:44.980]  And that's why she's so against it because the people have no clue of what war is.
[1:12:44.980 --> 1:12:47.980]  So I think she's the only wildcard.
[1:12:47.980 --> 1:12:52.980]  But as the Trump card that could play against him, you don't know what's going to happen with the economy.
[1:12:52.980 --> 1:12:57.980]  The markets are artificially propped up as we know with the repo markets.
[1:12:57.980 --> 1:13:00.980]  I mean, nobody's ever heard of a repo market before.
[1:13:00.980 --> 1:13:06.980]  And the feds have pumped in over over $3 trillion since.
[1:13:06.980 --> 1:13:12.980]  And that's my question. What is your what is your analysis for next year in the economy?
[1:13:12.980 --> 1:13:25.980]  The economy should do OK because I believe they're going to lower interest rates again, probably two times at least we may be down to zero to negative interest rate policy by next year.
[1:13:25.980 --> 1:13:30.980]  There's a global slowdown and you could look at these job numbers that came out.
[1:13:30.980 --> 1:13:32.980]  But when you look behind them, they're not great.
[1:13:32.980 --> 1:13:45.980]  The jobs that we've created, like ambulatory services, health care, working in restaurants, hospitality sector, they don't pay a lot.
[1:13:45.980 --> 1:13:48.980]  There's a global slowdown in the China.
[1:13:48.980 --> 1:13:53.980]  Again, the economy globally is going to slow down continually.
[1:13:53.980 --> 1:13:56.980]  They're going to have to prop up the American economy.
[1:13:56.980 --> 1:14:00.980]  So I think this year next time will be like we are today.
[1:14:00.980 --> 1:14:03.980]  It'll be more of the same, but a little worse.
[1:14:03.980 --> 1:14:07.980]  And the Democrats are not coming up with anything to give a better solution.
[1:14:07.980 --> 1:14:15.980]  All they're saying is we're going to increase your taxes, spend more money, and that's not going to work to improve the economy.
[1:14:15.980 --> 1:14:17.980]  What are your predictions on the impeachment?
[1:14:17.980 --> 1:14:18.980]  I think you said it.
[1:14:18.980 --> 1:14:19.980]  It's going to pass in the House.
[1:14:19.980 --> 1:14:21.980]  It makes no difference.
[1:14:21.980 --> 1:14:22.980]  It makes no difference.
[1:14:22.980 --> 1:14:25.980]  It's going to blow away by this time next year.
[1:14:25.980 --> 1:14:26.980]  It'll be forgotten.
[1:14:26.980 --> 1:14:27.980]  It's a waste of time.
[1:14:27.980 --> 1:14:40.980]  And as I said, it's going to be, it's going to be a negative for Biden because it's going to become more and more information coming out about the dirty deals that Big Joe did for his little boy, Hunter.
[1:14:40.980 --> 1:14:43.980]  What is he going to do when he finally is forced to come in the Senate?
[1:14:43.980 --> 1:14:46.980]  I mean, they're going to get a lot of trouble in the Senate once what they've done comes out.
[1:14:46.980 --> 1:14:51.980]  I mean, the illegal spying on the media, the chips doing that guy's a maniac.
[1:14:51.980 --> 1:14:52.980]  Exactly.
[1:14:52.980 --> 1:14:56.980]  And again, he's a warmonger besides, I mean, by their deeds, you shall know him.
