[00:00.000 --> 00:01.000]  Find out right now.
[47:50.000 --> 47:53.000]  and cleaned up Ground Zero following the attacks.
[47:53.000 --> 47:56.000]  The men now suffer respiratory ailments, to put it lightly.
[47:56.000 --> 47:59.000]  A spokesman for the Justice Department declined to comment.
[47:59.000 --> 48:03.000]  The court's holding in the case suggests that it will also dismiss a similar suit
[48:03.000 --> 48:07.000]  brought on behalf of the residents near the World Trade Center.
[48:07.000 --> 48:11.000]  The ruling yesterday is unlikely to have a result on another class action suit
[48:11.000 --> 48:16.000]  on behalf of the workers at Ground Zero, which was brought under a different legal theory,
[48:16.000 --> 48:20.000]  and good for them, apparently they might escape this ruling.
[48:20.000 --> 48:25.000]  The panel also included judges Rina Raggi and Robert Sack.
[48:25.000 --> 48:35.000]  In a related story, I guess we can head this up with could Tom Cruise be the next 9-11 truther?
[48:35.000 --> 48:38.000]  Because this is exactly what Tom Cruise is doing right now
[48:38.000 --> 48:42.000]  and maybe why he's been attacked for quite some time, among other things.
[48:42.000 --> 48:48.000]  Of course, he's come out against the psychiatric control industry and prescription drugs, among other things.
[48:48.000 --> 48:51.000]  But will he be the next 9-11 celebrity truther?
[48:51.000 --> 48:55.000]  Tom Cruise's latest efforts isn't for the big screen.
[48:55.000 --> 48:59.000]  It's for the New York Police, Firefighters, and Paramedics of September 11th.
[48:59.000 --> 49:04.000]  Cruise appeared last Thursday at a private dinner in Manhattan to raise money
[49:04.000 --> 49:08.000]  for the New York Rescue Workers Detoxification Project,
[49:08.000 --> 49:14.000]  a program he co-founded in 2002 with his wife Katie Holmes.
[49:14.000 --> 49:19.000]  The program, based in principles developed by L. Ron Hubbard,
[49:19.000 --> 49:21.000]  they'll have to throw that in the news store to try to discredit it,
[49:21.000 --> 49:26.000]  offers free treatment to emergency workers who suffer breathing difficulties
[49:26.000 --> 49:33.000]  and other health problems stemming from exposure to toxins at ground zero after September 11th, 2001.
[49:33.000 --> 49:39.000]  Nearly six years later, many are still paying a price for their heroic service at the World Trade Center.
[49:39.000 --> 49:45.000]  This is a profound injustice, said the 44-year-old actor in a statement to the Associated Press.
[49:45.000 --> 49:51.000]  This project has demonstrated that recovery is not only possible, but an inconvertible fact.
[49:51.000 --> 49:58.000]  The program has treated 785 workers since its inception, said the director Jim Woodworth.
[49:58.000 --> 50:01.000]  Each worker is given vitamins and nutritional counseling
[50:01.000 --> 50:05.000]  and participates in the daily exercise and sauna sessions.
[50:05.000 --> 50:08.000]  The program takes about 30 days to complete, he said.
[50:08.000 --> 50:14.000]  The thing is, they're of course writing in here that this is some kooky Scientology program,
[50:14.000 --> 50:22.000]  when really all this really breaks down to is a big and well-known detoxification program
[50:22.000 --> 50:26.000]  which was adopted by the Scientologists.
[50:26.000 --> 50:32.000]  So of course you understand we're not promoting Scientology by saying something nice about Tom Cruise.
[50:32.000 --> 50:36.000]  I suppose this particular effort makes him gay, I don't know.
[50:36.000 --> 50:39.000]  But I do know that there are detoxification procedures,
[50:39.000 --> 50:42.000]  some of them which are time-consuming and very expensive,
[50:42.000 --> 50:48.000]  which can be used in order to help these people better than just slapping a court ruling
[50:48.000 --> 50:52.000]  and saying that it wasn't shocking enough to the conscience.
[50:52.000 --> 50:55.000]  I don't know how that helps the people recover.
[50:55.000 --> 51:01.000]  I do know that detoxification in this case, if it doesn't help, certainly isn't going to hurt.
[51:02.000 --> 51:09.000]  So I'd like to support that effort, and also I think I'm going to send Tom Cruise some inner food.
[51:09.000 --> 51:13.000]  The website for this is, I believe, nydetox.org.
[51:13.000 --> 51:17.000]  You can find out more about the New York Rescue Workers Detoxification Program.
[51:17.000 --> 51:21.000]  We'll come right back and take your calls, cover more news and information you're not getting anywhere else.
[51:21.000 --> 51:22.000]  This is the Alex Jones Show.
[51:22.000 --> 51:26.000]  I'm Jack Blood sitting in for Alex Jones, impactwars.com, prisonplanet.com.
[51:31.000 --> 51:43.000]  It's here, after a year in production and traveling to distant lands,
[51:43.000 --> 51:45.000]  my new film Terror Storm is complete.
[51:45.000 --> 51:50.000]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks
[51:50.000 --> 51:53.000]  against their own populations as a pretext to enslave them.
[51:53.000 --> 51:57.000]  Terror Storm proves that not only was 9-11 an inside job,
[51:57.000 --> 52:01.000]  but the attacks of 7-7 in London were carried out by British Intelligence.
[52:01.000 --> 52:04.000]  Terror Storm chronicles the lies that took us to war in Iran,
[52:04.000 --> 52:10.000]  the White House program to disseminate fake news, NSA spying, secret police torture,
[52:10.000 --> 52:13.000]  the latest 9-11 information, and much, much more.
[52:13.000 --> 52:17.000]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[52:17.000 --> 52:19.000]  It's an anthology of government crimes.
[52:19.000 --> 52:23.000]  Terror Storm is a film that everyone who wants to be truly informed must see.
[52:23.000 --> 52:27.000]  Get your copy today at infowars.com or prisonplanet.com,
[52:27.000 --> 52:32.000]  or by calling toll-free 1-888-253-3139,
[52:32.000 --> 52:36.000]  or watch it right now online at prisonplanet.tv.
[52:36.000 --> 52:40.000]  Hello, folks. Alex Jones here, introducing Prudent Places USA,
[52:40.000 --> 52:45.000]  an interactive CD book that is your premier resource for hard-to-find information.
[52:45.000 --> 52:49.000]  Find out about everything from job migration to evacuation information,
[52:49.000 --> 52:55.000]  such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[52:55.000 --> 53:00.000]  Zero in on man-made disaster zones, environmental areas of concern,
[53:00.000 --> 53:01.000]  and natural disaster zones.
[53:01.000 --> 53:04.000]  Find out everything from where to get water in an emergency,
[53:04.000 --> 53:07.000]  the geographic income levels, housing prices,
[53:07.000 --> 53:12.000]  complete with over 3 gigabytes of detailed information on the 3,000-plus counties in the U.S.,
[53:12.000 --> 53:16.000]  full-color photographs, 550 high-resolution full-color maps,
[53:16.000 --> 53:19.000]  and detailed information and analysis that you need.
[53:19.000 --> 53:22.000]  Order Prudent Places USA now for only $29,
[53:22.000 --> 53:27.000]  plus shipping by calling New Millennium at 888-803-4438,
[53:27.000 --> 53:29.000]  and tell them Alex Jones sent you.
[53:29.000 --> 53:34.000]  That's 888-803-4438, or order online at murkywater.com.
[53:36.000 --> 53:38.000]  Hello, friends. Alex Jones here.
[53:38.000 --> 53:42.000]  I want you to imagine waking up one morning to find out you've been burglarized.
[53:42.000 --> 53:45.000]  An intruder has taken your personal possessions.
[53:45.000 --> 53:49.000]  Credit card numbers, Social Security cards, banking information, and more,
[53:49.000 --> 53:51.000]  all in the hands of a total stranger.
[53:51.000 --> 53:56.000]  What's worse is you realize he got it through your front door because you left it unlocked.
[53:56.000 --> 54:00.000]  Every time you walk away from your computer leaving your Internet connection on,
[54:00.000 --> 54:05.000]  you are virtually inviting hackers, criminals, and big brother to access your personal information.
[54:05.000 --> 54:12.000]  Put a stop to this right now with the Net7 network security switch from Net7 Technologies.
[54:12.000 --> 54:15.000]  Turn your Internet on and off with one simple switch.
[54:15.000 --> 54:18.000]  There's no software to load, and it's so easy to install.
[54:18.000 --> 54:25.000]  Right now, you can order your Net7 security switch from Net7 Technologies for only $39.95.
[54:25.000 --> 54:28.000]  For a limited time, receive free shipping with your order.
[54:28.000 --> 54:30.000]  Visit net7tech.com.
[54:30.000 --> 54:36.000]  That's net, the number 7, tech.com, and start protecting yourself today.
[54:42.000 --> 54:52.000]  Thanks again.
[55:12.000 --> 55:41.000]  .
[55:41.000 --> 55:47.000]  Wake up, boys, there's a light at the window.
[55:47.000 --> 55:52.000]  I can hear someone knocking on the door.
[55:52.000 --> 55:58.000]  There are voices in the street and the sound of running feet.
[55:58.000 --> 56:03.000]  And they whisper the word, revolution.
[56:03.000 --> 56:05.000]  There are men coming down.
[56:05.000 --> 56:06.000]  Thanks again for joining us today, folks.
[56:06.000 --> 56:09.000]  I think our ISDN line just cut out for a minute, but we are back.
[56:09.000 --> 56:11.000]  Jack Blood, again, sitting in for Alex Jones.
[56:11.000 --> 56:12.000]  We're going to go to your calls here.
[56:12.000 --> 56:14.000]  We've got about 10 minutes to take your calls.
[56:14.000 --> 56:17.000]  We have a guest that we'll have up for about 10, 15 minutes.
[56:17.000 --> 56:22.000]  Go back to your calls and cover a lot of news breaking that you're not hearing anywhere else,
[56:22.000 --> 56:25.000]  but on the GCN radio network on the program today.
[56:25.000 --> 56:27.000]  Alex was scheduled to join us here.
[56:27.000 --> 56:29.000]  I'm sure he will be very soon.
[56:29.000 --> 56:31.000]  We'll look forward to that.
[56:31.000 --> 56:36.000]  Just real quick here, if you have not seen Terror Storm, you have not purchased Terror Storm
[56:36.000 --> 56:41.000]  or the Alex Jones films, which have really set new standards for documentary filmmaking
[56:41.000 --> 56:45.000]  and DIY filmmaking across this world.
[56:45.000 --> 56:46.000]  You need to do that now.
[56:46.000 --> 56:50.000]  That supports the effort in order to continue building the network,
[56:50.000 --> 56:55.000]  continue building on the work that Alex has done such a great job at.
[56:55.000 --> 56:57.000]  There's actually a deal right now.
[56:57.000 --> 57:01.000]  You can get both Freedom to Fascism and Terror Storm for a reduced price.
[57:01.000 --> 57:03.000]  These are two films you want everybody to see.
[57:03.000 --> 57:09.000]  Terror Storm documents the history of false flag terrorism, goes into 9-11 information.
[57:09.000 --> 57:15.000]  A very, very important film breaking and smashing records for downloads all across the Internet.
[57:15.000 --> 57:20.000]  If you haven't seen this or if you haven't purchased the actual edition of it, please do so.
[57:20.000 --> 57:21.000]  Make copies.
[57:21.000 --> 57:22.000]  Get them out.
[57:22.000 --> 57:25.000]  Make sure everybody receives copies of Terror Storm and from Freedom to Fascism.
[57:25.000 --> 57:28.000]  You can get them now by going to Infowars.com.
[57:28.000 --> 57:29.000]  Infowars.com.
[57:29.000 --> 57:34.000]  Or you can simply call toll free 888-253-3139.
[57:34.000 --> 57:37.000]  888-253-3139.
[57:37.000 --> 57:48.000]  Or you can write by mail and order these films to Alex Jones, 3001 South Lamar, Suite 100, Austin, Texas 78704.
[57:48.000 --> 57:49.000]  Get those films now.
[57:49.000 --> 57:51.000]  I highly, highly endorse them.
[57:51.000 --> 57:52.000]  We'll go to the phones now.
[57:52.000 --> 57:53.000]  Loaded phone lines.
[57:53.000 --> 57:54.000]  Rose in Chicago.
[57:54.000 --> 57:55.000]  Thank you for holding.
[57:55.000 --> 57:57.000]  You're on the Alex Jones show.
[57:57.000 --> 57:58.000]  Yes, good morning.
[57:58.000 --> 58:07.000]  I wanted to tell you that last Thursday night, here in Chicago, I went to a place where William Gonzales was telling his story.
[58:07.000 --> 58:08.000]  Sure.
[58:08.000 --> 58:18.000]  And he almost didn't get to the theater on time because he got away from him.
[58:18.000 --> 58:23.000]  Now, this is one of the last men out, one of the 9-11 heroes.
[58:23.000 --> 58:33.000]  Decorated by President Bush as a hero for 9-11, recruited by the Republican Party to be a big candidate, which he turned down because he wanted to talk about what he talked about.
[58:33.000 --> 58:34.000]  Okay, so he was detained.
[58:34.000 --> 58:35.000]  I hadn't heard that.
[58:35.000 --> 58:38.000]  He's being treated like a terrorist now.
[58:38.000 --> 58:40.000]  Well, did he make it to the event?
[58:40.000 --> 58:53.000]  He got there on time and I read on thelonelantern.org that he has to go back with his lawyer and get his passport again.
[58:53.000 --> 58:57.000]  And he says that he has quite often been hassled at the airport.
[58:57.000 --> 58:59.000]  They keep questioning him.
[58:59.000 --> 59:00.000]  Where are you going?
[59:00.000 --> 59:01.000]  What are you doing?
[59:01.000 --> 59:08.000]  That hasn't stopped him from telling the truth around the world, and this is, I'm sure, precisely why this has happened.
[59:08.000 --> 59:09.000]  Thank you for that update, Rose.
[59:09.000 --> 59:10.000]  You're more than welcome to hang.
[59:10.000 --> 59:12.000]  We'll also go to Phil, Charles, Richard, and Lucas.
[59:12.000 --> 59:13.000]  Stay tuned.
[59:13.000 --> 59:26.000]  Order a copy of this show for your friends and family at GCNlive.com or call 877-300-7645.
[59:26.000 --> 59:27.000]  Hello, folks.
[59:27.000 --> 59:35.000]  Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[59:35.000 --> 59:45.000]  Find out about everything from job migration to evacuation information such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[59:45.000 --> 59:51.000]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[59:51.000 --> 59:56.000]  Find out everything from where to get water in an emergency to geographic income levels.
[59:56.000 --> 01:00:06.000]  Housing on the 3,000-plus full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[01:00:06.000 --> 01:00:14.000]  Order Prudent Places USA now for only $29 plus shipping by calling New Millennium at 888-803-4438.
[01:00:14.000 --> 01:00:15.000]  And tell them Alex Jones sent you.
[01:00:15.000 --> 01:00:25.000]  That's 888-803-4438 or order online at murkywater.com.
[01:00:25.000 --> 01:00:37.000]  Waging war on corruption, Alex Jones on the GCN Radio Network.
[01:00:37.000 --> 01:00:41.000]  Big brother, mainstream media, government cover-ups.
[01:00:41.000 --> 01:00:43.000]  You want answers?
[01:00:43.000 --> 01:00:45.000]  Well, so does he.
[01:00:45.000 --> 01:00:49.000]  He's Alex Jones on the GCN Radio Network.
[01:00:49.000 --> 01:00:55.000]  And now, live from Austin, Texas, Alex Jones.
[01:00:55.000 --> 01:00:56.000]  You want answers?
[01:00:56.000 --> 01:00:57.000]  So do I.
[01:00:57.000 --> 01:00:59.000]  I'm Jack Blood filling in for Alex Jones.
[01:00:59.000 --> 01:01:07.000]  Alex Jones getting to the answers by asking the right questions and moving us to the right debate.
[01:01:07.000 --> 01:01:12.000]  That's extremely important and that's the job we've been doing though these many years.
[01:01:12.000 --> 01:01:17.000]  I really believe 9-11 truth, truth action in general.
[01:01:17.000 --> 01:01:21.000]  A new paradigm is being built and we are heading towards critical mass.
[01:01:21.000 --> 01:01:26.000]  We are the proverbial truth snowball rolling down the hill, getting bigger and bigger all the time.
[01:01:26.000 --> 01:01:33.000]  Get out of the way or you'll be run over by truth action and 9-11 truth.
[01:01:33.000 --> 01:01:34.000]  We're going to go to a few more calls here.
[01:01:34.000 --> 01:01:38.000]  I have a quick interview to do and then we'll go back to your calls and continue to cover news today.
[01:01:38.000 --> 01:01:41.000]  This Monday, the 23rd of April, 2007.
[01:01:41.000 --> 01:01:43.000]  Let's go to Phil in Detroit.
[01:01:43.000 --> 01:01:44.000]  Phil, thank you for holding.
[01:01:44.000 --> 01:01:45.000]  You're on the Alex Jones Show.
[01:01:45.000 --> 01:01:47.000]  Hi, what was the name that you used there?
[01:01:47.000 --> 01:01:50.000]  Conscience what?
[01:01:50.000 --> 01:01:52.000]  That the judge used?
[01:01:52.000 --> 01:01:56.000]  Yeah, conscience shock I believe was the appropriate term.
[01:01:56.000 --> 01:01:57.000]  Conscience shocking.
[01:01:57.000 --> 01:01:58.000]  It's not shocking.
[01:01:58.000 --> 01:02:00.000]  It's not conscience shocking.
[01:02:00.000 --> 01:02:01.000]  Yes, that's correct.
[01:02:01.000 --> 01:02:04.000]  So therefore it's not a crime if it's not conscience shocking.
[01:02:04.000 --> 01:02:05.000]  Orwellian, isn't it?
[01:02:05.000 --> 01:02:13.000]  Well, I mean, honestly, I mean, you know, when they nuke Washington because the people have come to drag these criminals out in the street
[01:02:13.000 --> 01:02:19.000]  and hang them, is that going to be not conscience shocking, I guess, I suppose.
[01:02:19.000 --> 01:02:22.000]  I mean, it's a semantical game, isn't it?
[01:02:22.000 --> 01:02:24.000]  What does shocking mean to the courts?
[01:02:24.000 --> 01:02:25.000]  What does a conscience mean to the courts?
[01:02:25.000 --> 01:02:28.000]  They don't have a conscience, so how could they even comment on this?
[01:02:28.000 --> 01:02:31.000]  This is Orwellian beyond belief.
[01:02:31.000 --> 01:02:36.000]  I mean, you can't even read a story like that without having to get out your decoder book and figure out what they're really saying.
[01:02:37.000 --> 01:02:38.000]  I know.
[01:02:38.000 --> 01:02:41.000]  You know, my box of boxes of corn flakes never came with.
[01:02:41.000 --> 01:02:53.000]  Well, it is a total crime, and it is a slap in the face to the rescue workers, the people, the residents that lived in that area that were told to go out and go shopping
[01:02:53.000 --> 01:02:57.000]  when the government knew that there was toxic dust floating around everywhere, okay?
[01:02:57.000 --> 01:02:59.000]  So it is a slap in the face.
[01:02:59.000 --> 01:03:04.000]  So not only does our government not support the troops by littering depleted uranium everywhere,
[01:03:04.000 --> 01:03:10.000]  but they don't support the victims of 9-11 by doing this and trying to whitewash this and cover it up.
[01:03:10.000 --> 01:03:11.000]  Again, the court doesn't have a conscience.
[01:03:11.000 --> 01:03:12.000]  They have no right to comment on it.
[01:03:12.000 --> 01:03:13.000]  Go ahead, Phil.
[01:03:13.000 --> 01:03:18.000]  Of course, they didn't plant explosives in the building because of the asbestos problem.
[01:03:18.000 --> 01:03:21.000]  It wouldn't have had anything to do with that motivation there.
[01:03:21.000 --> 01:03:22.000]  There you go.
[01:03:22.000 --> 01:03:28.000]  You know, the thing that I, you know, we really have to get these criminals' pride.
[01:03:28.000 --> 01:03:32.000]  And the problem is that we're fighting against liars.
[01:03:32.000 --> 01:03:38.000]  And when you fight against liars, they use lies the way we would try to use truth.
[01:03:38.000 --> 01:03:41.000]  And unfortunately, it looks like...
[01:03:41.000 --> 01:03:43.000]  The lie will set you free?
[01:03:43.000 --> 01:03:46.000]  The best way to fight lies is with lies.
[01:03:46.000 --> 01:03:51.000]  There are other lies that can be added to their lives that make their lives useless.
[01:03:51.000 --> 01:03:53.000]  I completely disagree with that, Phil.
[01:03:53.000 --> 01:03:57.000]  I don't know how you want to flesh that out, but I think the best way to fight lies is with truth.
[01:03:57.000 --> 01:03:59.000]  You know, just remember, they don't lie.
[01:03:59.000 --> 01:04:00.000]  They misspeak.
[01:04:00.000 --> 01:04:01.000]  They're not informed.
[01:04:01.000 --> 01:04:02.000]  They forget.
[01:04:02.000 --> 01:04:04.000]  Someone else did it.
[01:04:04.000 --> 01:04:08.000]  I know, but, you know, that can take forever, that process.
[01:04:08.000 --> 01:04:13.000]  I mean, in order to keep the 9-11 truth movement out there and to keep the truth...
[01:04:13.000 --> 01:04:14.000]  But it's working, Phil.
[01:04:14.000 --> 01:04:16.000]  Using the truth is working.
[01:04:16.000 --> 01:04:17.000]  Look around you.
[01:04:17.000 --> 01:04:26.000]  Of course, but I mean, sometimes you have to, I think, be a little bit creative in the way in which you go about publicizing the truth
[01:04:26.000 --> 01:04:30.000]  and using their propaganda machine to our advantage.
[01:04:30.000 --> 01:04:32.000]  Well, here's what Rumsfeld said about that.
[01:04:32.000 --> 01:04:37.000]  Sometimes the truth is so precious, it has to be accompanied by a bodyguard of lies.
[01:04:37.000 --> 01:04:41.000]  That's a direct quote from Rummy.
[01:04:41.000 --> 01:04:43.000]  So maybe you agree with Rummy.
[01:04:43.000 --> 01:04:44.000]  I don't know.
[01:04:44.000 --> 01:04:48.000]  I mean, I happen to think that standing up, being bold, being personally responsible,
[01:04:48.000 --> 01:04:53.000]  being a good example for your friends, your neighbor, your family, your co-workers and people on the street
[01:04:53.000 --> 01:04:58.000]  and fighting the good fight on a truth level, of course, as Bill Coopey said,
[01:04:58.000 --> 01:05:00.000]  there are many truths, so we can get into all that.
[01:05:00.000 --> 01:05:05.000]  But at the end of the day, we have to be the ones who are honest, who are truthful,
[01:05:05.000 --> 01:05:12.000]  who are doing our best to cut through the bodyguard of lies and expose these criminals for who they really are.
[01:05:12.000 --> 01:05:15.000]  Liars, criminals, murderers and eugenists.
[01:05:15.000 --> 01:05:16.000]  We'll come right back after this, folks.
[01:05:16.000 --> 01:05:17.000]  Stay tuned.
[01:05:28.000 --> 01:05:37.000]  Now you can bring Berkey Purification Power anywhere with the Sport Berkey Filtration Bottle.
[01:05:37.000 --> 01:05:43.000]  Ideal for sporting games, camping or boating, or Sport Berkey is small enough to store in your glove box,
[01:05:43.000 --> 01:05:48.000]  so it's ideal backup for unexpected emergencies like blackouts, floods or earthquakes.
[01:05:48.000 --> 01:05:51.000]  It's simply the best personal water filtration system available,
[01:05:51.000 --> 01:05:55.000]  so effective you can drink raw, untreated water from lakes, rivers and streams.
[01:05:55.000 --> 01:06:01.000]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites,
[01:06:01.000 --> 01:06:05.000]  harmful bacteria and chemicals like herbicides and pesticides.
[01:06:05.000 --> 01:06:09.000]  It even reduces radon-222, lead and other heavy metals.
[01:06:09.000 --> 01:06:12.000]  This lightweight, rugged 22-ounce filter is small enough to go everywhere,
[01:06:12.000 --> 01:06:16.000]  so take one to work and keep another in your glove box for emergencies.
[01:06:16.000 --> 01:06:18.000]  Get the Berkey Sport for only $39.
[01:06:18.000 --> 01:06:24.000]  Get two for $70 by calling New Millennium at 888-803-38.
[01:06:24.000 --> 01:06:29.000]  Order your Berkey Sport today. That's toll-free, 888-803-4438.
[01:06:29.000 --> 01:06:32.000]  Or order on the web at berkeywater.com.
[01:06:35.000 --> 01:06:41.000]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:06:41.000 --> 01:06:49.000]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:06:49.000 --> 01:06:57.000]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:06:57.000 --> 01:07:00.000]  Terror Storm chronicles the lies that took us to war in Iran,
[01:07:00.000 --> 01:07:09.000]  the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information and much, much more.
[01:07:09.000 --> 01:07:13.000]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:07:13.000 --> 01:07:15.000]  It's an anthology of government crimes.
[01:07:15.000 --> 01:07:19.000]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:07:19.000 --> 01:07:23.000]  Get your copy today at infowars.com or prisonplanet.com
[01:07:23.000 --> 01:07:28.000]  or by calling toll-free 1-888-253-3139
[01:07:28.000 --> 01:07:32.000]  or watch it right now online at prisonplanet.tv.
[01:07:32.000 --> 01:07:37.000]  Times are tough right now, but there are a lot of different ways to get ourselves out of this mess.
[01:07:37.000 --> 01:07:41.000]  Providing for our own food, water and power are a good start.
[01:07:41.000 --> 01:07:47.000]  As you may have heard by now, Ken's Solar has been configuring alternative energy packages for over a decade.
[01:07:47.000 --> 01:07:52.000]  One of Ken's most popular items right now is the new solar-powered generator.
[01:07:52.000 --> 01:07:57.000]  For a lot less than you'd expect, this portable system can chop up nearly a third of your electric bill.
[01:07:57.000 --> 01:08:03.000]  Getting yourself onto solar power is one of the most liberating things you can do for yourself and your family.
[01:08:03.000 --> 01:08:11.000]  The solar-powered generator will run your lights, fan, electric blanket, your refrigerator and a whole slew of household items.
[01:08:11.000 --> 01:08:20.000]  Visit Ken's website at kensolar.com for free downloads, free videos and how-tos and, of course, the new solar-powered generator.
[01:08:20.000 --> 01:08:25.000]  Enter the GCN coupon code during your order and save an additional 10%.
[01:08:25.000 --> 01:08:31.000]  Get a solar-powered generator now from kensolar.com. That's kensolar.com.
[01:08:32.000 --> 01:08:40.000]  The Genesis Communications Radio Network proudly presents the Alex Jones Show because there's a war on for your mind.
[01:08:44.000 --> 01:08:47.000]  It is a war for your mind. There are no days off.
[01:08:47.000 --> 01:08:57.000]  It is a constant battle to protect your mind, to protect your pursuit of happiness, your right to freedom, your right to pursue a higher consciousness.
[01:08:57.000 --> 01:09:07.000]  And they will take that away from you and put you in a mental prison, a mental cage if they continue to steamroll over the consciousness of the world.
[01:09:07.000 --> 01:09:17.000]  We will stop them. We will stop by standing up against them and by declaring that our hearts, our minds belong to us and nobody's going to win them.
[01:09:18.000 --> 01:09:27.000]  I don't care how much they would like to because if there's a winner in your heart and mind, there's going to be a loser and that loser is likely to be you.
[01:09:27.000 --> 01:09:34.000]  We're going to be joined here by Joseph Kilgus. He is one of the people that took on John Kerry here over the weekend at Book People.
[01:09:34.000 --> 01:09:41.000]  His group is Austin 9-11 Truth Now. I'd just like to play the clip again because we cut off some of it the first time we played.
[01:09:41.000 --> 01:09:48.000]  I'd like to play the whole clip of the question by Joseph to John Kerry, his answer, and then we'll come back. We'll go to Joseph and we'll take your calls.
[01:09:48.000 --> 01:09:51.000]  Of course, this is the Alex Jones Show. I'm Jack Blood sitting in for Alex Jones.
[01:09:51.000 --> 01:09:57.000]  John, if you could roll that clip, we can hear how he builds up to the question. I think he does a good job. Go ahead and roll it.
[01:09:57.000 --> 01:10:00.000]  I should mention that in front of everybody.
[01:10:00.000 --> 01:10:07.000]  I just want to commend you both for your stance on environmental issues like this that are so important.
[01:10:07.000 --> 01:10:13.000]  Chapter two, I really got a lot out of, especially when you talk about the environmental working group.
[01:10:13.000 --> 01:10:17.000]  I think we could all benefit from going to ewg.org.
[01:10:17.000 --> 01:10:25.000]  There's also a searchable database there where you can plug in all your personal hygiene products and see which ones are toxic to you that you're using on a daily basis.
[01:10:25.000 --> 01:10:31.000]  I think another thing that we should really focus on, too, is genetically modified organisms.
[01:10:32.000 --> 01:10:35.000]  Another thing, the use of depleted uranium in Iraq.
[01:10:35.000 --> 01:10:41.000]  Chemtrails being sprayed over major cities everywhere in this country daily.
[01:10:41.000 --> 01:10:44.000]  A big concern of mine because I see these things every day.
[01:10:44.000 --> 01:10:47.000]  What is it? The Air Force denies the fact that they exist.
[01:10:47.000 --> 01:10:51.000]  I think that there are regular contrails. We know better than that.
[01:10:51.000 --> 01:11:01.000]  Also, a question I have for you. World Trade Center 7 was brought down on September 11th at 5.20 in the evening.
[01:11:01.000 --> 01:11:10.000]  The leaseholder of the World Trade Center complex, Larry Silverstein, gave a public interview on PBS in 2002.
[01:11:10.000 --> 01:11:16.000]  He said that they pulled that building, which is a demolition term for intentionally bringing down a building.
[01:11:16.000 --> 01:11:21.000]  This man made over $5 billion from those buildings' destruction.
[01:11:21.000 --> 01:11:32.000]  I want to know if there was ever a formal investigation into Larry Silverstein, the leaseholder of the World Trade Center complex, and his ties to this entire event.
[01:11:32.000 --> 01:11:35.000]  I don't believe there's been a formal investigation. I haven't heard that. I don't know that.
[01:11:35.000 --> 01:11:40.000]  I do know that that wall, I remember, was in danger.
[01:11:40.000 --> 01:11:48.000]  And I think that they made a decision based on the danger that it had of destroying other things, that they did it in a controlled fashion.
[01:11:48.000 --> 01:11:53.000]  You know, he's part of the construction, reconstruction effort for the memorial and the use of the land, et cetera.
[01:11:53.000 --> 01:11:56.000]  There's been a long tug of war going on in New York.
[01:11:56.000 --> 01:12:01.000]  I am not following every aspect of it because it's not in my jurisdiction, so to speak.
[01:12:01.000 --> 01:12:03.000]  But I'll check on what the story is.
[01:12:03.000 --> 01:12:06.000]  I'll take a look at it based on what you've said.
[01:12:06.000 --> 01:12:10.000]  You're the first people anywhere in the country to call this to my attention.
[01:12:10.000 --> 01:12:17.000]  The 9-11 Commission Report does not even address World Trade Center 7 and the fact that it would fail.
[01:12:17.000 --> 01:12:22.000]  Let me find out about it. I don't know enough about it. It's not in our book, et cetera. Incidentally, thank you for mentioning.
[01:12:22.000 --> 01:12:24.000]  If you go to the back of the book, folks...
[01:12:24.000 --> 01:12:28.000]  It's not in our book. I kind of doubt it would have been in his book.
[01:12:28.000 --> 01:12:32.000]  But we have Joseph Kilgus from Austin 9-11 Truth Now.
[01:12:32.000 --> 01:12:35.000]  You can get them on MySpace by entering that in.
[01:12:35.000 --> 01:12:37.000]  Joseph, welcome to the Alex Jones Show.
[01:12:37.000 --> 01:12:43.000]  Congratulations here in Austin, Texas, to being the first people to ask Skull and Bonesman John Kerry these questions.
[01:12:43.000 --> 01:12:46.000]  Well, hi, Jack. Thank you.
[01:12:46.000 --> 01:12:52.000]  Yeah, I mean, it's pretty shocking to hear him say that, that, you know, a prominent U.S. Senator
[01:12:52.000 --> 01:12:59.000]  and someone who ran for president in 2004 saying that he hadn't heard anything about 9-11 being an inside job
