[00:00.000 --> 00:13.000]  They took my saddle in history, broke my leg in the Saturday, lost my wife and a girlfriend
[1:15:11.000 --> 1:15:18.000]  What do you think having some experience with all of the above would be an appropriate response by this White House?
[1:15:18.000 --> 1:15:26.000]  Well, two things. First, you're completely correct on the papers. I mean, this is, they've become probda. It's just to use a Cold War metaphor.
[1:15:26.000 --> 1:15:32.000]  And it's shameful. Secondly, regarding the very fact, and look, I've met with senior intelligence officials now in place.
[1:15:32.000 --> 1:15:41.000]  And Lou, they have to go through and sort out who is going to be actual career people who are going to do their job and those who are loyal to the previous administration.
[1:15:41.000 --> 1:15:46.000]  And some of these folks have transitioned from what we call political appointee jobs into career jobs.
[1:15:46.000 --> 1:15:56.000]  So you got to go through. So my recommendation, I'll tell you what I said, you need to go fire two people, two levels down, everybody below you two levels, fire them, be done with it.
[1:15:56.000 --> 1:16:05.000]  Thank you for your service to America. It's time for you to find a new job and then start looking for people who are going to be loyal to the American people and the policies of this president.
[1:16:05.000 --> 1:16:09.000]  That's what you've got to do. It's just that simple.
[1:16:09.000 --> 1:16:18.000]  I've got breaking news at the bottom of the hour, but I've got to check some of this, not for validity, but to see how much I can release from what's happening in the White House.
[1:16:18.000 --> 1:16:24.000]  But I've been told by White House sources to go ahead and go with this information.
[1:16:24.000 --> 1:16:31.000]  But there's a total civil war going on in the government right now. Criminal elements, the deep state ally of the communist China particularly.
[1:16:31.000 --> 1:16:39.000]  No, there's a populist awakening. They know the president is turning the economy back on. He's about to go on a foreign trip and submit himself as presidential.
[1:16:39.000 --> 1:16:46.000]  He's about to make Saudi Arabia do a deal to not back Islamic expansion. He's really trying to bring real stability. They're panicking.
[1:16:46.000 --> 1:16:54.000]  Soros wants to drive down the dollar. He's obviously bet against what's happening right now, so he's making money off of stock market plunging.
[1:16:54.000 --> 1:17:01.000]  The Dow's dropped 250 plus points.
[1:17:01.000 --> 1:17:17.000]  But you've got a total bureaucratic rebellion, a total bureaucratic mutiny going on right now with all these fake leaks and twisted information and Comey who helped cover up HSBC and who Obama appointed total operative.
[1:17:17.000 --> 1:17:25.000]  They are so scared because they know Trump is planning to prosecute them once he gets the economy restarted. Too many prosecutions early will stall the economy.
[1:17:25.000 --> 1:17:34.000]  They're now stalling the economy to go after Trump. So joining us for the rest of the hour at the big announcement at the bottom of the hour is Joel Scowze in the World Affairs Brief.com,
[1:17:34.000 --> 1:17:48.000]  former Marine Corps officer, label aviator, I know his family and Leon Scowze and his uncle wrote to make a communist expose the whole current paradigm. And of course, he had family that was regional heads of the FBI, so you can give us some of the inside baseball on that.
[1:17:48.000 --> 1:17:59.000]  But this is an incredible time with Dana Bash admitting this is a deep state coup against Trump. They're accelerating this. Where are we right now and what do you think we can do to respond to this?
[1:17:59.000 --> 1:18:04.000]  And what should the president do right now, Joel Scowze?
[1:18:04.000 --> 1:18:08.000]  Well, thank you, Alex. It's good to be with you again.
[1:18:08.000 --> 1:18:20.000]  I wish I were confident that Trump was really intending to to prosecute and, you know, you and I both were very enthusiastic and optimistic about Trump's ability.
[1:18:20.000 --> 1:18:28.000]  We saw him heavily manipulated by the advisors around him. They're still there.
[1:18:28.000 --> 1:18:40.000]  You know, Kami basically betrayed Trump. Trump really played nice with Kami. He said nice things to him after he was elected.
[1:18:40.000 --> 1:18:59.000]  So Kami came out and did the Uma Abedin email announcement just before the election, really not so much to swing it to Donald Trump, but to make it less obvious that he was a shill for the government and a shill for Hillary Clinton.
[1:18:59.000 --> 1:19:12.000]  And as he began to continue to prosecute this Russian scandal, which is fake news, total fake intelligence, he, Donald Trump, finally had enough.
[1:19:12.000 --> 1:19:18.000]  Trump did, in fact, try to get him to back off on the Michael Flynn investigation after Flynn had resigned.
[1:19:18.000 --> 1:19:22.000]  He said, hey, that's enough. Let the guy alone. Kami didn't do that.
[1:19:22.000 --> 1:19:33.000]  And so I think Trump just felt betrayed and got rid of him. But so far, I don't see any signs that Trump is still aware.
[1:19:33.000 --> 1:19:41.000]  I mean, he just met with Henry Kissinger, called him a wonderful person. You can't be aware of the deep state if you don't understand who Henry Kissinger is.
[1:19:41.000 --> 1:19:53.000]  That's the word. Stay there. I get it from people who know the president. He literally is like a throwback. He really just thinks that we're all patriots. We're going to save America. And he can't believe that people have this larger agenda.
[1:19:53.000 --> 1:20:11.000]  He just keeps expecting them to get in line with making America great again. We'll be right back.
[1:20:24.000 --> 1:20:28.000]  And with no paperwork to send in, that's right. No paperwork whatsoever.
[1:20:28.000 --> 1:20:35.000]  Your cash will hit your bank account as soon as tomorrow as our lenders have millions of dollars to lend, regardless of your credit history.
[1:20:35.000 --> 1:20:42.000]  Just have a checking account and a regular source of income. Go to 67cash.com and you can get the loan you need now.
[1:20:42.000 --> 1:21:00.000]  Regardless of your credit, go to 67cash.com from your smartphone or computer. To get the cash you need, visit 67cash.com. Type www.67cash.com directly into the address bar. That's 67cash.com. 67cash.com.
[1:21:13.000 --> 1:21:21.000]  With two great tasting and super high quality forms of vitamin B12, proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[1:21:21.000 --> 1:21:27.000]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[1:21:27.000 --> 1:21:35.000]  Seeker 12x4W's life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[1:21:35.000 --> 1:21:45.000]  It pairs two forms of vitamin B12 into one explosive formula. Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[1:21:45.000 --> 1:21:52.000]  But it also assists with many other functions of the body. Electrify your mind and body and take your health to the next level.
[1:21:52.000 --> 1:22:07.000]  Experience the power of Seeker 12 at infowarslife.com. That's infowarslife.com.
[1:22:23.000 --> 1:22:33.000]  In fact, their money will continue to grow safely year in and year out even when stocks, real estate and other investments tumble.
[1:22:33.000 --> 1:22:44.000]  A free report detailing this savings program is now available. This free report shows how you can get guaranteed growth, safety and wealth building power without risking your retirement in the Wall Street Casino.
[1:22:44.000 --> 1:22:54.000]  This is the best way to have a 100% secure retirement. It far outperforms any IRA or 401K. To get this free report, visit bankonyourself.com.
[1:22:54.000 --> 1:22:59.000]  That's bankonyourself.com. Bankonyourself.com.
[1:22:59.000 --> 1:23:16.000]  It's been said, any society is only three missed meals away from chaos. Those times may be near. Think about it, our country faces multiple terrorist threats and aggressions from Russia and North Korea. Social unrest and violent marches yet again may lead to looting of stores and city shutdowns.
[1:23:16.000 --> 1:23:29.000]  And our crumbling infrastructure leaves our power grid vulnerable to long-term outages from a single cyber attack. When the chaos from any one of these threats arises, the government knows it can't provide during a widespread national emergency.
[1:23:29.000 --> 1:23:41.000]  That's why you need your own plan for self-reliance. That's where my Patriot supply comes in. Get a four-week survival food supply for only $99. That includes breakfast, lunches and dinners.
[1:23:41.000 --> 1:23:55.000]  You can find it online at preparewithgcn.com. $99 for four weeks of survival food that tastes like homemade cooking and lasts up to 25 years. From my Patriot supply, get your kits today at preparewithgcn.com.
[1:23:55.000 --> 1:24:01.000]  Free shipping is included. Prepare with gcn.com.
[1:24:01.000 --> 1:24:19.000]  We consider and go back and forth on whether Trump knows what he's facing or not, that regardless the globalists are launching their main assault.
[1:24:19.000 --> 1:24:25.000]  And they're just so evil and it's so obvious.
[1:24:25.000 --> 1:24:34.000]  And we're looking at this wondering, where is it going from here? That's why Trump has to go on the offense. But how does he do that?
[1:24:34.000 --> 1:24:44.000]  It shows how real Trump is, though, that his own advisors come out and his own people and say, oh, you know, we authorized it. We said Comey in recommendations.
[1:24:44.000 --> 1:24:49.000]  He's doing a bad job. The attorney general, the deputy attorney general. And Trump goes, yeah, yeah, they did that.
[1:24:49.000 --> 1:24:57.000]  I fired him, too, over not investigating leaks and this whole made up Russia deal. They go, oh, obstruction. He's like, no, it's made up.
[1:24:57.000 --> 1:25:07.000]  He's actually being honest. And I've talked to folks that know Trump really well. They say he's almost like autistic when it comes to not lying and just saying what he really thinks.
[1:25:07.000 --> 1:25:13.000]  And so they're calling that a bad thing. I think that's a good thing. Joel Scalzen, you're a smart guy. I mean, I really respect your long term view on this.
[1:25:13.000 --> 1:25:20.000]  Where do you see this going? How do you see this unfolding? Because like Colonel Shaper said, was this an info war, deep state globalist?
[1:25:20.000 --> 1:25:27.000]  Most of the intelligence agency people don't like what's happening. This is not the 1970s with Nixon. And I think Trump's a better person than Nixon.
[1:25:27.000 --> 1:25:32.000]  I mean, I think the globalists are desperate here. But how do you see this unfolding?
[1:25:32.000 --> 1:25:43.000]  Well, they are desperate because, you know, Trump in firing Comey has just shown this one aspect of his personality. And that's his unpredictability. I mean, sure, he could be flattered.
[1:25:43.000 --> 1:25:50.000]  He can be manipulated. But you know, you cross him and he starts to see something on him. He can turn on you in a minute.
[1:25:50.000 --> 1:26:00.000]  I mean, it's not like George W. Bush or any other puppet president who they may attack on the left to keep him steered to the, you know, in the right direction.
[1:26:00.000 --> 1:26:06.000]  I mean, Trump is being manipulated and but he turned on them and but it.
[1:26:06.000 --> 1:26:13.000]  That's right. He can be manipulated and he can make mistakes, but he isn't evil at his heart. Like you said, your analysis from the beginning and he means well.
[1:26:13.000 --> 1:26:15.000]  And that's why they're scared of him.
[1:26:15.000 --> 1:26:23.000]  Yeah, absolutely. And my my basic worry though, Alex, to see just doesn't have the background in conspiracy.
[1:26:23.000 --> 1:26:31.000]  Well, let me stop you. And the reason I'm interrupting is you're so on target. You said almost two years ago, when it looked like he might win long term, all the same thing.
[1:26:31.000 --> 1:26:48.000]  How were you able to psychologically do the accurate analysis of him? Because only now do we see this is the accurate and a good guy who means well, goes off what he knows, won't be pushed around, can be flattered, but is also the wild card because he really cares about America.
[1:26:48.000 --> 1:26:51.000]  I mean, how did you know his profile?
[1:26:51.000 --> 1:26:59.000]  Well, because I know how difficult it is to come to a proper understanding of the conspiracy. You've got to have depth. You've got to have background. You've been in this for years.
[1:26:59.000 --> 1:27:07.000]  I've been in this since I was 17, Alex, and it is so difficult to perceive the level of deception.
[1:27:07.000 --> 1:27:23.000]  When you get through the, you know, the Kennedy assassination and the TW 800 downing and 9 11, you have to go into the details to be able to you can't just, like Trump does, do a cursory read of the Internet and come to some correct conclusions that yeah,
[1:27:23.000 --> 1:27:31.000]  that looks like there's a conspiracy, but without the depth without the back, he doesn't know the deep patterns and how this is complex, but these evil doers.
[1:27:31.000 --> 1:27:38.000]  They're, they're, they're, they're very neurotic or OCD and now they pathologically do the same things.
[1:27:38.000 --> 1:27:53.000]  Yes, they do. And as I say, that's why I've been able to predict what the globalists are going to do after a long, long study in my own experience of Washington, my own experience in the military, looking at the yes man ship there and and how people are compromised slowly and how the
[1:27:53.000 --> 1:27:54.000]  conspiracy.
[1:27:54.000 --> 1:27:58.000]  You warned a McMaster up front. He has turned out to be really bad.
[1:27:58.000 --> 1:28:02.000]  That's correct. He's very, very bad and Mattis is turning out to be bad too.
[1:28:02.000 --> 1:28:04.000]  He just is not a good thinker.
[1:28:04.000 --> 1:28:17.000]  I mean, anybody who gets to be a general in the military is a yes man to the establishment has been indoctrinated by Georgetown professors at the National Universities in globalism and they don't get to be generals unless they go along with that.
[1:28:17.000 --> 1:28:19.000]  Unless they don't fight it.
[1:28:19.000 --> 1:28:35.000]  I just don't have confidence. Still that we have anyone who's got his ear. I mean, Steve Bannon is the closest thing to somebody who is anti globalist and who is not for this raising the troop level Afghanistan that Mattis and
[1:28:35.000 --> 1:28:51.000]  Masters is trying to get Trump to go along with and but he doesn't understand globalism either in terms of its details. And so he's not able. I mean, the biggest thing that someone needs to get to Trump and you know, you and I have tried for months to get
[1:28:51.000 --> 1:29:08.000]  to him without success, he needs to understand the false flag nature of terror. He needed to understand that the US deep state is funding terror is created ISIS and you're using Turkey and Saudi Arabia and Bahrain and Qatar, you know, to fund them.
[1:29:08.000 --> 1:29:15.000]  I just don't have any confidence yet that he's going to Saudi Arabia to undo that frankly.
[1:29:15.000 --> 1:29:18.000]  Because they'll tell him what he wants to hear and then turn around to the opposite.
[1:29:18.000 --> 1:29:19.000]  That's right.
[1:29:19.000 --> 1:29:29.000]  Well, just to be clear, I know some of our info has gotten through. But the problem is, if you talk to the president now, he knows he's being recorded. And it's like talking to a robot.
[1:29:29.000 --> 1:29:41.000]  It's it's just you look at this story about the leaking of so called class information about this laptop stuff, you know, this potential laptop top bomb. Well, this isn't a big story.
[1:29:41.000 --> 1:29:46.000]  I mean, anybody can concede to the fact there's a laptop capable of putting explosives in a laptop.
[1:29:46.000 --> 1:29:49.000]  Stay there. We've got a little break. Come back with that.
[1:30:16.000 --> 1:30:22.000]  DC police homicide detective hired by the family to run a parallel investigation into cess mysterious death.
[1:30:22.000 --> 1:30:29.000]  Wheeler told Fox five DC, I have a source inside the police department that has looked me straight in the eye and said, Rod, we were told to stand down on this case.
[1:30:29.000 --> 1:30:31.000]  And I can't share any information with you.
[1:30:31.000 --> 1:30:38.000]  Now that is highly unusual for a murder investigation, especially from a police department when asked if there's information that links Seth Rich to WikiLeaks.
[1:30:38.000 --> 1:30:41.000]  Wheeler replied, absolutely. Yeah, that's confirmed.
[1:30:41.000 --> 1:30:47.000]  Now, of course, the DC police are saying, Oh, no, there's no cover up. Neither they nor the FBI have been helping Wheeler out in this case.
[1:30:47.000 --> 1:30:54.000]  Alex Jones broke all this down in a video back in August of 2016 titled Does Assange have proof of Clinton murder?
[1:30:54.000 --> 1:30:58.000]  Hashtag Seth Rich is trending on Twitter. Let's see how long it takes him to bury it.
[1:30:58.000 --> 1:31:01.000]  Roger reporting for info wars dot com and info wars nightly news.
[1:31:01.000 --> 1:31:08.000]  It's not just our water we need to filter. It's not just our food that needs to be cleaned. It's the air we're breathing, especially for our children.
[1:31:08.000 --> 1:31:14.000]  The artificial particulates of the chemicals is absolutely weighing down our immune systems.
[1:31:14.000 --> 1:31:23.000]  The same team based right here in America that brought you the Alexa pure groundbreaking water filtration systems have now developed Alexa pure breeze.
[1:31:23.000 --> 1:31:31.000]  Whether it's your home or office, you owe it to yourself, your coworkers, your family, your children to the best job you can to purify your air.
[1:31:31.000 --> 1:31:39.000]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most toxic effects for themselves.
[1:31:39.000 --> 1:31:41.000]  The general public doesn't.
[1:31:41.000 --> 1:31:45.000]  The Alexa pure breeze will be a steal at $300, $400, $500.
[1:31:45.000 --> 1:31:49.000]  One of these systems can keep 800 square feet incredibly clean.
[1:31:49.000 --> 1:31:55.000]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[1:31:55.000 --> 1:31:58.000]  Find out why this system is so revolutionary today.
[1:31:58.000 --> 1:32:01.000]  M4WarsStore.com
[1:32:29.000 --> 1:32:37.000]  SuperMailVirtality and so many others with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[1:32:37.000 --> 1:32:42.000]  This formula is the platinum standard of multivitamin mineral products.
[1:32:42.000 --> 1:32:44.000]  And this part is most important.
[1:32:44.000 --> 1:32:51.000]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[1:32:51.000 --> 1:32:52.000]  That means it's clean.
[1:32:52.000 --> 1:32:54.000]  That means it's pure and rest secured.
[1:32:54.000 --> 1:32:56.000]  You're funding the tip of the spear in the info war.
[1:32:56.000 --> 1:32:59.000]  That's infowarslives.com and vitamin mineral fusion.
[1:32:59.000 --> 1:33:01.000]  Take action now before we sell out.
[1:33:01.000 --> 1:33:16.000]  Waging war on corruption, it's Alex Jones.
[1:33:22.000 --> 1:33:26.000]  I'm Alex Jones and I am the 1836th state.
[1:33:26.000 --> 1:33:34.000]  I've had folks that are well known patriots in the government that are battling the globalist who played a clip of one of them earlier.
[1:33:34.000 --> 1:33:38.000]  Think that I'm like part of some deep state, stay behind network for America.
[1:33:38.000 --> 1:33:40.000]  No, none of that happened.
[1:33:40.000 --> 1:33:43.000]  I'm literally organic and real just like you are.
[1:33:43.000 --> 1:33:47.000]  It's organic and real like your mama and your daddy having you that has the power.
[1:33:47.000 --> 1:33:49.000]  I'm all this fake government crap.
[1:33:49.000 --> 1:33:52.000]  I am so proud of the fact I'm not connected to any of that stuff.
[1:33:52.000 --> 1:33:58.000]  Somebody like our guess it's on is a very competent, honorable, great man.
[1:33:58.000 --> 1:34:04.000]  His family has born great fruits, but he'll tell you working on the system only taught him about the treasury and taught him what not to do.
[1:34:04.000 --> 1:34:08.000]  And even though he's run some of the biggest conservative caucuses and tried to save this country,
[1:34:08.000 --> 1:34:15.000]  he realizes that the nation is so evil that we probably really need to focus on ourselves, our communities.
[1:34:15.000 --> 1:34:18.000]  And we hope people like Trump could defeat them.
[1:34:18.000 --> 1:34:21.000]  But the truth is the corruption is just so deep.
[1:34:21.000 --> 1:34:26.000]  How do we keep the destruction of Trump if it's going to happen from bringing us into an even larger civil war?
[1:34:26.000 --> 1:34:28.000]  We'll talk about that in a few minutes with Joel Scowzen.
[1:34:28.000 --> 1:34:33.000]  I get so focused that even though right now we're not even bringing in the money we need week to week,
[1:34:33.000 --> 1:34:36.000]  the last few weeks even funder operation.
[1:34:36.000 --> 1:34:38.000]  I didn't plug one time last hour.
[1:34:38.000 --> 1:34:39.000]  I skip breaks.
[1:34:39.000 --> 1:34:43.000]  I do it all.
[1:34:43.000 --> 1:34:50.000]  And I just need to tell the listeners if you want to see us continue on and if you want to see us expand in the face of this as they come after us,
[1:34:50.000 --> 1:34:56.000]  we need you to go to m4store.com, whether it's water filtration or non-gm or heirloom seeds or the supplements.
[1:34:56.000 --> 1:34:59.000]  Or the Trump is my president shirts that are part of history.
[1:34:59.000 --> 1:35:01.000]  Those are at cost right now, 495.
[1:35:01.000 --> 1:35:03.000]  We need your financial support.
[1:35:03.000 --> 1:35:10.000]  Now I'm going to play a little three minute piece and go back to Joel Scowzen that I shot a few days ago with the new EmRick's Essentials.
[1:35:10.000 --> 1:35:15.000]  We did market analysis and they liked, you know, where it's somebody's name like Tom's of Maine.
[1:35:15.000 --> 1:35:20.000]  And that's who private labels our toothpaste and we add little silver and iodine to it, great product.
[1:35:20.000 --> 1:35:22.000]  That's our super blue toothpaste.
[1:35:22.000 --> 1:35:25.000]  But in this case, use the private label or sells in stores.
[1:35:25.000 --> 1:35:27.000]  So they don't want you to particularly say who they are.
[1:35:27.000 --> 1:35:28.000]  They just let you private label.
[1:35:28.000 --> 1:35:31.000]  But this patriot is the number three largest.
[1:35:31.000 --> 1:35:32.000]  But I might even say his name.
[1:35:32.000 --> 1:35:35.000]  I'm leaving it alone because I'd love us to go after whoever we're working with.
[1:35:35.000 --> 1:35:36.000]  But they'll be able to figure it out.
[1:35:36.000 --> 1:35:41.000]  A lot of you probably recognize the packaging if you're watching us on TV because he'd let us use his own packaging.
[1:35:41.000 --> 1:35:42.000]  We just changed the name.
[1:35:42.000 --> 1:35:43.000]  EmRick's Essentials.
[1:35:43.000 --> 1:35:56.000]  This is one of the leading organic lines of personal care from mouthwash to body wash to shampoo to SPF, natural, high quality, non-nano zinc.
[1:35:56.000 --> 1:35:57.000]  So it's not toxic.
[1:35:57.000 --> 1:35:58.000]  It's really good for you.
[1:35:58.000 --> 1:36:02.000]  And we've got high quality, non-metal deodorant.
[1:36:02.000 --> 1:36:07.000]  We've got great natural bug spray to keep the bugs off of you, BLA.
[1:36:07.000 --> 1:36:12.000]  And out of the gates, it's 20% less than they sell their products in stores because there's not a middleman.
[1:36:12.000 --> 1:36:13.000]  We probably label it.
[1:36:13.000 --> 1:36:15.000]  And then I'm doing 25% off.
[1:36:15.000 --> 1:36:17.000]  We usually do 10% off.
[1:36:17.000 --> 1:36:19.000]  But with EmRick's Essentials, I think you're going to like it so much.
[1:36:19.000 --> 1:36:25.000]  25% off on the cost when you sign up for auto-ship.
[1:36:25.000 --> 1:36:27.000]  You can cancel anytime.
[1:36:27.000 --> 1:36:28.000]  You could order it and cancel if you want.
[1:36:28.000 --> 1:36:33.000]  15 days, 30 days, 90 days, six months, right up to a year.
[1:36:33.000 --> 1:36:35.000]  You can sign up for auto-ship.
[1:36:35.000 --> 1:36:38.000]  And then that way you're supporting us each month or every 60 days.
[1:36:38.000 --> 1:36:39.000]  Don't have to think about it.
[1:36:39.000 --> 1:36:42.000]  Because I'm the type that uses my own toothpaste.
[1:36:42.000 --> 1:36:47.000]  And then when I run out in my office is 15 miles from home and a mile away is a drugstore.
[1:36:47.000 --> 1:36:50.000]  And I go in there and there's not fluoride-free or high-quality toothpaste.
[1:36:50.000 --> 1:36:52.000]  And I'm like, I'm not going to have stinky mouth.
[1:36:52.000 --> 1:36:53.000]  I'm going to just get some fluoride toothpaste.
[1:36:53.000 --> 1:36:54.000]  Because my dad's a dentist.
[1:36:54.000 --> 1:36:56.000]  And fluoride does help your teeth topically.
[1:36:56.000 --> 1:36:57.000]  It's just bad cumulatively.
[1:36:57.000 --> 1:37:01.000]  So every once in a while, I actually do a limited fluoride treatment because it really does work.
[1:37:01.000 --> 1:37:03.000]  It's just that a lot of brain damage usually causes problems.
[1:37:03.000 --> 1:37:07.000]  The point is, I'll end up using fluoride toothpaste because you can't even get non-fluoride toothpaste.
[1:37:07.000 --> 1:37:08.000]  Well, we've privately labeled that.
[1:37:08.000 --> 1:37:11.000]  Well, we now sustain folks that make toms of Maine.
[1:37:11.000 --> 1:37:14.000]  Well, this is another company, the third largest out there.
[1:37:14.000 --> 1:37:17.000]  And you'll recognize the bottles.
[1:37:17.000 --> 1:37:19.000]  It's now called EmRick's Essentials.
[1:37:19.000 --> 1:37:22.000]  So that's 45% off when you order the auto-ship.
[1:37:22.000 --> 1:37:24.000]  Because you're already getting 20% off retail.
[1:37:24.000 --> 1:37:26.000]  And you're getting additional 25% off.
[1:37:26.000 --> 1:37:27.000]  Here's a little promo piece.
[1:37:27.000 --> 1:37:29.000]  I shot to break all this down.
[1:37:29.000 --> 1:37:35.000]  But here's the deal.
[1:37:35.000 --> 1:37:39.000]  I don't want to talk about the stuff going on behind the scenes.
[1:37:39.000 --> 1:37:41.000]  But it's been, let's just say, substantive.
[1:37:41.000 --> 1:37:47.000]  And quite frankly, very positive in many ways.
[1:37:47.000 --> 1:37:48.000]  Because I know I'm doing a good job.
[1:37:48.000 --> 1:37:51.000]  It makes me a little bit guilty that I haven't been as strong as I wish.
[1:37:51.000 --> 1:37:52.000]  And I'm a very fleshly person.
[1:37:52.000 --> 1:37:54.000]  But God forgives me every day for it.
[1:37:54.000 --> 1:37:55.000]  And I try to be a good person.
[1:37:55.000 --> 1:37:59.000]  But other than the nightmares and stuff, my life's pretty good.
[1:37:59.000 --> 1:38:05.000]  So I'm asleep, the subconscious is weaker, and I have to think about the things they've done publicly and behind the scenes.
[1:38:05.000 --> 1:38:09.000]  And I'm not complaining.
[1:38:09.000 --> 1:38:10.000]  It's just, I don't want to lose.
[1:38:10.000 --> 1:38:12.000]  Because these people are so bad.
[1:38:12.000 --> 1:38:16.000]  And if you'll just pray for us, and if you'll just buy the products we produce,
[1:38:16.000 --> 1:38:17.000]  they're a great deal.
[1:38:17.000 --> 1:38:18.000]  They're high quality.
[1:38:18.000 --> 1:38:22.000]  And if you'll just continue to financially support us and our local affiliates,
[1:38:22.000 --> 1:38:23.000]  you won't lose.
[1:38:23.000 --> 1:38:26.000]  And I don't get tears in my eyes because I'm feeling sorry for myself.
[1:38:26.000 --> 1:38:35.000]  I get tears in my eyes because the American people knew the true satanic pedophile evil we're facing and just how demonic it is.
[1:38:35.000 --> 1:38:37.000]  And I brushed up against it more than once.
[1:38:37.000 --> 1:38:40.000]  It hurts my soul to get this close to this evil.
[1:38:40.000 --> 1:38:46.000]  And it makes me get incredibly angry with myself that I haven't been stronger in the face of this.
[1:38:46.000 --> 1:38:47.000]  And I make jokes about it.
[1:38:47.000 --> 1:38:48.000]  And I don't mean jokes.
[1:38:48.000 --> 1:38:50.000]  I mean, I have fun on air and stuff.
[1:38:50.000 --> 1:38:52.000]  And I just really, I need to be even more focused.
[1:38:52.000 --> 1:38:56.000]  And I need you to be more focused because this is the takeover we're facing.
[1:38:56.000 --> 1:38:58.000]  These people hate us because we're Christians.
[1:38:58.000 --> 1:38:59.000]  They hate God.
[1:38:59.000 --> 1:39:00.000]  They hate free will.
[1:39:00.000 --> 1:39:01.000]  And they hate our children.
[1:39:01.000 --> 1:39:02.000]  They hate innocence.
[1:39:02.000 --> 1:39:04.000]  They hate all God's gifts.
[1:39:04.000 --> 1:39:06.000]  And we're in a spiritual war.
[1:39:06.000 --> 1:39:10.000]  And if you'll just pray for us, more important than buying the products,
[1:39:10.000 --> 1:39:14.000]  and if you'll just spread the word, we will be able to continue on.
[1:39:14.000 --> 1:39:18.000]  And I didn't mean to start choking up here on air.
[1:39:18.000 --> 1:39:23.000]  It's just that you don't know how evil this is until you actually face it and actually start beating it.
[1:39:23.000 --> 1:39:27.000]  And then you get to take on the really big, nasty stuff that's out there.
[1:39:27.000 --> 1:39:33.000]  And it makes you realize that there are a lot of innocence out there that never had a chance to know what hit them.
[1:39:33.000 --> 1:39:42.000]  And it's up to us that are strong men to really pray that God give us the strength and others the strength to bring down this enemy.
[1:39:42.000 --> 1:39:43.000]  We only do it through Christ.
[1:39:43.000 --> 1:39:47.000]  And that's why the enemy, that's why Trump has pants talking about Christians being persecuted
[1:39:47.000 --> 1:39:50.000]  and how Christianity and saying the name of Jesus, they hate that.
[1:39:50.000 --> 1:39:52.000]  And so that's why the enemy is so upset.
[1:39:52.000 --> 1:39:53.000]  This is a real battle.
[1:39:53.000 --> 1:39:55.000]  I'm going to play this piece and then give scowls on the floor.
[1:39:55.000 --> 1:39:59.000]  I know I'm ranting here, but because we're not plugging a lot here on air because I'm so focused,
[1:39:59.000 --> 1:40:01.000]  I need your financial support.
[1:40:01.000 --> 1:40:06.000]  And these are great things, the best non-GMO heirloom seats, the best water filtration systems,
[1:40:06.000 --> 1:40:08.000]  the best durable foods for low prices.
[1:40:08.000 --> 1:40:10.000]  You get better stuff at higher prices, obviously, but this is good quality.
[1:40:10.000 --> 1:40:12.000]  I mean, this Emirates essentials is excellent.
[1:40:12.000 --> 1:40:18.000]  And it's a godsend that took us years to finally have a personal care line and we waited and waited to have the best
[1:40:18.000 --> 1:40:20.000]  and finally got one of the very best.
[1:40:20.000 --> 1:40:21.000]  The crews used it, they love it.
[1:40:21.000 --> 1:40:22.000]  So here's my little three minute piece.
[1:40:22.000 --> 1:40:24.000]  We'll go to Joel Scousen.
[1:40:24.000 --> 1:40:27.000]  Imagine the world without InfoWars.
[1:40:30.000 --> 1:40:32.000]  The globalists have already consolidated their power.
[1:40:32.000 --> 1:40:37.000]  They don't want people to have their own economies, their own choices.
[1:40:37.000 --> 1:40:42.000]  When you spread the links to infowars.com news stories and our videos,
[1:40:42.000 --> 1:40:46.000]  when you tell friends, family and neighbors about our free iPhone and Droid apps
[1:40:46.000 --> 1:40:51.000]  or send them a link to our daily podcast, you were involved in a revolutionary act against tyranny.
[1:40:51.000 --> 1:40:57.000]  It was George Arwell that said, in a world of universal deceit, telling the truth is a revolutionary act.
[1:40:57.000 --> 1:41:03.000]  That's why I spend a lot of time trying to not just innovate news and analysis
[1:41:03.000 --> 1:41:08.000]  and our fight against the globalist, but also thinking about how we're able to fund our operation.
[1:41:08.000 --> 1:41:12.000]  That's so critical to prosecute an information war.
[1:41:12.000 --> 1:41:21.000]  And I've spent seven years off and on trying to get a big national brand that's already trusted
[1:41:21.000 --> 1:41:27.000]  to let us private label an entire line of personal care products that's organic and high quality.
[1:41:27.000 --> 1:41:33.000]  Well, ladies and gentlemen, we have private labeled it and it is the exact same product.
[1:41:33.000 --> 1:41:36.000]  Just the name is different, EmRick's Essentials.
[1:41:36.000 --> 1:41:44.000]  And it's on average 20% off what it would be in stores buying it directly from infowars.com.
[1:41:44.000 --> 1:41:53.000]  On top of that, if you sign up for auto-ship, you get an additional, out of the gates, 25% off on this product.
