[00:00.000 --> 00:02.000]  Wait and feel great!
[38:12.700 --> 38:15.700]  So that's what they want to come out of the very, very end,
[38:15.700 --> 38:19.700]  a placid, compliant, genetically enhanced, more productive species,
[38:19.700 --> 38:22.700]  but a far reduced, more efficient population.
[38:22.700 --> 38:27.700]  And when you tie that in with the Department of Defense's think tank study
[38:27.700 --> 38:30.700]  for NATO, which was echoed by the U.S. military's one,
[38:30.700 --> 38:34.700]  as far as they're identical, they see nothing but riots starting
[38:34.700 --> 38:40.700]  around 2010 to 2012 to do with food and various other things, necessities, really,
[38:40.700 --> 38:42.700]  and escalating for 30 years.
[38:42.700 --> 38:47.700]  Now, that ties in with the timelines that the United Nations has talked about
[38:47.700 --> 38:51.700]  for their new global society with the reduced population.
[38:51.700 --> 38:53.700]  They say in their own documents now
[38:53.700 --> 38:59.700]  that we have vastly reduced population by the year 2030-2035.
[38:59.700 --> 39:05.700]  So we're looking at a long-term business plan that's going to reduce population.
[39:05.700 --> 39:08.700]  During that time, they will be putting big money
[39:08.700 --> 39:13.700]  into genetic enhancing of specific people to serve them better new strains.
[39:13.700 --> 39:18.700]  And at the end, as the old man dies off, they'll bring in the new type.
[39:18.700 --> 39:21.700]  In fact, the old man will be unable to even procreate and reproduce.
[39:21.700 --> 39:23.700]  So they'll bring in the new type.
[39:23.700 --> 39:26.700]  And this will be the reason for bringing in the new type.
[39:26.700 --> 39:28.700]  Well, we've all gone sterile. We have to do it.
[39:28.700 --> 39:31.700]  And no one will complain. No one will object.
[39:31.700 --> 39:35.700]  They'll think it's just a necessity and a strange thing in nature.
[39:35.700 --> 39:38.700]  That's how, see, most people don't think on a conscious level.
[39:38.700 --> 39:42.700]  They're in a state of almost perpetual hypnosis.
[39:42.700 --> 39:47.700]  And this has been done by scientific indoctrination from birth,
[39:47.700 --> 39:51.700]  plus the masses of entertainment they take.
[39:51.700 --> 39:53.700]  And they cannot tell fact from fiction.
[39:53.700 --> 39:55.700]  They have no reasoning abilities.
[39:55.700 --> 39:57.700]  And they do expect, like Brzezinski says,
[39:57.700 --> 40:00.700]  they expect the media to do the reasoning for them.
[40:00.700 --> 40:03.700]  And unfortunately, for most folk, that has happened.
[40:03.700 --> 40:06.700]  And that's why we see all the pre-programming.
[40:06.700 --> 40:11.700]  I mean, the Pentagon back in 2000, as you know, said,
[40:11.700 --> 40:14.700]  we'll use Hollywood. We'll use movies. We'll use security.
[40:14.700 --> 40:17.700]  We'll use the call for Alzheimer's patients.
[40:17.700 --> 40:21.700]  We will use the FAD-driven PR peer pressure system,
[40:21.700 --> 40:27.700]  public relations system, to sell the public on taking microchips.
[40:27.700 --> 40:30.700]  And they talk in all these government white papers and documents.
[40:30.700 --> 40:32.700]  I covered one on Sunday.
[40:32.700 --> 40:33.700]  I think I'm going to play that clip later.
[40:33.700 --> 40:36.700]  Dr. Kaufman talking about it from the document about how
[40:36.700 --> 40:38.700]  most people don't even have their own thoughts.
[40:38.700 --> 40:41.700]  How we're pathetic slaves.
[40:41.700 --> 40:44.700]  I mean, they're really doing this to you.
[40:44.700 --> 40:48.700]  And I just feel so sorry for the yuppies and people who are so arrogant
[40:48.700 --> 40:50.700]  and so into themselves being powerful.
[40:50.700 --> 40:52.700]  They've been trained to laugh at us.
[40:52.700 --> 40:55.700]  And then they wonder why their son, you know, is sterile,
[40:55.700 --> 40:59.700]  or why they are sterile, or why they're so unhappy,
[40:59.700 --> 41:02.700]  or why their wife has breast cancer at 40.
[41:02.700 --> 41:03.700]  And it's all engineered.
[41:03.700 --> 41:07.700]  And they just sit there dying, still loving the lie.
[41:07.700 --> 41:11.700]  And they do, they do, they truly, the trick was,
[41:11.700 --> 41:14.700]  and it's been written about too, is to make a generation believe
[41:14.700 --> 41:17.700]  that they were on the cutting edge,
[41:17.700 --> 41:20.700]  that no other society's ever had foreign history,
[41:20.700 --> 41:23.700]  and that all information is out there, and it's all true.
[41:23.700 --> 41:26.700]  And therefore, in other words, there's nothing you can tell them.
[41:26.700 --> 41:29.700]  They truly believe everything that they've been told.
[41:29.700 --> 41:33.700]  An arrogance, a haughtiness, a self-false satisfaction
[41:33.700 --> 41:35.700]  is that they're members of the elite.
[41:35.700 --> 41:37.700]  And here's a microcosm.
[41:37.700 --> 41:39.700]  There have been tens of thousands of urban warfare drills
[41:39.700 --> 41:41.700]  the last 25 years.
[41:41.700 --> 41:43.700]  I mean, they have thousands a year.
[41:43.700 --> 41:45.700]  So, I mean, it's got to be tens of thousands,
[41:45.700 --> 41:47.700]  more than tens of thousands, probably hundreds of thousands.
[41:47.700 --> 41:50.700]  And they always tell the town or city,
[41:50.700 --> 41:53.700]  even though they may have been there 15 times over the years,
[41:53.700 --> 41:55.700]  you are the first city to have this drill.
[41:55.700 --> 41:56.700]  You are special.
[41:56.700 --> 41:59.700]  You are the first city to have us tax you to drive your car
[41:59.700 --> 42:00.700]  with transponders.
[42:00.700 --> 42:01.700]  You are the first.
[42:01.700 --> 42:03.700]  And I always see that and go,
[42:03.700 --> 42:05.700]  I'm not the first, but again, it's part of that.
[42:05.700 --> 42:07.700]  Oh, my God, I'm part of the first.
[42:07.700 --> 42:08.700]  I'm cutting edge.
[42:08.700 --> 42:09.700]  I'm a trailblazer.
[42:09.700 --> 42:10.700]  Go ahead, please.
[42:10.700 --> 42:11.700]  Exactly.
[42:11.700 --> 42:13.700]  That is how it's done.
[42:13.700 --> 42:15.700]  And they truly believe that the most advanced species
[42:15.700 --> 42:17.700]  has ever existed.
[42:17.700 --> 42:21.700]  That's exactly what Bertrand Russell and others said in the 50s.
[42:21.700 --> 42:24.700]  They said, we shall create an egocentonic society,
[42:24.700 --> 42:27.700]  a hedonistic society where they'll live for themselves
[42:27.700 --> 42:29.700]  and think they know it all,
[42:29.700 --> 42:32.700]  and they will be with the willing fools for our strategy.
[42:32.700 --> 42:33.700]  That's happened.
[42:33.700 --> 42:34.700]  That's happened.
[42:34.700 --> 42:36.700]  And you can take them to the documents,
[42:36.700 --> 42:38.700]  the published works, government policy,
[42:38.700 --> 42:41.700]  and they will just laugh at you.
[42:41.700 --> 42:44.700]  They'll get this pre-programmed little smile and go,
[42:44.700 --> 42:47.700]  hey, here, man, I tell you.
[42:47.700 --> 42:50.700]  And now they're openly announcing world government, Alan.
[42:50.700 --> 42:52.700]  They're now openly announcing the banks are going to run it all,
[42:52.700 --> 42:55.700]  carbon taxes, and still people email me
[42:55.700 --> 42:59.700]  and post on infowars.com and prisonbonnet.com in the comments.
[42:59.700 --> 43:02.700]  They say, oh, they're announcing world government,
[43:02.700 --> 43:04.700]  but that's different than the one you're talking about.
[43:04.700 --> 43:06.700]  Governance isn't government.
[43:06.700 --> 43:10.700]  It says Lord Rothschild called last week for governance.
[43:10.700 --> 43:12.700]  Well, governance is, in the definitions,
[43:12.700 --> 43:14.700]  government, the system of government,
[43:14.700 --> 43:16.700]  so global system of government.
[43:16.700 --> 43:20.700]  And then they say, OK, they're calling.
[43:20.700 --> 43:22.700]  They truly believe this.
[43:22.700 --> 43:24.700]  I've had them tell me that, too.
[43:24.700 --> 43:26.700]  And I stated on that, well, don't forget,
[43:26.700 --> 43:28.700]  they're going to be central computers to program that chip,
[43:28.700 --> 43:30.700]  which means you're not going to be in control
[43:30.700 --> 43:32.700]  of your own mind anymore.
[43:32.700 --> 43:34.700]  And they're just laughing.
[43:34.700 --> 43:37.700]  Yeah?
[43:37.700 --> 43:38.700]  Yeah.
[43:38.700 --> 43:40.700]  So they're a lost cause.
[43:40.700 --> 43:42.700]  And I realized this is a war,
[43:42.700 --> 43:45.700]  and the vast amount of people are the casualties.
[43:45.700 --> 43:47.700]  That's just the plain fact.
[43:47.700 --> 43:52.700]  But in a war, you've got to see the war that's still going on
[43:52.700 --> 43:54.700]  and accept those who have fallen, have fallen,
[43:54.700 --> 43:57.700]  and you go for those who are still standing.
[43:57.700 --> 44:01.700]  That's the ones who try to help.
[44:01.700 --> 44:03.700]  Well, the good news is there are more people than ever
[44:03.700 --> 44:06.700]  that do want to hear, that do want to know.
[44:06.700 --> 44:09.700]  And it's so three-dimensional and even four-dimensional
[44:09.700 --> 44:11.700]  how it's all interlocked.
[44:11.700 --> 44:14.700]  And after decades of study, you can get a map of it
[44:14.700 --> 44:15.700]  in your own mind.
[44:15.700 --> 44:16.700]  You can articulate it.
[44:16.700 --> 44:21.700]  But still, it's so hard to articulate the subtleties to people.
[44:21.700 --> 44:23.700]  The globalists in their own documents articulate it
[44:23.700 --> 44:25.700]  and try to articulate it.
[44:25.700 --> 44:28.700]  And because the public can't see it as one-dimensional
[44:28.700 --> 44:31.700]  or two-dimensional, they'll just throw it out of hand saying,
[44:31.700 --> 44:33.700]  that's too complicated for anyone to run
[44:33.700 --> 44:37.700]  when it is being run and they say they're running it.
[44:37.700 --> 44:40.700]  They say, and that's the key to the term they're using
[44:40.700 --> 44:41.700]  of governance.
[44:41.700 --> 44:44.700]  You see, the new system that's already here,
[44:44.700 --> 44:46.700]  it's been here for a long time,
[44:46.700 --> 44:49.700]  is a system that, to the public,
[44:49.700 --> 44:51.700]  appears to be something called democracy.
[44:51.700 --> 44:55.700]  In reality, you have a power or government run by foundations
[44:55.700 --> 45:00.700]  which, in turn, are a front for the ancient establishment,
[45:00.700 --> 45:02.700]  the very wealthy rich establishment.
[45:02.700 --> 45:05.700]  They fund the non-governmental organizations that appear
[45:05.700 --> 45:08.700]  to speak on behalf of the public,
[45:08.700 --> 45:10.700]  and in reality, they're speaking on behalf
[45:10.700 --> 45:12.700]  of the very foundations that fund them.
[45:12.700 --> 45:15.700]  That's the new type of governance they're talking about.
[45:15.700 --> 45:17.700]  It is the Soviet system.
[45:17.700 --> 45:21.700]  The Soviet means ruled by councils,
[45:21.700 --> 45:25.700]  and in the Soviet Union, they had NGO groups
[45:25.700 --> 45:28.700]  with their leaders appointed from the Politburo.
[45:28.700 --> 45:30.700]  We have the exact same system here
[45:30.700 --> 45:32.700]  as they merged the two systems together.
[45:32.700 --> 45:36.700]  That came out from the Ford Foundation
[45:36.700 --> 45:38.700]  during the Rease Commission,
[45:38.700 --> 45:40.700]  and with Norman Dodds, the senator,
[45:40.700 --> 45:43.700]  they said that they were blending the Soviet system
[45:43.700 --> 45:45.700]  seamlessly with that of the West.
[45:45.700 --> 45:50.700]  The Club of Rome said they favored the collective system
[45:50.700 --> 45:52.700]  more than any other system
[45:52.700 --> 45:54.700]  because it's easier to control the people.
[45:54.700 --> 45:57.700]  It is here, and they're using the Soviet-style system
[45:57.700 --> 45:59.700]  with the NGOs, and governance literally means
[45:59.700 --> 46:03.700]  that those groups with the power and the voice
[46:03.700 --> 46:06.700]  who get the voice, and the media is too happy to listen to them,
[46:06.700 --> 46:08.700]  they are the new type of government.
[46:08.700 --> 46:11.700]  This is the new Soviet that has been brought in.
[46:11.700 --> 46:13.700]  If you don't belong to a big group,
[46:13.700 --> 46:15.700]  you have no voice whatsoever,
[46:15.700 --> 46:18.700]  and they call them stakeholders.
[46:18.700 --> 46:20.700]  The individual has no voice,
[46:20.700 --> 46:23.700]  but all these subgroups who then have heads
[46:23.700 --> 46:25.700]  who are globalists, who speak for them
[46:25.700 --> 46:27.700]  and really control them,
[46:27.700 --> 46:29.700]  they are stakeholders,
[46:29.700 --> 46:31.700]  and we see all this nomenclature
[46:31.700 --> 46:34.700]  now coming in and replacing everything.
[46:36.700 --> 46:38.700]  Alan, I want to go to calls here,
[46:38.700 --> 46:40.700]  but just in closing before we do that,
[46:40.700 --> 46:44.700]  the plan, the official UN documents, as you know,
[46:44.700 --> 46:48.700]  and government documents say they want to reduce this by 80%.
[46:48.700 --> 46:50.700]  And everything we've seen up till now
[46:50.700 --> 46:52.700]  is just testing the soft kill weapons,
[46:52.700 --> 46:54.700]  testing how to sell the public,
[46:54.700 --> 46:56.700]  how to not have the public notice
[46:56.700 --> 46:58.700]  that people are dying all around them,
[46:58.700 --> 47:01.700]  how to try to cook the numbers and spend things.
[47:01.700 --> 47:03.700]  But we know there's been hot kill going on in Iraq,
[47:03.700 --> 47:05.700]  hot kill in Serbia, Afghanistan,
[47:05.700 --> 47:07.700]  Africa, Latin America,
[47:07.700 --> 47:10.700]  where large portions of populations are being killed,
[47:10.700 --> 47:12.700]  10%, 20%, 30%, 40% in some cases.
[47:12.700 --> 47:16.700]  The hot killing, the fast killing in the West,
[47:16.700 --> 47:20.700]  when are they going to start launching those?
[47:20.700 --> 47:23.700]  I think fairly shortly they have big plans
[47:23.700 --> 47:26.700]  to standardize the world quickly.
[47:26.700 --> 47:28.700]  What they're doing, and that's exactly what they're doing,
[47:28.700 --> 47:31.700]  they're eradicating all older cultures
[47:31.700 --> 47:34.700]  that haven't gone along and accepted this
[47:34.700 --> 47:37.700]  very vague term of democracy.
[47:37.700 --> 47:40.700]  They haven't accepted World Bank running their system.
[47:40.700 --> 47:42.700]  They haven't accepted the, basically,
[47:42.700 --> 47:45.700]  the British-style parliamentary system,
[47:45.700 --> 47:49.700]  because this whole world system was born in London, England.
[47:49.700 --> 47:51.700]  It's from the 1500s.
[47:51.700 --> 47:54.700]  John Dee wrote about the creation of a world empire
[47:54.700 --> 47:56.700]  based on the British system.
[47:56.700 --> 48:00.700]  And it's now come out that the Crown, MI5 and MI6
[48:00.700 --> 48:02.700]  run the whole parliament, spy on it.
[48:02.700 --> 48:05.700]  They kill any member or set them up against that line.
[48:05.700 --> 48:08.700]  It is totally ceremonial, just like the Congress.
[48:08.700 --> 48:11.700]  Yes, and after World War II,
[48:11.700 --> 48:14.700]  there were big talks with the United Nations
[48:14.700 --> 48:17.700]  that once they set it up that those colonial countries
[48:17.700 --> 48:19.700]  would not be pulled out of by Britain
[48:19.700 --> 48:22.700]  until they had set up in those countries
[48:22.700 --> 48:25.700]  a mini British-type system of government,
[48:25.700 --> 48:28.700]  and then they could pull out and withdraw.
[48:28.700 --> 48:31.700]  And they wrote hundreds of books from Quigley's to others
[48:31.700 --> 48:34.700]  bragging about the system, but you go to Wikipedia,
[48:34.700 --> 48:36.700]  or to the mainline encyclopedia Britannica,
[48:36.700 --> 48:38.700]  and they say the neural border doesn't exist.
[48:38.700 --> 48:41.700]  Doesn't matter if it's taught at Princeton and Harvard and Oxford,
[48:41.700 --> 48:44.700]  and they admit the system of world governance
[48:44.700 --> 48:46.700]  through the shadow roundtables,
[48:46.700 --> 48:49.700]  they will just still laugh at us and say it doesn't exist.
[48:49.700 --> 48:52.700]  That's right, even though the historian
[48:52.700 --> 48:54.700]  for the Council on Foreign Relations,
[48:54.700 --> 48:56.700]  which is part of the parallel government,
[48:56.700 --> 49:00.700]  Carl Quigley himself, wrote this big book on it,
[49:00.700 --> 49:03.700]  Angle American Establishment and Tragedy and Hope,
[49:03.700 --> 49:06.700]  and he outlines them near their whole agenda.
[49:06.700 --> 49:08.700]  It was quite fascinating.
[49:08.700 --> 49:11.700]  Yeah, that's a great book. I read that back when I was about 15,
[49:11.700 --> 49:14.700]  and I had no idea what I was reading was the keys to how it all worked,
[49:14.700 --> 49:16.700]  and this is the government commissioning.
[49:16.700 --> 49:18.700]  The people in government really have to know how it works.
[49:18.700 --> 49:20.700]  These are the slaves. We're poisoning them.
[49:20.700 --> 49:23.700]  We're going to hear rid of them. Okay, and if you work with us,
[49:23.700 --> 49:26.700]  you'll be allowed to procreate, and we won't kill you. How's that sound?
[49:26.700 --> 49:29.700]  Another odd thing, too, was back in the 90s.
[49:29.700 --> 49:32.700]  I don't know if it's the same in the US,
[49:32.700 --> 49:35.700]  but politicians in Canada and the British Commonwealth countries
[49:35.700 --> 49:40.700]  made a law to treat the politicians and their families
[49:40.700 --> 49:43.700]  in special military hospitals,
[49:43.700 --> 49:46.700]  and I thought at the time, what's all this about?
[49:46.700 --> 49:49.700]  Aren't the hospitals that we have good enough for them?
[49:49.700 --> 49:51.700]  And I realized, too, what it is,
[49:51.700 --> 49:54.700]  is all these coming plagues that are scheduled to come out,
[49:54.700 --> 49:57.700]  they do have treatments for them.
[49:57.700 --> 49:59.700]  They do have the real antidotes to them,
[49:59.700 --> 50:02.700]  and I think they've been giving the politicians and the families
[50:02.700 --> 50:05.700]  these particular antidotes, and so in other words...
[50:05.700 --> 50:07.700]  Well, that's actually already come out.
[50:07.700 --> 50:10.700]  They get all the cancer cures, they get it all,
[50:10.700 --> 50:13.700]  and this is so diabolical.
[50:13.700 --> 50:16.700]  And that's why they go along with these politicians,
[50:16.700 --> 50:18.700]  and they will keep their mouth shut, they will play the game,
[50:18.700 --> 50:20.700]  because they're getting all these benefits,
[50:20.700 --> 50:25.700]  and a fairly good guarantee they will live.
[50:25.700 --> 50:29.700]  Ultra vicious, ultra wicked, ultra selfish,
[50:29.700 --> 50:32.700]  and a lot of you listening will continue to laugh,
[50:32.700 --> 50:36.700]  but God forbid, as you're burying your children and your wife,
[50:36.700 --> 50:40.700]  your husband, from what your masters are going to do to you,
[50:40.700 --> 50:42.700]  maybe then you'll fight back.
[50:42.700 --> 50:45.700]  Then you'll be facing the drone aircraft and the Swords
[50:45.700 --> 50:48.700]  and the brainwashed chip troops,
[50:48.700 --> 50:51.700]  but we can still get into their deep underground bases,
[50:51.700 --> 50:54.700]  even after this happens and probably beat them.
[50:54.700 --> 50:56.700]  But we'll see.
[50:58.700 --> 51:01.700]  Now that the election is over and the shock is beginning to wear off,
[51:01.700 --> 51:04.700]  Ready Reserve Foods, in an effort to get as many Americans
[51:04.700 --> 51:07.700]  prepared for the promised changes of the new administration,
[51:07.700 --> 51:10.700]  and to help you and your families survive the global economic crash,
[51:10.700 --> 51:13.700]  Ready Reserve is offering the pre-inauguration special.
[51:13.700 --> 51:16.700]  Between now and January 20th, 2009,
[51:16.700 --> 51:20.700]  all food units you won through U7 are being offered at wholesale prices.
[51:20.700 --> 51:26.700]  That's a 33% savings, a year supply of meals starts as low as 73 cents per meal.
[51:26.700 --> 51:30.700]  Ready Reserve Food offers only the highest quality to hydrated food,
[51:30.700 --> 51:33.700]  packed in doubly-nammeled cans in an inert nitrogen atmosphere,
[51:33.700 --> 51:36.700]  allowing a 15-plus-year shelf life.
[51:36.700 --> 51:39.700]  Ready Reserve has been manufacturing since 1972,
[51:39.700 --> 51:42.700]  giving them the freedom to offer you amazing savings.
[51:42.700 --> 51:45.700]  Great tasting Ready Reserve Foods at wholesale prices.
[51:45.700 --> 51:49.700]  Order now at ReadyReserveFoods.com, or call today.
[51:49.700 --> 51:52.700]  1-800-453-2202.
[51:52.700 --> 51:56.700]  That's 1-800-453-2202.
[51:57.700 --> 52:00.700]  Today, unlike any other in the long course of American history,
[52:00.700 --> 52:04.700]  a terrorist act of war against this country.
[52:04.700 --> 52:06.700]  The enemies struck America on September 11th.
[52:06.700 --> 52:08.700]  But who is the enemy?
[52:08.700 --> 52:09.700]  Bin Laden.
[52:09.700 --> 52:10.700]  This is his MO.
[52:10.700 --> 52:11.700]  We have to look to the Middle East.
[52:11.700 --> 52:13.700]  We have to look to Osama Bin Laden.
[52:13.700 --> 52:16.700]  Fabled Enemies is the first 9-11 film to take a close look
[52:16.700 --> 52:20.700]  at the terrorist ties to intelligence networks inside the United States.
[52:20.700 --> 52:23.700]  Some U.S. investigators believe that there are Israelis again
[52:23.700 --> 52:27.700]  very much engaged in spying in and on the U.S.
[52:27.700 --> 52:31.700]  I'm aware that some Israeli citizens have been detained.
[52:31.700 --> 52:33.700]  Bin Laden's connections to the CIA,
[52:33.700 --> 52:35.700]  the hijackers' ties to the FBI,
[52:35.700 --> 52:36.700]  the Saudi Arabian connection,
[52:36.700 --> 52:38.700]  the Israeli intelligence network,
[52:38.700 --> 52:39.700]  warnings in war games,
[52:39.700 --> 52:40.700]  the shadow government,
[52:40.700 --> 52:41.700]  and much, much more.
[52:41.700 --> 52:42.700]  Fabled Enemies.
[52:42.700 --> 52:45.700]  Get the DVD at infowars.com,
[52:45.700 --> 52:47.700]  or see it in super high quality,
[52:47.700 --> 52:50.700]  along with hundreds of other titles at prisonplanet.tv.
[52:50.700 --> 52:52.700]  Either you are with us,
[52:52.700 --> 52:57.700]  or you are with the terrorists.
[52:57.700 --> 53:00.700]  Imagine feeling totally helpless.
[53:00.700 --> 53:02.700]  Imagine thinking and hearing clearly,
[53:02.700 --> 53:06.700]  but unable to move as the ground rises to meet you.
[53:06.700 --> 53:10.700]  Imagine the pain of a thousand needles as your body is invaded,
[53:10.700 --> 53:15.700]  locked, and hammered by 50,000 volts of the latest in Taser technology.
[53:15.700 --> 53:17.700]  If this sounds scary,
[53:17.700 --> 53:21.700]  imagine how it would feel for anyone attempting to victimize a friend,
[53:21.700 --> 53:23.700]  loved one, or even yourself.
[53:23.700 --> 53:26.700]  Fortrestactical.com offers you the same technology
[53:26.700 --> 53:29.700]  trusted by police departments from around the world,
[53:29.700 --> 53:32.700]  specializing in less lethal defense.
[53:32.700 --> 53:36.700]  Fortrestactical carries only the best in U.S. built protection equipment,
[53:36.700 --> 53:38.700]  like the new Taser C2,
[53:38.700 --> 53:41.700]  which includes a holster, two extra cartridges,
[53:41.700 --> 53:43.700]  and free shipping all for one low price.
[53:43.700 --> 53:45.700]  Visit Fortrestactical.com.
[53:45.700 --> 53:48.700]  That's Fortrestactical.com,
[53:48.700 --> 53:50.700]  with Christmas just around the corner.
[53:50.700 --> 53:52.700]  Give the gift of protection this year
[53:52.700 --> 53:54.700]  by visiting Fortrestactical.com.
[53:54.700 --> 53:56.700]  Prohibit in certain states and counties.
[53:56.700 --> 54:09.700]  See website for details.
[54:09.700 --> 54:13.700]  You can run on for a long time.
[54:13.700 --> 54:15.700]  We're going to Don in Costa Rica.
[54:15.700 --> 54:20.700]  Jimmy, Dustin, Donna, Ringo, Dustin, Jeremy, and others.
[54:20.700 --> 54:21.700]  I've done a lot of hit pieces.
[54:21.700 --> 54:25.700]  I've gone on a lot of national TV shows where they tape you for days
[54:25.700 --> 54:28.700]  or hours and then cut up what you said.
[54:28.700 --> 54:30.700]  They never let you put out your real evidence
[54:30.700 --> 54:35.700]  of 9-11-minute inside job or the New World Order.
[54:35.700 --> 54:38.700]  The key is the mainstream media has lost all their credibility.
[54:38.700 --> 54:41.700]  They've been caught putting out their disinfo forever.
[54:41.700 --> 54:45.700]  I said I'd do this first history channel thing and others,
[54:45.700 --> 54:47.700]  and I did them.
[54:47.700 --> 54:52.700]  It's a stacked deck, but this newest one, Alan,
[54:52.700 --> 54:57.700]  was a guy that specializes in hit pieces on JFK researchers
[54:57.700 --> 55:02.700]  and others and really puts out ridiculous pieces
[55:02.700 --> 55:05.700]  where it's not even based on reality.
[55:05.700 --> 55:08.700]  The very foundations of it aren't.
[55:08.700 --> 55:12.700]  He's doing a big piece for National Geographic.
[55:12.700 --> 55:14.700]  I said I don't think I'm going to do that interview.
[55:14.700 --> 55:15.700]  No, I'm not going to be interviewed by it.
[55:15.700 --> 55:18.700]  They just can't believe that I don't care about going
[55:18.700 --> 55:21.700]  on their national TV show so that I can have them
[55:21.700 --> 55:27.700]  stack the deck and do that.
[55:27.700 --> 55:33.700]  I mean, again, the culture is so sick wanting to be on TV.
[55:33.700 --> 55:34.700]  Alan?
[55:34.700 --> 55:35.700]  It's true.
[55:35.700 --> 55:39.700]  It's interesting as well to recognize that Professor Cowell
[55:39.700 --> 55:42.700]  quickly himself mentioned that that was a technique
[55:42.700 --> 55:45.700]  that he used in mainstream media because they often called
[55:45.700 --> 55:48.700]  on him to bring on with a guest who was coming out
[55:48.700 --> 55:52.700]  with a theory of the world being manipulated and it bring him
[55:52.700 --> 55:55.700]  on to try and repudiate the guest.
[55:55.700 --> 55:57.700]  So that was part of his function and he admits that
[55:57.700 --> 56:00.700]  in his own book that they try and stack the deck
[56:00.700 --> 56:02.700]  and make the person look ridiculous.
[56:02.700 --> 56:05.700]  Yeah, to go on TV, here he is, government historian
[56:05.700 --> 56:07.700]  who's writing a book for the government,
[56:07.700 --> 56:10.700]  laughing at how he would go a lot of the American people
[56:10.700 --> 56:11.700]  and say this didn't exist.
[56:11.700 --> 56:13.700]  I mean, how do they get these guys to do this
[56:13.700 --> 56:15.700]  against their fellow man?
[56:15.700 --> 56:19.700]  Now, many people out there are so easily bribed,
[56:19.700 --> 56:24.700]  ego status, self-benefit.
[56:24.700 --> 56:26.700]  I've been asked by the leaders themselves,
[56:26.700 --> 56:28.700]  you know, why don't you simply join us?
[56:28.700 --> 56:31.700]  You know, you have the skills to tell me IQ and so on.
[56:31.700 --> 56:34.700]  And they cannot understand that you have something
[56:34.700 --> 56:36.700]  which we call integrity.
[56:36.700 --> 56:38.700]  They can't understand that at all.
[56:38.700 --> 56:41.700]  It's a foreign, they actually go into a stunned look
[56:41.700 --> 56:42.700]  when you say it.
[56:42.700 --> 56:46.700]  Well, I mean, they killed 3,000, 3 million Iraqis
[56:46.700 --> 56:48.700]  in the last 18 years.
[56:48.700 --> 56:49.700]  I mean, I don't want to be part of that.
[56:49.700 --> 56:51.700]  I mean, killing little kids.
[56:51.700 --> 56:53.700]  Yes, and to them, that's nothing.
[56:53.700 --> 56:54.700]  That's nothing at all.
[56:54.700 --> 56:55.700]  They sleep well.
[56:55.700 --> 56:56.700]  They plan this kind of thing.
[56:56.700 --> 56:58.700]  They don't need sleeping pills.
[56:58.700 --> 57:02.700]  They are psychopathic types and we really cannot relate to them.
[57:02.700 --> 57:05.700]  They're so far removed as a species in psychopathy
[57:05.700 --> 57:10.700]  and so inbred that it's guaranteed to pass on to their offspring.
[57:10.700 --> 57:13.700]  All right, let's talk about that term later.
[57:13.700 --> 57:16.700]  But right now, let's go to Don in Costa Rica
[57:16.700 --> 57:17.700]  and then we'll hold him over.
[57:17.700 --> 57:23.700]  Don, thanks for holding her on the air without water.
[57:23.700 --> 57:27.700]  Phone in Costa Rica, a first-time caller, former Californian.
[57:27.700 --> 57:28.700]  Can you hear me okay?
[57:28.700 --> 57:29.700]  Yes, sir.
[57:29.700 --> 57:30.700]  Okay.
[57:30.700 --> 57:33.700]  I just wanted to talk a little bit about global warming
[57:33.700 --> 57:39.700]  and supposedly it's caused CO2,
[57:39.700 --> 57:43.700]  which a lot of people call greenhouse gas,
[57:43.700 --> 57:46.700]  but if you want to find some information on it,
[57:46.700 --> 57:52.700]  you could better find it by looking up industrial gases on the internet
[57:52.700 --> 57:57.700]  and you'll find all the uses that industry uses CO2 for.
[57:57.700 --> 58:02.700]  So my plan to stop all talk of global warming
[58:02.700 --> 58:07.700]  would be simply just to outlaw the sale of CO2.
[58:07.700 --> 58:12.700]  And when you do that, the first people to raise a stink about it
[58:12.700 --> 58:18.700]  would be the soft drink industry and also maybe their consumers.
[58:18.700 --> 58:19.700]  Yeah, well, they're not going to do that.
[58:19.700 --> 58:20.700]  They're going to tax it.
[58:20.700 --> 58:24.700]  They know it's based on all manufacturing life on this planet.
[58:24.700 --> 58:29.700]  You know, a key, it's sunlight, water, oxygen, carbon dioxide,
[58:29.700 --> 58:30.700]  makes the world go around.
[58:30.700 --> 58:31.700]  Stay there.
[58:31.700 --> 58:32.700]  We'll get down and watch.
[58:32.700 --> 58:33.700]  Take on this when we get back.
[58:33.700 --> 58:36.700]  Yeah, the global feudalism tax.
[58:36.700 --> 58:40.700]  Stay with us.
[58:40.700 --> 58:43.700]  Thank you for listening to GCN.
[58:43.700 --> 58:49.700]  Be sure to visit GCNLive.com today.
[58:49.700 --> 58:51.700]  May I have everyone's attention, please?
[58:51.700 --> 58:54.700]  I've come with a message of information.
[58:54.700 --> 58:56.700]  9-11 was an inside job.
[58:56.700 --> 58:57.700]  Do you like being a puppet, sir?
[58:57.700 --> 58:59.700]  Do you like being a puppet for the New World Order?
[58:59.700 --> 59:02.700]  I'll do the American people know that 9-11 was a stage.
[59:02.700 --> 59:04.700]  It was engineered by you, David Rockefeller,
