[00:00:02.153 --> 00:00:03.114]  It's happened.
[00:44:56.313 --> 00:45:00.695]  I didn't get any pleasure out of them going from being mad at me,
[00:45:04.352 --> 00:45:10.674]  Oh, there's that right-wing jerk to, oh my gosh, you're right, we apologize, what do we do?
[00:45:10.674 --> 00:45:12.355]  Your whole world's fake, okay?
[00:45:12.355 --> 00:45:13.235]  I'm not a right-winger.
[00:45:13.235 --> 00:45:14.016]  There's no such thing.
[00:45:14.016 --> 00:45:15.176]  It's a false paradigm.
[00:45:15.176 --> 00:45:17.677]  There's a real right and a real left within a controlled system.
[00:45:17.677 --> 00:45:21.278]  But outside of it, there's, are you for libertarian freedom?
[00:45:21.278 --> 00:45:23.259]  Or are you for command and control?
[00:45:23.259 --> 00:45:24.880]  And then it's, where do you want to be on that spectrum?
[00:45:24.880 --> 00:45:33.543]  That was the history of the world for the last 160 years, and they concocted this whole liberal-conservative paradigm to further dumb everything down.
[00:45:36.783 --> 00:45:45.511]  But let's go to the President, implying, oh, especially out of Texas, obviously a message at yours truly.
[00:45:45.511 --> 00:45:46.992]  I mean, they know where the message came from.
[00:45:46.992 --> 00:45:49.414]  The White House-run Media Matters, you know, freaked out over it.
[00:45:49.414 --> 00:45:52.317]  Dozens of newspapers we know have said, oh, God, Trump is quoting Jones.
[00:45:52.317 --> 00:45:53.157]  Exactly.
[00:45:53.157 --> 00:45:54.599]  And, you know, I think they've already figured that out.
[00:45:54.599 --> 00:45:58.262]  So, yes, that is what's happening.
[00:45:58.262 --> 00:46:00.304]  For me, it's not a power trip.
[00:46:00.304 --> 00:46:01.705]  It is a great responsibility.
[00:46:08.379 --> 00:46:13.143]  Because we're dealing with serious criminals here.
[00:46:13.143 --> 00:46:18.928]  I mean, they will obviously plan to come after me even more, especially if Hillary's victorious, or if Hillary loses.
[00:46:18.928 --> 00:46:20.089]  She'll even be more vindictive.
[00:46:20.089 --> 00:46:32.340]  I've talked to some experts in international security services, and they say undoubtedly they'd be worried, actually, if she loses.
[00:46:32.340 --> 00:46:33.261]  Not if she wins, but
[00:46:34.833 --> 00:46:43.622]  I've just got to do this, and InfoWars in 21 years on air is a testament to where you can go and what you can do, even though we're this unnamed enemy.
[00:46:43.622 --> 00:46:57.117]  We would put out reports about the carbon taxes, and now they want to shut down power plants to bankrupt states, and then we get picked up by drudge and go viral, and then they would have the White House come out and say, that guy in Texas is a conspiracy theorist, we don't want carbon taxes.
[00:46:58.151 --> 00:47:02.135]  Well, everybody knows they do, so I'm the guy in Texas who's the conspiracy terrorist.
[00:47:02.135 --> 00:47:04.857]  No, I'm the guy in Texas that knows what I'm talking about.
[00:47:04.857 --> 00:47:13.385]  I'm the guy in Texas that actually doesn't go out and party all night, or go out and watch movies, or go out and play golf all day, and I'm not saying you're bad if you do, if you're a successful person.
[00:47:13.385 --> 00:47:17.469]  The point is, most people do the minimum amount of work they can, not me.
[00:47:17.469 --> 00:47:18.830]  I'm obsessed with this.
[00:47:18.830 --> 00:47:19.992]  I know what I'm talking about.
[00:47:19.992 --> 00:47:21.773]  I've proven I do.
[00:47:21.773 --> 00:47:23.175]  And they're even more horrified
[00:47:24.534 --> 00:47:26.636]  That Donald Trump listens to me and others.
[00:47:26.636 --> 00:47:29.099]  Well, we're the opposition to the New World Order.
[00:47:29.099 --> 00:47:30.800]  We've done the research.
[00:47:30.800 --> 00:47:35.285]  We're not just here making up something we want to believe.
[00:47:35.285 --> 00:47:40.990]  We're immersed in the data, immersed in the facts.
[00:47:40.990 --> 00:47:45.275]  And now it's up to the listeners of this broadcast to get the word out that this is a hoax that he's dropping out.
[00:47:46.220 --> 00:47:48.842]  And there's going to be more hoaxes because we asked him to get involved.
[00:47:48.842 --> 00:47:55.986]  We asked him to go up against these criminals and now we're seeing the full power of the disinformation media used against Trump and his family.
[00:47:57.352 --> 00:48:01.794]  So I want to hear people admiring Trump and thanking Trump and appreciating what he's doing.
[00:48:01.794 --> 00:48:04.036]  Because we're getting to hear about the private Federal Reserve.
[00:48:04.036 --> 00:48:05.436]  We're getting to hear about rigged elections.
[00:48:05.436 --> 00:48:09.518]  We're getting to hear about one-sided trade deals and Hillary being a communist Chinese spy.
[00:48:09.518 --> 00:48:15.602]  We're getting to hear about all of how the mainstream media is involved in deception and how they're coming to an end.
[00:48:15.602 --> 00:48:21.765]  Donald Trump has absolutely paid off in spades, in triplicate, on everything he said he'd do.
[00:48:23.024 --> 00:48:28.128]  If Donald Trump was a 10-year savings bond, he would be paying back 10,000%.
[00:48:28.128 --> 00:48:39.657]  He's an absolute godsend.
[00:48:39.657 --> 00:48:40.838]  And that's why they're so scared of him.
[00:48:41.960 --> 00:48:46.403]  Now, let's go ahead and go to Obama responding to Trump and InfoWars.
[00:48:46.403 --> 00:48:49.645]  Particularly, you know that came out of Texas.
[00:48:49.645 --> 00:48:51.727]  Oh, the right-wingers down there.
[00:48:51.727 --> 00:48:52.647]  Oh, yes.
[00:48:52.647 --> 00:49:00.213]  The evil people that exposed the 2000 election as a fraud to Al Gore.
[00:49:00.213 --> 00:49:03.315]  I don't like Al Gore, but the fact is he did win.
[00:49:03.315 --> 00:49:04.916]  They did engage in manipulation.
[00:49:06.087 --> 00:49:08.568]  But we're seeing even bigger fraud now by the other side.
[00:49:08.568 --> 00:49:12.330]  And the Republican establishment that stole that election is now trying to block Trump.
[00:49:12.330 --> 00:49:13.850]  Everyone must vote for Trump.
[00:49:13.850 --> 00:49:14.691]  Here's the clip.
[00:49:14.691 --> 00:49:16.932]  Of course the elections will not be rigged.
[00:49:16.932 --> 00:49:20.053]  What does that mean?
[00:49:20.053 --> 00:49:21.054]  What does it mean?
[00:49:21.054 --> 00:49:24.555]  The federal government doesn't run the election process.
[00:49:24.555 --> 00:49:26.056]  That's right, the AP does.
[00:49:26.056 --> 00:49:30.098]  States and cities and communities all across the country
[00:49:31.055 --> 00:49:35.359]  They're the ones who set up the voting systems and the voting booths.
[00:49:35.359 --> 00:49:47.149]  And if Mr. Trump is suggesting that there is a conspiracy theory that is being propagated across the country,
[00:49:48.948 --> 00:50:01.734]  Including in places like Texas, where typically it's not Democrats who are in charge of voting booths.
[00:50:01.734 --> 00:50:02.454]  That's ridiculous.
[00:50:02.454 --> 00:50:03.555]  That doesn't make any sense.
[00:50:03.555 --> 00:50:06.936]  And I don't think anybody would take that seriously.
[00:50:06.936 --> 00:50:09.137]  You see how he spins all this?
[00:50:09.137 --> 00:50:12.659]  First he makes a nod to InfoWars, then we're putting conspiracy theories out.
[00:50:12.659 --> 00:50:17.461]  Then he acts like we're saying there's going to be fraud in Texas because I'm in Texas.
[00:50:19.523 --> 00:50:22.105]  I'm talking to the whole country and the whole world.
[00:50:22.105 --> 00:50:25.688]  So he makes it all geographic, and again, puts disinfo out.
[00:50:25.688 --> 00:50:27.649]  He's very highly trained.
[00:50:27.649 --> 00:50:28.650]  Like the devil.
[00:50:28.650 --> 00:50:32.913]  At every level, just to spew disinformation to confuse people.
[00:50:32.913 --> 00:50:33.974]  Like, hey, that's a Republican state.
[00:50:33.974 --> 00:50:35.995]  Who's claiming there's going to be election fraud there?
[00:50:35.995 --> 00:50:37.637]  Well, they are eyeing on stealing in Texas.
[00:50:38.812 --> 00:50:41.793]  Because they know Trump's got such a landslide in Florida he's gonna get it.
[00:50:41.793 --> 00:50:43.934]  He might even win battleground states like Pennsylvania.
[00:50:43.934 --> 00:50:46.374]  He's got Ohio, unless there's total fraud.
[00:50:46.374 --> 00:50:51.136]  And the word is that they're thinking about having the Cruz people and others go in and claim that's how Trump lost.
[00:50:51.136 --> 00:50:56.457]  Of course it would have been a theft, but they just want the plausible deniability for the sheeple out there.
[00:50:56.457 --> 00:50:59.498]  Then you'll get your Hillary Clinton as mentally ill as she is.
[00:51:02.222 --> 00:51:04.183]  Who's among the worst at keeping your data private?
[00:51:04.183 --> 00:51:07.944]  The Electronic Frontier Foundation Privacy Report says it's AT&T.
[00:51:07.944 --> 00:51:14.167]  AT&T customers need to know this when calling the Alex Jones 24-7 listen line at 1-605-562-9000.
[00:51:14.167 --> 00:51:15.427]  Big Brother is listening.
[00:51:15.427 --> 00:51:19.589]  No apps, no data, no internet needed, and no extra cost if you have unlimited minutes.
[00:51:19.589 --> 00:51:23.951]  Call the Alex Jones 24-7 listen line on any phone, but please don't use AT&T.
[00:51:23.951 --> 00:51:26.652]  For everyone else, bookmark Alex Jones listen line number today.
[00:51:26.652 --> 00:51:26.932]  1-605-562-9000.
[00:51:26.932 --> 00:51:27.152]  That's 1-605-562-9000.
[00:51:32.037 --> 00:51:38.799]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[00:51:38.799 --> 00:51:43.080]  Since 2005, thousands have depended on Berkey Purified Water.
[00:51:43.080 --> 00:51:47.681]  The Berkey guy provides the lowest price filtration systems in every size.
[00:51:47.681 --> 00:51:53.202]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[00:51:53.202 --> 00:51:53.362]  877-886-3653.
[00:51:53.362 --> 00:51:53.722]  GoBerkey.com.
[00:52:01.764 --> 00:52:04.385]  Hunters, anglers, campers, and survivalists.
[00:52:04.385 --> 00:52:05.466]  Get back to nature.
[00:52:05.466 --> 00:52:12.649]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:52:12.649 --> 00:52:16.031]  Slingbow products are compact and models start from just $17.98.
[00:52:16.031 --> 00:52:19.492]  They're perfect for your bug out bag or storing in your vehicle.
[00:52:19.492 --> 00:52:23.634]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:52:23.634 --> 00:52:28.157]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:52:28.157 --> 00:52:30.798]  Feel the thrill only at slingbow.com.
[00:52:31.841 --> 00:52:35.683]  Right now at DeseretFoodStore.com, get a free one-year supply of food.
[00:52:35.683 --> 00:52:39.124]  That's right, a free one-year supply of storable foods.
[00:52:39.124 --> 00:52:46.367]  Deseret Food Store has a 30-year shelf life, is GMO-free, has no MSG, and is the highest quality of food on the planet.
[00:52:46.367 --> 00:52:50.689]  For the next 20 collars, buy a full-year supply of food and get one free.
[00:52:50.689 --> 00:52:52.850]  That's right, buy one and get one free.
[00:52:52.850 --> 00:52:53.070]  Call 801-444-1444.
[00:52:53.070 --> 00:52:53.450]  Again, that's 801-444-1444.
[00:53:02.190 --> 00:53:03.791]  What's it going to take?
[00:53:03.791 --> 00:53:05.273]  Another news story?
[00:53:05.273 --> 00:53:07.815]  You've heard about Infidel Body Armor for years.
[00:53:07.815 --> 00:53:09.997]  You know you should have a set.
[00:53:09.997 --> 00:53:11.338]  So should your wife.
[00:53:11.338 --> 00:53:12.859]  Things aren't getting better.
[00:53:12.859 --> 00:53:14.200]  They're getting worse.
[00:53:14.200 --> 00:53:16.822]  Thousands already wear Infidel Body Armor.
[00:53:16.822 --> 00:53:18.223]  Now get yours.
[00:53:18.223 --> 00:53:22.187]  Go to InfidelBodyArmor.com and check out today's specials.
[00:53:22.187 --> 00:53:25.970]  We make armor easy to understand and easy to purchase.
[00:53:25.970 --> 00:53:30.073]  InfidelBodyArmor.com just won't quit.
[00:53:31.074 --> 00:53:33.695]  Are you worried about how dangerous the world has become?
[00:53:33.695 --> 00:53:40.978]  In these days of terrorist attacks, natural disasters, or even a future collapse, you need to be medically prepared to keep your family safe.
[00:53:40.978 --> 00:53:50.181]  I'm Joe Alton, MD of store.doomandbloom.net, where you'll find an entire line of uniquely designed medical kits and supplies for when help is not on the way.
[00:53:50.181 --> 00:53:57.164]  For everything from individual first aid kits to the ultimate family medical bag, go to store.doomandbloom.net today.
[00:53:57.164 --> 00:53:59.445]  That's store.doomandbloom.net.
[00:53:59.445 --> 00:54:00.485]  You'll be glad you did.
[00:54:15.803 --> 00:54:26.809]  By the way, I haven't even gotten into the 400 million dollars on an airplane illegally flown to the Iranians that Obama had lied about previously.
[00:54:26.809 --> 00:54:28.790]  So the media turns it into, um...
[00:54:31.863 --> 00:54:36.626]  Trump getting confused by the news showing supposed footage of the plane when it wasn't footage.
[00:54:36.626 --> 00:54:38.007]  That's the media getting that wrong.
[00:54:38.007 --> 00:54:40.529]  But see, oh, Trump has a crooked toenail.
[00:54:40.529 --> 00:54:44.612]  He reported on it a little bit wrong about what video he saw.
[00:54:44.612 --> 00:54:45.473]  So that's what matters.
[00:54:45.473 --> 00:54:47.594]  Not Obama engaging in the crime.
[00:54:47.594 --> 00:54:51.817]  And I was just watching Hillary during a press conference or more of a press statement.
[00:54:51.817 --> 00:54:53.058]  They're totally rigged.
[00:54:53.058 --> 00:54:55.660]  And she looks like hell warmed over.
[00:54:56.621 --> 00:54:59.945]  She looks worse than she's ever looked.
[00:54:59.945 --> 00:55:04.431]  So I think time is basically running out for her, but I was talking to Don Salazar.
[00:55:04.431 --> 00:55:06.734]  Why do you think Obama is making comments about Texas?
[00:55:07.483 --> 00:55:15.246]  Well, that's because the media is all fully aware of the fact that when they talk about what we're doing, they say, oh, the conspiracy theory out of Texas.
[00:55:15.246 --> 00:55:18.248]  That's how they, that's the agreed-upon language.
[00:55:18.248 --> 00:55:20.809]  Because we're so dangerous, they dare not say our name.
[00:55:20.809 --> 00:55:23.490]  The conspiracy theory out of Texas.
[00:55:23.490 --> 00:55:25.491]  That Hillary had superdelegates till the election?
[00:55:25.491 --> 00:55:26.651]  That's not a fact.
[00:55:26.651 --> 00:55:28.432]  That we've had major election fraud in this country?
[00:55:28.432 --> 00:55:30.233]  A major fact.
[00:55:30.233 --> 00:55:31.814]  And see, they don't know how to deal with it.
[00:55:31.814 --> 00:55:34.555]  We had mainstream media at the DNC and RNC just marveling.
[00:55:35.498 --> 00:55:42.242]  At our readership and our traffic and the fact that it just keeps coming true what we say.
[00:55:42.242 --> 00:55:47.625]  Because, see, our narrative is actually truth-based.
[00:55:47.625 --> 00:55:49.486]  We don't get talking points from on top.
[00:55:49.486 --> 00:55:52.847]  We create the talking points off of reality.
[00:55:52.847 --> 00:55:56.349]  Does that mean we're 100% right?
[00:55:56.349 --> 00:56:00.692]  No, we're about 97% right.
[00:56:00.692 --> 00:56:02.993]  But people say, is it the right stratagem to come out and say,
[00:56:04.721 --> 00:56:06.021]  They've stolen elections before.
[00:56:06.021 --> 00:56:07.181]  Hillary stole the nomination.
[00:56:07.181 --> 00:56:08.362]  Let's stand up against her.
[00:56:08.362 --> 00:56:12.162]  And I say it's the right thing to do to defend our election system.
[00:56:12.162 --> 00:56:13.683]  So stand up and speak out against it.
[00:56:13.683 --> 00:56:24.985]  See, as soon as we stop playing along with the fantasy land, as soon as we quit trying to change the whole fraudulent system and just admit it's a fraud, it begins to fall.
[00:56:24.985 --> 00:56:26.325]  And that's what they're scared about.
[00:56:26.325 --> 00:56:28.666]  They understand what we're doing.
[00:56:28.666 --> 00:56:29.906]  We're outside their spectrum.
[00:56:32.222 --> 00:56:34.383]  Now, briefly, we are Losers Supported.
[00:56:34.383 --> 00:56:36.344]  I want to thank you all for your support.
[00:56:36.344 --> 00:56:38.966]  We've been spending a lot of money right now.
[00:56:38.966 --> 00:56:40.207]  We've got some big specials running.
[00:56:40.207 --> 00:56:44.349]  We've got free shipping store-wide at InfowarsStore.com on thousands of items.
[00:56:44.349 --> 00:56:47.171]  And we've got three of our best-selling items discounted on top of it.
[00:56:47.171 --> 00:56:49.973]  40% off Rainforest, about to sell out.
[00:56:49.973 --> 00:56:51.754]  30% off DNA Forest, very close to selling out.
[00:56:51.754 --> 00:56:54.655]  30% off Vitamin Mineral Fusion fruit punch drink.
[00:56:54.655 --> 00:56:58.958]  Great way to get your vitamins, minerals, and other key co-factors and amino acids.
[00:56:58.958 --> 00:56:59.958]  InfowarsStore.com.
[00:57:01.533 --> 00:57:01.913]  We're good to go.
[00:57:18.564 --> 00:57:28.071]  Brain Force or DNA Force, those items are never out of stock because we hold them back for you whether you want it on 15 days, 30 days, 90 days, 6 months, a year.
[00:57:28.071 --> 00:57:33.255]  You sign up for AutoShip, an additional 10% off and you can cancel any time.
[00:57:33.255 --> 00:57:36.518]  But if you really want to support the broadcast, there are items everybody needs in there.
[00:57:36.518 --> 00:57:44.364]  Books and films and non-GMO, open pollinated heirloom seeds and shortwave radios and water filtration and air purifying systems and solar
[00:57:44.824 --> 00:57:50.211]  Panel control and solar units, the very best cutting edge at the lowest prices.
[00:57:50.211 --> 00:57:55.639]  G-Shock watches, optics, a lot of other great items.
[00:57:55.639 --> 00:57:56.580]  Infowarshstore.com
[00:57:58.587 --> 00:57:59.688]  is the big blanket site.
[00:57:59.688 --> 00:58:02.611]  Infowarslife.com is the sub-page.
[00:58:02.611 --> 00:58:07.756]  And it is your purchases that fund this one-of-a-kind gem of an operation.
[00:58:07.756 --> 00:58:17.305]  The crew, everybody we've got here, what they're doing in the face of the programming, in the face of the brainwashing, putting out a counter-narrative so patriots worldwide know they're not alone.
[00:58:17.305 --> 00:58:21.409]  That we are the sleeping majority of humanity that is awakening.
[00:58:21.409 --> 00:58:22.710]  And that great things are happening.
[00:58:23.677 --> 00:58:25.498]  Now, we're going to have open phones in the next hour.
[00:58:25.498 --> 00:58:29.481]  I've got a bunch of special reports we haven't aired that are extremely powerful.
[00:58:29.481 --> 00:58:33.824]  We've got big jihad news, big economy news, and so much more.
[00:58:33.824 --> 00:58:34.604]  Election 2016.
[00:58:34.604 --> 00:58:36.265]  I'm Alex Jones.
[00:58:36.265 --> 00:58:37.967]  Three hours left.
[00:58:37.967 --> 00:58:39.428]  I'll be hosting for two more hours.
[00:58:39.428 --> 00:58:42.690]  The David Knights coming in.
[00:58:42.690 --> 00:58:46.572]  Thank you for listening to GCN.
[00:58:46.572 --> 00:58:48.093]  Visit GCNlive.com today.
[00:58:52.043 --> 00:59:00.308]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the InfoWar.
[00:59:00.308 --> 00:59:01.528]  A 360 win.
[00:59:01.528 --> 00:59:08.092]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at InfoWarshore.com.
[00:59:08.092 --> 00:59:15.616]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip because we hold back a surplus for AutoShip customers.
[00:59:16.016 --> 00:59:21.098]  Number three, we're giving you free shipping on all orders above $50.
[00:59:21.098 --> 00:59:27.201]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[00:59:27.201 --> 00:59:34.984]  Just go to InfoWarsTore.com, select your favorite product or products, click on auto ship, and choose how often you want us to send you another order.
[00:59:34.984 --> 00:59:41.867]  As you know, I coined the term 360 win, and with the new auto ship feature at InfoWarsLife.com, this is a sure win.
[00:59:41.867 --> 00:59:43.008]  10% off on auto ship.
[00:59:43.168 --> 00:59:45.591]  Win-win-win at Infowarslife.com.
[00:59:45.591 --> 00:59:47.574]  Free shipping on orders above $50.
[00:59:47.574 --> 00:59:54.464]  And all out-of-stock items are never out of stock when you sign up for AutoShip.
[00:59:54.464 --> 00:59:57.127]  You're listening to the Alex Jones Show.
[01:00:16.636 --> 01:00:19.260]  Waging war on corruption.
[01:00:19.260 --> 01:00:24.248]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:01:04.660 --> 01:01:16.148]  Mr. President, repeatedly now Donald Trump has said that this election will be rigged against him, challenging really the core foundation of our democratic system.
[01:01:16.148 --> 01:01:20.371]  Can you promise the American people that this election will be conducted in a fair way?
[01:01:20.371 --> 01:01:26.475]  And are you worried that comments like his could erode the public's faith in the outcome of the election?
[01:01:26.475 --> 01:01:31.178]  And if he does win, given that you've just declared him unfit, what will you say to the American people?
[01:01:33.370 --> 01:01:38.795]  Well, at the end of the day, it's the American people's decision.
[01:01:38.795 --> 01:01:39.976]  I have one vote.
[01:01:39.976 --> 01:01:41.097]  I have the same vote you do.
[01:01:41.097 --> 01:01:49.044]  I have the same vote that all the voters who are eligible all across the country have.
[01:01:49.044 --> 01:01:54.509]  I've offered my opinion, but ultimately it's the American people's decision to make collectively.
[01:01:54.509 --> 01:01:56.051]  And if somebody wins the election,
[01:01:57.159 --> 01:02:11.488]  And they are president, then my constitutional responsibility is to peacefully transfer power to that individual and do everything I can to help them succeed.
[01:02:11.488 --> 01:02:18.553]  It is... I don't even really know where to start on answering this question.
[01:02:18.553 --> 01:02:20.794]  Of course the elections will not be rigged.
[01:02:20.794 --> 01:02:24.877]  What does that mean?
[01:02:24.877 --> 01:02:26.178]  The federal government doesn't run
[01:02:27.466 --> 01:02:29.867]  The election process.
[01:02:29.867 --> 01:02:39.170]  States and cities and communities all across the country, they're the ones who set up the voting systems and the voting booths.
[01:02:39.170 --> 01:02:50.954]  And if Mr. Trump is suggesting that there is a conspiracy theory that is being propagated across the country,
[01:02:52.754 --> 01:03:05.544]  Including in places like Texas, where typically it's not Democrats who are in charge of voting booths.
[01:03:05.544 --> 01:03:06.264]  That's ridiculous.
[01:03:06.264 --> 01:03:07.365]  That doesn't make any sense.
[01:03:07.365 --> 01:03:10.567]  And I don't think anybody would take that seriously.
[01:03:10.567 --> 01:03:14.950]  Now, we do take seriously, as we always do, our responsibilities to
[01:03:16.011 --> 01:03:19.973]  Monitor and preserve the integrity of the voting process.
[01:03:19.973 --> 01:03:34.320]  If we see signs that a voting machine or system is vulnerable to hacking, then we inform those local authorities who are running the elections that they need to be careful.
[01:03:34.320 --> 01:03:44.985]  If we see jurisdictions that are violating federal laws in terms of equal access and aren't providing
[01:03:46.565 --> 01:03:58.949]  Rants for disabled voters, or are discriminating in some fashion, or are otherwise violating civil rights laws, then the Justice Department will come in and take care of that.
[01:03:58.949 --> 01:04:03.071]  But this will be an election like every other election.
[01:04:03.071 --> 01:04:12.674]  And, you know, I think all of us at some points in our lives have played sports or maybe just played in a
[01:04:13.923 --> 01:04:16.764]  In a schoolyard or a sandbox.
[01:04:16.764 --> 01:04:21.266]  Sometimes folks, if they lose, they start complaining that they got cheated.
[01:04:21.266 --> 01:04:26.509]  But I've never heard of somebody complaining about being cheated before the game was over.
[01:04:26.509 --> 01:04:27.429]  Okay.
[01:04:27.429 --> 01:04:32.612]  Again, I thought you might just want to hear some of the garbage from Obama's own mouth.
[01:04:32.612 --> 01:04:37.334]  They tried to steal the delegates and said that votes didn't count.
[01:04:37.334 --> 01:04:39.175]  And they did steal it from Sanders.
[01:04:39.175 --> 01:04:41.756]  So she is an illegitimate nominee, Obama.
[01:04:43.536 --> 01:04:45.238]  He stole the nomination.
[01:04:45.238 --> 01:04:50.883]  It'd be like if she got into the championship boxing match, but it turned out the other guy had taken a dive or whatever.
[01:04:50.883 --> 01:04:53.185]  It's a fraudulent system.
[01:04:53.185 --> 01:04:55.047]  Election fraud's part of history.
[01:04:55.047 --> 01:04:56.509]  It's part of our history.
[01:04:56.509 --> 01:05:00.573]  And he should challenge it beforehand to let folks know we're watching!
[01:05:02.233 --> 01:05:07.077]  Harry Reid wants CIA to give Trump fake intelligence briefings.
[01:05:07.077 --> 01:05:21.629]  The Democratic Senate Minority Leader Harry Reid said he would rather see the CIA and other intelligence agencies give GOP nominee Donald Trump fake briefings than to make sure he's informed before potentially becoming president.
[01:05:21.849 --> 01:05:30.156]  Reid suggested that it would be risky to divulge classified information pertaining to national security to Trump, so it should just be fake.
[01:05:30.156 --> 01:05:36.280]  Even more incredulous is the fact that Reid is the one accusing Trump of being, quote, dangerous.
[01:05:36.280 --> 01:05:40.784]  Trump is due to receive intelligence briefings in the coming weeks, as is Clinton.
[01:05:40.964 --> 01:05:48.373]  It is standard procedure for both candidates to have limited updates so they're somewhat prepared to take office when the time comes.
[01:05:48.373 --> 01:05:53.360]  Article by Steve Watson on InfoWars.com, linked on the DrudgeReport.com.
[01:05:53.360 --> 01:05:55.322]  This is Ashley Beckford reporting.
[01:05:55.322 --> 01:05:57.265]  Stay tuned for more special reports.
[01:06:01.886 --> 01:06:03.947]  Brainforce, it's completely different.
[01:06:03.947 --> 01:06:05.147]  Try a bottle of it.
[01:06:05.147 --> 01:06:06.747]  Rob Due joins us.
[01:06:06.747 --> 01:06:09.868]  You worked, I guess, like 20 plus hours.
[01:06:09.868 --> 01:06:10.969]  Tell us what Brainforce did.
[01:06:10.969 --> 01:06:11.909]  I've been working all day.
[01:06:11.909 --> 01:06:14.390]  I took a couple hours off coaching basketball.
[01:06:14.390 --> 01:06:15.810]  I get in here at 830.
[01:06:15.810 --> 01:06:17.710]  I was kind of run down.
[01:06:17.710 --> 01:06:19.431]  You know, I just didn't feel like I was going to make it.
[01:06:19.651 --> 01:06:21.532]  And I really wanted to do a good job on the interview.
[01:06:21.532 --> 01:06:23.353]  I got my bottle of Brain Force right there.
[01:06:23.353 --> 01:06:24.414]  I popped two of them.
[01:06:24.414 --> 01:06:26.695]  And about 20 minutes later, it's like, bing!
[01:06:26.695 --> 01:06:28.496]  Everything just kind of clears up.
[01:06:28.496 --> 01:06:30.157]  It's got four and a half stars.
[01:06:30.157 --> 01:06:31.478]  People really love it.
[01:06:31.478 --> 01:06:32.078]  Read about it.
[01:06:32.078 --> 01:06:35.920]  Find out why third-party nutraceutical sites give it such high praise.
[01:06:35.920 --> 01:06:41.203]  Because it really does have the best organic-based systems that will blow your socks off.
[01:06:41.383 --> 01:06:45.428]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[01:06:45.428 --> 01:06:51.575]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[01:06:51.575 --> 01:06:57.482]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[01:07:01.867 --> 01:07:05.851]  Secret 12, InfoWarsLife's vitamin B12 formulation.
[01:07:05.851 --> 01:07:12.156]  Most forms of vitamin B12 are highly processed and synthetic, and cannot be properly absorbed by the body.
[01:07:12.156 --> 01:07:19.442]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[01:07:19.442 --> 01:07:28.230]  InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[01:07:28.530 --> 01:07:34.715]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[01:07:34.715 --> 01:07:39.539]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:07:39.539 --> 01:07:43.142]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:07:43.142 --> 01:07:45.023]  No needles, no injections.
[01:07:45.023 --> 01:07:46.684]  Don't take my word for it.
[01:07:46.684 --> 01:07:47.865]  Try it for yourself.
[01:07:47.865 --> 01:07:50.187]  Discover the secret, Secret 12.
[01:07:50.187 --> 01:07:54.671]  Secure your revolutionary Secret 12 formula right now at Infowarslife.com or
[01:07:55.031 --> 01:07:56.451]  Call 888-253-3139.
[01:07:56.451 --> 01:08:03.453]  InfoWarsLife Secret 12.
[01:08:03.453 --> 01:08:06.474]  They took my saddle in Houston.
[01:08:06.474 --> 01:08:11.635]  Broke my leg in Santa Fe.
[01:08:11.635 --> 01:08:17.696]  Lost my wife and a girlfriend somewhere along the way.
[01:08:17.696 --> 01:08:20.757]  In defense of human liberty, Alex Jones.
[01:08:20.757 --> 01:08:23.978]  I'll be looking for aid when they pull that gate.
[01:08:31.210 --> 01:08:37.933]  Last Saturday, I came up here at about 2 o'clock in the afternoon and met with one of my camera people, editors, Rob Jacobson.
[01:08:37.933 --> 01:08:43.275]  And I shot a special report that went up a few hours later and was watched several million times on Facebook.
[01:08:44.474 --> 01:08:50.219]  Listened to by millions of people here on the radio and seen by hundreds of thousands on other platforms like YouTube.
[01:08:50.219 --> 01:09:06.214]  And all I did was lay out the fact that they tried to steal the election from Trump, showed them admitting it, showed Republicans saying your vote doesn't count, showed the Democrats stealing it from Sanders saying your vote doesn't count, and I pointed out that she was an illegitimate nominee and that she would then try to steal it from Trump.
