[00:00:08.490 --> 00:00:12.940]  Leading a frontal assault on the lies of the New World Order.
[00:26:20.692 --> 00:26:26.075]  He says, this was the word that was on everyone's lips, everyone's placards, both young and old.
[00:26:26.075 --> 00:26:32.839]  The hikers were from across the political spectrum, from anarcho-syndicalists and libertarians through the greens to the communists.
[00:26:32.839 --> 00:26:37.242]  But everybody was concerned about the TTIP trade deal.
[00:26:37.242 --> 00:26:42.025]  It seemed to be the one issue that gave focus to this vast ideological sprawl.
[00:26:42.685 --> 00:26:53.511]  And so then he talked to a guy now, first he talks to a 16-year-old, then he talks to a 61-year-old, and he says, the 61-year-old says, they are global companies with global power.
[00:26:53.511 --> 00:26:57.053]  But today we're told over and over again that globalism is good.
[00:26:57.053 --> 00:26:58.774]  Yeah, it's good for a few.
[00:26:58.774 --> 00:27:01.775]  Yes, it is very good for those very few, he chuckled.
[00:27:01.775 --> 00:27:09.640]  To call yourself a globalist, you would have to be either very stupid or very, very rich.
[00:27:09.640 --> 00:27:11.941]  Or perhaps you'd have to be very apathetic.
[00:27:13.254 --> 00:27:29.004]  You know, as we look at some of the stories that came up towards the end of the week last week, and we'll talk about this a little bit more, when I look at what happened with the Gaia Democratic School, where they took some very young children to a pornography shop on a field trip.
[00:27:30.287 --> 00:27:32.829]  It reminded me of Brave New World.
[00:27:32.829 --> 00:27:46.981]  And I think the real key that we see here, certainly in this particular case that's going on with the G7 right now, I think the vast majority of the population is subdued by a kind of Brave New World approach.
[00:27:46.981 --> 00:27:51.625]  Something that comes at them and essentially celebrates promiscuity.
[00:27:52.714 --> 00:27:54.815]  Makes a virtue of it.
[00:27:54.815 --> 00:27:56.716]  That distracts people.
[00:27:56.716 --> 00:28:01.339]  That says, you can have all the sex that you want, but you can't have a family.
[00:28:01.339 --> 00:28:03.360]  We don't want parents.
[00:28:03.360 --> 00:28:05.882]  And that's the society that we're moving to.
[00:28:05.882 --> 00:28:07.543]  It's not something that started with Brave New World.
[00:28:07.543 --> 00:28:10.365]  Of course, it goes back all the way to Plato's Republic.
[00:28:10.365 --> 00:28:13.767]  That was the formula that he had for control.
[00:28:13.767 --> 00:28:22.072]  But I think that the vast majority of the public is distracted by this pleasure, by the drugs, by the sex that we are offered.
[00:28:23.399 --> 00:28:24.600]  And so they're not paying attention.
[00:28:24.600 --> 00:28:38.726]  The few people who do pay attention, like this 16-year-old, like the 61-year-old, who understand exactly what's going on with this Trans-Pacific Partnership, those who understand, who show up, what do they get?
[00:28:38.726 --> 00:28:41.427]  They get the 1984 treatment.
[00:28:41.427 --> 00:28:42.928]  And so our government has to
[00:28:44.248 --> 00:28:45.911]  Exercise 1984.
[00:28:45.911 --> 00:28:52.839]  Surveillance on all of us to determine who's going to get the fist, the iron fist, the boot stomping in their face.
[00:28:52.839 --> 00:28:53.300]  Stay with us.
[00:28:53.300 --> 00:28:56.144]  When we come right back, Alex Jones is going to break down Bilderberg for you.
[00:28:56.144 --> 00:28:56.885]  We'll be right back.
[00:28:59.935 --> 00:29:16.595]  Ladies and gentlemen, you haven't really ever heard firearms manufacturers as sponsors on my syndicated radio show, or the nightly news, or the news website, InfoWars.com, because the companies I've been approached by were not the highest quality, and they weren't as affordable as they should be, so I refused.
[00:29:16.595 --> 00:29:20.099]  Probably 30, 40 firearms manufacturers over the years will then
[00:29:20.439 --> 00:29:24.480]  About six months ago, we get contacted by Head Down Firearms.
[00:29:24.480 --> 00:29:26.021]  Hdfirearms.com.
[00:29:26.021 --> 00:29:29.342]  Owned and run by a bunch of former Navy SEALs and Special Ops people.
[00:29:29.342 --> 00:29:34.484]  They're veterans, they're patriots, they're listeners of the radio show, and they want to support the broadcast.
[00:29:34.484 --> 00:29:35.384]  It's always about security.
[00:29:35.444 --> 00:29:35.704]  I think so.
[00:29:59.805 --> 00:30:04.970]  Introducing Secret 12, the new InfoWars Life vitamin B12 formulation.
[00:30:04.970 --> 00:30:11.076]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[00:30:11.076 --> 00:30:15.861]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:30:15.861 --> 00:30:19.444]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:30:19.444 --> 00:30:21.006]  No needles, no injections.
[00:30:21.406 --> 00:30:26.811]  Secure your revolutionary secret 12 formula right now at Infowarslife.com or call 888-253-3139.
[00:30:26.811 --> 00:30:28.273]  Alex Jones here.
[00:30:28.273 --> 00:30:39.644]  For the last two years, I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[00:30:39.904 --> 00:30:43.726]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[00:30:43.726 --> 00:30:52.049]  Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[00:30:52.049 --> 00:30:54.350]  Visit Infowarslife.com or call 1-888-253-3139.
[00:30:54.350 --> 00:30:55.390]  That's Infowarslife.com.
[00:30:59.437 --> 00:31:00.378]  Hey, how you doing, Al?
[00:31:00.378 --> 00:31:00.938]  Good, brother.
[00:31:00.938 --> 00:31:02.899]  Just recently started using your products.
[00:31:02.899 --> 00:31:04.600]  Everything you said about them is correct.
[00:31:04.600 --> 00:31:08.722]  Me and my wife both use a lot of them, and it's made a lot of changes in our lives here.
[00:31:08.722 --> 00:31:11.264]  Well, thank you, brother, because it also funds our operation.
[00:31:11.264 --> 00:31:13.685]  But doing that, I know I've got to have the highest quality.
[00:31:13.685 --> 00:31:21.530]  Super Mill Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:31:21.850 --> 00:31:25.091]  We do the super male and the super female vitality.
[00:31:25.091 --> 00:31:26.632]  Big changes, a lot of energy.
[00:31:26.632 --> 00:31:29.533]  We've gotten off of the cheap energy drinks, energy shots.
[00:31:29.533 --> 00:31:31.294]  Saving a ton of money there.
[00:31:31.294 --> 00:31:33.775]  Sourced from powerful organic herbs.
[00:31:35.097 --> 00:31:36.437]  We're good to go.
[00:31:59.426 --> 00:32:04.589]  Alex Jones here with an InfoWarsLife.com Consumer Alert Report.
[00:32:04.589 --> 00:32:11.914]  Many of you are aware that around the world most populations are woefully deficient in clean forms of iodine.
[00:32:11.914 --> 00:32:19.999]  The good news is our listeners over the past two years tried X2 nascent iodine and experienced it for themselves.
[00:32:19.999 --> 00:32:21.000]  The bad news is
[00:32:21.320 --> 00:32:29.007]  For the first time in more than a year, supplies at Infowarslife.com of Survival Shield X2 Nascent Iodine are running low.
[00:32:29.007 --> 00:32:33.791]  But what's even more serious is the supply of these Deep Earth Crystals.
[00:32:33.791 --> 00:32:41.178]  That exclusive 999 pure source is proprietary and only available at Infowarslife.com.
[00:32:41.178 --> 00:32:44.061]  And that supply is running low and is in question.
[00:32:44.281 --> 00:32:51.263]  That's why it's more important than ever to secure your current and longtime supply of Survival Shield Nascent Iodine X2 today.
[00:32:51.263 --> 00:32:55.524]  Available exclusively at Infowarslife.com or by calling toll-free 888-253-3139.
[00:32:55.524 --> 00:32:58.064]  You're listening to the Alex Jones Show!
[00:33:17.364 --> 00:33:23.387]  Ladies and gentlemen, Alex Jones here with a special announcement for all InfoWars.com viewers and readers.
[00:33:43.325 --> 00:33:50.871]  Bilderberg 2015 is going to be one of the most important Bilderberg events that's ever been covered by the press.
[00:33:50.871 --> 00:34:00.379]  It is the Bilderberg group that represents the global corporate fascist shadow government that is establishing a planetary regime right now.
[00:34:00.379 --> 00:34:03.322]  They're behind the EU in their own annals.
[00:34:03.322 --> 00:34:07.165]  They're behind the North American Union and now the Asian Union known as the TPP.
[00:34:08.809 --> 00:34:10.270]  They don't want to be identified.
[00:34:10.270 --> 00:34:11.610]  They don't want press coverage.
[00:34:11.610 --> 00:34:15.491]  Until 10 years ago, the media wouldn't even admit they existed.
[00:34:15.491 --> 00:34:21.954]  But alternative media, the people's media, you, the viewers of this show and others, helped expose it.
[00:34:21.954 --> 00:34:23.314]  It's so exciting.
[00:34:23.314 --> 00:34:25.315]  And now there's a real debate about TPP.
[00:34:26.454 --> 00:34:31.457]  Now there is a real debate about these shadow groups and organizations.
[00:34:31.457 --> 00:34:45.425]  Now people are saying, what do you mean there's global treaties that are secret that curtail the internet freedom and have global carbon taxes and erase national sovereignty and set laws for our Congress and parliaments?
[00:34:46.704 --> 00:34:55.319]  That's why they always denied corporate global government, because the minute it's exposed, and the minute we begin to discuss it, it begins to implode.
[00:34:55.319 --> 00:34:57.443]  In fact, look at two articles that just came out.
[00:34:58.291 --> 00:35:16.829]  In the BBC and Associated Press, there's hundreds of others, where the UKIP party, that's basically a Ron Paul, Patriot, Alex Jones party in Europe and England, with Lord Monckton and Nigel Farage, has forced the Tory party to say we're going to move to get out of the EU if they don't let the UK make its own laws.
[00:35:16.829 --> 00:35:21.794]  England never got to vote, the UK never got to vote, to be part of the Euro.
[00:35:22.495 --> 00:35:26.941]  They just called it a trade deal like the TPP, like NAFTA, like GATT.
[00:35:26.941 --> 00:35:28.843]  So these are very exciting developments.
[00:35:28.843 --> 00:35:30.785]  Bilderberg doesn't want to be covered.
[00:35:30.785 --> 00:35:34.810]  Normally they only shut the hotel down a day before when they have it in different parts of the world.
[00:35:34.810 --> 00:35:36.673]  This time it shut down a whole week before.
[00:35:37.580 --> 00:35:45.346]  And Rob Dew, Paul Watson, Josh Owens, they're all going to be there Sunday through the Sunday afterwards.
[00:35:45.346 --> 00:35:52.070]  Coming up from the 8th, that Monday, right through Bilderberg, covering it live on the ground for us.
[00:35:52.070 --> 00:35:59.415]  The police and military and others are shaking people down, grabbing their IDs, they're already harassing hikers and skiers.
[00:35:59.415 --> 00:36:02.498]  This is already going on because the Bilderberg group is scared.
[00:36:03.198 --> 00:36:15.121]  Royalty, world leaders, Rothschilds, Rockefellers, the heads of Google, Microsoft, the Defense Department, Prime Ministers, they're all going to be there with Henry Kissinger and others.
[00:36:15.121 --> 00:36:18.181]  And they just hope we all go to sleep and not know what they were doing.
[00:36:18.181 --> 00:36:29.764]  We're going to be there exposing it and pointing out that this is exactly the very type of organization and group that is staying in the shadows so they can engineer things like the TPP.
[00:36:30.524 --> 00:36:32.225]  Are there other globalist organizations?
[00:36:32.225 --> 00:36:40.870]  Yes, but they're all chaired and run by the very same 150 Bilderberg Group members and their guests.
[00:36:41.883 --> 00:36:54.428]  And so we're focusing in on what the dinosaur corporate media hopes you won't look at, hopes you won't investigate, because sunshine will destroy these political vampires.
[00:36:54.428 --> 00:36:59.951]  So join us at InfoWars.com forward slash show, where the radio show,
[00:37:00.945 --> 00:37:03.966]  And TV show weekdays is free streaming.
[00:37:03.966 --> 00:37:10.887]  Also, we're going to have the nightly news free, not just for subscribers, all next week for seven days straight.
[00:37:10.887 --> 00:37:13.047]  We'll also have reporting on Saturday.
[00:37:13.047 --> 00:37:16.968]  It starts the 8th and it runs right through for seven days.
[00:37:16.968 --> 00:37:20.389]  We'll see if they try to stop our reporters even getting into Austria.
[00:37:20.389 --> 00:37:22.209]  That's happened before in England.
[00:37:22.209 --> 00:37:24.329]  It's happened in Canada.
[00:37:24.329 --> 00:37:28.110]  Reporters have been shot at in places like Lisbon, Portugal.
[00:37:28.630 --> 00:37:30.071]  I mean, this is a big deal.
[00:37:30.071 --> 00:37:31.552]  This is Spectre.
[00:37:31.552 --> 00:37:32.692]  This is Hydra.
[00:37:32.692 --> 00:37:40.097]  These are the bad guys that are behind the derivatives, the central banks, the wars, the funding of ISIS.
[00:37:40.097 --> 00:37:42.698]  These crooks do not want you watching.
[00:37:42.698 --> 00:37:51.103]  So, get the free link at InfoWars.com forward slash show that we'll put below us here on this video and story, and send it out to friends and family.
[00:37:51.103 --> 00:37:52.464]  Post it on Facebook.
[00:37:52.464 --> 00:37:53.325]  Send it out on Twitter.
[00:37:54.285 --> 00:38:02.350]  Sign off on your emails with it and be part of the info war because you the viewers don't stand in front of us or beside us or behind us.
[00:38:02.350 --> 00:38:05.692]  You stand at the heart of the human awakening worldwide.
[00:38:05.692 --> 00:38:14.617]  Whether you be black, white, old, young, from Germany, from China, from Mexico, from Canada, from the United States, from Austria, from South Africa, or from Libya.
[00:38:14.617 --> 00:38:16.038]  It doesn't matter.
[00:38:16.038 --> 00:38:17.659]  Humans want freedom.
[00:38:17.659 --> 00:38:22.722]  We want a level playing field and we're exposing the global corporate robber baron king.
[00:38:22.722 --> 00:38:23.063]  We're good.
[00:38:37.418 --> 00:38:42.041]  We have to look at who is pulling the strings, who's orchestrating it, and who's controlling it.
[00:38:42.041 --> 00:38:46.504]  Alright, well, that's it for this special emergency transmission.
[00:38:46.504 --> 00:38:48.105]  You are the modern Paul Reveres.
[00:38:48.105 --> 00:38:53.369]  Get this information out to everybody you know, and we are literally going to see the fall of Bilderberg.
[00:38:53.689 --> 00:38:58.933]  The fall of the EU, the fall of this global tyranny, right as they try to launch it off the ground.
[00:38:58.933 --> 00:39:09.201]  Because this is the point where the tyranny emerges when the world government has announced, after all the denial, they're trying to bring down freedom, shut down web freedom right now.
[00:39:09.201 --> 00:39:10.862]  Now is the time to expose them.
[00:39:10.862 --> 00:39:14.085]  They're at their weakest right as they spread their wings.
[00:39:14.085 --> 00:39:19.469]  I'm Alex Jones signing off, and never forget, if you're watching this transmission, you are the resistance.
[00:39:20.401 --> 00:39:27.090]  All right, and as Alex Jones just pointed out, we're going to be sending reporters Paul Joseph Watson, Rob Due, and Josh Owens to Bilderberg.
[00:39:27.090 --> 00:39:27.831]  They're on their way right now.
[00:39:27.831 --> 00:39:34.700]  We're going to have a report, an update from Rob Due in the next segment, giving us an update at the airport, how things are going, because we
[00:39:35.401 --> 00:39:41.065]  Typically run into a lot of just maybe coincidental travel problems when we go to Bilderberg, it seems like.
[00:39:41.065 --> 00:39:48.450]  We had more than our share of them last year with things being cancelled on us, car reservations and so forth.
[00:39:48.450 --> 00:39:49.731]  Very strange.
[00:39:49.731 --> 00:39:52.633]  But anyway, we're going to have a report from Rob Dew at the airport.
[00:39:52.633 --> 00:39:53.694]  Support us this next week.
[00:39:53.874 --> 00:39:58.496]  We're going to be, as Alex Jones pointed out, broadcasting the Nightly News live.
[00:39:58.496 --> 00:40:00.737]  That's normally a subscription service.
[00:40:00.737 --> 00:40:03.097]  We do make it available the day after on YouTube.
[00:40:03.097 --> 00:40:04.758]  You can see it with YouTube subscriptions.
[00:40:04.758 --> 00:40:11.721]  But if you subscribe to Prison Planet and support us with your paid subscription there, that's something you can share with 20 people.
[00:40:12.601 --> 00:40:13.281]  We're good to go.
[00:40:34.989 --> 00:40:43.278]  Now, of course, with everything that's going on, you need a few drops of this just to get a powerful dose of a key essential nutrient, iodine.
[00:40:43.278 --> 00:40:47.342]  And, of course, it's in one of the best forms you can find the iodine, nascent iodine.
[00:40:47.342 --> 00:40:51.207]  And our X2 iodine comes from thousands of feet within the Earth.
[00:40:51.727 --> 00:40:55.488]  We run radiation tests before we even accept the pure raw iodine.
[00:40:55.488 --> 00:41:02.830]  It's now time to get prepared to have something in your medicine closet for yourself as well as for your everyday health as a supplement.
[00:41:02.830 --> 00:41:05.831]  Survival Shield X2 from InfoWars Life.
[00:41:05.831 --> 00:41:07.032]  I take it every day.
[00:41:07.032 --> 00:41:08.572]  My family takes it every day.
[00:41:08.572 --> 00:41:11.013]  Secure yours at InfoWarsLife.com.
[00:41:12.133 --> 00:41:20.699]  Now, as Alex was pointing out with Bilderberg, we're going to take a look, as I said in the next segment, we're going to have an update from Rob Dew as to the travel arrangements, as to what's going on with them.
[00:41:20.699 --> 00:41:25.742]  But I want to take a look also at the origin and the history of Bilderberg.
[00:41:25.742 --> 00:41:31.026]  You know, last year marked the 60th anniversary of the first meeting of the Bilderberg Group.
[00:41:31.026 --> 00:41:38.351]  This year marks the 60th anniversary of their plans to create the European Union and the Euro currency.
[00:41:39.091 --> 00:41:39.852]  That's very important.
[00:41:39.852 --> 00:41:52.060]  If we go back and look at an article that came out in 2009 from Paul Joseph Watson, leaked 1955 Bilderberg docs outline a plan for a single European currency.
[00:41:52.060 --> 00:41:59.525]  And he points out the global elite spoke of the agenda to create the euro nearly 40 years before it was first codified in the 1992 Maastricht Treaty.
[00:42:01.286 --> 00:42:04.970]  Now the interesting thing is they are calling it a European Union.
[00:42:04.970 --> 00:42:06.691]  They are calling it a treaty.
[00:42:06.691 --> 00:42:13.638]  We have achieved essentially a North American Union through a North American Free Trade Agreement.
[00:42:13.638 --> 00:42:17.602]  They always like to make it a little bit more subversive for us.
[00:42:17.602 --> 00:42:18.964]  I guess the Europeans are
[00:42:19.938 --> 00:42:29.802]  Not quite as suspicious, but we do have a lot of people in America that are dumbed down enough, I guess, that they wouldn't understand the difference between a union and a trade treaty.
[00:42:29.802 --> 00:42:36.665]  But going back and looking at the history of this, it's very interesting to see how they brought this in gradually.
[00:42:37.085 --> 00:42:42.929]  And of course, as Alex pointed out, the same people that head the Bilderberg head all these other different groups like the Trilateral Commission.
[00:42:42.929 --> 00:42:49.313]  We're going to talk about Zbigniew Brzezinski and how he outlined how they would move gradually to global governance when we come back.
[00:42:49.313 --> 00:42:49.753]  Stay with us.
[00:42:49.753 --> 00:42:50.314]  We'll be right back.
[00:42:59.907 --> 00:43:05.049]  Introducing Secret 12, the new InfoWars Life vitamin B12 formulation.
[00:43:05.049 --> 00:43:11.171]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[00:43:11.171 --> 00:43:15.952]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:43:15.952 --> 00:43:19.533]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:43:19.533 --> 00:43:21.094]  No needles, no injections.
[00:43:21.494 --> 00:43:27.856]  Secure your revolutionary secret 12 formula right now at Infowarslife.com or call 888-253-3139.
[00:43:27.856 --> 00:43:30.757]  Alex Jones here.
[00:43:30.757 --> 00:43:39.740]  For the last two years, I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[00:43:40.020 --> 00:43:43.842]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[00:43:43.842 --> 00:43:52.148]  Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[00:43:52.148 --> 00:43:54.469]  Visit Infowarslife.com or call 1-888-253-3139.
[00:43:54.469 --> 00:43:55.510]  That's Infowarslife.com.
[00:43:59.423 --> 00:44:19.183]  Ladies and gentlemen, you haven't really ever heard firearms manufacturers as sponsors on my syndicated radio show, or the nightly news, or the news website, InfoWars.com, because the companies I've been approached by were not the highest quality, and they weren't as affordable as they should be, so I refused probably 30, 40 firearms manufacturers over the years.
[00:44:19.183 --> 00:44:19.604]  Well then,
[00:44:19.924 --> 00:44:23.988]  About six months ago, we get contacted by Head Down Firearms.
[00:44:23.988 --> 00:44:25.529]  Hdfirearms.com.
[00:44:25.529 --> 00:44:28.852]  Owned and run by a bunch of former Navy SEALs and Special Ops people.
[00:44:28.852 --> 00:44:33.977]  They're veterans, they're patriots, they're listeners of the radio show, and they want to support the broadcast.
[00:44:33.977 --> 00:44:34.838]  It's always about security.
[00:44:34.938 --> 00:44:35.338]  I think so.
[00:44:59.406 --> 00:45:00.667]  Another major health threat.
[00:45:00.667 --> 00:45:05.629]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:45:05.629 --> 00:45:08.310]  Ohio's governor declaring a state of emergency.
[00:45:08.310 --> 00:45:15.353]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:45:15.353 --> 00:45:18.354]  If there's a water emergency, will you be prepared?
[00:45:18.354 --> 00:45:21.295]  Panicked residents forming long lines throughout the day.
[00:45:21.295 --> 00:45:23.316]  We're here at a supermarket in Toledo.
[00:45:23.316 --> 00:45:26.117]  You can see the shelves empty where water once was.
[00:45:26.237 --> 00:45:31.964]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:45:31.964 --> 00:45:35.468]  Water which will not be available at your local grocery store.
[00:45:35.468 --> 00:45:38.572]  There's a mad dash on right now to stock up on supplies.
[00:45:38.572 --> 00:45:42.837]  The ProPure Pro1 G2.0 water filtration system is a must-have.
[00:45:43.097 --> 00:45:45.880]  For every modern independently minded household.
[00:45:45.880 --> 00:45:49.103]  Protect your family's safety during an emergency.
[00:45:49.103 --> 00:45:55.530]  Go to Infowarsstore.com today to purchase your ProPure Pro1 G2.0 water filtration system.
[00:45:55.530 --> 00:45:56.090]  Or call 1-888-253-3139.
[00:45:59.153 --> 00:46:06.357]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:46:06.357 --> 00:46:16.063]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:46:16.063 --> 00:46:21.746]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic
[00:46:21.766 --> 00:46:23.407]  Toxic artificial additives.
[00:46:23.407 --> 00:46:31.235]  Infowarslife.com developed Silver Bullet by closely working with one of the top silver manufacturing labs in the United States.
[00:46:31.235 --> 00:46:34.918]  We set out to bring you the very best at the lowest price.
[00:46:34.918 --> 00:46:39.902]  Find out more about the proprietary development of Silver Bullet at Infowarslife.com.
[00:46:39.902 --> 00:46:44.306]  In these times, it's essential to have high-quality, loyal silver on hand.
[00:46:44.306 --> 00:46:47.349]  No survival chest is complete without Silver Bullet.
[00:46:47.349 --> 00:46:48.410]  Exclusively available
[00:46:48.730 --> 00:46:50.551]  You're listening to the Alex Jones Show!
[00:47:18.484 --> 00:47:24.668]  It's always a tough vote because the average person thinks raising the debt ceiling must mean that we're running up our debt.
[00:47:24.668 --> 00:47:30.431]  Raising the debt ceiling, which has been done over a hundred times, does not increase our debt.
[00:47:30.431 --> 00:47:33.793]  It does not somehow promote profligacy.
[00:47:33.793 --> 00:47:37.656]  All it does is it says, you've got to pay the bills that you've already racked up, Congress.
[00:47:37.656 --> 00:47:41.858]  You're listening to the Alex Jones Show.
[00:47:51.368 --> 00:47:52.769]  Welcome back to the Alex Jones Show.
[00:47:52.769 --> 00:47:54.070]  I'm David Knight in studio.
[00:47:54.070 --> 00:47:58.093]  We've had Alex Jones popping in and co-hosting with me today.
[00:47:58.093 --> 00:48:03.557]  He also has a report that we're going to get to about the Trans-Pacific Partnership, the TPP.
[00:48:03.557 --> 00:48:04.458]  What's going on with that?
[00:48:05.254 --> 00:48:11.881]  Of course, a lot of people are starting to wake up and understand that we shouldn't have government conducted in secret.
[00:48:11.881 --> 00:48:18.528]  And that's precisely the fundamental issue about these so-called partnerships that are being negotiated right now.
[00:48:18.528 --> 00:48:19.689]  It's a total outrage.
[00:48:19.689 --> 00:48:22.452]  But this has been going on for a very long time.
[00:48:22.452 --> 00:48:25.915]  It's been going on for decades with groups like the Bilderberg Group.
[00:48:26.576 --> 00:48:42.867]  That's precisely the core problem with the Bilderberg Group, that they could meet secretly between government and corporations and the military and the intelligence services, that they could have these private meetings where we now know, looking at some of the documents that have come out, that they planned
[00:48:43.847 --> 00:48:48.871]  The European Union, the euro single currency, many other things that have come out.
[00:48:48.871 --> 00:48:56.836]  We understand that these are things have been crafted together in secret by corporations working with government, the largest corporations working with government.
[00:48:56.836 --> 00:48:58.797]  It's no longer a conspiracy theory.
[00:48:58.797 --> 00:49:06.022]  It's pretty obvious what's going on now because we are in the final stages of what they've been working on for many, many decades.
[00:49:06.022 --> 00:49:08.523]  Of course, the first Bilderberg meeting was 61 years ago.
[00:49:10.285 --> 00:49:14.669]  Sixty years ago, they created the plan for the European Union and the Euro.
[00:49:14.669 --> 00:49:20.575]  Now, on the way to cover Bilderberg, we have Rob Dew and Josh Owens are headed out.
[00:49:20.575 --> 00:49:30.765]  He just filed a report about their trip at the airport, talking to people, see if they understand, even now, what's going on with the Bilderberg Group.
[00:49:30.765 --> 00:49:31.526]  Here's that report.
[00:49:34.483 --> 00:49:36.604]  Rob Dew reporting for InfoWars.com.
[00:49:36.604 --> 00:49:38.465]  We are in O'Hare International Airport.
[00:49:38.465 --> 00:49:42.667]  We have about a three-hour layover before we get on the flight going to Austria.
[00:49:42.667 --> 00:49:48.570]  We're actually going to make a stop in Frankfurt, Germany and then head into Austria, but covering this year's Bilderberg.
[00:49:48.570 --> 00:49:53.452]  So while we were here at three hours, had some time to think, I got to read a few articles.
[00:49:53.452 --> 00:50:01.716]  There's one written by, or I guess co-written by, Christine Jimenez, and she's talking about one of the people who will be coming to this year's Bilderberg, a
[00:50:02.616 --> 00:50:07.621]  Eduardo Barrasso, who is the Prime Minister of Portugal, who's also head of the Steering Committee.
[00:50:07.621 --> 00:50:13.027]  Interestingly enough, he was invited to a couple of Bilderberg meetings before he became Prime Minister.
[00:50:13.027 --> 00:50:17.551]  So that's a theme we see a lot of these elites getting invited to these things.
[00:50:17.551 --> 00:50:20.414]  They kind of get sniffed out to see if they're going to do what they're told.
[00:50:20.414 --> 00:50:22.316]  And then they get high positionships.
[00:50:22.316 --> 00:50:25.699]  He's also on the Steering Committee of Bilderberg, and he was Prime Minister of Portugal.
[00:50:27.147 --> 00:50:33.972]  Another thing that is really interesting is Alex is talking about how we're kind of 10 years ahead of what normal people think.
[00:50:33.972 --> 00:50:38.596]  Not a lot of people know what Bilderberg is, and I bet I could ask anyone here what it is.
[00:50:38.596 --> 00:50:41.638]  In fact, I'm gonna ask this fellow right here.
[00:50:41.638 --> 00:50:42.318]  Follow me over here.
[00:50:42.318 --> 00:50:43.919]  Hey, sir.
[00:50:43.919 --> 00:50:45.420]  Do you know what the Bilderberg Group is?
[00:50:45.420 --> 00:50:46.881]  No.
[00:50:46.881 --> 00:50:48.543]  You've never heard of it?
[00:50:48.543 --> 00:50:49.383]  No.
[00:50:49.383 --> 00:50:50.184]  What do you think it would be?
[00:50:53.849 --> 00:50:56.170]  A group, probably singers?
[00:50:56.170 --> 00:50:56.951]  That's pretty close.
[00:50:56.951 --> 00:50:57.911]  Let me tell you this.
[00:50:57.911 --> 00:51:06.555]  It's a group of elites between 120 and 150 that are going to get together in Austria this weekend, or this next week, and discuss world policy, but they do it all in secret.
[00:51:06.555 --> 00:51:12.018]  Now, do you think if 150 rock stars or movie stars got together somewhere, there'd be press everywhere and people would be interested in it?
[00:51:12.018 --> 00:51:12.778]  I think so.
[00:51:12.778 --> 00:51:16.400]  Yeah, so that's what's interesting about the Bilderberg Group, is it's total secrecy.
[00:51:16.400 --> 00:51:19.602]  They've got about 3,000 cops that are going to guard this
[00:51:20.582 --> 00:51:23.824]  Elite Hotel in the middle of nowhere in the Austrian Alps.
[00:51:23.824 --> 00:51:28.746]  Some of which, there's an elite commando group called Cobra that will also be helping out with security.
[00:51:28.746 --> 00:51:31.947]  What do you think of that?
[00:51:31.947 --> 00:51:35.629]  What's his name had to do with anything really?
[00:51:35.629 --> 00:51:38.230]  Well, because that was also the arch enemy of GI Joe.
[00:51:38.230 --> 00:51:44.573]  I think it's very interesting that there's there's an elite group of and they're also headquartered in a castle, which is also interesting.
[00:51:44.573 --> 00:51:44.733]  But
[00:51:46.306 --> 00:51:56.418]  This is elected officials that go to this, also billionaires, business owners, just really high-level people in Western Europe, United States and Canada get together.
[00:51:56.418 --> 00:51:58.180]  Some of our elected officials have been there.
[00:51:58.180 --> 00:52:00.703]  Did you know Hillary Clinton and Barack Obama actually went to it in 2012?
[00:52:00.703 --> 00:52:01.324]  No, I didn't know that.
[00:52:03.646 --> 00:52:08.009]  Rick Perry's been to it as well, and I think he went in Turkey back in 2007 or 2008.
[00:52:08.009 --> 00:52:09.911]  I don't know who's Rick Perry.
[00:52:09.911 --> 00:52:11.732]  Rick Perry was the governor of Texas for a long time.
[00:52:11.732 --> 00:52:13.073]  He's also a presidential candidate.
[00:52:13.073 --> 00:52:13.553]  Okay.
[00:52:13.553 --> 00:52:15.194]  So where are you from?
