[00:00:06.096 --> 00:00:09.438]  Friday, November 25th, 2022.
[00:53:02.851 --> 00:53:03.933]  And for a very simple reason.
[00:53:03.933 --> 00:53:05.816]  I mean, there's some very good things about this.
[00:53:06.894 --> 00:53:09.795]  And that is, you know, you can see where the real power is.
[00:53:09.795 --> 00:53:26.721]  I mean, these people control the banking system, the government system, they control the corporations, the major corporations, they control the media, they control Silicon Valley, and yet they're frightened of a few people standing up and pointing out what they're doing.
[00:53:26.721 --> 00:53:33.104]  So, you know, for them to be terrified of people like me, to the point they have to go to these incredible lengths,
[00:53:33.844 --> 00:53:35.685]  It just shows you where the real power is.
[00:53:35.685 --> 00:53:43.369]  If people would just wake up, stiffen their backbone and say, no, we're not cooperating with you.
[00:53:43.369 --> 00:53:47.191]  Without our cooperation or mass, they couldn't do this.
[00:53:50.457 --> 00:54:00.571]  It really is crazy to go back and read your books from 30 years ago and my films and work from over 25 years ago and it's all come true exactly like we said because we're just going off their own documents.
[00:54:00.571 --> 00:54:04.496]  I mean they're admitting at the WEF they want to silence all political opposition.
[00:54:05.457 --> 00:54:09.579]  They're talking about the London Guardian arresting people that question man-made global warming.
[00:54:09.579 --> 00:54:14.100]  You've got all the elites flying to these UN climate summits on private jets.
[00:54:14.100 --> 00:54:23.744]  You've got Extinction Rebellion harassing blue-collar workers getting their jobs, but never going and harassing the elites and openly being funded by the most powerful families on earth.
[00:54:23.744 --> 00:54:25.145]  I mean, they're out in the open.
[00:54:26.480 --> 00:54:27.820]  Saying they want to depopulate us.
[00:54:27.820 --> 00:54:31.382]  They're out in the open saying they want control of our bodies to put things in us.
[00:54:31.382 --> 00:54:33.102]  It's confirmed the shots don't work.
[00:54:33.102 --> 00:54:34.723]  It's confirmed they're killing us.
[00:54:34.723 --> 00:54:37.003]  I mean, it's just we're inside the New World Order, David.
[00:54:37.003 --> 00:54:38.784]  What comes next?
[00:54:38.784 --> 00:54:47.427]  Well, I'll tell you what, when the big pennies drop, they dropped for me a long time ago, is when you realize, Alex, that you're living
[00:54:48.294 --> 00:54:51.876]  In a lunatic asylum, that's basically what it is.
[00:54:51.876 --> 00:55:01.883]  And so you've got white people who can see the lunacy and you've got loads of actual lunatics that can't see it and think they're credible.
[00:55:01.883 --> 00:55:08.007]  They think they're challenging the system, for instance, when they are demanding everything the system wants.
[00:55:08.769 --> 00:55:27.924]  And so, you know, this cult, as I call it, this global cult, with all its different expressions like the World Economic Forum, that doesn't concern me anything like as much as the morons, and I keep using that word because it's appropriate, in the population.
[00:55:27.924 --> 00:55:36.510]  Because the number of people in full knowledge of what they're doing, compared with the global population now about to pass eight billion, is tiny.
[00:55:38.363 --> 00:55:44.078]  And they couldn't do what they're doing and they couldn't do what they want to do unless a vast tract
[00:55:46.381 --> 00:55:49.583]  ...of moronic members of the population.
[00:55:49.583 --> 00:55:53.506]  I mean, the Woker mentality is a classic.
[00:55:53.506 --> 00:56:00.711]  Would one just believe what they're told without question and just behave as they're told?
[00:56:00.711 --> 00:56:06.494]  This is what Extinction Rebellion and all these people are doing, the so-called liberals.
[00:56:06.494 --> 00:56:08.636]  They're actually fascistic, not liberal.
[00:56:09.516 --> 00:56:20.101]  They are campaigning and seeking to silence on the basis of what these billionaires and this cabal wants.
[00:56:20.101 --> 00:56:26.623]  They're playing their essential part in it and without those morons it wouldn't be possible.
[00:56:26.623 --> 00:56:37.788]  Without the moronic people who were shouting anti-fascist at me, the moronic people in this city ultra-Zionist organization, the moronic people in Extinction Rebellion,
[00:56:38.388 --> 00:56:45.197]  It would not have been possible to justify my ban not only from the Netherlands but so many other countries.
[00:56:45.197 --> 00:56:46.979]  It's the morons that are the problem.
[00:56:47.817 --> 00:56:54.338]  You know, the cult is trying to impose it, but without the morons it can't happen.
[00:56:54.338 --> 00:56:58.319]  And we need to call these people out and not be cowered by them.
[00:56:58.319 --> 00:57:06.501]  And again, for those who don't know, they're a literal death cult funded by the most rich people on earth saying we all need to die and the public needs to recognize that.
[00:57:06.501 --> 00:57:09.822]  We're going to go to break and come right back, but I want to ask you the big question, David Icke.
[00:57:09.822 --> 00:57:12.442]  I don't agree with David Rockefeller.
[00:57:12.442 --> 00:57:15.043]  I don't agree with Bill Gates and Klaus Schwab.
[00:57:15.043 --> 00:57:16.043]  We should just kill everybody.
[00:57:16.983 --> 00:57:22.134]  But if the public's that dumb and is caught in this trance through their social Darwinistic
[00:57:23.956 --> 00:57:26.358]  People deserve it, except children don't deserve it.
[00:57:26.358 --> 00:57:28.000]  They don't deserve to be injected with deadly shots.
[00:57:28.000 --> 00:57:31.423]  If some leftist idiot wants to take poison shots and die, that's their issue.
[00:57:31.423 --> 00:57:32.824]  But the children don't deserve it.
[00:57:32.824 --> 00:57:41.192]  We'll come right back on the other side and talk about where this is all headed with the iconic David Icke of DavidIcke.com and Alex Jones of InfoWars.com and Banned.Video.
[00:57:41.192 --> 00:57:43.414]  Sharing those links is a revolutionary act.
[00:57:43.414 --> 00:57:45.135]  Share all three now.
[00:57:45.135 --> 00:57:47.718]  DavidIcke.com, InfoWars.com, Banned.Video.
[00:57:50.447 --> 00:57:52.169]  Thanksgiving 2022 is here.
[00:57:52.169 --> 00:57:55.173]  We've got the biggest sale of the year going right now.
[00:57:55.173 --> 00:58:00.981]  Now the good news is I'm going to extend this sale up to 60% off right through Christmas.
[00:58:00.981 --> 00:58:05.207]  The bad news is by Christmas almost every product in the store will be sold out.
[00:58:05.467 --> 00:58:07.570]  We won't get more for months and months and months.
[00:58:07.570 --> 00:58:12.036]  So now is the time to take action to support the InfoWar and get the biggest sales of the year.
[00:58:12.036 --> 00:58:17.964]  We've already sold out of X2 and X3 and BioTruth Selenium and our Wake Up America award-winning coffee.
[00:58:17.964 --> 00:58:22.129]  And now, DNA Force Plus, Vitamin Refusion, Body's Ultimate Turmeric Formula.
[00:58:23.130 --> 00:58:28.973]  So many other great products like Ultimate Krill Oil, Ultimate Finish Oil, Vazo Beats, Secret 12.
[00:58:28.973 --> 00:58:33.295]  They are all going to sell out in the next few weeks or in the next month.
[00:58:33.295 --> 00:58:35.876]  Again, more stuff is going to sell out today.
[00:58:35.876 --> 00:58:40.258]  So every hour you wait, more stuff will be sold out at infowarstore.com.
[00:58:40.258 --> 00:58:46.941]  Promo code 1776 and you get an additional 10% off the already giant savings at infowarstore.com.
[00:58:46.941 --> 00:58:48.242]  Thank you so much for your support.
[00:58:48.242 --> 00:58:48.662]  God bless.
[00:58:50.427 --> 00:58:56.412]  I'm Dr. Peter McCullough and it's an absolute pleasure to introduce to you The Wellness Company.
[00:58:57.719 --> 00:59:08.107]  An alternative healthcare system for this COVID and post-COVID world where trust has been lost in doctors and healthcare systems.
[00:59:08.107 --> 00:59:20.837]  This new online virtual platform is nationwide providing uncensored content, virtual appointments, laboratory testing, diagnostics, prescriptions,
[00:59:21.517 --> 00:59:33.024]  Treatment packages specifically for COVID, post COVID, vaccine injury syndromes, and all the usual things that are seen in primary care.
[00:59:33.024 --> 00:59:41.230]  And then we have an entire array of holistic products, an online store, media, and health advice.
[00:59:41.230 --> 00:59:49.395]  Come see The Wellness Company and go to onlinehealthnow.com as a conduit to The Wellness Company.
[00:59:51.900 --> 00:59:57.808]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[01:00:18.184 --> 01:00:24.628]  All right, I'm going to cover the waterfront the next hour, and then we're going to take your calls, other special guests, cover the latest election news right through midnight.
[01:00:24.628 --> 01:00:27.689]  But David Icke's been listed as a Class 3 terrorist.
[01:00:27.689 --> 01:00:29.891]  We'll talk more about that next segment, what that means.
[01:00:29.891 --> 01:00:32.332]  He also wants to get into Elon Musk and Twitter.
[01:00:32.332 --> 01:00:37.555]  But right now, I wanted you to briefly, in this short segment, talk about all the demonization, all the attacks.
[01:00:37.555 --> 01:00:40.236]  We've experienced more support than ever, more love than ever.
[01:00:40.236 --> 01:00:40.877]  I went out...
[01:00:42.179 --> 01:00:57.227]  For my wife's 44th birthday, to a very popular restaurant that liberals go to, I was mobbed by men and women, particularly, I guess people love the villain, the media says I'm the villain, not trying to brag, but it was a little crazy how many women were literally like I was Elvis Presley.
[01:00:57.227 --> 01:00:58.427]  Something's happening.
[01:00:58.427 --> 01:00:59.868]  This is not working, David.
[01:00:59.868 --> 01:01:01.409]  Are you experiencing what I'm experiencing?
[01:01:02.586 --> 01:01:03.507]  Oh, exactly.
[01:01:03.507 --> 01:01:16.755]  And what's happened in the Netherlands is, you know, I was pretty known in the Netherlands, a bit notorious and also very, very popular with a lot of people because of what I've been saying all these decades.
[01:01:16.755 --> 01:01:23.600]  But what the media have done and the government has done is just make me one of the most famous people in the Netherlands.
[01:01:23.600 --> 01:01:28.663]  In fact, probably the most famous in many ways over the last two weeks, because I was it was everywhere.
[01:01:28.663 --> 01:01:29.304]  And by the way,
[01:01:29.924 --> 01:01:38.771]  While I was everywhere being demonized in the media, not one of those media organizations ever contacted me to ask for a comment.
[01:01:38.771 --> 01:01:45.796]  They had all these discussions on their radio and television programs and their newspaper stuff, not once
[01:01:45.916 --> 01:01:54.321]  That's what I asked for, for a comment, because they want to demonize you, and you've experienced this in the court cases.
[01:01:54.321 --> 01:02:03.245]  They want to demonize you, but they don't want you to have a platform to say what you are saying, and they don't want people to hear.
[01:02:03.245 --> 01:02:11.330]  So what are they, because we're not bragging more than ever, it just shows the public's not buying it, what are they going to do with the paradox as they try to silence us and only makes us bigger, the Streisand effect?
[01:02:12.321 --> 01:02:18.567]  Yeah, well this is, what's happened, and I've had many, many messages like this.
[01:02:18.567 --> 01:02:27.516]  People in the Netherlands that didn't really know about me, or even know of me, were saying, hold on a minute, what is this guy saying that's getting this massive?
[01:02:28.936 --> 01:02:30.217]  What's going on?
[01:02:30.217 --> 01:02:35.859]  And they look at what you're saying and they go, oh my God, I can see why they want to ban him now.
[01:02:35.859 --> 01:02:38.479]  And it gets bigger and bigger and bigger and bigger.
[01:02:38.479 --> 01:02:45.022]  The more they try to demonize you, the more people are attracted to ask the question, but what's he saying then?
[01:02:45.022 --> 01:02:50.883]  And then they see what you're saying and more and more people start to see stuff they wouldn't otherwise have seen.
[01:02:50.883 --> 01:02:52.504]  I could have gone into Amsterdam.
[01:02:53.144 --> 01:03:01.589]  On the weekend, I could have spoken for half an hour in front of a group of people in the square and I would have gone home.
[01:03:01.589 --> 01:03:04.530]  But instead, I've been all over the Netherlands.
[01:03:04.530 --> 01:03:05.691]  In fact, all over the world.
[01:03:05.691 --> 01:03:08.172]  This story has been covered all over the world.
[01:03:08.172 --> 01:03:08.893]  And so,
[01:03:10.493 --> 01:03:13.716]  In a way, it's almost like a panic.
[01:03:13.716 --> 01:03:30.767]  We've got to silence them, but if we try to do it in this panic, extreme, massively over-the-top way with you and then with me here, then you're going to alert people to see that actually there's something going on.
[01:03:31.287 --> 01:03:40.071]  And when then people start to realise that you've been saying that current events were coming for decades, then they start to get even more interested.
[01:03:40.071 --> 01:03:45.914]  So it's almost, what's that old saying, no publicity is bad publicity?
[01:03:45.914 --> 01:03:51.497]  Well that's in so many ways what we're looking at, because the people who demonise you,
[01:03:52.217 --> 01:03:53.519]  Thank you very much.
[01:04:11.226 --> 01:04:12.587]  Beautifully said, David.
[01:04:12.587 --> 01:04:13.027]  Wow.
[01:04:13.027 --> 01:04:23.032]  When we come back, we're going to get into that big question I posed before the break about, we don't want to kill the dumbed-down masses, but the globalist social Darwinism is, if they don't know we're killing them, they deserve it.
[01:04:23.032 --> 01:04:24.493]  How do we deal with that paradox?
[01:04:24.493 --> 01:04:25.614]  Then you want to talk about Elon Musk.
[01:04:25.614 --> 01:04:27.294]  I wanted to get you on about Elon Musk.
[01:04:27.294 --> 01:04:29.956]  We've got some big Twitter news with you and Elon Musk.
[01:04:29.956 --> 01:04:31.837]  It's all coming up with David Icke.
[01:04:31.837 --> 01:04:34.698]  And David, the best site is DavidIcke.com or Iconic?
[01:04:34.698 --> 01:04:35.379]  DavidIcke.com?
[01:04:36.631 --> 01:04:37.492]  Really?
[01:04:37.492 --> 01:04:48.242]  One's a massive media platform with original news shows and original documentaries, and DavidIke.com is the hub where all my stuff is on.
[01:04:48.242 --> 01:04:53.988]  All right, David Ike, the icon of human liberty and expanding our awareness, is our guest.
[01:04:53.988 --> 01:04:56.390]  We'll be back in 60 seconds, so everybody, you know, tune in now.
[01:04:59.531 --> 01:05:01.733]  We've got some good news and bad news.
[01:05:01.733 --> 01:05:06.937]  InfoWars is running the biggest sale of 2022 right now on our amazing products.
[01:05:06.937 --> 01:05:10.280]  Your chance to empower your body, your health, your immune system, and more.
[01:05:10.280 --> 01:05:11.440]  Ancubus on the air.
[01:05:11.440 --> 01:05:12.481]  A win-win.
[01:05:12.481 --> 01:05:17.846]  The bad news is a bunch of our best-selling products have already sold out because of supply chain breakdowns.
[01:05:17.846 --> 01:05:21.008]  It'll be months and months until these great products come back in.
[01:05:21.008 --> 01:05:22.349]  X3 sold out.
[01:05:22.349 --> 01:05:22.750]  Our great
[01:05:23.490 --> 01:05:26.333]  American Coffee Blend has sold out.
[01:05:26.333 --> 01:05:28.075]  Biotrin Selenium has sold out.
[01:05:28.075 --> 01:05:41.108]  But what hasn't sold out is DNA Force Plus, Vitamin Mineral Fusion, Body's Ultimate Turmeric Formula, Whole Food Multivitamin, Rain Force Ultra, Super Mel Vitality, and so much more.
[01:05:41.548 --> 01:05:47.093]  So, you've only got a few weeks to get these products at the lowest price you're ever going to find them.
[01:05:47.093 --> 01:05:48.093]  Don't fight the crowds.
[01:05:48.093 --> 01:05:49.334]  Don't fight the traffic.
[01:05:49.334 --> 01:05:51.896]  Don't do all your Christmas shopping in a month like a fool.
[01:05:51.896 --> 01:05:53.057]  Do it now.
[01:05:53.057 --> 01:05:53.938]  Get it all over with.
[01:05:53.938 --> 01:05:55.059]  Get a great deal.
[01:05:55.059 --> 01:05:57.381]  Keep InfoWars on the air while empowering your body.
[01:05:57.381 --> 01:05:58.702]  InfoWarsStore.com.
[01:06:09.309 --> 01:06:16.114]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight?
[01:06:16.114 --> 01:06:18.296]  You better believe you got one!
[01:06:18.296 --> 01:06:25.421]  From the front lines of the Information War, it's Alex Jones.
[01:06:44.454 --> 01:06:51.056]  From the front lines of the Information War, it's Alex Jones.
[01:07:04.281 --> 01:07:11.085]  Alright, we have coming up after David leaves us massive news of election fraud by the Democrats across the country.
[01:07:11.085 --> 01:07:12.266]  Video of it.
[01:07:12.266 --> 01:07:14.407]  Machines shutting down in the key districts.
[01:07:14.407 --> 01:07:15.868]  Democrats saying it will go for weeks.
[01:07:15.868 --> 01:07:17.469]  So much more.
[01:07:17.469 --> 01:07:21.111]  But David Icke is target number one right now for the New World Order.
[01:07:21.111 --> 01:07:26.875]  Listed by the EU as a level three terrorist for calling for peace and an end to war.
[01:07:28.052 --> 01:07:28.353]  Thank you.
[01:07:38.459 --> 01:07:49.522]  You were talking about how you've got to be a complete moron to not see the world government, the tyranny, and the deadly shots, and the surveillance, and the control now, and the very fact that these are tyrants we're dealing with, the bad guys.
[01:07:49.522 --> 01:07:52.103]  So then doesn't the public, going along with it, deserve it?
[01:07:52.103 --> 01:07:55.324]  But the children don't deserve it, and most of the public's still in a trance.
[01:07:55.324 --> 01:07:59.085]  But I saw national polls, the Democrats even did, they're shocked by it.
[01:07:59.085 --> 01:08:03.166]  Forty-four percent of voters think they're shadow evil cabals are running things.
[01:08:04.467 --> 01:08:08.830]  50 plus percent of Republicans, 37 percent of Democrats, 40 plus percent of Independents.
[01:08:08.830 --> 01:08:13.613]  So there's a real awakening happening, but there's still those that are in a trance.
[01:08:13.613 --> 01:08:16.756]  It seems there's a splitting apart right now.
[01:08:16.756 --> 01:08:27.424]  So how do we deal with the social Darwin idea that those in the public that fail the IQ test and go and take the shot and get sick and die, well in a way the globalists are doing us a favor.
[01:08:27.424 --> 01:08:29.445]  But that's buying into their mindset.
[01:08:29.445 --> 01:08:31.066]  They're trying to dumb everybody down.
[01:08:31.066 --> 01:08:32.928]  How do we thread the needle on that concept?
[01:08:34.269 --> 01:08:39.152]  Well, you see, there's a massive parting of the ways.
[01:08:39.152 --> 01:08:45.837]  But it doesn't have to be, you know, this group is going that way and that group's going that way.
[01:08:45.837 --> 01:08:56.785]  There can be movement from the group that is responsible for what's going on, and they are, to the ones that are awakening to it.
[01:08:56.785 --> 01:08:59.987]  Because if you break it down, there's three types of people.
[01:09:00.840 --> 01:09:04.384]  And two of them are responsible for this tyranny.
[01:09:04.384 --> 01:09:09.169]  Yes, this cult is trying to impose it, but they can't without these two groups.
[01:09:09.169 --> 01:09:14.394]  One is that which just believes what they're told without question.
[01:09:14.394 --> 01:09:20.280]  So you have the global warming human-caused climate change believers,
[01:09:20.880 --> 01:09:24.642]  Who are just repeating what they've been told to believe.
[01:09:24.642 --> 01:09:26.464]  They don't have a mind of their own.
[01:09:26.464 --> 01:09:27.164]  They don't think.
[01:09:27.164 --> 01:09:27.904]  They don't question.
[01:09:27.904 --> 01:09:28.845]  They don't research.
[01:09:28.845 --> 01:09:30.286]  They repeat.
[01:09:30.286 --> 01:09:40.572]  And this unquestioning group that just do whatever they're told without thinking or questioning, we saw that classically in Covid, that's what they are.
[01:09:40.572 --> 01:09:42.333]  They are repeaters.
[01:09:42.333 --> 01:09:48.437]  They haven't got an original thought in their head because they haven't had a thought in their head that someone else hasn't put there.
[01:09:49.097 --> 01:09:49.277]  Thank you.
[01:10:09.278 --> 01:10:20.940]  I've been responsible for every tyranny in history, because fascism is not brought in by fascists, communism, whatever you want to call it, because there's never enough of them.
[01:10:20.940 --> 01:10:27.621]  Fascism and communism is brought in by the public's acquiescence to the communists and the fascists.
[01:10:27.621 --> 01:10:32.322]  And these are the two groups that have got us where we are now.
[01:10:32.322 --> 01:10:35.423]  Then the third group, which is getting bigger, it is.
[01:10:37.218 --> 01:10:49.061]  Are those that can see it, they're the real renegades, the ones that can see it and they're seeing more of it as we move forward and they're not prepared to cooperate with it.
[01:10:49.061 --> 01:10:59.004]  They're not prepared to just believe it without question and they're not prepared to have their backbone vibrating like a jelly.
[01:11:00.225 --> 01:11:04.628]  And therefore do what they really don't want to do because they're frightened of not doing it.
[01:11:04.628 --> 01:11:11.392]  This is the renegade group that is the only group that can bring this down.
[01:11:11.392 --> 01:11:16.896]  Because it's the only group that will act in ways that remove the cause of the problem.
[01:11:16.896 --> 01:11:24.922]  And the cause of the problem is human acquiescence in the form of unquestioning obedience and belief.
[01:11:25.522 --> 01:11:29.945]  And the other one, in fear of not doing what you're told.
[01:11:29.945 --> 01:11:41.714]  The only group that can bring this down, or any other tyranny in history, it's the group that's brought down every tyranny in history, those that see it and are not bloody having it.
[01:11:41.714 --> 01:11:51.722]  And that's why no matter what they throw at me, throw at you, and all the rest of it, we must get stronger as a result of it, not weaker, because as they throw this
[01:11:52.668 --> 01:11:53.950]  Thank you very much.
[01:12:11.227 --> 01:12:13.468]  stand up to public debate.
[01:12:13.468 --> 01:12:21.552]  Not the climate changers, not the the wokers, not the transgender activists, not the World Economic Forum.
[01:12:21.552 --> 01:12:24.954]  It will not stand up to scrutiny and debate.
[01:12:24.954 --> 01:12:29.997]  And because they fear that and they know that, they have to stop the debate.
[01:12:29.997 --> 01:12:35.579]  And that's what they're doing with this hysterical censorship.
[01:12:35.579 --> 01:12:38.221]  The more hysterical the censorship gets,
[01:12:38.961 --> 01:12:50.224]  They're just betraying how frightened they are of other forms of information that unravel and destroy what they're trying to get people to believe.
[01:12:50.224 --> 01:12:58.166]  The bottom line of all this, the stadium in which this is all played out, is human perception.
[01:12:58.566 --> 01:13:04.169]  That's what they have to control to get billions of people to do what they want.
[01:13:04.169 --> 01:13:09.692]  So, human perception, authority knows best, I must believe what authority says.
[01:13:09.692 --> 01:13:15.515]  Human perception, oh well, I don't want to do it, but what the consequences of not doing it.
[01:13:15.515 --> 01:13:19.877]  Human perception, I can see it and I'm not bloody having it.
[01:13:19.877 --> 01:13:26.461]  And they are the perceptions that we're looking at, and the third one is the only one that can bring this down.
[01:13:29.451 --> 01:13:31.972]  Perfectly said.
[01:13:31.972 --> 01:13:37.973]  David, I've got a lot of other questions for you in general, but with just three minutes to break.
[01:13:37.973 --> 01:13:40.154]  Obviously, we know the Republican Party isn't perfect.
[01:13:40.154 --> 01:13:43.635]  They got a lot of evil people at the top, but there is a populist movement taking it over.
[01:13:43.635 --> 01:13:46.556]  Other populist movements in Brazil and Sweden and everywhere else.
[01:13:46.556 --> 01:13:48.497]  The system's after it.
[01:13:48.497 --> 01:13:55.078]  What do you make of the midterms here and the already evidence is coming out of mounting fraud?
[01:13:55.078 --> 01:13:56.759]  What's your gut level view on that?
[01:13:58.504 --> 01:14:02.226]  Well, you're not supposed to say it, but anyway, I couldn't care less.
[01:14:02.226 --> 01:14:07.008]  I mean, it's obvious that the last presidential election was stolen.
[01:14:07.008 --> 01:14:18.033]  I mean, how you get more votes for Biden than any other presidential candidate in history when he's clearly senile and hardly left his bunker for the entire election campaign.
[01:14:18.033 --> 01:14:18.914]  I mean, hello?
[01:14:18.914 --> 01:14:21.915]  I mean, how much evidence do you need beyond that even?
[01:14:21.915 --> 01:14:22.956]  It's ridiculous.
[01:14:23.636 --> 01:14:35.570]  And so when you are doing things, and you're pushing an agenda, which actually even a lot of Democrats have started to go, well, hold on a minute, this is the best stream now, innit?
[01:14:35.570 --> 01:14:36.891]  You have to
[01:14:39.614 --> 01:14:41.015]  Manipulate elections.
[01:14:41.015 --> 01:14:49.142]  You have to use fear and all the rest of the techniques that they use because you're losing the population.
[01:14:49.142 --> 01:14:52.825]  The population doesn't want what you're doing.
[01:14:52.825 --> 01:15:05.335]  You look at what's happening, not just in the United States, but around the world, where inflation and energy prices and food prices and all these things are making the basic survival of families and people
[01:15:05.835 --> 01:15:08.296]  Nigh impossible and ever more so.
[01:15:08.296 --> 01:15:22.183]  The World Economic Forum controlled Netherlands, which is why this has happened to me, run by this WEF agent called Mark Rutter, the Prime Minister.
[01:15:22.183 --> 01:15:30.907]  Remember, he's the one that's targeting hundreds and hundreds of Dutch farmers to destroy their ability to produce... Hold on David, we've got to go to break.
[01:15:30.947 --> 01:15:32.969]  Because I want to get to Elon Musk, we'll do that at the bottom of the hour.
[01:15:32.969 --> 01:15:37.452]  Next segment, let's get into your new Prime Minister, tied into the carbon taxes, WUF.
[01:15:37.452 --> 01:15:39.954]  Let's get into the Netherlands, how they put their operatives everywhere.
[01:15:39.954 --> 01:15:43.377]  And now there's a big awakening to that, and major political opposition to it.
[01:15:43.377 --> 01:15:45.819]  But that's a very important point.
[01:15:45.819 --> 01:15:50.623]  Shut down the farms, when the Netherlands is what, the fourth biggest producer of food in the world.
[01:15:50.623 --> 01:15:52.184]  And they want to starve people to death.
[01:15:52.184 --> 01:15:54.566]  David Icke.
[01:15:54.566 --> 01:15:55.447]  David Icke's our guest.
[01:15:55.447 --> 01:15:56.688]  DavidIcke.com.
[01:15:56.688 --> 01:15:57.388]  We'll be right back.
[01:15:57.388 --> 01:15:57.749]  Stay with us.
[01:15:59.019 --> 01:16:00.861]  Thanksgiving 2022 is here.
[01:16:00.861 --> 01:16:03.865]  We've got the biggest sale of the year going right now.
[01:16:03.865 --> 01:16:09.673]  Now, the good news is I'm going to extend this sale up to 60% off right through Christmas.
[01:16:09.673 --> 01:16:13.879]  The bad news is by Christmas, almost every product in the store will be sold out.
[01:16:14.159 --> 01:16:16.241]  We won't get more for months and months and months.
[01:16:16.241 --> 01:16:20.725]  So now is the time to take action to support the InfoWar and get the biggest sales of the year.
[01:16:20.725 --> 01:16:26.631]  We've already sold out of X2 and X3 and BioTruth Selenium and our Wake Up America award-winning coffee.
[01:16:26.631 --> 01:16:30.795]  And now, DNA Force Plus, VitaMineral Fusion, Body's Ultimate Turmeric Formula.
[01:16:31.816 --> 01:16:37.658]  So many other great products like Ultimate Krill Oil, Ultimate Finish Oil, Vaz-O-Beats, Secret 12.
[01:16:37.658 --> 01:16:41.960]  They are all going to sell out in the next few weeks or in the next month.
[01:16:41.960 --> 01:16:44.560]  Again, more stuff is going to sell out today.
[01:16:44.560 --> 01:16:48.922]  So every hour you wait, more stuff will be sold out at infowarstore.com.
[01:16:48.922 --> 01:16:55.624]  Promo code 1776 and you get an additional 10% off the already giant savings at infowarstore.com.
[01:16:55.624 --> 01:16:56.945]  Thank you so much for your support.
[01:16:56.945 --> 01:16:57.325]  God bless.
[01:16:59.372 --> 01:17:04.914]  Ladies and gentlemen, we always run the biggest deals of the year starting in mid-November through Christmas.
[01:17:04.914 --> 01:17:10.176]  But this year is hands down the biggest sale we've ever offered.
[01:17:10.176 --> 01:17:20.500]  Not just up to 60% off with promo code 1776, but on top of it, double Patriot points and what makes this the most special sale ever.
[01:17:20.500 --> 01:17:22.621]  Every order will get a free gift.
[01:17:23.041 --> 01:17:29.328]  No matter how small or how big and it's all randomly selected by the shopping cart computer.
[01:17:29.328 --> 01:17:31.630]  So you might order a sticker pack for $5.
[01:17:31.630 --> 01:17:37.536]  You might order the blowout t-shirt sale for $4.95 and then get something worth $50, $60, $70, $80, $100.
[01:17:39.838 --> 01:17:42.600]  So, again, some of the gifts are sticker packed.
[01:17:42.600 --> 01:17:44.400]  Some of them are Alex Jones Halloween masks.
[01:17:44.400 --> 01:17:48.663]  Some of them are books, films, InfoWars flags, American flags.
[01:17:48.663 --> 01:17:50.424]  There are hundreds of different items.
[01:17:50.424 --> 01:17:51.604]  It's all random.
[01:17:51.604 --> 01:17:53.145]  InfoWarsStore.com.
[01:17:53.145 --> 01:17:55.346]  Every order gets a free gift.
[01:17:55.346 --> 01:17:58.208]  Free gifts with every order at InfoWarsStore.com.
[01:17:59.048 --> 01:18:11.076]  As an all-star fighter, businessman, motivational speaker, and philanthropist, Andrew Tate has truly earned the title of Top G. But there's another title Andrew Tate holds that has enraged the globalists.
[01:18:11.076 --> 01:18:16.479]  He is consecutively the most googled man in the world in the last two years.
[01:18:16.479 --> 01:18:21.102]  And that's because his message is about human, and specifically, male empowerment.
[01:18:21.582 --> 01:18:27.823]  Now, Andrew Tate is taking his fight to empower and supercharge men to the next level.
[01:18:27.823 --> 01:18:30.784]  Introducing Top G Supplements.
[01:18:30.784 --> 01:18:36.065]  We are proud to introduce and sponsor the Top G line of supplements by Andrew Tate and his crew.
[01:18:36.065 --> 01:18:42.046]  Now you have the chance to benefit in body, mind and soul with the same supplements that Andrew Tate takes himself.
[01:18:42.046 --> 01:18:45.667]  Learn more about these amazing products at andrewtatepower.com.
[01:18:46.847 --> 01:18:51.630]  AndrewTatePower.com and discover the power of Andrew Tate's new supplements.
[01:18:51.630 --> 01:18:53.431]  They're the highest quality on the market.
[01:18:53.431 --> 01:18:54.371]  Men grow up to be like me.
[01:18:54.371 --> 01:18:59.314]  You're gonna have a whole bunch of people with no criminal record, dedicated athletes, who protect and provide for the people close to them.
[01:19:00.942 --> 01:19:21.574]  The tip of the spear throughout this entire process, the only thing that made any Republican victories tonight possible, the only thing that made any resistance to the war machine possible, the only thing that made any opposition to the lockdowns and the mask mandates and the school shutdowns and the forced vaccines and the dangerous drugs possible,
[01:19:22.074 --> 01:19:35.204]  What made any resistance to it possible was people continuing to support InfoWars despite the massive lawfare being waged against InfoWars, despite the media defamatory, libelous campaign against InfoWars.
[01:19:35.204 --> 01:19:44.050]  The ordinary people, the everyday people that buy products that make their own lives healthier, wealthier, and wiser is what keeps InfoWars on the air.
[01:19:44.050 --> 01:19:50.435]  And what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[01:19:50.555 --> 01:19:51.996]  So continue to do it.
[01:19:51.996 --> 01:19:54.196]  Go to places like InfoWarsStore.com.
[01:19:54.196 --> 01:19:56.297]  Go to the places like Save InfoWars.
