[00:00.000 --> 00:22.000]  The Alex Jones show, because there is a war on, or your mind.
[1:15:42.000 --> 1:15:45.000]  But don't interrupt your enemy while they're destroying themselves.
[1:15:45.000 --> 1:15:47.000]  I think it was Von Bismarck said that.
[1:15:47.000 --> 1:15:52.000]  We'll be right back with Gavin McGinnis to talk about the election, to talk about so many other big things.
[1:15:52.000 --> 1:16:17.000]  I'm going to play that Don Lemon clip. It's right ahead.
[1:16:22.000 --> 1:16:27.000]  The United States of Empire by James Dunn, available at Amazon Books.
[1:16:52.000 --> 1:16:57.000]  877-886-3653, goberky.com
[1:17:22.000 --> 1:17:24.000]  305-HBXTrack.com
[1:17:24.000 --> 1:17:53.000]  Don't risk it when you can take charge of it.
[1:17:54.000 --> 1:17:56.000]  Protovite is nutrition that gets in.
[1:18:24.000 --> 1:18:28.000]  But with the rapid speed of life, we need to be able to keep up the pace.
[1:18:28.000 --> 1:18:36.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[1:18:36.000 --> 1:18:38.000]  Wake up refreshed and take on the day.
[1:18:38.000 --> 1:18:46.000]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[1:18:46.000 --> 1:18:50.000]  Get the sleep you deserve and experience the power of knockout.
[1:18:50.000 --> 1:18:58.000]  Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[1:18:58.000 --> 1:19:05.000]  Whether you're looking to boost the benefits of our official formula or just want an alternative, InfoWarsLife has the formula for you.
[1:19:05.000 --> 1:19:15.000]  Ultimate Crill Oil is a powerhouse formula that takes advantages of the EPA, DHA, and Omega-3s found in our high-quality ultra-pure Crill Oil concentrate.
[1:19:15.000 --> 1:19:25.000]  Containing powerful antioxidants such as Azazanthin and Omega-3s, Ultimate Crill Oil can help you experience the benefits of fish oil with less-required DHA and EPA.
[1:19:25.000 --> 1:19:36.000]  This incredible formula can help your body in many ways, including supporting heart health, joint health, and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function, and more.
[1:19:36.000 --> 1:19:46.000]  And while other Crill Oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified high-quality Crill Oil concentrate.
[1:19:46.000 --> 1:19:52.000]  Paired with our ultimate fish oil, or used separately, it's time to see what Crill Oil can do for you with Ultimate Crill Oil.
[1:19:52.000 --> 1:20:09.000]  Now available at InfowarsStore.com.
[1:20:09.000 --> 1:20:24.000]  Strange Days have found us. From the front lines of the Information War, it's Alex Jones.
[1:20:24.000 --> 1:20:39.000]  Let's get into how they're banning hundreds of fan pages of yours on Facebook, saying the Proud Boys are basically a terrorist group when all they do is go out to defend people and anti-foot attacks.
[1:20:39.000 --> 1:20:54.000]  And he has something interesting to say, and I get what he's saying, so I'm going to repeat it. I don't want to move on because he wants to get into bligsits, which is what I wanted to get into next, and the election, and what he thinks is going to happen, and just so many other issues.
[1:20:54.000 --> 1:21:10.000]  Because everywhere, methad, anti-foot professors show up, attack them. It's just a group that you had an idea about. As you said, you don't lead it or run it. Nobody does. It's just an idea. And then now they're acting like you're basically a military general with a ninja army.
[1:21:10.000 --> 1:21:28.000]  I wish. I started hipsters, too, in the early 2000s. I started the two biggest youth subcultures of the past quarter century, and it's just being a fun guy who believes in character and legacy and the truth.
[1:21:28.000 --> 1:21:44.000]  And in both cases, it was just fun stuff. But no, I'm not the leader of the Proud Boys. I'm a talk show host who started a club a couple years ago, and it's on its own. And it's a multi-racial, pro-gay, pro-Jewish club, just like any other men's club.
[1:21:44.000 --> 1:21:58.000]  And I think that the left is using this idea that I'm sort of this hate Nazi with this hate army that roams, they literally said in the New York Post, roams the streets. No, that is Antifa in a nutshell.
[1:21:58.000 --> 1:22:18.000]  Antifa is not just a club. Antifa is tied to the DNC. They're tied to the state. So when they attack someone, they get the narrative from up top, and then the narrative is also pushed out by Governor Cuomo, by de Blasio, by the attorney general.
[1:22:18.000 --> 1:22:30.000]  It's all the same. You can buy Antifa shirts at Walmart. Don Lemon calls them anti-fascists. They are the state. The anarchists are the state now. They have become totally mainstream.
[1:22:30.000 --> 1:22:42.000]  The police in Blue City protect Antifa. So I think the Proud Boys are great, but as you said, you are credited with starting hypsurism, which turned into this monstrous leftist thing 15 years after.
[1:22:42.000 --> 1:22:48.000]  So I get what you say. You don't control Proud Boys. It's not your identity. It's just one more idea you had.
[1:22:48.000 --> 1:23:02.000]  Exactly. And I think they're a good example of the left's propaganda and how often they lie. I mean, recently the news was talking about multi-racial white supremacy.
[1:23:02.000 --> 1:23:07.000]  And you go, do you know when normal Americans read that, they think you're sane?
[1:23:07.000 --> 1:23:17.000]  I think it's the onion. This is what I would say. Yeah, with walk away or or Blexit. Like, I think we were talking earlier about power. It's all about seizing power.
[1:23:17.000 --> 1:23:27.000]  And I think blacks in California, after they got spanked on the bum bum by the DNC for not supporting gay marriage and Prop 8, and I think the blacks in California went, what the hell are you doing?
[1:23:27.000 --> 1:23:35.000]  Why are you chastising me? I'm a Christian and I voted against it. It's none of your business how I vote. And the left went, no, no, no, that's not what you're supposed to do.
[1:23:35.000 --> 1:23:44.000]  That's not what I trained you to do. And I think black America is finally going, wait a minute, you don't see me as a human being. You see me as a pet.
[1:23:44.000 --> 1:23:55.000]  You see me as a human vote. And it's not working out for me. The South side of Chicago, Baltimore, we're dying every day and it's your policies.
[1:23:55.000 --> 1:24:02.000]  It's DNC. And then Joe Biden goes, I know it's bad, but they're going to have you in chains. And I think black America is finally going.
[1:24:02.000 --> 1:24:09.000]  That's exactly what libertarian Christian nationalist conservatives want is to put black people in chains because that'd be really good for everybody.
[1:24:09.000 --> 1:24:18.000]  What planet is this crap? Because I forget that Biden said that over and over again. In fact, let's cue up Don Lemon. He's been saying this over and over again.
[1:24:18.000 --> 1:24:22.000]  So whichever clip you've got, there's like three of them the last three days. I haven't played any of them yet.
[1:24:22.000 --> 1:24:34.000]  There was another one this morning where he says, the number one threat is white men. They're the number one terror threat. And the New York Times has articles saying we need to extinct the white people written by white people.
[1:24:34.000 --> 1:24:44.000]  And it's like they're literally trying like, like preting like blacks, Hispanics and Asians, like their retarded baby ducks trying to get them to imprint on Nazism.
[1:24:44.000 --> 1:24:54.000]  But it's okay because it's against white people. It is the most 180 degrees away from Martin Luther King. This party has gone clinically psychotic.
[1:24:54.000 --> 1:24:55.000]  Here's the clip.
[1:24:55.000 --> 1:25:06.000]  We have to stop demonizing people and realize the biggest terror threat in this country is white men, most of them radicalized right onto the right.
[1:25:06.000 --> 1:25:16.000]  Okay, because there's three of these clips and I hadn't watched that. Okay, this is the one I hadn't seen. He just said we need to stop killing people.
[1:25:16.000 --> 1:25:25.000]  Let's murder everyone or two plus two equals four, but it equals 1000. He just said we need to stop demonizing people and whites are inherently evil under terror.
[1:25:25.000 --> 1:25:38.000]  I started over. We have to stop demonizing people and realize the biggest terror threat in this country is white men, most of them radicalized right up to the right.
[1:25:38.000 --> 1:25:47.000]  And we have to start doing something about them. There is no travel ban on them. There is no ban on, you know, the Muslim ban. There is no white guy ban.
[1:25:47.000 --> 1:25:50.000]  So what do we do about that?
[1:25:50.000 --> 1:26:04.000]  Gavin, you take it first. Okay, if you look at all the crime in Japan, it's pretty much exclusively Japanese people. Japan has a real problem with Japanese men.
[1:26:04.000 --> 1:26:11.000]  They are making up almost all of the crime in Japan. What are we going to do Japan about your Japanese problem?
[1:26:11.000 --> 1:26:20.000]  I mean, again, if you're a high school teacher and you get that and you go, hey, Don, can you come over here? I just, I could not put notice. You said, don't judge people. Don't be divisive.
[1:26:20.000 --> 1:26:28.000]  Don't demonize people. And then in this next sentence, you demonize the vast majority of the country. I don't understand.
[1:26:28.000 --> 1:26:37.000]  Even the white men have the lowest crime rate after Asians. So we have the second lowest crime rate, but now we are the worst people.
[1:26:37.000 --> 1:26:46.000]  You know, the beauty of libertarianism and paleo conservatism is it doesn't get into race. It just says meritocracy. You're good at this job.
[1:26:46.000 --> 1:26:55.000]  Sit there and metal and identify everyone by the race. You just say, we have a crime problem in this country. Let's fix it. We have a problem.
[1:26:55.000 --> 1:27:03.000]  There's a shooting problem in this country. Let's fix it. But no, he has to say, I've noticed they're all white men. Yeah, America is 75% white.
[1:27:03.000 --> 1:27:10.000]  Crime is probably 80% male. You're going to get some of the Venn diagram going on there, Don.
[1:27:10.000 --> 1:27:20.000]  But the idea that because of the crime rate, the democratic run cities and all of it, blacks are 10 times more likely on average to commit a crime against whites and vice versa.
[1:27:20.000 --> 1:27:26.000]  We don't say blacks are all criminals. There's still a very small minority, just like it's a very small minority of white males committing crime.
[1:27:26.000 --> 1:27:36.000]  We don't say white men are bad. Let's restrict their movements. If there was a country of caveman like white people with no visas where they killed everybody and sold people in sex slavery,
[1:27:36.000 --> 1:27:45.000]  I would say you can't get on airplanes and fly here without a valid visa. That's all Trump said. You can't fly here from Somalia.
[1:27:45.000 --> 1:27:52.000]  It was perfectly reasonable. And the list that he came up with was an Obama list. But again, you know, we always make this mistake.
[1:27:52.000 --> 1:27:59.000]  You and I, we put our brains into their heads and we say, don't you want to get to the truth? And you realize that's not what's going on here.
[1:27:59.000 --> 1:28:04.000]  This has nothing to do with truth. Don Lemon right there didn't even believe what he was saying.
[1:28:04.000 --> 1:28:12.000]  What he was really trying to say is Trump supporters kill people and Trump can't be reelected or more people will die.
[1:28:12.000 --> 1:28:18.000]  So vote DNC, vote veto or whoever we run against Trump or you'll be killed.
[1:28:18.000 --> 1:28:27.000]  Even though this weird loner hated Trump and thought Trump was a globalist, but he hated Israel, the globalist want to get rid of Israel.
[1:28:27.000 --> 1:28:36.000]  So the dumb truck driver doesn't even know what he's talking about. He's not as a dumb truck driver. He's a you know what hole and an idiot.
[1:28:36.000 --> 1:28:44.000]  I didn't Benjamin Netanyahu's son tweet out a meme that was mocking George Soros. I think he got in trouble for doing that.
[1:28:44.000 --> 1:28:52.000]  But George Soros is an atheist. His father was an atheist. The guy doesn't embrace Judaism.
[1:28:52.000 --> 1:29:18.000]  Now he wants to overthrow Israel. It's incredible. We'll be right back with Gavin McGinnis. I'm Alex Jones.
[1:29:22.000 --> 1:29:38.000]  This event is the first of its kind ever. John Boehner and an esteemed panel will reveal which cannabis stocks are primed to deliver life changing windfalls in the weeks and months ahead.
[1:29:38.000 --> 1:29:47.000]  Plus they will show you how to become a cannabis angel investor backing the hottest startups before they potentially become worth billions of dollars.
[1:29:47.000 --> 1:30:00.000]  To join American Cannabis Summit, text JOIN to 44055. Attendance is free. Text JOIN to 44055.
[1:30:00.000 --> 1:30:09.000]  We need to go back and revisit the foundations of our freedom. Our freedoms don't consist of the things that are enumerated on a piece of paper.
[1:30:09.000 --> 1:30:17.000]  We don't consist of the things that we're willing to fight for. The First Amendment, the Bill of Rights, the rest of the Bill of Rights are prohibitions.
[1:30:17.000 --> 1:30:24.000]  They're prohibitions against powerful organizations and individuals taking those God-given rights from us as individuals.
[1:30:24.000 --> 1:30:30.000]  You better understand that because they're taking them right now.
[1:30:30.000 --> 1:30:39.000]  What they want to do, they called it UN Agenda 21. Now they call it the UN 2030 Agenda. They want everybody off of the rural lands. They want people out of the suburbs.
[1:30:39.000 --> 1:30:46.000]  They want to pack everybody into the cities because that's where it is easiest for them to control everyone.
[1:30:46.000 --> 1:30:48.000]  It's The David Knight Show.
[1:30:48.000 --> 1:30:51.000]  I never missed your show. Any day.
[1:30:51.000 --> 1:30:54.000]  At me, what? I mean, never.
[1:30:54.000 --> 1:31:01.000]  At InfoWars.com forward slash show.
[1:31:25.000 --> 1:31:36.000]  It's compact in size, easy to install and maintain, and keeps fluoride and other dangerous toxins out of your water supply and away from you and your family.
[1:31:36.000 --> 1:31:44.000]  With its broad spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[1:31:44.000 --> 1:31:57.000]  Head to infowarsstore.com and whether it's your first water filtration purchase or you're looking to replace your current rundown systems, it's time to go big and go home with the pro-pure whole house filtration system today.
[1:32:15.000 --> 1:32:27.000]  And it synergistically works with our 50 billion live, active culture, fluorolife, as well as MycoZX that targets the yeast, the mold, and the funguses in the gut.
[1:32:27.000 --> 1:32:33.000]  So this is the time to take advantage of getting this new incredible fiber product and these other products.
[1:32:33.000 --> 1:32:39.000]  You get them separately or together and make really, really big savings and get high quality products at the same time.
[1:32:39.000 --> 1:32:41.000]  And I'm doing this to introduce these products to you.
[1:32:41.000 --> 1:32:47.000]  Bodies sold out in a month, strongest concentrated turmeric formula we can come up with.
[1:32:47.000 --> 1:32:49.000]  It's sold out for another month and a half.
[1:32:49.000 --> 1:32:52.000]  We sold it at 50% off till it's sold out.
[1:32:52.000 --> 1:33:12.000]  And I think it's going to be the same way with this fiber. Get yours today at infowarslife.com.
[1:33:23.000 --> 1:33:26.000]  You want answers? Well, so does he.
[1:33:26.000 --> 1:33:28.000]  He's Gavin McGinnis from Austin.
[1:33:28.000 --> 1:33:30.000]  Get off my lawn.
[1:33:30.000 --> 1:33:32.000]  CRTV.
[1:33:32.000 --> 1:33:34.000]  It's Alex.
[1:33:36.000 --> 1:33:38.000]  All right, I'm sick of Russiagate.
[1:33:38.000 --> 1:33:39.000]  There's big developments in it.
[1:33:39.000 --> 1:33:43.000]  Roger Stone joins us for one segment coming up next segment.
[1:33:43.000 --> 1:33:44.000]  We're going to open the phones up.
[1:33:44.000 --> 1:33:46.000]  We've got Owen Schreuer in studio.
[1:33:46.000 --> 1:33:49.000]  But I wanted to finish up with Gavin McGinnis who's one of my favorite guests.
[1:33:49.000 --> 1:33:52.000]  I love his show and I am a CRTV subscriber.
[1:33:52.000 --> 1:33:58.000]  There's good, funny, smart television that I can, you know, even sit around and have his ambient in the background.
[1:33:58.000 --> 1:34:02.000]  And I don't have to see the constant catheter ads and silver ads like Fox.
[1:34:02.000 --> 1:34:05.000]  I'm not knocking it, but my God, I see one more.
[1:34:05.000 --> 1:34:06.000]  My pillow ad.
[1:34:06.000 --> 1:34:08.000]  I'm going to jump out of the window here.
[1:34:08.000 --> 1:34:10.000]  So that's what we watch at nights, CRTV.
[1:34:10.000 --> 1:34:13.000]  And of course you support infowars, folks.
[1:34:13.000 --> 1:34:14.000]  We appreciate you all.
[1:34:14.000 --> 1:34:15.000]  We had that big sale.
[1:34:15.000 --> 1:34:17.000]  It just ended, but now we have our new X3.
[1:34:17.000 --> 1:34:19.000]  It's an incredible product, 50% off.
[1:34:19.000 --> 1:34:21.000]  That's at infowarsstore.com and free shipping on that.
[1:34:21.000 --> 1:34:22.000]  Check it out.
[1:34:22.000 --> 1:34:23.000]  It's amazing.
[1:34:23.000 --> 1:34:24.000]  X3 is very exciting.
[1:34:24.000 --> 1:34:27.000]  But I'm going to belabor that after he leaves us.
[1:34:27.000 --> 1:34:30.000]  Gavin, I'm a pro militia guy.
[1:34:30.000 --> 1:34:39.000]  I believe in the Second Amendment and every able-bodied man, you know, 18 to 45, has a duty and a right to be armed and trained like Switzerland.
[1:34:39.000 --> 1:34:44.000]  But I can really see a false flag here when these militias are infiltrated a lot of by the feds.
[1:34:44.000 --> 1:34:45.000]  That's a fact.
[1:34:45.000 --> 1:34:48.000]  And usually it's the fed in a militia that tells you, that's not true.
[1:34:48.000 --> 1:34:49.000]  Jones is the fed.
[1:34:49.000 --> 1:34:50.000]  They're both feds.
[1:34:50.000 --> 1:34:53.000]  Now let's go blow up a federal building together.
[1:34:53.000 --> 1:34:58.000]  So that's using an FBI informant or FBI as we've seen and the leftist arm of it.
[1:34:58.000 --> 1:35:01.000]  Someone like Reality Winner is trying to set people up.
[1:35:01.000 --> 1:35:07.000]  But we've got the Border Patrol warned Texans about militias stopping migrant caravan.
[1:35:07.000 --> 1:35:11.000]  We've got way more than just the 5,000 troops that Trump talked about.
[1:35:11.000 --> 1:35:15.000]  We've got video that's on dredgerport.com of army tanks being set down.
[1:35:15.000 --> 1:35:19.000]  They're Abrams tanks, command vehicles, all of it.
[1:35:19.000 --> 1:35:21.000]  So I think Trump's got this handled.
[1:35:21.000 --> 1:35:23.000]  People have a right to go down there.
[1:35:23.000 --> 1:35:29.000]  But I'm just saying I smell a big fat chance for some leftist group to shoot some, you know, kids or something.
[1:35:29.000 --> 1:35:34.000]  Because, you know, nobody's really shot any migrant kids other than Mexican coyotes.
[1:35:34.000 --> 1:35:39.000]  But in the movie Machete, you know, Don Johnson does, so it must be real.
[1:35:39.000 --> 1:35:46.000]  I really see this as their last false flag and now they're busing them up days before the election to the Texas border.
[1:35:46.000 --> 1:35:48.000]  I really am concerned, Gavin McGinnis.
[1:35:48.000 --> 1:35:54.000]  Yeah, I've even been talking to liberals here in New York City and they don't seem to like this.
[1:35:54.000 --> 1:36:03.000]  They smell a rat and it just seems very curious that thousands of people spontaneously rent some 18-wheelers together.
[1:36:03.000 --> 1:36:07.000]  I guess they all pool their money and they drive and then walk for the cameras
[1:36:07.000 --> 1:36:11.000]  and then drive and then walk for the cameras on their way to Mexico.
[1:36:11.000 --> 1:36:15.000]  I mean, even the left is saying this really looks like it's for optics.
[1:36:15.000 --> 1:36:20.000]  And if it is just for optics, that is brutally sinister.
[1:36:20.000 --> 1:36:24.000]  And it shows how, I don't know, how evil some of these people on the left can be.
[1:36:24.000 --> 1:36:31.000]  Because are you trying to set up a scenario where hundreds of migrants are pushing the fences and they get crushed
[1:36:31.000 --> 1:36:39.000]  and maybe there's a photo of a dead kid or something or a military guy shooting at people who are trying to mob him or something?
[1:36:39.000 --> 1:36:45.000]  Are you trying to get some picture to change the election and happily sacrificing hundreds of people?
[1:36:45.000 --> 1:36:50.000]  I mean, you're going to put Satan out of work.
[1:36:50.000 --> 1:36:56.000]  I think you're asking the question, is grass green against the sky blue to bears crap in the woods?
[1:36:56.000 --> 1:37:01.000]  Soros admittedly is funding this. The UN is being funded by the State Department.
[1:37:01.000 --> 1:37:07.000]  Lou Dobbs talks about it and almost gets fired. His guest judicial watch that has the documents gets banned.
[1:37:07.000 --> 1:37:10.000]  Because it's on record they're shipping these people up.
[1:37:10.000 --> 1:37:17.000]  I have local newscasts showing buses from years ago and currently where they say the UN runs the program
[1:37:17.000 --> 1:37:22.000]  and Obama brings them in. And as soon as Trump got in, he ended it.
[1:37:22.000 --> 1:37:26.000]  You know what this reminds me of is Fast and Furious, which isn't controversial.
[1:37:26.000 --> 1:37:34.000]  Everyone knows that what was it? Eric Holder and Obama were caught sending guns down to Mexico so they could make guns look bad.
[1:37:34.000 --> 1:37:38.000]  Get them in the hands of cartels and they'll go, look at all these AKs. They killed tons of people.
[1:37:38.000 --> 1:37:45.000]  I mean, no matter how bad the right gets, you never hear about them wanting to use human beings as fodder.
[1:37:45.000 --> 1:37:51.000]  We're talking earlier about Blexit where they want to use black people as human votes and they use illegals as voters too.
[1:37:51.000 --> 1:37:57.000]  And now we have Fast and Furious and these caravans where they're happily risking lives for optics.
[1:37:57.000 --> 1:38:04.000]  I mean, this is Stalin in a nutshell. This is his mass starvation and mass murder. This is the way communists think.
[1:38:04.000 --> 1:38:13.000]  They don't think about human beings. They see humans as just sort of like ephemera, just a big pile of wasps they can send somewhere.
[1:38:13.000 --> 1:38:16.000]  Or a dam they can blow and have it just flood.
[1:38:16.000 --> 1:38:21.000]  And you would admit that they say they want to destroy borders, collapse the evil capitalist system,
[1:38:21.000 --> 1:38:30.000]  so we'll accept the socialist utopia with rich people like Soros and the Chai Khoms, tax-exempt living in palaces.
[1:38:30.000 --> 1:38:37.000]  Dismantle capitalism. You know, when I was a young man in the 80s, that was what the crazy radical nuts said and it was kind of cool.
[1:38:37.000 --> 1:38:41.000]  Like, oh, this guy's a communist. That's kind of a freaky thing.
[1:38:41.000 --> 1:38:48.000]  Now it's mainstream. I think something like more than 50% of people in the DNC would prefer socialism.
[1:38:48.000 --> 1:38:54.000]  It's 50 plus percent of millennials want communism or socialism.
[1:38:54.000 --> 1:38:56.000]  And they always use Northern Europe as an example.
[1:38:56.000 --> 1:38:59.000]  Northern Europe made its money when it was free market.
[1:38:59.000 --> 1:39:02.000]  It is now literally spending its parents' money.
[1:39:02.000 --> 1:39:03.000]  It's fully bankrupt.
[1:39:03.000 --> 1:39:05.000]  It's fully plummeting.
[1:39:05.000 --> 1:39:12.000]  Well, that's my next question. How could they grab victory from the jaws of defeat A?
[1:39:12.000 --> 1:39:18.000]  And then B, what are they going to do if they fail, which it looks like they are all across the world.
[1:39:18.000 --> 1:39:22.000]  People are waking up. They're being thrown out of office. What are they going to do?
[1:39:22.000 --> 1:39:24.000]  They're going to continue this.
[1:39:24.000 --> 1:39:30.000]  I mean, it is ramping up exponentially, but it is the same thing that we talked about last time I was on your show.
[1:39:30.000 --> 1:39:35.000]  It's the same process. First, you dehumanize someone by making them a Nazi.
[1:39:35.000 --> 1:39:40.000]  Then you ostracize them at their work, get them fired, get them separate from their family.
[1:39:40.000 --> 1:39:43.000]  You isolate them, and then you kill them.
[1:39:43.000 --> 1:39:47.000]  Then they're dead. Then they're fine. You basically starve them to death.
[1:39:47.000 --> 1:39:51.000]  So you isolate, vilify, ostracize. And that's what they're going to keep doing.
[1:39:51.000 --> 1:39:56.000]  And the crazy part is their appetite involves half the country.
[1:39:56.000 --> 1:40:01.000]  It's not like they want to get a couple of weirdos. They don't want to get like a David Duke and a Richard Spencer,
[1:40:01.000 --> 1:40:04.000]  the actual bona fide alt-right guys.
[1:40:04.000 --> 1:40:09.000]  No, they want everyone who supports Trump to be seen as a Nazi on the far, far right.
[1:40:09.000 --> 1:40:13.000]  The term far right is just thrown around at every conservative right now.
[1:40:13.000 --> 1:40:16.000]  And I don't even know what it means.
[1:40:16.000 --> 1:40:21.000]  How do we push back? Because I instinctively don't get people into brigades to go get people banned.
[1:40:21.000 --> 1:40:27.000]  I instinctively don't try to take Brian Stelzer off the air, even though in my view he is a criminal
[1:40:27.000 --> 1:40:31.000]  working with groups to rack a tear to shut me off the air and admitting it.
[1:40:31.000 --> 1:40:39.000]  He's a horrible, just sickening, pinglenest, you know, villainous creature, right out of Batman novels.
[1:40:39.000 --> 1:40:44.000]  So at a certain point, they're assaulting me. They are stalking me.
[1:40:44.000 --> 1:40:49.000]  They have their reporters driving around the building, you know, with blacked out windows.
[1:40:49.000 --> 1:40:51.000]  They're literally trying to destroy me.
[1:40:51.000 --> 1:40:58.000]  At a certain point, what do I do to a villain, a anti-American criminal that is trying to foment
[1:40:58.000 --> 1:41:01.000]  violent revolution and destroy my family?
[1:41:01.000 --> 1:41:06.000]  You stand up for yourself in a microcosm and in a macrocosm.
[1:41:06.000 --> 1:41:10.000]  In the big picture, you continue to do your show and you tell the truth and you talk to people
[1:41:10.000 --> 1:41:13.000]  and you get guests on your show and you try to expose the truth.
[1:41:13.000 --> 1:41:16.000]  And the small, when someone confronts you, you don't cower.
[1:41:16.000 --> 1:41:19.000]  You don't walk out of the restaurant, you know, shuddering.
[1:41:19.000 --> 1:41:22.000]  Remember that guy from Subway, Jared, what's his name?
[1:41:22.000 --> 1:41:25.000]  He was accused of pedophilia.
[1:41:25.000 --> 1:41:29.000]  He cowered because he was guilty and then he did a plea deal and now he's in jail.
[1:41:29.000 --> 1:41:31.000]  Guilty people cower.
[1:41:31.000 --> 1:41:33.000]  Guilty people apologize.
[1:41:33.000 --> 1:41:36.000]  If you're not guilty, you're not a Nazi, you're not spreading hate.
[1:41:36.000 --> 1:41:38.000]  You say, what are you talking about?
[1:41:38.000 --> 1:41:42.000]  No, I agree. And then I try to speak out against it and they try to block me everywhere so they can cowardly
[1:41:42.000 --> 1:41:46.000]  tie me up like in a gladiatory arena and then they walk out while I'm tied up
[1:41:46.000 --> 1:41:48.000]  or you're tied up and stab us.
[1:41:48.000 --> 1:41:51.000]  But see, the crowd doesn't like that. They're booing them.
[1:41:51.000 --> 1:41:54.000]  I mean, I don't think they understand that we're not just putting a good face on this.
[1:41:54.000 --> 1:41:56.000]  We don't just lie like they do. We love the truth.
[1:41:56.000 --> 1:42:02.000]  They're losing existentially in the quantum totality of this fight.
[1:42:02.000 --> 1:42:06.000]  They're only looking at grinding us down, trampling on us now.
[1:42:06.000 --> 1:42:08.000]  I was in D.C. last weekend.
[1:42:08.000 --> 1:42:12.000]  Blexit was massive. They filled the streets.
[1:42:12.000 --> 1:42:19.000]  400 black men and black women went to the White House wearing MAGA hats, chanting USA.
[1:42:19.000 --> 1:42:25.000]  They were shoulder to shoulder, crammed in to the Oval Office, screaming USA, USA.
[1:42:25.000 --> 1:42:27.000]  Not a peep in the media.
[1:42:27.000 --> 1:42:29.000]  Walkaway was the same weekend.
[1:42:29.000 --> 1:42:31.000]  It was also huge.
[1:42:31.000 --> 1:42:33.000]  Hundreds of people, liberals.
[1:42:33.000 --> 1:42:36.000]  I spoke to them. I did a show with many of them.
[1:42:36.000 --> 1:42:39.000]  And a lot of them were just saying, I'm not...
[1:42:39.000 --> 1:42:41.000]  And that's why they're so scared.
[1:42:41.000 --> 1:43:06.000]  We're bringing back one of the biggest fan favorite formulas we've ever offered with even better ingredients.
[1:43:06.000 --> 1:43:13.000]  InfoWarsLife is proud to bring you a powerhouse bone broth formula to help push you to your limits.
[1:43:13.000 --> 1:43:19.000]  This incredible formula will help you get the most out of your workout with the power of ultra-high quality bone broth,
[1:43:19.000 --> 1:43:22.000]  one of the most popular health trends on the planet.
[1:43:22.000 --> 1:43:26.000]  Built with more than seven different superfoods and crucial compounds,
[1:43:26.000 --> 1:43:31.000]  ultimate bone broth will help support your healthy muscles, digestion, tendons and ligaments,
[1:43:31.000 --> 1:43:34.000]  while also supporting your body's fight against free radicals.
[1:43:34.000 --> 1:43:40.000]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric root,
[1:43:40.000 --> 1:43:46.000]  chaga mushroom, goji berry powder, bee pollen and alfalfa herb powder to support your body.
[1:43:46.000 --> 1:43:50.000]  It's time to experience what ultimate bone broth can do for you.
[1:43:50.000 --> 1:43:57.000]  Get a bottle of the all-new version of a fan favorite product today at InfoWarsStore.com.
[1:43:57.000 --> 1:44:01.000]  Living in volcano may sound more dramatic than it really is.
[1:44:01.000 --> 1:44:04.000]  The real drama can be found here in Leilani Estates,
[1:44:04.000 --> 1:44:07.000]  but a lot of us on the Big Island rely on rainwater,
[1:44:07.000 --> 1:44:10.000]  and we need to be concerned about ash and acid rain.
[1:44:10.000 --> 1:44:14.000]  Volcanic ash may contain heavy metal particles,
[1:44:14.000 --> 1:44:18.000]  and acid rain could lower the pH of the water to unhealthy levels.
[1:44:18.000 --> 1:44:24.000]  To find out, we employed a series of tests for heavy metals, alkalinity and pH.
[1:44:24.000 --> 1:44:30.000]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[1:44:30.000 --> 1:44:34.000]  Next, we tested the water from our Alexa pure gravity filter,
[1:44:34.000 --> 1:44:41.000]  and not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[1:44:41.000 --> 1:44:46.000]  As it turns out, the filter on the Alexa pure raises the pH of the water,
[1:44:46.000 --> 1:44:52.000]  so what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[1:44:52.000 --> 1:44:58.000]  But more importantly, a good water filtration system will purify it.
[1:44:58.000 --> 1:45:01.000]  Fueling your body is hard work.
[1:45:01.000 --> 1:45:06.000]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[1:45:06.000 --> 1:45:12.000]  Combine fluorolife everyday maintenance and carnivore to help you fuel your gut and body
[1:45:12.000 --> 1:45:15.000]  and take advantage of the powerful nutrients you receive.
[1:45:15.000 --> 1:45:18.000]  There's no better way to power your body.
[1:45:18.000 --> 1:45:25.000]  Fluorolife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[1:45:25.000 --> 1:45:30.000]  Compared with carnivore, our incredible enzyme formula that helps you break down nutrients.
