[00:00.000 --> 00:01.400]  We've got it, Bada.
[34:33.800 --> 34:39.800]  Give us a fresh face in the Democratic primaries so that people get bought into the new personality
[34:39.800 --> 34:43.800]  and believing that this new Superman will save us.
[34:43.800 --> 34:48.800]  It's part of being conned over and over again.
[34:48.800 --> 34:53.800]  And so what I'm getting at here is when you see the establishment get behind a George W. Bush
[34:53.800 --> 35:01.800]  or get behind a Barack H. Obama or get behind a Ricky Perry, you know, the Ricky Bobby of Texas,
[35:01.800 --> 35:08.800]  when you see that, that right there is the illustration of this is who you don't want to vote for.
[35:08.800 --> 35:16.800]  Rick Perry and Mitt Romney have not won one single straw poll.
[35:16.800 --> 35:20.800]  They weren't even the front runners months ago when the media would add them into the polls,
[35:20.800 --> 35:24.800]  but the media kept saying they were the front runners, they were the winners.
[35:24.800 --> 35:29.800]  And so some weak-minded people start to think, well, that's who they say I can vote for.
[35:29.800 --> 35:35.800]  It's kind of like showing up the store and saying I want to rent this DVD and they say sorry, we're out of that movie.
[35:35.800 --> 35:38.800]  Okay, well, what else you got?
[35:38.800 --> 35:41.800]  They told you you had to vote for Mitt Romney or Rick Perry.
[35:41.800 --> 35:48.800]  They told you on every show and every program that the race was down to them and then said too bad Ron Paul can't win
[35:48.800 --> 35:52.800]  when in every poll he's been first, second or third.
[35:52.800 --> 35:55.800]  Most polls he's been second or third.
[35:55.800 --> 36:03.800]  If you don't believe me, just type Ron Paul comes in first and in Rasmussen poll or type in Ron Paul comes in second
[36:03.800 --> 36:06.800]  and Mason Dixon or Ron Paul comes in third and Gallup.
[36:06.800 --> 36:11.800]  In fact, we're going to show you if you're watching us on prisonplanet.tv, we're streaming the show.
[36:11.800 --> 36:14.800]  We can put on screen before we play this video clip.
[36:14.800 --> 36:21.800]  Just a Google search of Ron Paul third place and you'll get Rasmussen, you'll get Gallup.
[36:21.800 --> 36:25.800]  You will see all of those numbers right there.
[36:25.800 --> 36:32.800]  In fact, I had it up during the break is how I know that we know that we have that and anybody can just go see that for themselves.
[36:32.800 --> 36:36.800]  I heard a woman on the radio earlier calling to one of our local affiliates 590 a.m.
[36:36.800 --> 36:42.800]  LBJ and she said, well, I heard Ron Paul say that he was number three.
[36:42.800 --> 36:47.800]  I don't know why he didn't win.
[36:47.800 --> 36:52.800]  I don't know why people are saying he can't win.
[36:52.800 --> 36:55.800]  Again, it's this mindset.
[36:55.800 --> 36:57.800]  I guess we're going to go ahead and go to some phone calls here.
[36:57.800 --> 37:05.800]  Look, the issue here, ladies and gentlemen, is that it's time to stop being conned.
[37:05.800 --> 37:09.800]  It's time to realize what's happening.
[37:09.800 --> 37:15.800]  It's time to just have fundamental common sense.
[37:15.800 --> 37:24.800]  That's all this is, is fundamental common sense that when Rachel Maddow on the fake left is attacking Ron Paul,
[37:24.800 --> 37:29.800]  and when Sean Hannity on the controlled right is attacking Ron Paul,
[37:29.800 --> 37:38.800]  and when all these other candidates are being pushed on you and forced fed on you by the establishment,
[37:38.800 --> 37:47.800]  isn't it completely crystal clear to anybody out there that's paying attention that Ron Paul is the real deal?
[37:47.800 --> 37:52.800]  It'd be like if a football team in the NFL season was number three.
[37:52.800 --> 37:56.800]  And they said, well, too bad that this team can't win too bad.
[37:56.800 --> 38:07.800]  The Patriots can't win because they're only number three and there are plenty of games left for them to be able to get into the position of number one.
[38:07.800 --> 38:12.800]  I mean, even when somebody's number one, you don't say that it's impossible for them to lose.
[38:12.800 --> 38:15.800]  In fact, there it is on screen.
[38:15.800 --> 38:18.800]  Ron Paul, I'm trying to change the course of history.
[38:18.800 --> 38:20.800]  Ron Paul.
[38:20.800 --> 38:23.800]  Yes, see, earlier I was in there and I just did the search.
[38:23.800 --> 38:25.800]  Ron Paul in third place.
[38:25.800 --> 38:29.800]  I'll do it on this computer in here and then we can do a document cam shot that way.
[38:29.800 --> 38:30.800]  Watch this.
[38:30.800 --> 38:32.800]  I'm going to show viewers this right here on the screen.
[38:32.800 --> 38:40.800]  Okay, Ron Paul in third place.
[38:40.800 --> 38:45.800]  Okay, because I keep getting people emailing me saying Ron Paul is not in third place.
[38:45.800 --> 38:46.800]  He's not in second place.
[38:46.800 --> 38:47.800]  He's not in third place.
[38:47.800 --> 38:49.800]  Ron Paul in third place.
[38:49.800 --> 38:50.800]  That's daily Paul.
[38:50.800 --> 38:51.800]  You link to that.
[38:51.800 --> 38:56.800]  It takes you to Rasmussen.
[38:56.800 --> 39:01.800]  It's all right there for anybody that wants to go look at it.
[39:01.800 --> 39:03.800]  There it is.
[39:03.800 --> 39:04.800]  Rasmussen.
[39:04.800 --> 39:06.800]  That's Gallup Poll saying the same thing.
[39:06.800 --> 39:08.800]  Ron Paul third place.
[39:08.800 --> 39:11.800]  Mitt Romney, Rick Perry, Ron Paul.
[39:11.800 --> 39:14.800]  There's Rick Perry with 17%, Ron Paul with 14.
[39:14.800 --> 39:16.800]  And what's the source on that?
[39:16.800 --> 39:18.800]  USA Today.
[39:18.800 --> 39:24.800]  I mean, this is so elementary that it makes my head spin sometimes.
[39:24.800 --> 39:30.800]  That you've got a guy who has come in first, second or third in every scientific poll
[39:30.800 --> 39:36.800]  of hundreds and hundreds I've seen who wins all the spontaneous internet polls
[39:36.800 --> 39:40.800]  that I believe are even more scientific because you can only vote once according to your IP address,
[39:40.800 --> 39:44.800]  who's winning every one of those, usually in double digits.
[39:44.800 --> 39:47.800]  In fact, in every case by double or right at double.
[39:47.800 --> 39:49.800]  And they're saying sorry, he can't win.
[39:49.800 --> 39:51.800]  Sorry, he's not a choice.
[39:51.800 --> 39:54.800]  Sorry, he's not a contender.
[39:54.800 --> 39:59.800]  That'd be like if there was a guy in Formula One racing who had one races come in second
[39:59.800 --> 40:01.800]  and third and a bunch of others.
[40:01.800 --> 40:04.800]  They're in the poll position out of the gates.
[40:04.800 --> 40:09.800]  And with 80% of the race to go, they're in third place.
[40:09.800 --> 40:12.800]  And their car is picking up steam running great.
[40:12.800 --> 40:19.800]  And they say it's too bad that the Marbleau car or the Jack Daniels car or whatever it is
[40:19.800 --> 40:25.800]  or the Chevy car, too bad that car can't win.
[40:25.800 --> 40:28.800]  And you're like, but they've got all these laps to go.
[40:28.800 --> 40:34.800]  The race isn't even half over and he's in third place and he's gaining on the other car.
[40:34.800 --> 40:38.800]  They go, sorry, doesn't count, can't win, can't look at that candidate.
[40:38.800 --> 40:44.800]  And the whole system then, all the commentators start attacking them and saying how horrible they are.
[40:44.800 --> 40:51.800]  Now, see in a race like that, some politics can come in taking points away or whatever they do.
[40:51.800 --> 40:54.800]  But at the end of the day, it's about the driver in the car.
[40:54.800 --> 41:00.800]  But in this case, your voters, and so they're manipulating you saying, oh, he's pulled up to third place
[41:00.800 --> 41:02.800]  from way back at the back.
[41:02.800 --> 41:03.800]  Oh, he's not a contender.
[41:03.800 --> 41:04.800]  No, no, no, no, no.
[41:04.800 --> 41:05.800]  Don't even look at that car.
[41:05.800 --> 41:10.800]  And then when he does win the races, when he does get right at double the votes,
[41:10.800 --> 41:18.800]  Mitt Romney got the Fox News poll, they just pull the stinkin' thing when the Drudge Report links to it.
[41:18.800 --> 41:21.800]  And then we write an article about it and it gets national attention.
[41:21.800 --> 41:23.800]  This is what's so frustrating.
[41:23.800 --> 41:26.800]  He's a total and complete mind game.
[41:26.800 --> 41:28.800]  Jaren was able to find this video clip.
[41:28.800 --> 41:29.800]  This is from the last debate.
[41:29.800 --> 41:32.800]  Ron Paul saying, well, I'm number three now.
[41:32.800 --> 41:34.800]  I'm the third contender.
[41:34.800 --> 41:35.800]  And he's being humble.
[41:35.800 --> 41:39.800]  He could have quoted scores of polls, scientific, Gallup.
[41:39.800 --> 41:41.800]  You name it with him in second.
[41:41.800 --> 41:47.800]  You can type in like I just typed in Ron Paul in third place and I just showed you Gallup and Rasmussen.
[41:47.800 --> 41:50.800]  I just typed it in in front of you and it came up.
[41:50.800 --> 41:53.800]  I can type in Ron Paul gets first place in the scientific poll.
[41:53.800 --> 41:55.800]  I can type in Ron Paul gets second place.
[41:55.800 --> 41:57.800]  The point is, let's just say he's third place.
[41:57.800 --> 41:59.800]  Let's just go ahead with the majority of the polls.
[41:59.800 --> 42:04.800]  He's in third place, but they're telling you that he cannot win too bad.
[42:04.800 --> 42:06.800]  It's Mitt Romney or Rick Berry.
[42:06.800 --> 42:11.800]  The truth is, if real Americans and constitutionalists who want to get out of this banking crisis,
[42:11.800 --> 42:14.800]  who want to get out of the UN, who want to get rid of all these federal agencies,
[42:14.800 --> 42:18.800]  who want to go back to being what America was and move forward,
[42:18.800 --> 42:21.800]  if you want to get rid of the private Federal Reserve Banking Cartel,
[42:21.800 --> 42:26.800]  if you want to restore the Republic, you've got to vote for Ron Paul.
[42:26.800 --> 42:30.800]  Instead, they have this mind game of, too bad he can't win, he's in third place.
[42:30.800 --> 42:33.800]  We're going to come back from break with that video clip and then I'll go to your phone calls.
[42:33.800 --> 42:35.800]  I'm about to have an embolism here.
[42:35.800 --> 42:40.800]  It makes me so mad and makes me so angry that they must sit there when we've got a chance
[42:40.800 --> 42:43.800]  to get the executive branch, which won't fix everything,
[42:43.800 --> 42:47.800]  but could really start to turn things around right when this country desperately needs it.
[42:47.800 --> 42:51.800]  A guy who understands the New World Order, a guy who understands the Bilderberg Group
[42:51.800 --> 42:55.800]  that Rick Berry goes to, a guy that understands corporate cronyism,
[42:55.800 --> 42:58.800]  and they're telling you you can't have him.
[43:00.800 --> 43:04.800]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system
[43:04.800 --> 43:07.800]  with your self-produced colloidal silver solutions,
[43:07.800 --> 43:10.800]  yet many are unaware of the entire function of the Silver Lungs System
[43:10.800 --> 43:15.800]  and how it has been designed to deliver your silver solutions anywhere in or on the body.
[43:15.800 --> 43:20.800]  My name is Mario Safaldi and I'm the developer of the Silver Lungs Generator.
[43:20.800 --> 43:25.800]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions,
[43:25.800 --> 43:29.800]  it also comes equipped with the proper applicators and devices needed
[43:29.800 --> 43:33.800]  to deliver your silver solutions directly to key target areas.
[43:33.800 --> 43:41.800]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[43:41.800 --> 43:48.800]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.silverlungs.com
[43:48.800 --> 43:51.800]  to learn more about how the Silver Lungs System works.
[43:51.800 --> 43:55.800]  As well, we are always ready to answer any questions you may have.
[43:55.800 --> 44:21.800]  That's www.silverlungs.com
[44:21.800 --> 44:25.800]  3. Take Decisive Action
[44:25.800 --> 44:28.800]  A perfect storm is brewing for a global food crisis.
[44:28.800 --> 44:31.800]  That's why I'm telling everyone to read the new book,
[44:31.800 --> 44:33.800]  Rising Prices Empty Shelves,
[44:33.800 --> 44:37.800]  warning signs that trigger the deadliest famines in history.
[44:37.800 --> 44:41.800]  Don't get caught unprepared when the crisis hits.
[44:41.800 --> 44:45.800]  This book is only available at www.risingpricesemptyshelves.com
[44:45.800 --> 44:48.800]  You'll also get a free copy of Supermarket Survival,
[44:48.800 --> 44:50.800]  how to cut your grocery bills in half.
[44:50.800 --> 44:55.800]  Again, that website is www.risingpricesemptyshelves.com
[44:55.800 --> 45:00.800]  That's www.risingpricesemptyshelves.com
[45:00.800 --> 45:02.800]  Hi folks, this is Alex Jones.
[45:02.800 --> 45:07.800]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[45:07.800 --> 45:09.800]  Saving means to make money.
[45:09.800 --> 45:12.800]  The Calben Pure Soap Company can save you thousands of dollars
[45:12.800 --> 45:16.800]  and give you good old-fashioned real soaps that are triple concentrated
[45:16.800 --> 45:18.800]  and twice as good as what you're using now.
[45:18.800 --> 45:23.800]  Soaps made from vegetable and coconut oils that contain no useless dyes,
[45:23.800 --> 45:26.800]  perfumes, deodorants, or antibacterials.
[45:26.800 --> 45:29.800]  Your risk is the hundreds of hazardous toxic detergents
[45:29.800 --> 45:34.800]  that give you rashes, itching sores, and deteriorating clothing called lint.
[45:34.800 --> 45:37.800]  If you want something better, if you want something you've never had before,
[45:37.800 --> 45:39.800]  you have to do something you've never done before.
[45:39.800 --> 45:44.800]  Getting a free catalog is easy by calling 800-340-7091
[45:44.800 --> 45:48.800]  or see Calben on the Web at 5starsoap.com.
[45:48.800 --> 45:52.800]  Take charge of your health now by calling 800-340-7091
[45:52.800 --> 46:15.800]  or see Calben on the Web at 5starsoap.com.
[46:22.800 --> 46:51.800]  You can find the video at www.EndofAmerica3.com.
[46:51.800 --> 46:53.800]  The number 3.com.
[46:53.800 --> 46:56.800]  Watch the free video at www.EndofAmerica3.com.
[46:56.800 --> 47:23.800]  That's www.EndofAmerica3.com.
[47:23.800 --> 47:29.800]  Okay folks, we don't screen your calls and we've got more than a score of them there holding.
[47:29.800 --> 47:31.800]  I want to go to you.
[47:31.800 --> 47:41.800]  I don't know what I can say to you today about Ron Paul to get you angry enough
[47:41.800 --> 47:44.800]  to get the word out to stop this hoax.
[47:44.800 --> 47:47.800]  We've already seen the fact that the media was ignoring him
[47:47.800 --> 47:51.800]  when he was in second and third place and not mentioning him as a candidate.
[47:51.800 --> 47:54.800]  That blew up a month ago in their face.
[47:54.800 --> 48:00.800]  And now they're back to just scrubbing him from polls he wins and other things.
[48:00.800 --> 48:02.800]  But it's a big deal.
[48:02.800 --> 48:06.800]  And I even hear Ron Paul's supporters saying too bad he can't win,
[48:06.800 --> 48:09.800]  too bad he's not a top tier candidate buying the propaganda.
[48:09.800 --> 48:12.800]  And that's why this country is where we are now.
[48:12.800 --> 48:17.800]  Ron Paul is the only candidate that can beat Barack Obama.
[48:17.800 --> 48:20.800]  In fact, they've done major focus groups, Gallup polls, you can pull them up.
[48:20.800 --> 48:29.800]  Ron Paul performs the best in a head to head run right now with voters across the board.
[48:29.800 --> 48:36.800]  He performs the best against Barack Obama beating him hands down.
[48:36.800 --> 48:39.800]  They first had these polls six months ago and he was neck and neck.
[48:39.800 --> 48:45.800]  What's going to happen with a Mitt Romney or a Rick Perry as they're going to get into the campaign,
[48:45.800 --> 48:49.800]  all the dirt's going to come out on them and Barack Obama's going to end up being president again.
[48:49.800 --> 48:51.800]  But it doesn't matter.
[48:51.800 --> 48:57.800]  In fact, it's almost better that Barack Obama be president instead of Mitt Romney or Rick Perry
[48:57.800 --> 49:01.800]  because they're all working for the same globalist, anti-American interest.
[49:01.800 --> 49:06.800]  And Obama will have spent all his political capital, be absolutely hated,
[49:06.800 --> 49:10.800]  and probably get impeached down the road if he gets reelected.
[49:10.800 --> 49:15.800]  With a Mitt Romney or a Rick Perry, it'll be forget about all the stuff Obama did,
[49:15.800 --> 49:20.800]  just like they did with Bush, and it'll take time to expose the new person as a puppet.
[49:20.800 --> 49:26.800]  That's why it's so essential now to expose Rick Perry and Mitt Romney's real record.
[49:26.800 --> 49:29.800]  And we've been doing that with Rick Perry.
[49:29.800 --> 49:33.800]  And I've talked to Ron Paul on and off air.
[49:33.800 --> 49:39.800]  You notice he's gone after Rick Perry for supporting carbon taxes and supporting gun control
[49:39.800 --> 49:46.800]  and supporting Napa Super Highways and supporting forced inoculations and being Al Gore's chief of staff in Texas
[49:46.800 --> 49:48.800]  and supporting Hillary care.
[49:48.800 --> 49:51.800]  Oh, you're a new listener. You didn't know all those things.
[49:51.800 --> 49:56.800]  I would tell people those things two years ago about Rick Perry nationally,
[49:56.800 --> 50:01.800]  because I'm syndicated around the country, and people would call me saying I was a liar.
[50:01.800 --> 50:06.800]  Now they finally went and looked it up and people are like, whoa.
[50:06.800 --> 50:09.800]  Well, let's move on from Rick Perry for a moment.
[50:09.800 --> 50:14.800]  Mitt Romney supports and is praised by Al Gore for supporting carbon taxes
[50:14.800 --> 50:18.800]  that will end industry as we know it in this country.
[50:18.800 --> 50:20.800]  What's left of it?
[50:20.800 --> 50:28.800]  Wrote the book, actually wrote the Massachusetts health care law that is the Obama model for health care.
[50:28.800 --> 50:36.800]  And I've got to see all these dyed in the wool, blue haired type Republicans getting off on Mitt Romney
[50:36.800 --> 50:39.800]  because he's an effeminate Kindle type.
[50:39.800 --> 50:44.800]  I mean, can't we have somebody that in one of these metrosexual pretty boys with their hair cut just right
[50:44.800 --> 50:51.800]  and they look like Kindle up there and male cheerleaders like Rick Perry with that fake good old boy thing.
[50:51.800 --> 50:53.800]  I mean, it makes me want to throw up.
[50:53.800 --> 50:58.800]  Every time I watch Rick Perry saddling up to some old lady and, you know, telling her how are you doing,
[50:58.800 --> 51:02.800]  sweetie pie and using some fake charm on them makes me want to throw up.
[51:02.800 --> 51:04.800]  So let's go ahead and play this clip.
[51:04.800 --> 51:07.800]  This is Ron Paul in the last debate being asked, who's your running mate going to be?
[51:07.800 --> 51:10.800]  And Ron Paul says, well, I am now in the polls number three.
[51:10.800 --> 51:13.800]  So as soon as I'm number one or number two, I'll announce who my running mate will be.
[51:13.800 --> 51:14.800]  Think about it.
[51:14.800 --> 51:21.800]  The establishment will not report that in all the scientific polls, he's number one, number two, or number three.
[51:21.800 --> 51:26.800]  Ron Paul just says I'm number three and you're being told by talk show host local and national.
[51:26.800 --> 51:28.800]  He cannot win.
[51:28.800 --> 51:37.800]  And they get frustrated with all the Ron Paul supporters calling in like, like, like you're a kook or you're some minority.
[51:37.800 --> 51:42.800]  All we've got to do is expose Rick Perry and Mitt Romney's real record and it's over for them.
[51:42.800 --> 51:49.800]  We've got three and a half good months ahead of the beginning of the caucuses and primaries in Iowa, Florida, New Hampshire.
[51:49.800 --> 51:51.800]  We can put Ron Paul in there.
[51:51.800 --> 51:57.800]  He is exponentially growing and he's broken through the first few hoaxes that he can't win.
[51:57.800 --> 52:05.800]  In fact, I told you that Rick Perry's whole numbers would start dropping before he'd even announced he was number one.
[52:05.800 --> 52:08.800]  Now he's fallen number two, number three, or number four in every poll.
[52:08.800 --> 52:16.800]  Here's Time Magazine out this week, the rise of Rick Perry and trying to prop him up, trying to say he's the he's the man.
[52:16.800 --> 52:20.800]  And what does it say in here in the first page? Give me a document cam shot for viewers.
[52:20.800 --> 52:30.800]  It says if he can deal with the Tea Party, if he can win them over because they they don't think he's real, he can win.
[52:30.800 --> 52:36.800]  You see, he's got to become Ron Paul to win.
[52:36.800 --> 52:40.800]  Aggie Yell Leader, that means cheerleader, Texas governor, one time Democrat,
[52:40.800 --> 52:44.800]  since launching his campaign for President Rick Perry has turned the Republican Party upside down.
[52:44.800 --> 52:51.800]  And he win over the Tea Party without making independent voters cringe as if the Tea Party is unpopular.
[52:51.800 --> 52:56.800]  The ideas of liberty and freedom and Second Amendment and private property rights, those are extremely popular ideas.
[52:56.800 --> 53:04.800]  But the controlled media says, oh, you're white if you're in the Tea Party, automatically trying to say if you're black or Hispanic or Asian, you can't be for freedom.
[53:04.800 --> 53:06.800]  It's always about dividing everybody.
[53:06.800 --> 53:08.800]  So here's Rick Perry.
[53:08.800 --> 53:11.800]  Now, what's happened to Rick Perry?
[53:11.800 --> 53:14.800]  Now, this article, Herman Cain wins Florida straw poll and stunning victory.
[53:14.800 --> 53:17.800]  Rick Perry in deep trouble.
[53:17.800 --> 53:25.800]  You know, as slick talking as Alan West is, you notice he went ahead and voted for the spending increase, even though he promised he wouldn't.
[53:25.800 --> 53:34.800]  Same thing with Herman Cain, pro-patriot act, formerly worked for the Federal Reserve, pro-torture, pro-national sales tax.
[53:34.800 --> 53:37.800]  And by the way, now he's announced they're going to keep the income tax as well.
[53:37.800 --> 53:43.800]  It was always the plan to bring in a sales tax or a consumption tax, a VAT tax.
[53:43.800 --> 53:45.800]  That's what the big central banks want.
[53:45.800 --> 53:46.800]  They're not going to get rid of the income tax.
[53:46.800 --> 53:47.800]  They're going to change the name of it.
[53:47.800 --> 53:49.800]  You're not going to get rid of the income tax and get a sales tax.
[53:49.800 --> 53:50.800]  You're going to get both.
[53:50.800 --> 53:54.800]  And I told you that 15 years ago, it's always been the central banks plan.
[53:54.800 --> 53:57.800]  That's what they're demanding right now in Europe.
[53:57.800 --> 53:59.800]  But again, why did folks vote for Herman Cain?
[53:59.800 --> 54:04.800]  He spent the last two years there before he even announced his campaign, basically campaigning there.
[54:04.800 --> 54:07.800]  So he won, Rick Perry didn't win.
[54:07.800 --> 54:08.800]  And what do they say?
[54:08.800 --> 54:11.800]  Herman Cain wins Florida's straw poll and stunning victory.
[54:11.800 --> 54:15.800]  Rick Perry in deep trouble.
[54:15.800 --> 54:17.800]  And I agree with the Miami Herald.
[54:17.800 --> 54:24.800]  His poll numbers are plunging.
[54:24.800 --> 54:26.800]  His poll numbers are plunging.
[54:26.800 --> 54:29.800]  But Rick Perry got 14% Ron Paul right behind him.
[54:29.800 --> 54:33.800]  And that's in Florida.
[54:33.800 --> 54:43.800]  So again, who can beat Barack Obama in all the major polls in a head to head race?
[54:43.800 --> 54:50.800]  Ron Paul, who is undisputedly in third place with the establishment Democrat Republican across the board,
[54:50.800 --> 54:53.800]  telling you he can't win and scared to death of him.
[54:53.800 --> 54:59.800]  And when he does win polls, dragging it off the NBC or Fox websites.
[54:59.800 --> 55:02.800]  Ron Paul, that's who they're scared of.
[55:02.800 --> 55:07.800]  Oh, by the way, I thought I would mention this.
[55:07.800 --> 55:11.800]  Rick Perry literally gets up there as 10 years as governor.
[55:11.800 --> 55:15.800]  He doubled the size of the state budget, double taxes, brought in three new taxes,
[55:15.800 --> 55:19.800]  the franchise tax and others that are really an income tax on businesses.
[55:19.800 --> 55:27.800]  Rick Perry, who tried to hand 8,000 miles of roads over to foreign companies and grab hundreds of thousands of not millions of acres in eminent domain.
[55:27.800 --> 55:36.800]  A guy that's for forced inoculations on and on and on while he was governor and made city sanctuary cities and in state tuition and all the rest of it.
[55:36.800 --> 55:40.800]  And he said, well, it'd be downright mean in the debate to not give illegals in state tuition.
[55:40.800 --> 55:46.800]  Really, somebody from Oklahoma doesn't get that coming to Texas.
[55:46.800 --> 55:50.800]  You know, if you go to Mexico, you don't get in state tuition.
[55:50.800 --> 55:53.800]  If you're an illegal or an immigrant, you get arrested.
[55:53.800 --> 55:56.800]  Mexico has some of the most draconian immigration laws in the world, but that's okay.
[55:56.800 --> 56:00.800]  We're just supposed to have bleeding hearts here and have open borders.
[56:00.800 --> 56:02.800]  By the way, I want Mexico to have freedom.
[56:02.800 --> 56:07.800]  I don't want the UN down there forcing the people off their land up to Mexico City and then north.
[56:07.800 --> 56:10.800]  The point is, it's all globalism and the globalists are for it.
[56:10.800 --> 56:23.800]  But 81% of the jobs were immigrants and 95% of those, this is Wall Street Journal, Daily Mail, you name it, 93% of those weren't even legal.
[56:23.800 --> 56:28.800]  80 plus percent were immigrants and 90 plus percent were illegals.
[56:28.800 --> 56:37.800]  That's the new jobs in Texas because Rick Perry made it the biggest sanctuary state in the country after California.
[56:37.800 --> 56:42.800]  Vicente Fox came here six years ago and gave him awards that I bullhorned.
[56:42.800 --> 56:44.800]  I shut down their speech at the governor's mansion.
[56:44.800 --> 56:45.800]  It's on video.
[56:45.800 --> 56:46.800]  It's online.
[56:46.800 --> 56:47.800]  Just type in Battle for the Republic.
[56:47.800 --> 56:48.800]  That's the name of the documentary.
[56:48.800 --> 56:49.800]  It's in there.
[56:49.800 --> 56:51.800]  Online YouTube.
[56:51.800 --> 56:57.800]  I bullhorned him and always get emails going, show me where Rick Perry got awards from Vicente Fox.
[56:57.800 --> 56:59.800]  And I send people out the email.
[56:59.800 --> 57:01.800]  I send them the video.
[57:01.800 --> 57:03.800]  Yes, yes, yes, here it is.
[57:03.800 --> 57:11.800]  Immigrants take most jobs in Texas as Americans fill only 20% of vacancies in the state.
[57:11.800 --> 57:12.800]  Here's another one.
[57:12.800 --> 57:14.800]  Did immigrants take most of the new jobs in Texas?
[57:14.800 --> 57:15.800]  Washington Post.
[57:15.800 --> 57:23.800]  81% of jobs created in Texas and so seven have gone to newly arrived immigrants with 93% of which are illegal immigrants.
[57:23.800 --> 57:27.800]  93% of the 81% of jobs are illegal aliens.
[57:27.800 --> 57:29.800]  That's who Rick Perry is.
[57:29.800 --> 57:31.800]  Carbon taxes.
[57:31.800 --> 57:32.800]  Hillary care.
[57:32.800 --> 57:34.800]  Same thing with Mitt Romney.
[57:34.800 --> 57:40.800]  And you idiot Republicans love getting up there on the radio and supporting it.
[57:40.800 --> 57:42.800]  And you're going to get what you deserve.
[57:42.800 --> 57:44.800]  A bankrupt imploded police state America.
[57:44.800 --> 57:47.800]  You're just as idiots as the Obama supporters.
[57:47.800 --> 57:49.800]  You're idiots.
[57:49.800 --> 57:51.800]  Hello friends, Alex Jones here.
[57:51.800 --> 57:54.800]  You all know I've worked for years with Steve Shank and E-Foods Direct.
[57:54.800 --> 57:57.800]  I have E-Foods for my own emergency food supply.
[57:57.800 --> 58:00.800]  You know Steve, life is different now for all of us, isn't it?
[58:00.800 --> 58:01.800]  Very different.
[58:01.800 --> 58:04.800]  People are using this great food to survive the present hurricane season.
[58:04.800 --> 58:11.800]  And we've already had $40 billion worth of damage from floods, storms, quakes and droughts.
[58:11.800 --> 58:13.800]  And that's just the first eight months of this year.
[58:13.800 --> 58:17.800]  Natural disasters are newsworthy, but only touch a few of us Americans.
[58:17.800 --> 58:21.800]  The huge issue of the greatest depression is on everyone's mind.
[58:21.800 --> 58:27.800]  The unemployment, the loss of homes, lost businesses and skyrocketing food costs are hitting every American.
[58:27.800 --> 58:29.800]  So everyone needs food security.
[58:29.800 --> 58:33.800]  Folks, this month you will get free shipping on every food order from E-Foods Direct.
[58:33.800 --> 58:36.800]  That's right, every order gets free shipping starting September 6th.
[58:36.800 --> 58:39.800]  Get stocked up with the best horrible foods out there with E-Foods Direct.
[58:39.800 --> 58:42.800]  And be prepared for any emergency before it happens.
[58:42.800 --> 58:49.800]  Take advantage of this special call 800-409-5633 or go to E-FoodsDirect.com forward slash Alex.
[58:50.800 --> 58:54.800]  Hundreds of nations have fallen to tyranny in the last century alone.
[58:54.800 --> 58:58.800]  This is our last chance to not relive history.
[58:58.800 --> 59:03.800]  As we're finishing off this agenda, they'll be pulling the rug from underneath the Americans at home.
[59:03.800 --> 59:07.800]  We have tremendous influence on our President and Congress.
[59:07.800 --> 59:09.800]  And they really are calling the shots.
[59:09.800 --> 59:14.800]  I think it's incumbent upon all of us as American citizens to pay attention.
[59:14.800 --> 59:17.800]  Fall of the Republic identifies the enemies of our nation.
[59:17.800 --> 59:24.800]  The criminal offshore cartel held bent on destroying sovereignty and on its ashes constructing world government.
[59:24.800 --> 59:28.800]  Tim Geithner, Bernanke, they're arsonists. They're asking for more matches.
[59:28.800 --> 59:31.800]  And the Congress is saying, who do we make the check out to?
[59:31.800 --> 59:33.800]  Today seems like nobody does care.
[59:33.800 --> 59:38.800]  And right now in Washington D.C. we have seen a fall of the Republic.
[59:38.800 --> 59:43.800]  Get your copy of Fall of the Republic on DVD at infowars.com.
[59:43.800 --> 01:00:12.800]  We're watching online right now in super high quality at prisonplanet.tv.
[01:00:12.800 --> 01:00:20.800]  Okay, look, it's so elementary and so simple that Ron Paul is being cheated that I've gotten so angry today
[01:00:20.800 --> 01:00:22.800]  that I have hardly been able to talk.
[01:00:22.800 --> 01:00:29.800]  I rarely stumble about and I've done that someday because it's so ridiculous to watch the entire establishment running scared from Ron Paul.
[01:00:29.800 --> 01:00:31.800]  I know we got a bunch of callers.
[01:00:31.800 --> 01:00:38.800]  Robert Berry, TJ Jim, Carol, Troy, Benjamin, Jerry, Will, Chase, Kathy, Brian, I will get to every single one of you.
[01:00:38.800 --> 01:00:43.800]  Look, he's just popping in for five, six minutes with an update on the arrest at Wall Street.
[01:00:43.800 --> 01:00:45.800]  The demonstration's there.
[01:00:45.800 --> 01:00:47.800]  Pop it in for about five minutes.
[01:00:47.800 --> 01:00:51.800]  The next segment just back from Colorado with a martial law drill is Aaron Dice.
