[00:00:03.010 --> 00:00:18.191]  InfoWars has been banned.
[01:00:35.821 --> 01:00:37.422]  And these people, they're so weak.
[01:00:37.422 --> 01:00:40.986]  They know that the only way they can beat you is to cripple you.
[01:00:40.986 --> 01:00:44.489]  And that's what they've done with literally every conservative and libertarian voice.
[01:00:44.489 --> 01:00:48.292]  Anyone right of Ben Shapiro gets banned.
[01:00:48.292 --> 01:00:50.474]  Because these people can't have an argument.
[01:00:51.004 --> 01:00:52.205]  With those guys.
[01:00:52.205 --> 01:00:54.206]  They can't have an argument with Alex Jones.
[01:00:54.206 --> 01:00:55.386]  They can't do it because they'll lose.
[01:00:55.386 --> 01:00:57.407]  They can't have an argument with Gavin Guinness.
[01:00:57.407 --> 01:00:59.509]  They can't do it because they'll lose.
[01:00:59.509 --> 01:01:02.050]  So, what do you do when you can't beat your opponent?
[01:01:03.089 --> 01:01:03.869]  You get rid of them.
[01:01:03.869 --> 01:01:04.510]  You ban them.
[01:01:04.510 --> 01:01:05.130]  You cripple them.
[01:01:05.130 --> 01:01:07.712]  You make sure that they can't fight back.
[01:01:07.712 --> 01:01:08.852]  That's what's been done to me.
[01:01:08.852 --> 01:01:10.833]  That's what's been done to hundreds of other people.
[01:01:26.142 --> 01:01:28.164]  But that's what this is all about, folks.
[01:01:28.164 --> 01:01:30.065]  And it's about total control.
[01:01:30.065 --> 01:01:32.887]  And then once you submit to them, there's always something else you've got to submit to.
[01:01:32.887 --> 01:01:35.089]  It's a global social credit score.
[01:01:35.089 --> 01:01:36.890]  It's an electronic straitjacket.
[01:01:36.890 --> 01:01:38.511]  It's turning you into a robot.
[01:01:38.511 --> 01:01:39.352]  Say no to it.
[01:01:39.352 --> 01:01:44.455]  I'm going to come back, give the number out, take calls for the rest of the transmission.
[01:01:44.455 --> 01:01:46.037]  I am Alex Jones.
[01:01:46.037 --> 01:01:47.698]  This is your InfoWard.
[01:01:47.698 --> 01:01:50.420]  You built this the very time we're in.
[01:01:50.420 --> 01:01:52.021]  Beyond Epic, I salute you.
[01:01:54.173 --> 01:01:57.836]  A major life lesson just took place last night.
[01:01:57.836 --> 01:02:04.162]  The top story in the country was that Hunter Biden's laptop information had come out.
[01:02:04.162 --> 01:02:08.846]  Him with hookers and shooting porno movies and crackpipes.
[01:02:08.846 --> 01:02:13.230]  But the real news was how he had indeed been bought off by Burisma.
[01:02:13.690 --> 01:02:18.532]  And it done so at the behest of his father, who was getting large parts of the money.
[01:02:18.532 --> 01:02:26.215]  But you see, Twitter and Facebook and others totally censored the info, and even censored major news publications, and even censored the President.
[01:02:26.215 --> 01:02:29.896]  But when the President and Congress said they were going to take action, suddenly, Jack...
[01:02:30.456 --> 01:02:34.157]  of Twitter said he didn't know what had happened and it was wrong.
[01:02:34.157 --> 01:02:35.898]  And that's the big life lesson here.
[01:02:35.898 --> 01:02:41.660]  Standing up and saying no to organized crime, rapid tearing, is the way to stop it.
[01:02:41.660 --> 01:02:48.462]  Groveling to it and letting big tech lie to us and run over us is the way to make these tyrants continue to go absolutely crazy.
[01:02:48.462 --> 01:02:51.503]  Remember, they support Communist China and its death camps.
[01:02:51.503 --> 01:02:52.544]  What will they do to us?
[01:02:52.544 --> 01:02:53.204]  Well, we now know.
[01:03:06.079 --> 01:03:09.182]  So, just a microcosm of it...
[01:03:15.905 --> 01:03:28.789]  Saturday, there was a big demonstration of a couple thousand people at the Governor's Mansion in downtown Austin, Texas, by the Capitol, saying, we want the lockdowns to end, we want the face masks to end, we want all businesses to be essential.
[01:03:28.789 --> 01:03:30.550]  It's causing the third world to starve to death.
[01:03:30.550 --> 01:03:35.912]  The United Nations admits it's killing hundreds of times more what it's actually saving.
[01:03:35.912 --> 01:03:37.092]  The UN had just said that.
[01:03:39.500 --> 01:03:41.241]  The night before, no one had covered it then.
[01:03:41.241 --> 01:03:42.961]  Of course, the president covered it Monday.
[01:03:42.961 --> 01:03:44.842]  It's now a big story.
[01:03:44.842 --> 01:03:50.305]  But we're there, reporting this really important news, the governor, and they banned my son's Twitter.
[01:03:50.305 --> 01:03:55.347]  They said that violates community guidelines against dangerous COVID disinformation.
[01:03:55.347 --> 01:03:57.828]  I've got stacks of articles here where members of Congress
[01:03:58.939 --> 01:04:09.503]  Have medical doctors in hearings about if you have enough vitamin D and vitamin C and zinc, you cannot get any of these COVID viruses because they can't replicate inside the cells mitochondria.
[01:04:09.503 --> 01:04:11.424]  I mean, that's on the damn NIH website.
[01:04:11.424 --> 01:04:26.870]  But now Twitter, I've got a stack of articles here, is censoring CDC and NIH and National Health Service as well in the UK when that stuff's published, including 10-year-old studies.
[01:04:29.079 --> 01:04:31.501]  So Big Tech is publicly wedded to Big Pharma.
[01:04:31.501 --> 01:04:35.724]  You look at these big companies, they're all co-invested.
[01:04:35.724 --> 01:04:46.132]  And whereas you used to be able to have a consumer report site and comment about what happened when you took a drug or took a vaccine, they're saying, no, no, no, you don't do that.
[01:04:46.132 --> 01:04:52.937]  And so my son on Saturday, he said, I bet if I post this, it'll be my third strike because you're criticizing the lockdown.
[01:04:52.937 --> 01:04:55.199]  And he said, I'm going to put it up anyways.
[01:04:55.199 --> 01:04:56.940]  And they banned it.
[01:04:56.940 --> 01:04:58.281]  But he made that step.
[01:04:58.281 --> 01:04:58.782]  That's good.
[01:05:01.308 --> 01:05:23.702]  Because Congress is now seeing the House and Senate committees put out reports about, hey, the media's wrong to be censoring these confirmed emails and photos and porn videos and, more importantly, emails of Hunter Biden talking to the head of Burisma about getting paid off for his father.
[01:05:23.702 --> 01:05:27.724]  And they blocked the committees now, ladies and gentlemen.
[01:05:33.783 --> 01:05:35.145]  That's government.
[01:05:35.145 --> 01:05:39.130]  They're involved in something if the government came in live time through AI.
[01:05:39.130 --> 01:05:46.179]  Imagine if the NSA was coming in, if the National Post Office, which I've said should have its own social media network.
[01:05:47.799 --> 01:05:48.920]  It's a counterbalance.
[01:05:48.920 --> 01:05:50.401]  It should have its own video network.
[01:05:50.401 --> 01:05:51.722]  Taxpayers already pay for it.
[01:05:51.722 --> 01:05:53.544]  There's post offices communication.
[01:05:53.544 --> 01:05:55.205]  And then have the First Amendment over it.
[01:05:55.205 --> 01:05:57.688]  Everyone would use that post office system.
[01:05:57.688 --> 01:06:00.070]  It would work as good as Twitter or Facebook.
[01:06:00.070 --> 01:06:02.131]  And if it wasn't illegal, you couldn't do it.
[01:06:02.131 --> 01:06:03.693]  You're like, well, Jones, you're a libertarian.
[01:06:04.511 --> 01:06:07.052]  The corporations are bigger than government now.
[01:06:07.052 --> 01:06:08.312]  They've got more power.
[01:06:08.312 --> 01:06:13.574]  And we see them as corporations that have, have invincible rights when we have no rights.
[01:06:13.574 --> 01:06:19.957]  It was one thing for the Supreme Court ruling, you know, 200 years ago to say that corporations are individuals and have rights.
[01:06:19.957 --> 01:06:21.057]  That was dangerous enough.
[01:06:21.057 --> 01:06:29.400]  But now they have all these rights and we real people don't.
[01:06:29.400 --> 01:06:32.161]  So, this is a big wake-up call and
[01:06:35.518 --> 01:06:48.088]  Jack of Twitter, Jack Dorsey, came out last night and said, oh, in a lawyer statement, oh, this is unacceptable, we shouldn't be taking this down.
[01:06:48.088 --> 01:06:54.433]  When Congress finally said, that's racketeering, we're going to shut you down for censorship, he went, oh, we don't know what's happening.
[01:06:54.433 --> 01:06:58.816]  But now he's being subpoenaed for who made the orders, who did the what, exactly.
[01:06:58.816 --> 01:07:00.838]  Because they're acting as a government.
[01:07:00.838 --> 01:07:03.420]  They're acting like a Soviet slash communist government.
[01:07:05.111 --> 01:07:18.981]  They're watching what we do, they're controlling what we say, and now they came out and said, a month ago, if lawmakers or anybody else says that Trump wins and an authoritative source has not said it, we will ban you.
[01:07:18.981 --> 01:07:20.182]  We will block or ban you.
[01:07:20.182 --> 01:07:21.864]  And again, they said, well, what's an authoritative source?
[01:07:21.864 --> 01:07:32.612]  They said ADL, Southern Poverty Law Center, DNC, CNN, MSNBC, New York Times, Washington Post, Associated Press, Reuters.
[01:07:34.144 --> 01:07:38.006]  So, oh, those are the authoritative sources.
[01:07:38.006 --> 01:07:48.190]  If Trump's got 97% of the ballots in, and you count all the ballots that are out, and say all those are for Biden, but still that means Trump's gonna win, with the numbers you say, okay, he's won.
[01:07:48.190 --> 01:07:53.352]  They say, no, we're gonna hold it up until every ballot's counted, and that's their admitted strategy.
[01:07:53.352 --> 01:08:00.595]  John Podesta, in a phone call with the New York Times, with a bunch of Democrats on the line during a war game, admitted that's their strategy.
[01:08:01.550 --> 01:08:07.756]  To never concede, hold it up, use the 20th Amendment to remove Trump.
[01:08:07.756 --> 01:08:19.368]  And so they rolled this battle plan out and they said a month ago, Big Tech said, anyone that doesn't go against, anyone that says something other than what the establishment says, authoritative sources, will be banned.
[01:08:19.368 --> 01:08:20.389]  Will be banned.
[01:08:20.389 --> 01:08:21.130]  Will be banned.
[01:08:21.130 --> 01:08:22.091]  Will be banned.
[01:08:22.091 --> 01:08:22.911]  Will be restricted.
[01:08:22.911 --> 01:08:23.432]  Will be blocked.
[01:08:25.575 --> 01:08:33.621]  And I said, they're going to just start banning everybody up to the election, and then by the time we're there, a few days before, everyone's accounts are going to be locked down.
[01:08:33.621 --> 01:08:41.726]  And finally, the day of, they're going to lock the President's down, once all of his support's been locked down, once all the Congress has been locked down.
[01:08:41.726 --> 01:08:46.290]  I said a month ago, you heard me, I said, they're going to start censoring committees.
[01:08:46.290 --> 01:08:47.931]  They're going to start censoring C-SPAN.
[01:08:48.211 --> 01:08:50.252]  They're going to start censoring TV feeds.
[01:08:50.252 --> 01:08:53.713]  They're going to censor the president when he gets up there at 2 a.m.
[01:08:53.713 --> 01:08:57.195]  on election night on November 4th and announces he's won.
[01:08:57.195 --> 01:09:00.416]  They're going to block that feed!
[01:09:00.416 --> 01:09:03.818]  And holy hell, they just said they're going to do that exactly.
[01:09:03.818 --> 01:09:11.281]  Because if they've got unlimited power and no one's going to stand up to them, it's easy to extrapolate and say, okay,
[01:09:13.168 --> 01:09:15.989]  Past behavior is the most indicative of future performance.
[01:09:15.989 --> 01:09:16.729]  What are they going to do?
[01:09:16.729 --> 01:09:19.250]  Plus, they're telling us what they're going to do.
[01:09:19.250 --> 01:09:20.810]  And I sit there and watch Josh Hawley.
[01:09:20.810 --> 01:09:23.191]  Well, gee, Jiminy Crickets.
[01:09:23.191 --> 01:09:25.631]  We finally got you, Smoking Gun.
[01:09:25.631 --> 01:09:26.592]  And then Jim Jordan.
[01:09:26.592 --> 01:09:27.712]  I sent you a letter.
[01:09:27.712 --> 01:09:29.032]  Explain yourself.
[01:09:29.032 --> 01:09:31.493]  We might have to look at Section 230.
[01:09:31.493 --> 01:09:32.453]  Jiminy Crickets.
[01:09:32.453 --> 01:09:34.114]  Oh, Jeepers Creepers.
[01:09:34.114 --> 01:09:35.594]  Oh, and Senator Cruz.
[01:09:35.594 --> 01:09:38.435]  This looks mighty bad, what you did.
[01:09:38.435 --> 01:09:39.515]  Are you going to stop it?
[01:09:43.717 --> 01:09:46.578]  Because they're all scared.
[01:09:46.578 --> 01:09:49.018]  And they're doing nothing.
[01:09:49.018 --> 01:09:51.279]  And we're being sold out.
[01:09:51.279 --> 01:09:53.640]  Communist China isn't conquering America.
[01:09:53.640 --> 01:09:56.240]  It just provided the financing.
[01:09:56.240 --> 01:09:59.541]  Big tech and the multinational corporations have.
[01:09:59.541 --> 01:10:00.522]  And they want to get rid of it.
[01:10:00.522 --> 01:10:03.362]  And they're pissed that Trump wants to make decisions.
[01:10:03.362 --> 01:10:05.043]  They don't care that Trump made them all this money.
[01:10:05.043 --> 01:10:07.003]  They don't care if... No, no.
[01:10:07.003 --> 01:10:08.584]  They want to piss on America's grave.
[01:10:09.551 --> 01:10:11.132]  And they're mad that Trump makes decisions.
[01:10:11.132 --> 01:10:12.953]  They just want him out of the way because he makes decisions.
[01:10:12.953 --> 01:10:14.713]  That's why they hate him.
[01:10:14.713 --> 01:10:16.514]  And all these other guys just want to survive.
[01:10:16.514 --> 01:10:23.357]  They're just jockeying to get in a position of power down the road because they know they're going to flip-flop power between Republicans and Democrats.
[01:10:23.357 --> 01:10:25.038]  And so they're not going to do too much.
[01:10:25.038 --> 01:10:26.879]  They're going to demand answers.
[01:10:26.879 --> 01:10:29.020]  Answers?
[01:10:29.020 --> 01:10:34.262]  If I walked up, hypothetically, I never do this, I like Senator Cruz, and hit him in the head with a baseball bat,
[01:10:35.629 --> 01:10:37.069]  And his teeth are knocked out.
[01:10:37.069 --> 01:10:38.330]  He can barely talk.
[01:10:38.330 --> 01:10:38.850]  Blood's pouring.
[01:10:38.850 --> 01:10:40.651]  He goes, Why'd you do that?
[01:10:40.651 --> 01:10:42.091]  I want answers!
[01:10:42.091 --> 01:10:44.872]  And I'll be like, Well, I'm trying to kill your ass!
[01:10:44.872 --> 01:10:45.812]  What do you mean you want answers?
[01:10:45.812 --> 01:10:47.333]  Here, I'll give you another answer.
[01:10:47.333 --> 01:10:49.033]  How about some break your ribs?
[01:10:49.033 --> 01:10:50.153]  Boom!
[01:10:50.153 --> 01:10:51.374]  Oh, how about your collarbone?
[01:10:51.374 --> 01:10:51.634]  Ha!
[01:10:52.074 --> 01:10:54.155]  How about we'll just go ahead and knock your brains out?
[01:10:54.155 --> 01:10:57.196]  Which I'm not, don't want that, it's hypothetical.
[01:10:57.196 --> 01:11:00.097]  And he's sitting there on the ground like, ribs broken, dying.
[01:11:00.097 --> 01:11:03.438]  I'm like, do you got any questions for me?
[01:11:03.438 --> 01:11:04.499]  Do you know what I'm doing?
[01:11:04.499 --> 01:11:08.440]  It's like the Alamo, you're being overrun by 5,000 troops bayonetting you.
[01:11:08.440 --> 01:11:13.342]  I mean, was Colonel Travis asking what Santa Ana's intent was?
[01:11:13.342 --> 01:11:20.745]  I mean, you walk out in the parking lot, you got a case of beer in your hands.
[01:11:21.658 --> 01:11:25.120]  Some dude pulls a gun out and says, give me your beer, give me your money.
[01:11:25.120 --> 01:11:31.484]  It's like asking him, what is your intent?
[01:11:31.484 --> 01:11:33.765]  I'm like, here, take my beer.
[01:11:33.765 --> 01:11:34.706]  You're right.
[01:11:34.706 --> 01:11:36.647]  They're so used to people going along with it.
[01:11:36.647 --> 01:11:45.732]  The guy actually, with his gun, takes the case of beer, hit him in the side, hit him with an elbow, get him down, break those ribs, just rack him.
[01:11:47.261 --> 01:11:50.363]  Get my beer, get in my car, roll out.
[01:11:50.363 --> 01:11:51.584]  Roll out.
[01:11:51.584 --> 01:11:54.246]  See, I don't need him to tell me his intentions.
[01:11:54.246 --> 01:11:55.668]  As soon as he pointed that gun at me...
[01:11:56.758 --> 01:11:59.360]  I just instinctively went, here, have your beer.
[01:11:59.360 --> 01:12:02.142]  And when he took it, he was hurt real bad.
[01:12:02.142 --> 01:12:03.143]  That's a true story.
[01:12:03.143 --> 01:12:04.183]  I try to act tough.
[01:12:04.183 --> 01:12:05.985]  That's just how the real world works.
[01:12:05.985 --> 01:12:07.165]  But I guess I'm a throwback.
[01:12:07.165 --> 01:12:08.246]  I'm a caveman.
[01:12:08.246 --> 01:12:14.090]  I'm not one of these people that just rolls over and rolls over and rolls over and rolls over.
[01:12:14.090 --> 01:12:17.953]  And now we're going to find out that rolling over, over and over again doesn't get us somewhere good.
[01:12:17.953 --> 01:12:19.294]  It gets us somewhere bad.
[01:12:19.294 --> 01:12:20.215]  And 18 days out,
[01:12:21.405 --> 01:12:36.675]  They plan on destroying this country during the contested election, for civil war, with massive big tech media ganged up on America, doing this to us, and the average person at the Pentagon, the average police chief, is just going to wait it out because they're winners.
[01:12:36.675 --> 01:12:37.675]  They're smart.
[01:12:37.675 --> 01:12:39.296]  They never commit to anything.
[01:12:39.296 --> 01:12:43.259]  They just sit back like little followers and wait to see who's going to win.
[01:12:43.259 --> 01:12:46.121]  We all lose under this dumbasses.
[01:12:46.121 --> 01:12:46.681]  We'll be right back.
[01:12:46.681 --> 01:12:47.422]  Stay with us.
[01:12:47.422 --> 01:12:48.202]  Infowars.com.
[01:12:48.202 --> 01:12:48.803]  We'll give you the number.
[01:12:48.803 --> 01:12:50.324]  We're going to open the phones up straight ahead.
[01:12:50.324 --> 01:12:50.624]  Stay with us.
[01:12:52.205 --> 01:12:59.186]  It was in the Telecommunications Act of 1996 that all new cell phones would track your GPS location.
[01:12:59.186 --> 01:13:04.607]  I read from the federal law and listeners couldn't believe me because that was un-American.
[01:13:04.607 --> 01:13:21.290]  Now the media admits that almost every app and every company that are on Apple and on Droids don't just track your location, but your surfing history, where you go, who you talk to, your relationships, and they all share the data with each other of what you're doing on the apps as well.
[01:13:21.750 --> 01:13:33.975]  Including having apps turn on and listen to what you're saying, just like Siri or Alexa do, and then putting databases, transcripts of everything you say into those systems to be saved forever.
[01:13:33.975 --> 01:13:39.217]  Your phone is spying on you and companies are generating secret surveillance scores based on information.
[01:13:39.217 --> 01:13:42.338]  This is the Global Chinese Communist Social Credit Score.
[01:13:42.338 --> 01:13:49.140]  Get your protection privacy pockets at InfoWarstore.com and cut Big Brother off dead in his filthy tracks.
[01:13:49.140 --> 01:13:50.321]  InfoWarstore.com.
[01:13:52.706 --> 01:13:56.847]  The answer to 1984 is 1776.
[01:13:56.847 --> 01:14:11.329]  Info Wars has been banned.
[01:14:11.329 --> 01:14:11.810]  Arrested.
[01:14:11.810 --> 01:14:18.031]  Attacked and threatened.
[01:14:18.031 --> 01:14:19.831]  Because we are effective.
[01:14:21.338 --> 01:14:23.159]  The Great Awakening is here.
[01:14:23.159 --> 01:14:24.799]  Go to band.video.
[01:14:24.799 --> 01:14:29.581]  Download the videos and share.
[01:14:29.581 --> 01:14:36.884]  Support the Information War at infowarstore.com.
[01:14:36.884 --> 01:14:39.545]  And never give up the fight.
[01:14:55.060 --> 01:15:06.827]  You're listening to the Alex Jones Show.
[01:15:06.827 --> 01:15:10.849]  Live from Austin, Texas in the last Resistance Holdouts.
[01:15:10.849 --> 01:15:11.870]  Broadcasting worldwide.
[01:15:11.870 --> 01:15:17.393]  By the time you figure out how bad it is, you better be ready.
[01:15:17.393 --> 01:15:19.534]  We've never made any assumptions.
[01:15:19.534 --> 01:15:23.397]  If you are receiving this transmission, you are the Resistance.
[01:15:25.001 --> 01:15:30.649]  Live from the InfoWars.com studios, it's Alex Jones.
[01:15:30.649 --> 01:15:32.251]  You know, there's some good news in all this.
[01:15:32.251 --> 01:15:37.158]  Our Affiliate Relations Director has been a producer and worked on this show, I don't know, 17 years, John.
[01:15:38.775 --> 01:15:43.859]  He said he's never been flooded by stations, wanting to pick up more of the show, wanting to help us.
[01:15:43.859 --> 01:15:47.841]  And realizing that, oh, they used to think Alex gets people awake, but he's a little crazy.
[01:15:47.841 --> 01:15:48.742]  He goes too far.
[01:15:48.742 --> 01:15:50.523]  Now, they turn on the news.
[01:15:50.523 --> 01:15:53.745]  Pentagon says forced inoculations coming.
[01:15:53.745 --> 01:15:55.387]  You'll never take your mask off.
[01:15:55.387 --> 01:15:57.928]  Local pedophile group to speak to your children about pedophilia.
[01:15:57.928 --> 01:15:58.989]  How great it is.
[01:15:58.989 --> 01:16:00.710]  I mean, it's just out in the open.
[01:16:00.710 --> 01:16:03.072]  Believe me, folks, I didn't make any of this up.
[01:16:03.072 --> 01:16:05.213]  I'm not happy about this.
[01:16:05.213 --> 01:16:05.914]  This is real.
[01:16:07.858 --> 01:16:12.961]  But I tell you these stories, and I tell you these things, this is not made up.
[01:16:12.961 --> 01:16:15.242]  None of this is made up.
[01:16:15.242 --> 01:16:19.565]  Believe me, I wish it was every damn day.
[01:16:19.565 --> 01:16:22.087]  And it's not fun to stand up against these people.
[01:16:22.087 --> 01:16:25.489]  But I gotta do it, because it's gonna be worse if we don't.
[01:16:25.489 --> 01:16:27.270]  Let me give the number out, and they start getting the clips.
[01:16:27.270 --> 01:16:30.552]  I've got like 30-something incredible clips, and I wanna take your calls.
[01:16:30.552 --> 01:16:37.016]  I had a bunch of big guests today that we're gonna reschedule, but I wanted to just open the phones up, and I'm pontificating here, but it's just such an epic time to be alive.
[01:16:38.530 --> 01:16:50.177]  When House and Senate committees are being banned on Twitter, we're in a lot of trouble.
[01:16:50.177 --> 01:16:54.019]  And that is election rigging.
[01:16:54.019 --> 01:16:55.940]  And again, we knew it was coming!
[01:16:55.940 --> 01:17:02.443]  The logical extension of Congress doing nothing is this!
[01:17:02.443 --> 01:17:05.145]  So again, I say to Libertarians, I get your Libertarian idea.
[01:17:05.145 --> 01:17:06.466]  I've been a Libertarian when it comes to
[01:17:07.931 --> 01:17:11.352]  Civil rights and our private lives.
[01:17:11.352 --> 01:17:20.295]  But when corporations become bigger than government, and act like a cross between Hitler and Mao Zedong, and we go, oh, well, the Heritage Foundation, it's free market.
[01:17:20.295 --> 01:17:21.916]  No, it's not!
[01:17:21.916 --> 01:17:24.037]  They're tyrants!
[01:17:24.037 --> 01:17:30.379]  And our republic is there to block the organization of such tyrannical operations against the people.
[01:17:30.379 --> 01:17:34.761]  And I don't ask, I demand President Trump and Congress take action.
[01:17:34.761 --> 01:17:35.641]  But then you look at Trump,
[01:17:37.236 --> 01:17:38.937]  And he's on fire saying arrest him!
[01:17:38.937 --> 01:17:39.778]  World government!
[01:17:39.778 --> 01:17:41.680]  The communist Chinese are running this!
[01:17:41.680 --> 01:17:43.161]  Vote for me or communist China!
[01:17:43.161 --> 01:17:45.503]  That's exactly what we've said he should say!
[01:17:45.503 --> 01:17:46.264]  Because it's true!
[01:17:47.486 --> 01:17:50.729]  Does it sound crazy that we let ourselves get to this point?
[01:17:50.729 --> 01:17:52.690]  Yes, but that's like CNN.
[01:17:52.690 --> 01:17:54.372]  Oh, he's insane.
[01:17:54.372 --> 01:17:55.313]  25th Amendment.
[01:17:55.313 --> 01:17:58.075]  He's saying China is backing Democrats.
[01:17:58.075 --> 01:18:00.117]  Pelosi said China wants Biden.
[01:18:00.117 --> 01:18:01.898]  China owns almost all of Hollywood.
[01:18:01.898 --> 01:18:03.200]  They own almost all the debt.
[01:18:03.200 --> 01:18:06.923]  They're threatening to blow up our aircraft carriers for going through the South China Sea.
[01:18:06.923 --> 01:18:08.004]  It's been open forever!
[01:18:09.855 --> 01:18:11.876]  It's never been under China's control.
[01:18:11.876 --> 01:18:13.077]  China just runs along it.
[01:18:13.077 --> 01:18:15.479]  It's like saying Gulf of Mexico.
[01:18:15.479 --> 01:18:23.205]  Does that mean Mexico controls Texas and Louisiana and Mississippi and Florida?
[01:18:23.205 --> 01:18:25.186]  It's called Gulf of Mexico.
[01:18:25.186 --> 01:18:29.549]  It doesn't mean that Mexico controls the whole Gulf.
[01:18:29.549 --> 01:18:30.690]  It's the same crap!
[01:18:32.179 --> 01:18:33.800]  But it's much bigger than the Gulf of Mexico!
[01:18:33.800 --> 01:18:39.181]  Can you imagine if the Mexicans had battleships going around threatening to blow stuff up if you entered the Gulf of Mexico?
[01:18:39.181 --> 01:18:40.201]  They would never even do that!
[01:18:40.201 --> 01:18:41.962]  It's insane!
[01:18:41.962 --> 01:18:44.283]  The Mexicans want your business!
[01:18:44.283 --> 01:18:49.324]  But China wants control, ladies and gentlemen.
[01:18:49.324 --> 01:18:50.525]  It's like the English Channel.
[01:18:50.525 --> 01:18:52.045]  It's called the English Channel.
[01:18:52.045 --> 01:19:01.028]  Does England then say that the Netherlands and Germany and France and all those countries can't use it?
[01:19:01.028 --> 01:19:01.128]  No.
[01:19:04.827 --> 01:19:06.008]  It's like you're going to Death Valley.
[01:19:06.008 --> 01:19:07.469]  They got Death Valley Pass.
[01:19:07.469 --> 01:19:09.430]  Because you're going to Death Valley.
[01:19:09.430 --> 01:19:10.290]  It's the same thing.
[01:19:10.290 --> 01:19:10.871]  English Channel.
[01:19:10.871 --> 01:19:11.971]  You're in France?
[01:19:11.971 --> 01:19:15.613]  It's called the English Channel because on the other side's England!
[01:19:15.613 --> 01:19:17.454]  Doesn't mean England owns the water.
[01:19:17.454 --> 01:19:18.615]  I'm going off on a jag.
[01:19:18.615 --> 01:19:29.561]  It's just... I see CNN and MSNBC like China owns the water from the north of Japan and Russia, from the Arctic Ocean, all the way down to the Philippines.
[01:19:29.561 --> 01:19:30.182]  No you don't!
[01:19:31.294 --> 01:19:34.676]  You don't own 2,000 miles of water, you jackasses.
[01:19:34.676 --> 01:19:36.877]  See, but see, I'm informed.
[01:19:36.877 --> 01:19:38.578]  And to me, it's not even smart.
[01:19:38.578 --> 01:19:40.039]  It's like, cool to know this stuff.
[01:19:40.039 --> 01:19:41.379]  It's cool to study history.
[01:19:41.379 --> 01:19:45.682]  And then I know all this stuff, and other people think I'm, like, making it up.
[01:19:45.682 --> 01:19:47.322]  I was with a medical doctor yesterday.
[01:19:47.322 --> 01:19:48.423]  Smart guy, nice guy.
[01:19:48.423 --> 01:19:54.646]  He was putting a post in for an implant, because I clenched my teeth and finally lost a few of these teeth.
[01:19:54.646 --> 01:19:58.708]  Clenched, clenched it, and he's like, yeah, no, I know most deaths are in the nursing homes.
[01:19:58.708 --> 01:19:59.489]  Why do you think that is?
[01:20:00.782 --> 01:20:12.495]  And I go, well Doc, it's because they're not getting any sunlight, vitamin D3, and a lot of their food's debilitated, and they have a lot of leafy vegetables, vitamin C, plus they have a lot of malabsorption in the lower and upper intestines.
[01:20:12.495 --> 01:20:21.425]  Once someone's above the age of 75, there has to be a higher level of supplementation to be able to offset the malabsorption issue with those type of disorders.
[01:20:22.066 --> 01:20:25.147]  That we tend to see over and over again, and I listed a few disorders.
[01:20:25.147 --> 01:20:35.348]  I said, so what they really need is a regiment, like they did during the Spanish Flu, about an hour of sunlight a week, and boost of vitamin D and vitamin C and vitamin, and the guy's mouth was hanging open.
[01:20:35.348 --> 01:20:37.729]  He's like, well, my professors didn't talk like that.
[01:20:37.729 --> 01:20:42.070]  Well, I mean, well, why didn't they then, dude?
[01:20:42.070 --> 01:20:47.131]  I mean, it's not like I'm Snap, Dragon, and Pop here, because I know all this.
[01:20:47.131 --> 01:20:48.571]  What happened to people?
[01:20:50.168 --> 01:21:01.051]  The viruses cannot replicate after insertion of their RNA strain into the DNA in a high zinc, vitamin D, C environment.
[01:21:01.051 --> 01:21:04.552]  Replication is impossible by reprogramming the mitochondria.
[01:21:04.552 --> 01:21:14.695]  That's simple viral reproduction information that you learn in 7th grade.
[01:21:14.695 --> 01:21:15.916]  But people don't know that.
[01:21:15.916 --> 01:21:19.677]  They don't know 7th grade information.
[01:21:20.560 --> 01:21:23.842]  All right, I said I'd give the number up.
[01:21:23.842 --> 01:21:25.162]  Pull free number to join us, 877-789-ALEX, 877-789-ALEX, 877-789-2539.
[01:21:25.162 --> 01:21:25.743]  First-time callers, 877-789-2539.
[01:21:25.743 --> 01:21:29.445]  If you're calling from outside the U.S., sometimes 1-800 numbers don't work, you can dial your country access code at 512-646-1776.
[01:21:47.441 --> 01:21:49.382]  I'm just so fired up with 18 Days Out.
[01:21:49.382 --> 01:21:50.943]  I mean, they're going to contest.
[01:21:50.943 --> 01:21:52.364]  They're going to try to break the country up.
[01:21:52.364 --> 01:21:53.744]  They've got riot teams.
[01:21:53.744 --> 01:21:55.885]  They've got assassination teams.
[01:21:55.885 --> 01:22:01.748]  You heard Caputo come out a month ago and he got in trouble for it, saying they got hit teams.
[01:22:01.748 --> 01:22:05.310]  The cover for the hit teams is anti for their decoys.
[01:22:05.310 --> 01:22:06.351]  All this is real, folks.
[01:22:07.091 --> 01:22:10.813]  And I'm not glad the fight's here, but at a sick level I am.
[01:22:10.813 --> 01:22:18.698]  Because people aren't going to sit on their hands while babies get aborted and devil worshippers run around with their tongues hanging out, without now you paying something.
[01:22:18.698 --> 01:22:23.761]  So everybody's sitting on the fence that thought they could sit on the fence, you got, what do they call it?
[01:22:23.761 --> 01:22:25.762]  Skin in the game.
