[00:00:18.470 --> 00:00:20.392]  It's Wednesday, November 18th.
[00:57:31.462 --> 00:57:34.824]  And then the video's just gone!
[00:57:34.824 --> 00:57:39.006]  More breaking news is coming right now, FBI's investigating Texas Attorney General Ken Paxton,
[00:57:41.724 --> 00:57:49.228]  Saying he, well we'll have to see, this sounds like FBI targeting of Ken Paxson because he stopped this deal in Texas.
[00:57:49.228 --> 00:57:57.273]  And of course, we've got Alex Jones live with Nick Fuentes, Ali Alexander, Vernon Jones.
[00:57:57.273 --> 00:57:59.674]  Let's go back live to the feed that we have right here.
[00:57:59.674 --> 00:58:02.456]  They're now inside the Capitol building as Patriots are pouring in.
[00:58:04.864 --> 00:58:07.446]  Can't be managed!
[00:58:07.446 --> 00:58:07.906]  Yes!
[00:58:07.906 --> 00:58:09.227]  That's right.
[00:58:09.227 --> 00:58:10.067]  We're on the same team.
[00:58:10.067 --> 00:58:10.447]  We are.
[00:58:10.447 --> 00:58:12.368]  But listen.
[00:58:12.368 --> 00:58:13.389]  Give us your number.
[00:58:13.389 --> 00:58:14.089]  Okay.
[00:58:14.089 --> 00:58:15.770]  This is the guy that first went to all the hospitals.
[00:58:15.770 --> 00:58:17.231]  Yeah, I know your camera guy.
[00:58:17.231 --> 00:58:19.892]  I went to the bathroom in your hotel room in D.C.
[00:58:19.892 --> 00:58:21.773]  where you broadcast the show last Saturday.
[00:58:21.773 --> 00:58:23.134]  Yeah, great job, man.
[00:58:23.134 --> 00:58:23.795]  Great.
[00:58:23.795 --> 00:58:25.075]  Not even on purpose.
[00:58:25.075 --> 00:58:26.116]  Alex, I'm entering the lobby.
[00:58:26.116 --> 00:58:26.936]  I got into the bathroom.
[00:58:26.936 --> 00:58:27.957]  All the bathrooms are locked.
[00:58:27.957 --> 00:58:28.857]  He's like, here's our room key, 1298.
[00:58:28.857 --> 00:58:33.300]  Alright, so we've got just people kind of cutting it up there with Alex as I think he's waiting for
[00:58:34.721 --> 00:58:39.243]  He is waiting for the rest of the people to get in there, and they'll probably do an address from inside the building.
[00:58:39.243 --> 00:58:42.165]  I'm sure Vernon Jones and others will too.
[00:58:42.165 --> 00:58:45.927]  Again, there was just one metal detector they all had to go through, so it's probably going to take some time.
[00:58:45.927 --> 00:58:50.229]  Many of them had a bunch of flags and stuff, so probably they're going to have to put those back in their car.
[00:58:50.229 --> 00:59:04.097]  So, we'll continue to monitor this, but again, Alex Jones is going to be at the State Capitol Building in Atlanta, Georgia every day at noon up to and including Saturday.
[00:59:05.706 --> 00:59:09.348]  You know, the crew was kind of asking me, you know, are you, uh, do you have the itch to be back out there?
[00:59:09.348 --> 00:59:11.449]  Are you kind of missing this?
[00:59:11.449 --> 00:59:25.038]  Uh, yeah, you always are, uh, but, you know, at the same time, it's, it's good, it's, it's relieving to see that there's other Patriots gathering, uh, gathering, because when I went on this journey last week, it was just me.
[00:59:25.038 --> 00:59:32.062]  Now you've got Fuentes organizing with them, now you've got Ali Alexander organizing with them, now you've got Vernon Jones organizing with them, with, of course, Alex Jones, so,
[00:59:32.802 --> 00:59:45.671]  Yeah, I'm always going to have that, call it, I guess, a competitive itch just to be out there doing your thing, but it's very comforting knowing that other Patriots are rising up and organizing and activating as well.
[00:59:45.671 --> 01:00:01.321]  And I have a feeling if this continues like this, and I was saying this to Alex, like, if we continue to do this coverage and to lead these events like we are, well, it's going to be a long journey ahead, folks.
[01:00:02.662 --> 01:00:19.436]  So, but I'm seeing people that are still with the, well, I mean, it's like the Stop the Steal Caravan never stopped because I'm seeing people on these feeds that were out there with me in Atlanta, out there with me in Tallahassee, out there with me in Columbia, Raleigh, Richmond, and then DC.
[01:00:19.436 --> 01:00:20.436]  So they're still traveling.
[01:00:20.436 --> 01:00:25.921]  I mean, people are literally like dropping everything to just go wherever they need to be to stop the steal from President Trump.
[01:00:25.921 --> 01:00:29.884]  So that's incredible.
[01:00:29.884 --> 01:00:32.106]  And for us,
[01:00:34.688 --> 01:00:39.592]  None of this would be possible without your support at InfoWareStore.com.
[01:00:39.592 --> 01:00:49.980]  And you know, we did a money bomb about a month or so ago, and basically could set up the financial infrastructure to exist as we are for about another year.
[01:00:49.980 --> 01:00:52.962]  And Alex basically decided, you know what?
[01:00:53.933 --> 01:01:11.862]  We're gonna shift this into high gear, and then sent us on the road, sent the caravan on the road, and is now on the road himself, basically saying, okay, we're gonna pull the funds to put us up for the year, we're gonna invest it into this Stop the Steal movement, and we're gonna be out on the scene, we're gonna be bringing crews, and we're gonna be bringing the live streams, as well as our normal live coverage.
[01:01:11.862 --> 01:01:15.444]  So, it's all made possible with your support at InfoWarsTore.com, folks.
[01:01:16.536 --> 01:01:24.640]  You are our sponsors, and we have the best supplements, the best air filters, the best water filters, the best emergency food supplies.
[01:01:24.640 --> 01:01:27.821]  It's all at InfoWarsStore.com.
[01:01:27.821 --> 01:01:30.443]  A lot of people come up to me on the road wanting to donate.
[01:01:30.443 --> 01:01:31.723]  They just try to hand me cash.
[01:01:31.723 --> 01:01:32.423]  I always reject it.
[01:01:32.423 --> 01:01:34.164]  I say, go to InfoWarsStore.com, shop.
[01:01:34.164 --> 01:01:35.165]  There's a whole crew here.
[01:01:35.165 --> 01:01:37.286]  I'm not the only one that works at InfoWars.
[01:01:37.286 --> 01:01:38.826]  We have a whole crew here.
[01:01:38.826 --> 01:01:41.508]  They work 15 hours a day, just like the rest of us.
[01:01:42.552 --> 01:01:53.801]  InfoWarsStore.com, the Stop the Steal sale is happening right now at InfoWarsStore.com.
[01:01:53.801 --> 01:01:59.125]  DNA Force Plus, if you did one thing for your immune system, it would be get all the essential things.
[01:01:59.125 --> 01:02:01.446]  And that's the clean iodine, X2 or X3.
[01:02:01.446 --> 01:02:03.088]  That's the biotrichoselenium.
[01:02:03.088 --> 01:02:05.049]  That is the vitamin D3.
[01:02:05.049 --> 01:02:06.470]  That is the C. That is the zinc.
[01:02:06.470 --> 01:02:08.712]  There's 13 vitamins and minerals that are essential without them you die.
[01:02:08.712 --> 01:02:10.153]  And studies show you really need the other ones too.
[01:02:10.433 --> 01:02:11.734]  But DNA Force goes beyond that.
[01:02:11.734 --> 01:02:23.324]  It helps get all that in the cells and out the cells with PQQ and CoQ10 of the highest quality sources with other ingredients that clean out the cells, that unclog them so all that stuff can get in.
[01:02:23.324 --> 01:02:24.365]  Viruses don't get in.
[01:02:24.365 --> 01:02:25.406]  The good stuff gets in.
[01:02:25.406 --> 01:02:29.450]  As the NIH website says, if you have all the proper things, they can't replicate like they could.
[01:02:29.730 --> 01:02:32.132]  I do this because it's essential, like oxygen, like water.
[01:02:32.132 --> 01:02:35.456]  DNA Force sold out for months, 50% off out of the gates.
[01:02:35.456 --> 01:02:38.759]  Triple Patriot Points, free shipping, InfoWarsTore.com.
[01:02:38.759 --> 01:02:41.201]  DNA Force Election Special, that's going to have to end in a week.
[01:02:41.201 --> 01:02:44.084]  We've got a limited supply and it was very hard to get the PQQ this time.
[01:02:44.084 --> 01:02:47.628]  A lot of our stuff can't get anymore, a lot of our products, because the supply chain's broken down.
[01:02:47.628 --> 01:02:48.689]  That's part of the Global's plan.
[01:02:48.689 --> 01:02:49.650]  InfoWarsTore.com or 888-253-3139.
[01:02:49.650 --> 01:02:51.011]  I want to thank you all for tuning in.
[01:02:56.083 --> 01:02:57.449]  I don't know.
[01:03:26.277 --> 01:03:29.359]  We are now in hour two of the Alex Jones Show.
[01:03:29.359 --> 01:03:34.983]  We're gonna pick up the live stream from the Capitol again in about a half an hour.
[01:03:34.983 --> 01:03:40.027]  I've got other news I'm gonna get to as well as video reports in the meantime.
[01:03:42.281 --> 01:03:52.603]  Boy, I mean, it's just so... Do I go down the fake pandemic and everything they're doing with the torture, psychological torture, medical tyranny that's coming with that?
[01:03:52.603 --> 01:03:54.483]  New lockdowns happening nationwide.
[01:03:54.483 --> 01:04:01.385]  Biden vows to have massive lockdowns, mask mandates, basically kill everything, all human freedom.
[01:04:01.385 --> 01:04:04.345]  And he's now assembling the cabinet to do it.
[01:04:04.345 --> 01:04:07.766]  We've got all that information.
[01:04:07.766 --> 01:04:07.966]  But...
[01:04:09.713 --> 01:04:18.417]  I feel that, oh my gosh, you've got Democrats, you know, I'm going to try not to yell and scream and get frustrated today.
[01:04:18.417 --> 01:04:27.620]  It's just Democrats are the most disingenuous scum I've ever seen in my life.
[01:04:27.620 --> 01:04:29.941]  And it's just so sick.
[01:04:29.941 --> 01:04:34.103]  It's so sick because, you know, you look at a Joe Biden and you get it.
[01:04:35.094 --> 01:04:40.496]  Here's a corrupt politician who has enriched himself beyond anybody's wildest dreams.
[01:04:40.496 --> 01:04:42.317]  You understand that?
[01:04:42.317 --> 01:04:44.978]  He's a money-grubbing corrupt political whore.
[01:04:44.978 --> 01:04:45.959]  Has been for decades.
[01:04:45.959 --> 01:04:46.999]  Okay, you get that.
[01:04:46.999 --> 01:04:48.520]  It's kind of simple.
[01:04:48.520 --> 01:04:49.300]  Okay.
[01:04:49.300 --> 01:04:51.541]  He's into underage people.
[01:04:51.541 --> 01:04:52.941]  He's probably got his access there.
[01:04:52.941 --> 01:04:57.784]  He's into stealing and looting money left and right from all these foreign nations.
[01:04:57.784 --> 01:04:58.664]  We know about all that.
[01:04:58.664 --> 01:05:00.725]  He's got his son as his mule, his brother as his rat hole.
[01:05:04.926 --> 01:05:07.407]  Say, okay, this is a guy who's just selfish criminal.
[01:05:07.407 --> 01:05:09.207]  Likes to get his rocks off, likes to enrich himself.
[01:05:09.207 --> 01:05:10.927]  It's basic criminality.
[01:05:10.927 --> 01:05:12.668]  You can make sense of it.
[01:05:12.668 --> 01:05:29.551]  But, when you see these low-level Democrats on city councils now, that are the most disingenuous scum you've ever seen in your life, now making threats to Republican poll watchers, you just, why?
[01:05:29.551 --> 01:05:30.631]  Why are you such scum?
[01:05:30.631 --> 01:05:31.872]  What is in it for you?
[01:05:31.872 --> 01:05:33.292]  You don't, you're not enriching yourself.
[01:05:35.265 --> 01:05:38.347]  You're not having hookers and drugs delivered to you at your whim.
[01:05:38.347 --> 01:05:38.868]  So why?
[01:05:38.868 --> 01:05:41.009]  It's just because they're disingenuous scum!
[01:05:41.009 --> 01:05:42.430]  They just love it!
[01:05:42.430 --> 01:05:46.433]  They love being vile filth!
[01:05:46.433 --> 01:05:51.817]  And it makes me sick that this is what we're up against.
[01:05:51.817 --> 01:05:54.358]  So, let me play this clip.
[01:05:54.358 --> 01:05:55.319]  And there's two of these clips.
[01:05:55.319 --> 01:05:56.640]  I don't even want to play the other one.
[01:06:00.745 --> 01:06:01.765]  Clip one here, guys.
[01:06:01.765 --> 01:06:05.206]  Let's start it from the point where I have it scrubbed to.
[01:06:05.206 --> 01:06:15.548]  Listen to a Democrat threatening GOP canvassers who just want to make sure that the election in Georgia is fair and counted accurately.
[01:06:15.548 --> 01:06:23.750]  Listen to what they are accused of in a Zoom meeting when discussing whether or not to certify the Wayne County results.
[01:06:25.216 --> 01:06:40.652]  Monica Palmer and William Hartman will forever be known in southeastern Michigan as two racists who did something so unprecedented that they disenfranchised hundreds of thousands of black voters in the city of Detroit because they were ordered to.
[01:06:41.172 --> 01:06:41.613]  Probably.
[01:06:41.613 --> 01:06:46.178]  I know, Monica, you think Q told you to do it or some other crazy stuff like that.
[01:06:46.178 --> 01:06:55.428]  But just know, when you try to sleep tonight, that millions of people around the world now on Twitter know the name Monica Palmer and William Hartman as two people completely
[01:06:56.189 --> 01:07:02.872]  Racist and without an understanding of what integrity means or a shred of human decency.
[01:07:02.872 --> 01:07:15.218]  The law isn't on your side, history won't be on your side, your conscience will not be on your side, and Lord knows when you go to meet your maker, your soul is going to be very, very warm.
[01:07:15.218 --> 01:07:20.520]  You are a sick, sad little man.
[01:07:20.520 --> 01:07:21.821]  Ned Stabler.
[01:07:21.821 --> 01:07:24.942]  And then you had
[01:07:26.300 --> 01:07:43.184]  Another one, a Democrat state representative-elect, Abraham Ayyash, who did the same thing to Monica, and then said, now all the world will know your kids' names and where they go to school, and then said that on a live public transmission.
[01:07:44.994 --> 01:07:47.255]  So now her kids are going to have their lives ruined too.
[01:07:47.255 --> 01:07:49.357]  Do you know how sick these Democrats are, folks?
[01:07:49.357 --> 01:07:50.457]  They are sick.
[01:07:50.457 --> 01:07:52.018]  They are mentally deranged.
[01:07:52.018 --> 01:07:55.701]  They are an immediate threat and danger to everyone around.
[01:07:55.701 --> 01:08:07.428]  You know, it's kind of like, you got the insane person that's like, clearly off their rocker at a mental institution.
[01:08:10.492 --> 01:08:15.035]  Likes to stab people with knives, and you see them with a knife, and basically everyone gets on high alert.
[01:08:15.035 --> 01:08:17.217]  It's like, whoa, okay.
[01:08:17.217 --> 01:08:21.160]  Mentally deranged psychopath who likes to stab with a knife has a knife.
[01:08:21.160 --> 01:08:23.682]  We all need to be... That's who these people are!
[01:08:23.682 --> 01:08:29.546]  That's the average, low-life Democrat voter these days.
[01:08:29.546 --> 01:08:33.349]  And they've got a knife, and they're deranged, and they're about to go on a stabbing spree.
[01:08:36.155 --> 01:08:50.463]  When you're going on public transmissions and accusing people of being racists simply because they want to make sure the election is fair, that's their job, and then you double down and you name their kids and where they go to school and you tell the world that?
[01:08:50.463 --> 01:08:52.404]  Because you want them to be terrorized?
[01:08:52.404 --> 01:08:58.307]  You belong in a mental institution, if not locked up for criminal behavior.
[01:08:58.307 --> 01:09:01.429]  And, you know, I'm just trying to control myself here because
[01:09:04.653 --> 01:09:07.834]  Folks, these people want to run your life.
[01:09:07.834 --> 01:09:19.096]  And they want to torture you and your family and your lineage for the rest of time because these are sick, demonic freaks.
[01:09:19.096 --> 01:09:26.298]  They are sick, demonic freaks who choose not to live in reality but instead
[01:09:29.471 --> 01:09:43.778]  Make up their own fantasy land realities, built around their own mentally deranged ideologies, and then virtue signal as if they have the moral high ground when everybody knows they have none.
[01:09:43.778 --> 01:09:47.339]  Hey, you have the choice to kill your kid.
[01:09:47.339 --> 01:09:48.660]  Do I have a choice to wear a mask?
[01:09:48.660 --> 01:09:50.601]  Nope.
[01:09:50.601 --> 01:09:53.362]  That's all you need to know about Democratic Party politics right there.
[01:09:53.362 --> 01:09:54.903]  Choice to kill your kid?
[01:09:54.903 --> 01:09:55.703]  Yes.
[01:09:55.703 --> 01:09:57.124]  Choice to wear a face mask?
[01:09:57.124 --> 01:09:57.344]  No.
[01:09:58.595 --> 01:09:59.896]  These are tyrants.
[01:09:59.896 --> 01:10:02.959]  These are sick, mentally ill people, folks.
[01:10:02.959 --> 01:10:04.820]  Okay?
[01:10:04.820 --> 01:10:06.101]  They're sick.
[01:10:06.101 --> 01:10:09.184]  They are an immediate danger to society.
[01:10:09.184 --> 01:10:13.627]  And you're seeing... You're seeing the pitfalls of their ideologies.
[01:10:13.627 --> 01:10:15.709]  You're seeing the pitfalls of their media.
[01:10:15.709 --> 01:10:19.572]  You're seeing the pitfalls of their politics.
[01:10:19.572 --> 01:10:20.913]  You had a million Trump people in D.C.
[01:10:22.105 --> 01:10:22.666]  Over the weekend.
[01:10:22.666 --> 01:10:23.026]  None.
[01:10:23.026 --> 01:10:23.146]  None.
[01:10:23.146 --> 01:10:23.266]  None.
[01:10:23.266 --> 01:10:23.346]  None.
[01:10:37.574 --> 01:10:40.216]  How much crime was done by millions of Trump supporters in D.C.
[01:10:40.216 --> 01:10:41.177]  this weekend?
[01:10:41.177 --> 01:10:41.917]  None.
[01:10:41.917 --> 01:10:46.020]  How much crime was done by the thousands of people that joined me on the Stop the Steal Caravan?
[01:10:46.020 --> 01:10:46.740]  None.
[01:10:46.740 --> 01:10:51.864]  How much damage has been done today in Georgia, in Atlanta at the state capitol, by the people rallying?
[01:10:51.864 --> 01:10:54.046]  None.
[01:10:54.046 --> 01:11:04.333]  And then the scum of the liberal left is gonna sit here on the moral high ground and call us names and say we're the violent ones and we have to sit here and take it?
[01:11:08.183 --> 01:11:19.792]  Eventually, that finger that you keep poking us with is gonna get bit off, but it's gonna be the whole hand.
[01:11:19.792 --> 01:11:21.693]  It's just sick, man.
[01:11:21.693 --> 01:11:25.476]  These people are so sick.
[01:11:25.476 --> 01:11:30.260]  I mean, how many different levels do you measure their disingenuousness with?
[01:11:30.260 --> 01:11:32.001]  The racism?
[01:11:32.001 --> 01:11:37.245]  I've got this whole thing over here in my stack of news.
[01:11:38.652 --> 01:11:45.758]  A story, headline, should white boys still be allowed to talk?
[01:11:45.758 --> 01:11:46.498]  No!
[01:11:46.498 --> 01:11:47.919]  They say no!
[01:11:47.919 --> 01:11:53.243]  I shouldn't be allowed to talk, and that's why I get censored.
[01:11:53.243 --> 01:12:01.009]  And these are black college students, one of them is a goodwill ambassador of the university.
[01:12:01.009 --> 01:12:03.071]  Says white boys shouldn't be allowed to talk.
[01:12:13.140 --> 01:12:18.564]  They complain about Russian interference, foreign interference, and election integrity for four years.
[01:12:18.564 --> 01:12:23.447]  And then when we, and have no proof by the way, with all their investigations, no proof, nothing.
[01:12:23.447 --> 01:12:38.036]  And then they have been caught red-handed in the most blatant, flagrant election theft in modern day history, and in American history, and they thumb their nose, and they scoff.
[01:12:38.036 --> 01:12:39.297]  The liberal left is so evil.
[01:12:42.355 --> 01:12:49.097]  The Democrat voter is so disingenuous and evil, folks.
[01:12:49.097 --> 01:12:52.057]  And then they think we're gonna suffer in hell when this is all said and done?
[01:12:52.057 --> 01:12:52.398]  Okay.
[01:12:52.398 --> 01:12:59.079]  Urgent warnings are being issued right now by the United Nations, the Davos Group, Bank of America, JPMorgan Chase, Goldman Sachs.
[01:12:59.079 --> 01:13:05.061]  They're saying that the COVID virus is going to cause a global depression and hundreds of millions to starve to death.
[01:13:05.061 --> 01:13:05.721]  Incredible!
[01:13:06.281 --> 01:13:15.169]  They're the very organizations that ordered the global lockdowns that are causing the chain reaction that's causing the mass starvation, not the COVID virus.
[01:13:15.169 --> 01:13:16.331]  That is a fact.
[01:13:16.331 --> 01:13:23.477]  And all the hero sheep that wear the mask to go along with this are signing on to mass murder bigger than what Hitler did.
[01:13:23.477 --> 01:13:26.940]  That's when we got the Geneva Convention and the Nuremberg Code.
[01:13:26.940 --> 01:13:30.744]  This is a medical, world government, tyrannical takeover.
[01:13:31.044 --> 01:13:35.869]  Causing starvation, setting up world IVs, and coming with forced inoculations.
[01:13:35.869 --> 01:13:40.953]  And now Bank of America says global unrest is sure to trigger an even bigger depression.
[01:13:40.953 --> 01:13:42.735]  That story's on Infowars.com.
[01:13:42.735 --> 01:13:51.003]  That's why it's vital for all of you to be public and to say you do not stand for this or the mass global genocide being caused by the planetary Great Reset.
[01:13:52.537 --> 01:13:57.921]  When President Trump said that the mainstream corporate media was the enemy of America, he really was telling the truth.
[01:13:57.921 --> 01:14:04.166]  They don't just work for the communist Chinese, and the globalists, and the EU, and the whole Hollywood, America-hating, God-hating crew.
[01:14:04.166 --> 01:14:13.593]  They literally say that they are in control of our minds, and believe that they do own us, and tell us who the president is, even though that's not in law.
[01:14:13.593 --> 01:14:17.716]  And they're just gaslighting the whole public over and over again, saying, Joe Biden is president-elect.
[01:14:18.604 --> 01:14:21.846]  Repeating it over and over, you know, like a brainwashing mantra.
[01:14:21.846 --> 01:14:27.690]  When it's up, again, to the state government to certify those votes, and those votes are being challenged, there's massive evidence of fraud.
[01:14:27.690 --> 01:14:30.633]  Again, this is so incredibly clear.
[01:14:30.633 --> 01:14:37.557]  Biden said, because he thought he was going to lose up front, that, oh, we're going to challenge the vote, no matter what, until every vote's counted.
[01:14:37.557 --> 01:14:40.560]  Well, a lot of votes haven't been counted, and there's massive fraud being discovered.
[01:14:41.300 --> 01:14:44.681]  We're going to hold the course here because Joe Biden is a communist Chinese agent.
[01:14:44.681 --> 01:14:45.361]  He's a globalist.
[01:14:45.361 --> 01:14:46.541]  He wants carbon taxes.
[01:14:46.541 --> 01:14:50.802]  He will destroy this country by design to consolidate power and take control of us.
[01:14:50.802 --> 01:14:55.403]  This is war.
[01:14:55.403 --> 01:15:04.565]  You're listening to the Alex Jones Show.
[01:15:04.565 --> 01:15:07.846]  I've got a tiger in my tail.
[01:15:15.251 --> 01:15:17.492]  He never gives up.
[01:15:17.492 --> 01:15:19.533]  He's Alex Jones.
[01:15:19.533 --> 01:15:23.935]  Broadcasting from deep in the heart of Texas, worldwide.
[01:15:23.935 --> 01:15:27.276]  Who do you think's up in that blimp?
[01:15:33.024 --> 01:15:36.526]  I'll tell you who's been sitting over us for like 30 minutes.
[01:15:36.526 --> 01:15:37.966]  Brian Stelter.
[01:15:37.966 --> 01:15:39.267]  Humpty Dumpty.
[01:15:39.267 --> 01:15:41.068]  He's up there surveilling us in that blimp.
[01:15:41.068 --> 01:15:44.289]  Now listen, I'm not saying he's a child molester.
[01:15:44.289 --> 01:15:47.531]  I'm just saying I wouldn't let him keep my kids and he looks like a child molester.
[01:15:47.531 --> 01:16:00.237]  If I was again going to be a casting director for a major movie and I was going to have not just a regular child molester, but like an evil clown goblin, like clowns from outer space, that eats children, it would be Brian Stelter.
[01:16:00.237 --> 01:16:02.758]  And then he opens up a big mouth like the clown, big sharp teeth.
[01:16:03.198 --> 01:16:06.560]  And he just, you know, slithers in at night and grabs your kids and runs off with them.
[01:16:06.560 --> 01:16:11.883]  But, you know, what we do know is he's murdering our future and our children's future, and he's murdering the First Amendment.
[01:16:11.883 --> 01:16:14.264]  This is the guy that pushed for me to be deplatformed.
[01:16:14.264 --> 01:16:16.245]  Now he wants Dr. Carlson taken off the air.
[01:16:16.245 --> 01:16:18.186]  He wants OAN taken off the air.
[01:16:18.186 --> 01:16:24.470]  He says it's dangerous that such things exist, that they create a parallel universe!
[01:16:25.768 --> 01:16:29.450]  No, it's you who's created a parallel universe at your little CNN Center.
[01:16:29.450 --> 01:16:33.433]  I know you're perched up there in New York and you're perched in D.C.
[01:16:33.433 --> 01:16:34.954]  Humpty Dumpty with no viewers.
[01:16:34.954 --> 01:16:36.755]  You're really the mouth of Jeff Zucker.
[01:16:36.755 --> 01:16:44.580]  But what we do know is that's the place right here in Atlanta where they counted the ballots that it turned out were flipped from Trump to Biden.
[01:16:44.580 --> 01:16:47.642]  Yes, think of the image of that in the CNN Center.
[01:16:47.642 --> 01:16:50.223]  There they were, election night, counting the ballots.
[01:16:50.223 --> 01:16:54.506]  It is so surreal to be here in Olympic Park where they tried to set up Richard Jewell for the
[01:16:55.981 --> 01:17:00.404]  The bombing of the Olympics turned out to be a patsy false flag operation.
[01:17:00.404 --> 01:17:05.989]  And then right here, under the loving gaze of the Communist News Network, founded by who?
[01:17:05.989 --> 01:17:11.533]  Ted Turner, who wrote books and gave speeches saying he wants to depopulate the Earth by 80%.
[01:17:13.157 --> 01:17:16.641]  And right outside Atlanta is the Georgia Guidestones, ladies and gentlemen.
[01:17:16.641 --> 01:17:22.388]  So we're here covering all this, trying to stop the steal, educating people about what's really happening.
[01:17:22.388 --> 01:17:29.317]  And the only way I could bring the security team with Antifa and Black Lives Matter threat here, and they're strong here, the only way we could be here to cover all this
[01:17:29.697 --> 01:17:30.278]  I think?
[01:17:47.310 --> 01:17:51.234]  Without the CoQ10 and the PQQ that's in it, I would not be alive, I think.
[01:17:51.234 --> 01:17:55.658]  Without X2, I mean, I started taking X2, pure iodine, seven years ago.
[01:17:55.658 --> 01:17:58.360]  My libido, my stamina, everything just peaked.
[01:17:58.360 --> 01:18:00.562]  Most people are iodine deficient.
[01:18:00.562 --> 01:18:07.929]  You have two billion people, the UN admits, that have mental disabilities because of iodine deficiency when they were growing up.
[01:18:07.929 --> 01:18:10.572]  This is such a globalist conspiracy, the iodine conspiracy.
[01:18:10.572 --> 01:18:12.633]  Learn about how it's a good halogen, not the bad halogen.
[01:18:13.454 --> 01:18:16.076]  Again, at M4WarsStore.com, get your X2.
[01:18:16.076 --> 01:18:20.939]  We've got this huge sale that's got to end by this weekend because we're selling out a lot of these products.
[01:18:20.939 --> 01:18:22.940]  A lot of new things have come back in.
[01:18:22.940 --> 01:18:28.484]  Alpha Power that boosts your body's natural testosterone so much more, it's now back in stock.
[01:18:29.204 --> 01:18:33.105]  We've got some other great products that have come back in as well, but a lot of things are selling out.
[01:18:33.105 --> 01:18:36.426]  So, infowarestore.com or 888-253-3139.
[01:18:36.426 --> 01:18:40.307]  That's how you fund a grassroots operation.
[01:18:40.307 --> 01:18:44.948]  We're not funded, like CNN is, by the big military industrial complex and big pharma.
[01:18:44.948 --> 01:18:46.929]  We don't get any military industrial complex money.
[01:18:46.929 --> 01:18:48.109]  We don't get any big pharma money.
[01:18:48.849 --> 01:18:52.050]  We get money directly from you and these are great products at the same time.
[01:18:52.050 --> 01:19:01.592]  So I want to thank you for visiting MFullWarStore.com and shopping with us and just remembering us and bookmarking that site because they took all our sponsors years ago by harassing them.
[01:19:01.592 --> 01:19:02.752]  That's how the left operates.
[01:19:02.752 --> 01:19:03.913]  Death threats, you name it.
[01:19:03.913 --> 01:19:08.094]  But by you coming and buying products directly from us, you keep us on air and that is a revolutionary idea.
[01:19:08.094 --> 01:19:10.434]  So again, MFullWarStore.com or 888-253-3139.
[01:19:10.434 --> 01:19:10.874]  That keeps
[01:19:13.275 --> 01:19:22.140]  All these great shows and our reporters and our crew in the field fighting hard for all of our freedoms, not just for America, but the entire world and a pro-human future.
[01:19:22.140 --> 01:19:24.341]  And again, there's a few other products that have also come back in.
[01:19:24.341 --> 01:19:25.462]  I almost forgot VasoBeats.
[01:19:25.462 --> 01:19:29.644]  It's a really great beet concentrate that's great for your cardiovascular system and your heart.
[01:19:29.644 --> 01:19:31.325]  It creates a nitrous oxide.
[01:19:31.325 --> 01:19:32.526]  The blood is so good.
[01:19:32.526 --> 01:19:34.687]  Look up what concentrated beets do.
[01:19:34.687 --> 01:19:36.748]  Ours is a very strong formula, very high quality.
[01:19:36.748 --> 01:19:37.709]  It's back in stock.
[01:19:37.709 --> 01:19:38.309]  Everything is 50 to 60% off.
[01:19:39.730 --> 01:19:45.551]  Triple Patriot points and free shipping, but it's got to end coming up this weekend, so infowarestore.com or AAA253-3139.
[01:19:45.551 --> 01:19:47.852]  I want to thank you all for your support.
[01:19:47.852 --> 01:19:55.834]  Look, I joke about how creepy Brian Stelter is, but what's really creepy is his attempt to molest and rape and murder the First Amendment while claiming to defend it.
[01:19:55.834 --> 01:20:01.515]  This man is a walking contradiction, a walking fraud, and a menace to any free society or free individual.
[01:20:05.767 --> 01:20:08.529]  The modern day left in a nutshell.
[01:20:08.529 --> 01:20:15.134]  A threat to truth, a threat to free speech, a threat to any independent sovereign citizen.
[01:20:15.134 --> 01:20:17.236]  They are total tyrants, ladies and gentlemen.
[01:20:17.236 --> 01:20:19.137]  They want control over your life.
[01:20:19.137 --> 01:20:21.259]  They want control over your body.
[01:20:21.259 --> 01:20:22.880]  They want control over your children.
[01:20:22.880 --> 01:20:24.982]  These are sick puppies that we're dealing with.
[01:20:30.384 --> 01:20:48.038]  You know, every once in a while I just get these intellectual roadblocks on an issue because I can't get the satisfaction of properly unearthing this or getting an understanding the crew says, no, no, no, we get it, we get it.
[01:20:48.038 --> 01:20:53.182]  I don't feel I'm really properly addressing this.
[01:20:53.182 --> 01:20:57.766]  Maybe I already have and I just can't get over it because these people are so sick and such an immediate threat to our future, but
[01:20:59.289 --> 01:21:06.733]  Again, the disingenuous for these people to cry racism, racism, racism, racism when they're the biggest racist you've ever seen in your life.
[01:21:06.733 --> 01:21:15.056]  The disingenuousness of these people like Obama to say the internet is the single biggest threat to our democracy when they're the ones stealing elections.
[01:21:15.056 --> 01:21:19.018]  I mean, there can't be a bigger threat to democracy other than having fake elections.
[01:21:19.018 --> 01:21:23.981]  I mean, that's... How is free speech a threat to democracy, Barack?
[01:21:23.981 --> 01:21:24.501]  It's not.
[01:21:24.501 --> 01:21:26.782]  It's a threat to their power structure.
