[00:00.000 --> 00:12.000]  We are on the march. The empire is on the run. Alex Jones and the GCN radio network.
[57:23.000 --> 57:28.000]  by architectural defect, or possibly by bombs or aftershocks. Do you have any thoughts on that?
[57:28.000 --> 57:35.000]  Well, it wasn't architectural defect. The World Trade Center was always known as a very, very strong building. Don't forget, that took a big bomb in the basement.
[57:35.000 --> 57:40.000]  Now the basement is the most vulnerable place because that's your foundation. And it withstood that.
[57:40.000 --> 57:49.000]  And I got to see that area about three or four days after it took place because one of my structural engineers actually took me for a tour because he did the building.
[57:49.000 --> 57:54.000]  And I said, I can't believe it. The building was standing solid and half of the columns were blown out.
[57:54.000 --> 58:02.000]  And so this was an unbelievably powerful building. If you know anything about structure, it was one of the first buildings that was built from the outside, the steel.
[58:02.000 --> 58:10.000]  The reason the World Trade Center had such narrow windows is that in between all the windows you had the steel on the outside, the industry on the outside of the building.
[58:10.000 --> 58:18.000]  That's why when I first looked and you had big, heavy I-beams, when I first looked at it, I couldn't believe it because there was a hole in the steel.
[58:18.000 --> 58:24.000]  We're going to go to break, come back and play it again. I'm going to punch out here and let Paul watch and take over with Paul.
[58:24.000 --> 58:28.000]  I'm not kidding. I was literally praying for God to show me whether Trump was totally for real.
[58:28.000 --> 58:33.000]  And can you believe that false flag came to mind that he would expose it? And here it is.
[58:33.000 --> 58:49.000]  This is an amazing video. We'll get back to play the rest of it after the break. Stay tuned. This is the Alex Jones Show Live.
[59:04.000 --> 59:10.000]  Of course, that's been his credo. Down with globalism, the entire campaign.
[59:10.000 --> 59:18.000]  And now that President-elect Donald Trump, who set on money that his first day in office next January, will be to begin the process of withdrawing from the Trans-Pacific Partnership,
[59:18.000 --> 59:23.000]  a prospective trade deal, which has been the centerpiece of the Obama administration. He's going to rebalance it.
[59:23.000 --> 59:28.000]  Now, the Obama administration wanted to rebalance to Asia, but Trump called that a horrible idea.
[59:28.000 --> 59:34.000]  He's saying in an online video message that one of his top priorities in the first 100 days is to ask his transition team to, quote,
[59:34.000 --> 59:40.000]  develop a list of executive actions we can take on day one to restore our laws and bring back our jobs.
[59:40.000 --> 59:46.000]  It's about time when he echoes a sentiment that everyday Americans afield across this country and it looks like he's making good on his promise.
[59:46.000 --> 59:59.000]  I'm Margaret Howe reporting for infowars.com.
[01:00:16.000 --> 01:00:30.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[01:00:30.000 --> 01:00:39.000]  We are back. It's the second hour of the Alex Jones Show when we were talking about this amazing clip up on infowars.com.
[01:00:39.000 --> 01:00:47.000]  Donald Trump talking about 9-Eleven. Never before seen this. I've not seen this clip before and I've seen most of them.
[01:00:47.000 --> 01:00:50.000]  We've got Alex Jones with us to talk about it, but let's go back to this clip.
[01:00:50.000 --> 01:00:56.000]  Donald Trump talking about the events of 9-Eleven. Here it is.
[01:00:56.000 --> 01:01:14.000]  And this is steel that was, you remember the width of the windows in the World Trade Center folks, I think, you know, if you ever up there they were quite narrow and in between was this heavy steel.
[01:01:14.000 --> 01:01:23.000]  I happen to think that they had not only a plane, but they had bombs that exploded almost simultaneously because I just can't imagine anything being able to go through that wall.
[01:01:23.000 --> 01:01:34.000]  Most buildings are built with the steels on the inside around the elevators yet. This one was built from the outside, which is the strongest structure you can have, and it was almost just like a can of soup.
[01:01:34.000 --> 01:01:50.000]  You know, Amanda, we were looking at pictures all morning long of that plane coming into building number two, and when you see that, it approaches the far side, and then all of a sudden, within a matter of a millisecond, the explosion pops out the other side.
[01:01:50.000 --> 01:02:03.000]  I just think that there was a plane with more than just fuel. I think, obviously, there were very big planes that were going very rapidly because I was also watching where the plane seemed to be not only going.
[01:02:03.000 --> 01:02:10.000]  All right, and again, that's just the second half of the club. I'm sure Paul will play it in a longer segment later.
[01:02:10.000 --> 01:02:20.000]  In the end, it's on infowars.com. This is so huge. I'm coming into the office, and I'm going to shoot an emergency report in HD with this. This is just unbelievably powerful.
[01:02:20.000 --> 01:02:30.000]  Again, I don't get into the metaphysical. I'm a Christian. I have a relationship with Jesus Christ, but my whole life, I would have dreams that came true exactly like things later happened.
[01:02:30.000 --> 01:02:36.000]  I kept that private until a few years ago, but a lot of folks have those dreams. It's been proven. It's been documented.
[01:02:36.000 --> 01:02:48.000]  I suppose the sixth sense is dead on women's intuition. You name it. I've really been constantly thinking about the different angles and then also have a lot of sources and looking at what Trump's doing.
[01:02:48.000 --> 01:03:05.000]  It was so clear to me last night, stand behind Trump, supporting, criticize things he does you don't like, but don't make it a hysteria and an anti-Trump train because we know Soros and Michael Moore and others are fomenting this and trying to steal the election from him when they openly stole five states.
[01:03:05.000 --> 01:03:22.000]  He stole five states, and he still won. It's very clear. Get behind Trump more than ever before, but also try to do everything you can to pressure, because he's got pressure on him from the other side for him to appoint nothing but patriots, but don't expect that to happen because he's got to have navigators inside.
[01:03:22.000 --> 01:03:39.000]  But I'm telling you, I never talked like this on there. But last night, I laid there in bed for two hours, got in bed about 10, thought I could go to bed because I'm picking out a family over on Turkey and dressing, and I just kept thinking and thinking and getting up and walking around and drinking ice water.
[01:03:39.000 --> 01:03:52.000]  And I just thought, no, Trump exposed 9-11. Trump threatened the bushes with the information and their Saudi connection. Trump knows, and I thought, well, Trump needs to go public then, and I just thought he will, he will.
[01:03:52.000 --> 01:04:01.000]  Because when you have these deep thoughts that are from your spirit, they're not exact. They're like generals, like looking through a fog. And then I just kept thinking, the Trump card is false flag. He will expose false flag.
[01:04:01.000 --> 01:04:13.000]  He has Trump cards. Trump has Trumps. And then this morning I get up and I'm like sitting here going, well, never got the sign, never, you know, what do I do? And then boom, there's Trump right in front of me, updated.
[01:04:13.000 --> 01:04:26.000]  As I was looking at it, the site updated, and there was the video that somebody at the office, I want to find out who, posted with our logo and stuff. Paul, I mean, I know you don't get to metaphysical on there either, but what do you make of this?
[01:04:26.000 --> 01:04:38.000]  No, it's absolutely amazing. I mean, it goes to the heart of the point, which is he was not an insider at any point, and he still isn't. And you know, the question is with this recap, if they try to steal it, what's going to happen?
[01:04:38.000 --> 01:04:49.000]  The media has legitimized protests by but her Hillary supporters, riots. What's going to happen if she basically tries to install herself as part of a coup? It's going to be absolutely amazing.
[01:04:49.000 --> 01:04:52.000]  I know you've got another guest coming up. When is that guest on?
[01:04:52.000 --> 01:04:59.000]  He's on in the next segment, but we can keep you on the line, Alex. We're going to a break now. Stay tuned. We'll be back with AlexInfoWars.com. Don't go away.
[01:04:59.000 --> 01:05:07.000]  The Japanese coastline has been struck again, and the Fukushima reactor cooling system, it stops flowing amid the quake and tsunami that followed.
[01:05:07.000 --> 01:05:20.000]  Damaged nuclear plants struggles after this latest natural disaster. Now, the cooling system of the third reactor at the Fukushima nuclear plant has stopped circulating water following a powerful 7.3 offshore earthquake this week.
[01:05:20.000 --> 01:05:32.000]  TEPCO said that it managed to restart the system some 90 minutes after its failure, and the cooling system servicing the Unit 3 spit fuel pool was not able to circulate water to cool nuclear fuel because of a broken pump.
[01:05:32.000 --> 01:05:46.000]  All of this is according to the Nuclear Regulatory Agency. It turns out that this plant for the second time has been hit, and the immediate danger, although the agency admitted gradual rising temperatures, the exact cause of this cooling system stoppage is currently unknown.
[01:05:46.000 --> 01:05:57.000]  Now, we've highlighted this on InfoWars. Please check out our reports for more information regarding this latest quake and how it impacts the days coming forward. I'm Margaret Hell reporting for InfoWars.com.
[01:06:17.000 --> 01:06:35.000]  And the best part? You'll be helping your friends and family along the way. Visit infowarsteam.com today. Become a member. It discounts on the amazing products and free shipping when you sign up for auto-ship, and you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[01:06:35.000 --> 01:06:50.000]  Another win-win. That's why I'm a member of the young Jebedee team at infowarsteam.com, and you can be too. It's simple. Just go to infowarsteam.com today. Complete a short sign up and you're part of the team. That's infowarsteam.com or infowarshealth.com.
[01:06:50.000 --> 01:06:58.000]  So many people call into my radio show and tell me how young Jebedee and the products at infowarsteam.com have changed their lives. Check it out for yourself today.
[01:06:58.000 --> 01:07:08.000]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce about a group you took years for you to develop DNA Force for us.
[01:07:08.000 --> 01:07:20.000]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important. What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[01:07:20.000 --> 01:07:23.000]  Telomeres are the little cups on the end of our chromosomes.
[01:07:23.000 --> 01:07:32.000]  And when it runs out, you start dying. We chose the PQQ because it has over 175 different clinical trials. It's one of the most effective substances in the world.
[01:07:32.000 --> 01:07:37.000]  It works like an antioxidant. It works to repair nerve growth factor.
[01:07:37.000 --> 01:07:41.000]  So this is a formula to deliver the maximum amount. It's in powder form.
[01:07:41.000 --> 01:07:46.000]  We have so many five-star reviews. I take this. This is the product that I take.
[01:07:46.000 --> 01:07:58.000]  InfoWarsLife.com and the product we make. We fight the global. We fight the new world order. Secure your DNA Force today at InfoWarsLife.com or call toll-free 888-253-3139.
[01:08:17.000 --> 01:08:26.000]  Paul Joseph Watson is hosting via video uplink from London, England. He has a very informative guest joining him here in about four or five minutes.
[01:08:26.000 --> 01:08:34.000]  The reason I'm on the broadcast today is we keep warning people, the Democrats are raising money to do recounts in only states dialed from one.
[01:08:34.000 --> 01:08:40.000]  Jill Stein of the Green Party is raising money from top Democratic Party donors to only do recounts.
[01:08:40.000 --> 01:08:50.000]  Now, she says it's not to overturn the election. She says it's for voting integrity. That is a complete, ball-faced, naked, transparent, insulting lie that a five-year-old could figure out.
[01:08:50.000 --> 01:09:02.000]  There were at least five states in Hillary, one in smaller margins than Trump won the states they're trying to recount, like Wisconsin, Michigan, Ohio, Pennsylvania, and others.
[01:09:02.000 --> 01:09:08.000]  So I'm going to explain that again very, very slowly and very, very clearly so the Democratic voters can understand it. I'm not being sarcastic.
[01:09:08.000 --> 01:09:15.000]  Jill Stein is not doing a recount anywhere but in Trump states that he won by narrow margins.
[01:09:15.000 --> 01:09:25.000]  We have had the top Democrat, top liberal documented election fraud expert on Bev Harris saying that Hillary clearly stole five states from Trump.
[01:09:25.000 --> 01:09:32.000]  No one wants to look at those states. Now, they always said, oh my gosh, there's no election fraud, but if Trump wins, it's the Russians.
[01:09:32.000 --> 01:09:36.000]  Are they preparing to try to come out and say the Russians sold the election?
[01:09:36.000 --> 01:09:42.000]  Now, folks, they've got top Democrats have given $7 million the last two days.
[01:09:42.000 --> 01:09:48.000]  Seeing in on their front page earlier had the graphic in different articles saying she won.
[01:09:48.000 --> 01:09:56.000]  So this is a bare minimum to discredit Trump and then activate the Black Lives Matter Communist towards Soros groups that are all over the streets.
[01:09:56.000 --> 01:10:02.000]  We've got eight cops shot and killed the last 10 days. We've got four or five of them shot just the last two days.
[01:10:02.000 --> 01:10:06.000]  We've got a whole bunch of them injured. I mean, the numbers are so high, I can't even keep track of them.
[01:10:06.000 --> 01:10:17.000]  This is all part of a destabilization program with butthurt, mentally ill, weirdo, anti-Americans who actually think George Soros and Hillary and the globalists are there to help her.
[01:10:17.000 --> 01:10:20.000]  And Obama doubling black unemployment are there to help him.
[01:10:20.000 --> 01:10:27.000]  So, I mean, I told you last Saturday I was in the liberal area of Austin and had a guy walk right by on video.
[01:10:27.000 --> 01:10:35.000]  I took mentions on the parking lot and said, F. U. L. Jones. Then I go inside, I walk out, a guy follows me out in front of witnesses.
[01:10:35.000 --> 01:10:38.000]  I did video tape because it was so shocking. I didn't think to pull my phone out.
[01:10:38.000 --> 01:10:42.000]  And he brandishes his firearm on the side, you know, bowing up to me.
[01:10:42.000 --> 01:10:48.000]  And the attacks are happening all over the country. These people really, really do mean business.
[01:10:48.000 --> 01:10:50.000]  This is so incredibly important.
[01:10:50.000 --> 01:10:56.000]  Now, if anybody ever doubted how real Donald Trump is, there's now a Channel 9 New York TV piece from 9-11.
[01:10:56.000 --> 01:10:58.000]  15 years ago that surfaced.
[01:10:58.000 --> 01:11:02.000]  Of Donald Trump talking about bombs in the buildings and only bombs could bring it down.
[01:11:02.000 --> 01:11:06.000]  Now, I was told by folks close to Trump that he knows everything about 9-11.
[01:11:06.000 --> 01:11:09.000]  One of them is Dr. Corsi. He's on record. I can say his name.
[01:11:09.000 --> 01:11:14.000]  They've worked together for 40 years. Obviously, Corsi was involved in the intelligence and I was going to leave it at that.
[01:11:14.000 --> 01:11:19.000]  And he tells me Trump knows, quote, everything and beyond.
[01:11:19.000 --> 01:11:22.000]  Well, I've talked to Trump on air, off air. I'll leave it at that.
[01:11:22.000 --> 01:11:25.000]  And he does know basically as much as I do or more.
[01:11:25.000 --> 01:11:28.000]  That's why he'd let Jeb and all of them know, look, you're in bed with the Saudis.
[01:11:28.000 --> 01:11:35.000]  You stood down on 9-11. There was a anti-globalist intelligence coup against them through WikiLeaks.
[01:11:35.000 --> 01:11:40.000]  WikiLeaks was going to release the hardcore evidence of child pedophilia even more.
[01:11:40.000 --> 01:11:44.000]  If Hillary stole it, that's why when she tried to steal it that night, they told her, stand down.
[01:11:44.000 --> 01:11:48.000]  Trump's won. You already stole five states. It didn't work. Don't try it.
[01:11:48.000 --> 01:11:53.000]  But the plan to challenge him, even though Hillary has stood down, has now moved forward.
[01:11:53.000 --> 01:11:58.000]  That's one problem with now with Saudis not being on the radar and Saudis not releasing a lot of new information.
[01:11:58.000 --> 01:12:02.000]  Everything I was told behind the scenes is now clicking that they haven't given up, folks.
[01:12:02.000 --> 01:12:04.000]  They were playing possum and the attack is back on.
[01:12:04.000 --> 01:12:12.000]  I'm going to come into the office right now and shoot an emergency report for maximum coverage on all this to infowars.com and prisonplanet.com.
[01:12:12.000 --> 01:12:21.000]  I want to thank our amazing skeleton crew with Matt and CJ and everybody else that's up there who didn't even get a Thanksgiving or a break.
[01:12:21.000 --> 01:12:25.000]  And listen, they volunteered to do this because they understand they have kids.
[01:12:25.000 --> 01:12:27.000]  There is no future if we don't stop this.
[01:12:27.000 --> 01:12:34.000]  I took off basically under everybody's orders because I'm so burnt out and I've actually got a cold this week, but just kept working.
[01:12:34.000 --> 01:12:36.000]  But I just can't help it. So I'm going to come in.
[01:12:36.000 --> 01:12:41.000]  I came in yesterday. I came in the day before, obviously, and I'm not bitching.
[01:12:41.000 --> 01:12:48.000]  I'm just letting folks know I'm doing this because we're in the middle of a total war and they use Thanksgiving for everybody to go to sleep.
[01:12:48.000 --> 01:12:52.000]  Just like they launched the 10 offensive during the Chinese New Year in Vietnam.
[01:12:52.000 --> 01:12:57.000]  They're launching right now. They're launching. It could be false flags this weekend. God knows what.
[01:12:57.000 --> 01:13:03.000]  Obama's ordered the border open. He's ordered drones to stand down on the border while surveilling us domestically.
[01:13:03.000 --> 01:13:06.000]  We are wide open and I'm telling Trump.
[01:13:06.000 --> 01:13:13.000]  And I told Trump this last week and I told him a week before that and I'm going to tell him again if I get to talk to him on Monday.
[01:13:13.000 --> 01:13:18.000]  I'm just going to throw that out there. I'm going on the phone right now.
[01:13:18.000 --> 01:13:22.000]  I'm telling everybody he's got to take the gloves off and go after these people.
[01:13:22.000 --> 01:13:26.000]  Now, I know he's not president yet, but they know folks, I didn't want to tell everybody this.
[01:13:26.000 --> 01:13:30.000]  I didn't get this from Trump, but I got it from high level people and I could see it in the tea leaves.
[01:13:30.000 --> 01:13:34.000]  Trump knows they're going to move against him if he didn't play possum and act like he was going to be friendly.
[01:13:34.000 --> 01:13:37.000]  But they already smelled it. They already know it.
[01:13:37.000 --> 01:13:43.000]  So it's just, you can't have the cake and eat it too. This country is still in a death battle.
[01:13:43.000 --> 01:13:46.000]  In fact, we're in a bigger one now than we ever were.
[01:13:46.000 --> 01:13:51.000]  Paul, I want you to comment on this and go to your guest who's holding, but obviously breaking news, infowars.com, spread the word.
[01:13:51.000 --> 01:13:56.000]  Get these videos out of this live transmission. This is absolute maximum alert, ladies and gentlemen.
[01:13:56.000 --> 01:14:06.000]  Maximum alert, the Democrats through Jill Steiner funding only recounts in states where the Democrats to the great extent still control the local machinery but lost big time.
[01:14:06.000 --> 01:14:12.000]  You understand that they are doing it where they still control the local government where he basically took Democrat areas.
[01:14:12.000 --> 01:14:19.000]  And so this is where they're in control and can now stuff the ballot boxes and claim that Trump either stole the election or that it was all a mistake.
[01:14:19.000 --> 01:14:26.000]  But the tell is they're not doing this in any battleground states or blue states that Hillary nearly won where we know she clearly stole it.
[01:14:26.000 --> 01:14:30.000]  This is a maximum red alert. They mean business. They mean to overthrow our country.
[01:14:30.000 --> 01:14:36.000]  They've got terrorist forces standing by jihadist communists to come back black lives matter brainwashed race groups.
[01:14:36.000 --> 01:14:42.000]  This is a war. This is not a radio show. This is an emergency transmission. Now back to Paul Watson in London, England.
[01:14:42.000 --> 01:14:46.000]  Okay, there goes Alex Jones. And actually what's interesting is he mentioned WikiLeaks.
[01:14:46.000 --> 01:14:52.000]  We had a thing what a few months ago now where there was some confusion where the Roger Stone was in contact with WikiLeaks.
[01:14:52.000 --> 01:14:55.000]  The mainstream media freaked out about it a little bit.
[01:14:55.000 --> 01:15:01.000]  Well, Assange has gone somewhat under the radar. A bunch of people on the Internet think that he's dead.
[01:15:01.000 --> 01:15:08.000]  I don't believe that for a second. In fact, they sent out a kind of coded message in a Bitcoin payment saying that everything was fine.
[01:15:08.000 --> 01:15:15.000]  What I do know for a fact is that WikiLeaks contacted me directly three days ago wanting to discuss something.
[01:15:15.000 --> 01:15:22.000]  I don't know what and I wouldn't mention it apart from the fact that they haven't got back to me since three days later.
[01:15:22.000 --> 01:15:30.000]  A complete radio silence from WikiLeaks. According to some people, Assange is the main person in control of that Twitter account.
[01:15:30.000 --> 01:15:39.000]  Their official Twitter account on which they contacted me. And, you know, the lines of communication are open, but they contacted me and then went completely radio silent.
[01:15:39.000 --> 01:15:44.000]  Nothing for the past three days. So Assange has gone under the radar.
[01:15:44.000 --> 01:15:50.000]  Maybe there's something going on there. Maybe there isn't, but there are a lot of questions swirling about WikiLeaks.
[01:15:50.000 --> 01:15:56.000]  As this pizza gate scandal continues to deepen, which we're going to go to talk about in a little while.
[01:15:56.000 --> 01:16:01.000]  But we have our guest, Mike Cernovich, author of Gorilla Mindset.
[01:16:01.000 --> 01:16:08.000]  Maga Mindset, the website is dangerandplay.com. Mike, we've got a few minutes here before the first break.
[01:16:08.000 --> 01:16:12.000]  I just want to get your take on this because we've been talking about it throughout the entire show.
[01:16:12.000 --> 01:16:21.000]  Jill Stein has now announced officially they're going to have or at least file for a recount in Wisconsin. They've raised enough money to do it in Pennsylvania.
[01:16:21.000 --> 01:16:29.000]  They're going to raise more money to try and do it in Michigan. Absolutely phenomenal, strangely phenomenal amount of money raised in such a short period of time.
[01:16:29.000 --> 01:16:35.000]  Almost double the money raised for her entire presidential campaign for the Green Party.
[01:16:35.000 --> 01:16:44.000]  Of course, in Michigan, there was no electronic voting machine, so why are they investigating that? They're only having a recount in states that Trump won,
[01:16:44.000 --> 01:16:51.000]  even though there are states that Hillary won with more narrow margins and yet there's no recount there whatsoever.
[01:16:51.000 --> 01:16:59.000]  Now, I know Bill Mitchell isn't particularly concerned about this. I think you said on Twitter that you don't see this as a big issue.
[01:16:59.000 --> 01:17:04.000]  Why do you think it's a big deal? It isn't a big deal. I mean, we had a lot of concern about vote fraud before the election.
[01:17:04.000 --> 01:17:07.000]  Why do you think that this isn't a big deal?
[01:17:07.000 --> 01:17:16.000]  Because they were already caught in Broward County, so we sounded the alarm. Here's what happened in Broward County, Florida, and this is one reason Trump won Florida.
[01:17:16.000 --> 01:17:21.000]  There was a secret room. You wouldn't believe this, but a woman signed an affidavit.
[01:17:21.000 --> 01:17:30.000]  There was a secret room inside the headquarters of the Secretary of Elections of Broward County where people were caught filling out ballots.
[01:17:30.000 --> 01:17:37.000]  They would take ballots and fill them out however they wanted, so they were essentially filling out absentee ballots.
[01:17:37.000 --> 01:17:44.000]  They already tried to steal the election by taking your absentee ballot and filling it out with a different voter.
[01:17:44.000 --> 01:17:49.000]  A very courageous whistleblower, a temporary employee, exposed that plot.
[01:17:49.000 --> 01:17:59.000]  And then when it was investigated by law enforcement, they said, oh, what she saw was true, but really they were just correcting.
[01:17:59.000 --> 01:18:07.000]  Ballots that were sent in by military members, so they've already been caught doing it and we already have evidence that they've been doing it.
[01:18:07.000 --> 01:18:11.000]  That's one reason that I'm not especially concerned.
[01:18:11.000 --> 01:18:21.000]  But I mean, isn't the fact that they've already been caught trying it a reason at least to have observers there, you know, in Michigan, for example, overseeing this process?
[01:18:21.000 --> 01:18:28.000]  Couldn't they just do the same thing where they try and introduce a bunch of new ballots and say, oh, we didn't see these on election day.
[01:18:28.000 --> 01:18:34.000]  We'll have to include them now. Isn't that a possibility given that, you know, this has come from people aligned with the Clinton campaign.
[01:18:34.000 --> 01:18:37.000]  It's not come directly from Jill Stein.
[01:18:37.000 --> 01:18:40.000]  Oh, exactly. We have to be eternally vigilant.
[01:18:40.000 --> 01:18:44.000]  That is a lot of people are making mistakes thinking, oh, Trump won party time.
[01:18:44.000 --> 01:18:46.000]  Now we can do whatever we want.
[01:18:46.000 --> 01:18:49.000]  We have to be even more vigilant than we have been ever before.
[01:18:49.000 --> 01:18:52.000]  So I'm not dismissing all of the concerns.
[01:18:52.000 --> 01:18:57.000]  But what I'm saying is we already know what they're going to do before they do it.
[01:18:57.000 --> 01:19:02.000]  So it's kind of like playing a game where this is how they're going to steal the election.
[01:19:02.000 --> 01:19:05.000]  And then we can take measures to prevent them from stealing it.
[01:19:05.000 --> 01:19:09.000]  So you're 100% right. People should be vigilant. People should be concerned.
[01:19:09.000 --> 01:19:19.000]  This is why Trump supporters came out and voted in such high numbers so that it wouldn't even be a close election in these battleground states.
[01:19:19.000 --> 01:19:25.000]  But again, Trump's people in the GOP, as much as we might not like the GOP establishment,
[01:19:25.000 --> 01:19:30.000]  they are aware of what is going on and they know what to look for.
[01:19:30.000 --> 01:19:35.000]  OK. And we're going to get your take on Trump's initial moves.
[01:19:35.000 --> 01:19:39.000]  Obviously Mitt Romney still floating around as a potential secretary of state.
[01:19:39.000 --> 01:19:43.000]  You said that that could potentially be a line in the sand for you.
[01:19:43.000 --> 01:19:51.000]  We're going to get into that. We're going to get into Richard Spencer and this attempt by the mainstream media to basically end the alt-right or to redefine it.
[01:19:51.000 --> 01:19:58.000]  Mike Cernovich is our guest. This is the Alex Jones Show Live. We'll be right back breaking news at infowars.com.
[01:20:21.000 --> 01:20:24.000]  The new PPX system provides an endless supply of off-the-grid electricity,
[01:20:24.000 --> 01:20:28.000]  basically creating your own private power grid anywhere in the world.
[01:20:28.000 --> 01:20:31.000]  A true innovation. I have never seen anything like this.
[01:20:31.000 --> 01:20:35.000]  You're going to want to load up on these. One for your truck, your wife's car, your house, cabin.
[01:20:35.000 --> 01:20:39.000]  It's even a great Christmas idea if you've got a friend who wants to get off the grid.
[01:20:39.000 --> 01:20:44.000]  Go to privatepowergrid.com. That's privatepowergrid.com and check this out.
[01:20:44.000 --> 01:20:53.000]  Buy one right now. Use coupon code GCN at checkout and get a second one free on the $300 in free off-the-grid bonuses.
[01:20:53.000 --> 01:20:59.000]  Check it out. Privatepowergrid.com. Limited one for household. Privatepowergrid.com.
[01:20:59.000 --> 01:21:07.000]  If you or someone you care about loves outdoor adventure, then check out slingbow.com for some unique holiday gift ideas.
[01:21:07.000 --> 01:21:16.000]  That's slingbow.com, where we have some innovative new products for the archer, hunter, or bow fishing enthusiast in your family.
[01:21:16.000 --> 01:21:22.000]  Now through January, use the promo code HOLIDAY to get free shipping in the U.S. or Canada.
[01:21:22.000 --> 01:21:38.000]  And from all of us at Slingbow Industries, have a safe, joyous, and peaceful holiday season.
[01:21:53.000 --> 01:22:05.000]  What's it going to take? Another news story? You've heard about Infidel Body Armor for years.
[01:22:05.000 --> 01:22:12.000]  You know you should have a set. So should your wife. Things aren't getting better. They're getting worse.
[01:22:12.000 --> 01:22:20.000]  Thousands already wear Infidel Body Armor. Now get yours. Go to infidelbodyarmor.com and check out today's specials.
[01:22:20.000 --> 01:22:28.000]  Make armor easy to understand and easy to purchase. Infidelbodyarmor.com just won't quit.
[01:22:50.000 --> 01:22:58.000]  We're called 877-886-3653. 877-886-3653. Go Berkey.com.
[01:23:20.000 --> 01:23:38.000]  How confident are you in your food storage? If it was all you had to rely on, would it sustain your family? Hard times, good times, or any time?
[01:23:38.000 --> 01:23:53.000]  New Man Astorable Food is the proven superior choice. Learn for yourself what happened when one man ate only New Man Astorable Food for an entire month.
[01:23:53.000 --> 01:24:09.000]  Food storage I love to eat. Yum!
[01:24:23.000 --> 01:24:33.000]  Obviously he does periscope video broadcasts as well, which are extremely popular, but again named over and over again as one of the top election influencers by the mainstream media.
[01:24:33.000 --> 01:24:41.000]  Also attacked relentlessly, like all of us are, by the mainstream media. But what we're going to get into now is this issue with Richard Spencer.
[01:24:41.000 --> 01:24:56.000]  Now, this is an individual who we actually supported, or at least defended, back a few days ago when CNN came out and said that Richard Spencer, who is like a young David Duke-style character,
[01:24:56.000 --> 01:25:06.000]  he was one of the individuals who coined the term alt-right. Here you see the footage where playing at the conference that he headed up last weekend where members of his audience started giving
[01:25:06.000 --> 01:25:20.000]  sigile Nazi salutes, and you see the rabid enthusiasm with which they do those salutes during this conference. This was immediately capitalized on by the mainstream media who were invited into that conference
[01:25:20.000 --> 01:25:32.000]  to basically recharacterize the entire alt-right as this fringe neo-Nazi white supremacist element, taking that element and making that define the entirety of the alt-right.
[01:25:32.000 --> 01:25:43.000]  We defended this individual. I think it was on Monday. CNN said that in this speech he came out and said that Jews aren't people. Well, if you watch his speech, he wasn't talking about Jews when he made that comment.
[01:25:43.000 --> 01:25:57.000]  He was talking about the mainstream media, and basically that was a complete hoax. He never said that. We also defended this individual when the editor of Politico a few days ago came out and encouraged people to attack him with a baseball bat.
[01:25:57.000 --> 01:26:12.000]  So we defend his right to free speech, which doesn't mean we have to agree with it. But Mike, we've got plenty of time to flesh this out. Just explain to the audience who this Richard Spencer is and what happened at this conference last weekend.
[01:26:12.000 --> 01:26:31.000]  Well, my first comment is in the form of a rhetorical question. Why is the Atlantic producing a documentary on Richard Spencer? Why is the left-wing fake news media spending millions of dollars to build up and promote Richard's brand?
[01:26:31.000 --> 01:26:53.000]  Meanwhile, I've been no platform and banned from television. You, the only time they want to talk to you is to try to attack you. So why is it that in an era of no platforming where the norm for the fake news media is to just say, these voices are too powerful, they're too persuasive, they're too compelling, we cannot have their voices grow bigger?
[01:26:53.000 --> 01:27:01.000]  They want to ban us, but they want to do a documentary on Richard Spencer. Why do you think that is, Paul?
[01:27:01.000 --> 01:27:12.000]  Well, it's because you've made the point before. I mean, we've created our own platforms. We don't need edited, deceptively put out mainstream media hit pieces to try and get our message across.
[01:27:12.000 --> 01:27:24.000]  I mean, I'm doing 250 million Twitter impressions a month. You've got hundreds of thousands of YouTube views. You're the same with your Twitter, your periscopes. We don't have to rely on the mainstream media to get our message out.
[01:27:24.000 --> 01:27:37.000]  Now, Richard Spencer is a guy. Obviously, I'd heard of him. I knew of his name. I didn't even know what he looked like. Let's be honest until a week ago, you go to his YouTube channel, he's got like 4,000 views on his videos.
[01:27:37.000 --> 01:27:48.000]  You know, I can upload a YouTube video and again, this is not bragging. I'm making the point that we resonate. I can upload a YouTube video and it gets 4,000 views within five minutes.
[01:27:48.000 --> 01:27:55.000]  Yeah, these people struggle to get it over the course of months and months. So the question is, why are they giving them so much attention now?
[01:27:55.000 --> 01:28:02.000]  Why is the Atlantic making an entire documentary on this individual and on this group?
[01:28:02.000 --> 01:28:12.000]  And in the aftermath of this, this is what we've seen. Even people on 4chan, and they're not exactly known for being that sensitive about political correctness.
[01:28:12.000 --> 01:28:23.000]  Even people like Paul Ramsey have come out in the aftermath and said that giving SIGCHILE salutes in front of the mainstream media, and you know, they can claim it's the Roman salute.
