[00:00.000 --> 00:05.280]  A4.
[32:50.600 --> 32:53.600]  writing, using a mouse or adding machine.
[32:53.600 --> 32:57.600]  Unlike most conventional wrist pads that are either attached to a mouse pad
[32:57.600 --> 33:00.600]  or lay flat in front of your keyboard,
[33:00.600 --> 33:04.600]  RIST Ease is totally portable and ideal for laptop users
[33:04.600 --> 33:07.600]  and technicians who are constantly on the go.
[33:07.600 --> 33:11.600]  RIST Ease is perfect for children doing homework or playing video games.
[33:11.600 --> 33:15.600]  RIST Ease provides the proper comfort and support for all ages
[33:15.600 --> 33:20.600]  and RIST Ease provides comfort for victims of carpal tunnel syndrome
[33:20.600 --> 33:22.600]  and other repetitive injuries.
[33:22.600 --> 33:25.600]  You can order RIST Ease now at RIST Ease.com.
[33:25.600 --> 33:32.600]  That's RIST Ease, W-R-I-S-T-E-A-S-E, RIST Ease.com.
[33:32.600 --> 33:37.600]  Once again, RIST EASE.com.
[34:02.600 --> 34:04.600]  Someone who cares
[34:06.600 --> 34:08.600]  Your own
[34:09.600 --> 34:11.600]  Personal
[34:11.600 --> 34:13.600]  Jesus
[34:15.600 --> 34:18.600]  Someone to hear your prayers
[34:18.600 --> 34:20.600]  Someone who's there
[34:20.600 --> 34:22.600]  RIST EASE
[34:30.600 --> 34:34.600]  Feeling unknown and you're all alone
[34:34.600 --> 34:38.600]  Flashing bones by the telephone
[34:38.600 --> 34:43.600]  Lift up the receiver, I'll make you a believer
[34:43.600 --> 34:46.600]  Welcome back, thank you Johnny Cash
[34:46.600 --> 34:49.600]  Takes a second best, put me to the test
[34:49.600 --> 34:54.600]  I'll tell you right now, my friends, that I'm honored to be your host
[34:54.600 --> 34:58.600]  I'm honored to be here Monday through Friday 11 to 2 p.m. Central
[34:58.600 --> 35:01.600]  on the one and only Genesis Communications Radio Network
[35:01.600 --> 35:05.600]  I'm proud of this network and the great work it's done over the years
[35:05.600 --> 35:09.600]  I always do want to remind you, listeners, that if you hear my voice
[35:09.600 --> 35:12.600]  endorsing a product, that means I believe in it
[35:12.600 --> 35:15.600]  and I think that you should get it or that it would be helpful for you
[35:15.600 --> 35:19.600]  but it does not necessarily mean that I agree with everything else you hear
[35:19.600 --> 35:22.600]  with other sponsors or information
[35:22.600 --> 35:25.600]  and that goes two ways, that means necessarily
[35:25.600 --> 35:29.600]  some of the other shows on this network may not completely agree with the things I say or do
[35:29.600 --> 35:31.600]  or their sponsors may not agree with me
[35:31.600 --> 35:34.600]  same thing for our fine affiliates out there
[35:34.600 --> 35:38.600]  all the time I get calls or emails going, well this is on a station you're on
[35:38.600 --> 35:41.600]  you agree with that and I'm like, I'm not my brother's keeper
[35:41.600 --> 35:46.600]  I'm here doing a radio show trying to run my own life which I have a lot of trouble doing
[35:46.600 --> 35:49.600]  all right, back live here
[35:49.600 --> 35:53.600]  we're supposed to get a call in the next 10 minutes from Kevin Smith and Aaron Dykes
[35:53.600 --> 35:57.600]  they're out on the scene of the FEMA camp
[35:57.600 --> 36:00.600]  that is north of Austin in Taylor
[36:00.600 --> 36:04.600]  I talked to them about 10 minutes ago and they were arriving
[36:04.600 --> 36:08.600]  and there have been a bunch of different protests out there that were scheduled to be one there today
[36:08.600 --> 36:12.600]  and did plug info wars for coverage of it, we appreciate that
[36:12.600 --> 36:17.600]  and so we're out there physically covering it right now, I'll give you a report there
[36:17.600 --> 36:21.600]  Michael Rivera will be joining us coming up in the next hour
[36:21.600 --> 36:23.600]  we'll have open phones during an interview
[36:23.600 --> 36:26.600]  he's going to be joining us, I think he starts his first show this weekend
[36:26.600 --> 36:30.600]  I'm going to be doing a weekend show, a new show here on the Genesis Network
[36:30.600 --> 36:31.600]  we're excited about that
[36:31.600 --> 36:36.600]  and I'm going to air most of the early 1960s Twilight Zone episode
[36:36.600 --> 36:40.600]  of the Obsolete Man
[36:40.600 --> 36:44.600]  I think it's powerful, it's informative and I want to comment on it
[36:44.600 --> 36:48.600]  it's a little similar, not the whole thing but a large portion of it and comment on it and analyze it
[36:48.600 --> 36:53.600]  getting back to 2006, the year America died
[36:53.600 --> 37:00.600]  2007, the year the American Union will either stand or fall
[37:00.600 --> 37:06.600]  and I was mentioning before we ran into that break
[37:06.600 --> 37:13.600]  that it's simple, you've got big powerful global corporations
[37:13.600 --> 37:19.600]  that took over the banking system of England in 1801
[37:19.600 --> 37:24.600]  and really you submitted that control in 1806
[37:24.600 --> 37:28.600]  they took over the Dutch banking system there shortly thereafter
[37:28.600 --> 37:31.600]  they took over the French banking system before that
[37:31.600 --> 37:35.600]  they took over our banking system entirely in 1913
[37:35.600 --> 37:38.600]  and so you have a few private families
[37:38.600 --> 37:45.600]  the Saxe-Coburg gothers, the Rothschilds, the Rockefellers, the Warburgs
[37:45.600 --> 37:47.600]  there's less than 20 families
[37:47.600 --> 37:50.600]  and they own the private stock in the central banks
[37:50.600 --> 37:53.600]  and if your country doesn't have their central banking control on it
[37:53.600 --> 37:58.600]  they will hop up some reason or fund rebels or run a coup d'etat
[37:58.600 --> 38:01.600]  and come blow your capital up or do whatever they have to do
[38:01.600 --> 38:04.600]  or poison your water supply or stage terror attacks and blame it on you
[38:04.600 --> 38:11.600]  and they'll come in and take over your nation
[38:11.600 --> 38:15.600]  and they use the US from 1913 on as an engine
[38:15.600 --> 38:18.600]  to fund the Soviets, to fund the Nazis, to build up threats
[38:18.600 --> 38:23.600]  to then knock down the threats, they always financed both sides
[38:23.600 --> 38:25.600]  and then now they decided to use the US up
[38:25.600 --> 38:27.600]  like they did Germany and the Soviet Union
[38:27.600 --> 38:29.600]  they've got us out doing their wicked work
[38:29.600 --> 38:33.600]  while owning the media that tells people domestically that we're doing a good job
[38:33.600 --> 38:36.600]  while the very media, the globalist zone, oversees demonizes us
[38:36.600 --> 38:38.600]  and blames Americans for everything
[38:38.600 --> 38:39.600]  but we're just their puppets
[38:39.600 --> 38:42.600]  I want to make that clear to the world listening
[38:42.600 --> 38:45.600]  okay, you cannot entirely blame the United States for this
[38:45.600 --> 38:48.600]  you can blame us for being slovenly, lazy, uninformed
[38:48.600 --> 38:52.600]  but milk and honey does that to any people
[38:52.600 --> 38:55.600]  I'd like to see some other nation that's been on top for hundreds of years
[38:55.600 --> 39:00.600]  and not see them turn into a bunch of decadent scum
[39:00.600 --> 39:02.600]  there's still a lot of good people in this country
[39:02.600 --> 39:05.600]  I don't appreciate those out there, badmouth in the US
[39:05.600 --> 39:08.600]  I don't appreciate the liberals in the UN
[39:08.600 --> 39:10.600]  who are part of the false left-right system
[39:10.600 --> 39:12.600]  and the false bipolar dichotomy
[39:12.600 --> 39:17.600]  claiming that America did all this, Noam Chomsky and the rest of those people
[39:17.600 --> 39:20.600]  MIT, government paycheck boy
[39:20.600 --> 39:23.600]  always blaming the US like the US is the elite
[39:23.600 --> 39:26.600]  the US is the foot soldier of the New World Order
[39:26.600 --> 39:31.600]  a capo at best
[39:31.600 --> 39:33.600]  same thing goes for England
[39:33.600 --> 39:39.600]  a good, virtuous, hard-working people that ended slavery worldwide
[39:39.600 --> 39:42.600]  black slavery
[39:42.600 --> 39:45.600]  the ideas of common law grew and developed
[39:45.600 --> 39:47.600]  out of the law of Mount Sinai
[39:47.600 --> 39:49.600]  and were perfected
[39:49.600 --> 39:50.600]  and were brought forward
[39:50.600 --> 39:53.600]  and it was almost half the people in the House of Commons
[39:53.600 --> 39:57.600]  that supported the US in its founding
[40:01.600 --> 40:03.600]  don't blame England
[40:03.600 --> 40:06.600]  we have been hijacked because we have the force of arms
[40:06.600 --> 40:07.600]  we have the wealth
[40:07.600 --> 40:11.600]  we have the virtuous, informed, dynamic populations
[40:11.600 --> 40:14.600]  so of course the parasites came in
[40:14.600 --> 40:16.600]  and got control of our central nervous systems
[40:16.600 --> 40:19.600]  our central governments expanded the power of the central government
[40:19.600 --> 40:22.600]  the globalists come into countries that get control of the central government
[40:22.600 --> 40:25.600]  then they expand the power of the central government
[40:25.600 --> 40:27.600]  once they seize full control of a nation
[40:27.600 --> 40:32.600]  they then turn it as an engine of warfare to dominate other nations
[40:32.600 --> 40:34.600]  once they take those countries over
[40:34.600 --> 40:38.600]  they then turn them into engines to dominate their neighbors
[40:38.600 --> 40:44.600]  or if it's an imperial power to project the power
[40:44.600 --> 40:51.600]  out of their own geographic regional configuration
[40:51.600 --> 40:52.600]  so it's real simple
[40:52.600 --> 40:53.600]  private interests took over the US
[40:53.600 --> 40:55.600]  they took over our military industrial complex
[40:55.600 --> 40:57.600]  they grew it with our tax money
[40:57.600 --> 41:02.600]  into the greatest colossal militarily ever seen on this planet
[41:02.600 --> 41:05.600]  and they are now in the final stages of debasing our currency
[41:05.600 --> 41:08.600]  trying to buy up the world by printing the dollar
[41:08.600 --> 41:10.600]  just until it's worth almost nothing
[41:10.600 --> 41:13.600]  then they've now taken dollars, made foreign investments
[41:13.600 --> 41:15.600]  they shift those dollars into foreign currencies
[41:15.600 --> 41:18.600]  and come back and buy up what infrastructure
[41:18.600 --> 41:21.600]  and what ideas and what companies and what structures
[41:21.600 --> 41:23.600]  are left here domestically
[41:23.600 --> 41:27.600]  it's always a shifting, a central feudal black hole
[41:27.600 --> 41:30.600]  destroying middle classes, destroying independence
[41:30.600 --> 41:33.600]  destroying family, always monopolizing
[41:33.600 --> 41:38.600]  these are monopoly men
[41:38.600 --> 41:42.600]  it's what they do, it's all they do
[41:42.600 --> 41:43.600]  so we're going to start about beating them
[41:43.600 --> 41:45.600]  we have to admit who they are
[41:45.600 --> 41:47.600]  the new world order crime syndicate
[41:47.600 --> 41:49.600]  we have to name them
[41:49.600 --> 41:52.600]  we have to expose their programs and their operations
[41:52.600 --> 41:54.600]  and then people on the left and the right
[41:54.600 --> 41:57.600]  can wake up and see that both parties are controlled
[41:57.600 --> 42:00.600]  they'll have us fight over petty football issues
[42:00.600 --> 42:02.600]  petty issues that at the end of the day
[42:02.600 --> 42:06.600]  will never be decided or don't matter to begin with
[42:06.600 --> 42:09.600]  people can then see how Hillary and Bush
[42:09.600 --> 42:11.600]  are on the same page on every real issue
[42:11.600 --> 42:15.600]  they're moving forward against us
[42:15.600 --> 42:17.600]  I mean how can I have tens of thousands
[42:17.600 --> 42:19.600]  of what you'd call classical liberals
[42:19.600 --> 42:21.600]  around the country who are anti-gun
[42:21.600 --> 42:23.600]  out buying guns
[42:23.600 --> 42:27.600]  they didn't give up their peace position
[42:27.600 --> 42:30.600]  they now realize that it is a position of strength
[42:30.600 --> 42:34.600]  that will give us domestic peace
[42:34.600 --> 42:36.600]  why do we have the left out there now
[42:36.600 --> 42:38.600]  realizing the environmental movement
[42:38.600 --> 42:40.600]  has been totally taken over by big corporations
[42:40.600 --> 42:43.600]  and has used as a front to steal private property
[42:43.600 --> 42:47.600]  because we don't sit here like a bunch of political whores
[42:47.600 --> 42:50.600]  making excuses for the republican party
[42:50.600 --> 42:55.600]  which is a pack of villainous vermin
[42:55.600 --> 42:57.600]  conversely we have conservatives
[42:57.600 --> 42:59.600]  listening to this program
[42:59.600 --> 43:02.600]  because they know we're just covering the issues
[43:02.600 --> 43:04.600]  and we can demonstrate to them that George Bush
[43:04.600 --> 43:08.600]  is no conservative
[43:08.600 --> 43:11.600]  you see they want to keep you in that left right debate
[43:11.600 --> 43:13.600]  which is false
[43:13.600 --> 43:15.600]  and while you're busy clawing each other's eyes out
[43:15.600 --> 43:20.600]  the elite moves forward
[43:20.600 --> 43:22.600]  just like our government for 50 years
[43:22.600 --> 43:25.600]  has funded textbooks and comic books
[43:25.600 --> 43:27.600]  in Mexico through the Ford Foundation
[43:27.600 --> 43:30.600]  with 24 billion dollars in its coffers
[43:30.600 --> 43:32.600]  to say the southwest belongs to Mexico
[43:32.600 --> 43:34.600]  break up the country fight with each other
[43:34.600 --> 43:38.600]  they want us fighting with each other
[43:38.600 --> 43:41.600]  frankly if that LaRica and Quista idea
[43:41.600 --> 43:43.600]  hadn't been engineered into all the illegal aliens
[43:43.600 --> 43:46.600]  I wouldn't be that opposed to having 30 million of them up here
[43:46.600 --> 43:53.600]  but the globalists set it up for divide and conquer
[43:53.600 --> 43:55.600]  because before they merge countries completely
[43:55.600 --> 43:57.600]  they first have ethnic strife
[43:57.600 --> 44:01.600]  to then balkanize the original governments
[44:01.600 --> 44:10.600]  to weaken them and then roll that into a larger structure
[44:10.600 --> 44:12.600]  so it's simple
[44:12.600 --> 44:14.600]  the military industrial complex
[44:14.600 --> 44:19.600]  that funds 90 plus percent of university research
[44:19.600 --> 44:21.600]  owns our schools, owns our media
[44:21.600 --> 44:24.600]  it itself is owned by the private banking families
[44:24.600 --> 44:26.600]  and they just took over the US
[44:26.600 --> 44:29.600]  like they took over every other major country
[44:29.600 --> 44:33.600]  there's a handful of nations left that aren't under their control
[44:33.600 --> 44:36.600]  a handful
[44:36.600 --> 44:40.600]  you could count it on two hands
[44:40.600 --> 44:43.600]  and they'll show you the problems of those countries
[44:43.600 --> 44:45.600]  the bad leaders of those countries
[44:45.600 --> 44:46.600]  I'm not debating that
[44:46.600 --> 44:48.600]  and then they'll say oh see we should go take them over
[44:48.600 --> 44:50.600]  because they're bad
[44:50.600 --> 44:52.600]  the good the bad the ugly
[44:52.600 --> 44:53.600]  that doesn't matter
[44:53.600 --> 44:57.600]  the point is they're not under the global crime syndicates control
[44:57.600 --> 44:59.600]  so they're a threat to it period
[44:59.600 --> 45:03.600]  and those countries do not threaten you those rogue nations
[45:03.600 --> 45:05.600]  some of them do to a certain extent
[45:05.600 --> 45:07.600]  because our government armed them
[45:07.600 --> 45:09.600]  like North Korea and China
[45:09.600 --> 45:13.600]  the best enemies money can buy
[45:13.600 --> 45:18.600]  you have Kevin on the line
[45:18.600 --> 45:20.600]  but he can't come on quite yet
[45:20.600 --> 45:21.600]  why because he's
[45:21.600 --> 45:23.600]  you'll tell me at the break
[45:23.600 --> 45:25.600]  what he's interviewing people
[45:25.600 --> 45:27.600]  I mean I knew this would happen
[45:27.600 --> 45:31.600]  he's out there at the little FEMA camp
[45:31.600 --> 45:36.600]  and well he may come on then while Rivera's on with us
[45:36.600 --> 45:41.600]  I don't know
[45:41.600 --> 45:48.600]  all right
[45:48.600 --> 45:52.600]  so
[45:52.600 --> 45:54.600]  we need to look at who this elite are
[45:54.600 --> 45:55.600]  what have they done in the past
[45:55.600 --> 45:56.600]  who have they funded
[45:56.600 --> 45:57.600]  what is their modus operandi
[45:57.600 --> 45:59.600]  what's their signature
[45:59.600 --> 46:00.600]  what's their wavelength
[46:00.600 --> 46:02.600]  where they coming from
[46:02.600 --> 46:04.600]  they enjoy enslavement
[46:04.600 --> 46:06.600]  they enjoy dumbing you down
[46:06.600 --> 46:07.600]  they enjoy taking everything you've got
[46:07.600 --> 46:10.600]  they are threatened by any independence
[46:10.600 --> 46:13.600]  of any type anywhere
[46:13.600 --> 46:14.600]  they condition you
[46:14.600 --> 46:15.600]  they brainwash you
[46:15.600 --> 46:16.600]  they dumb you down
[46:16.600 --> 46:18.600]  they train our women and our men
[46:18.600 --> 46:20.600]  to fight with each other
[46:20.600 --> 46:22.600]  north against south
[46:22.600 --> 46:23.600]  east against west
[46:23.600 --> 46:24.600]  woman against man
[46:24.600 --> 46:25.600]  child against parents
[46:25.600 --> 46:27.600]  black against white
[46:27.600 --> 46:29.600]  white against Hispanic
[46:29.600 --> 46:32.600]  Chinese against Vietnamese
[46:32.600 --> 46:35.600]  against Japanese
[46:35.600 --> 46:37.600]  black tribe against the tribe
[46:37.600 --> 46:38.600]  across the river
[46:38.600 --> 46:43.600]  Catholic against Protestant
[46:43.600 --> 46:44.600]  and while everybody's busy
[46:44.600 --> 46:46.600]  fighting with each other
[46:46.600 --> 46:52.600]  they move forward
[46:52.600 --> 46:57.600]  so this will be the year
[46:57.600 --> 47:01.600]  make or break it
[47:01.600 --> 47:03.600]  it's like fourth and five
[47:03.600 --> 47:10.600]  sudden death over time
[47:10.600 --> 47:12.600]  and we are having successes
[47:12.600 --> 47:13.600]  the globalists are being more
[47:13.600 --> 47:14.600]  revealed than ever
[47:14.600 --> 47:16.600]  they are more hated than ever
[47:16.600 --> 47:18.600]  again 84% of Americans
[47:18.600 --> 47:20.600]  do not trust either political party now
[47:20.600 --> 47:21.600]  we've never seen a number like that
[47:21.600 --> 47:23.600]  anything near that impulse
[47:23.600 --> 47:25.600]  so they've blown their cover
[47:25.600 --> 47:26.600]  and we always said
[47:26.600 --> 47:28.600]  that would be our key opportunity
[47:28.600 --> 47:29.600]  to wake up as many as we could
[47:29.600 --> 47:31.600]  before the North American Union was formed
[47:31.600 --> 47:34.600]  before the government staged more terror
[47:34.600 --> 47:37.600]  before we got deep into end game
[47:37.600 --> 47:38.600]  that's what FEMA by the way
[47:38.600 --> 47:40.600]  calls all these camps they're building
[47:40.600 --> 47:41.600]  that's been the Houston Chronicle
[47:41.600 --> 47:42.600]  they call it end game
[47:42.600 --> 47:44.600]  the program is called end game
[47:44.600 --> 47:46.600]  before we got into end game
[47:46.600 --> 47:49.600]  to wake up as many as we could
[47:49.600 --> 47:51.600]  so that when we went into end game
[47:51.600 --> 47:53.600]  we would have the educated informed
[47:53.600 --> 47:56.600]  motivated cadres
[47:56.600 --> 47:58.600]  operating as lone wolf groups
[47:58.600 --> 48:00.600]  across the nation and the world
[48:00.600 --> 48:03.600]  to organize even larger resistance
[48:03.600 --> 48:06.600]  once it became clear to the average sheep
[48:06.600 --> 48:09.600]  the average sheeple
[48:09.600 --> 48:10.600]  and now we're there
[48:10.600 --> 48:11.600]  they are waking up
[48:11.600 --> 48:13.600]  they still don't know the full scope
[48:13.600 --> 48:15.600]  they don't have a geopolitical gauge
[48:15.600 --> 48:17.600]  but they know things are corrupt
[48:17.600 --> 48:18.600]  they sense things are bad
[48:18.600 --> 48:20.600]  they now know America's dying
[48:20.600 --> 48:23.600]  they don't know it's dead
[48:23.600 --> 48:26.600]  they know that they're being lied to
[48:26.600 --> 48:28.600]  they know they're being lied to about 9-11
[48:28.600 --> 48:30.600]  they know the war is a lie
[48:30.600 --> 48:32.600]  I mean what better example
[48:32.600 --> 48:34.600]  millions of signatures sign
[48:34.600 --> 48:38.600]  in different positions for impeachment of Bush
[48:38.600 --> 48:41.600]  he's a puppet but it's important to punish him
[48:41.600 --> 48:44.600]  because it sends a message to this government
[48:44.600 --> 48:48.600]  to both sides that the people will punish you
[48:48.600 --> 48:50.600]  that if you follow the orders of the globalists
[48:50.600 --> 48:52.600]  you will get in trouble
[48:52.600 --> 48:54.600]  and it's a message to the world
[48:54.600 --> 49:01.600]  that we don't condone what America has been used for
[49:01.600 --> 49:07.600]  it's very important
[49:07.600 --> 49:12.600]  78% of Americans in indexed polls want us out of Iraq
[49:12.600 --> 49:15.600]  70% of the troops
[49:15.600 --> 49:16.600]  what's their answer?
[49:16.600 --> 49:19.600]  Bush has announced that they are going to expand
[49:19.600 --> 49:21.600]  the number of the troops is going to give a speech today or tomorrow
[49:21.600 --> 49:22.600]  they're saying
[49:22.600 --> 49:24.600]  and they are now announcing
[49:24.600 --> 49:28.600]  well here I have the BBC right here
[49:28.600 --> 49:30.600]  they are now announcing that of course
[49:30.600 --> 49:37.600]  they were never going to train 44 brigades of Iraqi National Guard
[49:37.600 --> 49:38.600]  of course that was never going to work
[49:38.600 --> 49:39.600]  they never wanted that to work
[49:39.600 --> 49:43.600]  they disbanded their military immediately
[49:43.600 --> 49:46.600]  all the top generals and statisticians said don't disband them
[49:46.600 --> 49:47.600]  it'll be endless civil war
[49:47.600 --> 49:48.600]  well of course they did
[49:48.600 --> 49:50.600]  they won endless civil war
[49:50.600 --> 49:51.600]  so now they're backing away from that fraud
[49:51.600 --> 49:55.600]  and just saying no it's going to be more US troops
[49:55.600 --> 49:57.600]  Bush will reveal Iraq troop boost
[49:57.600 --> 49:59.600]  US President George W. Bush
[49:59.600 --> 50:02.600]  intends to reveal a new Iraq strategy within days
[50:02.600 --> 50:04.600]  the BBC has learned
[50:04.600 --> 50:05.600]  the speech will reveal
[50:05.600 --> 50:08.600]  a plan to send more US troops to Iraq
[50:08.600 --> 50:10.600]  to focus on ways of bringing greater security
[50:10.600 --> 50:15.600]  rather than training Iraqi forces
[50:15.600 --> 50:18.600]  the move comes with figures from Iraqi ministers
[50:18.600 --> 50:22.600]  suggesting that deaths among civilians are at record highs
[50:22.600 --> 50:26.600]  and there isn't one trained brigade
[50:26.600 --> 50:28.600]  or even smaller unit of a brigade
[50:28.600 --> 50:31.600]  that is in combat order
[50:31.600 --> 50:34.600]  that is non-US
[50:34.600 --> 50:35.600]  and the British are downsizing
[50:35.600 --> 50:37.600]  the Spanish have pulled out
[50:37.600 --> 50:39.600]  the Poles pulled out a long time ago
[50:39.600 --> 50:41.600]  the US President arrived back in Washington today
[50:41.600 --> 50:46.600]  after a week long holiday at his ranch in Texas
[50:46.600 --> 50:48.600]  the BBC was told by senior administration
[50:48.600 --> 50:50.600]  source that the speech setting out changes
[50:50.600 --> 50:52.600]  in Mr. Bush's Iraq policy
[50:52.600 --> 50:55.600]  is likely to come in the middle of next week
[50:55.600 --> 50:59.600]  its central theme will be sacrifice
[50:59.600 --> 51:00.600]  the speech the BBC has been told
[51:00.600 --> 51:03.600]  involves increasing troop numbers
[51:03.600 --> 51:06.600]  and increasing profits for defense contractors
[51:06.600 --> 51:08.600]  I would add
[51:08.600 --> 51:11.600]  the exact mission of the extra troops in Iraq
[51:11.600 --> 51:14.600]  is still unclear
[51:14.600 --> 51:15.600]  according to officials
[51:15.600 --> 51:17.600]  but its likely to focus on providing security
[51:17.600 --> 51:19.600]  rather than training Iraqi forces
[51:19.600 --> 51:22.600]  they never meant to train them
[51:22.600 --> 51:24.600]  it was meant to fail
[51:24.600 --> 51:26.600]  it was meant to be a black hole
[51:26.600 --> 51:28.600]  a tar baby
[51:28.600 --> 51:30.600]  we'll be right back
[51:30.600 --> 51:33.600]  stay with me
[51:38.600 --> 51:40.600]  its year after a year in production
[51:40.600 --> 51:42.600]  and traveling to different lands
[51:42.600 --> 51:44.600]  my new film terror storm is complete
[51:44.600 --> 51:46.600]  shocking declassified government documents prove
[51:46.600 --> 51:48.600]  that western governments are orchestrating terror attacks
[51:48.600 --> 51:50.600]  against their own populations
[51:50.600 --> 51:52.600]  as a pretext to enslave them
[51:52.600 --> 51:54.600]  terror storm proves that not only was 9-11
[51:54.600 --> 51:56.600]  an inside job
[51:56.600 --> 51:58.600]  but the attacks of 7-7 in London
[51:58.600 --> 52:00.600]  were carried out by British intelligence
[52:00.600 --> 52:03.600]  terror storm chronicles the lies that took us to war in Iran
[52:03.600 --> 52:06.600]  a White House program to disseminate fake news
[52:06.600 --> 52:08.600]  NSA spy, secret police torture
[52:08.600 --> 52:10.600]  the latest 9-11 information
[52:10.600 --> 52:12.600]  and much much more
[52:12.600 --> 52:14.600]  terror storm is the definitive guide
[52:14.600 --> 52:16.600]  to the history of government sponsored terrorism
[52:16.600 --> 52:18.600]  its an anthology of government crimes
[52:18.600 --> 52:20.600]  terror storm is a film that everyone
[52:20.600 --> 52:22.600]  who wants to be truly informed must see
[52:22.600 --> 52:24.600]  get your copy today on infowars.com
[52:24.600 --> 52:26.600]  or prisenplanet.com
[52:26.600 --> 52:30.600]  or by calling toll 3-1-888-2533139
[52:30.600 --> 52:32.600]  or watch it right now online
[52:32.600 --> 52:34.600]  at prisenplanet.tv
[52:34.600 --> 52:36.600]  terrorism
[52:36.600 --> 52:37.600]  terrorism
[52:37.600 --> 52:38.600]  chemical attacks
[52:38.600 --> 52:39.600]  dirty bombs
[52:39.600 --> 52:40.600]  fallout
[52:40.600 --> 52:41.600]  biological attacks
[52:41.600 --> 52:43.600]  stop it all off
[52:43.600 --> 52:45.600]  alarming words for our time
[52:45.600 --> 52:47.600]  but how do you protect your family during such a crisis?
[52:47.600 --> 52:49.600]  the video sheltering in place
[52:49.600 --> 52:51.600]  surviving acts of terrorism
[52:51.600 --> 52:53.600]  from biological, chemical and radioactive fallout
[52:53.600 --> 52:55.600]  was developed by Wayne LaBaron
[52:55.600 --> 52:57.600]  a health physicist who has served as a specialist
[52:57.600 --> 52:59.600]  in environmental health
[52:59.600 --> 53:00.600]  communicable diseases
[53:00.600 --> 53:02.600]  and has worked as a nuclear specialist
[53:02.600 --> 53:03.600]  for the US government
[53:03.600 --> 53:05.600]  anyone can follow the simple instructions
[53:05.600 --> 53:07.600]  its presented by a housewife
[53:07.600 --> 53:09.600]  as they walk you step by step through the process
[53:09.600 --> 53:11.600]  of preparing your home as a shelter
[53:11.600 --> 53:13.600]  if you're not the type who waits till its too late
[53:13.600 --> 53:15.600]  then you need the video sheltering in place
[53:15.600 --> 53:17.600]  get the critical information you need now
[53:17.600 --> 53:19.600]  for only $29 plus shipping
[53:19.600 --> 53:21.600]  by calling new millennium
[53:21.600 --> 53:23.600]  at triple late 803-4438
[53:23.600 --> 53:25.600]  and tell them Alex Jones sent you
[53:25.600 --> 53:27.600]  at triple late 803-4438
[53:27.600 --> 53:29.600]  or order on the web
[53:29.600 --> 53:39.600]  at murkywater.com
[53:59.600 --> 54:01.600]  thanks for watching
[54:29.600 --> 54:31.600]  www.couplehealer.com
[54:31.600 --> 54:59.600]  www.couplehealer.com
[55:01.600 --> 55:21.600]  www.couplehealer.com
[55:21.600 --> 55:49.600]  www.couplehealer.com
[55:49.600 --> 56:09.600]  www.couplehealer.com
[56:09.600 --> 56:17.600]  www.couplehealer.com
[56:17.600 --> 56:37.600]  www.couplehealer.com
[56:37.600 --> 56:45.600]  www.couplehealer.com
[56:45.600 --> 56:55.600]  www.couplehealer.com
[56:55.600 --> 57:05.600]  www.couplehealer.com
[57:05.600 --> 57:13.600]  www.couplehealer.com
[57:13.600 --> 57:23.600]  www.couplehealer.com
[57:23.600 --> 57:33.600]  www.couplehealer.com
[57:33.600 --> 57:41.600]  www.couplehealer.com
[57:41.600 --> 57:51.600]  www.couplehealer.com
[57:51.600 --> 58:01.600]  www.couplehealer.com
[58:01.600 --> 58:09.600]  www.couplehealer.com
[58:09.600 --> 58:19.600]  www.couplehealer.com
[58:19.600 --> 58:29.600]  www.couplehealer.com
[58:29.600 --> 58:37.600]  www.couplehealer.com
[58:37.600 --> 58:47.600]  www.couplehealer.com
[58:47.600 --> 58:57.600]  www.couplehealer.com
[58:57.600 --> 59:05.600]  www.couplehealer.com
[59:05.600 --> 59:15.600]  www.couplehealer.com
[59:15.600 --> 59:25.600]  www.couplehealer.com
[59:25.600 --> 59:35.600]  www.couplehealer.com
[59:35.600 --> 59:53.600]  www.couplehealer.com
[59:53.600 --> 01:00:03.600]  www.couplehealer.com
[01:00:03.600 --> 01:00:21.600]  www.couplehealer.com
[01:00:21.600 --> 01:00:31.600]  www.couplehealer.com
[01:00:31.600 --> 01:00:41.600]  www.couplehealer.com
[01:00:41.600 --> 01:00:49.600]  www.couplehealer.com
[01:00:49.600 --> 01:00:59.600]  www.couplehealer.com
[01:00:59.600 --> 01:01:09.600]  www.couplehealer.com
[01:01:09.600 --> 01:01:17.600]  www.couplehealer.com
[01:01:17.600 --> 01:01:27.600]  www.couplehealer.com
[01:01:27.600 --> 01:01:37.600]  www.couplehealer.com
[01:01:37.600 --> 01:01:47.600]  www.couplehealer.com
[01:01:47.600 --> 01:01:57.600]  www.couplehealer.com
[01:01:57.600 --> 01:02:25.600]  www.couplehealer.com
[01:02:25.600 --> 01:02:35.600]  www.couplehealer.com
[01:02:35.600 --> 01:02:53.600]  www.couplehealer.com
[01:02:53.600 --> 01:03:13.600]  www.couplehealer.com
[01:03:13.600 --> 01:03:21.600]  www.couplehealer.com
[01:03:21.600 --> 01:03:31.600]  www.couplehealer.com
[01:03:31.600 --> 01:03:41.600]  www.couplehealer.com
[01:03:41.600 --> 01:03:49.600]  www.couplehealer.com
[01:03:49.600 --> 01:04:09.600]  www.couplehealer.com
