[00:00:03.922 --> 00:00:04.683]  Just checking in.
[01:00:59.974 --> 01:01:08.476]  I've been working with the EPA on a daily basis to address environmental-based issues.
[01:01:08.476 --> 01:01:28.682]  They've deployed rapid needs teams to assess needs that have arisen in certain areas, including water and wastewater assessment teams, especially focused in that regard on the Corpus Christi, Ingleside, and Rockport areas.
[01:01:30.698 --> 01:01:34.743]  A report from the Texas Parks and Wildlife.
[01:01:34.743 --> 01:01:41.831]  They have 5,000 evacuees at state parks in the state of Texas.
[01:01:41.831 --> 01:01:47.999]  Most of those are in shelters, cabins, or mobile homes.
[01:01:51.445 --> 01:01:53.848]  A report from the Department of Public Safety.
[01:01:53.848 --> 01:02:08.064]  There are more than 2,000 Department of Public Safety who are deployed to targeted regions and they will continue those deployments to ensure the safety and security is maintained in those regions.
[01:02:09.412 --> 01:02:16.898]  From the Texas Forest Service, they continue assisting local fire departments in all of the affected regions.
[01:02:16.898 --> 01:02:23.203]  From the Department of Health, they have deployed multiple health care teams.
[01:02:23.203 --> 01:02:35.112]  To give you an example of what they are doing, they have set up two emergency room departments at the George R. Brown Center in Houston, as well as they are setting up a medical shelter.
[01:02:35.832 --> 01:02:40.473]  Ladies and gentlemen, this just broke from the un-American enemy of the country, CNN.
[01:03:02.398 --> 01:03:04.820]  They're saying Houston got hit because of global warming.
[01:03:04.820 --> 01:03:06.522]  We've had record low hurricanes.
[01:03:06.522 --> 01:03:08.864]  Houston's always been hit by hurricanes.
[01:03:08.864 --> 01:03:12.868]  Just the city's so built up now, so the scale of any disaster is going to be bigger.
[01:03:12.868 --> 01:03:14.389]  It is a record storm.
[01:03:14.389 --> 01:03:16.170]  This is the voodoo they push.
[01:03:16.170 --> 01:03:27.861]  Sachs says Texas Governor Greg Abbott needs to resign and that we should apologize for having Houston being an oil town, while all these liberals fly around in private jets and have carbon footprints.
[01:03:29.258 --> 01:03:37.399]  One of Al Gore's houses alone in Tennessee has 35 times the average Tennessean carbon footprint just on electricity alone.
[01:03:37.399 --> 01:03:39.600]  I mean, holy Toledo!
[01:03:39.600 --> 01:03:41.760]  But it's okay, pay him a carbon tax.
[01:03:41.760 --> 01:03:44.161]  Jeffrey Sachs, who is this guy?
[01:03:44.161 --> 01:03:45.641]  Houston's an oil town.
[01:03:45.641 --> 01:03:49.421]  And he goes on to blame Texans, blame oil, and blame Governor Abbott.
[01:03:49.421 --> 01:03:53.462]  These people seize on anything.
[01:03:53.462 --> 01:03:57.923]  They want to control the energy and shut it off and screw you over because they've got investments in China.
[01:04:01.052 --> 01:04:02.152]  This is unbelievable.
[01:04:02.152 --> 01:04:09.435]  They're saying that if the governor would have not tried to block the carbon taxes, paying Al Gore money, that this wouldn't have happened.
[01:04:09.435 --> 01:04:15.056]  It's like saying the sun won't come back during an eclipse unless you give the witch doctor your child to sacrifice.
[01:04:15.056 --> 01:04:21.978]  Total, quack, fraud, garbage of these people seizing on everything.
[01:04:21.978 --> 01:04:26.680]  So see, this is just the more schooled way
[01:04:28.055 --> 01:04:37.021]  A little bit less kooky, it's still super kooky, than just saying, this is your karma, Texas, you're Republicans, and you got hit by a hurricane.
[01:04:37.021 --> 01:04:43.946]  No, it was a big bayou, it was a big shipping lane, it was a big shipping port, and then an industrial port.
[01:04:43.946 --> 01:04:46.167]  Houston, just like Galveston.
[01:04:46.167 --> 01:04:49.369]  Galveston's the oldest city in the United States.
[01:04:49.369 --> 01:04:51.410]  400 and something, 450 years old.
[01:04:51.410 --> 01:04:53.472]  Then you got New Orleans as the next oldest.
[01:05:00.646 --> 01:05:07.472]  We've got great air filters, great water filters, great non-GMO heirloom seeds, great books, great films, great Patriot apparel to meet like-minded people.
[01:05:07.472 --> 01:05:10.034]  And we've got a new humongoid sale.
[01:05:10.034 --> 01:05:13.496]  Not in the number of things that are on massive sale, but on what's on sale.
[01:05:13.496 --> 01:05:15.678]  Out for months, not been on sale for months and months.
[01:05:15.678 --> 01:05:20.522]  We've never offered Super Mel Vitality non-concentrated herbs, cold-pressed.
[01:05:20.522 --> 01:05:23.404]  Super Mel Vitality, 57% off.
[01:05:23.404 --> 01:05:26.387]  It's never been the price it is right now, with 3,596 reviews.
[01:05:26.387 --> 01:05:27.608]  4.6 reviews total by third-party sites.
[01:05:30.490 --> 01:05:31.411]  Unprecedented.
[01:05:31.411 --> 01:05:32.631]  And it's cold-pressed.
[01:05:32.631 --> 01:05:34.552]  That's why Super Mayo is so different.
[01:05:34.552 --> 01:05:42.956]  People say, well, I know these compounds work, because it's admitted in science, and these are other, what you sell, they, BuzzFeed said, it's like, it's already best-selling stuff, it's been certified as, you know, healthy and good forever.
[01:05:42.956 --> 01:05:44.177]  Why these aren't anything new?
[01:05:44.177 --> 01:05:48.439]  Because, why do something new when you can have the oldest and best, but cold-pressed?
[01:05:48.439 --> 01:05:49.559]  Duh!
[01:05:49.559 --> 01:05:49.860]  Duh!
[01:05:56.109 --> 01:06:00.812]  As most of you already know, I am a voracious consumer of news and information.
[01:06:00.812 --> 01:06:11.578]  And in the last four or five years doing more and more research, I came across the fact that the elite establishment is fully aware of the fact that our ancient ancestors in many cases had much
[01:06:11.698 --> 01:06:12.238]  We're good to go.
[01:06:39.943 --> 01:06:40.444]  We're good.
[01:06:55.996 --> 01:07:05.085]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best-tasting, 100% organic coffee on the planet.
[01:07:05.085 --> 01:07:13.493]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:07:13.493 --> 01:07:18.157]  We have now managed to secure these sought-after beans in a highly customized blend.
[01:07:18.357 --> 01:07:25.141]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[01:07:25.141 --> 01:07:32.325]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:07:32.325 --> 01:07:39.349]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:07:39.349 --> 01:07:43.692]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[01:07:43.832 --> 01:07:47.213]  Available in original or with our immune support infusion blend.
[01:07:47.213 --> 01:07:53.516]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[01:07:53.516 --> 01:07:59.538]  Available at Infowarslife.com.
[01:07:59.538 --> 01:08:06.100]  You are listening to an Infowars.com frontline report.
[01:08:06.100 --> 01:08:10.022]  If you are receiving this transmission, you are the resistance.
[01:08:17.626 --> 01:08:26.430]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[01:08:26.430 --> 01:08:31.352]  All right, Stefan Molyneux has arrived with a shotgun with us for the balance of the hour.
[01:08:31.352 --> 01:08:44.659]  We also have Owen Schroer coming in, who was confronted by the vicious, nasty Trump protesters last night, who screamed and yelled that Ben Carson is mentally deficient and not a black person.
[01:08:45.499 --> 01:08:50.143]  Crazy white people not knowing how racist and just insulting.
[01:08:50.143 --> 01:08:54.327]  It's like stuff the KKK would say a hundred years ago.
[01:08:54.327 --> 01:09:00.513]  That blacks are stupid and that they're dumb and that, I mean, it's just, it's crazy.
[01:09:00.513 --> 01:09:02.254]  So that's coming up.
[01:09:02.254 --> 01:09:04.416]  Unbelievable footage is up on Infowars.com.
[01:09:04.416 --> 01:09:09.241]  Stefan Molyneux, The Art of the Argument is his new book that just came out today.
[01:09:10.899 --> 01:09:15.201]  We've got government fast-tracking mandatory vaccinations as media muzzles debate.
[01:09:15.201 --> 01:09:29.509]  We have Alexander Dugin, a top Putin advisor, joining us because it was just announced last night that Vladimir Putin is directing the evacuation of some of the largest eastern towns and cities in Russia for the first time ever.
[01:09:30.289 --> 01:09:39.556]  Uh, on word that President Trump has basically told them that nuclear weapons are on the table to take out the North Koreans military buildup in the DMZ.
[01:09:39.556 --> 01:09:46.982]  And I don't want any of this to happen, but he just fired a missile over Japan, which is an act of war, not just off the coast, but over it at low altitude.
[01:09:46.982 --> 01:09:49.344]  Here comes a big missile and he's threatening to nuke everyone.
[01:09:50.572 --> 01:10:01.236]  Just another example of the big state government worship, another communist monster threatening the whole planet, as the leftists hope for Hurricane Harvey to destroy Texas.
[01:10:01.236 --> 01:10:04.177]  This is just breaking!
[01:10:04.177 --> 01:10:09.899]  CNN is reporting that New York Times writer Jeffrey Sachs is calling for
[01:10:11.872 --> 01:10:21.363]  Governor Abbott to resign saying Abbott didn't allow carbon taxes to pass and so that it's his fault a hurricane hit Houston.
[01:10:21.363 --> 01:10:23.385]  Houston is one of the oldest cities in the U.S.
[01:10:23.385 --> 01:10:30.354]  It's built on the ship channels out to the Gulf of Mexico and was built so they could have safe harbor, but it's always flooded.
[01:10:32.352 --> 01:10:41.280]  And now the city's one of the largest in the world, 6 plus million total, 10 million metro, and so that's why it flooded.
[01:10:41.280 --> 01:10:47.086]  It's always flooded, but it's a huge flooding because the city's bigger now.
[01:10:47.086 --> 01:10:51.370]  And there's large populations there, but to project onto this that
[01:10:53.188 --> 01:10:54.589]  Well, it's the karma.
[01:10:54.589 --> 01:11:00.233]  We've got professors saying it's the karma of the evil Texans because they supported Trump.
[01:11:00.233 --> 01:11:05.616]  Total religious voodoo by these people.
[01:11:05.616 --> 01:11:08.979]  So it only gets crazier and crazier.
[01:11:08.979 --> 01:11:13.982]  And you gotta ask yourself, why is Antifa cheering this?
[01:11:13.982 --> 01:11:20.566]  Why are there Antifa news articles out criticizing the police arresting 14 looters in
[01:11:24.090 --> 01:11:32.815]  Houston, this is total and complete beyond nihilism, because nihilism is just not caring.
[01:11:32.815 --> 01:11:34.376]  This is just nastiness.
[01:11:34.376 --> 01:11:50.304]  This is the losers of the world that have been living on the backs of limited free market, largesse in the West, and laissez-faire, now just hating anything successful and trying to pull down civilization.
[01:11:50.304 --> 01:11:50.985]  Undoubtedly,
[01:11:53.208 --> 01:11:56.412]  That's what this is, but have we turned a corner?
[01:11:56.412 --> 01:12:13.551]  Because now Nancy Pelosi and others have been forced to come out and say, okay, Antifa, the countless videos of them beating up a prayer vigil in Berkeley over the weekend and spitting on people en masse and groups of women stomping on men that roll over.
[01:12:15.094 --> 01:12:15.194]  Yes.
[01:12:30.922 --> 01:12:37.465]  Well, he equally criticized the nationalist, white nationalist, Nerdy Wells, and he was the ultimate devil.
[01:12:37.465 --> 01:12:39.106]  But there's your takeaway.
[01:12:39.106 --> 01:12:43.448]  Nancy Pelosi now agrees with Trump that Antifa is bad.
[01:12:43.448 --> 01:12:45.889]  Is she a white supremacist too?
[01:12:45.889 --> 01:12:48.330]  But why suddenly have the San Francisco police come out and said,
[01:12:48.510 --> 01:12:50.031]  They're a gang, they're dangerous, stop them.
[01:12:50.031 --> 01:12:51.593]  Why has the mayor come out and apologized?
[01:12:51.593 --> 01:12:57.178]  Why has Pelosi, who was calling them white supremacists and saying they deserve to be beaten up Sunday, why has he suddenly turned around?
[01:12:57.178 --> 01:13:04.324]  Because even CBS News has them on there going, well, they're Nazis, they deserve to get beat up when they were a prayer group.
[01:13:04.324 --> 01:13:07.147]  Just because you project something onto somebody doesn't mean it's true.
[01:13:07.147 --> 01:13:09.669]  And so now, what happened in the halls
[01:13:10.808 --> 01:13:11.028]  I think?
[01:13:41.829 --> 01:13:48.797]  Well, we've reached to the point where we have to stare into our screens, to stare into our cameras and say, look at me!
[01:13:48.797 --> 01:13:49.818]  I'm the media now.
[01:13:49.818 --> 01:13:57.066]  The only reason that Pelosi and others are turning against Antifa is because alternative media has been relentless in pointing out
[01:13:57.626 --> 01:13:58.827]  How violent they are.
[01:13:58.827 --> 01:14:01.067]  How destructive their ideology is.
[01:14:01.067 --> 01:14:05.429]  And so originally, of course, the free press was supposed to restrain the growth of government power.
[01:14:05.429 --> 01:14:10.991]  Now you need the alternative media to restrain or try and control the corruption of the mainstream media.
[01:14:10.991 --> 01:14:13.992]  That's been our job and this is one of the first great victories we've achieved.
[01:14:14.650 --> 01:14:29.618]  See, that's why you're so much better than I am anyways, because you just came out and said, new media, forced it out, has more viewers, showed their frauds, they just lost a major war force-feeding us wannabe vampire meth-head armies as heroes, as Captain America.
[01:14:29.898 --> 01:14:33.342]  When if anybody's fascist like Red Skull, it's them.
[01:14:33.342 --> 01:14:37.466]  They've got this ass backward and are projecting who they are onto us.
[01:14:37.466 --> 01:14:47.698]  And this is a spectacular victory that not just Pelosi, but leftists everywhere, from CNN to the New York Times, are now quickly jettisoning their anti-Fasoros army.
[01:14:48.783 --> 01:14:54.206]  Well, there's this amazing lack of a time lag these days, Alex, in pushing back against false narratives.
[01:14:54.206 --> 01:14:57.008]  Because in the past, you would create a demonic enemy.
[01:14:57.008 --> 01:15:01.551]  You'd say, well, they're the worst human beings possible, and therefore we have to restrict their free speech.
[01:15:01.551 --> 01:15:08.535]  And the pace of pushback would be so slow, the laws would already be on the books by the time the blowback occurred, and everyone realized they'd been bamboozled.
[01:15:08.955 --> 01:15:09.456]  We're good to go.
[01:15:36.912 --> 01:15:38.078]  Stefan, what's incredible is...
[01:15:39.366 --> 01:15:41.046]  You're not left-wing, you're not right-wing.
[01:15:41.046 --> 01:15:42.667]  I don't speak for it, but I've been watching you for years.
[01:15:42.667 --> 01:15:43.027]  I know that.
[01:15:43.027 --> 01:15:44.007]  You're just common sense.
[01:15:44.007 --> 01:15:46.528]  So am I. And we're almost synced.
[01:15:46.528 --> 01:15:48.389]  And the media keeps asking, how is Trump?
[01:15:48.389 --> 01:15:49.049]  How is Molyneux?
[01:15:49.049 --> 01:15:49.669]  How is Jones?
[01:15:49.669 --> 01:15:50.669]  How is Watson?
[01:15:50.669 --> 01:15:52.530]  How are all these people, like, synced?
[01:15:52.530 --> 01:15:53.510]  Or are we communicating?
[01:15:53.510 --> 01:15:54.270]  And they think we are.
[01:15:54.270 --> 01:15:56.511]  And they're asking, who's directing us?
[01:15:56.511 --> 01:16:07.694]  Common sense is directing us when we have hundreds of videos around the country of mobs of scumbags beating up men, women, and children, screaming Nazi when some of the folks they're beating up are black.
[01:16:08.594 --> 01:16:32.748]  And are women and it's just it's not that we're not directed like them We're organic and they keep attacking us like they still have air superiority They keep operating arrogantly like hey MTV Awards you had 2 million viewers this year you had 4 million last year We have videos every day with 2 3 million views Most our videos 50,000 100,000 tens of millions of views every couple of days.
[01:16:32.748 --> 01:16:33.869]  Don't you understand?
[01:16:33.869 --> 01:16:35.570]  We are destroying you!
[01:16:36.826 --> 01:16:38.207]  Well, I think they do understand that.
[01:16:38.207 --> 01:16:43.711]  You know, there's an old saying that says, any sufficiently advanced technology is indistinguishable from magic.
[01:16:43.711 --> 01:16:50.035]  I would amend that with the new media, Alex, to say, any sufficiently advanced common sense is indistinguishable from collusion.
[01:16:50.035 --> 01:16:52.437]  It looks like we're colluding because we have common sense.
[01:16:52.437 --> 01:16:59.642]  I mean, scientists don't collude, they just all follow the rational scientific method, and that's how, for the most part, they try to adjudicate their disputes.
[01:16:59.642 --> 01:17:05.406]  Mathematicians are not in collusion, they're just following objective and rational rules, and so it looks like magic,
[01:17:05.766 --> 01:17:10.612]  Because we're not ideological but we are rather common sense based.
[01:17:10.612 --> 01:17:13.456]  And it tells you everything you know about them that they don't get that.
[01:17:13.456 --> 01:17:16.981]  They've got to be directed because everything they're doing is nonsensical.
[01:17:18.772 --> 01:17:20.213]  They have, of course, an agenda.
[01:17:20.213 --> 01:17:21.534]  They wish to control people.
[01:17:21.534 --> 01:17:23.076]  They wish to control your thoughts.
[01:17:23.076 --> 01:17:31.402]  They wish to sow irrationality into you to harvest, like an evil demon seed, to harvest from your errors and from your corruption.
[01:17:31.402 --> 01:17:31.962]  They have sown.
[01:17:31.962 --> 01:17:34.905]  They wish to harvest the fruit of government power.
[01:17:34.905 --> 01:17:38.948]  And so, I don't have an agenda other than I care passionately about the truth.
[01:17:38.948 --> 01:17:40.409]  I'm willing to be corrected.
[01:17:40.409 --> 01:17:42.211]  Reason and evidence is the way to go.
[01:17:42.211 --> 01:17:45.053]  Debate, conversation, and research is the way to go.
[01:17:45.553 --> 01:17:48.355]  I don't have an agenda like I want people to do something.
[01:17:48.355 --> 01:17:49.515]  I need them to do something.
[01:17:49.515 --> 01:17:51.256]  I want them to avoid irrationality.
[01:17:51.256 --> 01:18:00.081]  My Ten Commandments center around the thou shalt nots rather than thou shalts, which are much, it's much less restrictive to say to someone don't do something rather than do something specific.
[01:18:00.081 --> 01:18:00.902]  They have an agenda.
[01:18:00.902 --> 01:18:03.083]  They're always being run by that agenda.
[01:18:03.083 --> 01:18:08.306]  And whenever you have a thirst for power, the first thing to go is any honesty, common sense and integrity.
[01:18:08.306 --> 01:18:11.888]  And we're really seeing that now because now we have something to compare the media to.
[01:18:12.268 --> 01:18:19.490]  We have something to compare them to, which is the more honest media, the independent media, the media that answers to the people, rather than the powers that be.
[01:18:19.490 --> 01:18:33.493]  I've got to put together a news report, or you can, or we all should, that simply shows clips of Antifa doing horrible, vicious things, and then shows CNN and MSNBC, and at least 20 videos I've seen in the last three weeks.
[01:18:34.774 --> 01:18:42.758]  It's endorsing them and saying, when it's time to be violent, when violence is for peace, when violence is good, what is Antifa?
[01:18:42.758 --> 01:18:57.687]  And to watch these operatives, most of them CIA and others, promoting, just like they promoted the Arab Spring, violent, anti-freedom, anti-open society scum, being able to go out and preemptively attack folks after they've been labeled
[01:18:58.587 --> 01:19:00.607]  Nazis and dehumanized.
[01:19:00.607 --> 01:19:03.408]  So here's the $64 trillion question, Stefan.
[01:19:03.408 --> 01:19:08.729]  When is CNN going to say that they don't support Antifa?
[01:19:08.729 --> 01:19:10.709]  When are they going to call them out?
[01:19:10.709 --> 01:19:17.931]  They keep asking Trump to come out and distance himself and repudiate the Nazis, which he's done hundreds and hundreds of times.
[01:19:17.931 --> 01:19:19.571]  Even when he does, they say he hasn't.
[01:19:19.571 --> 01:19:24.532]  So when is CNN that has actually endorsed the Antifa scourge?
[01:19:25.673 --> 01:19:29.424]  When are they going to repudiate a group they've actually endorsed?
[01:19:30.475 --> 01:19:32.717]  Well, I think everybody knows the answer to that, Alex.
[01:19:32.717 --> 01:19:37.941]  They're going to repudiate Antifa when they can reframe Antifa as some right-wing extremist organization.
[01:19:37.941 --> 01:19:41.164]  As long as they're anywhere centered on the left, they're going to have to dodge that.
[01:19:41.164 --> 01:19:44.087]  Because now, there's no such thing as the memory hole.
[01:19:44.087 --> 01:19:57.078]  You know, in 1984, the government controls the technology, the government controls the media, and when anything inconvenient happens or the government is caught in a contradiction or a hypocrisy, they just flush it down the memory hole and away it goes, deep into the rear view, over the curve of the earth.
[01:19:57.518 --> 01:20:09.767]  Now, there's no memory hole, because stuff that people wrote a year ago, five years ago, ten years, can be resurrected, and now you can juxtapose Antifa being violent with people in the media and people in politics supporting them.
[01:20:09.767 --> 01:20:18.674]  And this lack of a memory hole, this immediacy of pointing out hypocrisy, is an incredibly powerful weapon to point out the agenda that's driving these people.
[01:20:18.674 --> 01:20:24.318]  They have no idea for consistency, they have no plan for consistency, they want their drug of power, and they'll tell any lie to get it.
[01:20:24.318 --> 01:20:26.620]  But at least the lies now can be exposed, which means
[01:20:27.420 --> 01:20:29.503]  Everyone can see the addiction for what it is.
[01:20:29.503 --> 01:20:30.143]  Well, that's right.
[01:20:30.143 --> 01:20:35.709]  Gruber said, who helped write the Obamacare scam with the Republicans, to rip people off bipartisanly.
[01:20:35.709 --> 01:20:38.952]  I don't want liberals and others to support it when it's an admitted scam.
[01:20:38.952 --> 01:20:40.553]  He said, thank God you have no attention span.
[01:20:40.553 --> 01:20:42.055]  Thank God the public's so stupid.
[01:20:42.055 --> 01:20:43.016]  In six different videos.
[01:20:43.456 --> 01:21:02.423]  And it's true, folks kind of had a goldfish mentality for a while, at least some people, but now because there is no memory hole, no furnace into which yesterday's news is dumped and then the new reality of history's actors as, you know, Karl Rove, that whole thing is in trouble because Drudge or yourself or others go and show.
[01:21:02.423 --> 01:21:05.524]  Here's where they said you could keep your doctor and it was free.
[01:21:05.524 --> 01:21:09.066]  Here now they're saying it doubles your prices or, you know, here they are
[01:21:10.126 --> 01:21:15.668]  Over here telling you that they know there's WMDs, and here they are telling you they never told you that there were WMDs.
[01:21:15.668 --> 01:21:26.673]  So, they've got that huge problem in that we can just go back and show how they're counting on us having no memory, but we do now because the memory hole has been blown to pieces.
[01:21:28.086 --> 01:21:29.047]  The Iraq War.
[01:21:29.047 --> 01:21:45.082]  Don't you wonder, Alex, if the alternative media had been as strong back then, in 2003, if it had been as strong then as it is now, I genuinely believe America would not have performed that disastrous invasion, that act of brutal imperialism and destruction.
[01:21:45.082 --> 01:21:52.249]  I genuinely believe that Libya may not have been destroyed, the gateways to the migrants of Europe may not have been destroyed, if social media
[01:21:52.856 --> 01:21:54.197]  Was as strong then as it is now.
[01:21:54.197 --> 01:22:01.345]  Now, because it is as strong now, we may see, we may have seen the last of the horrifying, imperialistic, unjust wars.
[01:22:01.345 --> 01:22:05.989]  We may have seen... Well, they admit, I mean, Britain first led the deal to, along with Senator...
[01:22:07.328 --> 01:22:07.849]  I don't
[01:22:24.461 --> 01:22:27.104]  As a really political arm of domination.
[01:22:27.104 --> 01:22:34.692]  So we now see the imperialization of the Middle East was actually to be used in the final takedown of Europe and the United States.
[01:22:34.692 --> 01:22:38.496]  And now the whole globalist master plan, in their own words, is on fire.
[01:22:38.496 --> 01:22:41.159]  They admit globalism is in cultural retreat.
[01:22:41.159 --> 01:22:43.802]  People are against it, but still they're force-feeding it.
[01:22:43.802 --> 01:22:46.885]  How do you predict this collision is going to look?
[01:22:48.217 --> 01:22:50.919]  It depends how well we can maintain our platform, Alex.
[01:22:50.919 --> 01:22:58.666]  As you know, the whole goal of certain elements within the left, and the globalist elements as well, their particular goal is to get us to shut the hell up.
[01:22:58.666 --> 01:23:06.893]  Now they can't interrupt our passion, they can't stop our eloquence, they can't stop our research, they can't stop our facts, and they sure as hell can't rebut our arguments.
[01:23:06.893 --> 01:23:09.296]  So what they're doing is they're hoping to unplug the studios.
[01:23:09.296 --> 01:23:14.120]  They're hoping to find ways that we can be de-platformed, which is such a confession of helplessness.
[01:23:14.807 --> 01:23:19.211]  If I'm a boxer and I'm terrified to get into the ring with some guys, it's because I think I'm going to lose.
[01:23:19.211 --> 01:23:20.853]  So they have no answers.
[01:23:20.853 --> 01:23:22.855]  So they're looking to unplug the cameras.
[01:23:22.855 --> 01:23:25.798]  They're looking to unplug the lights and have us go completely dark.
[01:23:25.798 --> 01:23:32.644]  It really depends on how well we can navigate this particular de-platforming issue, which is the very biggest issue I think going on.
[01:23:32.644 --> 01:23:33.085]  You're right.
[01:23:33.085 --> 01:23:34.346]  As usual, 100% on target.
[01:23:34.346 --> 01:23:35.187]  Everything goes dark.
[01:23:35.387 --> 01:23:36.528]  So how do we raise the alarm?
[01:23:36.528 --> 01:23:43.674]  Because they've been slowly titrating and censoring, and the listeners would go do something, and lawsuits are filed, and we beat them back.
[01:23:43.674 --> 01:23:50.699]  But now people are so used to the censorship, they're kind of just almost accepting it, and it's what, 500% what it was a year ago?
[01:23:50.699 --> 01:23:52.521]  I mean, it is exponential.
[01:23:54.295 --> 01:24:00.058]  Well, the real danger here, in my view, Alex, is not even the external censorship.
[01:24:00.058 --> 01:24:01.199]  It's the self-censorship.
[01:24:01.199 --> 01:24:10.924]  So it's everyone out there who has these platforms who says, well, you know, demonetization and ghettoization and all the stuff that's being done for objectionable content.
[01:24:10.924 --> 01:24:16.427]  And of course, if we have decent schools, people would be able to handle even the most corrosive content with intellectual agility and certainty.
[01:24:16.867 --> 01:24:23.231]  My concern in particular is that people internalize the censorship and try and avoid these problems and I'm not going to do that.
[01:24:23.231 --> 01:24:27.074]  I don't think you're going to do that because you haven't so far as far as I've ever known you.
[01:24:27.074 --> 01:24:29.756]  So the important thing is don't let them get in your head.
[01:24:29.756 --> 01:24:31.977]  Don't let them shut you down internally.
[01:24:31.977 --> 01:24:35.319]  Don't try and pick a safe and easy route because that's surrendering without a fight.
[01:24:35.319 --> 01:24:36.660]  That's desperately what they want.
[01:24:36.660 --> 01:24:45.166]  These are all supposed to be flares shot into people's faces to get us all to look away from the light and we have to resist that and continue speaking the truth and deal with the consequences that arise.
[01:24:45.646 --> 01:24:49.050]  Well, I'm proud of Paul Watson, yourself, everybody, myself.
[01:24:49.050 --> 01:24:52.413]  First it was 50% demonetization, then 76% for everybody.
[01:24:52.413 --> 01:24:54.195]  It's all an algorithm, they admit it.
[01:24:54.195 --> 01:24:55.937]  Now it's 95%.
[01:24:55.937 --> 01:25:00.362]  And now Facebook goes, we're not going to let conservatives or libertarians advertise.
[01:25:00.362 --> 01:25:01.583]  That was announced yesterday.
[01:25:01.583 --> 01:25:05.167]  And their Jihad Watch, all these groups are being kicked off PayPal.
[01:25:05.167 --> 01:25:07.149]  The rebel media has been taken down in Canada.
[01:25:07.509 --> 01:25:11.111]  I mean, it's really ultra-intense, and I agree with you.
[01:25:11.111 --> 01:25:13.433]  They're trying to get the little guy to self-censor.
[01:25:13.433 --> 01:25:15.514]  They're trying to get the big guys to self-censor.
[01:25:15.514 --> 01:25:18.896]  They're trying to get a Joe Rogan scared to have me back on.
[01:25:18.896 --> 01:25:25.460]  That's not happened, but they did, you know, try to delete his stuff or block it or not let it be seen or, you know, basically just, you know, threats.
[01:25:25.460 --> 01:25:29.162]  This is happening to everybody right now, and here's the problem.
[01:25:29.602 --> 01:25:30.663]  We give in to this.
[01:25:30.663 --> 01:25:33.085]  The globalists know they're incredibly unpopular.
[01:25:33.085 --> 01:25:39.611]  They want to bring in real authoritarianism now because they understand that if they beat us in this phase, we're just going to come back.
[01:25:39.611 --> 01:25:41.713]  So they're going for all the marbles.
[01:25:41.713 --> 01:25:50.900]  You have a perfect storm of old dinosaur media, the corrupt corporations, the big multinationals, the out-of-touch, the government people who are now admittedly saying
[01:25:51.661 --> 01:25:53.703]  We want an Antifa army to beat you up.
[01:25:53.703 --> 01:25:54.884]  We want to kill Trump.
[01:25:54.884 --> 01:25:56.526]  We want to arrest our opposition.
[01:25:56.526 --> 01:26:01.311]  We want to go like brown shirts and beat folks up everywhere and pour coffee on Alex Jones.
[01:26:01.311 --> 01:26:05.435]  They're turning, as you said, desperately to the authoritarianism switch.
[01:26:05.435 --> 01:26:06.696]  And that's what we've got to understand.
[01:26:06.696 --> 01:26:08.398]  We're very close to beating them.
[01:26:08.398 --> 01:26:11.120]  This Antifa admission of them being a criminal gang.
[01:26:11.821 --> 01:26:17.950]  Shows they're distancing themselves now, knowing that intimidation didn't work, knowing we're not backing down.
[01:26:17.950 --> 01:26:25.821]  So what do we do next to really let the troops know we're entering the thick of the critical juncture of this deciding war right now?
[01:26:28.095 --> 01:26:34.723]  I think patience, and I have gained new respect over the years for the idea of having some compassion for your enemy.
[01:26:34.723 --> 01:26:45.134]  One of the things that has struck me, I just had a very long conversation with somebody who had left Antifa, who had left the extremist violent movements, and we talked about the reasons why, how he got into it, and how he got out.
[01:26:45.134 --> 01:26:47.357]  It's a very, very important conversation for people to listen to.
[01:26:47.897 --> 01:26:54.464]  But one of the problems is that in government schools, in most of the media that's aimed at children, you just get one view.
[01:26:54.464 --> 01:26:54.925]  One view.
[01:26:54.925 --> 01:26:56.567]  You never encounter anything different.
[01:26:56.567 --> 01:27:03.594]  Now then you get on social media as an adult, you start looking at alternative media, and this new information comes in and it feels alarming.
[01:27:03.594 --> 01:27:05.957]  You're kind of programmed to react against it badly.
[01:27:06.457 --> 01:27:11.363]  I think that we also have to be sensitive to trying to recognize that these people have been programmed.
[01:27:11.363 --> 01:27:16.048]  And deprogramming them is not always a matter of yelling, although I've certainly done my fair share over the years.
[01:27:16.048 --> 01:27:16.408]  No, you're right!
[01:27:16.408 --> 01:27:17.289]  It's a cult then!
