[00:00:01.318 --> 00:00:02.899]  Or less than 10 minutes, I guess.
[00:25:36.555 --> 00:25:39.740]  And this MI6 agent also said that...
[00:25:47.914 --> 00:26:01.297]  I don't agree with all this out in the open business, you know, saying we're never at war with East Asia, we've always been at war with East Asia, Big Brother will give you 100 taco rations tomorrow, he never said he'd do that, he's only going to give you 5 taco rations.
[00:26:01.297 --> 00:26:09.618]  I mean, with this Orwellian on purpose lying, I believe, well my dad is a pretty smart guy, he believes they probably used a defibrillator on him.
[00:26:10.171 --> 00:26:10.451]  I don't know.
[00:26:30.203 --> 00:26:34.146]  Well, the end result of it is obviously what the British government planned all along.
[00:26:34.146 --> 00:26:43.373]  Have the Hutton Inquiry, have the whitewash, and then sacrifice some lower-level minion like Jeff, who would brush the whole thing under the carpet and try and move on.
[00:26:43.373 --> 00:26:47.076]  So, that's what we've got going on with the Kelly situation at the moment.
[00:26:47.076 --> 00:26:51.960]  All right, we're going to come back and talk to Barbara and others, but I do have some other points I want to make.
[00:26:51.960 --> 00:26:55.042]  But, Paul, I mean, saying that
[00:26:56.111 --> 00:27:03.196]  There's a new tape of Bin Laden's writing in Man, when they admit they quote out him captured 18 months ago, but won't produce him.
[00:27:03.196 --> 00:27:04.717]  It's all just theater, they all work for them.
[00:27:04.717 --> 00:27:13.283]  To have Bush give a speech and say, Bin Laden's gonna be back, he's gonna get you, and Bin Laden pops up an hour later on TV and a new tape comes out.
[00:27:13.283 --> 00:27:21.529]  To have Powell before the war, before the Congress saying, there's a new tape on Al Jazeera where he says, Bin Laden says he works with Saddam,
[00:27:22.350 --> 00:27:24.071]  And then they go, well, that's not on TV right now.
[00:27:24.071 --> 00:27:25.171]  He goes, oh, it will be.
[00:27:25.171 --> 00:27:28.692]  I mean, talk about scripting.
[00:27:28.692 --> 00:27:37.255]  It is a complete joke, and we've had the situation with the Brooklyn Bridge so-called terrorist trying to cut the cable like that would be possible.
[00:27:37.255 --> 00:27:41.056]  It would take him like 12 hours, and he didn't even have the equipment.
[00:27:41.056 --> 00:27:43.917]  And then it turns out that he was an FBI spy.
[00:27:43.917 --> 00:27:50.539]  I mean, we have Khalid Sheikh Mohammed, who was supposedly another one of bin Laden's right-hand men.
[00:27:51.159 --> 00:27:59.105]  He was captured and then it turns out, we look at the previous reports, that he'd already been captured and killed a year previously.
[00:27:59.105 --> 00:28:01.627]  And then now since then they've captured him again and again.
[00:28:01.627 --> 00:28:03.369]  I mean, it's like it's a joke.
[00:28:03.369 --> 00:28:07.252]  Oh, here's his face and the news doesn't say, well, this is a retraction.
[00:28:07.252 --> 00:28:08.593]  They just go, yeah, we captured him again.
[00:28:08.593 --> 00:28:09.473]  We captured him again.
[00:28:09.473 --> 00:28:09.994]  We killed him again.
[00:28:09.994 --> 00:28:12.496]  We captured him again.
[00:28:12.496 --> 00:28:14.377]  This really is Ingsoc.
[00:28:14.377 --> 00:28:16.919]  This really is Orwellian conditioning.
[00:28:18.377 --> 00:28:24.383]  Just to stay sane, as Winston said, you've almost got to become insane and just accept it.
[00:28:24.383 --> 00:28:26.265]  You know, 2 plus 2 could equal 4 or 5 or 10.
[00:28:26.265 --> 00:28:28.627]  You've got to see all the figures.
[00:28:28.627 --> 00:28:32.991]  They've got to be blurred when O'Brien holds them up to us.
[00:28:32.991 --> 00:28:36.414]  Are you beginning to double think, Paul?
[00:28:36.414 --> 00:28:39.757]  The key is just to try and, you know, have a memory.
[00:28:39.757 --> 00:28:42.340]  That's the basic tenet of trying to follow all this.
[00:28:44.418 --> 00:28:45.459]  Oh, it's just amazing.
[00:28:45.459 --> 00:28:47.700]  I mean, folks, this is so over the top.
[00:28:47.700 --> 00:28:52.642]  I mean, it's like a... It's like a comedy skit or something.
[00:28:52.642 --> 00:28:54.182]  There's no way to describe.
[00:28:54.182 --> 00:28:55.703]  I didn't know I could get this bad.
[00:28:55.703 --> 00:29:01.886]  We'll be right back.
[00:29:01.886 --> 00:29:07.688]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:29:07.688 --> 00:29:09.929]  Because there's a war on for your mind.
[00:29:18.580 --> 00:29:19.501]  So, go to the calls.
[00:29:19.501 --> 00:29:27.247]  I've got a bunch of other news from today we're about to get to as well and get Paul Watson's take on it.
[00:29:27.247 --> 00:29:30.889]  But remember, we've got a population that 70% of them don't know where Iraq is.
[00:29:30.889 --> 00:29:32.210]  And that was in the middle of the war.
[00:29:32.210 --> 00:29:34.132]  So, you try to explain to them that they keep
[00:29:34.787 --> 00:29:37.148]  He's cycling the same boogeyman over and over again.
[00:29:37.148 --> 00:29:41.250]  I mean, it's... This has been done on purpose, folks.
[00:29:41.250 --> 00:29:50.193]  In 1984, Orwell, who was really Blair, had been in the police in India, under the Imperials, been a communist.
[00:29:50.193 --> 00:29:51.374]  He'd done all this stuff.
[00:29:51.374 --> 00:29:54.315]  He'd worked for the BBC, so he understood propaganda.
[00:29:54.315 --> 00:29:57.756]  And that's what his book was saying, is that they train you to accept lies.
[00:29:57.756 --> 00:29:59.497]  You tell somebody, well, they're lying to us.
[00:29:59.497 --> 00:30:01.358]  Well, that's what they do, Mac!
[00:30:02.415 --> 00:30:07.118]  Well, you see, when people accept corruption, well, the SWAT teams killed other innocent people today.
[00:30:07.118 --> 00:30:08.158]  Well, that's just what they do.
[00:30:08.158 --> 00:30:09.439]  I don't want to hear about it.
[00:30:09.439 --> 00:30:24.348]  See, it's desensitization, a psychological process, where they may start wearing clown outfits on TV, and hopping around, and Bush may start sawing guns in half on TV, and going, I'm pro-gun, and... I shouldn't joke, because when I joke, it then comes true.
[00:30:25.747 --> 00:30:30.570]  But, you know, he may come out in a devil outfit and say, I'm Jesus, and the Christians will go, Hail Him!
[00:30:30.570 --> 00:30:31.571]  He is the Christ!
[00:30:31.571 --> 00:30:35.934]  I mean, I shouldn't joke, but it's almost getting that ridiculous.
[00:30:35.934 --> 00:30:39.736]  And so, you know, let's hope it doesn't get that bad.
[00:30:39.736 --> 00:30:45.080]  You know, he may come out in an Anton LaVey devil outfit and say, this is how Jesus dresses, you know, blasphemous stuff like that.
[00:30:45.080 --> 00:30:48.842]  And they may go, that's Christian, you know, open the borders, it's conservative.
[00:30:50.445 --> 00:30:51.085]  More napkin?
[00:30:51.085 --> 00:30:52.186]  Yeah, it's good for you.
[00:30:52.186 --> 00:30:56.267]  You know, it's just... I'm getting a little satirical here, but it's out of control.
[00:30:56.267 --> 00:30:59.128]  Let's talk to Barbara in Tennessee.
[00:30:59.128 --> 00:31:00.548]  Thanks for holding, then.
[00:31:00.548 --> 00:31:02.689]  And Melissa and Charles and others.
[00:31:02.689 --> 00:31:03.749]  Go ahead.
[00:31:03.749 --> 00:31:04.769]  Thanks, Alex.
[00:31:04.769 --> 00:31:11.532]  I appreciate what Mr. Watson had to share concerning compulsory education over in France.
[00:31:11.532 --> 00:31:12.892]  It was Germany.
[00:31:12.892 --> 00:31:14.573]  It was Germany.
[00:31:14.573 --> 00:31:19.134]  After the early American Revolution, there was actually a group of French that had come over
[00:31:19.667 --> 00:31:19.927]  I think so.
[00:31:38.542 --> 00:31:43.427]  Do away with the traditional American classroom that was still very much encouraging.
[00:31:43.427 --> 00:31:47.571]  Totally locally controlled, a classical learning system.
[00:31:47.571 --> 00:31:50.013]  And see, for those who don't know, encyclopedia.
[00:31:50.013 --> 00:31:53.156]  Kindergarten was a Prussian brainwashing system.
[00:31:53.156 --> 00:31:59.062]  The public schools are a fool society, Nazi death cult system.
[00:31:59.062 --> 00:32:00.283]  Now that's just history.
[00:32:00.283 --> 00:32:01.304]  Paul Watson, comments?
[00:32:02.253 --> 00:32:24.783]  Well yeah and we can again look back and find that people like Andrew Carnegie and the same names that are behind the Tax Exempt Foundations now that are funding the left-wing disinformationists were in fact behind that original movement to create these brainwashing systems and licensing of academia basically so
[00:32:25.569 --> 00:32:29.372]  From the very start, it was controlled right from the top of the pyramid.
[00:32:29.372 --> 00:32:35.057]  Yeah, before, if you could go in and take the bar test or go in and take the medical exam, you were a doctor.
[00:32:35.057 --> 00:32:41.883]  Before, if you had the facts and had the information, now you have to have all their special accreditation.
[00:32:41.883 --> 00:32:52.712]  USA Today article on Wednesday, September 3rd, they had a quote from Dennis Evans, who's the Director of Education Leadership Programs at the University of California in Irvine.
[00:32:53.584 --> 00:32:58.914]  And what he said was that public schools are the one place where all children of all people come together.
[00:32:58.914 --> 00:33:02.580]  Can there be any more important to teach each child?
[00:33:05.509 --> 00:33:15.732]  The Democratic Society than to develop virtues and values such as respect for others and the ability to communicate and collaborate and an openness to diversity and new ideas.
[00:33:15.732 --> 00:33:25.114]  What that means is being a mindless jellyfish that only says yes to whatever they're told and has learned to be script searched and led around by somebody in a black ski mask.
[00:33:25.114 --> 00:33:32.536]  Right, and he said furthermore the isolation impact of home teaching is an anathema to socialization and
[00:33:33.201 --> 00:33:41.473]  Yeah, so now, see, and they're moving to ban homeschooling as they win all the spelling bees and the corporations fight to get them.
[00:33:41.473 --> 00:33:43.596]  Right, and he pointed out that... Tell me that article.
[00:33:43.596 --> 00:33:45.699]  Who is this sicko?
[00:33:45.699 --> 00:33:47.061]  Dennis L. Evans.
[00:33:47.668 --> 00:33:53.214]  And he's the Director of Education Leadership Program in the University of California at Irvine.
[00:33:53.214 --> 00:33:54.355]  I mean, take U.S.A.
[00:33:54.355 --> 00:33:54.575]  today.
[00:33:54.575 --> 00:33:56.777]  They're the ones that told you, yes, the U.N.
[00:33:56.777 --> 00:33:58.119]  runs our courts, it's good.
[00:33:58.119 --> 00:34:02.483]  And I heard the neocons on the radio going, well, it's not that bad, Bush is good.
[00:34:02.483 --> 00:34:06.587]  Comments about that, Paul, have they now announced that, yeah, our courts are under the U.N., sure.
[00:34:06.587 --> 00:34:10.932]  Everything's under the authority of global, yeah, but going back to
[00:34:12.044 --> 00:34:20.354]  Um, the education facet, I've actually got a quote from somebody called John Gatto who was New York State Teacher of the Year for 1991.
[00:34:22.253 --> 00:34:29.976]  And he said in his own words, quote, I teach children not to care too much about anything, even though they want to make it appear that they do.
[00:34:29.976 --> 00:34:31.437]  How I do this is very subtle.
[00:34:31.437 --> 00:34:40.841]  I do it by demanding they become totally involved in my lessons, jumping up and down in their seats with anticipation, competing vigorously with each other for my favorite.
[00:34:40.841 --> 00:34:45.723]  It goes back to the whole Pavlovian bell salivating condition process.
[00:34:45.723 --> 00:34:49.044]  Which the former head of policy said it was dog training.
[00:34:51.366 --> 00:34:54.354]  We're on the march, the empire's on the run.
[00:34:54.354 --> 00:34:57.964]  Alex Jones and the GCN Radio Network.
[00:35:14.438 --> 00:35:23.365]  What restrains the government from becoming your absolute ruler, owning you, running your life?
[00:35:23.365 --> 00:35:29.150]  Well, having a Bill of Rights, having a Constitution, being willing to stand up and defend those beliefs.
[00:35:29.150 --> 00:35:31.091]  That's what makes you a free human being.
[00:35:31.091 --> 00:35:39.018]  History is a history of enslaved, feudal serf populations on global reservations and plantations.
[00:35:39.018 --> 00:35:40.119]  That's happening again.
[00:35:40.911 --> 00:35:43.974]  And it's all in the name of public safety.
[00:35:43.974 --> 00:35:46.295]  Well, your cell phone has a tracker chip in it.
[00:35:46.295 --> 00:35:51.860]  Now, your OnStar listens to you with Homeland Security for your safety.
[00:35:51.860 --> 00:35:57.484]  We're having to put face scanning cameras on to make you thumb scan to get your school lunch or to go to the grocery store for your safety.
[00:35:57.484 --> 00:36:02.088]  Oh, we're going to have to call CPS out on any kid that's 10 pounds overweight.
[00:36:02.088 --> 00:36:04.029]  Now, see, it's your social life.
[00:36:04.029 --> 00:36:04.970]  It's what you do.
[00:36:04.970 --> 00:36:06.471]  It's running your life.
[00:36:07.751 --> 00:36:08.951]  We're going to go over all that.
[00:36:08.951 --> 00:36:10.032]  Let's take some more calls.
[00:36:10.032 --> 00:36:14.753]  We're talking to Paul Watson of OrderedOutOfChaos and PrisonPlanet.com.
[00:36:14.753 --> 00:36:17.954]  Let's go ahead and talk to Melissa in Florida.
[00:36:17.954 --> 00:36:18.674]  Melissa, go ahead.
[00:36:18.674 --> 00:36:20.435]  Hi, Alex.
[00:36:20.435 --> 00:36:29.558]  I just wanted to ask you, do you have any video or audio clips of Rumsfeld talking about 911 being a blessing in disguise?
[00:36:31.804 --> 00:36:33.145]  I know he's made those comments.
[00:36:33.145 --> 00:36:37.348]  What we have is PNAC documents written beforehand.
[00:36:37.348 --> 00:36:47.054]  Project for the American Century calling Pearl Harbor a lucky event, saying we need more of those events, and we need terror to mobilize.
[00:36:47.054 --> 00:36:53.358]  Where they talk about, Chaney talks about race-specific bioweapons, how good they are, and how we need to use them and kill certain races.
[00:36:54.279 --> 00:36:59.344]  That was in the September 2000 Rebuilding America's Defenses.
[00:36:59.344 --> 00:37:04.709]  Watson, comments on PNAC and the psychopathic admissions there.
[00:37:05.549 --> 00:37:08.170]  Well, yeah, we got PNAC calling for a new Pearl Harbor.
[00:37:08.170 --> 00:37:14.691]  We've got Bush saying that 9-1-1 enabled him to, quote, hit the trifecta.
[00:37:14.691 --> 00:37:20.033]  We've got Bush coming out every few months saying that the hijackers are servants of evil.
[00:37:20.033 --> 00:37:23.254]  Well, the question is, who are their masters?
[00:37:23.254 --> 00:37:28.395]  It's interesting, though, to get... He also said no one knows the power of the Stark cult of evil.
[00:37:29.099 --> 00:37:31.843]  Nobody knows the power... He smiled when he said it!
[00:37:31.843 --> 00:37:33.485]  I'm sorry, go ahead.
[00:37:33.485 --> 00:37:35.428]  I'm sorry, Watson, finish up.
[00:37:35.428 --> 00:37:36.369]  I'll quickly interrupt you.
[00:37:36.369 --> 00:37:37.771]  Go ahead.
[00:37:37.771 --> 00:37:45.682]  In relation to 9-11 itself, some recent information that's come out relates to Flight 11, the first plane to hit the World Trade Center.
[00:37:46.694 --> 00:38:03.643]  Now, according to the official timeline, and we've gone through this before, the hijackers were running up and down the aisle on Flight 11, splitting people's throats, and according to the initial FAA reports, which were later covered up, the hijackers supposedly actually shot one of the passengers.
[00:38:03.643 --> 00:38:11.688]  And if all this noise and commotion was taking place, then the question is, why on earth did the pilot and the co-pilot not attempt to make radio contact?
[00:38:12.348 --> 00:38:18.672]  And, in fact, the only time radio contact is made is when you hear the voices of the so-called hijackers.
[00:38:18.672 --> 00:38:26.056]  Why didn't the pilots punch in that three-digit code alerting ground control to a hijack situation?
[00:38:26.056 --> 00:38:33.060]  Another question is the FAA with flight... Well, I mean, most of those pilots are former jet pilots and people... I mean, these are tough guys.
[00:38:33.060 --> 00:38:33.780]  I know pilots.
[00:38:33.780 --> 00:38:37.462]  Can you imagine some Arabs running around with box cutters trying to do that?
[00:38:37.462 --> 00:38:38.483]  I mean, that's ridiculous.
[00:38:38.763 --> 00:38:40.263]  But see, people haven't lived.
[00:38:40.263 --> 00:38:41.383]  They don't know where Iraq is.
[00:38:41.383 --> 00:38:42.944]  They've never been in a fistfight.
[00:38:42.944 --> 00:38:44.624]  They've never had somebody pull a knife on them.
[00:38:44.624 --> 00:38:47.124]  I mean, I've had people pull a knife on me.
[00:38:47.124 --> 00:38:48.925]  Growing up in Dallas, stuff was rougher.
[00:38:48.925 --> 00:38:50.485]  I'd beat the living daylights out of them.
[00:38:50.485 --> 00:38:51.465]  Go ahead.
[00:38:51.465 --> 00:39:00.047]  And then we've got another question concerning Flight 11, which is a cell phone call of a flight attendant called Amy Sweeney.
[00:39:00.047 --> 00:39:07.988]  And just to go through this quickly, the cell phone call, according to the official timeline, occurred just before the plane descended into lower Manhattan.
[00:39:08.468 --> 00:39:16.255]  Hitting the World Trade Center and so we have on the tape Sweeney's heard describing water and buildings as a plane crosses the Hudson River.
[00:39:16.255 --> 00:39:21.499]  Now this is described as being immediately after the hijackers had stormed the cockpit.
[00:39:21.499 --> 00:39:26.223]  So if the hijackers had only just stormed the cockpit before it hit the World Trade Center...
[00:39:26.343 --> 00:39:32.945]  So the question is, how did the plane divert dramatically from its course 150 miles earlier if the pilots were supposedly still in control of the plane?
[00:39:49.972 --> 00:39:58.199]  One last thing is that the only voice that can be heard screaming is that of Sweeney, the flight attendant herself, right before the plane hit.
[00:39:58.199 --> 00:40:11.592]  So the question is, can it be truly plausible that in the moments before crashing into North Tower of the World Trade Center, one flight attendant would, among nine other crew members and 81 passengers, be the only one heard
[00:40:12.172 --> 00:40:14.233]  They're basically shrieking in terror, right?
[00:40:14.233 --> 00:40:16.375]  And by the way, this is what they say.
[00:40:16.375 --> 00:40:28.883]  This is the same government that gave Hugo Bin Laden, that had gained 100 pounds and had different nose and ears, the same government, the same media that can have Forrest Gump shaking hands with JFK.
[00:40:28.883 --> 00:40:30.784]  That's right, from the official timeline.
[00:40:31.391 --> 00:40:46.249]  You cannot believe any... It's their own statement that the plane was hijacked 150 miles off course, 45 minutes later, after flying all around the East Coast, off course, then it's hijacked seconds before.
[00:40:46.249 --> 00:40:47.810]  Anything else, Melissa?
[00:40:47.810 --> 00:40:48.692]  Yes, Alex.
[00:40:48.692 --> 00:40:50.514]  I have him right now.
[00:40:51.129 --> 00:40:59.511]  A minute clip of him saying that and saying that we should be grateful that 3,000 people were killed instead of 30 to 300,000 through a biological attack.
[00:40:59.511 --> 00:41:04.212]  Well, yeah, but the Building 7 command bunker did tell them to stay at their desk or they'd get in trouble.
[00:41:04.212 --> 00:41:06.292]  I guess they did try to keep the people there.
[00:41:06.292 --> 00:41:09.693]  Uh, sure, go ahead and play his lordship.
[00:41:09.693 --> 00:41:10.913]  Okay, hold on.
[00:41:10.913 --> 00:41:13.874]  Here she goes, folks.
[00:41:13.874 --> 00:41:16.594]  This is his lordship.
[00:41:16.594 --> 00:41:17.754]  Lord Rothschild's minion.
[00:41:17.754 --> 00:41:18.355]  Here he is.
[00:41:21.846 --> 00:41:33.916]  Interestingly, about a month or two after September 11th, I was in Oman meeting with the Sultan of Oman in a tent south of his country.
[00:41:33.916 --> 00:41:38.060]  He was visiting his constituents.
[00:41:38.060 --> 00:41:44.465]  He said, you know, as terrible as September 11th was, it may very well be that it's a blessing in disguise.
[00:41:44.465 --> 00:41:46.287]  And I said, how so?
[00:41:46.287 --> 00:41:50.190]  He said that it was terrible.
[00:41:50.638 --> 00:41:53.521]  The loss of 3,000 human beings.
[00:41:53.521 --> 00:42:08.033]  But he said, if it will awake the world, if it will cause us to act, if it will cause people to stop people from teaching, it is a good thing to kill innocent men, women, and children.
[00:42:08.033 --> 00:42:15.899]  If that were to happen before we had a September 11th, where not 3,000 were killed, but 30,000 or 300,000 to a biological attack or whatever,
[00:42:19.617 --> 00:42:25.458]  He said then it would have served a useful purpose.
[00:42:25.458 --> 00:42:26.438]  Did you hear that?
[00:42:26.438 --> 00:42:27.959]  Oh yeah, that's a sicko right there.
[00:42:27.959 --> 00:42:32.020]  And of course, Carlisle Group's a big Rothschild, Rockefeller front.
[00:42:32.020 --> 00:42:33.400]  It owns the Saudis.
[00:42:33.400 --> 00:42:38.841]  And when the Saudis were getting in trouble, they whacked out, what, four or five of the princes who were blowing the whistles on this.
[00:42:38.841 --> 00:42:42.842]  And MI6 is blowing stuff up and blaming it on them to destabilize the country.
[00:42:45.208 --> 00:42:52.411]  To have him up there saying that, you know, that's what CFR member Gary Hart said a couple of days after the attacks in Road to Tyranny.
[00:42:52.411 --> 00:42:56.033]  He said we need to use this disaster to get a new world order.
[00:42:56.033 --> 00:42:59.915]  And they said in the PNAC documents, we need this big disaster.
[00:42:59.915 --> 00:43:01.276]  It's going to be helpful.
[00:43:01.276 --> 00:43:08.879]  Paul Watson, comments to Donald Rumsfeld, the skeletor of the Defense Department.
[00:43:08.879 --> 00:43:13.201]  Well, the thing you have to remember, Rumsfeld's activities on September 11th,
[00:43:14.790 --> 00:43:22.734]  He officially stated that he only reacted to the attack after the Flight 77 had hit the Pentagon.
[00:43:22.734 --> 00:43:39.864]  And then, later on, it comes out that Rumsfeld, Chaney, Wolfowitz, the whole bunch of the neocons were involved in a secret conference call immediately after the first plane, Flight 11, hit the World Trade Center.
[00:43:39.864 --> 00:43:44.026]  Well, actually, according to the news articles, Paul, when they were hijacked, they were
[00:43:44.666 --> 00:43:49.411]  And they were on loudspeakers giving orders to NORAD in the bunkers.
[00:43:49.411 --> 00:43:54.837]  This is ABC News, and they won't release what the orders were, but it came out in one of the whitewash hearings.
[00:43:54.837 --> 00:43:55.818]  Remember, I had the guest on.
[00:43:55.818 --> 00:44:06.269]  This came out in the New York News, that the spokeswoman for the FAA said that, oh, there was an interesting conference call before the first plane hit that morning with the FAA, NORAD, FEMA, and others.
[00:44:06.269 --> 00:44:07.010]  Do you remember that, Paul?
[00:44:07.774 --> 00:44:16.920]  Yeah, and we've got Rumsfeld saying he was basically giving a routine briefing in his office right up until flights hit the Pentagon.
[00:44:16.920 --> 00:44:27.626]  And Trukey did some command call telling folks, now understand, at the same time at that morning, 8.30 in the morning, they're running a drill of flying jets into buildings in New York and D.C., just so happens the CIA was.
[00:44:27.626 --> 00:44:30.568]  Even if you buy that, I thought they said they never heard of planes flying into buildings.
[00:44:31.128 --> 00:44:33.309]  Again, just lie after lie after lie.
[00:44:33.309 --> 00:44:34.890]  That's how they ordered NORAD to stand down.
[00:44:34.890 --> 00:44:36.751]  Because every person in the military is an evil.
[00:44:36.751 --> 00:44:37.991]  It's just a drill, man.
[00:44:37.991 --> 00:44:40.232]  Stand there, and then boom, the first plane hits.
[00:44:40.232 --> 00:44:41.133]  People are jumping up and down.
[00:44:41.133 --> 00:44:41.693]  Shoot them down!
[00:44:41.693 --> 00:44:42.694]  Shoot them down!
[00:44:42.694 --> 00:44:43.794]  Hold on, folks.
[00:44:43.794 --> 00:44:44.835]  This is the Vice President.
[00:44:44.835 --> 00:44:46.715]  I'm in control of the bunker.
[00:44:46.715 --> 00:44:47.696]  Stay right there.
[00:44:47.696 --> 00:44:48.356]  Mm-hmm.
[00:44:48.356 --> 00:44:49.357]  We'll handle this.
[00:44:50.808 --> 00:45:07.141]  And then we have Bush in the limousine knowing about the first plane, then photos of him by the Times of London, in there watching the TV, then going out and reading The Little Goat Story, then acting like he just learned of it there, saying he just learned of it there, then the photos come out admitting he learned in the limo!
[00:45:08.243 --> 00:45:19.918]  And then we've got a string of US airbases dotted right along the path of the actual hijacked flights available to scramble squadrons of F-17 fighters to intercept the aircraft.
[00:45:19.918 --> 00:45:22.422]  So again, just lie upon lie again.
[00:45:24.697 --> 00:45:28.641]  Lie upon, lie upon, lie upon, lie upon, lie upon, lie.
[00:45:28.641 --> 00:45:32.304]  But the average person, where's Iraqi?
[00:45:32.304 --> 00:45:34.465]  I don't know where that is.
[00:45:34.465 --> 00:45:37.728]  And that's it.
[00:45:37.728 --> 00:45:39.189]  And that's who we're dealing with, Paul.
[00:45:39.189 --> 00:45:45.515]  I take my quote chip, they say, too.
[00:45:45.515 --> 00:45:51.100]  I have national ID card.
[00:45:51.100 --> 00:45:52.701]  I mean, how do you counter something like that?
[00:45:53.826 --> 00:46:08.629]  Well you have to basically ignore the chat and try and connect with the people that still have some semblance of intelligence left in their brain which is the main course of action but again very difficult with the cultural effect of the dumbing down which is going on.
[00:46:08.629 --> 00:46:18.071]  I mean you've got Britney Spears coming out and saying that anyone who doesn't agree with everything George Bush says is basically a terrorist.
[00:46:18.835 --> 00:46:21.796]  And so it's infiltrated right into the culture.
[00:46:21.796 --> 00:46:23.436]  It's the cultural government link.
[00:46:23.436 --> 00:46:25.396]  Yeah, and this is the government pushing all this.
[00:46:25.396 --> 00:46:26.937]  I mean, I heard Fox Radio this morning.
[00:46:26.937 --> 00:46:28.737]  I heard five minutes of it.
[00:46:28.737 --> 00:46:34.578]  It was all about what they do with porno actresses.
[00:46:34.578 --> 00:46:36.299]  Men cheating on their wives.
[00:46:36.299 --> 00:46:37.399]  Nothing about sports.
[00:46:37.399 --> 00:46:39.899]  Mindless idiot haulers.
[00:46:39.899 --> 00:46:42.120]  And then you look at what they're promoting.
[00:46:42.120 --> 00:46:45.621]  Britney Spears dancing around with a snake, kissing Madonna.
[00:46:45.621 --> 00:46:47.221]  Madonna puts out a children's book.
[00:46:48.261 --> 00:46:50.622]  You know, and people say, oh, that's the liberals.
[00:46:50.622 --> 00:46:52.343]  I mean, it's Viacom.
[00:46:52.343 --> 00:47:01.746]  Yeah, it is, but the worst stuff's coming out of Fox, where every male role model is an idiot, a family's breaking down, Temptation Island.
[00:47:01.746 --> 00:47:03.247]  I mean, wake up, people!
[00:47:04.742 --> 00:47:19.448]  And then you've got people like Christina Aguilera, along with Britney Spears and all the rest, writing songs about how it's okay for women to be whores and this whole cultural moral attack is based at making people relinquish their very morals.
[00:47:19.448 --> 00:47:27.351]  And by the way, for people out there, young people out there, they're not just trying to sell you drugs or clothing or whatever.
[00:47:28.155 --> 00:47:30.357]  They want to destroy you when you're young and stupid.
[00:47:30.357 --> 00:47:32.739]  They want to make sure you burn your brains out.
[00:47:32.739 --> 00:47:36.221]  They want to make sure you end up in prison building widgets for Wackenhut.
[00:47:36.221 --> 00:47:47.830]  They want to ruin you and the incredible gift of God of being married and having children and being grandparents and leaving something and transmitting information to the next generation.
[00:47:47.830 --> 00:47:50.272]  They are destroying civilization.
[00:47:50.272 --> 00:47:52.013]  They want to turn us into a bunch of idiots.
[00:47:53.109 --> 00:48:04.017]  Well, it's basically the very elimination of common sense whereby the counterculture is proposed as being completely out of your mind when in fact that is exactly what the government wants you to be.
[00:48:04.017 --> 00:48:11.823]  So the elimination of common sense is a major attack arm of this anti-moral crusade that the government is funding.
[00:48:11.983 --> 00:48:19.969]  And let me tell you, these inbred Rockefellers and Rothschilds hate it when they see happy families at the swimming pool and beautiful art and creativity.
[00:48:19.969 --> 00:48:22.171]  They hate your guts, people!
[00:48:22.171 --> 00:48:24.352]  They want to destroy you!
[00:48:24.352 --> 00:48:25.053]  They've said it!
[00:48:26.053 --> 00:48:39.924]  Because if they don't dumb you down, rival elites will form that will get a hold of the life-efficient technologies, that will get a hold of the alternative energies, and then our progeny will have a chance to go to the stars and really enjoy God's gift of humanity.
[00:48:39.924 --> 00:48:41.245]  We're made in the image of God.
[00:48:41.245 --> 00:48:42.746]  They want to rape that!
[00:48:42.746 --> 00:48:44.648]  They hate your guts!
[00:48:44.648 --> 00:48:47.390]  These people want to destroy everything!
[00:48:47.390 --> 00:48:51.894]  These sickos want to destroy humanity itself!
[00:48:51.894 --> 00:48:53.915]  And I am not going to sit here and put up with them, Paul.
[00:48:53.915 --> 00:48:54.416]  What about you?
[00:48:55.549 --> 00:48:56.490]  Well, yeah, that's the point.
[00:48:56.490 --> 00:49:02.973]  I mean, people say that, I mean, we're, you know, sort of too traditional or something like that.
[00:49:02.973 --> 00:49:05.895]  But in fact, it's not we that have shifted our views.
[00:49:05.895 --> 00:49:08.177]  It's the whole political spectrum that's shifted.
[00:49:08.177 --> 00:49:11.979]  Traditional, traditional is a survival mechanism.
[00:49:13.484 --> 00:49:30.991]  That's the point, and they've shifted the whole paradigm towards this out-of-your-mind, completely delusional scenario, where it's sort of a reaction against the traditional establishment, when you in fact find out that the establishment is not traditional because it's been hijacked.
[00:49:30.991 --> 00:49:31.971]  That's it.
[00:49:31.971 --> 00:49:34.672]  They're encoding your psychology with death.
[00:49:34.672 --> 00:49:36.053]  Selling you death.
[00:49:36.053 --> 00:49:36.593]  Death!
[00:49:36.593 --> 00:49:37.053]  Death!
[00:49:37.053 --> 00:49:37.493]  Death!
[00:49:37.493 --> 00:49:37.953]  Death!
[00:49:37.953 --> 00:49:38.894]  Wake up!
[00:49:38.894 --> 00:49:39.854]  Say no to death!
[00:49:41.696 --> 00:49:52.679]  And we've got, um, the latest generation of children's dolls, or hip-hop girls with short miniskirts, tattoos, and nose rings, and things like this.
[00:49:52.679 --> 00:49:57.680]  And this is coming right out of corporations like Mattel, which originally introduced the Barbie dolls.
