[00:00.000 --> 00:15.000]  Oh oppression, you prey on us when we sleep
[33:37.000 --> 33:45.000]  having our 20-month-old children fondled by men, little girls, to stop al-Qaeda.
[33:45.000 --> 33:52.000]  And al-Qaeda is a creation of the Pentagon on record.
[33:52.000 --> 33:56.000]  And that's all coming up. I'm going to go over how this is a fraud, the basis,
[33:56.000 --> 34:01.000]  the excuse for all of this coming up, but continuing here.
[34:01.000 --> 34:07.000]  First nine years ago, they start making you take your shoes off, then you're belt.
[34:07.000 --> 34:10.000]  What happens when somebody puts a bomb in their hind end?
[34:10.000 --> 34:13.000]  We're all going to have to have a proctology exam?
[34:13.000 --> 34:19.000]  I actually saw commenters on the video about one of my employees being molested by TSA,
[34:19.000 --> 34:22.000]  having her genitals and breasts grabbed, hard.
[34:22.000 --> 34:25.000]  That's in all these news articles that they squeeze hard.
[34:25.000 --> 34:30.000]  And people said, yeah, we may have to start doing proctology exams.
[34:30.000 --> 34:36.000]  It's ridiculous. And coming up, I want to explain to you that the airport workers aren't screened,
[34:36.000 --> 34:40.000]  that the general aviation, they just drive around on the airport everywhere.
[34:40.000 --> 34:44.000]  This is all made up. And you think you're not going to fly to escape this?
[34:44.000 --> 34:48.000]  The federal government's admitted plan is to have mobile vans everywhere
[34:48.000 --> 34:54.000]  and in every courthouse, county, state, federal, and it's already happening.
[34:54.000 --> 34:59.000]  If the government wants to train you to put their hands on you and get in your comfort zone,
[34:59.000 --> 35:04.000]  they want to train a cadre of federal quasi-cop minions to go out and do it.
[35:04.000 --> 35:12.000]  The good news is, Friday night I was driving home, put 590 AM, KLBJ on,
[35:12.000 --> 35:18.000]  only heard the tail end of it, of Texas legislature and state police being quoted in the committee
[35:18.000 --> 35:22.000]  saying these aren't even law enforcement officers, there's no probable cause,
[35:22.000 --> 35:27.000]  they're touching genitals, and that's wrong, and we're going to try to pass a law to stop it.
[35:27.000 --> 35:32.000]  And I missed the first part of the report. In fact, I forgot to have you search that term.
[35:32.000 --> 35:35.000]  Texas legislature looks at full body scanning.
[35:35.000 --> 35:39.000]  I know the federal government is as well, but search that because I actually want to have an article on that.
[35:39.000 --> 35:41.000]  That was something I forgot to do.
[35:41.000 --> 35:44.000]  So the good news is, I'm not the only one angry about this.
[35:44.000 --> 35:50.000]  I mean, I turn on the AM radio, and you can hear it on FM locally too, in 1997,
[35:50.000 --> 35:56.000]  and boom, boom, they're talking about it.
[35:56.000 --> 35:59.000]  And my wife is so freaked out, we can't travel.
[35:59.000 --> 36:04.000]  I will not subject my 8-year-old son, my 6-year-old and 2.5-year-old daughter to this.
[36:04.000 --> 36:09.000]  I will not fly. I have to put up with it.
[36:09.000 --> 36:12.000]  And let me tell you something, they haven't put me through naked body scanners yet.
[36:12.000 --> 36:16.000]  I was there last Tuesday in San Jose flying out of California,
[36:16.000 --> 36:22.000]  and I sat there for 20 minutes after I went to the checkpoint with Aaron Dykes watching nothing.
[36:22.000 --> 36:27.000]  Only women and children, that's why I meant to watch just a few minutes,
[36:27.000 --> 36:31.000]  but I kept waiting at four checkpoints, at four lines going, there's got to be a man.
[36:31.000 --> 36:34.000]  There's got to be somebody other than a woman or children,
[36:34.000 --> 36:37.000]  because they're training the TSA to accept it right now.
[36:37.000 --> 36:39.000]  They've had a revolt within TSA.
[36:39.000 --> 36:41.000]  They've had to fire a bunch of people that don't want to do this.
[36:41.000 --> 36:44.000]  And there were men touching children.
[36:44.000 --> 36:49.000]  There were little girls, and I'm not saying it's okay for a woman to do it either.
[36:49.000 --> 36:52.000]  It's just these taboos.
[36:52.000 --> 36:58.000]  And then there's the taboo, not even taboo, but federal radiology laws,
[36:58.000 --> 37:01.000]  that they're just exempt from.
[37:01.000 --> 37:05.000]  There's no law, they just do it, color of law, setting the precedent
[37:05.000 --> 37:09.000]  that there's no radiation badges, no one who works there is warned.
[37:09.000 --> 37:12.000]  They call the TSA in, we discovered a month ago, Nationwide,
[37:12.000 --> 37:14.000]  and say, are you concerned about the scanners?
[37:14.000 --> 37:17.000]  If you say you are, they fire you.
[37:17.000 --> 37:22.000]  So they're just finding a group of idiots that will go along with this.
[37:22.000 --> 37:27.000]  Continuing, what's behind the naked body scanners?
[37:27.000 --> 37:34.000]  TSA programmed to spot terrorists a $200 million sham, CBS News,
[37:34.000 --> 37:43.000]  and it goes on to say the TSA has not stopped one terrorist in nine years.
[37:43.000 --> 37:47.000]  Here's the Boston Globe, Boston.com.
[37:47.000 --> 37:50.000]  In fact, I need document cams on all of this, they'll say it's not real.
[37:50.000 --> 37:54.000]  Group slams churned off on scanner promotion,
[37:54.000 --> 37:59.000]  and it turns out the company he lobbies for is making billions and billions a year.
[37:59.000 --> 38:02.000]  He's making millions on all of this.
[38:02.000 --> 38:07.000]  Former head of Homeland Security, before he left, he ordered thousands of the machines.
[38:07.000 --> 38:09.000]  The week before they were scheduled to be put in,
[38:09.000 --> 38:13.000]  the underwear bomber attacks out of Europe, out of Amsterdam,
[38:13.000 --> 38:17.000]  and then it came out that Anwar Aulaki, the admitted CIA agent,
[38:17.000 --> 38:20.000]  was the one handling the guy, and the CIA ordered the State Department
[38:20.000 --> 38:23.000]  to help get the drugged out youth on the plane.
[38:23.000 --> 38:25.000]  We knew about it two months before it was mainstream news,
[38:25.000 --> 38:30.000]  because we had listeners, including a lawyer, who was on board and witnessed it all happen,
[38:30.000 --> 38:32.000]  and saw the government help get him on the plane,
[38:32.000 --> 38:35.000]  looked like he was drugged out of his mind.
[38:35.000 --> 38:39.000]  Anwar Aulaki runs the Fort Hood shooter.
[38:39.000 --> 38:42.000]  He runs the Times Square attack.
[38:42.000 --> 38:44.000]  He runs the underwear attacker.
[38:44.000 --> 38:52.000]  He runs them all, and he, Fox News, Fox News, don't deny it, search the term right now.
[38:52.000 --> 38:58.000]  Exclusive al-Qaeda leader dying at the Pentagon just months after 9-11.
[38:58.000 --> 39:00.000]  People claim they care so much about the military.
[39:00.000 --> 39:03.000]  Well, why don't you, members of the military or families,
[39:03.000 --> 39:05.000]  call for an investigation.
[39:05.000 --> 39:11.000]  Congress isn't even allowed to see all the emails of Anwar Aulaki in control,
[39:11.000 --> 39:20.000]  in control of all these patsies, all these mentally ill extremists.
[39:20.000 --> 39:22.000]  Now, continuing.
[39:22.000 --> 39:26.000]  Then I want to get into some other areas of this.
[39:26.000 --> 39:32.000]  Forbes, scanner vans allow drive-by snooping of your homes, your cars, everything.
[39:32.000 --> 39:35.000]  The federal government's ordered 500 of these,
[39:35.000 --> 39:39.000]  and there's no radiation shielding for the people driving around with these.
[39:39.000 --> 39:41.000]  $850,000 a piece.
[39:41.000 --> 39:45.000]  They're 10 times the power of a chest x-ray, looking right through your walls and your car.
[39:45.000 --> 39:47.000]  And I have video.
[39:47.000 --> 39:48.000]  That's why our articles are so important.
[39:48.000 --> 39:52.000]  We have a boil down on Prison Planet and Info Wars about mobile snooping vans,
[39:52.000 --> 39:59.000]  where it shows Fox News in New York saying the army helped arrest 2,000 people with drugs or alcohol,
[39:59.000 --> 40:05.000]  and it shows them driving families through scanners that are super high-power.
[40:05.000 --> 40:09.000]  I mean, they make an MRA or chest x-ray look tame,
[40:09.000 --> 40:15.000]  and the troops are standing right outside the scanners being fried as well.
[40:15.000 --> 40:20.000]  Just like 20 years ago, they wouldn't let the troops use DU to put a uranium,
[40:20.000 --> 40:21.000]  because they knew it would kill them down the road.
[40:21.000 --> 40:22.000]  Now, they just say it's fine.
[40:22.000 --> 40:23.000]  Men use it.
[40:23.000 --> 40:25.000]  It's no problem.
[40:25.000 --> 40:30.000]  So this is how serious all of this is starting to get.
[40:30.000 --> 40:33.000]  Now, I've covered some of the basic facts.
[40:33.000 --> 40:37.000]  So you can go read USA Today, ABC News.
[40:37.000 --> 40:43.000]  You can go read all of these mainstream news articles where they admit they grab your genitals,
[40:43.000 --> 40:46.000]  male or female, and they squeeze your breast.
[40:46.000 --> 40:47.000]  Okay?
[40:47.000 --> 40:51.000]  And in the video that's up on Drudge Report that we put together,
[40:51.000 --> 40:56.000]  it shows clips of mainstream news showing them grabbing breast and squeezing.
[40:56.000 --> 40:57.000]  Okay?
[40:57.000 --> 41:01.000]  So at least if you're going to be four being a total slave,
[41:01.000 --> 41:03.000]  and you love groveling at the feet of tyranny,
[41:03.000 --> 41:06.000]  and you get off and you have a fetish on being a slave,
[41:06.000 --> 41:09.000]  and you don't know it's all staged to train you to be a slave,
[41:09.000 --> 41:12.000]  at least don't deny they're doing this.
[41:12.000 --> 41:16.000]  Because some of the commenters admit it's happening but say it's good.
[41:16.000 --> 41:22.000]  But some of the other commenters, they are denying this is even being phased in.
[41:22.000 --> 41:26.000]  Of course, we open the phones up for people only who've been abused like this,
[41:26.000 --> 41:28.000]  had their genitals touched,
[41:28.000 --> 41:32.000]  and we've got one, two, three, four, five, six, seven plus calls
[41:32.000 --> 41:36.000]  just up on the board and more streaming in.
[41:36.000 --> 41:39.000]  Now, I'm going to keep going through this because I wrote some quick notes
[41:39.000 --> 41:43.000]  before I went live on other facets to this.
[41:43.000 --> 41:48.000]  Did you know that Paul Watson has flown to China several times
[41:48.000 --> 41:51.000]  because his fiance, they get married in a few weeks,
[41:51.000 --> 41:56.000]  is Chinese slash British, he's from Britain.
[41:56.000 --> 42:00.000]  And there's no airport security, you just go right through it.
[42:00.000 --> 42:02.000]  And they actually have some real terrorists,
[42:02.000 --> 42:04.000]  if you want to call them that, people that resist them,
[42:04.000 --> 42:06.000]  in Tibet and Mongolia.
[42:06.000 --> 42:09.000]  I mean, actual real people that go around attacking.
[42:09.000 --> 42:11.000]  No security.
[42:11.000 --> 42:14.000]  You're flying to Saudi Arabia, none of this security.
[42:14.000 --> 42:16.000]  Only land of the free home of the brave in Europe.
[42:16.000 --> 42:19.000]  And some people say, well, I'm going to run to Canada, I'm going to run to Europe.
[42:19.000 --> 42:21.000]  They're all putting in the same naked body scanners.
[42:21.000 --> 42:25.000]  In fact, last Christmas, with Mutalib, the underwear bomber,
[42:25.000 --> 42:27.000]  they had naked body scanners,
[42:27.000 --> 42:31.000]  and the State Department told the airport to let him pass security.
[42:31.000 --> 42:35.000]  This is associated press and get him on the plane
[42:35.000 --> 42:40.000]  because he was a special person for the government.
[42:40.000 --> 42:43.000]  Of course, we knew that two months before we had the eyewitnesses on.
[42:43.000 --> 42:45.000]  So we're going to go over the other facets of this.
[42:45.000 --> 42:47.000]  None of this is to protect you.
[42:47.000 --> 43:15.000]  It's to train you how to be a slave.
[43:15.000 --> 43:19.000]  And now, new socialist legislation is only compounding the problem.
[43:19.000 --> 43:22.000]  Number four, dangerous weather is always a threat to local grids.
[43:22.000 --> 43:26.000]  Every year, thousands of families lose their power from weather-related onages.
[43:26.000 --> 43:31.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind.
[43:31.000 --> 43:34.000]  Folks, I really believe in the solar power generators offered by Solutions from Science,
[43:34.000 --> 43:36.000]  one of my old sponsors.
[43:36.000 --> 43:40.000]  You can get more information at www.mysolarbackup.com.
[43:40.000 --> 43:42.000]  That's mysolarbackup.com.
[43:42.000 --> 43:46.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com
[43:46.000 --> 43:50.000]  or call 1-877-327-0365.
[43:50.000 --> 43:54.000]  Alex told you the government announced recently that the recession is over.
[43:54.000 --> 43:56.000]  It ended on June of 2009.
[43:56.000 --> 44:00.000]  The millions of Americans unable to find work might not agree.
[44:00.000 --> 44:03.000]  Perhaps the recession ended for the bankers and government employees,
[44:03.000 --> 44:06.000]  but for the rest of us, things seemed to be getting worse.
[44:06.000 --> 44:08.000]  Gold and silver haven't heard the news either.
[44:08.000 --> 44:11.000]  They've begun their long expected journey to the moon.
[44:11.000 --> 44:14.000]  In addition to converting your shrinking dollars into gold and silver,
[44:14.000 --> 44:17.000]  you should consider a food savings account from eFoodsDirect.
[44:17.000 --> 44:19.000]  They both make fabulous investments.
[44:19.000 --> 44:24.000]  Food is our greatest dependency and we know it will be more precious than any financial resource.
[44:24.000 --> 44:27.000]  You and your family need food to survive a crisis,
[44:27.000 --> 44:30.000]  and you can't eat paper, stocks, or metals.
[44:30.000 --> 44:35.000]  Alex has been urging you to invest in delicious, easy-fix meals to enjoy now or save for long term.
[44:35.000 --> 44:38.000]  This will freeze the cost of your food while you can still afford it.
[44:38.000 --> 44:44.000]  Visit eFoodsDirect.com on the internet or call 800-409-5633.
[44:44.000 --> 45:09.000]  When you're out on the road, the last place you want to be is on the road.
[45:09.000 --> 45:35.000]  We turn jeans inside out, diamond gusset jeans, made in the USA with unparalleled quality.
[45:35.000 --> 45:40.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection,
[45:40.000 --> 45:42.000]  so you can ride all day with confidence.
[45:42.000 --> 45:45.000]  Order yours at gusset.com.
[45:45.000 --> 46:07.000]  Diamond Gusset Jeans Got It, Others Don't.
[46:16.000 --> 46:18.000]  There are tons of tools to help you.
[46:18.000 --> 46:22.000]  For instance, if you want to remodel your home, go to homegain.com.
[46:22.000 --> 46:29.000]  Use their home sale maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[46:29.000 --> 46:32.000]  For 10 years, these folks have been helping home sellers and buyers.
[46:32.000 --> 46:34.000]  Visit their link at infowars.com.
[46:34.000 --> 46:40.000]  Look for Max, the orange homegain gorilla, to help you with any real estate needs you might have.
[46:40.000 --> 46:46.000]  You'll love this site, it's homegain.com, h-o-m-e-g-a-i-n.com.
[46:46.000 --> 46:51.000]  Check them out today.
[46:51.000 --> 46:55.000]  Coast to coast, direct from Austin.
[46:55.000 --> 47:00.000]  You're listening to the Alex Jones Broadcasting Network.
[47:00.000 --> 47:12.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[47:12.000 --> 47:18.000]  Okay, Emmy and Georgia, David, Barbara, Jerry, John, Chase, we're going to get to all of you.
[47:18.000 --> 47:23.000]  We've got flight attendants calling in, TSA, you name it.
[47:23.000 --> 47:29.000]  I want to hear from TSA people, 888-201-2244, and I want to be clear about something.
[47:29.000 --> 47:35.000]  When I flew out of Austin, the ticket person wanted my autograph.
[47:35.000 --> 47:40.000]  When I flew out of San Jose, the ticket person came over, wanted my autograph.
[47:40.000 --> 47:48.000]  About half the time, when I fly around the country, the TSA people ask for my autograph.
[47:48.000 --> 47:51.000]  And they say, hey, we're going to get unionized soon.
[47:51.000 --> 47:54.000]  We know this is a bunch of bull, this is just a job.
[47:54.000 --> 47:59.000]  A lot of them aren't abusive, but a bunch of them are, and every day, literally,
[47:59.000 --> 48:04.000]  you hear about them being child molesters in their off time, planting cocaine in a woman's bag,
[48:04.000 --> 48:09.000]  demanding favors from them, going crazy, stripping down naked, saying they're God.
[48:09.000 --> 48:13.000]  That's NBC. Just search the term TSA agent says he's God.
[48:13.000 --> 48:18.000]  NBC, Los Angeles. It attracts control freaks.
[48:18.000 --> 48:25.000]  I mean, imagine if you're somebody that wants to grope women, you're going to go get a TSA job.
[48:25.000 --> 48:31.000]  And imagine if your wife or you or anybody else, your husband, was in a park or a mall
[48:31.000 --> 48:36.000]  and somebody ran up and grabbed your genitals, they'd spend probably 10 years in prison.
[48:36.000 --> 48:41.000]  But oh, these are, I saw one commenter, these are like professionals, like a doctor.
[48:41.000 --> 48:44.000]  You don't get mad when the doctor touches you, do you?
[48:44.000 --> 48:48.000]  See, this is the mental illness where people make excuses about this.
[48:48.000 --> 48:53.000]  So I want to cover a few more facets that we're going to nothing but your calls towards the end of the next hour.
[48:53.000 --> 48:57.000]  I've got incredible economic and stage terror news we haven't even gotten to yet.
[48:57.000 --> 49:05.000]  But this is the end of freedom.
[49:05.000 --> 49:09.000]  If we let this continue, if you are in denial and say you're just going to drive your car,
[49:09.000 --> 49:15.000]  they're announcing mobile X-ray vans nationwide. They're announcing checkpoints nationwide.
[49:15.000 --> 49:18.000]  They're announcing they want these in shopping malls. Search the term.
[49:18.000 --> 49:21.000]  FBI wants checkpoints in shopping malls.
[49:21.000 --> 49:29.000]  Homeland Security admitted in a C-SPAN program I saw seven years ago that they were going to make you have an ID card
[49:29.000 --> 49:34.000]  to go into any job that you would have cameras in your car surveilling you at all times.
[49:34.000 --> 49:39.000]  Now that's being announced in the news that naked body scanners would be everywhere.
[49:39.000 --> 49:45.000]  They tested them at four airports actually in 2002 that they're going to have passive MRIs that scan your brain waves
[49:45.000 --> 49:50.000]  and decide if you're a terrorist. Come on, folks. This is made up.
[49:50.000 --> 49:56.000]  If you really believe Muslim terrorists are trying to blow everything up, why aren't they just doing profiling?
[49:56.000 --> 50:02.000]  Oh, they've put now over 2 million Americans on these lists and try to say you can't own a gun.
[50:02.000 --> 50:05.000]  No judge, no jury. You're just now on a no fly, no buy list.
[50:05.000 --> 50:13.000]  They're already denying guns to people outside of law and trying to pass a federal law called the no fly, no buy.
[50:13.000 --> 50:19.000]  That's the bill this year where you just can't buy a gun.
[50:19.000 --> 50:24.000]  Two million plus Americans, they're adding 25,000 on average every month.
[50:24.000 --> 50:32.000]  What, three years ago the head of the Denver Sector Union for federal marshals went public and said,
[50:32.000 --> 50:39.000]  we're ordered to put people on lists for no reason as a quota?
[50:39.000 --> 50:44.000]  Land of the free, home of the brave, grabbing your wife's genitals, grabbing your wife's breasts,
[50:44.000 --> 50:50.000]  grabbing your small children, babies. They fondle babies and they go, oh Al Qaeda may have a baby bomb.
[50:50.000 --> 50:55.000]  Give me a break and wear all the lockies hanging out at the Pentagon, the head of Al Qaeda.
[50:55.000 --> 51:02.000]  He was the number three God of Bin Laden.
[51:02.000 --> 51:05.000]  But I want to point this out. Where does it end?
[51:05.000 --> 51:07.000]  Naked body scanners to walk out your front door in the morning?
[51:07.000 --> 51:12.000]  I mean terrorists could attack anywhere. Why are the terrorists always trying to attack airlines?
[51:12.000 --> 51:22.000]  The system is using the airlines as a place to create a cadre of federal agents to expand federal jurisdiction illegally out into the entire country.
[51:22.000 --> 51:30.000]  And now, as I told you seven years ago, as I saw Ridge say it, they have viper teams nationwide at bus stops, trains and on the streets.
[51:30.000 --> 51:35.000]  In Miami and Houston, they've just lined up people at checkpoints and put them through the scanners.
[51:35.000 --> 51:45.000]  Now Homeland Security's bought hundreds of these big 18-wheeler trailers where they have three lines going through them with naked body scanners to get into football games.
[51:45.000 --> 51:55.000]  America is being indoctrinated to live in Nazi Germany because the big central banks are bankrupting us and openly saying they're gearing up to take your private pension funds.
[51:55.000 --> 52:03.000]  That's now mainstream news and they're putting a police state in place and a huge army of people that think it's normal and they're training the general public to accept it.
[52:03.000 --> 52:07.000]  That's all that's going on here.
[52:07.000 --> 52:11.000]  So you've got the health effects for the TSA agents. You've got the health effects for the public.
[52:11.000 --> 52:21.000]  You've got the mobile vans that look for your walls that are even more powerful than chest x-rays 10 times without a radiologist on.
[52:21.000 --> 52:25.000]  And if you think you're going to escape this, it's going in everywhere.
[52:25.000 --> 52:33.000]  You imagine how much money shirt off with his company is going to make if they already made $4 billion this year, $2 billion the year before that.
[52:33.000 --> 52:39.000]  They're set to make $6 billion in 2011. Every airport, including small ones, are going to have these.
[52:39.000 --> 52:43.000]  Meanwhile, the elite all fly on private jets. They just drive right through.
[52:43.000 --> 52:49.000]  Meanwhile, it has nothing to do with keeping you safe.
[52:49.000 --> 52:55.000]  I said this years ago, real terrorists if they existed would just go into the ticket area and shoot people.
[52:55.000 --> 52:59.000]  Well, now they want to search you there and at the checkpoint.
[52:59.000 --> 53:07.000]  And when I flew last week or two weeks ago in Austin and when I was in California, they had secondary searches,
[53:07.000 --> 53:11.000]  feeling people up at the gate, randomly pulling people out of the line.
[53:11.000 --> 53:13.000]  Who watches the watchers?
[53:13.000 --> 53:22.000]  Half the time these TSA people can't speak English. What stops some terrorist if you believe in it and have a fetish for being afraid of Muslim terrorists?
[53:22.000 --> 53:26.000]  Why don't you actually find out who runs these terrorists?
[53:26.000 --> 53:32.000]  You think I'd be on hundreds of radio stations on all these years lying?
[53:32.000 --> 53:34.000]  You think I'd get away with that?
[53:34.000 --> 53:38.000]  I've already given you all the evidence and all the proof.
[53:38.000 --> 53:41.000]  Why don't you just go check it out for yourself?
[53:41.000 --> 53:54.000]  When I get up here and tell you and we're all a lockie, I told you this five years ago, is CIA operative behind finding these mentally ill Muslims to carry out badly coordinated attacks as a pretext to take our rights.
[53:54.000 --> 53:56.000]  If that wasn't true, I'd be crucified.
[53:56.000 --> 54:00.000]  But people send me emails saying I'm lying about AP and Fox News.
[54:00.000 --> 54:02.000]  I'm not lying about any of this.
[54:02.000 --> 54:05.000]  I'm telling the truth.
[54:05.000 --> 54:15.000]  And a lot of you out there that sit on the fence and quietly know this is true, media people, government people, corporate people who go along with this, you're being enslaved because of it.
[54:15.000 --> 54:24.000]  The good news is this New York Times reporter and others, when they said they wanted to opt out of the machines, they were screamed at.
[54:24.000 --> 54:26.000]  They were abused.
[54:26.000 --> 54:36.000]  The New York Times writer Joe Sharkey said that they were brutal, that they squeezed him hard, that it was rough, that it was to punish him.
[54:36.000 --> 54:38.000]  And the TSA admits that.
[54:38.000 --> 54:54.000]  And like dog training, TSA had told the Chicago Tribune four months ago that soon everyone will have to naked body scan and they're going to have the enhanced molestation pat downs, the grope downs,
[54:54.000 --> 54:58.000]  the the fondle downs after you go to the checkpoint.
[54:58.000 --> 55:05.000]  And I was witnessing that they send them through scanners and then squeeze them babies and baby carriages.
[55:05.000 --> 55:07.000]  I watched it.
[55:07.000 --> 55:12.000]  Not this Tuesday, but last Tuesday, a week and a half ago in San Jose.
[55:12.000 --> 55:19.000]  And then my employee, my customers, one of my customer service people, she said, oh yeah, I flew back a week ago and that happened at Denver.
[55:19.000 --> 55:21.000]  So I got her on air.
[55:21.000 --> 55:31.000]  So the drudge report posted it and people sit there and the good news is 70 plus percent are, you know, other comments are for us and aren't in denial.
[55:31.000 --> 55:33.000]  But the rest are in denial.
[55:33.000 --> 55:35.000]  That's another good piece of news.
[55:35.000 --> 55:41.000]  They had a British Airways came out two weeks ago and said this is all a big joke and destroying the airlines.
[55:41.000 --> 55:42.000]  And that's what the government wants.
[55:42.000 --> 55:44.000]  They want to nationalize the airlines.
[55:44.000 --> 55:45.000]  They know it's bankrupting them.
[55:45.000 --> 55:46.000]  They know a lot.
[55:46.000 --> 55:48.000]  Millions of people aren't flying because of this.
[55:48.000 --> 55:53.000]  They've had, again, federal agencies come out and say the radiation is dangerous.
[55:53.000 --> 55:56.000]  I mean, I read you that quote earlier.
[55:56.000 --> 55:58.000]  I'm not even going to just say it again.
[55:58.000 --> 55:59.000]  You'll say it's not true.
[55:59.000 --> 56:01.000]  I'll just pull it out right now.
[56:01.000 --> 56:03.000]  See how you like that.
[56:03.000 --> 56:10.000]  I'll get the mainstream news article right here from Bloomberg and I'll read it on air to you if you're living in denial out there because I'm done with it.
[56:10.000 --> 56:11.000]  I'm tired of it.
[56:11.000 --> 56:12.000]  I'm not putting up with it.
[56:12.000 --> 56:22.000]  Airport body scanning raises radiation exposure committee says interagency committee on radiation safety report and the International Atomic Energy Agency and the World Health Organization.
[56:22.000 --> 56:27.000]  So the U.S. government and the International Atomic Energy Agency and the U.N.
[56:27.000 --> 56:29.000]  Okay.
[56:29.000 --> 56:33.000]  So don't sit there and tell me, oh, it's like the radiation you get from a cell phone.
[56:33.000 --> 56:37.000]  Bologna.
[56:37.000 --> 56:41.000]  They may tell those stupid TSA agents that are going to be dying of cancer.
[56:41.000 --> 56:48.000]  They may tell the guys driving the 500 mobile trucks around to look right through your walls 10 times more powerful than a chest X-ray.
[56:48.000 --> 56:50.000]  It's okay, but it isn't.
[56:50.000 --> 56:52.000]  It's not okay.
[56:52.000 --> 56:53.000]  It's not okay.
[56:53.000 --> 56:59.000]  Now, I promise I'm getting your phone calls, but none of this has anything to do with terrorism.
[56:59.000 --> 57:00.000]  Get that through your heads.
[57:00.000 --> 57:02.000]  This is your baptism of slavery.
[57:02.000 --> 57:04.000]  This is your indoctrination.
[57:04.000 --> 57:05.000]  This is your conditioning.
[57:05.000 --> 57:10.000]  Hey, hey, the government I told you 15 years ago takes all babies' blood at birth for 39 years in the U.S.
[57:10.000 --> 57:14.000]  Now that's mainstream news, and it goes to the Pentagon.
[57:14.000 --> 57:21.000]  The government shoots up little kids worldwide with live syphilis, with live polio.
[57:21.000 --> 57:23.000]  They nerve gas our own troops in Project Shad.
[57:23.000 --> 57:25.000]  It's eugenics.
[57:25.000 --> 57:26.000]  They're conditioning you.
[57:26.000 --> 57:28.000]  They want population reduction.
[57:28.000 --> 57:30.000]  They're training you to be fried by radiation.
[57:30.000 --> 57:33.000]  They're using DU on our own troops.
[57:33.000 --> 57:34.000]  Project Shad.
[57:34.000 --> 57:36.000]  Wake up, evil people, run things.
[57:36.000 --> 57:38.000]  Stop being so naive.
[57:38.000 --> 57:40.000]  Come on.
[58:08.000 --> 58:11.000]  That soap can be tough on dirt and gentle on the environment.
[58:11.000 --> 58:14.000]  Buy American and stay clean, as well as support info wars.
[58:14.000 --> 58:19.000]  Visit 5starsoap.com today or call 1-800-340-7091.
[58:19.000 --> 58:21.000]  Well, Marty, what do you have to say?
[58:21.000 --> 58:29.000]  As founder and owner for over 63 years, satisfaction is guaranteed on double your dirt back.
[58:29.000 --> 58:39.000]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[58:39.000 --> 59:00.000]  Thank you.
[59:09.000 --> 59:35.000]  Thank you.
[59:35.000 --> 01:00:01.000]  Thank you.
[01:00:01.000 --> 01:00:27.000]  Thank you.
[01:00:27.000 --> 01:00:42.000]  Thank you.
[01:00:42.000 --> 01:00:43.000]  Hey, Alex.
[01:00:43.000 --> 01:00:44.000]  How are you?
[01:00:44.000 --> 01:00:45.000]  I'm fired up, sir.
[01:00:45.000 --> 01:00:46.000]  What's on your mind?
[01:00:46.000 --> 01:00:47.000]  Nothing.
[01:00:47.000 --> 01:00:50.000]  I had a friend from Houston, Texas.
[01:00:50.000 --> 01:00:54.000]  She was traveling to New York where I'm from.
[01:00:54.000 --> 01:01:01.000]  And she had to go into the human body scanner because they found something suspicious in her carry-on.
[01:01:01.000 --> 01:01:05.000]  It was a harmless object from a gift shop.
[01:01:05.000 --> 01:01:06.000]  Oh, yeah.
[01:01:06.000 --> 01:01:07.000]  Now, I've had a mask.
[01:01:07.000 --> 01:01:08.000]  What's this camera?
[01:01:08.000 --> 01:01:09.000]  We've got to search you now.
[01:01:09.000 --> 01:01:11.000]  A camera is very scary.
[01:01:11.000 --> 01:01:13.000]  Or we have this little thing of shampoo.
[01:01:13.000 --> 01:01:14.000]  And I go, it says three ounces.
[01:01:14.000 --> 01:01:16.000]  And they're like, get over here.
[01:01:16.000 --> 01:01:17.000]  Any excuse?
[01:01:17.000 --> 01:01:18.000]  Yeah.
[01:01:18.000 --> 01:01:23.000]  Because they've got to play up this delusion that the terror is real.
[01:01:23.000 --> 01:01:26.000]  This mental illness of paranoia.
[01:01:26.000 --> 01:01:27.000]  Keep the fear alive.
[01:01:27.000 --> 01:01:28.000]  Keep the fear alive.
[01:01:28.000 --> 01:01:29.000]  Yeah.
[01:01:29.000 --> 01:01:30.000]  Exactly.
[01:01:30.000 --> 01:01:34.000]  And yeah, as you know, it was just, she's just keep in mind, you know, this is your average
[01:01:34.000 --> 01:01:37.000]  looking American girl, you know, wouldn't hurt a fly.
[01:01:37.000 --> 01:01:38.000]  I know her.
[01:01:38.000 --> 01:01:42.000]  And she's just, you know, she poses no threat.
[01:01:42.000 --> 01:01:48.000]  Anyways, the most ridiculous thing I found from her experience is what the TSA officer
[01:01:48.000 --> 01:01:50.000]  said to her once she was done with the search.
[01:01:50.000 --> 01:01:52.000]  Do you have any idea what it could be?
[01:01:52.000 --> 01:01:55.000]  He said, Hey, can I have your phone number?
[01:01:55.000 --> 01:01:56.000]  Oh, very close.
