[00:00:00.369 --> 00:00:03.510]  We've got it, brother.
[00:26:49.096 --> 00:26:51.557]  We had Frank Serpico, the legendary detective on Friday.
[00:26:54.246 --> 00:26:58.168]  So see, I guess this is what America wants.
[00:26:58.168 --> 00:27:00.208]  People think corruption's cute and fun.
[00:27:00.208 --> 00:27:02.029]  You're going to find out, folks.
[00:27:02.029 --> 00:27:04.290]  I mean, this country is going to be judged.
[00:27:04.290 --> 00:27:07.411]  You want to say 51 million aborted babies aren't humans?
[00:27:07.411 --> 00:27:10.553]  The government's going to say you're not a human.
[00:27:10.553 --> 00:27:15.695]  Everything we do, every lie we go along with comes back on us, and nobody should forget that.
[00:27:18.131 --> 00:27:21.975]  You think I'm proud of the fact that we're right about everything we talk about?
[00:27:21.975 --> 00:27:23.476]  No, I'm not proud of that.
[00:27:23.476 --> 00:27:24.237]  It's very sad.
[00:27:24.237 --> 00:27:25.338]  It's very painful.
[00:27:25.338 --> 00:27:32.865]  It's very painful to have everything I've analyzed coming true and only confirming.
[00:27:32.865 --> 00:27:35.007]  Only confirming it.
[00:27:35.007 --> 00:27:42.694]  And there are still a lot of good people in this country and it's because you're blind and you're Dudley Do-Right.
[00:27:42.694 --> 00:27:43.915]  Like people like my dad.
[00:27:46.536 --> 00:27:52.959]  Because you're so good, you can't believe this is happening and that's why evil wins.
[00:27:52.959 --> 00:27:54.139]  What's the devil's biggest trick?
[00:27:54.139 --> 00:27:56.080]  Convincing the world he doesn't exist.
[00:27:56.080 --> 00:28:05.764]  And I'm here to tell you folks, evil exists and we better get up on our hind legs right now like a mama grizzly bear or we're going to get overrun.
[00:28:05.764 --> 00:28:11.247]  Every country on earth has had mass arrests, mass exterminations and killings every hundred years or so.
[00:28:13.114 --> 00:28:17.980]  The United States has been a rare jewel, despite the fact we've had some problems.
[00:28:17.980 --> 00:28:23.747]  If you study history, ladies and gentlemen, you know what is about to unfold in this country.
[00:28:23.747 --> 00:28:28.673]  What is now beginning to unfold is the norm, not the exception.
[00:28:31.596 --> 00:28:35.760]  You need to understand, we now have a criminal government filled with criminals.
[00:28:35.760 --> 00:28:41.125]  Or, Dudley do-right idiots who are compartmentalized and don't realize what they're helping happen.
[00:28:41.125 --> 00:28:43.587]  Now, again, here's the Fort Worth Star-Telegram.
[00:28:43.587 --> 00:28:48.692]  New EPA rule could lead to rolling blackouts in Texas, PUC chairwoman says.
[00:28:48.692 --> 00:28:51.975]  Well, that's already what's causing it.
[00:28:51.975 --> 00:28:53.856]  It's mafia takeover!
[00:28:53.856 --> 00:28:54.557]  We'll be right back.
[00:28:54.557 --> 00:28:54.977]  Stay with us.
[00:29:01.400 --> 00:29:03.121]  Hi folks, this is Alex Jones.
[00:29:03.121 --> 00:29:08.426]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:29:08.426 --> 00:29:09.947]  Saving means to make money.
[00:29:09.947 --> 00:29:18.735]  The Calbin Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:29:19.475 --> 00:29:27.021]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:29:27.021 --> 00:29:35.027]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:29:35.027 --> 00:29:40.250]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:29:40.250 --> 00:29:42.412]  Getting a free catalog is easy by calling 800-340-7091.
[00:29:45.174 --> 00:29:48.401]  Or see Calvin on the web at FiveStarSoap.com.
[00:29:48.401 --> 00:29:50.645]  Take charge of your health now by calling 800-340-7091.
[00:29:50.645 --> 00:29:52.890]  Or see Calvin on the web at FiveStarSoap.com.
[00:30:00.012 --> 00:30:01.193]  A very wealthy U.S.
[00:30:01.193 --> 00:30:08.138]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:30:08.138 --> 00:30:10.680]  He says it will change everything about our lives.
[00:30:10.680 --> 00:30:15.844]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:30:16.044 --> 00:30:19.086]  Now, this man has made some outrageous predictions over the years.
[00:30:19.086 --> 00:30:21.407]  The crazy part is, he's usually right.
[00:30:21.407 --> 00:30:27.670]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:30:27.670 --> 00:30:31.052]  In fact, Barron's called his work a dire prophecy.
[00:30:31.052 --> 00:30:36.835]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:30:36.835 --> 00:30:38.476]  And it's a real eye-opener.
[00:30:38.476 --> 00:30:39.777]  I can't stress this enough.
[00:30:39.777 --> 00:30:42.278]  You should at least watch this free video online today.
[00:30:42.438 --> 00:30:46.663]  He explains everything you need to know, including simple steps you can take to protect yourself.
[00:30:46.663 --> 00:30:51.288]  You can find the video at www.EndOfAmerica3.com.
[00:30:51.288 --> 00:30:53.870]  That's End of America, the number 3.com.
[00:30:53.870 --> 00:30:57.755]  Watch the free video at www.EndOfAmerica3.com.
[00:30:57.755 --> 00:30:58.756]  That's EndOfAmerica3.com.
[00:31:00.137 --> 00:31:03.459]  Congratulations to our friends at eFoodsDirect.com.
[00:31:03.459 --> 00:31:08.081]  In August, they celebrate 30 years in the long-term storable food business.
[00:31:08.081 --> 00:31:16.765]  To celebrate, eFoodsDirect.com is offering the lowest price ever on their one-year Freedom Food Supply, even less than the price in 1981.
[00:31:16.765 --> 00:31:24.589]  For a limited time, you get 30% off a one-year Freedom Supply, which provides three hearty meals per day for one adult.
[00:31:24.589 --> 00:31:27.190]  The Freedom Supply includes a large variety of
[00:31:27.310 --> 00:31:31.952]  Fruits and vegetables, dairy, lagoons, grains, sprouting seeds and more.
[00:31:31.952 --> 00:31:35.193]  Plus you get a generous supply of their quick fix meals.
[00:31:35.193 --> 00:31:39.755]  This is the most complete, extensive and affordable unit they have ever offered.
[00:31:39.755 --> 00:31:48.119]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex and get 30% off a one-year food supply.
[00:31:48.119 --> 00:31:51.220]  If you have ever considered getting a supply, now is the time.
[00:31:51.400 --> 00:31:51.680]  Call 800-409-5633.
[00:31:51.680 --> 00:31:53.562]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:32:00.979 --> 00:32:04.981]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:32:04.981 --> 00:32:08.223]  This is our last chance to not relive history.
[00:32:08.223 --> 00:32:13.025]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:32:13.025 --> 00:32:19.429]  I have tremendous influence on our president and Congress, and they really are calling the shots.
[00:32:19.429 --> 00:32:21.650]  I think it's incumbent upon all of us
[00:32:22.090 --> 00:32:22.390]  Tim Geithner?
[00:32:22.390 --> 00:32:22.591]  Bernanke?
[00:32:22.591 --> 00:32:23.011]  They're arsonists!
[00:32:23.011 --> 00:32:23.732]  They're asking for more matches!
[00:32:23.732 --> 00:32:25.414]  And the Congress is saying, who do we make the check out to?
[00:32:41.112 --> 00:32:42.973]  Today seems like nobody does care.
[00:32:42.973 --> 00:32:48.395]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:32:48.395 --> 00:33:01.181]  Get your copy of Fall of the Republic on DVD at Infowars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:33:01.181 --> 00:33:04.783]  Coast to Coast, direct from Austin.
[00:33:04.783 --> 00:33:07.985]  You're listening to the Alex Jones Broadcasting Network.
[00:33:42.435 --> 00:33:44.336]  Alright, we are back live.
[00:33:44.336 --> 00:34:00.941]  By the way, The Nation Magazine is reporting Stratfor Disputes OBL Killing in Pakistan.
[00:34:00.941 --> 00:34:08.863]  That is the headline, Stratfor Disputes OBL Killing in Abbottabad, Pakistan.
[00:34:10.347 --> 00:34:12.288]  Of course it's a complete fraud.
[00:34:12.288 --> 00:34:16.971]  I have talked to the father of a Navy SEAL who my family has known for more than a decade.
[00:34:16.971 --> 00:34:20.833]  I mean, at their house, there's photos of...
[00:34:21.889 --> 00:34:40.689]  Son, in Navy training with his dad and all the Navy SEALs at events, whose friend is in SEAL Team 6, and they believe that that helicopter two weeks ago was blown up to get rid of witnesses, and the scuttlebutt is that yes, they did not kill bin Laden.
[00:34:41.732 --> 00:34:44.996]  What do you think I just get on the air and make stuff up like that?
[00:34:44.996 --> 00:34:57.853]  But here's Stratfor, one of the most highly respected internationally private intelligence organizations that gets a lot of big contracts.
[00:34:59.631 --> 00:35:04.540]  And they are saying that they do not agree with the U.S.
[00:35:04.540 --> 00:35:09.289]  Central Intelligence Agency claim that the man killed in Pakistan compound by U.S.
[00:35:09.289 --> 00:35:12.414]  Navy SEALs was Al Qaeda chief Osama bin Laden.
[00:35:13.427 --> 00:35:17.049]  And they go through the full report at The Nation Magazine.
[00:35:17.049 --> 00:35:22.131]  That is linked up at InfoWars.com and PrisonPlanet.com.
[00:35:22.131 --> 00:35:26.433]  I know Stratfor is based here in Austin, Texas.
[00:35:26.433 --> 00:35:31.136]  I know that they even do weekly commentary on our affiliate, KLBJ, 590KLBJ.
[00:35:34.037 --> 00:35:42.120]  You can find those commentaries at 590KLBJ.com, but I definitely want to get them on tomorrow.
[00:35:42.120 --> 00:35:48.922]  That is big, big, big breaking news, and we'll talk more about that after I get into the FEMA camp situation.
[00:35:48.922 --> 00:35:53.183]  You see, ladies and gentlemen, I don't just get up here and shoot my mouth off.
[00:35:53.183 --> 00:35:55.804]  Sometimes I get angry and yell and scream, and I probably shouldn't.
[00:35:59.827 --> 00:36:04.969]  Then I realize how successful we've been, and I say to myself, you can't argue with success.
[00:36:04.969 --> 00:36:11.551]  I think over the years, some of the ranting and the raving actually gets people to pay attention.
[00:36:11.551 --> 00:36:24.535]  In a sea of radio and TV shows and internet news websites, I think at the end of the day, God used my obnoxiousness as a way to actually break through the electronic Berlin Wall and reach people.
[00:36:26.229 --> 00:36:33.114]  Infowars.com is now the second largest alternative news site in the world, after DrugsReport.com.
[00:36:33.114 --> 00:36:36.276]  Then we have PrisonPlanet.com.
[00:36:36.276 --> 00:36:42.981]  I could have never imagined that we'd be in that position with millions of readers every day.
[00:36:42.981 --> 00:36:46.264]  Something that mainstream media would kill for.
[00:36:46.264 --> 00:36:53.969]  Now, we still have this idea in our heads, it's kind of like you're 40 years old, you're an Olympic wrestler,
[00:36:55.140 --> 00:37:06.070]  But you go to visit your grandpa who's 85 years old and you still are kind of scared of him and think he can kick your butt just because it's grandpa.
[00:37:06.070 --> 00:37:08.592]  You remember looking up to him when you were little.
[00:37:08.592 --> 00:37:12.075]  And it's really the same thing with the mainstream media.
[00:37:12.075 --> 00:37:13.876]  They are not the mainstream media.
[00:37:13.876 --> 00:37:15.498]  They are a joke.
[00:37:15.498 --> 00:37:17.980]  Their numbers are dwindling down to nothing.
[00:37:17.980 --> 00:37:19.902]  They've lost almost all credibility.
[00:37:22.093 --> 00:37:33.040]  And that's why they're teaming up with the government now to promote the internet kill switches and shutting off cell phones during protests in San Francisco.
[00:37:33.040 --> 00:37:41.925]  One of the big outfits, what Facebook just got caught censoring a governor's site that criticized Obama.
[00:37:41.925 --> 00:37:44.206]  They're desperate.
[00:37:44.206 --> 00:37:46.508]  They're desperate right now.
[00:37:46.508 --> 00:37:47.909]  They're like a cornered rat.
[00:37:49.145 --> 00:37:58.271]  And that's why, once a corrupt oligarchy has taken over a society, stolen the wealth, destroyed the productivity, they then go to the FEMA camp model.
[00:37:58.271 --> 00:38:04.375]  They go to the black uniform Soviet, Chinese, Nazi model.
[00:38:04.375 --> 00:38:06.276]  The Fidel Castro model.
[00:38:06.276 --> 00:38:08.597]  The Khmer Rouge model.
[00:38:08.597 --> 00:38:11.119]  The Zimbabwean model.
[00:38:12.390 --> 00:38:17.514]  That's the model about 95% of the time in history.
[00:38:17.514 --> 00:38:22.518]  They go to that model and they live in their private palaces and you live as a third world slave.
[00:38:22.518 --> 00:38:32.886]  You know, the dictator of Romania, Ceausescu, was interviewed and they said, why do you only give the entire country power maybe two, three hours a day?
[00:38:32.886 --> 00:38:37.390]  And he said, because I might as well just charge him more for less.
[00:38:37.390 --> 00:38:39.091]  This is how I teach him who's boss.
[00:38:39.091 --> 00:38:40.112]  Same thing in North Korea.
[00:38:41.917 --> 00:38:45.279]  They enjoy cutting off our power.
[00:38:45.279 --> 00:38:48.280]  They enjoy restricting us.
[00:38:48.280 --> 00:38:59.826]  Can you imagine being General Electric and being given the waiver to build new plants and keep their old plants operating, but then to be able to shut down all their competition?
[00:38:59.826 --> 00:39:04.008]  I mean, you know diamonds all over Africa are on the ground.
[00:39:04.008 --> 00:39:06.449]  You can pan for them in rivers like gold.
[00:39:08.447 --> 00:39:14.394]  You know diamonds on a real chart of gems are in the semi-precious range.
[00:39:14.394 --> 00:39:16.597]  They're not even at the top of the semi-precious range.
[00:39:16.597 --> 00:39:17.998]  They're down in the middle.
[00:39:17.998 --> 00:39:19.901]  They're like agate or something.
[00:39:19.901 --> 00:39:22.364]  But agate is all over the world.
[00:39:22.364 --> 00:39:23.865]  Diamonds are only in a few places.
[00:39:25.182 --> 00:39:29.544]  Now they did discover a hoard in several areas of Arkansas.
[00:39:29.544 --> 00:39:33.026]  I knew about this a decade before it was admitted in the news.
[00:39:33.026 --> 00:39:44.432]  My dad has friends from college in the diamond business, some of the biggest, who would talk about how evil the Oppenheimers and De Beers were and how they ran this world monopoly of diamonds.
[00:39:44.432 --> 00:39:47.974]  But when they did find diamonds in Arkansas, then they found diamonds in Canada.
[00:39:47.974 --> 00:39:48.755]  Both cases
[00:39:49.892 --> 00:39:56.334]  With this French family that my dad, you know, knew going way back to college days in Dallas.
[00:39:56.334 --> 00:40:10.958]  In both cases, they would come in and have the government announce it to be an environmental preserve, even if it was land they bought, and the government would move to block them, but then they were still able, in one case, to sell the property they bought to the government for $3 billion.
[00:40:10.958 --> 00:40:13.759]  Oh, that's the best part.
[00:40:13.759 --> 00:40:14.360]  The U.S.
[00:40:14.360 --> 00:40:18.321]  government, other governments, pay money to people
[00:40:19.375 --> 00:40:22.358]  So that they can't use the land that has the diamonds.
[00:40:22.358 --> 00:40:25.601]  It's the same thing with power and water and everything else.
[00:40:25.601 --> 00:40:29.504]  They are training you that it doesn't exist and there's not enough of it.
[00:40:29.504 --> 00:40:31.786]  Yeah, they're all this lecturing about drought.
[00:40:31.786 --> 00:40:34.289]  There is a surface drought in Central Texas.
[00:40:34.289 --> 00:40:39.213]  The only place there's a true drought is in West Texas, where they really do have their aquifers running very low.
[00:40:39.213 --> 00:40:43.477]  They could drill their wells deeper, but the point is that there is a real drought in West Texas.
[00:40:43.477 --> 00:40:44.478]  There's a surface drought
[00:40:45.871 --> 00:41:12.752]  uh... in central texas and they're on the news don't wash your clothes as much uh... wear your clothes three four times don't drain your swimming pools uh... water once a week only at night there's no water only the state is allowed to keep their public fountains going because they're god i saw that this week meanwhile driving to work in the day i drive by three golf courses and i meant to do a report but then i got late and didn't do it i'm gonna shoot an iphone report for the website
[00:41:13.886 --> 00:41:20.249]  I pulled in, and in the morning, the sprinklers were going, everything was green, and I pulled over to a greenskeeper at one of the places.
[00:41:20.249 --> 00:41:23.751]  I pulled into three of them, as they're just lined up driving into work.
[00:41:23.751 --> 00:41:25.933]  And I pulled up to the greenskeeper, and I said, is that City Water?
[00:41:25.933 --> 00:41:27.413]  And he goes, yeah, yeah, we're on that.
[00:41:27.413 --> 00:41:33.617]  I mean, I worked at Great Hills, so I already know that.
[00:41:33.617 --> 00:41:39.600]  I worked at Great Hills one summer in college, but this is a complete joke.
[00:41:40.523 --> 00:41:41.704]  This is a complete joke.
[00:41:41.704 --> 00:41:44.185]  They've got neighbors tattling on each other.
[00:41:44.185 --> 00:41:46.426]  My neighbor watered more than once this week.
[00:41:46.426 --> 00:41:50.247]  Oh my gosh, I'm gonna call the police on him, give him a $500 fine.
[00:41:50.247 --> 00:41:57.430]  When you could, if the government didn't block it, sink a well anywhere in Central Texas, 500 feet or more, for maybe $10,000, $15,000, and hit water.
[00:42:01.263 --> 00:42:10.267]  I mean, I live out in the country, and there's a dry creek bed, and if you walk down it 100 yards, there's an area full of catfish and bass and everything that's spring-fed.
[00:42:10.267 --> 00:42:15.289]  It's just running, because right below the ground is just giant oceans of water.
[00:42:15.289 --> 00:42:22.912]  You know, I said I'd get into this Ron Paul FEMA camp report, and I'm going to get to it.
[00:42:22.912 --> 00:42:24.633]  You know what?
[00:42:24.633 --> 00:42:28.455]  I did probably 15 hours of preparation for this radio show today.
[00:42:30.160 --> 00:42:30.700]  Saturday.
[00:42:30.700 --> 00:42:34.381]  I was up until two o'clock in the morning last night.
[00:42:34.381 --> 00:42:37.743]  I probably was working and researching six, seven hours a day.
[00:42:37.743 --> 00:42:40.543]  And you know, I haven't covered really any of the news.
[00:42:40.543 --> 00:42:41.844]  Oh, here's one.
[00:42:41.844 --> 00:42:46.325]  Air Force raids gun shop.
[00:42:46.325 --> 00:42:49.406]  That's News 8, CBS, Las Vegas.
[00:42:49.406 --> 00:42:49.987]  The U.S.
[00:42:49.987 --> 00:42:54.708]  Air Force led a raid against Las Vegas gun shop Friday.
[00:42:54.708 --> 00:42:56.409]  We'll be right back with the martial law news.
[00:42:56.409 --> 00:42:56.809]  Stay with us.
[00:43:01.485 --> 00:43:03.187]  Hi folks, this is Alex Jones.
[00:43:03.187 --> 00:43:08.493]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:43:08.493 --> 00:43:10.035]  Saving means to make money.
[00:43:10.035 --> 00:43:18.825]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:43:19.546 --> 00:43:27.089]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:43:27.089 --> 00:43:35.092]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:43:35.092 --> 00:43:40.314]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:43:40.314 --> 00:43:42.475]  Getting a free catalog is easy by calling 800-340-7091.
[00:43:45.256 --> 00:43:48.461]  Or see Calvin on the web at 5starsoap.com.
[00:43:48.461 --> 00:43:50.844]  Take charge of your health now by calling 800-340-7091.
[00:43:50.844 --> 00:43:52.967]  Or see Calvin on the web at 5starsoap.com.
[00:44:00.009 --> 00:44:04.572]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:44:04.572 --> 00:44:05.473]  Number 1.
[00:44:05.473 --> 00:44:08.896]  New climate legislation could easily double or triple your electric bill.
[00:44:08.896 --> 00:44:09.756]  Number 2.
[00:44:09.756 --> 00:44:14.660]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:44:14.660 --> 00:44:15.400]  It's true.
[00:44:15.400 --> 00:44:20.264]  Total government control of electricity in the name of smart grid technology is coming.
[00:44:20.264 --> 00:44:21.105]  Number 3.
[00:44:21.105 --> 00:44:24.687]  In some areas of the country, the power grid is dangerously overloaded.
[00:44:24.687 --> 00:44:28.390]  And now, new socialist legislation is only compounding the problem.
[00:44:28.590 --> 00:44:29.391]  Number 4.
[00:44:29.391 --> 00:44:32.154]  Dangerous weather is always a threat to local grids.
[00:44:32.154 --> 00:44:35.819]  Every year, thousands of families lose their power from weather-related outages.
[00:44:35.819 --> 00:44:36.620]  Number 5.
[00:44:36.620 --> 00:44:40.765]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:44:40.765 --> 00:44:45.531]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:44:45.811 --> 00:44:49.974]  You can get more information at www.mysolarbackup.com.
[00:44:49.974 --> 00:44:51.775]  That's mysolarbackup.com.
[00:44:51.775 --> 00:44:54.016]  Remember, the government doesn't own the sun.
[00:44:54.016 --> 00:44:56.638]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:44:56.638 --> 00:45:06.925]  When you're out on the road, the last place you want to be is on the road.
[00:45:06.925 --> 00:45:12.068]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:45:12.068 --> 00:45:13.949]  There's a place down in Tennessee
[00:45:16.144 --> 00:45:27.244]  Well, they make blue diamond gusset jeans They sew pride in every stitch Guarantee you love the way they fit
[00:45:29.281 --> 00:45:33.885]  They put a Diamond Gusset in the crotch, where you need it most.
[00:45:33.885 --> 00:45:38.949]  Blue Diamond Gussets got it, others don't.
[00:45:38.949 --> 00:45:41.091]  We turn jeans inside out.
[00:45:41.091 --> 00:45:42.872]  Diamond Gusset Jeans.
[00:45:42.872 --> 00:45:45.754]  Made in the USA with unparalleled quality.
[00:45:45.754 --> 00:45:52.380]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:45:52.380 --> 00:45:58.324]  Order yours at gusset.com Diamond Gusset Jeans got it, others don't.
[00:45:59.784 --> 00:46:03.727]  You may be arrested and or subject to other police action.
[00:46:03.727 --> 00:46:04.988]  Tyranny is here.
[00:46:04.988 --> 00:46:08.651]  The grim future foretold in 1984 has become reality.
[00:46:08.651 --> 00:46:11.153]  It really says that the state is God.
[00:46:11.153 --> 00:46:16.217]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:46:17.017 --> 00:46:23.707]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:46:23.707 --> 00:46:29.695]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:46:29.695 --> 00:46:33.361]  Police State 4 chronicles the sickening death to which our Republic has fallen.
[00:46:33.841 --> 00:46:38.123]  Prepare to enter the secretive world of emergency dictatorship.
[00:46:38.123 --> 00:46:44.086]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:46:44.086 --> 00:46:47.627]  It's only the beginning of the New World Order's hellish plan.
[00:46:47.627 --> 00:46:49.608]  The police state isn't coming.
[00:46:49.608 --> 00:46:50.729]  It's here.
[00:46:50.729 --> 00:46:57.532]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:47:01.297 --> 00:47:04.900]  Coast to coast, direct from Austin.
[00:47:04.900 --> 00:47:08.083]  You're listening to the Alex Jones Broadcasting Network.
[00:47:40.103 --> 00:47:40.863]  Here's Ron Paul.
[00:47:40.863 --> 00:47:42.444]  I have a quick question while you're saying that.
[00:47:42.444 --> 00:47:45.146]  Do you think Americans are justified in thinking that H.R.
[00:47:45.146 --> 00:47:49.168]  645 could lead to detainment camps for American citizens during World War II?
[00:47:49.168 --> 00:47:50.169]  I don't know this number.
[00:47:50.169 --> 00:47:51.249]  You'll have to tell me.
[00:47:51.249 --> 00:47:53.771]  The emergency center establishment.
[00:47:53.771 --> 00:47:55.572]  Yeah, I know that's their goal.
[00:47:55.572 --> 00:47:59.034]  They are setting up the stage for violence in this country.
[00:47:59.034 --> 00:48:00.415]  We can talk about it.
[00:48:03.796 --> 00:48:12.839]  HR 645, establishing emergency centers for disaster relief and actual emergency.
[00:48:12.839 --> 00:48:16.620]  Here's Ron Paul one more time.
[00:48:16.620 --> 00:48:17.240]  On HR.
[00:48:17.240 --> 00:48:25.562]  Alright, now there's that report.
[00:48:25.562 --> 00:48:30.304]  I hope that Robert Wannick, a friend of the show, will also post it without the music because it makes it not as...
[00:48:32.267 --> 00:48:35.811]  Not as conductive on radio.
[00:48:35.811 --> 00:48:38.073]  But you see something like this.
[00:48:38.073 --> 00:48:45.942]  Ron Paul being asked, hey, should we be worried about Americans and FEMA and people being put in these camps?
[00:48:45.942 --> 00:48:47.263]  Yeah, that's their goal.
[00:48:47.263 --> 00:48:50.647]  They're setting up the stage for violence in this country.
[00:48:50.647 --> 00:48:53.110]  No doubt about it, responded Ron Paul.
[00:48:54.360 --> 00:49:00.084]  And then we have our full reports and congressional hearings dealing with this legislation.
[00:49:00.084 --> 00:49:02.405]  Now, here's what's scary about it.
[00:49:02.405 --> 00:49:14.313]  When we got this bill, now a year and a half ago, and we read it, it was exactly what I'd seen in urban warfare drills with Army, Marines, FEMA, and others.
[00:49:14.313 --> 00:49:16.174]  And I videotaped all this in the late 90s.
[00:49:19.551 --> 00:49:22.717]  The Marines would come up with their machine guns and say, turn your camera off.
[00:49:22.717 --> 00:49:26.224]  It's all in my film, Police Day 2000 and Police Day to the Takeover.
[00:49:26.224 --> 00:49:26.264]  1999, 2000.
[00:49:26.264 --> 00:49:26.785]  Two films I put out.
[00:49:30.785 --> 00:49:34.108]  And we said then with Economist, this isn't coming now.
[00:49:34.108 --> 00:49:38.951]  They're just preparing the military and getting everybody ready for it and having the military.
[00:49:38.951 --> 00:49:51.621]  I also interviewed in those films and in future films like Road to Tyranny, military officers who had raided gun shops going back even into the 1980s as part of secret programs.
[00:49:51.621 --> 00:49:54.624]  So there's a long-term secret program to get rid of posse comitatus.
[00:49:55.044 --> 00:50:04.651]  Now you see regular Army at the Kentucky Derby, or at the Super Bowl, or you see the Army running DWI checkpoints in Los Angeles and other areas.
[00:50:04.651 --> 00:50:06.852]  Now it's just in your face.
[00:50:06.852 --> 00:50:13.977]  And Homeland Security admitted two years ago, we've got a deal for Brigade Homeland starting with 4,000 troops.
[00:50:13.977 --> 00:50:14.757]  It'll then be 378,000 troops.
[00:50:14.757 --> 00:50:17.079]  And now they've announced they've got 100,000 ready.
[00:50:17.079 --> 00:50:18.840]  They've got to have the 300 plus thousand ready by 2012.
[00:50:18.840 --> 00:50:20.181]  I mean, they are getting ready for this.
[00:50:25.384 --> 00:50:29.965]  And then, if you talk about it, you get laughed at.
[00:50:29.965 --> 00:50:39.747]  Just like earlier in the year, I said, well, here's the different power commissions saying they can't open new power plants and the population's grown, so they're gonna have rolling blackouts in cold weather and hot weather.
[00:50:39.747 --> 00:50:41.447]  We put an article together.
[00:50:41.447 --> 00:50:43.788]  And the White House attacks us and says we're crazy.
[00:50:43.788 --> 00:50:45.968]  And then today, it's all back in the news.
[00:50:45.968 --> 00:50:53.110]  Fort Worth Star-Telegram, Washington Post, Reuters, you name it, all saying exactly what I said six months ago.
[00:50:55.540 --> 00:51:02.805]  Top private intelligence group comes out and says Bin Laden wasn't killed at that compound, according to their analysis and their sources.
[00:51:02.805 --> 00:51:04.986]  Of course he wasn't.
[00:51:04.986 --> 00:51:08.208]  I mean, I'm sorry, ladies and gentlemen, we're being lied to.
[00:51:08.208 --> 00:51:11.511]  Obama said we'd be in Libya days, not weeks.
[00:51:11.511 --> 00:51:13.332]  It's four and a half months later.
[00:51:13.332 --> 00:51:16.054]  Every week they say Tripoli is falling.
[00:51:16.054 --> 00:51:24.139]  I'm not a fan of Qaddafi, but I'm an even bigger enemy of the real al-Qaeda groups that is admittedly the leadership of the rebels.
[00:51:24.139 --> 00:51:25.300]  You know, that's admitted.
[00:51:27.082 --> 00:51:29.142]  And you can't dress this thing up.
[00:51:29.142 --> 00:51:31.463]  You can't get away from reality.
[00:51:31.463 --> 00:51:42.705]  You can't get away from the reality that hundreds of power plants are now being shut down that aren't insiders, and power prices are going up because there's less competition, and there's blackouts happening.
[00:51:42.705 --> 00:51:46.366]  And the White House's response is, we're crazy?
[00:51:46.366 --> 00:51:50.426]  Even when the Texas Commission says it's happening?
[00:51:50.426 --> 00:51:53.027]  Texas supplies the power to five states.
[00:51:54.332 --> 00:51:57.675]  The dominant power supplier to five states.
[00:51:57.675 --> 00:52:04.502]  New Mexico, Louisiana, Arkansas, Oklahoma, Kansas.
[00:52:04.502 --> 00:52:06.324]  Have you noticed your power prices went up?
[00:52:07.421 --> 00:52:11.743]  The city of Austin came out last year and said, we're going to double power prices.
[00:52:11.743 --> 00:52:12.964]  What was it?
[00:52:12.964 --> 00:52:14.684]  $3.6 billion in the next two years.
