[00:00.000 --> 00:17.440]  It's hard to believe it's already Monday, the 21st day of August 2017, but it is.
[48:08.760 --> 48:10.760]  and how they hate America and all the rest of it.
[48:10.760 --> 48:12.760]  And then they start screaming death to America.
[48:12.760 --> 48:14.760]  We hate America. It's a horrible nation.
[48:14.760 --> 48:17.760]  When I bet none of these people ever worked today in their lives.
[48:17.760 --> 48:20.760]  It's all welfare. It's all tuition's paid for.
[48:20.760 --> 48:22.760]  It's all scholarships.
[48:22.760 --> 48:25.760]  And it's all the big rich corrupt university giving worthless degrees by design.
[48:25.760 --> 48:30.760]  Virtue signaling giving them power so they continue down this rat hole
[48:30.760 --> 48:33.760]  that's meant in the WikiLeaks to destroy them.
[48:33.760 --> 48:38.760]  They'll be unemployable outside of the weirdo system
[48:38.760 --> 48:44.760]  so the system's making more handicapped people to basically be part of its cult.
[48:44.760 --> 48:48.760]  And this is so psychopathic, so cold-blooded, and the elites laugh at these people.
[48:48.760 --> 48:51.760]  Let's go ahead and go to the Death to America part.
[48:51.760 --> 48:53.760]  Everyone here is American. Y'all are my men.
[48:53.760 --> 48:55.760]  We should all be able to get along.
[48:55.760 --> 48:58.760]  Okay, you're not my men. Do you hate America?
[48:58.760 --> 49:01.760]  You hate America.
[49:01.760 --> 49:03.760]  Let's pause again. This is so powerful. Back to some 10 seconds.
[49:03.760 --> 49:05.760]  You're there saying, you're my man.
[49:05.760 --> 49:08.760]  Like Trump said, let's love each other. Let's come together.
[49:08.760 --> 49:11.760]  You know, America's got problems, but we've been one of the best nations ever.
[49:11.760 --> 49:15.760]  You know, let's love each other. I feel the love in this room. Let's come together right now.
[49:15.760 --> 49:19.760]  I'm not American. I don't like America.
[49:19.760 --> 49:22.760]  You know how to show what they really believe in.
[49:22.760 --> 49:25.760]  They're just bitter, spoiled, rotten, nobody's.
[49:25.760 --> 49:27.760]  Let's go back to it.
[49:27.760 --> 49:29.760]  Everyone here is American. Y'all are my men.
[49:29.760 --> 49:31.760]  You should all be able to get along.
[49:31.760 --> 49:33.760]  Okay, you're not my men. Do you hate America?
[49:33.760 --> 49:35.760]  You hate America.
[49:35.760 --> 49:37.760]  Say that again.
[49:37.760 --> 49:39.760]  Death to America.
[49:39.760 --> 49:41.760]  Wow.
[49:41.760 --> 49:44.760]  Death to the greatest country in the history of the world.
[49:44.760 --> 49:46.760]  It's not the greatest country in the world.
[49:46.760 --> 49:50.760]  Really? Tell me a country that's had a higher standard of living than the American way of life.
[49:50.760 --> 49:52.760]  Switzerland, Finland.
[49:52.760 --> 49:54.760]  Switzerland won't let anybody in.
[49:54.760 --> 49:57.760]  And I tell them that. I hold her back and I'm sorry.
[49:57.760 --> 49:59.760]  Why are they so wealthy?
[49:59.760 --> 50:01.760]  I don't know.
[50:01.760 --> 50:04.760]  You don't know. You seem to know a lot, but you seem not to know anything.
[50:04.760 --> 50:08.760]  They don't let people like you, social justice warriors in.
[50:08.760 --> 50:10.760]  The colonization of Vaskin.
[50:10.760 --> 50:13.760]  You gotta have a job. You gotta have money.
[50:13.760 --> 50:15.760]  Switzerland will let you in.
[50:15.760 --> 50:17.760]  You know it's impossible to become a citizen of Switzerland?
[50:17.760 --> 50:18.760]  What?
[50:18.760 --> 50:20.760]  It's one of the most conservative nation states.
[50:20.760 --> 50:22.760]  They hoard guns.
[50:22.760 --> 50:24.760]  You can walk right across the border, actually.
[50:24.760 --> 50:28.760]  Now the new president is changing.
[50:28.760 --> 50:30.760]  And the most amazing thing about this, Alex,
[50:30.760 --> 50:33.760]  they don't even know who the statue is that's being removed.
[50:33.760 --> 50:35.760]  I asked them multiple times. None of them even know.
[50:35.760 --> 50:37.760]  You're having a powerful, but it's not.
[50:37.760 --> 50:40.760]  This is the most epic fail of chanting Death to America.
[50:40.760 --> 50:42.760]  By the way, they hate Trump saying alt-left.
[50:42.760 --> 50:45.760]  We've got to alter it using the term alt-left because they hate that.
[50:45.760 --> 50:46.760]  They do hate it.
[50:46.760 --> 50:47.760]  It really drives them crazy.
[50:47.760 --> 50:49.760]  I want to ask you when we come back, why do they hate it so much?
[50:49.760 --> 50:51.760]  It's all just as epic.
[50:51.760 --> 50:56.760]  I mean, you want to see the scum of the earth, a bunch of dirty leg white guys
[50:56.760 --> 50:59.760]  with weird creepy women leading a bunch of idiots.
[50:59.760 --> 51:03.760]  If food became scarce, would you be able to feed yourself and your family?
[51:03.760 --> 51:05.760]  Have you found some emergency food supplies?
[51:05.760 --> 51:08.760]  Can cost upwards of $300 for a month's supply
[51:08.760 --> 51:12.760]  and worst of all, they're packed with chemicals and other unpronounceable ingredients.
[51:12.760 --> 51:15.760]  At 30dayfood.com, our mission is to provide you with food
[51:15.760 --> 51:18.760]  that's not only healthy and natural but also affordable.
[51:18.760 --> 51:22.760]  At 30dayfood.com, for only $127, you can order meals
[51:22.760 --> 51:25.760]  that are naturally high in fiber, carbs and protein,
[51:25.760 --> 51:29.760]  packaged in mylar bags with oxygen absorbers for superior shelf life.
[51:29.760 --> 51:32.760]  For a limited time only, your order ships free,
[51:32.760 --> 51:33.760]  but that's not all.
[51:33.760 --> 51:36.760]  Enter promo code PREP10 to receive 10% off your entire order.
[51:36.760 --> 51:39.760]  Call 800-720-184-today.
[51:39.760 --> 51:43.760]  30dayfood.com keeps prices low by buying directly from suppliers
[51:43.760 --> 51:46.760]  in the Pacific Northwest then passing the savings along to you.
[51:46.760 --> 51:50.760]  Go to 30dayfood.com or call 800-720-184
[51:50.760 --> 51:54.760]  for the most cost-effective and healthy food storage solution.
[51:54.760 --> 51:58.760]  That's 30dayfood.com at 800-720-184.
[51:58.760 --> 52:03.760]  You deserve a deep restful sleep with knockout by InfoWarsLife.
[52:03.760 --> 52:08.760]  Our organic formula is made from high quality natural ingredients
[52:08.760 --> 52:11.760]  such as valerian root extract, L-tryptophan,
[52:11.760 --> 52:14.760]  lemon balm leaf extract and melatonin.
[52:14.760 --> 52:17.760]  Knockout packs a powerful punch to get you through the night
[52:17.760 --> 52:19.760]  and achieve proper sleep.
[52:19.760 --> 52:23.760]  Millions of people around the world experience daytime drowsiness,
[52:23.760 --> 52:27.760]  but with the rapid speed of life, we need to be able to keep up the pace.
[52:27.760 --> 52:31.760]  Our natural mixture harnesses the power of 10 known ingredients
[52:31.760 --> 52:35.760]  to let your body relax and get the sleep you need.
[52:35.760 --> 52:37.760]  Wake up refreshed and take on the day.
[52:37.760 --> 52:41.760]  InfoWarsLife wants to bring you a sleep support formula
[52:41.760 --> 52:46.760]  that goes above and beyond other leading brands at an affordable price.
[52:46.760 --> 52:50.760]  Get the sleep you deserve and experience the power of knockout.
[52:50.760 --> 52:54.760]  Head on over to infowarslife.com and say goodbye to fatigue.
[52:54.760 --> 53:19.760]  That's infowarslife.com.
[53:24.760 --> 53:28.760]  886-3653 goberky.com
[53:54.760 --> 53:57.760]  goberky.com
[54:24.760 --> 54:27.760]  goberky.com
[54:54.760 --> 54:57.760]  goberky.com
[55:24.760 --> 55:26.760]  goberky.com
[55:54.760 --> 55:57.760]  goberky.com
[56:24.760 --> 56:27.760]  goberky.com
[56:54.760 --> 56:56.760]  goberky.com
[57:24.760 --> 57:29.760]  They are a frothing cult of brown shirts who want violence,
[57:29.760 --> 57:32.760]  who want to come after everybody, and who are totally ill-equipped,
[57:32.760 --> 57:35.760]  totally stupid, totally unarmed, totally mindless.
[57:35.760 --> 57:39.760]  But they're set pieces by the big corporate elites.
[57:39.760 --> 57:43.760]  And they're moving forward with the plan as if Hillary still got elected
[57:43.760 --> 57:45.760]  to get rid of free speech, to bully everyone.
[57:45.760 --> 57:47.760]  Here's the news, we're not getting bullied,
[57:47.760 --> 57:50.760]  and I don't see this working on people, Owen.
[57:50.760 --> 57:54.760]  I hate that these people have Israel, Alex. I mean, you experienced it in Seattle.
[57:54.760 --> 57:58.760]  I mean, you hear from Millie on the show, the audience out there,
[57:58.760 --> 58:01.760]  when she talks about the threats that are levied against her
[58:01.760 --> 58:03.760]  and the things that she experiences.
[58:03.760 --> 58:07.760]  I mean, these are violent, hateful people.
[58:07.760 --> 58:11.760]  And we're just mainline, we want lower taxes, bigger middle class,
[58:11.760 --> 58:14.760]  you know, swimming pools, movie stars.
[58:14.760 --> 58:17.760]  I mean, we just want America. We don't want North Korea.
[58:17.760 --> 58:20.760]  And why do you care if I'm out there filing a report?
[58:20.760 --> 58:23.760]  I'm not bothering you. You even heard it in the clip we played in the last episode.
[58:23.760 --> 58:26.760]  Because these are entitled scum. These people are dangerous.
[58:26.760 --> 58:30.760]  Hell, Black Lives Matter openly says kill cops,
[58:30.760 --> 58:32.760]  and the media, CNN says it's great.
[58:32.760 --> 58:36.760]  CNN, we've got more clips of CNN, New York Times all saying antifa is good,
[58:36.760 --> 58:39.760]  violence is good, they're bullying their enemies.
[58:39.760 --> 58:43.760]  CNN, folks, is literally your enemy.
[58:43.760 --> 58:45.760]  They say they are.
[58:45.760 --> 58:48.760]  We're going to come back with your incredible report Owen.
[59:15.760 --> 59:18.760]  We're going to come back with your incredible report Owen.
[59:45.760 --> 59:50.760]  At infowarslife.com and support the info war while you support healthy gums and teeth.
[1:00:15.760 --> 1:00:22.760]  All right, you got one more clip, Owen Troyer, you want to play.
[1:00:22.760 --> 1:00:25.760]  The full clips are up on infowars.com.
[1:00:25.760 --> 1:00:28.760]  I just think your headline's not strong enough,
[1:00:28.760 --> 1:00:30.760]  but I can't come up with a headline strong enough.
[1:00:30.760 --> 1:00:33.760]  A bunch of frothing idiots screaming,
[1:00:33.760 --> 1:00:37.760]  we hate America, death to America, we hate white people when they're mainly white,
[1:00:37.760 --> 1:00:41.760]  saying we hate this country, this country sucks.
[1:00:41.760 --> 1:00:49.760]  And, meanwhile, it just gets worse by the minute with the big corporate elites financing this.
[1:00:49.760 --> 1:00:52.760]  So, break down other points and tell us about this final clip.
[1:00:52.760 --> 1:01:00.760]  So, it shows the mindset of these people, and it wouldn't be so scary if we didn't see this in all cities across the United States of America.
[1:01:00.760 --> 1:01:03.760]  We saw it in Seattle, we saw it every time Trump has a rally.
[1:01:03.760 --> 1:01:10.760]  And it's scary, honestly, to be out there and to know that they know who you are and that they hate you,
[1:01:10.760 --> 1:01:12.760]  and that they're starting to get violent.
[1:01:12.760 --> 1:01:16.760]  It's a real thing, and the police can only do so much.
[1:01:16.760 --> 1:01:21.760]  And so, this next clip we're about to play is, I call them alt-left.
[1:01:21.760 --> 1:01:24.760]  Now, this is a seriously triggering term to them right now.
[1:01:24.760 --> 1:01:28.760]  And, honestly, that's all, the only reason you use it is because it triggers them.
[1:01:28.760 --> 1:01:30.760]  Really, they're alt-Americans, and they're the main line left.
[1:01:30.760 --> 1:01:34.760]  And she admits it in this clip where I say, this is the alt-left.
[1:01:34.760 --> 1:01:38.760]  There is no alt-left. We're the real left. We're the destroy America left.
[1:01:38.760 --> 1:01:40.760]  Let's go to that clip.
[1:01:40.760 --> 1:01:42.760]  You have no idea who I am. You don't know anything about me.
[1:01:42.760 --> 1:01:44.760]  Oh, yeah, judging me because I'm white, by the way.
[1:01:44.760 --> 1:01:46.760]  It's really sad, too.
[1:01:46.760 --> 1:01:50.760]  So, here is the alt-left that thinks they're going to make America better.
[1:01:50.760 --> 1:01:52.760]  I'm the real left.
[1:01:52.760 --> 1:01:54.760]  You're an alt-left. You're right.
[1:01:54.760 --> 1:01:56.760]  You're right, guys. You're right.
[1:01:56.760 --> 1:01:58.760]  You're right. All right, guys, we've got the new term.
[1:01:58.760 --> 1:02:02.760]  This is the alt-reality because these people don't live in reality.
[1:02:02.760 --> 1:02:05.760]  CrippleWars.com is going square.
[1:02:05.760 --> 1:02:08.760]  So, there you go. She says, we're the destroy America left.
[1:02:08.760 --> 1:02:11.760]  We're the real left. Their own words.
[1:02:11.760 --> 1:02:13.760]  And we've seen these people in cities across America.
[1:02:13.760 --> 1:02:15.760]  But here's the craziest thing about it, Alex.
[1:02:15.760 --> 1:02:19.760]  So, this morning, I come on, before I come on, I'm looking at all the news.
[1:02:19.760 --> 1:02:22.760]  I'm looking at who's all covering this and what they're saying.
[1:02:22.760 --> 1:02:24.760]  Everyone's covering it the same.
[1:02:24.760 --> 1:02:26.760]  University of Texas removes Confederate statue from main area.
[1:02:26.760 --> 1:02:30.760]  Robert E. Lee, racist, this. Here's what the president said, that, blah, blah, blah, okay.
[1:02:30.760 --> 1:02:33.760]  All of these people that covered it saw my video clip.
[1:02:33.760 --> 1:02:36.760]  All of the people, all the media that was there saw these clips.
[1:02:36.760 --> 1:02:39.760]  They saw what these people said. They saw what these people looked like.
[1:02:39.760 --> 1:02:43.760]  Yet, somehow, that doesn't make the news. Zero news.
[1:02:43.760 --> 1:02:45.760]  Owen Schroyer doesn't make any of these stories.
[1:02:45.760 --> 1:02:49.760]  None of these people in the street saying death to America makes one of these stories today.
[1:02:49.760 --> 1:02:51.760]  It should be. Here's the headline.
[1:02:51.760 --> 1:02:54.760]  Groups chanting death to America remove statues.
[1:02:54.760 --> 1:02:58.760]  We're the real left. We're the destroy America left.
[1:02:58.760 --> 1:03:00.760]  And by the way, you know why they hate that?
[1:03:00.760 --> 1:03:04.760]  They're all about defining words that the media uses and we all follow them.
[1:03:04.760 --> 1:03:07.760]  They are obsessed with attacking words in language.
[1:03:07.760 --> 1:03:12.760]  And the fact that Trump would call them alt-left, they want to define us as alt-right to put us in a corner.
[1:03:12.760 --> 1:03:14.760]  They understand what they're doing.
[1:03:14.760 --> 1:03:15.760]  Well, it's another example of how-
[1:03:15.760 --> 1:03:19.760]  Can you believe we're being dominated by literal people that I hear?
[1:03:19.760 --> 1:03:22.760]  I saw the video, folks. Those people don't take baths.
[1:03:22.760 --> 1:03:27.760]  They don't wipe their butts. I mean, these people are into being filth.
[1:03:27.760 --> 1:03:29.760]  And they hate America. They said it in their own words.
[1:03:29.760 --> 1:03:31.760]  You think they like seeing success?
[1:03:31.760 --> 1:03:38.760]  You think they like seeing ski boats and happy families and people of all colors coming together and barbecues?
[1:03:38.760 --> 1:03:43.760]  They don't like it. They're miserable trash that want to conquer things.
[1:03:43.760 --> 1:03:47.760]  I'm just trying to figure out what is the end of these people?
[1:03:47.760 --> 1:03:49.760]  I mean, these are-
[1:03:49.760 --> 1:03:54.760]  This is the end. We must remove all financial support from any major corporation that supports globalism.
[1:03:54.760 --> 1:03:57.760]  We must research everywhere we spend money.
[1:03:57.760 --> 1:04:02.760]  We must remove ourselves from them and realize they are the equivalent of Nazi brown shirts.
[1:04:02.760 --> 1:04:04.760]  They call us Nazis all day.
[1:04:04.760 --> 1:04:10.760]  They're a political group of bullies that want to overthrow the system and take full control of the means of production.
[1:04:10.760 --> 1:04:12.760]  I can't even go do a-
[1:04:12.760 --> 1:04:15.760]  You want to ask who they are? They're all wearing red-out. They're all communists.
[1:04:15.760 --> 1:04:16.760]  Alex!
[1:04:16.760 --> 1:04:18.760]  But they play this game and go, oh, we're anti-fascists.
[1:04:18.760 --> 1:04:22.760]  This is one of the most trending stories in America right now, how they're removing these Confederate statues.
[1:04:22.760 --> 1:04:25.760]  Everyone's talking about this. I just go down there to file a report.
[1:04:25.760 --> 1:04:28.760]  Why wouldn't I file a report? This is a huge story.
[1:04:28.760 --> 1:04:34.760]  Let's say it. Here's a profile of the people there that the university is virtue-signaling to.
[1:04:34.760 --> 1:04:40.760]  But I was the only one that covered it. Everyone else just shows up, toes the party line and shoots the b-roll,
[1:04:40.760 --> 1:04:42.760]  and then prints their happy story here, leaves out completely-
[1:04:42.760 --> 1:04:44.760]  By the way, they're on video telling you to get out of there.
[1:04:44.760 --> 1:04:46.760]  So this is a no-go zone now.
[1:04:46.760 --> 1:04:49.760]  Most of these universities, four whites, four conservatives.
[1:04:49.760 --> 1:04:56.760]  Just like the girls that were wearing the Make America Great hats getting kicked off campus, that's on InfoWars.com.
[1:04:56.760 --> 1:05:03.760]  Why is the fungus? Why is the mold? Why is the yeast taking over? What is going on? What has changed?
[1:05:03.760 --> 1:05:09.760]  Dr. Group, the new product, Myco CX, supports normal fungal and yeast balance proprietary blend of herbs and enzymes,
[1:05:09.760 --> 1:05:11.760]  made with high quality ingredients.
[1:05:11.760 --> 1:05:18.760]  Yeah, fungus is a growing epidemic, and I've been testing this formula and making changes to this formula for over 10 years.
[1:05:18.760 --> 1:05:20.760]  It's available at InfoWars.com.
[1:05:20.760 --> 1:05:23.760]  We also have free shipping, orders $50 or more, and 10% off.
[1:05:23.760 --> 1:05:25.760]  We also have auto-ship additionally on top of that.
[1:05:25.760 --> 1:05:28.760]  Please, we only have a limited supply of this.
[1:05:28.760 --> 1:05:30.760]  I want to get your reviews on here, which you have to say.
[1:05:30.760 --> 1:05:31.760]  For me, it's been a crow.
[1:05:31.760 --> 1:05:36.760]  Myco CX, antifungal, antifungus, anti-yeast.
[1:05:36.760 --> 1:05:37.760]  Get it today, limited around.
[1:05:37.760 --> 1:05:38.760]  It will be monthly.
[1:05:38.760 --> 1:05:39.760]  We get more.
[1:05:39.760 --> 1:05:43.760]  InfoWars.com, InfoWarsLive.com, or AAA-253-33139.
[1:05:43.760 --> 1:05:47.760]  I cannot sell something unless it helps somebody.
[1:05:47.760 --> 1:05:49.760]  And you can't support an organization that didn't fight it harder.
[1:05:49.760 --> 1:05:51.760]  Look at the response we're getting.
[1:05:51.760 --> 1:05:53.760]  Whoever changed the world together.
[1:05:53.760 --> 1:05:54.760]  You are the InfoWars.
[1:05:54.760 --> 1:05:56.760]  God bless you all.
[1:05:56.760 --> 1:06:01.760]  As most of you already know, I am a voracious consumer of news and information.
[1:06:01.760 --> 1:06:04.760]  And in the last four or five years doing more and more research,
[1:06:04.760 --> 1:06:09.760]  I came across the fact that the elite establishment is fully aware of the fact
[1:06:09.760 --> 1:06:14.760]  that our ancient ancestors, in many cases, had much better nutrition than we do today.
[1:06:14.760 --> 1:06:18.760]  And our ancient ancestors sought out the bones of the animals
[1:06:18.760 --> 1:06:20.760]  that they were hunting, killing, and then processing.
[1:06:20.760 --> 1:06:23.760]  And so I set out to develop Caveman,
[1:06:23.760 --> 1:06:26.760]  but to not just have concentrated bone broth from chicken,
[1:06:26.760 --> 1:06:34.760]  but seven other superfood ingredients known for cleansing and supercharging the body at the same time.
[1:06:34.760 --> 1:06:36.760]  InfoWars isn't just fighting the globalist.
[1:06:36.760 --> 1:06:41.760]  We're getting results, and we're expanding in the face of the complete media assault
[1:06:41.760 --> 1:06:44.760]  and winning because of your support.
[1:06:44.760 --> 1:06:47.760]  Caveman is finally back at the InfoWars store.
[1:06:47.760 --> 1:06:51.760]  You can get 25% off the regular price for a limited time only.
[1:06:51.760 --> 1:06:56.760]  At infowarslife.com, or by calling toll-free, AAA-253-3139.
[1:06:56.760 --> 1:06:58.760]  It's not just our water we need to filter.
[1:06:58.760 --> 1:07:00.760]  It's not just our food that needs to be cleaned.
[1:07:00.760 --> 1:07:03.760]  It's the air we're breathing, especially for our children.
[1:07:03.760 --> 1:07:09.760]  The artificial particulates of the chemicals is absolutely weighing down our immune systems.
[1:07:09.760 --> 1:07:15.760]  The same team based right here in America that brought you the Alexa Pure Groundbreaking Water Filtration Systems
[1:07:15.760 --> 1:07:18.760]  have now developed Alexa Pure Breeze.
[1:07:18.760 --> 1:07:23.760]  Whether it's your home or office, you owe it to yourself, your coworkers, your family, your children
[1:07:23.760 --> 1:07:26.760]  to the best job you can to purify your air.
[1:07:26.760 --> 1:07:31.760]  The elite are masters at poisoning our environment, while themselves doing things that mitigate
[1:07:31.760 --> 1:07:34.760]  or avoid most toxic effects for themselves.
[1:07:34.760 --> 1:07:36.760]  The general public doesn't.
[1:07:36.760 --> 1:07:40.760]  The Alexa Pure Breeze would be a steal at $300, $400, $500.
[1:07:40.760 --> 1:07:44.760]  One of these systems can keep 800 square feet incredibly clean.
[1:07:44.760 --> 1:07:48.760]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters
[1:07:48.760 --> 1:07:50.760]  that didn't do as good a job.
[1:07:50.760 --> 1:08:07.760]  Find out why this system is so revolutionary today, and then fullwarstore.com.
[1:08:20.760 --> 1:08:32.760]  We've got Larry Pinckney, an original founding member of the Black Panther Party, who followed the ideas of Martin Luther King,
[1:08:32.760 --> 1:08:37.760]  judge a person by the character of their deeds, what they do, not the color of their skin.
[1:08:37.760 --> 1:08:40.760]  He's going to be joining us at the bottom of the hour.
[1:08:40.760 --> 1:08:46.760]  Raheem Kasam is the editor-in-chief of Breitbart, London, one of the most important branches outside the U.S.
[1:08:46.760 --> 1:08:49.760]  and author of the new book No Go Zones.
[1:08:49.760 --> 1:08:52.760]  How surreal law is coming to a neighborhood near you.
[1:08:52.760 --> 1:09:01.760]  The eclipse has started on the west coast over Oregon, and it will come over Texas in about the next hour and a half.
[1:09:01.760 --> 1:09:04.760]  We will cover that as it unfolds.
[1:09:04.760 --> 1:09:07.760]  We have links to the NASA channel on infowars.com.
[1:09:07.760 --> 1:09:15.760]  We now have Pope Francis saying the rights of immigrants and migrants trumps those of national security while he lives behind big walls.
[1:09:15.760 --> 1:09:26.760]  This is a globalist project of the elite to flood the west, to bankrupt the cultures, and to bring in noncompatible Orthodox Islam
[1:09:26.760 --> 1:09:33.760]  to then force western countries to get rid of their true liberal policies.
[1:09:33.760 --> 1:09:35.760]  You think, well, what do you mean liberals?
[1:09:35.760 --> 1:09:36.760]  We want to get rid of liberal policies.
[1:09:36.760 --> 1:09:42.760]  We mean classical liberal, the Renaissance, bringing in incompatible groups to live in free societies.
[1:09:42.760 --> 1:09:45.760]  That's the admitted plan by Peter Sutherland, the UN, the Pope.
[1:09:45.760 --> 1:09:46.760]  This is all public.
[1:09:46.760 --> 1:09:51.760]  The Pope said earlier this year, he gets nauseous when he hears about Europe's Christian roots.
[1:09:51.760 --> 1:09:55.760]  So the left is allied with radical Islam.
[1:09:55.760 --> 1:09:59.760]  And I should always hear this 10, 15, 20 years ago from David Horowitz and stuff.
[1:09:59.760 --> 1:10:04.760]  And I thought that the left, he'll never support folks that throw gays off buildings and all the rest of this.
[1:10:04.760 --> 1:10:05.760]  And you know what, they don't just support it.
[1:10:05.760 --> 1:10:06.760]  They're running it.
[1:10:06.760 --> 1:10:10.760]  The boats coming in from North Africa are paid for by Soros.
[1:10:10.760 --> 1:10:15.760]  The EU Navy says they're going to block Italy and having its Navy ship people back.
[1:10:15.760 --> 1:10:17.760]  I mean, the EU is now coming in.
[1:10:17.760 --> 1:10:21.760]  So Raheem Kasam is our guest, Breitbart.com.
[1:10:21.760 --> 1:10:30.760]  He can speak to all this, but I was just in Seattle, had people try to run me over with cars, scream and cuss at me,
[1:10:30.760 --> 1:10:38.760]  even when I was with my baby, my three month old daughter, and then run when they say you're a Nazi, then they run off, throw coughing on me.
[1:10:38.760 --> 1:10:39.760]  You name it.
[1:10:39.760 --> 1:10:43.760]  And it was mainly white folks doing it, virtue signaling.
[1:10:43.760 --> 1:10:48.760]  And it really, really concerned me for them because it's a no go zone attitude.
[1:10:48.760 --> 1:10:53.760]  We sent reporters to Brussels, Belgium, to Paris, France, to many other areas.
[1:10:53.760 --> 1:11:03.760]  And I've been in London just videotaping a famous building and folks in classical Muslim garl come over and say, turn your camera off.
[1:11:03.760 --> 1:11:04.760]  You're not videotaping me.
[1:11:04.760 --> 1:11:12.760]  So it's this whole no go zone thing is really getting intense and then my reporter was there where they were taking down Confederate statues last night at UT because he was white.
[1:11:12.760 --> 1:11:14.760]  Whites were saying, you're an effing white male.
[1:11:14.760 --> 1:11:17.760]  Get out of here and quote Channing death to America.
[1:11:17.760 --> 1:11:29.760]  So it seems like it doesn't seem like the left has taken on because there's such an empty group, the spirit of radical Islam, because at least it actually has something in it.
[1:11:29.760 --> 1:11:36.760]  You can say you don't like it, but I think there's been a Vulcan mindmill of the left in Orthodox, Wahhabist Islam.
[1:11:36.760 --> 1:11:43.760]  We'll talk to Raheem Kasan, right Bart.com, the London editor in chief to give us his expert breakdown on this.
[1:11:43.760 --> 1:11:47.760]  And also, I know he's got intel on the exit of Stephen Bannon and more.
[1:11:47.760 --> 1:11:49.760]  So thank you for joining us.
[1:11:49.760 --> 1:11:50.760]  Thank you for having me.
[1:11:50.760 --> 1:11:58.760]  And by the way, I saw that extraordinary footage of you being attacked with that with that coffee or whatever it was.
[1:11:58.760 --> 1:12:04.760]  And I just want to say, on behalf of all slightly pudgy, brunette, bespeckled men, I'm sorry.
[1:12:04.760 --> 1:12:08.760]  Well, it's just, it's just crazy.
[1:12:08.760 --> 1:12:11.760]  At least it wasn't the acid attacks we're seeing daily in London now.
[1:12:11.760 --> 1:12:12.760]  Right.
[1:12:12.760 --> 1:12:13.760]  Yeah, absolutely.
[1:12:13.760 --> 1:12:19.760]  This is of epidemic proportions in London being really used by gangs of younger men.
[1:12:19.760 --> 1:12:24.760]  And they're using it indiscriminately, by the way, they're using it against whites, blacks, Muslims.
[1:12:24.760 --> 1:12:28.760]  This is a real criminal epidemic that we're seeing in London.
[1:12:28.760 --> 1:12:37.760]  And it's happening in the areas in which you have all this sort of diversity and multiculturalism where these things are the most rife.
[1:12:37.760 --> 1:12:39.760]  I was in Tower Hamlets just recently.
[1:12:39.760 --> 1:12:45.760]  I took a New York Times magazine writer with me and I toured him around the neighborhood.
[1:12:45.760 --> 1:12:48.760]  And we had people coming up to us telling us we weren't welcome there.
[1:12:48.760 --> 1:12:53.760]  There was graffiti that we saw that said Taliban are here on the sore fronts in Tower Hamlets.
[1:12:53.760 --> 1:13:00.760]  And I said to this guy who, again, New York Times, I said to him, do you think we oversell this in terms of what Breitbart London reports on?
[1:13:00.760 --> 1:13:04.760]  And he turned to me and he went, actually, I think you undersell it.
[1:13:04.760 --> 1:13:05.760]  Wow.
[1:13:05.760 --> 1:13:11.760]  So break down your expert analysis of the left and radical Islam merging.
[1:13:11.760 --> 1:13:13.760]  Well, we've talked about this now for some years.
[1:13:13.760 --> 1:13:21.760]  We in Europe call it the Red-Green Alliance because red is the color of socialism and communism, the Labour Party.
[1:13:21.760 --> 1:13:25.760]  In Europe, I understand, red over here in the United States is affiliated with the Republican Party.
[1:13:25.760 --> 1:13:28.760]  But we call it the Red-Green Alliance and the green is the color of Islam.
[1:13:28.760 --> 1:13:37.760]  This is where the radical left or even the center left, quite frankly, the political establishment has allied with Islam in order to...
[1:13:37.760 --> 1:13:46.760]  In Andrew Nether's words, Andrew Nether was an advisor to former Prime Minister Tony Blair, in Andrew Nether's own words, rub the right's nose in diversity.
[1:13:46.760 --> 1:13:53.760]  You see it from the politicians, the childless politicians, by the way, all across Europe, the leaders of the nations.
[1:13:53.760 --> 1:14:01.760]  And you see it all across, you know, even pervading the Catholic Church right now, as you mentioned, with the Pope coming out and saying the rights of migrants.
[1:14:01.760 --> 1:14:06.760]  Trump basically, Europe's cultural, you know, its cultural identity.
[1:14:06.760 --> 1:14:16.760]  And you're seeing the Red-Green Alliance here in the United States too, when the Muslim cleric comes out and says that he wants to annihilate all Jews.
[1:14:16.760 --> 1:14:20.760]  And the left runs to his defense and says, oh, well, he clearly didn't mean what you thought he meant.
[1:14:20.760 --> 1:14:22.760]  He's issued a heartfelt apology.
[1:14:22.760 --> 1:14:26.760]  We must all, you know, bow down to this person and say thank you for being on our shores.
[1:14:26.760 --> 1:14:30.760]  I've seen it all across the United States when I did the research for this book.
[1:14:30.760 --> 1:14:39.760]  I saw the welfareist policies, the ghettoization policies from all the way from Brussels and Sweden, all the way to Hamtramck in Michigan.
[1:14:39.760 --> 1:14:41.760]  They want to keep these people poor.
[1:14:41.760 --> 1:14:44.760]  They want to keep them in voting blocks because it benefits the left.
[1:14:44.760 --> 1:14:50.760]  It benefits the left at the ballot box and it benefits their fetish for multiculturalism.
[1:14:50.760 --> 1:14:52.760]  And then I'll bow down.
