[00:00:05.854 --> 00:00:06.654]  Sign up.
[00:23:12.635 --> 00:23:22.338]  And a caller calls and he goes, yeah, I heard David Rockefeller wants to reduce world population and the government dug up a dead whaler to get the old 1918 Spanish flu that killed 40 million people.
[00:23:22.338 --> 00:23:26.059]  He said it's conspiracy theory, isn't real, you couldn't hide something like that.
[00:23:26.059 --> 00:23:27.419]  That's been in the Journal of Science.
[00:23:28.021 --> 00:23:35.545]  London Guardian, ABC News reported two weeks ago, world's rich meet in secret meeting to call for population reduction.
[00:23:35.545 --> 00:23:50.134]  I mean, in fact, Paul Hartman, right now, just Google rich, the exact headline from the Guardian, that was a really in-depth one, was world's richest meet to discuss population reduction.
[00:23:50.134 --> 00:23:54.976]  Oh, I'm sorry, Dr. Dean, I happen to have the actual articles with them saying it themselves.
[00:23:54.976 --> 00:23:56.157]  Oh, but it's a conspiracy theory.
[00:23:57.228 --> 00:23:59.429]  Okay, well, proposed law allows A.G.
[00:23:59.429 --> 00:24:04.271]  Holder to block gun sales to over a million Americans.
[00:24:04.271 --> 00:24:07.492]  And I've been giving this bill number out for months and months.
[00:24:07.492 --> 00:24:13.835]  In fact, the Chief of Staff of the White House introduced this last year when he was still in the Congress, Rahm Emanuel.
[00:24:13.835 --> 00:24:17.756]  And I've given all those bill numbers on there.
[00:24:17.756 --> 00:24:19.917]  And the media is pushing it, saying it's a good thing.
[00:24:19.917 --> 00:24:22.358]  This is guilty until proven innocent.
[00:24:22.358 --> 00:24:26.120]  You have absolutely no rights, no liberties, no freedom.
[00:24:26.846 --> 00:24:28.388]  There's no way to get off the list.
[00:24:28.388 --> 00:24:45.287]  This is like wearing a yellow star in Nazi Germany, where you can't have businesses, can't buy, can't sell, and Homeland Security says, you're on that list, and the criminal list is over four million, under Patriot Act compliance for every car dealership, banks, car rentals, hotels, jobs, everything.
[00:24:45.287 --> 00:24:47.670]  When you have bad credit, you're going to be on the no-fly list.
[00:24:49.019 --> 00:24:49.519]  Anything.
[00:24:49.519 --> 00:24:51.540]  Somebody doesn't like you, you're gonna be on it.
[00:24:51.540 --> 00:24:53.120]  It's a chilling effect.
[00:24:53.120 --> 00:24:57.942]  And the bill is called the No Fly No Buy.
[00:24:57.942 --> 00:25:00.843]  And they had 25,000 people a month to it.
[00:25:00.843 --> 00:25:02.163]  Three or four months ago, it was 1,100,000.
[00:25:02.163 --> 00:25:03.363]  That means it's over.
[00:25:03.363 --> 00:25:03.443]  1,200,000.
[00:25:03.443 --> 00:25:07.625]  Now that's mainstream news, New York Times, but they're saying it's a good idea.
[00:25:12.875 --> 00:25:16.658]  We're gonna have a new class of American where no judge, no jury, just on a list.
[00:25:16.658 --> 00:25:20.720]  And the feds come in and take your farm or ranch and say you can't use it.
[00:25:20.720 --> 00:25:23.522]  If rainwater hits it, that's what the bill says.
[00:25:23.522 --> 00:25:24.403]  Rainwater.
[00:25:24.403 --> 00:25:25.604]  And that's not even me!
[00:25:25.604 --> 00:25:34.229]  I'm listening to the local news people doing, covering that on record during the breaks.
[00:25:34.229 --> 00:25:39.653]  This is really all happening, ladies and gentlemen, and if that isn't enough for you, here's the newest one.
[00:25:42.503 --> 00:25:44.003]  This is the newest report.
[00:25:44.003 --> 00:25:46.624]  This is up on InfoWars.com and PrisonPlanet.com.
[00:25:46.624 --> 00:25:48.064]  We are breaking this.
[00:25:48.064 --> 00:25:53.326]  Just like we broke the Homeland Security report and the MIAC report saying all veterans, all gun owners are the number one threat.
[00:25:53.326 --> 00:25:56.286]  Homeland Security North Com is designed for you.
[00:25:56.286 --> 00:25:59.947]  So that the criminal foreign banks can secure their takeover.
[00:25:59.947 --> 00:26:04.168]  They're here to babysit you with a baton and a machine gun upside the head.
[00:26:04.168 --> 00:26:06.769]  And to make sure this heist takes place properly.
[00:26:06.769 --> 00:26:07.929]  Of course the cops don't know that.
[00:26:10.427 --> 00:26:32.863]  Virginia State Police say anti-New World Order and gun rights activists are terrorists, and I've read this report, this was federally written, just like I told you the state police report in Missouri, the MIAC report was federally written, and that came out later, it was, because I've read the federal reports, but this says gun rights activists are terrorists, and tells the state police, go read it, to go ahead and take in for questioning.
[00:26:32.863 --> 00:26:36.706]  You see somebody with a get us out of the UN sticker, take them to jail.
[00:26:38.391 --> 00:26:43.395]  That's right, because the UN is the receivership body to take this country over.
[00:26:43.395 --> 00:26:47.978]  And cops, when you lose your pension fund and everything you've got, just remember you help the New World Order.
[00:26:47.978 --> 00:26:53.842]  And you pimp judges, and the sell-out congressmen we've got, and the state senators, all of you.
[00:26:53.842 --> 00:26:59.847]  We are being absolutely usurped right now.
[00:26:59.847 --> 00:27:01.748]  Dr. Paul Craig Roberts is coming up.
[00:27:01.748 --> 00:27:05.571]  But again, DOD training manual describes all protests as terrorism.
[00:27:06.252 --> 00:27:12.475]  The actual training manual is up on InfoWars.com and PrisonPlanet.com right now.
[00:27:12.475 --> 00:27:15.137]  And mainstream news is reporting it like it's normal.
[00:27:15.137 --> 00:27:16.978]  No, yes, protesting is now terrorism.
[00:27:16.978 --> 00:27:20.019]  Ladies and gentlemen, this government is completely rogue.
[00:27:20.019 --> 00:27:22.240]  Let's go ahead and start playing Napolitano.
[00:27:22.240 --> 00:27:26.343]  We'll play it when we come back.
[00:27:26.343 --> 00:27:29.024]  Because I want you to understand something.
[00:27:32.358 --> 00:27:36.741]  Monday, Tuesday, Wednesday on the show, I got on the air, and this isn't about me getting credit.
[00:27:36.741 --> 00:27:38.682]  It's about you getting credit.
[00:27:38.682 --> 00:27:44.745]  And it's about showing people there's a chance to fight these monsters off.
[00:27:44.745 --> 00:27:49.548]  Listen to me very, very carefully.
[00:27:49.548 --> 00:27:59.313]  I went on air, and I said, you gotta break this story nationally, that they're secretly hired 20-plus thousand preachers to tell their flocks to turn their guns in to go to FEMA camps and render them to Caesar.
[00:27:59.313 --> 00:27:59.713]  Secretly!
[00:27:59.713 --> 00:28:00.714]  They're not supposed to tell the
[00:28:01.280 --> 00:28:08.703]  The practitioners, or the, uh, the, uh, the, uh, it's not the right word, the, the, uh, the parishioners, not practitioners, the parishioners.
[00:28:08.703 --> 00:28:10.184]  You're not supposed to tell them.
[00:28:10.184 --> 00:28:12.085]  They're on secret government payroll.
[00:28:12.085 --> 00:28:17.667]  This is, the, the, Reuters is reporting the CIA is recruiting your local bankers to spy on you.
[00:28:17.667 --> 00:28:19.428]  That's completely illegal.
[00:28:19.428 --> 00:28:23.430]  They're running CIA ads on radio and TV everywhere.
[00:28:23.430 --> 00:28:25.591]  This is a total takeover of America.
[00:28:26.405 --> 00:28:29.087]  The Pentagon, the CIA, all work for offshore banks.
[00:28:29.087 --> 00:28:29.888]  It's a big joke.
[00:28:29.888 --> 00:28:31.109]  We're being hijacked.
[00:28:31.109 --> 00:28:33.671]  This is a corporate takeover.
[00:28:33.671 --> 00:28:36.173]  But this is what's positive.
[00:28:36.173 --> 00:28:48.663]  I got on the air and ranted and raved and beat my brains out and now finally a few mainstream outlets are reporting that it is a total Federal Reserve dictatorship and now we've got a chance to beat it.
[00:28:48.663 --> 00:28:55.989]  Because you spread the word and you took the articles that Paul Watson and Steve Watson wrote like Obama regulatory reform plan officially establishes
[00:28:56.400 --> 00:28:59.283]  Banking Dictatorship of the United States.
[00:28:59.283 --> 00:29:00.584]  Steve wrote this other article.
[00:29:00.584 --> 00:29:02.606]  Financial Dictatorship Spreads to Europe.
[00:29:02.606 --> 00:29:03.526]  The very same system.
[00:29:03.526 --> 00:29:04.948]  It's the same shareholders.
[00:29:04.948 --> 00:29:06.269]  Same system being set up there.
[00:29:06.269 --> 00:29:12.555]  They're now... You know, Napolitano's told me he listens to the show and so does his producer.
[00:29:12.555 --> 00:29:20.302]  And I'm honored that he basically, word for word, took what I said, did the research himself as a former federal judge, and did a report on Fox News.
[00:29:20.302 --> 00:29:21.763]  But that's coming up when we get back.
[00:29:23.416 --> 00:29:25.883]  But there's a wrinkle to it that will break down as well.
[00:29:25.883 --> 00:29:27.447]  But we've got to beat them.
[00:29:27.447 --> 00:29:31.778]  If we tell the public foreign banks are hijacking, we've got a chance to beat them.
[00:29:31.778 --> 00:29:32.259]  Stay with us.
[00:29:33.647 --> 00:29:39.629]  Did you know many vitamin and mineral supplements on the market are made from rocks and ground up shells?
[00:29:39.629 --> 00:29:40.389]  Think about that.
[00:29:40.389 --> 00:29:43.510]  Would you swallow a handful of shells you found at the beach?
[00:29:43.510 --> 00:29:46.731]  Our body wasn't designed to digest rocks and shells.
[00:29:46.731 --> 00:29:56.514]  Hello, my name is Dr. David Friedman, formulator of Chews for Health, a delicious tasting, chewable dietary supplement derived from 16 fruits, vegetables, and antioxidants.
[00:29:56.974 --> 00:30:02.796]  Unlike hard-to-digest pills, Choose for Health is a convenient chewable which allows for better digestion.
[00:30:02.796 --> 00:30:03.956]  The choice is yours.
[00:30:03.956 --> 00:30:09.578]  Swallow rocks and shells to supplement your diet or a natural chewable product you can better digest.
[00:30:09.578 --> 00:30:14.640]  Choose for Health, the world's first superfruit, sea vegetable, antioxidant chewable.
[00:30:14.640 --> 00:30:17.101]  Whole food nutrition, not rocks and shells.
[00:30:17.621 --> 00:30:21.226]  1-800-210-1922.
[00:30:21.226 --> 00:30:25.713]  Call now and receive a free copy of my best-selling CD, America's Unbalanced Diet.
[00:30:25.713 --> 00:30:25.953]  1-800-210-1922.
[00:30:25.953 --> 00:30:26.894]  Or go to orderchoose.com.
[00:30:34.605 --> 00:30:40.109]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:30:40.109 --> 00:30:40.890]  and the world.
[00:30:40.890 --> 00:30:44.753]  And for the first time in their lives, they are feeling the need for preparedness.
[00:30:44.753 --> 00:30:51.257]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:30:51.257 --> 00:30:53.279]  Ready Reserve is the manufacturer.
[00:30:53.279 --> 00:31:01.225]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[00:31:01.505 --> 00:31:06.207]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:31:06.207 --> 00:31:12.008]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:31:12.008 --> 00:31:14.189]  Many companies do not even offer a catalog.
[00:31:14.189 --> 00:31:16.430]  We will be more than happy to send a catalog to you.
[00:31:16.770 --> 00:31:17.872]  Free of charge.
[00:31:17.872 --> 00:31:18.212]  Dial 1-800-453-2202.
[00:31:18.212 --> 00:31:18.292]  1-800-453-2202.
[00:31:18.292 --> 00:31:19.834]  Or visit our website at ReadyReserveFoods.com.
[00:31:19.834 --> 00:31:21.977]  Factory direct, wholesale pricing from Ready Reserve Foods.
[00:31:21.977 --> 00:31:22.338]  Call us at 1-800-453-2202.
[00:31:33.248 --> 00:31:34.508]  Economy have you down?
[00:31:34.508 --> 00:31:36.209]  Scared you might lose your job?
[00:31:36.209 --> 00:31:38.289]  Worried how you will provide for your family?
[00:31:38.289 --> 00:31:40.410]  Do you worry where your money will come from?
[00:31:40.410 --> 00:31:43.711]  You know that the economy is getting worse, but there is hope.
[00:31:43.711 --> 00:31:48.232]  Robert Beatles' new book, Here's What You Do, tells you what to do and how to do it.
[00:31:48.232 --> 00:31:51.793]  Even a 10-year-old can figure it out after reading this 72-page book.
[00:31:51.793 --> 00:31:52.693]  And the best part?
[00:31:52.693 --> 00:31:54.734]  This book is priced under $10.
[00:31:54.734 --> 00:31:56.634]  Don't be the victim, be a victor!
[00:31:56.634 --> 00:31:58.755]  Go to hereiswhatyoudo.net.
[00:31:58.755 --> 00:32:00.615]  That's hereiswhatyoudo.net.
[00:32:00.615 --> 00:32:01.916]  Again, hereiswhatyoudo.net.
[00:32:02.796 --> 00:32:04.417]  Wondering about your retirement portfolio?
[00:32:04.417 --> 00:32:08.940]  Is your financial advisor experienced enough to combat rising interest rates, taxes, inflation?
[00:32:08.940 --> 00:32:13.063]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:32:13.063 --> 00:32:17.446]  With 45 years of experience and concise investment recommendations, who needs sugar-coated excuses?
[00:32:17.446 --> 00:32:20.028]  Get the cold, hard facts and a proven investment strategy.
[00:32:20.028 --> 00:32:24.070]  For a free introductory copy to The International Forecaster, call 877-479-8178 or go to theinternationalforecaster.com.
[00:32:24.070 --> 00:32:24.390]  That's 877-479-8178.
[00:32:24.390 --> 00:32:24.430]  877-479-8178.
[00:32:33.096 --> 00:32:34.418]  Ah, springtime.
[00:32:34.418 --> 00:32:39.942]  Now that you've planted your organic garden, how will you keep the bugs away without using toxic chemicals and poisons?
[00:32:39.942 --> 00:32:44.567]  Well, the answer is all-natural insecticides from FreshwaterOrganics.com.
[00:32:44.567 --> 00:32:50.292]  These revolutionary insecticides start with the same organic product that we use in FPP to kill parasites.
[00:32:50.532 --> 00:32:59.159]  We then add a small amount of pyrethrin from chrysanthemum flowers and a mild attractant to offer you the most effective insecticide available anywhere.
[00:32:59.159 --> 00:33:02.121]  It can even be applied up to the day of harvest.
[00:33:02.121 --> 00:33:08.607]  Our natural insecticides work in the home, on plants and in your garden, killing pests mechanically, not with poisons.
[00:33:08.607 --> 00:33:12.570]  So pests can't develop an immunity and they won't harm your children or pets.
[00:33:12.990 --> 00:33:18.532]  It's effective against white flies, moths, bedbugs, fleas, roaches, crickets, and more.
[00:33:18.532 --> 00:33:22.793]  And safe enough to use on your pets, ridding them of fleas and other pests.
[00:33:22.793 --> 00:33:25.153]  Order now from FreshwaterOrganics.com or call 888-949-3570.
[00:33:25.153 --> 00:33:25.614]  888-949-3570 today.
[00:33:25.614 --> 00:33:26.814]  You're listening to GCN.
[00:33:26.814 --> 00:33:28.454]  Genesis Communication Radio Network.
[00:33:44.868 --> 00:33:45.469]  Yeah.
[00:33:58.167 --> 00:34:00.308]  All right, ladies and gentlemen, thank you for joining us.
[00:34:00.308 --> 00:34:02.329]  Next hour, we'll have open phones.
[00:34:02.329 --> 00:34:20.238]  We've got Sarah Hudeberg, NewsRadio 590, Kelby Jay Reporter, coming in with some of the clips of state officials and the head of the Cattlemen's Association here in Texas, but it's all over the country talking about the feds to control all rainwater, all puddles, all ponds, come on your property, no warrants, regulations control.
[00:34:20.238 --> 00:34:23.460]  That all ties in to just the total federal takeover.
[00:34:23.460 --> 00:34:26.381]  But first, before we go to Dr. Paul Craig Roberts, introduce him.
[00:34:26.381 --> 00:34:27.622]  I wanted to have him hear this
[00:34:28.154 --> 00:34:36.958]  Now again, we started covering this Monday, Tuesday, Wednesday, then Ron Paul came in and said, yes, the bill does set up a financial dictatorship for the private Federal Reserve.
[00:34:36.958 --> 00:34:47.224]  Now Napolitano, I think in two minutes, really sums it up for people out there that aren't aware of this, because there's hardly any news coverage of the so-called Federal Reserve reform.
[00:34:47.224 --> 00:34:48.924]  I mean, there's lots of coverage of it.
[00:34:48.924 --> 00:34:52.486]  People are talking about it, but they're saying, we have to have it, or we're all dead.
[00:34:52.486 --> 00:34:55.648]  Give the bankers that caused the crisis more power.
[00:34:55.648 --> 00:34:57.889]  And then meanwhile, when you actually look at the bill,
[00:34:58.752 --> 00:35:02.996]  Well, I think Napolitano breaks it down, so here it is.
[00:35:02.996 --> 00:35:12.324]  I'm Judge Andrew Napolitano and the verdict is coming on President Barack Obama's historic plan to overhaul and regulate our financial institutions.
[00:35:12.324 --> 00:35:13.585]  Here's the question.
[00:35:13.585 --> 00:35:20.151]  What is left out of this proposal is, and what we deserve to know is, who will regulate the Federal Reserve?
[00:35:20.151 --> 00:35:26.256]  What will become of clauses in the Constitution that prohibit the very type of regulation the President wants?
[00:35:26.840 --> 00:35:31.162]  And what is now the meaning of the word free in free market?
[00:35:31.162 --> 00:35:33.143]  Here are the facts.
[00:35:33.143 --> 00:35:38.005]  The bias of the drafters of this proposal is that the government knows best.
[00:35:38.005 --> 00:35:48.130]  The Constitution should not be an obstacle to the egalitarian goals of the government and no private behavior is beyond the government's reach of its huge hand.
[00:35:48.130 --> 00:35:56.154]  The essence of the proposal is to give the Federal Reserve the authority to regulate any aspect of any firms that in its discretion
[00:35:56.696 --> 00:36:01.518]  Its sole discretion could adversely affect the economy if they fail.
[00:36:01.518 --> 00:36:07.860]  The Fed would thus be the only unregulated private entity on the planet.
[00:36:07.860 --> 00:36:16.603]  This private, super-secret bank, half of whose board is appointed by the President, is the most secret aspect in all of the government.
[00:36:16.603 --> 00:36:17.544]  Think about it.
[00:36:17.544 --> 00:36:22.246]  The job of the CIA is to steal and to keep secrets.
[00:36:22.246 --> 00:36:25.827]  But we know more about the CIA than we do the Federal Reserve.
[00:36:26.474 --> 00:36:37.419]  The Federal Reserve is a private, completely unregulated bank, into which the Obama administration proposes to repose all regulatory authority.
[00:36:37.419 --> 00:36:45.522]  From the compensation of executives, to the investments companies make, to the location of their franchises, are you ready for this?
[00:36:45.522 --> 00:36:49.644]  To the amount of fat in McDonald's cheeseburgers.
[00:36:49.644 --> 00:36:54.326]  Without appeal, and without stating reasons for the regulations.
[00:36:54.326 --> 00:36:55.727]  All grouped investments,
[00:36:56.408 --> 00:37:05.350]  Even if the investors own the group, like hedge funds, like you and your neighbors getting together to buy a house, will be subject to the Fed's new rules.
[00:37:05.350 --> 00:37:08.831]  All state-chartered banks will now be subject to the Fed.
[00:37:08.831 --> 00:37:17.773]  All businesses, whether financial in nature or not, that are owned by any financial institutions, shall be subject to the Fed.
[00:37:17.773 --> 00:37:23.734]  Even mom-and-pop shops and stores, if in the Fed's opinion could fail.
[00:37:24.352 --> 00:37:31.054]  And thus produce systemic harm to the economy shall be subject to the rule of the Fed.
[00:37:31.054 --> 00:37:32.274]  Alright, and it goes on from there.
[00:37:32.274 --> 00:37:34.694]  It's up on InfoWars.com and PrisonPlanet.com.
[00:37:34.694 --> 00:37:40.196]  Now I would add, I go on this show with Napolitano a few times and he comes on mine.
[00:37:40.196 --> 00:37:41.276]  It's an internet show.
[00:37:41.276 --> 00:37:42.736]  People keep thinking I'm on Fox.
[00:37:42.736 --> 00:37:44.757]  No, they're not putting me on Fox.
[00:37:44.757 --> 00:37:46.597]  They know everybody already knows on the internet.
[00:37:46.597 --> 00:37:50.958]  So they'll have this on the internet program that people think watching it
[00:37:51.824 --> 00:37:53.565]  Is on Fox TV, it's not.
[00:37:53.565 --> 00:37:57.267]  Why isn't this on Fox Television when Napolitano's on there?
[00:37:57.267 --> 00:38:01.009]  See, that's why we're pushing to make sure people at least know what's happening.
[00:38:01.009 --> 00:38:03.631]  Dr. Paul Craig Roberts is a best-selling author.
[00:38:03.631 --> 00:38:10.855]  His latest book in its newest edition is The Tyranny of Good Intentions, getting into the whole police state control grid and the courts.
[00:38:10.855 --> 00:38:18.339]  And he, of course, is a former Wall Street Journal editor, the head of policy, number two, the father of Reaganomics under Ronald Reagan.
[00:38:18.683 --> 00:38:21.944]  And so he can speak briefly to what's happening with the economy.
[00:38:21.944 --> 00:38:23.864]  Then I want to get into why he's really here.
[00:38:23.864 --> 00:38:29.486]  Iran, he's written some of the most in-depth, insightful articles we've seen about what's really happening there.
[00:38:29.486 --> 00:38:32.087]  Dr. Paul Craig Roberts, always great to have you with us.
[00:38:32.087 --> 00:38:33.387]  Thank you, Alex.
[00:38:33.387 --> 00:38:34.727]  Okay, you just heard Napolitano.
[00:38:34.727 --> 00:38:36.228]  I'm sure you're aware of this overhaul.
[00:38:36.228 --> 00:38:38.008]  What's your take on that?
[00:38:38.008 --> 00:38:43.250]  Well, the Federal Reserve has been such a total failure with less powers.
[00:38:43.250 --> 00:38:44.450]  Why would they want to give it more?
[00:38:45.208 --> 00:38:52.634]  You know, it was supposed to be the lend of last resort and prevent a contraction of the banking system.
[00:38:52.634 --> 00:38:53.175]  It failed.
[00:38:53.175 --> 00:38:55.657]  We had the Great Depression.
[00:38:55.657 --> 00:39:00.621]  It's supposed to have a stable, maintain a stable currency.
[00:39:00.621 --> 00:39:01.121]  It's failed.
[00:39:01.121 --> 00:39:06.345]  We've had amazing inflation in the post-World War II period.
[00:39:06.345 --> 00:39:11.049]  And it had completely failed in its regulatory obligations.
[00:39:12.651 --> 00:39:23.241]  So why give it more regulatory power, especially the kinds of powers that we just heard the judge describe, which have nothing to do with the original Fed charter?
[00:39:23.241 --> 00:39:29.988]  So I simply have to assume that something's afoot again.
[00:39:29.988 --> 00:39:35.133]  They're pulling another fast one on us, and they have some other agenda.
[00:39:36.744 --> 00:39:49.260]  Well, I agree with you, and imagine if the FBI, or the courts, or the Congress, or the President said, and I've read the bill, it's actually worse than Napolitano said, it said anything that affects a financial structure we can take over, it's even worse!
[00:39:49.260 --> 00:39:51.062]  It's everything!
[00:39:51.062 --> 00:39:54.606]  And then we've got this water bill that's about to pass the Senate, S-787,
[00:39:56.998 --> 00:40:05.545]  And this thing allows the feds to own quote all water supplies including wells, rainwater, ponds, aquifers.
[00:40:05.545 --> 00:40:10.009]  I mean my god this is getting, I can't even believe this Dr. Roberts.
[00:40:10.009 --> 00:40:18.536]  Yeah well it is an amazing grab of power and why they're doing that is not clear either.
[00:40:18.536 --> 00:40:21.979]  I do know some years back when they were persecuting
[00:40:23.177 --> 00:40:31.039]  People for building on lots for which they had state permits, and the feds would come in and say, no, there's a wetland.
[00:40:31.039 --> 00:40:38.381]  And they were using this bill that had the term in it, the navigable waters of the United States.
[00:40:38.381 --> 00:40:47.584]  Well, of course, puddles aren't navigable waters, neither are little streams, neither are ranchers and farmers clearing out their drainage ditches.
[00:40:47.584 --> 00:40:50.545]  But they use that to regulate all of this, and finally,
[00:40:51.425 --> 00:41:07.116]  The point was made, this was a huge overreach, and the Clinton administration said, well, we won't punish the government for abusing its power, we'll just amend the law to reflect what they're doing.
[00:41:07.116 --> 00:41:17.524]  And so, it could be that that was the origin of this notion to give the federal government a claim over mud puddles and rainwater, so that
[00:41:19.409 --> 00:41:27.836]  They were to just sort of make legal what they were already doing under the navigable water interpretation.
[00:41:27.836 --> 00:41:42.189]  But why they would want all this power, or what they would do with it, I just, I mean, we're starting to get into the realm of, you know, police state science fiction.
[00:41:43.923 --> 00:41:44.583]  Absolutely.
[00:41:44.583 --> 00:41:53.846]  Well, when Mr. Police State Science Fiction Alex Jones is starting to think I'm in the Twilight Zone, we must be in trouble, because I mean, I can't believe how fast this is moving.
[00:41:53.846 --> 00:42:07.351]  Shifting gears into the main reason we have you here, again, you're a real conservative, you know, who Ronald Reagan credited as being the father of Reaganomics, biggest boom we've had in, you know, really the last 50, 60 years, versus the fake conservatism of George Bush.
[00:42:07.351 --> 00:42:08.311]  You criticized him.
[00:42:08.311 --> 00:42:10.072]  Then Obama came in.
[00:42:10.646 --> 00:42:17.790]  And you were hopeful, but you've since, for those that haven't read your writing, said it looks like he may be even worse if that's possible.
[00:42:18.539 --> 00:42:23.440]  And then, everything Obama says, he says, no lobbyist, all he hires is lobbyists.
[00:42:23.440 --> 00:42:26.120]  He says, I'm going to end the wars, he expands the wars.
[00:42:26.120 --> 00:42:31.061]  He says, I'm going to end the indefinite detention and torture, he expands it.
[00:42:31.061 --> 00:42:36.122]  And so when I saw him say he wants to be friends with Iran, I said, look out, covert operations.
[00:42:36.122 --> 00:42:42.884]  Bush's White House, I'm just filling folks in, admits they had covert operations going on to destabilize Iran.
[00:42:42.884 --> 00:42:44.144]  Obama has admitted that.
[00:42:45.335 --> 00:42:48.396]  Clearly, they're in there trying to foment things.
[00:42:48.396 --> 00:43:06.582]  I don't know who won the election either way, but certainly, I agree with the articles you've been writing for your syndicated column, that regardless, our media is using this as a way to get the American people behind attacking Iran.
[00:43:06.582 --> 00:43:08.683]  So, can you break down the facts?
[00:43:08.683 --> 00:43:12.244]  Plus, what you predicted days ago has now come out and we come back.
[00:43:12.244 --> 00:43:14.505]  We've got to break, Doctor.
[00:43:15.040 --> 00:43:15.320]  Okay.
[00:43:33.908 --> 00:43:39.231]  You've probably heard about the incredible, powerful, and natural antioxidants found in red wine.
[00:43:39.231 --> 00:43:43.713]  Unfortunately, not everyone is able to drink a glass of wine each day.
[00:43:43.713 --> 00:43:48.135]  Now, you don't have to drink even a single drop, thanks to NuRev.
[00:43:48.135 --> 00:43:54.058]  NuRev is America's number one anti-aging supplement, thanks to its active ingredient resveratrol.
[00:43:54.338 --> 00:44:06.355]  Resveratrol is the main nutrient found in red wine and has been proven to help slow down the aging process, help you lose weight, override an unhealthy lifestyle, boost your energy level, and so much more.
[00:44:06.355 --> 00:44:11.242]  New Rev has been the subject of some of the most exciting anti-aging research in decades.
[00:44:11.522 --> 00:44:11.822]  I think so.
[00:44:33.263 --> 00:44:39.508]  How would you like to cook any meal using no electricity or gas and cook your meals off the grid?
[00:44:39.508 --> 00:44:42.110]  Well, now you can, thanks to the Survival Oven.
[00:44:42.110 --> 00:44:49.896]  The Survival Oven is the most amazing off-grid solar oven that can cook anything that a conventional oven can without the energy bills.
[00:44:49.896 --> 00:44:59.863]  By condensing sunlight, the Survival Oven can produce temps up to 350 degrees, cook delicious and nutritious meals, sterilize water, dehydrate food, and so much more.
[00:44:59.863 --> 00:45:01.985]  All at zero operating costs.
[00:45:02.225 --> 00:45:10.371]  The survival oven can be used year-round even in the coldest sub-zero temperatures and is a must for emergency preparedness and even everyday use.
[00:45:10.371 --> 00:45:14.374]  Visit survivaloven.com to get your very own survival oven.
[00:45:14.374 --> 00:45:20.039]  Order the survival oven now and we'll get you started with two cooking pots and a recipe booklet absolutely free.
[00:45:20.439 --> 00:45:24.865]  At less than 10 pounds, you can take Survival Solar Oven with you anywhere.
[00:45:24.865 --> 00:45:26.166]  Call 877-642-1553 or go to survivaloven.com.
[00:45:26.166 --> 00:45:27.328]  That's survivaloven.com.
[00:45:33.905 --> 00:45:36.586]  Are you concerned for the safety of your loved ones?
[00:45:36.586 --> 00:45:40.207]  Listen closely to this message from Pepperspray.com.
[00:45:40.207 --> 00:45:43.348]  Every 22 seconds a violent crime is committed.
[00:45:43.348 --> 00:45:47.769]  America has changed and your personal safety is your first priority.
[00:45:47.769 --> 00:45:48.589]  Be smart.
[00:45:48.589 --> 00:45:49.549]  Be safe.
[00:45:49.549 --> 00:45:52.170]  Trust Pepperspray instead of your luck.
[00:45:52.170 --> 00:45:58.392]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[00:45:58.732 --> 00:46:04.718]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:46:04.718 --> 00:46:07.421]  From big to small, we have it all.
[00:46:07.421 --> 00:46:11.445]  Pepper spray, mace, animal repellents, stun guns, and tasers.
[00:46:11.445 --> 00:46:18.172]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[00:46:18.172 --> 00:46:19.934]  Enter SAFE in the coupon box.
[00:46:20.134 --> 00:46:23.055]  And you'll receive a special discount off of your order.
[00:46:23.055 --> 00:46:24.696]  So what are you waiting for?
[00:46:24.696 --> 00:46:26.676]  Go to Pepperspray.com.
[00:46:26.676 --> 00:46:28.797]  That's Pepperspray.com.
[00:46:28.797 --> 00:46:33.479]  Or call 1-800-908-9988 today.
[00:46:33.479 --> 00:46:41.842]  Of the 3 million plus edible food plants that grow on Earth, no other single plant can compare with the nutritional value of the powder, seeds, and oil of the hemp plant.
[00:46:42.182 --> 00:46:48.184]  At HempUSA.org, we ship worldwide these nutritional products with free shipping to the US and Canada.
[00:46:48.184 --> 00:46:55.285]  At HempUSA.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[00:46:55.285 --> 00:46:58.666]  Our powder is 50% protein and does not contain gluten.
[00:46:58.666 --> 00:47:00.907]  Gluten impairs the cells from absorbing nutrients.
[00:47:01.127 --> 00:47:07.715]  This nutrient-dense food can be stored up to five years when vacuum packed and is priced affordably to be used as a storable food.
