[00:00.000 --> 00:05.000]  You're listening to GCN, the world leader in independent talk radio.
[29:28.000 --> 29:35.000]  Because let me tell you something, it's the time for sitting around with people you know are already awake and talking about this is over.
[29:36.000 --> 29:40.000]  It's time to hit the bricks. It's time to get on the street. It's time to get on the air.
[29:40.000 --> 29:50.000]  And I don't, even if you reach 100 people a week on YouTube, it'll grow into tens of thousands. Even if you get a local radio show, Access TV, use a venue. Get out there.
[29:51.000 --> 29:56.000]  You are the resistance. You are the hope. You are the leaders. You're the soldiers we need.
[29:57.000 --> 30:06.000]  We're on the march. The empire's on the run. Alex Jones and the GCN Radio Network.
[30:06.000 --> 30:17.000]  Introducing Pro One. All of your filtration in one system, portable, on the go. No more do you have two or three filters to just reduce sodium fluoride.
[30:18.000 --> 30:23.000]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosolic acid.
[30:24.000 --> 30:34.000]  Advanced manufacturing technology combines silver impregnated white ceramic with new aqua medics advanced media for removal of fluoride and other heavy metals all in one filter element.
[30:34.000 --> 30:41.000]  It is the only one that does it. And out of the gates, we have it discounted at 10% off with promo code WATER.
[30:42.000 --> 30:58.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosolic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[30:58.000 --> 31:06.000]  Get your Pro Pure with the new Pro One filter today at Infowarsstore.com or by calling 888-253-3139.
[31:06.000 --> 31:30.000]  Calbend Soap Company can save you thousands of dollars and give you good old fashioned real soap that is triple concentrated and made from the highest quality vegetable and coconut oils. See them on the web at www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American made products.
[31:30.000 --> 31:40.000]  Order the sampler, a one to two month supply, or get a one to two year supply of soaps for all your cleaning needs. You're getting soap products twice as good as what you're using now.
[31:41.000 --> 31:52.000]  This is an amazing deal and you will love the way real soap makes your skin feel. Call 1-800-340-7091 or visit www.5starsoap.com.
[31:52.000 --> 32:06.000]  Alex and his staff have used these earth friendly pure soaps for years. See them on the web at www.5starsoap.com or call 1-800-340-7091 for a catalog.
[32:06.000 --> 32:32.000]  A little over a year ago, I began to do a lot of research into why, even if I had a pretty good sized meal, that I was still starving. And my research led me to a well known fact that most of the soils that we grow our crops on here in the United States and across the industrialized world are almost completely depleted of almost all of the key minerals and trace elements that our bodies need to rebuild themselves, fight off cancer, and be healthy.
[32:32.000 --> 32:46.000]  I then searched out the best vitamin and mineral company out there and discovered Younggevity. The Younggevity products are designed to give you the real nutrition you need and once you've got that, you don't have to eat as much to be satisfied.
[32:46.000 --> 33:07.000]  I've lost 37 pounds in two months simply getting the vitamins and minerals I need. Check it out for yourself, it's incredible. Go to InfowarsTeam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement. That's InfowarsTeam.com.
[33:07.000 --> 33:25.000]  From the front lines of the information war, it's Alex Jones.
[33:25.000 --> 33:36.000]  Monday through Friday from 11 a.m. until 2 p.m. Central Standard Time, we're here live. Back weeknight, 7 o'clock Central.
[33:37.000 --> 33:41.000]  By the way, if you're not a PrisonPlanet.tv member, you're not fighting the prison planet.
[33:42.000 --> 33:48.000]  Everything I do, everything I try to do is about getting people off their butts in action in the fight for liberty worldwide.
[33:48.000 --> 33:59.000]  It's an intellectual, cultural, ongoing, ancient battle. All of our ancestors, no matter where you come from in the world, were involved either on the side of tyranny or the side of liberty.
[34:00.000 --> 34:09.000]  And I'm asking you to be involved in the side of liberty right now against these control freaks and a PrisonPlanet.tv membership is $5.95 a month.
[34:09.000 --> 34:18.000]  That pays for the bandwidth and the cameras, the crew and things, or at least it pays for part of it. And then our mission is to get more people to tune in and wake up.
[34:19.000 --> 34:26.000]  You can have 11 people watch simultaneously, any time of day, with one PrisonPlanet.tv membership.
[34:26.000 --> 34:38.000]  12 different people technically can tune in because I actually had them turn it up to 12. I haven't announced that yet. I just announced it right then.
[34:39.000 --> 34:48.000]  But what's happening is most people don't use it all the time, so you can have 30 or 40 people using it.
[34:49.000 --> 34:54.000]  And then if you try to go log in and you're locked out, that's good news. It means you shared your username and passcode.
[34:54.000 --> 35:02.000]  The unique code you create for PrisonPlanet.tv that you can share, and that means people have now gone and used it so much that you're not able to log in.
[35:03.000 --> 35:11.000]  Then the answer is go get another $5.95 membership and share that with others. We call it Operation Awaken the Sleeping Giant.
[35:12.000 --> 35:17.000]  So if you're not a PrisonPlanet.tv member, the site just gets better and better. It's been up for over 10 years now.
[35:17.000 --> 35:24.000]  And it's got material and info we've put out going back more than 17 years on it. My book, Paul Watson's book, both out of print.
[35:25.000 --> 35:32.000]  All of my films, a bunch of other films, a lot of the stuff up there is in high def, especially the stuff we've been posting the last few years.
[35:33.000 --> 35:39.000]  The live video streams of the daytime show, the subscription nighttime show, all of it. Become a PrisonPlanet.tv member today.
[35:39.000 --> 35:46.000]  And also know that you're funding us getting more reporters, more researchers, more journalists, more editors, more graphics people.
[35:47.000 --> 35:50.000]  Because I understand this is the fight of our lives. I'm all in.
[35:51.000 --> 36:00.000]  And how could you not be all in when you realize that our once free country and world is being converted to a high-tech police state?
[36:00.000 --> 36:09.000]  It's horrible. And with that, all the prosperity is going out the window. So I want to ask everybody, become a PrisonPlanet.tv member today.
[36:10.000 --> 36:16.000]  What have you been waiting for? And if you are a PrisonPlanet.tv member, you can also go to InfoWarsNews.com, take it to the same URL.
[36:17.000 --> 36:21.000]  If you are a member and you haven't shared your username and passcode, again, make sure it's a unique one just to the site.
[36:22.000 --> 36:27.000]  You can change it. If it's not, you can do that on the site and then share it with friends and family in an e-card.
[36:27.000 --> 36:33.000]  Say, here is the username and passcode to your free membership that I'm giving you to PrisonPlanet.tv.
[36:34.000 --> 36:39.000]  Watch the Obama deception in high death. Watch Endgame, Fall of the Republic. Watch our chemtrail documentaries.
[36:40.000 --> 36:47.000]  Watch Blueprint for Global Enslavement. Watch the nightly news, PrisonPlanet.tv.
[36:48.000 --> 36:55.000]  People are very, very hungry. Strategic relocation in high death with expanded extras on PrisonPlanet.tv with Joel Skousen.
[36:55.000 --> 37:03.000]  It's all there on the site, PrisonPlanet.tv. Use it. Share it. Today. I want to thank those of you that have been.
[37:04.000 --> 37:11.000]  Now, here's the toll-free number to join us. It's 800-259-9231.
[37:12.000 --> 37:18.000]  Again, I want to give first-time callers a chance to get involved on air today. 800-259-9231.
[37:18.000 --> 37:28.000]  Now, let me run over the latest on the changing stories, the lies, and the good news that because of grassroots pressure,
[37:29.000 --> 37:36.000]  Boehner, who's been an insider and always whitewashing things, is being forced to talk about people need to be arrested, people need to go to jail.
[37:37.000 --> 37:42.000]  The problem is then those people will squeal like Fast and Furious when they're facing jail time and say,
[37:42.000 --> 37:47.000]  I was ordered to by the Attorney General and by the head of Homeland Security, Mr. Napolitano.
[37:48.000 --> 37:54.000]  Well, of course you were. Of course you were. Of course you were ordered to.
[37:55.000 --> 38:05.000]  And this is their Waterloo. This is their Watergate. To continue the water analogies here, we have to continue to hammer this.
[38:06.000 --> 38:08.000]  Let's go over some of these headlines here.
[38:08.000 --> 38:20.000]  Justice Department defends seizure of phone records. So they're now defending that while saying they didn't know it was going on that underlings did it.
[38:21.000 --> 38:28.000]  But they're now changing that story. That's the New York Times. Holder isn't sure how often reporters' records are seized.
[38:29.000 --> 38:36.000]  Just amazing, ladies and gentlemen. And again, they're already spying illegally on everything. We've confirmed that.
[38:36.000 --> 38:40.000]  Just from our whistleblowers with them finding out who they are almost instantly.
[38:41.000 --> 38:53.000]  I mean, you literally have to meet people in parking lots. Or folks mail us stuff from mailboxes with fake return addresses and then we call the phone numbers on it and confirm their real documents.
[38:54.000 --> 38:58.000]  That's really the way the old-fashioned Manila envelope lay.
[38:58.000 --> 39:08.000]  Continuing, Eric Holder points finger at deputy who secretly obtained journalists' phone records as Obama is forced to say he has confidence in the Attorney General.
[39:09.000 --> 39:16.000]  So we're going to have the Attorney General of Fast and Furious and the Oklahoma City cover-up that came out in court.
[39:17.000 --> 39:21.000]  He ran that cover-up of what really went on there. These are very nice people, folks.
[39:21.000 --> 39:33.000]  And now they know nothing. But they're defending it. Continuing here with the news on the media being harassed front.
[39:34.000 --> 39:41.000]  Holder defaced Capitol Hill grilling today. We're going to follow that. That's out of the Hill newspaper. They report on that front.
[39:41.000 --> 39:50.000]  Also, there's another headline here that White House on AP probe, Obama firm believer in press freedom.
[39:51.000 --> 39:56.000]  Well, thank goodness Kim Jong-un is a firm believer. I mean, Obama. Everything's fine now.
[39:57.000 --> 40:08.000]  Newsmax reporting. Again, what I just mentioned, the Justice Department to investigate not only the harassment of whistleblowers and the going after phone records of sources.
[40:08.000 --> 40:18.000]  Reporting on criminal activities by this government. A crime syndicate trying to protect itself. Now, Justice to investigate IRS targeting of the Tea Party.
[40:19.000 --> 40:28.000]  And again, there's a Hill article out going Obama needs his own drudge to be able to counter everybody getting on the bandwagon to attack him.
[40:29.000 --> 40:34.000]  It's because the media are a bunch of cowards. Just like the Boston bombing, our reporter goes and says,
[40:34.000 --> 40:41.000]  Who are these other guys? You admit you had a drill. You don't want to talk about it. Why was there a stand down? Here are photos of the other people.
[40:42.000 --> 40:49.000]  And the FBI guy was literally completely scared and goes, Do not listen to him. Do not talk to him. Do not look at his photos.
[40:50.000 --> 40:57.000]  And none of the press covered it or looked at the photos. Instead, they demonized us and said, How dare they ask?
[40:57.000 --> 41:11.000]  How dare info wars ask about a drill? Yeah, I mean, it looks like you got about 50 security people in black backpacks and black shirts and tan pants and boots.
[41:12.000 --> 41:19.000]  Staring right where the bomb goes off, disappearing minutes before it goes off, and then running around with radiation detectors and stuff.
[41:19.000 --> 41:31.000]  Let's just not even discuss that. And let's not discuss all these other suspects. And let's not discuss Saudi Arabians on no no fly list and stuff being visited by the first lady and visiting the White House eight times or whatever.
[41:32.000 --> 41:38.000]  Let's just not discuss that, because it's a conspiracy theory that they're spying on the media now confirmed. It's a conspiracy theory.
[41:39.000 --> 41:45.000]  They bought two billion bullets now confirmed. Now it's a conspiracy that I don't like that they bought that and that I'm suspicious of it.
[41:45.000 --> 41:49.000]  First, it wasn't happening. Now, now it's I'm bad because I was right.
[41:50.000 --> 41:57.000]  Here it is. Justice to investigate IRS targeting of Tea Party. Isn't that just special?
[41:58.000 --> 42:08.000]  So they'll get to the bottom of it. Don't you worry your little your little boots about that. The very people doing this will investigate it.
[42:08.000 --> 42:16.000]  They call that Fox guarding the henhouse in my day. But nowadays, that's a conspiracy theory. If you can two plus two equals four is a conspiracy theory.
[42:17.000 --> 42:28.000]  Knowing how to tie your shoelaces is a conspiracy theory. When, whether it's the US or England, we have videos out today when you say you don't have a right to stop me randomly and ask me questions.
[42:29.000 --> 42:35.000]  I'm walking down the sidewalk by a park. Is this part of an ongoing investigation? No, it's not. Then no, you don't have a right.
[42:35.000 --> 42:41.000]  And they go, oh, why are you a conspiracy theorist? That's what TSA does now when they want to take you over and grope you.
[42:42.000 --> 42:48.000]  And you're like, you know, the government got the underwear bomber on the plane. This doesn't protect us from terrorism. This violates my Fourth Amendment.
[42:49.000 --> 42:56.000]  They're on record on video after video we posted with other citizens and journalists going, that's enough of your conspiracy theories.
[42:56.000 --> 43:05.000]  And I've talked about this, having free will, having an opinion, having a view is a conspiracy theory.
[43:06.000 --> 43:15.000]  Sitting down, shutting up, taking all your vaccines, getting Parkinson's disease early, getting cancer early, eating your GMO, dying like the rats on record.
[43:15.000 --> 43:29.000]  That's a good citizen. And, you know, I see these videos of these cops all over the country, but also in Europe, when they come over and get in journalist's faces for no reason, they have this crazed enjoyment.
[43:30.000 --> 43:39.000]  And they're always like caressing their uniform and caressing, just enjoying it. I'm in an outfit. I'm in a suit. I'm in a costume.
[43:39.000 --> 43:48.000]  And I was watching video of these British cops and it's an attractive female cop. And you could tell a woman's jacked up, really excited.
[43:49.000 --> 43:57.000]  And she's just getting off on the power over this guy and just rubbing on the seat belt and rubbing on her uniform.
[43:58.000 --> 44:06.000]  And I mean, it's just like she's all excited. It's all about how she's got power. I mean, these are not people that need power, ladies and gentlemen.
[44:06.000 --> 44:14.000]  I mean, who wants to act like this? Idiots, that's who. People that would never have had real power in the world.
[44:15.000 --> 44:29.000]  Real power because they had power. In ancient times, if you could fight, you could hunt, you could plant crops better, you could tell the weather better, you could strategize how to defend the tribe better, you went to the top, it made humans stronger.
[44:29.000 --> 44:37.000]  Now, if you get in line and enjoy getting your power out of a corrupt system, not out of who you are, you go to the top.
[44:38.000 --> 44:45.000]  And that's why society is turning to North Korea. And pretty soon you can't even plant crops, you can't make automobiles, your cities don't have electricity anymore.
[44:45.000 --> 45:04.000]  But the upper class are all on uniforms with that same look in their eye of enjoyment and that same, I've been to Mexico, I've seen videos and footage out of North Korea, you've all seen it, and I see the same look in our cops now more and more of just the satisfaction.
[45:04.000 --> 45:22.000]  It's the same satisfaction when my daughters were three or four and would dress up like princesses and run around enjoying themselves with plastic rings on, you know, costume jewelry, having fun when their friends would come over, and it's cute when a three-year-old girl is on a power trip imagining they're a queen.
[45:22.000 --> 45:34.000]  It is not good when you're a 35-year-old cop acting like that. It is good when you're a three-year-old boy playing cops and robbers out in the yard to imagine you're a superhero.
[45:35.000 --> 45:39.000]  You've got to imagine you're going to be a powerful male and a warrior before you actually become one.
[45:39.000 --> 46:05.000]  But being a warrior who battles the journalist isn't a warrior. It's called being a North Korean thug. And look, I salute the police that do a good job out there in some of the crime-ridden areas, but more and more, once crime takes over, the police just become criminal because there's corrupt cops above them on the take, and then you collapse like Detroit or Chicago.
[46:05.000 --> 46:18.000]  I mean, these are now third-world areas with a lot of great people in them. I'm not bashing your cities, but they're all now fleeing here and then now trying to put me under their way of life.
[46:19.000 --> 46:31.000]  And I'm sorry. My ancestors went to war with people that tried to make them slaves. And come hell or high water, didn't back down. And that's just where I come from. That's who I am.
[46:31.000 --> 46:40.000]  I have an instinct to not be a slave. I have an instinct to want to be free. I have an instinct to disdain thugs.
[46:41.000 --> 46:52.000]  Gangs wear their uniforms. Motorcycle gangs wear their uniforms. Cops wear their uniforms. This is all ancient crud. And I'm done with it.
[46:52.000 --> 47:03.000]  And listen, do all of you think you're on a winning team, caressing your uniforms, getting off on fetishizing it? Let me tell you folks, you're dead already. You've all been injected with cancer viruses.
[47:04.000 --> 47:13.000]  You're all drinking sodium fluoride. You're eating GMO. You're going to watch your kids die young. See, because it's going to kill you 20, 30 years young. It's going to kill your kids.
[47:13.000 --> 47:24.000]  A lot of you cops are like 50 right now. Your 25-year-old son's dying right now. Your daughter, your 20-year-old daughter, your 18-year-old daughter, your 10-year-old son's dying right now and you're crying right now.
[47:25.000 --> 47:37.000]  You know, the neighbors die of cancer too. You're going, my God, it's true. They're killing us. That's right, buddy. Why don't you come in and join the team and really wake up to the whole system instead of caressing your uniform all day?
[47:37.000 --> 47:50.000]  There's no amount of tickets you're going to write. They're going to keep the country from going bankrupt. There's nothing you can do, okay? The only thing you can do is realize we're all under scientific attack and really get with the program and let's figure out how to fix this.
[47:51.000 --> 48:00.000]  The media is starting to get with the program and realizing, why are we letting Obama persecute journalists? Why are we letting Obama run Al-Qaeda? Why are we letting them spy on everybody?
[48:00.000 --> 48:12.000]  Why are they harassing college groups that promote the Constitution? That's in the manual. Those that promote the Constitution, see, those that promote the Constitution are Americans and the good guys.
[48:13.000 --> 48:19.000]  And those that say the Constitution is bad and is terrorist, they're obviously the bad guys.
[48:19.000 --> 48:36.000]  800-25-99231, we're going to go to your phone calls here in just a moment, but here it is. Justice Department to investigate IRS targeting of the G party. Well, I feel safe now. I feel safe.
[48:36.000 --> 48:53.000]  Progressive group, IRS gave us conservative groups confidential docs. And that's Newsmax, Breitbart, Rasmussen reports 57% want IRS offenders jailed or fired.
[48:53.000 --> 49:05.000]  Oh, but they're not talking, are they? Because they were ordered to do that. I mean, give me a break. The president's the one that orders that. Boehner on IRS, who's going to jail over the scandal? Washington Times.
[49:06.000 --> 49:16.000]  House Speaker John A. Boehner said today that it will take more than firings to clear up the IRS scandal. It'll take someone ending up serving jail time. Okay, I never praised Boehner.
[49:16.000 --> 49:26.000]  I'm going to praise him right now. That's that's what we need right there. Jail, long jail terms, long jail terms.
[49:27.000 --> 49:31.000]  Get rid of the IRS. It's a collection agency for the private Federal Reserve. The big bankers are all exempt from it.
[49:32.000 --> 49:42.000]  All you people that hate wealth and think you're winning team against people that produce by joining the Democratic Party and the socialists and the collectivists, the mega banks that fund you are tax exempt.
[49:42.000 --> 49:47.000]  They're offshore. They want to get rid of the middle class as a tool of economic domination.
[49:48.000 --> 49:56.000]  Because once you break the middle class forever, you now have an enslaved North Korean or Mexican population like in Mexico.
[49:57.000 --> 50:05.000]  The IRS wants you to share everything. I already mentioned this Politico article, but here they are going, well, what is the big deal? They want your reading list.
[50:05.000 --> 50:13.000]  I mean, of course, the government comes and says without a warrant, you will tell us your reading list or we're going to take all the money out of your bank account.
[50:14.000 --> 50:20.000]  It's like when I get the business census and the public sends me emails going, I don't get a business census. That's not real.
[50:21.000 --> 50:26.000]  Well, you must not run a business, dumb dumb. The community surveys and the business surveys are now yearly.
[50:26.000 --> 50:35.000]  And it asked me stocks, bonds, everything I do, total violation of Fourth and Fifth Amendment. And it says penalty of perjury.
[50:36.000 --> 50:42.000]  So if I make a mistake, by the way, then I'm going to jail for that. You know what? I'm not answering your questions. FBI shows up here.
[50:43.000 --> 50:46.000]  They put Martha Stewart in jail. They said for lying to them when she didn't.
[50:47.000 --> 50:52.000]  She didn't insider trade. They just burned her because you know her name. Try to scare people.
[50:52.000 --> 50:57.000]  They sent her to jail for not knowing every bit of stock she had in a questionnaire.
[50:58.000 --> 51:03.000]  Well, I'm not answering any of your questions, you crooks, you narcotics trafficking, child kidnapping.
[51:04.000 --> 51:07.000]  Yeah, that's who fences the little kids, most of them for snuff films, the government.
[51:08.000 --> 51:15.000]  With health threats on the rise, such as West Nile virus, MRSA, CRE, and now the new bird flu recently discovered in China,
[51:15.000 --> 51:24.000]  there has never been a more crucial time to support your immune system. Supernatural Silver is a revolutionary new silver solution
[51:25.000 --> 51:33.000]  that is clinically shown to be several hundred times more effective than colloidal or ionic silver and is powerful enough to help protect you and your family.
[51:34.000 --> 51:41.000]  Supernatural Silver is scientifically supported, highly effective, and perfect for everyday use inside the body as well as out.
[51:41.000 --> 51:49.000]  The Science Digest Journal says silver is our mightiest germ fighter. It is virtually non-toxic and is emerging as a wonder of modern medicine.
[51:50.000 --> 51:56.000]  Supernatural Silver is the number one choice of thousands for improved health and immune system support.
[51:56.000 --> 52:11.000]  To find out how Supernatural Silver can change your life, go to SupernaturalSilver.com and use the promo code SPRING2013 for 20% off and like us on Facebook.
[52:12.000 --> 52:21.000]  Curious about what comes next? Next is the feeling of vulnerability you get after you arrive home to discover your house has been ransacked by burglars.
[52:21.000 --> 52:30.000]  Fool the bad guys with a new improved fake TV. You asked for it. We listened, and we made our new fake TV three times brighter than our previous model.
[52:31.000 --> 52:39.000]  The brightness of our new fake TV is equivalent to a 40-inch TV. It simulates the color and motion of a real TV while you're away from home.
[52:40.000 --> 52:46.000]  And when burglars think someone is home watching television, they're likely to pass your house and move on to an easier target.
[52:46.000 --> 52:56.000]  The new, brighter fake TV is only $39.95 and includes free shipping. Go to Faketv.com or call 1-877-5FAKETV.
[52:57.000 --> 53:03.000]  That's 877-532-5388 or go to Faketv.com.
[53:04.000 --> 53:07.000]  Fake TV, the burglar deterrent.
[53:07.000 --> 53:16.000]  For nearly 20 years, Alex has been the voice of warning on threatening issues that the big media won't dare talk about. Threats that trample the American dream.
[53:17.000 --> 53:25.000]  You know what we all face. A crashing economy that's forcing millions out of work and from their homes. Half of Americans need help just to feed themselves.
[53:26.000 --> 53:29.000]  Legalized pollution of our food is sickening us with cancer and disease.
[53:29.000 --> 53:37.000]  The food you can trust in facing any of these threats comes from eFoods Direct. It tastes great and stores up to 25 years ready for when you need it most.
[53:38.000 --> 53:43.000]  Be smart and be prepared for whatever life throws your way with your own food supply from eFoods Direct.
[53:44.000 --> 53:51.000]  Call eFoods Direct at 800-409-5633 or go to eFoodsDirect.com forward slash Alex.
[53:51.000 --> 53:58.000]  Get a free evacuation kit with select purchases. This kit is a $200 value and is perfect as a bug out bag or for emergencies.
[53:58.000 --> 54:22.000]  Call 800-409-5633 or go to eFoodsDirect.com forward slash Alex to find out more.
[54:22.000 --> 54:34.000]  If it keeps on raining the love is going to break. Going down, going down now, going down, down to Chicago.
[54:35.000 --> 54:42.000]  Here it comes again. We're just woodpecker-ing at the globalist.
[54:42.000 --> 54:52.000]  All right, I want to go to your phone calls. This segment next. We'll take calls in the next hour or two. Dr. Corey Gold's joining us to talk about Benghazi Gate, all of it.
[54:53.000 --> 54:57.000]  I want to focus on Benghazi because we are getting distracted with the IRS stuff and all the rest of it.
[54:58.000 --> 55:04.000]  But look, folks, when I end the last segment saying the government runs child kidnapping rings, type in NATO and child sex trade.
[55:04.000 --> 55:14.000]  U.N. child sex trade, BBC, Reuters, AP, Chicago Tribune, where defense contractors, U.S. defense contractors, whistleblowers will say,
[55:15.000 --> 55:22.000]  I saw them load 125 children, some as young as two, onto the aircraft, flying them into Saudi Arabia, out of Bosnia.
[55:23.000 --> 55:30.000]  From there they were broken up and sent to other areas and then they have Italian investigations on TV where they're shooting three-year-olds in the head after they rape them.
[55:30.000 --> 55:40.000]  I mean, it's like, whoa. The government grabs little kids, rapes them and shoots them in the head with.357 magnums.
[55:41.000 --> 55:47.000]  And I know that there's all sorts of national media listening. Hey, do an article how I'm a liar.
[55:48.000 --> 55:55.000]  Go ahead, just like the, go ahead. And then we'll show you and then I'll go show a bunch of news articles showing everything I just said.
[55:55.000 --> 56:03.000]  The government, that's who you signed on, all the tough guy groups, all the gangsters, all the, there's always somebody worse than you.
[56:04.000 --> 56:06.000]  And they are who gets in the seat of power.
[56:10.000 --> 56:16.000]  And then society collapses. And I'm so sick of this culture glorifying criminals, glorifying so-called tough guys.
[56:16.000 --> 56:24.000]  You're all walking dead. You're all nobodies. Real men stand up for innocence. Real men stand up for justice.
[56:25.000 --> 56:33.000]  And it's time for real men to get aggressive out there. Somebody tries to push you around, somebody tries to peck you into submission, you get in their face.
[56:34.000 --> 56:41.000]  Playing games with the New World Order is over. And all the criminal classes, you're going to push it too far and you know what's going to happen to all of you.
[56:41.000 --> 56:48.000]  You know what's going to happen. You're all going to be brought to justice.
[56:51.000 --> 56:59.000]  When we restore this republic, there's going to be Nuremberg trials. You're all going to get a jury trial and you're going to get hung by your neck until you're dead.
[57:00.000 --> 57:05.000]  And a lot of us aren't going to make it to that point to see it, but you will be brought to justice for what you've done to innocents.
[57:05.000 --> 57:11.000]  We will not be transported to a state of liberty on a bed of feathers.
[57:12.000 --> 57:17.000]  Let's go ahead and talk to Simon in Florida. You're on the air, sir. Thanks for holding. You've got about a minute and a half.
[57:18.000 --> 57:24.000]  Okay, I just wanted to point out Aleister Stevenson. You've had several articles about him on your website.
[57:25.000 --> 57:32.000]  And I think it's important to point out also, if someone pulls up a picture of this family, this Richard family, look at the father.
[57:32.000 --> 57:39.000]  What specifically are you getting at, sir? We don't screen calls, but I've got to know what you're talking about.
[57:40.000 --> 57:46.000]  Very similar looking, the father, the Martin Richard kid that died, the eight-year-old in the Boston bombing.
[57:47.000 --> 57:53.000]  Man, you know, I appreciate your call, but I mean, look, for folks that don't know what this guy's talking about, new listeners,
[57:54.000 --> 58:00.000]  there is this new belief that everybody's an actor and they do have crisis actors and they have staged fake events
[58:00.000 --> 58:04.000]  and they have used PR people to be there at events they stage to hype it.
[58:05.000 --> 58:09.000]  But they killed real people at Sandy Hook and they killed real people at the Boston bombing.
[58:10.000 --> 58:18.000]  They like killing people, okay? Yes, they provocateur events, but they don't completely stage them. Those are very rare.
[58:18.000 --> 58:29.000]  And again, I mean, there's people that say that I'm all these different actors and people while I work in here 18 hours a day.
[58:30.000 --> 58:35.000]  I was at work 18 hours yesterday, actually more than 18 hours.
[58:36.000 --> 58:40.000]  And of course it was enjoyable work hanging out with Mike Judge again for about five hours.
[58:40.000 --> 58:49.000]  I've got the best Mike Judge interview ever. We're going to be airing next week. It is bombshell.
[58:50.000 --> 58:57.000]  This is GCN, the Genesis Communications Radio Network.
[58:58.000 --> 59:05.000]  With health threats on the rise such as West Nile virus, MRSA, CRE and now the new bird flu recently discovered in China,
[59:05.000 --> 59:09.000]  there has never been a more crucial time to support your immune system.
[59:10.000 --> 59:19.000]  Supernatural Silver is a revolutionary new silver solution that is clinically shown to be several hundred times more effective than colloidal or ionic silver
[59:20.000 --> 59:23.000]  and is powerful enough to help protect you and your family.
[59:24.000 --> 59:30.000]  Supernatural Silver is scientifically supported, highly effective and perfect for everyday use inside the body as well as out.
[59:30.000 --> 59:35.000]  The Science Digest Journal says silver is our mightiest germ fighter.
[59:36.000 --> 59:39.000]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[59:40.000 --> 59:45.000]  Supernatural Silver is the number one choice of thousands for improved health and immune system support.
[59:46.000 --> 59:51.000]  To find out how Supernatural Silver can change your life, go to SupernaturalSilver.com
[59:51.000 --> 01:00:00.000]  and use the promo code SPRING2013 for 20% off and like us on Facebook.
[01:00:01.000 --> 01:00:07.000]  Waging war on corruption. Alex Jones on the GCN Radio Network.
[01:00:07.000 --> 01:00:19.000]  Big brother. Mainstream media. Government cover-ups. You want answers? Well, so does he.
[01:00:20.000 --> 01:00:29.000]  He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[01:00:29.000 --> 01:00:37.000]  All right, I'm going to take calls throughout the hour. Riding shotgun with us is Dr. Corey Gold. We're going to look at all the big scandals.
[01:00:38.000 --> 01:00:43.000]  Got a bunch of breaking news. Will Obama stage something to get himself out of this? I don't even know if that'll work at this point.
[01:00:44.000 --> 01:00:50.000]  People say, well, the whole government's corrupt. Why go after Obama? You got to start punishing him somewhere or they think they can get away with anything.
[01:00:50.000 --> 01:01:00.000]  So the arrogant liar-in-chief is politically in deep trouble and his whole agenda is in deep trouble.
[01:01:01.000 --> 01:01:08.000]  And I just want to salute Ted Cruz and I want to salute Rand Paul because if it wasn't for them and you, the American people, they would have passed that anti-gun garbage.
[01:01:09.000 --> 01:01:16.000]  And they would have already passed the amnesty stuff. And people are like, well, why was Rand Paul at first, why was Rand Paul at first, like, in a pro-amnesty?
[01:01:16.000 --> 01:01:25.000]  He wasn't. He was for real, reasonable path to citizenship for legal folks. But then when he saw the bill was a double-cross, he was against it.
[01:01:26.000 --> 01:01:30.000]  And, you know, it's kind of like he went to a Christian group yesterday or a few days ago and said, you know, I'm not a total libertarian.
[01:01:31.000 --> 01:01:37.000]  I want to run around naked smoking pot because I guess he's trying to fight the aqua-buda stuff. It's okay, Rand. Everybody had fun in college.
[01:01:37.000 --> 01:01:47.000]  And then libertarians are like, you're demonizing libertarians. No, he was trying to wake up a group of mainline Christians that libertarianism is a good idea.
[01:01:48.000 --> 01:01:53.000]  There's the article, Rand Paul, libertarians advocate, everyone go out, run around with no clothes on and smoke pot.
[01:01:54.000 --> 01:02:00.000]  And Kurt Nemo wrote a critical article. I don't control my writers. I respect Kurt. We have a difference of opinion on this article.
[01:02:00.000 --> 01:02:06.000]  And I'm not saying play politics, but I want Rand Paul to become president. I know Rand Paul. I know he's the real deal.
[01:02:07.000 --> 01:02:11.000]  I know he's a real person. That's why they don't like him. That's why they probably won't let him become president.
[01:02:12.000 --> 01:02:21.000]  Because they know, basically, folks, you know, they've already had articles going, Jones knows Rand's trying to co-opt the Republicans, not the other way around.
[01:02:21.000 --> 01:02:29.000]  That's why we've got to get Rand Paul. Notice our enemies don't like Rand. Okay, I know Rand Paul's real, okay, as real as it gets.
[01:02:30.000 --> 01:02:37.000]  And he's very smooth and he's presidential material. And I think it's good to, you know, criticize him like Nemo did. That's Nemo's right.
