[00:00:09.838 --> 00:00:12.199]  It's a frontline report.
[00:38:58.606 --> 00:39:06.412]  I never saw him past the morning of the 6th when I elected not to go to the Capitol.
[00:39:06.412 --> 00:39:08.213]  So it's a nothing burger.
[00:39:08.213 --> 00:39:10.675]  It's guilt by association.
[00:39:10.675 --> 00:39:12.917]  But Alex, here's what they know.
[00:39:12.917 --> 00:39:14.838]  You can be sued.
[00:39:14.838 --> 00:39:15.619]  I can be sued.
[00:39:16.403 --> 00:39:18.466]  But they have congressional immunity.
[00:39:18.466 --> 00:39:25.757]  They can tell whatever whopper of a lie they want, but you can't bring a lawsuit against them.
[00:39:25.757 --> 00:39:28.321]  You can sue witnesses before their committee.
[00:39:29.085 --> 00:39:42.739]  Who don't tell the truth, that's why these two gay Danish documentary filmmakers who have leveled accusations against me, this is why they didn't testify live, because they would have been hit with a defamation suit like that.
[00:39:42.739 --> 00:39:51.689]  Now, I'm going to sue them anyway, because in various interviews they have said that I was, quote, at the heart of a criminal conspiracy.
[00:39:52.712 --> 00:40:04.877]  In the next breath they say they have no evidence of that, even in their... Sure, so Roger, Roger, everyone knows that you didn't even, weren't there on January 6th, you stayed in your hotel room because there was so many millions of people you couldn't get out your door.
[00:40:04.877 --> 00:40:06.918]  Everybody knows you didn't do this, we know that.
[00:40:06.918 --> 00:40:10.180]  I don't know, you can put the story out, explain the history, we all know it's true.
[00:40:11.215 --> 00:40:17.937]  My question to you as a top political analyst is, even Jen Psaki said last week they should stop betting everything on January 6th.
[00:40:17.937 --> 00:40:24.159]  The polls show people care way more about inflation or crime than that, by order of magnitude.
[00:40:24.159 --> 00:40:31.481]  Like, 5% care about January 6th, 95% care about inflation, 90% care about open borders.
[00:40:31.481 --> 00:40:34.042]  So, it's a dying issue for them.
[00:40:34.042 --> 00:40:36.683]  Why are they obsessed with it?
[00:40:36.683 --> 00:40:39.284]  Because they have nothing else.
[00:40:40.501 --> 00:40:42.701]  They can't run on gas prices.
[00:40:42.701 --> 00:40:45.262]  They can't run on food shortages.
[00:40:45.262 --> 00:40:54.724]  They can't run on the open border policies that are causing a fentanyl epidemic and killing thousands of Americans every week.
[00:40:54.724 --> 00:41:07.827]  They can't run on the fact that they're shipping more and more and more billions to Ukraine when we have problems here in this country, and they're walking us right to the brink of World War III.
[00:41:08.912 --> 00:41:21.859]  They can't run on the epic inflation, which shows that if you go to the grocery store, you can spend seven bucks on a steak and it's two and a half bites.
[00:41:21.859 --> 00:41:25.100]  They can't run on any of those issues.
[00:41:25.100 --> 00:41:33.285]  They have to obscure the fact that the President of the United States can't even string together a coherent sentence.
[00:41:33.285 --> 00:41:35.266]  They can't run on any of those things.
[00:41:35.266 --> 00:41:37.707]  So here's what this election needs to be about.
[00:41:38.803 --> 00:41:53.615]  Alex Jones, look at the coverage of your trial where you exercised your First Amendment right and you're being penalized to the tunes of a billion dollars because you exercised your right to express an opinion, which you have an absolute constitutional right to.
[00:41:53.615 --> 00:41:55.497]  I don't have to agree with you.
[00:41:55.497 --> 00:42:00.861]  People can find what you say, you know, offensive, but you still have a right to say it.
[00:42:00.861 --> 00:42:03.083]  And it's all old, it's all out of context.
[00:42:03.083 --> 00:42:03.804]  They built this up.
[00:42:04.830 --> 00:42:13.873]  Right, and they wanted it to be about me, because I'm a demon, you know, I was pardoned for lying about Russian collusion.
[00:42:14.517 --> 00:42:18.419]  Sorry folks, there was no Russian collusion to lie about.
[00:42:18.419 --> 00:42:21.780]  They want it to be about the documents at Mar-a-Lago.
[00:42:21.780 --> 00:42:23.121]  Trump is hiding documents.
[00:42:23.121 --> 00:42:28.603]  What about the documents that Barack Obama has at a furniture warehouse in Chicago?
[00:42:28.603 --> 00:42:31.284]  Or the documents that George... And let's talk about that.
[00:42:31.284 --> 00:42:33.705]  The kangaroo, January 6th, has now subpoenaed Trump.
[00:42:33.705 --> 00:42:34.986]  That broke today.
[00:42:34.986 --> 00:42:40.468]  Where you see all this going, we've got some clips of this so-called Danish film crew with a smoking gun a year before.
[00:42:40.968 --> 00:42:41.668]  It's our bestseller.
[00:43:01.616 --> 00:43:05.359]  We first came out with it five years ago, and it was a moderate seller.
[00:43:05.359 --> 00:43:14.447]  But as folks tried Vitamin Mineral Fusion and experienced the way it made them feel and how healthy it made them, it has become our number one overall best seller.
[00:43:14.447 --> 00:43:16.509]  And it's been sold out for a while, but it's finally back in stock.
[00:43:17.029 --> 00:43:23.691]  Vitamin-mineral fusion doesn't just supercharge your immune system, but it helps every cellular function of the body.
[00:43:23.691 --> 00:43:30.814]  It has all the minerals, all the key amino acids, all of the essential vitamins that you need to live and be healthy.
[00:43:30.814 --> 00:43:33.414]  Essential means, without these things, you die.
[00:43:33.414 --> 00:43:41.497]  And so much of the food is debased, there's so many chemicals in the environment, it is critical to bolster our body's defenses with a product like this.
[00:43:41.497 --> 00:43:43.738]  Now, there are other great vitamin-mineral products out there.
[00:43:44.218 --> 00:43:48.425]  But this is amongst the very best, and it's a low price, and it funds the InfoWare.
[00:43:48.425 --> 00:43:56.197]  So the only way you lose is not taking action today, getting Vitamineral Fusion finally back in stock at InfoWareStore.com for 50% off.
[00:43:56.197 --> 00:43:58.881]  Vitamineral Fusion, back in stock, InfoWareStore.com.
[00:43:59.443 --> 00:44:02.944]  Everybody says they want people to stand up and fight tyranny.
[00:44:02.944 --> 00:44:06.065]  But when you fight tyranny, the new world order comes after you.
[00:44:06.065 --> 00:44:07.685]  Now, I knew that.
[00:44:07.685 --> 00:44:11.926]  And for 28 years, I've been on air exposing these people, and together we've had a great effect.
[00:44:11.926 --> 00:44:14.427]  But listen, they're coming after us right now.
[00:44:14.427 --> 00:44:18.688]  They're trying to shut us down, but they can't beat the power of we the people, of you and I together.
[00:44:19.228 --> 00:44:26.550]  So please visit InfoWarsTore.com and get incredible game-changing products while at the same time keeping us on air.
[00:44:26.550 --> 00:44:30.651]  We have the biggest sale of the year running right now at InfoWarsTore.com.
[00:44:30.651 --> 00:44:35.352]  You get an additional 10% off on the deals that are at least 40% off.
[00:44:35.352 --> 00:44:40.673]  Many are 50% off on Vitamin Refusion, X3, DNA Force Plus, you name it.
[00:44:40.673 --> 00:44:41.534]  So on top of 50% off,
[00:44:42.992 --> 00:44:50.176]  At checkout with promo code 1776, or 1776, an additional 10% off and no Patreon points.
[00:44:50.176 --> 00:44:52.157]  This is by far the biggest sell of the year.
[00:44:52.157 --> 00:44:53.017]  Keeps us on air.
[00:44:53.017 --> 00:44:54.138]  Plus they're great products.
[00:44:54.138 --> 00:44:56.960]  Check them out at InfoWareStore.com with promo code 1776.
[00:45:01.707 --> 00:45:05.873]  The biggest sale of 2022 is running right now at InfoWareStore.com.
[00:45:05.873 --> 00:45:11.061]  Incredible products like X3 and VitaMineral Fusion, DNA Force Plus.
[00:45:11.061 --> 00:45:17.070]  If you want to boost your body's energy, your stamina, your libido, particularly your immune system, these are the products.
[00:45:17.771 --> 00:45:30.714]  They're all 40-50% off, but when you use promo code 17761776 at checkout, you get an additional 10% off and double Patriot points on your next order.
[00:45:30.714 --> 00:45:41.216]  So please visit InfoWareStore.com today and experience X3, experience Vitamin Mineral Fusion, experience DNA Force Plus, and so many other great products, and know you're keeping the tip of the spear on air.
[00:45:41.576 --> 00:45:48.299]  So again, 1776 is the promo code at InfoWarsTore.com for an additional 10% off.
[00:45:48.299 --> 00:45:54.342]  I want to thank you all for your support because these products aren't just amazing, they also fund the InfoWars 360 win.
[00:45:54.342 --> 00:45:55.803]  Again, thanks for your support.
[00:45:55.803 --> 00:45:57.263]  It's a critical fight.
[00:45:57.263 --> 00:45:59.364]  Visit InfoWarsTore.com right now.
[00:45:59.364 --> 00:46:02.606]  Think about a world without InfoWars.
[00:46:04.212 --> 00:46:13.798]  Just take a moment and sit back and think about all the incredible guests and callers and stories we've broken together, this family that is InfoWars.
[00:46:13.798 --> 00:46:30.008]  Think about how InfoWars is cited by Joe Rogan and Tucker Carlson and Bolsonaro and other foreign leaders like Nigel Farage as being the main impetus towards firing up their main base to defeat the New World Order.
[00:46:30.008 --> 00:46:32.930]  The only reason humanity is still in the fight today
[00:46:33.815 --> 00:46:40.397]  Because the viewers and listeners of this broadcast have taken action and supported this show.
[00:46:40.397 --> 00:46:42.098]  I don't take the credit.
[00:46:42.098 --> 00:46:43.798]  I give you the credit.
[00:46:43.798 --> 00:46:46.419]  And now InfoWars is facing its darkest hours.
[00:46:46.419 --> 00:46:48.019]  It isn't going to give up.
[00:46:48.019 --> 00:46:49.880]  Without your support we could be shut down.
[00:46:49.880 --> 00:46:53.141]  Please go to SaveInfoWars.com today.
[00:46:53.141 --> 00:46:56.802]  SaveInfoWars.com today and donate for our legal defense fund.
[00:47:01.098 --> 00:47:05.719]  Leading a frontal assault on the lies of the New World Order.
[00:47:05.719 --> 00:47:11.520]  It's Alex Jones.
[00:47:11.520 --> 00:47:14.200]  Now you're standing there tongue-tied
[00:47:30.470 --> 00:47:31.951]  The enemy knows they're losing.
[00:47:31.951 --> 00:47:34.993]  They're throwing out all the stops now.
[00:47:34.993 --> 00:47:36.114]  Roger Stone is our guest.
[00:47:36.114 --> 00:47:42.779]  They're having wall-to-wall coverage on controlled TV that he's a mastermind of a plan to overthrow the government, steal the election.
[00:47:42.779 --> 00:47:44.119]  We know that's what they actually did.
[00:47:45.222 --> 00:47:47.583]  Roger, what does this signify at this point?
[00:47:47.583 --> 00:48:01.871]  The January 6th committee now trying to violate the separation of powers between the legislative, executive, judicial, demanding Trump now testify or be subpoenaed for their kangaroo operation.
[00:48:01.871 --> 00:48:06.473]  That's in all an effort, Alex, to make this election about Trump.
[00:48:07.539 --> 00:48:10.020]  Because that was their big takeaway.
[00:48:10.020 --> 00:48:11.561]  That was their big headline.
[00:48:11.561 --> 00:48:13.942]  They subpoenaed Donald Trump.
[00:48:13.942 --> 00:48:19.744]  I can't understand any circumstances under which that would happen.
[00:48:19.744 --> 00:48:27.948]  Previous attempts by Congress to subpoena presidents have fallen entirely flat.
[00:48:27.948 --> 00:48:31.329]  What's amazing to me, and as a Texan, you'll appreciate this.
[00:48:31.329 --> 00:48:32.910]  One of the things they said yesterday was,
[00:48:34.102 --> 00:48:42.530]  Here's a video in which Roger Stone says that if Trump loses, he should declare victory anyway.
[00:48:42.530 --> 00:48:48.776]  Where what I actually said was, if it's still up in the air, Trump should declare victory.
[00:48:49.326 --> 00:48:59.749]  This is precisely the advice that James A. Baker III, former Secretary of State, former Secretary of the Treasury, gave George W. Bush in 2000.
[00:48:59.749 --> 00:49:03.290]  It is sound political and public relations advice.
[00:49:03.290 --> 00:49:07.432]  Notice I didn't say, if Trump loses, he should claim he won.
[00:49:07.432 --> 00:49:11.473]  I said, if it's up in the air, he should declare victory.
[00:49:11.853 --> 00:49:14.215]  That shows that I'm smart, not dumb.
[00:49:14.215 --> 00:49:19.918]  But it certainly doesn't show that there was some premeditated plan to declare victory.
[00:49:19.918 --> 00:49:24.941]  Well, by the way, the Democrats from Pelosi, you name it, said no matter if Trump wins, we're not going to accept it.
[00:49:24.941 --> 00:49:27.523]  We're going to have our own inauguration of Biden.
[00:49:27.523 --> 00:49:29.624]  So they were all over the place saying they weren't going to accept it.
[00:49:31.484 --> 00:49:33.626]  Exactly right, but they erased that.
[00:49:33.626 --> 00:49:45.116]  Look, Hillary Clinton and John Podesta actually tried to delay the certification of Trump's election in the Electoral College in 2016, along with 131 House Democrats.
[00:49:45.116 --> 00:49:50.300]  The Washington Post just tries to say that didn't happen, but of course it did happen.
[00:49:50.300 --> 00:49:59.828]  So yesterday was a cornucopia of completely fabricated videos, and then they failed to show the actual videos in which
[00:50:00.488 --> 00:50:02.590]  I stood in front of the U.S.
[00:50:02.590 --> 00:50:08.894]  Supreme Court, and I specifically told people, don't be baited into violence.
[00:50:08.894 --> 00:50:10.455]  They had that video.
[00:50:10.455 --> 00:50:11.496]  Why didn't they show that video?
[00:50:11.496 --> 00:50:12.677]  It's just like my show, Charles.
[00:50:12.677 --> 00:50:15.119]  They show little 10, 15 second clips.
[00:50:15.119 --> 00:50:15.999]  Let's play these clips.
[00:50:15.999 --> 00:50:17.520]  Number one, two, and three, back to back.
[00:50:17.520 --> 00:50:18.481]  You can respond.
[00:50:18.481 --> 00:50:19.722]  CNN, cut.
[00:50:19.722 --> 00:50:21.263]  Let's get to the violence.
[00:50:21.263 --> 00:50:22.624]  Number two, we renounce violence.
[00:50:22.624 --> 00:50:23.425]  They are the violent ones.
[00:50:23.425 --> 00:50:24.345]  They don't want you to see.
[00:50:24.345 --> 00:50:25.886]  Number three, fight between good and evil.
[00:50:25.886 --> 00:50:26.587]  Here's the three clips.
[00:50:30.838 --> 00:50:34.239]  Let's get right to the violence.
[00:50:34.239 --> 00:50:39.160]  Let's get right to the violence.
[00:50:39.160 --> 00:50:50.181]  We are committed to is the truth, to speak the truth, to fight the truth, to live for the truth.
[00:50:50.181 --> 00:50:57.943]  And the truth is Donald Trump won this election.
[00:50:57.943 --> 00:50:58.483]  Tomorrow.
[00:50:59.372 --> 00:51:03.474]  When the left tries to beat you, let's be very clear.
[00:51:03.474 --> 00:51:06.675]  We renounce violence.
[00:51:06.675 --> 00:51:08.856]  They are the violent ones.
[00:51:08.856 --> 00:51:11.017]  Let's be very clear.
[00:51:11.017 --> 00:51:17.100]  This is not an election between Republicans and Democrats.
[00:51:17.100 --> 00:51:21.542]  This is not a fight between liberals and conservatives.
[00:51:21.542 --> 00:51:28.886]  This is nothing less than an epic struggle for the future of this country between dark and light.
[00:51:30.492 --> 00:51:34.274]  Between the godly and the godless.
[00:51:34.274 --> 00:51:37.935]  Between good and evil.
[00:51:37.935 --> 00:51:46.779]  And we will win this fight or America will step off into a thousand years of darkness.
[00:51:46.779 --> 00:51:50.300]  We dare not fail.
[00:51:50.300 --> 00:51:54.502]  So, that's what they've got on you, Roger.
[00:51:54.502 --> 00:51:55.142]  You're quite the villain.
[00:51:56.187 --> 00:52:01.591]  So Alex, in that first video, did you see me or see my mouth moving any place?
[00:52:01.591 --> 00:52:02.351]  No.
[00:52:02.351 --> 00:52:04.013]  We can play those short videos again.
[00:52:04.013 --> 00:52:07.875]  The best they've got is edited five second clips.
[00:52:07.875 --> 00:52:08.976]  But don't even show your face.
[00:52:08.976 --> 00:52:11.478]  You're saying these are fake clips.
[00:52:11.478 --> 00:52:12.819]  That's a fabrication.
[00:52:12.819 --> 00:52:17.882]  A week ago, they had no visual.
[00:52:17.882 --> 00:52:22.946]  Then in the version they showed at the hearing yesterday, they have showed
[00:52:23.886 --> 00:52:25.810]  Visual of me wearing a mask.
[00:52:25.810 --> 00:52:29.296]  But the digital soundtrack is exactly the same.
[00:52:29.296 --> 00:52:31.700]  That's a fabrication.
[00:52:31.700 --> 00:52:33.443]  It's a complete fraud.
[00:52:34.699 --> 00:52:44.345]  And I'll prove that in federal court, because I'm bringing a $25 million lawsuit against these two fugazi Danish filmmakers.
[00:52:44.345 --> 00:52:47.648]  That is entirely fabricated.
[00:52:47.648 --> 00:52:54.512]  And they very cleverly put the visuals on there.
[00:52:54.512 --> 00:53:00.776]  So we have Democrats calling for confronting people, being violent, mostly peaceful, burned down cities, all this.
[00:53:00.776 --> 00:53:02.097]  They're good, and now they have
[00:53:02.757 --> 00:53:06.058]  Five second clips of you just saying the violence or something.
[00:53:06.058 --> 00:53:08.379]  It's a joke.
[00:53:08.379 --> 00:53:11.579]  Which I will prove in a federal court is not even real.
[00:53:11.579 --> 00:53:14.080]  We've done the digital analysis.
[00:53:14.080 --> 00:53:21.182]  Both soundtracks are the same audio, but they invented the second visual to try to tie me in.
[00:53:21.182 --> 00:53:21.982]  I'm wearing a mask.
[00:53:21.982 --> 00:53:25.003]  You can't see anyone's mouth moving.
[00:53:25.003 --> 00:53:26.184]  It's a fraud.
[00:53:26.184 --> 00:53:27.364]  It's just a completely fraud.
[00:53:28.244 --> 00:53:31.987]  I should say I am working on cleaning up my language.
[00:53:31.987 --> 00:53:34.349]  Even if the F-bomb's there, I didn't really say.
[00:53:34.349 --> 00:53:37.932]  I really need to be somewhat more circumspect.
[00:53:37.932 --> 00:53:40.914]  I promised my wife and my pastor I will work on it.
[00:53:40.914 --> 00:53:45.658]  Well, but I mean, here are all these people constantly recording us and then putting out little snippets.
[00:53:45.658 --> 00:53:49.241]  In my show trials, they play five-second clips.
[00:53:49.241 --> 00:53:52.123]  And they know exactly what they're doing, so it's total desperateness.
[00:53:54.193 --> 00:53:58.156]  Yet, we saw Chuck Schumer threaten violence against the U.S.
[00:53:58.156 --> 00:53:59.217]  Supreme Court.
[00:53:59.217 --> 00:54:01.098]  We've seen that video.
[00:54:01.098 --> 00:54:02.699]  But he won't be prosecuted.
[00:54:02.699 --> 00:54:10.625]  There's Maxine Waters, the multi-millionaire congresswoman who doesn't live in her district in California.
[00:54:10.625 --> 00:54:12.706]  She advocates violence.
[00:54:12.706 --> 00:54:14.007]  You'll find no controversy.
[00:54:14.007 --> 00:54:14.928]  No, but I agree with you.
[00:54:14.928 --> 00:54:16.409]  They have nothing else but this.
[00:54:16.409 --> 00:54:17.690]  They keep pushing it.
[00:54:17.690 --> 00:54:19.871]  But even Psaki said last week they should stop it.
[00:54:19.871 --> 00:54:20.872]  It's not working in the polls.
[00:54:22.259 --> 00:54:32.763]  There's no poll information, but I'm absolutely convinced this is why they have made the news regarding your trial has gotten such wall-to-wall coverage.
[00:54:32.763 --> 00:54:43.468]  They want this election to be about Donald Trump or Alex Jones or Roger Stone or documents at Mar-a-Lago or January 6th.
[00:54:44.468 --> 00:54:49.890]  And you and I have both been demonized by an extraordinary hostile press.
[00:54:49.890 --> 00:55:00.332]  Thank God we have InfoWars as a beacon of freedom, as a platform for us to punch back or we'd have no place to mount our defense.
[00:55:00.332 --> 00:55:03.913]  Not Twitter, not Facebook, not Instagram.
[00:55:03.913 --> 00:55:07.394]  So this is why InfoWars is so important.
[00:55:08.268 --> 00:55:09.288]  All right, Roger.
[00:55:09.288 --> 00:55:11.509]  Well, I'm doing a special emergency broadcast tomorrow.
[00:55:11.509 --> 00:55:13.109]  If you've got time, tape with us.
[00:55:13.109 --> 00:55:15.430]  This is a live show right now, but we're going to have tape tomorrow.
[00:55:15.430 --> 00:55:20.291]  I'm doing the nuclear war crisis and the admitted COVID camps run by the U.N.
[00:55:20.291 --> 00:55:20.811]  all over the world.
[00:55:20.811 --> 00:55:23.892]  They're planning during nuclear war to round us up all in.
[00:55:23.892 --> 00:55:26.633]  That'll start airing tomorrow at 1 p.m.
[00:55:26.633 --> 00:55:28.393]  Central Standard Time.
[00:55:28.393 --> 00:55:30.134]  StoneDefenseFund.com.
[00:55:30.134 --> 00:55:31.214]  God bless you, Roger.
[00:55:31.214 --> 00:55:31.594]  Be safe.
[00:55:33.014 --> 00:55:34.076]  Alex, absolutely.
[00:55:34.076 --> 00:55:36.519]  I would love to join you for tomorrow's broadcast.
[00:55:36.519 --> 00:55:37.580]  I am free.
[00:55:37.580 --> 00:55:40.664]  Folks, go to stonedefensefund.com.
[00:55:40.664 --> 00:55:42.226]  It's not that I'm trying to make a profit.
[00:55:42.226 --> 00:55:44.408]  It's that I'm trying to defend myself.
[00:55:44.408 --> 00:55:52.118]  I have $100,000 in new legal bills just based on the false allegations made against me yesterday.
[00:55:52.458 --> 00:55:54.860]  But I will never stop fighting.
[00:55:54.860 --> 00:56:04.568]  And while you're at it, folks, go to the InfoWars store right now, buy a great product or make a contribution because InfoWars is the point of the spear.
[00:56:04.568 --> 00:56:07.110]  We are the tip of the spear.
[00:56:07.110 --> 00:56:19.540]  And if it weren't for a great platform like this, I wouldn't have any place that I can go to punch back at the CNN, MSNBC, Democrat fake news media cabal.
[00:56:19.940 --> 00:56:20.360]  Well, that's right.
[00:56:20.360 --> 00:56:20.960]  Thank you, Roger.
[00:56:20.960 --> 00:56:21.741]  God bless you.
[00:56:21.741 --> 00:56:22.501]  They failed.
[00:56:22.501 --> 00:56:23.361]  They've collapsed.
[00:56:23.361 --> 00:56:24.101]  They're a joke.
[00:56:24.101 --> 00:56:24.921]  They know it.
[00:56:24.921 --> 00:56:27.862]  Their number one mission is silence us at any cost.
[00:56:27.862 --> 00:56:29.703]  And folks, we don't want to complain.
[00:56:29.703 --> 00:56:32.104]  You don't know about one-tenth the attacks behind the scene.
[00:56:32.104 --> 00:56:33.304]  But I'm so excited.
[00:56:33.304 --> 00:56:34.164]  I'm so emboldened.
[00:56:34.164 --> 00:56:35.304]  I'm so empowered.
[00:56:35.304 --> 00:56:38.925]  I'm so buoyed right now because I know humanity is waking up.
[00:56:38.925 --> 00:56:40.286]  Thank you, Roger Stone.
[00:56:40.286 --> 00:56:43.807]  And we'll take 30 minutes commercial free with Roger tomorrow.
[00:56:43.807 --> 00:56:45.047]  I come in at 10 a.m.
[00:56:45.047 --> 00:56:47.208]  and I've got a bunch of big guests, a bunch of big analysis.
[00:56:48.362 --> 00:56:51.624]  We'll have it all tomorrow airing at 1 p.m.
[00:56:51.624 --> 00:56:54.666]  Central Standard Time.
[00:56:54.666 --> 00:57:01.890]  All right, we've got Adam Curry coming up to talk about the digital currency, the world government, how to stop it, and then David Icke coming up.
[00:57:03.228 --> 00:57:04.869]  And so much more here today.
[00:57:04.869 --> 00:57:08.050]  And yes, listeners, you can see we're at the quickening.
[00:57:08.050 --> 00:57:09.650]  We're at the 12th round of the fight.
[00:57:09.650 --> 00:57:11.471]  We're in the last inning of the baseball game.
[00:57:11.471 --> 00:57:17.253]  This is the most critical time to be informed, to be engaged, and to be involved that we've ever been.
[00:57:17.253 --> 00:57:27.037]  So all I ask is for your prayers that you share the live links to InfoWars.com and InfoWars.com forward slash show and band video and that yes, if you want to
[00:57:28.186 --> 00:57:29.727]  I don't promote things unless they really work.
[00:57:29.727 --> 00:57:31.208]  When it comes to politics or culture,
[00:57:55.498 --> 00:57:59.240]  Economics, we are always the cutting edge, the tip of the spear.
[00:57:59.240 --> 00:58:03.183]  And when we talk about the products at InfoWareStore.com, they all blow you away.
[00:58:03.183 --> 00:58:07.645]  If you'll just take them, if you'll just try them, I know you'll be with me customers.
[00:58:07.645 --> 00:58:11.868]  And finally, one of our best selling products, sold out for months, it's back in stock, it's X3.
[00:58:11.868 --> 00:58:22.534]  It's all three types of the very best atomic iodine out there that supercharges your energy, your stamina, your libido, and number one, your immune system.
[00:58:22.534 --> 00:58:24.896]  So X3, despite the fact that it's run on iodine,
[00:58:25.496 --> 00:58:34.782]  It's still on sale at 50% off right now at InfoWarStore.com and it funds the Info War, which is a 360 win.
[00:58:34.782 --> 00:58:41.327]  If you've not experienced the power of iodine, it takes two weeks to kick it on average, you've got to go to InfoWarStore.com and get X3 50% off.
[00:58:41.327 --> 00:58:42.047]  X3 50% off, InfoWarStore.com.
[00:58:49.400 --> 00:58:52.583]  Look, it's not hype that InfoWars has changed the world.
[00:58:52.583 --> 00:58:57.127]  It's not hype that your support of InfoWars is the reason we were able to do this.
[00:58:57.127 --> 00:58:58.808]  So I salute you and I thank you.
[00:58:58.808 --> 00:59:02.731]  Now, you know about fluoride, the bad halogen on the periodic table.
[00:59:02.731 --> 00:59:06.614]  Well, high-quality iodine is the good halogen and does the opposite of fluoride.
[00:59:06.614 --> 00:59:17.704]  And when you've got it in your body, it doesn't just supercharge your cells, doesn't just give you more energy, doesn't just boost your immune system, but it also blocks the bad halogens in the fluoride, chlorine, bromide, bromine family.
[00:59:18.164 --> 00:59:26.608]  So ladies and gentlemen, it takes about two weeks for X3 to kick in on average, taking a few drops every day, and almost everyone has dramatic results.
[00:59:26.608 --> 00:59:28.088]  Plus it funds the Infowar.
[00:59:28.088 --> 00:59:31.890]  So what do you have to lose but taking action?
[00:59:31.890 --> 00:59:39.253]  Experience X3, finally back in stock at InfowarStore.com right now for 50% off.
[00:59:39.253 --> 00:59:41.494]  Experience Tri-Ionine.
[00:59:41.494 --> 00:59:45.756]  Learn about the Ionine Fluoride Conspiracy, learn how to counter the fluoride, and find
[00:59:45.936 --> 00:59:46.596]  We're good to go.
[01:00:17.563 --> 01:00:26.045]  So, the globalists, the Adam Curry, David Iken reviews are coming up here next segment.
[01:00:26.045 --> 01:00:29.666]  Hit you with a bio-weapon that gives you a heart attack, some myocarditis and blood clots.
[01:00:29.666 --> 01:00:35.907]  And don't worry, the CEO confirms new mRNA injection repair heart muscles after heart attack.
[01:00:35.907 --> 01:00:38.848]  So they give you a heart attack, they give you the solution to it.
[01:00:38.848 --> 01:00:40.408]  And here's another headline of the LA Times.
[01:00:41.994 --> 01:00:48.317]  Why the war in Ukraine has countless different countries stockpiling iodine tablets?
[01:00:48.317 --> 01:00:51.758]  Why the war in Ukraine has countries stockpiling iodine tablets?
[01:00:51.758 --> 01:00:56.840]  Because that protects you from some of the radioactive isotopes that are most common when a hydrogen bomb goes off.
[01:00:56.840 --> 01:01:01.082]  We don't sell X3 to protect you from radiation.
[01:01:01.082 --> 01:01:06.884]  We sell X3 because iodine that's true and pure and has all three good types is so amazing for your body.
[01:01:08.305 --> 01:01:12.527]  Your energy, your immune system, your stamina, your libido, and yes, your thyroid.
[01:01:12.527 --> 01:01:13.368]  That's a game changer.
[01:01:13.368 --> 01:01:21.332]  But I told you a few weeks ago when it came back in, I said there's a huge run on X3, it's going to sell out soon, but despite that, it's 50% off.
[01:01:21.332 --> 01:01:30.457]  We could be sold out in a week at current sales rates, but I'm still keeping it at 50% off because I want those that haven't experienced, takes about two weeks to kick in, what it does for energy, stamina, libido, everything.
[01:01:32.810 --> 01:01:34.551]  But it's not 50% off right now.
[01:01:34.551 --> 01:01:35.231]  It was.
[01:01:35.231 --> 01:01:40.013]  It's 60% off with promo code 1776.
[01:01:40.013 --> 01:01:40.333]  1776.
[01:01:40.333 --> 01:01:43.875]  And the enemy works around the clock to shut our money off and destroy us.
[01:01:43.875 --> 01:01:51.679]  But if I can sell a great product that empowers you and your body and your life force and your immune system and your energy and your stamina, then it's a win-win.
[01:01:51.679 --> 01:01:53.980]  Go to infowarestore.com right now.
[01:01:55.404 --> 01:01:56.004]  We're good to go.
[01:02:13.908 --> 01:02:14.709]  Are you kidding me?
[01:02:29.657 --> 01:02:33.440]  45% off with an additional 10% off with promo code 1776.
[01:02:33.440 --> 01:02:53.536]  And you get DNA Force Plus, you get Vitamin Mineral Fusion, you get so many of the great products like our amazing D3 gummies with calcium, the amazing Linus Pauling formula, 1100% daily allowance of organic vitamin C with zinc and rose hips.
[01:02:53.536 --> 01:02:55.437]  It's 50% off with promo code 1776.
[01:02:57.039 --> 01:03:02.504]  1776, it is, 60% off, and the enemy is in full fits.
[01:03:02.504 --> 01:03:04.085]  Their lawsuits haven't worked.
[01:03:04.085 --> 01:03:05.506]  Their attacks haven't worked.
[01:03:05.506 --> 01:03:08.688]  Their criminal investigations haven't worked, because we're so clean.
[01:03:08.688 --> 01:03:16.214]  They are in full panic mode, and they want this broadcast off the air ahead of what they're about to launch, election theft, in 25 days.
[01:03:16.214 --> 01:03:19.257]  We are so close to winning a major battle.
[01:03:19.257 --> 01:03:23.160]  I've seen the wars won yet, Chrysler won that war, but God is watching us.
[01:03:24.332 --> 01:03:24.753]  I don't know.
[01:03:36.803 --> 01:03:41.465]  To take the articles and the videos, the most important information, from InfoWars.com and share it.
[01:03:41.465 --> 01:03:56.210]  And to tell folks at those local AM and FM stations, those local TV stations, and to pray for a global awakening, and to pray for peace and justice, and for a stop to World War III, and to then support InfoWarsTour.com while getting products that will blow you away.
[01:03:56.210 --> 01:03:57.231]  DNA Force Plus.
[01:03:57.231 --> 01:03:59.271]  60% off with promo code 1776.
[01:04:01.232 --> 01:04:04.974]  X3, 60% off, promo code 7076.
[01:04:04.974 --> 01:04:08.876]  Biomineral Fusion, 60% off, with promo code 7076.
