[00:00:00.470 --> 00:00:02.451]  We've got to stay on the street.
[00:28:46.142 --> 00:28:47.843]  Sudden ingestion of drugs when caught.
[00:28:48.479 --> 00:28:50.101]  Just a year before.
[00:28:50.101 --> 00:28:53.525]  And that's the evidence that the media and the press has tried to cover up.
[00:28:53.525 --> 00:28:55.487]  That's why they're scared of the verdict.
[00:28:55.487 --> 00:28:57.529]  That's why they need to extort a verdict.
[00:28:57.529 --> 00:28:59.872]  We'll get back into more of those details right after the break.
[00:28:59.872 --> 00:29:02.475]  I'm up here working on a Thursday night in mid-April 2021.
[00:29:03.988 --> 00:29:05.089]  And I just want to say something.
[00:29:05.089 --> 00:29:11.273]  I am so blessed and honored to work with this incredible crew that has come together over the years and is truly an answer to prayer.
[00:29:11.273 --> 00:29:14.815]  And I am so blessed and thankful for all of you, the listeners of this show.
[00:29:14.815 --> 00:29:17.697]  I want you to know that I love you and I appreciate you.
[00:29:17.697 --> 00:29:21.059]  Whether you are old, whether you are Hispanic, white, black, it doesn't matter.
[00:29:21.059 --> 00:29:22.280]  You've got red blood.
[00:29:22.280 --> 00:29:28.424]  And if you love freedom and justice, and if you love our innocent children, we are brothers and sisters together.
[00:29:28.424 --> 00:29:32.046]  And it has just been an incredible experience to work with you over the years.
[00:29:32.731 --> 00:29:36.595]  And as crazy as things are, I want to keep working into the future.
[00:29:36.595 --> 00:29:39.477]  But again, that's really up to you and up to God.
[00:29:39.477 --> 00:29:45.102]  So please, I hope God works through you and puts a message in your heart to support us.
[00:29:45.102 --> 00:29:46.964]  Again, that's up to you and your relationship with God.
[00:29:46.964 --> 00:29:51.408]  I just want to thank you all for the years of support you've given us and what you've done.
[00:29:51.408 --> 00:29:55.031]  And just ask you again to pray to God and ask what God's vision is for you.
[00:29:55.031 --> 00:29:58.494]  And hopefully God will touch your heart to continue to support him for worse.
[00:29:58.494 --> 00:29:58.855]  God bless.
[00:30:00.268 --> 00:30:01.189]  I'm going to say it again.
[00:30:01.189 --> 00:30:03.151]  I am not lecturing you.
[00:30:03.151 --> 00:30:05.073]  I'm lecturing myself.
[00:30:05.073 --> 00:30:08.436]  I need to take Vitamin Renal Infusion every day.
[00:30:08.436 --> 00:30:09.517]  It tastes great.
[00:30:09.517 --> 00:30:10.638]  It's all natural.
[00:30:10.638 --> 00:30:14.521]  It's got all the vitamins, all the minerals that are essential, and amino acids.
[00:30:14.521 --> 00:30:15.402]  Mix it up in the morning.
[00:30:15.402 --> 00:30:16.623]  A little quarter scoop.
[00:30:16.623 --> 00:30:18.525]  Fill the whole pitcher with a whole scoop.
[00:30:18.525 --> 00:30:20.427]  It'll last you four or five days in the refrigerator.
[00:30:20.427 --> 00:30:21.668]  Pour yourself a big glass with ice.
[00:30:22.448 --> 00:30:23.589]  And it's so good.
[00:30:23.589 --> 00:30:28.834]  In the morning, at noon, at night, whatever you do, get in that one glass a day.
[00:30:28.834 --> 00:30:30.135]  It's been sold out for a while.
[00:30:30.135 --> 00:30:31.436]  It's back in stock.
[00:30:31.436 --> 00:30:33.017]  Vitamin Mineral Fusion.
[00:30:33.017 --> 00:30:40.183]  Infomorestore.com for your immune system, your body's defenses, but especially your family and friends and old folks and people with darker skin.
[00:30:40.683 --> 00:30:42.663]  Epic is one of only a handful of domain registrars.
[00:31:04.888 --> 00:31:05.829]  We're good to go.
[00:31:27.571 --> 00:31:28.071]  Thank you.
[00:31:46.118 --> 00:31:52.880]  So it's a win-win as we build a true, open, free internet again, because the globalists are destroying what was open and what was free.
[00:31:52.880 --> 00:31:57.321]  So, InfoWarsDomains.com, the revolution starts there.
[00:31:57.321 --> 00:32:00.502]  InfoWarsDomains.com, take action now!
[00:32:00.502 --> 00:32:03.883]  I am a very humble person, but I'm also a bold person.
[00:32:03.883 --> 00:32:12.905]  And so, as bad as things are with the globalists attacking humanity, with all the terrible things that are unfolding, I want you to know that a lot of positive things are happening as well.
[00:32:13.806 --> 00:32:17.170]  I'm a public figure, so I get to see things the general public doesn't get to see.
[00:32:17.170 --> 00:32:28.747]  And let me tell you, whether it's police chiefs or members of Congress or even folks in Hollywood or mainstream media or industry, people are really, really awake in the establishment.
[00:32:29.607 --> 00:32:34.251]  They don't want to go along with the globalists, but they're scared, they're looking for leadership.
[00:32:34.251 --> 00:32:36.313]  Well, that's where M4 Works comes in.
[00:32:36.313 --> 00:32:40.656]  You fund us, you support M4Workstore.com, you get great products to you at the same time.
[00:32:40.656 --> 00:32:49.743]  We will then go out and do what the globalists say is unpopular, but the globalists will target you for it to show people that it's safe to tell the truth and to take the heat.
[00:32:50.303 --> 00:32:58.184]  That's our job, so please, keep us on air so we can hit the barbed wire, so we can be the shock proofs in the information war.
[00:32:58.184 --> 00:33:03.265]  Fund us at Infowarsstore.com.
[00:33:03.265 --> 00:33:11.527]  You're listening to the Alex Jones Show.
[00:33:11.527 --> 00:33:12.147]  We've got it.
[00:33:12.147 --> 00:33:15.728]  The transmission is coming to you.
[00:33:23.013 --> 00:33:32.417]  It's Alex Jones coming to you live from the front lines of the InfoWars.
[00:33:32.417 --> 00:33:38.800]  Owen Troyer here in the InfoWars World Headquarters in Austin, Texas.
[00:33:38.800 --> 00:33:40.960]  Bob Barnes hosting the Alex Jones Show this evening.
[00:33:40.960 --> 00:33:41.901]  We're going to be going back to
[00:33:43.425 --> 00:33:50.568]  Legal expert Bob Barnes here momentarily, but quickly, ladies and gentlemen, I wanted to remind you that coming up from 6 to 8 p.m.
[00:33:50.568 --> 00:34:06.615]  on InfoWars, I'm going to be doing a Sunday night emergency transmission, discussing everything I witnessed at the southern border, and taking your phone calls as well, things that you've observed, dots that you've connected, or questions that you have for me.
[00:34:06.615 --> 00:34:11.397]  I probably know more about what's going on down there than Biden or Harris combined.
[00:34:11.397 --> 00:34:12.818]  Quite frankly, they haven't been down there.
[00:34:13.672 --> 00:34:20.496]  But ladies and gentlemen, remember that we're only able to do this type of coverage with your support at InfowarsStore.com.
[00:34:20.496 --> 00:34:21.597]  It would not be possible.
[00:34:22.688 --> 00:34:27.670]  I don't have to talk about the hoops that we have to jump through with the censorship and the attack and everything.
[00:34:27.670 --> 00:34:28.611]  You know that.
[00:34:28.611 --> 00:34:34.673]  But it's your support at InfoWarsStore.com that makes it all possible for us to go and do these reports on the road.
[00:34:34.673 --> 00:34:40.856]  For us to do the live broadcast ten hours on weekdays and now four hours on Sunday evenings.
[00:34:40.856 --> 00:34:42.897]  Put up the Saturday emergency broadcast.
[00:34:42.897 --> 00:34:45.238]  Have people working around the clock here at InfoWars.
[00:34:45.659 --> 00:34:49.548]  Shop at Infowarsstore.com so we can keep this momentum going.
[00:34:49.548 --> 00:34:52.977]  Shop at Infowarsstore.com so we can keep the truth on air.
[00:34:54.927 --> 00:34:59.890]  And get all the great guests and all the band guests and people like Bob Barnes on with us.
[00:34:59.890 --> 00:35:05.272]  It's only possible when you shop at InfoWarsStore.com and when you share the links with friends and family.
[00:35:05.272 --> 00:35:10.655]  And quite frankly, the store is always getting updated with new specials and new t-shirts and everything.
[00:35:10.655 --> 00:35:12.296]  InfoWarsStore.com.
[00:35:12.296 --> 00:35:13.316]  Shop with us.
[00:35:13.316 --> 00:35:14.537]  Keep the truth on air.
[00:35:14.537 --> 00:35:15.718]  Keep the truth alive.
[00:35:15.718 --> 00:35:17.158]  Keep the fight for America alive.
[00:35:17.158 --> 00:35:18.539]  Keep the resistance alive.
[00:35:18.539 --> 00:35:21.420]  Shop at InfoWarsStore.com.
[00:35:21.420 --> 00:35:24.342]  We go back now to legal expert Bob Barnes.
[00:35:26.787 --> 00:35:31.673]  The amazing thing about the Chauvin trial is the precedent it's going to set.
[00:35:31.673 --> 00:35:35.158]  Can the institutional media, can the democratic political hacks,
[00:35:35.863 --> 00:35:49.667]  Weaponize the process so extensively, so expansively, that they can force-feed a lie onto the jury and get the jury to swallow and regurgitate that lie to allow a legalized lynching.
[00:35:49.667 --> 00:35:53.689]  It is the political equivalent of what happened to Emmett Till.
[00:35:53.689 --> 00:35:57.690]  It is the political equivalent to the old Klan lynchings of the South.
[00:35:58.703 --> 00:36:00.304]  That's what this case really is.
[00:36:00.304 --> 00:36:12.169]  If they can lynch Derek Chauvin and do so through the legal process, do so by force-feeding a lie into the jury and then regurgitating that lie to the world, they can do it to anybody.
[00:36:12.169 --> 00:36:17.191]  Because this case has been a Soviet-style show trial from the get-go.
[00:36:17.191 --> 00:36:21.033]  Derek Chauvin already has problems because of tax and corruption issues.
[00:36:21.033 --> 00:36:24.174]  So he was guaranteed to go to prison one way or the other.
[00:36:24.702 --> 00:36:37.792]  Yeah, that is why partially he agreed to plead guilty to a crime he likely did not commit, which was third degree murder, which is supposed to be for devious mind, reckless murder, where you go in and shoot at a whole bunch of people and kill one person.
[00:36:37.792 --> 00:36:49.982]  Here they were trying to apply it to him in a constitutionally questionable manner, as both Professor Dershowitz and Professor Turley have acknowledged and admitted the legal and constitutional questions with the statutory construction.
[00:36:50.609 --> 00:36:52.310]  And yet we're still in this trial.
[00:36:52.310 --> 00:36:57.832]  Why are we in a trial where someone was willing to plead guilty likely to a crime he didn't commit and do 10 years in prison?
[00:36:57.832 --> 00:37:06.716]  Because they want to show trial that convicts Chauvin of something he didn't do to feed and justify the media narrative.
[00:37:06.716 --> 00:37:13.239]  And if they're able to achieve it and attain it, it poses a direct risk to liberty and our justice system in the United States.
[00:37:13.679 --> 00:37:25.865]  If they can convert our criminal justice process into Soviet-style, Cuban-style show trials, then they can do it to anybody, anywhere, at any time, and that's the point that they're trying to make.
[00:37:25.865 --> 00:37:33.229]  They can use the justice process to vindicate and validate the lies and deceptions they force-fed onto the public.
[00:37:33.229 --> 00:37:40.053]  Now, if you were in the jury room itself and witnessed what happened in the trial, you would know why Mad Max is so mad.
[00:37:40.723 --> 00:38:00.454]  Let's take a look at video clip number five, wherein a use of force expert who has been certified as such by everybody across the board, has been a police officer for decades, who including the FBI certified him as one of the top experts in the country on the issues of use of force, explain why the reasonable prone position
[00:38:00.994 --> 00:38:09.462]  It's reasonable force, not unjustifiable excessive force, especially if you're dealing with someone you believe is experiencing excited delirium.
[00:38:09.462 --> 00:38:19.192]  He's under the influence of such drugs, and remember he was 6'5", 6'6", 230, 240, Chauvin is like 5'8", 5'9", he makes Tom Cruise look tall, you know, 140 pounds.
[00:38:20.373 --> 00:38:24.496]  Now, based upon your training and experience and your expertise in the use of force matters,
[00:38:44.380 --> 00:38:47.763]  Your review of the materials that have been provided to you.
[00:38:47.763 --> 00:38:54.407]  Have you formed opinions in this particular case to a reasonable degree of professional certainty?
[00:38:54.407 --> 00:38:55.348]  I have.
[00:38:55.348 --> 00:39:00.672]  And can you just briefly overview your opinions in this particular case?
[00:39:00.672 --> 00:39:06.736]  I felt that Derek Chauvin was justified, was acting with objective reasonableness.
[00:39:07.541 --> 00:39:14.294]  Following Minneapolis Police Department policy and current standards of law enforcement and his interactions with Mr. Floyd.
[00:39:16.804 --> 00:39:19.185]  And that wasn't the only big expert that testified.
[00:39:19.185 --> 00:39:41.910]  A former high-ranking medical examiner who consulted with more than a dozen other doctors in his analysis concluded that, without any doubt really, that the death of George Floyd was not caused by the manner of being put in a prone position and being put into a physical restraint, just as it hasn't caused death almost anywhere in the world when they've done a survey and study of it.
[00:39:41.910 --> 00:39:43.731]  Let's take a look at video clip number six.
[00:39:44.594 --> 00:39:50.200]  How did the heart and drugs contribute to the cause of death?
[00:39:50.200 --> 00:39:52.903]  They were significant.
[00:39:52.903 --> 00:40:00.370]  They contributed to Mr. Floyd having a sudden cardiac arrest in my opinion.
[00:40:00.370 --> 00:40:01.551]  That's how I would read it.
[00:40:01.551 --> 00:40:02.412]  Okay.
[00:40:02.412 --> 00:40:06.497]  So I'm going to take this down.
[00:40:06.497 --> 00:40:06.657]  Yes.
[00:40:07.805 --> 00:40:34.868]  So in my opinion Mr. Floyd had a sudden cardiac arrhythmia or cardiac arrhythmia due to his atherosclerotic and hypertensive heart disease or you can write that down multiple different ways during his restraint and subdual by the police or restraint by the police and then his significant contributory conditions
[00:40:35.939 --> 00:40:51.915]  Would be since I've already put the heart disease in part one he would have the toxicology the fentanyl and methamphetamine there is exposure to a vehicle exhaust
[00:40:53.386 --> 00:41:06.758]  So, potentially carbon monoxide poisoning, or at least an effect from increased carbon monoxide in his bloodstream, and paraganglionoma, or the other natural disease process that he has.
[00:41:06.758 --> 00:41:13.524]  So, all of those combined to cause Mr. Floyd's death.
[00:41:17.637 --> 00:41:23.859]  And by the way, when Floyd had been pulled over a year before, he did the same routine.
[00:41:23.859 --> 00:41:37.223]  He initially refused to comply with police requests, did sudden ingestion of drugs, admitted he did sudden ingestion of serious drugs, had to be rushed to the hospital, and almost died because his blood pressure was so high.
[00:41:37.873 --> 00:41:46.359]  So what the expert testimony and other documentary evidentiary testimony that came out at the actual trial was that the media narrative was one big fat lie.
[00:41:46.359 --> 00:41:49.541]  And Mad Max and the media need the world not to know that.
[00:41:49.541 --> 00:41:57.046]  That's why they're extorting the jury with these selectively targeted, selectively released statements on the eve of jury selection.
[00:41:57.686 --> 00:42:13.143]  And it is critical and essential if this jury is going to uphold the rule of law in America and avoid our trials becoming show trials that are nothing more than legalized lynchings, is that they come back with acquittals, especially on the top felony murder count.
[00:42:13.143 --> 00:42:18.529]  In fact, if Chauvin is convicted of the other counts, that's kind of irrelevant because Chauvin was willing to plead guilty to those counts.
[00:42:19.068 --> 00:42:21.429]  So the big count is felony murder.
[00:42:21.429 --> 00:42:24.191]  And hopefully the jury upholds the justice process.
[00:42:24.191 --> 00:42:34.216]  If not, hopefully the appeals court or the trial court set aside the verdict based on the insanity of trying to do a trial in this context where members of Congress are threatening the jury pool.
[00:42:34.216 --> 00:42:37.678]  And last but not least, the public continuing to speak out.
[00:42:38.400 --> 00:42:54.011]  About these issues, about the consequences of these issues, is going to be critical in counterbalancing the threats of riots, the looting, the burning, the arsoning, the criminality that Mad Max is trying to unleash to extort the jurors.
[00:42:54.011 --> 00:42:58.935]  When we come back, we'll be talking about a little bit more of this, but also Sleepy Joe wants to go to war.
[00:43:00.044 --> 00:43:03.645]  Humanity has been domesticated by and large.
[00:43:03.645 --> 00:43:08.186]  The population has been trained to submit, do what you're told, and it's all going to pass.
[00:43:08.186 --> 00:43:17.408]  But if you study authoritarians, if you study the globalists, you understand that they reach a point where all the training is just beta, and you go into the point of being culled, being totally enslaved.
[00:43:17.408 --> 00:43:21.869]  And because the globalists see us as weak and see us as stupid, they are now making that move.
[00:43:21.869 --> 00:43:29.151]  And they are collapsing the third world with their economic weapons to then flood us with a third world that the UN will use as a weapon
[00:43:29.571 --> 00:43:39.998]  To then have us, under such a crisis, under such a load, capitulate to the UN, whatever agreements they want us to sign, hoping that they will stop the flood of tens of millions of refugees.
[00:43:39.998 --> 00:43:55.829]  Not fleeing COVID or climate change, as the UN and Klaus Schwab are saying, and Bill Gates is saying, but fleeing the year-long lockdowns that the UN and Bill Gates ordered them to institute, or they wouldn't get more IMF and World Bank money.
[00:43:55.829 --> 00:43:59.251]  And that's why we have to really get educated about the globalists.
[00:43:59.692 --> 00:44:00.755]  It's very simple.
[00:44:00.755 --> 00:44:07.694]  Every household, not just in America, but worldwide, should be taking a high-quality multivitamin mineral every single day.
[00:44:08.430 --> 00:44:11.692]  But so many of the big brands are synthetics that are not even absorbed.
[00:44:11.692 --> 00:44:13.714]  In fact, in many cases are toxic.
[00:44:38.370 --> 00:44:40.131]  Don't forget to get your next order.
[00:44:40.131 --> 00:44:51.359]  Mix it up with a big pitcher, put it in your refrigerator for your wife, your husband, your children, your neighbors, and just know that while you're helping yourself and your own bodies, natural defenses and immune system, you're funding the InfoWar.
[00:44:51.359 --> 00:44:54.682]  Vitamin Mineral Fusion, back in stock, 40% off.
[00:44:54.682 --> 00:44:58.725]  Oh, and Winter Sun's back in stock, 40% off as well, at InfoWarStore.com.
[00:44:59.910 --> 00:45:01.432]  The people are awakening.
[00:45:01.432 --> 00:45:04.155]  They're taking control of their own environment.
[00:45:04.155 --> 00:45:06.218]  Cell phones are an amazing tool.
[00:45:06.218 --> 00:45:08.561]  Really, they're a supercomputer that's handheld.
[00:45:08.561 --> 00:45:15.189]  But big tech, large corporations, hackers, governments, foreign governments, the Chai Coms especially, are using this.
[00:45:15.509 --> 00:45:26.817]  To steal your data, to share your data, to be able to rig markets when they're able to scoop up billions of people's data, they can actually predict on record what's going to happen in mass movements.
[00:45:26.817 --> 00:45:33.521]  Cutting them out of that data stream absolutely devastates their AI takeover.
[00:45:33.521 --> 00:45:34.942]  In their own words, they admit it.
[00:45:34.942 --> 00:45:39.385]  So, I've been selling privacy pouches and pocket pockets and things like that for more than a decade.
[00:45:39.845 --> 00:45:41.786]  And now the units have gotten really lightweight.
[00:45:41.786 --> 00:45:42.867]  They're Faraday cages.
[00:45:42.867 --> 00:45:44.568]  They just look like a cloth envelope.
[00:45:44.568 --> 00:45:46.569]  They work absolutely great.
[00:45:46.569 --> 00:45:55.694]  And it just gives you that security to have power over your data and power over your identity when you are traveling and don't want Big Brother to know what you're up to because it's none of their business.
[00:45:55.694 --> 00:45:58.116]  Get yours at InfoWarsTore.com today.
[00:45:59.446 --> 00:46:01.348]  Again, I don't like to lecture people.
[00:46:01.348 --> 00:46:12.437]  I'm a very private person, but because of the globalists and their attack on humanity, I've been forced the last 27 years to be a public figure, and we've given the globalists one hell of a run for their money because of God.
[00:46:12.437 --> 00:46:16.400]  And I know some of our listeners get mad when I talk about God all day, but just give me a break.
[00:46:16.400 --> 00:46:17.841]  The Satanism's out in the open.
[00:46:17.841 --> 00:46:22.885]  I've always been a Christian, but now the fact that it's a fight between good and evil is so clear.
[00:46:22.885 --> 00:46:23.306]  And I get it.
[00:46:23.306 --> 00:46:25.067]  A lot of you have been turned off by big churches.
[00:46:25.067 --> 00:46:27.209]  A lot of you have been turned off by the corrupt.
[00:46:27.995 --> 00:46:28.576]  We're good to go.
[00:46:43.554 --> 00:46:45.415]  And so that's what InfoWars is really all about.
[00:46:45.415 --> 00:46:47.076]  So thank you all for your word of mouth.
[00:46:47.076 --> 00:46:49.037]  Thank you for spreading the word about InfoWars.
[00:46:49.037 --> 00:46:52.919]  And thank you for supporting us to keep us on air by visiting InfoWarsStore.com.
[00:46:52.919 --> 00:46:56.901]  Because without your daily and weekly and monthly purchases, we'll be taking off the air.
[00:46:56.901 --> 00:46:57.882]  So thank you for the support.
[00:46:57.882 --> 00:47:03.224]  InfoWarsStore.com.
[00:47:03.224 --> 00:47:05.826]  You're listening to the Alex Jones Show.
[00:47:21.801 --> 00:47:25.664]  Welcome back to Alex Jones Sunday Show.
[00:47:25.664 --> 00:47:28.506]  Robert Barnes here, guest hosting the show.
[00:47:28.506 --> 00:47:36.933]  Let's get into some of the more of the detail of what is happening in the Chauvin trial and why it is more consequential than just the trial itself.
[00:47:36.933 --> 00:47:45.079]  So even Jonathan Turley, a left-leaning professor, a law professor from George Washington University, wrote a detailed article this week
[00:47:45.772 --> 00:47:52.283]  Uh, explaining why the media narrative is completely out of whack with what's actually happening inside the courtroom.
[00:47:52.283 --> 00:47:58.252]  They're trying to create a fake narrative that they know the jury would reject if the jury could make an honest verdict.
[00:47:58.252 --> 00:48:00.455]  That's Mad Max's sort of insanity.
[00:48:00.936 --> 00:48:08.122]  But it's not the only example of the kind of media-narrational bias that is taking place in the press.
[00:48:08.122 --> 00:48:14.588]  To give other illustrations of it, in the Chauvin trial context, they have actually had medical experts get up and testify.
[00:48:14.588 --> 00:48:20.073]  Here's some of the absurdities from the Chauvin trial that the government has tried to put on the world and the jury.
[00:48:20.780 --> 00:48:28.445]  One is that smoking won't bother your lungs 90% of the time, according to the government's experts in the Chauvin trial.
[00:48:28.445 --> 00:48:34.288]  According to the government's experts in the Chauvin trial, having an enlarged heart can often be good for you.
[00:48:34.288 --> 00:48:36.810]  According to the government's experts in the Chauvin trial,
[00:48:39.995 --> 00:48:46.200]  It's also the case that having 90% blockage of different parts of your heart can be completely fine.
[00:48:46.200 --> 00:48:54.667]  According to the medical experts in the Chauvin trial, that taking three times the lethal dose of fentanyl and sudden ingestion of it
[00:48:55.519 --> 00:49:01.706]  Well, you could actually just get out and drive your car normally, according to the government's experts in the Chauvin trial.
[00:49:01.706 --> 00:49:07.892]  But those aren't the only absurdities they've tried to feed the jury and, by extension, the world.
[00:49:07.892 --> 00:49:14.919]  They also had a use-of-force expert testify about national standards that don't even really exist.
[00:49:15.519 --> 00:49:25.402]  According to this use of force expert, if someone's arrested and voices some concerns about their health, then what you're supposed to do is not handcuff them and call them an Uber.
[00:49:25.402 --> 00:49:28.902]  Don't even put them in the back of the car where the scary isolation could bother them.
[00:49:28.902 --> 00:49:32.723]  And you could never put them in a prone position on the ground.
[00:49:32.723 --> 00:49:40.885]  Of course, what happens when police officers think that they can't use physical force to put someone on the ground in a prone position?
[00:49:40.885 --> 00:49:42.846]  They go to tasers instead.
[00:49:43.386 --> 00:49:45.787]  And what happens when they go to tasers instead?
[00:49:45.787 --> 00:49:51.570]  You get Dwayne Wright, where the officer thinks she's pulling a taser, instead pulls a gun.
[00:49:51.570 --> 00:49:52.710]  Why does she pull the gun?
[00:49:52.710 --> 00:50:01.794]  Well, in part because the local community, the local politicians, went and bought tasers that looked and felt like guns.
[00:50:02.358 --> 00:50:04.721]  But the media won't cover that side of the story.
[00:50:04.721 --> 00:50:17.415]  Instead, race grifter, race baiter Ben Crump is saying that the person was shot simply for quote, driving while black, when actually he was pulled over for basic violations of traffic rules.
[00:50:17.415 --> 00:50:23.742]  And the only reason they tried an arrest is because he had an outstanding warrant for prior felony armed robbery.
[00:50:24.660 --> 00:50:42.849]  Another example of these sort of fake news narratives in the BLM context also came out this week when it turned out with court filings in the Ahmaud Arbery case that you may have remembered from last year where again he was supposedly shot and killed again according to Ben Crump and his pals for jogging while black.
[00:50:43.527 --> 00:50:51.593]  As some of us voiced at the time, including right here on InfoWars at the time, was that that is unlikely to be a true story.
[00:50:51.593 --> 00:50:59.960]  That the true story was likely that he was out casing places for robbery and using jogging as an excuse and a pretext.
[00:51:00.467 --> 00:51:13.417]  Because it's not normal and customary for young men of any race to just go out jogging and constantly just wander into abandoned homes and properties for about 10 or 15 minutes and then come back out over and over and over again.
[00:51:13.417 --> 00:51:23.886]  Well, it turned out from court filings this week that in fact, Ahmaud Arbery had a long history of using jogging as a pretext to engage in repeated robberies.
[00:51:24.486 --> 00:51:28.728]  Over and over and over and over and over again.
[00:51:28.728 --> 00:51:34.530]  Another BLM narrative that proved to be a lie, that proved to be a fraud.
[00:51:34.530 --> 00:51:36.271]  That's why they are so desperate.
[00:51:36.271 --> 00:51:48.736]  George Floyd is supposed to be the Rosa Parks of the BLM anti-police politicized movement to racialize American criminal justice and racialize American politics in ways that do not conform to reality.
[00:51:49.236 --> 00:51:53.138]  They are desperate to have George Floyd upheld as that martyr.
[00:51:53.138 --> 00:51:56.600]  So much so that they built statues to him inside Holocaust Museum.
[00:51:56.600 --> 00:52:01.222]  The fact that he has an extensive criminal history has been hidden from the court of public opinion.
[00:52:01.222 --> 00:52:05.685]  The fact that he has a history of violent crime has been hidden from the court of public opinion.
[00:52:05.685 --> 00:52:13.569]  They tried to hide, even from the jurors, the fact that he did the same thing a year before and almost died then from sudden ingestion of drugs.
[00:52:13.969 --> 00:52:23.653]  For example, the narrative has been that George Floyd was only at risk for being a misdemeanor, minor misdemeanor, of a $20 fake currency.
[00:52:23.653 --> 00:52:26.935]  That's not what George Floyd knew, and there's a reason why George Floyd panicked.
[00:52:26.935 --> 00:52:36.659]  Because what George Floyd knew is when they came up to the car, he's sitting there with his drug dealer, with felony possession of drugs in the car, and he doesn't know what else they have on him.
[00:52:36.659 --> 00:52:41.981]  And that's why he engaged in felony obstruction by consuming in a sudden manner
[00:52:42.541 --> 00:52:44.242]  The drugs themselves.
[00:52:44.242 --> 00:52:46.724]  And what was the prosecution's excuse for that?
[00:52:46.724 --> 00:53:03.073]  They claim that even though there's a photo of the pill on his tongue that was later found in the back of the squad car with his saliva and DNA on it, that it was partially chewed and digested and then the rest spit out, that that really wasn't what was in his mouth.
[00:53:03.073 --> 00:53:06.675]  That that's somehow what came off his shoe that just randomly was present.
[00:53:06.675 --> 00:53:09.757]  Instead, they were claiming it was gum or maybe food.
[00:53:10.439 --> 00:53:14.384]  That's how ludicrous the state has gone to make the claims they've made.
[00:53:14.384 --> 00:53:20.271]  They've made claims I have never seen the government make in a comparable context in history.
[00:53:20.271 --> 00:53:30.503]  And they're doing so because they need to gaslight the jury into a certain conclusion, gaslight the world into a certain conclusion in order to get there, just as they tried in the Zimmerman case.
[00:53:30.823 --> 00:53:33.085]  Just as they tried in the Michael Brown case.
[00:53:33.085 --> 00:53:35.227]  Just as they tried in the Tamir Rice case.
[00:53:35.227 --> 00:53:38.130]  Just as they've tried in case after case after case.
[00:53:38.130 --> 00:53:41.153]  Almost all of these are rising since 2014.
[00:53:41.153 --> 00:53:54.125]  Indeed, if you use the imagery of BLM, you'll notice that they use a particular kind of fist that looks almost identical to the kind of fist used by the color revolutions that began in Serbia in 2003.
[00:53:54.125 --> 00:53:55.707]  And maybe that's not a coincidence.
[00:53:56.249 --> 00:54:20.218]  That maybe this is part of an ongoing regime change effort to displace American police with anybody that is politically loyal to American ideals and instead have a politicized Stasi-style police force that is willing with politicized prosecutors and politicized courts to engage in Soviet-style show trials to intimidate and terrorize the public.
[00:54:20.798 --> 00:54:22.820]  And that's what the Derek Chauvin trial is really about.
[00:54:22.820 --> 00:54:25.161]  It's not about a simple death in police custody case.
[00:54:45.955 --> 00:55:05.841]  It is instead about political revolution to change the nature of prosecutions in the United States, to change the nature of policing in the United States, and to send a message to the broader world not only to uphold the media gaslighting narrative of what's been happening and occurring in the police context, particularly in the racial interaction context,
[00:55:06.361 --> 00:55:10.706]  But also to empower future Soviet-style show trials.
[00:55:10.706 --> 00:55:13.650]  It's the same reason the Soviets engaged in such show trials.
[00:55:13.650 --> 00:55:19.056]  It's the same reasons the Cuban government did it almost immediately after they seized power in the Castros in 1959 and 1960.
[00:55:21.158 --> 00:55:29.521]  Because it was meant to send a message to the broader public that you better keep your head down and do what you're told, or you're going to be purged.
[00:55:29.521 --> 00:55:39.525]  Purged from the police, purged from the military, purged from civil society, purged from social media, purged from any ability to make a difference with your voice.
[00:55:39.525 --> 00:55:46.668]  Now, the fact that they are so scared of what a jury might do, the fact that they are so scared of what you, the ordinary person, might do,
[00:55:47.268 --> 00:55:58.975]  As a reminder, just as the greatest trick the devil ever pulled was convincing people he did not exist, the greatest trick the deep state ever pulled was convincing you that you could not resist.
[00:55:59.671 --> 00:56:12.062]  Indeed, you can find constitutional legal means to push back in the court of public opinion by doing things like supporting networks like InfoWars, which you can do at InfoWarsStore.com.
[00:56:12.062 --> 00:56:12.903]  Why does that matter?
[00:56:12.903 --> 00:56:13.923]  Why is that significant?
[00:56:13.923 --> 00:56:15.365]  Why is that consequential?
[00:56:15.365 --> 00:56:27.255]  Well, ask yourself, before they were waging these wars on police departments, on the prosecutor's offices, on the justice system, on the military, before we had these politically weaponized cases in the Capitol Hill context, who was the number one target?
[00:56:27.675 --> 00:56:38.122]  The number one target of the institutional actors, the gatekeepers, these clerisy of corruption that would like to impose their wills upon the rest of us was Alex Jones and Infowars.
[00:56:38.122 --> 00:56:39.643]  And that's not a coincidence.
[00:56:39.643 --> 00:56:40.984]  That's not mere chance.
[00:56:40.984 --> 00:56:42.464]  That's not mere circumstance.
[00:56:42.464 --> 00:56:43.125]  That was delivered.
[00:56:43.525 --> 00:56:57.332]  Because you are the tip of the spear for keeping accurate and honest information out there that can keep the public informed, keep the people awakened, and keep activism alive because it is the perception of power.
[00:56:57.332 --> 00:56:58.793]  Those same color revolutions.
[00:56:59.341 --> 00:56:59.962]  We're good to go.
