[00:00:04.929 --> 00:00:06.350]  Welcome, welcome, welcome.
[00:37:15.423 --> 00:37:17.645]  It came down on its own footprint.
[00:37:17.645 --> 00:37:18.986]  There's no question about that.
[00:37:18.986 --> 00:37:26.774]  As a matter of fact, Richard Gage from Architects and Engineers has completely handled that from his area of expertise.
[00:37:27.873 --> 00:37:28.414]  Okay.
[00:37:28.414 --> 00:37:40.884]  Now we heard rumblings, things that the fire department was saying that they were overhearing Larry Silverstein talking about, talking to his insurance company of whether or not he should have the building pulled.
[00:37:40.884 --> 00:37:44.287]  In your professional opinion, was the building pulled?
[00:37:45.202 --> 00:37:46.903]  Well, let me say this.
[00:37:46.903 --> 00:37:51.647]  In the New York City Fire Department, as I said, I had 32 years there.
[00:37:51.647 --> 00:37:55.210]  I was a chauffeur and I was also a trained fire marshal.
[00:37:55.210 --> 00:37:58.753]  A fire marshal is considered an expert witness in court.
[00:37:58.753 --> 00:38:01.936]  He's like a forensic detective.
[00:38:01.936 --> 00:38:05.239]  He has the power to administer the oath, take testimony, and issue a subpoena.
[00:38:05.239 --> 00:38:06.700]  That's a lot of power.
[00:38:06.700 --> 00:38:13.846]  And he's a highly trained investigative person in his area of expertise in arson.
[00:38:14.486 --> 00:38:20.409]  And we have no term that I know of that says pulling buildings.
[00:38:20.409 --> 00:38:22.550]  That's not our area of expertise.
[00:38:22.550 --> 00:38:24.210]  We've never done that.
[00:38:24.210 --> 00:38:25.771]  We don't do that.
[00:38:25.771 --> 00:38:34.535]  So for him to say that, I don't know where he pulled that out of, but it's just not part of our operations, okay?
[00:38:35.014 --> 00:38:40.979]  Right, so the fire department doesn't have the training to pull a building, to demo a building like that.
[00:38:40.979 --> 00:38:42.560]  We're not trained to do that.
[00:38:42.560 --> 00:38:44.922]  We've never done that in my 32 years.
[00:38:44.922 --> 00:38:49.967]  I know of no evolution whatsoever that does that.
[00:38:49.967 --> 00:38:59.495]  And then talk to me a little bit, obviously as a professional in the fire department for 30 plus years, they're saying that, blaming it on office fires, just a few office fires.
[00:39:00.663 --> 00:39:05.466]  Well, if it wasn't so serious a situation, that would be completely laughable.
[00:39:05.466 --> 00:39:07.528]  That is ridiculous.
[00:39:07.528 --> 00:39:09.409]  First of all, our guys were up there.
[00:39:09.409 --> 00:39:14.613]  They were calling for additional hand lines to mop up the isolated pockets of fire.
[00:39:14.613 --> 00:39:17.014]  And let me just explain one thing.
[00:39:17.014 --> 00:39:27.782]  Never in the history of a world, never in the history of high-rise skyscrapers has ever a skyscraper ever come down because of fire.
[00:39:28.860 --> 00:39:31.581]  And I'm talking massive fire, and you know the reason why?
[00:39:31.581 --> 00:39:40.724]  Because fire does not burn by itself hot enough to compromise and melt steel.
[00:39:40.724 --> 00:39:49.167]  What we had in the World Trade Center, and I saw myself, was molten, lava-like pockets of molten steel.
[00:39:50.293 --> 00:39:57.979]  Alright, I spent the night on the piles searching for bodies and I saw that with my own eyes.
[00:39:57.979 --> 00:39:59.780]  So, who are you going to believe?
[00:39:59.780 --> 00:40:06.105]  Are you going to believe a bunch of government bureaucrats or my fellow brothers, which I lost 343 guys that day?
[00:40:08.527 --> 00:40:13.330]  And I lost Tommy O'Hagan, Bruce Van Hines, and Kenny Kumpel.
[00:40:13.330 --> 00:40:15.311]  And I can never forget that.
[00:40:15.311 --> 00:40:17.232]  I think of that before I go to bed.
[00:40:17.232 --> 00:40:20.214]  I think about it the first thing in the morning when I wake up.
[00:40:20.214 --> 00:40:34.743]  And it's in honor of them and their family that I will continue to do everything I can to make the rest of the world wake up to the fact that this was a false flag operation.
[00:40:36.485 --> 00:40:47.583]  And now, as you're out there with professionals who understand what it is that they're seeing, what were you all saying to each other when you're looking at this molten lava?
[00:40:48.851 --> 00:40:52.373]  Well, we were overcome with grief, first of all.
[00:40:52.373 --> 00:40:53.394]  We lost 343 guys.
[00:40:53.394 --> 00:40:55.816]  We weren't talking about that.
[00:40:55.816 --> 00:41:01.359]  If you look at the numerous videos, you'll see the guys bent over in incredible grief.
[00:41:01.359 --> 00:41:05.782]  One of the things that we have in the fight department is an incredible brotherhood.
[00:41:05.782 --> 00:41:10.485]  We do what we do, an aggressive interior attack, because we believe in each other.
[00:41:10.485 --> 00:41:14.348]  We know that our guys will pull us out if we get into trouble.
[00:41:14.348 --> 00:41:15.508]  And if we lose somebody,
[00:41:18.157 --> 00:41:19.338]  We're family.
[00:41:19.338 --> 00:41:21.318]  We're very close.
[00:41:21.318 --> 00:41:22.779]  We know each other's families.
[00:41:22.779 --> 00:41:24.620]  We know each other's children.
[00:41:24.620 --> 00:41:32.763]  And one of the things that I've been privy to, is, you know, I'm proud of, is that I... See, the New York City Fire Department is a calling.
[00:41:32.763 --> 00:41:34.864]  It brings out the best in guys.
[00:41:34.864 --> 00:41:41.187]  You know, I mean, in men, who put their lives on the line to save other people's lives.
[00:41:41.187 --> 00:41:45.009]  New York City Fire Department is probably the least integrated of all
[00:41:45.669 --> 00:41:46.809]  The services, right?
[00:41:46.809 --> 00:41:50.651]  When I first came into the firehouse, it was all heavy brogues and stuff.
[00:41:50.651 --> 00:41:59.253]  But those same guys, I've seen them bent over giving mouth-to-mouth to little black children that they've just pulled out of a building.
[00:41:59.253 --> 00:42:06.135]  And typically, when you die or when you cease to breathe, you throw up.
[00:42:06.135 --> 00:42:08.576]  And they gave them mouth-to-mouth.
[00:42:08.576 --> 00:42:11.977]  You know, I've seen incredible acts of heroism.
[00:42:11.977 --> 00:42:13.858]  I love my fellow firefighters.
[00:42:13.858 --> 00:42:14.618]  We love each other.
[00:42:15.058 --> 00:42:20.580]  And I'm dedicated to exposing this false flag that took their lives.
[00:42:20.580 --> 00:42:22.820]  What do your comrades say to you?
[00:42:22.820 --> 00:42:24.181]  What do people say to you?
[00:42:24.181 --> 00:42:30.202]  Because we've tried to talk to some people and of course, you know, they have to worry about their pension and things like that.
[00:42:30.202 --> 00:42:31.843]  They cannot comment.
[00:42:31.843 --> 00:42:33.483]  And I'm retired.
[00:42:33.483 --> 00:42:36.244]  But while I was on, I was approached by the news and I
[00:42:36.744 --> 00:42:39.785]  I deferred from commenting for two reasons.
[00:42:39.785 --> 00:42:44.786]  First of all, I was at 1993, the first bombing.
[00:42:44.786 --> 00:42:45.546]  And I saw that.
[00:42:45.546 --> 00:42:50.208]  I stood shoulder to shoulder with the FBI while they foraged for little paint chips.
[00:42:50.208 --> 00:42:57.990]  And with their forensic science, they can take that paint chip and tell you the make and model of the vehicle that it belonged to.
[00:42:57.990 --> 00:42:59.810]  All right?
[00:42:59.810 --> 00:43:01.630]  And that was a bombing.
[00:43:01.630 --> 00:43:02.551]  This was a bombing.
[00:43:04.329 --> 00:43:07.311]  What did you think about them taking all of the debris away so quickly?
[00:43:07.311 --> 00:43:17.158]  That was a crime in and of itself because the classical thing that any investigator is taught is protect the crime scene.
[00:43:17.158 --> 00:43:22.302]  And NIST and the 9-11 Commission lie to the public.
[00:43:22.302 --> 00:43:25.284]  I mean you cannot be that stupid.
[00:43:25.284 --> 00:43:27.245]  You cannot be that stupid.
[00:43:27.245 --> 00:43:30.248]  In law, as a former police officer, every
[00:43:31.243 --> 00:43:36.327]  Crime or offense has a degree of mental culpability.
[00:43:36.327 --> 00:43:42.591]  Either you knowingly, intentionally, recklessly or negligently committed the act.
[00:43:42.591 --> 00:43:45.673]  And the mere fact that there were obviously
[00:43:48.313 --> 00:43:57.397]  The definition of a conspiracy is when two or more people acting in concert knowingly commit an offense or a crime.
[00:43:57.397 --> 00:43:58.718]  Alright?
[00:43:58.718 --> 00:44:01.399]  A misdemeanor, a felony, an offense.
[00:44:01.399 --> 00:44:04.001]  That is the definition of a conspiracy.
[00:44:04.001 --> 00:44:05.421]  Was this a conspiracy?
[00:44:05.421 --> 00:44:06.242]  Absolutely.
[00:44:06.242 --> 00:44:07.242]  Yes it was.
[00:44:07.242 --> 00:44:10.604]  And those people need to go to jail for treason.
[00:44:12.881 --> 00:44:15.105]  Is there anything else that you want to say to anyone out there?
[00:44:15.105 --> 00:44:18.230]  Anyone who might be wanting to come forward but they're scared?
[00:44:18.230 --> 00:44:21.555]  I want to thank you because you're all we have.
[00:44:22.426 --> 00:44:24.428]  Infowars, right?
[00:44:24.428 --> 00:44:32.794]  And independent press to try to get the word out to the public, because the public is mesmerized by the mainstream media.
[00:44:32.794 --> 00:44:35.837]  And let me give you my opinion of the mainstream media.
[00:44:35.837 --> 00:44:49.567]  The mainstream media, their mission is to act as the most effective weapon of mass deception and public manipulation the world has ever seen.
[00:44:49.567 --> 00:44:51.108]  And if you don't think that's so,
[00:44:51.929 --> 00:45:02.074]  Ask anyone any taboo question that the mainstream media frowns upon with its army of trusted celebrity prostitutes.
[00:45:02.074 --> 00:45:03.935]  Alright?
[00:45:03.935 --> 00:45:14.420]  And you will see a sadly predictable knee-jerk reactionary response from the public because that's what they've been trained to believe and trust in.
[00:45:14.420 --> 00:45:14.700]  Alright?
[00:45:15.370 --> 00:45:21.871]  Well, we are very glad that you took the time to speak with us to try and help break through that paradigm.
[00:45:21.871 --> 00:45:23.272]  We see, you know, here it is.
[00:45:23.272 --> 00:45:29.273]  It's very much like they live all around us with all this programming and just consistent programming with the ceremony.
[00:45:29.273 --> 00:45:37.435]  And we're just so thankful that people like you aren't afraid to speak out, aren't afraid to be laughed at, aren't afraid to be, you know, your friends say, what are you doing, man?
[00:45:37.435 --> 00:45:38.495]  Come on.
[00:45:38.495 --> 00:45:39.355]  Maybe disrespectful.
[00:45:39.955 --> 00:45:44.857]  I think times are telling because, as you know, my name is Rudy Dent.
[00:45:44.857 --> 00:45:57.342]  I did an interview with Ludovsky, yeah, and that interview got over 51,000 views and still climbing.
[00:45:57.342 --> 00:45:59.303]  It got over 1,500 likes and it only got 32 insults.
[00:46:03.845 --> 00:46:04.146]  Right.
[00:46:04.146 --> 00:46:06.927]  The people, they're ready for the truth.
[00:46:06.927 --> 00:46:09.709]  And they can think, you know, 13 years, people are going to forget.
[00:46:09.709 --> 00:46:11.470]  We will never forget.
[00:46:11.470 --> 00:46:12.371]  We remember.
[00:46:12.371 --> 00:46:12.671]  You remember.
[00:46:12.671 --> 00:46:13.311]  Remember this.
[00:46:13.311 --> 00:46:17.234]  The Founding Fathers were up against impossible odds.
[00:46:17.234 --> 00:46:23.138]  They were up against King George III, upon whose holdings the sun never set.
[00:46:23.138 --> 00:46:25.159]  They were only 4%.
[00:46:25.159 --> 00:46:26.680]  And look what happened.
[00:46:26.680 --> 00:46:28.261]  Absolutely.
[00:46:28.261 --> 00:46:29.261]  America.
[00:46:29.261 --> 00:46:30.302]  Yep.
[00:46:30.302 --> 00:46:31.163]  Thank you so much.
[00:46:33.410 --> 00:46:36.692]  Well, Lea McEnany reporting from Times Square, and there you have it.
[00:46:36.692 --> 00:46:37.952]  The people are ready for truth.
[00:46:37.952 --> 00:46:46.196]  It does not matter how many of these anniversaries go by, the truth will reveal itself in due time.
[00:46:46.196 --> 00:46:48.597]  So are you ready for the truth out there?
[00:46:48.597 --> 00:46:56.221]  Are you ready to actually look at the way things happen, listen to what eyewitnesses have said, watch the video evidence,
[00:46:57.759 --> 00:47:07.425]  Watch the news presentation from BBC where they're talking about the Building 7 falling while they're standing in front of Building 7 and it hasn't fallen yet.
[00:47:07.425 --> 00:47:09.947]  This is a crime.
[00:47:09.947 --> 00:47:12.769]  Can you imagine what the world would be like if we didn't have 9-11?
[00:47:12.769 --> 00:47:15.410]  If we weren't in these wars?
[00:47:15.410 --> 00:47:18.052]  It'd be a totally different place.
[00:47:18.052 --> 00:47:19.033]  Totally different.
[00:47:19.033 --> 00:47:20.734]  We wouldn't have the NSA, the TSA.
[00:47:20.734 --> 00:47:24.216]  We still have the NSA, but they wouldn't be as big.
[00:47:24.216 --> 00:47:25.397]  You wouldn't have Homeland Security.
[00:47:26.670 --> 00:47:32.771]  I mean, we wouldn't even be talking about Janet Napolitano and Jay Johnson and all these other people that want to leave the border open.
[00:47:32.771 --> 00:47:35.272]  It would be a different world.
[00:47:35.272 --> 00:47:41.273]  So joining us now, we have the nice young lady, Leanne McAdoo, Joe Biggs.
[00:47:41.273 --> 00:47:46.454]  They were there in New York covering the 14th anniversary.
[00:47:46.454 --> 00:47:49.955]  Guys, what are your impressions of what was going on in Island?
[00:47:49.955 --> 00:47:53.555]  People are awake now and they're ready to accept the truth.
[00:47:53.555 --> 00:47:54.776]  Don't you think?
[00:47:54.776 --> 00:47:56.036]  One of the craziest things I thought
[00:47:56.889 --> 00:47:59.210]  You know, New York coined that phrase, never forget.
[00:47:59.210 --> 00:48:03.212]  There was a lot of people out there who forgot that 9-11 was going on.
[00:48:03.212 --> 00:48:06.314]  Well you saw them in that interview, they were walking back and forth looking for Batman to take pictures of.
[00:48:06.314 --> 00:48:11.577]  Oh yeah, they want to take pictures with heroes, because a hero to them is Superman, Spiderman, something like that.
[00:48:11.577 --> 00:48:15.939]  Not a man like that who's willing to stand up against the grain and tell you the truth about what's really going on.
[00:48:15.939 --> 00:48:17.900]  That guy should have had a million pictures taken of him.
[00:48:18.140 --> 00:48:18.860]  Yes.
[00:48:18.860 --> 00:48:20.221]  Exactly.
[00:48:20.221 --> 00:48:23.963]  People should have been lined up saying, hey, you're a hero, you're speaking out.
[00:48:23.963 --> 00:48:25.803]  You're not concerned about your pension.
[00:48:25.803 --> 00:48:26.964]  And you have a story about that.
[00:48:26.964 --> 00:48:28.565]  You said a police officer came to you.
[00:48:28.565 --> 00:48:30.125]  Tell us that story.
[00:48:30.125 --> 00:48:37.949]  Right when we first got to right outside the Ground Zero area where they had a lot of the truthers blocked off to be able to talk and protest.
[00:48:39.242 --> 00:48:43.384]  I actually had a uniformed officer come up to me, he goes, hey, Joe Biggs, can I talk to you?
[00:48:43.384 --> 00:48:47.226]  And I'm sitting there first thing like, all right, why does this cop know my name?
[00:48:47.226 --> 00:48:49.888]  And he's like, hey, he's like, I can't be on record right now.
[00:48:49.888 --> 00:48:52.569]  He's like, I'm two months away from retirement.
[00:48:52.569 --> 00:48:54.790]  But I'm gonna tell you this, he's like, I was there.
[00:48:54.790 --> 00:48:58.392]  I saw an explosion at the bottom of the second tower before it happened.
[00:48:58.392 --> 00:49:01.874]  I saw debris shoot out right before everything happened.
[00:49:01.874 --> 00:49:03.875]  And he says, I guarantee you.
[00:49:05.183 --> 00:49:07.285]  The planes did not just bring this down.
[00:49:07.285 --> 00:49:09.908]  He's like, this was a planned event.
[00:49:09.908 --> 00:49:15.293]  And how many more out there are like him, but they're afraid to come forward because they're worried about their pension.
[00:49:15.293 --> 00:49:17.275]  Let me tell you, they take your pension anytime they want.
[00:49:17.275 --> 00:49:17.896]  Right.
[00:49:17.896 --> 00:49:19.217]  They're doing it in Detroit.
[00:49:19.217 --> 00:49:21.660]  They're taking their everybody's got to take a haircut.
[00:49:21.660 --> 00:49:22.360]  That's what they call it.
[00:49:22.360 --> 00:49:26.645]  They call it a haircut when they steal money from, you know, it's so they're gonna take your pension.
[00:49:27.245 --> 00:49:28.406]  Whether you speak up or not.
[00:49:28.406 --> 00:49:34.130]  Well anybody in the government, all these government agencies now, border patrols, scared to come out and talk about the truth that they see.
[00:49:34.130 --> 00:49:36.092]  Actually seeing Korans and stuff at the border.
[00:49:36.092 --> 00:49:40.895]  They're afraid to speak to media because they're going to be threatened by the government, losing their jobs.
[00:49:40.895 --> 00:49:46.940]  They'll threaten them with, hey your family's not going to have any money, your kids aren't going to have the health care that we provide, all this stuff.
[00:49:46.940 --> 00:49:47.801]  It's crazy.
[00:49:47.801 --> 00:49:48.801]  The links are going to...
[00:49:49.782 --> 00:49:55.065]  To suppress these people from speaking out about what really happens all the time with this corrupt government.
[00:49:55.065 --> 00:49:56.346]  Because they're afraid of the truth.
[00:49:56.346 --> 00:50:02.330]  Initially, if Rudy or others would have spoken out, people wouldn't, they weren't ready to hear what they had to say.
[00:50:02.330 --> 00:50:04.551]  They would have immediately been ostracized.
[00:50:04.551 --> 00:50:08.214]  Now some time has passed and he is able to speak out.
[00:50:08.214 --> 00:50:09.634]  People are ready to hear the truth.
[00:50:09.634 --> 00:50:13.197]  They've had years and years and years of evidence presented to them.
[00:50:13.717 --> 00:50:18.380]  And that's one of the big issues that I have with people who just refuse to look at the evidence out there.
[00:50:18.380 --> 00:50:28.967]  They think they're so sophisticated, and everyone who's a quote-unquote truther, as if wanting the truth is a bad thing, should be, you know, a bad thing, but... Well, they're under psychological trauma.
[00:50:28.967 --> 00:50:35.812]  They've been beaten with this, the images of the buildings collapsing and the planes hitting the towers over and over again for 14 years now.
[00:50:37.301 --> 00:50:39.182]  We're into two wars.
[00:50:39.182 --> 00:50:41.683]  We're about to go into Africa to help him out with Ebola.
[00:50:41.683 --> 00:50:42.163]  Right.
[00:50:42.163 --> 00:50:44.044]  Sending troops to Africa to help with Ebola.
[00:50:44.044 --> 00:50:46.365]  And what did I say last week while we were in New York?
[00:50:46.365 --> 00:50:46.725]  Hold that.
[00:50:46.725 --> 00:50:48.526]  We're going to come right back with you guys.
[00:50:48.526 --> 00:50:49.667]  It's the Alex Jones Show.
[00:50:49.667 --> 00:50:50.387]  I'm your host Rob Due.
[00:50:50.387 --> 00:50:55.510]  You can check us out at InfoWars.com, PrisonPlanet.tv and InfoWars.com forward slash show.
[00:50:55.510 --> 00:50:56.050]  We'll be right back.
[00:50:59.275 --> 00:51:00.055]  Gold.
[00:51:00.055 --> 00:51:01.576]  It's like nothing else on Earth.
[00:51:01.576 --> 00:51:07.857]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[00:51:07.857 --> 00:51:12.039]  For 6,000 years, gold has remained the ultimate store of wealth.
[00:51:12.039 --> 00:51:13.979]  According to the World Gold Council and the U.S.
[00:51:13.979 --> 00:51:16.400]  Mint, demand is at an all-time high.
[00:51:16.400 --> 00:51:24.002]  The stage is being set for the reemergence of gold as the common-sense alternative to a fiat paper currency that gets weaker every day.
[00:51:24.002 --> 00:51:24.822]  We're good to go.
[00:51:48.036 --> 00:51:54.820]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:52:05.626 --> 00:52:07.968]  But it's not just the air outside that's toxic.
[00:52:07.968 --> 00:52:13.252]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:52:13.252 --> 00:52:18.416]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:52:18.416 --> 00:52:21.478]  There are more than 42 million smokers in the United States.
[00:52:21.758 --> 00:52:25.801]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:52:25.801 --> 00:52:30.104]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[00:52:30.104 --> 00:52:40.350]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:52:40.350 --> 00:52:42.872]  Made with organic and wild cultivated herbs,
[00:52:43.172 --> 00:52:51.256]  Manufactured in the USA, the new InfoWars Live Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[00:52:51.256 --> 00:52:55.238]  Now available exclusively at InfoWarsLive.com or by calling toll-free 888-253-3139.
[00:52:58.598 --> 00:52:59.379]  This is Dan Pilla.
[00:52:59.379 --> 00:53:01.200]  Do you have the IRS money you can't pay?
[00:53:01.200 --> 00:53:02.841]  Are tax debts crippling you?
[00:53:02.841 --> 00:53:05.683]  I've defended people from the IRS for over 30 years.
[00:53:05.683 --> 00:53:07.964]  I've helped thousands and I can help you too.
[00:53:07.964 --> 00:53:12.467]  I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[00:53:12.467 --> 00:53:16.410]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:53:16.410 --> 00:53:20.192]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:53:20.192 --> 00:53:20.513]  Call 800-34-NO-TAX.
[00:53:20.513 --> 00:53:22.254]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:53:27.958 --> 00:53:29.198]  Our big story.
[00:53:29.198 --> 00:53:34.199]  Gun owners react as politicians continue to ban high-capacity magazines state by state.
[00:53:34.199 --> 00:53:37.320]  I think that these weapons ought to be stopped.
[00:53:37.320 --> 00:53:40.100]  Magazine restrictions have already happened in nine states.
[00:53:40.100 --> 00:53:47.021]  Staffed with formal special operations personnel, GunMagWarehouse.com is the only company that specializes in gun magazines.
[00:53:47.021 --> 00:53:51.462]  GunMagWarehouse.com has the largest selection of the magazines you should stock up on.
[00:53:51.462 --> 00:53:55.203]  Go now to GunMagWarehouse.com before it happens in your state.
[00:53:55.203 --> 00:53:56.563]  Get it before you regret it.
[00:54:10.788 --> 00:54:12.229]  We're back live.
[00:54:12.229 --> 00:54:14.110]  Crashing through the lies and disinformation.
[00:54:14.110 --> 00:54:15.411]  It's the Alex Jones Show.
[00:54:15.411 --> 00:54:17.152]  I'm your host Rob Dew.
[00:54:17.152 --> 00:54:21.155]  Sitting over here shotgun, I got Leanne McAdoo, reporter for InfoWars.com.
[00:54:21.155 --> 00:54:23.997]  Staff Sergeant Joe Biggs, retired.
[00:54:23.997 --> 00:54:25.958]  Also reporter for InfoWars.com.
[00:54:25.958 --> 00:54:29.580]  You can see them on the InfoWars Nightly News on their many reports.
[00:54:30.846 --> 00:54:37.872]  And we're finishing up here with talking about New York and we started talking about Africa as we were going to break.
[00:54:37.872 --> 00:54:42.295]  You like to talk about this low progression of tyranny and what's going on in Africa now?
[00:54:42.295 --> 00:54:51.963]  First we... Well, like I said last week when we were at Ground Zero when I was on the Alex Jones Show, I mentioned that how the government does stuff, we use this humanitarian crisis.
[00:54:52.923 --> 00:54:57.405]  Today, the headline on Drudge is humanitarian catastrophe in Africa.
[00:54:57.405 --> 00:55:01.466]  So, what happens after there's a humanitarian crisis?
[00:55:01.466 --> 00:55:02.666]  We send troops.
[00:55:02.666 --> 00:55:04.767]  Now Obama is sending 3,000 troops.
[00:55:04.767 --> 00:55:06.788]  What has Obama said that he will do?
[00:55:06.788 --> 00:55:09.749]  To any American, he will detain them if they get Ebola.
[00:55:10.149 --> 00:55:11.210]  So what's going to happen?
[00:55:11.210 --> 00:55:17.277]  We send 3,000 Americans to Africa to help build these facilities, the houses, Ebola patients.
[00:55:17.277 --> 00:55:18.319]  Someone gets sick.
[00:55:18.319 --> 00:55:19.220]  It spreads.
[00:55:19.220 --> 00:55:20.041]  They're detained.
[00:55:20.041 --> 00:55:20.681]  They're kept there.
[00:55:20.681 --> 00:55:22.303]  Then we have to build a bigger presence.
[00:55:22.303 --> 00:55:23.364]  We have to send more people.
[00:55:23.364 --> 00:55:27.009]  Next thing you know, we're sending thousands more troops to Africa.
[00:55:27.009 --> 00:55:29.251]  And then Leanne brought up a good point about the Bilderberg agenda.
[00:55:29.251 --> 00:55:29.592]  What was that?
[00:55:30.325 --> 00:55:34.607]  Right, well on this year's Bilderberg agenda, Africa's challenges.
[00:55:34.607 --> 00:55:41.509]  That was one of the big things that they were going to be discussing at Bilderberg, was Africa's challenges as well as, you know, the future of the Middle East.
[00:55:41.509 --> 00:55:49.872]  And so now we're seeing humanitarian crises that we've got to go and infiltrate these countries to help with these humanitarian crises in those particular areas.
[00:55:49.872 --> 00:55:54.793]  Well, September 10th last year, a year ago from now, Obama, what did he do?
[00:55:54.793 --> 00:56:05.416]  The eve of 9-11, he came out and said, hey, we need to fund the Free Syrian Army to help topple the Assad regime because there's a humanitarian crisis going on.
[00:56:05.416 --> 00:56:06.816]  We're trying to get that war.
[00:56:06.816 --> 00:56:12.958]  We need our next big war so we can move in those contracting groups and make billions of dollars for our country.
[00:56:12.958 --> 00:56:15.058]  That's what it's all about at the end of the day.
[00:56:15.058 --> 00:56:16.999]  Money and power and more land.
[00:56:17.239 --> 00:56:22.322]  And now the ISIS moderates, all the rebel groups, their whole leadership has been decimated.
[00:56:22.322 --> 00:56:29.086]  We're going to start making bombing runs into Syria, and if Assad dares look at our planes, we're going to start a war with him.
[00:56:29.086 --> 00:56:38.511]  Powerful al-Qaeda branches in Yemen and North Africa called Tuesday for jihadists and Iraqis here to unite against a common threat from a U.S.-led coalition.
[00:56:38.511 --> 00:56:40.752]  They are calling for everyone to come out there now.
[00:56:40.752 --> 00:56:41.873]  And now we're going to Africa.
[00:56:42.273 --> 00:56:42.973]  Yeah.
[00:56:42.973 --> 00:56:48.295]  We've definitely created this mess and it all started with Saudi Arabia funding ISIS.
[00:56:48.295 --> 00:56:50.176]  We're giving them weapons through Turkey.
[00:56:50.176 --> 00:56:52.597]  I mean, and it just keeps going and going.
[00:56:52.597 --> 00:56:54.958]  I mean, they're even running some of the bases out of Turkey.
[00:56:54.958 --> 00:57:02.061]  And they're wanting to continue to arm the moderates that have been, they've been vetted and they're with us.
[00:57:02.061 --> 00:57:02.921]  They're not with the terrorists.
[00:57:02.921 --> 00:57:07.123]  Meanwhile, they just signed a non-aggression pact with ISIS.
[00:57:07.509 --> 00:57:09.971]  Well, and they're giving the weapons that we give them, they just give to ISIS.
[00:57:09.971 --> 00:57:12.112]  We're laundering weapons through these countries.
[00:57:12.112 --> 00:57:12.532]  Exactly.
[00:57:12.532 --> 00:57:16.435]  We give it to one person, we know that group gives it to them, to the Free Syrian Army.
[00:57:16.435 --> 00:57:28.683]  We know that the Free Syrian Army has said, hey, we've pled our allegiance to ISIS, and they were giving them weapons in mass numbers, and they're not even giving them the weapon, they're giving them bodies to Baghdad to help them out.
[00:57:28.683 --> 00:57:30.204]  More money, that builds together.
[00:57:30.204 --> 00:57:37.449]  When you bring them together, that's more money, and then they have a larger area that they can cover, and it makes it easier for them to move freely throughout the world.
[00:57:37.449 --> 00:57:37.841]  We're good.
[00:57:38.191 --> 00:57:44.374]  And we've had plenty of training with Fast and Furious of arming people in Mexico with illegal gun and gun running.
[00:57:44.374 --> 00:57:46.314]  So it's just one of the things we do.
[00:57:46.314 --> 00:57:49.876]  We make a lot of guns and give them to people so then they can come and attack us.
[00:57:49.876 --> 00:57:51.597]  That's the old problem, reaction, solution.
[00:57:51.597 --> 00:57:55.158]  They want to have a, I think they want something here on American soil.
[00:57:55.158 --> 00:57:57.419]  That's how they get that FEMA cam thing enacted.
[00:57:57.419 --> 00:58:02.081]  Because we already saw how quick, I've said it before, in Ferguson we can go into that martial law state.
[00:58:02.081 --> 00:58:03.922]  They want to have people scared.
[00:58:03.922 --> 00:58:06.022]  They want to people feel like they need that government.
[00:58:06.022 --> 00:58:06.923]  They need more police.
[00:58:07.663 --> 00:58:11.285]  If you don't have police, ICE is going to come in here and they're going to kill your family.
[00:58:11.285 --> 00:58:16.869]  So you need us running up and down the streets with tanks, with MRAPs, with sniper rifles on top so you can be safe.
[00:58:16.869 --> 00:58:20.130]  Meanwhile, we're losing every liberty we have right there.
[00:58:20.130 --> 00:58:21.151]  But people will ignore that.
[00:58:21.151 --> 00:58:27.355]  They won't even pay attention because they'll be so scared by this Frankenstein that the Obama administration has created.
[00:58:28.072 --> 00:58:29.814]  Powerful stuff, guys.
[00:58:29.814 --> 00:58:30.895]  We're going to be back with more.
[00:58:30.895 --> 00:58:33.017]  These guys are going to join us for one more segment.
[00:58:33.017 --> 00:58:37.242]  Leanne McAdoo, Joe Biggs, and then we have Lord Mocton via Skype.
[00:58:37.242 --> 00:58:39.745]  We'll be right back.
[00:58:39.745 --> 00:58:43.169]  Thank you for listening to GCN.
[00:58:43.169 --> 00:58:45.211]  Visit GCNlive.com today.
[00:58:49.781 --> 00:58:56.445]  When you're out on the road, the last place you want to be is on the road.
[00:58:56.445 --> 00:59:01.587]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:59:01.587 --> 00:59:10.312]  There's a place down in Tennessee, where they make blue diamond gusset jeans.
[00:59:10.312 --> 00:59:14.374]  They sew pride in every stitch.
