[00:00:08.490 --> 00:00:11.432]  Thursday, November 24th, the year 2022.
[00:44:38.058 --> 00:44:40.440]  They're all absolutely amazing supplements.
[00:44:40.440 --> 00:44:41.561]  The one I like recently
[00:44:41.581 --> 00:44:42.883]  Beautifully said, brother.
[00:44:42.883 --> 00:44:44.765]  I thank you so much for your call, and Godspeed.
[00:44:59.562 --> 00:45:02.946]  Everybody that's watching this needs to support Alex Jones.
[00:45:02.946 --> 00:45:05.750]  Needs to support InfoWars and Vans.Video.
[00:45:05.750 --> 00:45:08.473]  You know, the Bible says, let another mouth praise you.
[00:45:08.473 --> 00:45:09.735]  I'm gonna do that right now.
[00:45:09.735 --> 00:45:13.660]  Alex Jones has helped so many people in this industry.
[00:45:13.660 --> 00:45:18.546]  You guys have no idea how many people have got their first start like Savannah Hernandez.
[00:45:18.846 --> 00:45:25.010]  How many people have just been put on a launch pad to outer space because of Alex Jones, including myself?
[00:45:25.010 --> 00:45:33.736]  I've been given so many opportunities because of this man and because of this platform, and I would probably not even be half of where I am right now if it weren't for Alex Jones.
[00:45:33.736 --> 00:45:39.339]  I mean, I've been able to be on podcasts with Alex and Joe Rogan and TimCast, the super TimCast IRL.
[00:45:39.339 --> 00:45:44.763]  Listen, what I'm saying is, do not take Alex Jones and Bandot video for granted.
[00:45:45.003 --> 00:45:47.486]  Because you don't know what you have until it's gone.
[00:45:47.486 --> 00:45:50.169]  We need to support free speech systems right now.
[00:45:50.169 --> 00:45:51.651]  So go check out the store.
[00:45:51.651 --> 00:45:52.852]  Go support their store.
[00:45:52.852 --> 00:45:54.354]  Go support InfoWars.
[00:45:54.354 --> 00:45:55.716]  Leave a donation right now.
[00:45:55.716 --> 00:45:57.217]  Don't wait until they're gone!
[00:45:59.594 --> 00:46:07.936]  In Arizona, I think we watched the election be stolen, slowly stolen, day by day, counting these mail-in ballots.
[00:46:07.936 --> 00:46:17.578]  And it's absolutely absurd for anyone to take our election seriously when we, we just, it's election month, Alex, it's not election day.
[00:46:17.578 --> 00:46:19.239]  And that's the problem.
[00:46:19.239 --> 00:46:21.999]  And everything changed after COVID-19.
[00:46:21.999 --> 00:46:24.780]  They illegally changed state elections.
[00:46:25.680 --> 00:46:31.223]  Mailing ballots to anyone and everyone, and sometimes mailing multiple ballots to people.
[00:46:31.223 --> 00:46:33.244]  Well, this isn't any way to run an election.
[00:46:33.244 --> 00:46:37.505]  We are in a serious country when we have elections that can be stolen like this.
[00:46:37.505 --> 00:46:52.612]  And I believe that, just like I believe the election was stolen in 2020, and I have no problem saying that, and it is so absurd for the media and the Democrats to attack us that question our election integrity, and question the fact that elections
[00:46:53.352 --> 00:46:55.453]  Um, shouldn't be run the way they are.
[00:46:55.453 --> 00:47:00.295]  We're not election deniers, we're election realists.
[00:47:00.295 --> 00:47:06.198]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:47:16.768 --> 00:47:21.772]  Rallying patriots worldwide in defense of human liberty.
[00:47:21.772 --> 00:47:32.359]  It's Alex Jones.
[00:47:32.359 --> 00:47:35.301]  Who are the people behind the scenes pulling their strings?
[00:47:35.301 --> 00:47:38.404]  Do you have any insight into that from all of your connections?
[00:47:38.404 --> 00:47:39.704]  Yes.
[00:47:39.704 --> 00:47:41.706]  First and foremost, this global government.
[00:47:42.947 --> 00:47:46.249]  Well, there's really three power groups.
[00:47:46.249 --> 00:47:48.971]  There's the Anglo-American establishment, nothing to do with being white.
[00:47:48.971 --> 00:47:51.293]  It's just what the British-U.S.
[00:47:51.293 --> 00:47:53.815]  combined empire calls itself.
[00:47:53.815 --> 00:47:57.878]  Others like Anglo-American oil, it was BP and all the rest of it.
[00:47:57.878 --> 00:48:00.240]  And so you got that major power block.
[00:48:00.240 --> 00:48:01.741]  The British Empire merged the U.S.
[00:48:01.741 --> 00:48:04.342]  Empire after World War II.
[00:48:05.926 --> 00:48:06.206]  The U.S.
[00:48:06.206 --> 00:48:10.209]  became an empire after the Spanish-American War in 1898.
[00:48:10.209 --> 00:48:12.731]  For those who don't know, historians officially see it as that.
[00:48:12.731 --> 00:48:14.612]  So that's the dominant force.
[00:48:14.612 --> 00:48:25.080]  Then you've got the Russians that are a wild card, and you've got the Chinese that are allied or were allied with the Anglo-American establishment, but of their own predator group.
[00:48:25.080 --> 00:48:30.804]  And when you talk about who really runs it, it really is the old royalty of Europe,
[00:48:31.926 --> 00:48:35.388]  That is one breed, and they're not even German.
[00:48:35.388 --> 00:48:50.879]  They're mainly Eastern European, Hungarian, Romanian, because that's the folks, starting like 800 years ago, that stopped the Muslims and controlled the trade coming out of the caravans into Europe.
[00:48:50.879 --> 00:48:52.360]  It's all the royal main lines.
[00:48:54.069 --> 00:48:54.950]  I'm getting too complex.
[00:49:11.536 --> 00:49:13.916]  Hapsburgs are all the same people.
[00:49:13.916 --> 00:49:16.037]  Bloodlines, and they're dominant.
[00:49:16.037 --> 00:49:18.257]  The Rothschilds got involved in that.
[00:49:18.257 --> 00:49:21.018]  The British Empire, they intermarried, are now lords.
[00:49:21.018 --> 00:49:23.438]  So they've actually merged into that.
[00:49:23.438 --> 00:49:26.999]  The Rockefellers and the Carnegies and the J.P.
[00:49:26.999 --> 00:49:36.701]  Morgans were just their front people here in the United States and setting up the whole Anglo-American merger and alliance that, by the way, not my opinion, he wrote three
[00:49:37.842 --> 00:49:38.582]  Books on it.
[00:49:38.582 --> 00:49:41.684]  Winston Churchill wrote The History of the English-Speaking Peoples.
[00:49:41.684 --> 00:49:42.784]  And it's all in there, by the way.
[00:49:42.784 --> 00:49:45.725]  None of this is even hidden at, you know, academic-level reading.
[00:49:45.725 --> 00:49:47.786]  I read all three of those books when I was in high school.
[00:49:47.786 --> 00:49:48.847]  They're incredible.
[00:49:48.847 --> 00:49:50.947]  In fact, I want to reread them if I have the time.
[00:49:50.947 --> 00:49:52.028]  Because it's all right there.
[00:49:52.028 --> 00:49:58.450]  Cecil Rhodes, by 1900, already had a plan for a world government and how they were going to merge the U.S.
[00:49:58.450 --> 00:49:59.631]  and British Empire.
[00:49:59.631 --> 00:50:02.412]  They set up the Council on Foreign Relations to do that in 1921 at Krauthaus in New York.
[00:50:04.813 --> 00:50:16.513]  And so yes, Henry Kissinger, Zbigniew Brzezinski, people like Klaus Schwab, they're all just front people and so at the top it's these all
[00:50:17.967 --> 00:50:34.412]  Old, rich, powerful families who commissioned the British Royal Societies in the 1850s to learn how to take control of humanity and make humans a commodity, and then breed humans like animals, and create a caste system.
[00:50:34.412 --> 00:50:37.493]  This is all Galton, Wedgwood, Darwin.
[00:50:37.493 --> 00:50:38.374]  They were all hired for that.
[00:50:38.374 --> 00:50:42.175]  It's all on record in the Eugenics Society, in the founding of the modern eugenics movement.
[00:50:42.655 --> 00:50:50.101]  And they envisioned biometrics, computers, finding out the secrets of our cells, even before they called themselves.
[00:50:50.101 --> 00:50:53.323]  Their projects discovered DNA, everything.
[00:50:53.323 --> 00:50:57.806]  In the next 60, 70 years, they were able, with this giant project, to do that.
[00:50:57.806 --> 00:51:01.489]  And their main mission was figure out how to take control of all life on Earth, including humans.
[00:51:02.483 --> 00:51:05.146]  And learn how to discover immortality.
[00:51:05.146 --> 00:51:08.849]  That's obviously what the ultra-rich want, and how to basically become gods.
[00:51:08.849 --> 00:51:16.257]  And so out of the eugenic society that was embarrassed by Hitler in World War II, Hitler and the Kaiser Wilhelm Institute were a spinoff of that.
[00:51:16.257 --> 00:51:21.882]  They then created the transhumanist society with Aldous Huxley's brother Julian Huxley.
[00:51:22.583 --> 00:51:41.252]  And then once they had done that, basically everything you see is a projection of that, how to get control of humanity, how to turn us basically into these bots that if they decide we survive, are basically programmable, so that the elites of the world that we hear, Noah, Yuval Harari,
[00:51:42.933 --> 00:51:47.614]  Revol Noah Harari talking about that the future is not human.
[00:51:47.614 --> 00:51:50.395]  That's a quote.
[00:51:50.395 --> 00:51:52.616]  By 2047, there'll be no more humans left.
[00:51:52.616 --> 00:51:53.616]  We'll all be cyborgs.
[00:51:53.616 --> 00:51:55.077]  This is them saying this.
[00:51:55.077 --> 00:51:57.317]  We're going to have a digital dictatorship.
[00:51:57.317 --> 00:52:05.880]  We don't believe in Jesus, or we don't believe in Muhammad, or we don't believe in God, is a quote of his, but we're going to be gods.
[00:52:06.620 --> 00:52:08.822]  And Microsoft and Apple are going to be God.
[00:52:08.822 --> 00:52:10.823]  The tiny elite are going to be God.
[00:52:10.823 --> 00:52:11.584]  And we won't be needed.
[00:52:11.584 --> 00:52:13.505]  They're going to get rid of the rest of us.
[00:52:13.505 --> 00:52:19.410]  And so, this is externalization of that transhumanist program that I exposed in the seminal film.
[00:52:20.660 --> 00:52:38.213]  Endgame blueprint for global enslavement that can still be found if you search hard enough free online Back when Google video was still around in 2007 when we launched the film for free It had 80 plus million views when I got rid of Google video Then it had about 40 million views on my main YouTube channel.
[00:52:38.213 --> 00:52:41.916]  They took it down But but but you can still find some out there.
[00:52:41.916 --> 00:52:48.220]  Everybody's authorized to repost it and share it and do whatever you want with it but if you watch that film from
[00:52:49.421 --> 00:52:55.583]  I guess now 10, 17 years ago, hardly it's been that long.
[00:52:55.583 --> 00:52:56.983]  It's all basically come true.
[00:52:56.983 --> 00:53:02.105]  Well, that's because it was their battle plan that they were going from beta to operational right at that point.
[00:53:02.105 --> 00:53:05.006]  And so now they're accelerating into this operation.
[00:53:05.006 --> 00:53:17.850]  So to sum up your all-important question, in the final equation, it is an alliance of old powerful money that wants to live forever and become God, the Garden of Eden for real, and the promise of the serpent.
[00:53:18.610 --> 00:53:25.692]  Funding unlimited scientific research in every level there is.
[00:53:25.692 --> 00:53:45.299]  These groups actually financed what we know of as the whole genetic engineering arm, the computer arm, and the electromagnetic arm, and just this entire thing is a huge program that the Manhattan Project was only 1 100th out of my estimation.
[00:53:46.588 --> 00:53:51.050]  A giant secret scientific program for the elite to live forever and become God.
[00:53:51.050 --> 00:53:57.032]  And in the process, from the beginning, they said we first must follow Malthus and Plato's ideas.
[00:53:57.032 --> 00:53:59.513]  Plato, 2,300 years ago.
[00:53:59.513 --> 00:54:01.574]  Malthus, 300 years ago.
[00:54:01.574 --> 00:54:10.297]  Of exterminating the majority of the public as our survival of fitness, social Darwinistic toll.
[00:54:11.763 --> 00:54:20.391]  That it is their main tenet that we must first be cold to 500 million, bare minimum, before they can then transcend to the Godhead.
[00:54:21.869 --> 00:54:23.170]  Wow, yes.
[00:54:23.170 --> 00:54:24.331]  And I agree with all of that.
[00:54:24.331 --> 00:54:28.513]  And boy, that was a great way to lay that out in the history pattern, Alex.
[00:54:28.513 --> 00:54:33.977]  You know, this entire year, I spent this entire year on Genesis 6.
[00:54:33.977 --> 00:54:43.403]  You know, on Tuesday and Thursday night, I do an online Bible study called Happy Hour with Dr. T. And on Tuesday night, I invite authors and pastors and, you know, really people from that perspective.
[00:54:43.403 --> 00:54:47.006]  And we talk about God and we have an online Bible study on Tuesday and Thursday night.
[00:54:47.746 --> 00:55:04.832]  And this entire year has been about Genesis 6 and actually about Genesis 3 verse 15 where God cursed Satan and said, you and your seed, Satan and your seed will bruise his heel.
[00:55:04.832 --> 00:55:06.113]  His heel meaning Christ's heel.
[00:55:06.693 --> 00:55:11.058]  And you're the doctor, you're the scientist, but I think you're talking about mitochondrial DNA.
[00:55:11.058 --> 00:55:15.403]  No matter what they try to manipulate with our DNA, we still will carry forth the real DNA.
[00:55:29.738 --> 00:55:41.665]  Yes, except for the messenger RNA now is slicing up our DNA and the sulfide bonds that across our DNA spells the word Yahweh from the Hebrew alphabet.
[00:55:41.665 --> 00:55:47.068]  And the messenger RNA is going in and destroying that because they want to destroy God from the inside out.
[00:55:47.068 --> 00:55:52.271]  You know, when this first started in March of 2020, when I wrote that article, you know, same playbook, different virus.
[00:55:52.751 --> 00:55:55.713]  I also sort of looked up and I said, wow, we got to get busy here.
[00:55:55.713 --> 00:55:57.474]  This is Satan's last hurrah.
[00:55:57.474 --> 00:56:08.102]  You know, the Lord's coming back sooner than we think, just because he, you know, Jesus himself said, only the Father in heaven knows the day that I will come back, but you will know by the signs of the time.
[00:56:08.542 --> 00:56:28.775]  You will know as in the days of Noah where they bred humans and animals and genetic modification and like you mentioned the humanized mice and and the glow-in-the-dark pigs and all these different things that they're doing was what was happening as in the days of Noah when God came on earth and said whoa I made a mistake of this free will here I repent that I even
[00:56:29.435 --> 00:56:35.380]  Even created humans, we need to erase the plan and start over again.
[00:56:35.380 --> 00:56:39.783]  So all of that stuff that we're doing, this is all good versus evil.
[00:56:39.783 --> 00:56:44.527]  It is all, you know, we are fighting powers and principalities of this greater darkness.
[00:56:44.527 --> 00:56:46.008]  You know, it's not human against human.
[00:56:46.008 --> 00:56:51.252]  It's like the evil that's upon this planet that we've been fighting since the Garden of Eden actually.
[00:56:51.252 --> 00:56:56.576]  And we're coming up to that point of actually all these things are being exposed and it's becoming
[00:56:57.056 --> 00:57:01.739]  It's getting clearer and clearer that there's going to be less and less gray area to pick from.
[00:57:01.739 --> 00:57:02.999]  It's a black or white.
[00:57:02.999 --> 00:57:08.562]  Either you're on board with God and Jesus and you're on board with that or you're not.
[00:57:08.562 --> 00:57:14.325]  And it's almost like you've got your foot on, one foot on the deck and the other foot on the boat and the boat's kind of moving this way.
[00:57:14.325 --> 00:57:21.509]  And you've got to either get on the, stay safe over here on the dock, or you're going to get on the boat and go with God.
[00:57:21.509 --> 00:57:24.771]  Because if you fall in the middle, there's crocodiles in the middle are going to eat you alive.
[00:57:25.352 --> 00:57:32.889]  And notice, the devil always creates a counterfeit of what God says, and the devil loves to quote scripture, but the twist is...
[00:57:49.701 --> 00:57:51.942]  I've got some good news and bad news.
[00:57:51.942 --> 00:57:57.145]  InfoWars is running the biggest sale of 2022 right now on our amazing products.
[00:57:57.145 --> 00:58:02.689]  Your chance to empower your body, your health, your immune system and more, and keep us on the air, a win-win.
[00:58:02.689 --> 00:58:11.214]  The bad news is a bunch of our best-selling products have already sold out, and because of supply chain breakdowns, it'll be months and months until these great products come back in.
[00:58:11.214 --> 00:58:12.574]  X3 sold out.
[00:58:12.574 --> 00:58:12.955]  Our great
[00:58:13.715 --> 00:58:16.558]  American Coffee Blend has sold out.
[00:58:16.558 --> 00:58:18.300]  Biotricillinium has sold out.
[00:58:18.300 --> 00:58:31.313]  But what hasn't sold out is DNA Force Plus, Vitamin Mineral Fusion, Body's Ultimate Turmeric Formula, Whole Food Multivitamin, Rain Force Ultra, Super Mel Vitality, and so much more.
[00:58:31.753 --> 00:58:37.295]  So, you've only got a few weeks to get these products at the lowest price you're ever going to find them.
[00:58:37.295 --> 00:58:38.295]  Don't fight the crowds.
[00:58:38.295 --> 00:58:39.555]  Don't fight the traffic.
[00:58:39.555 --> 00:58:42.116]  Don't do all your Christmas shopping in a month like a fool.
[00:58:42.116 --> 00:58:43.276]  Do it now.
[00:58:43.276 --> 00:58:44.156]  Get it all over with.
[00:58:44.156 --> 00:58:45.277]  Get a great deal.
[00:58:45.277 --> 00:58:47.577]  Keep InfoWars on the air while empowering your body.
[00:58:47.577 --> 00:58:49.738]  InfoWarsStore.com.
[00:58:49.738 --> 00:59:00.801]  Once a tragedy reaches a level of national significance, American citizens should be allowed to basically question that event in any way that they deem fit.
[00:59:01.041 --> 00:59:02.943]  The First Amendment is unique in the world.
[00:59:02.943 --> 00:59:04.404]  That's what they want to take away.
[00:59:04.404 --> 00:59:05.945]  Your ability to speak freely.
[00:59:05.945 --> 00:59:07.667]  So they're going to go for Mike Lindell next?
[00:59:07.667 --> 00:59:08.888]  Or are they going to go for Steve Bannon?
[00:59:08.888 --> 00:59:10.729]  Or are they going to go for Tucker Carlson?
[00:59:10.729 --> 00:59:13.371]  I studied the globalists 30 years ago, but on air 28 years.
[00:59:13.371 --> 00:59:15.573]  And I knew they were planning all of this.
[00:59:15.573 --> 00:59:17.955]  And I warned the public, as a modern Paul Revere.
[00:59:17.955 --> 00:59:19.977]  But I couldn't have done it without your support.
[00:59:19.977 --> 00:59:26.923]  And now, because we've been so successful warning the population of the planet, not just America, we're public enemy number one when it comes to globalist agenda.
[00:59:27.563 --> 00:59:32.946]  That's why it's more important than ever to realize how successful InfoWars has been because of your past support.
[00:59:32.946 --> 00:59:41.892]  So I salute you and I thank you and I ask you now, at the critical juncture of the battle, to redouble your efforts by visiting InfoWarsTore.com and getting amazing products that keep us on air.
[00:59:41.892 --> 00:59:48.176]  1776 is the promo code, the destination is InfoWarsTore.com and I thank you all for your support.
[00:59:52.651 --> 01:00:00.394]  If you are receiving this transmission, you are the Resistance.
[01:00:00.394 --> 01:00:15.419]  Uh, Yuval Harari came out two weeks ago and said, the elites are gonna get rid of humanity, we don't need you, and they're creating a Noah's Ark using all the science and systems for a breakaway civilization
[01:00:16.741 --> 01:00:24.289]  To go underground and off world and humanity is going to fall away like booster rockets as we go to heaven.
[01:00:24.289 --> 01:00:34.900]  And so again, we see Satan literally fulfilling prophecy, but telling his followers that they're actually going to be saved.
[01:00:34.900 --> 01:00:38.183]  How did a book written 2000 years ago or a book written 4000 years ago
[01:00:40.310 --> 01:00:41.791]  How is it all coming true?
[01:00:41.791 --> 01:00:42.691]  Because it's real.
[01:00:42.691 --> 01:00:49.615]  And if you go to the Sumerian text, at the same time the Jews are writing what they said, it's exactly the same thing.
[01:00:49.615 --> 01:01:08.666]  And it states it, and they know it, and mainline archaeologists say, well, that was the cosmology of the Sumerians, who are right there in the Euphrates area there, in what is Iraq today, where those rivers come together, where there's all that great farmland, where they found all those ancient civilizations.
[01:01:09.266 --> 01:01:16.296]  They say these entities came down and manipulated the genetics of humans and then everything got destroyed.
[01:01:16.296 --> 01:01:20.662]  So whatever people think it is, but the globalists know this.
[01:01:20.662 --> 01:01:24.348]  Like take the movie Prometheus, which is the prequel to Alien.
[01:01:25.408 --> 01:01:30.594]  And then I was reading where the director said, oh, this is what I really believe.
[01:01:30.594 --> 01:01:32.636]  And then that's what most of the globalists believe.
[01:01:32.636 --> 01:01:34.598]  They know evolution didn't happen.
[01:01:34.598 --> 01:01:43.008]  They know that you don't have a bunch of sand or a bunch of salt water and suddenly you get a cell that has billions of working parts.
[01:01:43.008 --> 01:01:44.029]  That's all just made up.
[01:01:44.669 --> 01:01:57.056]  And so they all know full well what's going on, and they've got a project to become God, just as the serpent said in the garden, eat of this apple, this knowledge, and you will then try to be God.
[01:01:57.056 --> 01:01:59.578]  And so I would call it the God project.
[01:01:59.578 --> 01:02:03.520]  They're trying to build this into themselves being God.
[01:02:03.520 --> 01:02:07.402]  They're in a rebellion against God, but we are made in the image of God.
[01:02:08.428 --> 01:02:15.452]  Little G, when we follow God's plan, then there's a long-term program for communion with God, you know, as we go to the next level.
[01:02:15.452 --> 01:02:16.913]  That's a God's program.
[01:02:16.913 --> 01:02:20.315]  But Satan says, no, I've got a shortcut for you over here.
[01:02:20.315 --> 01:02:30.280]  But we do have to kill most of the people and have pedophilia and world government create all these abominations in the process, which are all affronts to God that are all meant to hurt God.
[01:02:30.280 --> 01:02:33.382]  Because God loves us all more than we love our children.
[01:02:33.382 --> 01:02:34.802]  Because we are God's children.
[01:02:34.802 --> 01:02:37.284]  And so God gave us free will because God
[01:02:38.044 --> 01:02:38.905]  It's a great gift.
[01:03:03.320 --> 01:03:22.946]  This is all there in the Bible, but again, in the last 200 years, I had some of the globalist proto-organizations go in and take control of the churches and basically dumb it down so that people aren't seeing how the Bible is literally an owner's manual, literally a survival manual, because I don't want to say God cheated.
[01:03:23.894 --> 01:03:28.939]  But God gave us free will, but also said, hey, don't play in the street.
[01:03:28.939 --> 01:03:30.160]  And this is how you should operate.
[01:03:30.160 --> 01:03:31.201]  This is how you should work.
[01:03:31.201 --> 01:03:31.802]  And I'm here.
[01:03:31.802 --> 01:03:33.584]  And I'm here to hold your hand.
[01:03:33.584 --> 01:03:35.846]  And when the Holy Spirit comes, that's God trying to hold your hand.
[01:03:35.846 --> 01:03:41.712]  Now, if you pull away and don't want to have God direct you, then that's what God, God, God, God's very sad that happens.
[01:03:41.712 --> 01:03:43.193]  So that's really where we are.
[01:03:43.193 --> 01:03:44.535]  It is an owner's manual.
[01:03:44.835 --> 01:03:46.558]  God gave us ownership of the planet.
[01:03:46.558 --> 01:03:48.701]  You know, Satan's in control of it via fraud.
[01:03:48.701 --> 01:03:53.808]  If we just reach, you know, into our destiny and connect to God, we'll be given total dominion over the earth.
[01:03:53.808 --> 01:03:55.250]  Yes, the devil's gonna come.
[01:03:55.250 --> 01:03:56.712]  Yes, he's gonna have a short time.
[01:03:56.712 --> 01:04:00.657]  But it's the saints that are gonna battle this and create the fertile ground.
[01:04:01.318 --> 01:04:11.083]  For when he gets his limited one year, two years, or three years, depending on how you analyze it, of power, out of that comes the greatest revival ever, and then Satan's defeat.
[01:04:11.083 --> 01:04:22.208]  He's gonna act real friendly and real nice, and have cures to this, and cures to that, and signs and wonders, and then as soon as he doesn't get exactly what he wants, he's gonna get away with killing one-fourth of the planet.
[01:04:22.208 --> 01:04:22.749]  They want to kill 80%.
[01:04:23.849 --> 01:04:24.530]  Okay?
[01:04:24.530 --> 01:04:29.273]  So, so, and if God doesn't intervene, no flesh will be spared.
[01:04:29.273 --> 01:04:33.016]  You, in your lifetime, there's no doubt, we'll witness it, folks.
[01:04:33.016 --> 01:04:35.899]  But it's up to us to battle as hard as we can.
[01:04:35.899 --> 01:04:39.381]  At a certain point, Satan will overcome the saints for a very short period.
[01:04:39.381 --> 01:04:41.423]  So he's going to win an inning.
[01:04:41.423 --> 01:04:42.364]  Satan's going to win an inning.
[01:04:42.944 --> 01:04:44.447]  And a lot of us are going to get killed in the process.
[01:04:44.447 --> 01:04:45.729]  That's okay, we're eternal.
[01:04:45.729 --> 01:04:48.614]  We're going to win the brass ring, folks, okay?
[01:04:48.614 --> 01:04:51.619]  We're going to get the crown, we're going to throw it at God's feet, and I haven't won it.
[01:04:51.619 --> 01:04:54.584]  But I'm telling you, we're going to win the baseball game at the end.
[01:05:00.523 --> 01:05:02.665]  Thanksgiving 2022 is here.
[01:05:02.665 --> 01:05:05.327]  We've got the biggest sale of the year going right now.
[01:05:05.327 --> 01:05:11.111]  Now, the good news is I'm going to extend this sale up to 60% off right through Christmas.
[01:05:11.111 --> 01:05:15.635]  The bad news is by Christmas, almost every product in the store will be sold out.
[01:05:15.635 --> 01:05:17.716]  We won't get more for months and months and months.
[01:05:17.716 --> 01:05:22.180]  So now is the time to take action to support the InfoWar and get the biggest sales of the year.
[01:05:22.180 --> 01:05:27.764]  We've already sold out of X2 and X3 and BioTruth Selenium and our Wake Up America award winning coffee.
[01:05:27.864 --> 01:05:28.924]  We're good to go.
[01:05:43.410 --> 01:05:46.014]  Again, more stuff is going to sell out today.
[01:05:46.014 --> 01:05:50.380]  So every hour you wait, more stuff will be sold out at InfoWarsTore.com.
[01:05:50.380 --> 01:05:57.090]  Promo code 1776 and you get an additional 10% off the already giant savings at InfoWarsTore.com.
[01:05:57.090 --> 01:05:58.392]  Thank you so much for your support.
[01:05:58.392 --> 01:05:58.813]  God bless.
[01:06:09.713 --> 01:06:13.816]  Resistance to tyrants is obedience to God.
[01:06:13.816 --> 01:06:15.658]  It's Alex Jones.
[01:06:17.646 --> 01:06:18.687]  Well, hello everyone.
[01:06:18.687 --> 01:06:27.673]  My name is Dr. Sherry Tempeny and I want to extend a warm welcome to all of our Tempeny Files premium members who are listening to this special podcast interview.
[01:06:27.673 --> 01:06:29.575]  These are done only for you.
[01:06:29.575 --> 01:06:32.657]  They're behind the paywall and they're part of what you pay for.
[01:06:32.657 --> 01:06:39.322]  And your premium podcast membership of your monthly support is really what keeps us going and really supports everything that we're doing.
[01:06:39.322 --> 01:06:42.204]  And we also have done some very special events this year.
[01:06:42.204 --> 01:06:44.446]  We've done one with Dr. Stella Emanuel.
[01:06:44.446 --> 01:06:45.887]  We did one with Dr. Ryan Cole.
[01:06:46.287 --> 01:06:50.350]  I think we're going to have one more coming up before the end of the year for a Christmas holiday special.
[01:06:50.350 --> 01:06:52.572]  These are just for you, nobody else.
[01:06:52.572 --> 01:07:03.299]  And you also get special discount codes for our boot camps, for our webinars, for our products, on our supplement store and also on our t-shirt and apparel store.
[01:07:03.299 --> 01:07:05.421]  Which, you know, I really love our swag.
[01:07:05.421 --> 01:07:12.786]  I mean, to the point where, like, I get my own stuff and I use my own stuff and I have, like, a whole bunch of my own t-shirts that I wear up to the airport.
[01:07:13.186 --> 01:07:18.532]  And one that it says of the t-shirts that I wear at the airport it says faith over fear on the t-shirt.
[01:07:18.532 --> 01:07:24.760]  I always wear that when I go to the airport and I kind of I wear like a sweatsuit and I have that underneath.
[01:07:24.760 --> 01:07:27.163]  I get so many comments and so people looking.
[01:07:27.163 --> 01:07:31.227]  It's like a way to like tell your faith to the world and encourage people.
[01:07:31.227 --> 01:07:32.929]  Faith over fear as we move forward.
[01:07:33.530 --> 01:07:41.153]  So, during our Deep Dive interviews, we have a personal conversation with our guests about what inspires them and find out a little bit more personally about who they really are.
[01:07:41.153 --> 01:07:53.479]  So, for today's Deep Dive guest, really needs no introduction and if you missed our This Week with Dr. T interview for Monday morning, you really need to go back and listen to it because, wow, we covered a lot of things.
[01:07:53.479 --> 01:07:58.401]  So, let me introduce to you my friend, my longtime colleague, Alex Jones.
[01:07:58.401 --> 01:08:02.883]  Born and raised in Texas, Alex Jones cuts through the lies of the globalist official narrative
[01:08:03.343 --> 01:08:13.590]  With unrivaled analysis that has simultaneously led him to becoming the most talked about, the most reviled, and the most censored name in broadcasting.
[01:08:13.590 --> 01:08:24.878]  Beginning with his first show in Austin, Texas in the 1990s, he's built a media empire with over 400 radio and cable television stations, hundreds of online streaming platforms, and international syndication.
[01:08:24.878 --> 01:08:31.503]  His new book, The Great Reset and the War for the World, Alex exposes the World Economic Forum's agenda.
[01:08:31.983 --> 01:08:49.186]  He has dedicated the last 30 years of his life to studying the Great Reset, and if you listen to our first interview, you know it goes even further back than that, way back into his childhood with family members that he talked about these things, and he's conducted tens of thousands of interviews with top-level scientists, politicians, military officials, and even me!
[01:08:49.907 --> 01:09:02.100]  In order to reverse engineer the secrets that help awaken America, Alex possesses three traits the globalists have worked tirelessly to stamp out of the masses in order to create permanent underclass.
[01:09:02.100 --> 01:09:08.127]  Being well-read, having a really good memory, and caring about others.
[01:09:08.127 --> 01:09:09.828]  Alex, welcome to the Deep Dive with Dr. T.
[01:09:10.976 --> 01:09:11.976]  It's great to be here.
[01:09:11.976 --> 01:09:13.657]  Thank you so much over the years.
[01:09:13.657 --> 01:09:16.078]  Come on on my show and I'd love coming on yours.
[01:09:16.078 --> 01:09:17.138]  You're doing such a good job.
[01:09:17.138 --> 01:09:19.979]  That's why the system is coming after you so bad right now.
[01:09:19.979 --> 01:09:23.040]  So people should really, really be proud of the work you've done.
[01:09:23.040 --> 01:09:23.980]  Well, thank you, Alex.
[01:09:23.980 --> 01:09:26.001]  And yeah, they're like hot on my tail.
[01:09:27.121 --> 01:09:34.105]  And you know what, but it's sort of like, you know, I kind of look at it like, well, you know, it's what I'm here to do, and it's sort of like you.
[01:09:34.105 --> 01:09:38.447]  I mean, the system's been hot on your tail for the last, you know, year or two.
[01:09:38.447 --> 01:09:41.588]  The more successful you are fighting this evil, the more they come after you.
[01:09:41.588 --> 01:09:44.850]  So we know what we got into, and you know, God's watching.
[01:09:45.370 --> 01:09:46.451]  Absolutely.
[01:09:46.451 --> 01:09:57.498]  Well, with all of my Deep Dive guests, because this is an interview that we don't usually do very often, we don't really usually pull back the curtain and find out more about who these people are.
[01:09:57.498 --> 01:09:59.400]  Like, who is Alex Jones?
[01:09:59.400 --> 01:10:03.162]  So let's start with where you were born and what was your childhood kind of like?
[01:10:03.162 --> 01:10:06.685]  And when you went to college, how did you decide to go into broadcasting?
