[00:00.000 --> 00:29.960]  Just how much of the Great Reset has already dug its blood-soaked talons into modern civilization?
[35:07.960 --> 35:10.960]  every major cabinet department of education.
[35:10.960 --> 35:12.960]  If there's a cabinet department, it's involved.
[35:12.960 --> 35:14.960]  If there's a federal agency, it's involved.
[35:14.960 --> 35:17.960]  If there's a law enforcement agency, it's involved.
[35:17.960 --> 35:19.960]  If there's an investigation agency, it's involved.
[35:19.960 --> 35:21.960]  Parts of the justice department involved.
[35:21.960 --> 35:30.960]  A whole bunch of people whose sole and whole objective was to prevent and preclude the public from finding out the truth about COVID-19.
[35:30.960 --> 35:37.960]  So the people finding out the truth about the 2020 election, from people finding out the truth about what was happening in Ukraine.
[35:37.960 --> 35:40.960]  The topic changes, but the methodology doesn't.
[35:40.960 --> 35:46.960]  And what the details show, in fact, this is the real reason, by the way, people had asked,
[35:46.960 --> 35:59.960]  why did Zuckerberg tell Joe Rogan and admit that the FBI was the one who directed him to suppress information concerning the Hunter Biden laptop story in 2020?
[35:59.960 --> 36:07.960]  Many people had justifiable suspicions of Zuckerberg, given the history of targeting children's health defense and Robert Kennedy on COVID issues,
[36:07.960 --> 36:14.960]  and other aspects that now apparently he is also going to blame that on being directed to do so by Fauci.
[36:14.960 --> 36:18.960]  So why is he suddenly throwing other people under the bus?
[36:18.960 --> 36:24.960]  Is this just a last minute gas to save himself from his illicit actions to influence the 2020 election?
[36:24.960 --> 36:32.960]  Given the huge amounts of money his foundations flooded Wisconsin and other states in order to create this wave,
[36:32.960 --> 36:37.960]  the sea of mail-in ballots that were not constitutionally qualified ballots,
[36:37.960 --> 36:40.960]  often by people who are not even constitutionally qualified to vote,
[36:40.960 --> 36:46.960]  in a method that was not constitutionally qualified in how it was cast and how it was counted and how it was envious,
[36:46.960 --> 36:49.960]  or who it was that casted in the first place?
[36:49.960 --> 36:57.960]  Well, the reason is because Zuckerberg was afraid that the embarrassing information coming out now from the civil lawsuit
[36:57.960 --> 37:05.960]  brought by the states of Missouri and Louisiana and joined by several high-profile members of the Great Barrington Declaration
[37:05.960 --> 37:13.960]  was going to come out, and he wanted to get ahead of the story by looking like he was volunteering the information to Joe Rogan
[37:13.960 --> 37:17.960]  to be able to jump a story that was going to come out anyway.
[37:17.960 --> 37:24.960]  The real reason Zuckerberg disclosed it is because this great lawsuit is disclosing from the discovery
[37:24.960 --> 37:32.960]  the scale and scope to which Big Tech has basically been at the back-and-call of the government and the deep state
[37:32.960 --> 37:35.960]  now for several years in the censorship game.
[37:35.960 --> 37:43.960]  In fact, this goes back even further, but it just accelerated in 2019, 2020, 2021, and now 2022.
[37:43.960 --> 37:50.960]  So the scope of that Big Tech collusion is extraordinary. It will raise new issues about the ability for people to sue
[37:50.960 --> 37:57.960]  on the grounds that what is actually happening is that Facebook, Google, YouTube as part of Google, Twitter,
[37:57.960 --> 38:02.960]  that all of these organizations are acting as agents of the federal government.
[38:02.960 --> 38:10.960]  And to the degree that they are, then they are as subject to the Constitution's rules and restrictions as anybody else.
[38:10.960 --> 38:14.960]  This goes back to the old company town principle.
[38:14.960 --> 38:19.960]  The United States Supreme Court said if a company set up a town and controlled the public streets and the public squares
[38:19.960 --> 38:26.960]  and the public parks and the public places, then they were bound by the same constitutional limitations
[38:26.960 --> 38:33.960]  as any government agency, even though private, the company was in the town itself, was in private hands.
[38:33.960 --> 38:42.960]  So if they are acting as the agent of the government, then a lot more people can seek legal remedy and relief against them
[38:42.960 --> 38:48.960]  and to try to stop them from doing it because the government cannot achieve indirectly what the Constitution precludes
[38:48.960 --> 38:51.960]  and prohibits it from getting directly.
[38:51.960 --> 38:59.960]  Indeed, in this context, this is part of the issues that are related to the Elon Musk Twitter fight that is currently occurring
[38:59.960 --> 39:08.960]  in a court in Delaware where an expert witness is saying that up to 80% of Twitter's traffic is actually driven by bots.
[39:08.960 --> 39:14.960]  This is also, again, part of the same censorship package because there's two ways to censor.
[39:14.960 --> 39:20.960]  One way to censor is to remove the poster or remove the post, remove the content or remove the content creator.
[39:20.960 --> 39:27.960]  But the other way to censor is actually more effective as Robert Epstein and others have detailed,
[39:27.960 --> 39:34.960]  which is that you create a fake story and you push that fake story and you pretend that fake story is popular.
[39:34.960 --> 39:41.960]  So it's the big lie that is often one of the most effective means of censoring stories by promoting the opposite of the truth
[39:41.960 --> 39:49.960]  while you bury the truth through various algorithmic manipulations which critically depend upon a lot of bots.
[39:49.960 --> 39:55.960]  The more bots there are, the more they're able to get a certain message out, the more they're able to promote that message.
[39:55.960 --> 40:02.960]  So the assumption has been that Twitter was lying about its bot presence because it was lying to advertisers saying,
[40:02.960 --> 40:06.960]  hey, if you spend a dollar, you'll reach, say, a thousand people.
[40:06.960 --> 40:11.960]  And it turns out, no, you actually reach, you know, 800 bots and 200 people.
[40:11.960 --> 40:15.960]  Well, in fact, while that may have been their monetary incentive for it,
[40:15.960 --> 40:23.960]  it appears given this discovery information about the collusion data that the more likely explanation or at least an equally powerful explanation
[40:23.960 --> 40:28.960]  is that it helped facilitate the deep state's agenda in manipulating the narrative across the world.
[40:28.960 --> 40:32.960]  The old programs like Operation Mockingbird had sort of faded.
[40:32.960 --> 40:40.960]  The internet could break through their ability to limit and constrain the people's ability to find independent information,
[40:40.960 --> 40:46.960]  to speak their own mind and to share their own perspective was at an extraordinary level.
[40:46.960 --> 40:56.960]  And so they needed to use the people who had such disparate monopoly power over these social media platforms to act as their gatekeeper
[40:56.960 --> 41:05.960]  and to act as their gatekeeper, not only in censoring dissident information, but in promoting information they knew was often false or inaccurate
[41:05.960 --> 41:12.960]  in order to be able to buttress the institutional narrative like we saw throughout the election fornication issues,
[41:12.960 --> 41:18.960]  like we saw throughout COVID and the lockdowns, like we've seen throughout the vaccine mandate issues,
[41:18.960 --> 41:23.960]  as Peter McCullough talking to Alex yesterday detailed in great detail.
[41:23.960 --> 41:32.960]  Robert Malone has also done as well in many others that all of this dissident information was not just excluded from the court of public opinion,
[41:32.960 --> 41:38.960]  but certain people within the public square were given louder microphones and bigger platforms than everybody else,
[41:38.960 --> 41:44.960]  but it didn't come from the people. They made it look like it came from the people, but it was illusory.
[41:44.960 --> 41:47.960]  It was like the matrix. It was like being inside the system.
[41:47.960 --> 41:53.960]  What it is is they use the bots to make somebody look much more popular than they actually were,
[41:53.960 --> 41:58.960]  to make a certain message look much more popular than it actually was,
[41:58.960 --> 42:03.960]  just as they were suppressing the indigenous organic popularity of other components.
[42:03.960 --> 42:11.960]  To give just one recent illustration this week, taglines like red sermon in reference to Biden's horrific authoritarian speech,
[42:11.960 --> 42:17.960]  or talking about the nature of Biden's relationship,
[42:17.960 --> 42:23.960]  Peter Biden and various versions of that as well, were both organically trending on Twitter,
[42:23.960 --> 42:28.960]  but they were arbitrarily and artificially suppressed while other topics were artificially inflated,
[42:28.960 --> 42:33.960]  but they need not only algorithmic manipulation, they need fake bots to achieve it and attain it.
[42:33.960 --> 42:38.960]  That's what the big tech is in operative of the deep state always has been,
[42:38.960 --> 42:45.960]  but now we may be getting enough factual details through Musk's suit and these other suits to expose it and unwind it for good.
[42:45.960 --> 42:48.960]  When we come back, we'll be discussing a range of topics,
[42:48.960 --> 42:57.960]  but including what the deep state's agenda may be up next for Trump, for MAGA, for America in desperate times from their perspective.
[42:57.960 --> 43:04.960]  Everybody knows that high quality fish oil does fantastic things for your cardiovascular system,
[43:04.960 --> 43:07.960]  for your brain, for every part of your body,
[43:07.960 --> 43:15.960]  but what I don't see being promoted is the fact that it has natural psychotropic effects.
[43:15.960 --> 43:17.960]  It certainly does for me.
[43:17.960 --> 43:23.960]  When I take a couple of these capsules an hour before bed, my sleep, my dreams are amazing.
[43:23.960 --> 43:29.960]  Now there are actually some studies out there linking it to amazing events in the brain,
[43:29.960 --> 43:32.960]  but I want you to experience it yourself.
[43:32.960 --> 43:35.960]  We know it's good for your heart, we know it's good for your brain,
[43:35.960 --> 43:39.960]  we know it's good for your arteries and veins and your lungs and every other function in your body,
[43:39.960 --> 43:45.960]  but I want you to experience this high-grade fish oil, this ultimate fish oil at InfoWarsTour.com
[43:45.960 --> 43:48.960]  and see what it does if you take it before bedtime.
[43:48.960 --> 43:53.960]  Ultimate fish oil, 50% off, now exclusively available at InfoWarsTour.com.
[43:53.960 --> 44:19.960]  Thank you all for your support, you're really going to miss out if you don't get it.
[44:28.960 --> 44:33.960]  And despite the fact it's going to sell out quick, I want those of you that haven't experienced it to get it
[44:33.960 --> 44:41.960]  and I want long-term supporters to experience it as well, so it is 50% off out of the gates for a limited time.
[44:41.960 --> 44:48.960]  DNA Force Plus, finally back in stock at InfoWarsTour.com for 50% off.
[44:48.960 --> 44:54.960]  Ladies and gentlemen, this is a symbiotic relationship, supporting InfoWars defeats the globalist
[44:54.960 --> 44:58.960]  and this product does amazing things for your body, take action now.
[44:58.960 --> 45:08.960]  DNA Force Plus, after almost a year of being out of stock is now exclusively available at InfoWarsTour.com.
[45:08.960 --> 45:16.960]  PQQ and CoQ10 are on record as making the telomeres in your DNA last longer.
[45:16.960 --> 45:20.960]  This is as close as the fountain of youth as you're going to get.
[45:20.960 --> 45:26.960]  And on top of that, this great product funds the InfoWare, which defends liberty and freedom
[45:26.960 --> 45:31.960]  and your Second Amendment and your First Amendment and so much more at a critical time.
[45:31.960 --> 45:38.960]  So it is a true 360 win-win situation when you go to InfoWarsTour.com and get DNA Force Plus,
[45:38.960 --> 45:42.960]  finally our flagship product back in stock.
[45:42.960 --> 45:46.960]  It keeps us on the air and it's going to sell out quick, but despite that,
[45:46.960 --> 45:55.960]  we're offering it for 50% off at InfoWarsTour.com to support our longtime viewers and listeners
[45:55.960 --> 45:58.960]  and for new folks to take advantage of it.
[45:58.960 --> 46:05.960]  Several years ago, I approached one of the top companies in the U.S. that supplies the highest quality signature
[46:05.960 --> 46:09.960]  reducing faraday cages, the Pentagon and other U.S. government agencies.
[46:09.960 --> 46:17.960]  And now they have produced specifically for us this Made in America onion line at a very affordable price,
[46:17.960 --> 46:23.960]  whether it's small pouches that protect your cell phone or big pouches that protect laptops and iPads
[46:23.960 --> 46:28.960]  or big bags that promote whatever electronics you want to put in like desktop computers.
[46:28.960 --> 46:35.960]  It is all exclusively available at InfoWarsTour.com under the Redux name.
[46:35.960 --> 46:41.960]  Redux is InfoWars taking the highest quality products and bringing them directly to you at InfoWarsTour.com.
[46:41.960 --> 46:47.960]  In this insane world, you are crazy if you don't protect your signature, your identity,
[46:47.960 --> 46:51.960]  from identity theft, hackers, criminals, corporations, governments.
[46:51.960 --> 47:07.960]  This is one of the hottest items out there today that's exclusively available at InfoWarsTour.com.
[47:39.960 --> 47:43.960]  But first up, talking about big tech collusion and its various constituent components,
[47:43.960 --> 47:48.960]  another example of what big tech is up to showed up in Colorado this past week.
[47:48.960 --> 47:55.960]  As various thermostats were taken over by the power company through its digital control over those thermostats
[47:55.960 --> 48:01.960]  in order to dictate what temperature people could find acceptable and would be okay for the big companies.
[48:01.960 --> 48:09.960]  And now take that capability and combine it and it becomes like one of the more recent last version of the X file season
[48:09.960 --> 48:16.960]  that new season they did a few years ago that had a few episodes in it or a black mirror episode from the Netflix series
[48:16.960 --> 48:22.960]  where what happens in the X file show is that they go, everything is automated.
[48:22.960 --> 48:27.960]  And so they go to a sushi shop where everything is automated and they give a bad review.
[48:27.960 --> 48:32.960]  And because they give a bad review, there's a complete attack on everything concerning them,
[48:32.960 --> 48:39.960]  their ability to get into the automated car to their ability, the automated vacuum that works in their home,
[48:39.960 --> 48:43.960]  the automated security system, the automated weather temperature system.
[48:43.960 --> 48:47.960]  Basically it's 2001 space Odyssey brought to your everyday life.
[48:47.960 --> 48:53.960]  So if they can do that in Colorado where they can just dictate what temperature is now acceptable for your home,
[48:53.960 --> 48:55.960]  imagine what else they can do.
[48:55.960 --> 49:03.960]  The more they have complete digital control where you have a real grid like the cinematic style real grid,
[49:03.960 --> 49:08.960]  then what you're going to have is you're going to be subject to their complete control.
[49:08.960 --> 49:10.960]  That's what a large part of big tech is about.
[49:10.960 --> 49:16.960]  It's about control, controlling information, controlling your activities, controlling your ability to function.
[49:16.960 --> 49:23.960]  That's what increasing talk this week of a central bank digital currency is all about.
[49:23.960 --> 49:30.960]  As people are aware, Biden has required that there be a study made of how quickly the US government itself
[49:30.960 --> 49:34.960]  could shift or transition to a central bank digital currency.
[49:34.960 --> 49:43.960]  We've been warning about this for several years going back to our interviews with George Gammon here on Infowars back during 2020.
[49:43.960 --> 49:45.960]  And we're seeing those escalate more and more talks.
[49:45.960 --> 49:53.960]  In fact, now the International Monetary Fund and other groups are talking about setting up a universal settlement process
[49:53.960 --> 50:00.960]  of recognizing financial transfers and property protocols through a uniform central mechanism.
[50:00.960 --> 50:06.960]  This would be a critical step to a global central bank digital currency.
[50:06.960 --> 50:13.960]  Now the only thing blowing back against them in this capacity is their complete failure at the economic war on Russia
[50:13.960 --> 50:16.960]  that has created troubles around the globe.
[50:16.960 --> 50:19.960]  It's unlikely most of the world will be interested in this.
[50:19.960 --> 50:28.960]  So the initial guinea pigs for the central bank digital currency operation will be those of us here in the United States and in the West.
[50:28.960 --> 50:36.960]  But it is likely coming because imagine if if you're complete access to funds, you no longer could have a means of exchange
[50:36.960 --> 50:43.960]  with just printed dollar bills, which have their own issue, or any other means of exchange through coins or your own choice of barter.
[50:43.960 --> 50:50.960]  But instead you had to use the government's digital currency on available only accessible available on your phone.
[50:50.960 --> 50:53.960]  Well, then you could be like those Chinese protesters recently.
[50:53.960 --> 50:59.960]  So the due to the Chinese real estate problems that go from the real estate bubble they created in China
[50:59.960 --> 51:04.960]  with the facilitation of local governments, developers, bankers and others,
[51:04.960 --> 51:12.960]  they diverted a lot of excess savings from the Chinese developing working in middle classes into excess housing
[51:12.960 --> 51:15.960]  and what was basically a big real estate bubble.
[51:15.960 --> 51:22.960]  As that bubble has begun to pop, it has had ramifications throughout the entire banking industry.
[51:22.960 --> 51:26.960]  The savings policies and then public protest have then followed.
[51:26.960 --> 51:33.960]  However, when somebody went out to try to protest at the bank, they were their means of getting on the train,
[51:33.960 --> 51:39.960]  their means of communicating, their means of even being legally outside without paper, so to speak, was revoked.
[51:39.960 --> 51:42.960]  On the grounds they now had a public health red label.
[51:42.960 --> 51:49.960]  This is the beginning stages of China's social credit system that is going to be exported here soon.
[51:49.960 --> 51:52.960]  That is the goal and objective of global digital currency.
[51:52.960 --> 51:57.960]  Because what it can do is it can prevent you from doing pretty much anything that requires money.
[51:57.960 --> 52:00.960]  And if you think about it, pretty much everything requires money,
[52:00.960 --> 52:06.960]  even the ability to pay for your internet service, your cable service, your phone service, your electric bill,
[52:06.960 --> 52:14.960]  your water bill, your housing bill, your car bill, your gas bill, your food bill, all the bills, all the costs.
[52:14.960 --> 52:16.960]  What happens if the government turns it off?
[52:16.960 --> 52:23.960]  It says, nope, can't do it this week, no food for you, no fuel for you, no water for you, no electric for you, you name it.
[52:23.960 --> 52:25.960]  It's the ultimate method and mechanism of control.
[52:25.960 --> 52:32.960]  And that's why they love the idea of global digital currencies and you're likely to see an expansion of it.
[52:32.960 --> 52:39.960]  But just as that is expanding in the power grab space, they're also moving in the censorship space.
[52:39.960 --> 52:48.960]  So this week, a website known as Kiwi Farms was targeted by Taylor Lorenz, the Washington Post defamer and libeler,
[52:48.960 --> 52:56.960]  who has gone after a range of politically inconvenient individuals at the behest or behalf of either the New York Times or the Washington Post,
[52:56.960 --> 53:02.960]  which has led to a range of suits against her, including one major one pending by Adriana Jacobs,
[53:02.960 --> 53:10.960]  who wasn't even political at all, just posed a threat to certain parts of the Hollywood industry at their ability to control upcoming talent,
[53:10.960 --> 53:13.960]  particularly social media influencer talent.
[53:13.960 --> 53:16.960]  She has now targeted the Kiwi Farm site.
[53:16.960 --> 53:22.960]  And this is because Kiwi Farms outed grooming activities by various trans individuals.
[53:22.960 --> 53:32.960]  And in fact, not only that, the lawyer who discussed this, Nick Raketa, people can find him online, Nick Raketa, Raketa Law,
[53:32.960 --> 53:36.960]  and had a debate with someone about it, also got another YouTube strike.
[53:36.960 --> 53:43.960]  The person who popularly broadcast the Kyle Rittenhouse trial and the Johnny Depp trial,
[53:43.960 --> 53:54.960]  exposing that a lot of woke agendas and media agendas in those cases were false and a lie, and exposed these activities of these various trans groomers.
[53:54.960 --> 53:57.960]  He too suffered a suspension attitude.
[53:57.960 --> 54:01.960]  But the cloud fair went in and took down Kiwi Farms altogether.
[54:01.960 --> 54:08.960]  This was another example where Info Wars was the canary in the coal mine.
[54:08.960 --> 54:13.960]  For those that don't remember, many years ago, several years ago, after the success of the Trump campaign,
[54:13.960 --> 54:16.960]  Alec Jones at Info Wars was target number one.
[54:16.960 --> 54:23.960]  And it wasn't just the law fair, they used the law fair as a means to de-platform Info Wars.
[54:23.960 --> 54:25.960]  And not only that, they went after everything.
[54:25.960 --> 54:27.960]  They went after payment processors.
[54:27.960 --> 54:30.960]  They went after online servers.
[54:30.960 --> 54:37.960]  They went after anybody who simply platformed, broadcast, published, or had any kind of financial transaction with Info Wars.
[54:37.960 --> 54:41.960]  Info Wars survived thanks to the audience, thanks to the people.
[54:41.960 --> 54:43.960]  It wasn't supposed to happen.
[54:43.960 --> 54:45.960]  Info Wars was supposed to be gone.
[54:45.960 --> 54:47.960]  Alec Jones was supposed to be gone.
[54:47.960 --> 54:53.960]  As Peter McCullough said yesterday in his interview with Alex, and as he talked about on social media today,
[54:53.960 --> 55:00.960]  it was great to be on Info Wars because it was great to be on a no censorship platform, a place that did not censor people.
[55:00.960 --> 55:07.960]  And that's why they were obsessed with taking Info Wars out because it was the primary source of independent information.
[55:07.960 --> 55:12.960]  But it failed because you, the people, refused to allow it to fail.
[55:12.960 --> 55:17.960]  This is in fact the key to any popular resistance anywhere in the history of man.
[55:17.960 --> 55:21.960]  It requires broad public support from key parts of the community.
[55:21.960 --> 55:23.960]  It doesn't require a majority.
[55:23.960 --> 55:27.960]  Half the country in any point in time is going to be uninformed.
[55:27.960 --> 55:34.960]  It just requires the informed and educated portion that's passionate about it to hold their ground.
[55:34.960 --> 55:37.960]  And that's what you at Info Wars have done.
[55:37.960 --> 55:38.960]  And how do you do that?
[55:38.960 --> 55:41.960]  You do that by going to InfoWarsStore.com.
[55:41.960 --> 55:45.960]  You can go there right now and get a wide range of discounts.
[55:45.960 --> 55:50.960]  You can find something, the way I like to put it is, why do I go to InfoWarsStore.com?
[55:50.960 --> 55:53.960]  Why have I been purchasing products for many years there?
[55:53.960 --> 55:58.960]  Because it makes you healthier, wealthier, and wiser in one clean step.
[55:58.960 --> 56:09.960]  First of all, it makes you healthier because there's a bunch of products that Alex and his crew have personally vouched for, personally vetted, personally reviewed, personally used, and have great confidence in.
[56:09.960 --> 56:14.960]  And you can see that reaffirmed in the wide range of commenters who have reviewed on it over time.
[56:14.960 --> 56:21.960]  You can see it has some of the highest rates of approval, likability, and satisfaction you'll get of any products out there.
[56:21.960 --> 56:34.960]  So it makes you wealthier because these products are being offered at great discounts right now and at a substantial discount compared to many of the competitors for the same quality level of product.
[56:34.960 --> 56:38.960]  Sometimes people compare the product versus something that purports to be the alternative.
[56:38.960 --> 56:43.960]  But if you look at the ingredient list, you find it often is not an effective alternative.
[56:43.960 --> 56:52.960]  So you can get whether it's DNA force, fish oil, the other thing I always recommend is just go on there and see if there's something you can substitute your everyday life for.
[56:52.960 --> 56:57.960]  This is the part that makes you and everyone else wiser is keeps InfoWars online.
[56:57.960 --> 57:00.960]  And the value of that is your value.
[57:00.960 --> 57:04.960]  It's not only your value that you are contributing to others, but is a value that you receive.
[57:04.960 --> 57:13.960]  It is a reciprocal gift of sorts because you make yourself better educated because free speech is about the audience more than it's about the speaker.
[57:13.960 --> 57:17.960]  It's about the right to listen as much as it's about the right to talk.
[57:17.960 --> 57:26.960]  And you keep that alive for everybody by going to InfoWarsStore.com and just find something you already use that is an effective substitute right there.
[57:26.960 --> 57:34.960]  Or maybe it's something as simple as Alex Jones' new book, The Great Reset, simple, short, succinct to the point, well detailed, you can get it.
[57:34.960 --> 57:37.960]  Steve Bannon himself says one of the best books written, period.
[57:37.960 --> 57:48.960]  So you can get one of those, get a t-shirt, get something else, but go to InfoWarsStore.com now to continue to keep freedom and liberty alive in America by keeping information free and alive.
[57:48.960 --> 57:55.960]  The number one selling category in supplements worldwide is fat burners, is weight loss formulas.
[57:55.960 --> 58:02.960]  And listen, there are hundreds of them out there that work, but most of them do it in a toxic way.
[58:02.960 --> 58:18.960]  Ladies and gentlemen, we went out and did deep research on the safest, healthiest ways to take your overall body's metabolic system and your metabolism and turn that clock back by turning up your metabolism.
[58:18.960 --> 58:27.960]  Ladies and gentlemen, Diet Force does it in a clean, healthy way. It's amazing. I've almost lost 40 pounds the last three months just using the samples of it.
[58:27.960 --> 58:34.960]  But now it's come into the InfoWarsStore and it's ready for sale to you and your family exclusively at InfoWarsStore.com.
[58:34.960 --> 58:42.960]  Diet Force from X7 exclusively available at InfoWarsStore.com for 40% off.
[58:42.960 --> 58:50.960]  I want you to experience Diet Force for yourself. I can't wait for the reviews because it's worked great for me.
[58:50.960 --> 58:59.960]  Sold out for more than a year and a half because of supply chain breakdowns. Our best selling product, SuperBlue, is finally back in stock.
[58:59.960 --> 59:08.960]  The original available at InfoWarsStore.com. It only came in three weeks ago and already half of our stock has sold out, so thank you all for the support.
[59:08.960 --> 59:13.960]  But SuperBlue has a lot of fans and you can get it for 40% off by itself.
[59:13.960 --> 59:20.960]  But when you get it in the trifecta with our activated charcoal toothpaste infused with essential oils so great for your mouth and gums,
[59:20.960 --> 59:26.960]  you can get it for 50% off with super coral whitening toothpaste as well.
[59:26.960 --> 59:33.960]  So get the trifecta for 50% off together or 40% off individually at InfoWarsStore.com.
[59:33.960 --> 59:40.960]  You'll have great health with your gums and your mouth and your teeth and you know you're funding the tip of the spear in the fight against the globalist.
[59:40.960 --> 1:00:03.960]  SuperBlue being sold out for more than a year and a half. Finally back available at InfoWarsStore.com.
[1:00:03.960 --> 1:00:13.960]  Welcome back to the Alex Jones Show. This is Robert Barnes' guest hosting. Today we're discussing a range of topics including what might be the next deep state tactics and techniques chosen
[1:00:13.960 --> 1:00:23.960]  to go after Trump and the MAGA movement in light of its slipping hold on power with its dementia candidate in the White House and its debacles and disasters both at home and overseas.
[1:00:23.960 --> 1:00:26.960]  We'll be discussing that a little bit later in the show.
[1:00:26.960 --> 1:00:34.960]  But to give you an example of why the deep state has to go to such great efforts from Operation Mockingbird Forward to suppress and censor independence,
[1:00:34.960 --> 1:00:40.960]  it's because these are just a small sampling of the kind of stories they just this week.
[1:00:40.960 --> 1:00:46.960]  For example, have you heard about the billionaire Eris Kidnap in Memphis? You've heard almost nothing about it.
[1:00:46.960 --> 1:00:50.960]  Something about that story is striking and unusual in its absence of coverage.
[1:00:50.960 --> 1:00:57.960]  Something is going on behind the scenes that's kind of like the shooting that occurred with Dutch Special Forces in Indianapolis.
[1:00:57.960 --> 1:01:02.960]  It's like what are Dutch Special Forces doing in a shootout in Indianapolis in the first place?
[1:01:02.960 --> 1:01:08.960]  The kind of story that warrants further digging. But it's not the kind the media these days tends to do.
[1:01:08.960 --> 1:01:20.960]  So another version of that is where is Gavin McInnis? Gavin McInnis, the co-founder of Vice, who later left it for a sort of more populist conservative path,
[1:01:20.960 --> 1:01:24.960]  went into the independent media space, the original founder of the Proud Boys.
[1:01:24.960 --> 1:01:32.960]  And once the Proud Boys got infiltrated by some rogue elements, he stepped down from it in order to protect its reputation
[1:01:32.960 --> 1:01:39.960]  and the good intentions of many of its constituent members, was broadcasting live when it appeared.
[1:01:39.960 --> 1:01:45.960]  It's unclear. Someone off script, someone off the setting, off the stage is interacting with it.
[1:01:45.960 --> 1:01:51.960]  It appears to be law enforcement and he disappeared and he hasn't been heard from since.
[1:01:51.960 --> 1:01:58.960]  And it's important to remember that Gavin McInnis, to my understanding, is a citizen of Canada and the UK, but is only on a green card here in the United States.
[1:01:58.960 --> 1:02:08.960]  And the US government, deep state operators have often taken the position that non-US citizens can be seized and get mowed or any version thereof.
[1:02:08.960 --> 1:02:17.960]  So where is he? And yet there's very little media interest and media curiosity and media coverage of these kind of extraordinary cases.
[1:02:17.960 --> 1:02:25.960]  Another example was a Biden proposal that only got a little bit of coverage, which is, but I heard directly from potential whistleblowers about,
[1:02:25.960 --> 1:02:33.960]  Biden plans to convert America's VA clinics, Veterans Affairs clinics, places that are supposed to take care of veterans,
[1:02:33.960 --> 1:02:36.960]  but often have failed to adequately and competently do so.
[1:02:36.960 --> 1:02:44.960]  Going to convert them in his latest scheme, in his latest baby killing scheme, to convert it into an abortion center.
[1:02:44.960 --> 1:02:52.960]  So apparently what's going to happen is that the very nature of what is taking place in transpiring
[1:02:52.960 --> 1:03:00.960]  is that the federal government is trying to use any place it has power, whether that's offshore, whether that's on federal parks,
[1:03:00.960 --> 1:03:05.960]  whether that's in military facilities, whether that's through their control of Medicare and Medicaid funding,
[1:03:05.960 --> 1:03:13.960]  all of which they've tried to utilize to force and coerce abortions on unwilling medical care providers who don't want to do it,
[1:03:13.960 --> 1:03:20.960]  as they've already tried to do to various religious facilities in cases that they consistently lose, but keep trying anyway.
[1:03:20.960 --> 1:03:30.960]  Now they're going to try to turn Veterans Affairs facilities into abortion clinics in places where abortion is illegal under local and state law.
[1:03:30.960 --> 1:03:34.960]  This shows what many people warned about the usurping federal power.
[1:03:34.960 --> 1:03:40.960]  But speaking of questionable mechanisms of power, the local school system in Loudoun County, Virginia,
[1:03:40.960 --> 1:03:48.960]  attempted to try to basically cover up for its trans policies leading to sexual assaults in girls' bathrooms
[1:03:48.960 --> 1:03:54.960]  when a grand jury was formed to investigate this criminal behavior by the Virginia local schools.
[1:03:54.960 --> 1:03:58.960]  The Virginia local schools claim to be above the grand jury, to be beyond it.
[1:03:58.960 --> 1:04:00.960]  They can't be reached by the law.
[1:04:00.960 --> 1:04:07.960]  The Virginia Supreme Court said otherwise this week, said the school systems are no more exempted immune from grand jury investigations
[1:04:07.960 --> 1:04:09.960]  and inquiry than anybody else.
[1:04:09.960 --> 1:04:13.960]  What exactly are the schools so afraid of that they're hiding?
[1:04:13.960 --> 1:04:21.960]  Well, in the same capacity, it might be what we talked about BLM, if you go back to our videos years ago, about what BLM really was.
[1:04:21.960 --> 1:04:24.960]  It was not an authentic civil rights organization.
[1:04:24.960 --> 1:04:30.960]  It was a politically driven, motivated organization that was mostly run by for and of grifters.
[1:04:30.960 --> 1:04:34.960]  Indeed, it was founded literally by several witches, people who believe in witchcraft.
[1:04:34.960 --> 1:04:37.960]  This was not your Martin Luther King civil rights organization.
[1:04:37.960 --> 1:04:42.960]  Well, this week they're all suing each other because of all the different fraud that took place.
[1:04:42.960 --> 1:04:49.960]  If you need to read the name and relabel BLM, better laundering money is what they effectively are and were.
[1:04:49.960 --> 1:04:54.960]  We'll be talking about the deep state and more when we come back right after the break.
[1:04:54.960 --> 1:05:15.960]  Join us then.
[1:05:28.960 --> 1:05:36.960]  Just like we try our best with our news coverage and our information, we do the best with our supplements as well.
[1:05:36.960 --> 1:05:38.960]  I mean, look at the hair and beard support formula.
[1:05:38.960 --> 1:05:40.960]  Folks, this is a joke.
[1:05:40.960 --> 1:05:42.960]  I mean, we're giving this thing away.
[1:05:42.960 --> 1:05:43.960]  It's 75% off.
[1:05:43.960 --> 1:05:44.960]  By the way, it works for me.
[1:05:44.960 --> 1:05:49.960]  In case you haven't noticed, the hair and beard formula is working for me.
[1:05:49.960 --> 1:05:56.960]  Quite well, I might add. Quite well, my barber appreciates hair and beard support for men.
[1:05:56.960 --> 1:05:58.960]  I go and see him quite often now.
[1:05:58.960 --> 1:06:06.960]  Welcome back to The Alice Jones Show.
[1:06:06.960 --> 1:06:08.960]  This is Robert Barnes, guest host.
