[00:00.000 --> 00:08.000]  He's the T-Rex of political talk. Alex Jones on the GCN radio network.
[28:11.000 --> 28:18.000]  Let me see, if it killed 117 people in a confined area, out of 700, what will it kill out of a city of a million people, Clay?
[28:18.000 --> 28:27.000]  Well, you're talking about extremely high death rates and, you know, Russia, I mean Russia is right in this with us,
[28:27.000 --> 28:36.000]  and they've said by 2003 there's going to be a massive population that actually got out on the Russian news.
[28:36.000 --> 28:43.000]  So, they know it's coming. The United States knows it's coming. That's why Dick Cheney's got his little penthouse down there,
[28:43.000 --> 28:48.000]  you know, ten stories below the ground somewhere, in an undisclosed location.
[28:48.000 --> 28:54.000]  Yeah, it sounds like it would be a government. To hell with you people, but the government's going to go on.
[28:54.000 --> 29:01.000]  And the Speaker of the House and the Leader of the Senate, they don't get passes to the bunker in the Continuity of Government plan.
[29:02.000 --> 29:11.000]  Well, you know, I'm sure it's just an oversight. They just overlooked them. You know, Congress is kind of like Yasser Arafat.
[29:11.000 --> 29:14.000]  It's just not relevant anymore.
[29:14.000 --> 29:21.000]  All right, let's take another call. Let's talk to Todd. Todd, where are you calling from today?
[29:21.000 --> 29:22.000]  Yeah, how are you doing?
[29:22.000 --> 29:23.000]  Fantastic. Where are you calling from?
[29:23.000 --> 29:24.000]  Kansas.
[29:24.000 --> 29:25.000]  Go ahead.
[29:25.000 --> 29:30.000]  Hey, Clay, we've got our tickets. We're coming on down this weekend, really looking forward to it.
[29:30.000 --> 29:33.000]  Wonderful. I'm looking forward to seeing everybody there.
[29:33.000 --> 29:39.000]  Yeah, you answered my question. I was wondering how many boos was filled. It sounds like that's going to be a real nice weekend.
[29:39.000 --> 29:50.000]  I had a question for you, Alex. I can't get it straight in my mind. Why would somebody call a constitutionalist a communist?
[29:50.000 --> 29:53.000]  I can't get that connection in my head.
[29:53.000 --> 30:00.000]  When Bush calls himself a communitarian in the old dictionary 20 years ago, it says a person that promotes communist policies.
[30:00.000 --> 30:08.000]  So, Bush won't arm the pilots. Barbara Boxer will. Then the so-called conservatives call us communists because we're for America.
[30:08.000 --> 30:16.000]  Uh-huh. Well, I missed that call of what everybody's been talking about, but it's a shame you can go right up on the Internet,
[30:16.000 --> 30:21.000]  and I'm sure they do, and you can see all the weapons. You can see all the bills. It's not hard to do.
[30:21.000 --> 30:22.000]  All you've got to use is your fingers.
[30:22.000 --> 30:26.000]  But the government, I mean, Clay Douglas, I know you scan the news wires every day.
[30:26.000 --> 30:33.000]  How many articles have you seen in the last year where the Canadian, the U.S., the New Zealand, the Australian government said
[30:33.000 --> 30:38.000]  they're going to put satellite boxes, which are already in the cars, and now they're going to start taxing and tracing us with it,
[30:38.000 --> 30:43.000]  and the police will talk to you over a speaker with local news alerts, which is part of the AMBER program.
[30:43.000 --> 30:46.000]  Now, that's been in the mainstream news three years ago.
[30:46.000 --> 30:49.000]  Clay, how many times, or have you seen that in the news?
[30:49.000 --> 30:52.000]  Oh, I see something like that in the news every day.
[30:52.000 --> 30:54.000]  But this guy calls...
[30:54.000 --> 31:01.000]  We get accused of being right-wing radicals. All we're doing is reading the mainstream news.
[31:01.000 --> 31:02.000]  It's all good.
[31:02.000 --> 31:09.000]  When we talk about it, we put it as page one. When the mainstream news does it, it's on page 28.
[31:09.000 --> 31:13.000]  Can we point out how it's unconstitutional? They say how wonderful it is.
[31:14.000 --> 31:23.000]  You know, I've blown away a couple of guys this morning when I told them there's 300,000 Chinese down south from us, not too far,
[31:23.000 --> 31:33.000]  and then how the news is playing up 26 dead children and three teachers in Italy when we got 3,500 missing kids out of Florida.
[31:33.000 --> 31:37.000]  How many other kids out of all these other states in the United States are kids?
[31:37.000 --> 31:40.000]  Yeah, Clay, that should be a cover story for your magazine.
[31:40.000 --> 31:48.000]  It's now the 3,500 missing children that CPS have taken in Florida, and the CPS says they don't know where they are.
[31:48.000 --> 31:51.000]  It's been over a year since the story broke. The numbers get bigger.
[31:51.000 --> 31:54.000]  No one's been prosecuted. No one's saying where are the children.
[31:54.000 --> 31:57.000]  Put in a few newspapers in Florida. Your take on that.
[31:57.000 --> 32:04.000]  Well, you'd have to wonder why we're paying so much attention to 2,700 people killed in the World Trade Center,
[32:04.000 --> 32:10.000]  and focusing on that is an excuse to clamp down on us with homeland security.
[32:10.000 --> 32:15.000]  And that's just on tip of the iceberg. 3,000 children in Florida missing.
[32:15.000 --> 32:23.000]  How many nationwide, if you added all the states up, I'd say that's pretty radical.
[32:23.000 --> 32:29.000]  You know, I keep the Christines, the case of the Christines, that's on the website.
[32:29.000 --> 32:33.000]  This is a parent says they had their children taken away from them, and then when they tried to take them back,
[32:33.000 --> 32:36.000]  they were charged with kidnapping their own kids.
[32:36.000 --> 32:42.000]  This is because the government said, well, they were living out of an RV, both college educated, just traveling around,
[32:42.000 --> 32:44.000]  and why something must be wrong there.
[32:44.000 --> 32:45.000]  Yeah, right.
[32:45.000 --> 32:52.000]  Well, totally pathetic, but hey, we're looking forward to meeting you, Clay, down there, and going to miss you down there, Al.
[32:52.000 --> 32:58.000]  You'll be able to see me. I'll either be dressed as a cowboy, a biker, or an Arab.
[32:58.000 --> 32:59.000]  All right, thanks.
[32:59.000 --> 33:00.000]  I have made up my mind, yes.
[33:00.000 --> 33:01.000]  Thanks for the call.
[33:01.000 --> 33:02.000]  Thanks a lot.
[33:02.000 --> 33:03.000]  Appreciated.
[33:03.000 --> 33:05.000]  All right, let's talk to Louis in California.
[33:05.000 --> 33:06.000]  Hey, Louis.
[33:06.000 --> 33:08.000]  Louis, go ahead.
[33:08.000 --> 33:09.000]  Yeah, guys.
[33:09.000 --> 33:10.000]  Hey, Louis, how are you?
[33:10.000 --> 33:11.000]  Great.
[33:11.000 --> 33:13.000]  It's always good to talk to the both of you.
[33:13.000 --> 33:16.000]  I don't get to talk to you that much, Clay, anymore.
[33:16.000 --> 33:25.000]  Maybe I can give you guys what you've been projecting as a possible bottom line, and it really makes you laugh.
[33:25.000 --> 33:26.000]  It's so sick.
[33:26.000 --> 33:38.000]  One of the people out here put down a 1943 volume in front of me from the NEA, where they described where they were going with this World Government, or the New World Order.
[33:38.000 --> 33:47.000]  And it's volume eight of an eight-volume set coming out of the NEA called Building America.
[33:47.000 --> 33:55.000]  And when you go to the center of this thing and they show where they're going with all this, it says exactly what you two have been saying all these years,
[33:55.000 --> 34:02.000]  except it shows one of the most deadly bottom lines imaginable, as far as I'm concerned.
[34:02.000 --> 34:12.000]  The bottom line on this thing shows that the New World Order, when it's brought into being, it goes through the basic steps that you two have outlined all these years.
[34:12.000 --> 34:21.000]  But in a pictogram here, in the center of it, they show you what the real bottom line of it is, and it's also the same bottom line.
[34:21.000 --> 34:23.000]  Okay, bottom line, but bottom line, but bottom line.
[34:23.000 --> 34:25.000]  Tell me this is the bottom line.
[34:25.000 --> 34:32.000]  Bottom line shows that if you don't go along with it, the sky is filled with medium bombers.
[34:32.000 --> 34:45.000]  And then above that, that's the last phase, above that it shows the international currency as one of the final signs of stage three, which is the final stage.
[34:45.000 --> 34:48.000]  And that's coming out with the colored money next year.
[34:48.000 --> 34:49.000]  Thanks for the call, Lewis.
[34:49.000 --> 34:56.000]  Clay, do you ever hear people that email you or call you and say, you're making this colored money stuff up when it's on CNN, Atlanta Journal Constitution?
[34:56.000 --> 34:59.000]  They're admitting that it's part of the amaro, phasing us into that.
[34:59.000 --> 35:01.000]  What will life be like under the amaro, Clay?
[35:01.000 --> 35:03.000]  Hey, I don't know, Alex.
[35:03.000 --> 35:08.000]  You know, I'm having trouble dealing with the Federal Reserve notes that we've gotten at right now.
[35:08.000 --> 35:11.000]  Listen, I want to give you a quote here.
[35:11.000 --> 35:16.000]  This is from Dr. Henry Kissinger in 1991.
[35:16.000 --> 35:19.000]  You know, nobody even thought about this in 1991.
[35:19.000 --> 35:24.000]  He says, today America would be outraged if U.N. troops entered Los Angeles to restore order.
[35:24.000 --> 35:26.000]  Tomorrow they will be grateful.
[35:26.000 --> 35:34.000]  This is especially true if they were told that there were an outside threat from beyond, whether real or promulgated, that threatened our very existence.
[35:34.000 --> 35:42.000]  It is then that all the peoples of the world will plead to deliver them from this evil, the one thing every man fears is the unknown.
[35:42.000 --> 35:49.000]  With this scenario, individual rights will be willingly relinquished for the guarantee of world peace.
[35:49.000 --> 35:58.000]  We'll be right back.
[35:58.000 --> 36:03.000]  All right, folks, we're back live in our final segment with Clay Douglas.
[36:03.000 --> 36:10.000]  Clay, bottom line, we are living in an interesting time in the old Chinese proverb, parable.
[36:10.000 --> 36:13.000]  It is clear that power corrupts and absolute power corrupts absolutely.
[36:13.000 --> 36:16.000]  The globalists want more power, more control.
[36:16.000 --> 36:18.000]  We don't have a choice but to stand and fight against this.
[36:18.000 --> 36:19.000]  They feed on their own.
[36:19.000 --> 36:21.000]  They feed on people that serve them.
[36:21.000 --> 36:23.000]  It's a system-wide attack.
[36:23.000 --> 36:25.000]  How do people get past their fear factor?
[36:25.000 --> 36:31.000]  Because I've always said, if you knew the score, it would take blind courage to not fight this thing.
[36:31.000 --> 36:33.000]  The Putin thing to do is to fight it.
[36:33.000 --> 36:35.000]  Do you see where I'm going with that?
[36:35.000 --> 36:36.000]  Absolutely.
[36:36.000 --> 36:41.000]  You know, you can live in fear or you can live.
[36:41.000 --> 36:44.000]  I don't think there's a choice.
[36:44.000 --> 36:47.000]  People ask me all the time, aren't you afraid talking about the government, doing what you do?
[36:47.000 --> 36:50.000]  I've been publishing to Free American for nine years.
[36:50.000 --> 36:53.000]  You know, I'm not afraid of the government.
[36:53.000 --> 36:54.000]  They're aware of me.
[36:54.000 --> 37:02.000]  I've made every list, every hit list, every guide to right-wing extremists for the last nine years.
[37:02.000 --> 37:09.000]  And frankly, you know, I think there's still some good people in the FBI, in the local police force.
[37:09.000 --> 37:15.000]  I don't have a single problem where I live because all the police know me and know what I do.
[37:15.000 --> 37:25.000]  You know, there was just an incident in Ecuador where the people rose up against this new NAFTA-type agreement,
[37:25.000 --> 37:28.000]  AFTT or something like that.
[37:28.000 --> 37:30.000]  I'm not sure exactly the name.
[37:30.000 --> 37:31.000]  The thing was AFTT, yeah.
[37:31.000 --> 37:36.000]  The American Free Trade something or other.
[37:36.000 --> 37:40.000]  People normally, I mean, average people rose up against it.
[37:40.000 --> 37:47.000]  There was some violence with the police against the protesters, 10,000 protesters.
[37:47.000 --> 37:48.000]  Guess what, Alex?
[37:48.000 --> 37:53.000]  The police rebelled against the government, joined the people,
[37:53.000 --> 38:00.000]  and got the people into the meeting with the ministers that were meeting there trying to hammer out this.
[38:00.000 --> 38:05.000]  Yeah, wait until that police officer's father's ranch gets stolen.
[38:05.000 --> 38:09.000]  Wait when that police officer's grandfather's business gets shut down.
[38:09.000 --> 38:11.000]  Wait until this gets worse and worse.
[38:11.000 --> 38:13.000]  That's why they're putting the spray bottles on the helicopters.
[38:13.000 --> 38:16.000]  You know, I was on a police show.
[38:16.000 --> 38:18.000]  It was run by police.
[38:18.000 --> 38:20.000]  I was interviewed by the police.
[38:20.000 --> 38:22.000]  I told them, no way, I'm giving up my guns.
[38:22.000 --> 38:29.000]  And after we discussed that, that's one of the reasons I got Larry Pratt coming to speak.
[38:29.000 --> 38:34.000]  After the show was over, every police officer there, the cameramen, the people that interviewed me,
[38:34.000 --> 38:38.000]  came up and shook my head and said, we believe the way you do.
[38:38.000 --> 38:42.000]  We're not taking the guns away from our fathers, our grandfathers, our uncles.
[38:42.000 --> 38:44.000]  We're not doing that.
[38:44.000 --> 38:46.000]  And I think that's where it's going to come down.
[38:46.000 --> 38:50.000]  I think that's where they're going to run into their roadblock, Alex.
[38:50.000 --> 38:56.000]  When the police and the soldiers, and these soldiers are our kids now,
[38:56.000 --> 38:59.000]  these kids aren't going to turn around and come against us.
[38:59.000 --> 39:01.000]  That's why they've got to get the foreign troops in here.
[39:01.000 --> 39:03.000]  That's why NORTHCOM, what a chilling fact.
[39:03.000 --> 39:05.000]  I know you've seen the articles, you've published them,
[39:05.000 --> 39:09.000]  mainstream that they're bringing in foreign assets to, quote, be used in America against us.
[39:09.000 --> 39:11.000]  I mean, this is all unbelievable.
[39:11.000 --> 39:14.000]  It's true. They have to do that.
[39:14.000 --> 39:18.000]  But I don't think it's going to work.
[39:18.000 --> 39:20.000]  I think it'll work for a while.
[39:20.000 --> 39:25.000]  It'll work until the average person starts realizing exactly what's happening here.
[39:25.000 --> 39:28.000]  And, you know, by the way, Alex, my kudos to you,
[39:28.000 --> 39:34.000]  the story that you did on the similarities between the shooters and the North Point, or the...
[39:34.000 --> 39:35.000]  Northwoods, yeah.
[39:35.000 --> 39:38.000]  Northwoods document was excellent.
[39:38.000 --> 39:41.000]  Well, publish it if you'd like, Clay. I know you were already on top of that.
[39:41.000 --> 39:45.000]  Hey, listen, this Saturday and Sunday, 15 miles south of the big airport in Atlanta,
[39:45.000 --> 39:48.000]  I hope everybody shows up for your expo. Thanks for joining us.
[39:48.000 --> 39:50.000]  All right, thank you, Alex.
[39:50.000 --> 39:54.000]  Hey, listen, I will keep a booth open for you in case you can get away, jump on a plane, come on out.
[39:54.000 --> 39:55.000]  All right.
[39:55.000 --> 39:56.000]  All right.
[39:56.000 --> 39:57.000]  Thanks, Clay. Bye-bye.
[39:57.000 --> 39:59.000]  Folks, I'll be back tonight, 9 to midnight.
[39:59.000 --> 40:02.000]  I've got several guests coming on, including G. Gordon Liddy.
[40:02.000 --> 40:07.000]  9 to midnight, central, standard time on your local AMR heaven dial,
[40:07.000 --> 40:10.000]  or on the internet at infoawards.com or net,
[40:10.000 --> 40:14.000]  or on Global Shortwave at 5.085 or 6890.
