[00:00.000 --> 00:28.000]  From the Infowars.com News Center, deep behind enemy lines, in the middle of the night,
[46:54.000 --> 47:04.000]  And the fact that the media is so mind controlled, they go along with that. And actually you're trying to cue her into do that shows you how trashy these people are.
[47:04.000 --> 47:12.000]  But it gets worse. Then I have to sit there every day and watch UN sponsored and other ads and I know who's behind it. Peter Sutherland.
[47:12.000 --> 47:21.000]  George Soros. We have their emails. We have their operations. They admit they want to overthrow us. They admit they want to make us poor. They hate us. They're just horrible demons.
[47:21.000 --> 47:34.000]  Connected to every form of evil you can imagine. And now they come out and they run all these different ads saying there's no turning back Swedish TV ads says Swedes must accept multiculturalism.
[47:34.000 --> 47:40.000]  There's no going back. It's called closing your borders and creating a deportation squad.
[47:40.000 --> 47:52.000]  Let's see, they're bringing in the client groups, ladies and gentlemen with leftist to then out vote and control and then instill the quote minorities with anti Western racism.
[47:52.000 --> 48:03.000]  Some of these people are bad inherently if they were educated, but they've been reeducated. They've already come out of an authoritarian system so they will comply immediately with the new tyranny.
[48:03.000 --> 48:12.000]  This is an alliance. This is a takeover. The articles on info wars.com and it ties into all the other videos we've been playing lately with. Oh, I wear the hajib. I'm German woman.
[48:12.000 --> 48:21.000]  I'm like Turkish now, brought to you by the United Nations. This is how they're pushing all this garbage. Let's go ahead and play this clip without our bug so I can read the subtitles, please.
[48:21.000 --> 48:32.000]  I'm going to play this clip. This is from Swedish government funded ad. Okay, this is this. Imagine what they're teaching kids. If you think this is bad, here it is.
[48:32.000 --> 48:41.000]  With a key quote at the end about how this is the quote new country. Let's go ahead and go to it.
[48:41.000 --> 48:52.000]  There's no way back Sweden will never be what it was. Let's start over again. I want to start over again because I have people talking to my head and I'm sorry. I got to start over again.
[48:52.000 --> 49:03.000]  The crew was giving me a note. I want to start over. Let's play the ad. Here we go. There's no way back Sweden will never be what it was once.
[49:03.000 --> 49:12.000]  Europe is changing and Sweden is needing a safe space for people to live in. Now we must look forward and find a way to live side by side.
[49:12.000 --> 49:22.000]  Now we must look forward. It's time to realize that new Swedes will claim their space and bring their culture, language and habits and it's time to see that as a positive force.
[49:22.000 --> 49:30.000]  To be Swedish must be more than skin color and place of birth is must be you and everybody together. That means submitting. No culture.
[49:30.000 --> 49:38.000]  It's not only new Swedes that need to integrate. Everyone needs to integrate. Even established Swedes. You must see, you must immigrate to them.
[49:38.000 --> 49:46.000]  Immigration is about finding mutual understanding. Let's create a future that is based on equal parts, reality and belief in the future.
[49:46.000 --> 49:55.000]  Let's build a country where we put hate and fear aside. We all have the new country within us in our worldview, thoughts and actions.
[49:55.000 --> 50:06.000]  It's time to react and create a country together that is proud, inclusive and sustainable. It's time to create something new, the new country.
[50:06.000 --> 50:19.000]  And then the something new is a woman in a hajib. Because you're bad fundamentally. You have to create a safe space. This is all social justice warrior nomenclature from the UN.
[50:19.000 --> 50:27.000]  And this is saying you must submit Sweden. You've only taken in what a million Muslims last few years. They're only record rapes. The police are ordered to cover it up.
[50:27.000 --> 50:38.000]  They're only, you know, doing all the stuff, but it's okay because you need to submit to it and you need to accept it and they have accepted it. So the answer is more, more, more, more, more.
[50:38.000 --> 50:46.000]  And when they bomb you, it's not a bombing. When they stab you, scream in a log bar. Well, you better put a hajib on and submit to them.
[50:46.000 --> 50:55.000]  This, how do you bring down national sovereignty? How do you do this? If you're mega banks offshore, you bring in people that are incompatible for total divide and conquer.
[50:55.000 --> 51:00.000]  I'll admit, though, it's so bold, it makes my head spin. We'll be back. Stay with us.
[51:26.000 --> 51:30.000]  That's C-A-T-I armor.com. Come and take it.
[51:30.000 --> 51:40.000]  Fully cooked, ready to eat bacon. I'm talking thick meaty, center cut, presidential bacon. Savory and delicious. I buy some, I use some, I store some. Awesome.
[51:40.000 --> 51:49.000]  No refrigeration needed with a 10 year shelf life. NASA pack technology. Bacon. Fully cooked, fully hydrated, ready to eat right from the pack bacon.
[51:49.000 --> 52:00.000]  Or warm and serve. Life saving, ready to eat bacon. 10 year shelf life bacon. Ships free at fullycookedbacon.com. Fullycookedbacon.com.
[52:00.000 --> 52:11.000]  Hunters, anglers, campers and survivalists. Get back to nature. Expand your horizons with the highest quality, most versatile, unique sling shots and sling bows on the market at slingbow.com.
[52:11.000 --> 52:22.000]  Slingbow products are compact and models start from just 1798. They're perfect for your bug out bag or storing in your vehicle. Give yourself and your loved ones the excitement and tradition of slingbow.
[52:22.000 --> 52:40.000]  A new frontier in archery and truly modern twist on this primitive survival tool. Feel the thrill, only at slingbow.com. So you've got to take a state construction license exam or certification. Can't decide on what books or what chapters to study? Discover right now how you can eliminate unnecessary books and wasted study time.
[52:40.000 --> 52:55.000]  At contractorexam.com, our study materials zero in on state required test topics in an effective multiple choice format. So whether you're a plumber, electrician, general contractor or other construction related trade, contractorexam.com will help get you prepared.
[52:55.000 --> 53:10.000]  Visit us at www.contracterexam.com today.
[53:26.000 --> 53:45.000]  Unlike other preps, Solark is used every day to help offset your electric bill automatically. Visit PortableSolarLLC.com to learn how easily expandable the system is. Solark is the most affordable and powerful solution on the market. The whole system even fits in the back of a pickup or SUV and can install in less than an hour.
[53:45.000 --> 53:58.000]  See for yourself why Solark beats other off grid systems at PortableSolarLLC.com. Don't wait for the government. Go to PortableSolarLLC.com to learn why Solark is energy insurance for your family.
[54:15.000 --> 54:30.000]  Solark is the most affordable solution on the market. Don't wait for the government. Go to PortableSolarLLC.com to learn why Solark beats other off grid systems at PortableSolarLLC.com to learn why Solark is energy insurance for your family.
[54:30.000 --> 54:46.000]  Solark is the most affordable solution on the market. Don't wait for the government. Go to PortableSolarLLC.com to learn why Solark beats other off grid systems at PortableSolarLLC.com to learn why Solark is energy insurance for your family.
[55:00.000 --> 55:18.000]  Solark is the most affordable solution on the market. Don't wait for the government. Go to PortableSolarLLC.com to learn why Solark beats other off grid systems.
[55:18.000 --> 55:21.660]  There are many countries in Africa where women are in charge of many areas.
[55:21.660 --> 55:27.700]  I mean, it's not like I'm kissing women's asses. I have a mother. I have daughters. It fundamentally pisses me off.
[55:28.620 --> 55:30.780]  At a primitive level, I'm primitive too.
[55:30.780 --> 55:36.180]  I mean, we're showing images for TV viewers of Paris with the North Africans and the Somalis and all the rest of it.
[55:36.180 --> 55:40.100]  I mean, it's millions and millions and millions and millions and millions more than they're saying.
[55:40.860 --> 55:46.220]  Okay, it is so bad, people. It is so out of control.
[55:46.220 --> 55:54.360]  And I've got stacks of videos here where Minneapolis Muslims prefer Sharia want blasphemy laws in the U.S.
[55:55.860 --> 55:59.900]  And we just played Swedish TV says Swedes must accept multiculturalism.
[56:00.700 --> 56:09.340]  I have other clips where, you know, the the Imam of Jerusalem says Europe is weak and the blonde-haired blue eyes are bad.
[56:09.380 --> 56:14.780]  We take our women and we will take our heads that governments are under our control.
[56:14.780 --> 56:20.140]  I mean, it's even like a cartoon like sound like Klingons black black and brown black black.
[56:21.140 --> 56:26.940]  And it's and it's oh liberal. It's not a bombing. It's not a hot bar stabbing at the mall.
[56:27.940 --> 56:33.660]  And it's our government covering it up and the plan and and the admissions of all this.
[56:34.300 --> 56:40.140]  Like let's go out to break with Amy Horowitz interviews Muslims of Minneapolis, and he finds a few
[56:40.140 --> 56:51.300]  Am I finds a few common threads in the unanimous opposition to the freedom of speech and support for criminalizing criticism of Islam by a penalty of death for those who insult Mohammed.
[56:51.900 --> 56:54.940]  So I'm not insulted Mohammed, but I'm gonna tell you something right now.
[56:57.020 --> 57:01.620]  We're told Russia is infiltrating America. No, Russia is being destroyed by the same global destroying us.
[57:01.780 --> 57:05.900]  Russia's battling Orthodox and radical Islam. And God bless Russia.
[57:05.900 --> 57:17.020]  Russia isn't doing anything to this country. George Soros, the Democratic Party, Hollywood, Goldman Sachs, the big megabanks, they're the ones gang raping this country.
[57:18.300 --> 57:24.300]  And if you work at JP Morgan Goldman Sachs, I'm not attacking you as a person, but go look at who funds all this and that's your bosses.
[57:24.340 --> 57:25.700]  Do you really stand for that?
[57:27.300 --> 57:32.260]  You ought to start giving money to the opposition politically if you work there to balance out what you've done.
[57:32.260 --> 57:46.980]  Oh, I forgot Goldman Sachs just banned giving to state candidates, basically Republicans will play this clip coming up before Michael Savage joins us, because I've got it in the shower and then I'll play more, but I did blow up earlier.
[57:46.980 --> 57:48.500]  That's real. I shouldn't do that.
[57:49.020 --> 57:52.980]  I have tens of millions of listeners. The media takes out a context when I do.
[57:53.180 --> 57:55.980]  So I try not to do it because it's probably not helpful, but I'm going to be honest with you.
[57:56.180 --> 58:00.180]  It's better than me doing it at home or on the highway, which where I don't do it.
[58:00.180 --> 58:11.180]  Okay, because those things don't piss me off. Somebody cut me off. I don't, I don't care, you know, you know, dropping something on my toe. I don't get mad when I sit here and I watch political surrender and sell out of this Republic.
[58:11.700 --> 58:28.180]  And then I watch the traders that are doing it saying, we're the traders and lying about Donald Trump and lying about who we are saying we're the intolerant racist when they bring in the most radical Muslims, you can imagine, it makes me fundamentally hate their guts at a survival level.
[58:28.180 --> 58:48.180]  It's beyond hatred. It's just an energy that says, we're going to beat you. The giant is rising. Get the free app now, now info wars.com app. Get it. It's a war. Rise up. It's a war.
[58:59.180 --> 59:07.180]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[59:07.180 --> 59:16.180]  Infowarslife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive perfected process.
[59:16.180 --> 59:28.180]  Secret 12 is a binary of nutrimentical grade, bioavailable, coenzyme forms of B12, methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[59:28.180 --> 59:37.180]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed. No needles, no injections. Don't take my word for it. Try it for yourself. Discover the secret.
[59:37.180 --> 59:49.180]  Secret 12. Secure your revolutionary Secret 12 formula right now at infowarslife.com or call 888-253-3139. Infowarslife. Secret 12.
[59:52.180 --> 59:55.180]  You're listening to the Alex Jones show.
[59:55.180 --> 01:00:06.180]  When Hillary tells you not to use the word bomb or terrorism when it's clearly that, it's to demoralize you. It's to break your will.
[01:00:06.180 --> 01:00:11.180]  Michael Savage is coming up with first a key report on the weaponized system Hillary's using.
[01:00:14.180 --> 01:00:21.180]  My running mate. We're described in the most deplorable of terms.
[01:00:21.180 --> 01:00:31.180]  And that did help me reconnect with what this whole campaign is about. People like me, we're lucky.
[01:00:31.180 --> 01:00:36.180]  It will be abundantly clear soon, you great big basket of deplorables.
[01:00:36.180 --> 01:00:45.180]  I want the entire pool of scrubs sterilized in disinfection. There's no big deal.
[01:00:45.180 --> 01:00:51.180]  You can put half of Trump's supporters into what I call the basket of deplorables.
[01:00:51.180 --> 01:00:56.180]  It is said that the people are revolting. You said that they spank on ice.
[01:00:56.180 --> 01:01:01.180]  No Your Majesty, this is a very serious problem. The peasants feel you have no regard for them.
[01:01:01.180 --> 01:01:09.180]  What? I have no regard for the peasants? They are my people. I am their sovereign. I love them.
[01:01:09.180 --> 01:01:16.180]  Pull! Drifting to the left.
[01:01:16.180 --> 01:01:26.180]  This is a call to all American citizens. This is our America. And your very citizenship refuses that you be divided.
[01:01:26.180 --> 01:01:34.180]  Ideological subversion is the process which is legitimate, all word and open.
[01:01:34.180 --> 01:01:41.180]  You can see it with your own eyes. All you have to do, all American mass media has to do is to unplug their bananas from their ears,
[01:01:41.180 --> 01:01:49.180]  open up their eyes and they can see it. The demoralization process in the United States is basically completed already.
[01:01:49.180 --> 01:01:54.180]  Most of it is done by Americans to Americans, thanks to lack of moral standards.
[01:01:54.180 --> 01:02:02.180]  A person who was demoralized is unable to assess true information. The facts tell nothing to him.
[01:02:02.180 --> 01:02:09.180]  Even if I shower him with information, with authentic proof, with documents, with pictures.
[01:02:09.180 --> 01:02:16.180]  Even if I take him by force to the Soviet Union and show him concentration camp, he will refuse to believe it,
[01:02:16.180 --> 01:02:21.180]  until he is going to receive a kick in his fat bottom.
[01:02:21.180 --> 01:02:25.180]  If you start right now, here, this minute, you start educating new generation of Americans,
[01:02:25.180 --> 01:02:38.180]  it will still take you 15 to 20 years to turn the tide of ideological perception of reality back to normalcy and patriotism.
[01:02:38.180 --> 01:02:46.180]  The next stage is destabilization. This time subverter does not care about your ideas and the patterns of your consumption
[01:02:46.180 --> 01:02:50.180]  and it takes only from 2 to 5 years to destabilize a nation.
[01:02:50.180 --> 01:02:55.180]  What matters is essentials. Economy, foreign relations, defense systems.
[01:02:55.180 --> 01:03:01.180]  The influence of Marxist-Leninist ideas in the United States is absolutely fantastic.
[01:03:01.180 --> 01:03:08.180]  The next stage, of course, is crisis. It may take only up to 6 weeks to bring a country to the verge of crisis.
[01:03:08.180 --> 01:03:16.180]  And after crisis, with a violent change of power, structure and economy, you have so-called the period of normalization.
[01:03:16.180 --> 01:03:24.180]  It may last indefinitely. This is what will happen in the United States if you allow all these schmucks to bring the country to crisis,
[01:03:24.180 --> 01:03:32.180]  to promise people all kinds of goodies and the paradise on earth, to destabilize your economy,
[01:03:32.180 --> 01:03:40.180]  to eliminate the principle of free market competition and to put a big brother government in Washington, D.C.
[01:03:40.180 --> 01:03:51.180]  Most of the American politicians, media and educational system, trains another generation of people who think they are living at a peace time.
[01:03:51.180 --> 01:03:55.180]  False. The United States is in the state of war.
[01:03:55.180 --> 01:04:02.180]  Undeclared total war against the basic principles and the foundations of this system.
[01:04:02.180 --> 01:04:08.180]  The time bomb is ticking, but every second the disaster is coming closer and closer.
[01:04:08.180 --> 01:04:15.180]  Unlike myself, you will have nowhere to defect to, unless you want to live in untaxical attendance.
[01:04:15.180 --> 01:04:20.180]  This is it. This is the last country of freedom and possibility.
[01:04:20.180 --> 01:04:27.180]  Free your mind as it was intended. The left will preach to you terms of Islamophobia, fear-mongering and bigotry,
[01:04:27.180 --> 01:04:39.180]  praying on your 21st century demoralized perspective, normalizing it as the gospel truth, while destabilizing your neighborhood with one crisis after another.
[01:04:39.180 --> 01:04:47.180]  Now more than ever, you great big basket of deplorables, you must recollect your own individualism and hold strong to the truth.
[01:04:47.180 --> 01:04:52.180]  Like a mass in a raging tempest, the days of sloth and neglect are waning.
[01:04:52.180 --> 01:04:57.180]  John Bound for Influencers.com.
[01:05:22.180 --> 01:05:27.180]  Bill Clinton referred to the incident as a bombing just moments before, according to Paul Joseph Watson.
[01:05:27.180 --> 01:05:34.180]  Even more ridiculous, it never been repeated the same stunt a second time, with host Jake Tapper slamming Trump for leaping to the conclusions.
[01:05:34.180 --> 01:05:38.180]  Again failing to play the clip where Clinton described the incident as a bombing.
[01:05:38.180 --> 01:05:41.180]  Trump called CNN's deception disgusting and disgraceful.
[01:05:41.180 --> 01:05:49.180]  He also pointed out how CBS recently edited out Bill Clinton admitting that Hillary frequently has medical episodes like the seizure she had on 9-11.
[01:05:49.180 --> 01:05:54.180]  It's not surprising then that recent polls show that trusted mainstream media is at a record low.
[01:05:54.180 --> 01:06:19.180]  Find out more at Infowars.com. This is Kit Daniels reporting.
[01:06:25.180 --> 01:06:29.180]  If you're dealing with a health challenge, or if you're healthy and want to maintain your vigor and longevity,
[01:06:29.180 --> 01:06:35.180]  and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives
[01:06:35.180 --> 01:06:42.180]  to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino acids it needs to do its healing work,
[01:06:42.180 --> 01:06:46.180]  you need to check out Infowars.com.
[01:06:46.180 --> 01:06:52.180]  Give your body the gift of good nutrition. Head over to Infowars.com. Your body will be very grateful.
[01:06:52.180 --> 01:06:59.180]  On the web at InfowarsTeam.com. That's InfowarsTeam.com.
[01:07:23.180 --> 01:07:30.180]  Right now, with all the refugees spreading disease around, we have biological warfare going on everywhere. These are all parasites.
[01:07:30.180 --> 01:07:33.180]  Tell us about all the stuff we said. There's so many things that are in it.
[01:07:33.180 --> 01:07:37.180]  You have the neem in there. You have the organic clove bud, the organic wormwood.
[01:07:37.180 --> 01:07:41.180]  I recommend doing a parasite cleanse at least twice a year.
[01:07:41.180 --> 01:07:44.180]  Alright, well, I'm glad we've got some back in because I'm going back on it today.
[01:07:44.180 --> 01:07:47.180]  It just came back in yesterday. Living Defense, InfowarsLife.com.
[01:07:47.180 --> 01:07:53.180]  And folks, you can't lose. It's full of stuff that's great for your body, period. And you support the broadcast.
[01:07:53.180 --> 01:07:56.180]  InfowarsLife.com. Thank you, Dr. Group, from the Global Healing Center.
[01:07:56.180 --> 01:08:18.180]  Thank you so much for all your work, sir, on this great product.
[01:08:18.180 --> 01:08:26.180]  Dr. Michael Savage, and many times he's been on the broadcast, usually just a few times a year, but he's been coming on for many years, says, Alex, you're getting me too worked up, I'm going to lose my voice.
[01:08:26.180 --> 01:08:30.180]  I'm yelling. Earlier, I really got mad. And I started screaming and my voice is gone.
[01:08:30.180 --> 01:08:36.180]  So I'm in trouble here. So you'll have less interruptions the next 30 minutes with Dr. Savage than you normally get.
[01:08:36.180 --> 01:08:42.180]  Because I'm so angry. He was just bringing up during the break, the head of the Green Party in the Bundesstag in Germany.
[01:08:42.180 --> 01:08:45.180]  That's their Congress saying, thank God we're bringing in nothing but Muslims.
[01:08:45.180 --> 01:08:50.180]  Germans are basically bad. We're getting rid of you. Sweden's running a TV ad saying there's no turning back.
[01:08:50.180 --> 01:08:56.180]  Swedish TV ad says Swedes must accept multiculturalism. I played the ad last hour and played again.
[01:08:56.180 --> 01:09:02.180]  This just illustrates our governments are consciously turning us over to Islam. And I'll be honest.
[01:09:02.180 --> 01:09:10.180]  With three terror attacks, the stabbing, the two bombings, Hillary for days, you know, saying Trump's wrong for saying bombing, wrong for saying terror.
[01:09:10.180 --> 01:09:17.180]  It's like seeing a blue sky, you know, wrong for saying blue sky, then being forced to now come out and say, I have the clip that Trump is behind it.
[01:09:17.180 --> 01:09:24.180]  It's his fault because he wasn't nice to ISIS because he criticized him. This is the collapse of the mainstream media's credibility.
[01:09:24.180 --> 01:09:29.180]  My problem is they're still running the country, but shows Trump has turned the tide ahead in a bunch of polls.
[01:09:29.180 --> 01:09:36.180]  There's so much to cover with Dr. Savage. This reported bomber was shot by the police. He's still alive.
[01:09:36.180 --> 01:09:41.180]  We'll roll some video for TV viewers of him being taken on a stretcher. Two police officers were shot.
[01:09:41.180 --> 01:09:47.180]  This guy last year had been bitching about police and was involved in Black Lives Matter.
[01:09:47.180 --> 01:09:55.180]  So this is a social justice warrior allied, obviously with his home religion of Islam, another visitor to the country, another invader,
[01:09:55.180 --> 01:10:02.180]  just like the Somali stabbing people screaming Allah Akbar. So Dr. Savage, you've got the floor, the new book, Scorched Earth,
[01:10:02.180 --> 01:10:08.180]  restoring the country after Obama, Michael Savage, number one New York Times bestseller in bookstores everywhere.
[01:10:08.180 --> 01:10:12.180]  What do we do once we get the country back? We'll talk about that in part two.
[01:10:12.180 --> 01:10:16.180]  But first, sir, the terror attacks obviously are front and center.
[01:10:16.180 --> 01:10:22.180]  Well, the denial to begin with, the minute it happened, we knew it was an Islamic attack. Everyone did.
[01:10:22.180 --> 01:10:29.180]  I mean, let's say this, the first instinct of the Marine Corps run bombing Muslim pipe bomb, that was my first reaction.
[01:10:29.180 --> 01:10:34.180]  I was right. Second attack, New York, dumpster bombing, Muslim, I was right.
[01:10:34.180 --> 01:10:42.180]  How many more attacks have to happen from Muslims till we realize that it's not happening in a vacuum and it's not happening because of evil Donald Trump
[01:10:42.180 --> 01:10:48.180]  or because of Michael Savage or Alex Jones? You know, on my Facebook, I get this from the idiots, the liberals.
[01:10:48.180 --> 01:10:52.180]  They say, you know, if we didn't provoke them, if we didn't put them down, if we didn't demonize them, they wouldn't do it.
[01:10:52.180 --> 01:11:00.180]  And I have to patiently say, study your history. Islam has been a war with the world for 1,400 years.
[01:11:00.180 --> 01:11:04.180]  They don't learn that at Harvard. They don't learn that at Yale. They don't learn anything.
[01:11:04.180 --> 01:11:10.180]  So they don't know that Islam is a warlike militant political machine.
[01:11:10.180 --> 01:11:18.180]  And they've used the First Amendment, freedom of religion to infiltrate and conquer every nation they've ever entered.
[01:11:18.180 --> 01:11:22.180]  In this country, for example, I was thinking about that this morning at dawn, Alex.
[01:11:22.180 --> 01:11:26.180]  I had an amazing sunrise this morning on San Francisco Bay. It looked like fire.
[01:11:26.180 --> 01:11:31.180]  I put it up on my Facebook page. It was one of those fire sunrises.
[01:11:31.180 --> 01:11:37.180]  The whole world looked like it lit up like something had hit the earth. It was burning.
[01:11:37.180 --> 01:11:47.180]  And all I could think about was how not the Trojan horse metaphor, but specifically freedom of religion.
[01:11:47.180 --> 01:11:51.180]  And I said, wait a minute, there are limitations on freedom of speech.
[01:11:51.180 --> 01:11:54.180]  Aren't there? In other words, you can't yell, kill this or kill that.
[01:11:54.180 --> 01:11:57.180]  You'd be taken off the air in one second and probably arrested.
[01:11:57.180 --> 01:12:01.180]  I have limitations. I have an internal auditor in my head, an internal censor.
[01:12:01.180 --> 01:12:06.180]  I don't say certain things because I know that I wouldn't last in the business for 22 years.
[01:12:06.180 --> 01:12:08.180]  I'd lose show, advertisers, you name it.
[01:12:08.180 --> 01:12:14.180]  So who says that religion should be protected 100% by the First Amendment?
[01:12:14.180 --> 01:12:19.180]  For example, what if psychos wake up one day as they have and they say they're a witch in their religion?
[01:12:19.180 --> 01:12:24.180]  Well, then, hey, you got warlocks now practicing witchcraft in the army.
[01:12:24.180 --> 01:12:26.180]  This is showing you how sick the country has become.
[01:12:26.180 --> 01:12:30.180]  Fine. Well, now let's say someone comes up with a religion and says,
[01:12:30.180 --> 01:12:33.180]  my religion says you can kill anyone who's not like us.
[01:12:33.180 --> 01:12:37.180]  Is that a religion? Sure. You got the protection of your religion.
[01:12:37.180 --> 01:12:41.180]  How about I can rape young children? Sure. It's a religion. No, it isn't.
[01:12:41.180 --> 01:12:45.180]  So in other words, if a religion woke up or created or someone created a religion of child molesting,
[01:12:45.180 --> 01:12:47.180]  everyone say, I'm sorry, that's not a religion.
[01:12:47.180 --> 01:12:51.180]  If religion said you can kill anyone who's not like you to say that's not a religion.
[01:12:51.180 --> 01:12:53.180]  Really? Well, look into Islam.
[01:12:53.180 --> 01:12:57.180]  It says kill the infidel in about 73 different places.
[01:12:57.180 --> 01:13:05.180]  If you find the infidel slashes throat, kill the Jew, kill the Christian, kill the apostate.
[01:13:05.180 --> 01:13:11.180]  So I'm saying right now what moderate Muslims are saying, and I've had some of these people on,
[01:13:11.180 --> 01:13:13.180]  mainly they're women, by the way.
[01:13:13.180 --> 01:13:17.180]  I've often said, Alex, only the Muslim women can save us from these animals.
[01:13:17.180 --> 01:13:21.180]  It's the Muslim women who have to save us from these throwback animals.
[01:13:21.180 --> 01:13:25.180]  All the Ahmeds of the world, like the one in New Jersey who claimed their racial discrimination.
[01:13:25.180 --> 01:13:27.180]  Didn't you see that one earlier?
[01:13:27.180 --> 01:13:33.180]  He sued the town and the police because they dare say that the chicken stand that his whole family was running
[01:13:33.180 --> 01:13:35.180]  was causing disturbances.
[01:13:35.180 --> 01:13:41.180]  So he got probably the geniuses from NYU, law school, and they sued the police in the little town in the Jersey for racism.
[01:13:41.180 --> 01:13:43.180]  You see, everything's racism.
[01:13:43.180 --> 01:13:45.180]  That's called the abuse of the First Amendment, get it?
[01:13:45.180 --> 01:13:47.180]  So I'm going back to my primary point.
[01:13:47.180 --> 01:13:53.180]  Why should everything in a religious book be permitted in the United States of America?
[01:13:53.180 --> 01:13:57.180]  Why are we bringing people from countries that are in perpetual war, the most radical Muslim countries,
[01:13:57.180 --> 01:14:03.180]  with these Sunnis and Wahhabis, where they're constantly just killing themselves, killing their wives and daughters,
[01:14:03.180 --> 01:14:05.180]  pouring ass on each other's faces.
[01:14:05.180 --> 01:14:07.180]  They're clearly lunatics.
[01:14:07.180 --> 01:14:15.180]  They're clearly under a 1400-year cult, and so we shouldn't be bringing people here from the region of cult crazies.
[01:14:15.180 --> 01:14:17.180]  Well, it all goes back to Barack Obama.
[01:14:17.180 --> 01:14:19.180]  We have a list. You probably have it.
[01:14:19.180 --> 01:14:25.180]  You have the greatest information in the business of how many Muslims have come in under Obama Clinton.
[01:14:25.180 --> 01:14:27.180]  She was Secretary of State.
[01:14:27.180 --> 01:14:31.180]  I think the number was something like 681,000 Muslims have been brought in under Hillary Clinton.
[01:14:31.180 --> 01:14:33.180]  Now, how many of them?
[01:14:33.180 --> 01:14:35.180]  I keep hearing most of them are peaceful.
[01:14:35.180 --> 01:14:37.180]  Fine. Okay. Most of them are peaceful.
[01:14:37.180 --> 01:14:39.180]  So what is it? 1% are radicals?
[01:14:39.180 --> 01:14:41.180]  What's 1% of 700,000 rounded off?
[01:14:41.180 --> 01:14:43.180]  A lot of people.
[01:14:43.180 --> 01:14:45.180]  Oh, what? 10? Do it math fast.
[01:14:45.180 --> 01:14:47.180]  We should do it in the fifth grade.
[01:14:47.180 --> 01:14:49.180]  700,000. 10% is 70,000.
[01:14:49.180 --> 01:14:51.180]  1% is 7,000.
[01:14:51.180 --> 01:14:53.180]  There's about 7,000 in the demo now.
[01:14:53.180 --> 01:14:57.180]  So it's no way, Savage, no, it's not 1% of Muslims are radical.
[01:14:57.180 --> 01:14:59.180]  It's 0.1%.
[01:14:59.180 --> 01:15:01.180]  It's not 7,000. It's only 700.
[01:15:01.180 --> 01:15:03.180]  So they brought in 700 more terrorists.
[01:15:03.180 --> 01:15:05.180]  No, Savage, it's not 0.1%.
[01:15:05.180 --> 01:15:07.180]  It's 001%.
[01:15:07.180 --> 01:15:09.180]  All right. So it's not 70. It's 7.
[01:15:09.180 --> 01:15:11.180]  You see what I'm saying?
[01:15:11.180 --> 01:15:13.180]  But we know the numbers.
[01:15:13.180 --> 01:15:17.180]  This latest group, decades ago, it was heretics.
[01:15:17.180 --> 01:15:21.180]  It was people that did actually want to live in a freer country, in most cases,
[01:15:21.180 --> 01:15:23.180]  who are fleeing Islam,
[01:15:23.180 --> 01:15:25.180]  and were just Islamic with their roots.
[01:15:25.180 --> 01:15:27.180]  I've studied it. I know you've studied it. I've had scholars on.
[01:15:27.180 --> 01:15:31.180]  Now it's the worst third world areas that they're coming out of
[01:15:31.180 --> 01:15:33.180]  where they're constantly killing each other.
[01:15:33.180 --> 01:15:37.180]  It's a bunch of Sunnis who invaded Syria, got their butt kicked,
[01:15:37.180 --> 01:15:39.180]  and now are coming through Turkey into Europe, into the United States.
[01:15:39.180 --> 01:15:41.180]  Interpol admits, as you know, Dr. Savage,
[01:15:41.180 --> 01:15:43.180]  80% are military aged men,
[01:15:43.180 --> 01:15:45.180]  and when they do polls in Europe,
[01:15:45.180 --> 01:15:50.180]  upwards of 35% say they will support jihad and suicide bombing.
[01:15:50.180 --> 01:15:54.180]  Now, so 35% are terrorists.
[01:15:54.180 --> 01:15:56.180]  All right, so you have a higher number than I do.
[01:15:56.180 --> 01:15:59.180]  I'm liberal on that, Alec. You're the conservative.
[01:15:59.180 --> 01:16:03.180]  I'm saying only 1%, but the point I'm making is quite clear.
[01:16:03.180 --> 01:16:05.180]  Bring none of them in.
[01:16:05.180 --> 01:16:12.180]  Under Secretary Clinton, U.S. permanently resettled 31,000 Somali migrants.
[01:16:12.180 --> 01:16:14.180]  Thus, you know, the nice folks from Somalia,
[01:16:14.180 --> 01:16:17.180]  80% of whom are still on welfare, 15 years later.
[01:16:17.180 --> 01:16:18.180]  That's right.
[01:16:18.180 --> 01:16:22.180]  31,000 Somalis, wait, it gets even better.
[01:16:22.180 --> 01:16:27.180]  Between 09 and 13, while Hillary Clinton was served as Secretary of Hate,
[01:16:27.180 --> 01:16:32.180]  the U.S. permanently resettled 31,000 Somali migrants.
[01:16:32.180 --> 01:16:34.180]  We got that figure, right?
[01:16:34.180 --> 01:16:36.180]  During Clinton's time as Secretary of State,
[01:16:36.180 --> 01:16:42.180]  the U.S. resettled 680,000 migrants from Muslim nations.
