[00:00.000 --> 00:01.600]  We've got it, son.
[32:22.000 --> 32:32.000]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[32:32.000 --> 32:42.000]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[32:42.000 --> 32:52.000]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[32:52.000 --> 33:02.000]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[33:02.000 --> 33:12.000]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[33:12.000 --> 33:22.000]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[33:22.000 --> 33:32.000]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[33:32.000 --> 33:42.000]  People on welfare, it's basically like a killer whale locked up at SeaWorld or something thinking that's the whole ocean.
[33:42.000 --> 33:48.000]  The few feet it has to swim and begging for fish instead of living out in the open ocean itself.
[33:48.000 --> 33:52.000]  That's what the giant welfare state has turned into.
[33:52.000 --> 33:57.000]  And it's disgusting and we are now a bankrupt destroyed country.
[33:57.000 --> 34:02.000]  And the illegitimacy, the dumbing down, there's no doubt what's happening.
[34:02.000 --> 34:13.000]  And you've got these people begging for houses, begging for cars, begging for free phones, and the money is being taken from the people that actually work.
[34:13.000 --> 34:19.000]  The middle class, the working poor, the nouveau rich, they're the people that actually build an economy.
[34:19.000 --> 34:25.000]  NAFTA GATT has shut us down, tax incentives to move overseas, the mega rich.
[34:25.000 --> 34:29.000]  I'm talking to people that control hundreds of billions, that have billions themselves.
[34:29.000 --> 34:37.000]  They write countless books talking to each other, bragging about how they use welfare to control and dumb people down.
[34:37.000 --> 34:42.000]  And to use the giant hordes of poor as political weapons against the middle class.
[34:42.000 --> 34:46.000]  The middle class has shrunk by about half since 1967.
[34:46.000 --> 34:51.000]  Economist Dr. Paul Greg Roberts was breaking that down just last week in a big article.
[34:51.000 --> 34:56.000]  Mainstream media says it shrunk not by half, but close to it.
[34:56.000 --> 35:00.000]  I mean, we know what is happening. We know.
[35:00.000 --> 35:07.000]  We know the end game of this, of this nanny state, public schools where you can't run at recess.
[35:07.000 --> 35:09.000]  Now, first they banned dodgeball.
[35:09.000 --> 35:12.000]  Now they want to ban football saying it's hurting people.
[35:12.000 --> 35:20.000]  I mean, there are resting mothers in rural areas of South Texas because their children are playing in their own cul-de-sac on bicycles.
[35:20.000 --> 35:26.000]  Saying that's abusive. It's a joke.
[35:26.000 --> 35:29.000]  What we put up with in this country.
[35:29.000 --> 35:33.000]  Now let's go back to this pitiful woman at a town hall with Obama.
[35:33.000 --> 35:36.000]  Because there's just countless clips. I'm gonna have an air more tomorrow.
[35:36.000 --> 35:41.000]  Saying, you know, I need a car, I need a kitchen, the parks aren't enough.
[35:41.000 --> 35:43.000]  I need all this stuff.
[35:43.000 --> 35:47.000]  And Obama is sitting there saying, don't worry, I'll get it for you. Here it is.
[35:47.000 --> 35:52.000]  The apartment and homelessness, a very small vehicle for my family and I delivered.
[35:52.000 --> 35:58.000]  We need urgent and not housing authorities have two years waiting to listen.
[35:58.000 --> 36:02.000]  We need something more than the vehicle and the parks to go to.
[36:02.000 --> 36:07.000]  We need our own kitchen and our own bathroom. Please help.
[36:07.000 --> 36:11.000]  Well, listen, what's your name? What's your name?
[36:11.000 --> 36:13.000]  It's Henry at a Hughes.
[36:13.000 --> 36:17.000]  Okay, it's Hughes. Well, we're gonna do everything we can to help you.
[36:17.000 --> 36:21.000]  But for a lot of people like you, I look around and feel like they were kids.
[36:21.000 --> 36:28.000]  It's like a cross between a Benny Hinn TV revival where they ask you at the back what your helmet is.
[36:28.000 --> 36:31.000]  You write it down and then Benny Hinn announces it out.
[36:31.000 --> 36:34.000]  Hey woman, she has just had surgery on her gallbladder.
[36:34.000 --> 36:38.000]  Oh, that's me. How did you know? She is 67. How did you know that?
[36:38.000 --> 36:43.000]  By the way, in most of the cases where these women, remember there were dozens of them four years ago on the campaign trail?
[36:43.000 --> 36:49.000]  Most of the cases, they didn't give them anything. That woman, they did actually give a house.
[36:49.000 --> 36:54.000]  I mean, this is so amazing. It reminds me of John Gotti, the famous gangster.
[36:54.000 --> 36:58.000]  He would actually like hand out free pizzas, hand out turkeys on Thanksgiving.
[36:58.000 --> 37:01.000]  He'd put on a fireworks display for the neighborhood.
[37:01.000 --> 37:07.000]  But then he'd also burn down your cleaners or your grocery store if you didn't pay him 30% of your profit.
[37:07.000 --> 37:13.000]  But it's all right because, you know, he gives me a pizza or he gave me a turkey on Thanksgiving.
[37:13.000 --> 37:18.000]  I mean, it's all just mafia tactics, totally disgusting.
[37:18.000 --> 37:26.000]  Let's go to this lady. This is just from last week on Fox News bragging how she was given just unlimited phones.
[37:26.000 --> 37:29.000]  And then the people go out and then they sell them to other people.
[37:29.000 --> 37:34.000]  And remember, the illegal aliens get in state tuition when American citizens can't even get that.
[37:34.000 --> 37:39.000]  It's all about bankrupting this country and bringing in groups of people that will vote to take our guns,
[37:39.000 --> 37:42.000]  take our private property, and then it's game over.
[37:42.000 --> 37:47.000]  And they've almost won, ladies and gentlemen. They got paramilitary police who are dependent on government.
[37:47.000 --> 37:52.000]  It's all coming together, isn't it? Everybody works for the man.
[37:52.000 --> 37:55.000]  And the man, well, he is a son of a bitch, isn't he?
[37:55.000 --> 38:03.000]  The guy that runs the whole deal is a eugenicist, corporate, crony capitalist, monopoly man who hates you and your family.
[38:03.000 --> 38:11.000]  Excuse my polyvue Francais. Let's go ahead now and go to the bucket of phones. Just a little clip of this report.
[38:11.000 --> 38:13.000]  I have another one in my pocket, too.
[38:13.000 --> 38:16.000]  Baltimore City resident Monique Crawford has plenty of cell phones.
[38:16.000 --> 38:19.000]  I have about, like, six of my personnel.
[38:19.000 --> 38:21.000]  And a few more at home.
[38:21.000 --> 38:26.000]  Each and every one of these phones work at home. I know I have about 30 and all I'm on.
[38:26.000 --> 38:29.000]  But how did she manage to amass such a cellular jackpot?
[38:29.000 --> 38:31.000]  How long did it take you to get all these phones?
[38:31.000 --> 38:35.000]  About 10 minutes to get this one. Just a minute. I walked out with this one. Just a minute.
[38:35.000 --> 38:43.000]  Well, partly thanks to you. That's because anyone who pays a cell phone bill also subsidizes the phones filling up Monique's purse.
[38:43.000 --> 38:49.000]  Courtesy of a charge buried in your monthly bill called a universal access fee.
[38:49.000 --> 38:57.000]  Private prepaid cell phone companies are now giving away phones to people in Baltimore and dozens of other students who receive government aid.
[38:57.000 --> 39:01.000]  They gave out over a million in Ohio.
[39:01.000 --> 39:08.000]  Here's the daily, a date and daily news, dating newspaper.
[39:08.000 --> 39:13.000]  Fees on a phone bill pays out 1.5 billion per year.
[39:13.000 --> 39:17.000]  The number I saw was 1.6 billion, but whatever. This is 1.5, whatever.
[39:17.000 --> 39:22.000]  Again, these people, ladies and gentlemen, do not know how to tie their shoelaces.
[39:22.000 --> 39:28.000]  They know how to get their welfare card that's got money on it that they go get liquor with.
[39:28.000 --> 39:35.000]  And it's unbelievable. And it just goes on and on and on and on.
[39:35.000 --> 39:42.000]  And then those of us that actually have jobs and work, notice how government's all about lecturing us and bossing us.
[39:42.000 --> 39:50.000]  And the TSA says freeze once you're through the checkpoint and checks the Starbucks coffee you buy or the barbecue sandwich you buy in the line.
[39:50.000 --> 39:55.000]  When you buy it, they come and stick probes in it to test it just to dominate you to get in your space.
[39:55.000 --> 40:00.000]  And their internal memos have come out where they've been told be imperious, break them.
[40:00.000 --> 40:05.000]  They've been told break us. This is government breaking us.
[40:05.000 --> 40:10.000]  Those of us that aren't totally dumbed down drinking fluoride water since we were three years old,
[40:10.000 --> 40:13.000]  shut in front of the television and our crap filled diapers.
[40:13.000 --> 40:16.000]  Those of us that had parents that could fight all this and stay away from it.
[40:16.000 --> 40:20.000]  I'm sorry, but I've had enough. Let's go ahead and go to this next one.
[40:20.000 --> 40:24.000]  This is Obama free money clip.
[40:24.000 --> 40:28.000]  Let's go ahead and play that. And then we've got a collectivism clip.
[40:28.000 --> 40:31.000]  But here's a woman on the big Detroit talk station.
[40:31.000 --> 40:34.000]  I'll give you the call at her tournament when we play the video.
[40:34.000 --> 40:39.000]  And here she is going. It's free money. It came from Obama. Here it is.
[40:39.000 --> 40:46.000]  Do you know today how much money you're getting? No, I won't. But I'm waiting for a phone call. Where's the money coming from?
[40:46.000 --> 40:52.000]  I believe it's coming from the city of Detroit or the state. Where do they get it from?
[40:52.000 --> 40:56.000]  Some funds that was forgiven by Obama. And where did Obama get the funds?
[40:56.000 --> 41:01.000]  Obama got the funds from... I have no idea.
[41:01.000 --> 41:03.000]  You know where he got them letting?
[41:03.000 --> 41:07.000]  Why are you here? To get some money. What kind of money?
[41:07.000 --> 41:12.000]  Obama money. Where did Obama get it?
[41:12.000 --> 41:16.000]  I don't know. It's there. I don't know. I don't know. Where he got it from?
[41:16.000 --> 41:21.000]  What he gave it to us to help us? We love them. That's why we put it forward.
[41:21.000 --> 41:24.000]  Obama! Obama!
[41:24.000 --> 41:27.000]  And then you've got the kids like literal sheeple going...
[41:27.000 --> 41:32.000]  Obama! Obama! Obama! Obama!
[41:32.000 --> 41:37.000]  These children are like...
[41:37.000 --> 41:43.000]  Well, they're like totally domesticated and they're learning how to go beg.
[41:43.000 --> 41:50.000]  They're learning how to beg and stand in government lines and get filled with all the vaccines and eat GMO food all day.
[41:50.000 --> 41:58.000]  And now Michelle Obama has written the guidelines that under federal funds all the states are ordered to now eat what they say.
[41:58.000 --> 42:02.000]  The federal government has no jurisdiction and it gets worse.
[42:02.000 --> 42:06.000]  She's not worried about GMO, aspartame. No, no. Oh, that's fine.
[42:06.000 --> 42:10.000]  She's telling you you need more this or that and not protein.
[42:10.000 --> 42:13.000]  And the kids are complaining and saying this is enough food, but it's worse.
[42:13.000 --> 42:17.000]  Remember two years ago, Illinois, under the federal program was a pilot.
[42:17.000 --> 42:20.000]  Wouldn't let parents pack lunches because, quote, they couldn't be trusted.
[42:20.000 --> 42:27.000]  I've now confirmed all over the U.S. in public training camps, government and doctoration centers.
[42:27.000 --> 42:31.000]  They're saying you can't pack lunches for your children.
[42:31.000 --> 42:35.000]  And again, your kid can't play in the backyard or the front yard or in the cul-de-sac.
[42:35.000 --> 42:42.000]  We're going to arrest your butt because we're the government and we want to throw you in jail to give you a record because then that makes you a slave.
[42:42.000 --> 42:47.000]  That's what this is. If they can't get you dependent on welfare, they're going to get you in the criminal injustice system.
[42:47.000 --> 42:53.000]  Or they're going to get you so sick from all the cancer viruses and the vaccines and the GMO, you're in their medical tyranny.
[42:53.000 --> 42:59.000]  We'll be back with more clips and Obama saying he loves collectivism straight ahead.
[43:23.000 --> 43:27.000]  There's still evidence for fermented foods and beverages being found across the globe in almost every culture.
[43:27.000 --> 43:32.000]  Even today, Japanese eat miso, Africans eat fermented porges, Koreans eat kamichi,
[43:32.000 --> 43:35.000]  and in India, fermented milk is a staple for healthy living.
[43:35.000 --> 43:36.000]  But here's some good news.
[43:36.000 --> 43:42.000]  Self-reliant Americans can now discover the secrets to making these amazing fermented foods legally and privately in their own homes.
[43:42.000 --> 43:45.000]  Since it's still legal to make these foods as long as you can make them yourself.
[43:45.000 --> 43:48.000]  For more information, check out fermentationfactor.com.
[43:48.000 --> 43:50.000]  That's fermentationfactor.com.
[43:50.000 --> 43:56.000]  It's easy to create your own powerful fermented foods and you can do it by going to www.fermentationfactor.com.
[43:56.000 --> 44:21.000]  That's www.fermentationfactor.com.
[44:27.000 --> 44:30.000]  As the price of raw ingredients increases, e-foods will have to raise prices too.
[44:30.000 --> 44:32.000]  Now is the time to get your supply.
[44:32.000 --> 44:36.000]  I recently increased my supply from e-foods direct because we have all known this was coming.
[44:36.000 --> 44:39.000]  You know about their delicious long-term storable foods.
[44:39.000 --> 44:42.000]  The fact is you can eat at any time to save money today.
[44:42.000 --> 44:46.000]  And because it's stored for 25 years, you're locking in today's prices and avoiding the rising food cost.
[44:46.000 --> 44:52.000]  Don't wait. Call 800-409-5633 or go to e-foodsdirect.com forward slash Alex.
[44:52.000 --> 44:57.000]  Call 800-409-5633 or e-foodsdirect.com forward slash Alex.
[44:57.000 --> 45:23.000]  You can bet your life on e-foods direct.
[45:27.000 --> 45:31.000]  It's not harm beneficial bacteria making it ideal for daily use.
[45:31.000 --> 45:36.000]  It can be used internally as well as topically and is highly effective against viruses, bacteria, molds and yeasts.
[45:36.000 --> 45:43.000]  With threats like West Nile virus, colds, flus or any other emergency situation, arm yourself with supernatural silver.
[45:43.000 --> 45:49.000]  Silver, so liquid and gel are perfect for on-the-go emergency preparedness and can provide protection at home, school or work.
[45:49.000 --> 45:52.000]  Go to supernaturalsilver.com and be prepared for any emergency.
[45:52.000 --> 45:55.000]  Remember the promo code Alex says for 20% off.
[45:55.000 --> 45:59.000]  That's www.supernaturalsilver.com and like us on Facebook.
[46:26.000 --> 46:29.000]  If you want to know who Obama's real daddy is, this is the film for you.
[46:29.000 --> 46:33.000]  Don't forget, your purchase supports our broadcast and our growing media network.
[46:33.000 --> 46:36.000]  You'll also find it in FullWarshop.com.
[46:36.000 --> 46:40.000]  None dare call a conspiracy by Gary Allen, the book that woke me up.
[46:40.000 --> 46:44.000]  We're also carrying behind the green mask, you and agenda 21 by Rosa Corey.
[46:44.000 --> 46:47.000]  This book is coffin nails to the globalist takeover.
[46:47.000 --> 46:54.000]  The greater good, the most professional and up-to-date film I've ever seen exposing the scourge that is vaccines.
[46:54.000 --> 46:59.000]  These titles and a lot more are all available at infowarshop.com.
[47:24.000 --> 47:28.000]  Alex Jones on the GCN Radio Network.
[47:55.000 --> 47:59.000]  I've had a lot of fun doing this.
[47:59.000 --> 48:03.000]  The art department we've hired, the editors, all the people.
[48:03.000 --> 48:04.000]  The second edition is out.
[48:04.000 --> 48:07.000]  The first one was the economic collapse.
[48:07.000 --> 48:10.000]  The banksters declared they've conquered our economy.
[48:10.000 --> 48:13.000]  And it breaks down all the globalist stone statements.
[48:13.000 --> 48:15.000]  Print 2.0.
[48:15.000 --> 48:23.000]  We saved a few thousand of those back because 30 plus thousand, I don't know, 37,000 of them sold out in a day and a half.
[48:23.000 --> 48:30.800]  And we are probably going to be sold out in a few days of the October issue, which is
[48:30.800 --> 48:35.560]  the transhumanism, globalist-owned admissions of how they plan to replace us with robots
[48:35.560 --> 48:42.920]  and drones, so the military can't say no to exterminating the population, nanotech, October
[48:42.920 --> 48:47.920]  surprise, it also gets into QE3, the Second Amendment, it's an amazing issue, you can
[48:47.920 --> 48:54.480]  buy them in bulk at cost at infowarstore.com and hand them out to friends and family or
[48:54.480 --> 48:58.860]  you can also sign up to get 12 issues plus the first issue, that's 13 issues with shipping
[48:58.860 --> 49:03.040]  included for $59.95, nobody can top that deal and you know you're supporting the First
[49:03.040 --> 49:07.680]  Amendment and the true tip of the spear when it comes to fighting for liberty, so I want
[49:07.680 --> 49:11.440]  to thank all of you for making InfoWars Magazine such a big success out of the gates and if
[49:11.440 --> 49:20.120]  you want to get your subscription, sign up now at infowars.com or infowarstore.com or
[49:20.120 --> 49:25.960]  you can also just buy each issue as they come out in bulk at infowarsstore.com.
[49:25.960 --> 49:30.800]  We also have all the infowars.com and prismpontet.com apparel, you will certainly meet like-minded
[49:30.800 --> 49:35.080]  people whether you're in Australia, Germany or the United States, whether you're in Mexico
[49:35.080 --> 49:43.800]  or Luxembourg, whether in South Africa or Rio de Janeiro, whatever city or whatever country
[49:43.800 --> 49:48.560]  or wherever you're at, you will meet like-minded people wearing a beautiful camouflage, I say
[49:48.560 --> 49:54.040]  beautiful because I designed it, Hunter Orange stamped infowars.com, don't tread on me, bulk
[49:54.040 --> 49:59.360]  app, the one there on the tables when I actually wore into work today on the top of my big
[49:59.360 --> 50:05.800]  pumpkin head, so it's there and again I didn't build or design that cap, Obama did, government
[50:05.800 --> 50:06.800]  did.
[50:06.800 --> 50:10.480]  I saw a rainbow yesterday and whether it was storming here in Austin, a huge horizon to
[50:10.480 --> 50:15.560]  horizon double rainbow and I thought, God didn't build that, government did, or some
[50:15.560 --> 50:19.000]  things are casting, not being blasphemous there, but I mean according to government,
[50:19.000 --> 50:20.000]  they built it.
[50:20.000 --> 50:24.440]  There is no God according to government, saw some flowers today, you know creation, whatever
[50:24.440 --> 50:28.440]  didn't build that, government did, so again my new magazine is out, government built
[50:28.440 --> 50:31.920]  it, so you might want to read what government built, I guess in a way government did build
[50:31.920 --> 50:32.920]  it with all their tyranny.
[50:32.920 --> 50:36.280]  What I do know they built is these poor people, let's start at the beginning and play these
[50:36.280 --> 50:41.520]  clips end to end in the last four years of Obama minions begging for goodies, we've
[50:41.520 --> 50:45.200]  got more tomorrow, because the media is only playing a couple of these clips, so we ferried
[50:45.200 --> 50:51.120]  it out a whole bunch of them, here they are, here's the rock star known as Obama lady,
[50:51.120 --> 51:18.120]  but the media bemoans may actually lose Obama the election, here it is, you know what's
[51:18.120 --> 51:23.840]  sad about this, this woman is proud, she just would pleasure, like she's announcing she
[51:23.840 --> 51:27.800]  won an Oscar, or she's announcing she won the 100 yard dash, or she's announcing she's
[51:27.800 --> 51:32.080]  sold a painting for $20,000, or she's announcing that she got the big business deal, or that
[51:32.080 --> 51:36.560]  her daughter got married, or that you know she just beat cancer, I mean the satisfaction
[51:36.560 --> 51:40.560]  is just, you know if you're on disability, you're on food stamps, you get it, he gave
[51:40.560 --> 51:45.520]  us a phone, he's going to do more, she's like yeah, yeah, here let's go to more of these
[51:45.520 --> 51:49.840]  poor victims, here's another one where Obama's going to pay her mortgage, and her car and
[51:49.840 --> 51:53.560]  everything else, everything's handled, Obama's going to take care of it as the country shuts
[51:53.560 --> 51:58.720]  down and the cities collapse, and the jobs move overseas, and the IQs are dropping in
[51:58.720 --> 52:05.200]  this country, that's not education, we're getting physically stupider, here it is, Peggy
[52:05.200 --> 52:10.600]  Joseph took her daughter out of school early Wednesday for this, her emotions ran high following
[52:10.600 --> 52:19.040]  Obama's speech, it was the most memorable time of my life, pit pause, back it up, government
[52:19.040 --> 52:23.360]  is the most memorable thing in her life, I mean these are actors that couldn't get jobs,
[52:23.360 --> 52:29.720]  these are PR front men for mega corporations, I had that CNN reporter, that three time Emmy
[52:29.720 --> 52:35.240]  award winner, who basically quit even when they threatened her to come after because
[52:35.240 --> 52:39.160]  they were telling her to cover up massacres by Al Qaeda, the government was running basically,
[52:39.160 --> 52:48.280]  I had Amber Lyon on, I mean just think about how corrupt this whole media system is, and
[52:48.280 --> 52:52.480]  she was talking about how foreign governments are funding what CNN puts on the news, and
[52:52.480 --> 52:56.320]  of course that's actually been in the news for a while but it's back of the paper, folks
[52:56.320 --> 53:00.240]  when you see sitcoms, dramas and movies and it promotes socialism and Obamacare, your
[53:00.240 --> 53:06.040]  tax money pays for that, that's admitted tens of billions a year of your money, you wonder
[53:06.040 --> 53:11.400]  why there's anti-family messages on TV, you wonder why there's anti-heterosexual stuff,
[53:11.400 --> 53:14.840]  I'm not against quote gay people, but I'm tired of them being against me, at least the
[53:14.840 --> 53:20.520]  ones in the government, because they're anti-family, they're anti-population, when you watch television
[53:20.520 --> 53:26.440]  folks it hates you, it wants to destroy you, the messages, look at how, look at how I was
[53:26.440 --> 53:33.320]  talking to a former top MTV exec, I'll just leave it at that, just a few days ago about
[53:33.320 --> 53:37.840]  how in the mid-90s they ordered them, even though it wasn't popular to force-feed gangster
[53:37.840 --> 53:44.000]  rap, what was that photo I saw on the drugs report of that big fat rapper, rapper's young,
[53:44.000 --> 53:51.320]  Jeezy and Rick Ross in angry fight at BOT, B-O-T-B-E-T awards, with shots fired and it
[53:51.320 --> 53:55.920]  shows the guy with his pants hanging down, which means you're a punk in prison, it means
[53:55.920 --> 54:00.360]  you're raped in prison, means you're a male prostitute, and he's got a fur coat on with
[54:00.360 --> 54:05.280]  a giant belly, I mean it's like Jabba the Hutt and everyone's screaming because Sumner
[54:05.280 --> 54:11.160]  Redstone force-fed this to destroy our youth and our culture, just like they've done the
[54:11.160 --> 54:16.520]  black community, I mean this is death folks, the black community had less than 10% in legitimacy
[54:16.520 --> 54:22.040]  60 years ago, now it's over 92%, I mean and then you're talking to somebody at the top
[54:22.040 --> 54:28.280]  of MTV, a household name, and they're in these meetings and have arguments with people where
[54:28.280 --> 54:37.280]  they know they force-fed gangster rap garbage to destroy the community, it is a psychological
[54:37.280 --> 54:45.280]  warfare weapon showing kids that a fat man in his underwear like a joke, show the photo
[54:45.280 --> 54:50.920]  above that with him in the stupid fur coat, I mean what a disgusting joke, but again they've
[54:50.920 --> 54:55.640]  learned that they can tell us something school, if they told Yuppies jumping off a cliff for
[54:55.640 --> 55:00.400]  school they do it, they tell them, Laura Steinem said it's cool to get an abortion, just came
[55:00.400 --> 55:06.320]  out and did a poster campaign and women went out to get pregnant to have one, gay men are
[55:06.320 --> 55:12.880]  called bug chasers, even Rolling Stone reported on this, they want to get HIV, you want HIV,
[55:12.880 --> 55:17.800]  you want to get gunned down, you're cool when you've been to prison, it's a death culture
[55:17.800 --> 55:21.600]  so the corporations can destroy this country and take it over, the corporations that aren't
[55:21.600 --> 55:28.160]  free market, go ahead and show the Obamatown hall with the woman begging, let's go out
[55:28.160 --> 55:35.040]  with this second hour coming up, here it is, here's the Obamatown hall lady, a very small
[55:35.040 --> 55:40.840]  vehicle for my family and I delivered, we need urgent, and the housing authorities have
[55:40.840 --> 55:47.480]  two years waiting to listen, we need something more than the vehicle and the parks go to,
[55:47.480 --> 55:54.960]  we need our own kitchen and our own bathroom, please help, please help us, listen, I need
[55:54.960 --> 55:59.960]  you, I need government, it's Henrietta Hughes, oh goodness Hughes, well we're going to do
[55:59.960 --> 56:06.160]  everything we can to help you, but for a lot of people like you, I don't want to do everything
[56:06.160 --> 56:11.360]  we can, all right, but the, all right, let's stop right there, you know who helped Henrietta
[56:11.360 --> 56:17.880]  Hughes, a state representative, Cheyenne Thompson, wife of state representative Nick Thompson,
[56:17.880 --> 56:23.400]  who heard a private citizen went and helped her, so there you go lady, and that poor woman
[56:23.400 --> 56:28.920]  shouldn't have to get the globalist they destroyed her and now she's reduced to begging, begging
[56:28.920 --> 56:34.080]  to that Chicago mafia teleprompter reading front man, Barack Obama, let's go out with
[56:34.080 --> 56:38.560]  clip seven, we haven't played yet, collectivism, we're going to go out with collectivism, I
[56:38.560 --> 56:46.000]  want to loop this, this is Obama saying he believes in collectivism, he believes in redistribution
[56:46.000 --> 56:50.360]  and for every 10 pieces of gold the bankers keep, they give their slaves one piece, here
[56:50.360 --> 56:52.480]  it is, we'll go out to break with this, here it is.
[56:52.480 --> 56:58.960]  I think the trick is figuring out how do we structure government systems that pull resources
[56:58.960 --> 57:05.960]  and hence facilitate some redistribution because I actually believe in redistribution, at least
[57:05.960 --> 57:12.160]  at a certain level, to make sure that everybody's got a shot.
[57:12.160 --> 57:15.580]  Yeah, everybody's got a thrust, you want to make sure we don't have a shot.
[57:15.580 --> 57:18.200]  You want to make sure we don't have a shot.
[57:18.200 --> 57:23.420]  You want to make sure we don't have a shot?
[57:23.420 --> 57:25.960]  You want to make sure we don't have a shot Obama?
[57:25.960 --> 57:30.080]  You want to make sure we're dependent on you and the mafia scumbag government?
[57:30.080 --> 57:34.760]  Yeah, some redistribution, more than half the wealth in this country is redistributed
[57:34.760 --> 57:38.200]  and the mega-rich are exempt paying zero tax offshore
[57:38.200 --> 57:40.440]  and if people would try to stay here in this country
[57:40.440 --> 57:43.840]  we're taxing over 75% one way or another!
[57:43.840 --> 57:45.880]  Hour number two coming up!
[57:45.880 --> 57:46.720]  Yeah!
[57:50.080 --> 57:52.360]  Sick of the globalist eugenicist control freaks
[57:52.360 --> 57:54.960]  adding poison to your water and laughing as you get sick
[57:54.960 --> 57:55.560]  and die?
[57:55.560 --> 57:58.000]  Start purifying your water with ProPure.
[57:58.000 --> 57:59.880]  My friends, I've done a lot of research
[57:59.880 --> 58:03.720]  and the best gravity filter out there, Bar Nun, is ProPure.
[58:03.720 --> 58:07.080]  And it's available discounted at infowars.com.
[58:07.080 --> 58:09.000]  Its filters are silver and pregnated
[58:09.000 --> 58:10.600]  to prevent bacterial growth.
[58:10.600 --> 58:12.200]  There's no priming required.
[58:12.200 --> 58:14.480]  It's NSF-42 certified.
[58:14.480 --> 58:18.080]  Optional fluoride filters can reduce fluoride up to 95%.
[58:18.080 --> 58:19.640]  Easy to set up and use.
[58:19.640 --> 58:21.080]  Doesn't require electricity.
[58:21.080 --> 58:24.240]  Purify water from lake streams, ponds, and wells.
[58:24.240 --> 58:26.800]  This filter system leaves in beneficial minerals,
[58:26.800 --> 58:27.560]  which is key.
[58:27.560 --> 58:29.520]  Save money by not buying bottled water
[58:29.520 --> 58:31.760]  and avoid BPA that leaches from the plastic.
[58:31.760 --> 58:34.480]  ProPure is the best gravity-fed filter out there.
[58:34.480 --> 58:36.040]  It's what my family uses.
[58:36.040 --> 58:39.360]  Infowars.com already has the lowest price on ProPure.
[58:39.360 --> 58:42.080]  But if you add the promo code WATER at checkout,
[58:42.080 --> 58:45.240]  you get an additional 10% off at infowars.com.
[58:45.240 --> 58:49.880]  You can also call to order 888-253-3139.
[58:49.880 --> 58:50.880]  Aaron Fullen here.
[58:50.880 --> 58:52.920]  As the food police shut down food co-ops,
[58:52.920 --> 58:56.040]  the Amish and small farmers, Americans are losing access,
[58:56.040 --> 58:58.040]  not just to raw milk and homemade cheeses,
[58:58.040 --> 58:59.680]  but to healthy, home-crafted sources
[58:59.680 --> 59:02.480]  for fermented foods like sauerkraut, yogurt, and kefir.
[59:02.480 --> 59:04.440]  It seems there's a war on life-giving foods
[59:04.440 --> 59:06.520]  with living enzymes and healthy bacteria.
[59:06.520 --> 59:08.360]  But frankly, I'm not sure what the food police
[59:08.360 --> 59:09.280]  are so afraid of.
[59:09.280 --> 59:10.760]  These remarkable foods have been around
[59:10.760 --> 59:13.240]  since the beginning of history, with archaeological evidence
[59:13.240 --> 59:15.880]  for fermented foods and beverages being found across the globe
[59:15.880 --> 59:17.120]  in almost every culture.
[59:17.120 --> 59:20.720]  Even today, Japanese eat miso, Africans eat fermented porges,
[59:20.720 --> 59:23.400]  Koreans eat kamichi, and in India, fermented milk
[59:23.400 --> 59:25.000]  is a staple for healthy living.
[59:25.000 --> 59:26.080]  But here's some good news.
[59:26.080 --> 59:28.440]  Self-reliant Americans can now discover the secrets
[59:28.440 --> 59:30.600]  to making these amazing fermented foods legally
[59:30.600 --> 59:32.280]  and privately in their own homes,
[59:32.280 --> 59:33.880]  since it's still legal to make these foods
[59:33.880 --> 59:35.640]  as long as you can make them yourself.
[59:35.640 --> 59:38.480]  For more information, check out fermentationfactor.com.
[59:38.480 --> 59:40.480]  That's fermentationfactor.com.
[59:40.480 --> 59:42.920]  It's easy to create your own powerful fermented foods,
[59:42.920 --> 59:46.640]  and you can do it by going to www.fermentationfactor.com.
[59:46.640 --> 59:49.600]  That's www.fermentationfactor.com.
[59:51.000 --> 59:54.560]  Coast to coast, direct from Austin.
[59:54.560 --> 59:59.400]  You're listening to the Alex Jones Broadcasting Network.
[59:59.400 --> 1:00:01.560]  From his Central Texas Command Center,
[1:00:01.560 --> 1:00:06.000]  deep behind enemy lines, the information war continues.
[1:00:06.000 --> 1:00:11.440]  It's Alex Jones and the GCN radio network.
[1:00:11.440 --> 1:00:16.240]  I've got an interesting statistic here for you.
[1:00:16.240 --> 1:00:25.640]  On executive orders, FDR had 11 and 16 years in office.
[1:00:25.640 --> 1:00:27.760]  That's longer than Hugo Chavez.
[1:00:27.760 --> 1:00:29.720]  Truman had five and seven years.
[1:00:29.720 --> 1:00:31.520]  ICAD two and eight years.
[1:00:31.520 --> 1:00:33.440]  JFK had four and three years.
