[00:00.000 --> 00:20.000]  If you are receiving this transmission, you are the resistance.
[1:04:42.000 --> 1:04:45.000]  Facebook wants it removed. They do not want any competition.
[1:04:45.000 --> 1:04:48.000]  This is a savage criminal takeover.
[1:04:48.000 --> 1:04:52.000]  Be aware of an America is the battle for the Republic has really just begun.
[1:04:52.000 --> 1:05:21.000]  We will win, but only if you understand it's a long fight.
[1:05:21.000 --> 1:05:33.000]  Each bottle is jam packed with a powerful antioxidant blend clinically studied to support and accelerate your body's natural defenses against harmful toxins.
[1:05:33.000 --> 1:05:35.000]  It's in your DNA.
[1:05:35.000 --> 1:05:39.000]  Go to inforcelife.com right now and check out the reviews for yourself.
[1:05:39.000 --> 1:05:45.000]  And now just in time for Christmas, we are offering DNA force at 33% off.
[1:05:45.000 --> 1:05:48.000]  So take advantage of this incredible deal.
[1:05:48.000 --> 1:05:56.000]  Get a bottle of DNA force today at inforcelife.com or call 1-888-253-3139.
[1:05:56.000 --> 1:05:58.000]  Yeah!
[1:05:58.000 --> 1:05:59.000]  We've got it, Doug.
[1:05:59.000 --> 1:06:05.000]  Thank you for coming to you.
[1:06:05.000 --> 1:06:09.000]  Waging war on corruption.
[1:06:09.000 --> 1:06:27.000]  It's Alex Jones coming to you live from the front lines of the Info War.
[1:06:27.000 --> 1:06:30.000]  Roger Stones ride the shotgun with me.
[1:06:30.000 --> 1:06:37.000]  Doug Hagman of the Hagman Report is going to be joining us with his great intelligence network and law enforcement background.
[1:06:37.000 --> 1:06:40.000]  Roger, you asked me a great question during that short break.
[1:06:40.000 --> 1:06:41.000]  Go ahead and ask it again.
[1:06:41.000 --> 1:06:45.000]  What is the rationale for moving UN troops to the streets of Chicago?
[1:06:45.000 --> 1:06:49.000]  Is it because of the gun violence and the collapse of society?
[1:06:49.000 --> 1:06:50.000]  The President's right.
[1:06:50.000 --> 1:06:54.000]  Somebody is killed every three hours in Chicago today.
[1:06:54.000 --> 1:06:55.000]  Well, that's how it works.
[1:06:55.000 --> 1:06:56.000]  They refuse the National Guard there.
[1:06:56.000 --> 1:06:59.000]  They create a place where they've taken the guns.
[1:06:59.000 --> 1:07:02.000]  The corrupt groups are shipping the drugs in.
[1:07:02.000 --> 1:07:05.000]  It's kind of a safe zone for criminals to operate.
[1:07:05.000 --> 1:07:10.000]  So you let it get as bad as possible and then you call in the UN to do gun sweeps.
[1:07:10.000 --> 1:07:17.000]  And then that sets the precedent for the UN to go into Western countries and do what it's done all over the world and has always been a goal.
[1:07:17.000 --> 1:07:31.000]  And so you have Loretta Lynch last year with her Strong Cities Initiative demonizing police saying we need the UN to codify local government and come in and oversee the police basically with federal control backing the UN.
[1:07:31.000 --> 1:07:36.000]  So it sounds insane, sounded insane to me, but they actually called for it.
[1:07:36.000 --> 1:07:41.000]  And so what's happened is their old plans, even though Trump's in place, they don't care.
[1:07:41.000 --> 1:07:45.000]  They're going ahead with a plan they already had set up years ago.
[1:07:45.000 --> 1:07:48.000]  This is just just like in the EU where they march in EU troops now.
[1:07:48.000 --> 1:07:49.000]  I don't know.
[1:07:49.000 --> 1:07:50.000]  If they go, what's this?
[1:07:50.000 --> 1:07:51.000]  Well, we're EU troops.
[1:07:51.000 --> 1:07:53.000]  We heard you want to leave.
[1:07:53.000 --> 1:07:55.000]  So it's the same thing.
[1:07:55.000 --> 1:07:58.000]  Our government has sold us out to multinationals.
[1:07:58.000 --> 1:08:01.000]  Trump's gone in, but he's only a beachhead.
[1:08:01.000 --> 1:08:02.000]  And then you're reading Bloomberg.
[1:08:02.000 --> 1:08:04.000]  Yeah, the bureaucrats are all ignoring him.
[1:08:04.000 --> 1:08:05.000]  They're all spying on him.
[1:08:05.000 --> 1:08:06.000]  They're all lying.
[1:08:06.000 --> 1:08:07.000]  You know, we're the resistance.
[1:08:07.000 --> 1:08:08.000]  We're going to remove him.
[1:08:08.000 --> 1:08:09.000]  We're going to kill him.
[1:08:09.000 --> 1:08:10.000]  I go ahead.
[1:08:10.000 --> 1:08:11.000]  They say they're going to kill him.
[1:08:11.000 --> 1:08:13.000]  And then they put out fake headlines of media matters.
[1:08:13.000 --> 1:08:15.000]  Jones says the FBI is going to kill him.
[1:08:15.000 --> 1:08:16.000]  I didn't say that.
[1:08:16.000 --> 1:08:18.000]  I said the globalist that say they're getting ready to kill him.
[1:08:18.000 --> 1:08:27.000]  Phil might on CNN, the congressman that have told you they're getting ready to take out Trump that they've been told that they're building this confidence game with their own people.
[1:08:27.000 --> 1:08:29.000]  With their own people in government to hang on.
[1:08:29.000 --> 1:08:34.000]  We'll suppress the economy and we'll get those bitter clanger guns and we'll have control.
[1:08:34.000 --> 1:08:35.000]  Just hang on.
[1:08:35.000 --> 1:08:43.000]  That's why you had Congressman Jackie Spire yesterday saying the rumor is everywhere that Trump is going to fire Mueller.
[1:08:43.000 --> 1:08:45.000]  We're hearing it all over Capitol Hill.
[1:08:45.000 --> 1:08:47.000]  That's because they started the rumor.
[1:08:47.000 --> 1:08:50.000]  The rumor is meant to destabilize Trump.
[1:08:50.000 --> 1:08:53.000]  He came out immediately said, no, I have no plans to do that.
[1:08:53.000 --> 1:08:54.000]  That's right.
[1:08:54.000 --> 1:08:58.000]  They say the cuter riot is when Trump fires him.
[1:08:58.000 --> 1:09:01.000]  Trump doesn't do it because the wheels have come off and it's proven fraud.
[1:09:01.000 --> 1:09:04.000]  Don't interrupt your enemy when they're destroying yourself, as you said.
[1:09:04.000 --> 1:09:11.000]  And so then they come in to have a simulation as if he did to then cover up the fact that they've been caught red-handed manufacturing.
[1:09:11.000 --> 1:09:13.000]  I think that's exactly right.
[1:09:13.000 --> 1:09:24.000]  Again, Roger Stone's riding shotgun with me.
[1:09:24.000 --> 1:09:27.000]  But it's great to have him with us.
[1:09:27.000 --> 1:09:34.000]  Doug, give us the intel report from all your sources that are always way ahead of it seems everybody else.
[1:09:34.000 --> 1:09:35.000]  Hi, Alex.
[1:09:35.000 --> 1:09:37.000]  Mr. Stone, good to be with you.
[1:09:37.000 --> 1:09:45.000]  Right now, here's what we're seeing. I've got investigators that have infiltrated the on the ground groups from San Francisco to New York City.
[1:09:45.000 --> 1:09:47.000]  We're seeing a lot of activity there.
[1:09:47.000 --> 1:09:59.000]  But more importantly, what we're seeing are the members of the permanent state, the shadow government, if you will, the permanent bureaucracy meeting on a weekly basis.
[1:09:59.000 --> 1:10:10.000]  Outside of Washington, D.C., making plans on how to overthrow, or I shouldn't say overthrow, how to obstruct the forward movement of Donald Trump's agenda.
[1:10:10.000 --> 1:10:20.000]  And in doing that, as part of that, we're also getting information about who was in the crosshairs.
[1:10:20.000 --> 1:10:22.000]  And I've heard your name come up.
[1:10:22.000 --> 1:10:24.000]  I've heard Mr. Stone's name come up.
[1:10:24.000 --> 1:10:34.000]  I've heard other big, you know, Breitbart members of Breitbart and other people come up as to what they plan on doing in terms of, you know, shutting off their communications and lifelines.
[1:10:34.000 --> 1:10:35.000]  And...
[1:10:35.000 --> 1:10:36.000]  That's what we're at.
[1:10:36.000 --> 1:10:40.000]  And now they're in the news again saying they're getting ready to make the push.
[1:10:40.000 --> 1:10:46.000]  But when we report on it, they say we're insane and it doesn't exist. What is the tactic there?
[1:10:46.000 --> 1:11:01.000]  Well, look, if it doesn't happen right away when we say it's going to happen, four years ago, 2013, I reported on this, and I reported on the infrastructure that was being built to carry this out.
[1:11:01.000 --> 1:11:05.000]  And we had thought it was going to be, we're seeing today was going to happen long before today.
[1:11:05.000 --> 1:11:06.000]  It didn't.
[1:11:06.000 --> 1:11:10.000]  But we're seeing the fruits of that labor back then happen today.
[1:11:10.000 --> 1:11:19.000]  And it's just a, if you can't, you know, in today's world, if you can't see it, if it doesn't happen right away, if you say it's going to happen in a month or a week goes by, nothing happens.
[1:11:19.000 --> 1:11:20.000]  Well, then you're a liar.
[1:11:20.000 --> 1:11:23.000]  Or you're, you know, you're, it's all hype. It's all hyperbole.
[1:11:23.000 --> 1:11:25.000]  Exactly. Well, it's a classic thing.
[1:11:25.000 --> 1:11:32.000]  It's a military tactic from World War One where they would, through bullhorn, say we're not attacking, we're not assaulting as they were bayonetting people.
[1:11:32.000 --> 1:11:39.000]  They found with at least enough people, it creates hesitation so people don't go into battle mode, so we don't get ready.
[1:11:39.000 --> 1:11:41.000]  They just say nothing's happening.
[1:11:41.000 --> 1:11:51.000]  While they announced to their own people, we're going to take over, we're going to kill, we're going to burn, we're going to slaughter, we're going to get everybody, we're going to lock up all the conservatives, we're going to, but, but, but then, oh, we're not doing that.
[1:11:51.000 --> 1:11:52.000]  You're crazy.
[1:11:52.000 --> 1:11:53.000]  Yeah, exactly.
[1:11:53.000 --> 1:12:05.000]  And I think what we need to be, at least in my view, and based on all of the information I've gotten from my investigative staff and the volunteers who were out there in the meetings or watching the meetings is this.
[1:12:05.000 --> 1:12:15.000]  We have to be prepared, I think, for anything to go, and I hate to use this phrase, but for things to go live, I suppose, but that's the only way I know how to describe it.
[1:12:15.000 --> 1:12:26.000]  For things to go from a hypothetical arrangement or something that we would think is being planned for the future, that could happen at any time.
[1:12:26.000 --> 1:12:33.000]  And a lot of this is contingent based on everything I've been told about the Mueller probe, how well this fares out.
[1:12:33.000 --> 1:12:35.000]  They're getting a lot of pushback internally.
[1:12:35.000 --> 1:12:42.000]  The GSA, of course, just turned over 13 devices and documents, when in fact they had no legal basis to do so.
[1:12:42.000 --> 1:12:48.000]  We're seeing a lot of lawlessness take place within the Mueller, Komi Miller, well, the Mueller investigation.
[1:12:48.000 --> 1:12:55.000]  The Clinton penetration of the FBI, the Clinton criminal operation inside the FBI, that's what it is.
[1:12:55.000 --> 1:12:56.000]  Exactly.
[1:12:56.000 --> 1:13:16.000]  So the more that's exposed, and this is my reasoned analysis, the more that that is exposed and the longer and faster and harder we push against this, the bigger the pushback against us will be, against the mainstream media,
[1:13:16.000 --> 1:13:20.000]  against the alternative new media, honest media will be.
[1:13:20.000 --> 1:13:21.000]  Exactly.
[1:13:21.000 --> 1:13:24.000]  That's why we see the censorship converging, the propaganda converging.
[1:13:24.000 --> 1:13:30.000]  And now that the Mueller thing is in trouble, they meant to launch it this December, as Congress and others told you, as they now admit, that's falling apart.
[1:13:30.000 --> 1:13:39.000]  But they still are so arrogant, even though every one of their other operations is blown up in their face from stealing the election to you name it, they are still intending to go ahead with this, it looks like.
[1:13:39.000 --> 1:13:40.000]  Well, yeah, of course.
[1:13:40.000 --> 1:13:51.000]  And it's why they are so apoplectic about the new net neutrality rules, because it's rolling back one of their major initiatives to control that channel of communications.
[1:13:51.000 --> 1:13:54.000]  Trump is reversing one of their greatest weapons.
[1:13:54.000 --> 1:13:56.000]  That's why you have this giant disinformation campaign.
[1:13:56.000 --> 1:13:58.000]  It's going to cost more.
[1:13:58.000 --> 1:13:59.000]  You're going to be censored.
[1:13:59.000 --> 1:14:01.000]  This is all nonsense.
[1:14:01.000 --> 1:14:04.000]  It's all disinformation.
[1:14:04.000 --> 1:14:06.000]  You know, net neutrality.
[1:14:06.000 --> 1:14:11.000]  What a poor name for that particular order of law, whatever it was.
[1:14:11.000 --> 1:14:13.000]  They named it what they were getting rid of.
[1:14:13.000 --> 1:14:14.000]  We pretty much had it before.
[1:14:14.000 --> 1:14:16.000]  Obama was getting rid of it.
[1:14:16.000 --> 1:14:17.000]  Sorry.
[1:14:17.000 --> 1:14:18.000]  It wasn't broke before.
[1:14:18.000 --> 1:14:20.000]  Don't fix it now.
[1:14:20.000 --> 1:14:28.000]  So when you hear the net neutrality being removed, of course, people have the worst thoughts.
[1:14:28.000 --> 1:14:31.000]  They don't bother to read beyond 144 or 280.
[1:14:31.000 --> 1:14:32.000]  That's right.
[1:14:32.000 --> 1:14:36.000]  The net neutrality was the rollout legalese to back the Internet control switch.
[1:14:36.000 --> 1:14:37.000]  That's right.
[1:14:37.000 --> 1:14:41.000]  And they say crazy things like, you know, every Google search you do is going to cost $5.
[1:14:41.000 --> 1:14:43.000]  My grandson told me that.
[1:14:43.000 --> 1:14:45.000]  It's complete nonsense.
[1:14:45.000 --> 1:14:47.000]  It's disinformation.
[1:14:47.000 --> 1:14:53.000]  Yeah, and they call us, I mean, who's gullible enough to believe that?
[1:14:53.000 --> 1:14:56.000]  Apparently, a lot of people are.
[1:14:56.000 --> 1:14:57.000]  But you're right.
[1:14:57.000 --> 1:15:00.000]  You know, so I think now is kind of the crunch time.
[1:15:00.000 --> 1:15:02.000]  At least this is what I'm getting right now.
[1:15:02.000 --> 1:15:03.000]  It's crunch time right now.
[1:15:03.000 --> 1:15:08.000]  So between now and I'm going to say the first week of January, second week of January,
[1:15:08.000 --> 1:15:11.000]  anything could happen the way they're going at this.
[1:15:11.000 --> 1:15:12.000]  That's right.
[1:15:12.000 --> 1:15:13.000]  Doug Hagman totally on target.
[1:15:13.000 --> 1:15:15.000]  It's like they're getting a World War I or World War II.
[1:15:15.000 --> 1:15:16.000]  Armies are lined up.
[1:15:16.000 --> 1:15:18.000]  They're they're sharpening their bayonets.
[1:15:18.000 --> 1:15:21.000]  They're loading their their field artillery.
[1:15:21.000 --> 1:15:22.000]  I mean, it is.
[1:15:22.000 --> 1:15:24.000]  This is serious.
[1:15:24.000 --> 1:15:26.000]  I've never seen it worse.
[1:15:26.000 --> 1:15:32.000]  And I've got a couple of contacts inside the Beltway and they say, look, we just don't know what's going to happen.
[1:15:32.000 --> 1:15:34.000]  But we know something is stay there.
[1:15:34.000 --> 1:15:35.000]  Doug Hagman.
[1:15:35.000 --> 1:15:38.000]  People can follow all of his great work at Hagman report.com.
[1:15:38.000 --> 1:15:41.000]  We'll be back and Roger Stone's writing shot down with his folks.
[1:15:41.000 --> 1:15:42.000]  We're not hyping this.
[1:15:42.000 --> 1:15:44.000]  This is the reality.
[1:15:44.000 --> 1:15:51.000]  But if we stand against it, recognize it, raise the alarm, they may back off or will at least be ready for them when they come.
[1:15:51.000 --> 1:16:17.000]  When we go to sleep, it's going to happen for sure.
[1:16:17.000 --> 1:16:24.000]  The world's softest pajamas are lighter than a cloud, softer than a bunny, like cashmere only better.
[1:16:24.000 --> 1:16:29.000]  She'll love the way the world's softest pajamas feel, and you'll love the way they look.
[1:16:29.000 --> 1:16:34.000]  More than a gift, they're a feeling, an invitation to relax a little longer.
[1:16:34.000 --> 1:16:38.000]  The world's softest pajamas are available only at pajamagram.com.
[1:16:38.000 --> 1:16:43.000]  Visit today and give her a gift that keeps on giving to both of you.
[1:16:43.000 --> 1:16:51.000]  Plus, you don't even have to wrap because every pajamagram includes free gift packaging and Christmas delivery is guaranteed.
[1:16:51.000 --> 1:16:56.000]  So visit pajamagram.com or call 1-800-GIVE-PJs.
[1:16:56.000 --> 1:17:03.000]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[1:17:03.000 --> 1:17:07.000]  Since 2005, thousands have depended on Berkey purified water.
[1:17:07.000 --> 1:17:15.000]  Berkey Guy provides the lowest price filtration systems in every size for incredibly delicious water now and in an emergency.
[1:17:15.000 --> 1:17:25.000]  Get to goberkey.com or call 877-886-3653.
[1:17:25.000 --> 1:17:29.000]  Most people think life insurance pays after you're dead. That's true.
[1:17:29.000 --> 1:17:34.000]  But did you know you can have tax-free access to your life insurance while you're still alive?
[1:17:34.000 --> 1:17:39.000]  You can use the life benefits of your life insurance to grow your money with certainty and guarantees.
[1:17:39.000 --> 1:17:43.000]  No stock market risk, no tax risk, and no penalties.
[1:17:43.000 --> 1:17:47.000]  Call Life Benefits if you'd like a free book about how this can be done.
[1:17:47.000 --> 1:17:57.000]  Call 702-660-7000. That's 702-660-7000.
[1:17:57.000 --> 1:18:03.000]  Climb to the top of the food chain with Alpha Power by Infowars Life.
[1:18:03.000 --> 1:18:07.000]  For those who want to increase testosterone and energy levels,
[1:18:07.000 --> 1:18:15.000]  most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[1:18:15.000 --> 1:18:22.000]  This drop can show signs such as fatigue, low energy, low sex drive, and muscle loss.
[1:18:22.000 --> 1:18:28.000]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[1:18:28.000 --> 1:18:36.000]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms,
[1:18:36.000 --> 1:18:42.000]  including uricoma longifolia, originally from Malaysia, makaroo from Peru,
[1:18:42.000 --> 1:18:47.000]  horny goatweed from China, and tribulus from India.
[1:18:47.000 --> 1:18:51.000]  Reach your alpha male potential with Alpha Power.
[1:18:51.000 --> 1:18:57.000]  Get Alpha Power now at 50% off and secure your bottle today.
[1:18:57.000 --> 1:19:02.000]  I'm so excited. The new product at InfowarsLife.com in a glass bottle,
[1:19:02.000 --> 1:19:08.000]  two-month servings filled to the brim, filled to the absolute top, the real red pill.
[1:19:08.000 --> 1:19:14.000]  This is a heart and brain pill, a new tropic, but doesn't have any stimulants in it.
[1:19:14.000 --> 1:19:17.000]  But boy, does it stimulate because it's beyond that.
[1:19:17.000 --> 1:19:23.000]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients,
[1:19:23.000 --> 1:19:29.000]  but it wasn't prescription, but they were charging people $100, $200 for the formulae.
[1:19:29.000 --> 1:19:33.000]  And I came up with our own formulae working with scientists and developers.
[1:19:33.000 --> 1:19:38.000]  Non-GMO, made right here in America, 120 capsules.
[1:19:38.000 --> 1:19:41.000]  And ladies and gentlemen, you add the preglinone to it,
[1:19:41.000 --> 1:19:47.000]  which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[1:19:47.000 --> 1:19:50.000]  It is amazing.
[1:19:50.000 --> 1:19:56.000]  Red pill now available at infowarsstore.com and your purchase of the operation.
[1:20:20.000 --> 1:20:23.000]  America, America.
[1:20:23.000 --> 1:20:29.000]  We're all living in America, America.
[1:20:29.000 --> 1:20:31.000]  It's wonderful.
[1:20:31.000 --> 1:20:39.000]  We're all living in America, America, America.
[1:20:39.000 --> 1:20:49.000]  Ladies and gentlemen, Alex Jones here, back live broadcasting worldwide with Roger Stone,
[1:20:49.000 --> 1:20:53.000]  writing Shotgun, former head of the Trump campaign, longtime confidant.
[1:20:53.000 --> 1:20:57.000]  Doug Hagman, law enforcement trainer, one of the top private investigator firms on the East Coast
[1:20:57.000 --> 1:21:02.000]  with amazing connections inside the Patriot element of the FBI and more.
[1:21:02.000 --> 1:21:07.000]  And Doug, you were about to get to your sources inside the federal government,
[1:21:07.000 --> 1:21:10.000]  and what they tell you is happening and how serious this is.
[1:21:10.000 --> 1:21:14.000]  It's now come out in the news that Eric Prince and others have private security around the president.
[1:21:14.000 --> 1:21:20.000]  We knew that a long time ago, and that they are expecting a rogue CIA coup at any moment.
[1:21:20.000 --> 1:21:23.000]  So, but Roger, you said you know how it's going to go down.
[1:21:23.000 --> 1:21:25.000]  Tell us that, and we'll go back to Doug Hagman.
[1:21:25.000 --> 1:21:27.000]  Here's what I believe.
[1:21:27.000 --> 1:21:31.000]  General Flynn has pled guilty because he's going to point to someone.
[1:21:31.000 --> 1:21:42.000]  The supposition is that he would incriminate the president and say that the president directed him to call a meeting through the Russian ambassador.
[1:21:42.000 --> 1:21:51.000]  I believe it is more likely that the president's son-in-law, Jared Kushner, is the one who directed General Flynn to make that call.
[1:21:51.000 --> 1:21:53.000]  The underlying call is perfectly legal.
[1:21:53.000 --> 1:21:55.000]  It's within the purview of their job.
[1:21:55.000 --> 1:22:03.000]  But remember, Kushner has been under hours of interrogation by the FBI, by the House committee, by the aesthetic committee.
[1:22:03.000 --> 1:22:08.000]  And one contradiction, one half-forgotten thing is a process crime of line of the FBI.
[1:22:08.000 --> 1:22:16.000]  So, and I think that people know that Donald Trump is not going to let Ivanka's husband go to prison on some trumped-up process crime.
[1:22:16.000 --> 1:22:32.000]  So, he is likely to pardon him. I think he held the door open to pardon Flynn, and they are hoping that the pardon of Flynn and Kushner conceivably would spark their revolution.
[1:22:32.000 --> 1:22:35.000]  All right, let's give Doug Hagman, who's been joining us, the floor.
[1:22:35.000 --> 1:22:43.000]  He's always polite and pauses to really flesh out his intel from his federal sources and other key areas.
[1:22:43.000 --> 1:23:01.000]  Well, if I can ask both you and Roger a question, because one of the areas that I've got kind of a black hole about is what happened at the latest when Donald, or when Jared Kushner, I'm sorry, when Donald Trump Jr. or was it Jared Kushner?
[1:23:01.000 --> 1:23:04.000]  Also, I've recently testified, but it was Donald Trump Jr.
[1:23:04.000 --> 1:23:09.000]  All right, what happened during that Senate Intelligence Committee meeting that was behind closed doors?
[1:23:09.000 --> 1:23:24.000]  I don't have any information that I can authenticate about that, but it does, except to say it goes back to, okay, it would be to Jared Kushner and then to the president, basically using them as a means to get to the president.
[1:23:24.000 --> 1:23:29.000]  Of course, forcing Donald Trump's hand to pardon either one or both.
[1:23:29.000 --> 1:23:32.000]  Sure, they're just trying to get to somebody that Trump cares about.
[1:23:32.000 --> 1:23:43.000]  Well, and it would just bring the whole investigation one step closer to the president, because Mueller doesn't indict Kushner and then close down in his investigation.
[1:23:43.000 --> 1:23:55.000]  He conceivably indicts Kushner for perjury, let's say, or for lying to the FBI, and then his investigation goes forward, getting closer and closer to the president.
[1:23:55.000 --> 1:23:58.000]  I think that's the game plan.
[1:23:58.000 --> 1:24:06.000]  Okay, and that makes sense. These are investigators looking at people trying to find a crime and then show the cover up.
[1:24:06.000 --> 1:24:12.000]  But there's no crime. I mean, it's crazy from what I've been able to determine.
[1:24:12.000 --> 1:24:16.000]  All of these, I mean, this is an abyssal process.
[1:24:16.000 --> 1:24:18.000]  An abyssal process.
[1:24:18.000 --> 1:24:20.000]  I think you're absolutely right.
[1:24:20.000 --> 1:24:34.000]  But right now, just as Washington is always swept with rumors, the rumor is that there's a shock in all moment for the president, planned by Mueller, most likely right after the first of the year, or just before Christmas.
[1:24:34.000 --> 1:24:44.000]  Many people believe that that would be the indictment of Jared Kushner for some process-related crime regarding the Flynn phone call to the right.
[1:24:44.000 --> 1:24:51.000]  Sure, and that derails the recovery, everything, and then they're not going to just let Trump be pushed out. They're going to go after everybody, shut down the free press.
[1:24:51.000 --> 1:24:58.000]  They've called for massive arrests. I mean, they're going to go authoritarian is their decision now. This is a true criminal group.
[1:24:58.000 --> 1:25:02.000]  Other key pieces of intel your sources have given you, Doug Hagman.
[1:25:02.000 --> 1:25:06.000]  Well, this kind of circles back around to what you were talking about earlier.
[1:25:06.000 --> 1:25:20.000]  In conjunction with everything, there is a plan to bring back, of course, under that pretext of the Strong Cities Network, the Obama administration, to announce the UN peacekeeping force in Chicago.
[1:25:20.000 --> 1:25:23.000]  And of course, the top cop, UN has no jurisdiction there.
[1:25:23.000 --> 1:25:36.000]  We're seeing this or we're hearing this play out a little bit in the preparations made for the expectation of violence on the streets because of the embedded nature of the pro-Trump people.
[1:25:36.000 --> 1:25:46.000]  And then they feel that they've got to put down this fake uprising or this non-existent uprising by the Trump people when, in fact, that that's the pretext that they're reusing.
[1:25:46.000 --> 1:25:51.000]  And this is what the EU does when a country tries to get out. They send in bureaucrats and forces and then even military.
[1:25:51.000 --> 1:25:56.000]  And now we're being treated like that with Democrat-run cities that are just like sanctuary cities for illegals.
[1:25:56.000 --> 1:25:59.000]  They're saying, we'll go on further. We'll bring in UN troops.
[1:25:59.000 --> 1:26:10.000]  What's most interesting is that the governments, or I should say their abuse of their surveillance authority is beyond anything we have ever seen.
[1:26:10.000 --> 1:26:20.000]  They were using the Trump FISA warrants to spy on 30,000 Americans in a simple act of political espionage.
[1:26:20.000 --> 1:26:28.000]  That's their rationale. And this includes the spying on Trump Tower, the spying on Paul Manafort, on most likely...
[1:26:28.000 --> 1:26:31.000]  It shows they're going completely for broke. They're lawless.
[1:26:31.000 --> 1:26:34.000]  Again, Doug, getting back to what you said briefly before the break, you got cut off.
[1:26:34.000 --> 1:26:39.000]  You were saying that your sources inside federal law enforcement basically have never seen anything like it.
[1:26:39.000 --> 1:26:41.000]  And they were saying, this is maximum danger.
[1:26:41.000 --> 1:26:45.000]  You were saying they agree that there's an attempt to really take over here.
[1:26:45.000 --> 1:26:55.000]  Yes, I think this kind of goes exactly to what Roger Stone had said, that there's this Christmas present awaiting Donald Trump or this present awaiting Donald Trump.
[1:26:55.000 --> 1:27:01.000]  And I think when they spring that, I mean, that's what everyone is kind of holding their breath about.
[1:27:01.000 --> 1:27:14.000]  There's a lot of water cooler talk about the Patriots in Washington and inside the Beltway about something taking place that's going to rock the foundations of this nation.
[1:27:14.000 --> 1:27:19.000]  And it's really us versus them mentality.
[1:27:19.000 --> 1:27:25.000]  Now, that's not necessarily among the general rank and file of the FBI or even within the Department of Justice.
[1:27:25.000 --> 1:27:32.000]  Among them, you know, scattered about the special or the resident officers of the FBI or the U.S. attorneys.
[1:27:32.000 --> 1:27:36.000]  This is inside the bureaucratic areas of Washington, D.C.
[1:27:36.000 --> 1:27:42.000]  So this is what I'm hearing and I'm hearing that they are preparing for some sort of event to take place.
[1:27:42.000 --> 1:27:48.000]  When I say event, it could be a series of events that could be tied to the Mueller investigation.
[1:27:48.000 --> 1:27:52.000]  I'm not sure because no one's really, no one really, I think really has got a good handle.
[1:27:52.000 --> 1:27:58.000]  Well, don't they understand they're not going to hit everybody flat flooded if they try some hot coup and that it's going to be spectacular.
[1:27:58.000 --> 1:28:00.000]  They don't think they care. They don't care.
[1:28:00.000 --> 1:28:07.000]  Seriously, at this point, they feel that they're so far back behind the eight ball with Donald Trump presidency.
[1:28:07.000 --> 1:28:15.000]  Again, this is what I'm hearing. These are not my words. They just feel that they've lost enough time and they're getting enough hassle where they've got to do something now.
[1:28:15.000 --> 1:28:19.000]  They feel that they need to do something right now if that makes sense.
[1:28:19.000 --> 1:28:22.000]  Just absolute corner rats. It makes total sense.
[1:28:22.000 --> 1:28:25.000]  Something you just said, it makes perfect sense.
[1:28:25.000 --> 1:28:33.000]  Look at it in context. The Christmas present they have for Trump, he's expecting a letter exonerating him and he will get instead.
[1:28:33.000 --> 1:28:37.000]  It potentially is the bogus indictment of a member of his own family.
[1:28:37.000 --> 1:28:39.000]  Unincorporate crimes.
[1:28:39.000 --> 1:28:49.000]  And it's going to be that betrayal. They think he's going to blow up and get mad. Fire Mueller, when the answer is let that crook and all of them sink when they actually try to sell all these lies.
[1:28:49.000 --> 1:28:55.000]  Right as America turns against them. Doug Hagman, thank you so much. Roger Stone, thank you so much. We've got Joel Scowles and coming up.
[1:28:55.000 --> 1:29:05.000]  Guys, wouldn't your wife or girlfriend love it if you treated her to the very best this Christmas? Well, you can. And you don't even have to go out of your way.
[1:29:05.000 --> 1:29:14.000]  We're talking about the world's softest pajamas, available exclusively at pajamagram.com. That's pajamagram.com.
[1:29:14.000 --> 1:29:24.000]  Created by a team of dedicated pajama experts, the world's softest pajamas are lighter than a cloud, softer than a bunny, like cashmere only better.
[1:29:24.000 --> 1:29:29.000]  Chill of the way the world's softest pajamas feel. And you'll love the way they look.
[1:29:29.000 --> 1:29:34.000]  More than a gift, they're a feeling, an invitation to relax a little longer.
[1:29:34.000 --> 1:29:43.000]  The world's softest pajamas are available only at pajamagram.com. Visit today and give her a gift that keeps on giving to both of you.
[1:29:43.000 --> 1:29:51.000]  Plus, you don't even have to wrap because every pajamagram includes free gift packaging and Christmas delivery is guaranteed.
[1:29:51.000 --> 1:29:57.000]  So visit pajamagram.com or call 1-800-GIVE-PJs.
[1:29:57.000 --> 1:30:02.000]  Dr. Group, you developed Living Defense for us. It took you over a year to do it. Why is this so good?
[1:30:02.000 --> 1:30:07.000]  Because people are actually waking up to the problem that pretty much scares me the most.
[1:30:07.000 --> 1:30:12.000]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system.
[1:30:12.000 --> 1:30:24.000]  But right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism right now with all the refugees spreading disease around.
[1:30:24.000 --> 1:30:28.000]  We have biological warfare going on everywhere. These are all parasites.
