[00:00:15.756 --> 00:00:17.263]  Tomorrow's news, today.
[00:37:03.582 --> 00:37:09.668]  Instead, we're only focused on one little tiny corner of something instead of the big picture.
[00:37:09.668 --> 00:37:11.070]  So here's Tucker last night.
[00:37:12.142 --> 00:37:15.223]  Really picking a fight with the establishment and throwing down the gauntlet.
[00:37:15.223 --> 00:37:18.784]  And this is what everybody else needs to do is stop being scared of info wars.
[00:37:18.784 --> 00:37:24.345]  Stop being scared of talking about the New World Order or the globalists or all these real things.
[00:37:24.345 --> 00:37:28.007]  The New York Times will call you names if you talk about globalists and say it doesn't exist.
[00:37:28.007 --> 00:37:31.307]  They have globalist conferences calling themselves globalists.
[00:37:31.307 --> 00:37:34.208]  Stop letting them bully you.
[00:37:34.208 --> 00:37:36.029]  Embrace liberty and freedom.
[00:37:36.029 --> 00:37:37.349]  Alex Jones was right.
[00:37:37.349 --> 00:37:38.349]  He is the maxim.
[00:37:38.349 --> 00:37:39.210]  They're scared of it.
[00:37:39.210 --> 00:37:39.950]  Here's Tucker Carlson.
[00:37:40.555 --> 00:37:45.098]  The January 6th committee has been an exercise in armed political intimidation.
[00:37:45.098 --> 00:37:45.878]  How did it start?
[00:37:45.878 --> 00:37:47.319]  You may have forgotten.
[00:37:47.319 --> 00:37:50.702]  Congress formed the committee after several members of the U.S.
[00:37:50.702 --> 00:37:57.286]  Capitol Police, the same people responsible for protecting members of Congress, anonymously commanded them to do it.
[00:37:57.286 --> 00:37:58.867]  So effectively, it was a ransom note.
[00:37:58.867 --> 00:38:00.268]  Prosecute our political opponents.
[00:38:00.268 --> 00:38:01.909]  That's an order from your bodyguards.
[00:38:01.909 --> 00:38:02.770]  Amazingly, they did it.
[00:38:03.650 --> 00:38:10.233]  So from the very first day, the January 6th committee was never about gathering information.
[00:38:10.233 --> 00:38:13.414]  Obviously, Congress already has the information.
[00:38:13.414 --> 00:38:17.535]  Nancy Pelosi knows exactly how many federal agents were in the crowd that day.
[00:38:17.535 --> 00:38:18.976]  She won't tell us.
[00:38:18.976 --> 00:38:23.197]  Pelosi could release thousands of hours of videotape evidence from January 6th.
[00:38:23.197 --> 00:38:24.498]  She refuses to do that.
[00:38:24.778 --> 00:38:25.838]  You know what we're gonna do?
[00:38:50.885 --> 00:38:56.190]  I usually nail it, but I looked at the time on this video wrong.
[00:38:56.190 --> 00:38:57.371]  It's a little bit longer than I thought.
[00:38:57.371 --> 00:39:02.174]  So we're going to go to break in four or five minutes, come back and I'll play it from the start again and then give commentary.
[00:39:02.174 --> 00:39:05.677]  But let me just speak to what he was getting to right there.
[00:39:05.677 --> 00:39:11.322]  Steve Bannon is asking for their subpoenas to him to be public, which in almost every case they would.
[00:39:11.322 --> 00:39:14.784]  They're declaring a bunch of weird national security stuff and saying no.
[00:39:14.784 --> 00:39:16.486]  And now he's trying to subpoena the committee.
[00:39:17.639 --> 00:39:21.561]  Which you're supposed to do in a criminal case and they're saying no.
[00:39:21.561 --> 00:39:26.062]  He's been indicted for contempt of Congress, two counts.
[00:39:26.062 --> 00:39:31.044]  And it's the same thing with my civil cases that the Democrat Party runs.
[00:39:31.044 --> 00:39:34.806]  We gave them everything they wanted that wasn't even related to defamation.
[00:39:34.806 --> 00:39:38.367]  And they just lied and said we didn't.
[00:39:38.367 --> 00:39:40.468]  But they, again, overstepped with Owen Schroer.
[00:39:41.616 --> 00:39:52.430]  Because they never subpoenaed him, they never deposed him, they never asked him for a single thing, and they said he too is defaulted for not giving them information.
[00:39:52.430 --> 00:39:55.895]  They don't even care if the fraud is totally transparent anymore.
[00:39:56.681 --> 00:39:57.602]  They're going for broke.
[00:39:57.602 --> 00:40:03.168]  They believe they control the military and the Justice Department and the media, but they don't control the military.
[00:40:03.168 --> 00:40:04.930]  The military hates the New World Order.
[00:40:04.930 --> 00:40:06.251]  They don't control the public's mind.
[00:40:06.251 --> 00:40:07.532]  We hate the mainstream media.
[00:40:07.532 --> 00:40:10.215]  What, you stole the election, so that means you're legitimate?
[00:40:10.215 --> 00:40:11.477]  Everybody hates Joe Biden!
[00:40:13.134 --> 00:40:16.715]  So as long as we're aware of that, understand their tricks, they're going to fail.
[00:40:16.715 --> 00:40:28.219]  Their problems are more lockdowns, more fear, more division, telling the vaccinated, oh, you're sick because of the unvaccinated, which is a total fraud on his face.
[00:40:30.888 --> 00:40:33.330]  And moving against us.
[00:40:33.330 --> 00:40:37.654]  And then, so they can be the victims, attacking their own facilities.
[00:40:37.654 --> 00:40:43.340]  Bombing Pfizer, bombing Moderna, bombing Bill Gates' facility in Washington State.
[00:40:44.878 --> 00:40:47.720]  That's the kind of stuff that's in their quiver.
[00:40:47.720 --> 00:40:49.181]  That's their arrows.
[00:40:49.181 --> 00:40:50.322]  Do not do it.
[00:40:50.322 --> 00:40:51.723]  Do not be violent.
[00:40:51.723 --> 00:40:55.466]  Do not engage in anything that would turn these people into victims.
[00:40:55.466 --> 00:40:56.987]  Expose the science.
[00:40:56.987 --> 00:40:58.428]  Expose how they're killing us.
[00:40:58.428 --> 00:41:00.209]  Expose their eugenics backgrounds.
[00:41:00.209 --> 00:41:05.273]  Expose how they lied about the shots working, when they actually do work to make you sick and erase your immune system.
[00:41:05.273 --> 00:41:08.816]  And continue to hammer them, and hammer them, and hammer them.
[00:41:09.957 --> 00:41:14.839]  Let me go ahead and show the crocodile footage now, and we'll come back and play the Tucker Carlson footage.
[00:41:14.839 --> 00:41:27.325]  This is Florida Everglades' Never Fails to Amuse and Terrify, and you can find it there on Cape Coral Jade's channel.
[00:41:27.325 --> 00:41:35.909]  And here's the family at the culvert fishing, and they don't see the alligator right there about to eat their daughter, who's sitting on the edge of the culvert.
[00:41:38.075 --> 00:41:44.818]  On the pipe under the road so water can flow to the other side of the stream because they're too busy looking at the lure and the little fishies in the water.
[00:41:44.818 --> 00:41:45.218]  Here it is.
[00:41:45.218 --> 00:41:53.382]  Babe, come look!
[00:41:53.382 --> 00:42:01.866]  Watch where he's falling.
[00:42:01.866 --> 00:42:03.887]  Gators?
[00:42:03.887 --> 00:42:04.427]  Where'd he go?
[00:42:07.972 --> 00:42:11.214]  He said, that's plastic.
[00:42:11.214 --> 00:42:14.796]  The gator car was sniffing.
[00:42:14.796 --> 00:42:16.037]  Oh my God!
[00:42:16.037 --> 00:42:19.699]  Holy s***!
[00:42:19.699 --> 00:42:21.280]  Oh my God!
[00:42:21.280 --> 00:42:26.323]  I just got... Oh my God!
[00:42:26.323 --> 00:42:27.583]  Guys, I'm not kidding.
[00:42:27.583 --> 00:42:28.324]  Stop right there.
[00:42:28.324 --> 00:42:33.367]  We're gonna come back with the rest of it next segment, but the point is the little girl sees the gator.
[00:42:33.367 --> 00:42:36.348]  She's toddling her feet, the little six-year-old, right above it.
[00:42:36.348 --> 00:42:37.049]  It's about to kill her.
[00:42:38.046 --> 00:42:39.247]  I have to grab her.
[00:42:39.247 --> 00:42:41.229]  And she's like, oh, look, the gator thought I was slipping.
[00:42:41.229 --> 00:42:42.830]  That's because he's coming up to get her.
[00:42:42.830 --> 00:42:44.331]  And then they're not listening to the child.
[00:42:44.331 --> 00:42:45.772]  And finally they go, whoa, my gosh!
[00:42:45.772 --> 00:42:47.233]  See, I'm like a little kid.
[00:42:47.233 --> 00:42:49.175]  I'm just dangling my feet going, oh, there's the gator.
[00:42:49.175 --> 00:42:50.856]  People don't see it yet.
[00:42:50.856 --> 00:42:55.440]  Once you see it, well, then you're all Alex Jones, that the global predator is coming to kill you.
[00:42:58.393 --> 00:42:59.994]  For a fraction of the cost.
[00:42:59.994 --> 00:43:09.398]  We have launched the most important sale of the year because now we've got a bunch of great products that have been sold out for months and months and months back in stock.
[00:43:09.398 --> 00:43:21.203]  So right now the real Black Friday sale is beginning and it's only going to run until the end of the month and that's now only 6-7 days.
[00:43:21.203 --> 00:43:25.165]  Infowar store official Black Friday special has arrived.
[00:43:25.985 --> 00:43:27.587]  Ladies and gentlemen, people love it.
[00:43:27.587 --> 00:43:28.808]  It's our best seller.
[00:43:28.808 --> 00:43:30.530]  Vitamin Mineral Fusion.
[00:43:30.530 --> 00:43:36.636]  All the vitamins, all the minerals, all the key amino acids, everything you need for your immune system and your body.
[00:43:36.636 --> 00:43:38.037]  And it tastes great.
[00:43:38.037 --> 00:43:39.859]  And it funds the InfoWar.
[00:43:39.859 --> 00:43:44.344]  It is back in stock 40% off with free shipping and double Patreon points.
[00:43:44.764 --> 00:43:47.407]  And so much more at InfoWarsStore.com.
[00:43:47.407 --> 00:43:51.291]  It's only six, seven days left in the biggest sale of 2021.
[00:43:51.291 --> 00:43:55.695]  Bet on freedom, bet on InfoWars, bet on yourself and get great products.
[00:43:55.695 --> 00:43:59.740]  The only way you fail is not taking action at InfoWarsStore.com.
[00:44:00.200 --> 00:44:08.442]  The CEO of Pfizer just came out and said that people talking bad about the vaccines are working for, quote, dark forces.
[00:44:08.442 --> 00:44:15.943]  That the FBI and CIA have been advising him on who these evil groups are.
[00:44:15.943 --> 00:44:20.784]  They know that all over the world their poison shot is being banned by major governments.
[00:44:20.784 --> 00:44:23.084]  And Moderna's in trouble as well.
[00:44:23.084 --> 00:44:27.065]  They know that the people are starting to get wise to this depopulation agenda.
[00:44:27.972 --> 00:44:39.724]  In fact, evidence is starting to mount that the shots were supposed to be soft kill weapons, but they're so deadly, they're killing a higher percentage up front, and so people are waking up.
[00:44:39.724 --> 00:44:42.947]  The weapons work a little too good.
[00:44:42.947 --> 00:44:47.752]  They're supposed to be silent weapons for quiet wars, but instead, they're making too big of a noise!
[00:44:48.453 --> 00:44:50.614]  But it's too late for them to turn back now.
[00:44:50.614 --> 00:44:52.355]  They're coming after our children.
[00:44:52.355 --> 00:44:57.457]  So it's up to us to protect our little children, or God will not look favorably on us.
[00:44:57.457 --> 00:44:59.658]  Remember, God is watching.
[00:44:59.658 --> 00:45:03.500]  The globalists are bombarding us with propaganda.
[00:45:03.800 --> 00:45:09.681]  And with spiritual warfare, and with poisons and chemicals added to the foods, it's all come out.
[00:45:09.681 --> 00:45:16.463]  And they're doing that not because we're weak, but because we're made in the image of God, the Creator, and we are powerful.
[00:45:16.463 --> 00:45:19.684]  And the social engineers fear that so much.
[00:45:19.684 --> 00:45:25.445]  So that's why I repeat that famous internet saying that nobody knows who first came up with, but boy, is it true.
[00:45:27.358 --> 00:45:33.161]  The propaganda would not be necessary if the situation was hopeless.
[00:45:33.161 --> 00:45:45.408]  They need all their propaganda and all their lies and all their evil and all their cultural death because they know we are strong and they know in the end they signed on the god of this world who is a loser.
[00:45:45.948 --> 00:45:49.850]  And that's why it's so important that everybody keep InfoWars in the air now more than ever.
[00:45:49.850 --> 00:45:55.554]  Because even if you don't believe in God, what the globalists are manifesting and setting up is safe hammock.
[00:45:55.554 --> 00:45:59.356]  And we are opposing the one world government and the Mark of the Beast they just announced.
[00:45:59.867 --> 00:46:04.710]  I've been fighting as hard as I can for almost 28 years against the globalists.
[00:46:04.710 --> 00:46:06.771]  I wanted to stop their agenda.
[00:46:06.771 --> 00:46:12.254]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[00:46:12.254 --> 00:46:13.355]  But we failed.
[00:46:13.355 --> 00:46:15.016]  Yes, a lot of people are awake.
[00:46:15.016 --> 00:46:16.517]  Yes, we're not getting caught flat-footed.
[00:46:16.877 --> 00:46:22.882]  But they are going ahead with their full operational deindustrialization Great Reset.
[00:46:22.882 --> 00:46:31.809]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[00:46:31.809 --> 00:46:37.333]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[00:46:37.333 --> 00:46:39.916]  And one of the number one things to do is high quality, storable food.
[00:46:39.916 --> 00:46:42.738]  We've got the best food ready to ship at very affordable prices.
[00:46:43.579 --> 00:46:44.259]  We're good to go.
[00:47:16.949 --> 00:47:18.091]  Yippee-yi-ay!
[00:47:18.091 --> 00:47:20.355]  Yippee-yi-ay!
[00:47:20.355 --> 00:47:24.621]  Yippee-yi-oh!
[00:47:24.621 --> 00:47:26.144]  Ghost Riders!
[00:47:26.144 --> 00:47:30.010]  Ghost Riders in the sky!
[00:47:33.827 --> 00:47:44.830]  Welcome back, ladies and gentlemen.
[00:47:44.830 --> 00:47:48.991]  Very honored and thankful to be here.
[00:47:48.991 --> 00:47:51.211]  And if you're a radio listener, you hear me describing it.
[00:47:51.211 --> 00:47:59.313]  A family, a mother, a father, several of their children, their younger daughter has her feet hanging over the side of a culver at the Everglades and they're catching bass.
[00:48:01.178 --> 00:48:08.763]  And you see little fish about to hit their lure and the little girl's going, Oh, look, the gators over here, the gator.
[00:48:08.763 --> 00:48:09.344]  They're not listening.
[00:48:09.344 --> 00:48:15.048]  They're busy watching the dad and the bass run into the water, not knowing that the gator is coming up a little girl.
[00:48:15.048 --> 00:48:19.771]  And she's like, Oh, he thought I was going to slip in because she sees him coming in her.
[00:48:22.028 --> 00:48:24.209]  She's thinking, oh, he thinks I'm jumping in with him.
[00:48:24.209 --> 00:48:26.231]  She's not even thinking he's about to kill her.
[00:48:26.231 --> 00:48:34.756]  But she would drag her under, drown her, and then put her under a sunken log until she rot, got, became rotten so he could, you know, eat her.
[00:48:34.756 --> 00:48:35.396]  That's how they do it.
[00:48:35.396 --> 00:48:38.358]  They age your meat.
[00:48:38.358 --> 00:48:45.823]  It doesn't matter if you're at Disney World, your child's playing in the backyard at the condo you rent, and they didn't clean it out of alligators, your child's gonna get eaten too.
[00:48:45.823 --> 00:48:50.846]  But the point is, once you see that alligator, you can't unsee
[00:48:53.157 --> 00:48:56.120]  The alligator, ladies and gentlemen.
[00:48:56.120 --> 00:49:04.188]  Once you see the tiger in the bush, or the lion about the ear of the wolf, or the predator, the Fauci, you can't unsee it.
[00:49:05.845 --> 00:49:07.326]  But imagine people that don't see it.
[00:49:07.326 --> 00:49:14.069]  They're there, oh, Fauci and Obama are here to help us at the elementary school.
[00:49:14.069 --> 00:49:14.950]  Aren't they nice?
[00:49:14.950 --> 00:49:16.711]  They care so much about the children.
[00:49:16.711 --> 00:49:18.412]  Meanwhile, we have all the documents, the facts.
[00:49:18.412 --> 00:49:18.972]  They knew.
[00:49:18.972 --> 00:49:19.933]  They suppressed it.
[00:49:19.933 --> 00:49:21.614]  It's going to ruin their immune systems.
[00:49:21.614 --> 00:49:24.115]  It's going to give so many of them heart problems.
[00:49:24.115 --> 00:49:26.997]  And God knows what else.
[00:49:26.997 --> 00:49:29.418]  Kills almost all the rodents they did studies on it with.
[00:49:30.984 --> 00:49:34.686]  People can't get their mind around, it's a predator.
[00:49:34.686 --> 00:49:36.046]  They just can't believe it.
[00:49:36.046 --> 00:49:51.913]  Because they're busy, oh the school play's coming up, oh my cell phone, oh my in-laws are coming down, oh we're gonna go see a movie tonight, and you're distracted with a little fishing lure the globalists have put in front of you, of Netflix, while you're already basically in the alligator's belly.
[00:49:54.131 --> 00:49:55.031]  So that's where we are.
[00:49:55.031 --> 00:49:56.692]  So Tucker Carlson understands that.
[00:49:56.692 --> 00:50:01.453]  He understands that InfoWars is the most accurate overall operation out there.
[00:50:01.453 --> 00:50:03.373]  He can do his own research and everything we talk about.
[00:50:03.373 --> 00:50:04.174]  He can see it's there.
[00:50:04.174 --> 00:50:06.494]  And it's being adopted.
[00:50:06.494 --> 00:50:09.095]  I mean, Joe Rogan sounds more and more like Alex Jones every day.
[00:50:09.095 --> 00:50:11.315]  It's not that Joe even listens to me.
[00:50:11.315 --> 00:50:12.896]  He now gets the perspective.
[00:50:12.896 --> 00:50:13.716]  He sees the alligator.
[00:50:16.141 --> 00:50:18.142]  He sees the elephant in the room.
[00:50:18.142 --> 00:50:20.163]  It's just like subliminal images.
[00:50:20.163 --> 00:50:27.586]  You see an image on a wall, you can't tell what it is, but as soon as somebody points it out, you can't un-see it.
[00:50:27.586 --> 00:50:30.968]  That's really what Reset Wars is all about.
[00:50:30.968 --> 00:50:35.190]  And it drops at ResetWars.com on December 7th.
[00:50:35.190 --> 00:50:40.232]  Hard to believe just five days from now and you'll learn all about it then.
[00:50:40.232 --> 00:50:41.153]  Biggest thing we've done yet.
[00:50:42.925 --> 00:50:50.150]  So I am extremely blessed and honored to be in the zeitgeist, and you put me there, you kept us here, this is all of our victory.
[00:50:50.150 --> 00:51:00.417]  As bad as things are, at least we're the tip of the spear, and humanity's got a fighting chance, and the globalists admit their programs of control are not going so well.
[00:51:00.417 --> 00:51:03.159]  People are ready to hear the truth now.
[00:51:03.159 --> 00:51:04.940]  And the red pill is InfoWars.
[00:51:04.940 --> 00:51:06.621]  InfoWars is the symbol.
[00:51:06.621 --> 00:51:08.862]  Alex Jones was right.
[00:51:08.862 --> 00:51:09.543]  Is the maxim.
[00:51:10.848 --> 00:51:14.310]  And I said that just yesterday.
[00:51:14.310 --> 00:51:17.372]  And you saw what Tucker Carlson said at night.
[00:51:17.372 --> 00:51:18.152]  He agrees.
[00:51:18.152 --> 00:51:18.892]  I'm going to leave it at that.
[00:51:18.892 --> 00:51:21.814]  I'm not talking about our private conversations.
[00:51:21.814 --> 00:51:29.978]  But he understands we need a chain reaction of leaders and of men and women to recognize the truth and say no to the globalist.
[00:51:29.978 --> 00:51:34.441]  We're not going to get out of this if we don't do it.
[00:51:34.441 --> 00:51:36.142]  The New World Order is very serious.
[00:51:36.142 --> 00:51:38.263]  The New World Order is very, very dangerous.
[00:51:38.263 --> 00:51:40.124]  The New World Order means business.
[00:51:41.994 --> 00:51:42.774]  And we're here now.
[00:51:42.774 --> 00:51:45.036]  We're not, oh, New World Order's coming.
[00:51:45.036 --> 00:51:47.997]  We're not, oh, you better listen or this is going to happen.
[00:51:47.997 --> 00:51:50.458]  We now know basically exactly what they're going to do.
[00:51:50.458 --> 00:51:53.019]  It's just the time frame is a little fluid.
[00:51:53.019 --> 00:51:54.660]  But the good news is we know.
[00:51:54.660 --> 00:51:59.363]  So we can make preparation for it and be who we were designed by God to be.
[00:51:59.363 --> 00:52:00.463]  This is the big test.
[00:52:00.463 --> 00:52:01.924]  Here's Tucker Carlson last night.
[00:52:02.622 --> 00:52:07.246]  The January 6th committee has been an exercise in armed political intimidation.
[00:52:07.246 --> 00:52:08.006]  How did it start?
[00:52:08.006 --> 00:52:09.447]  You may have forgotten.
[00:52:09.447 --> 00:52:12.830]  Congress formed the committee after several members of the U.S.
[00:52:12.830 --> 00:52:19.415]  Capitol Police, the same people responsible for protecting members of Congress, anonymously commanded them to do it.
[00:52:19.415 --> 00:52:21.016]  So effectively, it was a ransom note.
[00:52:21.016 --> 00:52:22.397]  Prosecute our political opponents.
[00:52:22.397 --> 00:52:24.059]  That's an order from your bodyguards.
[00:52:24.059 --> 00:52:24.919]  Amazingly, they did it.
[00:52:25.780 --> 00:52:32.365]  So from the very first day, the January 6th committee was never about gathering information.
[00:52:32.365 --> 00:52:35.548]  Obviously, Congress already has the information.
[00:52:35.548 --> 00:52:39.671]  Nancy Pelosi knows exactly how many federal agents were in the crowd that day.
[00:52:39.671 --> 00:52:41.112]  She won't tell us.
[00:52:41.112 --> 00:52:45.336]  Pelosi could release thousands of hours of videotape evidence from January 6th.
[00:52:45.336 --> 00:52:46.637]  She refuses to do that.
[00:52:47.177 --> 00:52:49.281]  So whatever else this is, don't let them lie to you.
[00:52:49.281 --> 00:52:52.165]  This is not a fact-finding effort.
[00:52:52.165 --> 00:52:55.991]  This is a highly obvious attempt to punish critics of the Democratic Party.
[00:52:55.991 --> 00:52:58.575]  And for months, that's exactly what the committee has been doing.
[00:52:59.406 --> 00:53:05.452]  Using the pretext of January 6th, Biden's Justice Department has indicted former Trump advisor Steve Bannon.
[00:53:05.452 --> 00:53:06.112]  What?
[00:53:06.112 --> 00:53:07.353]  What was his crime exactly?
[00:53:07.353 --> 00:53:09.956]  Oh, talking about election fraud on a radio show.
[00:53:09.956 --> 00:53:11.437]  That's illegal now.
[00:53:11.437 --> 00:53:14.780]  Pelosi's January 6th committee had him arrested.
[00:53:14.780 --> 00:53:21.526]  Liz Cheney, by the way, who is being used as a Republican cover for all of this, stood back and watched it happen.
[00:53:21.526 --> 00:53:25.210]  Liz Cheney should be ashamed, but she's become far too degraded for shame, unfortunately.
[00:53:26.073 --> 00:53:29.734]  And Bannon, by the way, is not the only prominent Republican who might go to jail.
[00:53:29.734 --> 00:53:34.435]  The committee has now subpoenaed several former Trump advisors, as well as the fiancé of another.
[00:53:34.435 --> 00:53:37.795]  They've even subpoenaed Roger Stone yet again.
[00:53:37.795 --> 00:53:39.496]  Where was Stone on January 6th?
[00:53:39.496 --> 00:53:42.336]  He was in a hotel room as the Capitol was being breached.
[00:53:42.336 --> 00:53:44.897]  He had literally nothing to do with it.
[00:53:44.897 --> 00:53:45.937]  But it doesn't matter.
[00:53:45.937 --> 00:53:47.357]  He's criticized Joe Biden.
[00:53:47.357 --> 00:53:49.398]  He could be going to jail again.
[00:53:49.398 --> 00:53:54.619]  Now the committee's decided to shut down one of the most popular journalists on the right, Alex Jones.
[00:53:54.619 --> 00:53:55.279]  Yes, journalist.
[00:53:55.959 --> 00:54:02.261]  Jones is often mocked for his flamboyance, but the truth is he has been a far better guide to reality in recent years.
[00:54:02.261 --> 00:54:11.144]  In other words, a far better journalist than, say, NBC News national security correspondent Ken Delanian or Margaret Brennan of CBS.
[00:54:11.144 --> 00:54:14.905]  Alex Jones never bought the Russia hoax, not for a second.
[00:54:14.905 --> 00:54:19.946]  And if Jones sat down with Tony Fauci, he would ask him real questions, just as journalists are supposed to do.
[00:54:19.946 --> 00:54:21.507]  He wouldn't just slobber all over him.
[00:54:22.478 --> 00:54:27.097]  But Alex Jones makes fun of Joe Biden, so the January 6th committee is threatening him with prison.
[00:54:28.007 --> 00:54:37.090]  Now, the irony here, and there are many layers of irony here, but the main one is that Alex Jones isn't simply innocent of inciting crime on January 6th.
[00:54:37.090 --> 00:54:42.791]  Alex Jones actively worked to prevent crimes from taking place on January 6th.
[00:54:42.791 --> 00:54:46.092]  We're not running interference for Alex Jones, and we're not guessing about it.
[00:54:46.092 --> 00:54:50.514]  We happen to know this for a fact, because we looked into it in some detail for Patriot Purge.
[00:54:50.514 --> 00:54:53.675]  It's our three-part documentary series on Fox Nation.
[00:54:53.675 --> 00:54:54.415]  Here are the facts.
[00:54:59.944 --> 00:55:03.546]  So the Republican Party, I just want them to hear this message.
[00:55:03.546 --> 00:55:05.888]  Look at this crowd.
[00:55:05.888 --> 00:55:08.910]  We are the people that you must represent.
[00:55:08.910 --> 00:55:15.714]  January the 6th was all about, it was just about making sure that if you called yourself a conservative, that you stood with the conservative movement.
[00:55:15.714 --> 00:55:19.497]  And unfortunately, it spiraled out of control.
[00:55:21.016 --> 00:55:22.077]  We coordinated with the U.S.
[00:55:22.077 --> 00:55:23.077]  Capitol Police.
[00:55:23.077 --> 00:55:28.541]  Nearly every day, a lot of people don't know that Stop the Steal actually had a permit on the Capitol grounds.
[00:55:28.541 --> 00:55:32.023]  So not the Capitol itself, and not the Capitol Plaza.
[00:55:32.023 --> 00:55:34.365]  The Capitol grounds, Law 8, we had a permit.
[00:55:34.365 --> 00:55:37.887]  So let's just imagine this.
[00:55:37.887 --> 00:55:41.109]  20,000 to 50,000 people inside the President's Park.
[00:55:41.109 --> 00:55:42.470]  We're sitting there at the very front.
[00:55:42.470 --> 00:55:45.552]  I'm dead center of the President, front row.
[00:55:45.552 --> 00:55:50.295]  A Trump campaign staffer walks up to me and says, you know, Ali, there are people leaving the overflow.
[00:55:51.875 --> 00:55:54.236]  And there are already tens of thousands of people at the U.S.
[00:55:54.236 --> 00:55:55.657]  Capitol.
[00:55:55.657 --> 00:56:02.141]  With your presence and the presence of Alex Jones, why don't you guys walk down Pennsylvania, gather people together.
[00:56:02.141 --> 00:56:04.623]  We're coming for creatures!
[00:56:04.623 --> 00:56:07.664]  And then position them for your rally on Lot 8.
[00:56:07.664 --> 00:56:12.267]  I wasn't at the Capitol when it descended into chaos.
[00:56:12.267 --> 00:56:16.149]  And that's only by God's grace, because I was scheduled to be there.
[00:56:16.149 --> 00:56:20.192]  Secret Service let us out at a point where we would have been there when the first punch was thrown.
[00:56:22.884 --> 00:56:24.445]  And that's strange.
[00:56:24.445 --> 00:56:28.546]  The only reason that we weren't there is because we stopped and gave an impromptu speech.
[00:56:28.546 --> 00:56:41.171]  I get a text from the campaign that you should get there and de-escalate because things are not going well.
[00:56:45.305 --> 00:56:53.692]  So, we started to approach the side of the Capitol, where no protests had happened in November, no protests had happened in December.
[00:56:53.692 --> 00:56:57.475]  All I thought was, I need to get them to the other side, and I need to get them to Lot 8.
[00:56:57.475 --> 00:57:00.478]  Let's march around to the other side!
[00:57:00.478 --> 00:57:03.160]  And all we are equipped with are megaphones.
[00:57:03.160 --> 00:57:06.563]  Let's call the police and get the system what they want!
[00:57:06.563 --> 00:57:09.105]  Maybe a thousand people are listening to us.
[00:57:10.265 --> 00:57:12.246]  Come off the stands!
[00:57:12.246 --> 00:57:14.827]  And 75,000 to 100,000 people there in front of us.
[00:57:14.827 --> 00:57:17.548]  And it was a very helpless feeling.
[00:57:17.548 --> 00:57:21.169]  Ladies and gentlemen, we have a complication with the police.
[00:57:21.169 --> 00:57:23.170]  We're going to make that the story.
[00:57:27.608 --> 00:57:30.329]  So the trail of that documentary got a lot of attention.
[00:57:30.329 --> 00:57:32.931]  If you haven't seen the documentary itself, we think that you should.
[00:57:32.931 --> 00:57:34.091]  It's called Patriot Purge.
[00:57:34.091 --> 00:57:43.717]  We think it is the most comprehensive, the most honest, the most fact-based account of what actually happened on January 6th and what has happened on the basis of January 6th that has been made.
[00:57:43.717 --> 00:57:45.318]  We're really proud of it.
[00:57:45.318 --> 00:57:48.079]  You can start streaming Fox Nation, by the way, by going to TuckerCarlson.com.
[00:57:50.117 --> 00:57:51.438]  Let's go ahead and take another call.
[00:57:51.438 --> 00:57:53.459]  Let's talk to Malcolm in Tennessee.
[00:57:53.459 --> 00:57:53.880]  Welcome.
[00:57:53.880 --> 00:57:54.600]  Hello, Alex?
[00:57:54.600 --> 00:57:55.140]  Yes, Malcolm.
[00:57:55.140 --> 00:57:59.483]  Alright, I'm gonna make this quick and real short where the other Patriots can get on the line.
[00:57:59.483 --> 00:58:04.066]  Uh, Alex, I have to promote one thing from one of your co-hosts, Owen Schroyer.
[00:58:04.066 --> 00:58:07.068]  Super male vitality and brain force plus.
[00:58:07.068 --> 00:58:09.710]  Mix those two together, you're an unstoppable tank.
[00:58:09.930 --> 00:58:11.751]  Supermill Vitality really, really works.
[00:58:11.751 --> 00:58:16.635]  It's cold-pressed herbs and natural compounds that have never been heated up.
[00:58:16.635 --> 00:58:23.420]  And so, it has a dramatic effect compared to powdered versions that also work quite well, but just aren't as strong.
[00:58:23.420 --> 00:58:25.262]  This is like a very fine wine.
[00:58:25.262 --> 00:58:27.383]  In fact, each batch is different.
[00:58:27.383 --> 00:58:29.845]  Sometimes it's super strong, sometimes it's just okay.
[00:58:29.845 --> 00:58:33.108]  People are like, why are you selling something and admitting sometimes the batch isn't as strong?
[00:58:33.108 --> 00:58:34.048]  That's just how it is.
[00:58:34.048 --> 00:58:34.709]  It's how it works.
[00:58:35.410 --> 00:58:39.440]  Uh, so, it's always good, it's just sometimes it's like super strong.
[00:58:39.440 --> 00:58:43.229]  But yeah, if you want the Rolls Royce at a decent price, then this is it.
[00:58:50.178 --> 00:59:04.686]  The COVID-19 face diaper is a symbol of subservience, a symbol of slavery, a symbol of the change that the medical tyranny combine controlled by the global private corporations has put in place.
[00:59:05.466 --> 00:59:10.649]  It is the symbol of the permanent emergency from which we will never emerge.
[00:59:10.649 --> 00:59:19.554]  It is the symbol that we are diseased and evil and bad and must cover our diseased criminal faces from the light of the sun.
