[00:00.000 --> 00:29.920]  From the InfoWars.com News Center, D.P.
[44:12.920 --> 44:19.920]  I'm not saying it's good, but it doesn't really hurt you, but you think you're dying. It's way worse than waterboarding. It goes into your lungs, everything.
[44:19.920 --> 44:22.920]  I mean, it doesn't hurt you if you don't have a heart attack.
[44:22.920 --> 44:28.920]  Mexico is famous for massive, massive torture that has become totally institutionalized.
[44:28.920 --> 44:35.920]  Mexico, if students even mildly protest, hundreds of them get killed a year. I mean, 2030 at a time just disappear off the streets.
[44:35.920 --> 44:41.920]  Mexico does some horrible stuff. I'm not here bashing Mexico. I want Mexico to rehabilitate itself.
[44:41.920 --> 44:47.920]  I don't like the fact that Trump says that, well, if you're ISIS, we'll torture you. I mean, I get it's ISIS, but, you know, you turn into this once you do this.
[44:47.920 --> 44:52.920]  I mean, it seems, well, you're a bad guy, so I can torture you. Well, that's how they started in Mexico. See?
[44:52.920 --> 44:57.920]  So I'm criticizing both Trump and Mexico at the same time, because I told you, I mean, we're just going to tell it like it is with Trump.
[44:57.920 --> 45:01.920]  He turned out better than I thought, but still, there's some things that are wrong here.
[45:01.920 --> 45:09.920]  Now, expanding on this, one in Guardian, Mexico tortures migrants and citizens in effort to slow Central American surge.
[45:09.920 --> 45:18.920]  The globalists have put financial systems in all over the world to collapse the first world, the old world, the third world to consolidate control.
[45:18.920 --> 45:31.920]  Not my opinion, in fact. So when they say, oh, Latin Americans are coming here because of America, you mean because of globalist policies using American muscle to enforce it.
[45:31.920 --> 45:41.920]  Trump has real policies that will actually empower Mexico because by driving wages up here, it will force people to compete and drive up wages there as well.
[45:41.920 --> 45:57.920]  That's what the studies show. As you cut the wages, they actually, as you cut the wages in different areas of the world, it ends up basically creating what Ross Pro talked about, a giant sucking sound.
[45:57.920 --> 46:10.920]  You can't cut wages in one country and then not in another and then not have all the jobs go there. What you have to do is have wages that are rising, but that are put into areas that were already depressed to raise them up.
[46:10.920 --> 46:18.920]  But I'm not going to do an economics lesson. It gets pretty complex, but people get where I'm going historically, that general wealth, rising tide raises all ships.
[46:18.920 --> 46:24.920]  Henry Ford did some weird stuff, but he was right about paying his employees enough to buy the car.
[46:24.920 --> 46:34.920]  But see, that's a growth market. That's a renaissance market versus a clowered and piven agenda 21 global collapse paradigm.
[46:34.920 --> 46:45.920]  But I'm going off the rails here and other subjects. Mexico tortures migrants and citizens in effort to slow Central American surge, London Guardian, there's hundreds of these stories.
[46:45.920 --> 46:56.920]  Financial Times. Mexico builds its own wall against migrants. Pressure builds for measure to stem flow of refugees from the South heading to the United States. It's that bad.
[46:56.920 --> 47:04.920]  And I don't blame you people wanting to come up here, but it's only going to collapse us as well, folks. I mean, it's becoming joke level.
[47:04.920 --> 47:12.920]  Trump administration to publish weekly crimes committed by illegal aliens. Absolutely. There's been a major cover up of that here and in Europe, and that's coming to an end.
[47:12.920 --> 47:22.920]  So when the president of Mexico says, and I'm going to play the first part of the clip because we played it all earlier, says, you know, Mexico doesn't believe in walls, Mexico doesn't build walls.
[47:22.920 --> 47:30.920]  On what planet are you living? I mean, do you think we're stupid?
[47:30.920 --> 47:37.920]  Mexico has a continued wall, a 100% wall on its southern border with Guatemala.
[47:37.920 --> 47:46.920]  Well, they had a fence. Now they're building a wall, a wall in some areas of fence and others. Now they're going to finish it up as a big, strong wall because Latin America is collapsing.
[47:46.920 --> 47:53.920]  What if a plague breaks out in Latin America, south of the border in Central America? What if a plague breaks out? What if a war breaks out?
[47:53.920 --> 48:01.920]  Everybody continues to pour over. You don't have a sovereign country if you don't have a controlled border.
[48:01.920 --> 48:18.920]  And I cannot believe that I have to sit here and explain this to liberal listeners who think it's evil and bad when we have a wall, but if the Vatican has one, or if China has one, or if Mexico has one, or if Obama has one, or if Mark Zuckerberg wants one,
[48:18.920 --> 48:31.920]  Zuckerberg has like 700 acres, but there's other little pieces of property that are within his acreage and on the side of it, and he doesn't want to have any neighbors, so he's trying to force them to sell.
[48:31.920 --> 48:42.920]  And that'd be fine under English common law if he wasn't a hypocrite lecturing everybody else saying we don't have property rights. The guy is a total fraud who thinks we're dumb efforts.
[48:42.920 --> 48:49.920]  Again, let's go back to the Mexican president.
[48:49.920 --> 49:06.920]  So he says they regret the continued construction of a wall, which is for years far from the United States divided us.
[49:06.920 --> 49:14.920]  Mexico does not believe in walls. I've said this time and time again. Mexico will not pay for a wall. Okay, let's stop right there.
[49:14.920 --> 49:24.920]  Mr. President, you didn't read the art of the deal. If you'd have just shown up, been nice to Trump, you could have gotten out probably paying for 30% of it, but you're going to pay for some of it.
[49:24.920 --> 49:37.920]  NATO is going to pay. Japan is going to pay. South Korea is going to pay. The big globalist system saps America to build this whole world defense grid, and then we go bankrupt and fall into the ground.
[49:37.920 --> 49:43.920]  That's all you had to do was go up there and Trump would have been eating out of your hand, but Trump cannot abide.
[49:43.920 --> 49:55.920]  He's basically OCD in a good way, about one-sided deals, one-way streets, crew jobs. So now Mexico, you're going to pay for 100% for being pigheaded, so get ready.
[49:55.920 --> 50:07.920]  You're going to pay for 100%. Because Trump believes in fairness, he wants Mexico to attack with a bunch of anti-American garbage to rekindle our nationalism.
[50:07.920 --> 50:15.920]  He's basically going to use Mexico and all this anti-American hate to only make his agenda more popular. But first, he gave you a chance.
[50:15.920 --> 50:24.920]  He went down and was super gracious, super nice, said, let's negotiate this, let's talk about it, come up, but if you're not going to agree to work with us on this, that means pay for some of it.
[50:24.920 --> 50:30.920]  If you don't know how this works, then you're going to pay for all of it.
[50:30.920 --> 50:39.920]  It's just unbelievable that people don't understand how Trump works. It's all right there. He's so easy to predict. They claim he's unpredictable. No, he's very easy to predict.
[50:39.920 --> 50:45.920]  You're going to negotiate, you're going to do a deal that's good for everybody, or you're going to be run over. It's that simple.
[50:45.920 --> 50:51.920]  And he's got control of the biggest, most powerful country there is to do it, and it's about to relaunch the Republic.
[50:51.920 --> 50:58.920]  So let me just warn everybody, including the globalists, get out of the way. We'll be back with the calls to kill Trump. Stay with me.
[50:58.920 --> 51:02.920]  Offer not valid in all states or work prohibited by law. See website for details.
[51:29.920 --> 51:40.920]  Visit 67cash.com and you can have up to $5,000 in no time. Just have a checking account and a regular source of income, and you can get the loan you need now.
[51:40.920 --> 51:48.920]  Regardless of your credit, go to 67cash.com from your smartphone or computer to get the cash you need. Visit 67cash.com.
[51:48.920 --> 51:58.920]  Type www.67cash.com directly into the address bar. That's 67cash.com. 67cash.com.
[51:58.920 --> 52:08.920]  Have you ever wanted a shortcut to getting the underground secrets to making money online and seriously grow your business, whether it's a new business, a part-time income,
[52:08.920 --> 52:20.920]  or an existing business, you have this incredible limited offer to get a copy of this Amazon bestselling book on.com success for free. Uncover the success factors to make your business ignite.
[52:20.920 --> 52:28.920]  Go to secretsignite.com. That's secretsignite.com. Get your free copy now. Go to secretsignite.com.
[52:28.920 --> 52:39.920]  Had it been the sweet Paris air permeating the night, the intoxicating way her beauty had overtaken him. Whatever the case back then, Jordan Dunlevy is still in love with the memory of Lauren, the woman he'd lost so many years before.
[52:39.920 --> 52:50.920]  In Bookstore on the Sen, the journey of a conspiracy analyst, author C.L. Hendeman, ties conspiracy theories, mystery, irony, and romance into the stimulating novel that masterfully interweaves the past with the present.
[52:50.920 --> 52:58.920]  Available on Amazon and Kindle and at Bookstoreonthesen.com. That's S-E-I-N-E.com. Bookstoreonthesen.com.
[53:21.920 --> 53:42.920]  Are you prepared to bug out? Infidel Body Armor and an Army Ranger have produced a high speed DVD and book to show you how to drive in combat, patrol, and how to survive in combat. Skills you'll need when it hits the fan. Go to drivendvd.com. Drivendvd.com.
[53:42.920 --> 53:57.920]  Advertising your business with GCN is simple, effective, and more affordable than you might think. Visit advertise.gcnlive.com for more info. Take your business to the next level. That's advertise.gcnlive.com.
[53:57.920 --> 53:59.920]  Let's go.
[53:59.920 --> 54:01.920]  Let's go.
[54:29.920 --> 54:52.920]  My dad's grandmother lived to be 103. My dad's so funny. He was telling me how they got sent out of North Texas to Florida how his grandmother's mother did, because they were Indians, and then how they'd come back to Texas.
[54:52.920 --> 55:04.920]  Then I went and looked it up and I said, Dad, do you know what Native Americans those are? It was just really funny. You just can't make this stuff up. You can't make this stuff up.
[55:04.920 --> 55:12.920]  But she was still there at about 100. She wasn't there at about 103. But it's funny. What was her nickname? Ma Jones.
[55:12.920 --> 55:23.920]  All right, let's go ahead and her real name was Moon Jones. Interesting stuff. A lot of history gone.
[55:23.920 --> 55:34.920]  History, though, is now happening right before us, isn't it? And it's hard to believe that we're about to end the first month of 2017 before we have a twinkle in our eye.
[55:34.920 --> 56:00.920]  It'll be 2018 and then on and on and on, having an L. It goes on and on, doesn't it? Well, during the ABC interview with the 45th president of the United States, the snarky, sniveling reporter snaking around, in between that, we were all treated to an ad where the president is assassinated,
[56:00.920 --> 56:26.920]  promoting a show designated survivor. Here it is.
[56:26.920 --> 56:38.920]  And again, it's not a very good visual for folks that are on the radio, but Kiefer Sutherland's in it, and the president gets killed so he has to take over. This is what they're running.
[56:38.920 --> 56:50.920]  You're like, oh, that's just that one thing. No ABCs talked about it. He should be killed. The New York Times has a Washington Post. I mean, you've seen everywhere, the LA Times, Newsweek, Time Magazine have called for riots and burning cities.
[56:50.920 --> 56:58.920]  When it's time to riot, it's incredible. And then when they riot and attack you, they just say you did something wrong.
[56:58.920 --> 57:15.920]  Meanwhile, a teacher post video, shooting Trump with squirt gun, that's up on infowars.com, screaming die in front of the class. That was high school teacher post video, shooting Trump with squirt gun in classroom, screaming die.
[57:15.920 --> 57:28.920]  Can we get the audio of this? Go ahead and fade it up if you can. Let's play this again.
[57:28.920 --> 57:42.920]  I mean, this is what you have. You have this elementary school students sitting there while they're crazy whacked out witch teacher screams and yells while they're projecting Trump during the inauguration being inaugurated.
[57:42.920 --> 57:51.920]  I mean, when we were kids, they'd show the inauguration or the space shuttle or whatever. The teacher kept their mouth shut. Now it's a harpy, a mental patient screaming die, die, die.
[57:51.920 --> 58:00.920]  And you hear the little kids in the background going, oh, what? Imagine how whacked out they are. The child abuse of this insanity.
[58:00.920 --> 58:08.920]  If Hillary would have been elected, and I saw a conservative teacher squirt gunning saying die, die in front of kids, I'd say fire that person.
[58:08.920 --> 58:15.920]  What a lunatic. What a group of crazy people. And then they white people just walk up a Starbucks or screaming at some black lady.
[58:15.920 --> 58:23.920]  Trump won. I deserve all this stuff. You're attacking me. Just crazy. Crazy white people running around calling black people racist as Trump won.
[58:23.920 --> 58:30.920]  I mean, just whacked out loons. And it gets worse. China officially taken over Hollywood. They've got movies coming out.
[58:30.920 --> 58:40.920]  I'm going to cover this when we come back, you know, where Trump is basically a dictator and at the end of the world and they're all calling him Hitler. I mean, this is a group of lunatics, but not the people controlling them.
[58:40.920 --> 59:01.920]  They know what they're doing.
[59:10.920 --> 59:25.920]  Absolutely needs in the history of him for life. We've brought out a lot of amazing products like survival shield X to super male vitality and so many others with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[59:25.920 --> 59:38.920]  This formula is the platinum standard of multivitamin mineral products. And this part is most important. The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[59:38.920 --> 59:51.920]  That means it's clean. That means it's pure and rest secured. You're finding the tip of the spear in the info war. That's infowarslife.com and vitamin mineral fusion. Take action now before we sell out.
[59:51.920 --> 1:00:10.920]  You're listening to the Alex Jones show.
[1:00:10.920 --> 1:00:25.920]  The difference to tyrants is obedience to God. It's Alex Jones.
[1:00:25.920 --> 1:00:45.920]  All right, and I've got to correct myself. It was another one where they're screaming and yelling at Trump in front of the elementary school that I saw. This is another one where it's in a high school. You can hear the students in the background going what is the woman screams die, die, die and is sitting there spraying the projection of Trump's inauguration.
[1:00:45.920 --> 1:01:11.920]  But it's the same shrieking, freaking out craziness that is just bizarre. Here, let's roll it again with sound if we can.
[1:01:11.920 --> 1:01:24.920]  This is who you don't need having a gun. I love how when she does the gun, she like does it like that. Like that's what makes the bullets come out. You want to hold it very still and just pull the tray back.
[1:01:24.920 --> 1:01:31.920]  By the way, I don't want to show off my marksmanship, but I hadn't been shooting a lot in years and I've been out shooting some more these days.
[1:01:31.920 --> 1:01:43.920]  I think we're going to do some live Facebook mentions with some thousand yard shooting for folks and we're going to bring some military guys out and see how they shoot with me. We're going to find out, but that's a whole different deal from actual combat shooting.
[1:01:43.920 --> 1:01:50.920]  Like climbing over stuff and running and doing all our swimming in a lake and then getting out and shooting. That's a whole different deal, but we're going to we're going to have a shooting contest.
[1:01:50.920 --> 1:02:01.920]  I'm going to bring some special ops guys out with me and we're going to we're going to see you can shoot better than a thousand yards. Obviously show off to everyone. I'll really make the left get pissed.
[1:02:01.920 --> 1:02:13.920]  I'll probably get beat. We'll see what happens. But do it for charity. I tried to get the Travis County SWAT team wants to have a competition with me because they kept coming over there and trying to keep me from giving speeches in front of the county commensures like 20 years ago.
[1:02:13.920 --> 1:02:23.920]  And finally, we became friends and they were about to have a shooting contest with me and then the then the sheriff who's a hard hard Hillary type person wouldn't let him have it.
[1:02:23.920 --> 1:02:29.920]  You know, I'm really digressing right now. I apologize. Just watching that woman shoot like that was pretty ridiculous.
[1:02:29.920 --> 1:02:35.920]  So continuing here, I'm going to get to more of this coming up in the next segment because this is just too important to cover in the last minute here.
[1:02:35.920 --> 1:02:45.920]  But Chinese propaganda. New Hollywood movie depicts Trump like president killing the United States. That's right. So he's Hitler. He's killing the U.S.
[1:02:45.920 --> 1:02:53.920]  Whereas in reality, the stock market is now up $2 trillion. His approval rating is soaring towards 60 points at 59 from 41 in Gallup brass music.
[1:02:53.920 --> 1:03:02.920]  You name it show similar numbers and the elite are in panic mode as he fulfills every promise he would, except for one that I'm sure they told him, Mr. President.
[1:03:02.920 --> 1:03:11.920]  It's not your prerogative to be in the judicial or in the prosecutorial range. You're the executive. So you can't say I'm going to lock you up, sir.
[1:03:11.920 --> 1:03:18.920]  We just have to have the prosecutors do their job. He's like, oh, well, yes. Oh, I like her. Yeah, let's move on a little bit.
[1:03:18.920 --> 1:03:25.920]  Oh, she tries to destroy him still. No, she knows what's coming. But but but verbally he's kind of starting to break that promise a little bit.
[1:03:25.920 --> 1:03:32.920]  He's he's you know, let's say on degrees one to 10 totally never blocking a prosecution, which would be illegal.
[1:03:32.920 --> 1:03:40.920]  If he did that would be a 10 and totally, you know, pushing for it to be prosecuted would be a 10 as well as you're not supposed to do that.
[1:03:40.920 --> 1:03:47.920]  But just sitting back and letting the job be done and not getting involved. That's what he needs to do. That's a that's a that's a zero.
[1:03:47.920 --> 1:03:57.920]  That's what he's supposed to do. But I think right now he's on a two or three. He just he just shouldn't call me. She's saying I'm going to let the law be followed and have the investigators go into it.
[1:03:57.920 --> 1:04:07.920]  I don't want to influence things saying I hope she doesn't get prosecuted. I hope this is all over. I think that's where I have an issue with the president because he would do it just right.
[1:04:07.920 --> 1:04:17.920]  If he just said I'm going to let the people whose job that is under the Constitution discharge their duty as they swore in their oath of office just as I've done.
[1:04:17.920 --> 1:04:30.920]  But I have to tell you that the whole world knows about what happened with Hillary and so I'm going to I'm going to recuse myself just like Senator Sessions is saying he's going to do if confirmed.
[1:04:30.920 --> 1:04:40.920]  That's where I stand on that. That's about the best balanced angle you're going to get on that. But coming back Chinese propaganda new Hollywood movie depicts Trump like president killing the U.S.
[1:04:40.920 --> 1:04:52.920]  Albright's ready to convert to Islam. Washington Post again falls him Hitler. And so guess what more Islamists have been caught raping women and it keeps turning out the media tries to suppress it.
[1:04:52.920 --> 1:04:59.920]  But it's called the rape games. You've heard of the Hunger Games. This is more like the rape games will be right back. Stay with us.
[1:04:59.920 --> 1:05:07.920]  Sanctuary cities across the nation are pushing back against President Trump's immigration policies. They're vowing to take it all the way to the courts.
[1:05:07.920 --> 1:05:18.920]  Bill de Blasio of New York is promising immediate action against Sanctuary City's order as President Trump's executive order is said to block federal funding to sanctuary cities just like New York.
[1:05:18.920 --> 1:05:28.920]  De Blasio is saying that it's very susceptible to legal challenge and he's promising to take it to the court immediately for an injunction to stop the order if an attempt to pull funds from the city is made.
[1:05:28.920 --> 1:05:36.920]  He says if they make an attempt to pull that money it would be from the NYPD from security funding to fighting terrorism. Of course we know that simply isn't true.
[1:05:36.920 --> 1:05:44.920]  The president is trying to enforce the law of the land and say that these rogue cities have no right to get benefits to people that are here illegally.
[1:05:44.920 --> 1:05:54.920]  On Wednesday Trump signed an order to stop federal funds from going to these cities from New York to San Francisco that have policies limiting cooperation with federal immigration enforcement agencies.
[1:05:54.920 --> 1:05:59.920]  I'm Margaret Howe reporting for InvaWars.com.
[1:06:25.920 --> 1:06:30.920]  Plus you can take it with you to jumpstart cars, trucks, buses, 18-wheelers, heavy equipment, even airplanes.
[1:06:30.920 --> 1:06:37.920]  The system provides an endless supply of off-the-grid electricity allowing you to create your own private power grid literally anywhere in the world.
[1:06:37.920 --> 1:06:42.920]  Perfect for cabins, remote locations, any time you need to get off the grid for a while.
[1:06:42.920 --> 1:06:55.920]  Go to privatepowergrid.com to watch this thing in action. That's privatepowergrid.com. Even better, use coupon code private at checkout and get a second PPX Energy Unit for free. Check it out at privatepowergrid.com.
[1:06:55.920 --> 1:07:16.920]  That's privatepowergrid.com.
[1:07:26.920 --> 1:07:37.920]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[1:07:37.920 --> 1:07:47.920]  Prostagard is something that the men on the InvaWars crew take every day and from our research it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[1:07:47.920 --> 1:07:58.920]  Now's the time to start naturally supporting your body. Get Prostagard on your side today exclusively at infowarslife.com. That's infowarslife.com.
[1:08:18.920 --> 1:08:29.920]  You're listening to the Alex Jones show.
[1:08:29.920 --> 1:08:48.920]  John Rappaport is coming up in the fourth hour of nomorefakenews.com. He coined that term 15 years ago that the mainstream media is the fake news. So we need to put out an article explaining, we should do this, man who coined the term fake news and copyrighted it. I know he's got a copyright.
[1:08:48.920 --> 1:09:15.920]  It's just so crazy that he had the proper name for them 15 years ago when he started his website. So Rappaport is coming up on the transmission today and we will also, of course, be taking your phone calls in this hour.
[1:09:15.920 --> 1:09:39.920]  If you just joined me you heard the different reports where they've got everybody from the Washington Post to you name it saying that Trump is Hitler and calling for riots and calling for him to die for the White House to be blown up like Madonna is saying and ABC is airing pieces during the interview with Trump showing the president being murdered
[1:09:39.920 --> 1:09:51.920]  as they prepare the public's mind for all of their different plans. They are not giving up. They are moving into high gear.
[1:09:51.920 --> 1:10:09.920]  The toll-free number to join us is 800-259-931-800-259-9231 and longtime callers, first-time callers, if you agree, disagree, you're welcome to call in on any subject you wish but I am going to try to actually go to your calls and move from them quickly.
[1:10:09.920 --> 1:10:18.920]  Do you think that Trump is delivering on his promises? Do you think that Trump is reneging on any promises?
[1:10:18.920 --> 1:10:28.920]  What do you think of the first six days of the Trump presidency? 800-259-9231. But quick questions or quick comments because I want to move to the next person.
[1:10:28.920 --> 1:10:38.920]  Let's hit a few of these stories. Chinese propaganda, this is up on DrudgeReport.com on the right-hand side. New Hollywood movie depicts Trump-like president killing the U.S.
[1:10:38.920 --> 1:10:50.920]  It's an info war story by Jamie White. And I keep pointing out that so many of the movies I go to see have pro-communist Chinese propaganda in them.
[1:10:50.920 --> 1:11:07.920]  It's getting more and more obvious. Anti-Trump chai comms buying up Hollywood. Hollywood has set to begin work on Little America, a dystopian adventure movie set in the future where a Trump-like U.S. president has bankrupted America and China has called in its debts.
[1:11:07.920 --> 1:11:16.920]  The film set to be produced by explosion obsessed director Michael Bay describes a future where the president has destroyed American economy.
[1:11:16.920 --> 1:11:19.920]  Again, that's what the globalists are doing. You cannot make this up.
[1:11:19.920 --> 1:11:28.920]  Promoting China and prompting China to call in its debts, making it the de facto owner of the country while many Americans immigrate to China for work.
[1:11:28.920 --> 1:11:36.920]  Oh, because China is so wonderful where they have mobile execution vans. I'm going to cut a dystopian trailer for this movie going in the future.
[1:11:36.920 --> 1:11:46.920]  Americans leave the hell of their republic and all of their freedom to go to China where there's mobile execution vans and where peaceful Buddhists are kept in cages for their organs to be harvested.
[1:11:46.920 --> 1:11:53.920]  And Americans dream of visiting the Wonderland where the rivers are so toxic they catch on fire.
[1:11:53.920 --> 1:12:01.920]  But see, China needs propaganda. They're not good at it. So they're buying Hollywood to produce films that are for both markets.
[1:12:01.920 --> 1:12:08.920]  Both leftist propaganda to demoralize us and propaganda in China to make them feel good.
[1:12:08.920 --> 1:12:15.920]  I mean, whether you go see The Martian or whether you go see The Arrival or any of these movies, it's always America needs help.
[1:12:15.920 --> 1:12:23.920]  And then the Chinese president is a good guy and saves us and they're the ones that crack all the codes and they're the ones that give us the boosters to get to Mars.
[1:12:23.920 --> 1:12:30.920]  And they're the ones that teach us how to potty when we're one year old and they're the ones that, you know, bounce us on their knee and just they're so good.
[1:12:30.920 --> 1:12:41.920]  They're so loving. And the globalists openly say we're looking to China to bully America into submitting to the New World Order with straight faces on TV and in major newspapers.
[1:12:41.920 --> 1:12:50.920]  China sure is right about censoring the web. Boy, after Trump got elected, they've been vindicated for the great work they do knocking out fake news.
[1:12:50.920 --> 1:12:54.920]  Computer world. New York Times had those exact quotes.
[1:12:54.920 --> 1:13:03.920]  I tell you, China's really vindicated right now. I know they sell baby parts. They boil it down and sell it for women to eat in pills and inject.
[1:13:03.920 --> 1:13:12.920]  God, they got the moral high ground. Yeah, you heard that Mexican president. We don't believe in walls. How dare you, America, as they build a huge one.
[1:13:12.920 --> 1:13:23.920]  Already have a fence. I mean, it's just, it's just, it's just too much to handle. But again, they're targeting the dumbest people they can show with a straight face.
[1:13:23.920 --> 1:13:25.920]  Let me just read this to you.
[1:13:25.920 --> 1:13:35.920]  Hollywood is set to begin work on little America to make you feel small. And when the Chinese watch it, even though they're slaves, they'll just go, oh, America little.
[1:13:35.920 --> 1:13:38.920]  I mean, the propaganda couldn't get any more dumbed down.
[1:13:38.920 --> 1:13:51.920]  Autobots prepare to serve the Communist Chinese to defeat America. In fact, imagine I am Optimus Prime. They're evil Americans. I must take out Trump. Bumblebee.
[1:13:51.920 --> 1:14:06.920]  Megatron is actually disguised as Trump. Take him out. Don't let him cut the taxes and make America great again. And yes, we must get the other Autobots to rally against the other Decepticon Putin.
[1:14:06.920 --> 1:14:12.920]  Yeah, there is 15 Hollywood movies that were saved by China at the box office.
[1:14:12.920 --> 1:14:27.920]  And now they're set to just take it over. I mean, the worst the movie is, they're just unwatchable, but it's all red flags and the Chinese president saving everyone who could make up the trashiness of Hollywood.
[1:14:27.920 --> 1:14:34.920]  Transformers the age of extinction, pro-China propaganda. Yeah, even mainstream media just admits this, but they hide it in plain view.
[1:14:34.920 --> 1:14:43.920]  Okay, China's taking over everything. Okay, the Chinese president, they're in, they're in Switzerland at the Davos meeting, says he'll take over, don't worry.
[1:14:43.920 --> 1:14:51.920]  He'll stop Trump. He got like his hands on his hips like, what have I caught you doing in the cookie jar? How dare you not let us have one-sided deals?
[1:14:51.920 --> 1:15:05.920]  In fact, maybe they can have one where the Chinese dictator is actually like Optimus Prime and then Trump's head is on Megatron. And he's like, prepare to die, Megatron.
[1:15:05.920 --> 1:15:13.920]  And it's the Chinese president. And then Trump's like, no, you will never defeat me. I'm evil.
[1:15:13.920 --> 1:15:28.920]  Or put Hitler's head on Megatron. I mean, the propaganda is so unwatchable, but you go in and full grown American men should go get them. Yeah, get them.
[1:15:28.920 --> 1:15:33.920]  Oh yeah, get them. They have the NFL coming out against the Second Amendment.
[1:15:33.920 --> 1:15:47.920]  Now, good old boys are like, I like the NFL. It's time to turn the guns in. I believe in Obama now. I hate, I hate John Wayne.
[1:15:47.920 --> 1:16:01.920]  That's it. The Chinese president's head can be on Optimus Prime and they can resurrect John Wayne and put his head on Megatron and have, and have the Chinese president cut the head off John Wayne.
[1:16:01.920 --> 1:16:12.920]  I'm John Wayne. I'm evil. And then he comes back as Megatron. No, no, he comes back as Optimus Prime. I can't believe this anymore.
[1:16:12.920 --> 1:16:19.920]  But this is how dumbed down their constituents are. Let me stop right there.
[1:16:19.920 --> 1:16:25.920]  Now, listen to this with a straight face. Hollywood is set to begin work on Little America.
[1:16:25.920 --> 1:16:33.920]  How about they put out a movie like Americans have small penises? That'd be even better. Or Americans are all stupid.
[1:16:33.920 --> 1:16:46.920]  I mean, this is just to demoralize us. Hollywood is a complete, sworn enemy of this country in their own crazy bubbles, so desperate to destroy us that they have now gone even more over the top than they thought they could.
[1:16:46.920 --> 1:17:00.920]  What a joke. So workless, so bankrupt, so over, so despised, so bypassed that they're in a love fest with a collapsing communist dictatorship that has a fake stock market and is already collapsing.
[1:17:00.920 --> 1:17:15.920]  China is descending into hell. Let me continue. Hollywood, I guess Chai-Com would, or Trader would, is set to begin work on Little America.
[1:17:15.920 --> 1:17:22.920]  Talk about the most brazen propaganda. I'm sorry, I can't read this with a straight face.
[1:17:22.920 --> 1:17:28.920]  Hollywood is set to begin work on Little Pee-Pee. I'm sorry. Hollywood is set to begin work on Little Ding-Dong.
[1:17:28.920 --> 1:17:39.920]  I apologize, folks. Hollywood is set to begin work on Little America, a dystopian adventure movie set in the future where a Trump-like U.S. president has bankrupted America.
[1:17:39.920 --> 1:17:46.920]  It was the globalist said that. And China has called in its debts. Good. You'll totally collapse.
[1:17:46.920 --> 1:18:03.920]  The film, set to be produced by explosion-obsessed director Michael Bay, who does the Transformers, describes a future where the president has destroyed the American economy, prompting China to call in its debts, making it the de facto owner of the country while many Americans immigrate to China for work.
[1:18:03.920 --> 1:18:10.920]  China has actually produced TV ads years ago saying just this. I mean, this is complete 100% communist dictatorship.
[1:18:10.920 --> 1:18:22.920]  I got a new idea. How about Kim Jong-un? He likes Hollywood. How about he underwrites with maybe some of the slave minds they've got, some of that money, and it can be officially underwritten by starving North Koreans?
[1:18:22.920 --> 1:18:33.920]  This is the same thing. China does stuff just as worse or probably even worse than this. How about that? How about that's a great idea. How about North Korea start underwriting movies?
[1:18:33.920 --> 1:18:44.920]  And in it, Kim Jong-un can star. Kim Jong-un. Kim Jong-un is Optimus Prime. Kim Jong-un, I am here as Optimus Prime to defeat you, Trump.
[1:18:44.920 --> 1:18:52.920]  And then he literally just rips the arms off. Take this, Trump. Take that, Megatron Trump. See, it's perfect.
[1:18:52.920 --> 1:19:00.920]  Just have some laser beams and shuba-blaboo for whatever his name is, running around ducking and battling the evil Americans.
[1:19:00.920 --> 1:19:07.920]  Man, this shows you how close the country was to being completely gone. They were going ahead with the Chinese takeover of our media and our culture.
[1:19:07.920 --> 1:19:22.920]  Not parachutes coming down like Red Dawn, but cultural. Universal Pictures recently picked up the rights to the movie after a heated bidding war with several producers reports the Hollywood reporter.
[1:19:22.920 --> 1:19:30.920]  The plot of the movie follows a former American force recon member whose house see our special forces join with the Chinese.
[1:19:30.920 --> 1:19:37.920]  Oh, you can't take this up. The plot of the movie. The plot. Skip the break. I have to do this. This is too funny.
[1:19:37.920 --> 1:19:42.920]  I'm going to get serious right now. I'm going to go to your calls. I'm going to do. I'm actually going to read this in the voice of Optimus Prime.
[1:19:42.920 --> 1:19:54.920]  The plot of the movie follows a former American force recon Marine who was hired by the Chinese billionaire to infiltrate an American ghetto and rescue his daughter.
[1:19:54.920 --> 1:20:01.920]  See, it's okay that he works with the Chinese because he's rescuing his daughter. See, in creating a race war.
[1:20:01.920 --> 1:20:10.920]  I can't believe this is even allowed to go on. This is foreign outside propaganda. I know the Russians aren't.
[1:20:10.920 --> 1:20:18.920]  The tone of the movie is said to be similar to the 1981 John Carpenter film escaped from New York, starring Kurt Russell.
[1:20:18.920 --> 1:20:28.920]  We got to come back into the next break with that music. These efforts to portray Trump as a weak leader responsible for America's downfall is no coincidence.
[1:20:28.920 --> 1:20:43.920]  Neither is the portrayal of China as the real controller of America. Just a few months ago, China bought all six Hollywood studios and unprecedented buy up a movie meant to repurpose Hollywood films to serve China's agenda.
