[00:00.000 --> 00:19.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN radio network.
[32:31.000 --> 32:34.000]  exclusively available at InfoWarsLife.com.
[32:34.000 --> 32:39.000]  Now InfoWarsLife.com has taken colloidal silver to the next level using a cutting edge technique
[32:39.000 --> 32:41.000]  that is free of toxic artificial additives.
[32:41.000 --> 32:46.000]  Now more than ever it's important to stock up on high quality silver bullet from InfoWarsLife.com
[32:46.000 --> 32:51.000]  and to help others during Christmas by teaching them about the powerful benefits of silver.
[32:51.000 --> 32:54.000]  Secure your silver bullet today at InfoWarsLife.com.
[32:54.000 --> 33:12.000]  Or by calling toll-free 888-253-3139.
[33:25.000 --> 33:30.000]  You want to stop tyranny? Well, so does he.
[33:30.000 --> 33:36.000]  Live from the InfoWars.com studios, it's Alex Jones.
[33:36.000 --> 33:40.000]  Welcome back to the Alex Jones Show. I'm David Knight, your host today.
[33:40.000 --> 33:42.000]  Now I gave out the number earlier.
[33:42.000 --> 33:50.000]  I really wanted people who were going to give us solutions that they see for the executive emperor that we have now.
[33:50.000 --> 33:54.000]  How do we stop rule by executive fiat?
[33:54.000 --> 33:59.000]  How do we stop the end around of the elected Congress?
[33:59.000 --> 34:03.000]  I think part of it is that the Congress doesn't really want to be a part of the process.
[34:03.000 --> 34:05.000]  I think they're just happy on their power trip.
[34:05.000 --> 34:08.000]  But I want to get your comments to see where you think this needs to be stopped.
[34:08.000 --> 34:09.000]  I've got some ideas.
[34:09.000 --> 34:14.000]  If you've got some ideas about that, call us at 877-789-2539.
[34:14.000 --> 34:18.000]  That's a Sunday number. That's 877-789-Alex.
[34:18.000 --> 34:23.000]  Now, I didn't make that clear perhaps for some of the earlier callers, so we'll still take the calls on that.
[34:23.000 --> 34:31.000]  But primarily, I want to get people who are interested or have a solution, a reaction, a comment on what Obama has done with immigration.
[34:31.000 --> 34:33.000]  Because, you know, it's not going to stop there.
[34:33.000 --> 34:36.000]  We just had secret executive orders about Afghanistan.
[34:36.000 --> 34:39.000]  He's heating that up. He's increasing the rules of engagement there.
[34:39.000 --> 34:42.000]  At the same time, he's telling people that they're shutting down the war in Afghanistan.
[34:42.000 --> 34:49.000]  And, of course, he's also said right after the election that he was going to move forward with his agenda on climate change.
[34:49.000 --> 34:54.000]  And, of course, that means taxing all of our energy, shutting down our power plants.
[34:54.000 --> 35:02.000]  That's what he's going to do in response to global warming, even as we see record low temperatures throughout the nation.
[35:02.000 --> 35:11.000]  And, of course, we have seen globally that the temperatures have not risen according to their models that say that it was dependent on a rise in CO2.
[35:11.000 --> 35:16.000]  We've seen a rise in CO2. We've not seen the corresponding increase in temperatures that they predicted.
[35:16.000 --> 35:22.000]  Nevertheless, Obama is cutting deals without the U.S. Congress with China.
[35:22.000 --> 35:25.000]  He was just there about a week and a half ago.
[35:25.000 --> 35:31.000]  The agreement there was that we're going to cut by 25% our CO2.
[35:31.000 --> 35:33.000]  They're going to be within 11 years.
[35:33.000 --> 35:39.000]  They're going to be allowed to continue to expand and then cut after 16 years wherever they are.
[35:39.000 --> 35:43.000]  It's going to be capped. It's not going to be cut. They don't get any cuts.
[35:43.000 --> 35:50.000]  They get a cap after 16 years. We get a 25%. 25% decrease over 11 years.
[35:50.000 --> 35:51.000]  That's the deal.
[35:51.000 --> 35:59.000]  Now, if it's a global warming concern, then why doesn't Chinese CO2 gas matter?
[35:59.000 --> 36:01.000]  Why doesn't Chinese pollution matter?
[36:01.000 --> 36:09.000]  Well, the simple fact of the matter is that climate change is merely a beard for them to control our energy usage.
[36:09.000 --> 36:11.000]  So we're going to see it not only there.
[36:11.000 --> 36:17.000]  We also see it in the immunity executive order that he granted to corporations who are going to bring back Ebola.
[36:17.000 --> 36:23.000]  We see it with the open immigration for people coming from Ebola countries allowed to come in, allowed to stay.
[36:23.000 --> 36:27.000]  Even to the extent we had this article that came out the end of last week,
[36:27.000 --> 36:37.000]  new rules from DHS, Department of Homeland Security, drunk drivers, sex abusers, drug dealers, gun offenders are not a top deportation priority.
[36:37.000 --> 36:41.000]  Who are they going to send back?
[36:41.000 --> 36:43.000]  There's not people who threaten Americans.
[36:43.000 --> 36:50.000]  No, they're only really concerned about people who, listen to this, who pose a danger to national security.
[36:50.000 --> 36:51.000]  That's right.
[36:51.000 --> 36:59.000]  The one thing they don't want is somebody coming here and actually criticizing the government, opposing the government,
[36:59.000 --> 37:02.000]  because that would be a danger to national security.
[37:02.000 --> 37:10.000]  Whenever you hear this, that it's going to be a danger to national security, look at this story that's up on Infowars.com today.
[37:10.000 --> 37:16.000]  In Great Britain, protecting pedophile politicians is a matter of, quote, national security.
[37:16.000 --> 37:27.000]  Subtitle is those with the sickest minds understand that they can most easily get away with their deeds if they are protected by an aura of power and ostensible respectability.
[37:27.000 --> 37:35.000]  But that's how they justify every infringement upon us is in the name of national security.
[37:35.000 --> 37:41.000]  I'm going to go to your calls, but before I do this half hour of the Alex Jones show, it's brought to you by Silver Bullet.
[37:41.000 --> 37:48.000]  We now have it back, although it's in limited supply, and once we're out of it, it's going to take at least six more weeks to get it in.
[37:48.000 --> 37:54.000]  Why? Because in these concentrations, it's very difficult, long time consuming to make.
[37:54.000 --> 38:00.000]  We have concentrations of 30 parts per million in a pure base of deionized water.
[38:00.000 --> 38:02.000]  It's free of toxic artificial additives.
[38:02.000 --> 38:09.000]  There has never been a more important time to have a powerful and clean form of colloidal silver within your reach for you and for your family.
[38:09.000 --> 38:17.000]  Go to infowarslife.com to order your Silver Bullet now or call 888-253-3139.
[38:17.000 --> 38:21.000]  That's 888-253-3139.
[38:21.000 --> 38:24.000]  Let's go to Fred in Michigan.
[38:24.000 --> 38:27.000]  Fred, you had a comment about elite interest groups.
[38:27.000 --> 38:29.000]  Go ahead.
[38:29.000 --> 38:39.000]  Yeah, okay, so, David, you may recall John Swinton's adept name ring about John Swinton.
[38:39.000 --> 38:41.000]  John what?
[38:41.000 --> 38:43.000]  Swinton. S-W-I-N-T-1.
[38:43.000 --> 38:46.000]  Swinton, know that name doesn't ring about. Tell us.
[38:46.000 --> 38:48.000]  Okay.
[38:48.000 --> 38:56.000]  John Swinton was known as the dean of his profession in 1880, believe it or not.
[38:56.000 --> 39:03.000]  He was retiring from the New York press as a journalist.
[39:03.000 --> 39:10.000]  And so they gave him a retirement dinner.
[39:10.000 --> 39:16.000]  And here's one of the things that he says, we are the tools and baffles of rich men behind the scenes.
[39:16.000 --> 39:19.000]  We are the jumping jacks. They pull the strings. We dance.
[39:19.000 --> 39:26.000]  Our talents, our possibilities, our very lives are all the property of the financial entities.
[39:26.000 --> 39:28.000]  We are intellectual prostitutes.
[39:28.000 --> 39:30.000]  Okay, so...
[39:30.000 --> 39:32.000]  Yeah, it's been around quite a long time, hasn't it?
[39:32.000 --> 39:37.000]  And of course we carry a very good book, Carol Quigley's book that we have here at InfoWars.com,
[39:37.000 --> 39:39.000]  really does lay out their plans.
[39:39.000 --> 39:40.000]  It's not like they've kept it a secret.
[39:40.000 --> 39:43.000]  It's just that people can't believe they would actually do it.
[39:43.000 --> 39:49.000]  Just like you look at this headline, you can't actually believe that you would have the British government
[39:49.000 --> 39:53.000]  covering up for pedophiles in Westminster.
[39:53.000 --> 39:57.000]  People just can't imagine that there would be people that would actually do that.
[39:57.000 --> 40:02.000]  And yet at the same time, they actually had a group there that was lobbying for pedophilia,
[40:02.000 --> 40:07.000]  trying to reduce the age of consent to four years old.
[40:07.000 --> 40:09.000]  You just can't understand it.
[40:09.000 --> 40:11.000]  A normal person doesn't understand these things.
[40:11.000 --> 40:15.000]  And just like you're talking about the global elite, they've been laying this out for a very long time.
[40:15.000 --> 40:19.000]  But people are reluctant to believe that that's really what they plan on doing.
[40:19.000 --> 40:21.000]  We won't take them at their word, will we?
[40:21.000 --> 40:28.000]  What we have to do, David, and everybody in the audience, we have to really focus on the fact that
[40:28.000 --> 40:34.000]  there's a fellow Britisher by the name of David Merlin.
[40:34.000 --> 40:41.000]  Take from Caesar.us, this is someone Paul or Joseph Watson I'll interview, David Merlin.
[40:41.000 --> 40:43.000]  Take from Caesar.us.
[40:43.000 --> 40:54.000]  We have to learn how to legally lawfully stop funding the corrupt federal central government.
[40:54.000 --> 41:00.000]  And let's not forget Ralph Nader and remember Fritz Holland, U.S. Senator.
[41:00.000 --> 41:04.000]  He's from North Carolina.
[41:04.000 --> 41:14.000]  What they said in 2004 was that the United States government authorized the war on Iraq to secure the interest of Israel.
[41:14.000 --> 41:22.000]  And they said that Israel's APEC and other, primarily APEC, and by the way, the same year 2004,
[41:22.000 --> 41:30.000]  the FBI concluded a long-term investigation that APEC is a 64,000-member backed...
[41:30.000 --> 41:35.000]  I agree. I want to get people's reaction primarily to the Obama regime.
[41:35.000 --> 41:37.000]  I agree with what you're saying.
[41:37.000 --> 41:43.000]  And we have a situation where if a president can go to war whenever they feel like it without Congress, without the will of the people,
[41:43.000 --> 41:50.000]  that was established essentially because the passivity of the Congress, now we're establishing that they can make all kinds of
[41:50.000 --> 41:52.000]  massive changes to our society.
[41:52.000 --> 41:57.000]  It's essentially, thanks for calling, we're going to move on to Pistoff America next,
[41:57.000 --> 42:02.000]  but I want to see if any of you out there have an idea of how we stop this,
[42:02.000 --> 42:05.000]  because you know the Republicans have just gone home.
[42:05.000 --> 42:08.000]  They have a lot of rhetoric. They've said a lot of things.
[42:08.000 --> 42:12.000]  They even say this is an impeachable offense, as we heard Pat Buchanan say, and then say,
[42:12.000 --> 42:14.000]  but we shouldn't impeach him. Why?
[42:14.000 --> 42:19.000]  Because it's in their political interest not to make an issue out of it.
[42:19.000 --> 42:25.000]  We think they're going to get political pushback from people because they tried once and failed with Bill Clinton to impeach him,
[42:25.000 --> 42:27.000]  so they're reluctant to do that again.
[42:27.000 --> 42:34.000]  And yet, if we allow this to be established as a precedent, it's going to take down our entire society.
[42:34.000 --> 42:42.000]  The economy is going to go down with just this action, let alone his executive actions on climate change.
[42:42.000 --> 43:00.000]  Stay with us. We're going to be right back.
[43:00.000 --> 43:11.000]  The average person's life is filled with unexpected challenges. Unlock the energy it takes to defeat these daily beasts with super male or super female vitality,
[43:11.000 --> 43:20.000]  specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[43:20.000 --> 43:30.000]  Supercharge and conquer your world at enforcelife.com or call 188-253-3139.
[43:51.000 --> 44:05.000]  Another major health threat. This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[44:05.000 --> 44:08.000]  Ohio's governor declaring a state of emergency.
[44:08.000 --> 44:15.000]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[44:15.000 --> 44:25.000]  If there's a water emergency, will you be prepared?
[44:25.000 --> 44:35.000]  To stay safe and healthy during a crisis, you must have access to safe, clean water, water which will not be available at your local grocery store.
[44:35.000 --> 44:38.000]  There's a mad dash on right now to stock up on supplies.
[44:38.000 --> 44:46.000]  The Pro Pure Pro 1 G2.0 water filtration system is a must-have for every modern, independently-minded household.
[44:46.000 --> 44:49.000]  Protect your family's safety during an emergency.
[44:49.000 --> 45:09.000]  Go to infowarstore.com today to purchase your Pro Pure Pro 1 G2.0 water filtration system or call 188-253-3139.
[45:19.000 --> 45:28.000]  Infowarslife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[45:28.000 --> 45:39.000]  Secret 12 is a binary of nutrimental grade, bioavailable, coenzyme forms of B12, methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[45:39.000 --> 45:43.000]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[45:43.000 --> 45:45.000]  No needles, no injections.
[45:45.000 --> 45:50.000]  Don't take my word for it. Try it for yourself. Discover the secret. Secret 12.
[45:50.000 --> 46:17.000]  Secure your revolutionary Secret 12 formula right now at infowarslife.com or call 888-533-139.
[46:17.000 --> 46:23.000]  Secret 12.
[46:23.000 --> 46:41.000]  Whether it's survival shield, nascent iodine, or DNA force, super male vitality, super female vitality, lung cleanse, fluoride shields, oxy powder, I believe that all of these products will blow you away like they've done the thousands of other customers that have visited infowarslife.com.
[46:41.000 --> 46:48.000]  Secret 12.
[46:48.000 --> 47:13.000]  Secret 12.
[47:13.000 --> 47:29.000]  If you are receiving this transmission, you are the resistance.
[47:29.000 --> 47:35.000]  Live from the infowars.com studios, it's Alex Jones.
[47:35.000 --> 47:43.000]  Welcome back to the Alex Jones Show. I'm David Knight and I'm going to be taking your calls in just a moment. We have an article up on infowars.
[47:43.000 --> 47:52.000]  Obama says voters are going to want a new car smell in 2016. I guess he says that as part of his comments about Hillary Clinton.
[47:52.000 --> 48:00.000]  He's been president for six years and he's got a lot of mileage on his administration and a few dings.
[48:00.000 --> 48:10.000]  It's more than that we're just tired of him. This is what Landrieu, the lady who is a Senate candidate in Louisiana, was saying.
[48:10.000 --> 48:19.000]  She said, people just don't like women in blacks. That's why I'm doing so poorly in the polls. That's why Obama is doing so poorly on the polls.
[48:19.000 --> 48:27.000]  Obama got elected twice. Landrieu got elected three times. We're not simply tired of Obama. We're tired of what he's doing.
[48:27.000 --> 48:31.000]  He wants to take this car analogy. We've got a few dings on the car.
[48:31.000 --> 48:38.000]  We've had a whole succession of people take our classic car, the Constitution, the American form of government.
[48:38.000 --> 48:45.000]  It's like a classic car and they've repeatedly wrecked it. Now we've just been rear-ended by a drunk illegal alien.
[48:45.000 --> 48:51.000]  We've let a skunk loose inside of it and sprayed all over the interior. That's what the real analogy is here with this.
[48:51.000 --> 48:58.000]  We're going to put Hillary behind the wheel. I guess it was her husband that was driving the car around and picking up chicks.
[48:58.000 --> 49:03.000]  I don't know. I don't think that that's going to happen, but we'll have to see.
[49:03.000 --> 49:10.000]  Quite frankly, what are we going to do with Republicans? They're content to complain about this and not do anything.
[49:10.000 --> 49:16.000]  If they don't have any ideas about how they're going to do their job, if they don't understand what it means to be a congressman,
[49:16.000 --> 49:22.000]  if they don't understand that it's Congress that passes the law and if another branch of government takes that over,
[49:22.000 --> 49:31.000]  acts unilaterally, acts illegally, acts imperially, that they can't get the will to impeach that president,
[49:31.000 --> 49:37.000]  they don't need to be in Congress. What are we going to do? Are we going to bring this back at the state level?
[49:37.000 --> 49:41.000]  I want to get your calls on that. I'll take your calls at 877. This is a Sunday number.
[49:41.000 --> 49:48.000]  877. 789. 2539. That's 877. 789. Alex. I want to go to some of the callers that are here.
[49:48.000 --> 49:55.000]  Of course, I didn't make it clear at the very beginning that I just wanted calls about the new Obama laws that we're getting,
[49:55.000 --> 50:02.000]  one after the other, with executive orders. Let's go to Pistoff American. Go ahead. What are your comments?
[50:02.000 --> 50:16.000]  Well, since I slid under the fence with that, I'll move quickly and then go to... As far as Ferguson goes, Al Jackson is...
[50:16.000 --> 50:20.000]  Al Jackson, Al Sharpton is supposedly... What kind of a saying?
[50:20.000 --> 50:28.000]  Yeah, 89 cities and according to Daily Mail and examiners got him at 25.
[50:28.000 --> 50:36.000]  Now, in the video, it appears that he paid for his Swisher's Sweets, but the ones he handed off to his boy, he didn't.
[50:36.000 --> 50:40.000]  So that would knock out that felony as far as him being a strong armed robber.
[50:40.000 --> 50:46.000]  And it kind of would fall the narrative that, you know, they're trying to race bait this and make it into a situation.
[50:46.000 --> 50:52.000]  Yes. Yeah, that's the shame. And of course, we're going to have our reporters joining us in the second hour,
[50:52.000 --> 50:58.000]  the bottom of the second hour from Ferguson, Missouri, as we're awaiting the verdict of the grand jury there.
[50:58.000 --> 51:03.000]  That's the sad thing about this, as Paul Joseph Watson was saying when he co-hosted at the end of the week,
[51:03.000 --> 51:09.000]  they always go into the ambiguous situations and they let this narrative at Ferguson go for quite some time
[51:09.000 --> 51:13.000]  before they put out any exculpatory evidence that would clear the officer there.
[51:13.000 --> 51:17.000]  It's as if they were trying to build up tension between the community and the police.
[51:17.000 --> 51:23.000]  And then, of course, you've got Al Sharpton and Jesse Jackson come in to divide the population between white and black.
[51:23.000 --> 51:31.000]  We really do need to do something about the rules of engagement of the police, about the excessive force, which is becoming an epidemic.
[51:31.000 --> 51:36.000]  Everybody is beginning to notice this. It is not something that just affects the black community.
[51:36.000 --> 51:39.000]  They're affected in a disproportionate amount, but we need to have that discussion.
[51:39.000 --> 51:43.000]  We need to do something about it. We need to get control of the police.
[51:43.000 --> 51:48.000]  Frank Supercoe has come up with some suggestions. Other people have had suggestions about this.
[51:48.000 --> 51:56.000]  And yet, we get caught up into, they move the narrative into white against black or the entire community against the police.
[51:56.000 --> 52:02.000]  That's not going to produce any effective change. Thank you so much. Let's move on to Mark in Texas.
[52:02.000 --> 52:04.000]  Mark, go ahead.
[52:04.000 --> 52:06.000]  How are you doing?
[52:06.000 --> 52:08.000]  I'm fine.
[52:08.000 --> 52:17.000]  My opinion is that the Republicans do not want to roll this thing back and stop Obama.
[52:17.000 --> 52:28.000]  Because during Calhout's to the Chamber of Commerce, to the Wall Street, a lot of cheap labor couldn't care less about the American people.
[52:28.000 --> 52:32.000]  Absolutely. I agree with you thoroughly. Go ahead.
[52:32.000 --> 52:39.000]  But we really need the third party, not a libertarian party, because I don't think a libertarian party is really going to get the majority.
[52:39.000 --> 52:48.000]  I think we need a constitutional populist party that would take the best ideas available to this country and its people.
[52:48.000 --> 52:55.000]  And I think they could roll in to the next election and win by a landslide.
[52:55.000 --> 53:03.000]  Well, you know, the problem is I've worked with third parties and they've really stacked the system against third parties, against independents.
[53:03.000 --> 53:09.000]  Whether it's a libertarian party or whether it's a reform party or whether it's an independent, they make it very difficult, A, to get on the ballot.
[53:09.000 --> 53:15.000]  They make it virtually impossible to get into the debates. Look at what they did in the Republican primaries in just the last election.
[53:15.000 --> 53:25.000]  Of course, in 2008 they kept Ron Paul out of the debates repeatedly. In the last series of primaries leading up to 2012, they had a two-term governor and Gary Johnson.
[53:25.000 --> 53:33.000]  Whether you agree with him or not, the guy was a serious candidate. He had been elected twice in a predominantly Democrat state as Republican.
[53:33.000 --> 53:40.000]  He'd been elected by a larger majority in the second time, and yet they did not allow him in most of the debates.
[53:40.000 --> 53:49.000]  So he eventually just dropped out of the Republican primary and ran as a libertarian, because the libertarian party has had a lot of experience getting on the ballot in the states.
[53:49.000 --> 54:00.000]  They know what the drill is, and they're geared towards that, but they have to expend a tremendous amount of energy and resources to just get on the ballot.
[54:00.000 --> 54:06.000]  Then they're excluded from the debates, and then of course there's the issue that they don't get any coverage in the mainstream media,
[54:06.000 --> 54:12.000]  because the mainstream media is literally making billions now off of the Republicans and the Democrats.
[54:12.000 --> 54:21.000]  So they put these requirements on all the other parties there. I think where the opening is, is really at local levels.
[54:21.000 --> 54:28.000]  I don't think we're going to get anybody, even if we got a great guy, an honest guy, to go do battle in Washington.
[54:28.000 --> 54:36.000]  I think there is a gigantic bureaucracy there. There's a lot of massive inertia to turn that ship of state around.
[54:36.000 --> 54:44.000]  I think we need to block it at all the 50 states. I think we need to start shutting it down from the outside.
[54:44.000 --> 54:50.000]  I don't think it can be changed from the inside in. I don't think we can send a Mr. Smith to Washington to fix everything.
[54:50.000 --> 54:58.000]  It needs to be blocked from the outside. There we got up there on the monitor, John Boehner, exhibit A as to why nothing is going to change,
[54:58.000 --> 55:06.000]  because the GOP leadership has thoroughly been bought off by this. As you pointed out, Mark, it's the US Chamber of Commerce, the big corporations.
[55:06.000 --> 55:16.000]  They want competition on labor at the bottom end. They don't want to see the minimum wage go up. I don't believe that's effective for helping people.
[55:16.000 --> 55:24.000]  I don't think minimum wage ever helps anybody. But what they're doing is they're massively importing labor at the lower end of the market.
[55:24.000 --> 55:31.000]  That's going to be a difficult thing. That's going to increase unemployment for blue collar workers, poor blacks, poor whites.
[55:31.000 --> 55:38.000]  They're going to have a much more difficult time getting work. They're going to have much more competition for labor that's going to depress wages.
[55:38.000 --> 55:47.000]  Those are the people who have been the reliable supporters of the Democrats. And there was an article about emerging Republicans in the rust belt.
[55:47.000 --> 55:53.000]  I think people are starting to wake up and understand that they've been betrayed by the Democrat Party on that issue.
[55:53.000 --> 55:57.000]  But of course, the Republican Party betrays us on so many issues as well.
[55:57.000 --> 56:06.000]  When you look at the fact that they have passed the Keystone Pipeline Bill, nine times Republicans have, if they wanted to do something to constrain Obama, they could.
[56:06.000 --> 56:11.000]  But they won't do it. Let's go on. Thank you, Mark. Let's go on to JP in Minnesota. JP.
[56:11.000 --> 56:16.000]  Hello, JP? Hey, you want to talk about impeachment?
[56:16.000 --> 56:18.000]  Okay. Can you hear me?
[56:18.000 --> 56:20.000]  Yes, I hear you. Go ahead.
[56:20.000 --> 56:22.000]  Okay, great. Thanks, David, for taking my call.
[56:22.000 --> 56:38.000]  You know, I want to talk about impeaching him because you listen to all the media and they keep structuring the debate around the merits of what he's done.
[56:38.000 --> 56:39.000]  Yes.
[56:39.000 --> 56:46.000]  And they're censoring the whole impeachment topic. It's been censored for a long time now.
[56:46.000 --> 56:58.000]  And I mean, you listen to every talking head and it's like they got a talking point. They're basically saying that they'll mention the word impeachment and they'll say that's not even an option.
[56:58.000 --> 57:03.000]  And frankly, I think it's the only option because...
[57:03.000 --> 57:10.000]  I agree. I agree. And we've got something here from the USA Today editorial board. Listen to what they say.
[57:10.000 --> 57:20.000]  They say Obama's wrong way to do the right thing. And that's unusual because, like you said, most of them are just focusing on, hey, it was the right thing, so let's forget about how it was done.
[57:20.000 --> 57:27.000]  At least they have the integrity. I believe it was the wrong thing done in the wrong way, but at least they have the integrity to pose him on the way that it was done.
[57:27.000 --> 57:49.000]  Stay with us. We're going to be taking more of your calls. That's 877-789. Alex will be right back.
[57:49.000 --> 58:00.000]  The average person's life is filled with unexpected challenges. Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[58:00.000 --> 58:10.000]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[58:10.000 --> 58:19.000]  Supercharge and conquer your world at EnforceLife.com or call 188-253-3139.
[58:40.000 --> 58:58.000]  The experts are clear. Sunlight, purified water, healthy non-GMO food, and having a good attitude is essential to a healthy immune system.
[58:58.000 --> 59:12.000]  I go further with Super nascent iodine X2 from EnforceLife.com. 50% stronger than our original and revolutionary nascent iodine formula, coming from a deep earth crystal source that no other supplier has.
[59:12.000 --> 59:25.000]  Most other forms of iodine come from seaweed in areas plagued by Fukushima and other contaminants. Not our iodine, it comes from over 200 million year old crystal salt deposits and is tested and proven to be completely pure.
[59:25.000 --> 59:40.000]  Visit EnforceLife.com today, see the informational videos, read the information they're compiled, and for a limited time when you use promo code NOW at checkout you get an additional 5% off the entire family of EnforceLife.com products.
[59:40.000 --> 59:52.000]  Secure your survival shield X2 today at EnforceLife.com or call toll-free 888-253-3139.
[59:52.000 --> 01:00:00.000]  You're listening to the Alex Jones Show.
[01:00:00.000 --> 01:00:13.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues. It's Alex Jones and the GCN Radio Network.
[01:00:13.000 --> 01:00:26.000]  Welcome back to the Alex Jones Show. I'm David Knight. I'm taking your calls, your reactions to our new Obama law and apparently the new way that we're going to do business in Washington because the Republicans are not doing anything about it.
[01:00:26.000 --> 01:00:36.000]  I apologize to JP in Minnesota. I was going to have him make some more comments. I kind of cut him off and started going to this USA Today article. Let me continue on with that.
[01:00:36.000 --> 01:00:44.000]  We're unable to get ahold of him, but it was the editorial board of USA Today that said Obama's wrong way to do the right thing in their view.
[01:00:44.000 --> 01:00:54.000]  I don't think it was the right thing to do. I think we've tried this before. I think that the Simpson-Mazzoli Act that was passed in 1986 merely incentivized more illegal immigration.
[01:00:54.000 --> 01:01:07.000]  This is already incentivizing more illegal immigration, but this is what they said. They said this is the editorial board of USA Today different from most of the mainstream media, and they say his plan amounts to executive overreach.
[01:01:07.000 --> 01:01:16.000]  Yes, absolutely. By taking such broad action through executive order, USA Today's editorial board says Obama has set a precedent for future presidents.
[01:01:16.000 --> 01:01:30.000]  As hard as it might be for Democrats to believe, someday there will be a Republican president. As I mentioned earlier, think about the many times that Ronald Reagan sent a bill to the House, and he said they pronounced it dead on arrival.
[01:01:30.000 --> 01:01:41.000]  Should he have just said, well, hey, I've sent this thing over to Tip O'Neill 15 times. It's been six months, and he hasn't signed it, so I'm just going to go around Congress. I'm going to do whatever I want.
[01:01:41.000 --> 01:01:50.000]  I'm going to sign an executive order. I'm going to rule by fiat. That's essentially the argument that Obama has put in. They point out more than a dozen times earlier in his presidency.
[01:01:50.000 --> 01:01:57.000]  Actually, Rand Paul said it was 22 times, according to his count. He told those who are pushing for such an order that he couldn't possibly sign one.
[01:01:57.000 --> 01:02:07.000]  He went before La Raza, the racist Hispanic group, and said, believe me, the idea of doing things on my own is very tempting, I promise you, not just on immigration reform.
[01:02:07.000 --> 01:02:16.000]  Yeah, that's right. It's not going to stop there. But that's not how our system works, said Obama. That's not how our democracy functions, says Obama.
[01:02:16.000 --> 01:02:27.000]  That's not how our Constitution is written. And they go on to say that going forward, if Democrats want to have their way on immigration issues, they should win more congressional elections.
[01:02:27.000 --> 01:02:37.000]  Well, evidently, they don't need to, because they can just bypass Congress and do whatever they want to with somebody in the White House who has their agenda.
[01:02:37.000 --> 01:02:42.000]  Let's go to Truth Raider in Oregon. Truth Raider, your comments.
[01:02:42.000 --> 01:02:46.000]  Good afternoon, Mr. David. Good to talk to you again. How are you doing today?
[01:02:46.000 --> 01:02:49.000]  Good talk to you. What did you want to say about immigration?
[01:02:49.000 --> 01:03:01.000]  Well, let me put this in a nutshell, David. The Truth Raider only goes by facts and figures that I can prove. This has been planned a long time ago in their agenda.
[01:03:01.000 --> 01:03:09.000]  This goes back to the Council of Churches, the Jesuit order. It goes through all the corporations, and this is what's going on.
[01:03:09.000 --> 01:03:24.000]  Those people in power and in those positions are very upset with the traditional American people who worked all their lives, been successful, and made money in this country, and have built this country, have gotten fed up, and they're leaving the sinking ship.
[01:03:24.000 --> 01:03:31.000]  What's going on is they're panicking. Be it the Federal Reserve system is the heart of it.
[01:03:31.000 --> 01:03:45.000]  Yeah, I think we need to audit the Fed. I think that's a very clear point, and I think that is at the heart of it, is the Federal Reserve system. It's very interesting that our fiat currency, one of the things that really holds that up, has been the petrodollar.
[01:03:45.000 --> 01:03:58.000]  And that essentially was put in place at the same time it took us off of a gold standard, but now we see that Russia and China are trading settlements in Yen, and that has gone up 800% in just a year.
[01:03:58.000 --> 01:04:07.000]  This is a story out of RT, and they said that Putin has come out and said that ruble yen settlements will cut energy sales in U.S. dollars.
[01:04:07.000 --> 01:04:18.000]  In other words, it's a way to move America down out of the lifestyle that has been supported by our fiat currency that doesn't have anything essentially backing it.
[01:04:18.000 --> 01:04:28.000]  Once they switch, as they point out, settlements in domestic currencies in those countries, they can largely contribute to balancing the global economy by reducing the impact of the dollar.
[01:04:28.000 --> 01:04:38.000]  In other words, by reducing your purchasing power if you're an American. That's one of the many ways that we are going to suffer under these economic policies.
[01:04:38.000 --> 01:04:49.000]  And of course, this massive immigration move is one way to take down our country economically. It's going to mean that we are never going to get away from crushing unfunded liabilities.
[01:04:49.000 --> 01:04:58.000]  Stay with us. We're going to be right back with more of your calls. 877-789-ALIX.
[01:04:58.000 --> 01:05:10.000]  When you're out on the road, the last place you want to be is on the road. But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:05:10.000 --> 01:05:32.000]  There's a place down in Tennessee where they make blue diamond gusset jeans. They so pride in every stitch, guarantee you love the way they fit. They put a diamond gusset in the crotch where you need it most.
[01:05:32.000 --> 01:05:59.000]  Blue diamond gussets got it, others don't.
[01:06:02.000 --> 01:06:11.000]  When you grab that mask with your face, you go, let's go.
[01:06:11.000 --> 01:06:13.000]  One more voice and let's go.
[01:06:13.000 --> 01:06:15.000]  What's good for you?
[01:06:15.000 --> 01:06:18.000]  K. L. N. Los Angeles.
[01:06:18.000 --> 01:06:23.000]  Clone radio. We play the songs that sound more like everyone else than anyone else.
