[00:00:02.867 --> 00:00:03.467]  I'm David Knight.
[00:23:13.157 --> 00:23:14.579]  Does that make somebody dangerous?
[00:23:14.579 --> 00:23:15.619]  And of course, Hillary Clinton.
[00:23:16.420 --> 00:23:17.400]  Supported that war.
[00:23:17.400 --> 00:23:18.301]  Voted for that war.
[00:23:18.301 --> 00:23:20.862]  Pushed us into that war.
[00:23:20.862 --> 00:23:23.783]  Donald Trump, at first, when they asked him about it, he goes, well, yeah, I guess so.
[00:23:23.783 --> 00:23:26.785]  But then, within six months, he said, you know, this isn't a good idea.
[00:23:26.785 --> 00:23:31.527]  And people realized very quickly that we'd been lied to, but they kept it going.
[00:23:31.527 --> 00:23:38.550]  The whole idea that Wolfowitz and these other dangerous neocons are pushing is this idea of nation building.
[00:23:38.550 --> 00:23:44.653]  But of course, in order to build a nation like they would like to have, they have to first destroy a nation.
[00:23:45.523 --> 00:23:46.685]  That's the problem.
[00:23:46.685 --> 00:23:48.529]  One of the many problems with their nation building.
[00:23:48.529 --> 00:23:56.464]  And you know, after you go in and destroy somebody's country, they're not usually too receptive to your suggestions about how you ought to rebuild it.
[00:23:57.318 --> 00:24:00.259]  And that's going to work that way here in America as well.
[00:24:00.259 --> 00:24:02.200]  We see what you're doing here in America.
[00:24:02.200 --> 00:24:03.501]  We really do.
[00:24:03.501 --> 00:24:09.283]  I want to say to the globalist, elitist, and both parties, we really do understand your plan for destruction.
[00:24:09.283 --> 00:24:12.245]  And we're not going to let you do it, if we can stop that.
[00:24:12.245 --> 00:24:17.867]  But if you do it, we're not going to be very receptive to your plans on how you want to rebuild it either.
[00:24:17.867 --> 00:24:19.148]  That's the key thing.
[00:24:19.148 --> 00:24:21.969]  Wolfowitz says, well, you know, it's complicated for me to come out against Trump.
[00:24:22.708 --> 00:24:27.231]  But you know, Trump says that our policies are responsible for the mess that we've got in Iraq.
[00:24:27.231 --> 00:24:29.372]  And it's like, yeah, that's right.
[00:24:29.372 --> 00:24:38.317]  And it's that speaking truth to power that Donald Trump has done that has endeared him to so many people, criticizing their insane nation-building policies.
[00:24:38.317 --> 00:24:39.197]  And you know what?
[00:24:39.197 --> 00:24:49.663]  When I see the Republican elitists saying, I'm with her, especially people like Paul Wolfowitz, it sounds more and more like I'm with war.
[00:24:49.663 --> 00:24:50.283]  Because you know what?
[00:24:50.283 --> 00:24:50.844]  They really are.
[00:24:51.704 --> 00:24:56.767]  And this is also an amazing article that Drudge had up today from the New York Post.
[00:24:56.767 --> 00:25:04.731]  Puma Abedin's mom has been linked to some shocking anti-women statements as well as an anti-woman book.
[00:25:04.731 --> 00:25:06.111]  Who would have thought?
[00:25:06.111 --> 00:25:06.712]  Who would have thought?
[00:25:07.728 --> 00:25:19.619]  This lady who has been involved with the Muslim Brotherhood, who has been involved with so many different organizations, to push Sharia law, and of course her daughter is the person who is closest to Hillary Clinton.
[00:25:19.619 --> 00:25:21.741]  We'll just leave it at that, okay?
[00:25:21.741 --> 00:25:32.451]  We won't probe the full depths of their relationship here, but certainly she is a, let's call it, close assistant to Hillary Clinton, and yet these people, Hillary Clinton,
[00:25:32.571 --> 00:25:47.385]  She's basing her entire campaign on the fact that she's a woman, that this would be a step forward for women, and yet she has these people pushing Sharia law, which is the most anti-feminist thing you can find on the planet, okay?
[00:25:47.385 --> 00:25:54.893]  She's got people like the Sharia lawyer who criticized Donald Trump, that she chose to speak before she accepted the nomination.
[00:25:55.854 --> 00:26:08.908]  One of the reasons, of course, she didn't want to be upstaged by anybody like the President or the Vice President, so she made sure that there weren't any big-time politicians speaking on the night that she took her nomination, because she really isn't that good a speaker.
[00:26:08.908 --> 00:26:10.469]  She really doesn't think on her feet.
[00:26:10.469 --> 00:26:13.693]  She doesn't want to take questions from the press, as pointed out.
[00:26:13.693 --> 00:26:18.238]  268 days and counting since Hillary Clinton took any questions from the press, but
[00:26:19.577 --> 00:26:32.288]  As the New York Post points out, while she was Secretary of State, she went to Saudi Arabia, to an Islamic girls school, here in this Wahhabist state that we support.
[00:26:32.288 --> 00:26:36.132]  And you know, we talk about ISIS and the caliphate that they want to set up.
[00:26:36.132 --> 00:26:42.898]  Remember, when we talk about this, that Saudi Arabia has executed more people than ISIS has.
[00:26:44.059 --> 00:26:44.399]  Okay?
[00:26:44.399 --> 00:26:48.082]  And they continue to do it at a higher rate in terms of beheadings and so forth.
[00:26:48.082 --> 00:26:49.583]  And why do they do this?
[00:26:49.583 --> 00:26:49.843]  Okay?
[00:26:49.843 --> 00:26:52.524]  They've got lashings and stonings for adulterous women.
[00:26:52.524 --> 00:26:56.367]  That's what Huma's mother was promoting in these books.
[00:26:56.367 --> 00:26:58.368]  Even the circumcision of girls.
[00:26:58.368 --> 00:26:58.948]  Okay?
[00:26:58.948 --> 00:27:05.232]  This is what her mother is promoting in both the magazine that they had as well as the books that she's promoting.
[00:27:05.232 --> 00:27:10.296]  And of course the Sharia lawyer who had a son who was killed in Iraq
[00:27:11.175 --> 00:27:20.083]  This is a guy who himself has talked about many Sharia books and how this is the path to justice and human rights.
[00:27:20.083 --> 00:27:23.186]  Nothing could be further from the truth.
[00:27:23.186 --> 00:27:32.695]  In 1999, Huma's mother, Saleha, translated and edited a book titled, Women in Islam, A Discourse in Rights and Obligations.
[00:27:32.695 --> 00:27:33.196]  No, actually...
[00:27:34.877 --> 00:27:40.199]  You don't even have the right in Saudi Arabia, where she's teaching, as a woman, you don't even have a right to drive a car.
[00:27:40.199 --> 00:27:52.164]  So they have this, and we've reported on this multiple times, they have a park that opens up just to women, one night of the week, where they can go in, dress normally, without the burqas and that sort of thing, and drive.
[00:27:52.884 --> 00:27:54.084]  Bumper cars.
[00:27:54.084 --> 00:27:55.185]  Not real cars.
[00:27:55.185 --> 00:27:56.405]  Bumper cars.
[00:27:56.405 --> 00:27:56.665]  Okay?
[00:27:56.665 --> 00:27:58.606]  And they can eat whatever they want.
[00:27:58.606 --> 00:28:02.647]  They can take a look at movies because there's no men allowed that night.
[00:28:02.647 --> 00:28:02.907]  Okay?
[00:28:02.907 --> 00:28:05.928]  That's how repressive this institution is.
[00:28:05.928 --> 00:28:07.528]  And yet, listen to what Hillary did.
[00:28:07.528 --> 00:28:07.748]  Okay?
[00:28:07.748 --> 00:28:12.690]  This is Huma's mother translating for everybody so that we get the gist of it.
[00:28:12.690 --> 00:28:13.230]  Yeah, there you go.
[00:28:13.230 --> 00:28:16.351]  There's the picture of them in the bumper cars and their burkas.
[00:28:16.351 --> 00:28:17.551]  The burka pumpers.
[00:28:17.551 --> 00:28:18.571]  Okay?
[00:28:18.571 --> 00:28:19.832]  But she publishes this book
[00:28:20.672 --> 00:28:38.625]  and edits it, and the book explains how the stoning and lashing of adulterers, the killing of apostates, sexual submissiveness to their husbands, and even female genital mutilation are all permissible practices under Sharia law and actually they advocate that, okay?
[00:28:38.625 --> 00:28:40.487]  And Clinton, after this is published,
[00:28:41.047 --> 00:28:47.575]  ...goes to Saudi Arabia in 2010 and says, Americans have to stop stereotyping Saudi women as oppressed.
[00:28:47.575 --> 00:28:51.679]  And don't assume all American women go to the beach in a bikini.
[00:28:51.679 --> 00:28:53.702]  That's Hillary Clinton's phrase right there.
[00:28:53.702 --> 00:28:54.222]  We'll stay with us.
[00:28:54.222 --> 00:28:54.663]  We'll be right back.
[00:29:01.266 --> 00:29:06.353]  Bill Clinton rape accuser Juanita Broderick has said that she now fears for her life.
[00:29:06.353 --> 00:29:09.337]  But what does Juanita Broderick have to be concerned about?
[00:29:09.337 --> 00:29:12.121]  It's not like there's a body count behind the Clintons.
[00:29:12.121 --> 00:29:15.125]  No one has ever turned up dead after dealing with the Clintons.
[00:29:15.125 --> 00:29:17.348]  Paula Grover, Jerry Parks, Barry Seal.
[00:29:17.728 --> 00:29:22.471]  Never ever has anyone died after calling out the Clintons for scandalous behavior.
[00:29:22.471 --> 00:29:23.471]  James McDougal?
[00:29:23.471 --> 00:29:29.095]  There haven't been women in the past turn up dead who were accusing Bill Clinton of sexual misconduct?
[00:29:29.095 --> 00:29:30.115]  Mary Mahoney?
[00:29:30.115 --> 00:29:33.497]  It's just a coincidence all the suicides that have followed the Clintons.
[00:29:33.497 --> 00:29:40.822]  Vince Foster, Ed Willey, James Bunch, James Winston, Kathy Ferguson, Gandhi Baugh, Suzanne Coleman, Danny Caspillaro.
[00:29:40.822 --> 00:29:46.265]  There haven't been any strange deaths that can be tied to the Clintons that have happened lately.
[00:29:46.525 --> 00:29:47.927]  Seth Rich, John Ash.
[00:29:47.927 --> 00:29:57.423]  So, since there's no evidence that the Clintons might have a hit team out to silence people who are a threat to their political empire, I think Juanita Broderick's fears are unfounded.
[00:29:57.423 --> 00:29:58.104]  NOT!
[00:29:58.104 --> 00:30:00.368]  This is Owen Schroer from InfoWars.com.
[00:30:02.401 --> 00:30:08.907]  More than two years ago, InfoWars first told you about our research into what has been called the Iodine Conspiracy.
[00:30:08.907 --> 00:30:21.898]  I've told you about how scientists have known for decades that iodine deficiencies can devastate IQ, and how the government knowingly started taking iodine out of the food and adding fluoride, the bad member of the halogen family, into the water.
[00:30:21.898 --> 00:30:25.561]  They took the good halogen out and put the deadly halogen in.
[00:30:25.561 --> 00:30:29.104]  And when the Fukushima crisis worsened, as it still is worsening today,
[00:30:29.364 --> 00:30:32.528]  I was there telling you how to prepare yourself and your family.
[00:30:32.528 --> 00:30:45.403]  Now, in 2016, even more information has been revealed concerning the connection between iodine and the gut, which many experts are now saying could be the biggest revelation ever concerning iodine.
[00:30:45.403 --> 00:30:46.945]  You can pull these studies up for yourself.
[00:30:47.225 --> 00:30:53.632]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[00:30:53.632 --> 00:30:58.558]  Stock up on Survival Shield X2 today at Infowarslife.com or by calling 888-253-3139.
[00:31:02.179 --> 00:31:02.999]  Hey, everyone!
[00:31:02.999 --> 00:31:05.280]  Pharmacist Ben Fuchs here, host of The Bright Side.
[00:31:05.280 --> 00:31:09.140]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[00:31:09.140 --> 00:31:11.201]  You've all heard the shocking statistics.
[00:31:11.201 --> 00:31:21.483]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[00:31:21.483 --> 00:31:27.464]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[00:31:27.944 --> 00:31:42.841]  If you're dealing with a health challenge, or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino
[00:31:42.861 --> 00:31:43.322]  Thank you.
[00:32:01.981 --> 00:32:03.862]  It's not just our water we need to filter.
[00:32:03.862 --> 00:32:05.902]  It's not just our food that needs to be cleaned.
[00:32:05.902 --> 00:32:08.803]  It's the air we're breathing, especially for our children.
[00:32:08.803 --> 00:32:14.865]  The artificial particulates, the chemicals, is absolutely weighing down our immune systems.
[00:32:14.865 --> 00:32:24.048]  The same team based right here in America that brought you the Alexa Pure groundbreaking water filtration systems have now developed Alexa Pure Breathe.
[00:32:24.048 --> 00:32:28.910]  Whether it's your home or office, you owe it to yourself, your co-workers, your family, your children.
[00:32:29.130 --> 00:32:31.594]  Do the best job you can to purify your air.
[00:32:31.594 --> 00:32:39.625]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most of the toxic effects for themselves.
[00:32:39.625 --> 00:32:40.607]  The general public doesn't.
[00:32:41.807 --> 00:32:45.728]  The Alexa Pure Breeze would be a steal at $300, $400, $500.
[00:32:45.728 --> 00:32:49.309]  One of these systems can keep 800 square feet incredibly clean.
[00:32:49.309 --> 00:32:56.011]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[00:32:56.011 --> 00:33:05.674]  Find out why this system is so revolutionary today at InfoWarsTore.com.
[00:33:05.674 --> 00:33:08.275]  You're listening to the Alex Jones Show.
[00:33:19.809 --> 00:33:34.921]  We now take you live to the Central Texas Command Center, in the heart of the resistance, rallying patriots worldwide.
[00:33:34.921 --> 00:33:37.523]  You're listening to the Alex Jones Show.
[00:33:40.464 --> 00:33:41.804]  Welcome back to the Alex Jones Show.
[00:33:41.804 --> 00:33:47.146]  I'm David Knight, your host on this 268th day since Hillary Clinton has had a press conference.
[00:33:47.146 --> 00:33:58.129]  We were just talking, though, about the fact that she was able to go to Saudi Arabia and address an all-girls Muslim school that was founded by Huma Abedin's mother, promoting Sharia law.
[00:33:58.129 --> 00:34:03.831]  And when she went there, she said to them, all American women don't go around in bikinis.
[00:34:04.810 --> 00:34:05.831]  And you know what?
[00:34:05.831 --> 00:34:09.034]  If they get their way, nobody is, okay?
[00:34:09.034 --> 00:34:18.082]  American women are going to be going around with a hood over their head, or they're going to get a beating like they do in Saudi Arabia from the religious police.
[00:34:18.082 --> 00:34:22.366]  Understand that this woman who says she is the epitome of feminist achievement,
[00:34:23.243 --> 00:34:33.489]  is sucking up to these people pushing the most repressive regimes against the very groups that she is pandering to in the United States, her core constituency.
[00:34:33.489 --> 00:34:40.753]  She likes to divide the population into black versus white, into women versus men.
[00:34:40.753 --> 00:34:52.419]  Okay, and then she talks about she stands there for the LGBT crowd and yet she promotes a system of law where they're thrown off the roof, where they're executed.
[00:34:53.612 --> 00:34:54.933]  That's what she's doing here.
[00:34:54.933 --> 00:34:57.455]  She's going to the very people who promote Sharia law.
[00:34:57.455 --> 00:35:03.779]  She's got Sharia Khan, the lawyer, speaking for her on the night she gets the nomination.
[00:35:03.779 --> 00:35:08.502]  And of course, if Hillary Clinton gets her way, she is going to create a war here.
[00:35:08.502 --> 00:35:10.804]  You know, we're seeing this in Europe.
[00:35:10.804 --> 00:35:17.688]  We see that Angela Merkel, who really is a harbinger of what Hillary Clinton is going to do to this country if we let her.
[00:35:17.688 --> 00:35:19.790]  We've got this article today from Breitbart.
[00:35:19.790 --> 00:35:21.311]  One million Muslim migrants
[00:35:22.131 --> 00:35:26.172]  Under just the first term of a Hillary presidency.
[00:35:26.172 --> 00:35:31.373]  This is an analysis from the Center for Immigration Studies that Breitbart picks up.
[00:35:31.373 --> 00:35:39.015]  They explain the large expansion of Muslim migration will be part of a massive increase in overall immigration that she has promoted.
[00:35:39.015 --> 00:35:44.096]  They say this is on top of the millions of illegal immigrants to whom she would grant immediate amnesty.
[00:35:44.096 --> 00:35:47.216]  She said she would do that within the first 100 days.
[00:35:47.216 --> 00:35:49.937]  She would grant amnesty to 11 million people.
[00:35:50.816 --> 00:35:55.782]  They point out in this analysis, if you read the article, it says Clinton could add 10 million new immigrants to the U.S.
[00:35:55.782 --> 00:35:56.863]  during her first term alone.
[00:35:56.863 --> 00:36:02.349]  In addition to the 11 million immigrants she has said she will give amnesty to in the first 100 days.
[00:36:02.349 --> 00:36:03.290]  And they point this out.
[00:36:03.290 --> 00:36:07.455]  They say, absent the kind of change in policy that Donald Trump is talking about,
[00:36:08.015 --> 00:36:14.557]  It seems likely that under the existing system that 600,000 new migrants from the Muslim world would settle in the U.S.
[00:36:14.557 --> 00:36:15.777]  in the next four years.
[00:36:15.777 --> 00:36:24.039]  On top of that, Secretary Clinton has indicated she would like to take in 65,000 refugees from Syria next year.
[00:36:24.039 --> 00:36:31.681]  Now understand, this is as Barack Obama has just brought in 10,000 Syrian refugees this year.
[00:36:31.681 --> 00:36:32.741]  To date.
[00:36:32.741 --> 00:36:33.821]  He's going to do more.
[00:36:33.821 --> 00:36:35.562]  But she wants to do six and a half times that.
[00:36:36.607 --> 00:36:49.169]  Okay, and at the last day of Ramadan, current Secretary of State John Kerry addressed some Muslims and was bragging about the fact that they had brought in six times the number of Syrian refugees that they had the preceding year.
[00:36:49.169 --> 00:36:52.730]  So every year, we're going to increase it by 600%.
[00:36:52.730 --> 00:37:05.792]  This is a country where we started a war, where we are supplying both sides of this, where we're creating massive destruction and hatred, and then bringing the people over here to do something about it.
[00:37:06.724 --> 00:37:09.566]  See, that's the way they're trying to destroy our country.
[00:37:09.566 --> 00:37:11.028]  That's what they're doing in Europe.
[00:37:11.028 --> 00:37:14.170]  But I started talking about this on Friday, and I ran out of time.
[00:37:14.170 --> 00:37:22.217]  There's a great article from Politico, and it was the first-hand account of an Asian journalist who was at one of these Black Lives Matter riots.
[00:37:22.217 --> 00:37:23.958]  And I don't call it a protest.
[00:37:23.958 --> 00:37:26.540]  I call it a riot, because that's what this has turned into.
[00:37:27.592 --> 00:37:32.716]  And he said he had a community activist that he had asked an interview.
[00:37:32.716 --> 00:37:39.682]  And the community activist called him over and said, I can see from your face that you don't think you're safe, he told me.
[00:37:39.682 --> 00:37:43.625]  Now this guy was black, he said, and he's Chinese American.
[00:37:43.625 --> 00:37:45.407]  But he says, you are.
[00:37:45.407 --> 00:37:48.229]  You're a minority too, so you're safe here.
[00:37:48.229 --> 00:37:51.031]  But then he found out that he really wasn't safe, okay?
[00:37:51.031 --> 00:37:53.833]  The photographer who was with him was white.
[00:37:54.773 --> 00:37:58.496]  And that's a crime in Hillary and Obama's America.
[00:37:58.496 --> 00:38:09.106]  That's a crime to be white if you're working with, if you're in a Black Lives Matter rally, protest, riot is really the appropriate word.
[00:38:09.106 --> 00:38:16.553]  Because what happened soon, they had, he said, shoving and rock throwing escalated into smashing cars and setting businesses on fire.
[00:38:16.553 --> 00:38:20.737]  By night, he said, I was crouching behind a Chevy Suburban to avoid bullets.
[00:38:21.758 --> 00:38:22.819]  Okay?
[00:38:22.819 --> 00:38:27.001]  And another intern that was with him was a white man, he said, who arrived later on to take photos.
[00:38:27.001 --> 00:38:28.082]  He said, he huddled beside me.
[00:38:28.082 --> 00:38:34.005]  He said, after the gunfire ceased, he got out from behind the car to take more pictures while the writer stayed behind.
[00:38:34.005 --> 00:38:37.848]  Then he soon heard, get your white ass out of here, okay?
[00:38:37.848 --> 00:38:45.873]  He said, after trying unsuccessfully to defuse the situation, my colleague was flying down the street with a group of men, chasing him.
[00:38:45.873 --> 00:38:49.275]  He said, I wanted to help, but I didn't know how, so I decided to run after them.
[00:38:50.066 --> 00:38:57.028]  He said, in order to run faster, my colleague dropped the two bulky cameras that were hanging around his neck when I tried to retrieve them and yelled at him to get out of the area.
[00:38:57.028 --> 00:38:59.268]  Some of the group of rioters started chasing me.
[00:38:59.268 --> 00:39:02.469]  He says, I wasn't surprised when they caught me.
[00:39:02.469 --> 00:39:03.949]  Then they threw me to the ground.
[00:39:03.949 --> 00:39:06.410]  I reflexively curled up into a ball.
[00:39:06.410 --> 00:39:12.131]  Blows began landing on my back, my head, and my torso until somebody yells out, stop!
[00:39:12.131 --> 00:39:13.371]  He's not white.
[00:39:13.371 --> 00:39:14.451]  He's Asian.
[00:39:14.451 --> 00:39:16.432]  He gets a pass.
[00:39:16.432 --> 00:39:17.232]  Obama is America.
[00:39:18.032 --> 00:39:19.633]  Hillary's America.
[00:39:19.633 --> 00:39:26.918]  This is what the race war will look like, folks, where you were hunted down because of your skin color.
[00:39:26.918 --> 00:39:31.861]  Now, people were hunted down in Libya because of their skin color.
[00:39:31.861 --> 00:39:41.248]  And the war that Hillary Clinton started, she was warned that that was happening, that that was continuing, that that was escalating, and she chose to do nothing about that in Libya.
[00:39:41.248 --> 00:39:45.951]  And of course, the skin color was identified as people who were foreigners.
[00:39:47.011 --> 00:39:51.234]  Because Gaddafi had tried to help Sub-Saharan Africa.
[00:39:51.234 --> 00:39:55.476]  He tried to get them independent of the neo-colonialists.
[00:39:55.476 --> 00:39:56.617]  And I say neo, you know what?
[00:39:56.617 --> 00:40:00.039]  They never stopped colonialism.
[00:40:00.039 --> 00:40:07.184]  They were appealing to the French and said, yeah, we can get the French on our side because the French don't want to lose their influence in the area.
[00:40:07.904 --> 00:40:15.166]  They don't want to see Qaddafi take away our fiat currencies and hurt our central banks that don't have anything backing them.
[00:40:15.166 --> 00:40:20.207]  He's putting out a gold-backed currency that is going to denominate oil sales and we can't have that.
[00:40:20.207 --> 00:40:21.087]  Tell the French that.
[00:40:21.087 --> 00:40:22.147]  They're going to join with us.
[00:40:22.147 --> 00:40:26.268]  That's what Sidney Blumenthal was telling Hillary Clinton.
[00:40:26.268 --> 00:40:31.709]  Just go with us and we can get the French to work with us because they don't want to see this happen.
[00:40:31.709 --> 00:40:34.310]  They want to maintain their colonial influence.
[00:40:35.700 --> 00:40:41.407]  And so, what was happening in Libya was that they would identify these quote-unquote foreigners and shoot them on sight.
[00:40:41.407 --> 00:40:44.090]  Shoot them on sight because they would shoot them because they're black.
[00:40:44.090 --> 00:40:46.353]  Here, you're chased down and beaten.
[00:40:47.589 --> 00:40:52.671]  Uh, severely, unless they discover that, oh, he's not white, he's Asian.
[00:40:52.671 --> 00:41:03.836]  And he said, that voice struck in my head, over the next few days, as I talked to relatives and friends about it, it belonged to a woman who'd come up to me in the afternoon scrum and said, you're Asian, right?
[00:41:03.836 --> 00:41:05.737]  Why are you even here?
[00:41:05.737 --> 00:41:07.558]  And he said, well, the answer was obvious.
[00:41:07.558 --> 00:41:09.058]  I'm a journalist.
[00:41:09.058 --> 00:41:10.159]  Okay.
[00:41:10.159 --> 00:41:14.081]  But, uh, this is Hillary's America.
[00:41:14.081 --> 00:41:15.581]  This is where these people want to go.
[00:41:15.581 --> 00:41:16.562]  This is the pattern
[00:41:17.532 --> 00:41:23.599]  Of hatred, of chaos, that people like Hillary Clinton and George Soros and others want to create in this country.
[00:41:23.599 --> 00:41:26.382]  We can see how it's happening already in Europe.
[00:41:26.382 --> 00:41:34.150]  As I said before, it is a harbinger of what they're going to do here in America if they're allowed to continue these policies.
[00:41:36.292 --> 00:41:40.515]  We have to understand this is the tactic of globalism.
[00:41:40.515 --> 00:41:43.417]  They want to do nation building here in the United States.
[00:41:43.417 --> 00:41:46.440]  They want to do nation building in Europe as well.
[00:41:46.440 --> 00:41:50.483]  Of course, they're not going to have a quote-unquote nation.
[00:41:50.483 --> 00:41:51.223]  They hate borders.
[00:41:51.223 --> 00:41:52.784]  They think borders are horrible.
[00:41:52.784 --> 00:41:54.285]  They want to erase them.
[00:41:54.285 --> 00:41:58.929]  But no, the nation that they're going to build is actually a global governance that they're working to build.
[00:41:58.929 --> 00:41:59.690]  In order to do that,
[00:42:00.390 --> 00:42:07.093]  They have to destroy our countries, and we're trying to get people to understand the method that they're going to use.
[00:42:07.093 --> 00:42:08.513]  It's the open borders.
[00:42:08.513 --> 00:42:13.055]  It's the multinational corporate trade agreements that they have put together.
[00:42:13.055 --> 00:42:26.400]  And I would include in that, and have in the past, the climate trade agreements that are put together by the multinational corporations who are going to be benefiting from these carbon taxes, these carbon credits with the panic that they've sown amongst the people.
[00:42:27.625 --> 00:42:33.344]  Now, when we look at the corruption, and I've got a couple of things here on Trump that I want to play in the next segment.
[00:42:33.344 --> 00:42:34.127]  We're going to play for you.
[00:42:35.715 --> 00:42:37.497]  What Trump had to say about emails.
[00:42:37.497 --> 00:42:38.778]  He said, you know what?
[00:42:38.778 --> 00:42:41.720]  I think the NSA has those emails.
[00:42:41.720 --> 00:42:44.683]  And I've been saying for a long time that I don't think it's the Russians.
[00:42:44.683 --> 00:42:46.464]  I think it's people in the NSA.
[00:42:46.464 --> 00:42:48.226]  We've had William Binney say that.
[00:42:48.226 --> 00:42:50.187]  He thinks that they've got the emails.
[00:42:50.187 --> 00:42:51.028]  He would know.
[00:42:51.028 --> 00:42:54.051]  He was the head technical person for the NSA for decades.
[00:42:54.051 --> 00:42:55.972]  So he would know that they have those emails.
[00:42:55.972 --> 00:43:00.696]  But I think they're also deathly afraid of Hillary Clinton exposing them and getting them killed.
[00:43:00.696 --> 00:43:01.257]  We'll be right back.
[00:43:01.957 --> 00:43:03.159]  It's completely different.
[00:43:03.159 --> 00:43:04.380]  Try a bottle of it.
[00:43:04.380 --> 00:43:05.983]  Rob Dew joins us.
[00:43:05.983 --> 00:43:09.087]  You worked, I guess, like 20 plus hours.
[00:43:09.087 --> 00:43:10.148]  Tell us what brain force did.
[00:43:10.148 --> 00:43:11.130]  I've been working all day.
[00:43:11.130 --> 00:43:13.633]  I took a couple hours off coaching basketball.
[00:43:13.633 --> 00:43:15.055]  I get in here at 830.
[00:43:15.055 --> 00:43:16.958]  I was kind of run down.
[00:43:16.958 --> 00:43:18.680]  You know, I just didn't feel like I was going to make it.
[00:43:18.880 --> 00:43:20.761]  And I really wanted to do a good job on the interview.
[00:43:20.761 --> 00:43:22.583]  I got my bottle of Brain Force right there.
[00:43:22.583 --> 00:43:23.643]  I popped two of them.
[00:43:23.643 --> 00:43:25.925]  And about 20 minutes later, it's like, bing!
[00:43:25.925 --> 00:43:27.706]  Everything just kind of clears up.
[00:43:27.706 --> 00:43:29.387]  It's got four and a half stars.
[00:43:29.387 --> 00:43:30.708]  People really love it.
[00:43:30.708 --> 00:43:31.309]  Read about it.
[00:43:31.309 --> 00:43:35.151]  Find out why third-party nutraceutical sites give it such high praise.
[00:43:35.151 --> 00:43:40.415]  Because it really does have the best organic-based systems that will blow your socks off.
[00:43:40.595 --> 00:43:44.638]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[00:43:44.638 --> 00:43:50.801]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[00:43:50.801 --> 00:43:56.705]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:44:00.945 --> 00:44:06.027]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:44:06.027 --> 00:44:14.849]  Youngevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:44:14.849 --> 00:44:18.811]  Youngevity also offers you an ingenious way to augment your income.
[00:44:18.811 --> 00:44:19.591]  And the best part?
[00:44:19.591 --> 00:44:22.472]  You'll be helping your friends and family along the way.
[00:44:22.472 --> 00:44:25.092]  Visit InfoWarsTeam.com today.
[00:44:25.092 --> 00:44:25.873]  Become a member.
[00:44:25.873 --> 00:44:29.934]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:44:30.154 --> 00:44:36.878]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:44:36.878 --> 00:44:37.838]  Another win-win.
[00:44:37.838 --> 00:44:41.581]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:44:41.581 --> 00:44:42.801]  And you can be too.
[00:44:42.801 --> 00:44:43.362]  It's simple.
[00:44:43.362 --> 00:44:46.303]  Just go to Infowarsteam.com today.
[00:44:46.303 --> 00:44:48.405]  Complete a short sign-up and you're part of the team.
[00:44:48.405 --> 00:44:51.666]  That's Infowarsteam.com or Infowarshealth.com.
[00:44:51.666 --> 00:44:57.970]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:44:57.970 --> 00:44:59.271]  Check it out for yourself today.
[00:45:01.832 --> 00:45:08.395]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[00:45:08.395 --> 00:45:11.616]  Dr. Group, it took years for you to develop DNA Force for us.
[00:45:11.616 --> 00:45:17.198]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[00:45:17.198 --> 00:45:23.301]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[00:45:23.301 --> 00:45:26.582]  Telomeres are the little cups on the end of our chromosomes.
[00:45:26.582 --> 00:45:28.043]  And when it runs out, you start dying.
[00:45:28.243 --> 00:45:32.565]  We chose the PQQ because it has over 175 different clinical trials.
[00:45:32.565 --> 00:45:35.506]  It's one of the most effective substances in the world.
[00:45:35.506 --> 00:45:37.167]  It works like an antioxidant.
[00:45:37.167 --> 00:45:40.608]  It works to repair nerve growth factor.
