[00:00:00.868 --> 00:00:03.151]  It's Wednesday, January 12th.
[00:38:55.805 --> 00:38:57.666]  That's your body rushing troops in.
[00:38:57.666 --> 00:38:58.946]  Those are white blood cells to kill.
[00:39:00.131 --> 00:39:00.971]  They're like amoebas.
[00:39:00.971 --> 00:39:01.832]  They are amoebas.
[00:39:01.832 --> 00:39:06.735]  They just, bloop, bloop, bloop, bloop, viruses, bacteria, rotten stuff, you name it.
[00:39:06.735 --> 00:39:12.458]  And then all that pus is them dying and defecating all the poison out.
[00:39:12.458 --> 00:39:14.239]  That's what that is.
[00:39:14.239 --> 00:39:15.280]  They're just like Pac-Man.
[00:39:15.280 --> 00:39:17.901]  Bing, bing, bing, bing, bing, bing, bing, bing, bing.
[00:39:17.901 --> 00:39:19.702]  So we knew what was going to happen.
[00:39:19.702 --> 00:39:22.704]  So this doesn't kill your killer Ts.
[00:39:22.704 --> 00:39:24.825]  It just turns them off.
[00:39:24.825 --> 00:39:25.706]  And they don't know how long.
[00:39:25.706 --> 00:39:29.048]  They just know starting off in trials a year and a half ago in England, they're still off.
[00:39:29.966 --> 00:39:34.028]  Looks like they turn them off till they die.
[00:39:34.028 --> 00:39:35.869]  That's not very good, right?
[00:39:35.869 --> 00:39:39.832]  That's not very liberal or loving.
[00:39:39.832 --> 00:39:45.575]  So, EU warns repeat booster shots weaken immune system.
[00:39:45.575 --> 00:39:47.096]  We knew this from the Israeli studies.
[00:39:47.096 --> 00:39:48.257]  We know from the British studies.
[00:39:48.257 --> 00:39:51.799]  We knew it from our own scientists in the government boards.
[00:39:54.682 --> 00:40:04.979]  Who were pro-vaccine, pro-Big Pharma, everything, saying, my God, this isn't a vaccine, it makes people really sick, it erases their immune systems, in one of the FDA meetings at the top board.
[00:40:04.979 --> 00:40:06.862]  Remember, we covered this ad nauseum.
[00:40:09.710 --> 00:40:13.852]  They said, you will discredit vaccines for generations.
[00:40:13.852 --> 00:40:15.973]  You will discredit the scientific community.
[00:40:15.973 --> 00:40:20.154]  You will destroy confidence in the government and in institutions.
[00:40:20.154 --> 00:40:21.355]  Do not do this.
[00:40:21.355 --> 00:40:26.097]  And they said, we're doing it because they want the collapse of civilization.
[00:40:26.097 --> 00:40:26.497]  You understand?
[00:40:26.497 --> 00:40:29.778]  People are like, well, they wouldn't give her something that makes them sick and kills them slowly.
[00:40:29.778 --> 00:40:29.938]  Why?
[00:40:29.938 --> 00:40:30.979]  They'll all go to prison.
[00:40:30.979 --> 00:40:32.519]  They'll all, they don't care.
[00:40:32.519 --> 00:40:34.980]  They're psychotic.
[00:40:34.980 --> 00:40:39.142]  You think the guy in 12 Monkeys when he releases the bioweapon at the airport cares he's going to die?
[00:40:41.058 --> 00:40:47.362]  You're dealing with psychotic human exterminists.
[00:40:47.362 --> 00:40:50.624]  So, this is not new news here.
[00:40:50.624 --> 00:40:54.727]  That's why we've told you thousands of times it erases your immune system.
[00:40:54.727 --> 00:40:57.529]  And we played you clips of their people admitting it.
[00:40:57.529 --> 00:41:02.512]  But giggling at Pfizer and going, well the studies do show, the CEO says,
[00:41:03.755 --> 00:41:09.681]  The studies do show it turns off immune system, so you will need more shots always after.
[00:41:09.681 --> 00:41:10.602]  But it is alright.
[00:41:10.602 --> 00:41:18.369]  We have a super shot we give you soon, where you take it and it fixes all your DNA and you'll never get sick again.
[00:41:18.369 --> 00:41:23.594]  So, we'll make... I mean... That's how the CEO talked.
[00:41:23.594 --> 00:41:24.535]  Those are things he's actually said.
[00:41:26.005 --> 00:41:32.391]  And Bill Gates is like, yeah, we're going to have a universal vaccine soon so that all the problems with this one are fixed.
[00:41:32.391 --> 00:41:36.455]  And what did the head of Pfizer say yesterday?
[00:41:36.455 --> 00:41:39.738]  Get that clip ready for next segment.
[00:41:39.738 --> 00:41:42.260]  What did he say?
[00:41:42.260 --> 00:41:45.703]  He said, it doesn't work.
[00:41:45.703 --> 00:41:48.606]  He said, yeah, it doesn't really work.
[00:41:48.606 --> 00:41:51.008]  He said, oh, two shots don't really do anything.
[00:41:51.008 --> 00:41:51.649]  They don't work.
[00:41:52.759 --> 00:41:57.641]  Quote, two doses of vaccine offer very limited protection, if any.
[00:41:57.641 --> 00:41:59.422]  If any?
[00:41:59.422 --> 00:42:08.987]  Oh, if, not even, oh, oh, oh, oh, oh, but he's got an answer for you.
[00:42:08.987 --> 00:42:10.968]  And what was it?
[00:42:10.968 --> 00:42:14.029]  More shots, which actually erases your immune system.
[00:42:14.029 --> 00:42:15.550]  See how it works.
[00:42:15.550 --> 00:42:21.373]  And I told you 22 months ago, with top scientists and top insiders from the UN,
[00:42:22.469 --> 00:42:33.360]  That this was to erase your immune system, and give you cancer, and attack your ovaries, and attack your testicles, and that they would then tell you they're gonna have new advanced super shots to fix the damage of this.
[00:42:33.360 --> 00:42:35.462]  And they've done it.
[00:42:35.462 --> 00:42:39.166]  I mean, you talk about a maniac.
[00:42:39.166 --> 00:42:41.549]  The head of Pfizer was on TV, we played it yesterday, saying,
[00:42:43.513 --> 00:42:45.694]  We're going to fix the human DNA, everyone.
[00:42:45.694 --> 00:42:47.576]  Pfizer is going to fix you.
[00:42:47.576 --> 00:42:50.097]  You all are not working right.
[00:42:50.097 --> 00:42:52.279]  We're going to fix you.
[00:42:52.279 --> 00:42:56.141]  Yeah, you're gonna fix us all right, you psychotic murdering criminal.
[00:42:56.141 --> 00:42:56.782]  My God.
[00:42:59.445 --> 00:43:14.970]  Christmas 2021 is over, but you've still got a really great chance to give yourself the gift of free speech and liberty and freedom into the new year, while at the same time making yourself healthier, wealthier, and wiser by boosting your immune system.
[00:43:14.970 --> 00:43:20.432]  Two of our top-selling products that have been sold out for a long time are now back in stock.
[00:43:21.152 --> 00:43:27.473]  Winter Sun, the highest quality vitamin D3, take it under the tongue for higher absorption, is back in stock.
[00:43:27.473 --> 00:43:30.914]  Despite the fact it's been sold out for months, it is 50% off.
[00:43:30.914 --> 00:43:44.217]  And then our number one bestseller of all time, Survival Shield X2 Deep Earth Crystal Iodine, the game changer, the missing link, not just for immune system, but all electrochemical activity in the body, it's back in stock, 50% off.
[00:43:44.217 --> 00:43:45.717]  So that's the New Year's special.
[00:43:46.237 --> 00:43:49.502]  And that's Christmas Comes Early in 2022, ladies and gentlemen.
[00:43:49.502 --> 00:43:56.413]  Give yourself the gift of health and clarity and focus with X2 and Winter Sun at infowarstore.com.
[00:43:56.413 --> 00:43:58.276]  50% off for a limited time.
[00:43:58.276 --> 00:43:59.638]  Thanks for keeping us on the air.
[00:43:59.638 --> 00:44:00.420]  All right, ladies and gentlemen.
[00:44:01.892 --> 00:44:03.293]  Keep us on air.
[00:44:03.293 --> 00:44:05.834]  We'll continue to bring you the banned guests.
[00:44:05.834 --> 00:44:09.696]  We'll continue to bring the information that no one else will touch.
[00:44:09.696 --> 00:44:10.456]  Keep us on air.
[00:44:10.456 --> 00:44:11.737]  Go to InfoWarsStore.com.
[00:44:11.737 --> 00:44:25.284]  The new supplements that we have, the latest in the InfoWars Life Supplement line, the Vitamin D3 with Calcium Gummies, the Vitamin C with Zinc, and the Whole Food Multivitamins, or if you buy the Combo Pack with all three, InfoWarsStore.com.
[00:44:25.284 --> 00:44:27.765]  And you know, I'm telling you, the Vitamin D Gummies,
[00:44:28.803 --> 00:44:30.544]  This is a great thing for your kids.
[00:44:30.544 --> 00:44:31.225]  They're going to love it.
[00:44:31.225 --> 00:44:32.947]  They're going to love the taste of the gummies.
[00:44:32.947 --> 00:44:34.348]  It's healthy.
[00:44:34.348 --> 00:44:35.869]  So that's just a great thing for kids.
[00:44:35.869 --> 00:44:37.430]  I mean, we could just do marketing campaigns.
[00:44:37.430 --> 00:44:39.492]  I think for kids, that'd be great.
[00:44:39.492 --> 00:44:40.533]  The calcium, good for them.
[00:44:40.533 --> 00:44:41.013]  The vitamin D.
[00:44:42.307 --> 00:44:45.328]  So, that's at InfoWarsStore.com.
[00:44:45.328 --> 00:44:47.968]  And again, it's your support there that keeps us on the air.
[00:44:47.968 --> 00:44:56.190]  So, the supplements, the shirts, the air filters, the water filters, the emergency food supplies, the emergency supplies at InfoWarsStore.com.
[00:44:56.190 --> 00:44:57.810]  Your support there keeps us on the air.
[00:44:57.810 --> 00:45:01.211]  We cannot thank you enough.
[00:45:01.211 --> 00:45:04.652]  What are champions made of?
[00:45:04.652 --> 00:45:05.772]  Here's a man who can show you.
[00:45:12.361 --> 00:45:14.642]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline!
[00:45:14.642 --> 00:45:16.822]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline!
[00:45:16.822 --> 00:45:18.402]  AAA-253-3139 is the InfoWars store hotline!
[00:45:18.402 --> 00:45:19.623]  AAA-253-3139 is the InfoWars store... FIGHT!
[00:45:19.623 --> 00:45:21.183]  AAA-253-3139 is the InfoWars store hotline!
[00:45:21.183 --> 00:45:22.483]  AAA-253-3139 is the InfoWars store...
[00:45:38.567 --> 00:45:42.031]  InfoWarsTore.com is simply the best.
[00:45:42.031 --> 00:45:44.494]  InfoWarsTore.com beats out all the rest.
[00:45:44.494 --> 00:45:46.195]  888-253-3139 888-253-3139 888-253-3139 It's the InfoWarsTore hotline.
[00:45:46.195 --> 00:45:46.316]  888-253-3139 888-253-3139
[00:45:59.408 --> 00:46:03.411]  I am recording this announcement on the afternoon of January 6, 2022.
[00:46:03.411 --> 00:46:14.239]  And that means there are only seven days left of us being able to offer our best-selling product, Vitamin Mineral Fusion, at 50% off.
[00:46:14.239 --> 00:46:18.082]  It has all the vitamins, all the minerals, incredible amino acids.
[00:46:18.082 --> 00:46:23.326]  It is a game changer for your immune system and every other function in your body, and it's a must-have.
[00:46:23.846 --> 00:46:32.832]  That's why, despite the fact that it's selling out at current sales rates, we're going to keep it on sale for another seven days.
[00:46:32.832 --> 00:46:36.054]  So we're running this until next Thursday.
[00:46:36.054 --> 00:46:38.076]  And your purchase supports the broadcast.
[00:46:38.076 --> 00:46:41.018]  I want to thank you all for shopping with InfoWars.
[00:46:41.018 --> 00:46:46.561]  Without you, we would not have been on air, and the world would be in a much worse position right now than it's in.
[00:46:46.561 --> 00:46:53.566]  Thanks to you supporting InfoWars, we have now become the number one beacon of truth, exposing the Great Reset and the New World Order.
[00:46:53.946 --> 00:47:01.152]  So, support your immune system and support free speech and the fight for liberty at the same time at InfoWars4.com.
[00:47:01.152 --> 00:47:18.806]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:47:18.806 --> 00:47:21.267]  Nobody connects the dots like InfoWars.
[00:47:22.313 --> 00:47:29.137]  Nobody has had a bigger effect and more devastating victories against the New World Order crime syndicate than we have.
[00:47:29.137 --> 00:47:32.459]  And again, I don't say that when I report to you, thump in my chest.
[00:47:32.459 --> 00:47:33.760]  I tell you, we are bloodied.
[00:47:33.760 --> 00:47:35.481]  We are under attack.
[00:47:35.481 --> 00:47:39.724]  We are in the darkest, deepest dungeons of the enemy, fighting them right now.
[00:47:39.724 --> 00:47:42.385]  And only your prayer is keeping us in position.
[00:47:42.385 --> 00:47:46.388]  You're like the gravity in the universe that God's created that holds a star in place.
[00:47:46.388 --> 00:47:50.891]  Without your continued support and spiritual support, we are not going to make it.
[00:47:51.551 --> 00:47:52.792]  And that means all of us together.
[00:47:52.792 --> 00:47:59.578]  But I cannot stress to you enough how incredible a moment this is that I understand it's hard to deal with.
[00:47:59.578 --> 00:48:01.160]  I'm getting chills all over my body.
[00:48:01.160 --> 00:48:08.366]  I mean, folks, they are literally mass murdering people with soft kill weapons in front of us all over the place right now.
[00:48:09.645 --> 00:48:13.146]  And again, that's the smaller weapon.
[00:48:13.146 --> 00:48:18.849]  Because the evidence is arriving that if you know about this early enough and take ivermectin in cycles, it can basically block it.
[00:48:18.849 --> 00:48:23.411]  And of course the military knew that this weapon was being developed, and of course they were looking at what treated it.
[00:48:23.411 --> 00:48:26.972]  This is before it got released!
[00:48:26.972 --> 00:48:29.413]  Because they knew that the globalists were cooking this crap up.
[00:48:29.413 --> 00:48:31.694]  And I'm not lionizing the military, that's what the documents show.
[00:48:33.385 --> 00:48:40.486]  So there's going to be ways to mitigate this, but do you know what it means when they are launching it?
[00:48:40.486 --> 00:48:52.208]  And when they've rolled it out, and when they block the treatments and block the truth, and when they engage in this whole exercise to see what they can get away with, it's a test by this multinational crime syndicate.
[00:48:52.208 --> 00:48:56.709]  And everybody thinks about the world as the Chinese, the Russians, and the Americans.
[00:48:56.709 --> 00:49:01.190]  That has very little to do with it if you actually get to the higher levels.
[00:49:01.190 --> 00:49:01.910]  And Ian Fleming
[00:49:03.103 --> 00:49:12.789]  Was the number two in OSS, and he was number two in MI6 after that, and he was involved founding the CIA, and he wrote the James Bond books.
[00:49:12.789 --> 00:49:15.971]  The James Bond movies are cheesy and stupid, and I'm not talking about those.
[00:49:15.971 --> 00:49:17.772]  The books.
[00:49:17.772 --> 00:49:22.635]  And the books are all about globalists creating bio-weapons to exterminate the whole population.
[00:49:22.635 --> 00:49:25.356]  And 99% of it, then they re-emerge.
[00:49:25.356 --> 00:49:26.257]  And it's all about
[00:49:27.493 --> 00:49:31.337]  Powerful corporations playing countries off against each other to consolidate control.
[00:49:31.337 --> 00:49:35.640]  And Fleming gave interviews saying, this is how the world really works.
[00:49:35.640 --> 00:49:41.465]  He goes, the rich and powerful meet at private estates and other areas and they plan the future of the world.
[00:49:41.465 --> 00:49:43.787]  And he wrote books about it.
[00:49:43.787 --> 00:49:46.529]  James Bond isn't really fighting the Russians, is he?
[00:49:46.529 --> 00:49:48.471]  Or even the Chinese.
[00:49:48.471 --> 00:49:51.514]  It's always Spectre playing them off against each other.
[00:49:53.180 --> 00:49:55.361]  And Spector's real, folks.
[00:49:55.361 --> 00:49:56.642]  Blofeld, the cat.
[00:49:56.642 --> 00:49:58.943]  Look at Klaus Schwab.
[00:49:58.943 --> 00:50:01.964]  Klaus Schwab's the head of the Bilderberg Group.
[00:50:01.964 --> 00:50:06.426]  And the dude before him looked just like him, with a bald head and a white cat and everything!
[00:50:08.240 --> 00:50:12.963]  See, I used to think Hollywood was incredible with their fiction when I was younger and didn't know stuff.
[00:50:12.963 --> 00:50:18.727]  And then, I met the Gottis in New York once, and they acted just like gangsters in a movie.
[00:50:18.727 --> 00:50:22.290]  Because the movie's about how they act, not the other way around.
[00:50:22.290 --> 00:50:23.871]  And it's the same thing with these globalists.
[00:50:23.871 --> 00:50:27.834]  They literally have bald heads and cats.
[00:50:27.834 --> 00:50:32.317]  I mean, you just cannot make this up, okay?
[00:50:35.618 --> 00:50:44.482]  And so we have the actual supervillain who has this alter ego of this loving businessman that says you're going to own nothing and have nothing and like it.
[00:50:44.482 --> 00:50:55.807]  Trying to crash the world economy and our military is about to go into a war with the Russians.
[00:50:55.807 --> 00:51:01.069]  And there's globalists in Russia and there's globalists in the US working together to get us into a fight with each other.
[00:51:01.069 --> 00:51:02.410]  That's how Spectre operates.
[00:51:03.356 --> 00:51:05.417]  I'm going to stop right there.
[00:51:05.417 --> 00:51:08.540]  We have a very special guest who's got firebomb repeatedly.
[00:51:08.540 --> 00:51:11.221]  Tommy Robinson is going to be joining us 15 minutes into the next hour.
[00:51:11.221 --> 00:51:14.864]  He's got incredible exclusive breaking news and his new film is going to premiere soon.
[00:51:14.864 --> 00:51:21.028]  We've got exclusive clips of The Rape of England, the new film coming up 15 minutes of the next hour.
[00:51:21.028 --> 00:51:23.170]  And then I'm going to start part one today.
[00:51:23.170 --> 00:51:28.834]  I've been having to talk and do a lot of research and just get my ducks in a row on this because it's so unbelievable.
[00:51:28.834 --> 00:51:30.295]  I'm going to be revealing tomorrow
[00:51:31.582 --> 00:51:43.559]  Some of the industrial level espionage being carried out against us, which just lets you know the next level of the attack is beyond censorship and beyond trying to get grand juries to indict people and beyond.
[00:51:43.559 --> 00:51:45.642]  No, it's it's beyond that.
[00:51:47.662 --> 00:51:51.803]  And again, people say, well, Jones, how are you handling the stress of them doing all this to you?
[00:51:51.803 --> 00:51:55.365]  We're all in the same damn ship together, and it's sinking!
[00:51:55.365 --> 00:51:58.066]  And my children are on board this with you!
[00:51:58.066 --> 00:52:00.026]  I'm not doing well!
[00:52:00.026 --> 00:52:00.827]  Do you understand, though?
[00:52:00.827 --> 00:52:03.307]  You're not doing well!
[00:52:03.307 --> 00:52:08.489]  And we can fix the damn ship, folks, but you've got to admit it is sinking.
[00:52:08.489 --> 00:52:10.450]  So I'm sitting here looking at all this incredible news.
[00:52:10.450 --> 00:52:16.292]  You see this entire stack of news right here is government documents, government reports, congressional release documents,
[00:52:17.603 --> 00:52:18.143]  Everything.
[00:52:18.143 --> 00:52:23.006]  I'm going to cover it in the first 15 minutes of the next hour.
[00:52:23.006 --> 00:52:26.729]  Canadian university reports, British government reports.
[00:52:26.729 --> 00:52:28.450]  In fact, guys, I can't find it in my stack.
[00:52:28.450 --> 00:52:37.835]  The British Medical Journal report, the one that's waking up so many people, that the vaccine turns off your immune system on the first shot, gives you a negative immune system on the third shot, absolutely linked to infertility, cancer.
[00:52:37.835 --> 00:52:38.516]  That was in my stack.
[00:52:38.516 --> 00:52:39.416]  I forgot to have that.
[00:52:39.416 --> 00:52:40.217]  I took it home, I think.
[00:52:43.041 --> 00:52:47.203]  I want to go over all this and explain what's in the Fauci documents because we already know what was in them.
[00:52:47.203 --> 00:52:54.688]  It already came out eight, nine months ago, but now Veritas got the documents and now Congress said, no, those are real.
[00:52:54.688 --> 00:52:56.829]  Here's these.
[00:52:56.829 --> 00:52:58.230]  It's the same documents.
[00:52:58.230 --> 00:53:00.791]  I haven't talked to James other than text messages.
[00:53:00.791 --> 00:53:05.174]  He hasn't told me who gave it to him, but I mean, it came from Congress.
[00:53:05.174 --> 00:53:06.035]  That came from Congress.
[00:53:06.035 --> 00:53:08.176]  I'm going to leave it at that because I have other sources.
[00:53:09.201 --> 00:53:14.883]  So good luck, FBI, trying to indict him for having secret Pentagon documents because it came from Congress.
[00:53:14.883 --> 00:53:18.125]  And I can just tell you that.
[00:53:18.125 --> 00:53:24.807]  Now, let's just pull back here a little bit and just let this settle in.
[00:53:24.807 --> 00:53:31.910]  We're going to look at what's really in these documents coming up, and we're just going to hit five points because there's hundreds in them, but five of them.
[00:53:31.910 --> 00:53:33.831]  They created the virus.
[00:53:33.831 --> 00:53:37.152]  Months before it was released, they prepared the vaccine makers to begin manufacturing it.
[00:53:37.856 --> 00:53:42.259]  And then to act like they just suddenly, you know, a week into it, had the new vaccine.
[00:53:42.259 --> 00:53:44.041]  Total proof of premeditation.
[00:53:44.041 --> 00:53:47.403]  They approached the Pentagon to try to frame President Trump to get him on board with it.
[00:53:47.403 --> 00:53:50.025]  In 2017, he said no.
[00:53:50.025 --> 00:53:54.008]  One reason they flipped out at Flynn.
[00:53:54.008 --> 00:53:57.270]  And a bunch of other key points that I want to make on that subject.
[00:53:57.270 --> 00:54:01.774]  But separately, I'm going to tell you this right now.
[00:54:01.774 --> 00:54:06.077]  They are financially trying to shut down our capability to even receive money from you.
[00:54:06.983 --> 00:54:18.670]  And that's why I'm all in, and I sold my house, and I'm doing all sorts of other stuff to get all the capital I've got for the big fight going into the future in this year, with 300 days today out from the midterms.
[00:54:18.670 --> 00:54:20.871]  We're 300 days out now.
[00:54:20.871 --> 00:54:22.712]  They're going to pull the terror attacks.
[00:54:22.712 --> 00:54:24.013]  They're going to pull the cyber attacks.
[00:54:24.013 --> 00:54:25.934]  They're going to pull pipeline shutdowns.
[00:54:25.934 --> 00:54:28.395]  You name it, to try to mess up that election.
[00:54:28.395 --> 00:54:31.577]  They're going to have more viral releases and say, we've got to have mail-in ballots again.
[00:54:31.577 --> 00:54:33.498]  They're already doing it.
[00:54:33.498 --> 00:54:36.580]  It's very easy to know what they're going to do because they're pre-programming it in the news.
[00:54:37.958 --> 00:54:39.880]  This is the most important part of our lives.
[00:54:39.880 --> 00:54:40.840]  Your life, my life.
[00:54:40.840 --> 00:54:42.822]  This is the most important part of the fight.
[00:54:42.822 --> 00:54:46.325]  This is when we've... everything else has been skirmishes up to this point.
[00:54:46.325 --> 00:54:49.567]  This is the big main geopolitical battle.
[00:54:49.567 --> 00:54:49.847]  And so...
[00:54:51.002 --> 00:54:59.005]  I am spending half my time just getting funding with the satellite uplinks, the bandwidth, the crew, the running operations to pay for all the stuff to keep us on air.
[00:54:59.005 --> 00:55:01.186]  I don't need to spend half my time doing that.
[00:55:01.186 --> 00:55:02.986]  I need the money there.
[00:55:02.986 --> 00:55:04.647]  I mean, I could sell a couple cars.
[00:55:04.647 --> 00:55:08.708]  I could sell whatever I've got, and I haven't got that in line, but that takes time and energy.
[00:55:08.708 --> 00:55:09.849]  You need to get products now.
[00:55:11.781 --> 00:55:21.685]  Storeable foods, water filtration, air filtration, high quality supplements that boost your immune system, historic t-shirts, films, books to wake yourself up and help wake up others.
[00:55:21.685 --> 00:55:32.730]  Whatever you do, I want to thank you all for your support, but I want to encourage everybody that's been on the fence or bought this or bought that, and sure, we support you, but I need everybody to go to Infowarsstore.com right now.
[00:55:33.795 --> 00:55:38.179]  And we need to raise millions of dollars, because I'm several million dollars in the negative.
[00:55:38.179 --> 00:55:41.202]  That's what the news puts out, fake news, that I've got hundreds of millions of dollars.
[00:55:41.202 --> 00:55:44.745]  Total crap, total lies, total BS, okay?
[00:55:44.745 --> 00:55:46.326]  Just to simplify it.
[00:55:46.326 --> 00:55:48.088]  And I've told you.
[00:55:49.207 --> 00:55:49.768]  How much money I have?
[00:55:49.768 --> 00:55:52.290]  It's not much, and it's just enough to have in my account and run things.
[00:55:52.290 --> 00:55:56.313]  I don't give a rat's ass about money or status or any of this crap.
[00:55:56.313 --> 00:55:59.335]  I care about defeating these psychotic New World Order people that are after us.
[00:55:59.335 --> 00:56:02.738]  And this is real, and this is historic, and we told you everything first.
[00:56:02.738 --> 00:56:04.339]  It's why they hate us and want to destroy us.
[00:56:04.339 --> 00:56:05.400]  And I'm not a victim.
[00:56:05.400 --> 00:56:06.621]  I'm victorious.
[00:56:06.621 --> 00:56:08.002]  I've already had an incredible life.
[00:56:08.002 --> 00:56:09.343]  I've already taken on tyrants.
[00:56:09.343 --> 00:56:11.885]  I've already had great victories thanks to you and all of us together.
[00:56:11.885 --> 00:56:16.008]  And I thank God for the opportunity to be where I've always wanted to be here, fighting these tyrants.
[00:56:16.008 --> 00:56:16.589]  You understand that?
[00:56:18.208 --> 00:56:29.034]  But now, this is the big fight, and I don't want to go in there politically and financially malnourished and dehydrated and cross-eyed in this most important battle.
[00:56:29.034 --> 00:56:32.016]  I need to go in there ready and fired up.
[00:56:32.016 --> 00:56:34.157]  I'm using the analogy of a business and operation.
[00:56:34.157 --> 00:56:38.320]  Hydrated and strong and with a good night's rest.
[00:56:38.320 --> 00:56:40.081]  Because I love this time.
[00:56:40.081 --> 00:56:41.601]  I'm ready for this time.
[00:56:41.601 --> 00:56:45.584]  I hate what's happening, but I love the fact that we've got a chance to fight back against these people.
[00:56:46.144 --> 00:56:47.365]  But this is it!
[00:56:47.365 --> 00:56:55.888]  So get your Vitamin Mineral Fusion, get your X2, get your Ultimate Turmeric Formula, get your Ultimate Bone Broth Formula, get your bodies!
[00:56:55.888 --> 00:56:57.789]  It's all there at Infowarstore.com or 888-253-3139.
[00:56:57.789 --> 00:56:59.429]  Get a Molon Labe shirt, come and take it!
[00:57:04.127 --> 00:57:05.187]  Because this is it.
[00:57:05.187 --> 00:57:06.548]  This is their main assault.
[00:57:06.548 --> 00:57:08.289]  This is the New World Order takeover.
[00:57:08.289 --> 00:57:11.210]  This is the takedown of our economy to break your will.
[00:57:11.210 --> 00:57:13.451]  And we've got a good chance of stopping these folks.
[00:57:13.451 --> 00:57:15.711]  And we've got a lot of tricks up our sleeves.
[00:57:15.711 --> 00:57:17.772]  And a lot of backup infrastructure.
[00:57:17.772 --> 00:57:19.313]  Not just for us, but other people.
[00:57:20.481 --> 00:57:23.542]  If this goes to the next level of this thing and information warfare, what are we going to do?
[00:57:23.542 --> 00:57:24.642]  Believe me.
[00:57:24.642 --> 00:57:29.864]  There's a lot of stuff we've done that we never got credit for, for a reason, and a lot of tricks up our sleeves.
[00:57:29.864 --> 00:57:33.525]  But I need money to prosecute this war against these people.
[00:57:33.525 --> 00:57:35.425]  So, you want to stand up against them?
[00:57:35.425 --> 00:57:36.265]  Take action.
[00:57:36.265 --> 00:57:37.746]  Don't sit on the sidelines.
[00:57:37.746 --> 00:57:40.066]  We fired the bat signal, the SOS.
[00:57:40.066 --> 00:57:45.288]  Get the products you need now and keep the info on the air at the most critical time ever at InfoWartStore.com!
[00:57:45.288 --> 00:57:45.968]  We'll be right back!
[00:57:49.172 --> 00:57:51.674]  Christmas 2021 is gone.
[00:57:51.674 --> 00:57:53.055]  It's in the rearview mirror.
[00:57:53.055 --> 00:57:59.219]  But you can still take advantage of Christmas prices going into the new year at InfoWareStore.com.
[00:57:59.219 --> 00:58:03.241]  On to our best-selling products, now finally back in stock.
[00:58:03.241 --> 00:58:06.463]  We have the number one bestseller of all time.
[00:58:07.484 --> 00:58:15.870]  X2, the Deep Earth Crystal Iodine that is essential for all your body's activities, electrochemical functions of the cells, the mitochondria, your immune system.
[00:58:15.870 --> 00:58:17.451]  It is back in stock.
[00:58:17.451 --> 00:58:24.196]  X2 is 50% off at m4warstore.com and right in time for the deepest part of winter.
[00:58:25.319 --> 00:58:30.700]  We have winter sun, back in stock, the highest quality vitamin D3 for your immune system.
[00:58:30.700 --> 00:58:35.742]  And again, your whole body is back in stock, ready to ship for you right now at InfoWarsTore.com.
[00:58:35.742 --> 00:58:42.084]  So it's a 360 wind, it keeps us on air, and it also makes your life so much healthier and better.
[00:58:42.084 --> 00:58:46.545]  So get your supply up to date at InfoWarsTore.com right now.
[00:58:49.272 --> 00:58:52.134]  It's time to protect your privacy.
[00:58:52.134 --> 00:59:06.123]  It's time to come to grips with the fact that even though you don't have anything to hide, criminals, hackers, corporations, big tech, government are stealing all of your data and creating a map and a database of where you go and what you do.
[00:59:06.123 --> 00:59:10.566]  So in the future, under their globalist takeover, they can shut you down.
[00:59:10.566 --> 00:59:18.952]  Protecting your privacy, protecting your credit cards, protecting your bank accounts, protecting your photos, protecting everything that's on your phone is paramount.
[00:59:19.452 --> 00:59:22.153]  That's why everybody should visit InfoWarsStore.com.
[00:59:22.153 --> 00:59:30.976]  We're carrying a huge new line of very compliant, made-in-America products that have 100% reviews and are simply incredible.
[00:59:30.976 --> 00:59:31.856]  It's a 360 win.
[00:59:31.856 --> 00:59:37.818]  Protect your privacy and shop at InfoWars to support the overall InfoWars against the globalists.
[00:59:37.818 --> 00:59:39.598]  A true 360 win.
[00:59:39.598 --> 00:59:42.599]  Get your Faraday cages at InfoWarsStore.com.
[00:59:42.599 --> 00:59:43.700]  Check out the new line.
[00:59:43.700 --> 00:59:44.240]  It's amazing.
[00:59:50.856 --> 00:59:56.767]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[01:00:17.876 --> 01:00:21.178]  You know, Harrison Smith put a tweet out last week that really said it all.
[01:00:21.178 --> 01:00:24.360]  He said, think about playing a board game like Risk.
[01:00:24.360 --> 01:00:27.382]  And he listed a few other board games that are about global domination.
[01:00:27.382 --> 01:00:31.204]  And imagine, conservatives are like pieces at the start of the game, spread out everywhere.
[01:00:32.202 --> 01:00:38.809]  And there's not one consolidated place where we've got a mash to then be able to have a base to launch an attack and take over.
[01:00:38.809 --> 01:00:43.454]  But the globalists have taken over the cities, they've taken over the banks, they've taken over the academia, all of it.
[01:00:43.454 --> 01:00:51.862]  They have their bases, even though they're selling political death, even though they're selling, you know, sand in the Sahara Desert.
[01:00:51.862 --> 01:00:53.184]  They're going to force you to take it.
