[00:00:00.891 --> 00:00:02.612]  We're live, October 31st.
[00:26:11.369 --> 00:26:17.413]  They believe that they are literally fighting Adolf Hitler and Donald Trump.
[00:26:17.413 --> 00:26:20.115]  So it was worth it, right?
[00:26:20.115 --> 00:26:24.539]  Oh, but now they got to do it again in Virginia, don't they?
[00:26:24.539 --> 00:26:25.780]  They got to do it again in Virginia.
[00:26:26.616 --> 00:26:43.021]  And we got an article quoting all these different, quote, elections officials in Virginia saying, mm-mm-mm-mm-mm, don't think just because it looks like the Republican wins that he's going to win, because we got lots of ballots we got to count.
[00:26:43.021 --> 00:26:46.182]  That we just aren't going to have time that night to count.
[00:26:46.182 --> 00:26:46.822]  You know that.
[00:26:48.783 --> 00:26:59.228]  Trump-hating Virginia elections director says Tuesday's results may have to wait until Friday because of mail-in votes.
[00:26:59.228 --> 00:27:01.549]  And it goes through it all.
[00:27:01.549 --> 00:27:05.751]  Right here about the Democratic gubernatorial candidate in Virginia and how he's behind.
[00:27:05.751 --> 00:27:11.934]  Scott O. Knoeb-Pasek, the radical partisan director of the elections for the
[00:27:12.895 --> 00:27:22.102]  Most popular county in Virginia recently told mainstream news, CNN outlets, that the Virginia governor's race may not be decided on Election Day.
[00:27:22.102 --> 00:27:35.813]  As was the general norm during the COVID-19 pandemic, which ushered in drastic changes to various state election legislation wide ahead of the 2020 President's election, most Virginia Election Day ballots and early votes are set to be counted on the day of the election itself.
[00:27:35.813 --> 00:27:37.294]  Tuesday, November 2nd, 2021.
[00:27:40.060 --> 00:27:46.108]  Further, a new state law requires election officials to begin counting mail-in votes at least one week prior to election day.
[00:27:46.108 --> 00:27:48.791]  And it goes into more of the quote election officials saying the same thing.
[00:27:48.791 --> 00:27:52.455]  And look, I'm not knocking this National File article.
[00:27:52.455 --> 00:27:54.939]  Andrew White's a good writer.
[00:27:54.939 --> 00:27:57.462]  But there's a problem in this article.
[00:27:58.815 --> 00:28:04.336]  It says the drastic changes to various state election laws nationwide.
[00:28:04.336 --> 00:28:09.537]  In almost all those states, it was done by consent decree by the governors outside the legislatures.
[00:28:09.537 --> 00:28:11.738]  It was not the law.
[00:28:11.738 --> 00:28:15.899]  And that's why the whole election was a fraud right there.
[00:28:15.899 --> 00:28:18.300]  The 2020 election is a fraud.
[00:28:18.300 --> 00:28:19.740]  It has to be redone.
[00:28:19.740 --> 00:28:23.181]  Don't hold your breath just under the law because of that fraud right there.
[00:28:23.181 --> 00:28:24.501]  It's already been certified by Congress.
[00:28:25.643 --> 00:28:29.484]  And that's why Mike Lindell's right about it all being a fraud and the Supreme Court should overturn it.
[00:28:29.484 --> 00:28:31.385]  But they don't have the political will.
[00:28:31.385 --> 00:28:34.786]  We need to stop worrying about reinstating Trump.
[00:28:34.786 --> 00:28:35.446]  Don't hold your breath.
[00:28:35.446 --> 00:28:44.009]  We need to start working on stopping the current fraud in the special elections and the midterms in 12 months and the general election coming up in three years.
[00:28:44.009 --> 00:28:45.170]  That's the war.
[00:28:45.170 --> 00:28:46.790]  That's the fight.
[00:28:46.790 --> 00:28:47.871]  Okay?
[00:28:47.871 --> 00:28:51.152]  Nothing against Trump, but that's what the real world says.
[00:28:52.008 --> 00:28:54.090]  This isn't a bunch of cue card stuff.
[00:28:54.090 --> 00:29:00.575]  We're talking about how to actually win here.
[00:29:00.575 --> 00:29:01.336]  Stay with us.
[00:29:01.336 --> 00:29:10.063]  October 2021 is coming to a close and that means it's our yearly Black Friday comes early sale that runs for the first two weeks of November.
[00:29:10.063 --> 00:29:14.227]  And right now you can save up to 60% off on our top selling products plus
[00:29:14.707 --> 00:29:19.393]  Get free shipping and double Patriot points at InfoWarsTore.com.
[00:29:19.393 --> 00:29:23.678]  Brain Force Plus, the great nootropic, is back in stock for 50% off.
[00:29:23.678 --> 00:29:31.367]  Ultimate Bone Broth, we haven't had this for several years, it's back, new and improved, 20% off, plus free shipping and double Patriot points.
[00:29:31.367 --> 00:29:33.870]  All these are free shipping, double Patriot points, Ultra 12.
[00:29:35.852 --> 00:29:36.432]  60% off!
[00:29:36.432 --> 00:29:38.133]  Alpha Power!
[00:29:38.133 --> 00:29:38.453]  40% off!
[00:29:38.453 --> 00:29:39.214]  Knockout!
[00:29:39.214 --> 00:29:39.754]  Sleep Aid!
[00:29:39.754 --> 00:29:40.935]  50% off!
[00:29:40.935 --> 00:29:42.196]  Living Defense!
[00:29:42.196 --> 00:29:42.676]  50% off!
[00:29:42.676 --> 00:29:44.017]  Pure Turmeric Bodies!
[00:29:44.017 --> 00:29:45.218]  Extract!
[00:29:45.218 --> 00:29:45.958]  40% off!
[00:29:45.958 --> 00:29:48.199]  Activated Charcoal, Toothpaste, and Mouthwash!
[00:29:48.199 --> 00:29:50.701]  Both, together or separate!
[00:29:50.701 --> 00:29:52.082]  50% off and more!
[00:29:52.082 --> 00:29:58.446]  Check it all out today at InfoWarsTore.com Get amazing products and funding InfoWars and the fight against the globalists!
[00:30:00.262 --> 00:30:07.388]  I have the greatest sense of loss, deep in my heart, deep in my soul, I've ever had in my 47 years on this planet.
[00:30:07.388 --> 00:30:09.210]  I've had a lot of loss.
[00:30:09.210 --> 00:30:10.090]  Everybody else has.
[00:30:10.090 --> 00:30:23.882]  And it's because it's a loss of ancestral freedom that so many people fought and died and bled and sweat for.
[00:30:23.882 --> 00:30:25.664]  And now we're just throwing it all away.
[00:30:27.621 --> 00:30:36.103]  And I see the general public in a medically-induced, scientifically-induced, behavioral, psychologically-controlled trance.
[00:30:36.103 --> 00:30:40.684]  And I know we're being fed into this globalist meat grinder, and it's so incredibly sad.
[00:30:40.684 --> 00:30:50.407]  But this is the process of birth, and then growth, and then falling apart, and then degenerating and collapsing, and then coming back to life again.
[00:30:51.548 --> 00:30:59.921]  It's just the globalists are actively trying to steer and control this process of decadence and collapse to actually end the species as we know it.
[00:30:59.921 --> 00:31:05.770]  I'm sitting here, it's in the early morning hours, and I'm looking at mainstream news.
[00:31:07.288 --> 00:31:22.044]  Reporting on the fact that even the controlled revolving door FDA has come out and said that the Moderna and Pfizer shots need to be held up and not authorized for children because in studies they did on children it caused myocarditis, that's heart swelling and heart attacks.
[00:31:23.300 --> 00:31:32.430]  And then I noticed that even though this is even in the Associated Press, it's not getting any circulation, it's not on the national news, and it's very hard to even find on places like Instagram or Twitter.
[00:31:32.430 --> 00:31:33.371]  It's just crazy.
[00:31:33.371 --> 00:31:41.861]  And then Fauci was on TV just yesterday saying there's no damage from the vaccines, it doesn't hurt anybody, you're a conspiracy theorist if you say it.
[00:31:42.441 --> 00:31:43.823]  It's just crazy.
[00:31:43.823 --> 00:31:48.709]  And then we have all the scientists who over a year ago came out and said, these vaccines are going to cause heart problems.
[00:31:48.709 --> 00:31:51.753]  They gave the exact reasons why and now it happened.
[00:31:51.753 --> 00:31:53.675]  That's why InfoWars is on air.
[00:31:53.675 --> 00:31:56.759]  Because if we weren't on air, they'd get away with even more of this crap.
[00:31:56.759 --> 00:31:57.760]  This is just insane.
[00:31:57.760 --> 00:31:58.581]  These people are killers.
[00:31:59.617 --> 00:32:07.025]  Ultimate Bone Broth is back and better than ever and 20% off plus free shipping and double Patriot points for our new sale.
[00:32:07.025 --> 00:32:14.173]  After years of being off the shelves, we're bringing back one of the biggest fan favorite formulas ever and it's now been reformulated and is even stronger.
[00:32:14.173 --> 00:32:16.036]  It's Ultimate Bone Broth Plus.
[00:32:16.696 --> 00:32:25.702]  It's got concentrated high-quality chicken broth protein, turmeric root that's so amazing, chaga mushroom, bee pollen, goji berry, alfalfa herb powder.
[00:32:25.702 --> 00:32:29.364]  Then it's got added magnesium and potassium for electrolytes.
[00:32:29.364 --> 00:32:35.889]  It's got real organic cocoa bean powder with natural chocolate flavor and a touch of sea salt.
[00:32:35.889 --> 00:32:40.331]  It even tastes better than the last formula and what it does for your body is simply amazing.
[00:32:40.331 --> 00:32:41.052]  Again, it has that
[00:32:41.172 --> 00:32:43.533]  You're listening to the Alex Jones Show!
[00:33:10.787 --> 00:33:13.690]  Waging war on corruption.
[00:33:13.690 --> 00:33:17.733]  It's Alex Jones Show!
[00:33:33.450 --> 00:33:36.573]  The top story in the last five days has not been the G20.
[00:33:36.573 --> 00:33:39.035]  It's not been Biden, not knowing who he is.
[00:33:39.035 --> 00:33:42.698]  It's not been the supply chain breakdowns.
[00:33:42.698 --> 00:33:44.960]  It's not been China threatening to nuke the United States.
[00:33:44.960 --> 00:33:48.684]  It's not been Taiwan begging for help.
[00:33:48.684 --> 00:33:58.352]  It's not been scores of airlines grounding thousands of flights because their employees are quitting or staying home over dangerous vaccine mandates.
[00:33:59.454 --> 00:34:18.360]  No, it's been the establishment, the corporate media, the Democratic Party, and much of the neocon system as well, the control Republicans, freaking out over Tucker Carlson and calling him the new Alex Jones in thousands of articles.
[00:34:18.360 --> 00:34:20.841]  Every news channel, I've just been flooded with it.
[00:34:20.841 --> 00:34:24.922]  Just the videos I'm in, where they're attacking me.
[00:34:24.922 --> 00:34:26.923]  There's three times more attacking Carlson.
[00:34:26.923 --> 00:34:27.463]  Thousands.
[00:34:28.362 --> 00:34:30.963]  That he would dare point out that we're federal informants.
[00:34:30.963 --> 00:34:38.508]  That he would dare point out that CNN paid some of the Antifa people to pose as Trump supporters and try to get people to burn down the building.
[00:34:38.508 --> 00:34:43.390]  I mean, that's all confirmed.
[00:34:43.390 --> 00:34:56.918]  That's going against their narrative and they're using the branding of everybody who protested election fraud on January 6th being terrorists as the way to launch the new war on terror 2.0 against the American people.
[00:34:58.257 --> 00:35:05.203]  And the deep state's terror attacks run the gamut from actually blowing up a federal building and then blaming it on their Patsy McVeigh in 1995.
[00:35:05.203 --> 00:35:06.144]  That was open and shut.
[00:35:06.144 --> 00:35:07.165]  You research it.
[00:35:07.165 --> 00:35:13.010]  A staged event by the very same crew in power today, through Biden.
[00:35:13.010 --> 00:35:14.992]  Attorney General's fingerprints all over it.
[00:35:14.992 --> 00:35:18.455]  He was one of the operatives heavily involved at the time.
[00:35:18.455 --> 00:35:24.100]  And then you fast forward to things like Charlottesville.
[00:35:25.094 --> 00:35:39.265]  Where you just get a bunch of Democratic operatives to dress up with tiki torches and to go out and then you have a leftist mob shows up actually believing that they're there to fight Nazis and then there's a huge explosion of violence and you can blame Trump.
[00:35:39.265 --> 00:35:46.450]  When I exposed all this, the Democrats were like, well, yeah, I'm the former, you know, deputy head of Obama's campaign here in Virginia.
[00:35:46.450 --> 00:35:47.531]  Now I'm a white supremacist.
[00:35:47.531 --> 00:35:51.454]  Yeah, but, uh, Jones, shut up.
[00:35:51.454 --> 00:35:52.715]  And so they sued me over that.
[00:35:55.307 --> 00:36:04.995]  Sued me because I exposed Soros funding and the fact that they even ran ads to hire actors to go pose as demonstrators and journalists.
[00:36:04.995 --> 00:36:07.016]  I mean, there were ads in newspapers for this.
[00:36:07.016 --> 00:36:10.018]  We covered it.
[00:36:10.018 --> 00:36:16.904]  So they built a straw man and said that I said some photographer killed the woman that got run over in the melee.
[00:36:19.551 --> 00:36:21.312]  To distract off of what I actually said.
[00:36:21.312 --> 00:36:24.634]  I said, the dudes with tiki torches are Democrats.
[00:36:24.634 --> 00:36:25.434]  I've had them.
[00:36:25.434 --> 00:36:32.418]  Some came on the show and were like, well, I used to just a year ago work for the Democrats, but now I'm a white nationalist.
[00:36:32.418 --> 00:36:34.720]  I had the guys on the show.
[00:36:34.720 --> 00:36:40.903]  And to be punished for that, well, there's a lawsuit.
[00:36:40.903 --> 00:36:42.324]  So that's all I got to do to fight tyranny?
[00:36:42.324 --> 00:36:43.925]  That's the only price I got to pay?
[00:36:43.925 --> 00:36:45.446]  Oh, I know there's other prices as well.
[00:36:45.446 --> 00:36:48.648]  But the point is, is that that's what these people do.
[00:36:50.677 --> 00:37:02.100]  That's what Georgetown University running those lawsuits against us in Virginia is doing that goes to a jury this summer.
[00:37:02.100 --> 00:37:03.541]  And of course our hands will be tied.
[00:37:03.541 --> 00:37:10.402]  We won't even be able to show you the clips of the Tiki Torch leaders saying that they work for the Democrats on my show.
[00:37:10.402 --> 00:37:11.583]  Or none of what I actually said.
[00:37:11.583 --> 00:37:15.684]  It'll all just be the straw man things I didn't say because I've got to be made guilty
[00:37:17.520 --> 00:37:23.004]  Yeah, I mean, this particular individual, I never said that he killed that woman.
[00:37:23.004 --> 00:37:24.785]  That's their filing.
[00:37:24.785 --> 00:37:25.906]  He was there taking photos.
[00:37:25.906 --> 00:37:30.389]  I said, Democrats all got together, knowing there'd be a big explosion there.
[00:37:30.389 --> 00:37:39.575]  And some Democrats, not him, your team here, you can see him on screen, posed as Trump supporters to make Trump look bad.
[00:37:39.575 --> 00:37:44.018]  I mean, my God, we've caught in Kentucky.
[00:37:44.018 --> 00:37:45.099]  We've caught in Kentucky.
[00:37:49.560 --> 00:37:54.244]  In Senator Paul's races, Democrats dressed up like racists, saying they're there for Paul and turns out they're Democrats.
[00:37:54.244 --> 00:38:00.130]  And this is something that Jesse Smollett did, it's something Bubba Wallace does, it's something they do on and on and on.
[00:38:00.130 --> 00:38:04.113]  I mean, my God, the Roe v. Wade baby.
[00:38:04.113 --> 00:38:07.456]  The Roe v. Wade baby was never aborted.
[00:38:07.456 --> 00:38:08.637]  It's all fake.
[00:38:08.637 --> 00:38:09.518]  That's come out.
[00:38:09.518 --> 00:38:10.879]  Mainstream news.
[00:38:10.879 --> 00:38:12.561]  And so it's normal to question these things.
[00:38:12.561 --> 00:38:13.522]  Well, it happened again.
[00:38:15.017 --> 00:38:27.419]  Friday, there were people with tiki torches lining up at the Republicans' bus saying they were there officially with the Republican candidate because he's ahead in the polls and they're panicking.
[00:38:27.419 --> 00:38:41.382]  They don't know if they've got enough warehouses, the Democrats do, full of ballots that they can bring in the dead of night this time to stop this landslide.
[00:38:41.382 --> 00:38:41.782]  They don't know.
[00:38:43.055 --> 00:38:52.819]  And so they just show up with their tiki torches, and the media, NBC, all of them, ran with, oh, the white supremacists, they're there supporting them.
[00:38:52.819 --> 00:38:58.402]  And then only after it came out did the Lincoln Project come to the rescue, and the Lincoln Project went on CNN.
[00:39:01.072 --> 00:39:04.915]  And CNN said, here's the Republicans taking credit for what they did.
[00:39:04.915 --> 00:39:08.457]  Republican strategists, the Lincoln Project.
[00:39:08.457 --> 00:39:17.223]  That's like saying that Bill Clinton is a Republican, or that Thomas Jefferson was a Republican, or that Jimmy Carter was a Republican.
[00:39:17.223 --> 00:39:19.624]  That's how dumb they think you are.
[00:39:19.624 --> 00:39:30.392]  So once the Democrats were getting the blame for the false flag they were involved in, the racial false flag, well, here comes, as fast as they could, almost falling over themselves, is the Lincoln Project saying, oh no, that's us.
[00:39:31.332 --> 00:39:38.857]  But you see, Twitter and Instagram salutes actually found out the identities of the people, and they're well-known, high-level Democrat operatives.
[00:39:38.857 --> 00:39:44.860]  That's why they were wearing disguises, hats with their hair tucked in and glasses, and they're not the Lincoln Project.
[00:39:44.860 --> 00:39:47.181]  But the Lincoln Project itself is a Democrat Party cutout.
[00:39:47.181 --> 00:39:56.147]  So, you got Democrats posing as Republicans in the Lincoln Project, and you got Democrats posing as white supremacists, white nationalists, as well.
[00:39:56.147 --> 00:39:57.868]  I mean, they're posing as everybody.
[00:39:59.770 --> 00:40:03.131]  Except who they really are, Democrat Party operatives.
[00:40:03.131 --> 00:40:15.216]  And if you blow their cover, well, Georgetown University, with all that taxpayer money they get, oh, they're a private college, they get taxpayer money, they come and sue you to shut you up.
[00:40:15.216 --> 00:40:18.917]  Hey, is that Dave Chappelle playing the part of the black KKK member?
[00:40:18.917 --> 00:40:22.738]  No, that's, they couldn't get enough people over at DNC headquarters.
[00:40:22.738 --> 00:40:26.520]  So, there you got your black, white nationalists, ladies and gentlemen.
[00:40:27.662 --> 00:40:29.704]  If you're a TV viewer, you're seeing all this and it makes sense.
[00:40:29.704 --> 00:40:33.106]  Radio listeners, I'm narrating this for you, but that's where we are.
[00:40:33.106 --> 00:40:41.392]  So when we come back, I'm going to get into Jim Acosta and his attack on Tucker Carlson and his tying it into this and attacking me and so much more.
[00:40:41.392 --> 00:40:44.955]  Just to illustrate, somebody's got to counter this guy in live time.
[00:40:44.955 --> 00:40:52.780]  I mean, I know he's only got a couple hundred thousand viewers, but he represents the establishment's talking points that are regurgitated
[00:40:53.883 --> 00:41:14.961]  Everywhere, and that roll downhill from AT&T and all the other big corporate chiefs that know they're involved in spying on us with the NSA and slave camps overseas and all the crimes they're committing, so they wrap themselves in this racial purity that whites are bad and the big white CEOs will protect the black people from the evil Alex Joneses and Tucker Carlsons.
[00:41:14.961 --> 00:41:17.424]  Does anyone buy this BS?
[00:41:17.424 --> 00:41:18.204]  Well, some do.
[00:41:19.127 --> 00:41:29.384]  But with triple the number of black Americans voting Republican and triple the number in recent polls of Hispanics voting Republican, that's why the left's in a total conniption fit.
[00:41:31.081 --> 00:41:34.122]  Saying we represent you.
[00:41:34.122 --> 00:41:35.702]  We love you.
[00:41:35.702 --> 00:41:37.903]  We want to make it all about what color you are.
[00:41:37.903 --> 00:41:40.904]  And we want to make everything wonderful for you because you have brown skin.
[00:41:40.904 --> 00:41:43.144]  And don't be friends with white people.
[00:41:43.144 --> 00:41:44.865]  They're out to get you.
[00:41:44.865 --> 00:41:47.285]  They secretly are evil because of who they are.
[00:41:47.285 --> 00:41:51.007]  I mean, here's AT&T's own training manual.
[00:41:51.007 --> 00:41:51.927]  AT&T says,
[00:41:52.967 --> 00:42:00.349]  Racial re-education program, that's a close quote, asserts, quote, white people are the problem.
[00:42:00.349 --> 00:42:01.969]  That's a quote.
[00:42:01.969 --> 00:42:04.890]  Radical re-education program, white people are the problem.
[00:42:04.890 --> 00:42:05.910]  That's a quote.
[00:42:05.910 --> 00:42:08.891]  You ought to go to the article on InfoWars.com, I apologize for watching.
[00:42:08.891 --> 00:42:12.551]  You ought to link through to the whole document that got put out.
[00:42:12.551 --> 00:42:19.153]  And it's the CEO of it, John Stinky, Stinky,
[00:42:20.356 --> 00:42:21.998]  S-T-A-N-K-E-Y.
[00:42:21.998 --> 00:42:23.120]  Stanky.
[00:42:23.120 --> 00:42:32.271]  And he just says, the whole world's problems aren't Chinese slave camps, or aren't toxic waste dumping, or aren't the forced inoculations killing so many people, the economy locking down.
[00:42:32.271 --> 00:42:34.213]  No, no, no, no, no, no, no, no, no, no.
[00:42:34.213 --> 00:42:35.174]  It's white people!
[00:42:36.135 --> 00:42:38.116]  Says the white person.
[00:42:38.116 --> 00:42:40.317]  Just total divide and conquer.
[00:42:40.317 --> 00:42:41.577]  Super nasty behavior.
[00:42:41.577 --> 00:42:44.178]  Uh, and they're in full pandem mode.
[00:42:44.178 --> 00:42:45.839]  So we'll, uh, show you the evil trailer.
[00:42:45.839 --> 00:42:47.419]  It's a new trailer out.
[00:42:47.419 --> 00:42:55.423]  Or the plot against the people, Tucker Carlson's new documentary that's got him so scared that we'll give you the rest of the story and analyze him across his BS straight ahead.
[00:43:03.277 --> 00:43:14.003]  It's now becoming accepted knowledge, accepted fact, that global government run by private corporations is taking over the United States and other formerly sovereign nations.
[00:43:14.003 --> 00:43:15.123]  They're being destroyed.
[00:43:15.123 --> 00:43:17.704]  All the checks and balances are being annihilated.
[00:43:17.704 --> 00:43:18.965]  Our borders are being destroyed.
[00:43:18.965 --> 00:43:20.486]  Our currency is being destroyed.
[00:43:20.486 --> 00:43:24.008]  And the American people have been listed as terrorists by the rogue federal government.
[00:43:24.821 --> 00:43:26.882]  InfoWars is going to continue to fight on.
[00:43:26.882 --> 00:43:28.263]  And there is a big awakening happening.
[00:43:28.263 --> 00:43:30.084]  We have a good chance of beating these people.
[00:43:30.084 --> 00:43:33.366]  But we're not going to be able to stay on air unless you support us and you've been doing it.
[00:43:33.366 --> 00:43:35.308]  So spread the word about the broadcast.
[00:43:35.308 --> 00:43:39.210]  Pray for the broadcast, but also buy great products at InfoWarsTour.com.
[00:43:39.210 --> 00:43:43.132]  If you're shopping with the big corporations or the establishment, you're aiding the enemy.
[00:43:43.132 --> 00:43:45.374]  If you're funding us and getting great products, you are
[00:43:45.714 --> 00:43:46.696]  We're good to go.
[00:43:59.085 --> 00:44:03.307]  I never compromise the quality of ingredients we put in InfoWars Live products.
[00:44:03.307 --> 00:44:06.868]  And that's why for more than two years we've been sold out of Ultimate Bone Broth.
[00:44:06.868 --> 00:44:09.469]  And we could never get the ingredients again.
[00:44:09.469 --> 00:44:10.410]  Until now.
[00:44:10.410 --> 00:44:16.492]  And we have reformulated and not just used the same ingredients, we've boosted it and made them even stronger.
[00:44:16.492 --> 00:44:20.274]  So out of all the bone broths out there, I'm telling you, this is next level.
[00:44:20.274 --> 00:44:21.514]  Listen to what it's got in it.
[00:44:21.514 --> 00:44:26.296]  Cutting edge chicken bone broth protein isolate powder for better flavor and dissolvability.
[00:44:26.696 --> 00:44:36.199]  It's got turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other amazing known berries that turbocharge your body with antioxidants.
[00:44:36.199 --> 00:44:40.341]  And then it's got a bunch of other incredible things like magnesium, potassium, and sodium added.
[00:44:40.341 --> 00:44:42.802]  I mean, this sucker has got everything for your electrolytes.
[00:44:42.802 --> 00:44:49.544]  It's got real organic cocoa butter powder with natural chocolate flavor and a touch of sea salt, and it just goes on and on.
[00:44:49.544 --> 00:44:50.805]  It is now back in stock.
[00:44:50.805 --> 00:44:51.985]  Ultimate bone broth
[00:44:52.925 --> 00:45:05.192]  After being unavailable for more than two years, Ultimate Bone Broth is back at InfoWarsLife.
[00:45:05.192 --> 00:45:11.335]  Ultimate Bone Broth is now Ultimate Bone Broth Plus because we've made it even stronger and reformulated it.
[00:45:11.335 --> 00:45:17.719]  And listen, it's not just concentrated chicken broth in there that's so good for your joints and your bones and your whole body.
[00:45:17.719 --> 00:45:18.199]  It's got
[00:45:18.679 --> 00:45:33.952]  Really strong, high-end, turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other stuff in it, like real organic cocoa, bean powder with natural chocolate flavor, and a touch of sea salt, and just on and on and on.
[00:45:33.952 --> 00:45:36.434]  Magnesium, potassium's added.
[00:45:36.434 --> 00:45:40.958]  This is so good for inflammation, for your immune system, for your whole body.
[00:45:40.958 --> 00:45:43.840]  Grandma always gave you chicken soup when you were sick, remember?
[00:45:43.840 --> 00:45:46.763]  That's a tiny amount of the same stuff that's in there.
[00:45:47.443 --> 00:45:50.245]  That is now in here in a very large amount.
[00:45:50.245 --> 00:45:58.889]  So again, get the power of grandma's chicken soup with the power of turmeric and everything else with the new and improved bone broth at InfoWarsStore.com.
[00:45:58.889 --> 00:46:07.354]  We here at InfoWars are proud to announce the first ever Kava Kava root supplement that is now available at InfoWarsStore.com.
[00:46:07.354 --> 00:46:11.376]  Kava is one of the hottest new breakthroughs in the natural health world today.
[00:46:11.656 --> 00:46:17.879]  Though it has been used for hundreds of years in the Pacific Islands for its relaxation and euphoric effect.
[00:46:17.879 --> 00:46:27.884]  According to ancient Samoan legend, kava was given as a gift by the sun god Tagaloa, who they considered to be the supreme ruler and creator of the universe.
[00:46:27.884 --> 00:46:33.847]  The Samoan people would drink kava tea during social gatherings and sacred ceremonies to loosen up a little.
[00:46:33.847 --> 00:46:38.409]  Nowadays, kava is used around the world by many who enjoy its serious benefits.
[00:46:38.689 --> 00:46:51.400]  The new Kava Chill by Dr. Jones Naturals contains a full blend of not only Kava Kava, but other herbs including, but not limited to, German Chamomile, Organic Skullcap, and Bavarian Root.
[00:46:51.400 --> 00:47:02.449]  We do expect to sell this new product quickly, so be sure to secure yours by visiting InfowarsStore.com.
[00:47:02.449 --> 00:47:05.132]  You're listening to The Alex Jones Show.
[00:47:11.136 --> 00:47:11.918]  I'm good.
[00:47:24.151 --> 00:47:34.301]  So the Deep State Globalist Democratic Party has been caught in a racial false flag with their operatives posing as white supremacists and saying they support the Republican Party.
[00:47:34.301 --> 00:47:38.686]  That's just a standard thing they do continually and they do not want you discussing it.
[00:47:38.686 --> 00:47:40.868]  They want you to believe Jesse Smollett really got attacked.
[00:47:40.868 --> 00:47:46.433]  They want you to believe that there's all these racial attacks around the country that in almost every case turn out to be fake.
[00:47:47.572 --> 00:47:50.293]  And they do not want free speech in America.
[00:47:50.293 --> 00:47:55.093]  They do not want us there to call it because that's their only hope of creating all this division.
[00:47:55.093 --> 00:48:07.456]  And then along comes Tucker Carlson with his big report coming out, three-part series on the plot against America where the federal government openly is branding the American people on official policy.
[00:48:07.456 --> 00:48:10.976]  I told you they were announcing that you were terrorists right when Biden snuck his way in.
[00:48:10.976 --> 00:48:14.497]  They had press conferences saying anybody questioning elections is a terrorist.
[00:48:15.512 --> 00:48:17.533]  Anybody questioning open borders is a terrorist.
[00:48:17.533 --> 00:48:25.377]  And then now they say, if you go to the school board and say, we don't appreciate you teaching that white people are inherently bad, which is total Nazi crap.
[00:48:27.329 --> 00:48:30.910]  I mean, saying a group is bad because of what race they are is Nazi stuff.
[00:48:30.910 --> 00:48:33.930]  I mean, it's an original sin to be from a certain group.
[00:48:33.930 --> 00:48:35.971]  That is pure Nazi stuff.
[00:48:35.971 --> 00:48:38.531]  And it's all in the official U.S.
[00:48:38.531 --> 00:48:43.432]  government stratagem of the National Security Council put out by Joe Biden in June.
[00:48:43.432 --> 00:48:44.952]  And look, I know, I've got a lot of news here.
[00:48:44.952 --> 00:48:46.012]  I've got a lot of stuff to cover.
[00:48:46.012 --> 00:48:47.973]  Why do I keep arping on this?
[00:48:47.973 --> 00:48:51.814]  Because this is the War on Terror 2.0.
[00:48:51.814 --> 00:48:52.954]  This is where we're the enemy.
[00:48:52.954 --> 00:48:53.894]  This is the Great Reset.
[00:48:54.798 --> 00:48:58.859]  And so thank God members of Congress are finally getting this.
[00:48:58.859 --> 00:49:02.780]  Thank God that Tucker Carlson's hammering on it.
[00:49:02.780 --> 00:49:16.063]  And you know that they've got the system scared because they are so freaked out when Carlson raises this or I raise this because it's the elephant in the room.
[00:49:16.063 --> 00:49:17.904]  And what is the elephant in the room?
[00:49:17.904 --> 00:49:23.365]  Just as sure as the sun came up this morning, the deep state is going to stage terror attacks
[00:49:24.542 --> 00:49:36.345]  In the next year before the midterms, just like they did Oklahoma City in 95, to make sure Clinton would be re-elected, and the Democratic Party, and Bill Clinton said he owed his re-election when he was 20 points behind the Oklahoma City bombing.
[00:49:36.345 --> 00:49:37.565]  Look it up.
[00:49:37.565 --> 00:49:42.546]  Bill Clinton said he owed his 1996 re-election to Oklahoma City.
[00:49:42.546 --> 00:49:46.707]  Type that in, click web, do a web search, do an image search, you'll see the headlines.
[00:49:46.707 --> 00:49:49.188]  He told the press corps on Air Force One that.
[00:49:51.593 --> 00:49:53.355]  And they carried out that bombing.
[00:49:53.355 --> 00:49:54.777]  The evidence is just incredible.
[00:49:54.777 --> 00:49:55.978]  It would take hours to go over.
[00:49:55.978 --> 00:49:58.441]  I've been involved in films, books, you name it.
[00:49:58.441 --> 00:50:00.263]  I've been to read the police that were there.
[00:50:00.263 --> 00:50:01.084]  You name it.
[00:50:01.084 --> 00:50:02.205]  FBI whistleblowers.
[00:50:02.205 --> 00:50:04.788]  It's incredible.
[00:50:04.788 --> 00:50:10.835]  And again, the Southern Poverty Law Center connected to German intelligence and the CIA and the FBI and ATF was heavily involved.
[00:50:12.096 --> 00:50:14.197]  From what even came out in court cases.
[00:50:14.197 --> 00:50:16.479]  So, this is what you're not supposed to know.
[00:50:16.479 --> 00:50:25.085]  That they're getting ready, the deep state, to stage not just people dressed up like white supremacists or whatever to make Republicans look bad, but do stuff far worse.
[00:50:25.085 --> 00:50:26.566]  I'm talking about violence.
[00:50:26.566 --> 00:50:28.507]  I'm talking about terror attacks.
[00:50:28.507 --> 00:50:35.832]  I'm talking about very, very, very serious things.
