[00:00.000 --> 00:11.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the info war.
[36:38.000 --> 36:40.000]  I'm really Trump's demographic.
[36:40.000 --> 36:42.000]  Shut f***ing up.
[36:42.000 --> 36:44.000]  Listen, I don't care if you're a multi-millionaire.
[36:44.000 --> 36:50.000]  I'm glad we live in a society where someone who crashes capitalism for a living can get filthy rich from doing so.
[36:50.000 --> 36:57.000]  But for God's sake, savers the sanctimonious torture of you claiming to represent white-working class people.
[36:57.000 --> 37:02.000]  And then in the next breath, welcoming the demographic decline of those very same people.
[37:02.000 --> 37:06.000]  They are fanatical about this because they know their time is up.
[37:06.000 --> 37:14.000]  Listen, wearing a baseball cap, refusing to visit a barbershop and failing to maintain basic levels of personal hygiene isn't fooling anyone.
[37:14.000 --> 37:16.000]  You're not working class.
[37:16.000 --> 37:24.000]  You're a smug conceited New York elitist who spends 99% of his time rubbing shoulders with other smug conceited New York elitists.
[37:24.000 --> 37:37.000]  Going on talk shows where literally every host holds the same pompous liberal establishment opinion, insisting that Trump voters are all angry, illiterate, uneducated, bread-decked who need to shut up and die out.
[37:37.000 --> 37:44.000]  Funny thing is that while you laugh it up at old white people dying off, there's one thing that's dying off even quicker.
[37:44.000 --> 37:49.000]  Your career, your anti-Trump diatribe Fahrenheit 11.9, was a total flop.
[37:49.000 --> 37:53.000]  It grossed 1.20th of the money you made from Fahrenheit 9.11.
[37:53.000 --> 37:57.000]  Guess that next $2 million extension will have to be put on hold.
[37:57.000 --> 38:01.000]  Your Broadway show was also a complete financial failure.
[38:01.000 --> 38:05.000]  Even left-wing publication Variety admits you've lost your audience.
[38:05.000 --> 38:06.000]  Why?
[38:06.000 --> 38:08.000]  Because you're a total sell-out.
[38:08.000 --> 38:13.000]  You've become the epitome of the very thing you started out railing against.
[38:13.000 --> 38:18.000]  Your first movie was about American jobs being offshoreed because of globalist trade deals.
[38:18.000 --> 38:25.000]  Now we get a president who tries to roll back those very trade deals and you do everything in your power to tear him down.
[38:25.000 --> 38:27.000]  You're also a relentless hypocrite.
[38:27.000 --> 38:34.000]  You started off the 2016 election by calling Hillary Clinton a Goldman Sachs corporate warmonger.
[38:34.000 --> 38:38.000]  I just heard on the streets of Belfast you supported Hillary Clinton.
[38:43.000 --> 38:44.000]  Such a mercenary.
[38:44.000 --> 38:49.000]  She voted for the Iraq war. She was funded by Goldman Sachs.
[38:49.000 --> 38:54.000]  This is not good. Now we have Hillary Clinton and you to blame for this.
[38:54.000 --> 39:00.000]  Only to turn around months later and endorse her after the DNC screwed over Bernie Sanders.
[39:00.000 --> 39:07.000]  We should be out there doing what you can do to get Hillary Clinton elected because every minute counts now.
[39:07.000 --> 39:15.000]  This is a pretty good person. She's a decent person. I believe that she has made incredible changes that the left should embrace
[39:15.000 --> 39:18.000]  and we should get out there and get excited about her.
[39:18.000 --> 39:21.000]  She voted for the Iraq war. She was funded by Goldman Sachs.
[39:21.000 --> 39:24.000]  I mean this is a pretty good person. She's a decent person.
[39:24.000 --> 39:30.000]  You literally made an entire movie about the evils of capitalism and the joys of socialism.
[39:30.000 --> 39:34.000]  Only to stab the only actual socialist candidate in the back.
[39:34.000 --> 39:37.000]  You initially denounced Clinton as a danger to the world.
[39:37.000 --> 39:42.000]  Then put on a stage show where you literally stand in front of romanticized photos of a young Hillary
[39:42.000 --> 39:45.000]  while calling her your forbidden love.
[39:45.000 --> 39:51.000]  While invoking the audience to engage in cult-like North Korean-style adulation in her honor.
[39:51.000 --> 39:55.000]  Oh but at least you really support women, right?
[39:55.000 --> 40:05.000]  Dudes, give it up. We've been running the show for 10,000 years.
[40:05.000 --> 40:11.000]  We've had a long run as men running everything. So why don't we just take a break?
[40:11.000 --> 40:14.000]  Let the majority gender run the show.
[40:14.000 --> 40:20.000]  So is Michael Moore really keen for women to take power because he's such a fantastic feminist?
[40:20.000 --> 40:24.000]  Or is he only saying that because there are more women running on the ballot as Democrats?
[40:24.000 --> 40:29.000]  Gee, I wonder, who could we possibly ask to get the answer to this question?
[40:29.000 --> 40:31.000]  I know, let's ask Michael Moore.
[40:31.000 --> 40:33.000]  You know there are so many women on the ballot.
[40:33.000 --> 40:35.000]  Well imagine my shock.
[40:35.000 --> 40:40.000]  Turns out there are nearly four times the number of women running as Democrats compared to Republicans.
[40:40.000 --> 40:42.000]  You know there are so many women on the ballot.
[40:42.000 --> 40:44.000]  That's why he wants women to take power.
[40:44.000 --> 40:48.000]  Not because he cares about women, because he cares about power.
[40:48.000 --> 40:52.000]  Remember when Samantha Bee called Ivanka Trump a feckless ****?
[40:52.000 --> 40:56.000]  Do something about your dad's immigration practices, you feckless ****.
[40:56.000 --> 41:02.000]  The backlash was so severe that even the normally unrepentant Bee was forced to apologize.
[41:02.000 --> 41:05.000]  Across the line, I regret it and I do apologize for that.
[41:05.000 --> 41:07.000]  Guess what Michael Moore said about that?
[41:07.000 --> 41:09.000]  He called it brilliant.
[41:09.000 --> 41:12.000]  Yeah, he really loves women, but only for Democrats.
[41:12.000 --> 41:14.000]  Michael Moore loves women so much.
[41:14.000 --> 41:16.000]  He applauds when they're compared to Janet Alia.
[41:16.000 --> 41:17.000]  You feckless ****.
[41:17.000 --> 41:19.000]  Such a good feminist.
[41:19.000 --> 41:21.000]  Michael Moore loves women so much.
[41:21.000 --> 41:25.000]  He paled around with serial rapist Harvey Weinstein for years,
[41:25.000 --> 41:29.000]  calling him, quote, one of the best people to work with in this town.
[41:29.000 --> 41:34.000]  Then when Weinstein was exposed, Moore went quiet for eight straight days.
[41:34.000 --> 41:37.000]  When asked about it by the media, he refused to comment.
[41:37.000 --> 41:41.000]  Then when he finally did say something, he basically just blamed all white men.
[41:41.000 --> 41:45.000]  Funny, isn't it, Michael, that while you were smearing Trump supporters as rapists,
[41:45.000 --> 41:53.000]  if you hold down the woman while the rapist is raping her and you didn't rape her, are you a rapist?
[41:53.000 --> 41:56.000]  You were best buds with a natural rapist.
[41:56.000 --> 41:58.000]  Michael Moore loves women so much.
[41:58.000 --> 42:03.000]  He bought nine properties then threw his ex-wife under a bus for spending too much money.
[42:03.000 --> 42:05.000]  So many women on the ballot.
[42:05.000 --> 42:12.000]  Listen, when your entire relevancy is completely dependent on the very corporate media establishment you used to rage against.
[42:12.000 --> 42:16.000]  Your only real platform is the corporate media establishment.
[42:16.000 --> 42:20.000]  Then as a fat, putrid, hypocritical sellout whose career is on the wane,
[42:20.000 --> 42:25.000]  what else are you going to do but shill for that very same corporate media establishment?
[42:25.000 --> 42:29.000]  So listen, Michael, keep making your little movies and your stage shows.
[42:29.000 --> 42:32.000]  Keep cashing in on that elitist, leftist arrogance
[42:32.000 --> 42:36.000]  and keep being pimped out as a mouthpiece for the very system you once opposed.
[42:36.000 --> 42:41.000]  But please, just stop pretending to represent ordinary working-class Americans
[42:41.000 --> 42:46.000]  because you're so far away from them at this point, it's quite frankly shameful and embarrassing.
[42:46.000 --> 42:54.000]  If the majority of the people had their say on Michael Moore, I think it would be shut up.
[42:54.000 --> 42:57.000]  We'll be back. Stay with us.
[42:57.000 --> 42:59.000]  If you are receiving this transmission.
[42:59.000 --> 43:01.000]  Fueling your body is hard work.
[43:01.000 --> 43:07.000]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[43:07.000 --> 43:12.000]  Combine fluorolife everyday maintenance and carnivore to help you fuel your gut and body
[43:12.000 --> 43:15.000]  and take advantage of the powerful nutrients you receive.
[43:15.000 --> 43:18.000]  There's no better way to power your body.
[43:18.000 --> 43:25.000]  Fluorolife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[43:25.000 --> 43:30.000]  When paired with carnivore, our incredible enzyme formula that helps you break down nutrients,
[43:30.000 --> 43:36.000]  these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[43:36.000 --> 43:44.000]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[43:44.000 --> 43:50.000]  There's no better time to try fluorolife and carnivore to see how well they can support your body.
[43:50.000 --> 43:54.000]  Don't miss out on the chance to fuel your body and support recovery.
[43:54.000 --> 43:59.000]  Try the InfoWars Life Daily Digestive Pack today.
[43:59.000 --> 44:07.000]  Please, whatever you do, realize that we're all getting punched drunk to the censorship and you saw 18 Twitter accounts, they say affiliated with InfoWars.
[44:07.000 --> 44:12.000]  Yes, some of them are like little side accounts, they even know we had like InfoWars stores that just showed our products,
[44:12.000 --> 44:19.000]  but they just banned them all yesterday in punishment that I be at a Trump rally and be mobbed by all these folks that loved us.
[44:19.000 --> 44:24.000]  Your excitement about America, your excitement about this broadcast is what brought the country and the world back from the brick.
[44:24.000 --> 44:30.000]  But the globalists now want to target where the resistance came from so that we're not pesky in the future.
[44:30.000 --> 44:33.000]  I want to be troublesome and pesky.
[44:33.000 --> 44:40.000]  I want to keep going, I want to make them do the ultimate, not just destroy us financially, I want to push all the way.
[44:40.000 --> 44:47.000]  I've committed to do that, I've prayed for that, and I've been told that's going to happen, but you've got to back us and I promise you this.
[44:47.000 --> 44:52.000]  I will never falter, I will never waver at the spiritual level, I physically will.
[44:52.000 --> 44:59.000]  But I give you my commitment if you financially support us at InfoWars.com to give you my absolute total commitment.
[44:59.000 --> 45:05.000]  InfoWars Life is bringing you a breakthrough in modern medicine, introducing pollen blocks.
[45:05.000 --> 45:14.000]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways,
[45:14.000 --> 45:17.000]  eye comfort, and respiratory functions.
[45:17.000 --> 45:26.000]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[45:26.000 --> 45:32.000]  They began studying this effect in published trials, and decades later, we now have the fruit of this research,
[45:32.000 --> 45:37.000]  a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[45:37.000 --> 45:42.000]  Pollen block is natural and effective, it is not an antihistamine.
[45:42.000 --> 45:47.000]  In fact, current research has found that it actually acts by blocking the activity of triptase,
[45:47.000 --> 45:52.000]  which is an enzyme that amplifies immune and inflammatory responses in the body.
[45:52.000 --> 45:55.000]  Go outside and enjoy the air you breathe.
[45:55.000 --> 46:00.000]  Head to InfoWarsLife.com and grab a pack of our pollen block chewable tablets.
[46:00.000 --> 46:05.000]  Words cannot describe how big the stakes are for the future of humanity right now.
[46:05.000 --> 46:14.000]  InfoWars is being openly targeted by the Democratic Party, left to CIA operatives, the corrupt justice department, and the entire Soros crime syndicate.
[46:14.000 --> 46:16.000]  People say, why would you start a fight with them?
[46:16.000 --> 46:22.000]  Because they were already dominating and running America into the ground, and I knew we had no future and we didn't do this.
[46:22.000 --> 46:24.000]  So we've already had incredible success.
[46:24.000 --> 46:32.000]  But if you will simply realize how epic this is, and understand how real this fight is and why we've been made the main target,
[46:32.000 --> 46:38.000]  and if you financially support us, and if you spread the word about our articles and videos, InfoWars.com,
[46:38.000 --> 46:43.000]  we won't just continue to stand up against these brutal scumbags, we'll win.
[46:43.000 --> 46:46.000]  We have huge sales at InfoWarsTour.com right now.
[46:46.000 --> 46:49.000]  And we're still able to operate the shopping cart and get stuff shipped out to you,
[46:49.000 --> 46:53.000]  despite the fact that we're trying to block our commerce and you're right to the market.
[46:53.000 --> 46:57.000]  But if you don't stand up and support us financially, Soros and the Globalist may win.
[46:57.000 --> 47:03.000]  InfoWars Darkness Hour, with your support, I'm counting on you.
[47:03.000 --> 47:11.000]  You're listening to the Alex Jones Show.
[47:11.000 --> 47:29.000]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the front lines of the InfoWars.
[47:29.000 --> 47:37.000]  You know, there's a place that I really have a blind spot for, and I drop the ball on a lot because I'm always focusing on the new news.
[47:37.000 --> 47:47.000]  But did you know that three of the five Kavanaugh accusers, after they began to get indicted,
[47:47.000 --> 47:50.000]  or after the police came after them, admit they made it up.
[47:50.000 --> 47:53.000]  They never met Kavanaugh, he never raped him and never happened.
[47:53.000 --> 47:54.000]  Three of the five.
[47:54.000 --> 47:56.000]  But you barely even see that.
[47:56.000 --> 48:01.000]  You've got to like search for it, and Trump's got a tweet about it, but I have that.
[48:01.000 --> 48:02.000]  But it gets crazier.
[48:02.000 --> 48:08.000]  I saw this on Friday, and I did a special show yesterday and never covered it, and I should have.
[48:08.000 --> 48:13.000]  And you got to go to like the Daily Caller or InfoWars, or Drudge Report to find it.
[48:13.000 --> 48:21.000]  It was in a local New York news, and that was it, that the man they arrested reportedly, he's no suspect, but he's been arrested,
[48:21.000 --> 48:32.000]  for spray-painting, died Jewish rats, and all this horrible stuff, on the synagogue was a black boy, when he was a child,
[48:32.000 --> 48:40.000]  adopted by liberal Jewish parents, and he's gay, and he works at the anti-hate crime center for the police department.
[48:40.000 --> 48:52.000]  Literally, 99%, I've got to make a documentary about this or something, of the hate crimes, of poop swastika,
[48:52.000 --> 48:56.000]  somebody putting no inwards allowed at the Air Force Academy.
[48:56.000 --> 49:02.000]  This, the guy that attacked the Jewish center, not a week and a half ago, but that was real and tragic,
[49:02.000 --> 49:09.000]  but the guy was knocking over tombstones and spray-painting several synagogues, it was the leftist Jew who hated Trump.
[49:09.000 --> 49:13.000]  This is just insane.
[49:13.000 --> 49:20.000]  And then if another thing gets stirred up, there's going to be some super right-wing crazies that respond. It's terrible.
[49:20.000 --> 49:25.000]  But Trump, a vicious accuser of Justice Kavanaugh, has just admitted that she was lying.
[49:25.000 --> 49:27.000]  Her story was totally made up or fake.
[49:27.000 --> 49:32.000]  Can you imagine if he didn't become a Justice Supreme Court because of her disgusting false statements?
[49:32.000 --> 49:35.000]  What about the others? Yeah, he didn't rape anybody on a boat.
[49:35.000 --> 49:38.000]  He didn't rape anybody in Colorado.
[49:38.000 --> 49:42.000]  He didn't hold down one of the women.
[49:42.000 --> 49:46.000]  I mean, it's all coming out to be fake.
[49:46.000 --> 49:49.000]  And the woman said, well, don't indict me. I've got the quotes here.
[49:49.000 --> 49:55.000]  She said, you know, I was just a tactic because, you know, he's bad.
[49:55.000 --> 49:58.000]  Yeah, just a tactic on his two daughters and his wife, too.
[49:58.000 --> 50:02.000]  You think somebody like Kavanaugh, I don't know people that know him.
[50:02.000 --> 50:13.000]  But he is neurotic about being Mr. Goody Two Shoes top of his class in college and high school and clerking and the Supreme Court.
[50:13.000 --> 50:20.000]  I mean, this guy literally works like 30 days out of the month and would never.
[50:20.000 --> 50:23.000]  He didn't lose his virginity reportedly till he met his wife.
[50:23.000 --> 50:24.000]  They thought that was embarrassing.
[50:24.000 --> 50:27.000]  So they said, well, just say not till you're out of college.
[50:27.000 --> 50:30.000]  He's had sex with one woman.
[50:30.000 --> 50:32.000]  You ought to be proud of that.
[50:32.000 --> 50:40.000]  But the point is, is that it's unbelievable.
[50:40.000 --> 50:45.000]  It's just unbelievable that they do this type of stuff.
[50:45.000 --> 50:49.000]  And I have experienced it.
[50:49.000 --> 50:56.000]  And I even found out the people that were there in the meetings that the lawyers are like, well, that's not enough here.
[50:56.000 --> 51:00.000]  Make this up, say this. And of course, they work for the Democrats and I'm not going to get into it.
[51:00.000 --> 51:14.000]  But man, when you experience people that will 100% whole cloth, just make up something completely false about you because you support America and because you support fair trade deals.
[51:14.000 --> 51:21.000]  And because you support your president, it's mind blowing.
[51:21.000 --> 51:24.000]  And it doesn't scare me that they're attacking me.
[51:24.000 --> 51:39.000]  It scares me that they've got so many Americans brainwashed or into the whole group think or into peer pressure that they even have a chance of winning these midterm elections.
[51:39.000 --> 51:42.000]  Because years ago, the Republican Party was corrupt and so were the Democrats.
[51:42.000 --> 51:45.000]  The Democrats were close, the worst of the two, but the Republicans were much established with blue bloods.
[51:45.000 --> 51:50.000]  Things have gotten so bad and patriots targeted the Republican Party.
[51:50.000 --> 51:56.000]  We've basically taken 80% of it over with libertarians and Christians and a nationalist.
[51:56.000 --> 52:01.000]  And we've reached out to all the quote minorities.
[52:01.000 --> 52:06.000]  And that's why the system is willing to get rid of checks and balances, the two-party system.
[52:06.000 --> 52:16.000]  They want a one-party Democrat monopoly because they're so scared because, I mean, listen, Ronald Reagan got 13 to 15 points in major polls with blacks.
[52:16.000 --> 52:21.000]  He was the top Republican president in modern history.
[52:21.000 --> 52:30.000]  Eisenhower, when, you know, when he was getting the Civil Rights Act passed and Martin Luther King was a supporter, that was like in the late 1950s.
[52:30.000 --> 52:32.000]  He was getting, you know, like 60%.
[52:32.000 --> 52:38.000]  But the Democrats flipped the script undernexion and billed him as the KKK.
[52:38.000 --> 52:40.000]  It was none of it was true.
[52:40.000 --> 52:48.000]  People bought it because the media said it and people who'd been, you know, anti-racist joined the Democrats.
[52:48.000 --> 52:51.000]  Total bamboozle con job.
[52:51.000 --> 52:57.000]  Well, it's taken decades, but now Trump gets 40% in multiple major polls.
[52:57.000 --> 53:02.000]  Multiple, multiple, multiple major polls, 40%.
[53:02.000 --> 53:05.000]  The highest recorded since Nixon is 15.
[53:05.000 --> 53:08.000]  The Democrats are conniption fitting.
[53:08.000 --> 53:17.000]  Every indicator shows a huge red wave, a nationalist wave everywhere globally.
[53:17.000 --> 53:26.000]  But there's so much fraud, so much election fraud, so many people voting the names of dead people, so much censorship of conservatives.
[53:26.000 --> 53:36.000]  A bunch of different voting machine companies is actually true that Soros owns a part of or controls 50% of the voting machine companies.
[53:36.000 --> 53:42.000]  So they busted Democrats everywhere in these houses that are these mills.
[53:42.000 --> 53:53.000]  They busted them in California and Illinois and Texas and Maryland and just in Florida with Democrat women organizing off voter rolls.
[53:53.000 --> 54:02.000]  Who's dead and then having it filled out by illegal aliens are sent in by them in absentee voting or early voting.
[54:02.000 --> 54:12.000]  So I don't know, but can you imagine actually being so brainwashed with Democrats that you go sit in a house all day for 20 bucks an hour and engage in fraud.
[54:12.000 --> 54:18.000]  But they have, they have converted from the top to the bottom.
[54:18.000 --> 54:21.000]  Democrats are hardcore American haters.
[54:21.000 --> 54:25.000]  I challenge you to go Democrat event and say, I love America, America's back.
[54:25.000 --> 54:33.000]  It's like you brought out a will bear a garlic in front of a vampire or a silver bullet in front of a werewolf.
[54:33.000 --> 54:37.000]  Or you drug count Dracula out into the high noon sun.
[54:37.000 --> 54:40.000]  I mean, you just say that to an event.
[54:40.000 --> 54:41.000]  We've got the videos of it.
[54:41.000 --> 54:46.000]  They go crazy and begin hissing like your Linda Blair in the exercise.
[54:46.000 --> 54:49.000]  You say, in the name of Jesus Christ, I command Satan out of you.
[54:49.000 --> 54:57.000]  When you say, I love America to them, they go.
[54:57.000 --> 55:02.000]  These people are crazy.
[55:02.000 --> 55:11.000]  They are completely power mad because their whole ideology is from multinational corporations and foreign governments that want to run our nation.
[55:11.000 --> 55:13.000]  And I know you're like, Alex, we've heard this five times today.
[55:13.000 --> 55:17.000]  I know, I know, you know this, but it's not just me saying it.
[55:17.000 --> 55:20.000]  It's true. We're going to go to break a special guest coming up.
[55:20.000 --> 55:21.000]  It's been since they're completely off the web.
[55:21.000 --> 55:23.000]  Andrew Dwarba wrote up the phones of it with that.
[55:23.000 --> 55:25.000]  I got a bunch of clips I haven't gotten to yet.
[55:25.000 --> 55:28.000]  They've had ABC news saying, are you ready for your chip implant?
[55:28.000 --> 55:29.000]  It's so cool.
[55:29.000 --> 55:33.000]  And it's written like a PR piece out of some dystopic movie.
[55:33.000 --> 55:35.000]  Oh, are you ready for your chip?
[55:35.000 --> 55:36.000]  It's totally cool.
[55:36.000 --> 55:37.000]  Everyone's going to get one.
[55:37.000 --> 55:38.000]  Go ahead and get one.
[55:38.000 --> 55:39.000]  Oh, 4,000 just got it.
[55:39.000 --> 55:40.000]  Oh, my God.
[55:40.000 --> 55:41.000]  You'll buy and sell with it.
[55:41.000 --> 55:45.000]  If you're not a good globalist, we'll turn it off, which is already here with the social score.
[55:45.000 --> 55:47.000]  It's here.
[55:47.000 --> 55:49.000]  We're going to go to break.
[55:49.000 --> 55:52.000]  The cruise been reminding me that I never plugged the funder operation.
[55:52.000 --> 55:53.000]  Yes.
[55:53.000 --> 55:56.000]  Everyone that wants to spread the word on the street for being censored on the web,
[55:56.000 --> 56:00.000]  get an info wars.com t-shirt or mola and lobby or a Trump shirt.
[56:00.000 --> 56:01.000]  We got the best.
[56:01.000 --> 56:02.000]  They're amazing.
[56:02.000 --> 56:07.000]  Me like a Wolverine reelect 45 info wars.com.
[56:07.000 --> 56:10.000]  And there is a big iodine conspiracy without iodine.
[56:10.000 --> 56:11.000]  You die without oxygen.
[56:11.000 --> 56:12.000]  You die without water.
[56:12.000 --> 56:13.000]  You die.
[56:13.000 --> 56:16.000]  There's lots of water and air, though.
[56:16.000 --> 56:21.000]  But there's not as good atomic iodine in the soil.
[56:21.000 --> 56:22.000]  And it's not the food.
[56:22.000 --> 56:24.000]  And if we eat it in fish, there's a lot of mercury.
[56:24.000 --> 56:25.000]  Well, none of that's in here.
[56:25.000 --> 56:29.000]  And we came out with an even better deep earth crystal source.
[56:29.000 --> 56:33.000]  And it's mixed with the other two types of iodines because it got explained to us by
[56:33.000 --> 56:34.000]  top chemists.
[56:34.000 --> 56:39.000]  It's even better for absorption and a little bit of vitamin C to stabilize it so that
[56:39.000 --> 56:42.000]  it doesn't oxidize and it lasts longer and is stronger.
[56:42.000 --> 56:43.000]  It is amazing.
[56:43.000 --> 56:44.000]  It blows away X1.
[56:44.000 --> 56:45.000]  It blows away X2.
[56:45.000 --> 56:48.000]  They tried to suppress us getting the deep earth crystals.
[56:48.000 --> 56:50.000]  We got even deeper, even better ones.
[56:50.000 --> 56:51.000]  Okay.
[56:51.000 --> 56:55.000]  So the fact that it's got three iodines isn't about the cost and putting less expensive
[56:55.000 --> 56:56.000]  in.
[56:56.000 --> 56:59.000]  You need the other two to increase absorption.
[56:59.000 --> 57:01.000]  And you need three types of iodine.
[57:01.000 --> 57:04.000]  So this is the best iodine, next level iodine out there.
[57:04.000 --> 57:09.000]  It's X3, 50% off out of the gates and free shipping at infowarstore.com.
[57:09.000 --> 57:12.000]  And your purchases make it all possible.
[57:12.000 --> 57:15.640]  You know, also there's so much bad stuff in the tap water and the runoff that you need
[57:15.640 --> 57:18.000]  to filter your water from the atrazine, the rest of it.
[57:18.000 --> 57:22.000]  We have Alexa Pure Pro, the very best gravity-filled water filter system out there.
[57:22.000 --> 57:26.000]  $127, leading competitors are $300 and aren't even as good.
[57:26.000 --> 57:30.000]  This is 50% off its regular retail.
[57:30.000 --> 57:33.000]  That's something like 50% off right now, the regular discount.
[57:33.000 --> 57:35.000]  So get your Alexa Pure Pro now.
[57:35.000 --> 57:38.000]  Take action today.
[57:38.000 --> 57:40.000]  Infowars, carb magnets as well.
[57:40.000 --> 57:41.000]  So let this won't kill your carb.
[57:41.000 --> 57:43.000]  You can still get the message out so much more.
[57:43.000 --> 57:47.000]  But whatever you do, spread the live links to infowars.com.
[57:47.000 --> 58:16.000]  Here's our last show.
[58:17.000 --> 58:46.000]  Here's our last show.
[58:48.000 --> 58:53.000]  Stress is a natural part of life.
[58:53.000 --> 58:59.000]  Worth, family, friends, and everyday accidents can put a lot of strain on the body and your mood.
[58:59.000 --> 59:01.000]  Don't let life weigh you down.
[59:01.000 --> 59:08.000]  Happies is a powerful mood and stress support formula that has your back against life's daily inconveniences.
[59:08.000 --> 59:11.000]  Made with ancient ingredients used for thousands of years,
[59:11.000 --> 59:17.000]  Happies can help you take back the day with our powerhouse formula.
[59:17.000 --> 59:20.000]  Happies can be an important part of your daily supplement routine.
[59:20.000 --> 59:23.000]  With poor diet and the constant on and off of your work life,
[59:23.000 --> 59:28.000]  it's more important than ever to support your body in the fight against stress.
[59:28.000 --> 59:33.000]  With powerful ingredients combined to help support the mind and body,
[59:33.000 --> 59:39.000]  Happies helps support during stress, promotes overall well-being, and helps support your mood.
[59:39.000 --> 59:41.000]  Don't live your life bogged down.
[59:41.000 --> 59:45.000]  Help your body overcome the effects of daily stress and pressure today
[59:45.000 --> 59:53.000]  with Happies from infowarsstore.com.
[59:53.000 --> 59:59.000]  You're listening to the Alex Jones Show.
[59:59.000 --> 01:00:17.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:00:17.000 --> 01:00:20.000]  Okay, the founder of GAB, Andrew Tarbons, with us for two segments.
[01:00:20.000 --> 01:00:23.000]  I'm going to open the phones up and get your take on what you think is about to happen
[01:00:23.000 --> 01:00:26.000]  in 36 hours in a day and a half.
[01:00:26.000 --> 01:00:29.000]  I see some comments on infowars.com.
[01:00:29.000 --> 01:00:32.000]  I left as posing as listeners going,
[01:00:32.000 --> 01:00:35.000]  Trump's a big liberal Democrat from New York.
[01:00:35.000 --> 01:00:36.000]  He's not real.
[01:00:36.000 --> 01:00:38.000]  He's going to sell us out with Democrats.
[01:00:38.000 --> 01:00:41.000]  Oh, is that why we have populist winning in Brazil?
[01:00:41.000 --> 01:00:45.000]  Italy, is that why the globalists are going so crazy and suing everybody?
[01:00:45.000 --> 01:00:47.000]  No, this is real.
[01:00:47.000 --> 01:00:48.000]  Is there election fraud? Yes.
[01:00:48.000 --> 01:00:50.000]  Is there voter fraud? Yes.
[01:00:50.000 --> 01:00:52.000]  But Trump's for real.
[01:00:52.000 --> 01:00:54.000]  The globalists have been selling our country out.
[01:00:54.000 --> 01:00:57.000]  And we're going to break that down, too.
[01:00:57.000 --> 01:00:59.000]  But if you want to call and disagree, that's fine.
[01:00:59.000 --> 01:01:02.000]  Agree, whatever. 877-789-ALEX.
[01:01:02.000 --> 01:01:05.000]  877-789-2539.
[01:01:05.000 --> 01:01:08.000]  About 15, 20 minutes, we're going to go to some of your phone calls.
[01:01:08.000 --> 01:01:12.000]  But there's an anti-human agenda, a globalist agenda,
[01:01:12.000 --> 01:01:14.000]  and there's a populist nationalist agenda.
[01:01:14.000 --> 01:01:17.000]  There's a Renaissance agenda and an enslavement agenda.
[01:01:17.000 --> 01:01:21.000]  Donald Trump's not out there like ABC News saying, are you ready for your chip?
[01:01:21.000 --> 01:01:23.000]  Trump's not attacking your family.
[01:01:23.000 --> 01:01:26.000]  Trump's not saying we need open borders and drive down wages.
[01:01:26.000 --> 01:01:28.000]  He's a good populist.
[01:01:28.000 --> 01:01:30.000]  And you know he is because they hate his guts,
[01:01:30.000 --> 01:01:35.000]  and the country's turned around in only 21 months or 23 months like magic.
[01:01:35.000 --> 01:01:37.000]  But it's about to go straight back down again.
[01:01:37.000 --> 01:01:41.000]  But the cynics out there, I guess you haven't been as deep as a foxhole as I've been,
[01:01:41.000 --> 01:01:43.000]  because let me tell you something.
[01:01:43.000 --> 01:01:45.000]  They're working around the clock to shut Trump and his family down.
[01:01:45.000 --> 01:01:47.000]  They're working to shut me down.
[01:01:47.000 --> 01:01:49.000]  They're voting to do platformers, take our banking away.
[01:01:49.000 --> 01:01:52.000]  They've done it to Andrew Torba of gab.com.
[01:01:52.000 --> 01:01:55.000]  Blamed for that horrible person that shot people at a Jewish center.
[01:01:55.000 --> 01:01:57.000]  The rabbi out there is not blaming.
[01:01:57.000 --> 01:01:58.000]  He hated Trump.
[01:01:58.000 --> 01:01:59.000]  He hated populism.
[01:01:59.000 --> 01:02:04.000]  He had Facebook and Instagram accounts and never said any of this stuff on gab.
[01:02:04.000 --> 01:02:07.000]  But see, gab's independent, so gab had to get blamed.
[01:02:07.000 --> 01:02:11.000]  But Andrew's got updates for us, and reportedly it's about to go back online,
[01:02:11.000 --> 01:02:14.000]  rising like the phoenix.
[01:02:14.000 --> 01:02:16.000]  Andrew, thanks for coming on with us.
[01:02:16.000 --> 01:02:19.000]  Thanks for having me, Alex, and we are back.
[01:02:19.000 --> 01:02:23.000]  You're getting the world exclusive right now on infowars.com.
[01:02:23.000 --> 01:02:26.000]  Gab.com is back online.
[01:02:26.000 --> 01:02:31.000]  We have the most traffic that we've ever seen in our existence,
