[00:00.000 --> 00:06.000]  He's the T-Rex of political talk. Alex Jones on the GCN Radio Network.
[30:02.000 --> 30:17.000]  is that even a majority of citizens in Israel today who are aware realize that Mossad and that group of ultra, ultra, hardcore political Zionists
[30:17.000 --> 30:19.000]  do not represent them.
[30:19.000 --> 30:23.000]  Well, you've heard of counterpunch with Alexander Cockburn, L.A. Times writer. He has his own website.
[30:23.000 --> 30:30.000]  He has a Jewish writer who wrote an article with the declassified documents with the Zionists actually funding Hitler
[30:30.000 --> 30:33.000]  and working deals with him, killing their own people.
[30:33.000 --> 30:40.000]  Well, absolutely. Rothschild is the one who got the articles of Zion to Hitler in the first place.
[30:40.000 --> 30:55.000]  And this is the big problem. Just as 98% of Christians in this country have very little empirical or objective knowledge about the history of Jesus or the Church,
[30:55.000 --> 31:09.000]  95% of Jewish Americans have any idea of their history of ancient Israel, ancient Judea, about the difference between the Fardiq and Ashkenazi and what is really going on.
[31:09.000 --> 31:10.000]  Well, it's amazing.
[31:10.000 --> 31:14.000]  So we have to be very careful in what we say and very, very specific.
[31:14.000 --> 31:19.000]  Well, I'll say it on the record, whether it's China or Germany or England or the U.S. or Israel, it's all controlled by the New World Order.
[31:19.000 --> 31:20.000]  Correct.
[31:20.000 --> 31:26.000]  Hamas, all these guys, they're all on the payroll, Bin Laden, they're all on the payroll bringing us into this New World Order.
[31:26.000 --> 31:28.000]  George, let's take some calls. These folks have been holding a long time.
[31:28.000 --> 31:33.000]  Who's up first here, Mark? Who should we go to first, Mark?
[31:33.000 --> 31:37.000]  Howard, you've been holding for an hour. You're on the air. Welcome, sir.
[31:37.000 --> 31:42.000]  Yes, sir. I was going to make a comment on Apollyon that was in Revelation 9-11.
[31:42.000 --> 31:47.000]  Yeah, talking about Apollo, meaning that's the name for Satan, the Apollo program.
[31:47.000 --> 31:53.000]  There's a song that just came out, Concrete Angel. I've been waiting for that song since last fall, since I seen it on TV.
[31:53.000 --> 32:03.000]  That song came out the day before in my area and it hadn't been in, if you look at the prophetic words of that song, it would be in Revelation chapter 12 and 14, 12-14.
[32:04.000 --> 32:13.000]  But, you know, it's prophecy involved and I just recently heard an Oral Roberts tape I've had for 20 years and I just put it in a cassette tape and it broke down.
[32:13.000 --> 32:19.000]  Revelation is pretty good for me and I just had one out of the set. I recommend that people make...
[32:19.000 --> 32:22.000]  All right, anything else on your mind, sir?
[32:22.000 --> 32:27.000]  Well, I was going to say something about, you know, the clouds being seeded over there.
[32:27.000 --> 32:34.000]  You mentioned it one time before. The day after you mentioned it, two or three days later, they had a tornado in Springfield, Missouri, you know, and...
[32:34.000 --> 32:41.000]  I don't know about that. I just read what was in the San Antonio paper, massive clouds seeding last year with all the big floods. Thanks for the call.
[32:41.000 --> 32:42.000]  Okay.
[32:42.000 --> 32:44.000]  Any comments to what he had to say there, George?
[32:44.000 --> 32:46.000]  No, I just thank him for calling.
[32:46.000 --> 32:49.000]  All right, Marty in Illinois. Marty, you're on the air. Go ahead.
[32:49.000 --> 32:53.000]  Hi, Alex. I got your tape. I'm making copies as fast as I can.
[32:53.000 --> 32:54.000]  Good.
[32:54.000 --> 33:07.000]  One thing I want to say, the religious aspect of this, the spiritual aspect of this, we as Christians understand it more than the secular people out there, the good people are going to even understand it.
[33:07.000 --> 33:16.000]  In their eyes, when we start going into that stuff, and Tex Mars is a good guy and I believe that what he says is really right on, when we get into that aspect of it,
[33:16.000 --> 33:25.000]  then instantly a red light goes up in their mind and they say, you're a nut, and it doesn't help the cause to stress that side of it to people who are not Christians.
[33:25.000 --> 33:34.000]  Well, let me just say this. If I was a cop investigating a serial killer who was into the occult and left mementos on the scene, I would report on it.
[33:34.000 --> 33:35.000]  Right.
[33:35.000 --> 33:37.000]  That's what the globalists are doing. It is a fact.
[33:37.000 --> 33:48.000]  Well, there's a numerological thing here, you're right, but when you start trying to spread the word to wake people up, that isn't going to help the cause to go right into the religious aspect because people are real sensitive to that kind of stuff.
[33:48.000 --> 33:50.000]  We understand it because we're Christians.
[33:50.000 --> 33:52.000]  Well, that's their conditioning, sir.
[33:52.000 --> 33:59.000]  Well, I know that, but I'm saying I'm trying to help spread the cause and the information and I don't go into that. I go into that with Christians only.
[33:59.000 --> 34:08.000]  My friend, I think you bring up a good point. We have to have discernment when we speak to our friends or our families about what they can understand.
[34:08.000 --> 34:27.000]  I would take exception with you. For example, my very dearest friend is a born-again Christian, but unfortunately a very high percentage of a group of Christians in this country have been co-opted by the political Zionists.
[34:27.000 --> 34:38.000]  And they are moving our country together with these people toward war and they do not realize how much manipulation there has been.
[34:38.000 --> 34:41.000]  All right, we've got to go ahead and thanks for the call, Marty.
[34:41.000 --> 34:45.000]  Dwayne in Tennessee. Dwayne, you're on the air. Go ahead, sir.
[34:45.000 --> 34:46.000]  Hi, Alex.
[34:46.000 --> 34:47.000]  Hello.
[34:47.000 --> 34:48.000]  Hi.
[34:48.000 --> 34:49.000]  Hello.
[34:50.000 --> 34:58.000]  I just like to ask George a question about the apparent disconnect between the standard of living in the United States and the productivity index.
[34:58.000 --> 35:07.000]  Just one or two figures. In the last several business quarters, productivity is up around 6% per quarter. Between 73% and 98%, it's up 28%.
[35:07.000 --> 35:12.000]  If that's the case, why isn't there a corresponding increase in the standard of living?
[35:12.000 --> 35:31.000]  Well, my friend, apparently you and I are getting different numbers because the numbers that I am getting, and I follow this pretty closely, is productivity in this country, at least the numbers I'm getting, are not up 6% per quarter.
[35:31.000 --> 35:33.000]  Productivity in the United States...
[35:33.000 --> 35:36.000]  They're up about 2.5% a year.
[35:36.000 --> 35:46.000]  Yes. Productivity in the United States between 1985 to about 2000 was only increasing at between 1.35...
[35:46.000 --> 35:47.000]  Stay there.
[35:50.000 --> 36:01.000]  Night, 9 to midnight. Central Standard Time. I'm your host, Alex Jones, and we're talking to George Humphrey, almost out of time. Sorry I have to go so quick in your calls.
[36:01.000 --> 36:07.000]  George, you were commenting about the economy. You were commenting about the growth rate. I thought it was about 2.3, 2 point...
[36:07.000 --> 36:19.000]  Productivity has not increased 6% per quarter. Productivity has been increasing only at about 2% per year, far lagging behind historical levels. And the problem is...
[36:19.000 --> 36:20.000]  Well, that's the admitted number.
[36:20.000 --> 36:35.000]  Yeah, that's the admitted number. And the problem is this, is that the debt in this country, especially corporate debt, is so high, and the capacity is so high that there is no money to put into new products right now.
[36:35.000 --> 36:41.000]  And because everybody's got so much debt, everybody's scrambling. Now people are working harder...
[36:41.000 --> 36:43.000]  The infrastructure is imploding.
[36:43.000 --> 37:07.000]  Yeah, it is horrible. And the basic fact is, is that Communist China, who has missiles pointed at the United States, who yearly says that their goal is to destroy the United States, has through a series of crooked agreements, now has a balance of trade of $80 billion a year plus with the United States.
[37:08.000 --> 37:21.000]  And for those of you who have never been to China, people do not realize the economic engine that is being developed in China at the expense of the American people.
[37:21.000 --> 37:27.000]  And the globalists have shut that up. We only have time for one more call. Henry in Ohio. Henry, you're on the air. Go ahead.
[37:27.000 --> 37:29.000]  Me in Oregon?
[37:29.000 --> 37:31.000]  Go ahead.
[37:31.000 --> 37:54.000]  Yeah, I want to answer the guy a while ago who said that the Christians are the unformed people. Excluding the real Christians, I believe that it is the Christians in the churches that have their blind faith and their preacher and the politics of their church that led to the blind faith in this government that led to the party line politics.
[37:54.000 --> 38:05.000]  Yeah, now we've got the federal funding of the churches, and Bush is going to fund the New Age environmental land grab groups. That was announced three weeks ago. So, I mean, it's getting worse and worse by the millisecond.
[38:05.000 --> 38:17.000]  Well, yeah, they went out, they've gone out, and I remember they used to vote, he's proudly voting the straight Democratic ticket or the straight Republican ticket, and in the meantime, they were voting my rights away. And that generation has done us in.
[38:17.000 --> 38:23.000]  And to say that the people in the secular section aren't as informed, that's asked tonight.
[38:23.000 --> 38:36.000]  Alright, thanks for the call. Well, again, ladies and gentlemen, I just covered the news and the information here. George Humphrey, I really appreciate you joining us on the show today, my friend. Any closing comments?
[38:36.000 --> 38:53.000]  Alex, as always, I appreciate being on the show, and the most important thing I have to say to everybody is believe in yourself, use discernment when you get this information, but realize the time to act now to protect the republic. We do not have much time.
[38:53.000 --> 38:58.000]  That is, have respect for yourself to have your own opinion, not be a mindless automaton. George Humphrey, thanks for joining us.
[38:58.000 --> 38:59.000]  Thanks.
