[00:00.000 --> 00:07.000]  Mainstream media, government cover-ups. You want answers? Well, so does he.
[52:49.000 --> 52:51.000]  Free shipping on every order over $50.
[52:51.000 --> 52:54.000]  Big Berkey Water Filters, for the love of clean water.
[52:54.000 --> 52:58.000]  Gardeners, here comes another growing season, but don't use last year's soil.
[52:58.000 --> 53:02.000]  Maximize yields in your survival garden with EM1 from Tereganics.
[53:02.000 --> 53:12.000]  EM1 is an organic soil conditioner, fertilizer amendment and compost accelerant that provides a broad spectrum of beneficial microorganisms, enzymes, trace minerals, vitamins and various organic acids.
[53:12.000 --> 53:17.000]  EM1 helps regulate the soil's pH level and its soil microbes, improving moisture retention and drought tolerance.
[53:17.000 --> 53:19.000]  Remember last year's dry conditions?
[53:19.000 --> 53:24.000]  EM1 from Tereganics is safe, chemical free and certified for use on all organic farms.
[53:24.000 --> 53:31.000]  It improves plant quality, size, color, flavor and gives up to 20% more nutrient value in fruits and vegetables and greatly increases shelf life.
[53:31.000 --> 53:35.000]  And EM1 is so simple to use, just mix with water and apply.
[53:35.000 --> 53:39.000]  This year, prepare your crisis garden for maximum yields with EM1 from Tereganics.com.
[53:39.000 --> 53:52.000]  Order now at T-E-R-A-G-A-N-I-X.com or call toll free 866-369-3678. That's 866-369-3678.
[53:52.000 --> 54:10.000]  Tereganics. Life's getting better.
[54:23.000 --> 54:39.000]  Yeah, just to show how widespread this takeover is, Franklin Graham, Billy Graham's son, one of the biggest Protestant leaders in this country, on his Facebook is calling for registration and banning of semi-autos and a bunch of other stuff.
[54:39.000 --> 54:51.000]  He was just showing me back there on Facebook. It's just the enemy is moving on every front, ladies and gentlemen, and the new pope's calling for carbon taxes and global greenhouse garbage and Al Gore stuff.
[54:51.000 --> 55:02.000]  I mean, why doesn't the Vatican just elect Al Gore to be the pope? I mean, Tony Blair, he's Catholic now, make him the pope. I mean, I just, you know, it's just unbelievable.
[55:02.000 --> 55:12.000]  And then I try to be nice to everybody here, but I mean, Catholics really should do something about that and Protestants should do something about Franklin Graham.
[55:12.000 --> 55:17.000]  I mean, man, let me tell you, they should never get another red cent from you. Man, that's incredible.
[55:17.000 --> 55:27.000]  That is so incredible. But everybody's selling out to the beast, ladies and gentlemen. Jason from Georgia, you're on the air. Thanks for holding, sir.
[55:27.000 --> 55:29.000]  Hey, Alex. Hey, buddy.
[55:29.000 --> 55:40.000]  Hey, great news. I'm moving to Texas. I can't wait to get there. Have you heard of the local community radio act that just passed?
[55:40.000 --> 55:51.000]  Refresh my memory. The government is opening up a window for nonprofits to sign up and get a license to run low power.
[55:51.000 --> 55:56.000]  Didn't they say that 10 years ago? Well, well, it's opening up in October. Another thing.
[55:56.000 --> 56:04.000]  Well, here's the deal. They've got all this extra digital spectrum. You can put 10 radio stations on one feed now. That's the real future.
[56:04.000 --> 56:16.000]  And with that, but the problem is they're just giving it all to like NPR people. So the answer is everybody who is a patriot or who's got a little bit of money should go try to get those licenses.
[56:16.000 --> 56:24.000]  And yes, you can get them and run a thousand watts, 100 watts, something like that. And and and have a real local community station that fights for liberty.
[56:24.000 --> 56:35.000]  Go ahead. Check out Prometheus radio dot org. They've run in a national campaign to get everybody license. Let me say this about Piers Morgan.
[56:35.000 --> 56:46.000]  The the trigger that's going to wake up these unsophisticated yahoos down here in Georgia is when they come get the guns and then it's going to be on.
[56:46.000 --> 56:59.000]  And what you told him, it was the best thing that he needed to hear. And let me finish up with a quote from Shakespeare that you partially quote all the time.
[56:59.000 --> 57:18.000]  There is a tide in the affairs of men which taken at the flood leaves on to fortune omitted all the voyage of their life is bound in shallows and in miseries on such a full sea are we now afloat and we must take the current when it serves or lose our ventures.
[57:18.000 --> 57:22.000]  Patriots have got to unite and wake up.
[57:22.000 --> 57:31.000]  Now, that's right. People have been convinced that that the New World Order is just in control and that we don't have any power or destiny.
[57:31.000 --> 57:36.000]  And people either feel powerless or they're on weird, narcissistic delusions.
[57:36.000 --> 57:41.000]  I can look at people and go, that's a down to earth person. That's an insane person. That's a narcissist.
[57:41.000 --> 57:53.000]  You can you can see it in people's eyes now. And the weird thing is more people are waking up than ever, but more people are getting deeper into mind control. And absolutely.
[57:53.000 --> 57:59.000]  There is a tide in the affairs of men when taken at the flood leads on to fortune. That is from Julius Caesar, correct?
[57:59.000 --> 58:18.000]  Let me say something to Frank and Graham. Yes, I'm a Southern Baptist born and raised down here. They worship Billy Graham like he was God. And I'm sick and tired of these fake, phony preachers that I have to listen to on Sunday who I can't worship at the feet of the New World Order.
[58:18.000 --> 58:29.000]  Just withdraw from them. I mean, these are Babylon. They are the Pharisees. They are the Sadducees. They are the people that Christ whipped in the in the temple. OK.
[58:29.000 --> 58:37.000]  I mean, these people these people are New World Order agents, period.
[58:37.000 --> 58:46.000]  This is GCN, the Genesis Communications Radio Network.
[58:46.000 --> 58:55.000]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[58:55.000 --> 58:59.000]  Alex and his staff have used these pure soap products for years.
[58:59.000 --> 59:06.000]  These all natural soaps are made from the highest quality vegetable and coconut oils that are Earth friendly and safe.
[59:06.000 --> 59:25.000]  See them on the Web at five star soap dot com or call 800 340 7091 for a free catalog by the one to two month sample package and enjoy soaps that are twice as good as what you're using now or save big with a one to two year supply of soap for all your cleaning needs.
[59:25.000 --> 59:32.000]  This is an amazing deal. You can save thousands of dollars and you will love the way real soap makes you feel.
[59:32.000 --> 59:47.000]  See them on the Web at five star soap dot com or call 800 340 7091 for a free catalog.
[59:47.000 --> 59:59.000]  Waging war on corruption. Alex Jones on the GCN radio network.
[59:59.000 --> 01:00:04.000]  Big Brother, mainstream media, government cover ups.
[01:00:04.000 --> 01:00:07.000]  You want answers? Well, so does he.
[01:00:07.000 --> 01:00:11.000]  He's Alex Jones on the GCN radio network.
[01:00:11.000 --> 01:00:20.000]  And now, live from Austin, Texas, Alex Jones.
[01:00:20.000 --> 01:00:23.000]  By the way, if you just joined us, it's the Southern Baptist.
[01:00:23.000 --> 01:00:34.000]  The head of the Southern Baptist Convention is calling for the end of the Second Amendment. The Vatican is calling for it. The official National Catholic paper, America, the National Catholic Review, says repeal the Second Amendment.
[01:00:34.000 --> 01:00:38.000]  That's the headline. I mean, it is just it is on.
[01:00:38.000 --> 01:00:42.000]  I mean, we are in trouble. I'm gonna get Chuck Baldwin on this week or next week to talk about this.
[01:00:42.000 --> 01:00:48.000]  Pastor Chuck Baldwin, from a biblical perspective, man, we're in trouble.
[01:00:48.000 --> 01:00:54.000]  Boy, Professor Griff just called in and I said, hey, we're going to finish up a few calls.
[01:00:54.000 --> 01:01:01.000]  I don't want to false start you. Let's start in the next big segment and call right back. Professor Griff, founder of Public Enemy, going to be joining us to take your phone calls.
[01:01:01.000 --> 01:01:05.000]  Really look forward to that and his research, which is just amazing.
[01:01:05.000 --> 01:01:10.000]  Let's go to Joe in New Jersey. Joe, you're on the air. Go ahead.
[01:01:10.000 --> 01:01:17.000]  Hey, buddy, I just wanted to call because it's clear that for some time it's been in the works.
[01:01:17.000 --> 01:01:23.000]  I mean, they've infiltrated the food, the water, the crops, the air.
[01:01:23.000 --> 01:01:27.000]  And I also want to point out that they've also co-opted the alternative media movement.
[01:01:27.000 --> 01:01:36.000]  Now, I don't want to insult you because you are a very intelligent person, but it seems like this alternative media movement,
[01:01:36.000 --> 01:01:46.000]  its goal is to target a specific audience in hopes that they can set off a cataclysmic event so that they could bring down the current system.
[01:01:46.000 --> 01:01:51.000]  People need to understand. Yeah, I've heard that meme for years with really no, no, no evidence.
[01:01:51.000 --> 01:01:56.000]  There's an incredibly diverse media. You are the media. You could go out and do whatever you want.
[01:01:56.000 --> 01:02:03.000]  I know I'm good. I know what I serve. That's decency, honor, justice and the creator of God.
[01:02:03.000 --> 01:02:07.000]  And I just want a good future. And I'm a guy with goodwill who loves people.
[01:02:07.000 --> 01:02:12.000]  I'm also extremely aggressive and hate thugs. And, you know, people think being a good guy means you've got to be a wimp.
[01:02:12.000 --> 01:02:16.000]  I'm not saying I'm tough, but I mean, I also act like an animal because, you know, I'm aggressive.
[01:02:16.000 --> 01:02:21.000]  But I mean, it's all about this group's bad that or what are we going to do? Then you go do it, man.
[01:02:21.000 --> 01:02:25.000]  You go do a YouTube or a thing. And I mean, you know, and I'm not knocking what you're saying.
[01:02:25.000 --> 01:02:30.000]  There are provocateurs, there are in fighters. There's all that stuff. I just move forward.
[01:02:30.000 --> 01:02:35.000]  I mean, you know, I'm like the big top dog. So everybody makes stuff up about me because that makes them better than me.
[01:02:35.000 --> 01:02:37.000]  That makes them holier than now.
[01:02:37.000 --> 01:02:42.000]  Every neurotic loser thinks that if they knock off the guy above them, it makes them makes them king.
[01:02:42.000 --> 01:02:47.000]  I'm not trying to be king of something here. I'm trying to really have a future here, brother.
[01:02:47.000 --> 01:02:54.000]  And your voice sounds like you really care. But I mean, of course, of course, of course, there's a full spectrum of stuff out there.
[01:02:54.000 --> 01:02:57.000]  But I'm calling to wake people up in the info war.
[01:02:57.000 --> 01:03:04.000]  I don't know what show you're talking about, but also to be offensively prepared to defensively protect ourselves.
[01:03:04.000 --> 01:03:10.000]  And so that's what I'm talking about here. I mean, people always say, well, this is a problem. Well, that's a problem.
[01:03:10.000 --> 01:03:15.000]  I'm about getting stuff done. And I notice a lot of people can't even make a simple decision nowadays about anything.
[01:03:15.000 --> 01:03:19.000]  It's just it's it's like. But I mean, what specifically what can I do?
[01:03:19.000 --> 01:03:22.000]  If you're talking to millions of people, what can I do for you?
[01:03:22.000 --> 01:03:29.000]  Well, the reason why is because there was a psychological program made in 1980 called Mind Wars.
[01:03:29.000 --> 01:03:33.000]  And I talked to you on air about it before and you admitted to using propaganda.
[01:03:33.000 --> 01:03:39.000]  And it confused me because you said you used bright white propaganda and not black or gray propaganda.
[01:03:39.000 --> 01:03:43.000]  I have it recorded. It was from a month ago or so. I think I said that yesterday again, too.
[01:03:43.000 --> 01:03:48.000]  I observed propaganda just means information that promotes your point of view.
[01:03:48.000 --> 01:03:54.000]  And then you don't even know that you think propaganda inherently propaganda.
[01:03:54.000 --> 01:03:59.000]  Look, I'm a bad person. OK, I'm sorry. Thank you for clearing it up. We now know I'm I'm bad.
[01:03:59.000 --> 01:04:05.000]  And so you're going to save us. I mean, that's all I can say. And I appreciate your call.
[01:04:05.000 --> 01:04:11.000]  Oh, man, I just it's unbelievable. Look, people cannot imagine defeating the New World Order.
[01:04:11.000 --> 01:04:16.000]  So if they can put a chink in Alex Jones, that's a pretty big victory.
[01:04:16.000 --> 01:04:21.000]  So I'm bad. Let's just say I'm the worst guy in the world. Now, what are you going to do to fight evil?
[01:04:21.000 --> 01:04:26.000]  How are you going to try to get the GMO out of our food? How are you going to warn people about the vaccines?
[01:04:26.000 --> 01:04:30.000]  How are you going to warn people about the globalist trying to overthrow all these Muslim countries and put extremists in?
[01:04:30.000 --> 01:04:34.000]  I'm trying to like say, hey, wrong stuff's happening. Let's do something about it.
[01:04:34.000 --> 01:04:39.000]  The government shipping the drugs in. Here's the proof. All that is, is solutions to stop the evil.
[01:04:39.000 --> 01:04:47.000]  OK. And then I say I use white propaganda. Propaganda just means information that promotes your view.
[01:04:47.000 --> 01:04:51.000]  My view is liberty and truth. And the word propaganda is not inherently bad.
[01:04:51.000 --> 01:04:55.000]  But you don't understand that. So I can't help you. We'll be right back.
[01:04:55.000 --> 01:05:03.000]  A little over a year ago, I began to do a lot of research into why, even if I had a pretty good sized meal, that I was still starving.
[01:05:03.000 --> 01:05:09.000]  And my research led me to a well-known fact that most of the soils that we grow our crops on here in the United States
[01:05:09.000 --> 01:05:15.000]  and across the industrialized world are almost completely depleted of almost all of the key minerals
[01:05:15.000 --> 01:05:20.000]  and trace elements that our bodies need to rebuild themselves, fight off cancer and be healthy.
[01:05:20.000 --> 01:05:26.000]  I then searched out the best vitamin and mineral company out there and discovered Young Jevity.
[01:05:26.000 --> 01:05:30.000]  The Young Jevity products are designed to give you the real nutrition you need.
[01:05:30.000 --> 01:05:34.000]  And once you've got that, you don't have to eat as much to be satisfied.
[01:05:34.000 --> 01:05:41.000]  I've lost 37 pounds in two months simply getting the vitamins and minerals I need.
[01:05:41.000 --> 01:05:43.000]  Check it out for yourself. It's incredible.
[01:05:43.000 --> 01:05:52.000]  Go to InfowarsTeam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement.
[01:05:52.000 --> 01:05:55.000]  That's InfowarsTeam.com.
[01:05:55.000 --> 01:06:00.000]  Devastating events like earthquakes, tornadoes, floods, hurricanes or the threat of martial law
[01:06:00.000 --> 01:06:04.000]  have highlighted the need for Americans to prepare for emergencies.
[01:06:04.000 --> 01:06:07.000]  As a result, millions are stockpiling food, gold and weapons.
[01:06:07.000 --> 01:06:12.000]  But how will these items help if you or one of your loved ones becomes ill?
[01:06:12.000 --> 01:06:17.000]  Supernatural Silver is the ultimate tool to prepare you for a medical emergency.
[01:06:17.000 --> 01:06:25.000]  Supernatural Silver is a natural antibiotic that is uniquely effective against bacteria, viruses, moles and fungus
[01:06:25.000 --> 01:06:27.000]  and is remarkable for wound care.
[01:06:27.000 --> 01:06:33.000]  Taken internally or used topically, it can help keep you safe from deadly pathogens.
[01:06:33.000 --> 01:06:38.000]  Supernatural Silver has over 500 different uses and a long-term shelf life,
[01:06:38.000 --> 01:06:41.000]  making it the number one choice of preppers across the country.
[01:06:41.000 --> 01:06:48.000]  To find out how this amazing new technology can help you be prepared, go to SupernaturalSilver.com.
[01:06:48.000 --> 01:06:54.000]  Use the promo code PREPARED for 20% off your entire order and like us on Facebook.
[01:06:54.000 --> 01:06:59.000]  You may be arrested and or subject to other police action.
[01:06:59.000 --> 01:07:04.000]  Tyranny is here. The grim future foretold in 1984 has become reality.
[01:07:04.000 --> 01:07:07.000]  It really says that the state is God.
[01:07:07.000 --> 01:07:12.000]  The United States is now recognized globally as one of the most impressive police states on Earth.
[01:07:12.000 --> 01:07:19.000]  This film conclusively proves the existence of a secret network of FEMA camps now being expanded nationwide.
[01:07:19.000 --> 01:07:25.000]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[01:07:25.000 --> 01:07:29.000]  Police state four chronicles the sickening depths to which our republic has fallen.
[01:07:29.000 --> 01:07:37.000]  Prepare to enter the secretive world of emergency dictatorship, body scammers, sound cannons, citizen spies,
[01:07:37.000 --> 01:07:40.000]  stage terror and cameras on every street corner.
[01:07:40.000 --> 01:07:43.000]  It's only the beginning of the New World Order's hellish plan.
[01:07:43.000 --> 01:07:46.000]  The police state isn't coming. It's here.
[01:07:46.000 --> 01:07:54.000]  Secure your copy today at Infowars.com or see it online in the highest quality at PrisonPlanet.tv.
[01:07:54.000 --> 01:08:03.000]  Yet our best trained, best educated, best equipped, best prepared troops refused to fight.
[01:08:03.000 --> 01:08:11.000]  Matter of fact, it's safe to say that they would rather switch than fight.
[01:08:11.000 --> 01:08:34.000]  The Alex Jones Show. Because there is a war on for your mind.
[01:08:34.000 --> 01:08:37.000]  Fight the power.
[01:08:37.000 --> 01:08:42.000]  The question is, what is the power?
[01:08:42.000 --> 01:08:47.000]  You've got to discover what controls the system to really get through all the layers
[01:08:47.000 --> 01:08:52.000]  if you're going to try to build a better civilization and a future for humanity.
[01:08:52.000 --> 01:08:58.000]  Because we know the establishment that's taken control certainly does not even see humanity in their future.
[01:08:58.000 --> 01:09:02.000]  And coming up later in the hour, I'll talk about the technocracy with Professor Griff,
[01:09:02.000 --> 01:09:07.000]  one of the founding members of one of the most legendary and still popular,
[01:09:07.000 --> 01:09:10.000]  one of the most popular hip hop slash rap groups out there, Public Enemy.
[01:09:10.000 --> 01:09:16.000]  Pgriff.info, P and then Griff, or ProfessorGriff.info.
[01:09:16.000 --> 01:09:20.000]  And he's going to be with us for the hour today to take phone calls.
[01:09:20.000 --> 01:09:24.000]  And I want to give the number out if you specifically have a question.
[01:09:24.000 --> 01:09:28.000]  It can be all over the map. That's what I love about the wildcard aspect of this.
[01:09:28.000 --> 01:09:33.000]  We don't screen your calls. In fact, that's why people call in on whatever issue they want.
[01:09:33.000 --> 01:09:36.000]  But when I do say it's for a guest, it's for the guest.
[01:09:36.000 --> 01:09:38.000]  Address your question to him.
[01:09:38.000 --> 01:09:45.000]  800-259-9231. 800-259-9231 today.
[01:09:45.000 --> 01:09:50.000]  And he joins us. Of course, many of you also know him, even if you're not a commissure
[01:09:50.000 --> 01:09:55.000]  of some of the better hip hop and rap out there, like I've been growing up in Dallas, Texas.
[01:09:55.000 --> 01:10:01.000]  Then you know him from the Obama deception that we were producing before Obama even got into office.
[01:10:01.000 --> 01:10:05.000]  And he says, you know, just because you get a black president, people think everything's going to be all right.
[01:10:05.000 --> 01:10:07.000]  Well, no, it's not going to be all right.
[01:10:07.000 --> 01:10:11.000]  Just like a lot of conservatives think you get Bush in, he's going to save you and he runs over you.
[01:10:11.000 --> 01:10:15.000]  Because it's not about that. It's about total control. They're now coming out.
[01:10:15.000 --> 01:10:20.000]  We're going to talk about this with computers that are going to write the news articles and fully replace humans.
[01:10:20.000 --> 01:10:25.000]  Pre-programmed with an official story that then they write in different variations.
[01:10:25.000 --> 01:10:30.000]  That's why the press corps won't even be needed. A virtual president. All of it.
[01:10:30.000 --> 01:10:34.000]  So now it won't be a president reading off a globalist written teleprompter.
[01:10:34.000 --> 01:10:38.000]  It will be a virtual computer program of the president.
[01:10:38.000 --> 01:10:40.000]  Where the president won't have to travel.
[01:10:40.000 --> 01:10:44.000]  See, the new carbon tax will be the global prison where you can't travel anywhere.
[01:10:44.000 --> 01:10:46.000]  You have to get authorizations to travel.
[01:10:46.000 --> 01:10:52.000]  This is a nightmare. A nightmare. They want us all fighting with each other over race, religion, all this stuff.
[01:10:52.000 --> 01:10:54.000]  When they get people fighting over that, it becomes real.
[01:10:54.000 --> 01:11:00.000]  Even if you don't want to hate somebody, they hate you because of your religion or your race or what you look like or where you came from.
[01:11:00.000 --> 01:11:04.000]  So how do you transcend that? How do you get past the divide and conquer?
[01:11:04.000 --> 01:11:07.000]  Because if we don't do that, we're dead.
[01:11:07.000 --> 01:11:10.000]  It's the eugenics program, the extermination program.
[01:11:10.000 --> 01:11:16.000]  Professor Griff, out of the gates, what do you want to talk about first today before we go to these phone calls?
[01:11:16.000 --> 01:11:25.000]  What is front and center in your mind and your deep research and all the books you've got coming out that are so popular that are available, I should add, at pgriff.info?
[01:11:25.000 --> 01:11:28.000]  First, I want to say thank you for having me on once again.
[01:11:28.000 --> 01:11:30.000]  As promised, we're back.
[01:11:30.000 --> 01:11:35.000]  We're back once again for the second time and I want to thank you for listening since the last time.
[01:11:35.000 --> 01:11:41.000]  For the support, I received some things in the mail from some people, some further information to deal with things.
[01:11:41.000 --> 01:11:43.000]  So once again, thanks for having me.
[01:11:43.000 --> 01:11:54.000]  But the thing that's on my mind, I received some information about a gentleman in so-called hip-hop or rap.
[01:11:54.000 --> 01:12:05.000]  Now this particular gentleman, he murdered someone simply because he thought this person that he murdered was his friend.
[01:12:05.000 --> 01:12:19.000]  And he thought if he murdered his friend, that it would kind of appease the quote-unquote Illuminati and he would be accepted in the Illuminati because he thought that this person would be his human sacrifice.
[01:12:19.000 --> 01:12:30.000]  Now this disturbed me, so I said to myself, what is it that I'm not saying to make this very, very clear about the Illuminati being 13 bloodline?
[01:12:30.000 --> 01:12:46.000]  So I went back into the book and I said to myself, maybe I need to talk to Alex about the 21 goals of the Illuminati as mentioned in Dr. John Coleman's book, The Committee on 300.
[01:12:46.000 --> 01:12:50.000]  And by the way, he laid out their whole plan. He was in MI6.
[01:12:50.000 --> 01:12:53.000]  I think he's even still alive, but he's hard to get on. He's been ill.
[01:12:53.000 --> 01:12:57.000]  We need to get Dr. Coleman back on. Is he still alive?
[01:12:57.000 --> 01:12:58.000]  Yes, he is.
[01:12:58.000 --> 01:13:00.000]  Guys, get him on immediately. I keep forgetting.
[01:13:00.000 --> 01:13:03.000]  He's really hard to get on. He hadn't been on in about five years.
[01:13:03.000 --> 01:13:05.000]  But get him on immediately.
[01:13:05.000 --> 01:13:09.000]  Yes, let's go over from an MI6 guy who 20 years ago laid out everything.
[01:13:09.000 --> 01:13:16.000]  I mean, I've got to say, no one has, and there's so many great people like him that you just forget about because they're not out front and center.
[01:13:16.000 --> 01:13:19.000]  Break down what he says their 21 goals are.
[01:13:19.000 --> 01:13:28.000]  Number one, real quick, number one is to establish a one world government in the world order with a unified church and a monetary system.
[01:13:28.000 --> 01:13:36.000]  Under the direction of this one world government, they began to set up a church back between the 20s and the 30s.
[01:13:36.000 --> 01:13:39.000]  Now, this is something that they would control.
[01:13:39.000 --> 01:13:48.000]  They would set up a church to body and channel these particular beliefs that they would come up with, and these are non-religious beliefs.
[01:13:48.000 --> 01:13:49.000]  That's number one.
[01:13:49.000 --> 01:14:02.000]  Number two, to bring about the utter destruction of all national identity and national pride and shine any time you would like, which was the primary consideration in the concept of the one world government.
[01:14:02.000 --> 01:14:04.000]  The new world order was to work.
[01:14:04.000 --> 01:14:15.000]  So these things go hand in hand to establish a unified church and a monetary system and to break down national identity.
[01:14:15.000 --> 01:14:24.000]  This gives birth to this incredible bio-microchip that everyone on the planet walking, living, breathing have to accept the chip.
[01:14:24.000 --> 01:14:29.000]  And now they openly say they want the troops, and troops are already getting them, by the way, the special forces.
[01:14:29.000 --> 01:14:32.000]  All of this that was unbelievable 10 years ago is now in our face.
[01:14:32.000 --> 01:14:33.000]  Please continue.
[01:14:33.000 --> 01:14:34.000]  Exactly.
[01:14:34.000 --> 01:14:45.000]  Number three, to engineer and bring about the destruction of religion and more especially the Christian religion with one exception, their own creation as mentioned above.
[01:14:45.000 --> 01:15:02.000]  Number four, to establish the ability to control of each and every person through means of mind control and what Zbigniew Brzezinski called technotronics, I believe, which would create human-like robots and a system of terror,
[01:15:02.000 --> 01:15:10.000]  which would make these things come about and be acceptable by the people via the mind control.
[01:15:10.000 --> 01:15:16.000]  You walk through Newark Liberty Airport, you see robots talking to you, giving you directions.
[01:15:16.000 --> 01:15:20.000]  And they're just conditioning you and getting you ready, exactly.
[01:15:20.000 --> 01:15:21.000]  Exactly.
[01:15:21.000 --> 01:15:33.000]  And so, speaking of Europe, making you, what's the word I want to use, more blind, so to speak, to get you to accept instructions and authority from robots.
[01:15:33.000 --> 01:15:42.000]  Number five, to bring about the end of all industrialization and the production of nuclear generated electric power.
[01:15:42.000 --> 01:15:47.000]  By the way, he wrote this more than 20 years ago in one of his first books.
[01:15:47.000 --> 01:15:51.000]  And look, the post-industrial zero-growth society, see that? Keep going.
[01:15:51.000 --> 01:16:03.000]  Yes, exactly. Now, basically, what they're doing is 20 years ago, it would almost think that, okay, these things didn't take place, what's the problem?
[01:16:03.000 --> 01:16:09.000]  Well, you and I both know that the men that are operating behind the scenes call themselves men of towardness.
[01:16:09.000 --> 01:16:15.000]  And they will pass this agenda down to the next generation if they don't succeed in their particular lifetime.
[01:16:15.000 --> 01:16:17.000]  They never give up.
[01:16:17.000 --> 01:16:19.000]  Well, exactly. They don't.
[01:16:19.000 --> 01:16:29.000]  The agenda does not stop. If you and I go on vacation to catch a little spirit coming with, if they do this, the machine world keeps going.
[01:16:29.000 --> 01:16:39.000]  They wanted to bring this into fruition through NAFTA and other organizations and other programs that they have already set in motion.
[01:16:39.000 --> 01:16:50.000]  So if you look at the war on terror, when it talks about destroying the Taliban and other organizations that they helped create,
[01:16:50.000 --> 01:17:01.000]  it says in this particular document that the U.S., in the wake of industrial destruction, will either become opium, heroin, or cocaine addicts.
[01:17:01.000 --> 01:17:05.000]  This is what they are doing right now, unbeknownst to the troops that are fighting.
[01:17:05.000 --> 01:17:10.000]  Now, I know the government is listening, so we don't want to get charged with tradition.
[01:17:10.000 --> 01:17:19.000]  We're reading a document put out 20 years ago by Dr. John Coleman in the book The Story of the Committee of 300.
[01:17:19.000 --> 01:17:26.000]  Number six, to encourage and eventually legalize the use of drugs and make pornography an art form.
[01:17:26.000 --> 01:17:31.000]  My question is, does life imitate art, or does art imitate life?
[01:17:31.000 --> 01:17:40.000]  If you're going to make pornography an art form and then make it an art form to room, your little babies, my little babies, how does that work?
[01:17:40.000 --> 01:17:44.000]  It was like a nightmare. I was down in Galveston two weeks ago on a vacation.
[01:17:44.000 --> 01:17:51.000]  The last day I was there, a convention of cheerleaders came, but it was little kids at a competition.
[01:17:51.000 --> 01:17:55.000]  And there were like 10 year olds dressed like prostitutes everywhere.
[01:17:55.000 --> 01:18:00.000]  And they were being rude to my daughters because they thought they were there for the competition.
[01:18:00.000 --> 01:18:04.000]  And I mean, it was freaking me out. In fact, we even came home a day early.
[01:18:04.000 --> 01:18:08.000]  I mean, people are training their daughters to be whores.
[01:18:08.000 --> 01:18:18.000]  Wow. Number seven, to bring about the population of large cities according to the trial run carried out by Paul Potts,
[01:18:18.000 --> 01:18:20.000]  Paul Potts regime in Cambodia.
[01:18:20.000 --> 01:18:32.000]  And basically it says here, it's interesting to note that Paul Potts genocidal plans were drawn up in the U.S. by one of the club of Rome's research foundations and overseen by Thomas Indius.
[01:18:32.000 --> 01:18:38.000]  Now this is very critical. A lot of these things are done right from the United States of America.
[01:18:38.000 --> 01:18:45.000]  Number eight, to suppress all scientific development except for those deemed beneficial by the Illuminati.
[01:18:45.000 --> 01:19:00.000]  So if that is true, then we can roll our minds back just a few years ago to them, not a few years ago, in and around the mid 80s when the electric car was given birth to.
[01:19:00.000 --> 01:19:13.000]  And they sat on the electric car simply because the multinational corporations that control the oil and the gas did not want the electric car to hit the streets just yet.
[01:19:13.000 --> 01:19:22.000]  So here we are, 2011, 12 and 13, just now from the electric car, you see, they killed the electric car.
[01:19:22.000 --> 01:19:30.000]  Because maybe it gets 85 miles per gallon, and they didn't want that on the streets yet.
[01:19:30.000 --> 01:19:33.000]  Absolutely. We've got to go get on car life.
[01:19:33.000 --> 01:19:39.000]  There are millions of gas covering trucks and cars that are sitting there.
[01:19:39.000 --> 01:19:53.000]  Professor Griff's our guest. Stay there, sir. We're going to come back, finish up with the goals, and then go to your phone calls with Professor Griff, one of the founders of Public Enemy, their Minister of Information, laying it out and reminding me about Dr. John Coleman.
[01:19:53.000 --> 01:19:55.000]  Wow. Wow.
[01:19:55.000 --> 01:20:07.000]  Hello, I'm Alex Jones. Myself, my family, the Infowars.com team want to relay to you and your families that we are intensifying our efforts against the globalist on every front.
[01:20:07.000 --> 01:20:14.000]  Infowars.com is leading the fight against the technocrats, but we can't do that without your help.
[01:20:14.000 --> 01:20:25.000]  By getting the films, bumper stickers and T-shirts at Infowars.com, you will wake up people in your area and support our operation as we move to the next level.
[01:20:25.000 --> 01:20:29.000]  We need your help to spread the word like never before.
[01:20:29.000 --> 01:20:35.000]  They wish to hide themselves during this tectonic battle between the forces of freedom and darkness.
[01:20:35.000 --> 01:20:45.000]  You are the response to the globalist technocrats and their program of global eugenics dehumanization and ultimate extermination.
[01:20:45.000 --> 01:20:55.000]  The war is here. It's an info war. The spirit of 1776 versus the mindset of 1984.
[01:20:55.000 --> 01:21:00.000]  Hello, this is Ty Bollinger, author of the bestselling book Cancer Step Outside the Box.
[01:21:00.000 --> 01:21:12.000]  I want you to know some very important information. In 1985, President Ronald Reagan requested that Carnivora be sent directly to the White House at a time when only the president could obtain this world-class healer.
[01:21:12.000 --> 01:21:17.000]  Now, 27 years later, Carnivora capsules are used around the world to keep people healthy.
[01:21:17.000 --> 01:21:29.000]  Now you can protect yourself and your loved ones in this age of superbugs with 17 naturally occurring compounds that instinctively respond to abnormal cells only without harming a single normal cell.
[01:21:29.000 --> 01:21:36.000]  If you want to stay healthy, now's your chance to literally wake up your critical immune cells to attack harmful invaders that don't belong in your body.
[01:21:36.000 --> 01:21:44.000]  Call 1-866-VenusFly or order from Carnivora.com. That's C-A-R-N-I-V-O-R-A dot com.
