[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[30:59.000 --> 31:04.000]  InfowarsLife is bringing you a breakthrough in modern medicine, introducing pollen blocks.
[31:04.000 --> 31:10.000]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms including
[31:10.000 --> 31:16.000]  promoting clear nasal and sinus passageways, eye comfort and respiratory functions.
[31:16.000 --> 31:21.000]  In the 1960s, researchers in France noticed that people who ate certain quail eggs
[31:21.000 --> 31:25.000]  experienced less seasonal immune and inflammatory responses.
[31:25.000 --> 31:31.000]  They began studying this effect in published trials and decades later we now have the fruit of this research,
[31:31.000 --> 31:36.000]  a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[31:36.000 --> 31:41.000]  Pollen block is natural and effective. It is not an antihistamine.
[31:41.000 --> 31:46.000]  In fact, current research has found that it actually acts by blocking the activity of triptase
[31:46.000 --> 31:51.000]  which is an enzyme that amplifies immune and inflammatory responses in the body.
[31:51.000 --> 31:54.000]  Go outside and enjoy the air you breathe.
[31:54.000 --> 31:59.000]  Head to InfowarsLife.com and grab a pack of our pollen block chewable tablets.
[31:59.000 --> 32:03.000]  Alex Jones here to tell you about how you can help spread liberty worldwide
[32:03.000 --> 32:08.000]  while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[32:08.000 --> 32:13.000]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico
[32:13.000 --> 32:16.000]  where the Chiapas farmers grow their unique shade-grown Arabica beans.
[32:16.000 --> 32:21.000]  We have now managed to secure these sought-after beans in a highly customized blend.
[32:21.000 --> 32:28.000]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at InfowarsLife.com.
[32:28.000 --> 32:33.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn
[32:33.000 --> 32:35.000]  that so many other coffees give me personally.
[32:35.000 --> 32:42.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[32:42.000 --> 32:47.000]  Dropped by the site today, order a bag or two and I don't think you're going to be disappointed.
[32:47.000 --> 32:50.000]  Available in original or with our immune support infusion blend.
[32:50.000 --> 32:56.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[32:56.000 --> 32:59.000]  Available at InfowarsLife.com.
[32:59.000 --> 33:04.000]  You're listening to the Alex Jones Show.
[33:30.000 --> 33:32.000]  How's the life reserve talking?
[33:32.000 --> 33:34.000]  It's the last round for me, willing to have a fight.
[33:34.000 --> 33:36.000]  One eight point at this point.
[33:36.000 --> 33:41.000]  And only the dumbest morons buying to your SJW Globalist, George Soros, dropping.
[33:41.000 --> 33:42.000]  Stabilized.
[33:42.000 --> 33:43.000]  Emergency reserve.
[33:43.000 --> 33:46.000]  Hillary Clinton, it's the new world order of Michael Moore.
[33:46.000 --> 33:48.000]  Go back to where you came from.
[33:48.000 --> 33:52.000]  We're awake and you're not putting us back in the coma.
[33:52.000 --> 33:54.000]  You got this, Jack?
[33:54.000 --> 33:55.000]  You're done.
[33:55.000 --> 33:56.000]  It's over.
[33:56.000 --> 33:57.000]  You're won.
[33:57.000 --> 34:00.000]  Get him back. Get him back.
[34:18.000 --> 34:25.000]  The Cambridge Analytica Files story, that is one of the biggest stories in the worldwide media right now,
[34:25.000 --> 34:27.000]  is a giant, disgusting hoax.
[34:27.000 --> 34:31.000]  And I'm going to just say this and I'm done talking about it.
[34:31.000 --> 34:35.000]  It's already broken down earlier and laid it all out.
[34:35.000 --> 34:49.000]  They're saying that Stephen Bannon and some pink-haired guy developed the idea to data mine Facebook in 2014, 15, and 16 for political purposes.
[34:49.000 --> 34:55.000]  And that they have bots that then contact people and try to get them politically involved.
[34:55.000 --> 35:04.000]  That's what MySpace, Facebook, Twitter, Google, YouTube, all of that's been going on since the inception of the Internet as we know it.
[35:04.000 --> 35:09.000]  When you send somebody an auto response on email, that's a bot.
[35:09.000 --> 35:13.000]  And there's been no discussion of bots and manipulation politically.
[35:13.000 --> 35:15.000]  I've been talking about it forever.
[35:15.000 --> 35:18.000]  Except when they talk about Trump.
[35:18.000 --> 35:25.000]  In Congress, another investigation even admits less than one half of 1% of bot activity in 2016 was Russian.
[35:25.000 --> 35:27.000]  And 80% of that was leftist.
[35:27.000 --> 35:29.000]  Russia is like America.
[35:29.000 --> 35:31.000]  It's overrun with leftists.
[35:31.000 --> 35:33.000]  It's overrun with Soros operators.
[35:33.000 --> 35:36.000]  The Russians are just aware of it.
[35:36.000 --> 35:42.000]  Internationalists have had enough of New York, DC, globalism.
[35:42.000 --> 35:47.000]  It was the left-winton, took over Russia in 1917, 100 years ago, plus.
[35:47.000 --> 35:51.000]  Believe me, they've had a good gang raping.
[35:51.000 --> 35:55.000]  Bernie Sanders wanted to have his honeymoon there in the 70s and he did.
[35:55.000 --> 36:01.000]  He doesn't want to have it there now because it's not a place to have his way with Christians.
[36:01.000 --> 36:02.000]  That's what this is.
[36:02.000 --> 36:04.000]  The globalists want to mount your head on the wall.
[36:04.000 --> 36:05.000]  They're evil.
[36:05.000 --> 36:06.000]  They want dominance.
[36:06.000 --> 36:07.000]  They want control.
[36:07.000 --> 36:09.000]  They're mentally ill.
[36:09.000 --> 36:15.000]  Just like Hitler, just like Mao, they have this nature to want to control it all.
[36:15.000 --> 36:19.000]  They're like cancer.
[36:19.000 --> 36:22.000]  Bernie Sanders describes Soviet Union honeymoon.
[36:22.000 --> 36:24.000]  Oh, it's incredible.
[36:24.000 --> 36:28.000]  There's too many choices, too much medicine, too much entertainment in America.
[36:28.000 --> 36:30.000]  There's a quote.
[36:30.000 --> 36:35.000]  I like austerity, except I got five houses and a bunch of $100,000 cars.
[36:35.000 --> 36:37.000]  But I'm not in the ruling class.
[36:37.000 --> 36:38.000]  I'm Bernie Sanders.
[36:38.000 --> 36:39.000]  Sorry.
[36:39.000 --> 36:40.000]  The big news is coming.
[36:40.000 --> 36:44.000]  I just had to hit the spot news because...
[36:44.000 --> 36:47.000]  Did you hear Stephen Bannon discovered a thing called fire?
[36:47.000 --> 36:48.000]  Yeah, he did.
[36:48.000 --> 36:49.000]  He's really powerful.
[36:49.000 --> 36:50.000]  But a paint-cared guy actually did it.
[36:50.000 --> 36:53.000]  He's the guy behind it all.
[36:53.000 --> 37:00.000]  Because the idea of libertarians or nationalists even getting involved in bots, not bots that
[37:00.000 --> 37:04.000]  make people insecure, not bots that control them like Facebook documents show they do,
[37:04.000 --> 37:11.000]  not Zuckerberg famously saying, pull up New York Magazine, pull it up.
[37:11.000 --> 37:15.000]  Oh, our readers, they trust us.
[37:15.000 --> 37:18.000]  They're dumb efforts and laughing at everybody.
[37:18.000 --> 37:22.000]  And then the documents come out that it's their job to keep you depressed.
[37:22.000 --> 37:23.000]  We had the article earlier.
[37:23.000 --> 37:24.000]  Let's throw it up on screen.
[37:24.000 --> 37:26.000]  To keep you depressed, to control you.
[37:26.000 --> 37:28.000]  Yeah, embarrassing and damaging.
[37:28.000 --> 37:31.000]  Zuckerberg's IMs confirmed by Zuckerberg, the New Yorker.
[37:31.000 --> 37:32.000]  Scroll down.
[37:32.000 --> 37:37.000]  And he's talking about how much he hates his users.
[37:37.000 --> 37:43.000]  Zuck, so yeah, if you ever need info about anyone in Harvard, this is just them, their
[37:43.000 --> 37:45.000]  own alumni, how to stalk folks.
[37:45.000 --> 37:46.000]  Just ask.
[37:46.000 --> 37:49.000]  I have over 4,000 emails, pictures, addresses.
[37:49.000 --> 37:50.000]  Friend, what?
[37:50.000 --> 37:52.000]  How'd you manage that one?
[37:52.000 --> 37:53.000]  People just submitted it.
[37:53.000 --> 37:57.000]  I don't know why they trust me, dumb ass.
[37:57.000 --> 38:02.000]  Now, I remember eight years ago, to be on Facebook, they'd send a thing and go, are these really
[38:02.000 --> 38:07.000]  your friends and it'd be high school photos from 30 years ago and it would do a face scan
[38:07.000 --> 38:08.000]  of you.
[38:08.000 --> 38:14.000]  It's getting everything, sharing it, bigger than any database, 3 billion users, totally
[38:14.000 --> 38:20.000]  in control, AI system.
[38:20.000 --> 38:25.000]  But they think you're such troglodytes.
[38:25.000 --> 38:30.000]  Like when you're showing poor Pygmies and never seen technology, a lighter, it is God.
[38:30.000 --> 38:36.000]  You know, they've got flamethrowers over here, but they're like, look, Bannon made fire.
[38:36.000 --> 38:39.000]  Looky, looky, look at the fire.
[38:39.000 --> 38:42.000]  And everybody, woo, did you hear what Bannon did?
[38:42.000 --> 38:45.000]  And I've noticed that's a tactic they use against me.
[38:45.000 --> 38:47.000]  They'll go, Jones is a master manipulator.
[38:47.000 --> 38:48.000]  No one's better.
[38:48.000 --> 38:52.000]  Here's how he lies to people and then they'll show made up stuff I didn't say.
[38:52.000 --> 38:56.000]  But it's just appeal to like, wow, look, he's really good at BS.
[38:56.000 --> 39:01.000]  But that's not what I've done.
[39:01.000 --> 39:06.000]  So my point is Zuckerberg and all these big things are broke into your info.
[39:06.000 --> 39:07.000]  They're tracking everything.
[39:07.000 --> 39:09.000]  The appliances are watching and listening.
[39:09.000 --> 39:10.000]  Everything's a total free for all.
[39:10.000 --> 39:13.000]  And then there's lawsuits coming, congressional hearings.
[39:13.000 --> 39:15.000]  Steve Bannon worked with a company.
[39:15.000 --> 39:21.000]  Why up to 5 million profiles of Facebook were accessed without Facebook users permission
[39:21.000 --> 39:23.000]  and then people contacted them.
[39:23.000 --> 39:28.000]  It was like when they go bully the woman seeing it in Florida in Broward County.
[39:28.000 --> 39:32.000]  Why the Russian bots were, she was, no, I meet with the people here locally.
[39:32.000 --> 39:33.000]  We're libertarians and conservatives.
[39:33.000 --> 39:34.000]  We like Trump.
[39:34.000 --> 39:35.000]  We talked to her.
[39:35.000 --> 39:36.000]  She's a listener.
[39:36.000 --> 39:37.000]  She wouldn't want to come on.
[39:37.000 --> 39:38.000]  She wouldn't want any more attention.
[39:38.000 --> 39:46.000]  And they bully her because they claim something connected to a Russian bot once posted a link
[39:46.000 --> 39:49.000]  that was sent to her.
[39:49.000 --> 39:52.000]  See how dumb they think you are?
[39:52.000 --> 39:56.000]  So this bot thing's a big deal because they've got them.
[39:56.000 --> 39:57.000]  They use them.
[39:57.000 --> 40:02.000]  They're on record rigging everything.
[40:02.000 --> 40:04.000]  And this is all going on.
[40:04.000 --> 40:09.000]  And now the London Guardian just told us he was invented by a guy with pink hair four
[40:09.000 --> 40:10.000]  years ago.
[40:10.000 --> 40:16.000]  The article says that they, they were shutting AI robots off 20 something years ago because
[40:16.000 --> 40:17.000]  they'd know what they were doing.
[40:17.000 --> 40:23.000]  They had plans for information energy as it was called and then classified 35, 40 years
[40:23.000 --> 40:29.120]  ago, they had everything theoretically in the incredible mind of humans.
[40:29.120 --> 40:30.120]  And then now it's here.
[40:30.120 --> 40:34.640]  And then again, they tell you because they don't have a debate about how they're illegally
[40:34.640 --> 40:38.240]  using bots, how they're trying to make you depressed, how they're trying to rig everything,
[40:38.240 --> 40:41.080]  how they're rigging the debates, how they're rigging the town halls, how they're doing
[40:41.080 --> 40:42.080]  it all.
[40:42.080 --> 40:43.520]  No, no, no, no, no.
[40:43.520 --> 40:50.360]  If you try to harvest Facebook for 5 million names that you contact to politically be involved
[40:50.360 --> 40:55.840]  to be an American or to be sovereign, that's the dirtiest thing the world ever saw.
[40:55.840 --> 40:59.960]  And they talk about the guilt of the pink haired guy, you know, that he did this and
[40:59.960 --> 41:03.800]  didn't know what he'd done, but he was such a genius.
[41:03.800 --> 41:08.800]  And I wonder if this guy even knows he's being used because I went and looked at the company
[41:08.800 --> 41:15.080]  records and stuff, this is just some programmer for just some second rate standard, you know,
[41:15.080 --> 41:20.280]  contact program that goes and skims contacts, he can send somebody a damn email like this
[41:20.280 --> 41:24.600]  guy just discovered Valhalla and his ass at the same time.
[41:24.600 --> 41:31.920]  All right, our top story was the impending indictments of McCabe and Comey and Hillary
[41:31.920 --> 41:34.920]  and how bold that is of Trump and how are they going to strike back because that's
[41:34.920 --> 41:43.040]  huge news, we're going to get to that next and so much more.
[41:43.040 --> 41:45.680]  And then it turns out the executive of that company, according to Lee Sterni, and he's
[41:45.680 --> 41:55.040]  got the documents, turns out they sued me for claiming the CIA was involved with the
[41:55.040 --> 41:56.040]  growing government.
[41:56.040 --> 41:58.400]  So I wasn't really talking about him, but then it turns out the company reportedly works
[41:58.400 --> 42:02.600]  for Braggs that it runs up, carries out covert CIA operations.
[42:02.600 --> 42:05.480]  I mean, not that I ever thought anybody that works at the State Department might be involved
[42:05.480 --> 42:06.480]  with the CIA.
[42:06.480 --> 42:12.520]  Next year they're going to tell me that the sky's blue and penguins walk funny and bears
[42:12.520 --> 42:16.280]  take big old fat dumps in the woodlands.
[42:16.280 --> 42:18.360]  But we'll keep straight shooting you straight ahead.
[42:18.360 --> 42:21.760]  By the way, as you know, they're trying to shut us down.
[42:21.760 --> 42:24.840]  So when you spread the live links, you spread the articles, you're not bots, you're real
[42:24.840 --> 42:25.840]  people.
[42:25.840 --> 42:30.040]  When you, on your email or in person or whatever on local radio, spread the word about a local
[42:30.040 --> 42:33.600]  station, that's what gets the word out and funds our operation.
[42:33.600 --> 42:35.280]  And that's how we reach more people.
[42:35.280 --> 42:41.840]  So infowarstore.com, infowarslife.com, info wars in 2018 really is the archetypal example
[42:41.840 --> 42:49.560]  of human brains online fighting against the globalist and seeing if we can overturn this
[42:49.560 --> 42:50.800]  anti-human system.
[42:50.800 --> 42:53.760]  This is the human versus AI operation.
[42:53.760 --> 42:55.760]  We'll be right back.
[42:55.760 --> 42:59.360]  Stay with us.
[42:59.360 --> 43:00.360]  I'm so excited.
[43:00.360 --> 43:05.800]  The new product at infowarslife.com, in a glass bottle, two-month servings filled to
[43:05.800 --> 43:10.480]  the brim, filled to the absolute top, the real red pill.
[43:10.480 --> 43:15.920]  This is a heart and brain pill, a new tropic, but it doesn't have any stimulants in it.
[43:15.920 --> 43:18.920]  But boy, does it stimulate because it's beyond that.
[43:18.920 --> 43:25.240]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients,
[43:25.240 --> 43:31.840]  it wasn't prescription, but they were charging people $100, $200 for the formulae, and I came
[43:31.840 --> 43:36.560]  up with our own formulae working with some scientists and developers, non-GMO, made
[43:36.560 --> 43:43.200]  right here in America, 120 capsules, and ladies and gentlemen, you add the preglinone to it,
[43:43.200 --> 43:47.640]  which is the precursor to all the hormones that your body has to have to even make the
[43:47.640 --> 43:49.320]  hormones in your glands.
[43:49.320 --> 43:52.120]  It is amazing.
[43:52.120 --> 43:58.920]  Red pill now available at infowarsstore.com and your purchase fuzz the operation.
[43:58.920 --> 44:03.560]  After years of research working with top developers here in the United States, with the latest
[44:03.560 --> 44:10.320]  cutting-edge science, we are rolling out three new digestive gut aids.
[44:10.320 --> 44:16.280]  One of them is a powerful pro-digestive enzyme, carnivore, for being able to break down meat
[44:16.280 --> 44:22.760]  other proteins better, and then the other two is a powerful 50 billion live probiotic
[44:22.760 --> 44:28.160]  culture of the very best strains in fluorolife advanced restoration.
[44:28.160 --> 44:33.720]  And we also have an everyday extremely affordable fluorolife everyday maintenance, but all of
[44:33.720 --> 44:42.080]  these are the very cutting-edge, top-of-the-line probiotics and digestive enzymes at an extremely
[44:42.080 --> 44:43.600]  affordable price.
[44:43.600 --> 44:49.360]  That is my goal here, is to bring you the very best at the lowest price.
[44:49.360 --> 44:54.400]  When you purchase it at infowarsstore.com, you know you are also financing the attack
[44:54.400 --> 44:58.400]  on the globalist and the defense of our republic and freedom worldwide.
[44:58.400 --> 45:05.520]  Hey, did you know that you can now preserve your own food for up to 25 years and still
[45:05.520 --> 45:08.520]  maintain its nutrition and flavor?
[45:08.520 --> 45:09.520]  That's right.
[45:09.520 --> 45:14.240]  It's time to build your own food storage with Harvest Wright's Freeze Dryers.
[45:14.240 --> 45:19.440]  Go to infowarsstore.com to learn more and check out this innovative and smart technology
[45:19.440 --> 45:24.840]  that's easy to use, and let me tell you something, it is perfect for freeze-drying fruits, vegetables,
[45:24.840 --> 45:28.040]  meats, dairy products, desserts, and entire meals.
[45:28.040 --> 45:29.800]  Woo, that's what I'm talking about.
[45:29.800 --> 45:34.800]  And when compared to traditional methods of preservation, like canning or dehydrating,
[45:34.800 --> 45:38.800]  you know like what you get at the grocery store, there is no comparison.
[45:38.800 --> 45:44.640]  Harvest Wright Freeze Dryers retain 97% of the food's taste, color, and nutritional value
[45:44.640 --> 45:48.120]  and have a shelf life of up to 25 years.
[45:48.120 --> 45:51.560]  Now that's what I call the miracle of food preservation.
[45:51.560 --> 45:55.680]  Harvest Wright is truly the world's best, most affordable freeze dryer.
[45:55.680 --> 45:56.680]  So what are you waiting for?
[45:56.680 --> 45:59.680]  Check it out right now at infowarsstore.com.
[45:59.680 --> 46:02.480]  It's been sold out for months and now it's back.
[46:02.480 --> 46:08.800]  The MycoZX Plus, lower price, more ingredients because we scaled up, signed to your contract
[46:08.800 --> 46:13.080]  with an even bigger, organic manufacturer and producer.
[46:13.080 --> 46:19.600]  Scalability, but now we're able to go at 50% off to $27 instead of $39, 50% off because
[46:19.600 --> 46:22.600]  there's a lot of product and a lot of ingredient, MycoZX.
[46:22.600 --> 46:26.120]  Now it's the other side of the equation, everybody thinks about probiotics, now great
[46:26.120 --> 46:30.280]  they are for your gut because you have toxins in the environment, pesticides, herbicides,
[46:30.280 --> 46:37.040]  more importantly than bad bacteria, the probiotics help displace, yeast mold creates slime walls
[46:37.040 --> 46:41.920]  and once the candida and the yeast and the mold and all that get in there, it causes
[46:41.920 --> 46:42.920]  all sorts of syrups issues.
[46:42.920 --> 46:47.600]  Well, this has got a bunch of concentrated herbs in it and compounds known to destroy
[46:47.600 --> 46:49.600]  that slime wall.
[46:49.600 --> 46:51.760]  Don't wait to start detoxifying your body until it's too late.
[46:51.760 --> 47:03.560]  Pick up a bottle of the new and improved MycoZX Plus, now from the InfoWars store.
[47:03.560 --> 47:25.240]  We're listening to the Alex Jones show.
[47:25.240 --> 47:31.720]  We now take you live to the Central Texas Command Center and the heart of the Resistance,
[47:31.720 --> 47:33.720]  Alex Jones.
[47:33.720 --> 47:41.320]  All right, we're 47 minutes into this global broadcast and I have not gotten into our top
[47:41.320 --> 47:44.000]  story yet.
[47:44.000 --> 47:47.600]  You know, I'm not one to hype things as the audience knows, I don't sit there and say
[47:47.600 --> 47:53.920]  indictments of Hillary or imminent, indictments of McCabe or imminent until our sources have
[47:53.920 --> 47:58.160]  told us that indeed, that's where this is going and you've seen the evidence mount,
[47:58.160 --> 48:04.160]  the perjury to Congress, the fake dossiers, McCabe getting a half million from Hillary
[48:04.160 --> 48:14.360]  from her foundation, his wife, Comey, testifying on May 3rd, they never leaked anything and
[48:14.360 --> 48:19.240]  now we know he's the main leaker and then later on June 8th admitting he'd leaked going
[48:19.240 --> 48:27.040]  back over a year, repeatedly, I mean, that's all bombshell, but the big story is Trump's
[48:27.040 --> 48:32.760]  taking the gloves off and I've seen the real signs of them cracking with Joy Behar and
[48:32.760 --> 48:42.000]  Hillary's former campaign manager and Democrat Congressman Dick Durbin going, Trump's not
[48:42.000 --> 48:51.360]  racist, the same 30% of Democrats that voted to put Obama over the top are the ones that
[48:51.360 --> 48:54.600]  voted for Trump, which is true.
[48:54.600 --> 49:00.640]  And I've got a bunch of other examples, but I've watched everything and smarter Democrats
[49:00.640 --> 49:06.560]  who aren't even good people, but they're survivors, they see this as an extinction level of end.
[49:06.560 --> 49:11.240]  One side says go for broke, threaten everybody, shoo everybody, overthrow the country, call
[49:11.240 --> 49:17.040]  for the murder of the president and we've got clips of that, but the smart ones go, man,
[49:17.040 --> 49:20.200]  you've really revealed yourself.
[49:20.200 --> 49:24.080]  We should be acting like Trump to get our people in office like happen in Pennsylvania, there
[49:24.080 --> 49:26.440]  was also election fraud now proven.
[49:26.440 --> 49:27.440]  You need to stop.
[49:27.440 --> 49:35.000]  This is crazy, but Clinton and her crime network are still in control.
[49:35.000 --> 49:37.440]  Thank God, but not thank God.
[49:37.440 --> 49:41.160]  I mean, at a Machiavellian level, I'm like, oh, thank God, there's still in control, but
[49:41.160 --> 49:45.440]  I don't like seeing evil done and bad, even if it hurts the overall bad system, it's
[49:45.440 --> 49:52.120]  still unseemly because if there's a runaway bulldozer going through houses, okay, it's
[49:52.120 --> 49:55.080]  going to run over the first house that has bad guys in it.
[49:55.080 --> 49:56.080]  There's a bunch of other houses.
[49:56.080 --> 49:58.840]  You see, I think like moves ahead.
[49:58.840 --> 50:06.280]  I'm not arrogant and the globalists that are arrogant are like, right up the white flag,
[50:06.280 --> 50:07.960]  stop, stop.
[50:07.960 --> 50:10.040]  Trump never blinks.
[50:10.040 --> 50:12.520]  He never backs down.
[50:12.520 --> 50:14.640]  He's a pragmatist.
[50:14.640 --> 50:17.040]  He's actually a libertarian liberal.
[50:17.040 --> 50:21.840]  He just has a soft spot for America and they think that's mentally ill to not like just
[50:21.840 --> 50:26.480]  harvest everybody and screw everybody over and can, I mean, I love Facebook explaining
[50:26.480 --> 50:31.240]  that folks about, oh, Bannon got five million of your names out of three billion and contacted
[50:31.240 --> 50:32.240]  you.
[50:32.240 --> 50:33.240]  He raped you.
[50:33.240 --> 50:35.960]  I just call you dumb ass and try to keep your depression, rip you off.
[50:35.960 --> 50:40.000]  You know, it's like, I've done 85 billion times what he did, but I'm going to tell you
[50:40.000 --> 50:51.080]  how it's like Hitler being the chief judge at Nuremberg and then sentencing Nazi cadets
[50:51.080 --> 50:53.560]  to be hung.
[50:53.560 --> 50:59.960]  That's what's so it's the hypocrisy and watching them have the knowledge and screw people that
[50:59.960 --> 51:04.240]  I want to just tell people about the trick, the hat trick.
[51:04.240 --> 51:07.960]  And they say, I'm mentally ill because I know how the hat trick works.
[51:07.960 --> 51:11.320]  I'm like a globalist, but I don't use it to F people over.
[51:11.320 --> 51:12.440]  Do you understand that?
[51:12.440 --> 51:13.440]  That's what's so frustrating.
[51:13.440 --> 51:14.880]  These are bad people.
[51:14.880 --> 51:21.040]  The average leftist is a lost, bought, desperate, mentally ill under their control doing whatever
[51:21.040 --> 51:23.720]  they say, hoping they can be somebody.
[51:23.720 --> 51:30.400]  They use people, but I know if you use people, it comes back on you.
[51:30.400 --> 51:37.160]  I thought if we built everybody up, I would rise.
[51:37.160 --> 51:41.720]  And that's why they say I'm an arrogant, crazy person because I'm projecting my own
[51:41.720 --> 51:43.560]  cell phone to general public.
[51:43.560 --> 51:45.440]  Well, I just know this.
[51:45.440 --> 51:48.760]  I'm not signing on to you devil worship or pedophiles operation.
[51:48.760 --> 51:50.760]  So that's not going to happen.
[51:50.760 --> 51:55.080]  I've told you, feel your hand, you have filled it.
[51:55.080 --> 51:57.960]  And so we'll see at the end of the day what happens here.
[51:57.960 --> 52:00.640]  All I know is I got to make a good showing in front of God.
[52:00.640 --> 52:02.920]  You people aren't in my equation.
[52:02.920 --> 52:06.200]  There's only one entity that's in my equation.
[52:06.200 --> 52:10.520]  And when I spiritually feel like I'm lined up with God, I'm fine.
[52:10.520 --> 52:13.960]  The minute I get out of alignment, that's when that's the real torture.
[52:13.960 --> 52:18.320]  You people see, I serve somebody like Bob Dylan said, you globalists haven't got that yet.
[52:18.320 --> 52:19.320]  I don't serve Hollywood.
[52:19.320 --> 52:20.720]  I don't serve your new order.
[52:20.720 --> 52:23.680]  I don't give a rat's butt about any of this.
[52:23.680 --> 52:28.200]  I care about lining my soul up with God and doing things that are right.
[52:28.200 --> 52:34.440]  And you think, because I'm not a big narcissistic, inbred, scumbag sociopath like you that I'm
[52:34.440 --> 52:35.440]  weak?
[52:35.440 --> 52:38.080]  No, you're weak.
[52:38.080 --> 52:42.320]  I'm just trying to get right with God.
[52:42.320 --> 52:44.000]  So I got a bunch of these clips.
[52:44.000 --> 52:49.680]  This is James Kallstrom, former deputy head of the FBI, says they plotted to undermine
[52:49.680 --> 52:53.480]  Trump, to frame him and to protect Hillary, and they perjured themselves, and it's all
[52:53.480 --> 52:54.480]  coming out.
[52:54.480 --> 52:58.320]  And Trump's willing to play those cards in its bombshell.
[52:58.320 --> 53:02.960]  And just like Trump's delivered on every other thing he said he'd do, I have the Tiger
[53:02.960 --> 53:03.960]  Man.
[53:03.960 --> 53:04.960]  He is there to take down the globalists.
[53:04.960 --> 53:08.800]  And this criminal cabal that was so arrogant, it thought it was invincible.
[53:08.800 --> 53:09.800]  Here's that clip.
[53:09.800 --> 53:16.520]  I think we have ample facts revealed to us during this last year and a half that high-ranking
[53:16.520 --> 53:22.560]  people throughout the government, not just the FBI, high-ranking people, had a plot to
[53:22.560 --> 53:30.640]  not have Hillary Clinton, you know, indicted, so that she could remain the flawed candidate
[53:30.640 --> 53:33.760]  that she was, which in my view was stupidity.
[53:33.760 --> 53:39.800]  And they also had a, and even this Strock guy talked about this, and they had a backup
[53:39.800 --> 53:44.720]  plan to basically frame Donald Trump, and that's what's been going on.
[53:44.720 --> 53:53.240]  This whole thing, in my view, is just total phony, total phony, planet phony.
[53:53.240 --> 53:54.240]  And that's it.
[53:54.240 --> 53:55.240]  That's it.
[53:55.240 --> 54:03.760]  That's all they've got, is that, as he said, they're making about the FBI, and as if you're
[54:03.760 --> 54:07.960]  saying the average FBI agent's bad, the FBI is a middle player in this.
[54:07.960 --> 54:12.960]  You've got the National Security Agency, you've got the CIA, you've got Defense Intelligence,
[54:12.960 --> 54:16.920]  you've got Director of Nationality, you've got all of them involved illegally spying
[54:16.920 --> 54:22.960]  on Trump, the campaign, that's totally illegal, lying about what data they gained, lying to
[54:22.960 --> 54:28.840]  Congress, and then they've got the FBI trying to fix the investigation to protect Hillary,
[54:28.840 --> 54:32.560]  and then, oh my God, they got us with the Russians, and they got us with the Chinese.
[54:32.560 --> 54:33.920]  Let's go blame it on Trump.
[54:33.920 --> 54:36.360]  I mean, that's the whole plan.
[54:36.360 --> 54:39.280]  It's crazy.
[54:39.280 --> 54:42.920]  So let's get into some of the perjury, because Trump's come out and said, Comey is a perjurer,
[54:42.920 --> 54:46.320]  and then everybody started threatening him, we'll get to those clips, we get after the
[54:46.320 --> 54:47.320]  next segment.
[54:47.320 --> 54:55.720]  But here is May 3rd, Comey saying that he never supplied anybody with information, and then
[54:55.720 --> 55:00.400]  a month later, in June 8th, he's saying he did, and again, they've got the recordings,
[55:00.400 --> 55:03.840]  they've got the files, they've got the FBI files, now they've got it all.
[55:03.840 --> 55:08.440]  Comey was leaking the whole time before Trump even got elected, before he was even president,
[55:08.440 --> 55:13.160]  before he was even the nominee, which is illegal, here it is.
[55:13.160 --> 55:20.320]  Director Comey, have you ever been an anonymous source in news reports about matters relating
[55:20.320 --> 55:24.480]  to the Trump investigation or the Clinton investigation?
[55:24.480 --> 55:26.320]  Never.
[55:26.320 --> 55:35.280]  So, that's May 3rd, let's go to June 8th, and here he is once he knows that they've
[55:35.280 --> 55:39.480]  already talked to the sources, FBI agents were there, there's been a lot of FBI agents
[55:39.480 --> 55:43.480]  with them, in fact, I'm not lionizing the FBI, but it is FBI agents that have actually
[55:43.480 --> 55:46.880]  been the critical witnesses of Congress, and the president, they're about to bring all
[55:46.880 --> 55:47.880]  this down.
[55:47.880 --> 55:52.320]  So, once he knows the FBI agents have told the truth, and blown his cover for his criminal
[55:52.320 --> 55:54.720]  operations, here's what he says.
[55:54.720 --> 56:04.520]  And finally, did you show copies of your memos to anyone outside of the Department of Justice?
[56:04.520 --> 56:05.520]  Yes.
[56:05.520 --> 56:06.520]  Yes.
[56:06.520 --> 56:08.680]  And to whom did you show copies?
[56:08.680 --> 56:14.120]  I asked, the president tweeted on Friday after I got fired that I better hope there's
[56:14.120 --> 56:15.400]  not tapes.
[56:15.400 --> 56:19.440]  I woke up in the middle of the night, on Monday night, because it didn't dawn on me originally,
[56:19.440 --> 56:23.000]  that there might be corroboration for our conversation, there might be a tape...
