[00:00.000 --> 00:24.000]  This is an emergency transmission from FEMA Region 6 in Occupied, North America.
[01:04:36.000 --> 01:04:40.000]  Early it's the 18th, but they asked me to stop saying it so they can get it all out on the 18th.
[01:04:40.000 --> 01:04:47.000]  We've got to get everything out by December 18th for Christmas to guarantee under USPS or even UPS that you get it a few days before Christmas.
[01:04:47.000 --> 01:04:51.000]  So if you want this limited edition shirt, it's available.
[01:04:51.000 --> 01:04:52.000]  It's navy blue.
[01:04:52.000 --> 01:04:53.000]  It looks like a campaign shirt.
[01:04:53.000 --> 01:04:55.000]  It's lots of fun to engage in the First Amendment.
[01:04:55.000 --> 01:04:56.000]  Get yours today.
[01:04:56.000 --> 01:05:00.000]  Speaking of attack on the First Amendment, we're going to break it down straight ahead.
[01:05:00.000 --> 01:05:04.000]  What exactly is political correctness and why is it being pushed on the American public?
[01:05:04.000 --> 01:05:10.000]  Well, political correctness is simply a form of psychological manipulation the government uses to control public opinion.
[01:05:10.000 --> 01:05:14.000]  By controlling your opinions, the establishment gets you to not only agree with their agenda,
[01:05:14.000 --> 01:05:19.000]  but to also ensure that your government created viewpoint also influences others in ripple effect.
[01:05:19.000 --> 01:05:22.000]  And this is how the power elite and the government stay in power.
[01:05:22.000 --> 01:05:25.000]  They use psychological manipulation to turn the public into obedient sheeple,
[01:05:25.000 --> 01:05:29.000]  and over time we lose our ability to distinguish reality from deception.
[01:05:29.000 --> 01:05:32.000]  But how does political correctness and other deliberate deceptions work?
[01:05:32.000 --> 01:05:36.000]  Well, first, the establishment saturates mass media with their agenda they're trying to push
[01:05:36.000 --> 01:05:42.000]  until it invades every aspect of popular culture and is accepted as truth, such as global warming, for example.
[01:05:42.000 --> 01:05:46.000]  Then the establishment suppresses any counterarguments through their agenda by calling critics
[01:05:46.000 --> 01:05:51.000]  kooky, nutjobs, racists, or, in the case of man-made climate change, climate deniers.
[01:05:51.000 --> 01:05:56.000]  You can learn more about this tyranny over the minds of men at infowars.com, PrismPlanet.tv,
[01:05:56.000 --> 01:05:58.000]  and our YouTube channel, Resistance News.
[01:05:58.000 --> 01:06:03.000]  This is Kit Daniels reporting.
[01:06:28.000 --> 01:06:32.000]  For the cheap energy drinks, energy shots, they've got a ton of money there.
[01:06:32.000 --> 01:06:36.000]  Sourced from powerful organic herbs, harvested around the planet,
[01:06:36.000 --> 01:06:40.000]  and then concentrated, or maximum potency.
[01:06:40.000 --> 01:06:44.000]  They want to stun and dumb down and energy drinks and stuff, just cover that up for a while,
[01:06:44.000 --> 01:06:46.000]  but then burn you out in my experience,
[01:06:46.000 --> 01:06:50.000]  whereas stuff that gets your glands naturally going goes right to the source,
[01:06:50.000 --> 01:06:52.000]  so it's pretty exciting and I love it.
[01:06:52.000 --> 01:06:56.000]  Visit infowars.com today to secure your super male vitality
[01:06:56.000 --> 01:06:59.000]  and other powerful products from infowars life.
[01:06:59.000 --> 01:07:01.000]  Clean, pure drinking water.
[01:07:01.000 --> 01:07:04.000]  You can't survive without it, but where do you get it?
[01:07:04.000 --> 01:07:09.000]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system
[01:07:09.000 --> 01:07:10.000]  that is like no other.
[01:07:10.000 --> 01:07:16.000]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water,
[01:07:16.000 --> 01:07:20.000]  pairing the unprecedented super filtration power of an all-new gravity block core
[01:07:20.000 --> 01:07:26.000]  with a hybrochromatic shell, it removes up to 99.999% of impurities,
[01:07:26.000 --> 01:07:33.000]  including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[01:07:33.000 --> 01:07:35.000]  Filter capacity up to 5,000 gallons.
[01:07:35.000 --> 01:07:37.000]  Stainless fuel construction.
[01:07:37.000 --> 01:07:38.000]  Easy assembly.
[01:07:38.000 --> 01:07:39.000]  Low maintenance.
[01:07:39.000 --> 01:07:41.000]  Replacement filters are simple to install.
[01:07:41.000 --> 01:07:45.000]  And now, as part of an exclusive limited-time introductory offer,
[01:07:45.000 --> 01:07:48.000]  you can save $20 off the retail price and get free shipping.
[01:07:48.000 --> 01:07:53.000]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[01:07:53.000 --> 01:07:59.000]  Go to infowarsstore.com or call 888-253-3139.
[01:08:01.000 --> 01:08:06.000]  The Genesis Communications Radio Network proudly presents the Alex Jones Show
[01:08:06.000 --> 01:08:09.000]  because there's a war on for your mind.
[01:08:13.000 --> 01:08:17.000]  Now, coming up in the shower, Michael Savage is now on with us tomorrow
[01:08:17.000 --> 01:08:18.000]  in the first hour.
[01:08:18.000 --> 01:08:19.000]  We've moved Michael Savage.
[01:08:19.000 --> 01:08:20.000]  He needed to move it.
[01:08:20.000 --> 01:08:23.000]  Syndicate of Talk Show is best-selling author.
[01:08:23.000 --> 01:08:26.000]  To tomorrow during the first hour, he will not be joining us today.
[01:08:26.000 --> 01:08:31.000]  We have Dr. Jerome Corsi tomorrow joining us on the economy, on ISIS, on Russia.
[01:08:31.000 --> 01:08:35.000]  We have Colonel Schaeferb, formerly Rand Stratus Ivy,
[01:08:35.000 --> 01:08:40.000]  and Abel Danger, the program to kill al-Qaeda operatives for the U.S. Army.
[01:08:40.000 --> 01:08:43.000]  He was ordered to stand down and not take out al-Qaeda twice
[01:08:43.000 --> 01:08:47.000]  when they knew where bin Laden was residing.
[01:08:47.000 --> 01:08:50.000]  He, of course, has helped expose bin Ghazi and so much more,
[01:08:50.000 --> 01:08:55.000]  and he's involved with private and governmental military groups
[01:08:55.000 --> 01:08:59.000]  with a lot of really classified stuff he obviously won't be talking about here on air.
[01:08:59.000 --> 01:09:02.000]  But he will be telling us what he can tell us,
[01:09:02.000 --> 01:09:04.000]  not that we don't already pretty much know what's going on,
[01:09:04.000 --> 01:09:05.000]  thanks to him and others.
[01:09:05.000 --> 01:09:07.000]  He will be joining us tomorrow as well.
[01:09:07.000 --> 01:09:10.000]  So, Savage, Schaefer, and Corsi tomorrow,
[01:09:10.000 --> 01:09:14.000]  that will be a big Tuesday worldwide transmission.
[01:09:14.000 --> 01:09:17.000]  So, definitely join us for that.
[01:09:17.000 --> 01:09:20.000]  Then, of course, there's the nightly news tonight, 7 o'clock Central Time,
[01:09:20.000 --> 01:09:23.000]  PrisonPlanet.tv.
[01:09:23.000 --> 01:09:27.000]  Coming up, I want to get into the Texas Tribune article.
[01:09:27.000 --> 01:09:28.000]  Reitbart has a story.
[01:09:28.000 --> 01:09:34.000]  Sanctuary city policies will no longer be tolerated in Texas, says Governor Abbott.
[01:09:34.000 --> 01:09:39.000]  And my problem with this is I've talked to prosecutors.
[01:09:39.000 --> 01:09:40.000]  It's been in the news.
[01:09:40.000 --> 01:09:42.000]  Police chiefs have admitted it.
[01:09:42.000 --> 01:09:45.000]  In 800-plus cities, well, that's counting a bunch of towns.
[01:09:45.000 --> 01:09:48.000]  They say it's 400-plus major cities.
[01:09:48.000 --> 01:09:53.000]  400 places that are above, you know, 50,000,
[01:09:53.000 --> 01:09:56.000]  where they don't arrest them for DWIs.
[01:09:56.000 --> 01:09:57.000]  I've talked to Austin cops.
[01:09:57.000 --> 01:10:00.000]  They go, yeah, judges let them go for $10 fines.
[01:10:00.000 --> 01:10:03.000]  Everybody knows you get hit by an illegal without insurance.
[01:10:03.000 --> 01:10:05.000]  Insurance companies don't do anything.
[01:10:05.000 --> 01:10:08.000]  I've been hit by an illegal.
[01:10:08.000 --> 01:10:11.000]  And the police came and they just said no insurance, blah, blah, blah.
[01:10:11.000 --> 01:10:13.000]  And the guy wrote him a ticket, but nothing happened.
[01:10:13.000 --> 01:10:17.000]  And the insurance company just said, oh, whatever, we're not going to go after him.
[01:10:17.000 --> 01:10:18.000]  We can't.
[01:10:18.000 --> 01:10:19.000]  And then I got hit on my insurance.
[01:10:19.000 --> 01:10:22.000]  I was rear-ended in a parking lot like 10 years ago.
[01:10:22.000 --> 01:10:28.000]  And it's just crazy to see the government throw the book at citizens.
[01:10:28.000 --> 01:10:32.000]  Regardless of what color you are, we're seen as the big fat chumps.
[01:10:32.000 --> 01:10:33.000]  We're seen as dinner.
[01:10:33.000 --> 01:10:37.000]  We're seen as here to be fed on, but not the illegals.
[01:10:37.000 --> 01:10:44.000]  But I have a personal beef with Lupe Valdes with the Dallas Sheriff's Department.
[01:10:44.000 --> 01:10:49.000]  And what happens when sheriffs and mayors build their own little third world kingdoms
[01:10:49.000 --> 01:10:55.000]  and tell the illegals, come here, basically vote for me, get on the social services.
[01:10:55.000 --> 01:11:01.000]  And then it's all basically racially based.
[01:11:01.000 --> 01:11:03.000]  It's crazy.
[01:11:03.000 --> 01:11:06.000]  But what are the Mexicans going to do when it's Chinese?
[01:11:06.000 --> 01:11:08.000]  The Chinese are current rates.
[01:11:08.000 --> 01:11:14.000]  By 2025, if you look at different census numbers, Chinese immigrants will dwarf Mexicans.
[01:11:14.000 --> 01:11:18.000]  And they, again, operate together, unified in a group.
[01:11:18.000 --> 01:11:20.000]  The truth is, every culture works together.
[01:11:20.000 --> 01:11:21.000]  The Jews work together.
[01:11:21.000 --> 01:11:22.000]  The Chinese work together.
[01:11:22.000 --> 01:11:23.000]  The Mexicans work together.
[01:11:23.000 --> 01:11:26.000]  Who's been trained not to work together?
[01:11:26.000 --> 01:11:30.000]  Europeans, Westerners.
[01:11:30.000 --> 01:11:37.000]  And my issue is I refuse to be controlled in a balkanization and put in a group.
[01:11:37.000 --> 01:11:44.000]  I want to promote a culture of bill of rights, free association, private property.
[01:11:44.000 --> 01:11:46.000]  And then we're all in that cult.
[01:11:46.000 --> 01:11:48.000]  Because humans are always going to be in a cult.
[01:11:48.000 --> 01:11:49.000]  They're always going to be in a gang.
[01:11:49.000 --> 01:11:50.000]  We are tribal.
[01:11:50.000 --> 01:11:52.000]  Well, let's sell the idea of freedom.
[01:11:52.000 --> 01:12:01.000]  And 1776 is our tribe and prosperity and freedom and family.
[01:12:01.000 --> 01:12:04.000]  And by the way, that sells with a lot of these immigrants.
[01:12:04.000 --> 01:12:09.000]  They're just being force fed the balkanization and being told everyone hates you.
[01:12:09.000 --> 01:12:10.000]  You poor thing.
[01:12:10.000 --> 01:12:12.000]  You didn't get enough anchor baby money.
[01:12:12.000 --> 01:12:13.000]  You didn't get a nice enough car.
[01:12:13.000 --> 01:12:15.000]  You didn't get all these things you needed.
[01:12:15.000 --> 01:12:17.000]  You poor little sweetie cake.
[01:12:17.000 --> 01:12:19.000]  We're sorry the white people are so racist.
[01:12:19.000 --> 01:12:21.000]  Joe Biden, Barack Obama say.
[01:12:21.000 --> 01:12:25.000]  We're sorry they hate you really 69% of Hispanics.
[01:12:25.000 --> 01:12:29.000]  Wide spectrum poll, including illegals don't want open borders.
[01:12:29.000 --> 01:12:32.000]  No kidding.
[01:12:32.000 --> 01:12:34.000]  It's a fundamental fairness issue.
[01:12:34.000 --> 01:12:36.000]  You can't go to Mexico and get something free.
[01:12:36.000 --> 01:12:38.000]  You can't go to Guatemala and get something free.
[01:12:38.000 --> 01:12:44.000]  You can't go to Chile or El Salvador and get something free.
[01:12:44.000 --> 01:12:50.000]  So we're going to get to that and governor Abbott's amazing letter from October 26.
[01:12:50.000 --> 01:12:53.000]  And then I want to read Breitbart, which hits it on the head.
[01:12:53.000 --> 01:12:55.000]  And I'm not just saying as I agree with it.
[01:12:55.000 --> 01:12:56.000]  This is an accurate article.
[01:12:56.000 --> 01:13:01.000]  I'm an expert on what's going on with sanctuary cities, especially Dallas, my hometown.
[01:13:01.000 --> 01:13:08.000]  I've been brutalized by her sheriff deputies for no reason.
[01:13:08.000 --> 01:13:12.000]  I mean, she's a thug.
[01:13:12.000 --> 01:13:16.000]  It's on video.
[01:13:16.000 --> 01:13:20.000]  And then it ties into Beijing has covert radio networks in the U.S.
[01:13:20.000 --> 01:13:24.000]  Oh, yeah, I've dealt with major censorship from the Chinese government.
[01:13:24.000 --> 01:13:27.000]  And so is Michael Savage.
[01:13:27.000 --> 01:13:30.000]  And if you criticize radical Islam, they'll ban you from entering Europe now.
[01:13:30.000 --> 01:13:32.000]  I mean, this is really going on.
[01:13:32.000 --> 01:13:35.000]  And I'm going to get to that coming up in your phone calls.
[01:13:35.000 --> 01:13:43.000]  The toll free number to join us is 800-259-9231-800-2599-231.
[01:13:43.000 --> 01:13:48.000]  Now, I genuinely care about Muslim people.
[01:13:48.000 --> 01:13:54.000]  I genuinely am not an Islamophobe.
[01:13:54.000 --> 01:14:01.000]  I genuinely understand that there is a divide and conquer strategy going on.
[01:14:01.000 --> 01:14:05.000]  And that most people from the Middle East simply want a chance to be prosperous
[01:14:05.000 --> 01:14:08.000]  and to live the American dream.
[01:14:08.000 --> 01:14:14.000]  But the immigrants being brought in that were brought into Syria from all over the Muslim world
[01:14:14.000 --> 01:14:20.000]  from Chechnya to Saudi Arabia, from Iraq to North Africa,
[01:14:20.000 --> 01:14:24.000]  are coming there to sow their oats, rape, rob and murder.
[01:14:24.000 --> 01:14:27.000]  80% or more of the people coming into Europe are military age men.
[01:14:27.000 --> 01:14:30.000]  They post pictures of themselves on Facebook and Twitter.
[01:14:30.000 --> 01:14:35.000]  Once they get into Germany saying, hey, baby, I'm ready to party with them with rocket launchers.
[01:14:35.000 --> 01:14:40.000]  That's their culture of this particular group, Wahhabi, is to show off.
[01:14:40.000 --> 01:14:43.000]  And they're being allowed to come in to then commit terrorist crimes,
[01:14:43.000 --> 01:14:47.000]  and then they're going to take Europeans' rights, not the jihadis.
[01:14:47.000 --> 01:14:51.000]  They're going to say, take down your churches, take down your steeples, shut them down,
[01:14:51.000 --> 01:14:54.000]  don't wear short skirts, you offend the Muslims, it's your fault.
[01:14:54.000 --> 01:14:56.000]  And that's already happening.
[01:14:56.000 --> 01:15:03.000]  See, they teach you under political correctness to give up your culture, lay down and be run over.
[01:15:03.000 --> 01:15:10.000]  And it's the same breakdown of the broken strategy, the divide and conquer.
[01:15:10.000 --> 01:15:15.000]  Where you break the culture into 100 parts and the government itself glues them back together,
[01:15:15.000 --> 01:15:18.000]  but they're the glue that controls you.
[01:15:18.000 --> 01:15:20.000]  They're the shackles that bind you.
[01:15:20.000 --> 01:15:24.000]  And I know everybody gets this, but we're really seeing at a diabolical level
[01:15:24.000 --> 01:15:30.000]  millions and millions a year of people brought in and then a red carpet rolled out
[01:15:30.000 --> 01:15:36.000]  as a reverse psychology to just totally go for broke
[01:15:36.000 --> 01:15:41.000]  where people just become flabbergasted and get in a fetal position
[01:15:41.000 --> 01:15:44.000]  and go into a catatonic state.
[01:15:44.000 --> 01:15:50.000]  But I see mainstream news articles in Germany and in other countries of Europe
[01:15:50.000 --> 01:15:54.000]  with a straight face where the radical Islamists say,
[01:15:54.000 --> 01:16:00.000]  I want a car, I want a job, I want to paycheck now, a house isn't enough.
[01:16:00.000 --> 01:16:04.000]  And by the way, your daughters are going to do what we say and we're here to take over.
[01:16:04.000 --> 01:16:07.000]  This is how arrogant these people are because they have nothing.
[01:16:07.000 --> 01:16:13.000]  But as military age men from these cultures, they're not embarrassed that they're there wanting handouts.
[01:16:13.000 --> 01:16:17.000]  They flip the script and just get super demanding.
[01:16:17.000 --> 01:16:20.000]  And they have German school kids catering to them.
[01:16:20.000 --> 01:16:23.000]  They're kicking old people out of government housing, putting the illegals in there.
[01:16:23.000 --> 01:16:26.000]  They are taking down church steeples.
[01:16:26.000 --> 01:16:29.000]  I mean, every day I see straight faced articles going,
[01:16:29.000 --> 01:16:35.000]  we believe the main central church, by the way, taken over years ago by the government,
[01:16:35.000 --> 01:16:39.000]  needs to have the steeple taken down because it's offensive.
[01:16:39.000 --> 01:16:43.000]  And we're going to house the migrants in there and with their Imam,
[01:16:43.000 --> 01:16:48.000]  we're going to make it more comfortable and put a moon, a crescent moon on the top.
[01:16:48.000 --> 01:16:51.000]  Actually, I have the articles right here.
[01:16:51.000 --> 01:16:56.000]  And with a straight face, they have to rub the Germans' noses in it.
[01:16:56.000 --> 01:16:58.000]  That's why they have governors and stuff go,
[01:16:58.000 --> 01:17:01.000]  you don't like 4,000 people in your town of 3,000?
[01:17:01.000 --> 01:17:02.000]  Leave.
[01:17:02.000 --> 01:17:03.000]  People are like, how dare you?
[01:17:03.000 --> 01:17:04.000]  They're like, that's right.
[01:17:04.000 --> 01:17:05.000]  Leave.
[01:17:07.000 --> 01:17:10.000]  Because it's all about breaking their will.
[01:17:10.000 --> 01:17:14.000]  A mass migrant crisis and it may get worse is the headline, New York Times.
[01:17:14.000 --> 01:17:17.000]  And it shows just the columns of thousands pouring in.
[01:17:17.000 --> 01:17:21.000]  German village of 102, races for 750 asylum seekers.
[01:17:21.000 --> 01:17:25.000]  The German village is told, you will accept them, you will pay for them.
[01:17:25.000 --> 01:17:30.000]  And by the way, women, you need to stop wearing and again,
[01:17:30.000 --> 01:17:35.000]  and as soon as the women start wearing the long pants, the long skirts,
[01:17:35.000 --> 01:17:38.000]  next it's, I want to put a little something around your face.
[01:17:38.000 --> 01:17:42.000]  And the political correct now are actually, as a sacrament against the West,
[01:17:42.000 --> 01:17:45.000]  it's now fashionable in Germany, the women are now doing it.
[01:17:45.000 --> 01:17:48.000]  I submit, I bow, I do what the socialists say.
[01:17:48.000 --> 01:17:51.000]  Norway, immigrants, brutally gang rate, 14 year old girl,
[01:17:51.000 --> 01:17:53.000]  one gets off with community service.
[01:17:53.000 --> 01:17:54.000]  Boom.
[01:17:54.000 --> 01:17:56.000]  Sodomized her as she begged.
[01:17:56.000 --> 01:17:57.000]  They admit it.
[01:18:01.000 --> 01:18:04.000]  Latest headline, German school abolishes Christian festival to avoid
[01:18:04.000 --> 01:18:06.000]  offending Muslim migrants.
[01:18:06.000 --> 01:18:09.000]  St. Martin's Day celebration amended to facilitate the quote,
[01:18:09.000 --> 01:18:12.000]  integration, close quote, of asylum seekers.
[01:18:12.000 --> 01:18:15.000]  Primary schools and kindergartens in Germany are abolishing the Christian
[01:18:15.000 --> 01:18:20.000]  celebration and changing it to a generic festival of lights that will not please.
[01:18:20.000 --> 01:18:24.000]  So as not to offend the hundreds of thousands of Muslim migrants
[01:18:24.000 --> 01:18:29.000]  pouring into the country, according to the translated report from Epoch Times,
[01:18:29.000 --> 01:18:33.000]  schools are renaming the Christian themed St. Martin's Day an annual celebration
[01:18:33.000 --> 01:18:38.000]  that takes place in numerous European countries, November 11th.
[01:18:38.000 --> 01:18:43.000]  Several daycare centers in Dusseldorf have abolished the festival
[01:18:43.000 --> 01:18:46.000]  altogether out of consideration for the refugees.
[01:18:46.000 --> 01:18:49.000]  See, see, political correctness means you give up your culture,
[01:18:49.000 --> 01:18:52.000]  you assimilate to whatever culture the globalists say.
[01:18:52.000 --> 01:18:57.000]  And if they can get you to accept radical, Wahhabist Islam,
[01:18:57.000 --> 01:19:01.000]  which I've seen these Wahhabist men, they put on gangster outfits
[01:19:01.000 --> 01:19:04.000]  in Europe and go, yeah baby, come on, yeah.
[01:19:04.000 --> 01:19:07.000]  And it's like, Mohammed says I can rape you.
[01:19:07.000 --> 01:19:11.000]  I mean, it's like weird gangster stuff mutates with all this Mohammed stuff.
[01:19:11.000 --> 01:19:14.000]  I mean, it is just crazy.
[01:19:14.000 --> 01:19:22.000]  And then to see the left all just getting so excited.
[01:19:22.000 --> 01:19:26.000]  By the way, I went to my cousin's birthday party.
[01:19:26.000 --> 01:19:27.000]  I'm going to skip the network break.
[01:19:27.000 --> 01:19:28.000]  I have to do another stop.
[01:19:28.000 --> 01:19:32.000]  I went to my cousin's birthday party.
[01:19:32.000 --> 01:19:37.000]  It's like a day before Halloween, but it was a costume party, you know, that's fun.
[01:19:37.000 --> 01:19:44.000]  And I was wearing a captain's hat because we, he rented a boat and we went out on Lake Austin,
[01:19:44.000 --> 01:19:46.000]  a bunch of people and music and drove around.
[01:19:46.000 --> 01:19:49.000]  And then I went back and it was actually a party.
[01:19:49.000 --> 01:19:52.000]  He rented a big condo downtown.
[01:19:52.000 --> 01:19:57.000]  And once at the condo, but also once at a restaurant slash bars,
[01:19:57.000 --> 01:20:02.000]  we were a bunch of places, I had a white guy once and then a white girl another time.
[01:20:02.000 --> 01:20:04.000]  I said two times, actually three times.
[01:20:04.000 --> 01:20:07.000]  And then a, and then a guy that looked like he was Arab.
[01:20:07.000 --> 01:20:14.000]  I didn't ask him come up to me and I'm out there on the balcony.
[01:20:14.000 --> 01:20:15.000]  Beautiful night sky.
[01:20:15.000 --> 01:20:20.000]  I'm watching a drone fly around and he says, what are you?
[01:20:20.000 --> 01:20:22.000]  So a couple of us were wearing captain's hats.
[01:20:22.000 --> 01:20:23.000]  We're going to go out on a boat.
[01:20:23.000 --> 01:20:28.000]  So we just went to the store like $2 a piece and got a captain's hats or $4, something like that.
[01:20:28.000 --> 01:20:30.000]  And I'm like, what is that?
[01:20:30.000 --> 01:20:33.000]  And I turn and I look at him.
[01:20:33.000 --> 01:20:35.000]  He goes, what is that Nazi?
[01:20:35.000 --> 01:20:38.000]  Because I'm offended by Nazis.
[01:20:38.000 --> 01:20:40.000]  And I went, are you, are you joking?
[01:20:40.000 --> 01:20:41.000]  You think this is a Nazi hat?
[01:20:41.000 --> 01:20:42.000]  I said, yeah, it is.
[01:20:42.000 --> 01:20:43.000]  I turned around and squared up to the guy.
[01:20:43.000 --> 01:20:45.000]  I said, yeah, it is a Nazi hat.
[01:20:45.000 --> 01:20:47.000]  Got a problem with it?
[01:20:47.000 --> 01:20:48.000]  What if it was a Nazi hat?
[01:20:48.000 --> 01:20:50.000]  Why can't I dress up like World War two?
[01:20:50.000 --> 01:20:51.000]  But you know it's not a Nazi hat.
[01:20:51.000 --> 01:20:56.000]  You want to show off in front of these women right here with your cultural superiority and
[01:20:56.000 --> 01:21:02.000]  henpeck me to act like I've done something wrong as an act of aggression by you.
[01:21:02.000 --> 01:21:07.000]  And this whole cultural jihad that's getting pushed by the left.
[01:21:07.000 --> 01:21:09.000]  Isn't that what it's about?
[01:21:09.000 --> 01:21:11.000]  He goes, actually, I kind of agree with you.
[01:21:11.000 --> 01:21:12.000]  I guess you're right.
[01:21:12.000 --> 01:21:13.000]  I went, oh, good.
[01:21:13.000 --> 01:21:16.000]  Have a nice night.
[01:21:16.000 --> 01:21:26.000]  There was a blonde college girl who literally was going around saying, I just didn't want
[01:21:26.000 --> 01:21:29.000]  to wear any costume because of my white guilt.
[01:21:29.000 --> 01:21:32.000]  I don't want to offend anybody.
[01:21:32.000 --> 01:21:33.000]  We're like, great.
[01:21:33.000 --> 01:21:36.000]  So this is how mentally ill people are.
[01:21:36.000 --> 01:21:43.000]  There are people going around all over the place so mentally ill that they're going, I'm
[01:21:43.000 --> 01:21:46.000]  so guilty of what I'm wearing, it might offend someone.
[01:21:46.000 --> 01:21:49.000]  I better not wear anything and telling everyone about it.
[01:21:49.000 --> 01:21:55.000]  And then I had a white guy and an Arab guy separately at the restaurant slash bar come
[01:21:55.000 --> 01:21:57.000]  over and say, what's that hat?
[01:21:57.000 --> 01:22:00.000]  And I went, oh, no, this isn't happening again.
[01:22:00.000 --> 01:22:02.000]  I said, what's it look like?
[01:22:02.000 --> 01:22:04.000]  I thought maybe he's being friendly.
[01:22:04.000 --> 01:22:05.000]  He goes, I don't know.
[01:22:05.000 --> 01:22:06.000]  It looks kind of fascist.
[01:22:06.000 --> 01:22:10.000]  I went, really, it's a classic police hat style captain hat.
[01:22:10.000 --> 01:22:12.000]  It's like a 2030s, 40s hat.
[01:22:12.000 --> 01:22:14.000]  It's an officer's hat.
[01:22:14.000 --> 01:22:16.000]  That's what it is.
[01:22:16.000 --> 01:22:20.000]  And I said, oh, look, that lady's wearing a black leather jacket and black pants.
[01:22:20.000 --> 01:22:23.000]  You know, is she a Nazi too?
[01:22:23.000 --> 01:22:27.000]  But this is what it's like.
[01:22:27.000 --> 01:22:29.000]  They're ready for their political red terror.
[01:22:29.000 --> 01:22:30.000]  They're ready to come.
[01:22:30.000 --> 01:22:31.000]  They're ready to dominate.
[01:22:31.000 --> 01:22:32.000]  They're ready to boss.
[01:22:32.000 --> 01:22:34.000]  This is their high and mighty.
[01:22:34.000 --> 01:22:35.000]  This is their high horse.
[01:22:35.000 --> 01:22:37.000]  This is their better than you.
[01:22:37.000 --> 01:22:39.000]  This is their culturally pure and you're not.
[01:22:39.000 --> 01:22:44.000]  And the answer is get out of my face.
[01:22:44.000 --> 01:22:46.000]  You are the fascist.
[01:22:46.000 --> 01:22:49.000]  You're a joke.
[01:22:49.000 --> 01:22:52.000]  Is there something wrong with you?
[01:22:52.000 --> 01:22:55.000]  What's your problem?
[01:22:55.000 --> 01:22:58.000]  But you don't like free speech, but it's worse than that.
[01:22:58.000 --> 01:23:04.000]  I wasn't wearing a German military uniform.
[01:23:04.000 --> 01:23:07.000]  But see, they're banning, shelling German military memorabilia.
[01:23:07.000 --> 01:23:10.000]  They're even trying to ban World War I stuff saying that might offend
[01:23:10.000 --> 01:23:15.000]  and engage your girls and being dressed like cowboys.
[01:23:15.000 --> 01:23:16.000]  That offends rural groups.
[01:23:16.000 --> 01:23:17.000]  No, it doesn't.
[01:23:17.000 --> 01:23:18.000]  You say it does.
[01:23:18.000 --> 01:23:20.000]  You say you speak for everyone.
[01:23:20.000 --> 01:23:24.000]  You say you are the cultural gods.
[01:23:24.000 --> 01:23:26.000]  You say you decide what the culture is.
[01:23:26.000 --> 01:23:28.000]  That's the ultimate form of a cult.
[01:23:28.000 --> 01:23:33.000]  It's the ultimate form of tyranny.
[01:23:33.000 --> 01:23:38.000]  But then when you have one of the most insensitive, abusive, dominating, wicked,
[01:23:38.000 --> 01:23:42.000]  Wahhabist, radical, Sunni takeovers in the world,
[01:23:42.000 --> 01:23:46.000]  taking over Shiite Islam, taking over Alawite Islam,
[01:23:46.000 --> 01:23:53.000]  taking over Sufi Islam, taking over all the other forms of it
[01:23:53.000 --> 01:23:58.000]  and murdering Christians, you don't hear a word out of the control left.
[01:23:58.000 --> 01:24:02.000]  All you have is this lip licking by these ignorant weirdos
[01:24:02.000 --> 01:24:07.000]  that have a fetish over any culture that doesn't bow down to their political correctness.
[01:24:07.000 --> 01:24:10.000]  So because he doesn't bow down, they immediately bow.
[01:24:10.000 --> 01:24:11.000]  You know what I found all three times?
[01:24:11.000 --> 01:24:13.000]  I told people they were pathetic.
[01:24:13.000 --> 01:24:14.000]  I mean, it went more than that.
[01:24:14.000 --> 01:24:18.000]  I chewed both these guys out.
[01:24:18.000 --> 01:24:21.000]  One guy apologized and said, he goes, I guess you're right.
[01:24:21.000 --> 01:24:22.000]  The other guy acted kind of weird.
[01:24:22.000 --> 01:24:24.000]  And I said, hey, don't get in people's faces
[01:24:24.000 --> 01:24:26.000]  and try to engage in cultural Marxism
[01:24:26.000 --> 01:24:30.000]  and think they're somebody to get back in your face.
[01:24:30.000 --> 01:24:32.000]  And I shouldn't brag and act tough,
[01:24:32.000 --> 01:24:40.000]  but I told him, you better get out of my face now.
[01:24:40.000 --> 01:24:43.000]  Because I'm through with these people.
[01:24:43.000 --> 01:24:45.000]  I'm through with them.
[01:24:45.000 --> 01:24:47.000]  I mean, there was this, I'm going to say she's a college student.
[01:24:47.000 --> 01:24:50.000]  She's 21, about to graduate with her first degree
[01:24:50.000 --> 01:24:52.000]  and she was just walking around all depressed.
[01:24:52.000 --> 01:24:54.000]  And I turned out she talked to my personal trainer
[01:24:54.000 --> 01:24:55.000]  who was at the party friends with Buckley
[01:24:55.000 --> 01:24:57.000]  and told him the same thing.
[01:24:57.000 --> 01:25:00.000]  Talking around just going, well, this depressed look.
[01:25:00.000 --> 01:25:01.000]  People are like, what's wrong?
[01:25:01.000 --> 01:25:03.000]  She's like, I just have white kills.
[01:25:03.000 --> 01:25:05.000]  I mean, these are mental patients.
[01:25:05.000 --> 01:25:07.000]  And the thing is, I wasn't looking for them.
