[00:00.000 --> 00:10.000]  Rallying Patriots Worldwide in Defense of Human Liberty, it's Alex Jones.
[01:04:08.000 --> 01:04:14.000]  He's just have a series of panels about the censorship, how it's happening with big whiteboards in Congress or whatever.
[01:04:14.000 --> 01:04:19.000]  And he needs to have this fireside chat and go through the technicals because he can be briefed.
[01:04:19.000 --> 01:04:20.000]  It's known what's happening.
[01:04:20.000 --> 01:04:27.000]  And the left's even waking up because the EU censorship that comes over here, article 13 and 11 are about to become law through their dictatorship.
[01:04:27.000 --> 01:04:29.000]  They're about to put it through.
[01:04:29.000 --> 01:04:33.000]  So the Trump's big failing, I would say, is in that quadrant now.
[01:04:33.000 --> 01:04:36.000]  And that's going to make that a point for him.
[01:04:36.000 --> 01:04:39.000]  Now, Roger Stone will take over the next two segments.
[01:04:39.000 --> 01:04:49.000]  That means I'll stick a sock in my mouth because he's got big stuff to cover on Mueller, the Russia investigation and on the Civil War.
[01:04:49.000 --> 01:04:54.000]  They're trying to start and on the SCOTUS pick and so much more news wars.com.
[01:04:54.000 --> 01:04:55.000]  You're watching live.
[01:04:55.000 --> 01:04:58.000]  Only you go over the censors and share the links.
[01:04:58.000 --> 01:05:00.000]  I want to plow into all of this.
[01:05:00.000 --> 01:05:18.000]  I'm going to spend a few minutes here first, just encouraging listeners to understand that when you buy t-shirts or water filtration systems or books or videos or other material from infowarstore.com, you are funding the revolution.
[01:05:18.000 --> 01:05:20.000]  I mean, I cannot say it any clear.
[01:05:20.000 --> 01:05:24.000]  And so it is essential that you purchase the products at infowarstore.com.
[01:05:24.000 --> 01:05:31.000]  I don't want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[01:05:31.000 --> 01:05:34.000]  You cannot beat that for children and adults.
[01:05:34.000 --> 01:05:36.000]  We've got the best mouthwash designed by Dr. Jones.
[01:05:36.000 --> 01:05:39.000]  That's my dad, the colloidal silver and iodine as well.
[01:05:39.000 --> 01:05:43.000]  Infowarslife.com or GRIPOL82533139.
[01:05:43.000 --> 01:05:51.000]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[01:05:51.000 --> 01:05:56.000]  And that's who they are, and they know we know who they are, and they're coming back against us so we need your support.
[01:06:21.000 --> 01:06:23.000]  I want to get these people!
[01:06:23.000 --> 01:06:25.000]  We're winning! I can feel the spirit rising!
[01:06:25.000 --> 01:06:27.000]  Can't you? We have broken their back!
[01:06:27.000 --> 01:06:29.000]  Yes, I can feel it!
[01:06:32.000 --> 01:06:34.000]  Let's go!
[01:06:34.000 --> 01:06:41.000]  Come on, come on, come on, come on, come on, come on, come on, come on, come on, come on!
[01:06:44.000 --> 01:06:46.000]  Vengeance is coming!
[01:06:46.000 --> 01:06:48.000]  Fire is coming!
[01:06:48.000 --> 01:06:55.000]  The real revolution against you is coming, and you will burn in hell!
[01:07:02.000 --> 01:07:04.000]  Hard to believe it's Friday, July 6, 2018.
[01:07:04.000 --> 01:07:07.000]  Roger Stone is here with massive breaking news.
[01:07:07.000 --> 01:07:15.000]  I believe some of the biggest news in the whole Russiagate fraud in the attempt to destroy our electoral process in the election of our pro-American president.
[01:07:15.000 --> 01:07:22.000]  We'll get into SCOTUS, we'll get into the Democrats openly calling for civil war, violence massively increasing, and then spending it and saying,
[01:07:22.000 --> 01:07:29.000]  no one wants civil war, no, it's just on the cover of the New York Times and USA Today, America now in a civil war.
[01:07:29.000 --> 01:07:36.000]  But the military tactic of, I'm not attacking you, don't run, we are your friends.
[01:07:36.000 --> 01:07:44.000]  Found in World War I, the Germans started it, the Austrian Union Empire, they have loudspeakers in French, in English, in Russian.
[01:07:44.000 --> 01:07:53.000]  That was the other Allied side saying, we were stopping, this is not an assault, lay down your arms, lay down your arms, lay down your arms.
[01:07:53.000 --> 01:07:59.000]  And they found a certain percentage would say, we don't have to fight, see their friends, you're like, we're getting shot at, it's artillery barrage.
[01:07:59.000 --> 01:08:09.000]  They'd have to have officers shooting people with their handguns, don't run, don't run from your post until they finally got briefings going and explained to everybody, this is BS.
[01:08:09.000 --> 01:08:25.000]  So it's a standard military tactic, kill people, attack Trump, kidnap his son, murder everyone, kill Congressman Rand Paul, and then you hesitate and they get you,
[01:08:25.000 --> 01:08:34.000]  just like it's saving Private Ryan, which is a historical fight that happened fictionalizing to a movie, and he's beating the German soldier, the Nazi soldier.
[01:08:34.000 --> 01:08:43.000]  And the guy goes, I give up, I give up, just enough when the guy had the initiative to flip him over and kill him, that's all it is, you're under attack, I'm under attack, they're trying to bring the country down,
[01:08:43.000 --> 01:08:56.000]  they're allied with the globalist, this is real, stop listening to them when they say, we're not attacking you, we don't want martial law, we love America, CNN is not the enemy of the American people, their actions show you they are.
[01:08:56.000 --> 01:09:05.000]  And they say it, but then flip it, the universities are anti-American, the big Hollywood's anti-American, this is the plan.
[01:09:05.000 --> 01:09:10.000]  They are your enemies, they are the quizlings, they are the mercenaries, they are the sellouts.
[01:09:10.000 --> 01:09:14.000]  All right, Roger, take over the segment in the next, you got a lot to break down.
[01:09:14.000 --> 01:09:29.000]  Mueller has now given birth to new minions, I guess in the Congress, between him and Rosenstein, and popping out, it's reported, that he's got a whole new flotilla, I guess he thinks his head's about to be chopped off politically.
[01:09:29.000 --> 01:09:37.000]  But first, let's get into the big victory, judges misses suit, alleging Trump campaign conspired with Russia to hack the DNC, Roger Stone, vindicated.
[01:09:37.000 --> 01:09:49.000]  Alex, I think it's very important that people understand that the left has filed these type of lawsuits against me, against you, against info wars, as an effort to bankrupt us.
[01:09:49.000 --> 01:09:58.000]  But more importantly, to distract us from the coming fight to save Donald Trump's presidency, where they would rather not have us on the ramparts.
[01:09:58.000 --> 01:10:11.000]  In this particular case, the judge, a Clinton appointee, but who did a superb job of cutting through the BS, threw the case out on jurisdictional grounds.
[01:10:11.000 --> 01:10:24.000]  And it is true that there is no finding as to their crazy conspiracy theory that Roger Stone and Donald Trump worked with the Russians to hack the DNC, and gave the money, the information to info war,
[01:10:24.000 --> 01:10:28.000]  pardon me, to WikiLeaks, or Julian Assange, or anyone.
[01:10:28.000 --> 01:10:41.000]  They presented no evidence at trial to this crazy left wing, diluted narrative that is the centerpiece of their whole theory, the centerpiece of the Intelligence Committee investigation,
[01:10:41.000 --> 01:10:48.000]  the centerpiece of the House Intelligence Committee investigation.
[01:10:48.000 --> 01:11:03.000]  And it is not proven in this case. They can file it elsewhere, but it's a harassment lawsuit, filed by a bunch of Ivy League snot, who used to work for Barack Obama in a Barack Obama-blessed group.
[01:11:03.000 --> 01:11:13.000]  Nonetheless, my lawyers did a great job. It is a total victory. It cost over $250,000 for this important victory.
[01:11:13.000 --> 01:11:22.000]  And I'm not at liberty to talk about some victories we had for strategic reasons, but let me just say, good things have been happening with the 20 lawsuits they've filed on us.
[01:11:22.000 --> 01:11:31.000]  My lawyers have asked me to stop talking about it on air, so I'm not going to. We had several victories this week as well, but those victories themselves cost over $100,000.
[01:11:31.000 --> 01:11:45.000]  Total, I don't want to get into everything, but we need to bring in millions of dollars to roundly defeat all these, and then I've got to countersue, which we're doing, every single party in the states that have anti-slapback provisions,
[01:11:45.000 --> 01:11:57.000]  or slapback provisions, which will also cost money. And it's not because I want to do that. People have to know, you falsely sue me, when I win, I'm going to sue you to the wall because you assaulted me first with fraud.
[01:11:57.000 --> 01:12:08.000]  And so I'm coming after all of you. And I understand that, but that's going to cost a lot of money. If we don't roundly defeat this, then this is a new thing they're going to use to shut everybody down.
[01:12:08.000 --> 01:12:17.000]  We are the tip of the spear. We are the canary in the coal mine. We are the front line. That's why we need your prayers and your financial support at infowarstore.com.
[01:12:17.000 --> 01:12:24.000]  And you can go there and donate as well. And Roger, how to folks donate to you and buy your book, Stone's Rules, both your books at infowarstore.com.
[01:12:24.000 --> 01:12:27.000]  There's a lot of ways to do it, but how do they support you?
[01:12:27.000 --> 01:12:40.000]  You can go to StoneDefenseFund.com, StoneDefenseFund.com, make a contribution there. You can go to the InfoWar site now and buy my new book, Stone's Rules.
[01:12:40.000 --> 01:12:56.000]  I am current with InfoWarriors who bought the book online, mail it to me or mail me a book, you know, labeled, and I will mail it back to you at my own expense. I signed over 80 books last night for InfoWarriors. It was my pleasure.
[01:12:56.000 --> 01:13:00.000]  So go to the InfoWar site now. You can get it at a nice price.
[01:13:00.000 --> 01:13:12.000]  That's right. Stone's Rules has a 100% rating by Power Reviews and a 4.8. My eyes aren't as good as they used to be. Is that 4.8 or 4.6 by Power Reviews? 4.6.
[01:13:12.000 --> 01:13:20.000]  So that's just unprecedented and it supports Roger and what he's doing. But quite frankly, selling, you know, 50,000 books, which he hasn't even done yet, is not going to pay for all the attacks.
[01:13:20.000 --> 01:13:34.000]  And again, we're not bitching. We're not complaining. Support a local MNF and affiliates. Support local TV stations. The point is, we don't have George Soros and we don't have taxpayer money like MSNBC got billions, billions, their parent company, in the banker bailout.
[01:13:34.000 --> 01:13:44.000]  It's you. And by the way, we have two new t-shirts that I knew were going to be hits and we've had massive orders, three to one for the Re-Elect 45.
[01:13:44.000 --> 01:13:53.000]  They had the Impeach 45 baseball style Walmart shirt and it was a boycott of Walmart. So they pulled it. I just say sell both up against each other and see what sells best.
[01:13:53.000 --> 01:13:59.000]  You know, I'm all for free speech. I say don't be platform, but whatever. That's Walmart's right. I'm not asking Walmart to carry my shirts.
[01:13:59.000 --> 01:14:07.000]  I'm just saying everybody should tell Walmart, carry Re-Elect 45. Why shouldn't the public space be a political space? We're America.
[01:14:07.000 --> 01:14:15.000]  But these babies are being printed right here in Texas right now in central Texas and they are going to be on their way out to you.
[01:14:15.000 --> 01:14:21.000]  No reviews yet because it hasn't been shipped out yet. And it is 1995 Re-Elect 45.
[01:14:21.000 --> 01:14:26.000]  Now I personally love the new shirt. That was my idea, but Robert, our great graphics guy came up with.
[01:14:26.000 --> 01:14:35.000]  I thought, I don't want to be like the Wolverine Trump, Wolverine mean like a Wolverine when Dan Rather said that, like in the Marvel comics or whatever.
[01:14:35.000 --> 01:14:40.000]  No, no, no. I want more like the werewolf meets Wolverine and Robert totally got it.
[01:14:40.000 --> 01:14:46.000]  It's an amazing Trump shirt. We're going to wear Trump's face on a shirt. This is the one. It's a red shirt.
[01:14:46.000 --> 01:14:53.000]  Obviously, meaning your red state mean like a Wolverine in full wars.com on the right arm in the back.
[01:14:53.000 --> 01:15:01.000]  I am the resistance, ladies and gentlemen. So we are very, very, very, very proud of mean like a Wolverine,
[01:15:01.000 --> 01:15:06.000]  but three to one, the Re-Elect Trump is selling.
[01:15:06.000 --> 01:15:17.000]  And look, I knew when I came out with Hillary for prison shirts, I knew that it would be the campaign shirt.
[01:15:17.000 --> 01:15:23.000]  It became the campaign shirt. Trump even talked about on the phone. He said, no, I think that's the shirt of the campaign.
[01:15:23.000 --> 01:15:26.000]  He goes, my God, it was like a third of the people that were there at the RNC had it on.
[01:15:26.000 --> 01:15:32.000]  That really shook up the globalist. So I believe this new shirt, Re-Elect 45.
[01:15:32.000 --> 01:15:36.000]  We're going to put one out in Navy blue too, but it's summer right now. It's a white shirt only.
[01:15:36.000 --> 01:15:40.000]  This Re-Elect 45 in full wars.com on the back. I'm the resistance.
[01:15:40.000 --> 01:15:47.000]  I believe it is the shirt of 2018. And if you all order it and start wearing it, it will send shock waves.
[01:15:47.000 --> 01:15:52.000]  Take photos of it, put it on Twitter, Facebook, put it on your own website, email it around to friends and family,
[01:15:52.000 --> 01:15:56.000]  get a chain reaction going, stand up to the bullies and say, we're going to speak out.
[01:16:22.000 --> 01:16:27.000]  Get your Dylan bottle today at dyln.co. That's dyln.co.
[01:16:53.000 --> 01:17:00.000]  This is Dan Pilla. Do you owe the IRS money you can't pay? Are tax debts crippling you?
[01:17:00.000 --> 01:17:05.000]  I've defended people from the IRS for over 30 years. I've helped thousands and I can help you too.
[01:17:05.000 --> 01:17:10.000]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[01:17:10.000 --> 01:17:18.000]  Call 800-34-NO-TAX to finally get free of IRS debt. With the IRS's new programs, there's never been a better time to solve your problem.
[01:17:18.000 --> 01:17:25.000]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[01:17:48.000 --> 01:17:55.000]  Choose to take control of your chemistry with Survival Shield X2 and Biotru Selenium.
[01:17:55.000 --> 01:18:00.000]  This powerful combo is perfect for supporting your thyroid and health.
[01:18:00.000 --> 01:18:07.000]  Biotru Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[01:18:07.000 --> 01:18:11.000]  Our super high-quality nascent high-protein product,
[01:18:11.000 --> 01:18:18.000]  is an essential mineral sourced of 99.99% ultra-pure, deep-earth iodine crystals.
[01:18:18.000 --> 01:18:26.000]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue and organ in the body.
[01:18:26.000 --> 01:18:33.000]  With inadequate thyroid hormones, you may experience slow metabolism, lethargy, weight gain and overall brain fog.
[01:18:33.000 --> 01:18:40.000]  Survival Shield X2 is an essential mineral source of 99.99% ultra-pure, deep-earth iodine crystals.
[01:18:40.000 --> 01:18:46.000]  Survival Shield X2 and Biotru Selenium work together to support the systems in your body.
[01:18:46.000 --> 01:18:50.000]  Take control of your chemistry today with this super combo.
[01:18:50.000 --> 01:18:58.000]  Discover the power of Survival Shield X2 and Biotru Selenium at InfowarsLife.com.
[01:18:58.000 --> 01:19:05.000]  Nourish a probiotic-friendly environment in your gut with prebiotic fiber by InfowarsLife.
[01:19:05.000 --> 01:19:13.000]  Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber,
[01:19:13.000 --> 01:19:18.000]  a mixture of clinically studied and organic acacia, fruit and flax fiber.
[01:19:18.000 --> 01:19:24.000]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria,
[01:19:24.000 --> 01:19:29.000]  which helps you digest food, absorb nutrients and even support your immune system.
[01:19:29.000 --> 01:19:36.000]  InfowarsLife's cutting-edge formula only brings you the highest quality organic and clinically studied ingredients.
[01:19:36.000 --> 01:19:41.000]  Cheap prebiotic fibers are used up only at the beginning of the colon,
[01:19:41.000 --> 01:19:51.000]  but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[01:19:51.000 --> 01:20:00.000]  Head to InfowarsLife.com or call 1-888-253-3139.
[01:20:21.000 --> 01:20:33.000]  Let me tell you, the Democratic Party and their operatives are using intelligence agency techniques
[01:20:33.000 --> 01:20:38.000]  that you use to bring down foreign governments to try to harass anybody in Trump's orbit.
[01:20:38.000 --> 01:20:42.000]  But they don't understand, it's only making this work harder and it's backfiring.
[01:20:42.000 --> 01:20:47.000]  I want to talk something about that with you in the next segment, Roger, and then I'm going to let you go because you're a busy man,
[01:20:47.000 --> 01:20:55.000]  I'm totally vindicated if people just joined us. Recap that for one minute and then get into this huge Mueller news that only you can break down, I think,
[01:20:55.000 --> 01:21:03.000]  from the heart of the matter, how big this is and what this signifies that he's now having babies and metastasizing with a deep state U.S. attorney.
[01:21:03.000 --> 01:21:05.000]  What does that signify?
[01:21:05.000 --> 01:21:08.000]  Well, Alex, just to recap, you're absolutely right.
[01:21:08.000 --> 01:21:18.000]  Our critics who are conducting lawfare against us in these harassment lawsuits showed their hand, improved yet again, that they have no evidence of Russian collusion,
[01:21:18.000 --> 01:21:25.000]  collaboration with WikiLeaks, John Podesta's email, or any of that left-wing nonsense.
[01:21:25.000 --> 01:21:34.000]  It is very telling, though, that a story in the New York Times about Rod Rosenstein on page one, roughly a week ago, told you the inside story.
[01:21:34.000 --> 01:21:45.000]  When Rosenstein wrote his memo to his client, President Trump advocating and telling him how to fire James Comey, he didn't expect that document to be public.
[01:21:45.000 --> 01:21:50.000]  When it became public, Comey was exposed in front of his deep state buddies.
[01:21:50.000 --> 01:21:55.000]  According to the New York Times, he was despondent. He was hysterical. He was angry.
[01:21:55.000 --> 01:22:08.000]  And he obviously decided to square it up by appointing Robert Mueller as a special counsel to investigate the man he was angry with, Donald Trump.
[01:22:08.000 --> 01:22:18.000]  Now, it's significant that Mueller, interviewed for the job of both FBI director and attorney general, was turned down for both positions,
[01:22:18.000 --> 01:22:31.000]  thus his own motive. Plus, he was well aware of his own culpability in the uranium-1 matter and other vulnerabilities in his public record.
[01:22:31.000 --> 01:22:35.000]  Now, what's happened, Alex, is fearing that he may be terminated.
[01:22:35.000 --> 01:22:49.000]  He's expanding his probe, taking on more U.S. attorneys so that he can hand off these fabricated manufactured crimes to guarantee their prosecution, even if he is legally decapitated.
[01:22:49.000 --> 01:23:01.000]  Just like he handed it off, we now learn a year ago, illegally surveilling not just Trump as lawyer, denying it the whole time, now handing that off to the New York Democrat operatives there.
[01:23:01.000 --> 01:23:08.000]  And so what does it signify now that Trump's former lawyer has gone on national TV and said, you know, I'll do what's right for the country.
[01:23:08.000 --> 01:23:12.000]  I'm not going to take a bullet for Trump now, and him now hiring Bill Clinton's former lawyer.
[01:23:12.000 --> 01:23:16.000]  Does that signal that Trump's lawyer is getting ready to roll?
[01:23:16.000 --> 01:23:25.000]  Lanny Davis is a nice enough fellow. Lanny Davis is a good guy to meet in the green room, and he's not a bad talking head.
[01:23:25.000 --> 01:23:32.000]  If I were looking at many years in prison, I would not be hiring Lanny Davis as my attorney.
[01:23:32.000 --> 01:23:47.000]  This is about money, Alex, because Michael Cohn is looking at about $5 million in legal fees, and the Trump Fund for former staffers and the Trump family do not seem inclined to help him in any way.
[01:23:47.000 --> 01:24:02.000]  So my guess is that Mr. Davis' representation is at a bargain basement price, and maybe we're going to find out what, if anything, Michael Cohn really knows.
[01:24:02.000 --> 01:24:07.000]  Well, I mean, Davis even sounds like a double agent in the news.
[01:24:07.000 --> 01:24:13.000]  I mean, he's like, oh, my client might be guilty, might not, but I mean, it sounds like he's throwing him out of the bus day one.
[01:24:13.000 --> 01:24:17.000]  Well, he's a longtime apologist for Bill and Hillary Clinton.
[01:24:17.000 --> 01:24:23.000]  He is a multi-times failed congressional candidate in the Washington suburbs.
[01:24:23.000 --> 01:24:31.000]  He's a reliable left-wing talking head if you want somebody to gloss over Bill's rapes or Hillary's crimes.
[01:24:31.000 --> 01:24:37.000]  But he's not the man I would hire in a serious legal matter.
[01:24:37.000 --> 01:24:44.000]  These lawyers are extraordinarily expensive, as you know, between the House and the Senate inquiries.
[01:24:44.000 --> 01:24:48.000]  Lawsuits like the one we just won by having it dismissed.
[01:24:48.000 --> 01:24:55.000]  And the intrusive Mueller investigation, Alex, my legal fees will hit a half million dollars.
[01:24:55.000 --> 01:25:03.000]  I know yours are going to be many times more than that because of the frivolous harassment lawsuits filed against you at InfoWars.
[01:25:03.000 --> 01:25:06.000]  This is a tactic of the globalist left.
[01:25:06.000 --> 01:25:09.000]  That's right, and smear our names.
[01:25:09.000 --> 01:25:17.000]  Speaking of court, obviously, Trump told Napolitano you'd be my second choice, but now we think he's a little too old, maybe make him attorney general.
[01:25:17.000 --> 01:25:20.000]  That's what's been said at the highest level.
[01:25:20.000 --> 01:25:24.000]  Now, we're looking at these three picks they've got.
[01:25:24.000 --> 01:25:34.000]  Trump narrows list for Supreme Court pick, but you're saying that there's also a senator that he just called that might be the wild card or the dark horse.
[01:25:34.000 --> 01:25:40.000]  But Trump narrows list for Supreme Court pick with focus on Kavanaugh and Keithledge.
[01:25:40.000 --> 01:25:42.000]  There's also Amy Barrett.
[01:25:42.000 --> 01:25:55.000]  And so out of all those three, I look at Kavanaugh in embraces and a minion of Carl Rove and being involved with the Clintons and the Vince Foster matter.
[01:25:55.000 --> 01:26:07.000]  And it's Neocon heritage and his never-Trump connections. I mean, this looks like a Bush dingleberry that fell very close to turd blossom.
[01:26:07.000 --> 01:26:14.000]  This is very disturbing because I think he's another suitor. I think he's another John Roberts.
[01:26:14.000 --> 01:26:22.000]  You remember them. Those are the conservatives and the Bushes put on the Supreme Court who immediately joined the liberal block.
[01:26:22.000 --> 01:26:33.000]  Kavanaugh's role in bullying, intimidating, surveilling witnesses who could disprove some of the facts regarding Vince Foster's death is deeply concerning.
[01:26:33.000 --> 01:26:40.000]  This guy played a cleanup for the Clintons in the Vince Foster matter.
[01:26:40.000 --> 01:26:47.000]  He is a Bush loyalist. I really pray the president does not go there.
[01:26:47.000 --> 01:26:52.000]  Sure. But what about the argument that he's at least for pro-borders? So if you're not for borders, you're not for a country.
[01:26:52.000 --> 01:26:59.000]  They're saying the other guy, Keithledge is a pro-open border guy and that the ladies quote too dangerous. Why is she too dangerous?
[01:26:59.000 --> 01:27:11.000]  Well, I think very highly of her, but she's very devout Roman Catholic and she has written things that would allow the left to try to make this a litmus test about abortion.
[01:27:11.000 --> 01:27:14.000]  Above all, the president needs a quick win.
[01:27:14.000 --> 01:27:21.000]  No, that's right. Before the midterms, in case they win, which we hope doesn't happen, we don't think you have an absolute, we need to get somebody in there.
[01:27:21.000 --> 01:27:31.000]  Well, and we want somebody in the mold of his previous. I think he is closest to Gorsuch in terms of his temperament and his record.
[01:27:31.000 --> 01:27:37.000]  I have not looked him up on immigration issues. What you tell me is news to me. I like...
[01:27:37.000 --> 01:27:41.000]  What I'm told is from high-level White House sources. That's their view of this.
[01:27:41.000 --> 01:27:50.000]  I like Amy Barrett, but I question whether she can be confirmed. I think Kavanaugh is a stooge for the Bush Clinton crime syndicate.
[01:27:50.000 --> 01:27:58.000]  And Senator Mike Lee, who would almost certainly win Senate confirmation quickly, I think could be a dark horse.
[01:27:58.000 --> 01:28:06.000]  Now, I don't also agree with Lee on everything, but I fundamentally believe he is a more libertarian member of the court.
[01:28:06.000 --> 01:28:13.000]  I feel strongly the conservative block of the court needs a libertarian anchor for better balance.
[01:28:13.000 --> 01:28:17.000]  Well, I'm not scared of a conservative Catholic, and her record is pretty good. And you know what?
[01:28:17.000 --> 01:28:20.000]  We are against abortion as a country, and I get you're more libertarian than so am I.
[01:28:20.000 --> 01:28:26.000]  But I just like the woman aspect, too. She's good looking. She's got a good record. She'd be there 30, 40 years.
[01:28:26.000 --> 01:28:28.000]  We put some dude there and be dead in 10 years.
[01:28:28.000 --> 01:28:36.000]  I would certainly support, if that's who the president picks, trust me, that's who I will be for. I think Kavanaugh is the real danger here.
[01:28:36.000 --> 01:28:40.000]  He is a Bush Trojan horse. I hope the president will realize that.
[01:28:40.000 --> 01:28:47.000]  Now, I get what you're saying, even though his record's not that bad, his political record of who he's affiliated with, and we know their mode puts somebody in and they flip.
[01:28:47.000 --> 01:28:51.000]  Let's talk about how they're trying to launch, basically, civil war in this country.
[01:28:51.000 --> 01:28:56.000]  And at what point do we say it's a civil war? And we've got a key compilation of their threats coming up.
[01:28:56.000 --> 01:29:01.000]  If you like alkaline water, or know someone that does, you're going to love the Dillon Living Water Bottle.
[01:29:01.000 --> 01:29:06.000]  It creates alkaline water on the go while reducing plastic waste and saving you money.
[01:29:06.000 --> 01:29:14.000]  Made with surgical grade stainless steel, the Dillon Bottle increases the pH up to 9 to deliver both alkaline and antioxidant water anywhere you want it.
[01:29:14.000 --> 01:29:17.000]  Alkaline water is healthier, tastes better, and can even boost energy.
[01:29:17.000 --> 01:29:22.000]  The Dillon Bottle makes it easy and affordable to be healthy and achieve optimal hydration.
[01:29:22.000 --> 01:29:27.000]  Get your Dillon Bottle today at dyln.co. That's dyln.co.
[01:29:27.000 --> 01:29:30.000]  It's a no-brainer. A Big Berkey water filter is the one you need, period.
[01:29:30.000 --> 01:29:35.000]  You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA, and other endocrine disruptors,
[01:29:35.000 --> 01:29:38.000]  pesticides, bacteria, viruses, and much more, right?
[01:29:38.000 --> 01:29:40.000]  And does it all at only 2 cents per gallon.
[01:29:40.000 --> 01:29:44.000]  Get the original, most trusted name in gravity water filtration, Big Berkey.
[01:29:44.000 --> 01:29:48.000]  And now GCN listeners receive 5% off ceramic filter systems using code GCN.
[01:29:48.000 --> 01:29:53.000]  Call or click 1-877-99-Berkey or bigberkeywaterfilters.com.
[01:29:53.000 --> 01:29:58.000]  That's 1-877-99-B-E-R-K-E-Y.
[01:29:58.000 --> 01:30:02.000]  This 4th of July is special. Everybody can see it. They can feel it.
[01:30:02.000 --> 01:30:07.000]  The globalists are attempting to kill a worldwide awakening to their tyranny.
[01:30:07.000 --> 01:30:11.000]  And America, yet again, is at the heart of the resistance to the globalists.
[01:30:11.000 --> 01:30:16.000]  That's why this 4th of July I'm asking all of our great supporters to think about Info Wars now more than ever.
[01:30:16.000 --> 01:30:20.000]  And what would the world be like if Info Wars wasn't there resisting the globalists?
[01:30:20.000 --> 01:30:23.000]  What would have happened if you hadn't supported Info Wars?
[01:30:23.000 --> 01:30:25.000]  We would not be having the victories we have today.
[01:30:25.000 --> 01:30:28.000]  So yes, a lot of good things are happening, but the enemy is striking back.
[01:30:28.000 --> 01:30:33.000]  So please, think about Info Wars and funding our operation while you get great products at the same time
[01:30:33.000 --> 01:30:35.000]  on the 4th of July that's so historic.
[01:30:35.000 --> 01:30:40.000]  We have record sales going on right now, free shipping on hundreds of different items,
[01:30:40.000 --> 01:30:48.000]  more than 20 items are 50% off like Brain Force Plus, X2 is 40% off, knockout sleep page 1776,
[01:30:48.000 --> 01:30:53.000]  Silver Bullets, 995 colletal silver, and free shipping, you can't beat that.
[01:30:53.000 --> 01:31:12.000]  This 4th of July is special and our sales are special to match it. InfoWarsStore.com.
[01:31:24.000 --> 01:31:27.000]  For daily use whenever you feel like you need to stay clean.
[01:31:27.000 --> 01:31:35.000]  As a powerful hand purifier or oral cleansing formula, just a small spray will help you stay clean when you feel surrounded by toxins.
[01:31:35.000 --> 01:31:42.000]  With powerful yet simple ingredients, Immune Gargle features Silver Soul Nano Silver for a powerful cleansing alternative.
[01:31:42.000 --> 01:31:47.000]  With Super Blue Silver Immune Gargle staying toxin free is easy and affordable.
[01:31:47.000 --> 01:31:52.000]  Help stop the spread of toxins and stay healthy with Super Blue Silver Immune Gargle.
[01:31:52.000 --> 01:31:58.000]  Only available at InfoWarsLife.com. That's InfoWarsLife.com.
[01:32:22.000 --> 01:32:29.000]  This formula that supports your heart, brain, healthy aging process with an all-new natural caffeine boost included.
[01:32:29.000 --> 01:32:35.000]  A powerful, pregnant-owned base, the Real Red Pill, will quickly become one of our fellow InfoWars' favorite products.
[01:32:35.000 --> 01:32:41.000]  Now, with an extra proprietary energy blend inside including Green Tea Extract, your Ramate Leaf Extract,
[01:32:41.000 --> 01:32:46.000]  and more, you can get that extra pick-me-up while supporting your mind and body in a healthy way.
[01:32:46.000 --> 01:32:55.000]  It's got all the great stuff that Real Red Pill has, but it's also got the boost added. Get the Real Red Pill Plus at InfoWarsStore.com.
[01:33:16.000 --> 01:33:27.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:33:27.000 --> 01:33:34.000]  Now, it's critical when you're in a psychological warfare operation facing what they call black propaganda.
[01:33:34.000 --> 01:33:40.000]  Nothing with black people, but meaning deception. You counter it with the truth.
[01:33:40.000 --> 01:33:47.000]  And there's three types of propaganda, white, gray, and black, if you go with that classic analysis of it.
[01:33:47.000 --> 01:33:54.000]  And the Democrats go with the darkest form of it, where you never respect your adversary. You don't deal on a level playing field.
[01:33:54.000 --> 01:34:01.000]  You say, everywhere, we're going to have revolution, attack Republicans, kill them, rise up, kidnap their children, burn down their buildings.
[01:34:01.000 --> 01:34:07.000]  And it all happens. Shoot congressmen, try to kill Rand Paul, on and on and on.
[01:34:07.000 --> 01:34:12.000]  Tell Alan Dershowitz at a dinner party this weekend, we're going to stab you through the heart, get out of here.
[01:34:12.000 --> 01:34:17.000]  Rob Reiner, we're in a revolution. We're in a civil war.
[01:34:17.000 --> 01:34:24.000]  And then when we go, okay, well, we see this as a demarcation line. I see July 4th is when they're going to escalate things. They're saying they are.
