[00:00.000 --> 00:22.000]  Another world, another time, In the age of wonder, another world, another time,
[32:27.000 --> 32:39.000]  Happiness is 5starsoap.com. Why not put your money up the drain for a change? See them at 5starsoap.com or call 1-800-340-7091 for a catalog.
[32:39.000 --> 32:48.000]  Calben Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated, soaps made from vegetable and coconut oils.
[32:48.000 --> 33:05.000]  See their full selection of soaps at 5starsoap.com. That's F-I-V-E-STARSOAP.COM or call 1-800-340-7091 for a catalog.
[33:05.000 --> 33:18.000]  I got a correction to make. I said Evan McMullen running around saying Trump's a domestic enemy and should be overthrown basically. I said that our fight men are 10 times the men he is and they're actually 500 times, 1,000 times.
[33:18.000 --> 33:21.000]  Let's roll in with this beautiful music.
[33:21.000 --> 33:30.000]  He aligns himself with the truth and it's time for you to choose a side. You're listening to Alex Jones.
[33:30.000 --> 33:39.000]  The globalists are pouring their full will out culturally through the propaganda but also spiritually and they're spoiling for a fight.
[33:39.000 --> 33:45.000]  They already got one. We already are kicking their ass all over the planet. Their world government's going to get torn into pieces.
[33:45.000 --> 33:53.000]  Humanity's already got too many threats ahead of it. We probably may not survive already even if we beat them. So they got to be dealt with now.
[33:53.000 --> 34:03.000]  All the cowards, all the scum, all the backstabbers, all the vampires, all the pedos, they got to be dealt with. That means there won't still be some creeping around.
[34:03.000 --> 34:09.000]  But they're not going to be running the show anymore.
[34:09.000 --> 34:25.000]  Oh man, you want to fight, you're going to get one. I want to lose my voice but I just want you to know.
[34:25.000 --> 34:33.000]  I just want to beat these people, don't you? I'm sick of them. I'm sick of them thinking they're better than everybody and having their way with us.
[34:33.000 --> 34:39.000]  Having their way with a lot of good hard work and people eat pieces of crap. Excuse me.
[34:39.000 --> 34:47.000]  Oh god almighty.
[34:47.000 --> 34:53.000]  Robert David Steele formerly with the CIA bestselling author, researcher, reviewer. He's going to be joining us.
[34:53.000 --> 34:59.000]  He's got big news on the pedophile roundup he wants to get into and why Flynn was taken out.
[34:59.000 --> 35:06.000]  And there is a big pedophile roundup going on around the country. I told you it was coming two months ago. You see it. They're rolling up the precursors, the Wrenfields right now.
[35:06.000 --> 35:11.000]  So that's the silent war against the globalists. That's why they're so pissed and so scared.
[35:11.000 --> 35:20.000]  And let's just get it all out in the open. Let's just crush them. They want to fight. Let's just give them what they want.
[35:20.000 --> 35:29.000]  I don't mean a physical one, but they're trying to bully everybody back into their houses and offline and, you know, just Trump supporters thinking everything's okay and go to sleep.
[35:29.000 --> 35:34.000]  And no, you need to be at city council meetings, county commissioner meetings when your congresspeople come into town.
[35:34.000 --> 35:41.000]  You need to be there educating and forming and be bold and be strong and be focused.
[35:41.000 --> 35:47.000]  Everybody always wanted to fight for the country and get it back from the New World Order. Well, this is it, ladies and gentlemen.
[35:47.000 --> 35:52.000]  This is what it looks like. You want it? A lot of people work tired to get us to this point.
[35:52.000 --> 36:01.000]  Let me tell you the good news, though. This is a guarantee. They've already lost. They're going to try to wreck a lot of stuff in the process.
[36:01.000 --> 36:07.000]  Again, if Hillary would have gotten in, it would have been even better, but that morally was wrong to do because you might have started a nuclear war.
[36:07.000 --> 36:13.000]  And that was on the slate. That's a demon. She was looking for thermal nuclear destruction.
[36:13.000 --> 36:21.000]  I pulled a photo of her from a few days ago with Bill. I mean, just evil incarnate. I mean, those people are creeperzoids.
[36:21.000 --> 36:31.000]  But it would have been better for the overall total defeat of them. Just let them come in, let them expand Obamacare, break the middle class, rob everybody,
[36:31.000 --> 36:38.000]  have the school, say families are bad, you know, teach five-year-olds how to give blow jobs. That's their openly teaching now how to be a tranny.
[36:38.000 --> 36:45.000]  And just let them have their way for a while. But you know what? We got to do the right thing. Just like Trump said, I could leave Obamacare in and have it really destroy the Democrats.
[36:45.000 --> 36:54.000]  But you know what? I'm going to fight and I'm going to repeal it. I'm going to change it because it's hurting business owners and independent people and it's bankrupting this country.
[36:54.000 --> 37:02.000]  And Paul Ryan said, the hell you are, bro. Bring in the Russian spy stuff.
[37:02.000 --> 37:09.000]  Boy, I got an Eddie Munster haircut and twinkly little eyes and I think I'm better than America and everybody else.
[37:09.000 --> 37:17.000]  I'm just like all these other traders and Eddie Haskell know it all psychopaths and I'm going to mount America's head on the wall because I meet with all the big corporate chiefs
[37:17.000 --> 37:27.000]  and we feel sure we can beat America and beat the world and beat the French and beat the Germans and beat the Russians and beat the Japanese and beat everybody.
[37:27.000 --> 37:37.000]  But the truth is everybody under him wants out of it and has been waiting for this moment. You're sitting on top of volcano that's only rumbling right now.
[37:37.000 --> 37:45.000]  If you had any spiritual connection or discernment, you'd know all that, but you don't because you chose the side of selling everybody out.
[37:45.000 --> 37:52.000]  So you can be in a mansion and drive a fancy car and be around a bunch of other fake mummies.
[37:52.000 --> 37:59.000]  None of that has any value. Zero.
[37:59.000 --> 38:03.000]  I gotta get these clips. This is Le Pen.
[38:03.000 --> 38:17.000]  Her dad, a hero of World War II, when they came back in to take France back, a patriot, a nationalist, a guy involved with de Gaulle and people getting the sovereignty of France back and getting the nukes away from NATO that was going to just control France.
[38:17.000 --> 38:24.000]  People make fun of France all day. France has been through a lot. Half their male population died just in the Napoleonic Wars.
[38:24.000 --> 38:28.000]  Now the French Revolution before that for a decade, I mean France got its back broken.
[38:28.000 --> 38:32.000]  France wasn't losing war before it was one of the most warlike aggressive countries in the world.
[38:32.000 --> 38:39.000]  People just finally, they killed all the men basically and I'm not saying they're in some strong Frenchmen, but they all got killed out, folks.
[38:39.000 --> 38:51.000]  The only guys that head out under the barn were left. You got a battle with the French 200 years ago. It wasn't, 215 years ago, it wasn't fine.
[38:51.000 --> 38:58.000]  It's the French with the Norman that conquered England, but the whole issue here is that Le Pen is a great lady.
[38:58.000 --> 39:02.000]  I know people that know her well. They really care.
[39:02.000 --> 39:12.000]  She is battling sorrow. She's leading grids for decades against him. She tried to stop the Islamic invasion and now Paris is on fire and other cities, six other cities are on fire.
[39:12.000 --> 39:18.000]  The heart of the city was on fire and the news won't say it's Islamic. Nowhere. It's Islamic.
[39:18.000 --> 39:22.000]  They say we think it started with some black guy got beat up by police from Africa, whatever.
[39:22.000 --> 39:35.000]  And then they never show the evidence of that. It is a bunch of third world giant populations led by the Islamists being directed by social media. They're allowed to organize on everything to somehow bully France into a further open border.
[39:35.000 --> 39:42.000]  And you go, that would get Le Pen elected. Well, no, no, no, they think they're just going to arrest her or steal the election and block her and they're going to just continue to flood France.
[39:42.000 --> 39:56.000]  Ladies and gentlemen, their tourism is down over 50% in one year, over 80% in the last five. It's gone because you go to Paris. There is feces all over the ground in the nicest areas and just wandering people everywhere.
[39:56.000 --> 40:08.000]  And the roads all over France are in a disaster zone with people running up out of the woods with hatchets if you stop at a sign in the woods and just raping you and your family and robbing you of your vehicle.
[40:08.000 --> 40:16.000]  And it's all covered up except by people on YouTube that catch it on tape.
[40:16.000 --> 40:23.000]  And this is what's been done. And it's again, the globalists have expanded the third world, destroyed it, dumbed it down.
[40:23.000 --> 40:32.000]  Then they have a gangster hip hop culture that is overlaid. I don't care if it's Appalachian whites or North African blacks, you listen to this stuff, you get into it.
[40:32.000 --> 40:45.000]  It's thug culture and then it just explodes and it's designed to bring everything down to create global turmoil so then a global military can come in and mop it up after the collapse that they're only beta testing right now.
[40:45.000 --> 40:55.000]  And I've been telling you this for close to 20 years because I had sources inside the Pentagon that were reporting it to me and even locals as well that were beta testing this.
[40:55.000 --> 41:05.000]  And they'd always say, oh, Joan says it's coming now. No, I said it's coming later. And I made films on it. And now the military comes out, he impress releases videos and announcements and says, we're going to have to occupy every city on Earth.
[41:05.000 --> 41:13.000]  The United States is going to fall and society's broken. We've been told. And people go, oh, see the military's evil. No, they're being given the job of cleaning up with the globalists or engineering.
[41:13.000 --> 41:19.000]  You'll be begging when your city's burning for the military to come in.
[41:19.000 --> 41:25.000]  So again, the news will say I'm saying the military's coming to kill us. No, that's not what I said.
[41:25.000 --> 41:31.000]  Coming soon with senior you, the US military plan to take over America permanently.
[41:31.000 --> 41:37.000]  And Trump knows about this and Mattis knows about this and they all don't want to do that.
[41:37.000 --> 41:47.000]  They like happy folks and farmers and industry and life and mom and apple pie and that's the plan. They're trying to kill the plan.
[41:47.000 --> 41:51.000]  It's not that they're even perfect, but I mean, they're not pure evil.
[41:51.000 --> 41:59.000]  They don't want just some horrible over the top system where the globalists are so arrogant, they've admitted their whole plan to everybody.
[41:59.000 --> 42:07.000]  That's what's crazy. You'll never force feed anybody this. I don't care if you shut the web off or shut us off.
[42:07.000 --> 42:14.000]  That'll make what we've said even more valuable in people's minds and hearts.
[42:14.000 --> 42:24.000]  They're making the same mistake tyrants always make because there's something about the type of brain.
[42:24.000 --> 42:30.000]  They can get sucked into a tyrants type mindset.
[42:30.000 --> 42:39.000]  It's just they just feed on the power trip and feed on it and just feel invincible and are just high on just the spirit of domination.
[42:39.000 --> 42:52.000]  And you notice it's always weird demonic hunchback creatures like Hillary or Bill or, you know, this Evan McMullen guy and all these people because a normal person is so confident and so nice and so good.
[42:52.000 --> 42:58.000]  I mean, the meanest guys I've ever known in my life are the sweetest, nicest people you could ever imagine.
[42:58.000 --> 43:05.000]  They'll do anything for you and they care about you so much until you do something to them and then they will rip your head directly off your shoulders.
[43:05.000 --> 43:15.000]  And the problem is in this modern world, the men are busy and distracted just taking care of their families while their families are being taken away from them by the globalists and the culture and all of it.
[43:15.000 --> 43:23.000]  And we just have to understand that we're not declaring war on them. They declared war on us.
[43:23.000 --> 43:31.000]  And they're going to find out that we know what they've done.
[43:31.000 --> 43:43.000]  And we're not going to sit here while they go on CNN and have CIA operatives that have run whole operations to try to run a domestic operation against the president of the United States.
[43:43.000 --> 43:46.000]  That is completely and totally illegal.
[43:46.000 --> 43:52.000]  But I told people months ago they're planning on killing Trump. They're planning on saying he's a Russian agent and coming out and saying he's a Russian agent.
[43:52.000 --> 43:54.000]  And when they do, they're getting ready to assassinate him.
[43:54.000 --> 44:04.000]  And President Trump, you know, guys, if you guys pull up, they're planning to kill Trump, Alex Jones, or the reports that I mean, we've written articles that have been countless videos in the last two months.
[44:04.000 --> 44:12.000]  But it goes back two months ago where I did all these reports and I said they are preparing, I mean, just type in CIA is preparing to kill President Trump.
[44:12.000 --> 44:15.000]  It was even picked up by newspapers. I just clicked news.
[44:15.000 --> 44:24.000]  And you can see where I said it's a threat continuum where they keep building it up saying, oh, there's some Russians involved, oh, there's some Russians inside, there's some Russians in the White House.
[44:24.000 --> 44:25.000]  Oh, you know, Trump knew about it.
[44:25.000 --> 44:27.000]  Trump's a Russian agent.
[44:27.000 --> 44:30.000]  It was in the evening standard in England.
[44:30.000 --> 44:33.000]  It was in the Associated Press here in the United States.
[44:33.000 --> 44:36.000]  Russian insiders fear Washington establishment will assassinate Trump.
[44:36.000 --> 44:38.000]  Yeah, that's from that's from this week.
[44:38.000 --> 44:42.000]  This is from this is from you can click news and get it.
[44:42.000 --> 44:46.000]  You just type in warning elite will try to kill Trump.
[44:46.000 --> 44:47.000]  Yeah, that's not it.
[44:47.000 --> 44:48.000]  You know, I'll find it during the break.
[44:48.000 --> 44:49.000]  It's all right.
[44:49.000 --> 44:55.000]  It was my maximum emergency for two months, maximum of the crew, maximum of the reporters, maximum.
[44:55.000 --> 45:08.000]  But just absolutely every day hammering articles, videos, everywhere where I explained and even newspapers picked it up where I said.
[45:08.000 --> 45:16.000]  The elite are planning to kill Trump by pushing this Russian narrative by selling it to different groups inside the intelligence agencies.
[45:16.000 --> 45:21.000]  It's OK to kill the president because he's really a Russian agent and that they'll try to run this operation saying he's a domestic enemy.
[45:21.000 --> 45:26.000]  And I use those terms and I said they'd use COG to try to bring down the president.
[45:26.000 --> 45:28.000]  We'll get him during the break.
[45:28.000 --> 45:31.000]  But right now let's go ahead and go to this.
[45:31.000 --> 45:43.000]  Le Pen is on course to be France's next president fund manager says from AI analysis and the same big analysis groups said Trump is going to win.
[45:43.000 --> 45:47.000]  See, the real analytics with computers and mass move, but you know what's going to happen.
[45:47.000 --> 45:51.000]  That's why I was telling you Trump was 10 15 20 points ahead, depending on the state.
[45:51.000 --> 45:54.000]  That's why they were so panicked and freaking out and saying he's going to lose going to lose.
[45:54.000 --> 45:55.000]  He's evil.
[45:55.000 --> 45:56.000]  He's killing, killing, killing, killing.
[45:56.000 --> 46:02.000]  Well, he's going to lose. Why are you saying killing, killing, killing because they knew.
[46:02.000 --> 46:03.000]  I'm going to try to search this.
[46:03.000 --> 46:04.000]  It's not a big deal, but I have this.
[46:04.000 --> 46:07.000]  I'm not really OCD, but just about stuff like this.
[46:07.000 --> 46:10.000]  I am.
[46:10.000 --> 46:11.000]  There it is.
[46:11.000 --> 46:15.000]  I mean, because this is just absolutely essential that we get to this.
[46:15.000 --> 46:18.000]  I mean, it's you know, you got to click news is the issue.
[46:18.000 --> 46:22.000]  So you guys put I'm telling you.
[46:22.000 --> 46:23.000]  OK.
[46:23.000 --> 46:30.000]  Now you type into that CIA plan to kill Trump in full wars.com CIA plan to kill Trump.
[46:30.000 --> 46:33.000]  Yeah, that's that's the search.
[46:33.000 --> 46:36.000]  That's how you're going to find it.
[46:36.000 --> 46:38.000]  Scroll down.
[46:38.000 --> 46:40.000]  There it is.
[46:40.000 --> 46:45.000]  Oh, there's a spectator saying, well, they kill him on the CIA Austin.
[46:45.000 --> 46:46.000]  There you go.
[46:46.000 --> 46:49.000]  CIA and Obama plotting to murder Donald Trump.
[46:49.000 --> 46:52.000]  That's it.
[46:52.000 --> 46:54.000]  But there's a bunch of them and I did reports.
[46:54.000 --> 46:59.000]  So important to shut the show down until I have it because because I did emergency
[46:59.000 --> 47:00.000]  reports up here.
[47:00.000 --> 47:05.000]  I did everything and I and I laid out the whole continuum because the public needs
[47:05.000 --> 47:09.000]  to see this where I laid out the entire continuum starting two months ago, how
[47:09.000 --> 47:11.000]  they would build it up and get you ready.
[47:11.000 --> 47:14.000]  Because at first it'd be asinine stays a Russian agent with no proof and they would
[47:14.000 --> 47:17.000]  just create this whole cloud and then call for impeachment and call for his
[47:17.000 --> 47:19.000]  overthrow and call for his murder.
[47:19.000 --> 47:23.000]  And then when you heard the CIA people come out and start saying it, then you knew
[47:23.000 --> 47:25.000]  that they were seriously thinking about killing him.
[47:25.000 --> 47:27.000]  It's the evening standard has the video.
[47:27.000 --> 47:35.000]  The London evening standard.
[47:35.000 --> 47:37.000]  Will the CIA assassinate Trump?
[47:37.000 --> 47:39.000]  Ron Paul warns a more powerful shadow government.
[47:39.000 --> 47:42.000]  Yeah, that was about a week after I did it or two weeks after I did it.
[47:42.000 --> 47:45.000]  Alex shows emergency measures to President Trump.
[47:45.000 --> 47:47.000]  Let's let's see that video.
[47:47.000 --> 47:48.000]  Everything is now turned over to this.
[47:48.000 --> 47:51.000]  In fact, with all the reporters, everybody else, because I've been wanting for four
[47:51.000 --> 47:54.000]  or five days just to talk about how they're censoring his Twitter feed.
[47:54.000 --> 47:55.000]  And these are the key things.
[47:55.000 --> 48:02.000]  This is how we'll defeat them by focusing on the keys.
[48:02.000 --> 48:04.000]  Let's go ahead and go to the little pen club here, this.
[48:04.000 --> 48:10.000]  Investors in the financial markets are nervous about you because you want to return France.
[48:10.000 --> 48:12.000]  Yeah, sovereignty's bad.
[48:12.000 --> 48:14.000]  Why?
[48:14.000 --> 48:22.000]  For a very simple reason, in reality, we are in control of our own country.
[48:22.000 --> 48:27.000]  So long as we have our own currency, money is one of the elements of sovereignty.
[48:27.000 --> 48:32.000]  If you don't have your own currency, you allow others to impose on your economic policies,
[48:32.000 --> 48:35.000]  your immigration policies, your social policies.
[48:35.000 --> 48:41.000]  The political austerity that is imposed today by the European Union is founded on the euro.
[48:41.000 --> 48:44.000]  We are free people. We fought for this.
[48:44.000 --> 48:46.000]  You too fought to be a free people.
[48:46.000 --> 48:51.000]  It was not so that today we could give it all away to technocrats that we have not elected
[48:51.000 --> 48:54.000]  who decided for us which policies we should adopt.
[48:54.000 --> 49:00.000]  And I don't want to accept the euro, which is no longer a currency in the spirit of the European Union,
[49:00.000 --> 49:06.000]  but is in reality a weapon that it sticks in our sides to force us to go where they please.
[49:06.000 --> 49:08.000]  The euro is a failure.
[49:08.000 --> 49:11.000]  It's an economic failure. It's a social failure.
[49:11.000 --> 49:15.000]  It's one of the reasons for which France has seen such a high rate of unemployment,
[49:15.000 --> 49:20.000]  for which France has become so much poorer, for which our industry has failed,
[49:20.000 --> 49:24.000]  for which we are confronted with an unfair international rivalry.
[49:24.000 --> 49:30.000]  There is no reason for us not to return to our own national currency.
[49:30.000 --> 49:32.000]  All right, then let's go to the other clip.
[49:32.000 --> 49:38.000]  So this is, again, LePen, who is surging and set to win the election unless they kill or cover it up.
[49:38.000 --> 49:42.000]  And our State Department says we're going to help block her from winning because she's pro-Trump,
[49:42.000 --> 49:46.000]  showing you how the State Department is still just completely out of control in open rebellion.
[49:46.000 --> 49:50.000]  But none of those crimes matter because, you know, a few traders in the government say
[49:50.000 --> 49:55.000]  Trump's National Security Advisor said, yeah, we'll set you up with the president talking about sanctions.
[49:55.000 --> 49:57.000]  That's what you do. They admit that's what you do.
[49:57.000 --> 50:00.000]  But oh, this is, he's a big threat now.
[50:00.000 --> 50:03.000]  So LePen, the euro is a weapon used against EU nations.
[50:03.000 --> 50:07.000]  LePen, we will leave the EU to restore sovereignty.
[50:07.000 --> 50:09.000]  We're going to come back with that after the break.
[50:09.000 --> 50:12.000]  And look, if I get upset on air folks and frustrated, it's not with the crew.
[50:12.000 --> 50:14.000]  I mean, this is just incredibly epic times.
[50:14.000 --> 50:19.000]  It's so over the top and everybody knows it's effective to show people your predictions word for word,
[50:19.000 --> 50:23.000]  but we can never find them ever, maybe one out of 5,000.
[50:23.000 --> 50:27.000]  I mean, every listener heard it freaking 500 times.
[50:27.000 --> 50:31.000]  Warning, you know, that might be it. Elite will try to kill Trump.
[50:31.000 --> 50:33.000]  Trump is in danger if he continues to take on the entire establishment.
[50:33.000 --> 50:35.000]  What date is that?
[50:35.000 --> 50:38.000]  That's November 11th right after the deal. Yeah, but it came about a week after that.
[50:38.000 --> 50:40.000]  See, the newspapers picked it up.
[50:40.000 --> 50:47.000]  That's what's getting me angry here is that we've got Alex Jones, CIA planning to kill Trump.
[50:47.000 --> 50:50.000]  British newspapers picked it up, so did US newspapers.
[50:50.000 --> 50:54.000]  I understand there's thousands of them reporting on the stuff, but, you know, we're going to find it.
[50:54.000 --> 50:57.000]  We'll be back on Alex Jones.
[51:24.000 --> 51:29.000]  I bought a 95-year-old German blade factory and they started selling high-quality razors online
[51:29.000 --> 51:31.000]  with no upcharging direct to customers.
[51:31.000 --> 51:33.000]  How did the overpriced razor company respond?
[51:33.000 --> 51:36.000]  By threatening to sue their pants off.
[51:36.000 --> 52:00.000]  Don't worry, Jeff and Andy have plenty of pants and a relentless dream to get all guys a great shave at a great price.
[52:00.000 --> 52:06.000]  Hi there, Dick Holgeier here. I was a mainstream television news reporter for over three decades.
[52:06.000 --> 52:10.000]  I normally never do commercial endorsements.
[52:10.000 --> 52:17.000]  I am very skeptical of health supplements, but a friend of mine told me about his experience with Synergy One,
[52:17.000 --> 52:21.000]  so I purchased a bottle and my wife and I have been using it for a few weeks now.
[52:21.000 --> 52:27.000]  I very much dislike so-called energy boosters, those little energy drinks that have caffeine
[52:27.000 --> 52:30.000]  and Gerana and other things that make your heart race.
[52:30.000 --> 52:35.000]  This is not that. My experience with Synergy One has been great.
[52:35.000 --> 52:42.000]  My mood is better, my joints feel better, I have more vigor, more stamina, way increased productivity.
[52:42.000 --> 52:47.000]  My wife and I both noticed that we even dream more, so I recommend Synergy One.
[52:47.000 --> 52:51.000]  It's really good stuff. I'm having great results with it.
[52:51.000 --> 52:59.000]  Call 888-988-3325 or visit OneWorldWay.com. That's One World, W-H-E-Y.com.
[53:21.000 --> 53:29.000]  BlockItPocket.com or call 888-315-9618, BlockItPocket.com, enhancing health and privacy.
[53:51.000 --> 53:55.000]  BelieveTheCity.com. Move to the freedom of Idaho, Montana or Wyoming.
[53:55.000 --> 53:59.000]  BelieveTheCity.com. BelieveTheCity.com.
[53:59.000 --> 54:19.000]  I got so upset earlier, I didn't get to all the Le Pen quotes. Here it is.
[54:19.000 --> 54:23.000]  Reality of Le Pen is a shock to the establishment. We just played that.
[54:23.000 --> 54:26.000]  Number two, Le Pen, the euro is a weapon used against EU nation states.
[54:26.000 --> 54:30.000]  Number three, Le Pen, France will leave the EU to restore sovereignty.
[54:30.000 --> 54:34.000]  I want to play more of that. This is really good news. This is really positive.
[54:34.000 --> 54:41.000]  I get frustrated because it's not the crew. There are so many hundreds and hundreds and hundreds of articles that have come out now.
[54:41.000 --> 54:46.000]  Just since I first predicted it saying the CIA needs to kill Trump, he's a Russian agent,
[54:46.000 --> 54:51.000]  I told everybody they're building up to that to say he's a Russian agent, time to kill him.
[54:51.000 --> 54:59.000]  What I was getting upset about of your radio listener is while they were putting all of that up on the screen,
[54:59.000 --> 55:05.000]  as they were search engineering, as I was reading it, it was mainstream news saying the CIA needs to kill Trump.
[55:05.000 --> 55:08.000]  So they've now gone further than I even thought.
[55:08.000 --> 55:12.000]  They've gone from all there might be a few Russians that got involved, might have been hacked,
[55:12.000 --> 55:16.000]  to all the American people didn't really vote for Trump. The Russians stole it without evidence.
[55:16.000 --> 55:21.000]  Oh, there's a few Russians maybe talking to people inside the administration to, Trump's not allowed to talk to Russians,
[55:21.000 --> 55:29.000]  to he is a Russian, to he is a quote, domestic enemy and needs to be killed.
[55:29.000 --> 55:38.000]  And then they search engine. I didn't even know that there were articles everywhere today saying, kill Trump, CIA, kill Trump.
[55:38.000 --> 55:45.000]  I mean, the so-called left is just a bunch of mentally ill losers that hate everybody in prosperity and hate somebody trying to cut their taxes.
[55:45.000 --> 55:48.000]  They're just a bunch of miserable morons that have been conned.
[55:48.000 --> 55:55.000]  And they're such losers, they're like brainwashed by their very Stockholm controllers.
[55:55.000 --> 55:57.000]  There's one of the articles.
[55:57.000 --> 55:59.000]  What was the date of that?
[55:59.000 --> 56:03.000]  That was December 21, shock claim the CIA is trying to assassinate Donald Trump.
[56:03.000 --> 56:05.000]  They were certainly pushing the idea beforehand.
[56:05.000 --> 56:09.000]  There's a bunch of others where I said they're going to build it up and then say time to killing.
[56:09.000 --> 56:10.000]  And now they're doing it.
[56:10.000 --> 56:13.000]  Alex Jones, the CIA is trying to assassinate Donald Trump.
[56:13.000 --> 56:16.000]  I said they're preparing everyone December 20th.
[56:16.000 --> 56:23.000]  That's the line to want to do it to sell the idea to normalize it before they do it.
[56:23.000 --> 56:25.000]  They're preparing the ground.
[56:25.000 --> 56:27.000]  And what comes next?
[56:27.000 --> 56:34.000]  The killing of the 45th president or setting a new coffin DC or blowing up federal buildings and claiming patriots did it.
[56:34.000 --> 56:37.000]  I mean, they're moving and everybody just needs to know.
[56:37.000 --> 56:38.000]  Look at who the globalist are.
[56:38.000 --> 56:39.000]  Look at who's running things.
[56:39.000 --> 56:41.000]  Look at who's doing this to our country.
[56:41.000 --> 56:46.000]  And remember, someday, maybe soon, maybe a long time, I'd be in between.
[56:46.000 --> 56:53.000]  They will be brought to justice and they need to know that because they're a bunch of megalomaniac, narcissistic,
[56:53.000 --> 56:56.000]  borderline personality disorder loons.
[56:56.000 --> 57:03.000]  And me, I'm here letting you know how I feel rallying humanity to get out of their complacency.
[57:03.000 --> 57:07.000]  And I will tell you, the demographics, the numbers,
[57:07.000 --> 57:16.000]  President Trump's operation has directly credited me over the telephone with being one of the key liberty demographics that put Trump over the edge.
[57:16.000 --> 57:17.000]  The shock troops, you name it.
[57:17.000 --> 57:21.000]  And it was everybody together, but I'm just telling you, the enemy knows that.
[57:21.000 --> 57:23.000]  Trump's got to press conference for getting in a few minutes.
[57:23.000 --> 57:25.000]  We're going to go to just see what he's saying.
[57:25.000 --> 57:29.000]  Just briefly, I need to find this operation and I need your prayers.
[57:29.000 --> 57:37.000]  We've come out with what is the ultimate caveman true paleo formula made with cartilage bone broth and paleo ingredients.
[57:37.000 --> 57:39.000]  The next generation of advanced paleo nutrition.
[57:39.000 --> 57:41.000]  Everybody's into it way and stuff.
[57:41.000 --> 57:42.000]  Yeah, that's great folks.
[57:42.000 --> 57:43.000]  And you can obviously mix this with milk.
[57:43.000 --> 57:46.000]  It's got a little bit of sweetener from Stevie and chocolate, you know, in it.
[57:46.000 --> 57:50.000]  It's cocoa, but we're going to come up with one that is unflavored as well.
[57:50.000 --> 57:52.000]  But the point is, it's amazing.
[57:52.000 --> 57:54.000]  It's the highest quality.
[57:54.000 --> 57:58.000]  It is concentrated and it supports the broadcast.
[57:58.000 --> 58:02.000]  There are competitors out there that don't have half the substance this does that costs more.
[58:02.000 --> 58:03.000]  And it's discounted out of the gates.
[58:03.000 --> 58:04.000]  A lot of folks are getting it.
[58:04.000 --> 58:07.000]  So thank you for your support caveman true paleo.
[58:07.000 --> 58:12.000]  We also have the fluoride free toothpaste with iodine and colloidal silver and more.
[58:12.000 --> 58:18.000]  Super blue and info wars life.com and four store.com.
[58:18.000 --> 58:23.000]  You get great things you need yourself, your family, your body, and you fund the operation.
[58:23.000 --> 58:27.000]  So whether it's X to the good halogen or brain force,
[58:27.000 --> 58:31.000]  our secret 12, it's all available at info wars store.com.
[58:31.000 --> 58:34.000]  You can also get your, oh, I got something key to say when we come back.
[58:34.000 --> 58:35.000]  We got it.
[58:35.000 --> 58:37.000]  Oh, I meant to start the show with this.
[58:37.000 --> 58:38.000]  This is so in.
[58:38.000 --> 58:39.000]  Stay with us.
[58:39.000 --> 58:40.000]  This is key.
[58:40.000 --> 58:41.000]  Tell everybody to tune in folks.
[58:41.000 --> 58:43.000]  This is this is total war against humanity.
[58:43.000 --> 58:45.000]  We're going to defeat them.
[58:50.000 --> 58:53.000]  Since the federal judge has halted Trump's executive order,
[58:53.000 --> 58:57.000]  60% of the refugee arrivals to the United States have come from terror prone countries.
[58:57.000 --> 58:59.000]  In fact, the most terror prone.
[58:59.000 --> 59:02.000]  Since US district judge James Robards restraining order,
[59:02.000 --> 59:06.000]  the United States has taken 532 refugees from Syria,
[59:06.000 --> 59:10.000]  a civil war torn country ripe with terrorists in which president Assad of Syria
[59:10.000 --> 59:14.000]  and US intelligence agencies said are infiltrating refugee groups.
[59:14.000 --> 59:18.000]  472 refugees from Iraq where Americans can't even go out on the streets.
[59:18.000 --> 59:23.000]  363 from Somalia where we already had a refugee stab 11 people at Ohio State.
[59:23.000 --> 59:29.000]  117 refugees from Iran where they just last week held a march where they marched on the American flag
[59:29.000 --> 59:35.000]  and chanted death to the US in the streets and 65 are from Sudan a failed state
[59:35.000 --> 59:41.000]  for a total of 1549 refugees from terrorist prone countries since February 3rd.
[59:41.000 --> 59:44.000]  If any terror attacks happen at the hands of these refugees,
[59:44.000 --> 59:47.000]  we know where to look and it ate Trump for info wars.com.
[59:47.000 --> 59:49.000]  This is Owen Shroyer.
[1:00:18.000 --> 1:00:23.000]  People ask me and that's why I say it every hour.
[1:00:23.000 --> 1:00:25.000]  They say are you fake?
[1:00:25.000 --> 1:00:27.000]  Everything I say, I believe.
[1:00:27.000 --> 1:00:30.000]  Unless I'm doing a comedy piece and it's satire, then I tell you it's satire.
[1:00:30.000 --> 1:00:34.000]  I don't even do a lot of satire now because it's just things are so serious.
[1:00:34.000 --> 1:00:39.000]  But I get pent up, I get really upset and then I just let it out on air
[1:00:39.000 --> 1:00:44.000]  and then sometimes when I really get upset and realize that I'm absolutely on target
[1:00:44.000 --> 1:00:48.000]  and that they're going to cause a civil war, kill Trump, you name it if we don't stop them.
[1:00:48.000 --> 1:00:49.000]  I mean, I want to do something.
[1:00:49.000 --> 1:00:53.000]  It's like knowing your neighbors, houses on fire, kids out in the street about to be run over by truck.
[1:00:53.000 --> 1:00:55.000]  I mean, you get upset.
