[00:00.000 --> 00:10.000]  When I grow up, I want to be a rock star!
[30:50.000 --> 30:52.000]  So it's pretty exciting, and I love it.
[30:52.000 --> 30:56.000]  Visit InfowarsLife.com today to secure your supermail vitality
[30:56.000 --> 30:59.000]  and other powerful products from InfowarsLife.
[31:01.000 --> 31:04.000]  The reason InfowarsLife has five star ratings on major third-party sites
[31:04.000 --> 31:06.000]  is because I want products I'm going to use for my family.
[31:06.000 --> 31:10.000]  I take this, my family takes this, and then it funds the operation
[31:10.000 --> 31:13.000]  with the most hardcore, truthful information you're going to find anywhere.
[31:13.000 --> 31:17.000]  So what you find in our news is the same thing you find in our products at InfowarsLife.com.
[31:17.000 --> 31:22.000]  If I ever forget to take them, I have a noticeable difference.
[31:22.000 --> 31:23.000]  I don't feel good.
[31:23.000 --> 31:27.000]  The nascent iodine is one of the ones that was life-changing for me.
[31:27.000 --> 31:29.000]  Yeah, I've actually just run out of my super-female.
[31:29.000 --> 31:35.000]  I had a few bottles at my house, and I've been taking it again, hitting the gym once again.
[31:35.000 --> 31:42.000]  Very exciting, feeling great, looking good, and I know my hair is a little luxurious once again.
[31:42.000 --> 31:44.000]  So obviously, the super-female is amazing. I love it.
[31:44.000 --> 31:47.000]  Nascent iodine is essential.
[31:47.000 --> 31:48.000]  Survival Shield X2.
[31:48.000 --> 31:50.000]  If there's one product that I would say is life-changing,
[31:50.000 --> 31:54.000]  then I would suggest it's nascent iodine, Survival Shield X2.
[31:54.000 --> 31:56.000]  It's got a five-star rating.
[31:56.000 --> 32:21.000]  It's a win-win, InfowarsLife.com.
[32:26.000 --> 32:29.000]  100% organic coffee at InfowarsLife.com.
[32:29.000 --> 32:36.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[32:36.000 --> 32:43.000]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[32:43.000 --> 32:48.000]  Dropped by the site today, order a bag or two, and I don't think you're going to be disappointed.
[32:48.000 --> 32:53.000]  Available in original or with our immune support infusion blend, you will be supporting a free press.
[32:53.000 --> 32:57.000]  All the while enjoying a truly great-tasting cup of my favorite coffee.
[32:57.000 --> 33:03.000]  Available at InfowarsLife.com.
[33:03.000 --> 33:11.000]  You're listening to the Alex Jones Show.
[33:11.000 --> 33:34.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[33:34.000 --> 33:36.000]  Welcome back to the Alex Jones Show.
[33:36.000 --> 33:43.000]  Adam's The Health Ranger here filling in for Alex today. He and crew are on their way to Washington, D.C. soon.
[33:43.000 --> 33:53.000]  Going to be hosting on Tuesday a National Press Club event, starting, I believe, at 9 a.m. Eastern featuring Rob Do, Jerome Corsi.
[33:53.000 --> 33:55.000]  Of course, Alex will be speaking there.
[33:55.000 --> 34:04.000]  Leanne McAdoo, Roger Stone, Lee Stranahan, and others will be speaking there on the assaults on our First Amendment, which is the topic of today's show.
[34:04.000 --> 34:06.000]  And I thank you for joining me.
[34:06.000 --> 34:09.000]  This is the most urgent issue of our time.
[34:09.000 --> 34:12.000]  If we lose our ability to speak, then we will lose everything.
[34:12.000 --> 34:19.000]  Do not underestimate the importance of standing right now for the First Amendment and for free speech.
[34:19.000 --> 34:26.000]  Because if you lose this, and if you lose this infrastructure, if you lose Infowars, you're going to lose your private property.
[34:26.000 --> 34:29.000]  You're going to lose your liberties. You're going to lose your Second Amendment rights.
[34:29.000 --> 34:32.000]  You're going to lose your country. You're going to lose your future.
[34:32.000 --> 34:35.000]  It's crucial to support this operation.
[34:35.000 --> 34:43.000]  Infowarsstore.com is the place where you can purchase, of course, the nutritional supplements that power this economically.
[34:43.000 --> 34:45.000]  There's a couple of them there that I love.
[34:45.000 --> 34:48.000]  Alpha Power is back in stock, 25% off.
[34:48.000 --> 34:54.000]  And of course, Bodies, which is a curcumin slash curcuminoid extract of Turmeric.
[34:54.000 --> 34:58.000]  Turmeric is one of my favorite herbs, roots, spices.
[34:58.000 --> 35:07.000]  It is powerful, powerful, natural support for all the things that matter for your life and your body.
[35:07.000 --> 35:09.000]  And just being able to power yourself through the day.
[35:09.000 --> 35:11.000]  I've got Turmeric in my smoothie here.
[35:11.000 --> 35:14.000]  I always bring a big smoothie jar on set.
[35:14.000 --> 35:16.000]  I'll put it up there so you guys can see it.
[35:16.000 --> 35:19.000]  I put a big heaping tablespoon of Turmeric in there.
[35:19.000 --> 35:22.000]  Let me reposition that for the cameras.
[35:22.000 --> 35:26.000]  This Turmeric, for me, it's amazing.
[35:26.000 --> 35:29.000]  It just powers my brain, powers my body through the day.
[35:29.000 --> 35:34.000]  And it is at 25% off right now at Infowarsstore.com.
[35:34.000 --> 35:37.000]  And there are other specials running right now there as well.
[35:37.000 --> 35:38.000]  Support this operation.
[35:38.000 --> 35:40.000]  It's crucial.
[35:40.000 --> 35:45.000]  My own operation, natural news, we're all users supported.
[35:45.000 --> 35:47.000]  Infowars is all users supported.
[35:47.000 --> 35:50.000]  The government doesn't write grant money to Infowars.
[35:50.000 --> 35:52.000]  And Alex wouldn't want it even if they did.
[35:52.000 --> 35:56.000]  We don't want financial ties to Google or the government or academia.
[35:56.000 --> 36:02.000]  We want to be independent of those so that we can bring you these kinds of stories like what we're covering today.
[36:02.000 --> 36:04.000]  We can't do it without your financial support.
[36:04.000 --> 36:07.000]  So definitely step up to the plate, support us today.
[36:07.000 --> 36:13.000]  Now continuing with our talk about the attack on the First Amendment.
[36:13.000 --> 36:20.000]  I've analyzed this and have come to conclude that there are seven ways that the First Amendment is being attacked today.
[36:20.000 --> 36:25.000]  There are seven different ways affecting all conservative voices, pro-liberty voices.
[36:25.000 --> 36:28.000]  They are demonetization.
[36:28.000 --> 36:29.000]  Number one.
[36:29.000 --> 36:31.000]  Number two, shadow banning.
[36:31.000 --> 36:33.000]  They've done this for years.
[36:33.000 --> 36:39.000]  And of course demonetization they did to most of the conservative YouTube channels right after Trump won the election.
[36:39.000 --> 36:41.000]  Number three is deplatforming.
[36:41.000 --> 36:44.000]  That's where they just terminate your account and get you off the platform.
[36:44.000 --> 36:49.000]  Now we've got to build our own alternative platforms so that we have a place for people to go.
[36:49.000 --> 36:50.000]  I'm building one.
[36:50.000 --> 36:52.000]  Infowars is going to be part of it.
[36:52.000 --> 36:53.000]  It's called real.video.
[36:53.000 --> 36:55.000]  It's an alternative to YouTube.
[36:55.000 --> 36:56.000]  So check that out.
[36:56.000 --> 36:57.000]  Join up that.
[36:57.000 --> 36:58.000]  It's launching July 4th Independence Day.
[36:58.000 --> 37:02.000]  Number four is interference with user communications.
[37:02.000 --> 37:11.000]  This is where Gmail blocks email delivery from Infowars or other operations to make sure users don't get those emails.
[37:11.000 --> 37:14.000]  Some of these organizations engage in DDoS attacks.
[37:14.000 --> 37:21.000]  I mean how many times has Infowars been subjected to DDoS attacks or natural news or Drudge or Breitbart or others?
[37:21.000 --> 37:24.000]  Number five, frivolous lawsuits.
[37:24.000 --> 37:32.000]  This is the newest tactic where they're trying to just bankrupt organizations by suing them endlessly with frivolous lawsuits
[37:32.000 --> 37:36.000]  even though they know they're going to lose those lawsuits and they're going to have to pay legal fees and damages.
[37:36.000 --> 37:42.000]  But they think that they can just, I don't know, maybe they think Alex Jones is going to give up.
[37:42.000 --> 37:44.000]  I kind of doubt that's ever going to happen.
[37:44.000 --> 37:49.000]  They got a fighter on their hands right here at Infowars and I'm much the same way.
[37:49.000 --> 37:52.000]  They're not going to intimidate us into silence.
[37:52.000 --> 37:54.000]  We're way past that at this point.
[37:54.000 --> 37:58.000]  Number six is e-commerce service elimination.
[37:58.000 --> 38:00.000]  I try to go after your e-commerce platforms.
[38:00.000 --> 38:09.000]  Citibank had an announcement recently where they would refuse to do business with organizations that sell firearms or firearms magazines.
[38:09.000 --> 38:13.000]  Really, these are legal items.
[38:13.000 --> 38:15.000]  The background checks are happening.
[38:15.000 --> 38:17.000]  The FBI is doing the NICS system.
[38:17.000 --> 38:25.000]  But Citibank doesn't want to engage in legal commerce that helps people defend themselves against the murderers and the rapists and the criminals
[38:25.000 --> 38:30.000]  that are being let into the society by governors like Jerry Brown in California.
[38:30.000 --> 38:34.000]  Just open borders, flood in, just start murdering everyone.
[38:34.000 --> 38:42.000]  Because, oh, you're going to be in a sanctuary city will protect you from deportation and you don't have the right to buy a gun to defend yourself against that
[38:42.000 --> 38:46.000]  because Citibank thinks that they're saving lives.
[38:46.000 --> 38:48.000]  No, you're getting people killed.
[38:48.000 --> 38:51.000]  That's why we should all just stop doing business with Citibank.
[38:51.000 --> 38:54.000]  Number seven, this is the big one we're talking about today.
[38:54.000 --> 38:58.000]  Declaring all conservative speech to be hate speech.
[38:58.000 --> 39:03.000]  Understand, this is a huge realization.
[39:03.000 --> 39:06.000]  They are declaring conservative speech to be hate speech.
[39:06.000 --> 39:08.000]  They have a liberal bubble.
[39:08.000 --> 39:12.000]  Everything inside the bubble is considered a fact.
[39:12.000 --> 39:15.000]  Everything outside the bubble is considered hate speech.
[39:15.000 --> 39:18.000]  I did a little animation on this, a little satire cartoon.
[39:18.000 --> 39:20.000]  I even did the voices for this.
[39:20.000 --> 39:22.000]  It's called the liberal bubble.
[39:22.000 --> 39:24.000]  It's on counterthink.com.
[39:24.000 --> 39:27.000]  I want to play for you the first minute of this so you can hear it for yourself.
[39:27.000 --> 39:29.000]  The liberal bubble. Go ahead and run that.
[39:29.000 --> 39:39.000]  It's hilarious.
[39:39.000 --> 39:40.000]  Check it out, bro.
[39:40.000 --> 39:42.000]  I finally solved the liberal formula for hate speech.
[39:42.000 --> 39:44.000]  Show me, show me.
[39:44.000 --> 39:47.000]  Okay, you see this giant circle on the floor labeled fact?
[39:47.000 --> 39:49.000]  This is the bubble of liberal truth.
[39:49.000 --> 39:52.000]  Everything in here is considered a fact by consensus.
[39:52.000 --> 39:54.000]  Okay, what's outside the bubble?
[39:54.000 --> 39:57.000]  Well, obviously everything outside this bubble is hate speech.
[39:57.000 --> 39:58.000]  Oh, cool, I get it.
[39:58.000 --> 40:00.000]  All right, so say something and I'll tell you what it is.
[40:00.000 --> 40:03.000]  Okay, um, President Trump is a sex abuser.
[40:03.000 --> 40:06.000]  Exactly, that's a fact because it's in the liberal bubble.
[40:06.000 --> 40:08.000]  Okay, what about this?
[40:08.000 --> 40:11.000]  There are only two genders because gender is binary.
[40:11.000 --> 40:14.000]  Huh, that's hate speech because it's outside the liberal bubble.
[40:14.000 --> 40:16.000]  Haha, this is fun.
[40:16.000 --> 40:18.000]  Okay, guns kill people.
[40:18.000 --> 40:21.000]  Exactly, that's a fact because it's in the bubble.
[40:21.000 --> 40:23.000]  Now, watch.
[40:23.000 --> 40:26.000]  Crime and Dioxide is good for creating the planet.
[40:26.000 --> 40:28.000]  Well, that's hate speech.
[40:28.000 --> 40:30.000]  This animation goes on like that.
[40:30.000 --> 40:32.000]  You can check it out at counterthink.com.
[40:32.000 --> 40:34.000]  I was trying to make the point with this to say, hey,
[40:34.000 --> 40:37.000]  they've got this liberal bubble of mythology and false narratives
[40:37.000 --> 40:40.000]  and total hoaxes and inside the bubble,
[40:40.000 --> 40:43.000]  anything goes as long as they have consensus where
[40:43.000 --> 40:46.000]  enough liberals believe it, like, oh, the Russians stole the election
[40:46.000 --> 40:48.000]  or, you know, whatever.
[40:48.000 --> 40:51.000]  That carbon dioxide is bad for plants somehow,
[40:51.000 --> 40:55.000]  even though it's the number one most important molecule for plant physiology.
[40:55.000 --> 40:59.000]  And then they try to convince you that somehow CO2 is a poison.
[40:59.000 --> 41:03.000]  I mean, they're insane with their false facts,
[41:03.000 --> 41:05.000]  but they have a bubble.
[41:05.000 --> 41:08.000]  And then they say everything outside the bubble is hate speech.
[41:08.000 --> 41:11.000]  And this is how they're going after Diamond and Silk.
[41:11.000 --> 41:14.000]  This is how they're going after Infowars and my own channels
[41:14.000 --> 41:17.000]  and other people, Breitbart, Milo Yiannopoulos,
[41:17.000 --> 41:20.000]  you know, everybody out there, Drudge, they're just saying, hey,
[41:20.000 --> 41:23.000]  if you're outside the liberal bubble, you are, quote, unsafe to the community.
[41:23.000 --> 41:25.000]  This is what they just said to Diamond and Silk,
[41:25.000 --> 41:27.000]  you're unsafe to the community.
[41:27.000 --> 41:29.000]  Well, what's unsafe about you?
[41:29.000 --> 41:32.000]  Oh, you have ideas that go against the insane consensus
[41:32.000 --> 41:36.000]  that's rooted in delusion and fairy tale unicorn nonsense
[41:36.000 --> 41:40.000]  that's rooted in fake genetic science and magical,
[41:40.000 --> 41:43.000]  like you can wave a magic wand over your private parts
[41:43.000 --> 41:47.000]  and change into a half Zorg, half Tibetan, snow,
[41:47.000 --> 41:50.000]  tired, weird gender spectrum person.
[41:50.000 --> 41:52.000]  It doesn't make any sense.
[41:52.000 --> 41:54.000]  But I'm pro-liberty.
[41:54.000 --> 41:58.000]  I respect if people are gay, if people want to cross dress,
[41:58.000 --> 42:00.000]  if people want to do that, fine, that's your deal.
[42:00.000 --> 42:02.000]  Alex is the same way. We're libertarians on that.
[42:02.000 --> 42:04.000]  Be who you want to be.
[42:04.000 --> 42:07.000]  But don't censor our channels because we have an opinion
[42:07.000 --> 42:09.000]  that's actually rooted in science.
[42:09.000 --> 42:11.000]  That's rooted in genetics and chromosomes
[42:11.000 --> 42:14.000]  and the hardcore sciences that have been taught
[42:14.000 --> 42:17.000]  for, you know, generations in this country.
[42:17.000 --> 42:21.000]  When you're born, you're not born as a gender neutral being,
[42:21.000 --> 42:24.000]  a little baby to be, quote, a signed agenda later on.
[42:24.000 --> 42:25.000]  That's nonsense.
[42:25.000 --> 42:28.000]  You were born as a baby boy or a baby girl.
[42:28.000 --> 42:31.000]  You developed that way before birth.
[42:31.000 --> 42:33.000]  It's not a signed at birth.
[42:33.000 --> 42:35.000]  It is biological reality.
[42:35.000 --> 42:38.000]  It is time that the left came back to reality
[42:38.000 --> 42:42.000]  and stopped living in their liberal bubble of false facts.
[42:42.000 --> 42:44.000]  This is the Alex Jones show. Mike Adams here.
[42:44.000 --> 42:51.000]  Stay with us. We'll be right back after this break with much more.
[43:14.000 --> 43:16.000]  We're selling formulas out there. It's very simple.
[43:16.000 --> 43:18.000]  We went out and, like, what is the top? What is the best?
[43:18.000 --> 43:20.000]  We'll just put even more product in. We'll make it better.
[43:20.000 --> 43:23.000]  Leading competitors put $2 a product in it,
[43:23.000 --> 43:26.000]  sell it for $60. We put $10 in it and sell it for $30.
[43:26.000 --> 43:29.000]  It's $19.95 right now.
[43:29.000 --> 43:31.000]  So you get an incredible top of the line
[43:31.000 --> 43:33.000]  Neutropic for $19.95.
[43:33.000 --> 43:36.000]  Believe me, we're selling it for $35 on average.
[43:36.000 --> 43:39.000]  We need that $15, $20. We make the fund this operation
[43:39.000 --> 43:41.000]  in the face of the global threat of it.
[43:41.000 --> 43:44.000]  I'm doing this because we got a ton of it coming in in two weeks.
[43:44.000 --> 43:47.000]  I want to sell it all out before the big supply comes in,
[43:47.000 --> 43:50.000]  and I want people that haven't tried BrainForce to try it
[43:50.000 --> 43:53.000]  and find out why. It's got 6,000 plus five-star reviews.
[43:53.000 --> 43:57.000]  It's amazing. Infowarsstore.com, InfowarsLive.com,
[43:57.000 --> 43:59.000]  or AAA-2533139.
[43:59.000 --> 44:03.000]  You know, if I tried to sit here and tell you about the 60-plus products,
[44:03.000 --> 44:06.000]  we have it InfowarsLive. They take hours.
[44:06.000 --> 44:11.000]  It goes the X-plus, and now it's a lower price. It's stronger.
[44:11.000 --> 44:14.000]  It's the other equation in probiotics. It knocks out the yeast, the mold,
[44:14.000 --> 44:16.000]  the candida. It's back in stock.
[44:16.000 --> 44:19.000]  The real red pill, it's been sold out for months.
[44:19.000 --> 44:22.000]  It's got the preglonone. That's the precursor to all the natural
[44:22.000 --> 44:25.000]  hormones in your body. Then it's got all the minerals and the vitamins,
[44:25.000 --> 44:27.000]  the amino acids. So you can upload it.
[44:27.000 --> 44:30.000]  And our latest product that goes great with the super blue,
[44:30.000 --> 44:33.000]  colloidal silver, and iodine, 4 to 5 toothpaste,
[44:33.000 --> 44:36.000]  super blue silver immune gargle, that's a spray you do.
[44:36.000 --> 44:40.000]  You can also swallow it. It's a supplement with iodine,
[44:40.000 --> 44:43.000]  super high-quality silver, and a lot more.
[44:43.000 --> 44:46.000]  Without you, we couldn't do it. So thank you all for remembering
[44:46.000 --> 44:51.000]  Infowarsstore.com and remembering that it's not just you that's already awake,
[44:51.000 --> 44:54.000]  but it's other people that aren't awake, and it's so essential to spread the word.
[44:54.000 --> 44:58.000]  Again, thank you so much for being part of the Second American Revolution.
[44:58.000 --> 45:05.000]  Hey, did you know that you can now preserve your own food for up to 25 years
[45:05.000 --> 45:09.000]  and still maintain its nutrition and flavor? That's right.
[45:09.000 --> 45:14.000]  Now's the time to build your own food storage with Harvest Rights Freeze Dryers.
[45:14.000 --> 45:18.000]  Go to Infowarsstore.com to learn more and check out this innovative
[45:18.000 --> 45:21.000]  and smart technology that's easy to use.
[45:21.000 --> 45:24.000]  And let me tell you something. It is perfect for freeze drying fruits,
[45:24.000 --> 45:28.000]  vegetables, meats, dairy products, desserts, and entire meals.
[45:28.000 --> 45:30.000]  Woo! That's what I'm talking about.
[45:30.000 --> 45:35.000]  And when compared to traditional methods of preservation, like canning or dehydrating,
[45:35.000 --> 45:38.000]  you know, like what you get at the grocery store, there is no comparison.
[45:38.000 --> 45:45.000]  Harvest Rights Freeze Dryers retain 97% of the food's taste, color, and nutritional value
[45:45.000 --> 45:48.000]  and have a shelf life of up to 25 years.
[45:48.000 --> 45:51.000]  Now that's what I call the miracle of food preservation.
[45:51.000 --> 45:55.000]  Harvest Rights is truly the world's best, most affordable freeze dryer.
[45:55.000 --> 46:00.000]  So what are you waiting for? Check it out right now at Infowarsstore.com.
[46:00.000 --> 46:05.000]  You deserve a deep restful sleep with Knockout by InfowarsLife.
[46:05.000 --> 46:09.000]  Our organic formula is made from high quality natural ingredients
[46:09.000 --> 46:16.000]  such as Valerian root extract, L-Tryptophan, lemon balm leaf extract, and melatonin.
[46:16.000 --> 46:21.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[46:21.000 --> 46:25.000]  Millions of people around the world experience daytime drowsiness,
[46:25.000 --> 46:29.000]  but with the rapid speed of life, we need to be able to keep up the pace.
[46:29.000 --> 46:33.000]  Our natural mixture harnesses the power of ten known ingredients
[46:33.000 --> 46:37.000]  to let your body relax and get the sleep you need.
[46:37.000 --> 46:39.000]  Wake up refreshed and take on the day.
[46:39.000 --> 46:43.000]  InfowarsLife wants to bring you a sleep support formula
[46:43.000 --> 46:47.000]  that goes above and beyond other leading brands at an affordable price.
[46:47.000 --> 46:51.000]  Get the sleep you deserve and experience the power of Knockout.
[46:51.000 --> 46:55.000]  Head on over to InfowarsLife.com and say goodbye to fatigue.
[46:55.000 --> 46:58.000]  That's InfowarsLife.com.
[46:58.000 --> 47:09.000]  You're listening to the Alex Jones Show.
[47:28.000 --> 47:33.000]  It's Alex Jones.
[47:33.000 --> 47:35.000]  You know, I was banned from YouTube.
[47:35.000 --> 47:38.000]  My entire channel wiped out for saying there are only two genders.
[47:38.000 --> 47:47.000]  And my message to YouTube is that your gender dysphoria does not make my genetics knowledge hate speech.
[47:47.000 --> 47:53.000]  Just because you don't understand science doesn't mean that everybody else that disagrees with you is engaged in hate speech.
[47:53.000 --> 48:01.000]  Did you see that poll recently that one-third of today's millennials apparently aren't yet convinced that the Earth is a sphere?
[48:01.000 --> 48:06.000]  They actually think that the Earth might be flat, they say.
[48:06.000 --> 48:17.000]  I don't know how that works, but if they think the Earth is flat, no doubt they think that gender is a magical wish that can be altered at any moment.
[48:17.000 --> 48:25.000]  You know, once you abandon the laws of physics and you abandon gravity and you abandon cause and effect and you abandon genetics and chromosomes
[48:25.000 --> 48:34.000]  and gestational development of the child inside its mother's womb, when you abandon all that stuff, I guess anything goes.
[48:34.000 --> 48:38.000]  And really, liberalism is about eliminating logic and reason.
[48:38.000 --> 48:43.000]  Your ability to just think is a danger to liberals.
[48:43.000 --> 48:48.000]  Your ability to reason is a danger. Your ability to ask a question is a danger.
[48:48.000 --> 48:54.000]  And this attack on freedom of speech has an end game, and that's what I want to get into here.
[48:54.000 --> 49:07.000]  The end game is that, remember, that CEO, a Twitter CEO, Jack Dorsey said, he endorsed essentially this article that called for elimination of the GOP
[49:07.000 --> 49:14.000]  and for Democrats to take over America and said that one side has to win, there's no way to move forward in a bipartisan way.
[49:14.000 --> 49:19.000]  They're basically announcing they need to conquer America, they're going to silence all your speech.
[49:19.000 --> 49:24.000]  But why? Why did Twitter's CEO tweet that out now?
[49:24.000 --> 49:30.000]  Was it an accident? I say no, it was a strategy. And here's the strategy.
[49:30.000 --> 49:40.000]  The left wants a civil war. The left wants somebody who's censored to go firebomb Twitter headquarters.
[49:40.000 --> 49:43.000]  And we never want to see something like that happen, of course.
[49:43.000 --> 49:47.000]  We don't want to invoke violence in order to resolve these issues.
[49:47.000 --> 49:50.000]  We can defeat these people at the voting booths.
[49:50.000 --> 49:53.000]  We can defeat these people with logic and reason and the truth.
[49:53.000 --> 49:55.000]  We can defeat these people by building our own platforms.
[49:55.000 --> 49:59.000]  We can defeat these people with independent media like Infowars.
[49:59.000 --> 50:02.000]  But they want to be attacked. They want to be bombed.
[50:02.000 --> 50:07.000]  They want somebody to walk in there and start shooting people and they got all excited.
[50:07.000 --> 50:14.000]  What was it, you know, 10 days ago or whatever, when that woman went into YouTube and started blasting away at YouTube employees
[50:14.000 --> 50:19.000]  and they were all excited. They thought, this is it. This is it. Somebody's gone. Somebody snapped.
[50:19.000 --> 50:22.000]  They're going to come in and just start shooting all the YouTube people.
[50:22.000 --> 50:29.000]  And it turns out that she was an animal rights activist, vegan, more of a left-wing type of person.
[50:29.000 --> 50:37.000]  And so they dropped that story so fast. Oh, man, did CNN drop that story because it didn't fit the narrative.
[50:37.000 --> 50:40.000]  But at first they were all excited. They were just drooling over it.
[50:40.000 --> 50:42.000]  Oh, my God, we got a shooter. We got a shooter.
[50:42.000 --> 50:49.000]  And they were already calling out the NRA, blaming the NRA even before they knew any facts, of course, of what had happened.
[50:49.000 --> 50:54.000]  But you see, they want this. They want somebody who does fit the narrative.
[50:54.000 --> 51:01.000]  They want a Trump supporting, you know, NRA member, Second Amendment supporter, preferably someone who reads infowars.com.
[51:01.000 --> 51:07.000]  They want somebody like that to go into Facebook and just shoot up the place.
[51:07.000 --> 51:11.000]  This is what they want. I'm convinced. I don't want it. We never want to see that happen.
[51:11.000 --> 51:17.000]  We don't want to see violence taking place in any of the headquarters of those companies.
[51:17.000 --> 51:21.000]  We don't want to see that, but they want to see it. And you know why? Here's why.
[51:21.000 --> 51:27.000]  Because then they can say, see, this is why we have to censor you because you're dangerous.
[51:27.000 --> 51:31.000]  Just like they told Diamond and Silk, oh, you're unsafe to the community.
[51:31.000 --> 51:36.000]  And now, look, one of your people came in and shot up the place. You're dangerous.
[51:36.000 --> 51:42.000]  We have to ban you. We have to censor you. They want it to happen because it justifies their censorship.
[51:42.000 --> 51:50.000]  You follow me now? Do you see how this is all connected? It's a chain of events. It's a chain of logic.
[51:50.000 --> 51:57.000]  They are trying to have a reason to silence Americans and take away your guns and take away your liberties.
[51:57.000 --> 52:01.000]  And they're trying to justify it to themselves like they do right now.
[52:01.000 --> 52:06.000]  They say, oh, they think conservatives are crazy. They think Trump is crazy. They think guns are dangerous.
[52:06.000 --> 52:12.000]  And yet, of course, they always surround themselves with armed guards whenever they're out in public speaking or Clinton going out.
[52:12.000 --> 52:19.000]  She's got armed guards around her all the time. All the top senators who are Democrats always have armed guards around them.
[52:19.000 --> 52:25.000]  But they don't want you to have the right to defend yourself. And so I wouldn't be surprised.
[52:25.000 --> 52:28.000]  This was not a prediction, but an analysis.
[52:28.000 --> 52:35.000]  I wouldn't be surprised if they commit their own false flag operation to have some mad shooter go into, I don't know,
[52:35.000 --> 52:40.000]  it could be YouTube, it could be Facebook, it could be Twitter, it could be Google and just commit total mayhem.
[52:40.000 --> 52:45.000]  Like a Las Vegas type of shooting, which we never want to see happen on the record.
[52:45.000 --> 52:48.000]  I want to tell you, we don't want to see that happen.
[52:48.000 --> 52:54.000]  But I wouldn't be surprised if they recruit somebody or brainwash somebody or drug somebody, whatever it takes,
[52:54.000 --> 52:59.000]  to make that shooting happen so they can say, see, this is why we have to censor conservatives.
[52:59.000 --> 53:04.000]  Look how dangerous they are. They're shooting at us. We have to censor them.
[53:04.000 --> 53:06.000]  See, it all makes sense.
[53:06.000 --> 53:14.000]  Now, let's suppose, by the way, that someone comes in and does that and it gets big.
[53:14.000 --> 53:20.000]  It grows and it starts to get joined by more people whose lives are being destroyed by this censorship.
[53:20.000 --> 53:25.000]  And it grows into an actual civil war in California, let's say, theoretically, in this analysis.
[53:25.000 --> 53:30.000]  What happens then? Well, the left wins again because they invoke the United Nations.
[53:30.000 --> 53:35.000]  Obama will poke his head out of the bunker in Washington, D.C. and he will say,
[53:35.000 --> 53:41.000]  we need UN troops to come in and secure the peace in California against these terrorists.
[53:41.000 --> 53:48.000]  Who are the terrorists? Oh, you mean all the people that you censored that are now marching at the gates
[53:48.000 --> 53:51.000]  demanding their human rights back?
[53:51.000 --> 53:57.000]  Oh, so you're going to have UN occupation and boy, what a great opportunity to overthrow Trump at the same time
[53:57.000 --> 54:00.000]  and have Obama in charge of the whole thing.
[54:00.000 --> 54:05.000]  Look, if this sounds like an outlier to you, if this sounds like, oh, that's impossible,
[54:05.000 --> 54:09.000]  you need to keep up because we've been years ahead of everything that's going on.
[54:09.000 --> 54:15.000]  I mean, Alex Jones warned you about this censorship coming. I warned you about it too.
[54:15.000 --> 54:22.000]  In 2016, I publicly predicted that Trump would win the election, publicly predicted it before it happened.
[54:22.000 --> 54:27.000]  And then after he got elected, I publicly predicted that they would raise interest rates
[54:27.000 --> 54:30.000]  and try to crash the market to blame Trump. What have they been doing?
[54:30.000 --> 54:35.000]  Oh, raising interest rates to try to crash the market, to try to blame Trump.
[54:35.000 --> 54:38.000]  We know what's happening. This is a blueprint.
[54:38.000 --> 54:42.000]  When you walk around the halls of Infowars here, behind the scenes in the studios,
[54:42.000 --> 54:48.000]  this, the people here, and Alex Jones and the other guests and fill in hosts like myself,
[54:48.000 --> 54:52.000]  we know what's going to happen because we've seen this blueprint before.
[54:52.000 --> 54:55.000]  We've seen it. We don't have a crystal ball. We're not psychic.
[54:55.000 --> 54:59.000]  We just, this pattern is just played out over and over again throughout history.
[54:59.000 --> 55:04.000]  There's nothing new under the sun, folks. This is the same pattern we've seen before.
[55:04.000 --> 55:09.000]  It's the Cultural Revolution playbook of Mao. It's the, it's the Joseph Stalin playbook.
[55:09.000 --> 55:13.000]  You know, it's, it's the Venezuela playbook where the leftists are in charge
[55:13.000 --> 55:18.000]  and they leave you in such poverty and destitution and desperation that you're eating zoo animals
[55:18.000 --> 55:21.000]  for lunch and killing your neighbor's cat to have a barbecue.
[55:21.000 --> 55:26.000]  I mean, it's so bad, you know, where there's human feces all over the streets of,
[55:26.000 --> 55:30.000]  of San Francisco, as I said before, turning it into a turd world country.
[55:30.000 --> 55:33.000]  It's so bad. Everything is collapsing when it's run by the left,
[55:33.000 --> 55:39.000]  but they demand to be in charge. They demand to silence everyone who disagrees with them.
[55:39.000 --> 55:43.000]  And guess what? If you get angry, they call it hate speech.
[55:43.000 --> 55:49.000]  If you get angry, they call it hate speech. Recognize this.
[55:49.000 --> 55:52.000]  No, they demand, you got to be polite. You got to be polite.
[55:52.000 --> 55:55.000]  Like, I don't know, Jeff Sessions, you got to be polite.
[55:55.000 --> 55:59.000]  You got to play by the rules and, and take suggestions from the other side
[55:59.000 --> 56:03.000]  so you can reach across the aisle and shake their hands and get along.
