[00:00.000 --> 00:08.160]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[40:42.000 --> 40:53.000]  They sit on the mountain and they say what reality is. And I mean, anybody that starts telling you they have a corner on reality, well, that's what you really got to watch.
[40:53.000 --> 41:02.000]  If we reach a point as a race where we do not grieve the loss of every child, I don't care what color, I don't care where they're from.
[41:02.000 --> 41:11.000]  You know what I mean? If we don't grieve the loss of our child, that's an indictment of us, you know, and we've got to be protesting for every child, every situation.
[41:11.000 --> 41:16.000]  You know, we need to have moral outrage where there's injustice everywhere.
[41:16.000 --> 41:23.000]  And then when we see agendas at play, we have to step back and say, why is this more important than everything else?
[41:23.000 --> 41:28.000]  We have to grieve for all of these things. We have to grieve for the GMOs. We have to grieve for the chemtrails.
[41:28.000 --> 41:33.000]  We have to grieve for all this crap that we have to face down and we have to pull together.
[41:33.000 --> 41:37.000]  And that's what I mean. We don't have to be right. We don't have to be right. We just have to know.
[41:37.000 --> 41:46.000]  As long as we know that's the power. And I'm blessed to be one voice in the wilderness, at least a free thinker.
[41:46.000 --> 41:55.000]  There are times where it's very difficult in a musical life to struggle where, you know, the numbers don't add up and you don't get the advantage that you think you should get in all these things.
[41:55.000 --> 42:04.000]  And those are those hard days where you've got to stare in the mirror and say, would I rather be on my knees, subjugated to some system that would ask me to be a robot and up at something,
[42:04.000 --> 42:08.000]  or would I rather be a free thinker? And that's what I would say. I'm proud to be a free thinker.
[42:08.000 --> 42:15.000]  And if that means what it means, you know, a half full hall somewhere, that's what it means, because I can't go down any other way.
[42:15.000 --> 42:19.000]  Well, you know my favorite quote by Mark Twain. He had a lot of great ones.
[42:19.000 --> 42:22.000]  In the beginning, a patriot is a scarce man, hated, feared, and scorned.
[42:22.000 --> 42:27.000]  But in time, when his cause succeeds, the temant join him, then it costs nothing to be a patriot.
[42:27.000 --> 42:37.000]  I was on over a hundred radio stations that was just unheard of when I was like, you know, 26, 27 years old, and 9-11 happened.
[42:37.000 --> 42:43.000]  And it was just unheard of. And I was on a hundred stations, small mom and pop, some of them, but high ratings.
[42:43.000 --> 42:50.000]  And I was growing, and then the towers got blown up and I said, no, the government's clearly involved, and those stations all called, most of them.
[42:50.000 --> 42:56.000]  They said, we're going to turn you off next week, or we're going to turn you off next month on the contracts, up using monthly contracts.
[42:56.000 --> 43:01.000]  If you don't, stop it right now. And you know what? I didn't feel bad at all.
[43:01.000 --> 43:06.000]  When Ted Anderson came in and he said, all these stations are turning you off. He just lost 10 to day.
[43:06.000 --> 43:11.000]  They're warning you, you got to stop now. And I said, Ted, I just can't stop. And it's the truth.
[43:11.000 --> 43:16.000]  And he said, I really respect that. Alex, he goes, fine, you know, you have a place here on the network.
[43:16.000 --> 43:22.000]  You know, we're going to lose at the network at that time, millions of dollars over the, you know, years.
[43:22.000 --> 43:27.000]  And back then I was making hardly any money. And he said, you know, you would get, you know, that.
[43:27.000 --> 43:32.000]  But he goes, I respect that. And he goes, so I'll lose millions. You're going to lose millions because I just hit the zeitgeist.
[43:32.000 --> 43:38.000]  I had just gone from like 20 stations to over 100. It was boom, spreading all over the country because it was hardcore libertarian.
[43:38.000 --> 43:42.000]  The right wingers liked it. But I came out and spoke bad about their God, George Bush.
[43:42.000 --> 43:47.000]  And I didn't even say he did it all. I just said, look, the government's running Al Qaeda.
[43:47.000 --> 43:52.000]  They let them attack us for a minimum. And I'm proud of that. And it's just like I'm proud of what you've done.
[43:52.000 --> 43:59.000]  But then I only got bigger down the road, but then it only gets scarier because then it's not even about being on the air or being famous.
[43:59.000 --> 44:04.000]  It is all about the struggle for reality and trying to find that truth. I think that's what you're saying.
[44:04.000 --> 44:09.000]  It's not that we're perfect or always right. We want the truth and we have goodwill towards others.
[44:09.000 --> 44:14.000]  I think we're talking about the philosophy of those of us that want to be free.
[44:14.000 --> 44:18.000]  Well, I think it was back to your question of what do I think is going to happen?
[44:18.000 --> 44:22.000]  And this is where it gets into a very tricky juncture.
[44:22.000 --> 44:29.000]  We have to see what's happening, but at the same time, we have to be able to kind of step back and look at the larger narrative at play.
[44:29.000 --> 44:34.000]  If there are nefarious forces in the world, they are willing to use our humanity against us.
[44:34.000 --> 44:41.000]  They are basically sociopathic. They don't care that babies die somewhere in the middle of some desert.
[44:41.000 --> 44:46.000]  They don't care that kids are taking vaccines with horrible things in them.
[44:46.000 --> 44:50.000]  They don't care about the rise in autism rate. They're willing to do whatever, however.
[44:50.000 --> 44:53.000]  I mean, they've proven that again and again and again.
[44:53.000 --> 44:58.000]  So this is where we cannot get sucked into these false moral arguments.
[44:58.000 --> 45:00.000]  Those arguments are important.
[45:00.000 --> 45:06.000]  Like in talking recently about some of the things that have gone on at the protests that are happening post,
[45:06.000 --> 45:11.000]  is it Mr. Garner with the man's name? It was choked. Terrible.
[45:11.000 --> 45:14.000]  And then the horrible situation, and then obviously what happened in Ferguson.
[45:14.000 --> 45:17.000]  And you know, you can use these discussions, like I said, around the dinner table,
[45:17.000 --> 45:22.000]  and people think that you're unsentimental or unfeeling, and no, these are horrible.
[45:22.000 --> 45:26.000]  Of course there's injustice in the inner cities, of course.
[45:26.000 --> 45:29.000]  You know, does that mean every cop's the bad guy? You say it all the time.
[45:29.000 --> 45:33.000]  I know lots of great cops. I know lots of great cops are family people that would never do these things.
[45:33.000 --> 45:39.000]  Does that mean every cop's good or bad? No. We have to judge every person on their moral character.
[45:39.000 --> 45:44.000]  I'm, you know, somewhat friendly with the police chief of the Chicago Police Department, Gary McCarthy.
[45:44.000 --> 45:52.000]  Incredible man. Incredible man. I watch where he grieves over every situation because he's a man.
[45:52.000 --> 45:57.000]  He's a father. He cares. Does that mean, just because he puts on the uniform, does he mean he's a bad guy?
[45:57.000 --> 46:01.000]  I mean, what about our soldiers? Are all our soldiers bad?
[46:01.000 --> 46:05.000]  Absolutely not. This narrative that's spun out all of a sudden. Also, we got to be afraid of the soldiers.
[46:05.000 --> 46:12.000]  I'll take a soldier over anybody any day. Exactly. They've tried to dumb it down to the opposite of what Martin Luther King said.
[46:12.000 --> 46:16.000]  Judge people on their deeds and what they stand for, what you just said.
[46:16.000 --> 46:21.000]  And then if you don't support all the rioting or whatever, you support the First Amendment, but not rioting,
[46:21.000 --> 46:27.000]  then you're bad. If you don't say kill the cops randomly, well, I don't want to be killed randomly.
[46:27.000 --> 46:31.000]  I don't want to see the blacks killed just because they're black or whites killed.
[46:31.000 --> 46:35.000]  I mean, it just comes down to civilization and basic common sense.
[46:35.000 --> 46:43.000]  Now, Billy, let's talk about your album. We just downloaded it the other day from your site, smashingpumpkinsnexus.com.
[46:43.000 --> 46:48.000]  I can't wait to listen to the whole thing. I'm not just saying this. I love all your albums and I really love your old stuff.
[46:48.000 --> 46:55.000]  This has a lot of the old sound, but even better lyrics. I think this is almost like classic Smashing Pumpkins 2.0.
[46:55.000 --> 46:59.000]  Everybody should go there. How do people get the record?
[46:59.000 --> 47:08.000]  It's on all the typical Illuminati systems. It's easy to find. That's not the issue. But thank you so much for that.
[47:08.000 --> 47:12.000]  Sure. I mean, it's in the stores. It's on CD. It's downloaded at iTunes.
[47:12.000 --> 47:15.000]  Folks can go find those links at smashingpumpkinsnexus.com.
[47:15.000 --> 47:22.000]  How do people support you? I guess they come to the big shows. They spread the word. I mean, how do they do that?
[47:22.000 --> 47:31.000]  You know, that's a difficult one because there is the commerce, which is important. But honestly, it's more the streetcashing.
[47:31.000 --> 47:39.000]  And that's what I'm saying is, if not me, please find artists that you support. Retweet them. Share them with your friends.
[47:39.000 --> 47:46.000]  The artists are the bulwark. There's a reason most totalitarian regimes kill the artists second.
[47:46.000 --> 47:47.000]  Of course.
[47:47.000 --> 47:53.000]  They kill the weakest first, and then they go after the strongest, which are the artists because they are the X-factor.
[47:53.000 --> 47:59.000]  They are the voice and the wilderness that can point out the obvious. Like, hey, look at that over there.
[47:59.000 --> 48:05.000]  And they can do it in a very clever way. If Jesus spoke in parables, so can we.
[48:05.000 --> 48:15.000]  And it's very powerful. Music, as you know, penetrates typical stuff, which is why I'm able to go to countries where people don't even speak English and play music and communicate.
[48:15.000 --> 48:21.000]  Music at the heart. And I'm blessed to, you know, 25 plus years here and going. Still, strong.
[48:21.000 --> 48:22.000]  Billy Corgan.
[48:22.000 --> 48:23.000]  Stronger than ever.
[48:23.000 --> 48:29.000]  Billy Corgan is our guest, smashingpumpkinsnexus.com. Retweet that. Put it on Facebook, folks. The establishment's scared of him.
[48:29.000 --> 48:37.000]  And anybody the system's scared of, you better know we need to get behind because they promote terrorist groups. They fund Al Qaeda.
[48:37.000 --> 48:43.000]  They fund all these radical groups. They get caught funding the Klan. They get caught funding radical racist black groups.
[48:43.000 --> 48:55.000]  They want us all killing each other, just like one of the singers that, you know, he just mentioned from Jamaica said they want to see us go on killing one another top ranking.
[48:55.000 --> 49:01.000]  And that's, of course, Bob Marley. We're almost out of time. I'm going to let you go so you can get that plane or get on down the road, Billy.
[49:01.000 --> 49:05.000]  I hope you'll come down to Austin soon and come in studio. Maybe I'll come up and see in Chicago.
[49:05.000 --> 49:09.000]  But I really know your interviews here resonate with everybody.
[49:09.000 --> 49:17.000]  Again, one more time, the new album. Tell us what the name of the album means. Monuments to an elegy. What's that mean?
[49:17.000 --> 49:22.000]  Oh, I don't know, Alex. These things come out of my brain sideways. I don't know.
[49:22.000 --> 49:26.000]  Well, sounds cool. I just wondered if there was some inside baseball to that.
[49:26.000 --> 49:34.000]  You know, to me, it's a bit of a kind of a wave to what people thought the band was. And, you know, I'm just trying to move on into the future.
[49:34.000 --> 49:42.000]  And, you know, thankfully with people like you, new media, like you creating these new systems, I'm able to speak freely and speak to an audience
[49:42.000 --> 49:47.000]  and just, you know, try to find like-minded souls. We have to build these new systems. You are.
[49:47.000 --> 49:54.000]  And I'm trying to do the same. You know, we have to build basically systems that are stronger than these systems of propaganda control.
[49:54.000 --> 49:57.000]  And we will. We will survive and we will be.
[49:57.000 --> 50:07.000]  Well, it's happening. And, you know, as you said, we need to support artists, whether it was in Nazi Germany or whether it was in any other humanitarian regime,
[50:07.000 --> 50:13.000]  Pol Pot, Cameron Rouge, they would kill 95% of the artists, even ones that served them. They didn't like having them around.
[50:13.000 --> 50:18.000]  They were scared of them because that beauty, that touching people through music, through art, through images,
[50:18.000 --> 50:23.000]  that communication of art types that artists have innately. You don't even know what you're doing. You just do it.
[50:23.000 --> 50:30.000]  And it reaches people. They are scared of that. And that's what the tyrants are, is little men behind the curtain who want to run the whole show
[50:30.000 --> 50:35.000]  and really, I guess, don't feel loved or liked. They feel rejected, so they want to dominate.
[50:35.000 --> 50:39.000]  Billy, I'll say bye to you during the break. 20-second final comment.
[50:39.000 --> 50:43.000]  Just God bless everyone. Just keep fighting. Keep the faith.
[50:43.000 --> 50:48.000]  I got to say, the new album is amazing. It sounds like old stuff you've done, but stuff I've never heard before.
[50:48.000 --> 50:59.000]  I mean, as you said, you've gone to the next level with the new album and a monument to L.A.G. available at SmashingPumpkinsNexus.com.
[51:18.000 --> 51:35.000]  Your house is dark, vacant. You must be gone on vacation for a while. Thanks for all the jewelry.
[51:35.000 --> 51:43.000]  Don't be the next victim of a break-in. Go to faketv.com and discover a device that creates the illusion someone is inside watching TV
[51:43.000 --> 51:46.000]  and makes your home unappealing to would-be thieves.
[51:46.000 --> 51:48.000]  Don't these people ever leave?
[51:48.000 --> 51:55.000]  Starting at 24.95 and there's free shipping, go to faketv.com or ask for it at your local hardware store,
[51:55.000 --> 52:24.000]  faketv, the burglar deterrent.
[52:25.000 --> 52:32.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[52:32.000 --> 52:41.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[52:41.000 --> 52:58.000]  Don't be the next victim of a break-in. Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[52:58.000 --> 53:20.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[53:20.000 --> 53:46.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[53:46.000 --> 54:08.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[54:08.000 --> 54:37.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[54:37.000 --> 55:03.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[55:03.000 --> 55:32.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[55:32.000 --> 56:01.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[56:01.000 --> 56:30.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[56:30.000 --> 56:59.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[56:59.000 --> 57:28.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[57:28.000 --> 57:57.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[57:57.000 --> 58:26.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[58:26.000 --> 58:55.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[58:56.000 --> 59:25.000]  Go to faketv.com or ask for it at your local hardware store, faketv, the burglar deterrent.
[59:26.000 --> 59:54.000]  You're listening to the Alex Jones show.
[59:54.000 --> 01:00:14.000]  Big Brother mainstream media government cover-ups you want answers well so does he
[01:00:14.000 --> 01:00:33.000]  he's Alex Jones on the GCN radio network and now live from Austin Texas Alex Jones.
[01:00:33.000 --> 01:00:35.000]  We are now into the second hour.
[01:00:35.000 --> 01:00:47.000]  William Benny is joining us coming up after the next break, former head of technology at the NSA.
[01:00:47.000 --> 01:00:52.000]  He was one of the directors of the NSA and we're going to really do something special here.
[01:00:52.000 --> 01:00:55.000]  He doesn't do a lot of interviews, does like the London Guardian, things like that.
[01:00:55.000 --> 01:01:06.000]  He's been on with the years truly twice, I think David Knight two or three other times and he's going to come on and give us the latest on the Panoptagon spy grid.
[01:01:06.000 --> 01:01:23.000]  He's going to come on and give us the latest on the police state and we're going to open the phones up then at the bottom of the hour for your concise focus please question directly to the biggest NSA whistleblower out there, way beyond Snowden.
[01:01:23.000 --> 01:01:31.000]  They tried to indict him, they tried to set him up, they tried to put him in jail, they failed and he has a lot of courage.
[01:01:31.000 --> 01:01:41.000]  William Benny who has been called even by Nightline the NSA's greatest code breaker ever.
[01:01:41.000 --> 01:01:53.000]  They've got movies out about breaking the German enigma code and stuff, true stories. This is one of those type of guys.
[01:01:53.000 --> 01:02:02.000]  This is the big brain guy and he's moral, he's at the NSA, he learns they're illegally spying on the citizens.
[01:02:02.000 --> 01:02:17.000]  He resigns in 2002, shortly after 9-11, keeps his mouth shut about it, tries to work internally through the Congress, never happens, starts going public.
[01:02:17.000 --> 01:02:28.000]  So this is a big deal. I know it's not pearls before swine when we have folks of this magnitude on the broadcast.
[01:02:28.000 --> 01:02:34.000]  This is a big, big deal and in fact guys, I want to get into some other issues.
[01:02:34.000 --> 01:02:44.000]  You guys pulled me, I know it's somewhere here in my stacks but I saw some more over the weekend where Google, Facebook and others are spying on the public for the government.
[01:02:44.000 --> 01:02:52.000]  There was an article about the British NSA spying on just workers to stop workplace violence.
[01:02:52.000 --> 01:02:59.000]  Oh, we've got to spy on you all without warrants and violate the law so we stop any violence.
[01:02:59.000 --> 01:03:03.000]  Everyone must live in a glass house to stop the violence.
[01:03:03.000 --> 01:03:19.000]  GCHQ to snoop through office emails and we'll go over all of this with William Benny coming up and then after he's gone we'll have open phones yet again
[01:03:19.000 --> 01:03:38.000]  and I want to ask the listeners, what do we do about the Republican Party and the former President Bush, one and two, 41 and 43, running around saying how much they love Bill Clinton,
[01:03:38.000 --> 01:03:51.000]  this blue blood, Rockefeller Republican, traipsing arrogantly in our faces when there's a political realignment, can't we get rid of Jeb and Hillary in our political process?
[01:03:51.000 --> 01:04:02.000]  Do we have to look at them forever? Do we always have to have these people hanging on and now they've got their kids all getting ready to run for office or winning office?
[01:04:02.000 --> 01:04:20.000]  Just dynasties, that's what North Korea is, is an imperial hermit monarchy with a toddling soft third generation maggot feeding on tens of millions of people quite literally.
[01:04:20.000 --> 01:04:26.000]  So disconnected from reality thinks he's cool with Dennis Rodman visiting.
[01:04:26.000 --> 01:04:36.000]  This is the madness of turning government over to centralized systems, it is anathema to a free and open society.
[01:04:36.000 --> 01:04:41.000]  Truly, truly, a pox on us all.
[01:04:41.000 --> 01:04:47.000]  I'm Alex Jones, you can follow us on Twitter at RealAlexJones, see our Facebook and more at infowars.com.
[01:04:47.000 --> 01:04:57.000]  Please remember, they want this shut down, don't take it for granted, keep spreading the word, that's why we're reaching more people every day and I want to salute and thank you all, stay with us.
[01:05:17.000 --> 01:05:28.000]  For how long, go to infidelbodyarmor.com, spelled I-N-F-I-D-E-L, body armor dot com. Infidel body armor just won't quit.
[01:05:47.000 --> 01:06:06.000]  In 2015 is almost here and with it comes those New Year's resolutions to finally transform your body the way you want it.
[01:06:06.000 --> 01:06:17.000]  There's a reason over 88% of New Year's resolutions fail, make this year different. By equipping yourself with oxypowder, the next level in cleansing the body naturally.
[01:06:17.000 --> 01:06:25.000]  Using super oxygenation, oxypowder, available through infowarslife.com, gently cleanses the body while you sleep with easy capsules.
[01:06:25.000 --> 01:06:31.000]  Tens of thousands of individuals have used oxypowder to cleanse their bodies and aid in their transformations.
[01:06:31.000 --> 01:06:37.000]  Even infowarsnightly news director Rob Dew has been using oxypowder with incredible success.
[01:06:37.000 --> 01:06:43.000]  Took it that first day and that took it for six more days after that. 12 pounds melted off. In about a week, I'd say a week, seven days.
[01:06:43.000 --> 01:06:48.000]  2015 can be different. Diet and exercise are important, but a lot of us have already tried that.
[01:06:48.000 --> 01:06:59.000]  Oxypowder flushes it out. Secure your oxypowder at infowarslife.com, as infowarslife.com, or 888-253-3139.
[01:06:59.000 --> 01:07:08.000]  Pulled out for weeks through the difficult and extensive proprietary process behind its creation, the exclusive infowarslife secret 12 formulation is now back in stock.
[01:07:08.000 --> 01:07:20.000]  In the last limited shipment of 2014, the most bioactive form that has been created with our proprietary process, this ultra-clean vitamin B12 nutraceutical has been carefully crafted and developed over the last two years
[01:07:20.000 --> 01:07:25.000]  and is based on cellular science of how your body actively absorbs essential nutrients.
[01:07:25.000 --> 01:07:33.000]  It's taken by mouth, right on the tongue, and then swallowed. No needles, no injections. Vitamin B12 deficiency is linked to scores of serious problems.
[01:07:33.000 --> 01:07:43.000]  And secret 12 is a fusion of two organic proprietary forms of vitamin B12, bringing you a true nutraceutical quality vitamin B12.
[01:07:43.000 --> 01:07:49.000]  Secret 12. Secret 12 is an excellent Christmas gift and is tailor made to boost your New Year's resolutions.
[01:07:49.000 --> 01:07:59.000]  Supplies of secret 12 are very limited. Secure yours today at infowarslife.com, or by calling toll-free 888-253-3139.
[01:08:19.000 --> 01:08:29.000]  Activist on the tape goes on to suggest that discarded ballots could be collected from what she called ghetto aurora, saying that African Americans and Mexicans tend to throw out their ballots.
[01:08:29.000 --> 01:08:34.000]  And as for those programs we do need, I'll make them work better and I'll make them cost less.
[01:08:34.000 --> 01:08:42.000]  Thousands of federal workers are issued taxpayer-funded credit cards so long as they buy items that cost less than $3,000 or micro-purchases.
[01:08:42.000 --> 01:08:47.000]  Our review found about $20 billion. It's just about the course of a year.
[01:08:47.000 --> 01:08:52.000]  We'll save billions by cutting waste and improving management and strengthening oversight.
[01:08:52.000 --> 01:09:00.000]  We asked all of these other major federal agencies faced here in D.C. for their micro-purchase shopping lists. And all, refute.
[01:09:00.000 --> 01:09:06.000]  I'm pledging to cut the deficit we inherited by half by the end of my first term in office.
[01:09:06.000 --> 01:09:13.000]  The Independent Congressional Budget Office warning a new fiscal crisis is coming if Washington doesn't get its spending in check.
[01:09:13.000 --> 01:09:18.000]  Raising the debt ceiling, which has been done over a hundred times, does not increase our debt.
[01:09:18.000 --> 01:09:24.000]  If you've got a business, you didn't build that. Somebody else made that happen.
[01:09:24.000 --> 01:09:38.000]  Deciding to pay the price, not listening to advice, deciding in your view on the policy of truth.
[01:09:38.000 --> 01:09:42.000]  Live from the Infowars.com studios.
[01:09:42.000 --> 01:09:46.000]  First, Ebola is not spread through the air like the flu.
[01:09:46.000 --> 01:09:57.000]  Ebola is capable of entering human airway cells. Ebola is primed to be able to have respiratory transmission.
[01:09:57.000 --> 01:10:06.000]  Crashing through the lies and disinformation, it's Alex Jones. You are either with the Republic or against it.
[01:10:06.000 --> 01:10:24.000]  William Benning, he's just four miles from Fort Mead, headquarters of the NSA, where he was the technical leader and director for intelligence with the NSA
[01:10:24.000 --> 01:10:36.000]  before becoming a whistleblower in late 2001 after more than 30 years with the agency. Benning has been described as one of the most prolific and best analysts and code breakers in NSA history.
[01:10:36.000 --> 01:10:45.000]  Benning continues to speak out about the NSA's illegal data collection policies and continues interviews in the media regarding his experiences and communications intercepts
[01:10:45.000 --> 01:10:56.000]  by government agencies and American citizens. In a legal case, Benning has testified in an affidavit that the NSA is in deliberate violation of the U.S. Constitution.
[01:10:56.000 --> 01:11:07.000]  Exposedfacts.org, whistleblower.org, and he's part of the government accountability movement, and we really appreciate him spending so much time with us.
[01:11:07.000 --> 01:11:18.000]  This is his, I guess, fifth visit with InfoWars, his third visit on this radio show. Remember, they would always say the NSA was not spying on American citizens.
[01:11:18.000 --> 01:11:29.000]  And talking to a lot of other whistleblowers and people from Wayne Madsen right through, for all intents and purposes, that was the case until 9-11.
[01:11:29.000 --> 01:11:39.000]  And Benning's testified to that. Now, they're listening and watching and controlling and grabbing almost everything. Now, it's totally illegal.
[01:11:39.000 --> 01:11:46.000]  And it's being used politically. They've been spying on Congress. It's just over the top. It's like living in a glass house.
[01:11:46.000 --> 01:11:54.000]  But then, oh, the group's doing it. They're totally secretive. So you go to jail for espionage if you go spy on the CIA or NSA.
[01:11:54.000 --> 01:12:07.000]  But if they do it, oh, well, it's okay. And I asked Mr. Benning what he wanted to get into first, and it's the fact that the courts have been rubber stamping this.
[01:12:07.000 --> 01:12:20.000]  I mean, there won't even be a need for courts soon with all this. And, you know, they've caught with parallel construction, these other agencies, like the DEA, creating fake investigations to claim they got evidence one way when they got it illegally another.
[01:12:20.000 --> 01:12:31.000]  And then these agencies have all been caught planting evidence physically at the crime lab at the FBI. We've had the former head of the crime lab on Dr. Whitehurst many times.
[01:12:31.000 --> 01:12:38.000]  He was getting back on, had been on years, to digital fingerprints being planted.
[01:12:38.000 --> 01:12:45.000]  So this is a tool of total social control in his words and that London Guardian headline.
[01:12:45.000 --> 01:12:53.000]  And William Benning joins us. I want him to get into the biggest threats, the breaking news, how private industry is part of this, ways we can try to stop this.
[01:12:53.000 --> 01:13:04.000]  And then I want to open the phones up. We'll give out a hashtag here in a few minutes where you can tweet at real Alex Jones on Twitter and you can then send your questions in.
[01:13:04.000 --> 01:13:15.000]  You can also read on air for William Benning, but I'll give the number out coming up in about 20 minutes. And that's your chance. We'd love to hear from you to call in with a quick question or comment for William Benning.
[01:13:15.000 --> 01:13:22.000]  Exposedfacts.org, whistleblower.org. Again, thank you so much, Mr. Benning, for coming on the show.
[01:13:22.000 --> 01:13:24.000]  Well, thank you for having me.
[01:13:24.000 --> 01:13:28.000]  You've got the floor. Get into what's happening with these judges.
[01:13:28.000 --> 01:13:35.000]  Well, see, it's basically a continuation of what's happened in the Supreme Court.
[01:13:35.000 --> 01:13:46.000]  When the government gets boxed into a corner where they're threatened by the test of a constitutionality, if any of the programs they're running, they lie to the courts and the courts are letting them get away with it.
[01:13:46.000 --> 01:14:02.000]  For example, in Amnesty International versus Clapper, that case, that case was at the Supreme Court when the solicitor general lied to the court saying that, well, if any NSA data was going to be used against an individual, either in court or anywhere else,
[01:14:02.000 --> 01:14:17.000]  that the individual would be told so that they could contest the, basically, it's the right to contest discovery of information that is libelous or otherwise implying criminal activity on the part of the individual.
[01:14:17.000 --> 01:14:20.000]  But that was a lie. Nobody had been told.
[01:14:20.000 --> 01:14:34.000]  When we talked to the President's Civil Liberties Oversight Board several months ago, we talked about that and raised that issue, and they said, well, from now on, all of those, all the people where that data is being used will be told.
[01:14:34.000 --> 01:14:45.000]  Well, I mean, that right there, I mean, and we still have no guarantee that anybody, anywhere, has ever been told, and by the fact that they're giving us assurances, how can you trust them?
[01:14:45.000 --> 01:14:52.000]  And after what they've been doing, lying to us outright, how can you trust what they're saying? You can't.
[01:14:52.000 --> 01:14:59.000]  And so there's no real oversight in government. There's no checks and balances anymore. They don't work.
[01:14:59.000 --> 01:15:06.000]  And that's the fundamental problem with our government. Our whole process is failing us.
[01:15:06.000 --> 01:15:18.000]  The courts seem to be going along with it. That is, if I were on the Supreme Court and the Solicitor General did that to me and I found out about it, the first thing I would do would be to reinstate that case back in the court.
[01:15:18.000 --> 01:15:27.000]  I mean, after all, you don't permit perjury to let you get rid of a genuine concern of the public. I mean, that's what they're doing.
[01:15:27.000 --> 01:15:42.000]  They're allowing perjury by the government to determine what, in fact, is tested in the courts in terms of constitutionality. And that's, in my book, that is what treason is all about.
[01:15:42.000 --> 01:15:51.000]  You're fundamentally going after the foundations of this government and corrupting it. That, to me, is real treason.
[01:15:51.000 --> 01:16:02.000]  It certainly is treason. And now, if they're able to do this, then the sky's the limit. What comes next? I mean, it's just a total overthrow of our system. Please continue.
[01:16:02.000 --> 01:16:11.000]  Well, I mean, that's the whole point. It's a total destruction of any of the rights you thought you had under the Constitution.
[01:16:11.000 --> 01:16:22.000]  I mean, it's simply a matter of we no longer have a Constitution. And that's the real problem that I see. I think we need to stand up.
[01:16:22.000 --> 01:16:29.000]  I mean, I can't understand why these judges on these courts can actually look themselves in the eye when they shave in the morning.
[01:16:29.000 --> 01:16:35.000]  I mean, after all, they know what the law is. They should know. They know the Fourth Amendment says you don't have data.
[01:16:35.000 --> 01:16:45.000]  The government doesn't have data on a U.S. citizen unless you state the citizen's name, the date of your after, and also show a probable cause of why you're going at it and where you're going to get it.
[01:16:45.000 --> 01:16:53.000]  Now, all that, none of that is happening with the hundreds of millions of U.S. citizens that they're collecting data on. None of that's happening.
[01:16:53.000 --> 01:16:57.000]  Sure. And the argument is, well, we're doing this to stop bad guys. But the truth is...
[01:16:57.000 --> 01:16:58.000]  Well, that's why I, too.
[01:16:58.000 --> 01:17:04.000]  Well, well, exactly. They're using it to consolidate the takeover. Well, from your expert view, what is it really being used for, sir?
[01:17:04.000 --> 01:17:11.000]  Well, it's being used to set up the way and means to control the population.
[01:17:11.000 --> 01:17:22.000]  I mean, I call NSA as a central repository of knowledge on the U.S. citizens and everybody else on the planet, by the way, for the U.S. government, all departments of the U.S. government.
[01:17:22.000 --> 01:17:29.000]  So I've been referring to it as the new Stasi Agency, because that's exactly what the Stasi did.
[01:17:29.000 --> 01:17:34.000]  They had files on everyone, and they had people spying on them right and left.
[01:17:34.000 --> 01:17:38.000]  Now, even your neighbors would spy on you. Well, that's what's happening internally in NSA now.
[01:17:38.000 --> 01:17:42.000]  They're talking about having people, if you see something, say something.
[01:17:42.000 --> 01:17:45.000]  That's the kind of thing they're talking about internally in NSA now.
[01:17:45.000 --> 01:17:50.000]  Well, I mean, you know, that's the Stasi in states.
[01:17:50.000 --> 01:18:09.000]  I mean, Tom Drake was over in Germany a year or two ago, and he met up with an older German couple, and they said to him, they said, well, you know, we, the Germans, we are a post-Fascist state, and we know it.
[01:18:09.000 --> 01:18:15.000]  But you are, in fact, a pre-Fascist state, and don't even know that.
[01:18:15.000 --> 01:18:19.000]  So, I mean, the point is, we have to wake up here.
[01:18:19.000 --> 01:18:22.000]  What do you do, though, when you're faced with true tyranny?
[01:18:22.000 --> 01:18:29.000]  This is classical tyranny, not just with the warrantless, ubiquitous, omnipresent spy grid,
