[00:00:23.526 --> 00:00:25.907]  It's Friday, November 19th.
[00:39:08.087 --> 00:39:14.592]  And when they call for a new Marshall Plan, that's when you know they've launched their takeover.
[00:39:14.592 --> 00:39:20.656]  And of course, a year ago, they called for the new Marshall Plan, a global Marshall Plan to save the world from COVID.
[00:39:20.656 --> 00:39:27.401]  And that's just where they get $150 trillion of taxpayer money into a UN corporate world government system
[00:39:28.643 --> 00:39:51.534]  To establish a world ID and a currency control and a calorie control and an energy control that surveils by law every action you make to then establish high-tech neo-feudalism on top of the plan over all the economies and nation-states.
[00:39:51.534 --> 00:39:57.157]  And that's why you have an agreement with Pfizer and the United Nations
[00:39:59.281 --> 00:40:15.878]  To roll all this out and why the government's then secretly signed agreements giving Pfizer and Big Tech control over all media communications because we've been put into a permanent form of martial law or emergency.
[00:40:15.878 --> 00:40:18.841]  Now, as the police and military
[00:40:19.890 --> 00:40:24.435]  Learn that they've got to take 10, 15, 20 shots a year and then it's slowly going to kill them.
[00:40:24.435 --> 00:40:32.143]  They're going to quit or they're going to be fired and then they'll be able to bring in their own people who by the way are not going to be taking the shots.
[00:40:32.143 --> 00:40:41.153]  Just like we learned a few months ago that FEMA doesn't make their employees take shots when the hospitals fire half their people and then quote FEMA has to take over the hospitals.
[00:40:42.250 --> 00:40:43.971]  No, no, no, they don't have to.
[00:40:43.971 --> 00:40:57.977]  The hospital group makes you do it, then the FEMA people come in, then hundreds of billions of dollars of, quote, aid gets pumped into the hospital groups under the emergency, and now you've got federalization of the society.
[00:40:57.977 --> 00:41:10.042]  Take over the medical system, the most trusted group first, then you have a purge of the military with critical race theory, you have a purge of the military using the vaccine garbage,
[00:41:11.095 --> 00:41:12.475]  And then you've got them.
[00:41:12.475 --> 00:41:15.216]  You've only got people in that'll follow orders and do what you're told.
[00:41:15.216 --> 00:41:16.897]  You run off the smart people.
[00:41:16.897 --> 00:41:20.158]  And then you can go, wink, wink, hey, you don't have to do any of that.
[00:41:20.158 --> 00:41:27.560]  Just follow our orders in the future when we go out and deal with the problem, folks.
[00:41:27.560 --> 00:41:31.061]  And by the way, this was all really just a drill to save the Earth.
[00:41:31.061 --> 00:41:33.722]  The carrying capacity of the planet has gone over what it can.
[00:41:33.722 --> 00:41:35.122]  They lie and say that.
[00:41:35.122 --> 00:41:38.543]  And we've got to reduce the population by the year 2030 massively.
[00:41:38.543 --> 00:41:40.704]  And so do you want to be part of the winning team or the losing team?
[00:41:43.476 --> 00:41:53.243]  And that's the deception, that's the deal that is then offered at that point.
[00:41:53.243 --> 00:42:07.894]  Now, if the military and police get too out of hand and start actually overthrowing these dictatorships that have been established, then a real bioweapon and or electromagnetic weapons or chemical weapons or a cocktail of that will be deployed.
[00:42:11.421 --> 00:42:24.177]  And then you'll have really large numbers of people dying and then the globalists with their actuaries and psychological warfare research believe that then people will kind of stop their revolution against this back off and
[00:42:28.533 --> 00:42:34.958]  You will then have to sign all these political agreements and things to actually be given the cure for the real weapons they're going to release.
[00:42:34.958 --> 00:42:36.579]  You see how that works?
[00:42:36.579 --> 00:42:42.923]  And it'll be fine with the citizens because they know the people that are awake won't trust the next round, the next group of shots for the new disease.
[00:42:42.923 --> 00:42:44.865]  And so we won't take it and we'll die.
[00:42:44.865 --> 00:42:47.006]  And then their people that follow orders will take it.
[00:42:47.006 --> 00:42:49.508]  They'll live at least a little bit longer.
[00:42:49.508 --> 00:42:54.191]  And then they'll just do that in different permutations until they whittle us down to nobody.
[00:42:54.191 --> 00:42:54.612]  And that's it.
[00:42:54.612 --> 00:42:55.512]  They're going to kill everybody.
[00:42:55.512 --> 00:42:56.433]  That's how they're going to do it.
[00:42:57.540 --> 00:42:59.322]  For a fraction of the cost.
[00:42:59.322 --> 00:43:01.684]  InfoWars, get prepared.
[00:43:01.684 --> 00:43:06.889]  Mega blowout sale 2021 is live right now.
[00:43:06.889 --> 00:43:08.911]  The biggest sale of the year.
[00:43:08.911 --> 00:43:12.033]  Free shipping storewide, double Patriot points.
[00:43:12.033 --> 00:43:16.417]  And products like TurboForce 10-hour clean energy.
[00:43:16.417 --> 00:43:18.319]  A listener favorite.
[00:43:18.319 --> 00:43:21.902]  Back in stock 40% off again with free shipping, double Patriot points.
[00:43:22.643 --> 00:43:29.913]  On top of that, we also have DNA Force Plus with the PQQ, the Coke U10 to clean out your cells, to boost your immune system.
[00:43:29.913 --> 00:43:31.655]  It's the Rolls Royce of this.
[00:43:31.655 --> 00:43:33.337]  It's 40% off.
[00:43:33.337 --> 00:43:37.683]  And now we have Super Coral Calcium Toothpaste.
[00:43:38.644 --> 00:43:48.108]  Similar to our previous Coral Bite & Toothpaste, but even stronger, even more concentrated, it's now back in stock and discounted with free shipping at InfoWarStore.com.
[00:43:48.108 --> 00:43:56.451]  So many great products available at InfoWarStore.com, so please take advantage of these great products that enrich your life and fund the Info War.
[00:43:56.451 --> 00:43:57.492]  InfoWarStore.com.
[00:44:00.367 --> 00:44:06.973]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made, Alpha Power.
[00:44:06.973 --> 00:44:10.435]  As you age, your body can lose testosterone over time.
[00:44:10.435 --> 00:44:19.363]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[00:44:19.363 --> 00:44:27.490]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[00:44:28.090 --> 00:44:33.533]  Perfect by itself or with super male vitality in the True Alpha Male Pack.
[00:44:33.533 --> 00:44:40.776]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[00:44:40.776 --> 00:44:44.437]  Let Alpha Power help bring you to the peak of your optimal health.
[00:44:44.437 --> 00:44:47.479]  Don't fall short on energy in the fight against tyranny.
[00:44:47.479 --> 00:44:51.541]  Show the world what a True Alpha Male looks like today with Alpha Power.
[00:44:51.541 --> 00:44:54.042]  Head to InfoWarsStore.com today!
[00:45:01.141 --> 00:45:06.105]  God created each and every one of us with free will.
[00:45:06.105 --> 00:45:22.859]  When we look at the world system now openly announcing the Martyr of the Beast, everything that it's attempting to do is built around getting rid of our free will and making us bow down and submit and turn our very bodies, our very productivity, our very genetics, our very
[00:45:24.020 --> 00:45:26.382]  Future over to them.
[00:45:26.382 --> 00:45:28.143]  They want control of procreation.
[00:45:28.143 --> 00:45:31.105]  They want control of the relationships between men and women.
[00:45:31.105 --> 00:45:36.850]  They want to bring a form of living death to our society and our civilization.
[00:45:36.850 --> 00:45:42.394]  All of us were formed and made in God's mind and God's image and given free will.
[00:45:42.394 --> 00:45:51.941]  And make no mistake, all of you alive today were created by God to be alive in this special time so that you could make the right decision in free will and stand against evil.
[00:45:52.935 --> 00:46:00.241]  And then, for eternity, win the great birthright prize of being in line with God.
[00:46:00.241 --> 00:46:01.662]  I know you're humble.
[00:46:01.662 --> 00:46:03.343]  I know you're like me.
[00:46:03.343 --> 00:46:16.193]  But I really want you to sit back and cogitate or meditate on the fact that those of you that have supported my broadcast and InfoWars over the years have changed the world in incredible ways.
[00:46:16.193 --> 00:46:18.534]  And now, as 2021 prepares to end, and 2022
[00:46:22.253 --> 00:46:23.214]  It begins to dawn.
[00:46:23.214 --> 00:46:29.597]  It is more important than ever that you realize how important you are and that you be more active than you've ever been.
[00:46:29.597 --> 00:46:31.818]  The tip of the spear is Ban.Billionaire.
[00:46:31.818 --> 00:46:35.980]  The very front lines of the fight for human liberty is M4Awards.com.
[00:46:35.980 --> 00:46:40.623]  And we can't stay on air without your support, so thank you all for your support.
[00:46:40.623 --> 00:46:44.164]  Donate to our legal defense fund to stay on the air at SaveM4Awards.com.
[00:46:45.465 --> 00:46:47.146]  You're listening to the Alex Jones Show!
[00:47:10.962 --> 00:47:17.464]  Where are the clowns?
[00:47:17.464 --> 00:47:36.749]  Send in the clowns Just when I'd stopped opening doors Finally knowing the one that I wanted was you
[00:47:39.241 --> 00:47:42.722]  All right, let me get to the good news.
[00:47:42.722 --> 00:47:55.444]  I just laid out one major plotline permutation of the globalist operations and what they've already pre-programmed the public for.
[00:47:55.444 --> 00:48:02.966]  It comes from thousands of documents I've read in research just understanding their algorithm.
[00:48:06.388 --> 00:48:10.951]  But this is an establishment elite war on humanity itself.
[00:48:10.951 --> 00:48:13.833]  This is a depopulationist event.
[00:48:13.833 --> 00:48:15.794]  And that's all on record.
[00:48:15.794 --> 00:48:17.635]  That's what's so amazing about this.
[00:48:17.635 --> 00:48:20.817]  It's on record that these shots erase your immune system.
[00:48:20.817 --> 00:48:23.819]  It's on record they give you blood clots and cancer.
[00:48:23.819 --> 00:48:30.343]  It's on record they go in and turn off the DNA, being able to replicate and cause errors.
[00:48:30.343 --> 00:48:33.705]  I mean, that's in mainline prestigious studies.
[00:48:38.444 --> 00:48:42.846]  And I've talked to a lot of top doctors and scientists on air that agree that's what's happening.
[00:48:42.846 --> 00:48:50.489]  And basically all the rest of them that come on say, or even other prominent ones that won't come on, they say, we're with you.
[00:48:50.489 --> 00:48:51.170]  We know you're right.
[00:48:51.170 --> 00:48:53.891]  We know it's a depopulation operation.
[00:48:53.891 --> 00:48:57.712]  And they'll start giving you all this evidence that you don't even know about on top of the evidence you've got.
[00:48:57.712 --> 00:48:59.593]  But you know, we're just the public's not ready for it.
[00:48:59.593 --> 00:49:00.774]  So we're having to fight them this way.
[00:49:00.774 --> 00:49:04.675]  What I'm telling you is there isn't just a consensus this is going on.
[00:49:04.675 --> 00:49:05.616]  This is known.
[00:49:08.080 --> 00:49:12.564]  This is known.
[00:49:12.564 --> 00:49:29.481]  And anybody that plays along with this, I don't care if you're a colonel in the military, I don't care if you're a senior FBI agent, or a senior ATF agent, or a senior federal marshal, I don't care who you are, you are destroying yourself being part of this.
[00:49:29.481 --> 00:49:30.422]  And Librigan denial about it.
[00:49:31.417 --> 00:49:35.920]  Nobody is going to get out of this, except a very small group, if they're successful.
[00:49:35.920 --> 00:49:38.101]  And by the way, they're not going to be successful.
[00:49:38.101 --> 00:49:43.644]  They'll never be able to carry this out now because of what I've done, what you've done, and what others have done.
[00:49:43.644 --> 00:49:45.506]  And that's not bragging, folks.
[00:49:45.506 --> 00:49:49.708]  They even admit that in leaked documents that they're never going to succeed now.
[00:49:49.708 --> 00:49:58.473]  And so all they want to do is just basically try to kill everybody, and then they're just going to live underground for a few decades until the surface gets cleaned up, and then maybe they'll be able to come out and reorganize.
[00:49:59.634 --> 00:50:04.236]  They're not in full control of Russia, so they want to hit Russia with nukes first before they even do this.
[00:50:04.236 --> 00:50:10.438]  I mean, this is all global domination, maniac behavior.
[00:50:10.438 --> 00:50:12.538]  Because these people all want control.
[00:50:12.538 --> 00:50:13.819]  They all want power.
[00:50:13.819 --> 00:50:17.220]  They're very OCD about that.
[00:50:17.220 --> 00:50:19.881]  And they're battling for control of the future.
[00:50:19.881 --> 00:50:26.823]  And so, here's what you have to know.
[00:50:26.823 --> 00:50:28.344]  They're not going to stop until they're stopped.
[00:50:29.847 --> 00:50:34.868]  And we have to, every step of the way, come out and point out, hey, this shot isn't going to help.
[00:50:34.868 --> 00:50:35.908]  It's going to make you sicker.
[00:50:35.908 --> 00:50:38.189]  We told you that, again, 20 plus months ago.
[00:50:38.189 --> 00:50:39.749]  It's all true.
[00:50:39.749 --> 00:50:40.669]  We've got to go and explain.
[00:50:40.669 --> 00:50:43.290]  Now you're going to see the hospitals full of people dying from side effects.
[00:50:43.290 --> 00:50:44.470]  They're going to blame the unvaccinated.
[00:50:44.470 --> 00:50:46.810]  But the statistics admit that's not what's causing it.
[00:50:46.810 --> 00:50:53.552]  And you've just got to keep hammering and pushing because I go out in the street and so does my crew all over the country.
[00:50:53.552 --> 00:50:56.012]  People are on fire being awake.
[00:50:56.012 --> 00:50:59.273]  A large minority of people know exactly what's going on.
[00:51:01.198 --> 00:51:07.822]  A majority of people don't want the shots now because they know so many people got sick or they got sick.
[00:51:07.822 --> 00:51:20.669]  And that's why the globalists are panicking, really trying to force everybody to do it because they don't want a large group of people that aren't sick, who didn't take it, to be able to point out to the others that did take it, who did it to them.
[00:51:20.669 --> 00:51:27.693]  They want to just say some other future event is what's going to kill everybody with these soft kill weapons that are being introduced.
[00:51:27.693 --> 00:51:29.634]  But if there's a big enough control group that isn't
[00:51:31.226 --> 00:51:34.648]  Taking it, that's not going to work, ladies and gentlemen.
[00:51:34.648 --> 00:51:38.931]  So they planned this whole thing out, but here's the thing.
[00:51:38.931 --> 00:51:41.872]  They're not the only people with brains.
[00:51:41.872 --> 00:51:43.073]  We know what they're doing.
[00:51:43.073 --> 00:51:44.954]  And yeah, we're going to get attacked exposing them.
[00:51:44.954 --> 00:51:47.075]  Some of us are going to get put in prison or killed.
[00:51:47.075 --> 00:51:50.658]  But that's okay, because God's watching.
[00:51:50.658 --> 00:51:52.359]  And everybody's going to die anyways.
[00:51:52.359 --> 00:51:54.780]  You're going to sit back and watch them do this to all the children?
[00:51:54.780 --> 00:51:57.682]  Which they're already coming after and already killing?
[00:51:57.682 --> 00:51:59.383]  Trying to abort them after they're born with these shots?
[00:52:00.521 --> 00:52:08.342]  So, admitting the full horror, admitting where you are, admitting it's real, internalizing it, and then deciding what you're gonna do about it.
[00:52:10.819 --> 00:52:14.342]  And then moving forward is the best course you've got because you're under this attack.
[00:52:14.342 --> 00:52:16.263]  This attack is going to get more intense.
[00:52:16.263 --> 00:52:18.204]  The enemy is completely committed to it.
[00:52:18.204 --> 00:52:21.687]  But I can look at their body language and I can read their statements and their leaks.
[00:52:21.687 --> 00:52:23.448]  They are getting their asses kicked.
[00:52:23.448 --> 00:52:29.532]  And they've committed to this and convinced themselves they can win this because populists were taking over all of the world.
[00:52:29.532 --> 00:52:31.414]  Globalism was in deep trouble.
[00:52:31.414 --> 00:52:33.655]  Humanity's hopes and dreams were too powerful.
[00:52:33.655 --> 00:52:37.298]  We weren't going to accept the carbon taxes and the austerity and all of this.
[00:52:37.298 --> 00:52:39.339]  And so they've hit us with the virus.
[00:52:39.339 --> 00:52:39.920]  And this is now war.
[00:52:40.620 --> 00:52:48.163]  And admitting you're in a war and admitting that you're under attack is the battle.
[00:52:48.163 --> 00:52:48.744]  It's a G.I.
[00:52:48.744 --> 00:52:50.565]  Joe statement, but it didn't actually come from G.I.
[00:52:50.565 --> 00:52:50.845]  Joe.
[00:52:50.845 --> 00:52:59.609]  It's an old Roman saying, and I'm sure it was said before the Romans, but knowing who your enemy is is half the battle.
[00:52:59.609 --> 00:53:04.391]  Austrian police and army stand up to government health dictatorship.
[00:53:04.391 --> 00:53:06.392]  That's what they're calling it in their unions.
[00:53:07.796 --> 00:53:08.616]  Mandates.
[00:53:08.616 --> 00:53:12.779]  We'll join massive anti-health freedom protests scheduled this Saturday.
[00:53:12.779 --> 00:53:16.240]  Already millions are hitting the streets in Austria and Germany.
[00:53:16.240 --> 00:53:34.090]  And the police and military know it's crap, they're getting sick from the shots, they know it's BS, and it's the next phase towards going in there and arresting Hitler 2.0 Merkel, who would take hours to break it all down, but stole elections from the beginning, manipulates the parliamentary system, is just an absolute witch demon.
[00:53:35.490 --> 00:53:43.675]  Overseeing the giant pedophile rings, I mean, she is just a monster.
[00:53:43.675 --> 00:53:50.800]  And 25% of the Germans died in World War II.
[00:53:50.800 --> 00:53:55.723]  And then in the next decade after that, another couple million disappeared.
[00:53:55.723 --> 00:54:02.588]  And just imagine the most evil people in the world flocked from our governments and the Russian government and others into Germany
[00:54:03.632 --> 00:54:08.196]  To where they could set up pedophile rings, sex slavery.
[00:54:08.196 --> 00:54:14.061]  That's why you always read and hear about the most snuff films are made in Germany and they've got parties in Germany where people are actually killed.
[00:54:14.061 --> 00:54:15.602]  That's all real, folks.
[00:54:15.602 --> 00:54:19.446]  I mean, Germany is just a hive of evil.
[00:54:19.446 --> 00:54:22.488]  Absolute hive of evil.
[00:54:22.488 --> 00:54:24.290]  And it just got worse after Hitler.
[00:54:25.427 --> 00:54:27.689]  And that's who runs NATO.
[00:54:27.689 --> 00:54:30.752]  You hear Germany is behind NATO, Germany is behind the EU.
[00:54:30.752 --> 00:54:43.583]  It's not the German people, it's that evil got in there and now has a stronghold there and has used the German people that are strong and hardworking but also follow orders to be the implement that launches the world government.
[00:54:47.836 --> 00:54:49.556]  And so you see what they do in Germany.
[00:54:49.556 --> 00:54:56.938]  30,000 children per average town kidnapped and given into sex slavery.
[00:54:56.938 --> 00:55:00.098]  And that's what they want to do here.
[00:55:00.098 --> 00:55:08.760]  Same people that occupied Germany are now doing everything they did to the Russians, everything they did to the Germans, is going to be done to us.
[00:55:08.760 --> 00:55:16.221]  And we need solidarity with the Russians and solidarity with the Germans.
[00:55:16.221 --> 00:55:16.861]  Absolutely.
[00:55:17.941 --> 00:55:19.643]  Essential.
[00:55:19.643 --> 00:55:23.446]  Did my audio just cut out on there?
[00:55:23.446 --> 00:55:24.848]  Oh, I hit my talkback on accident.
[00:55:24.848 --> 00:55:25.889]  Okay.
[00:55:25.889 --> 00:55:26.910]  Thanks.
[00:55:26.910 --> 00:55:31.174]  So, you know, we're here covering all this really scary stuff.
[00:55:31.174 --> 00:55:33.817]  But once you just get over it, then you can start doing something about it.
[00:55:33.817 --> 00:55:35.318]  Because the evil is already going to be there.
[00:55:35.318 --> 00:55:41.244]  It's going to be coming after you with force inoculations and pedophile rings and 5G and GMO and hell on earth.
[00:55:42.751 --> 00:55:49.035]  USDA announced three weeks ago they're starting spraying the food with nanotech this month.
[00:55:49.035 --> 00:55:51.076]  Just in time for Thanksgiving.
[00:55:51.076 --> 00:55:51.857]  You're under attack.
[00:55:51.857 --> 00:55:53.558]  You're in a war.
[00:55:53.558 --> 00:55:56.179]  And you better just get that through your head and stop doing it.
[00:55:56.179 --> 00:55:59.842]  And the good news is the military and police, I'm talking to, understand what's happening.
[00:56:01.357 --> 00:56:06.241]  We're going to go to break, and I'm going to come back and talk more about this, and there's so much other news here.
[00:56:06.241 --> 00:56:06.922]  But I mean, look at this.
[00:56:06.922 --> 00:56:10.425]  NIH director wants consequences for vaccine conspiracy theories.
[00:56:10.425 --> 00:56:15.749]  So if you question him and point out he's a lying criminal running the Wuhan lab with Fauci, he wants you arrested.
[00:56:15.749 --> 00:56:18.071]  That's because the boss, the head of Pfizer, said so.
[00:56:18.071 --> 00:56:18.672]  See how it works?
[00:56:18.672 --> 00:56:21.494]  He says it, and now it's got to be done.
[00:56:21.494 --> 00:56:22.395]  I've got a better idea.
[00:56:22.395 --> 00:56:24.076]  How about consequences for what you did?
[00:56:24.076 --> 00:56:28.400]  How about you get arrested and charged with mass murder for creating the virus, you pig?
[00:56:30.387 --> 00:56:33.668]  Ladies and gentlemen, please help keep us on the air and get great products at the same time.
[00:56:33.668 --> 00:56:37.650]  We have our new big Time to Get Prepared Now Mega Sale.
[00:56:37.650 --> 00:56:41.151]  The Inflow Wars 2021 Mega Blowout Sale has arrived.
[00:56:41.151 --> 00:56:43.512]  Freud for Shipping has been extended.
[00:56:43.512 --> 00:56:44.592]  Double Patriot Points.
[00:56:44.592 --> 00:56:47.433]  Turbo Force is back in stock.
[00:56:47.433 --> 00:56:54.976]  Ten hours of focus, clean energy with a whole bunch of other key elements and compounds known to give you incredible focus and clarity.
[00:56:54.976 --> 00:56:56.537]  We're so happy it's back in stock.
[00:56:56.537 --> 00:56:59.238]  Forty percent off Turbo Force.
[00:57:00.629 --> 00:57:03.732]  Bodies Ultimate Turmeric Formula, 40% off.
[00:57:03.732 --> 00:57:06.135]  95% Curcuminoids, so good for your cells.
[00:57:06.135 --> 00:57:07.717]  DNA Force Plus, 40% off.
[00:57:07.717 --> 00:57:12.021]  Super Metal Super Femoral Vitality, limited time, 50% off.
[00:57:12.021 --> 00:57:14.664]  Living Defense Plus, 50% off.
[00:57:14.664 --> 00:57:15.345]  Lung Cleanse, 50% off.
[00:57:18.254 --> 00:57:18.795]  And more.
[00:57:18.795 --> 00:57:26.364]  And we have the all-new, concentrated, even better than the last formula, better than Super Silver, Super Coral Whitening Toothpaste.
[00:57:26.364 --> 00:57:27.826]  Fluoride-free.
[00:57:27.826 --> 00:57:30.350]  Back in stock at InfoWarstore.com.
[00:57:30.350 --> 00:57:34.595]  And you can get it for up to 50% off.
[00:57:34.595 --> 00:57:35.116]  Activate it.
[00:57:35.116 --> 00:57:35.997]  Yeah, I'm not hitting the button.
[00:57:37.432 --> 00:57:38.012]  I'm not.
[00:57:38.012 --> 00:57:40.274]  So we're going to have to fix the equipment going out.
[00:57:40.274 --> 00:57:41.215]  That's not me.
[00:57:41.215 --> 00:57:42.616]  I'm not actually hitting any buttons.
[00:57:42.616 --> 00:57:43.897]  Hands up.
[00:57:43.897 --> 00:57:45.918]  All right, we'll be right back.
[00:57:45.918 --> 00:57:47.139]  Stay with us.
[00:57:47.139 --> 00:57:48.300]  Info Wars.
[00:57:48.300 --> 00:57:55.545]  There are so many crappy brands of energy products, energy drinks, energy powders, energy pills.
[00:57:55.545 --> 00:58:01.490]  And look, almost all of them work, but they're toxic and they've got incredible downsides.
[00:58:01.490 --> 00:58:02.891]  Horrible crashes and
[00:58:04.423 --> 00:58:06.704]  Again, so many toxins in them.
[00:58:06.704 --> 00:58:18.809]  All of the nootropic products that we sell at mfolwarestore.com are clean, are pure, are highest quality, and they're long-lasting, and they help focus your mind.
[00:58:18.809 --> 00:58:21.790]  And right now, our strongest product, the three nootropics we have,
[00:58:22.796 --> 00:58:31.458]  RainForce Plus, RainForce Ultra, and TurboForce are back in stock at InfoWareStore.com.
[00:58:31.458 --> 00:58:34.919]  TurboForce has been sold out for more than six months.
[00:58:34.919 --> 00:58:37.780]  It's back in stock with free shipping, 40% off.
[00:58:37.780 --> 00:58:47.342]  It is 10 hours of clean energy, clean energy without the big crash, and it's available right now, and it funds the InfoWare 360 win.
[00:58:49.973 --> 00:58:53.957]  I want to explain something that is absolutely key to understanding our world.
[00:58:53.957 --> 00:58:56.900]  It's very, very simple, but the most people don't know.
[00:58:56.900 --> 00:59:10.852]  The privately owned central banks of the world are artificially creating thousands of trillions of dollars in other major currencies and using them to buy up infrastructure, intellectual property,
[00:59:11.933 --> 00:59:27.197]  Energy, they're using it to buy people, to buy influence, and in the past they created thousands of trillions so that they could leverage that, manipulate markets, but they never allowed that money to get into the general circulation or it would cause massive inflation.
[00:59:27.197 --> 00:59:32.979]  Now they've gone ahead and weaponized it and are flooding every sector of the world economy, buying up everything.
[00:59:33.619 --> 00:59:42.848]  Not to have the companies operate, but to actually shut them down and force a collapse of civilization, making the companies they do fund be the only things left standing.
[00:59:42.848 --> 00:59:45.490]  This is the Great Reset, this is what's happening now.
[00:59:45.490 --> 00:59:51.636]  I warn everyone, it's the only way to stop it.
[00:59:51.636 --> 00:59:55.560]  If you are receiving this transmission, you are the Resistance.
[01:00:18.167 --> 01:00:29.554]  All right, we're back broadcasting worldwide and they have announced that the verdict has been reached in the self-defense trial of the century, the Rittenhouse case, and the hero, Kyle Rittenhouse,
[01:00:31.092 --> 01:00:40.943]  And as soon as the judge comes out and reads the verdict, you can put it up on screen guys if you want, we will go directly to it.
[01:00:40.943 --> 01:00:43.386]  Ladies and gentlemen, very important.
[01:00:43.386 --> 01:00:47.371]  And I was already intending to open the phones up to talk about really any subject you want to get into, but...
[01:00:48.953 --> 01:01:02.526]  We're going to have this verdict live, and so you're welcome to call in about self-defense, the Rittenhouse case, or the documents coming out that a secret agreement was signed by our government and other governments with Pfizer to give them dictatorial power over our government.
[01:01:02.526 --> 01:01:03.867]  I mean, that's the illegal treaty.
[01:01:03.867 --> 01:01:05.148]  It's treason.
[01:01:05.148 --> 01:01:06.710]  But that's the corporate coup that's going on.
[01:01:06.710 --> 01:01:07.570]  That's what globalism is.
[01:01:08.974 --> 01:01:15.322]  The fact that police and military all over the world are getting into solidarity, and then one of my crew members is recently retired out of the Army.
[01:01:15.322 --> 01:01:26.756]  He was explaining this to me last night and this morning, and I'm trying to get him to come on the show because he's better at explaining it than me because he was a Sergeant Major in the Army.
[01:01:28.117 --> 01:01:45.614]  But memorandum for C description and it's an order he says it's only for like an international incident and that once you're given this you know you're about to get court-martialed basically and so it's the type of thing that's been issued and of course we've got articles that explain it.
[01:01:45.614 --> 01:01:47.976]  Punishment set for US troops who refuse
[01:01:48.917 --> 01:01:50.239]  Vaccination.
[01:01:50.239 --> 01:01:50.399]  U.S.
[01:01:50.399 --> 01:02:03.215]  Army has threatened repercussions for soldiers who decline to receive COVID-19 vaccinations, saying that insubordinate troops will be barred from promotions, reenlistment, a number of special military services.
[01:02:03.215 --> 01:02:04.677]  Army personnel have refused the jab.
[01:02:06.178 --> 01:02:06.778]  We're good to go.
[01:02:32.458 --> 01:02:40.601]  Bars to continued service for all soldiers who refuse mandatory vaccine order without an approved exemption or pending exemption request.
[01:02:40.601 --> 01:02:49.004]  And so what they're trying to do is just bluff them into knowing that they have a right to question this and a right to declare their exemption.
[01:02:49.004 --> 01:02:56.126]  But again, I'm not the expert on this, but I'm told this is just over the top, unprecedented bad compared to what the news is saying about it.
[01:02:56.126 --> 01:02:56.786]  It's just crazy.
[01:02:59.562 --> 01:03:02.423]  It's designed to run all the good people out of the military, ladies and gentlemen.
[01:03:02.423 --> 01:03:04.263]  It's just that simple.
[01:03:04.263 --> 01:03:06.704]  And that's where we are.
[01:03:06.704 --> 01:03:09.705]  So again, we're waiting here on the Rittenhouse case.
[01:03:09.705 --> 01:03:15.467]  Imagine he's facing life in prison on the more serious charges.
[01:03:15.467 --> 01:03:24.309]  And the judge has dropped the illegal gun charge because he didn't have the gun illegally.
[01:03:24.309 --> 01:03:26.750]  He wasn't using the gun in the commission of a crime.
[01:03:26.750 --> 01:03:26.910]  But
[01:03:28.928 --> 01:03:29.589]  It's just crazy.
[01:03:29.589 --> 01:03:48.261]  Can you imagine the precedent that the left can run around burning buildings down and shooting people, attacking federal courthouses, and then the vice president, when she's a candidate, bails them out of jail and leads huge multi-million dollar campaigns to raise millions of dollars to get people out and have charges dropped?
[01:03:48.261 --> 01:03:50.142]  Here we go.
[01:03:50.142 --> 01:03:51.083]  Here's the judge.
[01:03:51.083 --> 01:03:51.924]  We're going to pause this.
[01:03:51.924 --> 01:03:52.524]  This is live.
[01:04:00.029 --> 01:04:11.441]  Alright, we're back and the appearance has raised before with a jury upstairs and they have notified us that they have reached a verdict.
[01:04:11.441 --> 01:04:13.583]  Anything before we call the jury down?
[01:04:20.655 --> 01:04:22.396]  All right, hit pause.
[01:04:22.396 --> 01:04:23.777]  This is live right now.
[01:04:23.777 --> 01:04:29.201]  It won't be live when we come back in a minute, but our stations don't like us skipping breaks and satellites are all pre-programmed.
[01:04:29.201 --> 01:04:30.722]  So we're going to go to break.
[01:04:30.722 --> 01:04:36.827]  We're going to come back in one minute and we'll go right back from the part there and play the reading of the verdict.
[01:04:37.347 --> 01:04:38.968]  Live here on air.
[01:04:38.968 --> 01:04:45.753]  And of course, obviously, I welcome the other co-hosts and people that are doing shows to go in studios and do live, uninterrupted coverage.
[01:04:45.753 --> 01:04:47.173]  That'd be a smart thing for Owen to do.
[01:04:47.173 --> 01:04:49.655]  If he wanted to, he could take calls out of the studio.
[01:04:49.655 --> 01:04:52.937]  The more the merrier, but I'm going to be taking your calls.
[01:04:52.937 --> 01:04:53.518]  We'll be right back.
[01:04:53.518 --> 01:04:53.858]  Stay with us.
[01:04:57.571 --> 01:05:06.194]  There are so many crappy brands of energy products, energy drinks, energy powders, energy pills.
[01:05:06.194 --> 01:05:12.135]  And look, almost all of them work, but they're toxic and they've got incredible downsides.
[01:05:12.135 --> 01:05:13.536]  Horrible crashes and
[01:05:15.089 --> 01:05:17.371]  Again, so many toxins in them.
[01:05:17.371 --> 01:05:29.479]  All of the nootropic products that we sell at mfoldworkstore.com are clean, are pure, are highest quality, and they're long-lasting, and they help focus your mind.
