[00:00.000 --> 00:06.000]  From the Frontlines of the Information War, it's Alex Jones.
[01:11:29.000 --> 01:11:31.000]  We either have the best callers or the worst callers.
[01:11:31.000 --> 01:11:32.000]  It's kind of a paradox.
[01:11:32.000 --> 01:11:35.000]  Some folks sound like they're a little bit of sleep and had a glass of robotized.
[01:11:35.000 --> 01:11:37.000]  Other people sound like they're 10 times smarter than I am.
[01:11:37.000 --> 01:11:39.000]  That's why I love taking your phone calls.
[01:11:39.000 --> 01:11:43.000]  But sometimes we all know it could be a bit bittersweet.
[01:11:43.000 --> 01:11:48.000]  So 877-789-2539, because we don't really screen your calls.
[01:11:48.000 --> 01:11:51.000]  We find out where you're calling from, want to give us a topic, that's fine.
[01:11:51.000 --> 01:11:56.000]  We really want to make sure your phone sounds good, but the fact that we don't screen them heavily
[01:11:56.000 --> 01:12:00.000]  and ask what you want to talk about in great detail gives us some of the better callers
[01:12:00.000 --> 01:12:03.000]  and also some of the worst callers out there.
[01:12:03.000 --> 01:12:04.000]  That's how freedom is.
[01:12:04.000 --> 01:12:07.000]  It's quite the paradox, isn't it?
[01:12:07.000 --> 01:12:09.000]  So we've got that.
[01:12:09.000 --> 01:12:13.000]  After I take some calls, this is really the next level of gun control.
[01:12:13.000 --> 01:12:14.000]  Oh, and I forgot it.
[01:12:14.000 --> 01:12:15.000]  It's on Rob News' desk.
[01:12:15.000 --> 01:12:18.000]  I was going to shoot a report on this last night.
[01:12:18.000 --> 01:12:22.000]  At 8 o'clock, I thought better of it, but somebody gave me that off Rob's desk.
[01:12:22.000 --> 01:12:27.000]  I actually printed off federal HIPAA laws, state HIPAA laws in Hawaii
[01:12:27.000 --> 01:12:31.000]  and the articles where they're now arresting people that have medical marijuana cards
[01:12:31.000 --> 01:12:34.000]  and confiscating their firearms, because that's really a big deal.
[01:12:34.000 --> 01:12:40.000]  I want to break down why that's so important coming up, but that ties into this as well.
[01:12:40.000 --> 01:12:45.000]  Bulletproof glass in businesses is offensive and racist.
[01:12:45.000 --> 01:12:50.000]  Democrat councilwoman Bill would ban defensive barrier.
[01:12:50.000 --> 01:12:56.000]  And because that scene, that's out of Fox 29, because that scene is liberal,
[01:12:56.000 --> 01:12:58.000]  anything liberal in a liberal city, they'll do.
[01:12:58.000 --> 01:13:04.000]  So if you're a bank teller or you are a liquor store or you're a gas station,
[01:13:04.000 --> 01:13:06.000]  a bad part of town where you're just a little bit of office,
[01:13:06.000 --> 01:13:11.000]  you've been stuck up 14, 15 times and two or three of the tellers have been shot before.
[01:13:11.000 --> 01:13:12.000]  Two of them are dead.
[01:13:12.000 --> 01:13:17.000]  I mean, there are some of these places that have been held up hundreds of times.
[01:13:17.000 --> 01:13:21.000]  You need to just get rid of that bulletproof glass.
[01:13:21.000 --> 01:13:25.000]  And this is a move all over the country, all over the world in leftist areas.
[01:13:25.000 --> 01:13:28.000]  Started in South Africa, they passed zoning laws about 20 years ago
[01:13:28.000 --> 01:13:31.000]  that you couldn't have gates in front of your houses or gates around your house.
[01:13:31.000 --> 01:13:35.000]  So now, of course, the slaughter is much worse for blacks and whites.
[01:13:35.000 --> 01:13:38.000]  And then now they're moving for that here in Austin.
[01:13:38.000 --> 01:13:43.000]  I was looking at buying a condo close to my parents and there's a little condo
[01:13:43.000 --> 01:13:46.000]  just so we could stay with them, close to them.
[01:13:46.000 --> 01:13:49.000]  Sometimes when we came into town, I live a little bit outside town
[01:13:49.000 --> 01:13:52.000]  and they just know where is you allowed to have gates.
[01:13:52.000 --> 01:13:57.000]  I said, none of these condos have gates, even though you'll have like 20 condos
[01:13:57.000 --> 01:13:58.000]  or whatever in this little area.
[01:13:58.000 --> 01:14:00.000]  And this is not in the best area either.
[01:14:00.000 --> 01:14:02.000]  But I said, what if I have a dog?
[01:14:02.000 --> 01:14:06.000]  I mean, you'd think you'd have a gate like other older neighborhoods.
[01:14:06.000 --> 01:14:09.000]  And they just said, oh, no, that scene is racist.
[01:14:09.000 --> 01:14:12.000]  And the city has a regulation where they don't give you a permit
[01:14:12.000 --> 01:14:13.000]  and actually checked it out.
[01:14:13.000 --> 01:14:14.000]  It's true.
[01:14:14.000 --> 01:14:18.000]  So they build all these apartments and condos and they don't even have gates on them.
[01:14:18.000 --> 01:14:21.000]  And then they're trying to say, if you have a house and want to build a fence around it,
[01:14:21.000 --> 01:14:22.000]  you can't have that as well.
[01:14:22.000 --> 01:14:26.000]  My parents got their fence in one year before they put that in.
[01:14:26.000 --> 01:14:30.000]  I mean, this is crazy, folks, but it's all about total control,
[01:14:30.000 --> 01:14:31.000]  not letting you have any family.
[01:14:31.000 --> 01:14:35.000]  Germany has banned single parent homes, any new construction of those.
[01:14:35.000 --> 01:14:37.000]  I guess they said the family's bad has to be gotten rid of.
[01:14:37.000 --> 01:14:38.000]  That's actually official.
[01:14:38.000 --> 01:14:41.000]  So we could tell you this 20 years ago, and it was only academic.
[01:14:41.000 --> 01:14:42.000]  People didn't believe us.
[01:14:42.000 --> 01:14:44.000]  But now it's just totally out in the open.
[01:14:44.000 --> 01:14:50.000]  Briefly, there isn't a more revolutionary thing you can do to buy infowars.com t-shirts
[01:14:50.000 --> 01:14:53.000]  or books or videos and support us and spread the word.
[01:14:53.000 --> 01:14:56.000]  We got the best supplements out there from our research.
[01:14:56.000 --> 01:14:59.000]  We've got them free shipping and 50% off across the board.
[01:14:59.000 --> 01:15:03.000]  Now, a few of the specials are over like Winter Son and Caveman because they're sold out.
[01:15:03.000 --> 01:15:07.000]  But Silver Bullet Colloidal Silver, 67% off free shipping store wide.
[01:15:07.000 --> 01:15:09.000]  Brain Force, 50% off free shipping.
[01:15:09.000 --> 01:15:11.000]  Survival Scyldex, 50% off free shipping.
[01:15:11.000 --> 01:15:14.000]  Supermelt Vitality, 50% off free shipping.
[01:15:14.000 --> 01:15:16.000]  Knockout Sleepy, 50% off free shipping.
[01:15:16.000 --> 01:15:19.000]  All Pro Pure items, 25% off free shipping.
[01:15:19.000 --> 01:15:23.000]  And the real red bill that goes great with the brain force.
[01:15:23.000 --> 01:15:28.000]  It's got the Pregnan alone, which is the precursor to all of your hormones and natural steroids.
[01:15:28.000 --> 01:15:32.000]  You've got to have to produce naturally in your body that drops massively after age 20.
[01:15:32.000 --> 01:15:34.000]  She is totally safe and totally legal.
[01:15:34.000 --> 01:15:36.000]  Made by the Olympic Doping Committee.
[01:15:36.000 --> 01:15:37.000]  This is game changing though.
[01:15:37.000 --> 01:15:41.000]  With all the minerals, all the vitamins and the key amino acids for the upload of it.
[01:15:41.000 --> 01:15:44.000]  Takes about four to five days a week to kick in an experience.
[01:15:44.000 --> 01:15:49.000]  But it's incredible for optimum brain function and the heart, hormone balance and more.
[01:15:49.000 --> 01:15:56.000]  The real red pill, next level scientific game changing information at infowars.com.
[01:15:56.000 --> 01:15:59.000]  Water is the single most important thing your body needs.
[01:15:59.000 --> 01:16:03.000]  So you want to be sure it's the best for you and your family.
[01:16:03.000 --> 01:16:07.000]  Since 2005, thousands have depended on Berkey purified water.
[01:16:07.000 --> 01:16:12.000]  The Berkey guy provides the lowest price filtration systems in every size.
[01:16:12.000 --> 01:16:17.000]  For incredibly delicious water now and in an emergency, get to goberkey.com.
[01:16:17.000 --> 01:16:21.000]  Or call 877-886-3653.
[01:16:21.000 --> 01:16:24.000]  877-886-3653.
[01:16:24.000 --> 01:16:26.000]  Go Berkey.com.
[01:16:26.000 --> 01:16:31.000]  Katie Armor has been on a mission to manufacture the most comfortable body armor on the market.
[01:16:31.000 --> 01:16:33.000]  And we've succeeded.
[01:16:33.000 --> 01:16:40.000]  With the release of our CQB technology, we now offer the most comfortable concealable rifle threat body armor available.
[01:16:40.000 --> 01:16:44.000]  Things may look good now, but what if you need added protection?
[01:16:44.000 --> 01:16:49.000]  Get your very own concealable rifle threat armor today at katiearmor.com.
[01:16:49.000 --> 01:16:56.000]  And for a limited time, get all plates at wholesale pricing only at katiearmor.com.
[01:16:56.000 --> 01:17:00.000]  Most people think life insurance pays after you're dead. That's true.
[01:17:00.000 --> 01:17:05.000]  But did you know you can have tax-free access to your life insurance while you're still alive?
[01:17:05.000 --> 01:17:10.000]  You can use the life benefits of your life insurance to grow your money with certainty and guarantees.
[01:17:10.000 --> 01:17:14.000]  No stock market risk, no tax risk, and no penalties.
[01:17:14.000 --> 01:17:18.000]  Call Life Benefits if you'd like a free book about how this can be done.
[01:17:18.000 --> 01:17:26.000]  Call 702-660-7000. That's 702-660-7000.
[01:17:26.000 --> 01:17:30.000]  This is Dan Pilla. Do you owe the IRS money you can't pay? Are tax debts crippling you?
[01:17:30.000 --> 01:17:33.000]  I've defended people from the IRS for over 30 years.
[01:17:33.000 --> 01:17:35.000]  I've helped thousands and I can help you too.
[01:17:35.000 --> 01:17:40.000]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[01:17:40.000 --> 01:17:44.000]  Call 800-34-NO-TAX to finally get free of IRS debt.
[01:17:44.000 --> 01:17:47.000]  With the IRS's new programs, there's never been a better time to solve your problem.
[01:17:47.000 --> 01:17:54.000]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[01:18:18.000 --> 01:18:25.000]  In the history of M4's life, we've brought out a lot of amazing products like Survival Shield X2,
[01:18:25.000 --> 01:18:27.000]  SuperMail Vitality and so many others.
[01:18:27.000 --> 01:18:33.000]  With its unique delivery system and proprietary manufacturing process designed for maximized effects,
[01:18:33.000 --> 01:18:37.000]  this formula is the platinum standard of multivitamin mineral products.
[01:18:37.000 --> 01:18:39.000]  And this part is most important.
[01:18:39.000 --> 01:18:46.000]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[01:18:46.000 --> 01:18:49.000]  That means it's clean. That means it's pure.
[01:18:49.000 --> 01:18:52.000]  And rest secured, you're finding the tip of the spear in the info war.
[01:18:52.000 --> 01:18:55.000]  That's infowarslives.com and vitamin mineral fusion.
[01:18:55.000 --> 01:19:24.000]  Take action now before we sell out.
[01:19:25.000 --> 01:19:32.000]  Survival is necessary in order to produce thyroid hormones which influence every cell, tissue and organ in the body.
[01:19:32.000 --> 01:19:39.000]  With inadequate thyroid hormones, you may experience slow metabolism, lethargy, weight gain and overall brain fog.
[01:19:39.000 --> 01:19:45.000]  Survival Shield X2 and BioTrue Selenium work together to support the systems in your body.
[01:19:45.000 --> 01:19:49.000]  Take control of your chemistry today with this super combo.
[01:19:49.000 --> 01:19:56.000]  Discover the power of Survival Shield X2 and BioTrue Selenium at infowarslife.com.
[01:20:19.000 --> 01:20:34.000]  We are back live coming up all over the country.
[01:20:34.000 --> 01:20:41.000]  They're moving to ban putting fences around your house, gates on apartments, gates on condos.
[01:20:41.000 --> 01:20:47.000]  It's like saying you can't have locks in your cars and they're banning in Europe and the US bulletproof glass.
[01:20:47.000 --> 01:20:52.000]  In fact, they're making you remove it from liquor stores, gas stations and banks.
[01:20:52.000 --> 01:20:56.000]  It's next level. This is the predatory state.
[01:20:56.000 --> 01:20:58.000]  You have to think like they think.
[01:20:58.000 --> 01:21:00.000]  Fox News is reporting it. That's coming up.
[01:21:00.000 --> 01:21:08.000]  Also, Moody's, Warren City's, accept carbon taxes or will delist your bond rating and bankrupt you.
[01:21:08.000 --> 01:21:15.000]  So the economic terrorism, that's all coming up as the globalist panic as the stock market hits 24,000.
[01:21:15.000 --> 01:21:18.000]  They want to make you poor in their own documents.
[01:21:18.000 --> 01:21:21.000]  Remember, pure, scientific, focused evil.
[01:21:21.000 --> 01:21:25.000]  Read their own admissions.
[01:21:25.000 --> 01:21:30.000]  It's up 350 points right now above 24,000 today.
[01:21:30.000 --> 01:21:35.000]  They now admit it's a global rally caused by Trump and America.
[01:21:35.000 --> 01:21:39.000]  America's back, baby.
[01:21:39.000 --> 01:21:42.000]  And now they're going to try to remove him as a Russian agent.
[01:21:42.000 --> 01:21:47.000]  Wow. If the Russians did this, thank you, Vladimir Putin.
[01:21:47.000 --> 01:21:53.000]  But you know what? That's insulting. I did this. Matt Drudge did this. Ron Paul did this. You did this.
[01:21:53.000 --> 01:21:58.000]  My crew did this. The good Lord is the real reason this all happened.
[01:21:58.000 --> 01:22:01.000]  We prayed to God. We've been given Providence.
[01:22:01.000 --> 01:22:06.000]  Now we've got to take the country back. We've got to be strong and face the next attack.
[01:22:06.000 --> 01:22:11.000]  But we're winning. The globalists have gone from hedging their bets, thinking they might lose to knowing they're losing.
[01:22:11.000 --> 01:22:14.000]  But hoping they can find some way out of it.
[01:22:14.000 --> 01:22:20.000]  The more awake we get, the more focused we get, the more optimistic we get, the more we reach out to God,
[01:22:20.000 --> 01:22:25.000]  the more they realize nothing can put their system back together again.
[01:22:25.000 --> 01:22:31.000]  All the mainstream media, all the globalists, all the lies, all the lawsuits, all the fraud, all the threats.
[01:22:31.000 --> 01:22:37.000]  If we just commit, we're going to have a lot better world to live in than rolling over to this scum.
[01:22:37.000 --> 01:22:42.000]  Hollywood, the NFL, all of its floundering, all of its having record losses.
[01:22:42.000 --> 01:22:47.000]  NFL's lost half their audience the last five years. They can't even stop.
[01:22:47.000 --> 01:22:52.000]  They're just intensifying because they're all a bunch of cowards, a bunch of establishment scum
[01:22:52.000 --> 01:22:59.000]  that still believe mainstream media and still believe that they've all got to stick together, screwing us over,
[01:22:59.000 --> 01:23:03.000]  turning us against each other because it worked so long.
[01:23:03.000 --> 01:23:07.000]  Well, you should have made, hey, while the sun was shining sun,
[01:23:07.000 --> 01:23:13.000]  because a long dark winter's here for those of you that love evil.
[01:23:13.000 --> 01:23:18.000]  But your winter of discontent is our summer of awakening.
[01:23:18.000 --> 01:23:21.000]  We're only in the springtime now.
[01:23:21.000 --> 01:23:29.000]  We're only in the spring. The buds, the green buds are growing. It's only the beginning.
[01:23:29.000 --> 01:23:39.000]  So get ready. Those of us that went out and sowed in the deep winter,
[01:23:39.000 --> 01:23:43.000]  a lot of us got frostbite, a lot of us got attacked by wolves.
[01:23:43.000 --> 01:23:48.000]  We knew what was coming in the spring with the warm weather and the rain.
[01:23:48.000 --> 01:23:55.000]  Now we can sit back and watch it all start to flourish and grow like life does, like God's plan.
[01:23:55.000 --> 01:24:03.000]  It grows, it grows. Doesn't happen quick and easy like evil. It grows, grows into everything.
[01:24:03.000 --> 01:24:11.000]  And then it takes your world and ruins it, your world of evil.
[01:24:11.000 --> 01:24:19.000]  Sue, Aaron, DuVan, Dan, Matt, Sean.
[01:24:19.000 --> 01:24:22.000]  We're taking your phone calls right now.
[01:24:22.000 --> 01:24:26.000]  Let's go to Sue. Sue, thanks for calling. You're on the air worldwide.
[01:24:26.000 --> 01:24:28.000]  Hello, how are you?
[01:24:28.000 --> 01:24:30.000]  I'm good. Thank you for calling.
[01:24:30.000 --> 01:24:38.000]  Good. I just want to say thank you, thank you, thank you for telling everybody the truth
[01:24:38.000 --> 01:24:42.000]  that God is the one who decided that Donald Trump was going to be president,
[01:24:42.000 --> 01:24:47.000]  and God is the one that we need to go to for strength and for help
[01:24:47.000 --> 01:24:51.000]  to be able to get us to the finish line on this thing.
[01:24:51.000 --> 01:24:56.000]  Well, that's why they want to cut us off from God because they know it's spiritual.
[01:24:56.000 --> 01:25:02.000]  They know that if we go to God, we then get the discernment and that that gives us the confidence.
[01:25:02.000 --> 01:25:04.000]  They don't want to, they want us alone.
[01:25:04.000 --> 01:25:07.000]  Well, even if you're alone in the jail cell, if you've got God, you're not alone.
[01:25:07.000 --> 01:25:10.000]  And they want to take that last thing away from us.
[01:25:10.000 --> 01:25:17.000]  That's right. And they're using the Muslims as their right arm to fulfill Bible prophecy.
[01:25:17.000 --> 01:25:22.000]  I mean, I truly believe that we can see every day those of us who are followers of Christ.
[01:25:22.000 --> 01:25:28.000]  Orthodox Islam is 100% the sword, the skeleton key, the go-to secret army.
[01:25:28.000 --> 01:25:32.000]  I mean, it's in the documents. They admit they plan to turn Europe Muslim.
[01:25:32.000 --> 01:25:34.000]  The deal's been made.
[01:25:34.000 --> 01:25:39.000]  Hell, they want to bring in 50 million people out of Turkey.
[01:25:39.000 --> 01:25:43.000]  50 million next year. That was announced yesterday.
[01:25:43.000 --> 01:25:51.000]  Well, and we know that when the time comes before Christ comes back, they're going to be laughing off heads.
[01:25:51.000 --> 01:25:54.000]  And guess who? We all know life's to do that.
[01:25:54.000 --> 01:25:58.000]  It does say in Revelation, if you don't accept the one-world government, the one-world religion,
[01:25:58.000 --> 01:26:06.000]  and if you criticize the other religions, that this beef system wells together, that you will be beheaded.
[01:26:06.000 --> 01:26:10.000]  That's right. And so they have made an unholy alliance
[01:26:10.000 --> 01:26:19.000]  to be able to give Islam free reign to run over all the infidels, or whatever you want to call all of us,
[01:26:19.000 --> 01:26:24.000]  in the short term, so that they can use them when they need them in the end
[01:26:24.000 --> 01:26:27.000]  to be able to start executing people and stuff.
[01:26:27.000 --> 01:26:29.000]  So, I mean, they're just putting everything in place.
[01:26:29.000 --> 01:26:33.000]  By the way, the left admits they plan to use Islam as their enforcers.
[01:26:33.000 --> 01:26:36.000]  Now, the Green Party, everybody admits it. I mean, it's crazy.
[01:26:36.000 --> 01:26:41.000]  They're just criminals. They're not even well-meaning leftists or environmentalists.
[01:26:41.000 --> 01:26:47.000]  Even mid-level now, they're consciously evil and say they want to kill the West, they want to kill Christians.
[01:26:47.000 --> 01:26:50.000]  I mean, that's admittedly the left's operating system.
[01:26:50.000 --> 01:26:59.000]  Right. God has pulled the mask off of all the demonic activities that has been going on and smoldering for a long time.
[01:26:59.000 --> 01:27:02.000]  And the war is on. You have to pick a side.
[01:27:02.000 --> 01:27:08.000]  You're either going to pick God's side or you're going to pick Satan's side. And I pick Christ.
[01:27:08.000 --> 01:27:13.000]  And they don't want you to make that decision because, oh, I don't believe in God. I don't believe in all this.
[01:27:13.000 --> 01:27:16.000]  It's all coming true. It's all happening. And it's an energy.
[01:27:16.000 --> 01:27:20.000]  Even if you're not, if folks don't believe in metaphysical things or things they haven't been proven,
[01:27:20.000 --> 01:27:24.000]  we know that so much of what the ancients talked about has now been proven.
[01:27:24.000 --> 01:27:27.000]  We know there's all these other dimensions. There's all these things happening.
[01:27:27.000 --> 01:27:31.000]  And there are archetypes. There are spirits, like a wavelength, a broadcasting system,
[01:27:31.000 --> 01:27:38.000]  a download. It's what they're into. And they just want to get Christians. It's what it's true.
[01:27:38.000 --> 01:27:42.000]  And by the way, they don't just get Christians by killing them. They take over the churches.
[01:27:42.000 --> 01:27:45.000]  They pay off the preachers. They take the crosses out.
[01:27:45.000 --> 01:27:51.000]  You know, most of these churches aren't real churches, and that's really the big threat.
[01:27:51.000 --> 01:27:57.000]  There's no way Christendom could fall up against Islam if it hadn't been taken over.
[01:27:57.000 --> 01:28:02.000]  The Muslims started the war. They invaded Europe. They took over Spain.
[01:28:02.000 --> 01:28:06.000]  They pushed all the way up to Germany. They pushed halfway into Poland.
[01:28:06.000 --> 01:28:09.000]  Over and over again. Over and over again. They pushed.
[01:28:09.000 --> 01:28:13.000]  And then the media says we invaded them with the Crusades.
[01:28:13.000 --> 01:28:17.000]  I mean, it's all lies. It's just not true. I don't want to hate Muslims.
[01:28:17.000 --> 01:28:21.000]  I know there are a lot of nice Muslims and a lot of reform Muslims and people that want to be scientific,
[01:28:21.000 --> 01:28:25.000]  but the globalists are allied with the very nastiest form of it,
[01:28:25.000 --> 01:28:29.000]  and they're using it, and it's a fact, and now it's undeniable.
[01:28:29.000 --> 01:28:31.000]  God bless you. Sue, thank you.
[01:28:31.000 --> 01:28:34.000]  Powerful call. Powerful.
[01:28:34.000 --> 01:28:40.000]  All right, Aaron, Devon, Don, Matt, Sean, I'm going to your calls. Bam, bam, bam.
[01:28:40.000 --> 01:28:42.000]  On the other side of this break.
[01:28:42.000 --> 01:28:46.000]  We do need financial provision. We sell great products. Free shipping ends today.
[01:28:46.000 --> 01:28:50.000]  Storewideinfoorestore.com. 50% off, and a lot of our top supplements are bestsellers.
[01:28:50.000 --> 01:28:55.000]  The new red pills here, the real red pill, check it out in Foorestore.com.
[01:29:20.000 --> 01:29:25.000]  Go to libertyoncall.org. That's libertyoncall.org.
[01:29:50.000 --> 01:30:02.000]  Not a group you develop living defense for us. It took you over a year to do it. Why is this so good?
[01:30:02.000 --> 01:30:07.000]  Because people are actually waking up to the problem that pretty much scares me the most.
[01:30:07.000 --> 01:30:12.000]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system,
[01:30:12.000 --> 01:30:20.000]  but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[01:30:20.000 --> 01:30:26.000]  Right now, with all the refugees spreading disease around, we have biological warfare going on everywhere.
[01:30:26.000 --> 01:30:28.000]  These are all parasites.
[01:30:28.000 --> 01:30:30.000]  Tell us about all the stuff I said. There's so many things that are in it.
[01:30:30.000 --> 01:30:35.000]  You have the neem in there. You have the organic clove bud, the organic wormwood.
[01:30:35.000 --> 01:30:38.000]  I recommend doing a parasite cleanse at least twice a year.
[01:30:38.000 --> 01:30:42.000]  All right. Well, I'm glad we've got some back in because I'm going back on it today.
[01:30:42.000 --> 01:30:44.000]  It just came back in yesterday. Living Defense, infowarslife.com.
[01:30:44.000 --> 01:30:48.000]  And folks, you can't lose. It's full of stuff that's great for your body, period.
[01:30:48.000 --> 01:30:53.000]  And you support the broadcast, infowarslife.com. Thank you, Dr. Group, from the Global Healing Center.
[01:30:53.000 --> 01:31:09.000]  Thank you so much for all your work, sir, on this great product.
[01:31:24.000 --> 01:31:27.000]  The larger the particle, the safer it is for your body.
[01:31:27.000 --> 01:31:31.000]  The organic oils help hydrate the skin, leaving it nice and smooth.
[01:31:31.000 --> 01:31:36.000]  The truly natural fragrance-free sunscreen for the most sensitive skin.
[01:31:36.000 --> 01:31:42.000]  Emrex Essentials wants you to enjoy the sun and strives to bring you organic products to enhance your life.
[01:31:42.000 --> 01:31:47.000]  Naturally protect your skin with SPF 30 sunscreen lotion by Emrex Essentials.
[01:31:47.000 --> 01:31:50.000]  Stop exposing yourself and your family to toxic ingredients.
[01:31:50.000 --> 01:31:56.000]  Visit infowarsstore.com and learn more about the new SPF 30 sunscreen lotion.
[01:31:59.000 --> 01:32:04.000]  Proper B-vitamin intake is essential to keep the body functioning at optimum levels.
[01:32:04.000 --> 01:32:06.000]  Up, up, up, up, optimum levels.
[01:32:06.000 --> 01:32:11.000]  With our modern diets, it can be hard to get the recommended amount of B vitamins we need every day.
[01:32:11.000 --> 01:32:13.000]  Up, up, up, up, up, optimum levels.
[01:32:13.000 --> 01:32:15.000]  B vitamins we need every day.
[01:32:15.000 --> 01:32:21.000]  Secret 12 combines two bioactive forms of vitamin B12 for optimal absorption.
[01:32:21.000 --> 01:32:23.000]  Up, up, up, up, up, optimal absorption.
[01:32:23.000 --> 01:32:29.000]  Being deficient in B vitamins can cause fatigue, depression, poor memory, and lethargy.
[01:32:29.000 --> 01:32:32.000]  Secret 12. Up, up, up, up, up, optimal absorption.
[01:32:32.000 --> 01:32:37.000]  B vitamins help the body convert food into energy by supporting your intercellular processes.
[01:32:37.000 --> 01:32:41.000]  B vitamins are also essential for the optimal functioning of the brain and nervous system.
[01:32:41.000 --> 01:32:44.000]  Up, up, up, up, up, up, optimum levels.
[01:32:44.000 --> 01:32:49.000]  Secret 12 is an easy way to increase your vitamin B12 intake.
[01:32:49.000 --> 01:32:54.000]  Head to infowarslife.com and support optimal brain and body function with Secret 12.
[01:32:54.000 --> 01:32:56.000]  That's infowarslife.com.
[01:32:56.000 --> 01:33:18.000]  You're listening to the Alex Jones Show.
[01:33:18.000 --> 01:33:20.000]  Welcome back. I'm your host Alex Jones.
[01:33:20.000 --> 01:33:23.000]  We're here Monday through Friday 11 a.m. to 3 p.m. Central.
[01:33:23.000 --> 01:33:27.000]  David Knight kicks it all off weekday mornings with the David Knight transmission.
[01:33:27.000 --> 01:33:29.000]  8 a.m. Central.
[01:33:29.000 --> 01:33:33.000]  And then, of course, the War Room with Owen Schreuer and his other guest hosts,
[01:33:33.000 --> 01:33:37.000]  Mike Rodgers, Ted and others, comes on 3 o'clock Central every day after I'm on.
[01:33:37.000 --> 01:33:41.000]  I want to go right back to your phone calls, and then I'm going to get into the other news I mentioned.
[01:33:41.000 --> 01:33:46.000]  The latest on Matt Lauer, the latest on all these other top Democrat, top show hosts,
[01:33:46.000 --> 01:33:51.000]  and so-called journalists, having to be thrown overboard because they're failures.
[01:33:51.000 --> 01:33:54.000]  They've known about all of it for over a decade.
[01:33:54.000 --> 01:33:59.000]  That's admitted Charlie Rose, Lauer, Prairie Hometown, Garbage.
[01:33:59.000 --> 01:34:04.000]  And now they're using it to just get rid of the deadwood.
[01:34:04.000 --> 01:34:07.000]  This is the collapse of the media. This is the facade.
[01:34:07.000 --> 01:34:12.000]  They don't want to pay for people getting paid $5, $10 million a year like Matt Lauer.
[01:34:12.000 --> 01:34:16.000]  What was his salary? I forget. It was something, you know, a ridiculous.
[01:34:16.000 --> 01:34:26.000]  And so now you're just going to see, kind of like MSNBC and CNN, goofier, cheaper propagandists.
[01:34:26.000 --> 01:34:29.000]  People that do it for nothing, just because they want to be on television.
[01:34:29.000 --> 01:34:32.000]  And look, Mom, I'm somebody like Como.
[01:34:32.000 --> 01:34:35.000]  Now, when we get WikiLeaks, we're allowed to read them as media.
[01:34:35.000 --> 01:34:39.000]  You're not allowed to look at them. You'll go to jail. Okay? I'm the boss.
[01:34:39.000 --> 01:34:46.000]  And by the way, grown adults, you're not allowed to have two slices of pizza.
[01:34:46.000 --> 01:34:52.000]  I'm allowed to have two slices, but you're not. I'm Cuomo, the arrogance of these people.
[01:34:52.000 --> 01:34:59.000]  But let's go to the phone calls right now. Let's go ahead and talk to Aaron in Canada.
[01:34:59.000 --> 01:35:01.000]  You're on the air. Thanks for holding.
[01:35:01.000 --> 01:35:02.000]  Alex, can you hear me?
[01:35:02.000 --> 01:35:03.000]  Yes, sir.
[01:35:03.000 --> 01:35:10.000]  Well, hey, so longtime listener, myself and my 11-year-old son just love you. We've been fighting the Info War in our own special way.
[01:35:10.000 --> 01:35:11.000]  Thank you.
[01:35:11.000 --> 01:35:18.000]  So what I wanted to bring about, I'm fairly well versed about nine out of 10 topics from different angles independently.
[01:35:18.000 --> 01:35:25.000]  And what I wanted to bring up was a wild card of North Korea and in that how it plays into a greater,
[01:35:25.000 --> 01:35:34.000]  strategic political theater. I see Trump winning, making major gains, and it seems like we're just around the edge and all of a sudden North Korea fires off a missile.
[01:35:34.000 --> 01:35:37.000]  And it seems to escalate this tensions again.
[01:35:37.000 --> 01:35:49.000]  And what you're saying is globalist intermediaries, the Clintons and others that we know have been working with the Communist Chinese have back channels and now suddenly have allowed Ukraine to ship them the engines,
[01:35:49.000 --> 01:36:01.000]  which we know that's where it came from, so that they can embarrass the world, push Trump into this big existential threat to derail the global economy and the American recovery.
[01:36:01.000 --> 01:36:09.000]  And that Michael Moore and Hillary and others said back in January, watch, he's about to have an international threat that will derail him.
[01:36:09.000 --> 01:36:12.000]  And that is exactly what is going on. It's not your opinion.
[01:36:12.000 --> 01:36:15.000]  I couldn't have put it better myself, geez.
[01:36:15.000 --> 01:36:21.000]  No, but what you see, because you're seeing what happened, that is going on, that is unfolding.
[01:36:21.000 --> 01:36:35.000]  Exactly. Given that Trump has not put any new sanctions on North Korea as of late, what do you see the next step being here? Looks like we're getting into real time.
[01:36:35.000 --> 01:36:50.000]  Well, Kim Jong-un is acting arrogantly, because like you just said, the globalists behind the scenes that gave him the reactors that gave him the weapons that gave him the ICBM launch systems, separation systems, guidance systems,
[01:36:50.000 --> 01:37:06.000]  boost systems, all of it's been given to him, just suddenly they've got all this as destabilization, moving North Korea as the detonator for a future war from 2020, 2025 to 2018, 2019.
