[00:00.000 --> 00:26.060]  Alright.
[1:02:39.980 --> 1:02:41.980]  2,400 homes.
[1:02:41.980 --> 1:02:47.660]  Of course, the left would have us all believe that Sergio Martinez did it for climate change.
[1:02:47.660 --> 1:02:53.340]  But no one wants to talk about the dirty secret that Jihad has been and can be waged in the
[1:02:53.340 --> 1:02:54.940]  future through arson.
[1:02:54.940 --> 1:02:59.980]  They have used car bombs, and they've flown planes into buildings to cause massive pain
[1:02:59.980 --> 1:03:00.980]  and destruction.
[1:03:00.980 --> 1:03:04.700]  Well, now Al Qaeda is telling its followers that the American Southwest, that means New
[1:03:04.700 --> 1:03:11.220]  Mexico, is like one big pile of kindling, and that terrorists should burn it down.
[1:03:11.220 --> 1:03:15.020]  Other changes could be on the way when it comes to security here on the campus of St.
[1:03:15.020 --> 1:03:16.820]  Kate's in St. Paul.
[1:03:16.820 --> 1:03:21.740]  This all comes after a former student is accused of lighting several fires across campus, all
[1:03:21.740 --> 1:03:23.180]  in the name of Jihad.
[1:03:23.180 --> 1:03:28.820]  And lo and behold, regarding the Australia bushfires, the Daily Telegraph reported Western
[1:03:28.820 --> 1:03:34.860]  Sydney teen Fadiz Raika, one of the two teens accused of lighting a grass fire at a Guildford
[1:03:34.860 --> 1:03:40.820]  Park while bushfires ravaged New South Wales laughed outside the court today after appearing
[1:03:40.820 --> 1:03:42.420]  on multiple charges.
[1:03:42.420 --> 1:03:47.820]  Breitbart reported that Karash Media, a media organization that supports the Islamic State,
[1:03:47.820 --> 1:03:53.820]  is encouraging ISIS followers to start wildfires in the U.S. and Europe as a new way of waging
[1:03:53.820 --> 1:03:54.820]  Jihad.
[1:03:54.820 --> 1:04:00.460]  The media outlet had been distributing posters that said, ignite fires in the forests of
[1:04:00.460 --> 1:04:04.540]  America, France, Britain, and Germany, for they are painful to them.
[1:04:04.540 --> 1:04:08.180]  Glacier National Park removing those signs around the park stating all the glaciers would
[1:04:08.180 --> 1:04:10.020]  be melted by 2020.
[1:04:10.020 --> 1:04:14.660]  Their opinion shouldn't be swayed by panic, disinformation, and wasteful spending.
[1:04:14.660 --> 1:04:20.740]  As Breitbart reported, the Taxpayers Association released the results of their annual wasteful
[1:04:20.740 --> 1:04:25.780]  spending poll earlier this week, declaring that climate policy had been the biggest
[1:04:25.780 --> 1:04:31.140]  waste of money, largely due to the fact that despite the spending, emissions in Sweden had
[1:04:31.140 --> 1:04:33.300]  actually slightly increased.
[1:04:33.300 --> 1:04:34.300]  No doubt about it.
[1:04:34.300 --> 1:04:39.780]  I won't deny that drought and excessively dry areas lead to massive wildfires.
[1:04:39.780 --> 1:04:45.180]  And the loss of a billion Australian animals and 29 Australians is a nightmare.
[1:04:45.180 --> 1:04:50.300]  But succumbing to the will of the left's cherry picking of the characterization of facts only
[1:04:50.300 --> 1:04:55.220]  suppresses the bigger picture, and that leads us into an inferno.
[1:04:55.220 --> 1:04:57.220]  Wow.
[1:04:57.220 --> 1:04:59.080]  You want to break some globalist ribs.
[1:04:59.080 --> 1:05:00.900]  You want to crush some skulls politically.
[1:05:00.900 --> 1:05:04.500]  You want to drive ice picks through their eyeballs spiritually.
[1:05:04.500 --> 1:05:06.540]  There's nowhere you can spend money.
[1:05:06.540 --> 1:05:09.660]  There's nowhere you can place your bet.
[1:05:09.660 --> 1:05:13.060]  In a fight where it's going to have more power per dollar.
[1:05:13.060 --> 1:05:20.020]  Your bang for your buck, fear, gets you great products at great prices that literally fund
[1:05:20.020 --> 1:05:24.300]  the system where the spirit of resistance lives to drive it home to the enemy.
[1:05:24.300 --> 1:05:25.300]  And so it's very simple.
[1:05:25.300 --> 1:05:29.820]  If you don't want to be slaves and you want to see the fight taken to the enemy, which
[1:05:29.820 --> 1:05:35.460]  God wants to see, you see, we have to make the effort, 110% God will finish the move.
[1:05:35.460 --> 1:05:39.020]  And I know I need to stay in the fight in the attack, attack, attack.
[1:05:39.020 --> 1:05:40.020]  I want to attack.
[1:05:40.020 --> 1:05:41.620]  I want to go after the globalists.
[1:05:41.620 --> 1:05:44.420]  And just believe me, ladies and gentlemen, that if you want somebody to commit to you
[1:05:44.420 --> 1:05:48.020]  and your family to fight for all of our futures together, you've got to guarantee you keep
[1:05:48.020 --> 1:05:49.020]  me in the game.
[1:05:49.020 --> 1:05:53.020]  I'm going to buzz my ass with everything I got for us, for myself and my family, for
[1:05:53.020 --> 1:06:17.020]  your family, because we're in this together, infoorstore.com.
[1:06:23.020 --> 1:06:33.020]  We are now in the second hour of the January 13th, 2020 Monday transmission with 294 days
[1:06:33.020 --> 1:06:34.020]  left.
[1:06:34.020 --> 1:06:40.660]  Well, we've covered the record levels, earthquakes and volcanoes around the world and the fact
[1:06:40.660 --> 1:06:45.020]  that it's the magnetic poles moving and being affected by changes in the sun, predominantly,
[1:06:45.020 --> 1:06:46.020]  that is causing that.
[1:06:46.020 --> 1:06:50.740]  But I have a whole stack of articles here where environmentalists say humans are causing
[1:06:50.740 --> 1:06:53.900]  the earthquakes and, of course, the volcanoes.
[1:06:53.900 --> 1:06:56.780]  There's nothing these cooks won't say or do.
[1:06:56.780 --> 1:06:59.140]  And meanwhile, we just aired a John Bowne report.
[1:06:59.140 --> 1:07:02.980]  It's a Band-Aid video in the John Bowne section.
[1:07:02.980 --> 1:07:04.380]  Very important needs to get out there.
[1:07:04.380 --> 1:07:12.500]  The only way it will is if you share it, climate changer, arson jihad and snopes says that
[1:07:12.500 --> 1:07:14.300]  we lied.
[1:07:14.300 --> 1:07:19.580]  There haven't been 200 arson arrests and the police didn't attribute most of the fires
[1:07:19.580 --> 1:07:28.780]  in Australia to arson, even though it was a press release from major state police departments.
[1:07:28.780 --> 1:07:29.780]  And they admit we're right.
[1:07:29.780 --> 1:07:36.900]  They just say it's misinformation, what?
[1:07:36.900 --> 1:07:40.580]  That's like when they said in snopes with the big fires last year, they said, Trump
[1:07:40.580 --> 1:07:41.780]  is wrong.
[1:07:41.780 --> 1:07:43.860]  No one rakes the forest.
[1:07:43.860 --> 1:07:51.740]  Well, that's because they know that their Democrat supporters mainly live in compact
[1:07:51.740 --> 1:07:58.460]  cities and don't know how the world really works, and that all over the world, every
[1:07:58.460 --> 1:08:04.900]  culture from Africa, from Australia, from Europe to South America, that people build
[1:08:04.900 --> 1:08:11.700]  fire breaks around their towns and homes and that they get the kindling out of the woods.
[1:08:11.700 --> 1:08:14.500]  So there's not a bunch of fuel there, so there is a lightning strike.
[1:08:14.500 --> 1:08:16.460]  It burns through and doesn't build up a lot of heat.
[1:08:16.460 --> 1:08:23.500]  Get those big, giant 500 foot tall surges going.
[1:08:23.500 --> 1:08:27.980]  That's called forest management, wildlife management.
[1:08:27.980 --> 1:08:33.460]  Never been at a national park that's in scrub brush or whatever, and you see these big berms
[1:08:33.460 --> 1:08:36.500]  that bulldozers built decades before around the buildings.
[1:08:36.500 --> 1:08:43.060]  You ever wondered why there's wrecks when he was like 11 years old, he goes, Daddy,
[1:08:43.060 --> 1:08:48.140]  are those fort walls around this national park down in Big Bend?
[1:08:48.140 --> 1:08:50.900]  He's like, does somebody could climb right over that wall?
[1:08:50.900 --> 1:08:51.980]  Is that like a fort wall?
[1:08:51.980 --> 1:08:52.980]  Like the military?
[1:08:52.980 --> 1:08:55.580]  And I said, no, son, that's against the enemy fire.
[1:08:55.580 --> 1:08:57.740]  That's a fire break.
[1:08:57.740 --> 1:09:01.500]  Like in ships, they build bulkheads to stop water flooding from one to the rest of the
[1:09:01.500 --> 1:09:04.020]  ship, but also to stop fires.
[1:09:04.020 --> 1:09:08.100]  That's why a lot of houses under zoning have a firewall.
[1:09:08.100 --> 1:09:15.700]  Or if you're in a duplex or apartment complexes, there's by law firewalls, big special walls
[1:09:15.700 --> 1:09:20.700]  that are fire resistant to stop it from burning one and then jumping, jumping, jumping, jumping,
[1:09:20.700 --> 1:09:21.700]  jumping, jumping.
[1:09:21.700 --> 1:09:30.740]  This is all just basic engineering literacy of a five-year-old.
[1:09:30.740 --> 1:09:37.820]  You see, people aren't taught how to do that anymore, but you go down to the Mesoamerican
[1:09:37.820 --> 1:09:43.180]  farmers that have been growing corn down there for 10,000 years, and you'll see around
[1:09:43.180 --> 1:09:47.340]  every town, every little village in the woods and in the forest and the rainforest where
[1:09:47.340 --> 1:09:49.260]  they've cut the fire breaks.
[1:09:49.260 --> 1:09:55.460]  It's because everybody knows it, but again, Snopes and everybody says, we're crazy.
[1:09:55.460 --> 1:09:56.460]  It doesn't exist.
[1:09:56.460 --> 1:09:57.460]  But it was a funny thing.
[1:09:57.460 --> 1:09:58.460]  I saw this article on CNN this weekend.
[1:09:58.460 --> 1:10:03.060]  Oh, the aborigines know how to stop the fires, and I knew before I read it, it'd be, oh, the
[1:10:03.060 --> 1:10:06.140]  aborigines build fire breaks.
[1:10:06.140 --> 1:10:07.140]  There it is.
[1:10:07.140 --> 1:10:09.260]  Indigenous people have a solution.
[1:10:09.260 --> 1:10:13.020]  The country's much fires, and it's been around for tens of thousands of years.
[1:10:13.020 --> 1:10:15.660]  Oh, but wait a minute.
[1:10:15.660 --> 1:10:29.820]  Did I play Colbert and Fallon and everybody else making fun of Trump for raking the forest?
[1:10:29.820 --> 1:10:30.820]  Because that's what you do.
[1:10:30.820 --> 1:10:36.020]  But see, we use coal power now from electricity, to electricity, so people don't have the wood
[1:10:36.020 --> 1:10:40.700]  stove going anymore.
[1:10:40.700 --> 1:10:44.300]  But used to if people just naturally cleared it all out, and look, I know to our audience
[1:10:44.300 --> 1:10:47.980]  it's like I'm telling you two plus two equals four, and they go, Alex, we know this.
[1:10:47.980 --> 1:10:48.980]  We all know it.
[1:10:48.980 --> 1:10:49.980]  I know.
[1:10:49.980 --> 1:10:53.820]  I'm talking to new listeners who are, like, in a high rise in downtown Austin or high
[1:10:53.820 --> 1:11:02.780]  rise in New York, and they literally think that in Texas, we ride horses to work and
[1:11:02.780 --> 1:11:06.460]  that we have outhouses.
[1:11:06.460 --> 1:11:14.160]  No, we have secret nuclear reactors and cyclotrons and superconducting supercolliders and anti-mass
[1:11:14.160 --> 1:11:18.940]  matter weapons bases and giant nuclear weapons, stockpiles down here, and this is actually
[1:11:18.940 --> 1:11:21.420]  the state that runs the whole damn planet.
[1:11:21.420 --> 1:11:28.420]  So I mean, you know, but again, for somebody in a high rise tube, they just don't know
[1:11:28.420 --> 1:11:29.420]  that.
[1:11:29.420 --> 1:11:32.860]  Like, I'm out here going out to milk the cows every day.
[1:11:32.860 --> 1:11:35.380]  And that's a great thing, by the way, if you can live like that, that's the most healthy
[1:11:35.380 --> 1:11:37.380]  and best way to live.
[1:11:37.380 --> 1:11:43.660]  But the level of ignorance of the trendies and how they don't know which side is up
[1:11:43.660 --> 1:11:46.380]  is very, very dangerous.
[1:11:46.380 --> 1:11:51.260]  And the globalists are playing on that and using that and manipulating it.
[1:11:51.260 --> 1:11:56.660]  And so Paul Watson links directly to the police department press releases and a newscast about
[1:11:56.660 --> 1:12:01.220]  Muslims being arrested and indicted for setting fires, they believe, and they're laughing
[1:12:01.220 --> 1:12:02.420]  outside the courts.
[1:12:02.420 --> 1:12:06.980]  And Muslims are posing in front of Notre Dame laughing and the Guardian says, that's a fake
[1:12:06.980 --> 1:12:07.980]  photo.
[1:12:07.980 --> 1:12:15.100]  And this note says that that's a fake photo, and Paul Wars puts out a fake photo that they
[1:12:15.100 --> 1:12:23.900]  got from Sputnik, the Russians, turns out Sputnik got it from a major photo public library
[1:12:23.900 --> 1:12:24.900]  paid for it.
[1:12:24.900 --> 1:12:27.460]  And we carried it too.
[1:12:27.460 --> 1:12:30.460]  But that's how they operate.
[1:12:30.460 --> 1:12:40.860]  Hell, in just the last few months, they've arrested 98 people.
[1:12:40.860 --> 1:12:45.980]  But Snopes says it's a conspiracy theory.
[1:12:45.980 --> 1:12:47.700]  And they're God.
[1:12:47.700 --> 1:12:49.300]  They say it's false.
[1:12:49.300 --> 1:12:56.100]  Nearly 200 Australians have been arrested in late 2019, early 2020 for deliberately setting
[1:12:56.100 --> 1:13:02.100]  push fires, and it links directly to it, but see, they use that appeal to authority.
[1:13:02.100 --> 1:13:06.100]  And the info was falsely did that.
[1:13:06.100 --> 1:13:07.100]  Total lie.
[1:13:07.100 --> 1:13:18.180]  But see, that's why they want a censored so we can't even respond to them.
[1:13:18.180 --> 1:13:21.820]  And when I was in the latest Sandy Hook depositions, they're just being used as a way to try to
[1:13:21.820 --> 1:13:25.460]  bank represent and get into everything and misrepresent who we are.
[1:13:25.460 --> 1:13:30.620]  They had the Snopes woman there gleefully smiling uncontrollably going in the corner
[1:13:30.620 --> 1:13:37.940]  and then tweeting all this wild disinfo after because imagine that they just hire these
[1:13:37.940 --> 1:13:43.980]  people and you look at their past, it's like, whoa.
[1:13:43.980 --> 1:13:50.780]  And then say you are the proletariat's God, you are the commissar, you are the judge and
[1:13:50.780 --> 1:13:56.580]  jury and executioner, what you say is law like your Moses or something, but that's how
[1:13:56.580 --> 1:13:57.580]  they operate.
[1:13:57.580 --> 1:14:01.180]  All right, I'm going to give the number out when we come back.
[1:14:01.180 --> 1:14:04.420]  I'm going to open the phones up and I'm going to take your calls.
[1:14:04.420 --> 1:14:07.860]  Richard Spencer, the white nationalist, whatever you want to call him, is going to be on the
[1:14:07.860 --> 1:14:12.500]  show and I've got a lot of questions and things for him.
[1:14:12.500 --> 1:14:13.580]  There is a lot of other news.
[1:14:13.580 --> 1:14:18.100]  We have not gotten to a lot of breaking news as well that we'll get to when we come back
[1:14:18.100 --> 1:14:23.460]  a new info wars article by Jamie White, Twitter removes cringy video of Prince Harry pitching
[1:14:23.460 --> 1:14:27.740]  Meghan Merkel to Disney CEO.
[1:14:27.740 --> 1:14:31.820]  I mean, it's just sick, all these little fawning pumps wanting to be famous.
[1:14:31.820 --> 1:14:34.580]  Well, I thought you're royal, doesn't that make you powerful?
[1:14:34.580 --> 1:14:39.020]  Oh, you're so, oh, oh, you're from an immigrant group of weirdo neurotics.
[1:14:39.020 --> 1:14:40.020]  Let me worship you.
[1:14:40.020 --> 1:14:50.700]  So, of course, he wants to be part of the rotting pedophilic edifice that is that's huge facade
[1:14:50.700 --> 1:14:53.420]  behind which these devils lurk that is Disney.
[1:14:53.420 --> 1:15:01.500]  And of course, Facebook Glitch reveals Greta Thunberg's father posing as his teenage mentally
[1:15:01.500 --> 1:15:02.500]  ill daughter.
[1:15:02.500 --> 1:15:03.780]  Of course, he is.
[1:15:03.780 --> 1:15:09.980]  It's all coming up, please do not forget that the new sales are here and they are
[1:15:09.980 --> 1:15:10.980]  here.
[1:15:10.980 --> 1:15:16.940]  Providing you a chance to get products that really are amazing, a pollen block comes from
[1:15:16.940 --> 1:15:27.700]  a special type of bird quail that is fed a special diet that creates a chemical compound
[1:15:27.700 --> 1:15:28.700]  that's natural.
[1:15:28.700 --> 1:15:34.580]  It's been proven to really help reduce allergies and it's 40% off right now.
[1:15:34.580 --> 1:15:36.940]  I would stock up on pollen block.
[1:15:36.940 --> 1:15:41.900]  You should go research it helps enhance respiratory function helps for healthy sinus function
[1:15:41.900 --> 1:15:46.380]  promotes clear airways, promotes respiratory health and normal breathing supports eye comfort
[1:15:46.380 --> 1:15:47.380]  and sinus health.
[1:15:47.380 --> 1:15:48.380]  Give it a shot.
[1:15:48.380 --> 1:15:51.220]  It funds the info or so you can't lose almost everybody that tries it.
[1:15:51.220 --> 1:15:52.220]  So this is incredible.
[1:15:52.220 --> 1:15:56.220]  It doesn't have all the chemicals, but it works even better pollen block.
[1:15:56.220 --> 1:15:59.260]  We can all agree these are troubled times, right?
[1:15:59.260 --> 1:16:04.580]  So do you know who's on your wireless network, whether it's a big company selling your data
[1:16:04.580 --> 1:16:09.500]  or a foreign hacker, if you're not protected, everybody sees your information.
[1:16:09.500 --> 1:16:14.740]  That's why you need flash routers, a custom Wi-Fi router created for privacy.
[1:16:14.740 --> 1:16:19.500]  Flash routers uses a virtual private network or VPN to protect your online activity from
[1:16:19.500 --> 1:16:24.660]  hackers, trackers and large corporations and not just one, but all your devices with one
[1:16:24.660 --> 1:16:26.060]  out of the box setup.
[1:16:26.060 --> 1:16:31.500]  Plus flash routers also enhances your wireless network performance and unlocks powerful router
[1:16:31.500 --> 1:16:35.180]  management tools to let you take total control of your network.
[1:16:35.180 --> 1:16:44.740]  Call or click flash routers today at 1-866-509-5817 or FLA-SHR-O-U-T-E-R-S dot com.
[1:16:44.740 --> 1:16:50.380]  That's 1-866-509-5817 or flash routers dot com.
[1:16:50.380 --> 1:16:54.500]  Protect your wireless home network today with flash routers.
[1:16:54.500 --> 1:16:59.540]  Finally, there's a way for you to get into the blockchain, the hottest financial sector
[1:16:59.540 --> 1:17:01.540]  without all the speculation.
[1:17:01.540 --> 1:17:06.580]  No, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[1:17:06.580 --> 1:17:10.900]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment
[1:17:10.900 --> 1:17:14.220]  leasing program in the explosive digital asset marketplace.
[1:17:14.220 --> 1:17:18.100]  Inspired by entrepreneurs who sold picks and shovels during the gold rush, the money is
[1:17:18.100 --> 1:17:22.260]  in the mining equipment used to manufacture dozens of critical digital assets.
[1:17:22.260 --> 1:17:26.740]  Not a security IPO or note, blockchain data centers have a proven turnkey equipment sale
[1:17:26.740 --> 1:17:32.780]  lease back program with a 27% annualized lease payment deposited into your bank account
[1:17:32.780 --> 1:17:33.780]  each month.
[1:17:33.780 --> 1:17:34.780]  Don't miss this one.
[1:17:34.780 --> 1:17:35.780]  Take your claim today.
[1:17:35.780 --> 1:17:41.660]  Call 800-600-3388 that's 800-600-3388.
[1:17:41.660 --> 1:17:43.780]  These valuable lease contracts won't last long.
[1:17:43.780 --> 1:17:49.100]  Call now 800-600-3388 800-600-3388.
[1:17:49.100 --> 1:17:51.740]  Equipment offer poses a financial risk to owners consult with financial professionals before
[1:17:51.740 --> 1:17:56.740]  purchasing not an offer to buy or sell a security which requires an offering document.
[1:17:56.740 --> 1:17:58.420]  I love watching David Knight in the morning.
[1:17:58.420 --> 1:18:00.580]  I love tuning in to Owen Schroyer.
[1:18:00.580 --> 1:18:02.460]  I love all the other shows we do here.
[1:18:02.460 --> 1:18:07.100]  But I'll be honest with you, we run during the breaks a lot of news reports because
[1:18:07.100 --> 1:18:09.500]  I'm sick of hearing the ads.
[1:18:09.500 --> 1:18:11.220]  So you think you don't want to hear an ad?
[1:18:11.220 --> 1:18:12.220]  I don't want to hear an ad.
[1:18:12.220 --> 1:18:14.500]  But here's the bottom line.
[1:18:14.500 --> 1:18:18.500]  We're barely paying the bills here and I want to expand the face the globalists not contract.
[1:18:18.500 --> 1:18:19.740]  I don't want them to win.
[1:18:19.740 --> 1:18:22.700]  So listen, you've got this guarantee from me.
[1:18:22.700 --> 1:18:27.260]  We sell enough product, we'll have less ads and less plugs and we'll expand and really
[1:18:27.260 --> 1:18:28.980]  give the globalists a run for their money.
[1:18:28.980 --> 1:18:33.540]  But we've got products you already really need like DNA Force Plus, X2, these will change
[1:18:33.540 --> 1:18:34.540]  your life.
[1:18:34.540 --> 1:18:37.820]  Go check out the turmeric products, check out the water filtration, air filtration, check
[1:18:37.820 --> 1:18:38.820]  it all out.
[1:18:38.820 --> 1:18:40.340]  Whatever you do, take action and know.
[1:18:40.340 --> 1:18:42.140]  Be part of the Second American Revolution.
[1:18:42.140 --> 1:18:43.140]  Be part of Crush the Globalist.
[1:18:43.140 --> 1:18:45.140]  And get great products at the same time.
[1:18:45.140 --> 1:18:47.540]  M4WordsStore.com is the umbrella site.
[1:18:47.540 --> 1:18:49.700]  M4WordsLive.com is the supplements.
[1:18:49.700 --> 1:18:52.860]  Take action now and fund the M4Word for your own future.
[1:19:19.700 --> 1:19:21.740]  There's a solution.
[1:19:21.740 --> 1:19:25.860]  She says to have an abortion.
[1:19:25.860 --> 1:19:27.780]  The mother decides to look into it.
[1:19:27.780 --> 1:19:30.940]  The clinic assures her it's safe.
[1:19:30.940 --> 1:19:32.700]  She's made her decision.
[1:19:32.700 --> 1:19:35.140]  She's going to have an abortion.
[1:19:35.140 --> 1:19:41.620]  The problem is that baby is you.
[1:19:41.620 --> 1:19:48.340]  Join me, Owen Schreuer, at the March for Life, Friday, January 24th in Washington, D.C.
[1:19:48.340 --> 1:19:50.340]  Noon at the National Mall.
[1:19:50.340 --> 1:19:51.340]  I'll see you there.
[1:19:51.340 --> 1:19:54.060]  It's time to stand up for the unborn.
[1:19:54.060 --> 1:20:00.100]  It's time to speak out for the voiceless.
[1:20:00.100 --> 1:20:20.060]  We're listening to the Alex Jones show.
[1:20:20.060 --> 1:20:27.060]  All right, I want to hit some important news right now, and I'm going to go to a special
[1:20:27.060 --> 1:20:30.420]  report, and I want to open the phones up in the next few segments after that ahead of
[1:20:30.420 --> 1:20:31.700]  Richard Spencer joining us.
[1:20:31.700 --> 1:20:37.260]  I'll be going directly to your calls on the volcanoes, on the impeachment situation coming
[1:20:37.260 --> 1:20:38.260]  up in the Senate.
[1:20:38.260 --> 1:20:40.140]  Will she finally send the articles?
[1:20:40.140 --> 1:20:42.980]  What do they do if she doesn't and violates the law?
[1:20:42.980 --> 1:20:47.100]  What do you make of China producing the majority of our drugs?
[1:20:47.100 --> 1:20:53.980]  What do you make of the situation with what's happening with Iran wanting to topple their
[1:20:53.980 --> 1:20:57.580]  leadership and what's unfolding there?
[1:20:57.580 --> 1:21:02.900]  How far should the U.S. go, if any, to support those people that are being mowed down with
[1:21:02.900 --> 1:21:04.500]  machine guns?
[1:21:04.500 --> 1:21:09.580]  That is all going to be coming up and taking your phone calls on that subject, and if you
[1:21:09.580 --> 1:21:14.980]  have any questions that you'd like to be relayed to Mr. Spencer when he shows up in
[1:21:14.980 --> 1:21:17.580]  the third hour here today.
[1:21:17.580 --> 1:21:26.820]  The toll-free number to join us is 877-789-ALIX, 877-789-2539, and let's give first-time callers.
[1:21:26.820 --> 1:21:30.300]  That means if you ever called in but didn't get on the air, let's give first-time callers
[1:21:30.300 --> 1:21:39.100]  a chance to be on during this hour, 877-789-2539, 877-789-ALIX.
[1:21:39.100 --> 1:21:46.300]  All right, those calls are coming up.
[1:21:46.300 --> 1:21:54.660]  The establishment is obsessed with corrupting our minds and our cellular systems with chemicals,
[1:21:54.660 --> 1:22:01.060]  biological, radiological, to get us off kilter and destabilize so they can basically do what
[1:22:01.060 --> 1:22:05.180]  it is they've been planning to do with the species that has basically forcibly merged
[1:22:05.180 --> 1:22:12.780]  us with machines in a nightmare construction that is a giant satanic ritual against humanity.
[1:22:12.780 --> 1:22:19.340]  Now, I talked about this some yesterday, but I want to play a special report here in just
[1:22:19.340 --> 1:22:24.060]  a few minutes on it, and the report is again at infowars.com.
[1:22:24.060 --> 1:22:30.300]  It is a nationalfile.com story, and the article is important, and it documents what's happening,
[1:22:30.300 --> 1:22:34.980]  and it shows they've now pulled it from the textbook because of pressure, but it focuses
[1:22:34.980 --> 1:22:43.740]  on the anal sex, the bondage, and that, but what it says is body fluid or blood play.
[1:22:43.740 --> 1:22:55.100]  Now, if you go into the definition of blood play, it is part of the whole vampire kingdom,
[1:22:55.100 --> 1:23:01.500]  and again, I'm not saying vampires are real, I'm saying the spirit of people that set these
[1:23:01.500 --> 1:23:07.260]  systems up, and the legends about vampires are based on groups of people going psychotic
[1:23:07.260 --> 1:23:09.060]  and behaving just like this.
[1:23:09.060 --> 1:23:13.020]  That's why they've dug up in ancient Greece and Rome and Egypt.
[1:23:13.020 --> 1:23:20.020]  People buried in walls, big mean adult men usually that have stakes driven to their hearts
[1:23:20.020 --> 1:23:25.940]  and metal stakes in all four arms and legs because they've been known to die and get
[1:23:25.940 --> 1:23:29.900]  back up, whatever's going on there, and they always do the same thing.
[1:23:29.900 --> 1:23:35.060]  Now, Peter Thiel is, quote, very, very interested in young people's blood.
[1:23:35.060 --> 1:23:36.420]  That's an Inc.com article.
[1:23:36.420 --> 1:23:39.980]  He knows there's huge money in it, and it's already the biggest exporter in the world
[1:23:39.980 --> 1:23:44.140]  of children's blood to the planet for rich people taking transfusions, so this is already
[1:23:44.140 --> 1:23:48.740]  going on on an absolutely huge scale.
[1:23:48.740 --> 1:23:50.220]  Here's the vampire lifestyle.
[1:23:50.220 --> 1:23:55.580]  If you just type in blood play, here it is, general beliefs, consumption of blood, sexuality
[1:23:55.580 --> 1:23:56.580]  and sexual practices.
[1:23:56.580 --> 1:24:01.500]  Oh, it's, you know, like bestiality, it's just another thing, sexual activity which
[1:24:01.500 --> 1:24:07.580]  participant deliberately cut to the release blood, and so it's every form of evil being
[1:24:07.580 --> 1:24:13.820]  dumped out upon everyone right now, and full grown women posing as young boys to then go
[1:24:13.820 --> 1:24:18.820]  set up little girls, but that's a new sexual fetish, the media is defending, and sterilizing
[1:24:18.820 --> 1:24:19.820]  your children.
[1:24:19.820 --> 1:24:25.060]  This is all just pure evil because there's an energy release both physically and metaphysically
[1:24:25.060 --> 1:24:26.060]  when they do this.
[1:24:26.060 --> 1:24:28.020]  So here's John Bounds report.
[1:24:28.020 --> 1:24:35.340]  I've known that vampirism, the drinking of blood, is at the heart of Hollywood.
[1:24:35.340 --> 1:24:36.900]  I didn't know that from movies or anything.
[1:24:36.900 --> 1:24:42.860]  I was in some movies, got involved, went there, and had people tell me, and then I saw it.
[1:24:42.860 --> 1:24:48.100]  California textbooks are now teaching eight-year-olds, it broke today, it's on m4s.com, to drink
[1:24:48.100 --> 1:24:54.060]  blood as a sexual preference, and they teach them about blood play.
[1:24:54.060 --> 1:25:04.900]  The mainline news will say in Gillette commercials and on CNN, that if a man is at a mall, or
[1:25:04.900 --> 1:25:09.140]  a man is at a movie theater, or a man is at a dance, and he goes over and says, I think
[1:25:09.140 --> 1:25:13.420]  you're very attractive, you're so amazing, would you like to dance?
[1:25:13.420 --> 1:25:21.300]  That that's a form of assault, because normal human activity is bad, but if it's unannounced
[1:25:21.300 --> 1:25:26.740]  in many cases, children taken in public schools and libraries and put on the laps, in some
[1:25:26.740 --> 1:25:33.780]  cases of convicted pedophiles, convicted murderers, has come out, well then it's beautiful and
[1:25:33.780 --> 1:25:41.020]  wonderful to have a big fat, ugly man in a dress, grabbing little kids.
[1:25:41.020 --> 1:25:47.420]  That's the power of the media conditioning you to give in to things that are destructive,
[1:25:47.420 --> 1:25:49.500]  because they've got even more horrible things coming.
[1:25:49.500 --> 1:25:52.260]  They're shearing your consciousness.
[1:25:52.260 --> 1:25:58.420]  You know, they shouldn't teach it in school because they're forcing it on them in a way,
[1:25:58.420 --> 1:26:02.060]  and let the kids, you know, beat kids and do their own thing.
[1:26:02.060 --> 1:26:04.300]  However, others are in support of it.
[1:26:04.300 --> 1:26:09.700]  I think the more diverse education we can offer, the more chance we have to inspire
[1:26:09.700 --> 1:26:12.460]  a diversity of students and future leaders.
[1:26:12.460 --> 1:26:17.620]  They say the new sex ed program is too inappropriate, adding the curriculum sexualizes children
[1:26:17.620 --> 1:26:19.980]  as young as kindergarten age.
[1:26:19.980 --> 1:26:24.540]  Last week's state education officials overhauled its sexual education guidance for public
[1:26:24.540 --> 1:26:29.980]  school teachers with gender identity and safe sex practices amongst other subjects being
[1:26:29.980 --> 1:26:30.980]  covered.
[1:26:30.980 --> 1:26:36.260]  Now they say the main one that they are having a hard time with is the LGBTQ inclusive language
[1:26:36.260 --> 1:26:39.500]  and safe trafficking context, which will be covered.
[1:26:39.500 --> 1:26:43.700]  Some parents saying it's all too explicit for kids this young and too graphic.
[1:26:43.700 --> 1:26:49.140]  Now, this includes talking to kindergartners about gender identity, discussing masturbation
[1:26:49.140 --> 1:26:54.180]  in middle school, and teaching safe sex practices for LGBTQ high school students.
[1:26:54.180 --> 1:26:59.100]  Here are some of the signs that some of these parents brought today to sort of talk about
