[00:00:30.179 --> 00:00:30.566]  I'll play.
[01:10:03.480 --> 01:10:06.222]  Real Red Bull, Real Red Bull Plus, that's close to selling out.
[01:10:06.222 --> 01:10:06.502]  50% off.
[01:10:06.502 --> 01:10:08.484]  Ultra 12, the best B12 you're going to find.
[01:10:08.484 --> 01:10:11.307]  Speaking out of the tongue, that is.
[01:10:11.307 --> 01:10:15.130]  40% off.
[01:10:15.130 --> 01:10:16.691]  Vitamineral Fusion, 50% off.
[01:10:16.691 --> 01:10:17.792]  Bodies, 40% off.
[01:10:17.792 --> 01:10:19.834]  Turbo Force, 40% off.
[01:10:19.834 --> 01:10:22.977]  And yes, Pollen Block, 50% off, even though that's about to sell out.
[01:10:22.977 --> 01:10:25.319]  And Squirable Food is now available again for order.
[01:10:26.229 --> 01:10:33.873]  If you want to do that, and it funds our operation and it's a smart thing to do to get prepared.
[01:10:33.873 --> 01:10:35.894]  And to get ready.
[01:10:35.894 --> 01:10:37.795]  So that's how you fund the operation.
[01:10:37.795 --> 01:10:40.456]  I appreciate all your support out there.
[01:10:40.456 --> 01:10:41.837]  With all you do.
[01:10:41.837 --> 01:10:47.880]  And these are just great items to get, especially, you know, if you've not tried things like the X2, really having good iodine in your body.
[01:10:49.002 --> 01:10:52.566]  There's so much of the iodine's crap where it's bound to other things, you don't really absorb it.
[01:10:52.566 --> 01:10:55.950]  Real atomic iodine will knock your socks off, takes a few weeks to kick in.
[01:10:55.950 --> 01:10:58.352]  DNA force is amazing, takes a few weeks to kick in.
[01:10:58.352 --> 01:11:05.200]  But things like turbo force, well that'll knock your... knock you to the next level in about 30 minutes, but that's all there.
[01:11:05.200 --> 01:11:07.202]  So we'll see what's coming up here, ladies and gentlemen.
[01:11:07.202 --> 01:11:09.225]  Maybe you might want to stay with us, you might not, so whatever.
[01:11:20.899 --> 01:11:27.501]  It took hundreds and hundreds of years of human civilization to build up the world economy to where it is.
[01:11:27.501 --> 01:11:43.447]  Every economist is on record saying that as this economy has been shut down for two months, it is going to be a death sentence to the third world, and a horrible, nightmarish collapse for the first world, and that the general public is going to go into deep, deep debt to the mega banks.
[01:11:43.447 --> 01:11:46.628]  They're not going to have medical ID cards, forced inoculations.
[01:11:46.628 --> 01:11:50.009]  We are now in a giant dystopia.
[01:11:50.569 --> 01:12:09.188]  But, a lot of people are waking up, and there is a major backlash taking place against this tyranny, and we must all rediscover our Bill of Rights, rediscover our Constitution and our backbone, and start saying no to people who take this moral high ground and say, shut your business down, shut your life down, it'll save lives.
[01:12:09.548 --> 01:12:10.068]  No.
[01:12:10.068 --> 01:12:14.151]  It's caused millions to already starve to death, tens of millions more.
[01:12:14.151 --> 01:12:19.014]  So the cowards who went along with this with your virtue signaling, you have destroyed your lives and our lives.
[01:12:19.014 --> 01:12:20.655]  Congratulations.
[01:12:20.655 --> 01:12:23.456]  I'm cutting this ad on May 10th, 2020.
[01:12:23.456 --> 01:12:31.261]  And within a week or so, many of the best-selling items that we're selling at InfoWarsTore.com will no longer be at 50% off.
[01:12:31.261 --> 01:12:37.885]  In fact, last year I said I can't do 50% off anymore because our markup just isn't enough for us to be able to get enough profit to operate this operation.
[01:12:38.365 --> 01:12:41.448]  But I want you to get the Ultimate Krill Oil.
[01:12:41.448 --> 01:12:43.470]  I want you to get Bazo Beats.
[01:12:43.470 --> 01:12:45.672]  I want you to get DNA Force Plus.
[01:12:45.672 --> 01:12:47.814]  I want you to experience X2.
[01:12:47.814 --> 01:12:50.936]  I want you to get Real Red Pill and Real Red Pill Plus.
[01:12:50.936 --> 01:12:53.259]  They're all in stock right now and they're 30 to 60% off.
[01:12:56.181 --> 01:13:08.424]  More than 20 items are 50% off right now, but we're going to have to end the sale on most items in about a week, because a lot of the products are getting close to selling out, like Real Redfield, Real Redfield Plus, and Vazo Beats.
[01:13:08.424 --> 01:13:09.624]  So take action!
[01:13:09.624 --> 01:13:13.665]  Be healthier, boost your body's natural defenses, and fund the InfoWar.
[01:13:13.665 --> 01:13:15.686]  Get these great products at InfoWarStore.com.
[01:13:23.715 --> 01:13:43.140]  You're listening to The Alex Jones Show!
[01:13:43.140 --> 01:13:43.640]  Everybody!
[01:13:45.003 --> 01:13:46.064]  It's super stressed out.
[01:13:46.064 --> 01:13:47.305]  Everybody is overwhelmed.
[01:13:47.305 --> 01:13:49.166]  The globalists are trying to destroy civilization.
[01:13:49.166 --> 01:13:51.608]  They're trying to undermine the pillars of the city.
[01:13:51.608 --> 01:13:55.030]  They are the traitor within that Cicero warned of.
[01:13:55.030 --> 01:14:07.199]  That's why they're now saying the homeless will take over actual major streets in San Francisco and Los Angeles to further encourage more people not to work.
[01:14:07.199 --> 01:14:12.023]  To encourage more people not to have a job and to be on drugs that the Democrats then sell them.
[01:14:13.462 --> 01:14:15.203]  An extractor welfare check.
[01:14:15.203 --> 01:14:19.385]  This is a scientific plan of evil.
[01:14:19.385 --> 01:14:24.228]  And then we've got Alan Dershowitz, who's quite the cult leader.
[01:14:24.228 --> 01:14:31.673]  You know, Alan Dershowitz once said that I should not be allowed to own a gun because I yelled and argued with Piers Morgan.
[01:14:31.673 --> 01:14:34.814]  He was in the green room coming out as the guest next.
[01:14:34.814 --> 01:14:38.176]  And then we have him being Jeffrey Epstein's lawyer.
[01:14:38.176 --> 01:14:41.358]  And I'm like, hey, even child molesters deserve lawyers.
[01:14:41.358 --> 01:14:42.179]  I believe in that system.
[01:14:44.454 --> 01:14:47.316]  Now more and more information's coming out.
[01:14:47.316 --> 01:14:51.238]  And we have Alan Dershowitz now.
[01:14:51.238 --> 01:14:58.902]  Well, just hear it for yourself, saying there's no law or no right for you not to have an inoculation, when it's 100% in law that they can't put things in your body.
[01:14:58.902 --> 01:15:03.004]  That's why we don't have forced inoculation.
[01:15:03.004 --> 01:15:05.565]  They don't have that in India, or Japan, or Australia.
[01:15:05.565 --> 01:15:07.406]  They're trying to get it.
[01:15:07.406 --> 01:15:08.907]  But he just goes, oh, you don't have a right.
[01:15:11.343 --> 01:15:15.327]  Did Jeffrey Epstein rape underage girls?
[01:15:15.327 --> 01:15:16.047]  No.
[01:15:16.047 --> 01:15:20.251]  We don't have proof of that.
[01:15:20.251 --> 01:15:23.194]  Did the system try to cover it up, what Epstein was doing for blackmail?
[01:15:23.194 --> 01:15:25.776]  Absolutely.
[01:15:25.776 --> 01:15:35.946]  But is Alan Dershowitz trying to rape our rights and rape our bodies and inject into our bodies, not his semen,
[01:15:39.224 --> 01:15:43.668]  That could possibly have HIV or hepatitis or God knows what in it.
[01:15:43.668 --> 01:15:53.237]  He isn't wanting to hold us down and rape us vaginally, rape us orally, or rape us anally.
[01:15:53.237 --> 01:15:55.399]  I'm sorry to talk like this, I'm dead serious.
[01:15:55.399 --> 01:16:04.547]  He's gonna rape us with a piece of steel into the side of our arm and put into us an experimental vaccine
[01:16:06.564 --> 01:16:11.891]  For a virus made in a weapons lab during a martial law lockdown.
[01:16:11.891 --> 01:16:17.097]  So he says you have no right not to be raped.
[01:16:17.097 --> 01:16:22.443]  Alan Dershowitz is saying you don't have a right not to be raped by the Bill and Melinda Gates Foundation.
[01:16:23.362 --> 01:16:29.707]  You don't have a right not to be raped by Big Pharma and the virus out of the Wuhan lab.
[01:16:29.707 --> 01:16:41.116]  With all the history of secret experimentation, and all the history of vaccine damage, and the Vaccine Damage Fund set up in 86, has paid over 4 billion dollars to people hurt, maimed, or killed by it.
[01:16:41.116 --> 01:16:50.283]  So it's, we don't have any proof that Alan Dershowitz ever was involved having sex with some of these women, though some have said that.
[01:16:50.283 --> 01:16:51.344]  But what we do know,
[01:16:53.672 --> 01:17:03.016]  Is that Alan Dershowitz is a pimp for Bill and Melinda Gates and the UN and the CHICOMS and their stainless steel penis.
[01:17:03.016 --> 01:17:16.141]  That they want to run into our arm and run into our children and rape us with an experimental concoction made God knows where when most of the vaccine is coming from China.
[01:17:16.141 --> 01:17:21.423]  So no, you're not sticking your metal penis in me, Dershowitz.
[01:17:22.708 --> 01:17:26.829]  And you're not going to inject your poisonous semen into me, Dershowitz!
[01:17:26.829 --> 01:17:27.889]  Don't rape me!
[01:17:27.889 --> 01:17:30.230]  My body is mine, Dershowitz!
[01:17:30.230 --> 01:17:40.372]  So we don't know these women are right about you, but I now know you're saying I have no right to not be raped by Bill Gates's metal pecker!
[01:17:40.372 --> 01:17:42.392]  And people can laugh about this all day.
[01:17:42.392 --> 01:17:45.013]  This is deadly serious.
[01:17:45.013 --> 01:17:46.533]  I don't want to be a rape victim!
[01:17:47.611 --> 01:17:50.514]  And that's what forced inoculation is!
[01:17:50.514 --> 01:17:51.695]  Is a rape!
[01:17:51.695 --> 01:17:55.579]  And when they force women to have abortions in China, it's a rape murder!
[01:17:55.579 --> 01:18:02.746]  I know you're God, Dershowitz, you're up there on Planet Nine and magical above all of us.
[01:18:04.417 --> 01:18:06.579]  Mere humans, but listen to me.
[01:18:06.579 --> 01:18:08.040]  You buzzard!
[01:18:08.040 --> 01:18:11.282]  You chicken-necked establishment pimp!
[01:18:11.282 --> 01:18:22.271]  Keep your dirty, filthy hands off my children, my wife, and me, and the American people!
[01:18:22.271 --> 01:18:23.592]  Shhh!
[01:18:23.592 --> 01:18:25.253]  It ain't gonna hurt.
[01:18:25.253 --> 01:18:27.075]  Just a little pinprick.
[01:18:27.075 --> 01:18:28.155]  There'll be no more.
[01:18:28.155 --> 01:18:30.317]  Ahh!
[01:18:30.317 --> 01:18:31.278]  There.
[01:18:31.278 --> 01:18:32.419]  Now it's time for the show.
[01:18:34.560 --> 01:18:42.187]  Dershowitz says we have no right not to be raped.
[01:18:42.187 --> 01:18:44.630]  There he is, in his own words.
[01:18:44.630 --> 01:18:45.931]  Legitimate.
[01:18:45.931 --> 01:18:47.112]  Let me put it very clearly.
[01:18:47.112 --> 01:18:55.480]  You have no constitutional right to endanger the public and spread a disease even if you disagree.
[01:18:55.480 --> 01:18:57.742]  You have no right not to be vaccinated.
[01:18:57.742 --> 01:18:59.584]  You have no right not to wear a mask.
[01:18:59.997 --> 01:19:02.558]  You have no right to open up your business.
[01:19:02.558 --> 01:19:04.580]  Wait, can I stop you?
[01:19:04.580 --> 01:19:07.161]  No right not to be vaccinated?
[01:19:07.161 --> 01:19:11.703]  Meaning if they decide you have to be vaccinated, we have to be vaccinated?
[01:19:11.703 --> 01:19:12.404]  Absolutely.
[01:19:12.404 --> 01:19:20.969]  And if you refuse to be vaccinated, the state has the power to literally take you to a doctor's office and plunge a needle into your arm.
[01:19:22.048 --> 01:19:31.730]  I'm very troubled by the legality of what you're suggesting because it seems like we're very close to a government mandate that we must all be vaccinated.
[01:19:31.730 --> 01:19:33.570]  Let me take you in another direction.
[01:19:33.570 --> 01:19:37.211]  I would like to see a government mandate.
[01:19:37.211 --> 01:19:48.633]  If a safe vaccine is developed for COVID-19, I hope it's mandated and I will defend it and will argue that in the Supreme Court of the United States against your abuse.
[01:19:49.224 --> 01:19:53.348]  And you would get it if they came out tomorrow and said there's a vaccine that's registered?
[01:19:53.348 --> 01:19:54.189]  I sent this one online.
[01:19:54.189 --> 01:19:55.230]  My children would get it.
[01:19:55.230 --> 01:19:56.571]  Everybody would get it.
[01:19:56.571 --> 01:19:58.633]  If we felt it was safe.
[01:19:58.633 --> 01:20:01.736]  Oh, if he feels it's safe, then you've got to take it.
[01:20:01.736 --> 01:20:03.298]  There is no safe vaccine.
[01:20:03.298 --> 01:20:04.379]  The inserts say you can't.
[01:20:04.379 --> 01:20:05.740]  Bill Gates says it won't be safe.
[01:20:05.740 --> 01:20:09.744]  He says 7,000, 700,000 will get sick or die.
[01:20:09.744 --> 01:20:11.185]  But he needs indemnification.
[01:20:11.185 --> 01:20:13.568]  You know damn well what's going on, Darsha, so again.
[01:20:14.514 --> 01:20:16.396]  You're going to plunge a needle in my arm?
[01:20:16.396 --> 01:20:17.777]  No, you're going to send cops to do it.
[01:20:17.777 --> 01:20:26.904]  That's what all the grabbing kids away from parents and it's in the CDC's own documents, we'll cover when we come back, that they want forced inoculation and taking kids if the parents have it.
[01:20:26.904 --> 01:20:32.068]  That's what contact tracers are and most of the tests are fake to create this hysteria.
[01:20:32.068 --> 01:20:37.333]  So I've left Jeffrey Epstein's lawyer alone because I respect people having a right to counsel.
[01:20:38.345 --> 01:20:50.592]  But now, him doing this, everybody on the Epstein train, uh, the, the Jack Posobics, and, uh, the, I mean, just, just, just all those people.
[01:20:50.592 --> 01:20:52.673]  Mike Cernovich and all these folks.
[01:20:52.673 --> 01:20:55.954]  They're just like, oh, Epstein's, you know, Epstein's lawyer's good, Epstein's lawyer's good.
[01:20:55.954 --> 01:20:57.095]  I'm like, oh, okay.
[01:20:57.095 --> 01:20:57.815]  Benefit of the doubt.
[01:20:57.815 --> 01:21:01.597]  Even though he said I should have my guns taken.
[01:21:01.597 --> 01:21:05.600]  Now he wants to plunge a needle in my arm?
[01:21:05.600 --> 01:21:06.100]  Dershowitz?
[01:21:09.827 --> 01:21:11.028]  Stay away from me and my family.
[01:21:11.028 --> 01:21:13.569]  I mean, you're a dangerous person.
[01:21:13.569 --> 01:21:17.232]  You're creepy, and now you've just really jumped the shark.
[01:21:17.232 --> 01:21:22.415]  And I don't know about this cult of Dershowitz.
[01:21:22.415 --> 01:21:28.319]  You know, this cult of all the brilliance, all the... I know the Constitution Bill of Rights.
[01:21:28.319 --> 01:21:30.981]  I know medical consent.
[01:21:30.981 --> 01:21:31.621]  I know all this.
[01:21:31.621 --> 01:21:38.786]  They have to have vaccine damage fines for people that agree to take it because it's got liability protection because it's so damn dangerous.
[01:21:40.424 --> 01:21:52.609]  So, tell you what, you stick to protecting foreign triple agent spies of Israeli intelligence, British intelligence, the CIA, in their giant blackmail rings.
[01:21:52.609 --> 01:21:53.469]  You just stick to that.
[01:21:55.307 --> 01:21:56.867]  And you're not my doctor.
[01:21:56.867 --> 01:21:57.808]  Neither is Bill Gates.
[01:21:57.808 --> 01:22:01.629]  So you and Bill Gates can go to hell.
[01:22:01.629 --> 01:22:03.149]  I will stay in Texas.
[01:22:03.149 --> 01:22:05.890]  Comprendi!
[01:22:05.890 --> 01:22:07.710]  Comprendi!
[01:22:07.710 --> 01:22:09.091]  Comprendi!
[01:22:09.091 --> 01:22:11.331]  Herr Dershowitz!
[01:22:11.331 --> 01:22:14.732]  Infowars.com lives only through you.
[01:22:14.732 --> 01:22:15.673]  Infowars.
[01:22:15.673 --> 01:22:16.633]  Infowars.
[01:22:16.633 --> 01:22:17.553]  Infowars.
[01:22:17.553 --> 01:22:19.174]  Infowars.
[01:22:19.174 --> 01:22:24.195]  The America that we've known and loved, the America that was the land of the free, home of the brave, is dying right now.
[01:22:25.137 --> 01:22:31.886]  And everything our enemies are doing is about domesticating us, shutting us down, and making us dependent on them.
[01:22:31.886 --> 01:22:33.929]  The food shortages have begun.
[01:22:33.929 --> 01:22:36.733]  The depression is going to be long and very, very serious.
[01:22:36.733 --> 01:22:39.076]  In fact, it's probably too late now to even turn back.
[01:22:39.076 --> 01:22:40.017]  Trump tried to stop it.
[01:22:40.598 --> 01:22:43.139]  But the mainstream media working with the Stratcoms blocked it.
[01:22:43.139 --> 01:22:47.661]  That's why you and myself, everybody else, has to get prepared now.
[01:22:47.661 --> 01:22:48.441]  Do not wait.
[01:22:48.441 --> 01:22:49.402]  It's not about the virus.
[01:22:49.402 --> 01:22:54.043]  It's about the economic chaos that's going to be unleashed in the next six months to a year.
[01:22:54.043 --> 01:22:56.885]  Get your high-quality, storable foods at InfoWarsaw.com.
[01:22:56.885 --> 01:22:59.065]  They're available again, but for a limited time.
[01:22:59.065 --> 01:23:00.986]  The food supply is running out.
[01:23:00.986 --> 01:23:02.487]  There are major shortages.
[01:23:03.027 --> 01:23:07.932]  This is a globalist siege, a globalist lockdown, globalist terrorism.
[01:23:07.932 --> 01:23:11.195]  But we the people, the patriots, have to be prepared.
[01:23:11.195 --> 01:23:13.097]  We've already been proven right about prepping so far.
[01:23:13.097 --> 01:23:14.839]  We'll get ready to be really proven right.
[01:23:14.839 --> 01:23:16.801]  Get your storable foods now at InfoWarsTore.com.
[01:23:18.439 --> 01:23:26.186]  InfoWars has become a symbol, an emblem, of not just American freedom, but worldwide Maverick spirit.
[01:23:26.186 --> 01:23:31.030]  It's not just myself or the host at InfoWars, or the researchers, or the journalists.
[01:23:31.030 --> 01:23:35.573]  It's you, the listeners, the activists, the people on the front lines, in the arena.
[01:23:35.573 --> 01:23:39.737]  And it's the amazing guests and individuals that we interviewed.
[01:23:40.037 --> 01:23:44.923]  They make InfoWars so special because we're not putting a filter in front of free minds.
[01:23:44.923 --> 01:23:55.475]  We're having an open discussion about the real state of the world, not the establishment and talking points that are put out by the Council on Foreign Relations, the Bilderberg Group, the Davos Group, and other globalists.
[01:23:56.096 --> 01:24:04.259]  We're pushing for a pro-human future where we build a planet and beyond based on humans, for humans, by humans.
[01:24:04.259 --> 01:24:11.462]  Not a world where the establishment, who hate themselves, project their hate onto us and decide we're going to have a post-human world.
[01:24:11.462 --> 01:24:14.463]  I'm really excited to know that InfoWars has your support.
[01:24:14.463 --> 01:24:17.564]  I want to thank you all for being pro-human and pro-God.
[01:24:18.342 --> 01:24:22.786]  We are 170 days out from the 2020 election.
[01:24:22.786 --> 01:24:27.390]  It is a referendum of national sovereignty against globalism.
[01:24:27.390 --> 01:24:37.118]  And Obama, Hillary, and the deep state have been caught attempting to overthrow President Trump's election, and they've been caught in two separate coup attempts against the president.
[01:24:37.118 --> 01:24:43.984]  Now, they've been pushing COVID-19 to shut down the economy and create a depression, while China's already been open for business for more than a month.
[01:24:44.705 --> 01:24:56.816]  This is an ongoing globalist attempt to punish the American people, wreck our economy, and hope that we won't recognize that it is they, the New World Order, that have orchestrated this and not President Trump.
[01:24:56.816 --> 01:24:58.537]  They know their crimes are coming out.
[01:24:58.537 --> 01:25:00.499]  They know the chickens are coming home to roost.
[01:25:01.019 --> 01:25:09.546]  So now they're panicking and trying to steal the 2020 election with mail-in ballots based on keeping the public safe from COVID-19.
[01:25:09.546 --> 01:25:16.092]  The entire COVID-19 system is a giant hoax and must be exposed if America has any hope.
[01:25:16.092 --> 01:25:20.976]  So get out there and expose this fraud.
[01:25:20.976 --> 01:25:23.579]  You're listening to the Alex Jones Show.
[01:25:48.991 --> 01:25:55.554]  Ruling classes became obsessed with dominating and controlling their service.
[01:25:55.554 --> 01:26:00.056]  And now Alan Dershowitz has come out and said, if you don't like taking forced inoculations, leave America.
[01:26:00.056 --> 01:26:01.757]  That's the WHO.
[01:26:01.757 --> 01:26:02.337]  It's worldwide.
[01:26:02.337 --> 01:26:03.218]  They're forcing everyone to.
[01:26:03.218 --> 01:26:06.319]  He said, I'm going to plunge a needle in your arm.
[01:26:06.319 --> 01:26:08.861]  We're going to take you to a hospital.
[01:26:08.861 --> 01:26:09.501]  Medical tyranny.
[01:26:09.501 --> 01:26:12.682]  We're going to make you take it.
[01:26:12.682 --> 01:26:14.403]  Because it's safe.
[01:26:14.403 --> 01:26:15.204]  But it's not safe.
[01:26:16.636 --> 01:26:23.798]  Alan Dershowitz says if we don't let Bill Gates put in our body what he wants us to have put in our body, we should be forced to do it.
[01:26:23.798 --> 01:26:36.842]  Well, forcing you to take something into your body via an object that's thrust into it is the definition of rape.
[01:26:36.842 --> 01:26:40.082]  You're not going to rape me, Alan Dershowitz, and neither is Bill Gates.
[01:26:40.082 --> 01:26:42.043]  You're not going to plunge anything into me.
[01:26:43.345 --> 01:26:48.752]  You globalist, diseased, rotten-brained New World Order wannabe elitist.
[01:26:48.752 --> 01:26:50.694]  You're mad at America waking up to the New World Order.
[01:26:50.694 --> 01:26:52.436]  You want to teach us to live under martial law.
[01:26:52.436 --> 01:26:54.539]  You want to bully us into submission.
[01:26:54.539 --> 01:26:57.563]  The world's waking up to you and Bill Gates.
[01:26:57.563 --> 01:27:00.647]  And your system's going down.
[01:27:00.647 --> 01:27:02.169]  Oh, and Jeffrey Epstein didn't kill himself.
[01:27:05.742 --> 01:27:10.344]  We've got incredible video coming up next segment that's at InfoWars.com, just broke.
[01:27:10.344 --> 01:27:15.287]  Video, crowd cheers after police refused to enforce New Jersey lockdown order at gym.
[01:27:15.287 --> 01:27:15.827]  It's begun.
[01:27:15.827 --> 01:27:27.993]  Just like in V for Vendetta, when they order the police to mow down peaceful protesters who were about to go into that government building and remove the dictator, just like Ceausescu in Romania.
[01:27:27.993 --> 01:27:31.575]  And the police stand down.
[01:27:31.575 --> 01:27:33.296]  That's what's really starting to happen, and it's beautiful.
[01:27:37.227 --> 01:27:48.295]  Now, it's not for lack of news that I've been choking out a couple times a week, and I did it second segment of this hour, and it wasn't the crew's fault.
[01:27:48.295 --> 01:27:55.180]  There's so much news and information now, and each piece of news, I have a whole brainstorm that I'm ready to talk about.
[01:27:59.082 --> 01:27:59.922]  I don't know.
[01:28:23.430 --> 01:28:24.590]  I'm gonna take some days off.
[01:28:24.590 --> 01:28:25.650]  In fact, I was gonna take off Wednesday.
[01:28:25.650 --> 01:28:26.791]  I'm taking off tomorrow now.
[01:28:26.791 --> 01:28:28.371]  Already told the crew.
[01:28:28.371 --> 01:28:34.752]  It's because, uh... I gotta go in for a pit stop.
[01:28:34.752 --> 01:28:36.232]  I gotta go lay out in the sun.
[01:28:36.232 --> 01:28:36.893]  I gotta go hike.
[01:28:36.893 --> 01:28:38.213]  I gotta spend time with my children.
[01:28:38.213 --> 01:28:41.073]  And I gotta lock my cell phone up and just not do any work.
[01:28:41.073 --> 01:28:46.854]  In fact, I was gonna come in and work on a Bill Gates film just because you can't drag me away.
[01:28:46.854 --> 01:28:49.275]  I'm not gonna even do that now.
[01:28:49.275 --> 01:28:49.535]  Because...
[01:28:51.654 --> 01:28:54.155]  I just, God, I can't look at these people anymore.
[01:28:54.155 --> 01:28:57.096]  I can't look at Merkel or Hillary or any of them.
[01:28:57.096 --> 01:28:58.657]  They're just damn criminals.
[01:28:58.657 --> 01:29:01.057]  Here's the thing, folks.
[01:29:01.057 --> 01:29:04.919]  I talk about myself because it's the only way I can describe the vision of what I see.
[01:29:04.919 --> 01:29:06.920]  I know you're the same way.
[01:29:06.920 --> 01:29:15.303]  You think I like discovering they're setting up a world government to carry out the orderly extermination and now they're going to have robot sentries to forcibly inoculate us by the year 2030?
[01:29:15.303 --> 01:29:17.503]  This is in UN documents.
[01:29:17.503 --> 01:29:18.884]  I've made films about it to show you.
[01:29:21.206 --> 01:29:25.857]  And then you're like, you tell people on air this stuff, and you show it, and they're like, yeah, but that'll never happen.
[01:29:25.857 --> 01:29:27.300]  I'm like, yeah, I hope you're right.
[01:29:27.300 --> 01:29:28.683]  And it's starting to happen!
[01:29:28.683 --> 01:29:30.126]  This has all been choreographed!
[01:29:39.482 --> 01:29:48.648]  You shouldn't have a crazy person that says he wants to depopulate the earth on every TV channel, saying he's God, and you're all gonna have to take a shot before you go outside.
[01:29:48.648 --> 01:30:00.035]  And then Alan Dershowitz, the supposed lawyer of America, that represented and hang on at the house of this super-creepozoid demon, saying, I'm gonna plunge needles in your arms.
[01:30:00.035 --> 01:30:01.436]  No, you're not!
[01:30:01.436 --> 01:30:06.499]  Those are fighting words, sonny boy!
[01:30:06.499 --> 01:30:07.780]  And you wanted my guns,
[01:30:10.049 --> 01:30:16.113]  In 2003, and you want them now, but you don't have to worry about guns, Dershowitz.
[01:30:16.113 --> 01:30:23.057]  And Bill Gates doesn't have to worry about guns, because I fire projectiles of truth.
[01:30:23.057 --> 01:30:25.519]  And the last thing I want is anything happening to Dershowitz.
[01:30:25.519 --> 01:30:34.644]  It's you, Dershowitz, that's coming with your vaccine, telling me I will submit!
[01:30:34.644 --> 01:30:36.946]  You're assaulting me, asshole!
[01:30:38.490 --> 01:30:40.951]  You goddamn fucking piece of shit!
[01:30:40.951 --> 01:30:43.093]  Alright, see I told you I can't be on air now.
[01:30:43.093 --> 01:30:45.154]  Did you delay that out?
[01:30:45.154 --> 01:30:46.615]  I may have to go off air right now.
[01:30:46.615 --> 01:30:49.656]  YOU'RE TRYING TO ATTACK ME!
[01:30:49.656 --> 01:30:53.839]  YOU THINK I'LL TAKE THAT?
[01:30:53.839 --> 01:30:57.320]  I'm sick of your crap!
[01:30:57.320 --> 01:31:03.084]  I have watched my friends and my family maimed and killed by your damn shots.
[01:31:03.084 --> 01:31:04.364]  But you're smart.
[01:31:04.364 --> 01:31:07.126]  Hitler came with bullets to kill people, so we killed him.
[01:31:08.962 --> 01:31:14.805]  You come with a bunch of medical crap and pink sweaters and white lab coats.
[01:31:14.805 --> 01:31:16.827]  But you can't ever shut your mouths.
[01:31:16.827 --> 01:31:21.269]  You're always talking out of the other side about how there's too many people and how you're going to control the masses.
[01:31:21.269 --> 01:31:25.472]  And now that you can't control us, you need to make us all retarded and have cancer.
[01:31:25.472 --> 01:31:31.015]  So with your hunchbacked, sexy ass, you feel good looking down from your pile of crap on us.
[01:31:31.015 --> 01:31:32.175]  Well, guess what?
[01:31:32.175 --> 01:31:34.076]  You're not dragging us down anywhere.
[01:31:34.076 --> 01:31:34.717]  It's going to be you.
[01:31:42.779 --> 01:31:44.760]  Now you know why I'm talking about not doing the show.
[01:31:44.760 --> 01:31:48.521]  Because I just cannot control myself, and... But you know what?
[01:31:48.521 --> 01:31:51.642]  The time for control is starting to go away, isn't it?
[01:31:51.642 --> 01:32:01.885]  Running your fat mouth, how you're gonna grab me and take my kids to some facility and plunge... You didn't say... And we'll lovingly... I'M GONNA PLUNGE A NEEDLE IN YOUR ASS!
[01:32:01.885 --> 01:32:07.667]  You're gonna submit to me or I'm gonna tie your ass up and get a bullwhip out and bust your back open!
[01:32:07.667 --> 01:32:09.928]  That's the kind of crap these people are talking about!
[01:32:12.230 --> 01:32:21.154]  You catch more flies with honey than you do with vinegar, and with that type of stuff, you're not gonna catch anything except the end of your New World Order.
[01:32:21.154 --> 01:32:25.636]  Jack, that's how you evil people always are.
[01:32:25.636 --> 01:32:34.199]  You always push it and push it and push it and push it, and then you always cry.
[01:32:34.199 --> 01:32:39.461]  When you get the horns.
[01:32:39.461 --> 01:32:40.662]  You just can't help it.
[01:32:43.476 --> 01:32:51.369]  Cause you got a one inch pecker.
[01:32:51.369 --> 01:32:56.598]  See, it's a family show, but I just the veneers.
[01:32:56.598 --> 01:32:57.860]  I'm the opposite of an actor folks.
[01:32:59.787 --> 01:33:02.128]  But I'm a nice guy, except when I'm on air.
[01:33:02.128 --> 01:33:24.160]  I'm sitting here, looking at these people, raping the hell out of us, raping our rights, our future, our money, our pensions, our health, our lives, and just demanding more, and always grandstanding at how good they are, how much they love us, and how we need to kiss their asses!
[01:33:24.160 --> 01:33:27.941]  And really, you're just self-destructive, so you're demanding we stop you.
[01:33:27.941 --> 01:33:28.802]  That's the criminology.
[01:33:30.555 --> 01:33:36.897]  Alan Dershowitz wants to inject me with a deadly vaccine that some smiley-faced lunatic... Oh, I forgot!
[01:33:36.897 --> 01:33:39.899]  Alan Dershowitz and Bill Gates hang out at Jeffrey Epstein's house.
[01:33:39.899 --> 01:33:50.202]  It's the same group, and they got some Zorro sex cult... super-breeding clone facility out there... in New Mexico!
[01:33:50.202 --> 01:33:56.725]  And I get you're a bunch of rich, crazy people that think you're God, but I'm just telling you, son, keep your damn hands off me!
[01:33:58.697 --> 01:34:05.759]  Keep your filthy hands off me.
[01:34:05.759 --> 01:34:08.460]  See, we know Alan Dershowitz is blackmailed.
[01:34:08.460 --> 01:34:10.340]  We know Alan Dershowitz isn't his own man.
[01:34:10.340 --> 01:34:13.661]  Alan Dershowitz is a pimp.
[01:34:13.661 --> 01:34:18.903]  Alan Dershowitz is a snot-nosed piece of garbage.
[01:34:18.903 --> 01:34:19.803]  He's a confidence man.
[01:34:30.993 --> 01:34:38.139]  He needs to know that he's not going to put things in our bodies that we don't want there.
