[00:00.000 --> 00:18.600]  son
[54:25.200 --> 54:29.200]  If you're that person that's offended by hearing the word woman,
[54:29.200 --> 54:32.200]  I don't know where to even begin with you.
[54:32.200 --> 54:34.200]  Well, I remember seeing this five years ago,
[54:34.200 --> 54:36.200]  and now it's taught in schools everywhere.
[54:36.200 --> 54:38.200]  They put it on the entrance forms.
[54:38.200 --> 54:41.200]  Do not say you're a mother or father on the entrance exam
[54:41.200 --> 54:43.200]  because someone might not have a mother and father.
[54:43.200 --> 54:45.200]  And so that's misgendering.
[54:45.200 --> 54:48.200]  So if you send someone an image saying we're looking for strong women,
[54:48.200 --> 54:50.200]  let's put that back on screen.
[54:50.200 --> 54:52.200]  This is banned by Facebook.
[54:52.200 --> 54:54.200]  Facebook stands by it.
[54:54.200 --> 54:58.200]  The Women for Trump Coalition needs the support of strong women
[54:58.200 --> 55:01.200]  like you, add your name.
[55:01.200 --> 55:04.200]  So if women want to give their email to Trump,
[55:04.200 --> 55:06.200]  and then this women's coalition,
[55:06.200 --> 55:09.200]  and he's got this big agenda to put women in executive positions,
[55:09.200 --> 55:12.200]  if you want to be part of that, this is hateful,
[55:12.200 --> 55:14.200]  and that's not kosher either.
[55:14.200 --> 55:17.200]  I mean, if Trump doesn't act now, will he ever act?
[55:17.200 --> 55:20.200]  He says he's getting ready to, he's got to act now.
[55:20.200 --> 55:23.200]  You know, it would be a shame if someone were to go back
[55:23.200 --> 55:27.200]  and clip out all the times that Democrats said,
[55:27.200 --> 55:30.200]  we need strong women to vote for Hillary Clinton.
[55:30.200 --> 55:33.200]  That would be a total shame, don't you think?
[55:33.200 --> 55:36.200]  I'm imagining someone's going to do that.
[55:36.200 --> 55:38.200]  That might happen. I don't know. We'll see.
[55:38.200 --> 55:42.200]  You can even have like the place-bond or pong piece
[55:42.200 --> 55:44.200]  where it's like strong woman, strong woman, strong woman,
[55:44.200 --> 55:46.200]  and then meanwhile show this.
[55:46.200 --> 55:49.200]  Now the truth is anything effective, real communication
[55:49.200 --> 55:51.200]  is being jammed with political correctness
[55:51.200 --> 55:53.200]  and it's gone to the next level.
[55:53.200 --> 55:55.200]  Well, tell us more about memeworld.com.
[55:55.200 --> 55:58.200]  How do people become a part of it or how does it work?
[55:58.200 --> 56:02.200]  Well, right now I've just got kind of the core of people
[56:02.200 --> 56:05.200]  that are, you know, have been friends of mine for a long time,
[56:05.200 --> 56:09.200]  but I'm looking to add as many creators as I can.
[56:09.200 --> 56:13.200]  I'm obviously looking for quality content
[56:13.200 --> 56:16.200]  and people that are going to produce on a regular basis,
[56:16.200 --> 56:20.200]  but really I'm looking for anybody.
[56:20.200 --> 56:22.200]  You could be somebody that's unknown.
[56:22.200 --> 56:24.200]  You could be somebody that's well-known.
[56:24.200 --> 56:26.200]  All you have to do is contact me.
[56:26.200 --> 56:29.200]  You can contact me at CarPayDocdom on Twitter
[56:29.200 --> 56:31.200]  or if you'd like to email me,
[56:31.200 --> 56:36.200]  you can email me at CarPayDocdom at memeworld.com.
[56:36.200 --> 56:39.200]  We'll be adding people, like the trailer video said,
[56:39.200 --> 56:44.200]  we'll be adding people weekly, monthly, daily, hourly, secondly.
[56:44.200 --> 56:47.200]  Whenever we get people that have quality content
[56:47.200 --> 56:50.200]  that want to post on the site, then we'll add them on.
[56:50.200 --> 56:53.200]  Right now there is discussion.
[56:53.200 --> 56:56.200]  You can talk in the comments and things like that,
[56:56.200 --> 57:00.200]  but it's not open for just anyone to post.
[57:00.200 --> 57:02.200]  And that's for obvious reasons,
[57:02.200 --> 57:04.200]  because they're going to send in some of Harvey Law Center people
[57:04.200 --> 57:06.200]  posing as that same Hal Hitler.
[57:06.200 --> 57:11.200]  Yeah, I'm going to try to avoid having just random trolls
[57:11.200 --> 57:15.200]  posting Hitler and, you know, Nazi salutes and all that kind of stuff.
[57:15.200 --> 57:17.200]  You know what, they don't have any for a guy, you know,
[57:17.200 --> 57:20.200]  go in there and say something before he goes and shoots up a school.
[57:20.200 --> 57:22.200]  I mean, we know all their tricks.
[57:22.200 --> 57:24.200]  And that would be the first thing that they would do,
[57:24.200 --> 57:28.200]  would be try to make it look like I'm trying to promote that stuff,
[57:28.200 --> 57:30.200]  which I obviously am not.
[57:30.200 --> 57:33.200]  Well, I'm really excited to do five more minutes with my friend.
[57:33.200 --> 57:37.200]  CarPayDocdom is his handle, secret agent of America.
[57:37.200 --> 57:39.200]  And there's a lot going on, ladies and gentlemen.
[57:39.200 --> 57:43.200]  It's going to be emerging very soon as well.
[57:43.200 --> 57:46.200]  But obviously the eye of Sauron is watching closely.
[57:46.200 --> 57:53.200]  It's just heavy, heavy, heavy.
[57:53.200 --> 57:57.200]  Make no mistake, it's, we're not in Kansas anymore.
[57:57.200 --> 57:59.200]  We're not in Kansas anymore.
[58:02.200 --> 58:04.200]  If you have a corrupt media, you don't have a democracy.
[58:06.200 --> 58:09.200]  I don't think we've seen division like this in America since Vietnam,
[58:09.200 --> 58:11.200]  because it's a form of fascism.
[58:11.200 --> 58:15.200]  The High Court will examine free speech rights and social media.
[58:15.200 --> 58:19.200]  Multiple online platforms have now taken down content
[58:19.200 --> 58:22.200]  associated with Alex Jones and Info Wars.
[58:26.200 --> 58:28.200]  First they come around with Jones.
[58:28.200 --> 58:30.200]  Everyone else like Carlos would fall.
[58:30.200 --> 58:40.200]  We're not in Kansas anymore.
[59:01.200 --> 59:05.200]  We're fighting them hard in cyberspace.
[59:05.200 --> 59:08.200]  We're fighting them hard right here in the third dimension.
[59:08.200 --> 59:11.200]  But one of the biggest places that we neglect to forget
[59:11.200 --> 59:14.200]  that we've really got a lot of control in our lives is our bodies.
[59:14.200 --> 59:16.200]  If I wasn't taking the highest quality supplements
[59:16.200 --> 59:19.200]  from FORESLIFE.COM, I couldn't do it.
[59:19.200 --> 59:23.200]  That's why we decided to take our original secret 12
[59:23.200 --> 59:24.200]  that was incredibly high quality,
[59:24.200 --> 59:25.200]  whether it was a bottle man,
[59:25.200 --> 59:29.200]  and double the strength of it in a new formula, Ultra 12.
[59:29.200 --> 59:32.200]  Ultra 12 is undoubtedly the strongest,
[59:32.200 --> 59:34.200]  highest quality B12 over the counter
[59:34.200 --> 59:35.200]  that you're going to find anywhere.
[59:35.200 --> 59:36.200]  It is amazing.
[59:36.200 --> 59:39.200]  Experience pure, medical bottom and B12 for yourself
[59:39.200 --> 59:41.200]  and fund the Second American Evolution
[59:41.200 --> 59:46.200]  against the tyrants at InfoWarsStore.com, InfoWarsLIFE.com,
[59:46.200 --> 1:00:00.200]  or AAA-253-3139.
[1:00:17.200 --> 1:00:21.200]  You know, I never studied psychology in depth.
[1:00:21.200 --> 1:00:23.200]  When I was first starting my broadcast off,
[1:00:23.200 --> 1:00:25.200]  I just innately loved Americana.
[1:00:25.200 --> 1:00:26.200]  I was born and bred in it.
[1:00:26.200 --> 1:00:30.200]  And going to college and stuff, I saw how anti-American it was.
[1:00:30.200 --> 1:00:33.200]  Now, anti-white it was, trying to create race war
[1:00:33.200 --> 1:00:35.200]  that I had to get politically involved.
[1:00:35.200 --> 1:00:37.200]  But I've got all these hundreds of news stories,
[1:00:37.200 --> 1:00:39.200]  literally hundreds of news stories, incredible guests.
[1:00:39.200 --> 1:00:42.200]  But I can't get over the Republican National Committee
[1:00:42.200 --> 1:00:47.200]  on ads saying, we're forming a coalition of strong women.
[1:00:47.200 --> 1:00:50.200]  And Trump's actually creating conduits into corporations
[1:00:50.200 --> 1:00:52.200]  to put women in charge of major things,
[1:00:52.200 --> 1:00:55.200]  except the Democrats talk about, but don't ever do.
[1:00:55.200 --> 1:00:58.200]  And the Democrats say, you're not allowed to put that out.
[1:00:58.200 --> 1:01:00.200]  It misgendered.
[1:01:00.200 --> 1:01:03.200]  Someone might have seen the word woman who wasn't a woman.
[1:01:03.200 --> 1:01:06.200]  And that's like an in-word.
[1:01:06.200 --> 1:01:07.200]  That's beyond 1984.
[1:01:07.200 --> 1:01:08.200]  That's beyond anything I've ever heard of.
[1:01:08.200 --> 1:01:10.200]  So I've got 1,000 topics there to cover.
[1:01:10.200 --> 1:01:13.200]  But this, next they're going to say, the color pink,
[1:01:13.200 --> 1:01:15.200]  that belongs to Democrats.
[1:01:15.200 --> 1:01:19.200]  So you just said at Carpe Donkton, they've got to lose.
[1:01:19.200 --> 1:01:21.200]  They've got to be stood up to.
[1:01:21.200 --> 1:01:24.200]  Because these people really are the closest thing
[1:01:24.200 --> 1:01:26.200]  to Mao Zedong or Hitler I've ever seen.
[1:01:26.200 --> 1:01:29.200]  I mean, this is next level, but Facebook and Twitter
[1:01:29.200 --> 1:01:31.200]  and all them are doing.
[1:01:31.200 --> 1:01:35.200]  And I know Trump's letting them go on for a long time
[1:01:35.200 --> 1:01:38.200]  so that when we finally drop the hammer on them,
[1:01:38.200 --> 1:01:40.200]  it's very obvious to everybody.
[1:01:40.200 --> 1:01:41.200]  But I don't think we can wait that long.
[1:01:41.200 --> 1:01:44.200]  And I think a lot of folks are scared of big tech
[1:01:44.200 --> 1:01:45.200]  and are rolling over to it.
[1:01:45.200 --> 1:01:47.200]  I mean, I think this is one of Trump's biggest failures.
[1:01:47.200 --> 1:01:49.200]  And I'll go further than that.
[1:01:49.200 --> 1:01:51.200]  He did come out and say, OK, we're not
[1:01:51.200 --> 1:01:53.200]  going to do the expanded background checks now.
[1:01:53.200 --> 1:01:54.200]  I was wrong.
[1:01:54.200 --> 1:01:55.200]  Wouldn't have helped anybody.
[1:01:55.200 --> 1:01:56.200]  Well, he was playing politics there.
[1:01:56.200 --> 1:01:58.200]  I know the inside baseball.
[1:01:58.200 --> 1:02:00.200]  I've talked to people that have been in the meetings with him
[1:02:00.200 --> 1:02:01.200]  where he tells them, don't worry.
[1:02:01.200 --> 1:02:02.200]  I'm going to do it at first.
[1:02:02.200 --> 1:02:04.200]  That'll take the heat off.
[1:02:04.200 --> 1:02:07.200]  And then we'll do nothing because we know it won't work.
[1:02:07.200 --> 1:02:08.200]  And he did it again.
[1:02:08.200 --> 1:02:09.200]  And I told people.
[1:02:09.200 --> 1:02:11.200]  People thought, Alex, you're letting him get the guns.
[1:02:11.200 --> 1:02:12.200]  And I said, no.
[1:02:12.200 --> 1:02:14.200]  No, he's playing them.
[1:02:14.200 --> 1:02:17.200]  But still, it's a dangerous game.
[1:02:17.200 --> 1:02:18.200]  It is.
[1:02:18.200 --> 1:02:25.200]  And I really think that as much as I support him
[1:02:25.200 --> 1:02:29.200]  and as much as I like to make videos about him,
[1:02:29.200 --> 1:02:32.200]  I do think that it's very important for him
[1:02:32.200 --> 1:02:36.200]  to get on this issue and make a very strong stand on it
[1:02:36.200 --> 1:02:41.200]  because I don't think that he is going to be able to do what he needs
[1:02:41.200 --> 1:02:48.200]  to do for 2020 if everyone's hands are tied behind their backs,
[1:02:48.200 --> 1:02:50.200]  all of the people that are trying to support him.
[1:02:50.200 --> 1:02:55.200]  Obviously, you know just how many people have been already removed
[1:02:55.200 --> 1:02:57.200]  from the platform, yourself included.
[1:02:57.200 --> 1:03:04.200]  And they're only going to continue to add to that list
[1:03:04.200 --> 1:03:08.200]  meme creators and more personalities.
[1:03:08.200 --> 1:03:13.200]  The large social media followings of these people
[1:03:13.200 --> 1:03:15.200]  are already being cut down.
[1:03:15.200 --> 1:03:18.200]  Something that doesn't get talked about enough, I think,
[1:03:18.200 --> 1:03:23.200]  is all of the mid-level accounts that get scrubbed,
[1:03:23.200 --> 1:03:27.200]  the 5,000 to 20,000 follower accounts
[1:03:27.200 --> 1:03:30.200]  that just disappear on a daily basis.
[1:03:30.200 --> 1:03:33.200]  Those are the ones that actually spread the message.
[1:03:33.200 --> 1:03:36.200]  These very large creators and they spread messages,
[1:03:36.200 --> 1:03:41.200]  but it's all built off the backs of these mid-level accounts
[1:03:41.200 --> 1:03:46.200]  that are so frequently retweeting and reading the content
[1:03:46.200 --> 1:03:47.200]  of these big guys.
[1:03:47.200 --> 1:03:52.200]  And that is how they are really destroying the message
[1:03:52.200 --> 1:03:55.200]  is to attack the people that are actually the message carriers.
[1:03:55.200 --> 1:03:56.200]  That's right.
[1:03:56.200 --> 1:03:57.200]  And let's go further.
[1:03:57.200 --> 1:03:59.200]  We take the great things Trump says and the great things that happen
[1:03:59.200 --> 1:04:03.200]  and we take the Democrats lying and cheating and flip-flopping
[1:04:03.200 --> 1:04:06.200]  and we put it together to show people in a very compelling way.
[1:04:06.200 --> 1:04:07.200]  And they can't beat us.
[1:04:07.200 --> 1:04:08.200]  The big corporate guys can't beat us.
[1:04:08.200 --> 1:04:10.200]  They're getting paid $10 million for an ad.
[1:04:10.200 --> 1:04:13.200]  You're just putting it together while you take care of your baby
[1:04:13.200 --> 1:04:14.200]  and your wife should work.
[1:04:14.200 --> 1:04:16.200]  And they don't know how to counter that,
[1:04:16.200 --> 1:04:19.200]  so they just don't want to put your race car on the racetrack
[1:04:19.200 --> 1:04:20.200]  because you keep beating them.
[1:04:20.200 --> 1:04:24.200]  And Trump's like, well, I can still blast through all this.
[1:04:24.200 --> 1:04:26.200]  No, there are bullying Trump supporters everywhere.
[1:04:26.200 --> 1:04:29.200]  People need to go out and see the memes and meet other people online
[1:04:29.200 --> 1:04:31.200]  and know that we're not alone,
[1:04:31.200 --> 1:04:34.200]  that we're giving aid and comfort to Trump supporters.
[1:04:34.200 --> 1:04:36.200]  The globalists see that as treason.
[1:04:36.200 --> 1:04:39.200]  I want to come back and do five more minutes with you after this quick break
[1:04:39.200 --> 1:04:40.200]  with Carpe Donkton.
[1:04:40.200 --> 1:04:44.200]  He just launched memeworld.com, I guess the last week or so.
[1:04:44.200 --> 1:04:47.200]  It's already banned on Facebook, but you can share it.
[1:04:47.200 --> 1:04:50.200]  For now, I guess on Instant Messenger, be a word of mouth.
[1:04:50.200 --> 1:04:56.200]  Memworld.com, Memworld.com, Memworld.com.
[1:05:20.200 --> 1:05:22.200]  The Iodine deficiency remains a serious problem,
[1:05:22.200 --> 1:05:26.200]  with the World Health Organization estimating that nearly 50 million people
[1:05:26.200 --> 1:05:31.200]  still suffer from some kind of mental impairment related to Iodine deficiency.
[1:05:31.200 --> 1:05:35.200]  That's why it's so important that you try Survival Shield X2,
[1:05:35.200 --> 1:05:41.200]  the only source of 99.999% ultra-pure, deeper Iodine crystals,
[1:05:41.200 --> 1:05:46.200]  exclusively available through Infowars Life at an extremely affordable price.
[1:05:46.200 --> 1:05:51.200]  Discover the shocking facts behind nascent Iodine and secure your bottle today
[1:05:51.200 --> 1:06:18.200]  while supplies last at InfowarsStore.com.
[1:06:18.200 --> 1:06:23.200]  Monday through Friday from 11 a.m. to 3 p.m. I'm here live.
[1:06:23.200 --> 1:06:26.200]  I know it shows your host, but don't forget, David Knight.
[1:06:26.200 --> 1:06:30.200]  The David Knight show is hard-hitting, focused, incredibly researched,
[1:06:30.200 --> 1:06:34.200]  cerebral, but also very fast-moving, 8 a.m. to 11 a.m.
[1:06:34.200 --> 1:06:41.200]  Then, Owen Schreuer and the War Room is fast-paced, hard-hitting, pure Americana.
[1:06:41.200 --> 1:06:51.200]  And I will announce in the next five or six days two new shows launching that we'll be carrying.
[1:06:51.200 --> 1:06:54.200]  So get ready for that and so much more.
[1:06:54.200 --> 1:06:59.200]  Now, I've got Carpe Doctor here with me, one of the top meme makers in the world,
[1:06:59.200 --> 1:07:02.200]  just met with the president extensively on a lot of important things.
[1:07:02.200 --> 1:07:06.200]  We have Mitch McConnell with people at his house saying,
[1:07:06.200 --> 1:07:11.200]  we're going to stab you, we're going to kill you. He puts out on his official campaign site,
[1:07:11.200 --> 1:07:15.200]  this is wrong and the Democrats would decry this.
[1:07:15.200 --> 1:07:21.200]  Facebook and Twitter leave it up and freeze his accounts and stand by it.
[1:07:21.200 --> 1:07:23.200]  Stand by it.
[1:07:23.200 --> 1:07:26.200]  Now, again, I've got hundreds of articles here, but I'm going to go back to this
[1:07:26.200 --> 1:07:31.200]  and I'm going to ask listeners and viewers, how angry does it make you
[1:07:31.200 --> 1:07:37.200]  that the Republican National Committee put out an ad saying,
[1:07:37.200 --> 1:07:48.200]  the woman for Trump coalition needs the support of strong women like you, add your name.
[1:07:48.200 --> 1:07:53.200]  And all it is is a bunch of happy women cheering.
[1:07:53.200 --> 1:07:59.200]  And they said, you have misgendered, you are not allowed to do that.
[1:07:59.200 --> 1:08:06.200]  This is on infowars.com, Facebook bans Trump ad for assuming gender identity.
[1:08:06.200 --> 1:08:12.200]  Even though it turns out the ad actually targeted women, but that doesn't matter.
[1:08:12.200 --> 1:08:16.200]  It targeted female accounts, the ad was bought fair and square,
[1:08:16.200 --> 1:08:20.200]  but just saying that, oh, you're a woman, well, California passed a law
[1:08:20.200 --> 1:08:24.200]  that if you misgender somebody, you can go to jail.
[1:08:24.200 --> 1:08:30.200]  Or what is it, two weeks, $1,000 fine, but let's pull back here.
[1:08:30.200 --> 1:08:32.200]  Let's pull back here.
[1:08:32.200 --> 1:08:33.200]  You think, oh, okay, that's cute.
[1:08:33.200 --> 1:08:36.200]  Let's just play along with some guy with an axe, comes in and attacks people.
[1:08:36.200 --> 1:08:38.200]  Other people get life in prison.
[1:08:38.200 --> 1:08:42.200]  He gets six years because somebody might have misgenerated him.
[1:08:42.200 --> 1:08:44.200]  Think about how they're attacking the alphabet.
[1:08:44.200 --> 1:08:50.200]  They're attacking language saying, oh, you can't hit a list of women on Facebook
[1:08:50.200 --> 1:08:53.200]  because maybe somebody's going to be offended that they saw an ad for a woman.
[1:08:53.200 --> 1:08:59.200]  That's like opening the newspaper and you see an ad for women's bras.
[1:08:59.200 --> 1:09:04.200]  You know, when I was like six years old, I was like, I don't know what it is, but I like it.
[1:09:04.200 --> 1:09:06.200]  There were the national geographics.
[1:09:06.200 --> 1:09:09.200]  The point is, oh my gosh, I'm offended.
[1:09:09.200 --> 1:09:17.200]  I saw a woman's ad for, say, women's tennis shoes, but that's how mentally ill the left is.
[1:09:17.200 --> 1:09:18.200]  But it's by design.
[1:09:18.200 --> 1:09:22.200]  They're projecting this on everybody where anything they want,
[1:09:22.200 --> 1:09:28.200]  they can then see the racism of the sexism and then they can selectively take it down.
[1:09:28.200 --> 1:09:32.200]  If Hillary wants to make black jokes and say blacks all look alike,
[1:09:32.200 --> 1:09:34.200]  everybody giggles because she's anointed.
[1:09:34.200 --> 1:09:38.200]  If you do, you lose your job, which I don't think blacks all look alike.
[1:09:38.200 --> 1:09:40.200]  The point is, it doesn't matter.
[1:09:40.200 --> 1:09:42.200]  Some black guys look alike, some white guys look alike.
[1:09:42.200 --> 1:09:44.200]  It doesn't matter.
[1:09:44.200 --> 1:09:50.200]  The point is, is that this is projecting all of this to sabotage culture
[1:09:50.200 --> 1:09:52.200]  and they want full control of culture.
[1:09:52.200 --> 1:09:58.200]  And so Carpe Duncan has reached conservatively with just one of his videos, 100 billion people.
[1:09:58.200 --> 1:10:02.200]  He's probably reached a billion people, a lot of them over and over again,
[1:10:02.200 --> 1:10:04.200]  but a billion or more.
[1:10:04.200 --> 1:10:10.200]  I mean, I know when they banned us on YouTube, on our own five channels, we had five billion views.
[1:10:10.200 --> 1:10:13.200]  So that's five billion times people watched our information.
[1:10:13.200 --> 1:10:16.200]  And it's up there in the data banks, even though we've been purged up as platforms.
[1:10:16.200 --> 1:10:22.200]  The magnitude now of in 1999, you'd never imagine this,
[1:10:22.200 --> 1:10:24.200]  even in a science fiction book about a dystopia, you'd say,
[1:10:24.200 --> 1:10:29.200]  oh, they'll never have a dystopia where you can't send out an email or a text message
[1:10:29.200 --> 1:10:31.200]  or something saying strong women.
[1:10:31.200 --> 1:10:33.200]  Because someone might have seen it.
[1:10:33.200 --> 1:10:34.200]  Someone might have been hurt.
[1:10:34.200 --> 1:10:35.200]  This is such next level.
[1:10:35.200 --> 1:10:39.200]  And we're just here taking it like it's, oh, that's just the next level.
[1:10:39.200 --> 1:10:40.200]  And that's how tyranny works.
[1:10:40.200 --> 1:10:46.200]  They incrementally get you to take more and more and more of the poison
[1:10:46.200 --> 1:10:49.200]  until you just finally have just succumbed to the insanity.
[1:10:49.200 --> 1:10:51.200]  So there's a total method of this madness.
[1:10:51.200 --> 1:10:53.200]  What do you say, Carpe Duncan?
[1:10:53.200 --> 1:11:03.200]  Well, what I was going to say was, isn't it 1984 that says the revolution will be over when the language is perfect?
[1:11:03.200 --> 1:11:07.200]  And isn't that just exactly what the left tries to do?
[1:11:07.200 --> 1:11:16.200]  They try to police language and make the wrong thing go away so that they can create the society where no one is offended.
[1:11:16.200 --> 1:11:23.200]  And when they do that, they also remove all meaning from everything.
[1:11:23.200 --> 1:11:30.200]  That being said, I do have, before we run out of time, I have some homework for you.
[1:11:30.200 --> 1:11:47.200]  If you would like to join in the meme war, I need you to go in front of a green screen for about five minutes and do some spin arounds and do some stuff like that.
[1:11:47.200 --> 1:11:53.200]  And do a bunch of things like that and then send me the video so that I can just easily put that into lots of clips.
[1:11:53.200 --> 1:11:56.200]  Oh, like the famous fidget spinner thing?
[1:11:56.200 --> 1:11:57.200]  Yeah.
[1:11:57.200 --> 1:11:58.200]  Well, just anything.
[1:11:58.200 --> 1:12:02.200]  Just the Alex Jones for like five minutes.
[1:12:02.200 --> 1:12:08.200]  Five minutes of Alex Jones in front of a green screen would be a meme maker's dream.
[1:12:08.200 --> 1:12:10.200]  Listen, you write it up.
[1:12:10.200 --> 1:12:11.200]  You've got my phone number.
[1:12:11.200 --> 1:12:13.200]  Text me my orders, a great one.
[1:12:13.200 --> 1:12:18.200]  And whatever you want, you will have a post-hace.
[1:12:18.200 --> 1:12:20.200]  But let me expand on that.
[1:12:20.200 --> 1:12:22.200]  You're right about it, I tell you for it.
[1:12:22.200 --> 1:12:27.200]  George Arwell was a lead propagandist in the Office of Strategic Plans.
[1:12:27.200 --> 1:12:29.200]  Or Strategic Services.
[1:12:29.200 --> 1:12:32.200]  And he wrote in 1984.
[1:12:32.200 --> 1:12:34.200]  I know he wrote essays before he died.
[1:12:34.200 --> 1:12:36.200]  He died a year after the book was published.
[1:12:36.200 --> 1:12:41.200]  That he was both O'Brien and Winston because he'd done both things.
[1:12:41.200 --> 1:12:42.200]  I mean, incredible guy.
[1:12:42.200 --> 1:12:46.200]  He was an imperial secret police in India tortured, killed people, everything.
[1:12:46.200 --> 1:12:50.200]  He then, you know, fought for the communists against Hitler in the Spanish Civil War.
[1:12:50.200 --> 1:12:53.200]  He was a major propagandist.
[1:12:53.200 --> 1:12:59.200]  And then he learned the communists were just as bad as the fascists and just wanted to dominate people and were just a satanic cult.
[1:12:59.200 --> 1:13:04.200]  So that book is really a confession of where England was going, the end of the family, all this.
[1:13:04.200 --> 1:13:08.200]  And they said they wanted to finally reduce language down to grunts.
[1:13:08.200 --> 1:13:15.200]  So that no one could ever communicate and understand complexities that up and down and down is up and that they were being lied to.
[1:13:15.200 --> 1:13:19.200]  And so yes, so you wonder, why is it like 1984?
[1:13:19.200 --> 1:13:24.200]  Your favorite book is 1984 because for her it's an instruction manual.
[1:13:24.200 --> 1:13:27.200]  Right. Exactly.
[1:13:27.200 --> 1:13:37.200]  And you know what's, what our media and what the left wants to do right now is to remove all context from anything.
[1:13:37.200 --> 1:13:42.200]  There's tons and tons of nuance to everything that someone on the left does.
[1:13:42.200 --> 1:13:47.200]  And there's absolutely no allowance for nuance on the right.
[1:13:47.200 --> 1:13:56.200]  Take you, for example, anything that you say can only be interpreted in a negative way to the most extreme.
[1:13:56.200 --> 1:14:00.200]  And the way that they do that is just they combine words.
[1:14:00.200 --> 1:14:03.200]  They conflate ideas.
[1:14:03.200 --> 1:14:13.200]  They put one group of people into this giant category and then lump all of these evils and wrongs into that category.
[1:14:13.200 --> 1:14:21.200]  So that every time that you speak, no one has to even listen to you because they know what you are.
[1:14:21.200 --> 1:14:25.200]  They've been pre-programmed with stereotypes and knee-jerk reactions.
[1:14:25.200 --> 1:14:27.200]  I told the story earlier, you probably weren't listening.
[1:14:27.200 --> 1:14:37.200]  But one of my great crew members, 17 years here, his sister will not let his mother see the grandchildren because she's a Trump supporter and says whites need to be gotten.
[1:14:37.200 --> 1:14:41.200]  Whites are bad and China is good and going to defeat America.
[1:14:41.200 --> 1:14:45.200]  Liberals now think America's bad, China's good.
[1:14:45.200 --> 1:14:50.200]  That's the only thing that you could describe that is insane.
[1:14:50.200 --> 1:15:02.200]  And you know, I've experienced that myself, maybe not to that extent, but I do have family members that are not very happy with me and haven't been happy with me since 2016.
[1:15:02.200 --> 1:15:06.200]  I'm not sure what happened in 2016, but something happened.
[1:15:06.200 --> 1:15:12.200]  But that's the world that they've created.
[1:15:12.200 --> 1:15:28.200]  And you know, I find it very funny that when you try to call out someone on the left for doing the exact thing that they are against, that they just throw it right back at you and they won't even listen.
[1:15:28.200 --> 1:15:37.200]  Oh, yeah, there's a death logic because they've decided they're the anointed ones, they've decided they're the elite, and they've decided you're bad. And so it's like smiting a Nigerian scam.
[1:15:37.200 --> 1:15:45.200]  Once they get taken for the first amount of money, they stay in the scam like gamblers, thinking, no, it's going to pay off and you tell your family, hey, it's a scam.
[1:15:45.200 --> 1:15:52.200]  They'll hate you after they get scammed three or four times and will never believe that the Nigerian prince ripped them off.
[1:15:52.200 --> 1:15:56.200]  There is no Nigerian prince. Hey, Carpe Duncan, we love you.
[1:15:56.200 --> 1:15:58.200]  Heart disease is on the rise.
[1:15:58.200 --> 1:16:05.200]  Clogged arteries, high blood pressure and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[1:16:05.200 --> 1:16:13.200]  Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong.
[1:16:13.200 --> 1:16:19.200]  Here, how heart and body extract is making a difference in thousands of people's lives across America.
[1:16:19.200 --> 1:16:23.200]  My blood pressure has normalized, my diabetes has totally improved.
[1:16:23.200 --> 1:16:27.200]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[1:16:27.200 --> 1:16:29.200]  I recommend heart and body extract to everyone.
[1:16:29.200 --> 1:16:37.200]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[1:16:37.200 --> 1:16:55.200]  Order your two-month supply today by calling 866-295-5305 or order online hbextract.com.
[1:16:55.200 --> 1:17:01.200]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without all the speculation.
[1:17:01.200 --> 1:17:07.200]  No, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[1:17:07.200 --> 1:17:14.200]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace.
[1:17:14.200 --> 1:17:22.200]  Inspired by entrepreneurs who sold picks and shovels during the gold rush, the money is in the mining equipment used to manufacture dozens of critical digital assets.
[1:17:22.200 --> 1:17:33.200]  On a security IPO or note, blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[1:17:33.200 --> 1:17:41.200]  Don't miss this one, stake your claim today. Call 800-600-3388, that's 800-600-3388.
[1:17:41.200 --> 1:17:48.200]  These valuable lease contracts won't last long. Call now 800-600-3388, 800-600-3388.
[1:17:48.200 --> 1:17:54.200]  Equipment offer poses a financial risk to owners consult with financial professionals before purchasing not an offer to buy or sell a security which requires an operating document.
[1:17:59.200 --> 1:18:08.200]  It's just heavy, heavy, heavy. Make no mistake, it's, we're not in Kansas anymore. We're not in Kansas anymore.
[1:18:11.200 --> 1:18:13.200]  If you have a corrupt media, you don't have a democracy.
[1:18:13.200 --> 1:18:20.200]  I don't think we've seen division like this in America since Vietnam, because it's a form of fascism.
[1:18:20.200 --> 1:18:24.200]  The High Court will examine free speech rights and social media.
[1:18:24.200 --> 1:18:31.200]  Multiple online platforms have now taken down content associated with Alex Jones and Infowars.
