[00:00.000 --> 00:06.560]  It's Wednesday, September 15, 2021.
[44:50.000 --> 44:55.000]  That's how you fight the great reset is by being self-sufficient and not under their control.
[44:55.000 --> 45:21.000]  So get prepared now at infowarstore.com.
[45:26.000 --> 45:34.000]  It supports healthy nerve and brain cells, helps make DNA, help the body produce more energy,
[45:34.000 --> 45:39.000]  help produce healthy blood cells essential for proper nervous system function and so much more.
[45:39.000 --> 45:47.000]  You can take all the energy drinks and they won't do anything if you don't have the basics already in your body like vitamin B12.
[45:47.000 --> 45:52.000]  Whether you're old, whether you're young, whether you're black, whether you're white, whether you live in Japan or the United States,
[45:52.000 --> 45:55.000]  Ultra 12 is the best vitamin B12 you're going to find out there.
[45:55.000 --> 46:24.000]  That's Uber, Upsurmable and it's 50% off right now at infowarslife.com.
[46:25.000 --> 46:30.000]  So if you're old, whether you're young, whether you're black, whether you live in Japan or the United States,
[46:30.000 --> 46:33.000]  Ultra 12 is the best vitamin B12 you're going to find out there.
[46:33.000 --> 47:00.000]  That's Uber, Upsurmable and it's 50% off right now at infowarslife.
[47:03.000 --> 47:11.000]  You're listening to the Alex Jones show.
[47:11.000 --> 47:40.000]  You got to serve somebody.
[47:40.000 --> 47:51.000]  And we know the globalists serve the commander of this world as Bob Dylan said he sold a soul to Satan for power.
[47:51.000 --> 47:55.000]  Bob Dylan is deadly serious about that.
[47:55.000 --> 47:57.000]  At least he's honest about it.
[47:57.000 --> 48:00.000]  He tried to go to Christ but the devil was just too strong he says.
[48:00.000 --> 48:06.000]  Oh, but there is no devil in the atheist say, most atheists are Satanists in my experience.
[48:06.000 --> 48:12.000]  Now, well, they're just fools that had parents that were too religious and abused them so they hate God.
[48:12.000 --> 48:16.000]  But there is a good force in the universe.
[48:16.000 --> 48:17.000]  There is a bad force.
[48:17.000 --> 48:22.000]  The good force made the universe the bad force is our free will.
[48:22.000 --> 48:26.000]  When we choose bad it manifests that it exists in so many permutations.
[48:26.000 --> 48:27.000]  It is a spirit.
[48:27.000 --> 48:28.000]  It is an entity.
[48:28.000 --> 48:30.000]  It is a particular creature.
[48:30.000 --> 48:33.000]  But we've got a little bit of it in all of us.
[48:33.000 --> 48:36.000]  Don't we? When we get into it, we make it stronger.
[48:36.000 --> 48:39.000]  All right, I'm starting to settle down a little bit.
[48:39.000 --> 48:43.000]  This really thing.
[48:43.000 --> 48:46.000]  And then killing everybody with these poison shots.
[48:46.000 --> 48:48.000]  I know you're all going through this too.
[48:48.000 --> 48:56.000]  I looked at photos of the gentleman we had on the broadcast last week and over the weekend.
[48:56.000 --> 49:00.000]  Ernest Ramirez, his son Ernest Ramirez Jr. Ernesto Jr.
[49:00.000 --> 49:03.000]  was in good shape, played basketball.
[49:03.000 --> 49:07.000]  He had a giant heart attack and died with no congenital problems.
[49:07.000 --> 49:11.000]  He just died from the Pfizer, excuse me, from the Moderna shot.
[49:11.000 --> 49:21.000]  He's been censored off GoFundMe, cancels grieving father's fundraiser for son after he raised $10,000 to buy ads on the internet and things
[49:21.000 --> 49:26.000]  and warn people about the shots and promote boost posts about his son so he could warn others.
[49:26.000 --> 49:30.000]  It makes him feel better, understand it does, and it helps people.
[49:30.000 --> 49:33.000]  Well, they said you can't do that. You can't criticize anybody.
[49:33.000 --> 49:35.000]  We're going to kill you. We're going to kill your family.
[49:35.000 --> 49:37.000]  That's the way it is.
[49:37.000 --> 49:41.000]  You can boost his videos. They're at Bandot video, but the enemy rocks around the clock.
[49:41.000 --> 49:45.000]  And I meant to tell the crew this, but will you guys go to Ernesto's Twitter please?
[49:45.000 --> 49:47.000]  He just started.
[49:47.000 --> 49:49.000]  Had like five followers last week.
[49:49.000 --> 49:50.000]  It's got thousands now.
[49:50.000 --> 49:52.000]  Thanks to the listeners going there and supporting him.
[49:52.000 --> 49:57.000]  He'll probably get banned off there, but at least his son won't go without a fight.
[49:57.000 --> 49:58.000]  Yeah, scroll down.
[49:58.000 --> 50:04.000]  It's a picture of his son in the casket with daddy saying goodbye.
[50:04.000 --> 50:12.000]  I couldn't imagine my 18 year old son or my 17 year old daughter or my 13 year old daughter or my four year old daughter saying bye to them and then closing the coffin.
[50:12.000 --> 50:15.000]  I've been there with grandparents and uncles and stuff.
[50:15.000 --> 50:19.000]  And it's incredibly hard to do.
[50:19.000 --> 50:22.000]  It's on the Twitter page here. I'll show it to you.
[50:22.000 --> 50:28.000]  And so, you know, that's the type of thing that goes on in this society.
[50:28.000 --> 50:29.000]  Yeah, there it is.
[50:29.000 --> 50:32.000]  So let's blow that picture up for TV viewers.
[50:32.000 --> 50:34.000]  Let's show the dead son.
[50:34.000 --> 50:35.000]  That's a human being.
[50:35.000 --> 50:44.000]  That's a real person that was 16 and a single family dad that he'd raised as his little boy.
[50:44.000 --> 50:50.000]  A big nice family, almost all of veterans, and now he's in the ground here in Austin.
[50:50.000 --> 50:51.000]  That's where he's going to stay.
[50:51.000 --> 50:54.000]  He doesn't get to grow up and get a wife and have children.
[50:54.000 --> 50:56.000]  He doesn't get to join the army like his daddy.
[50:56.000 --> 50:58.000]  He doesn't get to climb mountains.
[50:58.000 --> 51:00.000]  He doesn't get to swim in the ocean.
[51:00.000 --> 51:13.000]  He doesn't get to see sunsets anymore because he got murdered by Bill Gates and Fauci who are aided by all the lawyers, all the politicians and all the general millies of the world and all the slime.
[51:13.000 --> 51:18.000]  I think they're better than us and think there's too many of us and say they're saving the earth by killing us.
[51:18.000 --> 51:22.000]  Well, I say then you should take yourselves out first.
[51:22.000 --> 51:25.000]  You monsters, you killers.
[51:25.000 --> 51:33.000]  So let's just leave Ernest Jr. up there with Ernest Sr. for people to look at of their TV viewers.
[51:33.000 --> 51:38.000]  Just go look at the dead, murdered young man.
[51:38.000 --> 51:40.000]  Look at him.
[51:40.000 --> 51:42.000]  Look at him.
[51:42.000 --> 51:47.000]  Instead, you go to Ernest's Twitter and there's leftist attacking on your son.
[51:47.000 --> 51:48.000]  It's safe and effective.
[51:48.000 --> 51:51.000]  How dare you try to get attention?
[51:51.000 --> 51:59.000]  Some of them even have names like I'm with Pfizer and you go find out they work for drug companies.
[51:59.000 --> 52:02.000]  A lot of them are bots.
[52:02.000 --> 52:05.000]  These are the people that give you the fake news about Ivermectin killing you.
[52:05.000 --> 52:08.000]  They're the ones that get the fake news to get it banned in Australia.
[52:08.000 --> 52:11.000]  Australia, by the way, can't stand India.
[52:11.000 --> 52:16.000]  India now has entire cities completely free of any COVID with Ivermectin.
[52:16.000 --> 52:18.000]  They declared whole states free of it.
[52:18.000 --> 52:20.000]  The government issues it.
[52:20.000 --> 52:28.000]  They're talking about indicting the head health minister who tried to block it for crimes against humanity.
[52:28.000 --> 52:31.000]  But Ernest was told you got to go get it.
[52:31.000 --> 52:34.000]  Ernest Jr. was like, yeah, I don't want to stay locked in the house.
[52:34.000 --> 52:36.000]  They followed the directives of the system.
[52:36.000 --> 52:38.000]  Like his daddy said, I used to trust the government.
[52:38.000 --> 52:39.000]  Now I don't.
[52:39.000 --> 52:41.000]  I love my country, but I hate my government.
[52:41.000 --> 52:45.000]  I don't trust my government.
[52:45.000 --> 52:47.000]  So that's where we are, ladies and gentlemen.
[52:47.000 --> 52:50.000]  Yeah, you put that headline back up.
[52:50.000 --> 52:54.000]  There it is for you.
[52:54.000 --> 52:58.000]  Uttar Pradesh, India announced the state is COVID free.
[52:58.000 --> 53:02.000]  Proving the effectiveness of the deworming drug Ivermectin.
[53:02.000 --> 53:05.000]  So let me let me play this for you.
[53:05.000 --> 53:16.000]  Idaho doctor reports a 20 times increase of cancer at his cancer diagnostic lab that I looked up is the biggest in his region.
[53:16.000 --> 53:17.000]  Not just his city.
[53:17.000 --> 53:27.000]  Those are respected lab diagnostic lab that test blood samples that the test tumors that test the sample Senate.
[53:27.000 --> 53:40.000]  And they're saying, man, we got a 20 fold increase in business, baby, of a particular type of cancers that are tied in the rat studies to other coronavirus vaccines.
[53:40.000 --> 53:44.000]  Because it's these viruses associated with cancer and their spike protein.
[53:44.000 --> 53:47.000]  And now your body's producing at the cellular level.
[53:47.000 --> 53:49.000]  It creates blood clots.
[53:49.000 --> 53:50.000]  It creates cancer.
[53:50.000 --> 53:54.000]  It attacks the testicles, the ovaries, the uterus, and you see it all there.
[53:54.000 --> 53:59.000]  Oh, and I got articles, mainline news going, oh, yeah, a lot more people are getting cancer.
[53:59.000 --> 54:05.000]  That's just a side effect of the shot.
[54:05.000 --> 54:09.000]  So here is the doctor talking about it.
[54:09.000 --> 54:19.000]  We're seeing in the laboratory after people get these shots, we're seeing a very concerning locked in low profile of these important killer T cells that you want in your body.
[54:19.000 --> 54:21.000]  It's almost a reverse HIV.
[54:21.000 --> 54:24.000]  In HIV, you lose your helper T cells, your CD4 cells.
[54:24.000 --> 54:30.000]  In this virus post vaccine, what we're seeing is a drop in your killer T cells, your CD8 cells.
[54:30.000 --> 54:32.000]  And what does CD8 cells do?
[54:32.000 --> 54:34.000]  They keep all other viruses in check.
[54:34.000 --> 54:35.000]  What am I seeing in the laboratory?
[54:35.000 --> 54:38.000]  I'm seeing an uptick of herpes family viruses.
[54:38.000 --> 54:39.000]  I'm seeing herpes.
[54:39.000 --> 54:40.000]  I'm seeing shingles.
[54:40.000 --> 54:41.000]  I'm seeing mono.
[54:41.000 --> 54:48.000]  I'm seeing a huge uptick in human papilloma virus in the cervical biopsies and the cervical pap smears in women.
[54:48.000 --> 54:54.000]  In addition to that, there's a little infectious bump the kids get called maluskin contagiosin.
[54:54.000 --> 54:55.000]  What do you need to keep that in check?
[54:55.000 --> 54:57.000]  You need CD8 killer T cells.
[54:57.000 --> 55:03.000]  I am seeing a 20 times increase in individuals over the age of 50 of this little bump in rash.
[55:03.000 --> 55:10.000]  That's innocuous, but what it tells me is the immune status of these individuals who have gotten the shot.
[55:10.000 --> 55:14.000]  We're literally weakening the immune system of these individuals.
[55:14.000 --> 55:21.000]  Now, most concerning of all is there's a pattern of these types of immune cells in the body that keep cancer in check.
[55:21.000 --> 55:30.000]  Well, since January 1 in the laboratory, I've seen a 20 times increase of endometrial cancers over what I see on an annual basis.
[55:30.000 --> 55:32.000]  A 20 times increase.
[55:32.000 --> 55:36.000]  I'm not exaggerating at all because I look at my numbers year over year.
[55:36.000 --> 55:40.000]  Oh my gosh, I've never seen this many endometrial cancers before.
[55:40.000 --> 55:43.000]  I'm seeing invasive melanomas in younger patients.
[55:43.000 --> 55:45.000]  Normally we catch those early in their thin melanomas.
[55:45.000 --> 55:50.000]  I'm seeing thick melanomas skyrocketing in the last month or two.
[55:50.000 --> 55:58.000]  I'm already seeing the early signals and we are modifying the immune system to a weakened state.
[55:58.000 --> 56:07.000]  Great study out of Germany that looked at these profiles on young individuals after the Pfizer showing this locked in.
[56:07.000 --> 56:12.000]  And we don't know how long maybe the immune system is going to regenerate and those ratios will go back up.
[56:12.000 --> 56:14.000]  But who's studying it?
[56:14.000 --> 56:16.000]  And where are the long-term trials?
[56:16.000 --> 56:19.000]  Two months, four months, how long is this profile locked in?
[56:19.000 --> 56:20.000]  We don't know.
[56:20.000 --> 56:22.000]  Oh, it's safe and effective, but we didn't do the studies.
[56:22.000 --> 56:25.000]  And now they lied and said they did the studies and now admit they didn't.
[56:25.000 --> 56:27.000]  Folks, what was Fauci over?
[56:27.000 --> 56:29.000]  The HIV program blocking drugs that help people.
[56:29.000 --> 56:31.000]  What did HIV do?
[56:31.000 --> 56:33.000]  He killed the T lymphocytes.
[56:33.000 --> 56:35.000]  Those are the white blood cells that train the other white blood cells.
[56:35.000 --> 56:37.000]  The killer T's what to do.
[56:37.000 --> 56:41.000]  Now they've just hit us with something else that turns off the killer T's.
[56:41.000 --> 56:44.000]  And you know, look it, look it.
[56:44.000 --> 56:51.000]  Roger Stone's wife took the Pfizer shot and within a month had cancer in the lymphomas.
[56:51.000 --> 56:53.000]  In the lymph nodes, excuse me.
[56:53.000 --> 56:55.000]  So this is it.
[56:55.000 --> 56:57.000]  And it's what was in the rat studies too.
[56:57.000 --> 57:00.000]  And so here we are.
[57:00.000 --> 57:04.000]  And you see all these executives and rich people dying from the shots too.
[57:04.000 --> 57:07.000]  You know, this is a planetary attack.
[57:07.000 --> 57:09.000]  But look at the countries that are taking it.
[57:09.000 --> 57:12.000]  The United States, Canada, Australia, New Zealand, Europe, the UK.
[57:12.000 --> 57:14.000]  Nobody else in the world is.
[57:14.000 --> 57:15.000]  Isn't it funny?
[57:15.000 --> 57:17.000]  The UN tells us Europe's bad.
[57:17.000 --> 57:18.000]  White people are bad.
[57:18.000 --> 57:19.000]  The West is bad.
[57:19.000 --> 57:23.000]  Anybody that lives here is bad because it's the idea of freedom and jurisprudence
[57:23.000 --> 57:27.000]  and the whole Christian ethos that the system wants to get rid of
[57:27.000 --> 57:29.000]  because it's bringing in globalism.
[57:29.000 --> 57:30.000]  Yeah, Kathy Griffin got her vaccine.
[57:30.000 --> 57:33.000]  Now she's got lung cancer, which is directly associated with.
[57:33.000 --> 57:36.000]  All right, we're going to come back and I'm going to get into the milly thing.
[57:36.000 --> 57:39.000]  Greg reaches an excellent report at Bandot video that's extremely powerful.
[57:39.000 --> 57:41.000]  Going with his treason as well.
[57:41.000 --> 57:44.000]  I suggest you share it if you don't want to roll over and just die to these people.
[57:44.000 --> 57:45.000]  But this is it.
[57:45.000 --> 57:48.000]  This is the depopulation.
[57:48.000 --> 57:56.000]  This message is not for our regular listeners who are informed and understand about the value of essential vitamins and minerals,
[57:56.000 --> 57:59.000]  meaning if you don't have them, you die long term.
[57:59.000 --> 58:00.000]  It's for new listeners.
[58:00.000 --> 58:04.000]  The power structure works around the clock to try to debilitate you and try to make them sickly.
[58:04.000 --> 58:07.000]  Please research because this is life and death.
[58:07.000 --> 58:11.000]  Vitamins that are essential and minerals that are essential.
[58:11.000 --> 58:12.000]  Just type that into a search engine.
[58:12.000 --> 58:16.000]  You will see the top universities, CDC, all of them telling you this,
[58:16.000 --> 58:21.000]  but you won't see this on the nightly news because they don't want you at the big pharma companies
[58:21.000 --> 58:27.000]  to understand how to protect yourself to a great extent from what's going on in the world on a routine basis.
[58:27.000 --> 58:33.000]  We now have back in stock winner's son, the highest quality vitamin D3 with vitamin K
[58:33.000 --> 58:37.000]  for your body's immune system back in stock, sold out for months.
[58:37.000 --> 58:43.000]  It is essential, it is vital, and it is 50% off so you have no excuse but to get it for yourself and your family.
[58:43.000 --> 58:49.000]  Winner's son, back in stock 50% off at infowarstore.com.
[58:49.000 --> 58:55.000]  The purpose of fear is to call us into action, and there is plenty to be afraid of today.
[58:55.000 --> 59:01.000]  Half the population has lined up for an untested, deadly, and debilitating experimental injection
[59:01.000 --> 59:05.000]  because they were told to be afraid of an invisible asymptomatic disease.
[59:05.000 --> 59:10.000]  The perpetrators of all this have clearly stated their goal of having 80% of the population
[59:10.000 --> 59:15.000]  hooked up to an artificial intelligence hive mind in less than nine years.
[59:15.000 --> 59:19.000]  For those of us who have awoken from the spell, we know this is all really happening,
[59:19.000 --> 59:24.000]  and it's unbelievably unsettling to see, but there is only two things to do.
[59:24.000 --> 59:27.000]  We continue sounding the alarm because it's a numbers game.
[59:27.000 --> 59:31.000]  If enough people awaken from the cold spell, then we win.
[59:31.000 --> 59:36.000]  But even when we win, and we eventually will, the days of convenience are soon coming to an end.
[59:36.000 --> 59:40.000]  And so we must prepare, get up to a year's worth of storable foods,
[59:40.000 --> 1:00:01.000]  water filtration, survival gear, seeds, shortwave radios, and lifesaving knowledge at infowarstore.com.
[1:00:11.000 --> 1:00:24.000]  Live from the Infowars.com studios, you're listening to the Alex Jones show.
[1:00:24.000 --> 1:00:27.000]  Alright, some stages don't carry this first five minutes, but a lot of them do,
[1:00:27.000 --> 1:00:32.000]  and a lot of people tune in on the internet, millions, so I'm going to hit the milly stuff starting next segment,
[1:00:32.000 --> 1:00:34.000]  so start your engines.
[1:00:34.000 --> 1:00:42.000]  I want to play a billionaire miner who built himself out of nothing from rags or riches,
[1:00:42.000 --> 1:00:46.000]  but he's a patriot, Clive Holmer.
[1:00:46.000 --> 1:00:50.000]  He's not only a billionaire mining man, he's also a freedom fighter,
[1:00:50.000 --> 1:00:54.000]  and he's warning Australians what this power grab is really all about.
[1:00:54.000 --> 1:01:00.000]  Then I want to play Tucker Carlson, nurses refusing the vaccines because they know,
[1:01:00.000 --> 1:01:04.000]  and then Tucker Carlson on how the DMs were against the mandates.
[1:01:04.000 --> 1:01:07.000]  Then I'll be back with the big General Milley report.
[1:01:07.000 --> 1:01:11.000]  What would you say right now to the people of New South Wales?
[1:01:11.000 --> 1:01:15.000]  16 on 100 cases, 800 cases today, whatever they're up to at the moment.
[1:01:15.000 --> 1:01:19.000]  It's horrible what's going on, and there's people dying in hospital.
[1:01:19.000 --> 1:01:22.000]  Hang on, we've seen people dying in hospital.
[1:01:22.000 --> 1:01:25.000]  They're not dying of fake disease, they're dying of COVID-19.
[1:01:25.000 --> 1:01:28.000]  You're up here today, it's irresponsible.
[1:01:28.000 --> 1:01:30.000]  Well, I don't believe that.
[1:01:30.000 --> 1:01:33.000]  What would you say to those business owners that can't open their business?
[1:01:33.000 --> 1:01:35.000]  I would say it's terrible.
[1:01:35.000 --> 1:01:38.000]  Their Premier is telling them that the only way out is a double jab, and that's what they've been told.
[1:01:38.000 --> 1:01:40.000]  I'd say their Premier is lying to them.
[1:01:40.000 --> 1:01:42.000]  I'd say that she's under an eye-cack inquiry,
[1:01:42.000 --> 1:01:46.000]  but a particular lobbyist in Sydney controls the Liberal Party in Sydney
[1:01:46.000 --> 1:01:50.000]  and has told her that the only way she gets out of that inquiry is if she pushes the double jab,
[1:01:50.000 --> 1:01:53.000]  and his clients are Aska Zenica, and his clients are Pfizer.
[1:01:53.000 --> 1:01:58.000]  That's what I'd say.
[1:01:58.000 --> 1:02:00.000]  If you let me answer your question, I'll answer it.
[1:02:00.000 --> 1:02:02.000]  You're just answering with eye-cack drillers.
[1:02:02.000 --> 1:02:04.000]  No, that's what I'd say.
[1:02:04.000 --> 1:02:06.000]  You asked me.
[1:02:06.000 --> 1:02:08.000]  People that are trying to open their businesses,
[1:02:08.000 --> 1:02:11.000]  people that have been told they have to double jab.
[1:02:11.000 --> 1:02:14.000]  I'm going to be the answer to the question to start with.
[1:02:14.000 --> 1:02:17.000]  That's what I'd tell them, and I'd say that what the Premier's telling them is not true,
[1:02:17.000 --> 1:02:21.000]  and that that policy, they shouldn't be locked down, businesses should be opened,
[1:02:21.000 --> 1:02:25.000]  and the government's using this as an excuse to destroy them.
[1:02:25.000 --> 1:02:27.000]  They know that.
[1:02:27.000 --> 1:02:30.000]  Do you think that the Premier of New South Wales wants to destroy businesses?
[1:02:30.000 --> 1:02:32.000]  I do.
[1:02:32.000 --> 1:02:33.000]  Why would she do that?
[1:02:33.000 --> 1:02:36.000]  Because as I try to explain to you,
[1:02:36.000 --> 1:02:39.000]  that she's being directed by a lobbyist in Sydney
[1:02:39.000 --> 1:02:42.000]  who's being paid by Aska Zenica and by Pfizer,
[1:02:42.000 --> 1:02:45.000]  tens of millions of dollars to get these policies through
[1:02:45.000 --> 1:02:47.000]  to make sure the vaccine is pushed.
[1:02:47.000 --> 1:02:50.000]  That's why. You asked the question, I gave you the answer.
[1:02:50.000 --> 1:02:53.000]  And that's my personal knowledge, and I'm happy to make a statement here
[1:02:53.000 --> 1:02:56.000]  to police or to anyone if they want to know what's going on.
[1:02:56.000 --> 1:02:58.000]  You can't have a statement.
[1:02:58.000 --> 1:03:02.000]  Well, that's all. I'll be doing that, but they'll be named.
[1:03:02.000 --> 1:03:05.000]  But not only that.
[1:03:05.000 --> 1:03:07.000]  Now, I've got another clip of him.
[1:03:07.000 --> 1:03:09.000]  There's so many where he talks about the plan is keep you locked in your homes
[1:03:09.000 --> 1:03:13.000]  for small businesses to bankrupt into the big corporations and consolidate power.
[1:03:13.000 --> 1:03:17.000]  And he is trying to run TV ads or trying to block them.
[1:03:17.000 --> 1:03:19.000]  He's trying to run print ads or not taking them.
[1:03:19.000 --> 1:03:21.000]  So now he's been reaching out to millions of Australians
[1:03:21.000 --> 1:03:23.000]  spending tens of millions of his own money,
[1:03:23.000 --> 1:03:27.000]  sending him messages about what's really behind all this
[1:03:27.000 --> 1:03:31.000]  and sending him to websites so they can learn how they're being taken over.
[1:03:31.000 --> 1:03:35.000]  And the government is moving to block him being able to talk to people.
[1:03:35.000 --> 1:03:39.000]  And you saw how at a press conference when the only men fighting back,
[1:03:39.000 --> 1:03:43.000]  they won't shut up. They won't let him talk when he has a press conference
[1:03:43.000 --> 1:03:46.000]  because they are bought and paid for.
[1:03:46.000 --> 1:03:50.000]  And Pfizer all over the world, as Trump said,
[1:03:50.000 --> 1:03:55.000]  through Gates owns the medical regulators in one state of Australia,
[1:03:55.000 --> 1:04:03.000]  one province, tens of millions of dollars to the medical boards.
[1:04:03.000 --> 1:04:04.000]  That's what they get up there and say,
[1:04:04.000 --> 1:04:06.000]  we're going to keep giving you shots forever.
[1:04:06.000 --> 1:04:10.000]  I mean, the head, the national spokesperson, the woman said yesterday,
[1:04:10.000 --> 1:04:13.000]  she clarified last week, she said, yeah, you're never going to end.
[1:04:13.000 --> 1:04:14.000]  The lockdowns are never going to end.
[1:04:14.000 --> 1:04:17.000]  The police, COVID rapid response deals are permanent
[1:04:17.000 --> 1:04:20.000]  and you're going to take shots whenever we say.
[1:04:20.000 --> 1:04:24.000]  So get that through your heads, folks, and I'm talking to new listeners.
[1:04:24.000 --> 1:04:26.000]  You think you can ply?
[1:04:26.000 --> 1:04:28.000]  Israel's already up to their fourth injection.
[1:04:28.000 --> 1:04:30.000]  Oh, you took the third, how about a fourth?
[1:04:30.000 --> 1:04:33.000]  And they have the highest rate of illness and death in the world.
[1:04:33.000 --> 1:04:37.000]  And I've got Australian TV admitting all this
[1:04:37.000 --> 1:04:38.000]  and I've got so much more.
[1:04:38.000 --> 1:04:43.000]  I've got Israeli TV admitting it as well.
[1:04:43.000 --> 1:04:45.000]  All right, ladies and gentlemen, we're going to come back
[1:04:45.000 --> 1:04:48.000]  and I'm going to just talk about the dire straits we're in.
[1:04:48.000 --> 1:04:53.000]  Because if you think what's happening bad is as bad as it's going to get,
[1:04:53.000 --> 1:04:55.000]  you're thinking wrong.
[1:04:55.000 --> 1:05:00.000]  We'll be right back today with us.
[1:05:00.000 --> 1:05:04.000]  It's only been in the last 60 years that we've had satellites
[1:05:04.000 --> 1:05:08.000]  that can decently measure what's happening in the atmosphere.
[1:05:08.000 --> 1:05:11.000]  But if you look at all the different studies and reports about my NASA
[1:05:11.000 --> 1:05:13.000]  and other governments and other agencies,
[1:05:13.000 --> 1:05:16.000]  they all disagree on what's really happening with the climate.
[1:05:16.000 --> 1:05:21.000]  The only constant, the only great truth is change is the only constant.
[1:05:21.000 --> 1:05:24.000]  So yes, climate change is totally real.
[1:05:24.000 --> 1:05:27.000]  But notice first they called it global freezing back in the 70s and 80s
[1:05:27.000 --> 1:05:29.000]  and then there's going to be global warming
[1:05:29.000 --> 1:05:31.000]  and when that didn't really happen the way they wanted it to.
[1:05:31.000 --> 1:05:33.000]  Okay, now it's just climate change.
[1:05:33.000 --> 1:05:37.000]  But did you know that man-made climate change is a real thing
[1:05:37.000 --> 1:05:40.000]  when it comes to the United Nations and the Department of Energy
[1:05:40.000 --> 1:05:42.000]  and Bill Gates and the UN?
[1:05:42.000 --> 1:05:45.000]  They have weather control trees from 1979.
[1:05:45.000 --> 1:05:49.000]  Bill Gates has been manipulating the weather for a very long time.
[1:05:49.000 --> 1:05:52.000]  In fact, back in 1994, two scientists won a Nobel Prize
[1:05:52.000 --> 1:05:56.000]  for an idea of spraying different particles out of jet engines to control the weather.
[1:05:56.000 --> 1:06:11.000]  So yes, man-made climate change is real.
[1:06:27.000 --> 1:06:30.000]  Welcome my friends, welcome and thank you for joining us.
[1:06:30.000 --> 1:06:37.000]  We start the second hour of this live Wednesday, September 15th, Transmission.
[1:06:37.000 --> 1:06:39.000]  Thank you for joining us.
[1:06:39.000 --> 1:06:41.000]  Well, it isn't about being right.
[1:06:41.000 --> 1:06:45.000]  It isn't about having news and information other people don't have.
[1:06:45.000 --> 1:06:48.000]  It's about getting it out to people
[1:06:48.000 --> 1:06:52.000]  so that the general public has a knowledge of what they're facing
[1:06:52.000 --> 1:06:58.000]  so that we can all make good decisions and stop the world government corporate takeover
[1:06:58.000 --> 1:07:03.000]  and its end game of deindustrialization and depopulation.
[1:07:03.000 --> 1:07:07.000]  So this is a life-and-death situation and as soon as the public of the world,
[1:07:07.000 --> 1:07:11.000]  not just the U.S. figures out, but the more you go along with the UN,
[1:07:11.000 --> 1:07:13.000]  the more you go along with the Fortune 500,
[1:07:13.000 --> 1:07:15.000]  the more you go along with Klaus Schwab,
[1:07:15.000 --> 1:07:19.000]  the more you go along with Hollywood and the Liberals and the Leptas and the Communists
[1:07:19.000 --> 1:07:26.000]  and all of this, the more poor and pathetic and alone and desperate you're going to be
[1:07:26.000 --> 1:07:30.000]  and they think you're so stupid that as this process takes place in the next few years,
[1:07:30.000 --> 1:07:38.000]  we're already deep into it, you won't put two and two together that 15 days to cut the curve,
[1:07:38.000 --> 1:07:45.000]  to flatten the curve becomes, man, this 15 days to flatten the curve really gets rough at 18 months
[1:07:45.000 --> 1:07:50.000]  and now learning it's permanent.
[1:07:50.000 --> 1:07:52.000]  Oh, we're going to get rid of the lockdowns.
[1:07:52.000 --> 1:07:55.000]  Oh, they're going to come back in November, says Boris Johnson.
[1:07:55.000 --> 1:07:57.000]  Same thing in Canada.
[1:07:57.000 --> 1:08:00.000]  What you see around the world is what they're trying to implement here,
[1:08:00.000 --> 1:08:04.000]  but we have more checks and balances, but those are eroding very quickly
[1:08:04.000 --> 1:08:07.000]  and that leads me to General Milley.
[1:08:07.000 --> 1:08:11.000]  If I try to list all the sycophantic anti-American white people are racist,
[1:08:11.000 --> 1:08:16.000]  white rage attacked the capital garbage, it would take all day.
[1:08:16.000 --> 1:08:21.000]  We know how bad Milley is and people say, well, why was he chosen as a chairman?
[1:08:21.000 --> 1:08:27.000]  Because he was the next guy in line out of the military and Trump romanticizes the military
[1:08:27.000 --> 1:08:31.000]  and doesn't understand that's all John Wayne movies and maybe it was true back then,
[1:08:31.000 --> 1:08:35.000]  but nowadays these are globalists that are sent to special think tanks
[1:08:35.000 --> 1:08:39.000]  and special Harvard sub-degrees, they get in like six months,
[1:08:39.000 --> 1:08:44.000]  when they're already kernels to show their globalist and to show they've kissed the ring
[1:08:44.000 --> 1:08:47.000]  and then they're put up to the top.
[1:08:47.000 --> 1:08:52.000]  They don't recruit people to be four star generals because they're war heroes from World War One
[1:08:52.000 --> 1:08:54.000]  and work 18 hours a day and do a great job.
[1:08:54.000 --> 1:08:59.000]  They end up being, you know, the supreme commander, allied commander in World War Two
[1:08:59.000 --> 1:09:03.000]  or they don't end up coming from a central Texas town, never even seen a ship
[1:09:03.000 --> 1:09:08.000]  and then he does good in the Navy so he becomes the head of the US Navy Admiral Nimitz.
[1:09:08.000 --> 1:09:11.000]  That was back then was on merit.
[1:09:11.000 --> 1:09:15.000]  America was about getting away from nobility, getting away from who your daddy was
[1:09:15.000 --> 1:09:17.000]  and really what you stood for.
[1:09:17.000 --> 1:09:24.000]  But with Millie, it's because he is a globalist, anti-gun, anti-American bag of filth.
[1:09:24.000 --> 1:09:27.000]  But let's move on from Millie.
[1:09:27.000 --> 1:09:32.000]  Millie was called and vice versa by Pelosi and by Schumer and all of them.
[1:09:32.000 --> 1:09:35.000]  They now admit they were talking the entire time
[1:09:35.000 --> 1:09:41.000]  and they needed to develop a plan to organize a coup and to go to the Secretary of Defense
[1:09:41.000 --> 1:09:46.000]  and to go to the Joint Chiefs and say, you swear allegiance to Millie,
