[00:00:07.176 --> 00:00:09.377]  It's Monday, November 9th.
[01:00:19.786 --> 01:00:29.608]  In Antrim County, ballots were counted for Democrats that were meant for Republicans, causing a 6,000 vote swing against our candidates.
[01:00:30.771 --> 01:00:38.395]  The county clerk came forward and said tabulating software glitched and caused a miscalculation of the votes.
[01:00:38.395 --> 01:00:46.380]  Since then, we have now discovered that 47 counties use this same software in the same capacity.
[01:00:47.577 --> 01:00:49.779]  And there is also Benford's Law.
[01:00:49.779 --> 01:00:55.963]  It has been used in criminal cases regarding election fraud in the United States at the federal, state, and local levels.
[01:00:55.963 --> 01:01:00.367]  The law detected ballot stuffing in the 2009 Iranian elections.
[01:01:00.367 --> 01:01:10.334]  And the Washington Post reported on the instance of the 2016 Russian election conforming purposefully to Benford's Law in order to hide vote rigging.
[01:01:10.334 --> 01:01:12.296]  I've been active in this since 1958.
[01:01:12.296 --> 01:01:12.696]  That's 62 years.
[01:01:16.112 --> 01:01:21.857]  I am the angriest I have been in that entire six decades.
[01:01:21.857 --> 01:01:37.831]  You have a group of corrupt people who have absolute contempt for the American people, who believe that we are so spineless, so cowardly, so unwilling to stand up for ourselves, that they can steal the presidency.
[01:01:37.831 --> 01:01:42.175]  And we'll wring our hands, bring in a few lawyers, and do nothing.
[01:01:43.035 --> 01:01:47.516]  The videos of incidents of potential fraud... We've got the rest of this powerful report when we come back.
[01:01:47.516 --> 01:01:51.598]  Stay with us.
[01:01:51.598 --> 01:01:52.638]  DNA Force Plus.
[01:01:52.638 --> 01:01:56.899]  If you did one thing for your immune system, it would be get all the essential things.
[01:01:56.899 --> 01:01:59.240]  And that's the clean iodine, X2 or X3.
[01:01:59.240 --> 01:02:00.861]  That's the biotrichoselenium.
[01:02:00.861 --> 01:02:02.381]  That is the vitamin D3.
[01:02:02.381 --> 01:02:04.062]  That is the C. That is the zinc.
[01:02:04.062 --> 01:02:06.502]  There's 13 vitamins and minerals that are essential without them you die.
[01:02:06.502 --> 01:02:07.923]  And studies show you really need the other ones too.
[01:02:08.243 --> 01:02:09.544]  But DNA Force goes beyond that.
[01:02:09.544 --> 01:02:21.116]  It helps get all that in the cells and out the cells with PQQ and CoQ10 of the highest quality sources with other ingredients that clean out the cells that unclog them so all that stuff can get in.
[01:02:21.116 --> 01:02:22.178]  Viruses don't get in.
[01:02:22.178 --> 01:02:23.199]  The good stuff gets in.
[01:02:23.199 --> 01:02:27.243]  As the NIH website says, if you have all the proper things, they can't replicate like they could.
[01:02:27.543 --> 01:02:28.884]  I do this because it's essential.
[01:02:28.884 --> 01:02:29.945]  Like oxygen, like water.
[01:02:29.945 --> 01:02:32.086]  DNA Force sold out for months.
[01:02:32.086 --> 01:02:33.247]  50% off out of the gates.
[01:02:33.247 --> 01:02:34.288]  Triple Patriot Points.
[01:02:34.288 --> 01:02:35.149]  Free shipping.
[01:02:35.149 --> 01:02:36.570]  Infowarsstore.com.
[01:02:36.570 --> 01:02:38.051]  DNA Force Election Special.
[01:02:38.051 --> 01:02:39.012]  That's going to have to end in a week.
[01:02:39.012 --> 01:02:41.874]  We've got a limited supply and it was very hard to get the PQQ this time.
[01:02:41.874 --> 01:02:43.375]  A lot of our stuff can't get anymore.
[01:02:43.375 --> 01:02:45.416]  A lot of our products because the supply chain's broken down.
[01:02:45.416 --> 01:02:46.477]  That's part of the Global's plan.
[01:02:46.477 --> 01:02:47.738]  Infowarsstore.com or 888-253-3139.
[01:02:47.738 --> 01:02:49.259]  I want to thank you all for tuning in.
[01:03:09.514 --> 01:03:21.209]  Very powerful John Bowne report up on InfoWars.com and I've got more big breaking news on their plans to blame President Trump for the whole COVID lockdown and everything else which they are behind coming up.
[01:03:21.209 --> 01:03:24.513]  But let's just go ahead and go to the rest of this important John Bowne report.
[01:03:24.513 --> 01:03:27.757]  I'm Alex Jones, your host.
[01:03:27.757 --> 01:03:28.378]  And do nothing.
[01:03:29.246 --> 01:03:38.213]  The videos of incidents of potential fraud poured in on social media as Silicon Valley did all they could to stop it.
[01:03:38.213 --> 01:03:45.319]  I'm not going to show the name because the boss is here and don't want us to, you know, and I can't take it.
[01:03:45.319 --> 01:03:47.621]  They won't let me.
[01:03:47.621 --> 01:03:52.445]  President Donald Trump.
[01:03:52.445 --> 01:03:54.467]  And not the only one we found in the trash.
[01:03:55.527 --> 01:04:07.791]  Now I am examining this ballot that was received by a Queens Village resident, and with all of the Democrat candidates pre-filled in on the ballot.
[01:04:07.791 --> 01:04:10.131]  A lot of people wanted to know, how did it get pre-filled in?
[01:04:10.131 --> 01:04:11.092]  Was it done by pen?
[01:04:11.092 --> 01:04:11.952]  Was it done by hand?
[01:04:11.952 --> 01:04:20.654]  As I put my hand over every one of the pre-filled in Democrats here on the ballot, I can see it was definitely not done by hand.
[01:04:20.654 --> 01:04:22.335]  It looks like it was done maybe by a stamper.
[01:04:23.565 --> 01:04:26.586]  Or a machine, maybe it was run through a machine.
[01:04:26.586 --> 01:04:30.267]  This is a two page absentee ballot.
[01:04:30.267 --> 01:04:32.627]  Now this is the envelope that it came in.
[01:04:32.627 --> 01:04:34.328]  Also incredibly official looking.
[01:04:34.328 --> 01:04:35.348]  It says it's official.
[01:04:35.348 --> 01:04:37.868]  Official absentee ballot envelope.
[01:04:37.868 --> 01:04:40.109]  And it is in several different languages.
[01:04:40.109 --> 01:04:42.429]  And it has a barcode as you can see.
[01:04:42.429 --> 01:04:44.330]  The voter ID number.
[01:04:44.330 --> 01:04:46.350]  Oh my God.
[01:04:46.350 --> 01:04:46.470]  Hi.
[01:04:46.470 --> 01:04:47.431]  So you with the elections?
[01:04:47.431 --> 01:04:48.531]  You're the Bureau of Elections, right?
[01:04:49.674 --> 01:04:51.735]  Well, I mean, I'm just a volunteer.
[01:04:51.735 --> 01:04:55.197]  We're just wondering what, okay, I understand you're a volunteer and you're just doing your job.
[01:04:55.197 --> 01:04:55.717]  What's all these?
[01:04:55.717 --> 01:04:58.038]  Are these mail-in ballots or what's these coming in?
[01:04:58.038 --> 01:04:58.618]  What are these?
[01:04:58.618 --> 01:04:59.278]  Uh-huh.
[01:04:59.278 --> 01:05:00.839]  These are my intake here?
[01:05:00.839 --> 01:05:01.299]  What's that?
[01:05:01.299 --> 01:05:02.120]  My intake as well?
[01:05:02.120 --> 01:05:07.402]  Yeah, because we're wondering why are ballots being handled down here and not up there with the elections?
[01:05:07.402 --> 01:05:08.723]  So we're curious about that.
[01:05:08.723 --> 01:05:12.525]  Okay, yeah, the gentleman who's in charge of this I think should be right back down.
[01:05:12.525 --> 01:05:14.025]  What's his name?
[01:05:14.025 --> 01:05:15.326]  Um, gosh, what is his name?
[01:05:18.559 --> 01:05:20.400]  The order's pretty clear.
[01:05:20.400 --> 01:05:22.462]  I've been a lawyer for 30 years.
[01:05:22.462 --> 01:05:24.604]  What can you tell us what's unclear about it?
[01:05:24.604 --> 01:05:27.046]  You're a private lawyer and acting in a government capacity.
[01:05:27.046 --> 01:05:27.326]  Great.
[01:05:27.326 --> 01:05:29.068]  They're evaluating a judge's order?
[01:05:34.232 --> 01:05:36.894]  The order is currently in effect.
[01:05:36.894 --> 01:05:38.876]  I don't understand why eight attorneys
[01:05:53.867 --> 01:05:55.307]  I did it all by myself.
[01:05:55.307 --> 01:06:08.512]  It says that no later than 1030 today, you're to follow the election code and my people, my clients, representatives, are to be within six feet of the province.
[01:06:08.512 --> 01:06:13.454]  We have read the orders and we are complying with the orders and we will discuss it with you in a bit.
[01:06:13.874 --> 01:06:26.039]  While the Stop the Steal Facebook group was removed, one of the fastest growing groups in Facebook's history, representing Americans merely trying to get to the bottom of what they were seeing.
[01:06:26.039 --> 01:06:30.861]  Regardless of the bag of goods the Mockingbird Media wants America to swallow.
[01:06:30.861 --> 01:06:32.481]  We just haven't seen it.
[01:06:32.481 --> 01:06:33.862]  You know, it hasn't been presented.
[01:06:33.862 --> 01:06:36.203]  There's all kinds of stuff flying on the internet.
[01:06:36.203 --> 01:06:38.964]  But when we look into it, it doesn't pan out.
[01:06:39.344 --> 01:06:45.889]  Just a week ago, Washington Post and ABC News put out a poll, and let's make sure that we realize these are major platforms, okay?
[01:06:45.889 --> 01:06:48.731]  This is the Washington Post of Watergate fame.
[01:06:48.731 --> 01:06:52.054]  It's also owned by Jeff Bezos, the richest man in the world.
[01:06:52.054 --> 01:06:55.457]  ABC News, top-rated newscast in America.
[01:06:55.457 --> 01:06:58.779]  They put out a poll that said Biden was going to win Wisconsin by 17%.
[01:06:58.779 --> 01:07:03.123]  Now, to get this number correct, we have to move the decimal not once,
[01:07:03.703 --> 01:07:12.310]  We have to move to the decimal twice to get in the vicinity of what's actually going on in Wisconsin because right now the current actual is Joe Biden up by 0.6%.
[01:07:12.310 --> 01:07:17.234]  And I say current because we have not accepted that as final and there will be a recount.
[01:07:17.234 --> 01:07:20.737]  But the more important takeaway here is that this is not just a mistake.
[01:07:21.257 --> 01:07:22.897]  This is disinformation.
[01:07:22.897 --> 01:07:29.519]  This is propaganda meant to suppress the Trump vote, meant to depress Trump supporters in Wisconsin.
[01:07:29.519 --> 01:07:30.599]  This is willful.
[01:07:30.599 --> 01:07:34.320]  This is a decision to try to put their thumbs on the scale.
[01:07:34.320 --> 01:07:50.843]  So we need to be aware of it and you need to be incredibly skeptical during this contentious time in our country of anything that you hear from these legacy media platforms like the Washington Post and ABC and like Fox News and AP trying to get you to believe fake news that Arizona is decided.
[01:07:51.499 --> 01:08:00.609]  There are far too many questions surrounding the nebulous explanation of how the historically fraudulent election process transpired.
[01:08:00.609 --> 01:08:03.412]  Why was voting stopped in five or six states?
[01:08:03.412 --> 01:08:07.236]  I think it was actually five states and six cities for four hours.
[01:08:07.236 --> 01:08:10.360]  You know, why are ballots showing up?
[01:08:10.560 --> 01:08:11.560]  So, mail-in voting.
[01:08:11.560 --> 01:08:12.801]  It has a lot of problems.
[01:08:12.801 --> 01:08:14.201]  You know, some obvious ones.
[01:08:14.201 --> 01:08:16.181]  You send ballots out to everyone.
[01:08:16.181 --> 01:08:18.962]  You never know who actually receives the ballot when they come back.
[01:08:18.962 --> 01:08:21.162]  You could be sending them to people who have died without knowing it.
[01:08:21.162 --> 01:08:24.103]  You could be sending them to people who have moved from the state.
[01:08:24.103 --> 01:08:27.624]  So, that already has a problem, but there should be one advantage, right?
[01:08:27.624 --> 01:08:34.566]  If these things are mailed in, presumably, some of them will come in late, but wouldn't most of them be coming in months or weeks ahead of time?
[01:08:34.566 --> 01:08:40.107]  So, why are we finding big tranches of ballots, hours, and in some cases even
[01:08:40.587 --> 01:08:43.709]  More days after the polls have closed.
[01:08:43.709 --> 01:08:47.252]  Shouldn't mail-in ballots already be there somewhere ready to be counted?
[01:08:47.252 --> 01:08:50.214]  It was at about 4 a.m.
[01:08:50.214 --> 01:08:52.215]  that three vehicles arrived.
[01:08:52.215 --> 01:08:56.138]  A van, a Chrysler 300, and a Ferrari with 130,000 plus ballots.
[01:09:04.275 --> 01:09:08.618]  He said he was astonished as they started counting the ballots.
[01:09:08.618 --> 01:09:20.744]  He was astonished that every single ballot, like literally 100% of that 130,000 ballots, were all Biden ballots.
[01:09:20.744 --> 01:09:24.106]  We wouldn't accept these election results from a banana republic.
[01:09:24.106 --> 01:09:30.930]  How are the American people going to be asked to accept these results when we don't have basic protocols for democracy in place?
[01:09:30.930 --> 01:09:32.331]  I've never seen anything like it.
[01:09:32.671 --> 01:09:37.114]  In Arizona, the media determined the outcome and never walked it back.
[01:09:37.114 --> 01:09:48.022]  If the current trends continue as we have seen, because we follow the science, President Trump is going to overtake Joe Biden and we are going to win Arizona.
[01:09:48.022 --> 01:09:52.144]  Fox News declared Joe Biden the winner but was swiftly corrected.
[01:09:52.144 --> 01:09:57.388]  Regardless, the legacy media propaganda mafia never corrected the election map.
[01:09:57.668 --> 01:10:07.632]  Congresswoman, and I know you've been very vocal and there have been people all over the place have been very vocal about our decision desk and the call that they made on election night.
[01:10:07.632 --> 01:10:17.697]  They stand by that call as of right now and they say that the votes will not, the remaining vote, will not go to the percentage that he needs it to go.
[01:10:18.530 --> 01:10:27.793]  So, here in Arizona, one of the biggest issues that we have right now is the use of a Sharpie pen that was used at the different polling places.
[01:10:27.793 --> 01:10:37.277]  On the Democrats' own website here in Arizona, they actually say, do not use red ink or permanent marker because this may result in a false read by the ballot machines.
[01:10:37.277 --> 01:10:39.017]  So that comes from their own website.
[01:10:39.017 --> 01:10:43.559]  So when we showed up to polling stations, they only gave us Sharpie markers.
[01:10:44.259 --> 01:10:48.582]  I specifically said I don't want to use a sharpie marker, do you have a regular pen?
[01:10:48.582 --> 01:11:06.193]  We interviewed witnesses, like 15 of them that this happened to, and then we got the county clerk in Maricopa County on video, this is on Band-Odd Video, two days ago, three days ago, to admit that you're not supposed to use sharpies, but they're calling a conspiracy theory.
[01:11:06.193 --> 01:11:07.334]  I mean, I went there.
[01:11:08.962 --> 01:11:10.263]  I did the interviews.
[01:11:10.263 --> 01:11:11.124]  We got the footage.
[01:11:11.124 --> 01:11:13.827]  We got the footage from others that interviewed the county clerk.
[01:11:13.827 --> 01:11:15.249]  And she's admitting all of this.
[01:11:15.249 --> 01:11:15.830]  And here's the deal.
[01:11:15.830 --> 01:11:18.713]  I've been airing a lot of tapes today because...
[01:11:21.415 --> 01:11:24.316]  I'm officially choking on air at this point, okay?
[01:11:24.316 --> 01:11:27.156]  And it's not because I can't handle the threat of the globalists.
[01:11:27.156 --> 01:11:27.957]  I love my crew.
[01:11:27.957 --> 01:11:34.578]  It's that we're all stressed out, and we're all over the edge, and a lot of the crew's being more professional than I am.
[01:11:34.578 --> 01:11:37.839]  Some of the crew's being as big of a jerk as I am.
[01:11:37.839 --> 01:11:39.699]  I know exactly their damn game plan.
[01:11:39.699 --> 01:11:41.400]  I know how to beat them.
[01:11:41.400 --> 01:11:43.820]  And then I'm telling myself, I could probably do more good.
[01:11:43.820 --> 01:11:45.461]  The audience is great.
[01:11:45.461 --> 01:11:45.901]  On the phone.
[01:11:46.846 --> 01:11:55.453]  I need to go in my office and beg, and then get a hold of Don Jr., and then get the President on the phone, and then hope he listens to me about this stuff.
[01:11:55.453 --> 01:12:02.259]  And there's nothing more frustrating than missing phone calls from the President, and I'm just sick of it all!
[01:12:02.259 --> 01:12:03.220]  I'm sick of it!
[01:12:03.220 --> 01:12:11.607]  I mean, we should not be battling a meth-head, devil-worshipper, crypt-keeper, and his demon son, and his demon family.
[01:12:11.607 --> 01:12:12.588]  We shouldn't be here!
[01:12:13.697 --> 01:12:19.361]  We shouldn't have let him commit all these crimes for Chinese agents publicly.
[01:12:19.361 --> 01:12:22.402]  So the truth is, I'm going crazy.
[01:12:22.402 --> 01:12:25.824]  Because this isn't the Democrats taking over.
[01:12:25.824 --> 01:12:30.567]  They're going to end the country with an endless lockdown and it's over for us, okay?
[01:12:30.567 --> 01:12:32.409]  And so that's what I'm frustrated about.
[01:12:32.409 --> 01:12:34.550]  I'm not happy that everything I said came true.
[01:12:34.550 --> 01:12:38.172]  I'm not happy that, oh my God, Alex Jones was right, isn't he great?
[01:12:38.172 --> 01:12:39.693]  That is the sickest thing ever.
[01:12:39.693 --> 01:12:41.194]  I am not happy about being right.
[01:12:47.346 --> 01:12:49.871]  When we come back, Owen Stroyer's got a plan to take action.
[01:12:49.871 --> 01:12:54.381]  Stay with us.
[01:12:54.381 --> 01:12:56.646]  The days of hell.
[01:12:56.646 --> 01:12:57.748]  The nightmare is here.
[01:12:59.520 --> 01:13:02.762]  79 days of hell has begun!
[01:13:02.762 --> 01:13:22.649]  Multinational corporations, the mainstream media apparatus, and social media tech giants are all now being deployed by the archaic inbred crooked establishment to interfere with the 2020 US elections, remove the populist champion of the people, Donald J. Trump,
[01:13:23.209 --> 01:13:34.092]  And install the decrepit, perverted, traitorous establishment puppet Joe Biden, along with rabid radical hag Kamala Harris.
[01:13:34.092 --> 01:13:41.274]  Keep your heads on a swivel and tune in to 79days.news for tomorrow's news today.
[01:13:41.274 --> 01:13:44.154]  79days.news, America's last stand.
[01:13:44.154 --> 01:13:44.874]  79days.news.
[01:13:51.075 --> 01:13:53.355]  Talk about tomorrow's news today.
[01:13:53.355 --> 01:13:56.536]  This is all very transparent when you war game it out.
[01:13:56.536 --> 01:14:02.197]  Six months ago, InfoWars predicted that the mail-in ballots would be used to steal the election from Trump.
[01:14:02.197 --> 01:14:10.239]  They would simply pause the voting at night and then have an unlimited number that they had in reserve to bring forward in battleground states to secure the victory.
[01:14:10.239 --> 01:14:11.359]  And now that happened.
[01:14:11.359 --> 01:14:16.380]  Now, what else did I predict a few months ago and again last week and again last night, all on record?
[01:14:16.380 --> 01:14:18.481]  That when Joe Biden was president-elect,
[01:14:19.361 --> 01:14:19.581]  Yeah.
[01:14:53.653 --> 01:14:56.280]  You're listening to The Alex Jones Show.
[01:15:17.808 --> 01:15:30.841]  All right, Alex Jones here back live and I intend to be here tonight on the nighttime show seven to nine with Dionne Lorraine and everybody else and we got a big announcement here to make.
[01:15:30.841 --> 01:15:34.205]  I got a call from some folks wanting us to do a caravan.
[01:15:36.618 --> 01:15:36.878]  Yes, sir.
[01:15:57.725 --> 01:15:59.646]  And then later, you did a great job.
[01:15:59.646 --> 01:16:06.088]  I was watching you last night on Sunday Live, and I was like, this is the best radio ever.
[01:16:06.088 --> 01:16:08.529]  I got home, we had the iPad out, we were eating dinner.
[01:16:08.529 --> 01:16:09.229]  Thank you.
[01:16:09.229 --> 01:16:10.690]  Myself, my wife, everybody, we watched it.
[01:16:10.690 --> 01:16:11.810]  You were doing your whole NPR thing.
[01:16:11.810 --> 01:16:12.431]  Thank you very much.
[01:16:12.431 --> 01:16:16.112]  We're going to do that again, we're going to do that again, we're going to do that again, last segment of this hour.
[01:16:16.112 --> 01:16:21.294]  But let's just get into the big picture about Biden and what's happening and the latest numbers.
[01:16:21.294 --> 01:16:22.655]  We've got them all right here, Owen.
[01:16:22.655 --> 01:16:23.315]  Your take on things.
[01:16:24.721 --> 01:16:39.130]  Well, what I'm noticing, mainstream conservatives that you wouldn't normally think would go out on the fringe of conspiracy or theories or would even dare to say, you know, I don't trust the results of the election or I don't trust TV news,
[01:16:40.188 --> 01:16:45.332]  Those people are starting to kind of flip the switch and they're scratching their heads and they're saying, well, this is odd.
[01:16:45.332 --> 01:16:47.874]  I mean, I can look at the graph in Michigan.
[01:16:47.874 --> 01:16:50.096]  I can look at the graph in Wisconsin.
[01:16:50.096 --> 01:16:51.437]  I can look at the graph in Pennsylvania.
[01:16:51.437 --> 01:16:52.898]  I can look at all these anomalies.
[01:16:52.898 --> 01:16:57.021]  I can look at all the videos and it's just not being reported on TV.
[01:16:57.021 --> 01:16:58.682]  And you'd think this is the biggest story going.
[01:16:59.483 --> 01:17:01.245]  Why isn't it being reported on TV?
[01:17:01.245 --> 01:17:08.473]  So it's that switch being flicked in their heads and then they're realizing that, oh wait, maybe the TV isn't there to inform me.
[01:17:08.473 --> 01:17:10.315]  Maybe the TV news was never there to inform me.
[01:17:10.315 --> 01:17:14.060]  It was there to keep me uninformed, misinformed, and confused.
[01:17:14.740 --> 01:17:24.926]  And right now, where it stands, we're seeing the separation of the patriots who are going to fight with Donald Trump, some names I think we may be shocked by, and then the people that are going to abandon Trump at this stage.
[01:17:24.926 --> 01:17:25.766]  That's the level we're at.
[01:17:25.766 --> 01:17:29.809]  We knew that this was coming, we knew they were going to steal it, and so now we're
[01:17:30.549 --> 01:17:38.093]  Either meeting this hour, we're meeting this arena, we're coming together to fight this, or you'll see people abandoning Trump.
[01:17:38.093 --> 01:17:38.914]  But we can't abandon Trump.
[01:17:38.914 --> 01:17:40.935]  I'm not abandoning, but I am starting to go crazy.
[01:17:40.935 --> 01:17:43.377]  Like, I'm going to be honest, I've always been able to handle stress.
[01:17:43.377 --> 01:17:58.345]  At this point, this is so over the top, a communist takeover, Biden stumbling around with his corrupt son on TV, the open stealing, the graphs that aren't organic, that show the fixes in, the total censorship, and it's surreal, it's otherworldly.
[01:17:58.345 --> 01:17:59.226]  This is Twilight Zone.
[01:17:59.366 --> 01:18:04.110]  Yeah, you got humans walking around in face masks like they're on a foreign planet or something.
[01:18:04.110 --> 01:18:09.695]  They had an article in Atlantic Monthly that Joe Biden does touch children.
[01:18:09.695 --> 01:18:10.695]  It's like Christ.
[01:18:10.695 --> 01:18:12.036]  It's a sacrament.
[01:18:12.036 --> 01:18:14.939]  I mean, there's no end to this.
[01:18:14.939 --> 01:18:18.662]  A gibbering person with strokes that can barely talk?
[01:18:18.662 --> 01:18:21.584]  A Chi-Com operative, they say, is our president?
[01:18:21.584 --> 01:18:22.845]  I mean, what?
[01:18:22.845 --> 01:18:24.707]  This is unbelievable.
[01:18:24.707 --> 01:18:26.088]  This is not going to stand.
[01:18:26.088 --> 01:18:27.950]  And then again, I wish he was a normal Democrat.
[01:18:28.690 --> 01:18:30.472]  I wish he wasn't a CHICOM agent.
[01:18:30.472 --> 01:18:32.193]  And then, okay, Trump's gone.
[01:18:32.193 --> 01:18:33.935]  I almost have gone bankrupt under Trump.
[01:18:33.935 --> 01:18:35.456]  I've been persecuted under Trump.
[01:18:35.456 --> 01:18:36.397]  I like what Trump's done.
[01:18:36.397 --> 01:18:40.781]  I think he's a good guy, but it's not a bit of bed of roses, folks, being associated with Trump.
[01:18:40.781 --> 01:18:42.642]  But man, I'm more behind Trump now than ever.
[01:18:42.642 --> 01:18:43.303]  What about you, Owen?
[01:18:44.383 --> 01:18:48.946]  Yeah, and I'm going to be more behind him for the next, I guess, 72 days.
[01:18:48.946 --> 01:19:01.334]  And he better rise to the occasion in the next 72 days and save this republic, or his name is going to be, you know, not the gold emblem on the side of his buildings and his airplanes.
[01:19:01.334 --> 01:19:02.375]  It's sadly going to be mine.
[01:19:03.235 --> 01:19:05.097]  S-H-I-T word.
[01:19:05.097 --> 01:19:08.799]  By the way, did we not call it the 72 days, the 79 days of hell?
[01:19:08.799 --> 01:19:10.060]  I mean, we have just nailed it.
[01:19:10.060 --> 01:19:15.744]  And the problem is, Owen, I can see all the next moves going 50 years out, and it's the end of our species.
[01:19:15.744 --> 01:19:19.827]  I was telling my wife the other day for about an hour, she goes, yeah, it's like an alien takeover.
[01:19:19.827 --> 01:19:22.789]  I'm not saying it's aliens, but it's so anti-human.
[01:19:22.789 --> 01:19:23.650]  It destroys us.
[01:19:23.650 --> 01:19:24.490]  It makes us weak.
[01:19:24.490 --> 01:19:25.371]  It ends us.
[01:19:25.371 --> 01:19:27.012]  They admit that's the plan.
[01:19:27.012 --> 01:19:28.033]  It's what the Bible said.
[01:19:28.033 --> 01:19:29.313]  It's freaking Satan, man.
[01:19:29.313 --> 01:19:29.774]  It's Satan.
[01:19:31.038 --> 01:19:40.183]  Yeah, there's no doubt, and we're kind of one of the lone forts, if you will, standing against this, standing our post, manning our post, refusing to back down.
[01:19:40.183 --> 01:19:49.028]  And I'm glad, I'm glad that you're seeing Jay Sekulow and Rudy Giuliani and Pam Bondi and General Flynn and these other people that are willing to stand by too.
[01:19:49.028 --> 01:19:54.791]  And, you know what, I understand Trump wanted to take a few days to maybe get Zen or work on some things behind the scenes, that's fine, but... Ted Cruz?
[01:19:55.491 --> 01:19:57.712]  Ted Cruz, and I mean even Lindsey Graham.
[01:19:57.712 --> 01:20:01.033]  I don't like Lindsey Graham, but he said we'll never win another presidency.
[01:20:01.033 --> 01:20:03.293]  He gets that this is a fundamental takeover.
[01:20:03.293 --> 01:20:05.134]  Yeah, this is not sharing power.
[01:20:05.134 --> 01:20:08.575]  This is a revolution by shy comms and globalists damn it.
[01:20:08.575 --> 01:20:15.077]  And I mean, I just physically all my ancestors all my DNA are just like my ancestors are like really upset really angry.
[01:20:15.077 --> 01:20:18.778]  My instincts are like, you know, it's time for games is over.
[01:20:18.778 --> 01:20:19.638]  That's why I'm so angry.
[01:20:19.638 --> 01:20:21.338]  I'm well, that's what I've been being mean.
[01:20:21.338 --> 01:20:22.499]  Well, the sad thing is
[01:20:24.700 --> 01:20:29.822]  It's like, you know, Kamala Harris in the Biden camp, like you see them dancing around, hopping around.
[01:20:29.822 --> 01:20:33.164]  Hillary Clinton put up a picture of Biden and Harris this morning.
[01:20:33.164 --> 01:20:34.484]  I guess they had some COVID meeting.
[01:20:34.484 --> 01:20:35.865]  I guess Hillary got to go to that too.
[01:20:35.865 --> 01:20:37.446]  How convenient for her.
[01:20:37.446 --> 01:20:41.828]  And it's a picture of Biden and Kamala, and it's a freeze frame of everything they're about.
[01:20:41.828 --> 01:20:47.631]  Kamala cackling like an evil witch and Biden looking like he doesn't even know where the sun rises.
[01:20:47.631 --> 01:20:50.112]  And that... And scared three-year-olds in masks.
[01:20:50.956 --> 01:20:51.816]  Yeah.
[01:20:51.816 --> 01:20:54.617]  Which is what child traffickers do when they put kids in masks.
[01:20:54.617 --> 01:20:55.957]  That helps them move the kids around.
[01:20:55.957 --> 01:21:01.399]  And so they're all dancing and hopping around as they're getting ready to end America and they think it's all a game.
[01:21:01.399 --> 01:21:05.140]  And then the average street liberal just goes along with it because they think it's fun and games too.
[01:21:05.140 --> 01:21:07.920]  Like, oh ha ha, we beat you, ha ha.
[01:21:07.920 --> 01:21:10.981]  And they don't even realize how they're crapping their own pants.
[01:21:10.981 --> 01:21:12.701]  I mean, look at how fake they both are.
[01:21:12.701 --> 01:21:14.882]  They look like animatronic Chuck E. Cheese creatures.
[01:21:16.397 --> 01:21:21.683]  Well Alex, I'll tell you what, America's got 70 days to rise up against this.
[01:21:21.683 --> 01:21:24.325]  And I think it's going to happen.
[01:21:24.325 --> 01:21:26.888]  Oh, it's the fifth coup attempt?
[01:21:26.888 --> 01:21:29.010]  It's the fifth hoax attempt?
[01:21:29.010 --> 01:21:35.337]  I'm just, you know, my biggest concern right now is, I mean, once America's awakened and then
[01:21:37.071 --> 01:21:37.452]  We're good to go.
[01:21:52.495 --> 01:21:58.019]  Where, you know, I'm fighting Nazis, ha ha, ooh, I'm fighting racists, oh, big, look at me, I'm so virtuous.
[01:21:58.019 --> 01:22:03.322]  Oh, I've read some of the Twitters where they call for violence against you and I, and reconciliation commissions put us in prison.
[01:22:03.322 --> 01:22:09.066]  They're like, after the violence we've dealt with with Trump and his Nazi attacks on us, and it's all made up?
[01:22:09.066 --> 01:22:10.146]  They're the ones attacking us?
[01:22:10.146 --> 01:22:10.787]  It's crazy!
[01:22:11.027 --> 01:22:22.941]  It's complete reverse of reality and we knew that they would do this because these are Satan's foot soldiers and this is the psychological warfare of the left that the left currently indoctrinates.
[01:22:22.941 --> 01:22:26.445]  They totally immerse you in a false reality and then they hope... The prison of lies.
[01:22:28.063 --> 01:22:29.244]  We live in a prison of lies.
[01:22:44.585 --> 01:22:46.306]  Big announcement.
[01:22:46.306 --> 01:22:50.849]  I kind of feel guilty even sitting on this mission, but you've accepted it, and it's going to be insane.
[01:22:50.849 --> 01:22:59.675]  A giant caravan kicks off at 5, 530 today at the Texas State Capitol, right down by the governor's mansion in that parking lot.
[01:22:59.675 --> 01:23:03.438]  They're going to be telling us about the Stop the Steal Caravan to Washington, D.C.
[01:23:03.438 --> 01:23:06.640]  We'll have maps and more up in a few hours on Infowars.com.
[01:23:06.640 --> 01:23:08.141]  This is all very impromptu.
[01:23:08.141 --> 01:23:09.322]  This is all very revolutionary.
[01:23:09.322 --> 01:23:09.963]  Tell us about it, Owen.
[01:23:10.643 --> 01:23:14.948]  So we are going to launch, as you said, tonight from the state capitol here in Austin, Texas.
[01:23:14.948 --> 01:23:18.593]  We're going to go, our first stop is going to be in Houston, Texas tonight.
[01:23:18.593 --> 01:23:20.255]  We'll probably get around there around 8.
[01:23:20.255 --> 01:23:22.637]  We're going to announce the location coming up.
[01:23:22.637 --> 01:23:25.441]  I believe it's going to be at Herman Square Park.
