[00:00.000 --> 00:10.040]  The Web, eFoodsDirect.com, 800-409-5633.
[26:44.160 --> 26:48.160]  Calling for total gun ban in the D.C. gun ban case, so that's what he stands for and believes in
[26:48.160 --> 26:52.160]  But he said, yes, it's horrible, they have machine guns and hand grenades and rocket launchers
[26:52.160 --> 26:58.160]  Folks, you're not buying machine guns, hand grenades and rocket launchers at any store anywhere in the U.S.
[26:58.160 --> 27:00.160]  Okay, it's not true
[27:00.160 --> 27:04.160]  And they just know the public's ignorant
[27:04.160 --> 27:08.160]  Every day on the news, they show polar bears on floating ice and say they can't swim
[27:08.160 --> 27:12.160]  It's the best swimming mammal there is, they go out there to hunt seals
[27:12.160 --> 27:16.160]  But they know the public's uninformed, so they'll tell you they're drowning
[27:16.160 --> 27:20.160]  They'll say whatever, their population's actually exploded to record levels, but you know, so what?
[27:20.160 --> 27:24.160]  Back to the border, Homeland Security plans for violence on U.S. border
[27:24.160 --> 27:28.160]  This out of the Associated Press and talk about how the border's basically collapsing
[27:28.160 --> 27:31.160]  And Mexico's collapsing, their answer, disarm the American people
[27:31.160 --> 27:34.160]  You know, that's a wonderful idea, so that only the criminals will have guns
[27:34.160 --> 27:39.160]  Big story we broke four days ago at infowars.com
[27:39.160 --> 27:42.160]  Two different state police officers out of California and Missouri
[27:42.160 --> 27:46.160]  Sent me federally written threat integration fusion center documents
[27:46.160 --> 27:50.160]  Where they list Ron Paul, Libertarian Party, Bob Barr
[27:50.160 --> 27:54.160]  People that believe in North American Union as dangerous terrorists
[27:54.160 --> 27:58.160]  They said followers of Ron Paul want to kill police, but it says, you know, don't release these documents
[27:58.160 --> 28:00.160]  These are secret
[28:00.160 --> 28:04.160]  And then we put it out with the phone number to the state police offices where they issued these
[28:04.160 --> 28:06.160]  But it was federally written
[28:06.160 --> 28:09.160]  People didn't believe it, so we've since updated it with the names
[28:09.160 --> 28:11.160]  We called up the state police
[28:11.160 --> 28:15.160]  And we've got Captain Hull and Hultz and all of them
[28:15.160 --> 28:18.160]  There, you can call the phone number, you can talk to them
[28:18.160 --> 28:20.160]  It's real, it really happened
[28:20.160 --> 28:23.160]  This is really going on, this is how they're brainwashing police
[28:23.160 --> 28:27.160]  So, stop living in denial out there
[28:27.160 --> 28:30.160]  Meanwhile, Ron Paul, he really is a congressman
[28:30.160 --> 28:33.160]  Congressman really does exist, congress really does exist
[28:33.160 --> 28:37.160]  Madoff really does exist, 9.7 trillion stolen in the mail out
[28:37.160 --> 28:39.160]  Really does exist
[28:39.160 --> 28:42.160]  They're openly announcing a world government bank that will control everything we do
[28:42.160 --> 28:44.160]  That really does exist
[28:44.160 --> 28:48.160]  I really do exist, I mean, there really are threats to our liberty in history
[28:48.160 --> 28:52.160]  Ron Paul, culprits of financial collapse should be arrested
[28:52.160 --> 28:58.160]  Congressman Ron Paul says the people responsible for the economic crisis should not be
[28:58.160 --> 29:01.160]  Held as saviors and given more power to fix the problem they created
[29:01.160 --> 29:04.160]  But arrested and criminally prosecuted
[29:04.160 --> 29:09.160]  Paul told the Alex Jones show that the only way the private Federal Reserve could be brought under control
[29:09.160 --> 29:12.160]  Would be the result of a mass uprising
[29:12.160 --> 29:17.160]  Noting that there is a lot more awareness in Washington about the Fed's contribution to the economic crisis
[29:17.160 --> 29:22.160]  He's also introduced a bill to abolish the private Federal Reserve and audit the private Federal Reserve
[29:22.160 --> 29:25.160]  I was speaking on my show a few days ago, a weekday show
[29:25.160 --> 29:31.160]  Okay, we're going to come back, take your phone calls and get into a bunch of other even more important news
[29:31.160 --> 29:32.160]  Stay with us
[29:32.160 --> 29:36.160]  Everyone knows that omega-3 should be an essential part of our daily diet
[29:36.160 --> 29:38.160]  With so many different methods of consumption
[29:38.160 --> 29:42.160]  How do you choose a simple yet effective way to get your daily intake?
[29:42.160 --> 29:46.160]  The friendly, knowledgeable folks at North American Nutrition have the answer
[29:46.160 --> 29:48.160]  Nature's Gem, premium omega-3
[29:48.160 --> 29:53.160]  Unlike other flax seed, our golden flax is grown on our farm in northern Minnesota
[29:53.160 --> 29:56.160]  Providing cooler temperatures and longer summer hours
[29:56.160 --> 30:00.160]  Producing the highest quality premium golden flax seed around
[30:00.160 --> 30:05.160]  In addition, we selectively harvest and sort flax seeds by size and weight
[30:05.160 --> 30:09.160]  Keeping only the best seeds that can produce the highest abundance of omega-3
[30:09.160 --> 30:12.160]  The result is a delicious, nutty, buttery flavor
[30:12.160 --> 30:14.160]  Nature's Gem golden flax is pure
[30:14.160 --> 30:18.160]  There is nothing added and nothing taken away and non-GMO
[30:18.160 --> 30:20.160]  We offer a 100% money back guarantee
[30:20.160 --> 30:24.160]  Order Nature's Gem premium golden flax today at goldenflax.com
[30:24.160 --> 30:31.160]  Or call 800-387-5516. That's 800-387-5516
[30:31.160 --> 30:33.160]  Free shipping included
[30:33.160 --> 30:36.160]  Life change tea sets the standard
[30:36.160 --> 30:39.160]  Have you heard on radio all the new teas with funny names
[30:39.160 --> 30:43.160]  Louis stars, celebrities, endorsing these products and so on?
[30:43.160 --> 30:45.160]  Have you checked the results?
[30:45.160 --> 30:47.160]  Not the pictures of the bikini babes and such
[30:47.160 --> 30:48.160]  But the results
[30:48.160 --> 30:53.160]  Have you checked their pricing and the funky three month contracts and all that stuff?
[30:53.160 --> 30:55.160]  Have you checked the results?
[30:55.160 --> 30:56.160]  Oh, that's right, I said that
[30:56.160 --> 30:58.160]  Did you check the ingredients and you checked for caffeine?
[30:58.160 --> 30:59.160]  Yeah
[30:59.160 --> 31:01.160]  Life change tea is the real deal
[31:01.160 --> 31:03.160]  Not a new yippee-yayee tea
[31:03.160 --> 31:06.160]  But a tea, if you drink it daily, it will change your life
[31:06.160 --> 31:08.160]  And it will clean your body
[31:08.160 --> 31:09.160]  Our middle name is results
[31:09.160 --> 31:11.160]  You can pay more and you can have a celebrity smile
[31:11.160 --> 31:12.160]  Or you can get results
[31:12.160 --> 31:13.160]  Your call
[31:13.160 --> 31:15.160]  Or should I say, make the call
[31:15.160 --> 31:19.160]  Get the tea at 928-308-0408
[31:19.160 --> 31:23.160]  Or you can order online at GetTheTea.com
[31:23.160 --> 31:26.160]  That's GetTheTea.com
[31:26.160 --> 31:55.160]  Order now for real results
[31:56.160 --> 31:58.160]  To find when you need it most
[31:58.160 --> 32:00.160]  One Florida customer says
[32:00.160 --> 32:04.160]  My pack light has lasted through four hurricane in two years
[32:04.160 --> 32:06.160]  Over 30 days without electricity
[32:06.160 --> 32:08.160]  And I'm still using the same battery
[32:08.160 --> 32:11.160]  The pack light comes with a 25 year warranty
[32:11.160 --> 32:13.160]  And prices start at just $12.99
[32:13.160 --> 32:16.160]  It's time for you to be prepared with a pack light
[32:16.160 --> 32:19.160]  Visit us at 9voltlight.com
[32:19.160 --> 32:21.160]  That's 9voltlight.com
[32:21.160 --> 32:23.160]  Or call us today toll free
[32:23.160 --> 32:26.160]  At 877-715-4448
[32:26.160 --> 32:33.160]  That's 877-715-4448
[32:33.160 --> 32:36.160]  It's a new year full of uncertainties
[32:36.160 --> 32:39.160]  People are being laid off in record numbers
[32:39.160 --> 32:41.160]  The price of food continues to rise
[32:41.160 --> 32:44.160]  And the economy continues to falter
[32:44.160 --> 32:46.160]  You know that you need to prepare
[32:46.160 --> 32:48.160]  And maybe you've been putting it off
[32:48.160 --> 32:50.160]  But the time to act is now
[32:50.160 --> 32:53.160]  That's why you need to visit OrganicaSeed.com
[32:53.160 --> 32:55.160]  At OrganicaSeed.com
[32:55.160 --> 32:57.160]  You'll find one of the largest online selections
[32:57.160 --> 33:00.160]  Of heirloom seeds and survival seed packs
[33:00.160 --> 33:02.160]  As well as the giant vegetable seed collections
[33:02.160 --> 33:05.160]  That can feed you and your family for years
[33:05.160 --> 33:08.160]  Imagine growing your very own fresh vegetables
[33:08.160 --> 33:12.160]  Wheat grass, fruits, herbs, rice, tea, coffee and tobacco
[33:12.160 --> 33:15.160]  With detailed growing guides available to you at no charge
[33:15.160 --> 33:18.160]  You can maximize your harvest and investment
[33:18.160 --> 33:21.160]  This part all orders ship within 24 hours
[33:21.160 --> 33:24.160]  So head over to OrganicaSeed.com
[33:24.160 --> 33:29.160]  That's O-R-G-A-N-I-C-A-SEED.com
[33:29.160 --> 33:32.160]  OrganicaSeed.com today
[33:34.160 --> 33:37.160]  You are listening to GCN
[33:37.160 --> 33:59.160]  Visit GCNLive.com today
[33:59.160 --> 34:02.160]  Alright ladies and gentlemen, we are back live
[34:02.160 --> 34:04.160]  Thank you for joining us on this Sunday edition
[34:04.160 --> 34:05.160]  Your calls are coming up
[34:05.160 --> 34:08.160]  Folks all across the country and the planet
[34:08.160 --> 34:15.160]  The toll-free number to join us is 877-590-5525
[34:15.160 --> 34:18.160]  Some of the other news I have here in front of me
[34:18.160 --> 34:22.160]  Governor Perry, who is about as conservative as Mao Zedong
[34:22.160 --> 34:26.160]  Rejects $555 million in federal stimulus money
[34:26.160 --> 34:32.160]  Now, $787 billion
[34:32.160 --> 34:35.160]  And I know that at least
[34:35.160 --> 34:39.160]  In the reports I saw, $60 billion of that was going to Texas
[34:39.160 --> 34:42.160]  They take our state money, they take it to Washington
[34:42.160 --> 34:44.160]  They send back a few pennies of it
[34:44.160 --> 34:45.160]  And then call it free federal money
[34:45.160 --> 34:47.160]  And I hear all these newscasts
[34:47.160 --> 34:49.160]  The feds are saying this is the only money we get
[34:49.160 --> 34:50.160]  And that we're bad
[34:50.160 --> 34:53.160]  But we're lucky they're there basically
[34:53.160 --> 34:54.160]  Meanwhile, it's our money
[34:54.160 --> 34:59.160]  And then Perry does this stunt
[34:59.160 --> 35:02.160]  He engages in this stunt
[35:02.160 --> 35:04.160]  Where he comes out and says
[35:04.160 --> 35:08.160]  I'm rejecting $555 million of it
[35:08.160 --> 35:10.160]  Because it's very unpopular
[35:10.160 --> 35:12.160]  So he's trying to look conservative
[35:12.160 --> 35:14.160]  From the center of a Houston hardware store
[35:14.160 --> 35:17.160]  Governor Perry ignited a debate about Texas job cuts
[35:17.160 --> 35:18.160]  Business taxes
[35:18.160 --> 35:20.160]  And President Barack Obama's so-called
[35:20.160 --> 35:22.160]  Economic stimulus program Thursday
[35:22.160 --> 35:24.160]  By rejecting the federal government's offer
[35:24.160 --> 35:30.160]  $555 million in aid to the unemployed
[35:30.160 --> 35:32.160]  The action now moves the legislature
[35:32.160 --> 35:34.160]  Which can bypass Perry and take the offer
[35:34.160 --> 35:36.160]  As long as it changes state laws
[35:36.160 --> 35:41.160]  And blocks Republican Perry's potential veto
[35:41.160 --> 35:45.160]  Democratic lawmakers said they will try that
[35:45.160 --> 35:47.160]  So he's taken billions of it
[35:47.160 --> 35:52.160]  But he's turning back $500 million of it
[35:52.160 --> 35:54.160]  And they've created two new income taxes
[35:54.160 --> 35:55.160]  On business owners
[35:55.160 --> 35:57.160]  They always say Texas doesn't have an income tax
[35:57.160 --> 35:59.160]  That made business flood here
[35:59.160 --> 36:01.160]  Well, we do have one now
[36:01.160 --> 36:04.160]  And I own a business, a small business
[36:04.160 --> 36:07.160]  That's my studio and TV studio
[36:07.160 --> 36:10.160]  And the film production studio we've got in South Austin
[36:10.160 --> 36:12.160]  I got like 20 employees now
[36:12.160 --> 36:16.160]  And just bureaucrats show up at your office
[36:16.160 --> 36:18.160]  And they demand to be let in
[36:18.160 --> 36:19.160]  Without warrants or anything
[36:19.160 --> 36:20.160]  We say no
[36:20.160 --> 36:23.160]  But then they just magically assess you
[36:23.160 --> 36:27.160]  And they just say, oh, this computer's worth $50,000
[36:27.160 --> 36:30.160]  It could be a literal $500 computer
[36:30.160 --> 36:33.160]  And we've got some of those little cheap e-machines
[36:33.160 --> 36:36.160]  And stuff, you know, just for basic stuff
[36:36.160 --> 36:40.160]  They go, no, that computer's worth $10,000
[36:40.160 --> 36:42.160]  And they just guesstimate
[36:42.160 --> 36:45.160]  And this has been going on for four years
[36:45.160 --> 36:47.160]  So this year we let them in
[36:47.160 --> 36:51.160]  And they said, oh, that couch's got to be worth $10,000
[36:51.160 --> 36:56.160]  This, you know, oh, this stack of videotapes
[36:56.160 --> 36:58.160]  What's that worth, $1,000?
[36:58.160 --> 37:01.160]  And so then you have to go prove and hold receipts
[37:01.160 --> 37:03.160]  And spend all your time bookkeeping
[37:03.160 --> 37:07.160]  Just to prove that your $1,000 computer
[37:07.160 --> 37:09.160]  Didn't cost $10,000
[37:09.160 --> 37:11.160]  And your $500 computer didn't cost $6,000
[37:11.160 --> 37:14.160]  Or God forbid, you actually have a $4,000, $5,000
[37:14.160 --> 37:17.160]  Editing computer for film, we've got quite a few of those
[37:17.160 --> 37:20.160]  Oh, that's got to be a $20,000 machine
[37:20.160 --> 37:24.160]  And then they want a percentage, just like Massachusetts
[37:24.160 --> 37:27.160]  Of everything in your office, it is a property tax
[37:27.160 --> 37:29.160]  A business property tax
[37:29.160 --> 37:31.160]  But now they have a business franchise tax
[37:31.160 --> 37:33.160]  It's really an income tax
[37:33.160 --> 37:35.160]  And they look at your gross
[37:35.160 --> 37:39.160]  And they do a calculation with what you keep
[37:39.160 --> 37:42.160]  And then you've got to give all your federal income tax stuff to them
[37:42.160 --> 37:45.160]  And it's just bureaucrats, bureaucrats
[37:45.160 --> 37:47.160]  It's disgusting
[37:47.160 --> 37:49.160]  Meanwhile, the businesses are shutting down
[37:49.160 --> 37:51.160]  And everything else is leaving the country
[37:51.160 --> 37:53.160]  And there's just more and more police and more and more bureaucrats
[37:53.160 --> 37:55.160]  And more and more checkpoints and more and more fines
[37:55.160 --> 37:57.160]  And fees and regulations
[37:57.160 --> 38:00.160]  It's just really disgusting to have this going on
[38:00.160 --> 38:06.160]  And they're talking about some type of new regional EMS tax
[38:06.160 --> 38:08.160]  Well, you're for saving people when they're hurt, aren't you?
[38:08.160 --> 38:09.160]  It has nothing to do with that
[38:09.160 --> 38:13.160]  We're for the lottery
[38:13.160 --> 38:14.160]  It'll be for education
[38:14.160 --> 38:16.160]  Oh, yeah
[38:16.160 --> 38:17.160]  And then a pittance goes towards that
[38:17.160 --> 38:20.160]  And then all the poor people go and dump their paycheck on every week
[38:20.160 --> 38:22.160]  I mean, it just goes on and on the scams
[38:22.160 --> 38:25.160]  We have a mafia government
[38:25.160 --> 38:28.160]  That engages in stunts like Perry
[38:28.160 --> 38:30.160]  You know, Ron Paul has said properly
[38:30.160 --> 38:33.160]  And he's right, he votes against the bills, the spending bills
[38:33.160 --> 38:35.160]  But then once the money's being served out
[38:35.160 --> 38:38.160]  He gets record amounts of money to South Texas
[38:38.160 --> 38:40.160]  What's the point?
[38:40.160 --> 38:41.160]  The money's going to go somewhere else
[38:41.160 --> 38:43.160]  He votes against the bill
[38:43.160 --> 38:45.160]  But then when the money is going to be served out anyways
[38:45.160 --> 38:48.160]  He actually tries to get it down to South Texas
[38:48.160 --> 38:50.160]  For shrimp and other fisheries
[38:50.160 --> 38:52.160]  To try to restock the ocean
[38:52.160 --> 38:54.160]  So we can have some business down there left for people
[38:54.160 --> 38:56.160]  And he put it out
[38:56.160 --> 38:57.160]  We need more earmarks
[38:57.160 --> 39:00.160]  An earmark just says what it's supposed to be spent on in the bill
[39:00.160 --> 39:02.160]  You know, you have the 9.7 trillion
[39:02.160 --> 39:03.160]  According to Bloomberg and AP
[39:03.160 --> 39:06.160]  Stolen so far by the offshore private banks
[39:06.160 --> 39:09.160]  Yeah, it's 9.7 trillion, not 700 billion
[39:09.160 --> 39:11.160]  I was watching Fox News today
[39:11.160 --> 39:13.160]  They were saying it was 2 billion
[39:13.160 --> 39:16.160]  That's Bloomberg's lawsuit from 4.5 months ago
[39:16.160 --> 39:18.160]  A few weeks into the bailout
[39:18.160 --> 39:19.160]  Where the federal government said
[39:19.160 --> 39:21.160]  We're not going to let you know how much money we've spent
[39:21.160 --> 39:22.160]  Of the 2 billion
[39:22.160 --> 39:23.160]  It's now 9.7
[39:23.160 --> 39:26.160]  But see, the media is still debating that 2 trillion number
[39:26.160 --> 39:28.160]  I was watching Fox right before we went on air
[39:28.160 --> 39:29.160]  They were having a special on it
[39:29.160 --> 39:30.160]  Some of you might have seen it
[39:30.160 --> 39:32.160]  And it was just more disinformation
[39:32.160 --> 39:34.160]  In the name of whistleblowing, they're whitewashing
[39:34.160 --> 39:36.160]  You understand how that works?
[39:36.160 --> 39:40.160]  So, it's bad
[39:40.160 --> 39:41.160]  It's real bad
[39:41.160 --> 39:42.160]  And Ron Paul wants earmarks
[39:42.160 --> 39:44.160]  He wants to know where that money's going
[39:44.160 --> 39:46.160]  But oh no, we can't have earmarks
[39:46.160 --> 39:50.160]  I mean, they train the public
[39:50.160 --> 39:53.160]  180 degrees from what reality is
[39:53.160 --> 39:55.160]  An earmark just means that it's listed
[39:55.160 --> 39:57.160]  Where it's going to be spent
[39:57.160 --> 39:59.160]  And is there a pork associated with that?
[39:59.160 --> 40:01.160]  You bet your butt
[40:01.160 --> 40:03.160]  But the media always talks about these, you know
[40:03.160 --> 40:05.160]  Pork braille projects of bridges
[40:05.160 --> 40:06.160]  Or wooden arrows
[40:06.160 --> 40:08.160]  Or sports stadiums
[40:08.160 --> 40:11.160]  Hey, that's fascism
[40:11.160 --> 40:12.160]  Because they give it to their cronies
[40:12.160 --> 40:13.160]  You know, the contracts
[40:13.160 --> 40:16.160]  And it's kind of socialism as far as the jobs go
[40:16.160 --> 40:18.160]  But it's a lot better than just
[40:18.160 --> 40:20.160]  Hey, here's 9.7 trillion to foreign banks
[40:20.160 --> 40:22.160]  And we don't know where it is
[40:22.160 --> 40:25.160]  So instead, they've got us debating all day
[40:25.160 --> 40:29.160]  The $787 million stimulus
[40:29.160 --> 40:32.160]  Instead of the $9.7 trillion banker hijacking
[40:32.160 --> 40:34.160]  That they call a bailout
[40:34.160 --> 40:36.160]  We knew this was going to come out
[40:36.160 --> 40:37.160]  I told you so
[40:37.160 --> 40:40.160]  It's now come out that the shooter in Alabama
[40:40.160 --> 40:42.160]  Was in some weird government training program
[40:42.160 --> 40:44.160]  With the military and the police as an auxiliary
[40:44.160 --> 40:46.160]  And was in psychiatric care
[40:46.160 --> 40:48.160]  Probably on medication
[40:48.160 --> 40:50.160]  And the AP reports the German shooter
[40:50.160 --> 40:52.160]  Was in psychiatric care
[40:52.160 --> 40:55.160]  And was on a serotonin reuptake inhibitor
[40:55.160 --> 40:56.160]  Of the Prozac class
[40:56.160 --> 40:57.160]  They won't say what drug
[40:57.160 --> 40:59.160]  Because I've never seen a case
[40:59.160 --> 41:01.160]  Where it doesn't come out where they aren't
[41:01.160 --> 41:04.160]  Chimpanzee that ripped the woman's jaw off
[41:04.160 --> 41:05.160]  And eyeballs out
[41:05.160 --> 41:07.160]  He was on a Prozac drug
[41:07.160 --> 41:10.160]  I forget which one, but this is the same thing
[41:10.160 --> 41:12.160]  It's like a McDonald's as a Burger King
[41:12.160 --> 41:14.160]  A Prozac as a Louvox
[41:14.160 --> 41:17.160]  In fact, let me get the exact drug
[41:17.160 --> 41:20.160]  Google chimpanzee was on drugs
[41:20.160 --> 41:22.160]  And then just shot in my ear with the name of it
[41:22.160 --> 41:23.160]  Because I can't remember
[41:23.160 --> 41:24.160]  I just want to give out the actual name
[41:24.160 --> 41:26.160]  Of the quote anti-depressant
[41:26.160 --> 41:28.160]  When it went on the inserts of those by law
[41:28.160 --> 41:30.160]  It admits it causes psychotic breaks
[41:30.160 --> 41:32.160]  Oh, gee, every shooter
[41:32.160 --> 41:34.160]  And every chimpanzee that murders people
[41:34.160 --> 41:36.160]  Is on these
[41:36.160 --> 41:38.160]  But everything's okay
[41:38.160 --> 41:39.160]  Let's just ban the guns
[41:39.160 --> 41:41.160]  Let's not have people running around
[41:41.160 --> 41:43.160]  On the Looney Pills
[41:43.160 --> 41:45.160]  Oh, yeah, they're real happy
[41:45.160 --> 41:47.160]  Till they have a bad trip
[41:47.160 --> 41:49.160]  Serotonin reuptake inhibitor
[41:49.160 --> 41:52.160]  Xanax, yeah, the chimpanzee was on Xanax
[41:52.160 --> 41:54.160]  Thank you, that's one of the really strong ones
[41:54.160 --> 41:55.160]  Even stronger than Prozac
[41:55.160 --> 41:56.160]  Okay, thank you
[41:56.160 --> 42:01.160]  I thought that, but I wanted to double-check
[42:01.160 --> 42:02.160]  What it goes on here
[42:02.160 --> 42:03.160]  The Associated Press confirms the story
[42:03.160 --> 42:06.160]  Widely published across the world
[42:06.160 --> 42:08.160]  Police investigator Siegfried Mahler
[42:08.160 --> 42:10.160]  States on the record that the shooter
[42:10.160 --> 42:12.160]  Underwent severe treatment sessions
[42:12.160 --> 42:14.160]  For depression in the psychiatric clinic
[42:14.160 --> 42:17.160]  And was prescribed a session of outpatient therapy
[42:17.160 --> 42:18.160]  Which he never began
[42:18.160 --> 42:21.160]  Thus, the shooter was a psychiatric medications
[42:21.160 --> 42:22.160]  And then quit using them
[42:22.160 --> 42:25.160]  This created a classic anti-depressant withdrawal crisis
[42:25.160 --> 42:28.160]  A key go-coo-coo for cocoa puffs
[42:28.160 --> 42:30.160]  And chop your children's arms off
[42:30.160 --> 42:31.160]  Every time you hear about that
[42:31.160 --> 42:32.160]  I've talked about this before
[42:32.160 --> 42:34.160]  I mean, every time you...
[42:34.160 --> 42:35.160]  Yeah, that was the Dallas case
[42:35.160 --> 42:37.160]  You were working at a news station at the time
[42:37.160 --> 42:39.160]  And remember, she was on that
[42:39.160 --> 42:40.160]  But they had another woman
[42:40.160 --> 42:42.160]  Chop her baby's arms off in Houston, she was on it
[42:42.160 --> 42:44.160]  And then the woman that drowned her kids was on it
[42:44.160 --> 42:45.160]  And the women that killed their kids
[42:45.160 --> 42:47.160]  It's all...they're always on it
[42:47.160 --> 42:51.160]  Because it's very rare to have people
[42:51.160 --> 42:53.160]  Or simians, for that matter
[42:53.160 --> 43:01.160]  Certainly somewhat similar to chimpanzees
[43:01.160 --> 43:02.160]  Don't do things like this
[43:02.160 --> 43:06.160]  Unless they're hopped up on hallucinogens
[43:06.160 --> 43:11.160]  But that's just some of the news and information
[43:11.160 --> 43:12.160]  I have her in front of me
[43:12.160 --> 43:13.160]  Okay, I promise we're going to
[43:13.160 --> 43:15.160]  Sean, Dan, Brian, Scott, Matt, many others
[43:15.160 --> 43:16.160]  As soon as we come back
[43:16.160 --> 43:17.160]  And then later in the next hour
[43:17.160 --> 43:20.160]  I'll tell you about my new film, the Obama Deception
[43:20.160 --> 43:22.160]  It's out right now at prisonplanet.tv
[43:22.160 --> 43:23.160]  In super high quality
[43:23.160 --> 43:24.160]  Or order the DVD
[43:24.160 --> 43:27.160]  Start shipping tomorrow at infowars.com
[43:27.160 --> 43:29.160]  This is the preeminent film
[43:29.160 --> 43:31.160]  Exposing Obama as a newer loader
[43:31.160 --> 43:32.160]  Frontman, stay with us
[43:32.160 --> 43:34.160]  Phase one of the Incentors Plan
[43:34.160 --> 43:35.160]  For a one-world government
[43:35.160 --> 43:37.160]  Has been initiated with the recent bailout
[43:37.160 --> 43:39.160]  International bankers and power brokers
[43:39.160 --> 43:41.160]  Have engineered the current crisis
[43:41.160 --> 43:43.160]  To create a new currency and a new world bank
[43:43.160 --> 43:44.160]  To act as savior
[43:44.160 --> 43:46.160]  But we've only seen the beginning
[43:46.160 --> 43:47.160]  Their next engineered crisis
[43:47.160 --> 43:49.160]  Will be on a scale never before seen
[43:49.160 --> 43:50.160]  In modern times
[43:50.160 --> 43:52.160]  Shortages and empty shelves
[43:52.160 --> 43:54.160]  Will spread fear and panic across the land
[43:54.160 --> 43:55.160]  The insiders have discovered
[43:55.160 --> 43:57.160]  That they must control two things
[43:57.160 --> 43:58.160]  To seize total power
[43:58.160 --> 44:01.160]  Phase one is a one-world currency
[44:01.160 --> 44:03.160]  Which we are currently being prepared to accept
[44:03.160 --> 44:05.160]  Phase two of their insidious plan
[44:05.160 --> 44:07.160]  Is complete control of our food supplies
[44:07.160 --> 44:11.160]  Go to www.foodshortagesusa.com
[44:11.160 --> 44:12.160]  For the details
[44:12.160 --> 44:15.160]  That's www.foodshortagesusa.com
[44:15.160 --> 44:17.160]  To learn how to prepare for the unthinkable
[44:17.160 --> 44:19.160]  Don't wait for empty shelves
[44:19.160 --> 44:21.160]  Learn how to make your own survival foods
[44:21.160 --> 44:22.160]  For pennies on the dollar
[44:22.160 --> 44:24.160]  Go to www.foodshortagesusa.com
[44:24.160 --> 44:28.160]  Or call 877-327-0365
[44:28.160 --> 44:32.160]  That's 877-327-0365
[44:32.160 --> 44:34.160]  Rough roads might be ahead for the economy
[44:34.160 --> 44:37.160]  But your vehicle doesn't have to experience them
[44:37.160 --> 44:38.160]  Can't afford a new vehicle
[44:38.160 --> 44:40.160]  Or even an expensive repair
[44:40.160 --> 44:42.160]  Now you can take care of your vehicle
[44:42.160 --> 44:44.160]  With Protecta Engine Oil Booster by SFR
[44:44.160 --> 44:46.160]  Which is a fully synthetic oil booster
[44:46.160 --> 44:48.160]  Protecta Engine Oil Booster
[44:48.160 --> 44:49.160]  Fortifies your motor oil
[44:49.160 --> 44:51.160]  To help your engine last longer
[44:51.160 --> 44:52.160]  Protecta Engine Oil Booster
[44:52.160 --> 44:54.160]  Has been tested by independent laboratories
[44:54.160 --> 44:57.160]  And proven in over one million vehicles worldwide
[44:57.160 --> 44:59.160]  We'll give you enough Protecta Engine Oil Booster
[44:59.160 --> 45:01.160]  For five complete oil changes
[45:01.160 --> 45:03.160]  For only $22.95
[45:03.160 --> 45:04.160]  That's enough for two vehicles
[45:04.160 --> 45:05.160]  For up to one year
[45:05.160 --> 45:07.160]  Start taking care of your vehicle today
[45:07.160 --> 45:09.160]  Take advantage of this limited time offer
[45:09.160 --> 45:11.160]  And receive free shipping
[45:11.160 --> 45:12.160]  Protecta Engine Oil Booster
[45:12.160 --> 45:14.160]  Is the last defense against engine wear
[45:14.160 --> 45:16.160]  Go to www.oilcompanysecret.com
[45:16.160 --> 45:19.160]  Or call 1-888-873-7371
[45:19.160 --> 45:21.160]  That's oilcompanysecret.com
[45:21.160 --> 45:24.160]  Or 888-873-7371
[45:24.160 --> 45:26.160]  Satisfaction guaranteed or your money back
[45:26.160 --> 45:29.160]  Call 888-873-7371
[45:29.160 --> 45:32.160]  Or visit oilcompanysecret.com
[45:32.160 --> 45:34.160]  We know identity scams have grown
[45:34.160 --> 45:35.160]  In the past six months
[45:35.160 --> 45:37.160]  Because identity thieves are working overtime
[45:37.160 --> 45:40.160]  Taking advantage of this economic crisis
[45:40.160 --> 45:42.160]  I'm Todd Davis, CEO of Lifelock
[45:42.160 --> 45:45.160]  I talk to people every day about identity theft
[45:45.160 --> 45:48.160]  And I know a lot of you are scared and nervous
[45:48.160 --> 45:50.160]  I'm here to tell you you don't have to be
[45:50.160 --> 45:52.160]  Another identity is stolen every three seconds
[45:52.160 --> 45:55.160]  But you can have the security and peace of mind
[45:55.160 --> 45:57.160]  That comes with being protected by Lifelock
[45:57.160 --> 45:58.160]  For just pennies a day
[45:58.160 --> 46:01.160]  Lifelock is number one in identity theft protection
[46:01.160 --> 46:03.160]  Because we work to stop identity theft
[46:03.160 --> 46:04.160]  Before it happens
[46:04.160 --> 46:07.160]  Or we fix it at our expense up to $1 million
[46:07.160 --> 46:09.160]  Don't spend another minute worrying
[46:09.160 --> 46:11.160]  Call Lifelock now
[46:11.160 --> 46:16.160]  Get instant protection by calling 1-800-605-4229
[46:16.160 --> 46:18.160]  Call right now and you'll also get 30 days
[46:18.160 --> 46:19.160]  Absolutely free
[46:19.160 --> 46:22.160]  That's 1-800-605-4229
[46:22.160 --> 46:25.160]  Get the peace of mind Lifelock provides today
[46:25.160 --> 46:26.160]  Use promo code FREE MONTH
[46:26.160 --> 46:29.160]  Call 1-800-605-4229
[46:29.160 --> 46:32.160]  Again 1-800-605-4229
[46:32.160 --> 46:35.160]  This year many of us will have to make the tough decision
