[00:00.000 --> 00:01.000]  Come on, man.
[56:19.280 --> 56:23.720]  and it was pretty shocking through some stuff to see and just total lack of
[56:23.720 --> 56:28.720]  regard for humanity that's just absolutely amazing we're gonna have
[56:28.720 --> 56:32.960]  Debbie Johnson I'm sorry
[56:37.880 --> 56:44.320]  don't knock it till you try it and when you do try it really knock it you know
[56:44.320 --> 56:51.520]  you gotta get that baby out of there question regarding abortions and
[56:51.520 --> 56:56.000]  breeding fetish I have a female friend who has a really powerful fetish for
[56:56.000 --> 56:59.960]  breeding she has never used any type of birth control she is with a male
[56:59.960 --> 57:03.640]  partner currently who is just like her into breeding and they've been
[57:03.640 --> 57:07.800]  practicing their fetish for quite a few abortions I know this fetish my
[57:07.800 --> 57:11.560]  girlfriend and me have the same fetish my girlfriend enjoy her pregnancies and
[57:11.560 --> 57:17.040]  she enjoys the abortion to tie on her preferred date for the abort is between
[57:17.040 --> 57:21.960]  20 and 24 weeks of gestation I enjoy it to make her pregnant and I enjoy the
[57:21.960 --> 57:26.480]  time of her pregnancy she has no menstrual period and she is sexual very
[57:26.480 --> 57:31.960]  active sexuality without prevention is very emotional and inexpensive in the
[57:31.960 --> 57:36.640]  last 10 years in our relationship we have done seven abortions and my girlfriend
[57:36.640 --> 57:40.960]  is pregnant again with a little girl abortion fetish is a great method for
[57:40.960 --> 57:44.920]  birth control do not be angry about your girlfriend but let them enjoy their
[57:44.920 --> 57:50.320]  pregnancy this is what a baby looks like I was among the first 12 years ago to
[57:50.320 --> 57:55.320]  warn that Jeffrey Epstein was running a giant governmental blackmail ring using
[57:55.320 --> 58:00.600]  pedophilia I was the first to warn of human animal hybrids and organ
[58:00.600 --> 58:04.760]  harvesting I was the first to begin to warn that babies were being kept alive
[58:04.760 --> 58:09.880]  after they were born for their organs to be harvested I was the first to warn you
[58:09.880 --> 58:14.800]  along with Paul Watson at info wars.com 15 years ago that Google was using
[58:14.800 --> 58:19.160]  microphones and hidden cameras to record everything you do and hundreds and
[58:19.160 --> 58:24.520]  hundreds of other giant issues like the Federal Reserve being private run for
[58:24.520 --> 58:28.480]  profit trying to control our economy that our government in Hollywood have been
[58:28.480 --> 58:32.520]  taken over by the Communist Chinese on every one of these issues and many
[58:32.520 --> 58:36.600]  others we've been dead on and we've raised the alarm on the planetary scale
[58:36.600 --> 58:41.760]  that's why the globalists are trying to shut us down that's why you are more
[58:41.760 --> 58:45.480]  critical than ever to support the info war please support the info war however
[58:45.480 --> 58:52.240]  you can. HAPPIES is a tincture that you take under the tongue it was selling it
[58:52.240 --> 58:56.720]  for over a year it's a private label of one of the top national sellers of
[58:56.720 --> 59:01.480]  herbs that's known to calm the body but not be a depressant now despite the fact
[59:01.480 --> 59:05.440]  that I've never really promoted or cut an ad for it it's in our top 10 best
[59:05.440 --> 59:09.440]  sellers and right now for those of you that haven't tried it you can get it for
[59:09.440 --> 59:13.320]  50% off. Life is stressful almost everything in our lives can put
[59:13.320 --> 59:18.600]  stress and pressure on us but ashwagandha root, rhodiola root, passionflower herb,
[59:18.600 --> 59:23.280]  green tea leaf and licorice root is known to be so good for us and to smooth
[59:23.280 --> 59:28.600]  us out in a calm good way and HAPPIES is available right now at info wars
[59:28.600 --> 59:32.760]  store.com 50% off your purchase supports the broadcast it is so vital and I
[59:32.760 --> 59:36.000]  recommend you order another bottle to give friends and family because this
[59:36.000 --> 59:40.400]  stuff has really worked for myself and so many others it's HAPPIES exclusively
[59:40.400 --> 59:48.440]  available at infowarslife.com again secure your HAPPIES today at infowarslife.com
[59:48.440 --> 1:00:06.320]  You're listening to the Alex Jones show. Already one hour into the coverage of
[1:00:06.320 --> 1:00:11.400]  Houston we have a problem found world that's the third round this night it's
[1:00:11.400 --> 1:00:16.120]  only one night one night 10 candidates and tons of laughs so you realize how
[1:00:16.120 --> 1:00:22.040]  dangerous they are who they work for that is coming up right now we're in live
[1:00:22.040 --> 1:00:25.680]  coverage but we're gonna be here right through 11 o'clock tonight the debate
[1:00:25.680 --> 1:00:30.400]  goes from 7 until close to 10 o'clock and we're gonna open the phones up this
[1:00:30.400 --> 1:00:37.960]  evening and we are going to again have coverage that officially is already
[1:00:37.960 --> 1:00:43.000]  kicked off but we'll be live right after the war room at 6 I'll be here
[1:00:43.000 --> 1:00:47.200]  Robert Barnes is gonna be here of course we're gonna have Will Johnson on
[1:00:47.200 --> 1:00:53.040]  we're gonna have Tom Papert as part of the breakdown and so much more but I
[1:00:53.040 --> 1:00:57.360]  really am gonna be good because I'm the worst person around here about getting
[1:00:57.360 --> 1:01:00.080]  fired up and wanting to make every point I'm gonna write notes not interrupt as
[1:01:00.080 --> 1:01:05.120]  much and I'm gonna again work in a lot of your calls that'll be obviously
[1:01:05.120 --> 1:01:09.640]  waiting and then my I guess when I kind of direct this when I choose that we've
[1:01:09.640 --> 1:01:13.120]  already heard this answer over and over again it's a mindless point will will
[1:01:13.120 --> 1:01:18.760]  fade down the dumbbell and take a call or so but this is gonna be a blood bath
[1:01:18.760 --> 1:01:24.440]  and obviously we're gonna be going heavily to a political blood bath so we
[1:01:24.440 --> 1:01:27.480]  try to say we're being violent that's a figure of speech a metaphor I know our
[1:01:27.480 --> 1:01:31.360]  audience knows that but the left will take out a context we're obviously when
[1:01:31.360 --> 1:01:37.320]  Elizabeth Warren's talking she's been going after old bloody eyes old old
[1:01:37.320 --> 1:01:42.120]  Biden so we're gonna be showing them pull their knives out or they see as the
[1:01:42.120 --> 1:01:46.520]  Julius Caesar that's got to be dispatched and we'll be making predictions
[1:01:46.520 --> 1:01:50.080]  with Robert Barnes who's been stunningly accurate owns predictions have been
[1:01:50.080 --> 1:01:56.960]  excellent as well but Barnes is a gambler he does sports gambling some but
[1:01:56.960 --> 1:02:02.440]  he mainly is political gambling and is admittedly the biggest winner in the
[1:02:02.440 --> 1:02:09.000]  2016 election just on Irish bets he made like $400,000 with a bunch of bets here
[1:02:09.000 --> 1:02:16.480]  and so he's gonna be handicapping this whole thing with us coming up later in
[1:02:16.480 --> 1:02:21.120]  the hour and we've got a bunch of other guests as well I am not a gambler in
[1:02:21.120 --> 1:02:27.640]  money or in chips or things like poker I mean I mean I have played poker games
[1:02:27.640 --> 1:02:32.440]  before for a few hundred bucks in the pot but I gamble my life I gamble my name
[1:02:32.440 --> 1:02:38.280]  my treasure my very soul and will to defeat the globlest and so all of us
[1:02:38.280 --> 1:02:41.880]  gamble you know you gamble when you decide to marry a woman you gamble when
[1:02:41.880 --> 1:02:46.160]  you decide to try to climb a mountain you gamble when you invest in business but
[1:02:46.160 --> 1:02:48.840]  as long as you're doing things for what you think's right really that's all that
[1:02:48.840 --> 1:02:53.240]  matters at the end of the day is is the action you take and really who you are
[1:02:53.240 --> 1:02:58.600]  the the destination is the journey ladies and gentlemen that really is so
[1:02:58.600 --> 1:03:04.520]  true so Robert Barnes coming up Brandon Tatum is with the great folks over at
[1:03:04.520 --> 1:03:08.480]  Turning Point USA and he's also one of the folks over there that isn't scared
[1:03:08.480 --> 1:03:13.000]  of the info or you know he understands that's all them trying to demonize what
[1:03:13.000 --> 1:03:16.280]  they know is effective it's always like to hear from him he's gonna pop in and
[1:03:16.280 --> 1:03:19.960]  then Matt Bracken is always informative he's gonna be hosting the fourth hour
[1:03:19.960 --> 1:03:25.120]  I'll probably host some of that with him as well today but start your engines
[1:03:25.120 --> 1:03:31.480]  because I'm gonna move quickly I'm gonna move quickly in the next two segments
[1:03:31.480 --> 1:03:36.080]  to hit as much news as possible and I've actually been reaching some of my goals
[1:03:36.080 --> 1:03:40.920]  to get the show back to so it's better days when we do some things better than
[1:03:40.920 --> 1:03:45.760]  we used to but other things worse a lot of that's because of me and so I'm gonna
[1:03:45.760 --> 1:03:49.520]  try to blitz through more news I'm gonna get into more calls more days get
[1:03:49.520 --> 1:03:53.720]  into more your calls still not optimum but it's way better than I was and so I
[1:03:53.720 --> 1:03:59.040]  really have it on my heart and my soul to just up my game and so I'm
[1:03:59.040 --> 1:04:03.800]  exercising more I'm eating healthier I'm taking the supplements and I've been
[1:04:03.800 --> 1:04:07.560]  doing that about three weeks now and it's like a fog is lifted because I give
[1:04:07.560 --> 1:04:11.160]  some great advice but it isn't easy to give advice it's easy to talk the talk
[1:04:11.160 --> 1:04:14.800]  it's hard to walk the walk but I've been doing it so thank you all for your
[1:04:14.800 --> 1:04:18.720]  prayers and your support and the crew putting up with me as well because
[1:04:18.720 --> 1:04:22.000]  sometimes we really reach the heights and sometimes I reach the depths and
[1:04:22.000 --> 1:04:25.520]  that's all part of the reality though of this real world that we're just flesh
[1:04:25.520 --> 1:04:30.240]  and blood flesh and blood needs flesh and blood that's why all the studies
[1:04:30.240 --> 1:04:33.840]  are out I'll hit that need friends need family need communication you're
[1:04:33.840 --> 1:04:37.920]  empowered by having a cat having a dog having a child they make it as hard as
[1:04:37.920 --> 1:04:41.440]  they can I have that dog or have that child just have people and things you
[1:04:41.440 --> 1:04:44.520]  love and things you take care of and things that take care of you it's all
[1:04:44.520 --> 1:04:50.120]  about love isn't it but real loves being willing to get attacked take action and
[1:04:50.120 --> 1:04:53.280]  go through a lot of pain for the innocence but in the end it empowers you
[1:04:53.280 --> 1:04:55.520]  doesn't it
[1:04:56.040 --> 1:05:02.960]  Super Silver Woon Gel is a private label from the top company in the U.S. that has
[1:05:02.960 --> 1:05:06.360]  their products in hospitals and is sold over the counter and approved for that
[1:05:06.360 --> 1:05:09.920]  by the FDA we have been blessed to third listeners and let us private label it
[1:05:09.920 --> 1:05:14.520]  in the last two years it's been a best seller we convinced them to let us come
[1:05:14.520 --> 1:05:18.840]  out with a skin cream that basically mimics the top skin creams that are
[1:05:18.840 --> 1:05:23.520]  already out there at a lower price with their patented silver salt technology
[1:05:23.520 --> 1:05:28.920]  in it it's got the hyaluronic acid it's got the steric acid it's got the grape
[1:05:28.920 --> 1:05:34.040]  fruit essential oil it's got the nano silver coconut oil and so much more it's
[1:05:34.040 --> 1:05:39.560]  in two sizes super silver skin cream in 3.4 ounce and in the smaller one you're
[1:05:39.560 --> 1:05:42.320]  not going to find a product that's good anywhere you're certainly not going to
[1:05:42.320 --> 1:05:47.800]  find it at this price and it funds the info war at infowarslife.com get your
[1:05:47.800 --> 1:05:52.520]  super silver skin cream today we can only run this special for another week or
[1:05:52.520 --> 1:05:56.680]  so as I'm taping this September 10th
[1:05:56.680 --> 1:06:18.320]  live raw and unfiltered it's the Alex Jones show Q. D. Pie has over a hundred
[1:06:18.320 --> 1:06:23.280]  billion views last time I checked on one YouTube channel on all his platforms
[1:06:23.280 --> 1:06:28.800]  he's got about that I've looked at last time this is months ago about 150
[1:06:28.800 --> 1:06:33.160]  billion views and that's with Google always cheating you on your views and
[1:06:33.160 --> 1:06:36.680]  we get up to 3 billion views and they they downgrade 2 billion views and on
[1:06:36.680 --> 1:06:39.800]  all our channels we had about 5 billion they admitted to count all the other
[1:06:39.800 --> 1:06:44.280]  channels 10 billion views whatever number one Joe Rogan podcast ever my point
[1:06:44.280 --> 1:06:49.080]  is is that every time we're allowed to get on the field or let's use a NASCAR
[1:06:49.080 --> 1:06:54.840]  analogy you let my team my car get on the track we have won more races
[1:06:54.840 --> 1:06:59.640]  politically we've got more checkered flags we've been popping the champagne
[1:06:59.640 --> 1:07:05.640]  more times than anybody in political media when it comes to video and audio
[1:07:05.640 --> 1:07:09.480]  drudges the king when it comes to the number that the amount of clicks but it's
[1:07:09.480 --> 1:07:14.720]  not about who's number one I just want to beat the globalist the tooty pie is
[1:07:14.720 --> 1:07:21.080]  something completely different he has more views than basically everyone
[1:07:21.080 --> 1:07:28.200]  combined period and if he ever gets political on the side of liberty it is
[1:07:28.200 --> 1:07:33.480]  going to destroy the globalist and that's why I have a message to tooty pie
[1:07:33.480 --> 1:07:37.920]  they're never going to let you continue to operate as a maverick and that's why
[1:07:37.920 --> 1:07:41.800]  they continue to make up that he's a white supremacist and that the and as
[1:07:41.800 --> 1:07:44.880]  they've done that the last few years it's gotten him more patriot more
[1:07:44.880 --> 1:07:49.000]  anti-globalist and I know all people that know him behind the scenes I'm just
[1:07:49.000 --> 1:07:52.920]  gonna leave it at that the guy is the opposite of a quote racist but he is
[1:07:52.920 --> 1:07:56.120]  Swedish that blonde hair blue eyes that's a big trigger for the left and
[1:07:56.120 --> 1:08:05.080]  again he's got more views than Netflix gets in a year I mean it's ridiculous and
[1:08:05.080 --> 1:08:09.440]  so they're scared of him and let me tell you every time he's plugged in for us
[1:08:09.440 --> 1:08:13.400]  he's done it five or six times I mean I'm like why is the website have doubled
[1:08:13.400 --> 1:08:21.520]  the traffic this week it's it's it's unbelievable so tooty pie just cuck to
[1:08:21.520 --> 1:08:24.960]  the ADL we're gonna cover that in a moment but first this is an important
[1:08:24.960 --> 1:08:28.840]  report I've been wanting to get to and so let's go ahead and get to this report
[1:08:28.840 --> 1:08:33.520]  democratic socialism as a cancer well yeah not that one get to that too later
[1:08:33.520 --> 1:08:39.360]  populism critics are professional deviance that's a great point because
[1:08:39.360 --> 1:08:44.840]  populism means the people well I mean we don't want these global populist
[1:08:44.840 --> 1:08:49.240]  members we want big billionaires and ruthless technocrats with the chai
[1:08:49.240 --> 1:08:53.760]  comms it tells you yay China hope you can stop Trump hope you can stop Boris
[1:08:53.760 --> 1:08:59.120]  Johnson hope you can stop Balasaro what here's a record skip so here's that
[1:08:59.120 --> 1:09:05.120]  report it's always the people that have less than zero room to talk that come
[1:09:05.120 --> 1:09:09.360]  barreling out of nowhere to attack President Trump with cartloads of bull
[1:09:09.360 --> 1:09:13.520]  whether it's Mick Jagger who recently blamed Trump for tearing apart
[1:09:13.520 --> 1:09:17.680]  environment controls when America should be setting the standard for the world
[1:09:17.680 --> 1:09:22.640]  of course his royal satanic majesty doesn't understand that those controls
[1:09:22.640 --> 1:09:26.720]  include something found in the fine print of the UN climate summit known as
[1:09:26.720 --> 1:09:30.960]  loss and damage where the United States and other developed countries would
[1:09:30.960 --> 1:09:35.280]  essentially pay up to undeveloped countries for any damage incurred by
[1:09:35.280 --> 1:09:41.040]  co2 emissions determined by UN climate scientists a quick way to spiral the
[1:09:41.040 --> 1:09:46.080]  United States into an economic collapse but who can expect the Satanist who made
[1:09:46.080 --> 1:09:51.040]  a film with Crowley acolyte Kenneth anger and future Manson murderer Bobby
[1:09:51.040 --> 1:09:56.160]  Bosellil to understand anything outside of what his social circle of vampires
[1:09:56.160 --> 1:10:00.560]  tells him and then there is former South Carolina Governor Mark Sanford who
[1:10:00.560 --> 1:10:03.680]  has announced that he will run as a Republican against Trump
[1:10:03.680 --> 1:10:07.360]  Sanford went on to attack Trump for his transgressions
[1:10:07.360 --> 1:10:11.200]  while brushing aside the fact that he covered up an affair he was having
[1:10:11.200 --> 1:10:14.800]  with his Argentinian mistress by claiming he had been hiking the
[1:10:14.800 --> 1:10:21.680]  Appalachian Trail I developed a relationship with a
[1:10:21.680 --> 1:10:26.720]  started as a dear dear friend from Argentina add to this motley crew
[1:10:26.720 --> 1:10:31.760]  disgraced former Trump press secretary Anthony Scaramucci who is desperately
[1:10:31.760 --> 1:10:37.200]  clinging to his 15 minutes of fame he's going after individual privates of
[1:10:37.200 --> 1:10:41.600]  Trump is a fascist oh the first thing in the in the fascist manifesto what is
[1:10:41.600 --> 1:10:46.400]  that is going after private citizens using your political power here's my
[1:10:46.400 --> 1:10:49.680]  question to you because the minute you say something out of line
[1:10:49.680 --> 1:10:53.120]  do you realize you're getting used by the media by saying that and then my own
[1:10:53.120 --> 1:10:56.880]  MSNBC do you realize when they have you on to bash the president
[1:10:56.880 --> 1:11:00.240]  they're using the ashing the president we're gonna work on getting him to feed
[1:11:00.240 --> 1:11:03.280]  because they hate you no this is not about the media hates you but now they
[1:11:03.280 --> 1:11:06.880]  love you because you're hitting the press and then there's the field of
[1:11:06.880 --> 1:11:11.680]  democratic candidate madness towing the same cringeworthy attacks we have all
[1:11:11.680 --> 1:11:16.560]  grown to loathe but if Donald Trump is reelected
[1:11:16.560 --> 1:11:20.320]  Freudian slip as this man tries to divide us
[1:11:20.320 --> 1:11:25.360]  and demean Americans and degrade Americans and pit us against each other
[1:11:25.360 --> 1:11:29.920]  it is time for us it's time for us as democrats to remember
[1:11:29.920 --> 1:11:35.520]  who we are and what are you gonna do in the next one year
[1:11:35.520 --> 1:11:40.400]  to diminish the mentally retarded action of this time
[1:11:41.040 --> 1:11:47.840]  well said someone at your town hall uh that we were at yesterday um called the
[1:11:47.840 --> 1:11:50.720]  current president president trump mentally retarded
[1:11:50.720 --> 1:11:54.800]  um what do you make of that there's video on social media
[1:11:54.800 --> 1:12:00.160]  it's um an incredibly offensive term well said
[1:12:00.160 --> 1:12:04.160]  even the almighty king of morality and truth snopes founder
[1:12:04.160 --> 1:12:09.760]  david michelson allegedly embezzled 98 thousand dollars for prostitutes during
[1:12:09.760 --> 1:12:14.800]  his divorce i ask you has any decent persons stood up in opposition to
[1:12:14.800 --> 1:12:22.160]  president trump's populist uprising john bound reporting
[1:12:22.160 --> 1:12:27.200]  i wanted to play that report because you look at cori booker and camila harris
[1:12:27.200 --> 1:12:32.160]  and anthony scared of mochi and they're viciously lying about trump and his
[1:12:32.160 --> 1:12:35.600]  supporters and calling it fascist if trump then
[1:12:35.600 --> 1:12:39.360]  responds back and says someone's a liar i mean trump said scare of mochi only
[1:12:39.360 --> 1:12:43.200]  works for us 13 days he didn't do a very good job that's why we got
[1:12:43.200 --> 1:12:46.160]  rid of him and now he's trying to get attention for himself because he's a
[1:12:46.160 --> 1:12:50.720]  loser that's trump's response to just trump's a fascist he's hitler get rid
[1:12:50.720 --> 1:12:54.400]  of him he's mentally ill he hates you know everybody
[1:12:54.400 --> 1:12:58.320]  he's a racist well did you ever hear him say something racist well no
[1:12:58.320 --> 1:13:01.680]  and then cori booker they're trying to divide us they're trying to that's their
[1:13:01.680 --> 1:13:04.000]  playbook it's in the wiki leaks that hillary was
[1:13:04.000 --> 1:13:07.360]  trying to create racial division and division between men and women
[1:13:07.360 --> 1:13:11.440]  she's a ruthless pig you know all the things about hillary
[1:13:11.440 --> 1:13:15.120]  representing child molesters on purpose and making jokes about it
[1:13:15.120 --> 1:13:17.920]  and just all the things she's done overthrowing countries murdering
[1:13:17.920 --> 1:13:20.160]  millions
[1:13:20.320 --> 1:13:24.320]  tripling the sanctions on iraq killed a million children malin all rights when
[1:13:24.320 --> 1:13:26.880]  it was a half million said it was a good price to pay
[1:13:26.880 --> 1:13:30.960]  these are admissions is that it's well known it's been in the news
[1:13:30.960 --> 1:13:35.040]  hillary never tips and i'm just i'm just explaining
[1:13:35.040 --> 1:13:39.440]  studies show liberals don't tip as big as conservatives look it up
[1:13:39.440 --> 1:13:43.200]  liberals don't donate as much as conservatives liberals virtue signal
[1:13:43.200 --> 1:13:47.280]  though they steal more they lie more and now she
[1:13:47.280 --> 1:13:50.320]  goes around in art exhibits all over the world she's done in the u.s now she's
[1:13:50.320 --> 1:13:56.480]  doing it in italy and she poses as the president
[1:13:58.640 --> 1:14:03.600]  and you look at her she's a satanic zombie i'm digressing let's get back to
[1:14:03.600 --> 1:14:07.040]  puti pie fans curious after puti pie donates
[1:14:07.040 --> 1:14:11.040]  50 000 to the adl well arnold schwarzzenegger gave a million
[1:14:11.040 --> 1:14:14.960]  dollars the adl and then they stopped saying he was a nazi back in the
[1:14:14.960 --> 1:14:19.120]  80s you know arnold was buddies with kurt volltime an ss officer
[1:14:19.120 --> 1:14:23.920]  who actually rounded up jews uh and uh or he wears
[1:14:23.920 --> 1:14:27.600]  hitler outfits it's well known and he said he loved hitler to rolling stone
[1:14:27.600 --> 1:14:31.120]  quoted he bought uh the extra footage that was never
[1:14:31.120 --> 1:14:34.320]  aired from pumping iron because he praised hitler and pumping iron
[1:14:34.320 --> 1:14:38.080]  now in the extras they were going to put out nice form of extortion though the
[1:14:38.080 --> 1:14:41.840]  filmmakers he bought it for millions uh so he went to the adl
[1:14:41.840 --> 1:14:46.400]  and paid him off hoody pie they call a nazi for a reason
[1:14:46.400 --> 1:14:49.200]  because he's got a hundred and something billion views
[1:14:49.200 --> 1:14:52.960]  and it's growing and they're jealous so the adl is always attacking him calling
[1:14:52.960 --> 1:14:56.240]  for him to be taken off the internet so he gave him 50 000 dollars or started
[1:14:56.240 --> 1:14:58.960]  to and it was a big backlash adl didn't thank him
[1:14:58.960 --> 1:15:03.280]  and so he said screw you all take the money back a great way to chump the adl
[1:15:03.280 --> 1:15:07.600]  the adl with abe foxman discredited itself so bad lost a bunch of lawsuits
[1:15:07.600 --> 1:15:11.040]  got caught breaking into police stations to get files on people
[1:15:11.040 --> 1:15:15.040]  and the adl is the leftist group trying to use
[1:15:15.040 --> 1:15:18.800]  what happened to the jews in the holocaust to project it onto the american
[1:15:18.800 --> 1:15:21.920]  people and to make us all guilty hey we kicked
[1:15:21.920 --> 1:15:25.520]  hitler's ass adl and so you try to tell us all
[1:15:25.520 --> 1:15:29.200]  we're nazis isn't gonna hunt by the way they're trying though
[1:15:29.200 --> 1:15:32.320]  right wingers are america's deadliest terrorists we're gonna get to the false
[1:15:32.320 --> 1:15:35.520]  numbers on the other side as they try to sell you this
[1:15:35.520 --> 1:15:40.560]  that right wingers and white people are terrorists boy doesn't that sound racist
[1:15:40.560 --> 1:15:43.840]  i mean this is the left going pure racial politics
[1:15:43.840 --> 1:15:47.760]  to divide us while telling us that we're when we try to unify people
[1:15:47.760 --> 1:15:51.920]  that we're dividing i love people of every color according to their deeds
[1:15:51.920 --> 1:15:55.920]  like martin luther king rightfully said
[1:15:55.920 --> 1:16:01.280]  when you have a pain in the neck a real pain in the neck back shoulder or
[1:16:01.280 --> 1:16:05.360]  legs you now have two convenient choices to get fast relief
[1:16:05.360 --> 1:16:08.720]  without taking another pill because now sunny bay
[1:16:08.720 --> 1:16:12.800]  heating wraps and pillows are available at both amazon and walmart
[1:16:12.800 --> 1:16:17.520]  yes see sunny bay's four and a half to five star customer reviews on amazon
[1:16:17.520 --> 1:16:20.960]  dot com or walmart dot com our microwavable heat
[1:16:20.960 --> 1:16:24.720]  wraps heatable neck pillows and extra large body wraps are designed
[1:16:24.720 --> 1:16:28.000]  better for perfect support where and when you need it
[1:16:28.000 --> 1:16:32.720]  even while driving sunny bay wraps will not burn and stay balanced to provide
[1:16:32.720 --> 1:16:37.120]  soothing hot or cold therapy to help treat temporary or chronic pain
[1:16:37.120 --> 1:16:41.360]  and the best part sunny bay quality products started under 20 dollars
[1:16:41.360 --> 1:16:45.440]  join thousands of happy customers and see why sunny bay products have a
[1:16:45.440 --> 1:16:49.360]  lifetime 100 positive rating on both amazon and etsy
[1:16:49.360 --> 1:16:53.120]  it's easy click amazon or walmart and search today
[1:16:53.120 --> 1:16:59.040]  for sunny bay heart disease is on the rise clogged arteries high blood pressure
[1:16:59.040 --> 1:17:03.360]  and high cholesterol levels may not be fully detected by you but the symptoms
[1:17:03.360 --> 1:17:06.720]  are there loss of energy blood sugar spikes and drops
[1:17:06.720 --> 1:17:10.880]  poor circulation and irregular heartbeat are just a few of these that can alert
[1:17:10.880 --> 1:17:14.560]  you that something is wrong hear how heart and body extract is
[1:17:14.560 --> 1:17:18.320]  making a difference in thousands of people's lives across america
[1:17:18.320 --> 1:17:21.280]  my blood pressure has normalized my diabetes has
[1:17:21.280 --> 1:17:23.840]  totally improved everyone is telling me now how much
[1:17:23.840 --> 1:17:25.760]  healthier i look and i'm telling everyone how much
[1:17:25.760 --> 1:17:29.760]  healthier i feel i recommend heart and body extract to everyone anybody over
[1:17:29.760 --> 1:17:33.840]  40 in the north american continent should be using this product as a
[1:17:33.840 --> 1:17:37.360]  preventative to keep their cardiovascular system healthy order your
[1:17:37.360 --> 1:17:41.920]  two-month supply today by calling 866-295-5305
[1:17:41.920 --> 1:17:47.920]  that's 866-295-5305 or order online hbextract.com
[1:17:47.920 --> 1:17:55.920]  heart and body extract 866-295-5305 or hbextract.com
[1:17:56.800 --> 1:18:00.240]  as i said here recording this on the eve of september 11th
[1:18:00.240 --> 1:18:04.160]  2019 and i look back to that tragic event
[1:18:04.160 --> 1:18:09.360]  18 years ago it makes me sick to my stomach to be vindicated and have the
[1:18:09.360 --> 1:18:15.200]  fire department of new york and major construction and engineering firms come
[1:18:15.200 --> 1:18:19.360]  out and confirm that bombs were in tower one tower two
[1:18:19.360 --> 1:18:23.040]  and of course building seven it just pancakes and that
[1:18:23.040 --> 1:18:26.960]  then fbi director robert muller helped cover the whole thing up
[1:18:26.960 --> 1:18:30.960]  with the soddies and to know that there's a deep state group
[1:18:30.960 --> 1:18:34.640]  working within our government with radical islam
[1:18:34.640 --> 1:18:38.480]  who are using the threat of islamic terror to take our basic liberties and
[1:18:38.480 --> 1:18:42.720]  freedoms while empowering and funding radical islam to take over the planet
[1:18:42.720 --> 1:18:45.440]  well 18 years later i'm here to tell you that
[1:18:45.440 --> 1:18:49.760]  the world is awakened to 911 and info wars and our researchers and our guests
[1:18:49.760 --> 1:18:53.760]  our whistleblowers have been vindicated yet again that's why info wars.com is
[1:18:53.760 --> 1:18:58.000]  more important than ever we sold secret 12 for four years
[1:18:58.000 --> 1:19:01.760]  and it was our number third best seller we had to discontinue it because when
[1:19:01.760 --> 1:19:04.880]  you upgrade a formula you are supposed to rename it
[1:19:04.880 --> 1:19:09.120]  that new formula is ultra 12 it's twice as strong as secret 12
[1:19:09.120 --> 1:19:13.520]  the very best vitamin b12 out there it's got the complex system that lets your
[1:19:13.520 --> 1:19:18.000]  body absorb it and it does amazing things supports healthy nerve and brain
[1:19:18.000 --> 1:19:21.280]  cells helps make dna helps the body produce energy helps
[1:19:21.280 --> 1:19:24.880]  produce healthy blood cells essential for proper nervous system function it goes
[1:19:24.880 --> 1:19:27.440]  on and on b12 deficiency is a serious problem that could
[1:19:27.440 --> 1:19:30.320]  cause anemia fatigue weakness constipation weight loss
[1:19:30.320 --> 1:19:33.600]  depression poor memory loss asthma vision problems and low sperm count
[1:19:33.600 --> 1:19:37.520]  bottom line folks you need ultra 12 it helps fund the info war
[1:19:37.520 --> 1:19:40.960]  so it's a 360 win and it's 50 off for a limited time
[1:19:40.960 --> 1:19:46.560]  at infowarstore.com again we can only run the special for the next two weeks or
[1:19:46.560 --> 1:19:51.360]  so while supplies last ultra 12 twice as powerful half the price
[1:19:51.360 --> 1:19:55.600]  50 off right now in info wars live.com
[1:19:55.600 --> 1:20:07.200]  you're listening to the alex jones show
[1:20:17.600 --> 1:20:23.920]  you are listening to an infowars.com frontline report if you are receiving
[1:20:23.920 --> 1:20:32.400]  this transmission you are the resistance
[1:20:32.400 --> 1:20:37.520]  welcome back ladies and gentlemen i almost forgot some exciting news
[1:20:37.520 --> 1:20:42.400]  i've been so focused on all the breaking news across the country from texas to
[1:20:42.400 --> 1:20:46.240]  new york to illinois to california confirming in court
[1:20:46.240 --> 1:20:51.360]  and in congress in dc that children have been kept alive illegally all of the
[1:20:51.360 --> 1:20:56.160]  world not just here and their organs are being harvested
[1:20:56.160 --> 1:20:58.960]  yes it's horrific but we knew this a long time ago
[1:20:58.960 --> 1:21:01.680]  now it's coming out and that's why the satanist and their
[1:21:01.680 --> 1:21:05.680]  minions are trying to really intimidate and bully everybody right now because
[1:21:05.680 --> 1:21:09.440]  they can feel the heat the searing light
[1:21:09.440 --> 1:21:14.480]  of publicity like high noon vaporizing count dracula
[1:21:14.480 --> 1:21:19.040]  now president trump tweeted paul joseph watson's great news site
[1:21:19.040 --> 1:21:23.200]  summit dot news and i was talking to paul this morning paul said yeah we've
[1:21:23.200 --> 1:21:26.720]  gotten over a million visitors from it so thanks to
[1:21:26.720 --> 1:21:31.600]  president trump ship carrying climate change warriors
[1:21:31.600 --> 1:21:37.200]  concerned about melting arctic ice get stuck in the ice
