[00:00:14.235 --> 00:00:15.837]  ReadyReserveFoods.com.
[00:23:37.378 --> 00:23:44.063]  If you had to put her arms behind her back and put her in cuffs, that's a whole different story from tasering her.
[00:23:44.063 --> 00:23:46.144]  From tasering her.
[00:23:46.144 --> 00:23:50.187]  Tasering a 72-year-old great-grandmother!
[00:23:50.908 --> 00:23:53.109]  I mean, can I reiterate this any better?
[00:23:53.109 --> 00:23:55.590]  I mean, out of control!
[00:23:55.590 --> 00:23:57.110]  And now we're going to play the EMS clip.
[00:23:57.110 --> 00:23:59.291]  We're going to go back to back for you.
[00:23:59.291 --> 00:24:01.192]  See how out of control these cops are.
[00:24:01.192 --> 00:24:16.298]  I mean, it's not enough that a couple of weeks ago, when I did this show, three or four weeks ago, we have to report on the fact that this young girl calls 911 for her father, who had had a brain aneurysm in the weeks before and started having a seizure.
[00:24:16.758 --> 00:24:17.598]  And what happens?
[00:24:17.598 --> 00:24:22.880]  The cop hangs up on her three times because she used a naughty word.
[00:24:22.880 --> 00:24:28.481]  Oh, she used the F word while my father was having a seizure that made a take in his life.
[00:24:28.481 --> 00:24:41.804]  And then on top of that, she goes because the cop station is only a few blocks down and she doesn't realize the jackass police officer that just hung up on her three separate times without even finding out what was going on is the one working there.
[00:24:41.804 --> 00:24:43.545]  So she goes there, guess what she gets?
[00:24:43.545 --> 00:24:44.205]  Arrested!
[00:24:44.910 --> 00:24:47.032]  That's the country we live in!
[00:24:47.032 --> 00:24:54.476]  And now it's cops attacking EMTs and trying to arrest them for helping old women hit it.
[00:24:54.476 --> 00:25:01.961]  That man telling you not to get involved, that's the guy that gets attacked in a moment.
[00:25:01.961 --> 00:25:04.403]  Continue.
[00:25:04.403 --> 00:25:09.907]  And the person taping this whole thing, getting the evidence, is the son of the woman that just cannot believe this is even happening.
[00:25:10.547 --> 00:25:13.070]  Sir, I've been going hot over here to help the county out.
[00:25:13.070 --> 00:25:15.393]  And right now, the driver has his head down.
[00:25:15.393 --> 00:25:19.538]  He can't believe he's being ridiculed by this jackboot thug officer.
[00:25:19.538 --> 00:25:20.940]  But he's going to give in.
[00:25:20.940 --> 00:25:22.141]  He's going to put his head down.
[00:25:22.141 --> 00:25:23.022]  Okay, I'm ready.
[00:25:23.022 --> 00:25:25.605]  Now, here's where it gets out of control, folks.
[00:25:25.605 --> 00:25:28.068]  Do it to mama right there.
[00:25:32.515 --> 00:25:33.896]  Walks around.
[00:25:33.896 --> 00:25:36.617]  You are under arrest.
[00:25:36.617 --> 00:25:38.518]  You are under arrest.
[00:25:38.518 --> 00:25:40.999]  See this guy's smart.
[00:25:40.999 --> 00:25:46.501]  He doesn't just go under arrest.
[00:25:46.501 --> 00:25:49.742]  He knows there's a state law against this.
[00:25:49.742 --> 00:25:55.805]  Right now the cop's hands are just right around his throat and he's choking him.
[00:25:55.805 --> 00:25:58.406]  Thank God this guy stood up for himself.
[00:25:58.406 --> 00:26:00.087]  Otherwise he would have gone to jail.
[00:26:00.627 --> 00:26:06.250]  And this woman would have been unattended, unattended in the back of an EMS van.
[00:26:06.250 --> 00:26:08.952]  Alright, I'm going to take some callers.
[00:26:08.952 --> 00:26:16.796]  But on the other side of the next break, we're really going to talk about this new cyber security coordinator, what that means for you, what internet 2 is.
[00:26:16.796 --> 00:26:18.057]  Total slavery.
[00:26:18.057 --> 00:26:21.779]  I mean, worse than China, worse than what Australia is doing to censor the internet.
[00:26:21.779 --> 00:26:24.381]  And this is going to be global, that's what they want.
[00:26:24.381 --> 00:26:26.782]  They want full control.
[00:26:26.782 --> 00:26:28.443]  Chris in Florida, you're on the line, sir.
[00:26:30.293 --> 00:26:39.000]  Hey, isn't Sotomayor, isn't she a member of an organization that would just do anything for blacks, just give the shirt off their backs for blacks, La Raza?
[00:26:47.286 --> 00:26:49.867]  La Raza means of the race, or for the race.
[00:26:49.867 --> 00:27:01.810]  I mean, this woman, this woman is somebody who is going to grant amnesty to everybody, who is going to bring in a North American Union, who is obviously anti-gun, and La Raza is a racial organization.
[00:27:01.810 --> 00:27:06.432]  She, you know, this reverse racism nonsense, there's nothing reverse about it.
[00:27:06.432 --> 00:27:09.012]  People of all colors can be racists.
[00:27:09.012 --> 00:27:14.774]  And, you know, this woman, to me, with her statements and her council membership, a la Raza, is an obvious racist, sir.
[00:27:15.905 --> 00:27:16.806]  Well, I'm talking right.
[00:27:16.806 --> 00:27:17.888]  I'm talking about LaRosa.
[00:27:17.888 --> 00:27:25.978]  They are very anti-black, anti-anybody, either Hispanic or Afro-Latino, or ethnicity, according to them.
[00:27:25.978 --> 00:27:30.203]  And it's just funny, you know, another anti-black move on Obama's part.
[00:27:30.203 --> 00:27:31.745]  But I'm talking about that paramedic.
[00:27:31.745 --> 00:27:32.406]  I saw that video.
[00:27:33.287 --> 00:27:40.652]  And in the story, the footage does not show the paramedic assaulting the trooper like the trooper claimed.
[00:27:40.652 --> 00:27:48.416]  And when the paramedic is under arrest, you can see he just becomes aware that he's dealing with a bully, not a police officer.
[00:27:48.416 --> 00:27:52.999]  And he sees that that officer just sends fear, so he's trying to evoke more fear.
[00:27:52.999 --> 00:27:54.060]  And the paramedic points out
[00:27:54.560 --> 00:27:56.922]  How unnecessary it is to be restrained by the neck.
[00:27:56.922 --> 00:28:04.928]  He keeps saying hello, hello, pointing at his neck like I'm speaking here, and you don't need to do this, and just demonstrating how well restrained he was.
[00:28:04.928 --> 00:28:11.532]  But the other trooper, the backup officer, should have intervened, so he's also civilly liable for a civil rights suit.
[00:28:11.532 --> 00:28:14.815]  But thanks very much for stating the good name of police.
[00:28:14.815 --> 00:28:16.176]  Alright, you got it, my friend.
[00:28:16.176 --> 00:28:18.998]  And you know, again, it's not all cops, folks, but really,
[00:28:20.007 --> 00:28:29.551]  I mean, when 72-year-old women are being tasered, and this one cop is completely out of control, because the other cop, you can tell, he can't believe that this guy is doing this.
[00:28:29.551 --> 00:28:31.712]  You know, he is not happy with his partner.
[00:28:31.712 --> 00:28:34.833]  But that's okay, because this guy's under internal investigation.
[00:28:34.833 --> 00:28:37.234]  He pulls over ambulances with pregnant women.
[00:28:37.234 --> 00:28:39.535]  Everything's just fine in this country, folks.
[00:28:39.535 --> 00:28:41.236]  Let's go to Ken in Dallas.
[00:28:41.236 --> 00:28:43.777]  Ken, you're online.
[00:28:43.777 --> 00:28:45.278]  Hey, Jason, how's it going?
[00:28:45.278 --> 00:28:45.438]  Good.
[00:28:46.204 --> 00:28:47.785]  Hey, good to talk to you.
[00:28:47.785 --> 00:28:52.468]  I just haven't heard much on the radio lately about the Chemtrail issue.
[00:28:52.468 --> 00:28:55.831]  I know Alex said he was going to do a film on that coming up.
[00:28:55.831 --> 00:28:57.311]  I don't know if he's talked about it.
[00:28:57.311 --> 00:28:58.532]  Well, yeah, he's still working on it.
[00:28:58.532 --> 00:29:00.614]  Right now it's Obama 2 right now.
[00:29:00.614 --> 00:29:11.241]  I mean, although the Chemtrail 1 is coming up and we're trying to get a hold of Rosalynn Peterson and go out to California to get a good interview with her, right now the focus is the second Obama deception picture.
[00:29:11.701 --> 00:29:12.922]  Fall of the Republic.
[00:29:12.922 --> 00:29:14.783]  I believe I hear the bumper music, my friend.
[00:29:14.783 --> 00:29:17.185]  Listen, we'll come back to you on the other side.
[00:29:17.185 --> 00:29:27.692]  Take more calls and then get into what Obama's coming out party for Internet 2.0 and a cyber security, you know, office and coordinator really means.
[00:29:27.692 --> 00:29:28.573]  We'll be back after this.
[00:29:28.573 --> 00:29:29.394]  It's the Alex Jones Show.
[00:29:36.385 --> 00:29:37.607]  News flash!
[00:29:37.607 --> 00:29:40.430]  Unemployment is soaring over 10%.
[00:29:40.430 --> 00:29:44.435]  The dollar is plummeting and banks are beginning to close their doors.
[00:29:45.863 --> 00:29:49.845]  Financial experts are saying we are headed for an economic depression.
[00:29:49.845 --> 00:29:54.468]  The world is on the brink of total meltdown.
[00:29:54.468 --> 00:30:01.472]  Unless you expect the government to bail you out, you must be able to grow your own healthy food.
[00:30:01.472 --> 00:30:09.797]  Survivalistseeds.com has just released a brand new heirloom seed pack at a dramatically reduced price.
[00:30:09.797 --> 00:30:13.619]  So you and your family have a long-term food solution.
[00:30:15.100 --> 00:30:18.882]  The choice between starvation and freedom is made by you.
[00:30:18.882 --> 00:30:20.062]  Right now.
[00:30:20.062 --> 00:30:22.583]  Go to survivalistseeds.com.
[00:30:22.583 --> 00:30:24.904]  That's survivalistseeds.com.
[00:30:24.904 --> 00:30:28.305]  Because you are almost out of time.
[00:30:28.305 --> 00:30:29.346]  survivalistseeds.com
[00:30:32.987 --> 00:30:42.272]  Did you know that it's a documented fact 80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection?
[00:30:42.272 --> 00:30:50.416]  You may be one of millions of people suffering from one of dozens of debilitating chronic diseases from these parasites and your doctor would never know it.
[00:30:50.416 --> 00:30:50.736]  In fact,
[00:30:50.796 --> 00:30:55.018]  And clinically detected parasites account for only 1% of all cases.
[00:30:55.018 --> 00:30:57.760]  Don't continue to suffer from pain due to misdiagnosis.
[00:30:57.760 --> 00:31:09.346]  Now you can fight internal parasites, heavy metal poisoning, and high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[00:31:09.346 --> 00:31:15.769]  FPP is used around the world, has numerous uses, and is now available to you from Freshwater Organics.
[00:31:15.769 --> 00:31:19.511]  FPP strengthens skin, hair, and bones, lowers cholesterol, and is an
[00:31:19.691 --> 00:31:23.672]  Excellent source of natural plant-based silica with 14 trace minerals.
[00:31:23.672 --> 00:31:26.593]  Order some today at FreshWaterOrganics.com.
[00:31:26.593 --> 00:31:28.953]  Again, that's FreshWaterOrganics.com.
[00:31:28.953 --> 00:31:30.994]  Or call 888-949-3570.
[00:31:30.994 --> 00:31:38.135]  The word catastrophe is defined as a sudden and widespread disaster.
[00:31:38.135 --> 00:31:41.316]  The only way to be truly ready is to prepare yourself now.
[00:31:42.807 --> 00:31:48.091]  The7store.net is here to make sure you are fully prepared in the event of any catastrophe.
[00:31:48.091 --> 00:32:00.299]  The7store.net carries high-quality storable MREs, storable and freeze-dried foods, survival gear, terror and pandemic kits, water storage, self-reliant items, and more.
[00:32:00.299 --> 00:32:02.621]  All with a low-price guarantee.
[00:32:02.621 --> 00:32:08.004]  We are ready to answer your questions and offer advice on preparedness, food storage, and more.
[00:32:08.004 --> 00:32:09.805]  See why The7store.net is one of the nation's
[00:32:10.606 --> 00:32:11.346]  Hi, I'm Steve Shank.
[00:32:36.101 --> 00:32:39.965]  A wise man once said, if a dog ain't bitin', dogs don't bite.
[00:32:39.965 --> 00:32:43.829]  This means most people don't really believe a disaster will hit them until it does.
[00:32:43.829 --> 00:32:53.218]  The ones who truly understand self-reliance are those who've experienced the devastation of a Midwest ice storm, tornadoes, floods, or the Southeast hurricane season.
[00:32:53.218 --> 00:32:59.604]  No matter where you live in our great country, fearless independence and safety means water, food, and an evacuation plan.
[00:33:00.453 --> 00:33:03.495]  Find efoodsdirect.com on the internet.
[00:33:03.495 --> 00:33:08.878]  They have a two-month grab-and-go kit that provides more than three super meals a day for two months.
[00:33:08.878 --> 00:33:11.940]  The cost is about five dollars a day.
[00:33:11.940 --> 00:33:14.181]  Call 800-409-5633.
[00:33:14.181 --> 00:33:23.747]  It will be tempting to eat these foods right now, but each one of us needs to keep one in the car and one next to the door just in case.
[00:33:24.739 --> 00:33:33.088]  Call 800-409-5633 or look on the web at efoodsdirect.com.
[00:33:33.088 --> 00:33:39.014]  The GCN Radio Network, providing the world with hard-hitting talk radio.
[00:33:39.014 --> 00:33:42.097]  GCN, great talk radio starts here.
[00:33:46.468 --> 00:33:52.235]  Alright, folks, we are back with the Alex Jones Show, and joining us now via telephone is Alex Jones.
[00:33:52.235 --> 00:33:53.936]  Alex, how are ya?
[00:33:53.936 --> 00:34:00.284]  That's right, driving down I-37, back from the beach with the family on the Texas coast.
[00:34:00.284 --> 00:34:02.266]  Jason, I appreciate you sitting in for me.
[00:34:02.266 --> 00:34:03.948]  How's my cell phone coming in?
[00:34:03.948 --> 00:34:04.749]  It's coming in well, Alex.
[00:34:05.794 --> 00:34:13.199]  Oh yeah, I'm just going to make a quick point when I get back to news and this whole declaring war on free speech globally, that's what this cyber security announcement is.
[00:34:13.199 --> 00:34:17.601]  Like the phony war on terror, phony war on drugs, war on illiteracy.
[00:34:17.601 --> 00:34:20.983]  There'll be more drugs, more terror, and more dumb people.
[00:34:20.983 --> 00:34:23.065]  And, you know, zero freedom on the internet.
[00:34:24.600 --> 00:34:27.783]  Look, the issue here is we know the police are bad in North Korea.
[00:34:27.783 --> 00:34:29.925]  We know the police are bad in Communist China.
[00:34:29.925 --> 00:34:31.988]  We know the police are bad in Soviet Russia.
[00:34:31.988 --> 00:34:36.652]  We know the police are the bad guys in Communist Cuba today.
[00:34:36.652 --> 00:34:41.497]  We know the police are bad in Nazi Germany or Soviet Eastern Germany.
[00:34:41.497 --> 00:34:43.139]  We know the police are bad in Mexico.
[00:34:43.139 --> 00:34:45.161]  We know the police are bad in Guatemala.
[00:34:45.161 --> 00:34:46.842]  We know that tyranny comes to your door
[00:34:47.705 --> 00:34:48.505]  We're good to go.
[00:35:12.691 --> 00:35:15.152]  In the interest of time, what happened?
[00:35:15.152 --> 00:35:20.916]  It's on record now, and the police report, the state police report is up.
[00:35:20.916 --> 00:35:31.822]  It's what the EMPs, Emergency Medical Technicians, and the paramedics originally said, and the police tried to lie and say, oh the video doesn't show him assaulting the cop.
[00:35:32.509 --> 00:35:33.930]  That was where the cops had seen the video.
[00:35:33.930 --> 00:35:38.212]  The assault is when they're pushing him and choking him and grabbing his arm.
[00:35:38.212 --> 00:35:40.253]  He pulls his arm away once.
[00:35:40.253 --> 00:35:44.655]  So that's why they're saying they're going to charge the paramedic in the back of the car.
[00:35:44.655 --> 00:35:49.218]  So what happened is this ambulance wouldn't get out of the way of the police.
[00:35:49.218 --> 00:35:51.559]  They were trying to go around them in traffic.
[00:35:51.559 --> 00:35:52.979]  And the police now admit this.
[00:35:52.979 --> 00:35:54.580]  The EMTs couldn't.
[00:35:54.580 --> 00:35:57.662]  You know they had their lights on with a lady that they thought was having a heart attack.
[00:35:57.662 --> 00:35:59.543]  It turned out she had heat exhaustion.
[00:36:00.323 --> 00:36:01.445]  Which mimics heart attacks.
[00:36:01.445 --> 00:36:06.750]  She was an older woman and her son was found in the hospital.
[00:36:06.750 --> 00:36:09.293]  So they run up and start screaming at the EMTs.
[00:36:09.293 --> 00:36:10.795]  They turn their lights on, pull them over.
[00:36:11.730 --> 00:36:11.990]  Yes, I am.
[00:36:31.724 --> 00:36:32.884]  You are, you are.
[00:36:32.884 --> 00:36:33.825]  You are, you are.
[00:36:33.825 --> 00:36:34.345]  You are, you are.
[00:37:01.912 --> 00:37:08.036]  What I originally said watching the tape three days ago, it is confirmed.
[00:37:08.036 --> 00:37:13.800]  What the tape originally showed, what the EMPs told our office, what we're scared to come on the show, what they told local news.
[00:37:13.800 --> 00:37:18.143]  And you interviewed, of course, local news stations in Oklahoma Friday, or Thursday.
[00:37:18.143 --> 00:37:19.344]  So we've been all over this story.
[00:37:19.344 --> 00:37:27.730]  For those that don't know, this is a microcosm, not just of what the police did, but their response to all of this and the attempted cover-up.
[00:37:29.002 --> 00:37:33.905]  This ambulance in traffic wouldn't get out of the way because cars were across all lanes.
[00:37:33.905 --> 00:37:41.290]  The police car began to almost run into the ambulance with lights on.
[00:37:41.290 --> 00:37:54.458]  The police drive on the shoulder around, go to their traffic call, and then chase down the ambulance minutes later, reportedly about 15 minutes later, basically almost running it off the road.
[00:37:55.800 --> 00:37:57.701]  Uh, the UT's got to say, what's the problem?
[00:37:57.701 --> 00:37:59.683]  The cops jump in their face, flip out.
[00:37:59.683 --> 00:38:02.905]  Now it turns out this officer has some type of mental problem.
[00:38:02.905 --> 00:38:06.267]  He has been written up for going crazy on an ambulance before.
[00:38:06.267 --> 00:38:09.729]  He can't stand that they're God-level like him.
[00:38:09.729 --> 00:38:11.970]  You see, this is government battling government.
[00:38:11.970 --> 00:38:18.374]  To him, they are below him on the God-level dictatorship hierarchy, and I mean that when I say it.
[00:38:18.374 --> 00:38:19.435]  So he has this fetish
[00:38:19.895 --> 00:38:23.036]  This obsession with ambulances and the fact that they don't get out of his way.
[00:38:23.036 --> 00:38:24.676]  Now, they're following state and federal law.
[00:38:24.676 --> 00:38:25.796]  They're not supposed to.
[00:38:25.796 --> 00:38:28.497]  They are above the godlike police.
[00:38:28.497 --> 00:38:30.197]  Yes, there is someone actually above you.
[00:38:30.197 --> 00:38:32.858]  No one's supposed to stop them when they're doing their job.
[00:38:32.858 --> 00:38:35.818]  So, when they've got their lights on.
[00:38:35.818 --> 00:38:48.281]  So, then, the black officer in the back, who they haven't even seen, not the driver, he gets down and starts going to the back with equipment to help the woman that they believe is having a heart attack.
[00:38:48.865 --> 00:38:49.365]  We're good to go.
[00:39:19.019 --> 00:39:19.639]  You know, you're fine.
[00:39:19.639 --> 00:39:22.441]  You pulled us over, but I'm gonna help her.
[00:39:22.441 --> 00:39:29.866]  But the control freak and the religion of control freakness has got a fetish for some kind of a weird obsession with ambulances.
[00:39:29.866 --> 00:39:35.309]  It's like a bird dog that gets mad because, you know, he chases cars or something.
[00:39:35.309 --> 00:39:37.951]  And it got completely out of his mind, in my opinion.
[00:39:37.951 --> 00:39:39.632]  But he's been written up for this before.
[00:39:40.643 --> 00:39:46.085]  And so, they start pushing and grabbing on him, and the EMT just pulls his arm back.
[00:39:46.085 --> 00:39:49.846]  Well, then they start choking him, and the EMT goes, wait a minute.
[00:39:49.846 --> 00:39:51.147]  These people are nuts.
[00:39:51.147 --> 00:39:57.109]  So he controls himself, goes into that place of control, while they're choking him, and he's calmly going, you're choking me.
[00:39:57.862 --> 00:39:58.462]  It's choking me.
[00:39:58.462 --> 00:39:59.502]  What's wrong with you?
[00:39:59.502 --> 00:40:04.163]  And they're choking him, getting off on it, looking like total demonic lunatics.
[00:40:04.163 --> 00:40:06.964]  Like a Nazi in a death camp shooting somebody in the back of the head.
[00:40:06.964 --> 00:40:10.525]  I mean, that's the same, you know, Jeffrey Dahmer type, getting off on it.
[00:40:10.525 --> 00:40:11.465]  Crazy men.
[00:40:11.465 --> 00:40:13.266]  It's up on InfoWars.com, folks.
[00:40:13.266 --> 00:40:15.286]  Watch the cell phone video up close.
[00:40:15.286 --> 00:40:20.087]  I mean, they are on a power trip with their Marine Corps hats on and their drill sergeant hats.
[00:40:20.087 --> 00:40:23.548]  And then finally the cop choking him because the guy didn't resist.
[00:40:24.546 --> 00:40:30.990]  realizes he looks like a complete lunatic and says, okay, I'm sorry, and pats him on the back and lets him leave.
[00:40:30.990 --> 00:40:33.411]  So, at least the cop had a soul.
[00:40:33.411 --> 00:40:35.072]  But the point is, they're nuts!
[00:40:35.072 --> 00:40:36.313]  They're nuts!
[00:40:36.313 --> 00:40:37.614]  They're nuts!
[00:40:37.614 --> 00:40:43.297]  I mean, yeah, when I was 15 years old, I'd blow up and, you know, go off the handle and people would get in fights for no reason.
[00:40:43.297 --> 00:40:50.541]  You can't do that when you're 35 and a police officer with a firearm and going crazy on ambulances.
[00:40:50.541 --> 00:40:52.823]  But it's just like in Oakland where they shot the guy in the back
[00:40:53.758 --> 00:40:54.820]  On the ground in handcuffs.
[00:40:54.820 --> 00:40:56.824]  They lied and said he'd attacked police.
[00:40:56.824 --> 00:40:59.008]  They seized all the cell phone cameras.
[00:40:59.008 --> 00:41:02.394]  Claimed that the subway video cameras had malfunctioned.
[00:41:03.473 --> 00:41:07.616]  But thank God a train was driving by and it stopped on the other side of the platform.
[00:41:07.616 --> 00:41:09.718]  Videotaped, but he didn't resist.
[00:41:09.718 --> 00:41:12.260]  He was on the ground in handcuffs when they executed him.
[00:41:12.260 --> 00:41:15.642]  Then the cop beats him up as the guy's dying.
[00:41:15.642 --> 00:41:22.107]  As he's in handcuffs bleeding to death, the cop slams him around and kind of does like a guerrilla attack on him like an insane demon.
[00:41:22.107 --> 00:41:23.568]  Police, it happens everywhere.
[00:41:23.848 --> 00:41:26.931]  You've gone like North Korea and China and Germany.
[00:41:26.931 --> 00:41:28.332]  The Republic is falling.
[00:41:28.332 --> 00:41:30.073]  Offshore banks seized us.
[00:41:30.073 --> 00:41:34.477]  You've been told to act like thugs and that it's normal so they can help bring down America.
[00:41:34.477 --> 00:41:36.138]  Break the spell of tyranny.
[00:41:36.138 --> 00:41:38.200]  Stand with George Washington and Liberty.
[00:41:38.200 --> 00:41:39.881]  Don't stand with the New World Order.
[00:41:39.881 --> 00:41:42.503]  Now get into cybersecurity and take calls, my friend.
[00:41:42.503 --> 00:41:43.464]  I'm listening to you on 590.
[00:41:43.464 --> 00:41:45.786]  It goes all the way down to the coast.
[00:41:45.786 --> 00:41:46.467]  And God bless you.
[00:41:46.467 --> 00:41:47.487]  I'll be back live tomorrow.
[00:41:47.487 --> 00:41:48.028]  Jason Burmess.
[00:41:48.308 --> 00:41:50.171]  Alright, thank you so much, Alex.
[00:41:50.171 --> 00:41:59.424]  We're going to jump back to Ken in a moment, but when he talks about this, you have to see the video to really appreciate how insane this whole thing is.
[00:41:59.424 --> 00:42:01.407]  And like he said, this guy's done it before.
[00:42:01.407 --> 00:42:02.769]  He pulled over an ambulance
[00:42:03.402 --> 00:42:04.883]  With a pregnant woman in it!
[00:42:04.883 --> 00:42:07.484]  There is an internal investigation going on!
[00:42:07.484 --> 00:42:18.668]  I don't know why this cop hasn't lost his job without pay yet, but for some reason, with his internal connections, and this is according to the CBS affiliate journalist we had on on Friday, he has connections to the local judge.
[00:42:18.668 --> 00:42:21.169]  So you don't think there are good old boy networks?
[00:42:21.169 --> 00:42:23.390]  You don't think the cops will cover for each other?
[00:42:23.390 --> 00:42:26.471]  You don't think they suppress videos when they shoot a guy?
[00:42:26.471 --> 00:42:27.431]  They do!
[00:42:27.431 --> 00:42:28.572]  It's on record!
[00:42:28.572 --> 00:42:29.312]  Open your eyes!
[00:42:29.312 --> 00:42:30.933]  Alright, back to Ken in Dallas.
[00:42:30.933 --> 00:42:31.493]  Ken, what's up?
[00:42:33.243 --> 00:42:34.344]  Yes, sir.
[00:42:34.344 --> 00:42:35.465]  Did he drop?
[00:42:35.465 --> 00:42:37.907]  All right, let's go to Rodney in Texas.
[00:42:37.907 --> 00:42:38.328]  Oh, we got him?
[00:42:38.328 --> 00:42:39.269]  Ken, go ahead.
[00:42:39.269 --> 00:42:40.089]  Yeah, are you there?
[00:42:40.089 --> 00:42:40.670]  Yes.
[00:42:40.670 --> 00:42:42.432]  That cop should definitely lose his job.
[00:42:42.432 --> 00:42:45.815]  I just don't understand how they can't control an older woman like that.
[00:42:45.815 --> 00:42:47.957]  I mean, what are they, wimps or something?
[00:42:47.957 --> 00:42:53.602]  If she did something wrong, they don't need to taser her, for God's sake.
[00:42:53.602 --> 00:42:56.825]  We had that kid who was 16 years old, half retarded,
[00:42:57.598 --> 00:43:05.844]  Jumps out of a car on a traffic stop last week and he gets tasered and he ends up dying and the cops are lords so nothing happens to them.
[00:43:05.844 --> 00:43:07.685]  That could be deadly force.
[00:43:07.685 --> 00:43:12.329]  Taser is the second to last option that a police officer should use.
[00:43:12.329 --> 00:43:12.809]  Go ahead Ken.
[00:43:13.309 --> 00:43:15.551]  And they just seem to be using it easier and easier.
[00:43:15.551 --> 00:43:17.433]  It's just getting worse.
[00:43:17.433 --> 00:43:19.074]  It's becoming more and more commonplace.
[00:43:19.074 --> 00:43:20.695]  Look, I'm going to have to hold you over yet again.
[00:43:20.695 --> 00:43:25.159]  We're going to continue to take callers and we're really going to get into this cyber security on the other side.
[00:43:25.159 --> 00:43:26.420]  It's the Alex Jones Show.
[00:43:26.420 --> 00:43:27.721]  InfoWars.com.
[00:43:27.721 --> 00:43:28.281]  PrisonPlanet.tv.
[00:43:33.150 --> 00:43:35.151]  Heart disease is on the rise.
[00:43:35.151 --> 00:43:42.113]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:43:42.113 --> 00:43:50.515]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:43:50.515 --> 00:43:56.217]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:43:56.637 --> 00:43:58.238]  My blood pressure has normalized.
[00:43:58.238 --> 00:44:00.539]  My diabetes has totally improved.
[00:44:00.539 --> 00:44:04.961]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:44:04.961 --> 00:44:07.182]  I recommend Heart and Body Extract to everyone.
[00:44:07.182 --> 00:44:15.005]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:44:15.145 --> 00:44:21.728]  If we could all see the germs that we encounter each day, we might have a different outlook on how we view our surroundings.
[00:44:21.728 --> 00:44:26.830]  In the past, you may not have put too much thought into it, but with the current health risks and the
[00:44:48.095 --> 00:44:51.178]  It's tough on germs but not on children and pets.
[00:45:02.358 --> 00:45:12.144]  You'll receive the fogger, liquid concentrate, enough to make up to 32 gallons of germ-killing power, three respirators, goggles, protective suit, and heavy-duty gloves.
[00:45:12.144 --> 00:45:16.666]  Order right now at hazard.com, and you'll receive double the order of liquid concentrate.
[00:45:16.666 --> 00:45:17.327]  Or call 800-675-0323.
[00:45:17.327 --> 00:45:17.567]  That's 800-675-0323.
[00:45:17.567 --> 00:45:18.428]  Or visit hazard.com.
[00:45:18.428 --> 00:45:19.348]  That's H-A-Z-A-R-I-D.
[00:45:19.348 --> 00:45:19.608]  Protect.
[00:45:19.608 --> 00:45:19.968]  Prepare.
[00:45:19.968 --> 00:45:20.749]  Get your hazard today.
[00:45:34.121 --> 00:45:34.721]  We're good to go!
[00:45:57.987 --> 00:46:03.970]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:46:03.970 --> 00:46:06.671]  From big to small, we have it all.
[00:46:06.671 --> 00:46:10.693]  Pepper spray, mace, animal repellents, stun guns, and tasers.
[00:46:10.693 --> 00:46:17.416]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[00:46:17.416 --> 00:46:21.938]  Enter SAFE in the coupon box and you'll receive a special discount off of your order.
[00:46:22.298 --> 00:46:23.959]  So what are you waiting for?
[00:46:23.959 --> 00:46:25.920]  Go to Pepperspray.com.
[00:46:25.920 --> 00:46:27.320]  That's Pepperspray.com.
[00:46:27.320 --> 00:46:28.241]  Or call 1-800-908-9988 today.
[00:46:28.241 --> 00:46:28.841]  Call 877-394-6657.
[00:46:28.841 --> 00:46:29.221]  Getseeds.net.
[00:46:29.221 --> 00:46:29.562]  Getseeds.net.
[00:46:49.395 --> 00:46:51.377]  I don't think so.
[00:46:56.119 --> 00:47:00.502]  We may be headed for another Great Depression this summer of 2009.
[00:47:00.502 --> 00:47:03.544]  You need to grow your own food or you're in trouble.
[00:47:03.544 --> 00:47:09.669]  I sell non-GMO, heirloom, chemical-free seeds, and mine is the best deal around.
[00:47:09.669 --> 00:47:14.532]  You get 100 vegetable seed packets for the incredible price of $49.
[00:47:14.532 --> 00:47:17.514]  That's only 49 cents for each packet.
[00:47:17.514 --> 00:47:19.755]  Start your garden now.
[00:47:19.755 --> 00:47:20.656]  Getseeds.net!
[00:47:24.609 --> 00:47:30.115]  Call 877-394-6657 Are you tired of searching for great talk radio?
[00:47:30.115 --> 00:47:33.458]  Search no more.
[00:47:33.458 --> 00:47:34.939]  We are the GCN Radio Network.
[00:47:45.120 --> 00:47:48.004]  We're going to get heavy into cyber security in a moment.
[00:47:48.004 --> 00:47:53.170]  I mean, people have to realize the guy that they were setting up for this job, he was the chief of cyber security.
[00:47:53.170 --> 00:47:56.995]  There had not been a czar created and there had not been an office created.
