[00:00.000 --> 00:07.000]  There is a war. It's happening now. It will decide the fate of humanity.
[34:40.000 --> 34:43.000]  And now we've got a bunch of other members of parliament saying the same thing in Spain.
[34:44.000 --> 34:45.000]  This is crazy.
[34:45.000 --> 34:52.000]  They're threatening to march EU armies into countries that try to pull out who never voted to enter it.
[34:53.000 --> 34:57.000]  Can you say bye-bye? Can you say you really failed now in your arrogance, brother?
[35:00.000 --> 35:09.000]  So Lord Monkton, top advisor to Margaret Thatcher and a guy that helped kill so much of the carbon taxes we see will be joining us.
[35:09.000 --> 35:17.000]  Mike Cernovich, what a hero. A week and a half ago demonized his fake news for saying Hillary fell down and other stuff on 60 Minutes.
[35:18.000 --> 35:21.000]  Mike Cernovich got the intel from a leaker inside Bloomberg. He didn't tell me that, I know.
[35:22.000 --> 35:29.000]  Bloomberg an hour later had to admit, okay, yeah, Susan Rice was ordering the illegal spying on President Trump and everybody else, just like Trump told you.
[35:30.000 --> 35:33.000]  And just like, see, he's the president, but he's not going to leak national security stuff.
[35:33.000 --> 35:43.000]  He's going to let them sit there and lie knowing everybody in the intelligence community knows and just let them do more rope, more rope scum, more ropes, more rope.
[35:44.000 --> 35:58.000]  Mike Cernovich and then Millie Weaver and crew are in LA investigating the 474 accused pedophiles who were caught with 30 plus women in sex slavery and 28 children and some of them small children in cages.
[35:58.000 --> 36:07.000]  So we're reporting on the fact that pedophilia is rampant across this country in Europe and that people are rolling it up all over and then.
[36:08.000 --> 36:18.000]  I'm going to those 30 minutes of the fourth hour and the day of the night takes over the news blitz. I've got former major SEAL team leader, patriot, dev group, whole nine yards.
[36:19.000 --> 36:22.000]  He's got five TV shows, three of them he stars on, so he's got a lot to lose.
[36:22.000 --> 36:33.000]  It's not like he's some guy just trying to get attention, running a major operation with a bunch of agencies and folks in their private capacities because the media won't cover all the child trafficking and the rest of it.
[36:34.000 --> 36:35.000]  They have all the arrest, the intel.
[36:36.000 --> 36:47.000]  He's running an operation to expose that and he got calls from major agencies that we've got the chatter and that they're all panicking and figuring out how to try to take him out or legal action even before he moves.
[36:47.000 --> 36:59.000]  So the pedophiles understand we now to a great extent legally and lawfully because these are targeted groups with no criminal backgrounds are surveilling them and with warrants of course.
[37:00.000 --> 37:01.000]  And I mean that's why they're panicking.
[37:02.000 --> 37:03.000]  We are so close to bringing it all down.
[37:04.000 --> 37:05.000]  So get ready for Trump to strike back.
[37:06.000 --> 37:06.000]  This is only the beginning.
[37:07.000 --> 37:08.000]  We're going to Roger Stone in a moment.
[37:09.000 --> 37:10.000]  We sell his bestselling book.
[37:10.000 --> 37:19.000]  Number one political book at Amazon for months ongoing, I don't know what it is today, the making of the president 2016 and info wars store.com and your purchase is vital.
[37:20.000 --> 37:21.000]  I'm giving $100,000.
[37:22.000 --> 37:22.000]  I gave 10,000.
[37:23.000 --> 37:25.000]  They censored his you carrying account when 50,000 hit it in an hour.
[37:26.000 --> 37:29.000]  So now he's raised about 100,000, you know, to fund this.
[37:30.000 --> 37:36.000]  And I'm talking of course about the sawman, the Navy's field of Patriots, also federal officers, we speak and task forces.
[37:36.000 --> 37:39.000]  And so we're going to, I'm going to give another 90,000.
[37:40.000 --> 37:41.000]  You don't really have that extra money.
[37:42.000 --> 37:44.000]  We're just going to do it and trust the listeners to support us.
[37:46.000 --> 37:48.000]  Veterans for child rescue is the site.
[37:49.000 --> 37:51.000]  And again, this is just the cost, the money for this large team.
[37:52.000 --> 37:54.000]  You can go to the about page about us page.
[37:55.000 --> 37:56.000]  Oh, I was told today, Shane Steiner called me.
[37:57.000 --> 37:57.000]  He tuned into Glenn Beck.
[37:58.000 --> 37:58.000]  We got in his car.
[37:59.000 --> 38:03.000]  It was already on 590 and Beck was saying it's number one things going to be child rescue and stopping pedophile rings.
[38:03.000 --> 38:10.000]  Now, in my view with Beck's background, he always stands in for everything I say I'm doing to take control of the message in the narrative.
[38:11.000 --> 38:12.000]  And then he self discredits.
[38:13.000 --> 38:14.000]  That's his job now on the liberal media.
[38:15.000 --> 38:20.000]  So, you know, we're on target when they bring him out of the bullpen when, when that creature rises up out of hell.
[38:21.000 --> 38:31.000]  When, when Judas Iscariot on PCP, when, when Benedict Arnold on steroids rises from the pit of hell, you know, you're on the right target.
[38:31.000 --> 38:32.000]  We're talking to Roger Stone here.
[38:33.000 --> 38:34.000]  Just a moment.
[38:35.000 --> 38:35.000]  It's been four years.
[38:36.000 --> 38:39.000]  We've had the deep earth crystal best iodine out there, the good halogen that it's helped cleanse my body.
[38:40.000 --> 38:41.000]  3,000 plus reviews on power reviews.
[38:42.000 --> 38:43.000]  Nobody's got that 4.8 stars.
[38:45.000 --> 38:46.000]  We're running out of it.
[38:47.000 --> 38:51.000]  And because it's from deeper sources and the gas companies that drill for it, it's a derivative.
[38:52.000 --> 38:53.000]  They're not drilling for what they do.
[38:54.000 --> 38:56.000]  They're saying a lot more money or they're running out all this other stuff.
[38:57.000 --> 38:59.000]  And so we're selling out of our latest shipment today.
[38:59.000 --> 39:03.000]  And then we're going to hopefully have enough for four or five more runs.
[39:04.000 --> 39:05.000]  And then that may be it.
[39:06.000 --> 39:09.000]  I've put it back to full retail, something we've never even had it full retail.
[39:10.000 --> 39:15.000]  But for everybody that's on the newsletter in full wars.com, Ford slash newsletter, you get exclusive articles, videos, you name it.
[39:16.000 --> 39:26.000]  Because you're there, I'm going to be 50% off retail, which is $20 less than it was already discounted yesterday at like $21 or $20 any nice sense.
[39:26.000 --> 39:28.000]  And that was 30% off already discounted.
[39:29.000 --> 39:31.000]  So it's $40 right now, $39.95.
[39:32.000 --> 39:38.000]  At infowarfstore.com, if you want to support the broadcast and help us fund the operation, great.
[39:39.000 --> 39:39.000]  It's like a donation.
[39:40.000 --> 39:42.000]  But if you want to sign up for the free newsletter, every day there's promo codes.
[39:43.000 --> 39:44.000]  50% off mass murderers agree.
[39:47.000 --> 39:49.000]  Gun control works with a picture of Hitler, Stalin and Mao on it.
[39:49.000 --> 39:55.000]  The first T shirt I ever designed info wars.com on the back.
[39:56.000 --> 39:58.000]  And politicians love disarmed peasants on the back.
[39:59.000 --> 40:01.000]  It's a great classic anti gun control shirt.
[40:02.000 --> 40:03.000]  It's 50% off.
[40:04.000 --> 40:06.000]  It is the V that that shirts been out 20 years.
[40:07.000 --> 40:08.000]  That shirt helped fund our original operations.
[40:09.000 --> 40:11.000]  One of my film America destroyed by design.
[40:12.000 --> 40:14.000]  Those are the first things I put out to fund this operation.
[40:14.000 --> 40:19.000]  America destroyed by design and that shirt, we also have the Bill Clinton rape shirt and others.
[40:20.000 --> 40:21.000]  It's all about the First Amendment and we have a new shirt we're launching today.
[40:22.000 --> 40:23.000]  I'll tell you about later.
[40:24.000 --> 40:25.000]  So that's all there.
[40:26.000 --> 40:29.000]  We have the new bubblegum flavor with the tea tree oil, with the iodine, with the colloidal silver.
[40:30.000 --> 40:35.000]  We have it all, but it's in bubblegum flavor and it doesn't have the peppermint that's so strong in it.
[40:36.000 --> 40:37.000]  The adult has sold out of super blue.
[40:38.000 --> 40:39.000]  We are calling it super blue.
[40:40.000 --> 40:41.000]  We are changing the name to super pink.
[40:41.000 --> 40:43.000]  The other turns of blue just got iodine.
[40:44.000 --> 40:45.000]  I guess this does turn blue, grayish blue.
[40:46.000 --> 40:47.000]  The point is, is it's bubblegum flavor so your kids love it.
[40:48.000 --> 40:49.000]  This is so much better than most children's toothpaste.
[40:50.000 --> 40:51.000]  Get it today, 995.
[40:52.000 --> 40:53.000]  It's concentrated.
[40:54.000 --> 40:55.000]  Infowarslife.com.
[40:56.000 --> 40:57.000]  Infowarsstore.com or AAA2533139.
[40:58.000 --> 41:03.000]  Now, told you about Lord Christopher Monkton, Mike Cernovich, the big rock star right now with that leak.
[41:04.000 --> 41:05.000]  The real rock star is folks that leaked it to him joining us.
[41:05.000 --> 41:11.000]  Millie Weaver on the ground in LA, David Knight, the Sawman and so much more.
[41:12.000 --> 41:14.000]  We've got World War III Nightmare Scenario brewing in the East China Sea.
[41:15.000 --> 41:17.000]  Oh, that CNBC finally realizes how much danger we're in.
[41:18.000 --> 41:19.000]  They might get off the president's back.
[41:20.000 --> 41:24.000]  We've got so much to cover today, but joining us from the Stone Cold Truth.
[41:26.000 --> 41:29.000]  Joining us is Roger Stone, again, former head of the Trump campaign.
[41:30.000 --> 41:32.000]  Also got him to run back in 2000, friend for over 40 years.
[41:32.000 --> 41:37.000]  Here to cover the waterfront with big breaking news on what's really happening inside the White House.
[41:38.000 --> 41:39.000]  Thank you so much for joining us.
[41:40.000 --> 41:51.000]  Alex, first of all, let me salute my friend, Mike Cernovich, freedom fighter and yet another person that Google is attempting to strangle.
[41:51.000 --> 42:01.000]  Facebook is attempting to strangle by limiting our reach, but he has done his country a notable service and my Pat is rhetorically off to it.
[42:02.000 --> 42:05.000]  You're right, Alex, there are so many developments in Washington.
[42:06.000 --> 42:08.000]  It's really somewhat hard to keep track.
[42:09.000 --> 42:19.000]  Let's start with the fact that legitimate, totally credible sources tell me that my name is among those that Susan Rice unmasked.
[42:19.000 --> 42:26.000]  That my name is among those where she was searching for the intelligence.
[42:27.000 --> 42:34.000]  This is, of course, using intelligence agency material from surveillance for strictly political purposes.
[42:35.000 --> 42:38.000]  It is also a felony and it just amazes me.
[42:39.000 --> 42:40.000]  It's ultra illegal.
[42:41.000 --> 42:43.000]  Strictly illegal both at two levels.
[42:43.000 --> 42:48.000]  One, the request and, secondarily, the dissemination.
[42:49.000 --> 42:58.000]  There are clearly leaks in the New York Times and in fake news sites such as the smoking gun and raw story.
[42:59.000 --> 43:05.000]  These people are guilty of a felony because they are recipients of information, raw information.
[43:05.000 --> 43:16.000]  And by the way, I noticed even Politifact and other groups that are pretty liberal, they put out articles last week saying, OK, Roger Stone never said that he was talking to these people beforehand.
[43:17.000 --> 43:18.000]  He talked to them after publicly.
[43:19.000 --> 43:20.000]  He wrote articles for Breitbart.
[43:21.000 --> 43:24.000]  Everything Roger Stone said has come out and Congressman Schiff is lying.
[43:25.000 --> 43:26.000]  I couldn't believe that.
[43:26.000 --> 43:35.000]  KABC, perhaps the most powerful drive time station in LA, invited both Congressman Schiff and I yesterday for a face off.
[43:36.000 --> 43:38.000]  I don't need to tell you he was a no show.
[43:39.000 --> 43:41.000]  Of course, he could have called in by phone as I did.
[43:42.000 --> 43:46.000]  I'm still waiting to hear from both the House and the Senate committee, but let me just reiterate.
[43:47.000 --> 43:48.000]  I don't need a subpoena.
[43:48.000 --> 43:56.000]  I'm not asking for immunity and I want to testify to both bodies in public, not behind closed doors.
[43:57.000 --> 44:00.000]  Let's move on to the White House because Alex, you're absolutely right.
[44:01.000 --> 44:07.000]  We now know incredibly that the president has gone to war with the Freedom Caucus.
[44:08.000 --> 44:13.000]  This makes little sense to me because the Freedom Caucus is made up of libertarians.
[44:13.000 --> 44:19.000]  It's his backbone. It's the people that brought him. That's right. These are his natural allies.
[44:20.000 --> 44:26.000]  And while it is true, you could never completely please them the way some of us libertarians are.
[44:27.000 --> 44:33.000]  You could at least be giving them enough from a policy point of view that they would be your backbone.
[44:34.000 --> 44:39.000]  And then you only have to convince the establishment Republicans to join you much easier than the other way around.
[44:40.000 --> 44:41.000]  Here is the sad truth.
[44:41.000 --> 44:47.000]  President's health care bill was drafted by former Speaker John Boehner and a team of lobbyists.
[44:48.000 --> 44:49.000]  It was passed to Ryan.
[44:50.000 --> 44:51.000]  Ryan passed it to Priebus.
[44:52.000 --> 44:56.000]  Priebus passed it off to the president and did him a disservice.
[44:57.000 --> 45:01.000]  This is not the best bill that could have been presented.
[45:01.000 --> 45:10.000]  If I were the president, I would simply say, well, now that the Ryan bill has failed, I'll introduce my own bill.
[45:11.000 --> 45:16.000]  Now, Alex, please understand any time I criticize the president or his administration,
[45:17.000 --> 45:23.000]  it's out of loyalty to the president and my sincere desire that he succeed in his effort to throw off.
[45:24.000 --> 45:26.000]  Absolutely. And it's a no brainer that he's getting.
[45:27.000 --> 45:29.000]  It's a no brainer that he's getting bad advice to to.
[45:29.000 --> 45:33.000]  He could disagree with the freedom caucus and try to get a bill that's better than Obamacare passed.
[45:34.000 --> 45:39.000]  I understand that, but he can't sit there and say they're the enemy and stuff and watch the Democrats celebrate.
[45:40.000 --> 45:45.000]  I think he figured that out by this weekend meeting with Senator Paul, Paul hinted at this a few weeks ago when he was on,
[45:46.000 --> 45:52.000]  but also there's some other channels that Trump just wants it to be on Congress and wants to get it repealed period,
[45:53.000 --> 45:56.000]  but that he now is looking to actually work with Paul to try to craft something.
[45:56.000 --> 46:01.000]  So that's the word. Meanwhile, again, Rand Paul says very optimistic about repealing Obamacare after golfing with Trump.
[46:02.000 --> 46:03.000]  What do you make of that?
[46:04.000 --> 46:11.000]  You got there before I did. I was delighted to hear that those who were advocating that the president meet with Senator Paul,
[46:12.000 --> 46:15.000]  vary the hatchet and work together and that that has happened.
[46:16.000 --> 46:21.000]  There was, of course, resistance to that among some on the White House staff.
[46:21.000 --> 46:29.000]  Then you had this bombshell story yesterday of the deputy chief of staff, Katie Walsh, leaving the administration.
[46:30.000 --> 46:38.000]  After her financial disclosure forms showed that she was paid $300,000 from the Republican National Committee
[46:39.000 --> 46:44.000]  on top of her salary of $300,000. That's $600,000.
[46:44.000 --> 46:51.000]  But the $300,000 was paid to her through a dummy company controlled by her mother.
[46:52.000 --> 46:56.000]  This is the kind of person that was promoted for the White House staff,
[46:57.000 --> 47:01.000]  came over from the Republican National Committee, has now been discharged.
[47:02.000 --> 47:06.000]  It's vitally important that the president surround himself with loyalists.
[47:07.000 --> 47:12.000]  People like Ed Martin, people like David Urban, people like Wayne Berman.
[47:12.000 --> 47:16.000]  These are people who played an important role in his election.
[47:17.000 --> 47:20.000]  They don't need government jobs. They don't seek government jobs.
[47:21.000 --> 47:22.000]  They want to restore the republic.
[47:23.000 --> 47:25.000]  But they would join the administration if they were asked.
[47:26.000 --> 47:31.000]  And I just use them as examples of people with enormous qualifications and experience,
[47:32.000 --> 47:34.000]  but who are deeply committed to the Trump agenda.
[47:35.000 --> 47:38.000]  Absolutely. But let's just move back to some of the bigger issues here.
[47:38.000 --> 47:42.000]  And obviously that's a huge issue, but Trump just has to make the decision
[47:43.000 --> 47:45.000]  to kick out more of these establishment Republicans and realize
[47:46.000 --> 47:47.000]  he can't make them do his will to restore the republic.
[47:48.000 --> 47:49.000]  They're going to backstab them at every turn.
[47:50.000 --> 47:52.000]  I think 74 days in, he finally started to get that.
[47:53.000 --> 47:55.000]  But going back here, what about the intel I'm getting?
[47:56.000 --> 47:58.000]  And I talked to you last night, you can confirm some of this,
[47:59.000 --> 48:01.000]  but you can't get into some of it because obviously it's conversations with the president and others.
[48:01.000 --> 48:09.000]  But looking at this, Nunez had to actually even be told about some of the things that were going on
[48:10.000 --> 48:12.000]  by only a few patriots that were even in the White House,
[48:13.000 --> 48:14.000]  because Nunez didn't even know where to look.
[48:15.000 --> 48:19.000]  And so that just shows that Trump is just surrounded by a bunch of either ignoramuses
[48:20.000 --> 48:24.000]  or people that are out to sabotaging because, I mean, in 10 minutes,
[48:25.000 --> 48:26.000]  I can give Trump advice if he executed it,
[48:26.000 --> 48:30.000]  that the American people would be screaming for the heads of all these Democrats, okay?
[48:31.000 --> 48:31.000]  It's simple.
[48:32.000 --> 48:33.000]  And I mean, we have them, we have them, we have them.
[48:34.000 --> 48:35.000]  If he simply pulls the trigger, go ahead.
[48:36.000 --> 48:39.000]  Well, Alex, since we spoke last night, I've actually learned more.
[48:40.000 --> 48:45.000]  The reason that two junior aides in the White House took this bombshell evidence to Chairman Nunez
[48:46.000 --> 48:50.000]  is because they knew Chairman Nunez could not be blocked from communicating it to the president.
[48:50.000 --> 48:56.000]  They did so because they did not think if they passed it up, a chain of command to some of the established Republicans
[48:57.000 --> 49:03.000]  at the top of the White House food chain that the information, vital information, would get to the president.
[49:04.000 --> 49:06.000]  This is why they gave it to Chairman Nunez.
[49:07.000 --> 49:11.000]  None of this makes the information less accurate nor less true.
[49:11.000 --> 49:19.000]  So it gives you the idea of the kind of treachery that we see among some in the Trump White House.
[49:20.000 --> 49:24.000]  Here's another piece of news, Alex, and I think this is key.
[49:25.000 --> 49:35.000]  There is no question now that sources tell me that the president's son-in-law enjoys a very lively text exchange with Joe Scarborough.
[49:35.000 --> 49:43.000]  And the Scarborough's repeated attacks on Steve Bennett, not to mention some of his attacks on the president,
[49:44.000 --> 49:50.000]  clearly are being manipulated by Jared Kushner for his own internal purposes.
[49:51.000 --> 49:58.000]  Now, again, any criticism that I have of Trump administration or any member thereof, and Mr. Kushner is one,
[49:58.000 --> 50:07.000]  are meant to be constructive, not destruct. But in this case, Joe Scarborough is no friend of the president.
[50:08.000 --> 50:17.000]  He revels in passing fake news. He himself has more scandals than you can shake a stick at that he is sitting on.
[50:18.000 --> 50:20.000]  By the way, let me stop you. Is this in the news or is this from your sources?
[50:20.000 --> 50:28.000]  What the hell is Jared Kushner doing talking to a guy that's, you know, has a dead intern in his office and is an absolute scumbag?
[50:29.000 --> 50:35.000]  Well, I didn't say those things you did, but this has not hit the news. This is breaking right now on info wars.
[50:36.000 --> 50:41.000]  And that is the back channel between the president's son-in-law and Joe Scarborough.
[50:42.000 --> 50:45.000]  Hold on. Let's talk about this more when we come back, because I don't want to run Jared down.
[50:45.000 --> 50:49.000]  He looks like a smart guy, good-looking guy. Clearly, it's grooming him to be president. Great.
[50:50.000 --> 50:56.000]  But not if he's not smart enough to sit there and play patty cake with the likes of Joe Scarborough, some of the lowest trash on Earth.
[50:57.000 --> 50:58.000]  We'll be back. Stay with us.
[51:00.000 --> 51:07.000]  They say you can't take on the man and win, that one small company doesn't stand a chance against the corporate behemoths with all their money and lawyers.
[51:08.000 --> 51:10.000]  But they don't know Harry's. How's Harry's done it?
[51:10.000 --> 51:14.000]  Simple. By owning the factory and selling directly to you.
[51:15.000 --> 51:21.000]  Harry's sells their incredible razor blades online. They ship directly from their site to you and do it for a lot less.
[51:22.000 --> 51:26.000]  And while those other guys rake in huge profits, Harry's passes the savings directly back to you.
[51:27.000 --> 51:30.000]  The result? A quality shave and more money in your pocket.
[51:31.000 --> 51:35.000]  Don't believe it? Try Harry's for yourself. For free. Just pay three bucks in shipping when you sign up.
[51:35.000 --> 51:40.000]  Your set comes with a razor, shave gel, travel cover, and a post shave balm.
[51:41.000 --> 51:46.000]  That's an almost $20 value. Free. There's no catch and no commitment. You can cancel anytime.
[51:47.000 --> 51:54.000]  And quality is always guaranteed. So go to harrys.com now and enter code 5000 at checkout.
[51:55.000 --> 51:59.000]  That's harrys.com. Code 5000. Again, 500.
[51:59.000 --> 52:05.000]  It's called the Deep State. Barack Obama's most loyal aides still hold office and they want to stop President Trump.
[52:06.000 --> 52:09.000]  Deep State was first revealed in the Runaway New York Times bestseller Big Agenda.
[52:10.000 --> 52:15.000]  David Horowitz's Big Agenda exposes Obama's government in exile and his shocking plan.
[52:16.000 --> 52:22.000]  Newsmax, Lutobs, and Coulter all say you must read Big Agenda at bookstores everywhere or check out our free offer.
[52:22.000 --> 52:29.000]  Call 800 Newsmax, 800 Newsmax, or go to bigagenda411.com. That's bigagenda411.com.
[52:30.000 --> 52:33.000]  Is your child's school not lining up with your family values?
[52:34.000 --> 52:41.000]  Consider Freedom Project Academy, a fully accredited Judeo-Christian live online school for kindergarten through high school.
[52:42.000 --> 52:49.000]  Freedom Project Academy provides live online classes, 24-7 access to recordings, assignments, grades, and even tutoring.
[52:49.000 --> 52:55.000]  Take a look at Freedom Project Academy online and request your free information packet today.
[52:55.000 --> 53:20.000]  Freedom Project Academy, a Judeo-Christian online school.
[53:25.000 --> 53:29.000]  GoBerkey.com.
[53:55.000 --> 53:58.000]  GoBerkey.com.
[54:25.000 --> 54:28.000]  GoBerkey.com.
[54:55.000 --> 55:04.000]  Jared Kushner there in the White House, the son-in-law of President Trump, who is at the center basically of everything now,
[55:05.000 --> 55:14.000]  and his communications with Joe Scarborough, a Democratic Party operative conservative turncoat basically in my view.
[55:15.000 --> 55:20.000]  But here is those bombshell developments. Roger tells me it is just sensational. Please continue.
[55:20.000 --> 55:29.000]  Alex, first of all, let me say that any time I level a criticism at the Trump administration or even rarely at the president himself,
[55:30.000 --> 55:38.000]  I do so out of loyalty to Donald Trump and loyalty to his agenda. I want to help him beat back the globalists and make this country great again.
[55:38.000 --> 55:49.000]  That said, my political experience with Ronald Reagan and before that Richard Nixon tells me that a White House divided against itself cannot stand.
[55:50.000 --> 56:00.000]  And the internal squabbling between the establishment wing and the diminished true believers continues inside the White House.
[56:00.000 --> 56:07.000]  Yes, the president's son-in-law, Jared Kushner, perhaps the one presidential aide who cannot be fired,
[56:08.000 --> 56:14.000]  is now in irregular text message communications with Joe Scarborough.
[56:15.000 --> 56:25.000]  Many of the anti-Steve Bannon stories that you see, the themes that you see on Morning Joe are being dictated by Kushner.
[56:25.000 --> 56:35.000]  And while Mr. Kushner's plate is very full with Middle Eastern peace and the China visit and so on,
[56:36.000 --> 56:39.000]  in this case, I think he is discerving the president.
[56:40.000 --> 56:45.000]  Scarborough himself is a badly flawed carrier for this message.
[56:46.000 --> 56:51.000]  He is bitter with jealousy since he wanted to run for president.
[56:51.000 --> 56:56.000]  He nurses ideas of coming back to Florida and running for governor.
[56:57.000 --> 57:01.000]  I'd have to jump into the Republican primary to stop him if he really tried that,
[57:02.000 --> 57:07.000]  although there are certainly much, much better candidates than Joe Scarborough or Roger Stone.
[57:08.000 --> 57:13.000]  So there you have it and more of this story as it develops.
[57:14.000 --> 57:15.000]  This is just incredible.
[57:16.000 --> 57:18.000]  So Joe Scarborough, and I know your sources are impeccable.
[57:18.000 --> 57:20.000]  You've never given me a story that didn't turn out to be true.
[57:21.000 --> 57:24.000]  Roger is the main leaker against Bannon.
[57:25.000 --> 57:27.000]  I know you can't get into sources, but you were telling me off there.
[57:28.000 --> 57:29.000]  This is very extensive.
[57:30.000 --> 57:33.000]  You want to talk about it over the phone that this is really confirmed and then it's really, really bad.
[57:34.000 --> 57:40.000]  Were you speaking during the break because we didn't have time to get to it on what Kushner's doing or what Scarborough's doing?
[57:41.000 --> 57:46.000]  Well, Kushner is clearly feeding the lines and the intel to Scarborough.
[57:46.000 --> 57:55.000]  And then Scarborough is visiting those on Kushner's internal rivals or those who are arguing against the globalist agenda.
[57:56.000 --> 58:04.000]  If you go back to some of our earlier discussions here at Info Wars, I've said repeatedly that my greatest concern was not liberal Democrats,
[58:05.000 --> 58:09.000]  but establishment Republicans who would undo the Trump revolution.
[58:10.000 --> 58:12.000]  Stay right there. We got to go to break. We'll do five more minutes, but Roger Stone, let me ask you this.
[58:12.000 --> 58:19.000]  Do we think it's Kushner, because we thought it was Priebus from our sources that's going around telling the press that the president was like a lost child?
[58:20.000 --> 58:30.000]  I think that is people below Priebus, but people that Priebus has selected because that is not in either Kushner's or Priebus's interest.
[58:31.000 --> 58:32.000]  And they're not, these are not stupid.
[58:33.000 --> 58:39.000]  And the question is what the hell if Kushner's not dumb is he doing shit in there, pin-palling with that piece of garbage, Scarborough.
[58:39.000 --> 58:44.000]  We'll be back in 70 seconds with Roger Stone, StoneColdTruth.com, get his book today.
[58:45.000 --> 58:46.000]  I don't care where you get it, get it.
[58:50.000 --> 58:54.000]  Not a group you develop living defense for us. It took you over a year to do it. Why is this so good?
[58:55.000 --> 59:00.000]  Because people are actually waking up to the problem that pretty much scares me the most.
[59:01.000 --> 59:05.000]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system,
[59:05.000 --> 59:13.000]  but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[59:14.000 --> 59:20.000]  Right now with all the refugees spreading disease around, we have biological warfare going on everywhere.
[59:21.000 --> 59:21.000]  These are all parasites.
[59:22.000 --> 59:23.000]  Tell us about all the stuff that says there's so many things that are in it.
[59:24.000 --> 59:28.000]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[59:29.000 --> 59:31.000]  I recommend doing a parasite cleanse at least twice a year.
[59:31.000 --> 59:34.000]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[59:35.000 --> 59:37.000]  It just came back in yesterday, living defense, infowarslife.com.
[59:38.000 --> 59:40.000]  And folks, you can't lose full of stuff that's great for your body, period.
[59:41.000 --> 59:44.000]  And you support the broadcast, infowarslife.com.
[59:45.000 --> 59:46.000]  Thank you, Dr. Group, from the Global Healing Center.
[59:46.000 --> 1:00:00.000]  Thank you so much for all your work, sir, on this great product.
[1:00:17.000 --> 1:00:22.000]  So there's a total mutiny against the president.
[1:00:23.000 --> 1:00:25.000]  On another note, we were just talking about how he's getting audited and harassed by the IRS.
[1:00:26.000 --> 1:00:27.000]  You know, we constantly do.
[1:00:28.000 --> 1:00:31.000]  And then Trump can't even fire the guy at the IRS that got caught doing all this horrible stuff
[1:00:32.000 --> 1:00:33.000]  because the whole bureaucracy is just ignoring Trump.
[1:00:34.000 --> 1:00:34.000]  It's a total mutiny.
[1:00:35.000 --> 1:00:35.000]  So what does he do?
[1:00:36.000 --> 1:00:37.000]  Well, first, he gets a clean team.
[1:00:38.000 --> 1:00:40.000]  I don't know what his daughter's going to do to him because he throws Jared out.
[1:00:41.000 --> 1:00:42.000]  I know that he likes Jared, their friends.
[1:00:43.000 --> 1:00:44.000]  I think Jared's really taking advantage of that.
[1:00:44.000 --> 1:00:46.000]  Sometimes family does that when they're involved in an operation.
[1:00:47.000 --> 1:00:48.000]  That's just the way it goes.
[1:00:49.000 --> 1:00:50.000]  But Roger, you were saying there's a lot.
[1:00:51.000 --> 1:00:53.000]  What is specifically going on here?
[1:00:54.000 --> 1:00:59.000]  Well, I don't question Jared Kushner's loyalty to the president, but I do question his vision.
[1:01:00.000 --> 1:01:06.000]  Alex, he's a liberal Democrat from a very prominent family of liberal Democrats in New Jersey.
[1:01:07.000 --> 1:01:09.000]  I don't think he understands the Trump coalition.
[1:01:09.000 --> 1:01:13.000]  Well, does he understand family and he wants to be in that administration?
[1:01:14.000 --> 1:01:15.000]  He'll do what the president wants, that he's not the president.
[1:01:16.000 --> 1:01:17.000]  Does he understand that?
[1:01:18.000 --> 1:01:23.000]  Well, I think at this point he probably believes he is giving the president good advice when in fact he's giving him bad advice.
[1:01:24.000 --> 1:01:26.000]  I'm going to give him the benefit of the doubt on motive.
[1:01:27.000 --> 1:01:30.000]  But Alex, he doesn't understand the Info Wars watcher.
[1:01:31.000 --> 1:01:33.000]  He doesn't understand the Breitbart reader.
[1:01:34.000 --> 1:01:35.000]  We are the backbone of the Trump Revolution.
[1:01:35.000 --> 1:01:38.000]  We are the soldiers who won this election.
[1:01:39.000 --> 1:01:44.000]  And we do not want to see the revolution hijacked by a bunch of establishment Republican geeks.
[1:01:45.000 --> 1:01:46.000]  He has to get that through his head.
[1:01:47.000 --> 1:01:49.000]  What else is in these texts?
[1:01:50.000 --> 1:01:52.000]  I mean, you can't tell us how you learned other little tidbits of that, Roger.
[1:01:53.000 --> 1:01:54.000]  This is a big story.
[1:01:55.000 --> 1:01:59.000]  Well, I think if you go back and watch Morning Joe now, retrospectively, the last several weeks,
[1:01:59.000 --> 1:02:06.000]  you will see a coordinated attack on our colleague and our fellow patriot, Steve Bannon.
[1:02:07.000 --> 1:02:16.000]  The other question that's looming here, Alex, is the way that the Silicon Valley billionaires are whining and dining
[1:02:17.000 --> 1:02:22.000]  Jared Kushner and his wife, who's a good friend of mine and a great lady, Ivanka Trump.
[1:02:22.000 --> 1:02:30.000]  Meanwhile, Google, Facebook, they're slowly squeezing our throats, you, me, Sernovich, Breitbart,
[1:02:31.000 --> 1:02:35.000]  and other alternative media sources to see them fooling with our logarithms.
[1:02:36.000 --> 1:02:42.000]  We're the main guns that are defending Trump and saving him at every front while people in his White House
