[00:00:01.002 --> 00:00:06.786]  And ladies and gentlemen, thank you for joining us on this February 11, 2018 Global Transmission.
[00:25:39.010 --> 00:25:50.263]  You know, if one person gets killed, maybe mistakenly, if a cop 1,000 miles away or 500 miles away or 2,000 miles away gets shot while he's fixing a flat tire or pumping gas, he deserves it.
[00:25:50.263 --> 00:25:51.745]  We've played with CNN clips.
[00:25:52.646 --> 00:25:56.648]  And the MSNBC clips, when they cut back, they go, well, another memorial for dead cops?
[00:25:56.648 --> 00:25:59.089]  Well, cops gotta change how they're acting.
[00:25:59.089 --> 00:26:01.690]  Just like the guy that shot Scalise and others.
[00:26:01.690 --> 00:26:05.571]  CNN, Will Blitzer had a guest on, said, he's my friend, he's a good guy, he's not a monster.
[00:26:05.571 --> 00:26:10.293]  And Will Blitzer nods his head, and they go to break.
[00:26:10.293 --> 00:26:13.954]  Rob Reiner, make no mistake, this showdown boils down to one thing, racism.
[00:26:13.954 --> 00:26:15.435]  GOP fighting to the death.
[00:26:16.408 --> 00:26:18.309]  Of the browning of America.
[00:26:18.309 --> 00:26:20.990]  They will lose the battle for the Civil War.
[00:26:20.990 --> 00:26:22.271]  Diversity is our strength.
[00:26:22.271 --> 00:26:26.553]  You're trying to brainwash all the people here to get on welfare and be anti-American.
[00:26:26.553 --> 00:26:28.935]  People aren't against bringing in migrants or immigrants.
[00:26:28.935 --> 00:26:38.540]  We're against your whole globalist program that the UN's running in Europe and running here and your own WikiLeaks admits you want racial division and race war to control people.
[00:26:38.540 --> 00:26:38.980]  And by the way,
[00:26:40.469 --> 00:26:51.381]  A lot of people pointed out, I tweeted it at real Alex Jones yesterday, that Obama did have his military parade, and of course it was funding and supporting ISIS to invade eight different countries.
[00:26:51.381 --> 00:26:55.066]  Now because of Trump and the Russians fighting back, they've had their ass handed to them.
[00:26:55.646 --> 00:27:02.228]  So, again, you've got the left siding with North Korea against our Olympic team and Vice President Pence.
[00:27:02.228 --> 00:27:05.529]  And not just CNN, a whole bunch of media channels doing that.
[00:27:05.529 --> 00:27:08.630]  And you've got Rob Reiner saying, we're in a civil war.
[00:27:08.630 --> 00:27:13.692]  But when I said the left's trying to start a civil war last year or this year, oh, Jones is crazy, no one wants a civil war.
[00:27:13.692 --> 00:27:16.413]  Well, they buy full-page ads calling for a violent revolution.
[00:27:16.413 --> 00:27:22.235]  And the New York Times and Antifa won't let our reporters go on the Capitol grounds with guns at them.
[00:27:22.235 --> 00:27:24.136]  And the police say, sorry, we can't do anything.
[00:27:24.136 --> 00:27:25.076]  That's not fascism.
[00:27:25.356 --> 00:27:27.237]  No, it is.
[00:27:27.237 --> 00:27:44.523]  Just like North Korea crushes political speech, in 1989 in Tiananmen Square, it was real liberal students, the classical liberal, wanting free speech, with a nearby university taking over the People's Square and being attacked and killed by the thousands.
[00:27:44.523 --> 00:27:45.343]  Once the night fell.
[00:27:46.827 --> 00:27:49.809]  And it's the left trying to ban free speech on colleges.
[00:27:49.809 --> 00:27:53.452]  It's the left hitting people in the heads with bike locks and stabbing and beating them.
[00:27:53.452 --> 00:27:56.294]  It's the left banning libertarian, Christian and conservative speakers.
[00:27:56.294 --> 00:28:02.659]  It's the left, these universities from Missouri to Washington State last year saying no whites allowed on Sunday.
[00:28:02.659 --> 00:28:04.420]  No whites allowed on the commons.
[00:28:04.420 --> 00:28:08.443]  And weird, weird, crazy white women saying no whites allowed.
[00:28:08.443 --> 00:28:09.384]  Get these people out of here.
[00:28:09.384 --> 00:28:10.584]  Get me some muscle.
[00:28:10.584 --> 00:28:13.927]  They're the equivalent of the communist Chinese coming in and taking over.
[00:28:14.127 --> 00:28:18.551]  Let's go out to break with Rob Reiner and his call for war.
[00:28:18.551 --> 00:28:41.890]  But then he gets into office and there are good people on both sides in Charlottesville and there are people coming from countries and it goes on and on and you see the people that he hires that are in his administration and we see that this now becomes the last battle of the Civil War.
[00:28:43.757 --> 00:28:46.419]  And we're fighting it right now.
[00:28:46.419 --> 00:28:47.679]  And we're going to win.
[00:28:47.679 --> 00:28:49.060]  We're going to win.
[00:28:49.060 --> 00:28:52.082]  But we thought we were on this glide path.
[00:28:52.082 --> 00:28:53.403]  We've been dragged back.
[00:28:53.403 --> 00:28:54.443]  That's right.
[00:28:54.443 --> 00:28:55.244]  We're going to go to break.
[00:28:55.244 --> 00:29:02.348]  You thought you were on your guide path just like you did in Russia for 85 years, slaughtering all the fresh kids, but your little bloodthirsty honeymoon's over.
[00:29:02.348 --> 00:29:03.409]  Why is this so good?
[00:29:03.729 --> 00:29:09.012]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:29:09.012 --> 00:29:22.559]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:29:22.559 --> 00:29:28.923]  Right now with all the refugees spreading disease around, we have biological warfare going on everywhere.
[00:29:28.923 --> 00:29:30.244]  These are all parasites.
[00:29:30.244 --> 00:29:31.324]  Tell us about all the stuff you said.
[00:29:31.324 --> 00:29:32.365]  There's so many things that are in it.
[00:29:32.665 --> 00:29:37.169]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:29:37.169 --> 00:29:40.452]  I recommend doing the parasite cleanse at least twice a year.
[00:29:40.452 --> 00:29:43.494]  Alright, well, I'm glad we've got some back in because I'm going back on it today.
[00:29:43.494 --> 00:29:44.555]  It just came back in yesterday.
[00:29:44.555 --> 00:29:46.497]  Living Defense, Infowarslife.com.
[00:29:46.497 --> 00:29:47.518]  And folks, you can't lose.
[00:29:47.518 --> 00:29:50.220]  It's full of stuff that's great for your body, period.
[00:29:50.220 --> 00:29:52.122]  And you support the broadcast.
[00:29:52.122 --> 00:29:53.483]  Infowarslife.com.
[00:29:53.483 --> 00:29:55.725]  Thank you, Dr. Group from the Global Healing Center.
[00:29:55.725 --> 00:29:57.687]  Thank you so much for all your work, sir, on this great product.
[00:30:01.368 --> 00:30:03.950]  Matt in Ohio, you're on the air, another Matt, go ahead.
[00:30:03.950 --> 00:30:18.564]  Yeah, hey, listen, I just wanted to say real quick, I'm a long-time listener of InfoWars, and I just wanted to say that the t-shirts that you guys are offering are absolutely fantastic, and that really is a great way to deal with this battle in the InfoWars.
[00:30:18.564 --> 00:30:25.090]  It might seem like a simple thing, but particularly these slogan t-shirts that you guys got up right now are absolutely
[00:30:25.570 --> 00:30:26.671]  Well, thank you.
[00:30:26.671 --> 00:30:31.594]  My favorite new one is the Don't Tread on Me, but instead it says Won't Tread on Me.
[00:30:31.594 --> 00:30:34.535]  And it's a big Dayglo snake, Gadsden snake.
[00:30:34.535 --> 00:30:37.817]  And then it's got the American flag, Infowars.com on the right arm.
[00:30:37.817 --> 00:30:44.060]  I mean, that's a great way just to meet like-minded people and spread the word and also exercise free speech.
[00:30:44.060 --> 00:30:46.702]  And the newest one is Trigger Warning T-shirt.
[00:30:47.222 --> 00:30:54.066]  Trigger warning t-shirt, which is the symbol of a trigger, but with a yield sign and then InfoWars.com on the back.
[00:30:54.066 --> 00:31:00.109]  That is the new Shirt of the Month, available exclusively at InfoWarsStore.com.
[00:31:00.109 --> 00:31:03.591]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:31:03.591 --> 00:31:15.097]  We have found an extraordinary new natural way to help alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory health, and normal breathing.
[00:31:15.097 --> 00:31:15.998]  This is pollen blood.
[00:31:16.998 --> 00:31:29.666]  In the 1960s, researchers in France noticed that people who ate certain quail eggs from specific farms experienced less seasonal distress symptoms like runny nose, itchy watery eyes, and excessive mucus production.
[00:31:29.666 --> 00:31:33.988]  They began studying the effects in published trials.
[00:31:33.988 --> 00:31:37.991]  Now we are introducing the fruit of the research, a fast-acting chewable tablet
[00:31:38.471 --> 00:31:48.542]  Just chew two tablets at the first sign of seasonal distress and Fast-Acting Pollen Block starts working in about 15 minutes to help alleviate seasonal distress.
[00:31:48.542 --> 00:31:51.686]  Enjoy the air you breathe naturally with Fast-Acting Pollen Block.
[00:31:51.686 --> 00:31:55.891]  Available now at Infowarslife.com or by calling toll-free.
[00:31:55.891 --> 00:31:55.931]  888-253-3139
[00:31:59.875 --> 00:32:08.966]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:32:08.966 --> 00:32:17.076]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:32:17.356 --> 00:32:22.219]  We have now managed to secure these sought-after beans in a highly customized blend.
[00:32:22.219 --> 00:32:29.024]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:32:29.024 --> 00:32:36.209]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:32:36.209 --> 00:32:43.233]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:32:43.233 --> 00:32:47.176]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:32:47.176 --> 00:32:48.437]  You're listening to the Alex Jones Show!
[00:33:11.226 --> 00:33:12.507]  We've got it.
[00:33:12.507 --> 00:33:18.372]  This transmission is coming to you.
[00:33:18.372 --> 00:33:22.735]  Waging war on corruption.
[00:33:22.735 --> 00:33:31.442]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:33:31.442 --> 00:33:39.389]  Ladies and gentlemen, I am going to exclusively reveal to you
[00:33:40.505 --> 00:33:58.296]  The organization, the group, the collusion, the body, the people, the organization, the cult of individuals behind Donald Trump and who controls Donald Trump.
[00:33:58.296 --> 00:34:04.099]  I decided today to go ahead and come clean with you, and I'm going to do it during this segment.
[00:34:04.099 --> 00:34:05.340]  In fact, I'm going to do it right now.
[00:34:09.209 --> 00:34:19.634]  They have had countless news reports just this weekend saying that Trump had over 9,000 takeoffs and landings just in the last year of his campaign.
[00:34:19.634 --> 00:34:22.615]  That's the number.
[00:34:22.615 --> 00:34:24.376]  900.
[00:34:24.376 --> 00:34:26.797]  Close to 1,000.
[00:34:26.797 --> 00:34:36.581]  And that twice a Russian oligarch that bought a Florida compound from him many years ago landed at an airport during the same day as him.
[00:34:36.581 --> 00:34:37.502]  So that's the total proof.
[00:34:39.551 --> 00:34:56.560]  Meanwhile, the Clintons got hundreds of millions of dollars from Russian interests, 30 plus million just on Uranium One, and there were FBI informants and FBI agents, a huge investigation, tracking it, and then they all got pulled off the case by Mueller and then Comey.
[00:34:56.560 --> 00:35:00.922]  And it goes on and on, and the secret server, and they're globalists and they hate America.
[00:35:01.980 --> 00:35:19.393]  And then they tell us somebody that's America first and has proven by his political actions killing TPP, renegotiating NAFTA GATT, controlling the borders, bringing back thousands of companies, trying to kickstart the economy, 2.2 million new jobs, stock market was up 8,000 points, now 6,000 points.
[00:35:19.393 --> 00:35:22.315]  Trying hard!
[00:35:22.315 --> 00:35:28.559]  And they say that not just Trump, me, you, Rand Paul, I saw new clips this weekend where
[00:35:29.534 --> 00:35:33.655]  They're saying it's not just 600 and something thousand people on Twitter that are Russian agents.
[00:35:33.655 --> 00:35:36.516]  They said there's 8 million they've discovered.
[00:35:36.516 --> 00:35:38.277]  And they're going after them.
[00:35:38.277 --> 00:35:40.398]  Anybody that's pro-America, you're a Russian agent.
[00:35:40.398 --> 00:35:42.458]  That's the proof why we said so.
[00:35:42.458 --> 00:35:45.479]  While we have late-night comics reading off teleprompters, they said so.
[00:35:45.479 --> 00:35:50.061]  So, let me give you who is in control of Trump.
[00:35:51.448 --> 00:35:53.049]  And I do this to troll the media.
[00:35:53.049 --> 00:35:57.471]  It's true, but they'll cut off what I say after.
[00:35:57.471 --> 00:36:01.553]  That's fine, because you'll find what I really said if you're not watching live.
[00:36:01.553 --> 00:36:03.854]  I tell Trump what to do.
[00:36:03.854 --> 00:36:05.875]  I am in charge of President Trump.
[00:36:05.875 --> 00:36:08.476]  I am Donald Trump's boss.
[00:36:08.476 --> 00:36:10.597]  The President is colluding with me.
[00:36:10.597 --> 00:36:14.219]  He takes directives directly from me.
[00:36:14.219 --> 00:36:18.921]  And President Trump is my power slave.
[00:36:20.202 --> 00:36:22.923]  President Trump works for me.
[00:36:22.923 --> 00:36:23.804]  I'm in charge.
[00:36:23.804 --> 00:36:25.024]  I run the country.
[00:36:25.024 --> 00:36:30.487]  Oh, by the way, so do 337 million of you.
[00:36:30.487 --> 00:36:37.951]  And if you vote, and if you're politically active, you are the president's boss.
[00:36:37.951 --> 00:36:40.872]  And he said that at his inauguration.
[00:36:40.872 --> 00:36:44.074]  And he said that at his first speech to Congress.
[00:36:44.074 --> 00:36:45.695]  And he said it again a few weeks ago.
[00:36:45.695 --> 00:36:47.476]  And he says it all the time.
[00:36:47.476 --> 00:36:48.076]  And he means it.
[00:36:49.073 --> 00:36:51.174]  Because, by the way, he's just like you.
[00:36:51.174 --> 00:36:53.375]  He's in the cult of America.
[00:36:53.375 --> 00:36:55.535]  He's in the cult of not screwing people over.
[00:36:55.535 --> 00:37:01.157]  He's in the cult of believing in this republic, and believing in free market, and this being the best example of that.
[00:37:01.157 --> 00:37:05.339]  Because his mother believed in it, his father believed in it, and they raised him that way.
[00:37:05.339 --> 00:37:10.181]  And he sat there and watched the country he loved go to hell, and he's standing up against it.
[00:37:10.181 --> 00:37:13.722]  So when they tell you that you're a Russian bot,
[00:37:14.926 --> 00:37:28.315]  They're saying you're a criminal, you're an enemy, you're not an American, when they're the globalists, they're the ones saying kill the cops, overthrow the country, get rid of Christians, get rid of flyover country, get rid of free market, oh they hate the military, oh they... because they're a bunch of cowards, of course they do.
[00:37:28.315 --> 00:37:40.403]  When they say we can't have a military parade, but oh they love everybody else's military parade, or they love their big women's marches led by Linda Saussure, paid for by George Soros, and the horrible green slime that comes out of his rear end.
[00:37:40.403 --> 00:37:42.185]  I mean, all of this,
[00:37:44.062 --> 00:37:48.852]  Is what they stand for and who they are.
[00:37:48.852 --> 00:37:51.196]  And so that's the bottom line.
[00:37:51.196 --> 00:37:52.920]  And they say you didn't elect Trump.
[00:37:53.959 --> 00:37:54.999]  You were mind-controlled.
[00:37:54.999 --> 00:37:58.100]  You know, I was thinking about watching hundreds and hundreds, and I say hundreds.
[00:37:58.100 --> 00:38:05.082]  I mean, it's got to be close to a thousand videos I've watched in just the last three years.
[00:38:05.082 --> 00:38:10.444]  It's one of the... I don't watch a lot of TV and stuff, but man, I'm addicted just because it's so shocking.
[00:38:10.444 --> 00:38:11.264]  I cry sometimes.
[00:38:11.264 --> 00:38:13.145]  I get tears in my eyes involuntarily.
[00:38:13.145 --> 00:38:20.327]  We'll watch some two-hour live feed with Owen or Millie Weaver or Rob Dewar, something I already shot but didn't realize when I was live.
[00:38:20.327 --> 00:38:21.848]  I'll watch it later.
[00:38:21.848 --> 00:38:22.528]  And it's like...
[00:38:23.508 --> 00:38:27.514]  Crazy, dumbed down, drooling maniacs.
[00:38:27.514 --> 00:38:37.368]  One crazy, hateful group after another attacking reporters, dumping coffee on people, hitting folks in the head with bike locks, beating people over the head with Mexican flags.
[00:38:38.609 --> 00:38:59.376]  They're spitting on everybody, and you realize they can go have their demonstrations, and then everywhere we go, they shut down our events, they beat us over the head, they scream and call us fascists when they're the fascists, and then they say we can't have a military parade, which of course is Trump chomping them, trolling them, it has to be done.
[00:38:59.376 --> 00:39:03.457]  They're saying we can't have it, they go out and attack any parade that happens, that's why you don't have them.
[00:39:04.773 --> 00:39:06.895]  And it's like, this is our free speech!
[00:39:06.895 --> 00:39:15.241]  We're not the Chinese Communists coming into Tiananmen Square when the students had an uprising for free speech, peacefully, and crushing free speech.
[00:39:15.241 --> 00:39:19.684]  You're the ones at the inauguration block, everybody getting in, myself included.
[00:39:19.684 --> 00:39:21.566]  I watch them, particularly beat up women.
[00:39:21.566 --> 00:39:28.991]  You're the ones getting in front of us, going in, and you're the ones that want the full control of the state to crush the American people.
[00:39:28.991 --> 00:39:31.833]  But the good news is, you've had your Waterloo already.
[00:39:31.833 --> 00:39:33.795]  You've jumped the shark, you've gone too far.
[00:39:35.285 --> 00:39:38.828]  With your illegal spying on the campaign, illegal spying on the president-elect.
[00:39:38.828 --> 00:39:43.133]  Now it's come out illegal spying on the president by your deep state and you couldn't find anything.
[00:39:43.133 --> 00:39:46.556]  So you try to find statements that don't match up and that doesn't work.
[00:39:46.556 --> 00:39:52.722]  And now you're crapping your drawers because mainstream media is dying, corporations, the big globalist system is in trouble.
[00:39:52.722 --> 00:39:58.368]  Even though with a real economy turned on, they've made more money, they don't want money if you don't have it.
[00:39:59.127 --> 00:39:59.747]  You understand?
[00:39:59.747 --> 00:40:04.329]  They want you to not have money, and only they have it, so they can dictate everything to you.
[00:40:04.329 --> 00:40:06.449]  That's what they want, is poverty!
[00:40:06.449 --> 00:40:11.931]  It's the disease of the third world, where the elites keep the poor on purpose!
[00:40:11.931 --> 00:40:24.416]  So, President Trump works for us, and when they insult you and say the Russians are who you work for, they are raping your free speech, your vote, and they're the globalists, they're the outside power, they're the enemy.
[00:40:24.416 --> 00:40:26.996]  But here is Kevin McCarthy, why FISA memo matters.
[00:40:26.996 --> 00:40:28.417]  I'm gonna get to that after the break, but
[00:40:29.197 --> 00:40:43.147]  Matt Gaetz, who's been on the show, Congressman, says, don't worry, America's winning, America's awake, we will win and another special counsel will crush these criminals because they've got real bonafide evidence out of the Inspector General's office to crush them.
[00:40:43.147 --> 00:40:50.793]  That's why Rosenstein, right when Trump got in, changed the power structure, it's not supposed to, where he's in command and not the Solicitor General with oversight.
[00:40:50.793 --> 00:40:51.593]  So let's go to that clip.
[00:40:51.593 --> 00:40:52.334]  Here's Congressman Gaetz.
[00:40:52.794 --> 00:41:02.437]  My expectation is that the American people will win through the appointment of a second special counsel, but that is going to require the Attorney General, Jeff Sessions, to do his job.
[00:41:02.437 --> 00:41:10.640]  The FBI and the Department of Justice cannot investigate themselves, and the evidence we've uncovered shows wrongdoing at the highest levels of those agencies.
[00:41:10.640 --> 00:41:17.422]  Does Sessions have the authority, since he kind of recused himself from Russia matters, to appoint a second independent counsel?
[00:41:17.882 --> 00:41:18.802]  Of course he does.
[00:41:18.802 --> 00:41:24.964]  There was no legal obligation for that recusal, and frankly, I don't even know what the four corners of that recusal are.
[00:41:24.964 --> 00:41:35.508]  Here, the accusation is not against Russia, it's against the very agency that Jeff Sessions leads, the Department of Justice, and then some of the senior politicized leadership of the FBI.
[00:41:35.508 --> 00:41:37.729]  So he could appoint that special counsel.
[00:41:37.729 --> 00:41:42.190]  More than two dozen Republicans have joined me in calling for it, and it's darn time that it happens.
[00:41:42.230 --> 00:41:43.231]  Yeah, pressure.
[00:41:43.231 --> 00:41:45.373]  And why hasn't Rosenstein recused himself?
[00:41:45.373 --> 00:41:52.960]  They've been caught running, commanding, captaining, ponchoing, quarterbacking, leading.
[00:41:52.960 --> 00:41:54.802]  El Supremo.
[00:41:54.802 --> 00:41:58.025]  The whole fake, idiotic Russia deal.
[00:41:59.011 --> 00:42:00.732]  And now it's getting worse, man.
[00:42:00.732 --> 00:42:09.878]  There's a bunch of clips on Infowars.com and NewsWorth, I'm sure you've seen them yourself, where they're just calling me, and not Rand Paul, not just me, not just... Everybody's a Russian agent.
[00:42:09.878 --> 00:42:15.481]  I mean, you either get in line with this load of bull, or... It's crazy.
[00:42:15.481 --> 00:42:18.803]  It shows they're going for broke, and they've been caught.
[00:42:18.803 --> 00:42:25.447]  Now, when we come back, I've got some really disturbing news that is happening to everybody I know, and I see it all over online.
[00:42:26.474 --> 00:42:29.135]  And people are catching this on video.
[00:42:29.135 --> 00:42:37.257]  So this is the first of many reports where we're going to talk about this phenomenon that unfortunately I predicted and I was dead right about.
[00:42:37.257 --> 00:42:39.258]  Because I can see where this is going.
[00:42:39.258 --> 00:42:42.639]  I know how psychological warfare works.
[00:42:42.639 --> 00:42:46.340]  We're going to talk about something that is the real threat.
[00:42:46.340 --> 00:42:47.481]  We're going to defeat the globalists.
[00:42:47.481 --> 00:42:48.601]  We're going to defeat communism.
[00:42:48.601 --> 00:42:50.422]  We're going to defeat collectivism.
[00:42:50.422 --> 00:42:54.423]  But there's something else even bigger coming down the road.
[00:42:55.384 --> 00:42:58.366]  And we can't kick the can down the road anymore, so we're going to talk about it.
[00:42:58.366 --> 00:42:58.846]  Infowars.com.
[00:42:58.846 --> 00:42:59.446]  Stay with us.
[00:42:59.446 --> 00:43:04.329]  I want to tell you about an exciting new product we have available at InfowarsStore.com.
[00:43:04.329 --> 00:43:10.032]  And this is basically a product that I've been taking anyway before we even launched our own version of it.
[00:43:10.032 --> 00:43:12.994]  Now the product is BODY's Whole Body Support.
[00:43:12.994 --> 00:43:18.317]  This is available right now at a massive 50% discount at InfowarsStore.com.
[00:43:18.317 --> 00:43:21.999]  It's the ultimate turmeric and inflammatory support product on the market.
[00:43:22.936 --> 00:43:31.238]  It's got the black pepper, which makes for optimal absorption to help boost and support your flexibility, mobility, joint function, immune system, and so much more.
[00:43:31.238 --> 00:43:39.001]  Now, we're not even including a lot of the benefits that this product has been scientifically proven to have.
[00:43:39.001 --> 00:43:41.041]  So, I just got this fresh today.
[00:43:41.041 --> 00:43:43.322]  Literally, the seal's not even being opened on it.
[00:43:43.322 --> 00:43:44.062]  It's just $29.95.
[00:43:44.062 --> 00:43:47.103]  Again, big, big, chunky bottle.
[00:43:47.103 --> 00:43:49.984]  120 capsules in this bottle.
[00:43:49.984 --> 00:43:50.624]  It is bodies.
[00:43:51.673 --> 00:43:57.756]  The ultimate turmeric and inflammatory support product on the market available right now at InfoWarsStore.com.
[00:43:57.756 --> 00:43:59.176]  Get it today.
[00:43:59.176 --> 00:44:03.018]  You know, I've got some talking points here about Caveman from InfoWarsLife.com.
[00:44:03.018 --> 00:44:07.760]  But instead of going on those talking points, let me just give you what I've experienced personally.
[00:44:07.760 --> 00:44:12.302]  From all the wives tales in every culture, we know that the bones have the essence.
[00:44:12.302 --> 00:44:15.463]  We know chicken noodle soup is great for people that are sick.
[00:44:15.463 --> 00:44:18.565]  Again, in every culture, this has been reported because it works.
[00:44:20.069 --> 00:44:32.894]  And there's no way to quantify how strong this is, but the amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[00:44:32.894 --> 00:44:47.981]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy, this, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there, and it's amazing.
[00:44:48.961 --> 00:44:53.224]  Find out for yourself today at InfoWareStore.com what it can do for you and your family.
[00:44:53.224 --> 00:44:54.965]  And again, I want to thank you all for your support.
[00:44:54.965 --> 00:44:57.226]  You are funding the Information War in 2018.
[00:44:59.955 --> 00:45:08.680]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[00:45:08.680 --> 00:45:09.221]  That's right.
[00:45:09.221 --> 00:45:14.484]  Now's the time to build your own food storage with Harvest Rites freeze dryers.
[00:45:14.484 --> 00:45:21.168]  Go to Infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use.
[00:45:21.168 --> 00:45:28.432]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[00:45:28.752 --> 00:45:28.972]  Woo!
[00:45:28.972 --> 00:45:30.012]  That's what I'm talking about.
[00:45:30.012 --> 00:45:38.755]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[00:45:38.755 --> 00:45:48.338]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[00:45:48.338 --> 00:45:51.799]  Now that's what I call the miracle of food preservation.
[00:45:51.799 --> 00:45:55.900]  Harvest Right is truly the world's best, most affordable freeze dryer.
[00:45:55.900 --> 00:45:56.740]  So what are you waiting for?
[00:45:56.980 --> 00:46:00.124]  Check it out right now at InfoWarsStore.com.
[00:46:00.124 --> 00:46:05.290]  Introducing Floralife, the new probiotic line developed exclusively by InfoWars Life.
[00:46:05.290 --> 00:46:10.056]  After years of research on the human microbiome, not all probiotics are made the same.
[00:46:10.056 --> 00:46:14.561]  Floralife probiotics use a unique targeted delivery system that bypasses the stomach
[00:46:14.701 --> 00:46:14.881]  I think?
[00:46:35.111 --> 00:46:38.693]  Did you know that over 80% of your immune system is located in your gut?
[00:46:38.693 --> 00:46:43.416]  That's why increasing gut probiotic levels is so important for overall health.
[00:46:43.416 --> 00:46:51.501]  Floralife is sold as a 15 billion probiotic for everyday maintenance care and a 50 billion probiotic for a 30-day advanced gut restoration program.
[00:46:51.501 --> 00:46:55.703]  Head to infowarslife.com to pick up your bottle of Floralife probiotics today.
[00:46:55.703 --> 00:46:57.004]  That's infowarslife.com.
[00:47:03.709 --> 00:47:16.392]  You're listening to the Alex Jones Show.
[00:47:16.392 --> 00:47:21.713]  He aligns himself with the truth, and it's time for you to choose a side.
[00:47:21.713 --> 00:47:24.613]  You're listening to Alex Jones.
[00:47:24.613 --> 00:47:29.134]  Coming up next hour, Owen Schroer is going to be hosting live
[00:47:33.757 --> 00:47:43.075]  And we've got Dr. Corsi coming on with some big breaking news at the last 30 minutes dealing with that Russian airliner that blew up with 70 plus dead.
[00:47:44.175 --> 00:47:46.536]  Now that may tie to Uranium One and more.
[00:47:46.536 --> 00:47:54.821]  Now, if you're a new listener, you've probably heard, hey, your Samsung TVs, your Sharp TVs, you name it, are watching and listening to you.
[00:47:54.821 --> 00:47:55.841]  It's in the terms of service.
[00:47:55.841 --> 00:47:57.722]  We broke it three years ago.
[00:47:57.722 --> 00:48:03.265]  Back in 2006, Google put out a press release, but only to shareholders.
[00:48:03.265 --> 00:48:12.370]  And so we were sent a prospectus from a shareholder of Google saying, we're already watching and listening to everybody that has cameras and microphones already built in.
[00:48:14.495 --> 00:48:20.902]  And this is going to be a ubiquitous system where whoever races to have this in the home, one day the public will be ready for this.
[00:48:20.902 --> 00:48:26.488]  You'll have devices, smart devices that order your food, you know, control your thermostat.
[00:48:26.488 --> 00:48:29.851]  You'll just basically lay there like you're in the movie WALL-E giving orders.
[00:48:31.038 --> 00:48:33.460]  But how are they going to roll this out once it's there?
[00:48:33.460 --> 00:48:39.925]  It was the CIA director, what, five years ago, Petraeus said, your dishwasher will spy on you.
[00:48:39.925 --> 00:48:48.132]  So remember, I told you about this in 2000 because I had NSA sources we were having on air, whistleblowers and others, high level, and some off air.
[00:48:48.948 --> 00:48:52.572]  And people attack me always crazy, but we have the actual documents.
[00:48:52.572 --> 00:49:04.746]  And I even tore up these machines, scientific Atlantic cable boxes open on television and showed the hidden microphones, you know, a decade before there was even people using it for voice, uh, to, to, you know, voice command.
[00:49:05.527 --> 00:49:10.352]  And then how the race was Connect eight, nine years ago with Microsoft and everything else.
[00:49:10.352 --> 00:49:13.556]  So we were always the cutting edge just as we were willing to cover it.
[00:49:13.556 --> 00:49:19.522]  It was all in white papers and trade publications and was all admitted by the engineers and the engineers were concerned.
[00:49:19.522 --> 00:49:20.283]  So we had them on air.
[00:49:21.303 --> 00:49:24.546]  And some of them we, you know, I talked to privately.
[00:49:24.546 --> 00:49:25.347]  I'm not an engineer.
[00:49:25.347 --> 00:49:26.968]  I was just simply covering what was admitted.
[00:49:26.968 --> 00:49:39.819]  It's like I'm telling people 20 years ago they're gonna have driverless cars and they're gonna say humans are too dangerous and phase us out and then with the insurance and make you have driver cars and the globalists say they're gonna bring in computers to make us obsolete.
[00:49:39.819 --> 00:49:41.360]  It's not that computers and things are bad.
[00:49:41.360 --> 00:49:43.842]  I'm all for technology.
[00:49:43.842 --> 00:49:46.264]  It's, I mean, I'm a technophile.
[00:49:46.264 --> 00:49:46.725]  It's that
