[00:00.000 --> 00:06.400]  been so affordable at mainmilitary.com one of the last surviving true surplus stores in the country
[31:42.800 --> 31:54.800]  unpopular decisions. Without this warning, many of us who still have money available would have unknowingly wasted on our Christmas gifts that will be useless when the only food available isn't a government bread line.
[31:54.800 --> 32:03.800]  When the president is faced with the expected national security incident, the in-place patriot legislation will control transport and distribution of food.
[32:03.800 --> 32:13.800]  Those of us who are able to take care of ourselves must put in supplies of food. This will free up the relief organizations to give food to those unable or not smart enough to prepare.
[32:13.800 --> 32:28.800]  The greatest gift this Christmas is life itself, food for these unknown times. Call 800-409-5633 on the web eFoodsDirect.com 800-409-5633.
[32:28.800 --> 32:39.800]  Alex Jones here with a question. What does humidity mean to you? Most people think of hot and sticky summer days, but many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[32:39.800 --> 32:59.800]  That's why I'd like you to visit AkolaBlue.com. AkolaBlue is a state-of-the-art atmospheric water generator producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[32:59.800 --> 33:09.800]  And finally, drinking water that you control, I use one every day. Say goodbye to expensive water delivery services and storing five gallon bottles of water in your home.
[33:09.800 --> 33:17.800]  The AkolaBlue 28 is shipped right to your home, ready to make close to seven gallons a day right out of the box. They have a 30-day money-back guarantee.
[33:17.800 --> 33:31.800]  Call AkolaBlue right now at 866-585-4044. That's 866-585-4044. Or visit AkolaBlue at eCOLOBLUE.com today.
[33:31.800 --> 33:43.800]  Thank you for listening to GCN. Be sure to visit GCNLive.com today.
[33:43.800 --> 33:50.800]  All right, we're going to have open phones for the balance of the broadcast after Kurt Nemo leaves us. I'll keep you for one segment, maybe part of the next.
[33:50.800 --> 34:02.800]  Then we're going to get to Eric, David Jack, George, Sam, Chad, Chris, many others that are patiently holding all across the country and the world.
[34:02.800 --> 34:10.800]  You know, just to flesh out and finish up my point, our children don't need a bunch of toys and a bunch of commercial garbage.
[34:10.800 --> 34:17.800]  I'm not saying you shouldn't get them. I'm not saying Christmas isn't fun. I'm saying the spirit of liberty and freedom is what is valuable.
[34:17.800 --> 34:30.800]  And out of that comes material possessions. Out of that comes success. You know, there are hundreds of countries in the world that have greater natural resources or as great per capita as the United States.
[34:30.800 --> 34:36.800]  But 90-plus percent of the public are abject slaves in places like Mexico or North Korea.
[34:36.800 --> 34:41.800]  Why is that? Because they never had liberty. They never had a system that didn't put up with corruption.
[34:41.800 --> 34:44.800]  They never had a system where they were allowed to live their lives.
[34:44.800 --> 34:52.800]  And what has happened to the United States and the Western world for that matter is that the people have become disengaged from society.
[34:52.800 --> 35:02.800]  So international corporations with their own armies, their own mercenaries, their own intelligence agencies, their huge lobbying arms have come in and taken over the government
[35:02.800 --> 35:09.800]  and are lobbying for tyranny here in the United States. I mean, they're openly announcing all over the news now 20,000 combat troops.
[35:09.800 --> 35:12.800]  It was 3,000 a couple of months ago to be on the streets of America.
[35:12.800 --> 35:18.800]  Robert Gates, Secretary of Defense, came out yesterday and said, we need more foreigners in the military.
[35:18.800 --> 35:33.800]  Then they spun the story and the Associated Press about, oh, well, this is being done so that we'll have more linguists and more Arabic speakers and more Mandarin speakers.
[35:33.800 --> 35:36.800]  They've always done that. This is a cover story.
[35:36.800 --> 35:43.800]  If you Google Foreign Tribes in America, hundreds of mainstream articles about, what, 20% of the armies illegally and they legalized?
[35:43.800 --> 35:49.800]  The biggest army recruiting centers in the world is in Mexico City and Manila, Philippines.
[35:49.800 --> 35:51.800]  No, combat foreign troops.
[35:51.800 --> 36:01.800]  So not only are we going to have troops on the streets of America for civil insurrection, for civil unrest, as the Army times and the Army admits they're doing,
[36:01.800 --> 36:08.800]  total tyranny, 100 degrees from freedom, that abolishes the governors under martial law, but says that in there.
[36:08.800 --> 36:13.800]  What Gates put out in the Washington Post last week, what we've been telling you about for years.
[36:13.800 --> 36:23.800]  But it's going to be foreign troops making up large contingents of that, not some outside foreign military, but foreign troops in our military.
[36:23.800 --> 36:25.800]  And they're hiring felons.
[36:25.800 --> 36:30.800]  Google military hiring felons and you'll see hundreds of mainstream articles.
[36:30.800 --> 36:35.800]  Police departments are hiring illegal aliens to be police.
[36:35.800 --> 36:42.800]  You can't make this stuff up. So you want to give your children something, give them liberty and freedom.
[36:42.800 --> 36:46.800]  Give them a future to not live in a controlled nightmare police state.
[36:46.800 --> 36:49.800]  Now I want to go to Kurt Nemo here in a moment.
[36:49.800 --> 36:56.800]  For those that don't know, the Rand Corporation, it was reported mainstream news two months ago.
[36:56.800 --> 37:04.800]  We wrote stories about it at prisonplanet.com and infowars.com said, we need a huge theater war bigger than Iraq.
[37:04.800 --> 37:09.800]  Bigger than Afghanistan, bigger than Serbia to, quote, get the economy going.
[37:09.800 --> 37:14.800]  What they mean by that is to get the people to go along with what they're doing, to get us to stand down and rally around the flag.
[37:14.800 --> 37:18.800]  As these international groups take us to war for empire.
[37:18.800 --> 37:20.800]  That's what empires do when they're in trouble.
[37:20.800 --> 37:25.800]  Napoleon or Hitler or the Soviets, they always start wars.
[37:25.800 --> 37:28.800]  Because that silence is opposition at home.
[37:28.800 --> 37:36.800]  And they are openly proposing trying to start a war between Pakistan and India, two nuclear powers.
[37:36.800 --> 37:40.800]  And, you know, this happened a few weeks ago.
[37:40.800 --> 37:43.800]  We withheld judgment, looked at all the evidence.
[37:43.800 --> 37:55.800]  And now the Indian and Pakistani papers for the last week are reporting that members of the army intelligence were caught leading and commanding other terror attacks in India
[37:55.800 --> 38:01.800]  and involved in this one and the five anti-terror chiefs out of thousands of anti-terror forces that were in Mumbai.
[38:01.800 --> 38:10.800]  They were the only guys that got killed, chief among them, the head of Indian anti-terrorism, who had been in the papers two days before saying,
[38:10.800 --> 38:14.800]  Western intelligence is controlling Muslim terrorists that they're funding.
[38:14.800 --> 38:15.800]  This is not Pakistan.
[38:15.800 --> 38:19.800]  And this is a false flag government staged event.
[38:19.800 --> 38:22.800]  He was shot three times in the chest within minutes of the attack starting.
[38:22.800 --> 38:30.800]  So you got the army killing the separate people there who are within the Indian government who are exposing this.
[38:30.800 --> 38:32.800]  People always say, well, this stuff was government.
[38:32.800 --> 38:34.800]  We'd find out it had come out.
[38:34.800 --> 38:35.800]  It is coming out.
[38:35.800 --> 38:38.800]  And folks, just go check out the story at infowars.com.
[38:38.800 --> 38:41.800]  Kurt's got links to all the mainstream stories that back all this up.
[38:41.800 --> 38:55.800]  And two Mondays ago, about eight days ago, it was in Reuters and Der Spiegel that the German intelligence was caught right when the Muslims that the West brought into attack with Serbs.
[38:55.800 --> 38:59.800]  Well, now they want NACO out there in Kosovo, Southern Serbia.
[38:59.800 --> 39:01.800]  And so, and the Serbs want them out.
[39:01.800 --> 39:04.800]  And it was unpopular for the Germans and NATO to still be there.
[39:04.800 --> 39:14.800]  So the German secret police were caught staging terror attacks and separate NATO troops caught them and they admitted to it.
[39:14.800 --> 39:29.800]  Just like SAS, Special Air Services assigned to MI6 were caught in 2005 in Iraq, in Basra, staging terror attacks dressed up with fake beards on, attacking our troops.
[39:29.800 --> 39:30.800]  Now that was confirmed.
[39:30.800 --> 39:33.800]  That was times of London.
[39:33.800 --> 39:36.800]  See, people wonder why I talk about government-sponsored terror.
[39:36.800 --> 39:38.800]  Aren't I supposed to when it's confirmed?
[39:38.800 --> 39:40.800]  I mean, you know, admitted.
[39:40.800 --> 39:42.800]  Let's bring up Kurt Nemo for this segment and the next.
[39:42.800 --> 39:45.800]  And I promise nothing but your phone calls after that.
[39:45.800 --> 39:49.800]  So be patient because I want to talk to all of you from San Diego, Las Vegas, Germany, Texas.
[39:49.800 --> 39:52.800]  In fact, we'll go to Germany first when we do go to calls.
[39:52.800 --> 39:54.800]  Kurt Nemo is a writer for infowars.com.
[39:54.800 --> 39:58.800]  He's written for major newspapers and produced for major TV programs across the country.
[39:58.800 --> 40:01.800]  I hired Kurt a couple years ago to do a great job at infowars.com.
[40:01.800 --> 40:03.800]  He runs infowars.com for us.
[40:03.800 --> 40:07.800]  And he did a great report, kind of a roundup of this news.
[40:07.800 --> 40:09.800]  Arrest provides more evidence.
[40:09.800 --> 40:12.800]  India, Israel, the United States behind Mumbai attacks.
[40:12.800 --> 40:15.800]  And then he goes through that, the AP reporting on it as well.
[40:15.800 --> 40:20.800]  Kurt, a basic boil down of the evidence.
[40:20.800 --> 40:25.800]  Well, hey, Alex, what happened on Saturday is the Indian officials arrested a guy.
[40:25.800 --> 40:27.800]  His name is Mukhtar Ahmed.
[40:27.800 --> 40:38.800]  And he's accused of providing SIM cell phone cards to the terrorist, the L.E.T. terrorist.
[40:38.800 --> 40:43.800]  He was arrested and the Associated Press covered this.
[40:43.800 --> 40:48.800]  It turns out he works for the police in Kashmir.
[40:48.800 --> 40:51.800]  And he's a current insurgency operative.
[40:51.800 --> 40:55.800]  And so it begs the question, you know, is the ISA responsible for this?
[40:55.800 --> 40:57.800]  Or is Indian intelligence?
[40:57.800 --> 41:02.800]  Well, I mean, the head of all Indian anti-terror forces, and this is in our stories,
[41:02.800 --> 41:08.800]  and Maidstream Indian Babers reporting, he was caught by the head of Indian intelligence
[41:08.800 --> 41:13.800]  running the staged attack on the train that killed 63 people.
[41:13.800 --> 41:18.800]  And so the head of the Indian anti-terror force had been reporting,
[41:18.800 --> 41:23.800]  hey, this is a false flag, and then he gets killed the day of the event.
[41:23.800 --> 41:26.800]  And of all of his forces, he's the one that gets killed and his four deputies.
[41:26.800 --> 41:29.800]  They all die, none of the junior people die,
[41:29.800 --> 41:35.800]  and then the Indian police stand down and won't shoot at the people running around on LSD.
[41:35.800 --> 41:41.800]  Right, that was the attack that was in Melgon, I guess it was, in western state in India.
[41:41.800 --> 41:48.800]  Yeah, it's no coincidence this guy, what's his name?
[41:48.800 --> 41:53.800]  His name is Karkai, was killed when he entered the hotel.
[41:53.800 --> 41:55.800]  He was one of the first people to die in there.
[41:55.800 --> 41:57.800]  Yeah, obviously they're covering up the tracks,
[41:57.800 --> 42:00.800]  and they're trying to get rid of the people who know what's actually going on.
[42:00.800 --> 42:02.800]  This is a false flag terror attack.
[42:02.800 --> 42:04.800]  I mean, you take a look at it.
[42:04.800 --> 42:13.800]  I mean, the Indian press admits that the raw, the Indian version of the CIA
[42:13.800 --> 42:20.800]  basically has a relationship with the CIA and Mossad that's common knowledge in India.
[42:20.800 --> 42:24.800]  Well, what Pakistan is saying is, look, we want peace.
[42:24.800 --> 42:29.800]  We've been wanting to work with India and the very same Muslim terror groups
[42:29.800 --> 42:32.800]  that the US founded in the 70s, and that's a fact,
[42:32.800 --> 42:35.800]  what is known as al-Qaeda and its splinter groups,
[42:35.800 --> 42:39.800]  they've been staging attacks against the Pakistani government the last six, eight months,
[42:39.800 --> 42:43.800]  building, blowing up hotels they're in, doing this,
[42:43.800 --> 42:47.800]  and Pakistani intelligence says, look, we've been a puppet of the West,
[42:47.800 --> 42:52.800]  we're trying to kick them out, elements of our ISI, Pakistani intelligence,
[42:52.800 --> 42:56.800]  they are working for the West to do this as a pretext to get a war started
[42:56.800 --> 42:58.800]  between Pakistan and India.
[42:58.800 --> 43:01.800]  And we come back, Kurt, let's talk about more of the evidence of this being an inside job,
[43:01.800 --> 43:04.800]  not just the motive, but all the evidence coming in,
[43:04.800 --> 43:09.800]  these guys all on cocaine, methamphetamine and LSD, the supposed attackers,
[43:09.800 --> 43:13.800]  and then they catch only one guy and he's the guy that we see the images of on the news.
[43:13.800 --> 43:17.800]  We'll be right back, ladies and gentlemen, total false flag, but why are they doing it?
[43:17.800 --> 43:21.800]  What is a false flag? We'll talk to Kurt Nemo when we get back.
[43:21.800 --> 43:35.800]  He's over at infowars.com. Check out his story.
[43:52.800 --> 43:58.800]  So, this Christmas, give your friends and family a pack of secure sleeves from Identity Stronghold.
[43:58.800 --> 44:03.800]  Our radio blocking secure sleeves blocked the signals needed to read the RFID chip
[44:03.800 --> 44:07.800]  inside their new credit cards and passports, keeping the personal data safe and secure.
[44:07.800 --> 44:15.800]  You can buy them on the web at www.idstronghold.com, that's www.idstronghold.com,
[44:15.800 --> 44:22.800]  or call toll-free 800-610-2770, 800-610-2770.
[44:22.800 --> 44:48.800]  Order now and get them in time for Christmas. Go to idstronghold.com today.
[44:48.800 --> 44:52.800]  Keelorex was developed based on Dr. Alan Greenberg's clinical experience with heavy metal poisoning
[44:52.800 --> 44:57.800]  during his 25 years of medical practice. Keelorex does not contain EDTA
[44:57.800 --> 45:01.800]  and is made from all natural ingredients, enhancing the body's natural mechanisms
[45:01.800 --> 45:05.800]  for excreting heavy metals and preventing their reabsorption.
[45:05.800 --> 45:09.800]  Keelorex contains antioxidants to protect the liver, kidneys, central nervous system,
[45:09.800 --> 45:13.800]  and immune functions, and effectively mobilizes mercury and 15 other heavy metals,
[45:13.800 --> 45:16.800]  including aluminum, arsenic, lead, and more.
[45:16.800 --> 45:21.800]  Find out what Keelorex can do for you by calling 1-800-675-4568,
[45:21.800 --> 45:25.800]  or visit us online at www.chelorex.com.
[45:25.800 --> 45:47.800]  That's www.keelorex.com today.
[45:55.800 --> 46:20.800]  This is Keelorex.
[46:20.800 --> 46:46.800]  This is Keelorex.
[46:46.800 --> 47:12.800]  This is Keelorex.
[47:12.800 --> 47:38.800]  This is Keelorex.
[47:38.800 --> 47:45.800]  Coming to you from the capital of Texas, broadcasting the truth coast to coast and worldwide,
[47:45.800 --> 47:53.800]  this is The Alex Jones Show.
[47:53.800 --> 47:57.800]  World War I started through proxy states under World War II.
[47:57.800 --> 48:04.800]  The Rand Corporation, the Big New Brazinski, and others have said they want a war on the scale of World War III,
[48:04.800 --> 48:09.800]  and he wrote in the Grand Chess Board in 97 and in public white papers in the last year,
[48:09.800 --> 48:13.800]  that they want to start the war in Pakistan and India.
[48:13.800 --> 48:17.800]  That's why the West has given nukes, thermal nuclear weapons to both sides,
[48:17.800 --> 48:25.800]  with 3,000-kilometer range delivery systems.
[48:25.800 --> 48:28.800]  And right when they're about to sign a peace deal, here come the terrorists.
[48:28.800 --> 48:32.800]  The police stand down for three days and hundreds dead.
[48:32.800 --> 48:39.800]  And then the only people getting killed are the high-level police commanders who had publicly been in the newspaper
[48:39.800 --> 48:44.800]  saying the government is staging this.
[48:44.800 --> 48:48.800]  That is the only place that we saw this happening.
[48:48.800 --> 48:49.800]  Kind of like that.
[48:49.800 --> 48:53.800]  It was like Johnny Carson.
[48:53.800 --> 48:55.800]  All right, you know, I'm not laughing about that.
[48:55.800 --> 49:01.800]  The point is, is that this is not Iran, this is not Iraq, this is not Afghanistan,
[49:01.800 --> 49:03.800]  this is not attacking Serbia.
[49:03.800 --> 49:07.800]  This is potentially starting World War III.
[49:07.800 --> 49:10.800]  China has sided with Pakistan.
[49:10.800 --> 49:11.800]  Russia doesn't know who to side with.
[49:11.800 --> 49:13.800]  They usually side with India.
[49:13.800 --> 49:16.800]  The United States has got intelligence operatives all over India.
[49:16.800 --> 49:19.800]  And right on time, Joe Biden says there'll be this big crisis.
[49:19.800 --> 49:21.800]  It's going to be in Pakistan.
[49:21.800 --> 49:24.800]  And voila, look what starts happening.
[49:24.800 --> 49:26.800]  Kurt Nemo, other thoughts on this?
[49:26.800 --> 49:30.800]  Well, Alex, I just wanted to say that what's really interesting is, in this news article,
[49:30.800 --> 49:35.800]  it was all spelled out right there that this counter-insurgency group run out of the police
[49:35.800 --> 49:44.800]  department in Kashmir, this guy, this operative, was caught red-handed facilitating a terror
[49:44.800 --> 49:45.800]  attack.
[49:45.800 --> 49:49.800]  And in the next paragraph, the Associated Press goes on to say that, well, you know,
[49:49.800 --> 49:52.800]  it was just India's having problems with its intelligence.
[49:52.800 --> 49:54.800]  It was an intelligence failure.
[49:54.800 --> 49:55.800]  It was a screw-up.
[49:55.800 --> 50:00.800]  So in the very next paragraph, they made excuses for this obvious fact that Indian intelligence
[50:00.800 --> 50:04.800]  through their police department in Kashmir is running false-like terror attacks.
[50:04.800 --> 50:10.800]  But then you have the train bombing with the Army Intelligence Anti-Terror Captain running
[50:10.800 --> 50:11.800]  the organization.
[50:11.800 --> 50:16.800]  You have the Southern Poverty Law Center caught in FBI memos literally running the top people
[50:16.800 --> 50:21.800]  at Elohim City, the white supremacist compound with the bombing of Oklahoma City.
[50:21.800 --> 50:23.800]  FBI documents have now come out.
[50:23.800 --> 50:25.800]  This is mainstream news.
[50:25.800 --> 50:30.800]  I had the lawyer who sued over this and got it all out that the FBI was basically running
[50:30.800 --> 50:34.800]  the Oklahoma City bombing, and McVeigh thought that he was working for him just like Lee Harvey
[50:34.800 --> 50:35.800]  Oswald.
[50:35.800 --> 50:43.800]  And remember, in 1993, New York Times, CBS News reported, Ahmad Salam, the CIA and FBI
[50:43.800 --> 50:48.800]  hire this Egyptian intelligence agent.
[50:48.800 --> 50:49.800]  They bring him over.
[50:49.800 --> 50:52.800]  First, they're going to build a dummy bomb, and it's real Muslim terrorist.
[50:52.800 --> 50:54.800]  But the point is, he's the leader of the group.
[50:54.800 --> 50:59.800]  He goes out and finds these idiots, creates the bomb with real explosives, gives them
[50:59.800 --> 51:02.800]  the detonator, and then he thinks that they're going to bust them.
[51:02.800 --> 51:06.800]  He goes to the FBI, and they say, no, we're letting the bombing go forward in two days.
[51:06.800 --> 51:07.800]  He flips out.
[51:07.800 --> 51:09.800]  This is all in the mainstream news.
[51:09.800 --> 51:14.800]  Goes and records more than 12 hours of the FBI, him saying, let's stop the bombing.
[51:14.800 --> 51:16.800]  We weren't supposed to let this really happen.
[51:16.800 --> 51:17.800]  This is a sting.
[51:17.800 --> 51:19.800]  And they said, no, we're letting it happen.
[51:19.800 --> 51:21.800]  We're letting it go forward.
[51:21.800 --> 51:25.800]  And then he knew they were setting him up, so he recorded them.
[51:25.800 --> 51:28.800]  And then they had to pay him a million three to leave the country.
[51:28.800 --> 51:30.800]  And, of course, they bombed the World Trade Center.
[51:30.800 --> 51:36.800]  So we have these false flags where the government finds the crazies, brings them in, funds them,
[51:36.800 --> 51:38.800]  allows them to take action.
[51:38.800 --> 51:41.800]  You have real terrorist attacks that do happen occasionally.
[51:41.800 --> 51:46.800]  Then you have the totally staged events like 9-11, where we know the supposed hijackers
[51:46.800 --> 51:50.800]  were U.S. government agents training at U.S. military bases, and that's on record.
[51:50.800 --> 51:53.800]  But the media won't cover it after the fact.
[51:53.800 --> 51:55.800]  So, Kurt, it's just incredible.
[51:55.800 --> 52:01.800]  Well, the media will report parts of it, but it takes people with a sense of dedication
[52:01.800 --> 52:07.800]  to put this stuff together and put the puzzle pieces together and come up with the whole picture.
[52:07.800 --> 52:10.800]  The media, most people read the newspapers, and they read the headlines, and they go on
[52:10.800 --> 52:13.800]  the Fox News, some bites, and they don't put the whole picture together.
[52:13.800 --> 52:14.800]  Exactly.
[52:14.800 --> 52:17.800]  But what I'm saying is people always say, well, this stuff would come out.
[52:17.800 --> 52:21.800]  It would come out if the feds cooked the bomb and trained the driver and gave them the detonators
[52:21.800 --> 52:23.800]  in 93 for the World Trade Center.
[52:23.800 --> 52:26.800]  It would come out if German intelligence was staging terror attacks in Serbia.
[52:26.800 --> 52:27.800]  It would come out.
[52:27.800 --> 52:28.800]  It does.
[52:28.800 --> 52:33.800]  They caught the British in Basra dressed up like Arabs running around shooting people.
[52:33.800 --> 52:34.800]  Right.
[52:34.800 --> 52:36.800]  Well, Kurt, this is so bold.
[52:36.800 --> 52:41.800]  The larger issue is they're clearly going to stage some more events between Pakistan and India.
[52:41.800 --> 52:46.800]  India is now reporting they're considering massive attacks on Pakistan itself.
[52:46.800 --> 52:48.800]  I mean, we could be in World War III here.
[52:48.800 --> 52:49.800]  Definitely.
[52:49.800 --> 52:52.800]  Well, precisely, as you said earlier, that's exactly what they want to do.
[52:52.800 --> 52:57.800]  They want to create a crisis in South Asia and in Central Asia, and they want to have
[52:57.800 --> 53:03.800]  World War III, and that's the only way they can bring their control grid into being is
[53:03.800 --> 53:11.800]  to demand that the people of the West buckle under the severe crisis of a third World War.
[53:11.800 --> 53:14.800]  Well, this will make everybody rally around Obama, too.
[53:14.800 --> 53:16.800]  Hey, you know, we've got an international crisis going.
[53:16.800 --> 53:21.800]  Never mind the fact that AP reports that seven weeks after the bank or takeover, known as
[53:21.800 --> 53:25.800]  the bailout, 8.4 trillion, and most of it's going offshore.
[53:25.800 --> 53:27.800]  None of it's going for the mortgages.
[53:27.800 --> 53:28.800]  Yeah.
[53:28.800 --> 53:31.800]  But that's okay.
[53:31.800 --> 53:35.800]  If you're patriotic, Kurt, you'll just give up all your liberties and freedoms and let
[53:35.800 --> 53:38.800]  offshore banks take all our money and that we have to pay back in taxes.
[53:38.800 --> 53:42.800]  Well, that's precisely what this is, the cover for all those operations that the bankers
[53:42.800 --> 53:43.800]  are doing.
[53:43.800 --> 53:44.800]  Exactly.
[53:44.800 --> 53:45.800]  That's what Rand Corporation says.
[53:45.800 --> 53:47.800]  It is a political diversion.
[53:47.800 --> 53:49.800]  The big government funded think tank.
[53:49.800 --> 53:52.800]  It's a private think tank that sets a lot of their policy.
[53:52.800 --> 53:58.800]  It was the big New Brzezinski, and they're saying we need a giant war, and then wallah
[53:58.800 --> 54:00.800]  right where they say they need it.
[54:00.800 --> 54:01.800]  What happens, Kurt?
[54:01.800 --> 54:02.800]  Well, exactly.
[54:02.800 --> 54:05.800]  I mean, look what happened in 2003 when Bush invaded Iraq.
[54:05.800 --> 54:10.800]  You know, the people mostly and generally, you know, 90-some percent of them, you know,
[54:10.800 --> 54:12.800]  agreed with Bush, you know?
[54:12.800 --> 54:17.800]  I mean, even though at the time we knew that it was bogus, nonetheless, and this will be
[54:17.800 --> 54:22.800]  consistent, the magnitude of this attack or this coming Third World War, if we call it
[54:22.800 --> 54:28.800]  that, it will be even worse than the Iraq invasion, and more demands will be placed on us to buckle
[54:28.800 --> 54:29.800]  under.
[54:29.800 --> 54:33.800]  Well, there was only one difference between the Neocon camp that took over the Republican
[54:33.800 --> 54:35.800]  party, the former Trotskyites.
[54:35.800 --> 54:36.800]  I'm not just saying that.
[54:36.800 --> 54:39.800]  If you didn't know that Neocons were Trotskyites, Google it.
[54:39.800 --> 54:45.800]  They had themselves, and the old lines of Big Nebrezinski, even James Baker, you know,
[54:45.800 --> 54:54.800]  type arm, and that was, no, we want the invasions and the wars to be a little more east in Central
[54:54.800 --> 54:55.800]  Asia.
[54:55.800 --> 54:56.800]  Right.
[54:56.800 --> 55:01.800]  And so the policy is now shifting away from Iran, though Israel's been talking about it,
[55:01.800 --> 55:03.800]  going it alone and attacking.
[55:03.800 --> 55:08.800]  Well, the basic premise is the same, and that's what Brezhinsky said.
[55:08.800 --> 55:13.800]  He said, they want to break these places up, balkanize them, so I think his quote was
[55:13.800 --> 55:20.800]  so that the vassals don't get up and try to organize and do anything.
[55:20.800 --> 55:22.800]  So basically that's what they're doing.
[55:22.800 --> 55:27.800]  They're just trying to balkanize and break up and create strife, order through chaos,
[55:27.800 --> 55:31.800]  and the old British maximum of conquer and divide.
[55:31.800 --> 55:35.800]  It's basically the same thing in a new guys.
[55:35.800 --> 55:36.800]  Absolutely.
[55:36.800 --> 55:39.800]  Maybe, you know, we know so much, we forget folks don't.
[55:39.800 --> 55:43.800]  Maybe we should do an article sometime this week tying it back to that Rand Corporation
[55:43.800 --> 55:49.800]  document and the Rand Corporation report about needing World War III and spell this out
[55:49.800 --> 55:52.800]  for people because this is Obama's international crisis.
[55:52.800 --> 55:56.800]  This is the beginning of it, and you've got all these Kulei drinking Democrats that think
[55:56.800 --> 55:59.800]  Valhalla has arrived, no more wars.
[55:59.800 --> 56:05.800]  Meanwhile, he's saying, no, no, no, austerity, cutting your paycheck, depression, wars.
[56:05.800 --> 56:06.800]  You're not going to like what I do.
[56:06.800 --> 56:10.800]  By the way, we're going to ban your fireplaces and your space heaters.
[56:10.800 --> 56:12.800]  The New York Times basically said the same thing.
[56:12.800 --> 56:17.800]  We need a war to rally the people and to keep them in place, and that's, you know, the Rand
[56:17.800 --> 56:21.800]  reports basically the same, but like you said, they're shifting it a little bit to the east
[56:21.800 --> 56:22.800]  as opposed to the Middle East.
[56:22.800 --> 56:24.800]  It's going to be in Asia.
[56:24.800 --> 56:25.800]  Kurt Nemo, I appreciate you calling.
[56:25.800 --> 56:27.800]  Good to hear from you, and thanks for coming on the show.
[56:27.800 --> 56:30.800]  We'll watch infowars.com for your reports.
[56:30.800 --> 56:31.800]  Okay, Alex, bye.
[56:31.800 --> 56:36.800]  I'm going to jam in a call here from Germany because he's been holding the longest.
[56:36.800 --> 56:40.800]  We're going to come back, and in rapid succession, go to all of your calls in the next hour, so
[56:40.800 --> 56:41.800]  stay with us.
[56:41.800 --> 56:43.800]  Sam, in Germany, go ahead.
[56:43.800 --> 56:49.800]  Hey, Alex, I just want to call up and ask maybe, basically, I wanted some tips on staying
[56:49.800 --> 56:52.800]  motivated, because I get pretty depressed about this whole thing.
[56:52.800 --> 56:58.800]  And also, I'd like you to explain how gun confiscation would fail in America.
[56:58.800 --> 57:00.800]  Well, first off, we don't have a choice.
[57:00.800 --> 57:03.800]  I mean, things are bleak, things are bad, but there's also a lot of good things in the
[57:03.800 --> 57:04.800]  world.
[57:04.800 --> 57:07.800]  The people are waking up to tyranny all over the world.
[57:07.800 --> 57:10.800]  Government-sponsored terror, banker looting.
[57:10.800 --> 57:15.800]  All of this is being exposed, and so they're going to have a tough time getting away with
[57:15.800 --> 57:16.800]  all of this.
[57:16.800 --> 57:19.800]  But the reason you should be positive is you've only got one life to live.
[57:19.800 --> 57:24.800]  You're a good person, so we need you to be positive to fight the bad people in the world,
[57:24.800 --> 57:26.800]  and being negative is only going to make things worse.
[57:26.800 --> 57:30.800]  True, well, that's good to hear.
[57:30.800 --> 57:34.800]  I think I'm actually going to come back to the US for a little while, kind of see some action
[57:34.800 --> 57:35.800]  on the ground.
[57:35.800 --> 57:37.800]  Hey, I saw it in Der Spiegel and Reuters.
[57:37.800 --> 57:42.800]  Did you see it living in Germany last week when the Germans got caught staging terror attacks?
[57:42.800 --> 57:45.800]  Yeah, yeah, yeah, in Der Spiegel, yeah.
[57:45.800 --> 57:47.800]  It's a worldwide deal.
[57:47.800 --> 57:48.800]  It's just part of the Newell Order.
[57:48.800 --> 57:51.800]  I mean, what did the Germans say when it was just in the newspaper that the government is
[57:51.800 --> 57:54.800]  staging terror attacks against itself?
[57:54.800 --> 57:59.800]  You know, one group of police, of NATO police, caught German intelligence attacking their
[57:59.800 --> 58:00.800]  own buildings.
[58:00.800 --> 58:02.800]  So what's going to happen?
[58:02.800 --> 58:06.800]  Well, I think it really depends which part of Germany you're in, but I think people here,
[58:06.800 --> 58:11.800]  it doesn't shock them, but they kind of understand that you have corrupt government because they
[58:11.800 --> 58:14.800]  got so screwed during World War II, you might say.
[58:14.800 --> 58:15.800]  You know, it was so bad here.
[58:15.800 --> 58:19.800]  So it's not that shocking to them, but I think people are just kind of in a daze here.
[58:19.800 --> 58:20.800]  Hi, this is Ted Anderson.
[58:20.800 --> 58:22.800]  Did you miss your favorite shows on GCN today?
[58:22.800 --> 58:26.800]  Thanks to the continued support of our listeners, subscribers, and sponsors, we are proud to
[58:26.800 --> 58:30.800]  bring the GCN audience a new and exciting way to listen called On Demand.
[58:30.800 --> 58:35.800]  Available on GCNLive.com, On Demand plays each show continuously until the next time
[58:35.800 --> 58:36.800]  the show goes live.
[58:36.800 --> 58:37.800]  It's simple to use.
[58:37.800 --> 58:42.800]  Just go to GCNLive.com, click on the On Demand button, and find your favorite shows.
[58:42.800 --> 58:43.800]  Don't get discouraged.
[58:43.800 --> 58:44.800]  Get On Demand.
[58:44.800 --> 58:45.800]  Free.
[58:45.800 --> 58:48.800]  Thanks again to the listeners at GCNLive.com.
[58:48.800 --> 59:17.800]  Thank you.
[59:19.800 --> 59:20.800]  Hey GCN listeners.
