[00:00.000 --> 00:10.000]  When I grow up, I want to be a rock star!
[35:22.000 --> 35:25.000]  High treason, that's Jim Hoff's headline at Gateway Pundit.
[35:25.000 --> 35:27.000]  It's incredibly accurate.
[35:27.000 --> 35:34.000]  New York Times reveals formation of active FBI coup against President Trump based on outlandish rumors.
[35:34.000 --> 35:38.000]  Hoff does a great job of succinctly boiling it down.
[35:38.000 --> 35:41.000]  On Friday, the New York Times published the latest Deep State leak
[35:41.000 --> 35:47.000]  that the FBI investigated U.S. President Trump after he fired Crooked director James Comey.
[35:47.000 --> 35:53.000]  The liberal media wants you to believe that Trump is a foreign spy and that Crooked Comey is a hero.
[35:53.000 --> 35:58.000]  The report reveals that Deep State FBI opened an investigation into the president
[35:58.000 --> 36:02.000]  after he fired James Comey in May of 2017.
[36:02.000 --> 36:08.000]  The investigation was launched based on unverified rumors, and this is what's most important.
[36:08.000 --> 36:17.000]  We now know that Hillary Clinton, the DNC, and George Soros all funded the British steel dossier, as it's known,
[36:17.000 --> 36:21.000]  all of it proven to be a fraud, all of it to be proven a lie.
[36:21.000 --> 36:24.000]  So again, this was being used during the campaign against Trump,
[36:24.000 --> 36:30.000]  and it was being used to open an illegal national security investigation then that's been discovered.
[36:30.000 --> 36:39.000]  That was being done by the CIA and others, run by Obama and run by the State Department with all the Hillary cronies.
[36:39.000 --> 36:42.000]  So that's the huge number one crime.
[36:42.000 --> 36:49.000]  But now this new crime that they were trying to frame the president trying to wear a wire and knew all this,
[36:49.000 --> 36:55.000]  the fact that they first denied it and testified to Congress it didn't happen and told the president it didn't happen,
[36:55.000 --> 37:01.000]  Rosenstein and others, shows you the cut and dry crimes that have been committed here.
[37:01.000 --> 37:07.000]  But we've got to ask the question, why are they bringing this up the New York Times now and admitting the truth?
[37:07.000 --> 37:11.000]  I'll get to that in a moment, but continuing with Jim Hoft.
[37:11.000 --> 37:18.000]  The New York Times admitted in the report that there is no evidence that the Trump campaign ever had any contact with Russian government officials.
[37:18.000 --> 37:25.000]  The New York Times buried this nugget in the ninth paragraph in their sensationalist report.
[37:25.000 --> 37:30.000]  These political operatives, leading the FBI, should be tried for treasons, as his words,
[37:30.000 --> 37:39.000]  their job at the FBI is not to run a coup against the sitting president based on ridiculous rumors, they should be tried and hanged.
[37:39.000 --> 37:43.000]  Then he goes into the president's tweets on this subject.
[37:43.000 --> 37:48.000]  Understand, these were individuals appointed and brought in by the Clintons, by Obama,
[37:48.000 --> 37:53.000]  who famously protected Hillary Clinton and others, all of them.
[37:53.000 --> 38:03.000]  Comey, McCabe, Rosenstein, this was the cabal who'd already tried to set the president up with Russians during the campaign, we now know.
[38:03.000 --> 38:05.000]  That was unsuccessful.
[38:05.000 --> 38:14.000]  But now they had to have a new counter-SPNI investigation to cover up the fact that they had indeed been involved in criminal spying on the campaign.
[38:14.000 --> 38:17.000]  Here's the New York Times article itself.
[38:17.000 --> 38:23.000]  FBI opened inquiry into whether Trump was secretly working on behalf of Russians.
[38:23.000 --> 38:30.000]  And again, the corporate media uses this like, oh my gosh, they were looking at him, they were thinking he might be a Russian.
[38:30.000 --> 38:36.000]  Instead of it being they all told us that he wasn't the target and they all lied to Congress.
[38:36.000 --> 38:39.000]  Of course, he was always the target.
[38:39.000 --> 38:47.000]  FBI investigation into whether Trump was Russian agent handed over to special counsel is Mueller still investigating.
[38:47.000 --> 38:54.000]  And we know for a fact they're going to everyone they can who even has any connection to Trump and trying to set them up.
[38:54.000 --> 39:00.000]  Chang, the Russians want to give you money, the Russians are your friend, and no one has taken the money.
[39:00.000 --> 39:03.000]  And that's why they're in a total and complete panic mode.
[39:03.000 --> 39:05.000]  Believe me, I know.
[39:05.000 --> 39:10.000]  Continuing, New York Times reveals FBI launched two against President Trump based on rumors.
[39:10.000 --> 39:14.000]  That is our report, BoilingItDownInFullWars.com.
[39:14.000 --> 39:23.000]  Comey's fired off cryptic tweets in response to Trump's tweet storm saying that you know a man by his enemies.
[39:23.000 --> 39:30.000]  And then the members of Congress and others point out all the laws Comey and others broke doing this.
[39:30.000 --> 39:34.000]  Now, here's another excellent article pointing this out from Gateway Pundit.
[39:34.000 --> 39:47.000]  More deep state crimes, Rod Rosenstein and FBI Director Ray lied to Trump and Congress said he was not under investigation.
[39:47.000 --> 39:58.000]  And that's why this is such a huge situation. This article goes through the testimonies, through the reports, through public statements by Rosenstein and others.
[39:58.000 --> 40:09.000]  But see, Ray's not going after any of them because he lied to the president as well and claimed he wasn't part of the cabal with McCabe, Comey, Robert Mueller, and others.
[40:09.000 --> 40:11.000]  Very important. Look at that.
[40:11.000 --> 40:24.000]  The good news is it's even now in the Associated Press that grand juries have been convened, as we first broke over a year ago, to look at the indictment of McCabe,
[40:24.000 --> 40:30.000]  to look at the indictment of Ray, to look at the indictment of Comey and Robert Mueller III.
[40:30.000 --> 40:32.000]  Here's the Newsweek headline.
[40:32.000 --> 40:42.000]  It wasn't and isn't target of FBI Russian investigation. So it's Republican oversight committee chairman who, again, had testimony by these individuals saying he wasn't.
[40:42.000 --> 40:49.000]  Why are they now having to come out and admit that they were illegally spying on him during the campaign?
[40:49.000 --> 40:56.000]  And then once Trump got into office, they had an FBI criminal investigation into some people that worked for him.
[40:56.000 --> 41:05.000]  There's nothing to do with Russians, but taxi cab companies and things like that. So they could compromise people around Trump to then falsely testify against the president.
[41:05.000 --> 41:10.000]  But because he's so clean, they've not found anything that could ever be connected to him.
[41:10.000 --> 41:15.000]  Out of his thousands of associates, they can find some corrupt people, but they can't pin it to Trump.
[41:15.000 --> 41:17.000]  So why are they bringing it out now?
[41:17.000 --> 41:31.000]  Because they know these grand juries are very close to handing down indictments against these individuals, starting with Clinton operative and Comey apprentice, Comey adjunct, aide to camp, McCabe.
[41:31.000 --> 41:41.000]  And they also know that because of mfullwars.com and newswars.com and our deep research laying out the roadmap of this, that it's on record everything that has happened.
[41:41.000 --> 41:54.000]  And so there's no way they're going to be able to hide it forever. So they're bringing out themselves with the spin that, oh, look, Trump's this mastermind, you know, criminal, so bad they were having to criminally investigate him after they lied to the whole world
[41:54.000 --> 42:04.000]  and said they weren't and lied to Congress. All of it based on a fake dossier where none of it's true. There's no witnesses. The Jane Doe's are fake.
[42:04.000 --> 42:07.000]  Trump is a control freak about running his own life.
[42:07.000 --> 42:17.000]  He isn't in hotel rooms with hookers pissing on him. That's our Kelly pissing on teenage girls. That's the left protecting him. That's the other way around.
[42:17.000 --> 42:27.000]  So this is the type of stuff these comebacks come up with. Now let me give you what's so exciting about this but also so dangerous in closing.
[42:27.000 --> 42:37.000]  The first let's look at articles from a year ago, a year and a half ago and two years ago. Just type into a search engine.
[42:37.000 --> 42:45.000]  Deep State preparing who against Trump with phony Mueller investigation. Even before Mueller got appointed.
[42:45.000 --> 42:53.000]  And the reason this is important is they've been lying to Congress and everyone else and these are serious crimes they've committed. They need to be brought down for this, not spend it.
[42:53.000 --> 42:58.000]  We'll show you those articles live when we come back. Stay with us.
[43:23.000 --> 43:31.000]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[43:31.000 --> 43:42.000]  Next, we tested the water from our Alexa pure gravity filter and not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[43:42.000 --> 43:53.000]  As it turns out, the filter on the Alexa pure raises the pH of the water. So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[43:53.000 --> 44:16.000]  But more importantly, a good water filtration system will purify it.
[44:24.000 --> 44:33.000]  And now because of their intensifying censorship, it's more important than ever that everyone go to infowars.com forward slash newsletter and sign up via email.
[44:33.000 --> 44:40.000]  So there's no way the sensors can get between us with critical videos, articles, breaking news, intel, you name it.
[44:40.000 --> 44:48.000]  And so now I ask you more than ever to share the info wars.com articles to share the videos to tell people about the local stations you're listening to.
[44:48.000 --> 44:55.000]  The bare minimum you can do is sign up for the free newsletter at infowars.com forward slash newsletter.
[44:55.000 --> 45:16.000]  We are the Renaissance and we are winning info wars life is bringing you a breakthrough in modern medicine introducing pollen block. We have found an extraordinary new natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort and respiratory function.
[45:16.000 --> 45:25.000]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[45:25.000 --> 45:36.000]  They began studying this effect in published trials and decades later, we now have the fruit of this research, a fast acting, chewable tablet that helps alleviate seasonal distress symptoms.
[45:36.000 --> 45:50.000]  Pollen block is natural and effective. It is not an antihistamine. In fact, current research has found that it actually acts by blocking the activity of triptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[45:50.000 --> 45:53.000]  Go outside and enjoy the air you breathe.
[45:53.000 --> 45:58.000]  Head to infowarslife.com and grab a pack of our pollen block chewable tablets.
[45:58.000 --> 46:14.000]  You deserve a deep restful sleep with knockout by info wars life. Our organic formula is made from high quality natural ingredients such as valerian root extract, L tryptophan, lemon balm leaf extract and melatonin.
[46:14.000 --> 46:28.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep. Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[46:28.000 --> 46:38.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need. Wake up refreshed and take on the day.
[46:38.000 --> 46:50.000]  Info wars life wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price. Get the sleep you deserve and experience the power of knockout.
[46:50.000 --> 47:09.000]  Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[47:20.000 --> 47:49.000]  So, I'm Alex Jones, your host. Back live here. We have the incredible development out in plain view that the FBI director, the deputy director, the deputy head of the justice department.
[47:49.000 --> 47:58.000]  All lied to Congress. All lied to Trump. There wasn't an espionage investigation open on him. They're not their own branch of government. They have to admit what's going on.
[47:58.000 --> 48:10.000]  And the media is forced to admit it. So they spit it like, look, he was under investigation. Yeah, we know. We've known all along. They're trying to overthrow this election.
[48:10.000 --> 48:22.000]  We've understood this the whole time and now you've got the former deputy director of the FBI and others under grand jury criminal investigation for perjury and lying to Congress and obstructing justice.
[48:22.000 --> 48:28.000]  They're the criminals. They're the ones that covered up for Hillary. They're the ones that did it all.
[48:28.000 --> 48:36.000]  But by the way, you're not just hearing that live here on Sunday night for the first time.
[48:36.000 --> 48:47.000]  We show TV viewers and radio listeners a shot here. We already read these articles. High Trees in New York Times reveals formation of active FBI coup against the president.
[48:47.000 --> 48:57.000]  Working with breakaway groups and the CIA. And I just showed you the Washington Post admitting that.
[48:57.000 --> 49:10.000]  They've perjured themselves to Congress and they're under grand jury criminal investigation. Washington Post. That's why they're fighting so hard because they are scared.
[49:10.000 --> 49:15.000]  Now, let's go back to info wars.com next year's news today. Why they want to shut down.
[49:15.000 --> 49:28.000]  Everybody else is chasing their tail and playing tiddlywinks and all this. We know the architecture. By the way, we're not proud. We know the architecture. The globalists are such arrogant white shoe boy lawyers.
[49:28.000 --> 49:34.000]  Candy asses that they act like no one reads white paper. So you've got a bunch of bull in the newspapers.
[49:34.000 --> 49:53.000]  But in white papers, they had in the council on farm relations journal two years ago that they had active think tanks at the Pentagon going to every office of different groups lobbying for a military coup over Trump.
[49:53.000 --> 50:02.000]  I'm like, here's the council on farm relations calling for a military coup. You better take that serious headline. Jones is crazy. He says they're planning a coup.
[50:02.000 --> 50:12.000]  Because again, something this big, they've got to go do this in these councils of government like it's no big deal. They walk in with straight faces saying all this.
[50:12.000 --> 50:19.000]  And they've threatened me. They've threatened almost everybody. I know not just here, but in Europe that if you don't lay down, we're going to get you.
[50:19.000 --> 50:26.000]  Well, you know what? You're the criminal. You're like some guy in a bank aiming a gun at me saying your election doesn't counter all gets you.
[50:26.000 --> 50:33.000]  Well, then fill your hand, you little dirty bastard. And if America had its instincts again, it'd be the greatest country on earth.
[50:33.000 --> 50:41.000]  Instead, we've got the instincts of great many people do of a castrated pig.
[50:41.000 --> 50:48.000]  But back to this article. Deep State pushes coup against Trump over Comey firing.
[50:48.000 --> 50:58.000]  That's Kit Daniels May 2017. And it lays it all out. Their whole fake clandestine operation.
[50:58.000 --> 51:05.000]  And then globalist documents saying America is a failing state. We must remove Trump. And then later when we say that's wrong, they go, we're not doing that.
[51:05.000 --> 51:13.000]  We're not doing that because they lie as their instinct. Deep State pushes coup against Trump over Comey firing.
[51:13.000 --> 51:21.000]  Here's another one. May 17th, Trump Corsi in four words.com. Deep State, mainstream media push Q day Toggins, Trump.
[51:21.000 --> 51:28.000]  And then there's videos of me saying it all. They wrote articles around my statements breaking indictments ready for McCabe and others.
[51:28.000 --> 51:36.000]  Trump delivers on life essentially technologies June 1st. Last year. But some of those were 2017.
[51:36.000 --> 51:49.000]  Oh, look, tomorrow is news today. Tucker Carlson, then a year after we say it, Tucker Carlson, Deep State launching coup against Trump to overthrow the election.
[51:49.000 --> 51:55.000]  Now, again, this is not about me sitting up here saying, look how smart I am. I'm not smart.
[51:55.000 --> 52:03.000]  But if you want to study how governments work, you want to study how these things operate, then you better actually figure it out.
[52:03.000 --> 52:13.000]  They don't give you on the normal national news how anything works. They give you a bunch of bull.
[52:13.000 --> 52:23.000]  So imagine all this has come out and they spent it like a rogue group of FBI was spying on the president and didn't find anything that turns into.
[52:23.000 --> 52:31.000]  Oh, he's obviously a criminal. The FBI was investigating him as a Russian agent.
[52:31.000 --> 52:38.000]  When all of them were telling the president and Congress is under oath. Oh, of course not. Oh, no, no, no, no.
[52:38.000 --> 52:48.000]  And then McCabe and Comey, they're all Democrat darlings protecting Hillary with real uranium to the Russians and missiles, the chai comms.
[52:48.000 --> 52:56.000]  And that's what's even worse is that not only are they trying to frame a good man and myself, I mean, I'm in congressional hearings.
[52:56.000 --> 53:02.000]  I don't get to attend them. I don't get to be talked to. But I go to hearings when they talk about me and the Russian agent.
[53:02.000 --> 53:14.000]  He's been here today. He's right over there. Why once there was a Twitter comment that we think was from Russia on his Twitter.
[53:14.000 --> 53:24.000]  I'm not on tarmacs like Robert Mueller giving them weapons grade illegal uranium that Hillary gives him 25% of our supplies of. No, no.
[53:24.000 --> 53:30.000]  I'm a Russian agent because I'm a loyal American fighting them, the globalist that openly hate America.
[53:30.000 --> 53:34.000]  And that's the big takeaway from this whole thing. And that's why I get so upset.
[53:34.000 --> 53:47.000]  So they're bringing in news guard and all these governmental groups from the Council on Foreign Relations openly quote working with US intelligence agencies and other trusted fact checkers.
[53:47.000 --> 54:01.000]  Media Matters, Southern Prairie Law Center, you know, the folks that got Franklin Graham banned off Facebook to take over at the device level.
[54:01.000 --> 54:08.000]  Meaning they're going to pop in on your phone or computer when you visit sites and warn you not to go there.
[54:08.000 --> 54:21.000]  Meaning they're watching you in live time in a deal with Amazon, Google and Microsoft rolling out on almost every device in the country in three months.
[54:21.000 --> 54:25.000]  Three months. It's all being announced.
[54:25.000 --> 54:30.000]  Device level control and next obviously will be URL blocking.
[54:30.000 --> 54:42.000]  We've already had people on iPhones and I've confirmed it blocking being able to click on your RSS feeder or an Apple phone go to the info wars.com RSS feeder system.
[54:42.000 --> 54:53.000]  They're doing this meaning in the next three months with all the fake investigations and the riot groups they've got ready and all the stabilization they've prepared to try to take Trump out.
[54:53.000 --> 55:04.000]  And then that's the internet kill switch selectively seeing what URLs you visit and where you go and what you do blocking you at the URL level from your phone itself.
[55:04.000 --> 55:14.000]  The Chinese social credit score that info wars first broke six years ago.
[55:14.000 --> 55:15.000]  It's here.
[55:15.000 --> 55:19.000]  They're going to make their move on Trump now.
[55:19.000 --> 55:30.000]  I remember being told by folks encounter terrorism from Fort Bragg high level that they're going to make their move.
[55:30.000 --> 55:33.000]  I said this about six, eight months ago.
[55:33.000 --> 55:35.000]  They're going to make their move in April.
[55:35.000 --> 55:37.000]  They said Alex, it's not the election.
[55:37.000 --> 55:38.000]  They're trying to steal that.
[55:38.000 --> 55:44.000]  They said if they can't take him out then they're going to move on Trump by April.
[55:44.000 --> 55:53.000]  And now it lines up with that because in April, the total takeover of all your devices, everything happens.
[55:53.000 --> 56:04.000]  You won't be on CNN or you won't be on Google or Facebook or Twitter and you see an Alex Jones article and they've got some projected deal on the screen at the URL level from from that company.
[56:04.000 --> 56:11.000]  This will be on your phone with live people sending you messages watching what you do.
[56:11.000 --> 56:13.000]  This is total treason.
[56:13.000 --> 56:15.000]  1984 looked like a free country.
[56:15.000 --> 56:19.000]  It's total complete evil.
[56:19.000 --> 56:24.000]  And if we just call it out and see if we're what it is, it's over.
[56:24.000 --> 56:27.000]  But if we don't, they're going to win.
[56:27.000 --> 56:38.000]  So the president and Congress have to recognize how dire the straits are with News Guard and the Southern Poverty Law Center and all these organizations and understand that they're trying to destroy our borders.
[56:38.000 --> 56:41.000]  They're trying to destroy our currency, our country, our stock market.
[56:41.000 --> 56:43.000]  They hate the American flag.
[56:43.000 --> 56:45.000]  The Ninth Circuit's ruled you can't show the American flag.
[56:45.000 --> 56:47.000]  They say you can't even be a nation.
[56:47.000 --> 56:48.000]  That's bad.
[56:48.000 --> 56:53.000]  They say there's no crisis on the border when Mexico's a failed state with hundreds of thousands dead.
[56:53.000 --> 56:58.000]  These people are the enemy working with radical Islam to invade the West.
[56:58.000 --> 57:01.000]  They are the people that are doing all of this.
[57:01.000 --> 57:07.000]  And if we don't stand up and speak out against them, we deserve what we get.
[57:07.000 --> 57:09.000]  It's that simple.
[57:09.000 --> 57:14.000]  And so you've got criminals in our government working with foreign corporations and foreign governments.
[57:14.000 --> 57:21.000]  Devo submitted it two years ago that the president of China is working with the U.S. government to block Trump.
[57:21.000 --> 57:24.000]  This is treason out in the open.
[57:24.000 --> 57:33.000]  You've got all these cowards in the government without that really think deep states going to win and they've bet against America and you and your family.
[57:33.000 --> 57:34.000]  It's incredible.
[57:34.000 --> 57:39.000]  The second hour with exclusive breaking news on so many fronts coming up.
[57:39.000 --> 57:44.000]  And it turns out Amazon is breaking into all your home cameras and stealing the data.
[57:44.000 --> 57:45.000]  It's mainstream news.
[57:45.000 --> 58:04.000]  Defeat the globalist.
[58:04.000 --> 58:12.000]  They've tried to ban us off every platform out there, but we've just gotten stronger because you've taken action with hashtag Alex Jones.
[58:12.000 --> 58:17.000]  I am patient zero in the massive banning, but you can override the sensors now.
[58:17.000 --> 58:23.000]  And if all of our audience gets involved with hashtag Alex Jones, we are unstoppable together.
[58:23.000 --> 58:27.000]  We've already changed the world together with our laser focus.
[58:27.000 --> 58:33.000]  Do it again with hashtag Alex Jones on Twitter, on Facebook, on Google, on YouTube, everywhere.
[58:33.000 --> 58:36.000]  Call it, talk radio, c-span, shout it out loud in public.
[58:36.000 --> 58:43.000]  Hashtag Alex Jones, that's the rallying cry to restore the First Amendment.
[58:43.000 --> 58:49.000]  Creativity and the dynamic human spirit that refuses to submit.
[58:49.000 --> 58:55.000]  Our grandparents, our great grandparents knew that they can't food during the fall, so they'd have it during the winter.
[58:55.000 --> 58:58.000]  And that's what I'm talking about at m4store.com.
[58:58.000 --> 59:06.000]  With m4store select, it's the full spectrum of my patriots supply on the top most respected companies out there.
[59:06.000 --> 59:13.000]  But because I private label it, I'm able to go below cost on contracts that all their other distributors aren't able to do.
[59:13.000 --> 59:18.000]  But I want to be a market leader and I want you to have storeable food so it's a total win-win.
[59:18.000 --> 59:24.000]  We have those incredible sell prices back m4store.com on m4store select storeable foods.
[59:24.000 --> 59:29.000]  They've got special diet foods, they've got three month supplies, your supplies, weak emergency supplies.
[59:29.000 --> 59:31.000]  They've got so many great products there.
[59:31.000 --> 59:33.000]  And you've got a three year supply.
[59:33.000 --> 59:35.000]  If stuff happens, you can feed your whole block.
[59:35.000 --> 59:37.000]  It's up to us to be self-sufficient.
[59:37.000 --> 59:40.000]  You're buying war bonds, bringing great products together.
[59:40.000 --> 59:42.000]  With God's help, we are unstoppable.
[59:42.000 --> 59:51.000]  m4store.com and m4store select high quality storeable foods powered by my patriots supply.
[59:51.000 --> 59:55.000]  You're listening to the Alex Jones show.
[01:00:02.000 --> 01:00:07.000]  The answer to 1984 is 1776.
[01:00:07.000 --> 01:00:12.000]  Live from Austin, Texas, broadcasting worldwide.
[01:00:12.000 --> 01:00:30.000]  It's Alex Jones.
[01:00:30.000 --> 01:00:39.000]  Can you imagine being the globalist and you took control of the U.S. for a while with the client media.
[01:00:39.000 --> 01:00:44.000]  And now you've committed all these incredible crimes and the people happen to get a good president in.
[01:00:44.000 --> 01:00:48.000]  Who's at least just trying to be the president and trying to turn the economy back on.
[01:00:48.000 --> 01:00:52.000]  And now you've used the legal spy networks and all this against them.
[01:00:52.000 --> 01:00:57.000]  And you've been caught and every day you know you're closer to going to prison.
[01:00:57.000 --> 01:00:59.000]  So the headlines get wilder and wilder and wilder.
[01:00:59.000 --> 01:01:01.000]  Trump's a Russian agent.
[01:01:01.000 --> 01:01:04.000]  Said destroy evidence of it and then it says actually he didn't.
[01:01:04.000 --> 01:01:05.000]  It's quite normal.
[01:01:05.000 --> 01:01:08.000]  He asked for the notes for the meeting.
[01:01:08.000 --> 01:01:09.000]  They're the globalists.
[01:01:09.000 --> 01:01:10.000]  They're the anti Americans.
[01:01:10.000 --> 01:01:12.000]  Of course that's what they're going to do.
[01:01:12.000 --> 01:01:16.000]  And when you get into how insane it all is.
[01:01:16.000 --> 01:01:19.000]  And how there's no way.
[01:01:19.000 --> 01:01:21.000]  These globalists are ever going to get away with it.
[01:01:21.000 --> 01:01:23.000]  That's really what gives me heart.
[01:01:23.000 --> 01:01:26.000]  Because Peter Strock in these text messages is the FBI.
[01:01:26.000 --> 01:01:29.000]  He's the bag man for all this stuff.
[01:01:29.000 --> 01:01:31.000]  Once Trump actually gets in office, he's like scared.
[01:01:31.000 --> 01:01:32.000]  He goes, we're going to go to jail.
[01:01:32.000 --> 01:01:35.000]  What are we going to do?
[01:01:35.000 --> 01:01:38.000]  This is going to work quote.
[01:01:38.000 --> 01:01:39.000]  There's nothing big here.
[01:01:39.000 --> 01:01:44.000]  There's no Russian collusion.
[01:01:44.000 --> 01:01:47.000]  So imagine they've committed all these crimes.
[01:01:47.000 --> 01:01:48.000]  They've covered up for the Russians.
[01:01:48.000 --> 01:01:50.000]  They've sold out the Chinese.
[01:01:50.000 --> 01:01:53.000]  They've sold out to anybody would give Hillary Clinton and her foundation.
[01:01:53.000 --> 01:01:59.000]  Billions and billions and billions of dollars.
[01:01:59.000 --> 01:02:01.000]  And now the walls are closing in.
[01:02:01.000 --> 01:02:03.000]  So they feel the walls closing in.
[01:02:03.000 --> 01:02:07.000]  So when you watch CNN, they go, the walls are closing in on Trump.
[01:02:07.000 --> 01:02:09.000]  But here's the problem.
[01:02:09.000 --> 01:02:11.000]  They're targeting reporters.
[01:02:11.000 --> 01:02:12.000]  They're targeting talk show hosts.
[01:02:12.000 --> 01:02:14.000]  They're targeting members of Congress and threatening them.
[01:02:14.000 --> 01:02:19.000]  And using NSA and CIA data that Clinton and Hillary operatives
[01:02:19.000 --> 01:02:23.000]  have access to, to blackmail people on not paying taxes,
[01:02:23.000 --> 01:02:29.000]  on mistresses, on boyfriends, on things like that.
[01:02:29.000 --> 01:02:37.000]  And so they don't know what to do.
[01:02:37.000 --> 01:02:39.000]  Because they're able to blackmail the government,
[01:02:39.000 --> 01:02:43.000]  not on Russia, not on China, but on just regular stuff
[01:02:43.000 --> 01:02:48.000]  that isn't even really corruption in most cases.
[01:02:48.000 --> 01:02:50.000]  But it doesn't matter because I'm not giving up.
[01:02:50.000 --> 01:02:51.000]  Trump's not giving up.
[01:02:51.000 --> 01:02:53.000]  People are waking up all over the world.
[01:02:53.000 --> 01:02:58.000]  Populists are getting elected all over the world.
[01:02:58.000 --> 01:03:02.000]  And they don't know what to do.
[01:03:02.000 --> 01:03:07.000]  And they're scared.
[01:03:07.000 --> 01:03:12.000]  And so it's what happens when the immovable object
[01:03:12.000 --> 01:03:15.000]  runs into the unstoppable force.
[01:03:15.000 --> 01:03:19.000]  And it's guaranteed the globalists are not going to make it out of this.
[01:03:19.000 --> 01:03:23.000]  Their program is going to fail.
[01:03:23.000 --> 01:03:32.000]  It was destined to fail.
[01:03:32.000 --> 01:03:37.000]  You know, I can't believe, as a nation,
[01:03:37.000 --> 01:03:40.000]  we allowed this type of scum to get into control of everything.
[01:03:40.000 --> 01:03:43.000]  But it sure as hell happened.
[01:03:43.000 --> 01:03:45.000]  It happened bigger than Dallas.
[01:03:45.000 --> 01:03:52.000]  But these little criminals have to know that the clock is ticking down.
[01:03:52.000 --> 01:03:55.000]  It's going down very, very quickly.
[01:03:55.000 --> 01:03:58.000]  And there's no way they're going to get out of any of it now.
[01:03:58.000 --> 01:04:01.000]  There's no way.
[01:04:01.000 --> 01:04:05.000]  I mean, there are a bunch of little wimpy lawyers.
[01:04:05.000 --> 01:04:11.000]  When you watch the leadership of the FBI,
[01:04:11.000 --> 01:04:14.000]  the leadership, the globalists put scum at the top.
[01:04:14.000 --> 01:04:17.000]  They're good FBI agents and, you know, good federal marshals.
[01:04:17.000 --> 01:04:18.000]  In fact, I know a lot of them.
[01:04:18.000 --> 01:04:20.000]  They're great people, best folks you can know in a lot of cases.
[01:04:20.000 --> 01:04:25.000]  But the top is a bunch of greasy sell out lawyers
[01:04:25.000 --> 01:04:27.000]  that would sell their own mother out.
[01:04:27.000 --> 01:04:28.000]  This is strut around and act tough.
[01:04:28.000 --> 01:04:30.000]  And they walk in the cars and stick their chest out.
[01:04:30.000 --> 01:04:32.000]  Like, want me to prosecute you?
[01:04:32.000 --> 01:04:34.000]  Like Alexander Cortez.
[01:04:34.000 --> 01:04:38.000]  Whenever Don Jr. put out a tweet saying, you know,
[01:04:38.000 --> 01:04:41.000]  we walk our dogs in America and not eat them like Venezuela.
[01:04:41.000 --> 01:04:44.000]  She said, hey, I'll have your ass arrested, you son of a bitch.
[01:04:44.000 --> 01:04:47.000]  I'm about to be in control of the judiciary committee.
[01:04:47.000 --> 01:04:50.000]  You think we're scared of any of you?
[01:04:50.000 --> 01:04:52.000]  You're all a bunch of idiots.
[01:04:52.000 --> 01:05:18.000]  This is a scumbag chicken neck boys.
[01:05:18.000 --> 01:05:22.000]  This is a powerful probiotic supplement with 20 of the most potent
[01:05:22.000 --> 01:05:24.000]  clinically studied probiotic strains.
[01:05:24.000 --> 01:05:27.000]  When paired with carnivore, our incredible enzyme formula
[01:05:27.000 --> 01:05:29.000]  that helps you break down nutrients.
[01:05:29.000 --> 01:05:33.000]  These formulas fuel your gut and your body to help you fight toxins
[01:05:33.000 --> 01:05:35.000]  and stay fueled all day.
[01:05:35.000 --> 01:05:39.000]  These incredible formulas can help keep your body in tip top shape
[01:05:39.000 --> 01:05:42.000]  in the fight against stress, age and outside toxins.
[01:05:42.000 --> 01:05:46.000]  There's no better time to try fluorolife and carnivore
[01:05:46.000 --> 01:05:48.000]  to see how well they can support your body.
[01:05:48.000 --> 01:05:52.000]  Don't miss out on the chance to fuel your body and support recovery.
[01:05:52.000 --> 01:06:17.000]  Try the InfoWars Life Daily Digestive Pack today.
[01:06:22.000 --> 01:06:30.000]  All right, ladies and gentlemen, we've got an exclusive guest
[01:06:30.000 --> 01:06:32.000]  with a really big subject here just a moment.
[01:06:32.000 --> 01:06:35.000]  But first, I want to air some of the good news.
[01:06:35.000 --> 01:06:38.000]  The New Brazilian president is delivering in spades
[01:06:38.000 --> 01:06:41.000]  and all of the world globalism and socialism is in trouble.
[01:06:41.000 --> 01:06:43.000]  So don't think we're just fighting globalists here in America.
[01:06:43.000 --> 01:06:45.000]  All of the world, there's an awakening.
[01:06:45.000 --> 01:06:53.000]  Here's that report.
[01:06:53.000 --> 01:06:56.000]  In recent years, Brazilian politics was dominated
[01:06:56.000 --> 01:07:01.000]  by so-called progressive leftist ideology.
[01:07:01.000 --> 01:07:04.000]  Black Lives Matter demonized the Brazilian police
[01:07:04.000 --> 01:07:08.000]  while far-left politicians began limiting their power.
